SummaryLevel,State,StateFIPS,CountyFIPS,PlaceFIPS,CBSACode,CongressDistrict,GEOID,AreaName,B01001_001,B01001_002,B01001_003,B01001_004,B01001_005,B01001_006,B01001_007,B01001_008,B01001_009,B01001_010,B01001_011,B01001_012,B01001_013,B01001_014,B01001_015,B01001_016,B01001_017,B01001_018,B01001_019,B01001_020,B01001_021,B01001_022,B01001_023,B01001_024,B01001_025,B01001_026,B01001_027,B01001_028,B01001_029,B01001_030,B01001_031,B01001_032,B01001_033,B01001_034,B01001_035,B01001_036,B01001_037,B01001_038,B01001_039,B01001_040,B01001_041,B01001_042,B01001_043,B01001_044,B01001_045,B01001_046,B01001_047,B01001_048,B01001_049,B01001A_001,B01001A_002,B01001A_003,B01001A_004,B01001A_005,B01001A_006,B01001A_007,B01001A_008,B01001A_009,B01001A_010,B01001A_011,B01001A_012,B01001A_013,B01001A_014,B01001A_015,B01001A_016,B01001A_017,B01001A_018,B01001A_019,B01001A_020,B01001A_021,B01001A_022,B01001A_023,B01001A_024,B01001A_025,B01001A_026,B01001A_027,B01001A_028,B01001A_029,B01001A_030,B01001A_031,B01001B_001,B01001B_002,B01001B_003,B01001B_004,B01001B_005,B01001B_006,B01001B_007,B01001B_008,B01001B_009,B01001B_010,B01001B_011,B01001B_012,B01001B_013,B01001B_014,B01001B_015,B01001B_016,B01001B_017,B01001B_018,B01001B_019,B01001B_020,B01001B_021,B01001B_022,B01001B_023,B01001B_024,B01001B_025,B01001B_026,B01001B_027,B01001B_028,B01001B_029,B01001B_030,B01001B_031,B01001C_001,B01001C_002,B01001C_003,B01001C_004,B01001C_005,B01001C_006,B01001C_007,B01001C_008,B01001C_009,B01001C_010,B01001C_011,B01001C_012,B01001C_013,B01001C_014,B01001C_015,B01001C_016,B01001C_017,B01001C_018,B01001C_019,B01001C_020,B01001C_021,B01001C_022,B01001C_023,B01001C_024,B01001C_025,B01001C_026,B01001C_027,B01001C_028,B01001C_029,B01001C_030,B01001C_031,B01001D_001,B01001D_002,B01001D_003,B01001D_004,B01001D_005,B01001D_006,B01001D_007,B01001D_008,B01001D_009,B01001D_010,B01001D_011,B01001D_012,B01001D_013,B01001D_014,B01001D_015,B01001D_016,B01001D_017,B01001D_018,B01001D_019,B01001D_020,B01001D_021,B01001D_022,B01001D_023,B01001D_024,B01001D_025,B01001D_026,B01001D_027,B01001D_028,B01001D_029,B01001D_030,B01001D_031,B01001E_001,B01001E_002,B01001E_003,B01001E_004,B01001E_005,B01001E_006,B01001E_007,B01001E_008,B01001E_009,B01001E_010,B01001E_011,B01001E_012,B01001E_013,B01001E_014,B01001E_015,B01001E_016,B01001E_017,B01001E_018,B01001E_019,B01001E_020,B01001E_021,B01001E_022,B01001E_023,B01001E_024,B01001E_025,B01001E_026,B01001E_027,B01001E_028,B01001E_029,B01001E_030,B01001E_031,B01001F_001,B01001F_002,B01001F_003,B01001F_004,B01001F_005,B01001F_006,B01001F_007,B01001F_008,B01001F_009,B01001F_010,B01001F_011,B01001F_012,B01001F_013,B01001F_014,B01001F_015,B01001F_016,B01001F_017,B01001F_018,B01001F_019,B01001F_020,B01001F_021,B01001F_022,B01001F_023,B01001F_024,B01001F_025,B01001F_026,B01001F_027,B01001F_028,B01001F_029,B01001F_030,B01001F_031,B01001G_001,B01001G_002,B01001G_003,B01001G_004,B01001G_005,B01001G_006,B01001G_007,B01001G_008,B01001G_009,B01001G_010,B01001G_011,B01001G_012,B01001G_013,B01001G_014,B01001G_015,B01001G_016,B01001G_017,B01001G_018,B01001G_019,B01001G_020,B01001G_021,B01001G_022,B01001G_023,B01001G_024,B01001G_025,B01001G_026,B01001G_027,B01001G_028,B01001G_029,B01001G_030,B01001G_031,B01001H_001,B01001H_002,B01001H_003,B01001H_004,B01001H_005,B01001H_006,B01001H_007,B01001H_008,B01001H_009,B01001H_010,B01001H_011,B01001H_012,B01001H_013,B01001H_014,B01001H_015,B01001H_016,B01001H_017,B01001H_018,B01001H_019,B01001H_020,B01001H_021,B01001H_022,B01001H_023,B01001H_024,B01001H_025,B01001H_026,B01001H_027,B01001H_028,B01001H_029,B01001H_030,B01001H_031,B01001I_001,B01001I_002,B01001I_003,B01001I_004,B01001I_005,B01001I_006,B01001I_007,B01001I_008,B01001I_009,B01001I_010,B01001I_011,B01001I_012,B01001I_013,B01001I_014,B01001I_015,B01001I_016,B01001I_017,B01001I_018,B01001I_019,B01001I_020,B01001I_021,B01001I_022,B01001I_023,B01001I_024,B01001I_025,B01001I_026,B01001I_027,B01001I_028,B01001I_029,B01001I_030,B01001I_031,B01002_001,B01002_002,B01002_003,B01002A_001,B01002A_002,B01002A_003,B01002B_001,B01002B_002,B01002B_003,B01002C_001,B01002C_002,B01002C_003,B01002D_001,B01002D_002,B01002D_003,B01002E_001,B01002E_002,B01002E_003,B01002F_001,B01002F_002,B01002F_003,B01002G_001,B01002G_002,B01002G_003,B01002H_001,B01002H_002,B01002H_003,B01002I_001,B01002I_002,B01002I_003,B01003_001
40,AK,02,,,,,04000US02,Alaska,736855,385296,27905,26436,26748,15441,10841,6454,6537,20685,32384,28830,25203,22825,24496,27423,26562,9739,12593,7308,7532,9156,5268,2833,2097,351559,26527,25873,24045,14641,8210,5113,5220,15480,28801,25760,22215,21813,22405,25090,25494,9350,10411,5974,7566,9041,4957,3701,3872,483518,256544,15183,13910,15105,8685,5854,20664,21482,20062,33076,37576,37738,19285,6327,1597,226974,14475,14054,13005,8319,4688,15167,18003,16946,29677,32920,33630,16767,6241,3082,24443,14032,672,601,986,602,559,1918,1430,956,2239,1937,1509,383,223,17,10411,876,833,909,522,234,796,850,765,1300,1447,1125,446,219,89,103574,52217,4999,4990,4599,2738,1700,4588,4231,3613,5960,6252,4845,2420,1064,218,51357,4449,4824,4181,2427,1567,4211,4510,3210,5621,6395,5373,2907,1261,421,44218,21164,1365,1462,1722,1037,750,2007,1768,1391,2844,2875,2373,1148,221,201,23054,1121,1504,1409,1106,577,1583,1860,1649,3433,3475,3041,1437,649,210,8862,4422,511,582,465,229,194,380,421,329,497,366,340,59,49,0,4440,419,509,388,304,87,477,508,352,604,411,181,146,54,0,9900,5342,434,421,466,123,111,758,545,492,744,637,459,85,25,42,4558,468,326,322,92,50,501,588,618,442,607,299,233,3,9,62340,31575,4741,4470,3405,2027,1673,3361,2507,1987,2668,2276,1630,616,192,22,30765,4719,3823,3831,1871,1007,3078,2482,2220,2951,2240,1606,645,231,61,456575,242516,13818,12875,13869,8057,5323,18706,19844,18613,31578,36282,36933,18943,6093,1582,214059,13045,12910,12037,7549,4235,14061,16758,15994,27842,31745,32634,16260,5931,3058,49031,25811,2821,2414,2477,1111,1121,3342,2713,2186,3041,2285,1506,453,284,57,23220,2812,2538,1882,1192,811,2058,2373,1806,2903,2239,1493,768,314,31,33.6,33.3,34.0,37.3,36.9,37.7,31.1,30.8,31.5,28.7,27.7,29.5,34.6,31.8,36.7,24.1,22.8,25.8,28.7,28.0,29.0,19.7,19.3,20.2,38.2,37.9,38.6,24.9,24.5,25.6,736855
40,AK,02,,,,,04001US02,Alaska -- Urban,485720,249562,18734,16876,17644,9963,7359,4456,4908,14774,23441,19368,16956,13857,15337,16746,16072,5395,7462,3840,4414,5477,3283,1716,1484,236158,17614,17262,15744,9629,5692,3796,3595,11356,20677,17860,15150,14767,14846,16387,16316,5570,6530,3893,4721,5916,3441,2641,2755,319552,166952,10199,8941,9838,5592,4062,15350,16046,13529,21305,23541,22389,11052,3977,1131,152600,9729,9208,8686,5425,3376,11347,13193,11519,19835,21787,21007,10673,4529,2286,22068,12338,593,572,906,558,539,1734,1182,836,1865,1620,1349,355,212,17,9730,803,784,811,492,234,781,815,677,1268,1271,1082,422,202,88,44793,21577,1962,2049,1937,1118,756,1924,1766,1578,2766,2511,1761,936,416,97,23216,1539,2140,1584,981,742,1923,2233,1549,2785,3024,2587,1428,555,146,36838,17426,1252,1261,1556,922,594,1546,1527,1153,2214,2125,1909,957,213,197,19412,1021,1332,1179,998,505,1363,1640,1430,2882,2728,2312,1204,610,208,8024,4006,496,536,444,194,177,355,363,279,413,335,312,56,46,0,4018,334,495,381,269,87,456,409,323,521,387,165,140,51,0,7761,3934,339,289,349,82,98,583,520,421,523,413,212,46,17,42,3827,447,274,286,84,22,432,484,585,327,477,203,206,0,0,46684,23329,3893,3228,2614,1497,1133,2646,2037,1572,1727,1538,997,329,118,0,23355,3741,3029,2817,1380,726,2445,1903,1777,2299,1559,1060,457,135,27,298200,155988,9010,8201,8791,5147,3716,13811,14682,12514,20060,22514,21810,10812,3803,1117,142212,8547,8288,7972,4756,3020,10373,12126,10780,18365,20956,20165,10301,4296,2267,38907,19978,2382,1703,2070,849,912,2605,2285,1547,2299,1696,1036,322,216,56,18929,2373,2084,1470,1025,645,1806,1972,1515,2312,1682,1186,606,234,19,32.4,31.6,33.3,35.8,35.0,36.7,30.7,30.3,31.5,29.7,27.8,31.5,33.0,30.2,35.6,23.5,22.0,24.7,27.8,27.4,28.5,19.0,18.6,19.9,36.6,35.9,37.6,24.5,23.9,25.1,485720
40,AK,02,,,,,04043US02,Alaska -- Rural,251135,135734,9171,9560,9104,5478,3482,1998,1629,5911,8943,9462,8247,8968,9159,10677,10490,4344,5131,3468,3118,3679,1985,1117,613,115401,8913,8611,8301,5012,2518,1317,1625,4124,8124,7900,7065,7046,7559,8703,9178,3780,3881,2081,2845,3125,1516,1060,1117,163966,89592,4984,4969,5267,3093,1792,5314,5436,6533,11771,14035,15349,8233,2350,466,74374,4746,4846,4319,2894,1312,3820,4810,5427,9842,11133,12623,6094,1712,796,2375,1694,79,29,80,44,20,184,248,120,374,317,160,28,11,0,681,73,49,98,30,0,15,35,88,32,176,43,24,17,1,58781,30640,3037,2941,2662,1620,944,2664,2465,2035,3194,3741,3084,1484,648,121,28141,2910,2684,2597,1446,825,2288,2277,1661,2836,3371,2786,1479,706,275,7380,3738,113,201,166,115,156,461,241,238,630,750,464,191,8,4,3642,100,172,230,108,72,220,220,219,551,747,729,233,39,2,838,416,15,46,21,35,17,25,58,50,84,31,28,3,3,0,422,85,14,7,35,0,21,99,29,83,24,16,6,3,0,2139,1408,95,132,117,41,13,175,25,71,221,224,247,39,8,0,731,21,52,36,8,28,69,104,33,115,130,96,27,3,9,15656,8246,848,1242,791,530,540,715,470,415,941,738,633,287,74,22,7410,978,794,1014,491,281,633,579,443,652,681,546,188,96,34,158375,86528,4808,4674,5078,2910,1607,4895,5162,6099,11518,13768,15123,8131,2290,465,71847,4498,4622,4065,2793,1215,3688,4632,5214,9477,10789,12469,5959,1635,791,10124,5833,439,711,407,262,209,737,428,639,742,589,470,131,68,1,4291,439,454,412,167,166,252,401,291,591,557,307,162,80,12,36.4,36.9,35.9,40.9,41.4,40.2,34.9,35.8,31.6,27.8,27.6,28.1,41.1,38.7,44.1,28.4,28.8,28.3,36.4,39.1,35.4,20.9,20.8,21.1,41.4,42.1,40.6,27.6,26.5,28.4,251135
40,AK,02,,,,,040A0US02,Alaska -- In metropolitan or micropolitan statistical area,544389,281636,20597,19111,19450,11172,8120,4885,5145,16048,24850,21801,19232,16384,17628,19377,18614,6757,8773,4904,5255,6377,3582,2020,1554,262753,19324,18995,17405,10731,6042,4022,4097,12121,22255,20141,17203,16612,16815,18722,18316,6865,7624,4387,5360,6558,3576,2773,2809,383356,201682,12400,11435,11860,6892,4730,17590,17720,16253,26207,28786,27818,14088,4661,1242,181674,11732,11406,10391,6684,3849,12848,14954,14024,23992,26200,25656,12657,4909,2372,22612,12683,631,590,959,577,537,1759,1214,844,1908,1675,1373,381,218,17,9929,812,812,832,498,234,777,823,719,1268,1372,1076,425,217,64,38453,18388,1602,1577,1568,903,611,1657,1469,1441,2552,2228,1634,742,348,56,20065,1233,1705,1420,780,597,1652,2002,1299,2471,2771,2295,1242,455,143,34478,15929,1194,1177,1491,847,536,1471,1447,1053,2005,1861,1613,841,196,197,18549,958,1282,1069,975,498,1364,1546,1381,2818,2557,2238,1109,556,198,7900,3886,455,483,416,215,175,342,358,264,437,331,305,56,49,0,4014,326,463,381,289,87,440,446,318,528,387,166,135,48,0,8099,4262,372,342,401,104,97,630,517,406,524,416,340,46,25,42,3837,460,291,290,42,22,443,442,554,352,503,212,223,3,0,49491,24806,3943,3507,2755,1634,1434,2629,2125,1540,1983,1708,1061,382,105,0,24685,3803,3036,3022,1463,755,2716,2042,1846,2386,1747,1162,514,161,32,360288,189898,11134,10689,10810,6335,4351,16029,16311,14969,24921,27635,27189,13820,4477,1228,170390,10470,10426,9571,5999,3428,11814,13869,13188,22405,25209,24806,12229,4623,2353,40722,21028,2497,1771,2063,928,898,2677,2344,1816,2402,1822,1197,343,214,56,19694,2368,2124,1585,1011,639,1895,1939,1600,2515,1862,1173,674,290,19,33.2,32.5,33.8,36.2,35.7,36.8,30.7,30.3,31.5,30.6,29.3,32.3,32.5,29.4,35.5,23.9,22.5,26.3,27.8,27.2,28.8,19.4,18.7,20.4,37.0,36.5,37.6,24.9,24.5,25.5,544389
40,AK,02,,,,,040C0US02,Alaska -- In metropolitan statistical area,498150,257950,19160,17564,18110,10193,7493,4617,4874,14998,23172,20119,17776,14729,16025,17333,16607,6065,7903,4318,4718,5730,3202,1858,1386,240200,17960,17520,16000,9931,5598,3632,3840,11252,20568,18618,15519,15277,15291,16940,16587,6067,6746,3980,4776,5843,3271,2571,2413,351517,185157,11574,10533,11120,6346,4385,16621,16495,14957,24047,26044,25055,12652,4224,1104,166360,10944,10522,9699,6188,3555,11991,13863,12908,21923,23770,23039,11377,4545,2036,22163,12400,631,576,959,560,537,1751,1152,844,1884,1601,1303,367,218,17,9763,812,793,832,494,193,772,823,692,1259,1358,1051,407,217,60,32610,15471,1325,1339,1379,804,560,1336,1290,1231,2155,1820,1273,619,284,56,17139,1090,1496,1084,701,573,1347,1743,1210,2106,2335,1900,1046,384,124,31109,14287,1094,1055,1385,749,449,1380,1358,968,1746,1634,1408,713,181,167,16822,888,1152,960,912,442,1256,1452,1284,2579,2295,1943,982,512,165,7566,3654,450,478,408,193,175,288,349,264,402,321,230,47,49,0,3912,305,447,375,270,87,437,441,318,518,384,161,131,38,0,7723,4098,372,328,397,100,97,607,517,406,456,376,329,46,25,42,3625,430,255,279,42,16,439,436,529,301,480,212,203,3,0,45462,22883,3714,3255,2462,1441,1290,2506,2011,1449,1815,1562,977,322,79,0,22579,3491,2855,2771,1324,732,2482,1810,1677,2110,1609,1094,453,143,28,330074,174239,10385,9843,10135,5827,4006,15100,15211,13805,22847,25032,24497,12405,4056,1090,155835,9765,9599,8966,5522,3134,11005,12842,12131,20502,22837,22266,10982,4267,2017,38040,19653,2294,1640,1966,873,898,2604,2199,1680,2204,1640,1086,320,193,56,18387,2255,1967,1422,985,614,1824,1780,1499,2310,1757,1044,630,281,19,32.7,32.0,33.5,35.8,35.2,36.5,30.6,30.1,31.5,30.4,28.8,32.1,32.0,28.9,35.2,23.9,21.8,26.7,27.6,27.0,28.7,19.3,18.9,20.2,36.6,36.1,37.2,24.7,24.2,25.4,498150
40,AK,02,,,,,040C1US02,Alaska -- In metropolitan statistical area -- in principal city,331899,170089,13107,11409,11520,6419,4714,3149,3538,10880,16211,13624,11841,9401,10250,11193,10898,3532,4943,2679,2910,3586,1992,1222,1071,161810,12090,11425,10534,6307,3732,2618,2442,8191,14819,12806,10383,10048,10126,11102,11064,3784,4547,2797,2920,3881,2443,1907,1844,213942,112055,6903,5824,6010,3457,2493,11447,10842,9270,14405,15579,15036,7406,2588,795,101887,6362,5691,5588,3457,2105,7821,9340,7881,13255,14505,14183,6979,3181,1539,19707,10830,597,532,862,491,508,1462,1008,794,1594,1337,1112,333,183,17,8877,762,747,728,429,193,707,778,669,1139,1192,898,385,190,60,23348,11013,967,1010,951,585,262,933,849,894,1603,1409,910,456,128,56,12335,630,1112,732,403,448,986,1356,936,1379,1639,1510,817,327,60,28330,13214,1082,979,1342,682,360,1189,1247,911,1593,1566,1257,664,181,161,15116,853,1106,875,758,437,1100,1298,1209,2271,1968,1734,858,484,165,7223,3556,445,475,396,193,175,261,325,264,393,317,219,47,46,0,3667,300,403,365,257,87,422,373,318,474,357,150,123,38,0,6736,3448,337,292,315,54,94,493,484,387,442,311,141,39,17,42,3288,383,230,265,42,14,405,395,519,245,427,188,175,0,0,32613,15973,2776,2297,1644,957,822,1782,1456,1104,1212,924,698,230,71,0,16640,2800,2136,1981,961,448,1810,1279,1274,1668,1140,732,261,130,20,198058,103945,6014,5289,5438,3090,2223,10184,9921,8373,13492,14870,14629,7204,2437,781,94113,5506,5118,4992,2990,1779,7025,8466,7455,12254,13780,13570,6733,2925,1520,29933,15403,1867,1332,1416,661,668,2155,1640,1356,1828,1256,748,252,168,56,14530,1812,1497,1130,695,496,1535,1524,1098,1702,1442,867,457,256,19,32.2,31.3,33.1,35.8,34.9,36.7,30.2,29.6,31.2,30.9,29.8,32.6,31.7,29.1,34.5,23.6,20.9,25.0,27.7,27.1,28.6,19.1,18.7,20.0,36.7,36.0,37.8,24.6,24.0,25.4,331899
40,AK,02,,,,,040C2US02,Alaska -- In metropolitan statistical area -- not in principal city,166251,87861,6053,6155,6590,3774,2779,1468,1336,4118,6961,6495,5935,5328,5775,6140,5709,2533,2960,1639,1808,2144,1210,636,315,78390,5870,6095,5466,3624,1866,1014,1398,3061,5749,5812,5136,5229,5165,5838,5523,2283,2199,1183,1856,1962,828,664,569,137575,73102,4671,4709,5110,2889,1892,5174,5653,5687,9642,10465,10019,5246,1636,309,64473,4582,4831,4111,2731,1450,4170,4523,5027,8668,9265,8856,4398,1364,497,2456,1570,34,44,97,69,29,289,144,50,290,264,191,34,35,0,886,50,46,104,65,0,65,45,23,120,166,153,22,27,0,9262,4458,358,329,428,219,298,403,441,337,552,411,363,163,156,0,4804,460,384,352,298,125,361,387,274,727,696,390,229,57,64,2779,1073,12,76,43,67,89,191,111,57,153,68,151,49,0,6,1706,35,46,85,154,5,156,154,75,308,327,209,124,28,0,343,98,5,3,12,0,0,27,24,0,9,4,11,0,3,0,245,5,44,10,13,0,15,68,0,44,27,11,8,0,0,987,650,35,36,82,46,3,114,33,19,14,65,188,7,8,0,337,47,25,14,0,2,34,41,10,56,53,24,28,3,0,12849,6910,938,958,818,484,468,724,555,345,603,638,279,92,8,0,5939,691,719,790,363,284,672,531,403,442,469,362,192,13,8,132016,70294,4371,4554,4697,2737,1783,4916,5290,5432,9355,10162,9868,5201,1619,309,61722,4259,4481,3974,2532,1355,3980,4376,4676,8248,9057,8696,4249,1342,497,8107,4250,427,308,550,212,230,449,559,324,376,384,338,68,25,0,3857,443,470,292,290,118,289,256,401,608,315,177,173,25,0,33.9,33.8,34.2,35.8,35.7,36.0,35.9,35.3,37.7,28.3,26.3,30.8,36.2,28.4,38.8,28.4,26.7,28.5,27.0,26.4,32.6,19.7,19.0,21.0,36.4,36.3,36.5,24.9,24.7,25.4,166251
40,AK,02,,,,,040E0US02,Alaska -- In micropolitan statistical area,46239,23686,1437,1547,1340,979,627,268,271,1050,1678,1682,1456,1655,1603,2044,2007,692,870,586,537,647,380,162,168,22553,1364,1475,1405,800,444,390,257,869,1687,1523,1684,1335,1524,1782,1729,798,878,407,584,715,305,202,396,31839,16525,826,902,740,546,345,969,1225,1296,2160,2742,2763,1436,437,138,15314,788,884,692,496,294,857,1091,1116,2069,2430,2617,1280,364,336,449,283,0,14,0,17,0,8,62,0,24,74,70,14,0,0,166,0,19,0,4,41,5,0,27,9,14,25,18,0,4,5843,2917,277,238,189,99,51,321,179,210,397,408,361,123,64,0,2926,143,209,336,79,24,305,259,89,365,436,395,196,71,19,3369,1642,100,122,106,98,87,91,89,85,259,227,205,128,15,30,1727,70,130,109,63,56,108,94,97,239,262,295,127,44,33,334,232,5,5,8,22,0,54,9,0,35,10,75,9,0,0,102,21,16,6,19,0,3,5,0,10,3,5,4,10,0,376,164,0,14,4,4,0,23,0,0,68,40,11,0,0,0,212,30,36,11,0,6,4,6,25,51,23,0,20,0,0,4029,1923,229,252,293,193,144,123,114,91,168,146,84,60,26,0,2106,312,181,251,139,23,234,232,169,276,138,68,61,18,4,30214,15659,749,846,675,508,345,929,1100,1164,2074,2603,2692,1415,421,138,14555,705,827,605,477,294,809,1027,1057,1903,2372,2540,1247,356,336,2682,1375,203,131,97,55,0,73,145,136,198,182,111,23,21,0,1307,113,157,163,26,25,71,159,101,205,105,129,44,9,0,37.9,38.2,37.7,41.7,42.0,41.5,39.6,49.5,31.4,33.2,31.8,35.3,40.0,38.4,41.3,27.6,40.1,16.4,36.3,36.8,30.5,20.0,17.9,23.2,42.7,42.8,42.5,27.6,28.0,25.8,46239
40,AK,02,,,,,040E1US02,Alaska -- In micropolitan statistical area -- in principal city,40713,20862,1284,1331,1146,879,530,247,250,970,1509,1510,1291,1498,1431,1773,1752,588,727,543,463,545,311,152,132,19851,1186,1286,1184,697,397,360,219,798,1546,1397,1510,1150,1331,1532,1457,702,780,348,502,632,281,184,372,27512,14262,706,748,615,475,291,880,1086,1146,1895,2390,2311,1245,372,102,13250,670,737,546,438,263,772,984,1020,1778,2077,2221,1095,336,313,439,273,0,14,0,17,0,8,62,0,15,73,70,14,0,0,166,0,19,0,4,41,5,0,27,9,14,25,18,0,4,5210,2635,270,215,165,84,41,297,156,196,375,349,326,103,58,0,2575,121,194,297,57,10,293,235,78,314,386,341,170,61,18,3336,1629,95,122,106,98,87,91,89,78,258,227,205,128,15,30,1707,70,130,109,63,56,108,84,97,234,257,295,127,44,33,334,232,5,5,8,22,0,54,9,0,35,10,75,9,0,0,102,21,16,6,19,0,3,5,0,10,3,5,4,10,0,354,146,0,0,4,0,0,23,0,0,68,40,11,0,0,0,208,30,36,11,0,6,0,6,25,51,23,0,20,0,0,3528,1685,208,227,248,183,111,114,107,90,143,115,69,52,18,0,1843,274,154,215,116,21,196,232,150,264,103,52,48,14,4,25949,13401,634,692,550,437,291,840,961,1014,1809,2251,2240,1224,356,102,12548,587,688,467,419,263,729,923,966,1618,2025,2146,1076,328,313,2572,1349,198,131,95,55,0,73,141,136,198,169,111,21,21,0,1223,113,141,148,26,25,62,154,96,199,94,127,30,8,0,37.6,37.8,37.4,41.4,41.6,41.1,44.3,50.1,31.4,32.5,31.6,35.0,40.3,38.6,41.3,27.6,40.1,16.4,36.8,37.2,30.6,20.1,17.6,23.5,42.4,42.5,42.2,27.6,27.9,25.8,40713
40,AK,02,,,,,040E2US02,Alaska -- In micropolitan statistical area -- not in principal city,5526,2824,153,216,194,100,97,21,21,80,169,172,165,157,172,271,255,104,143,43,74,102,69,10,36,2702,178,189,221,103,47,30,38,71,141,126,174,185,193,250,272,96,98,59,82,83,24,18,24,4327,2263,120,154,125,71,54,89,139,150,265,352,452,191,65,36,2064,118,147,146,58,31,85,107,96,291,353,396,185,28,23,10,10,0,0,0,0,0,0,0,0,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,633,282,7,23,24,15,10,24,23,14,22,59,35,20,6,0,351,22,15,39,22,14,12,24,11,51,50,54,26,10,1,33,13,5,0,0,0,0,0,0,7,1,0,0,0,0,0,20,0,0,0,0,0,0,10,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,18,0,14,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,501,238,21,25,45,10,33,9,7,1,25,31,15,8,8,0,263,38,27,36,23,2,38,0,19,12,35,16,13,4,0,4265,2258,115,154,125,71,54,89,139,150,265,352,452,191,65,36,2007,118,139,138,58,31,80,104,91,285,347,394,171,28,23,110,26,5,0,2,0,0,0,4,0,0,13,0,2,0,0,84,0,16,15,0,0,9,5,5,6,11,2,14,1,0,41.2,41.0,41.4,43.8,44.3,43.0,.,.,.,37.5,35.3,38.3,33.2,33.2,36.0,.,.,.,6.8,.,.,19.6,19.4,20.4,43.9,44.3,43.2,28.7,52.5,27.5,5526
