SummaryLevel,State,StateFIPS,CountyFIPS,PlaceFIPS,CBSACode,CongressDistrict,GEOID,AreaName,B01001_001,B01001_002,B01001_003,B01001_004,B01001_005,B01001_006,B01001_007,B01001_008,B01001_009,B01001_010,B01001_011,B01001_012,B01001_013,B01001_014,B01001_015,B01001_016,B01001_017,B01001_018,B01001_019,B01001_020,B01001_021,B01001_022,B01001_023,B01001_024,B01001_025,B01001_026,B01001_027,B01001_028,B01001_029,B01001_030,B01001_031,B01001_032,B01001_033,B01001_034,B01001_035,B01001_036,B01001_037,B01001_038,B01001_039,B01001_040,B01001_041,B01001_042,B01001_043,B01001_044,B01001_045,B01001_046,B01001_047,B01001_048,B01001_049,B01001A_001,B01001A_002,B01001A_003,B01001A_004,B01001A_005,B01001A_006,B01001A_007,B01001A_008,B01001A_009,B01001A_010,B01001A_011,B01001A_012,B01001A_013,B01001A_014,B01001A_015,B01001A_016,B01001A_017,B01001A_018,B01001A_019,B01001A_020,B01001A_021,B01001A_022,B01001A_023,B01001A_024,B01001A_025,B01001A_026,B01001A_027,B01001A_028,B01001A_029,B01001A_030,B01001A_031,B01001B_001,B01001B_002,B01001B_003,B01001B_004,B01001B_005,B01001B_006,B01001B_007,B01001B_008,B01001B_009,B01001B_010,B01001B_011,B01001B_012,B01001B_013,B01001B_014,B01001B_015,B01001B_016,B01001B_017,B01001B_018,B01001B_019,B01001B_020,B01001B_021,B01001B_022,B01001B_023,B01001B_024,B01001B_025,B01001B_026,B01001B_027,B01001B_028,B01001B_029,B01001B_030,B01001B_031,B01001C_001,B01001C_002,B01001C_003,B01001C_004,B01001C_005,B01001C_006,B01001C_007,B01001C_008,B01001C_009,B01001C_010,B01001C_011,B01001C_012,B01001C_013,B01001C_014,B01001C_015,B01001C_016,B01001C_017,B01001C_018,B01001C_019,B01001C_020,B01001C_021,B01001C_022,B01001C_023,B01001C_024,B01001C_025,B01001C_026,B01001C_027,B01001C_028,B01001C_029,B01001C_030,B01001C_031,B01001D_001,B01001D_002,B01001D_003,B01001D_004,B01001D_005,B01001D_006,B01001D_007,B01001D_008,B01001D_009,B01001D_010,B01001D_011,B01001D_012,B01001D_013,B01001D_014,B01001D_015,B01001D_016,B01001D_017,B01001D_018,B01001D_019,B01001D_020,B01001D_021,B01001D_022,B01001D_023,B01001D_024,B01001D_025,B01001D_026,B01001D_027,B01001D_028,B01001D_029,B01001D_030,B01001D_031,B01001E_001,B01001E_002,B01001E_003,B01001E_004,B01001E_005,B01001E_006,B01001E_007,B01001E_008,B01001E_009,B01001E_010,B01001E_011,B01001E_012,B01001E_013,B01001E_014,B01001E_015,B01001E_016,B01001E_017,B01001E_018,B01001E_019,B01001E_020,B01001E_021,B01001E_022,B01001E_023,B01001E_024,B01001E_025,B01001E_026,B01001E_027,B01001E_028,B01001E_029,B01001E_030,B01001E_031,B01001F_001,B01001F_002,B01001F_003,B01001F_004,B01001F_005,B01001F_006,B01001F_007,B01001F_008,B01001F_009,B01001F_010,B01001F_011,B01001F_012,B01001F_013,B01001F_014,B01001F_015,B01001F_016,B01001F_017,B01001F_018,B01001F_019,B01001F_020,B01001F_021,B01001F_022,B01001F_023,B01001F_024,B01001F_025,B01001F_026,B01001F_027,B01001F_028,B01001F_029,B01001F_030,B01001F_031,B01001G_001,B01001G_002,B01001G_003,B01001G_004,B01001G_005,B01001G_006,B01001G_007,B01001G_008,B01001G_009,B01001G_010,B01001G_011,B01001G_012,B01001G_013,B01001G_014,B01001G_015,B01001G_016,B01001G_017,B01001G_018,B01001G_019,B01001G_020,B01001G_021,B01001G_022,B01001G_023,B01001G_024,B01001G_025,B01001G_026,B01001G_027,B01001G_028,B01001G_029,B01001G_030,B01001G_031,B01001H_001,B01001H_002,B01001H_003,B01001H_004,B01001H_005,B01001H_006,B01001H_007,B01001H_008,B01001H_009,B01001H_010,B01001H_011,B01001H_012,B01001H_013,B01001H_014,B01001H_015,B01001H_016,B01001H_017,B01001H_018,B01001H_019,B01001H_020,B01001H_021,B01001H_022,B01001H_023,B01001H_024,B01001H_025,B01001H_026,B01001H_027,B01001H_028,B01001H_029,B01001H_030,B01001H_031,B01001I_001,B01001I_002,B01001I_003,B01001I_004,B01001I_005,B01001I_006,B01001I_007,B01001I_008,B01001I_009,B01001I_010,B01001I_011,B01001I_012,B01001I_013,B01001I_014,B01001I_015,B01001I_016,B01001I_017,B01001I_018,B01001I_019,B01001I_020,B01001I_021,B01001I_022,B01001I_023,B01001I_024,B01001I_025,B01001I_026,B01001I_027,B01001I_028,B01001I_029,B01001I_030,B01001I_031,B01002_001,B01002_002,B01002_003,B01002A_001,B01002A_002,B01002A_003,B01002B_001,B01002B_002,B01002B_003,B01002C_001,B01002C_002,B01002C_003,B01002D_001,B01002D_002,B01002D_003,B01002E_001,B01002E_002,B01002E_003,B01002F_001,B01002F_002,B01002F_003,B01002G_001,B01002G_002,B01002G_003,B01002H_001,B01002H_002,B01002H_003,B01002I_001,B01002I_002,B01002I_003,B01003_001
40,AL,01,,,,,04000US01,Alabama,4841164,2346193,148910,156423,159647,98334,67790,37110,36861,97495,157445,150718,142795,153127,153538,165372,159393,57496,83307,51203,65750,83372,56930,36796,26381,2494971,143861,149284,154333,94397,64288,35875,36158,98990,161732,156669,152831,157463,161471,176258,172841,65434,91124,58864,75198,100123,76173,55764,55840,3325037,1631713,92774,97517,101697,62641,42755,107919,104067,101429,205504,232532,222417,160383,77793,22285,1693324,88734,93213,96946,60089,38839,106749,103115,100062,204888,234242,234928,182101,105337,44081,1282053,598360,44229,45472,46982,29504,21014,54654,44189,40009,73618,75263,69513,35912,14351,3650,683693,43408,43177,45957,28700,21521,56269,49907,47457,89803,90892,84741,46383,24458,11020,23919,11236,503,541,902,619,231,896,628,516,1588,1702,1816,926,285,83,12683,374,793,730,552,324,808,918,867,1736,2237,1947,1013,210,174,60744,27697,1593,2027,1825,1169,849,2328,2199,2789,5299,3631,2130,1192,527,139,33047,2040,2418,2019,1043,853,2313,2760,2876,5845,4219,3460,2179,843,179,2008,911,121,91,63,26,0,26,42,151,107,153,94,37,0,0,1097,19,144,56,68,0,56,142,155,143,149,104,23,21,17,61991,33604,3103,4753,3274,1800,1073,2610,3386,3623,5880,2483,1224,273,105,17,28387,3541,3894,3178,1171,865,2070,2861,2732,4147,2343,943,449,144,49,85412,42672,6587,6022,4904,2575,1868,3033,2934,2201,3926,3146,3002,1602,665,207,42740,5745,5645,5447,2774,1886,2758,2029,2520,3732,3647,3276,2037,924,320,3204335,1567521,84900,90329,96303,59957,40619,103356,97874,94618,195729,226853,218920,158826,77075,22162,1636814,81153,85809,91845,57447,37060,102367,98657,95364,197044,229308,232140,180387,104442,43791,193503,103677,12054,12481,8994,4696,3429,7988,10208,10674,16381,8697,4976,2088,868,143,89826,11762,12049,8456,4122,2906,6772,7568,7922,12698,7698,4027,2336,1174,336,38.6,37.1,40.0,41.7,40.4,43.0,33.7,31.5,35.5,40.3,40.1,40.5,34.5,33.2,35.4,31.9,33.0,31.5,24.7,25.4,24.0,19.6,19.2,19.9,42.5,41.2,43.7,25.3,26.1,24.2,4841164
40,AL,01,,,,,04001US01,Alabama -- Urban,2871536,1372078,92084,95907,92882,56616,42890,24057,24535,63479,102838,94581,86229,88123,85261,91206,87259,31220,44338,27131,33257,42370,29527,20400,15888,1499458,91507,91765,90408,55741,43309,23186,24854,66236,107909,99583,94094,92002,92795,100624,97340,37354,50797,32603,41187,53778,43204,33495,35687,1741105,845918,48360,50664,49853,30943,23747,62859,61716,57300,107841,114667,109215,76429,39153,13171,895187,47867,48858,47556,30210,23577,62867,60380,55005,105835,116895,118338,91939,58232,27628,970825,446840,35616,35991,35957,21601,16269,42568,34289,30780,54587,54108,48775,23994,9835,2470,523985,35041,34014,35096,22067,17037,45529,40824,38189,69347,68435,61369,32263,17090,7684,9174,4240,144,115,252,170,111,472,206,210,597,769,668,407,119,0,4934,139,269,276,170,193,321,378,306,761,1021,672,281,121,26,50334,23232,1168,1728,1534,983,677,2088,1991,2374,4365,3099,1723,922,480,100,27102,1795,1914,1735,794,706,1968,2525,2434,4821,3246,2673,1764,585,142,1503,665,109,68,40,7,0,26,36,101,66,120,80,12,0,0,838,19,137,13,37,0,39,126,124,85,121,85,23,12,17,44914,24254,2181,3468,2232,1035,881,2009,2645,2640,4310,1815,726,205,90,17,20660,2590,3044,2231,734,628,1472,2212,1852,3048,1632,719,334,127,37,53681,26929,4506,3873,3014,1877,1205,2049,1955,1176,2586,1889,1630,789,250,130,26752,4056,3529,3501,1729,1168,2080,1464,1673,2199,2069,1635,964,532,153,1658153,801622,42911,45646,46676,29287,22641,59636,57161,52284,100773,110774,106700,75407,38644,13082,856531,42477,43809,44347,28435,22372,59705,57204,51788,100426,113643,116370,90911,57642,27402,135477,72449,8402,8897,5434,2872,2029,5875,7648,7713,11946,6165,3410,1292,657,109,63028,8582,8567,5576,2722,2020,4913,5550,5564,8977,5169,2849,1454,825,260,36.3,34.8,37.8,40.2,38.6,41.9,32.3,30.2,34.2,42.1,43.1,40.7,34.1,32.9,34.6,31.8,33.3,31.5,24.9,25.7,23.6,18.7,18.3,19.0,41.3,39.6,43.0,25.8,26.6,24.2,2871536
40,AL,01,,,,,04043US01,Alabama -- Rural,1969628,974115,56826,60516,66765,41718,24900,13053,12326,34016,54607,56137,56566,65004,68277,74166,72134,26276,38969,24072,32493,41002,27403,16396,10493,995513,52354,57519,63925,38656,20979,12689,11304,32754,53823,57086,58737,65461,68676,75634,75501,28080,40327,26261,34011,46345,32969,22269,20153,1583932,785795,44414,46853,51844,31698,19008,45060,42351,44129,97663,117865,113202,83954,38640,9114,798137,40867,44355,49390,29879,15262,43882,42735,45057,99053,117347,116590,90162,47105,16453,311228,151520,8613,9481,11025,7903,4745,12086,9900,9229,19031,21155,20738,11918,4516,1180,159708,8367,9163,10861,6633,4484,10740,9083,9268,20456,22457,23372,14120,7368,3336,14745,6996,359,426,650,449,120,424,422,306,991,933,1148,519,166,83,7749,235,524,454,382,131,487,540,561,975,1216,1275,732,89,148,10410,4465,425,299,291,186,172,240,208,415,934,532,407,270,47,39,5945,245,504,284,249,147,345,235,442,1024,973,787,415,258,37,505,246,12,23,23,19,0,0,6,50,41,33,14,25,0,0,259,0,7,43,31,0,17,16,31,58,28,19,0,9,0,17077,9350,922,1285,1042,765,192,601,741,983,1570,668,498,68,15,0,7727,951,850,947,437,237,598,649,880,1099,711,224,115,17,12,31731,15743,2081,2149,1890,698,663,984,979,1025,1340,1257,1372,813,415,77,15988,1689,2116,1946,1045,718,678,565,847,1533,1578,1641,1073,392,167,1546182,765899,41989,44683,49627,30670,17978,43720,40713,42334,94956,116079,112220,83419,38431,9080,780283,38676,42000,47498,29012,14688,42662,41453,43576,96618,115665,115770,89476,46800,16389,58026,31228,3652,3584,3560,1824,1400,2113,2560,2961,4435,2532,1566,796,211,34,26798,3180,3482,2880,1400,886,1859,2018,2358,3721,2529,1178,882,349,76,41.9,40.7,43.0,43.1,42.2,44.0,38.6,36.4,40.7,39.4,38.4,40.4,37.9,34.8,40.1,32.2,32.7,31.5,24.3,24.3,24.3,22.1,21.6,23.4,43.6,42.7,44.4,24.0,23.9,24.2,1969628
40,AL,01,,,,,040A0US01,Alabama -- In metropolitan or micropolitan statistical area,4392735,2128767,136092,143096,144230,88888,61559,33598,33294,89963,145549,139270,130784,139137,139769,149582,143608,51973,74239,45459,58507,73661,49925,32800,23784,2263968,132151,136250,140126,85389,57877,32247,33326,91628,149509,144439,139924,143207,146689,159535,156662,59080,81181,52920,66985,88800,67501,49172,49370,3023306,1483664,84837,88995,92178,56786,39335,99277,96430,93698,187615,211349,200935,143038,68927,20264,1539642,81255,85076,87824,54470,35676,98582,95244,92098,187181,213047,212973,163075,93628,39513,1148299,535244,40074,41197,41861,26283,18534,48997,40331,36629,66495,67407,61141,30886,12309,3100,613055,39650,38969,41549,25589,18472,51130,45961,43515,81018,81460,74986,40365,21084,9307,20737,9812,411,478,744,492,215,847,513,419,1440,1561,1467,892,260,73,10925,374,582,661,491,279,673,693,815,1661,1812,1695,925,190,74,58686,26733,1487,1986,1757,1158,756,2248,2118,2760,5089,3533,2093,1102,507,139,31953,1974,2242,1937,1012,824,2221,2728,2803,5714,4130,3320,2072,811,165,1878,872,110,84,63,26,0,26,30,142,107,153,94,37,0,0,1006,19,144,56,50,0,39,136,155,110,141,104,23,12,17,59263,32188,3029,4642,3054,1709,918,2536,3257,3533,5562,2401,1211,221,98,17,27075,3456,3806,3042,1100,796,1893,2779,2624,3953,2151,868,416,144,47,80566,40254,6144,5714,4573,2434,1801,2924,2870,2089,3613,2947,2879,1451,624,191,40312,5423,5431,5057,2677,1830,2663,1968,2429,3494,3483,2977,1829,804,247,2909861,1423091,77426,82341,87011,54225,37256,95139,90415,87325,178385,205960,197644,141582,68232,20150,1486770,74116,78289,83104,52037,33943,94540,90994,87582,179825,208513,210323,161483,92766,39255,182305,97907,11235,11753,8520,4514,3177,7445,9845,10041,15501,8252,4738,1907,845,134,84398,11128,11283,7946,3842,2773,6217,7237,7615,11928,7078,3766,2151,1132,302,38.2,36.8,39.6,41.3,40.1,42.7,33.4,31.3,35.2,40.5,40.8,40.1,34.5,33.2,35.4,32.0,33.4,31.5,24.7,25.4,23.9,19.5,19.3,19.7,42.2,40.9,43.4,25.4,26.2,24.3,4392735
40,AL,01,,,,,040C0US01,Alabama -- In metropolitan statistical area,3686653,1782407,115197,120801,120065,74527,52610,27916,28670,75966,123350,117900,110404,115581,116381,125512,120190,42327,62268,37512,47905,59587,40712,27202,19824,1904246,111038,114102,117258,71409,49251,27562,28234,78720,127997,123574,118452,120819,124035,134589,131024,49706,68023,43701,55839,71912,55605,40280,41116,2497300,1224046,70016,73974,75183,46669,33345,82530,80489,78081,154987,174932,165290,115675,56099,16776,1273254,67191,70026,72048,44602,30045,82646,80377,77059,155255,177064,175714,132433,76182,32612,1003208,466240,35721,36260,36672,22866,16094,42710,35662,32084,57622,58044,52824,26411,10569,2701,536968,34410,33877,36276,22359,16017,45432,40441,38829,71375,71549,65540,34652,18187,8024,15450,7189,296,260,546,389,127,673,353,328,1049,1113,1291,627,121,16,8261,205,509,451,357,184,488,525,643,1397,1346,1262,750,104,40,54094,24959,1377,1831,1651,1080,740,2075,1939,2526,4778,3320,1984,1037,482,139,29135,1811,2013,1751,939,790,1986,2507,2668,5124,3823,3045,1863,650,165,1168,513,4,36,63,26,0,19,24,123,49,79,76,14,0,0,655,19,22,45,50,0,39,127,30,54,118,99,23,12,17,47451,25532,2328,3550,2193,1358,745,2203,2450,2925,4447,1986,1048,192,90,17,21919,2676,3093,2390,913,658,1458,2219,2174,3151,1848,760,412,120,47,67982,33928,5455,4890,3757,2139,1559,2342,2433,1833,3053,2419,2272,1048,553,175,34054,4726,4562,4297,2189,1557,2467,1801,2171,2915,2876,2333,1319,630,211,2409312,1177018,64233,68656,71416,44835,31799,79124,75878,73228,147956,170496,162613,114529,55533,16722,1232294,61609,64972,68465,42825,28856,79613,76812,73540,149428,173497,173535,131171,75541,32430,142945,76608,8762,9185,6226,3439,2469,6205,7458,7914,11937,6785,3915,1531,708,74,66337,8666,8501,6088,2926,2054,4749,6006,6063,9489,5764,3162,1786,857,226,37.9,36.4,39.3,41.1,39.9,42.5,33.2,31.0,35.1,41.0,41.8,40.5,34.5,33.5,35.2,34.1,33.7,34.8,25.2,26.2,24.2,19.2,18.9,19.6,41.9,40.6,43.2,25.9,26.4,25.2,3686653
40,AL,01,,,,,040C1US01,Alabama -- In metropolitan statistical area -- in principal city,1389999,661110,43642,43741,39939,26309,23691,13294,13271,35232,52725,46260,39578,39682,39287,42618,42563,15129,21258,13579,15794,19652,15025,10403,8438,728889,43343,41421,40508,24613,24414,13506,14461,37055,55930,48737,43958,42142,43459,47784,47157,18375,24693,15787,19324,26084,21563,16543,18032,725493,354143,18618,18727,16806,11644,11984,31577,27669,24470,41681,46358,46378,32819,18716,6696,371350,17900,17472,16861,10651,12506,31983,26381,22439,40580,46671,48812,39611,26424,13059,588950,269310,21323,21190,20306,13139,10146,26597,21505,18415,31792,31983,29982,15092,6222,1618,319640,21504,19986,20489,12703,10350,29993,25940,23065,40609,40623,38569,19999,11000,4810,3171,1528,53,27,51,39,47,229,95,73,251,261,241,115,46,0,1643,43,33,50,29,85,100,148,32,274,348,299,142,56,4,29168,13908,852,906,751,368,444,1405,1221,1501,2678,1741,1121,616,250,54,15260,1017,922,1026,384,525,1215,1606,1530,2452,1848,1475,862,316,82,494,215,0,13,20,19,0,16,7,69,0,35,30,6,0,0,279,3,0,6,0,0,19,111,30,14,45,29,10,12,0,18362,9775,860,1183,826,393,371,932,1241,1066,1615,724,394,110,60,0,8587,1348,1401,696,183,230,718,967,765,1015,805,269,144,46,0,24361,12231,1936,1695,1179,707,699,1041,987,666,1243,803,804,267,134,70,12130,1528,1607,1380,663,718,994,777,876,1156,903,772,427,252,77,689068,334635,16200,16471,15478,11002,11640,29857,25784,22223,38643,44599,45186,32354,18515,6683,354433,15599,15158,15611,10060,11977,30497,24951,20898,38103,45510,47817,39131,26179,12942,58495,31342,3547,3664,2219,1124,755,2981,3427,3378,5011,2611,1665,611,333,16,27153,3975,3725,2030,891,897,2468,2477,2448,3578,2145,1382,655,358,124,35.7,34.1,37.2,40.5,38.7,42.4,32.2,30.1,34.1,44.2,42.3,46.2,33.5,33.0,33.8,32.8,33.1,31.1,25.1,26.3,22.8,20.2,19.8,21.0,41.9,40.0,43.6,25.9,26.8,24.0,1389999
40,AL,01,,,,,040C2US01,Alabama -- In metropolitan statistical area -- not in principal city,2296654,1121297,71555,77060,80126,48218,28919,14622,15399,40734,70625,71640,70826,75899,77094,82894,77627,27198,41010,23933,32111,39935,25687,16799,11386,1175357,67695,72681,76750,46796,24837,14056,13773,41665,72067,74837,74494,78677,80576,86805,83867,31331,43330,27914,36515,45828,34042,23737,23084,1771807,869903,51398,55247,58377,35025,21361,50953,52820,53611,113306,128574,118912,82856,37383,10080,901904,49291,52554,55187,33951,17539,50663,53996,54620,114675,130393,126902,92822,49758,19553,414258,196930,14398,15070,16366,9727,5948,16113,14157,13669,25830,26061,22842,11319,4347,1083,217328,12906,13891,15787,9656,5667,15439,14501,15764,30766,30926,26971,14653,7187,3214,12279,5661,243,233,495,350,80,444,258,255,798,852,1050,512,75,16,6618,162,476,401,328,99,388,377,611,1123,998,963,608,48,36,24926,11051,525,925,900,712,296,670,718,1025,2100,1579,863,421,232,85,13875,794,1091,725,555,265,771,901,1138,2672,1975,1570,1001,334,83,674,298,4,23,43,7,0,3,17,54,49,44,46,8,0,0,376,16,22,39,50,0,20,16,0,40,73,70,13,0,17,29089,15757,1468,2367,1367,965,374,1271,1209,1859,2832,1262,654,82,30,17,13332,1328,1692,1694,730,428,740,1252,1409,2136,1043,491,268,74,47,43621,21697,3519,3195,2578,1432,860,1301,1446,1167,1810,1616,1468,781,419,105,21924,3198,2955,2917,1526,839,1473,1024,1295,1759,1973,1561,892,378,134,1720244,842383,48033,52185,55938,33833,20159,49267,50094,51005,109313,125897,117427,82175,37018,10039,877861,46010,49814,52854,32765,16879,49116,51861,52642,111325,127987,125718,92040,49362,19488,84450,45266,5215,5521,4007,2315,1714,3224,4031,4536,6926,4174,2250,920,375,58,39184,4691,4776,4058,2035,1157,2281,3529,3615,5911,3619,1780,1131,499,102,39.2,37.9,40.5,41.3,40.2,42.5,34.7,32.4,36.4,40.2,41.6,39.4,35.7,33.8,37.6,40.7,34.9,41.7,25.3,25.8,25.2,18.5,18.2,18.8,42.0,40.8,43.1,25.9,26.0,25.9,2296654
40,AL,01,,,,,040E0US01,Alabama -- In micropolitan statistical area,706082,346360,20895,22295,24165,14361,8949,5682,4624,13997,22199,21370,20380,23556,23388,24070,23418,9646,11971,7947,10602,14074,9213,5598,3960,359722,21113,22148,22868,13980,8626,4685,5092,12908,21512,20865,21472,22388,22654,24946,25638,9374,13158,9219,11146,16888,11896,8892,8254,526006,259618,14821,15021,16995,10117,5990,16747,15941,15617,32628,36417,35645,27363,12828,3488,266388,14064,15050,15776,9868,5631,15936,14867,15039,31926,35983,37259,30642,17446,6901,145091,69004,4353,4937,5189,3417,2440,6287,4669,4545,8873,9363,8317,4475,1740,399,76087,5240,5092,5273,3230,2455,5698,5520,4686,9643,9911,9446,5713,2897,1283,5287,2623,115,218,198,103,88,174,160,91,391,448,176,265,139,57,2664,169,73,210,134,95,185,168,172,264,466,433,175,86,34,4592,1774,110,155,106,78,16,173,179,234,311,213,109,65,25,0,2818,163,229,186,73,34,235,221,135,590,307,275,209,161,0,710,359,106,48,0,0,0,7,6,19,58,74,18,23,0,0,351,0,122,11,0,0,0,9,125,56,23,5,0,0,0,11812,6656,701,1092,861,351,173,333,807,608,1115,415,163,29,8,0,5156,780,713,652,187,138,435,560,450,802,303,108,4,24,0,12584,6326,689,824,816,295,242,582,437,256,560,528,607,403,71,16,6258,697,869,760,488,273,196,167,258,579,607,644,510,174,36,500549,246073,13193,13685,15595,9390,5457,16015,14537,14097,30429,35464,35031,27053,12699,3428,254476,12507,13317,14639,9212,5087,14927,14182,14042,30397,35016,36788,30312,17225,6825,39360,21299,2473,2568,2294,1075,708,1240,2387,2127,3564,1467,823,376,137,60,18061,2462,2782,1858,916,719,1468,1231,1552,2439,1314,604,365,275,76,39.9,38.7,40.9,42.2,40.9,43.5,34.7,33.3,35.9,39.2,39.2,38.9,34.5,30.9,37.6,31.4,32.7,31.3,22.0,22.3,21.8,21.7,21.8,21.5,43.4,42.2,44.7,23.9,25.4,20.9,706082
40,AL,01,,,,,040E1US01,Alabama -- In micropolitan statistical area -- in principal city,221592,106575,6707,7737,7142,4156,2975,2439,1679,4982,8274,7286,6268,6999,5938,6812,6450,2994,3512,2232,2591,3792,2628,1700,1282,115017,7651,7366,7301,4338,3357,1822,2003,4450,7934,6627,6545,6666,6887,7668,7554,2639,3382,2531,3381,4719,3875,3245,3076,140626,68124,3697,4313,4245,2443,1760,5143,4869,4475,8391,8444,9178,6505,3544,1117,72502,4191,3770,4200,2628,1968,4757,4589,4141,7692,9220,9169,7934,5689,2554,68803,32365,2412,2415,2538,1527,1059,3398,2785,2235,3901,3849,3553,1813,730,150,36438,2729,2733,2496,1390,1262,2914,2944,2177,4731,4821,4019,2490,1227,505,1034,432,33,51,0,5,0,0,24,22,101,51,15,84,31,15,602,35,36,32,26,36,125,21,13,8,134,96,4,24,12,2420,935,53,89,45,27,4,135,157,151,154,45,37,38,0,0,1485,143,153,128,40,18,189,92,83,319,80,55,80,105,0,555,276,85,48,0,0,0,7,0,0,43,74,13,6,0,0,279,0,115,0,0,0,0,0,92,55,17,0,0,0,0,4148,2289,216,520,103,50,49,106,343,343,441,84,13,21,0,0,1859,322,281,254,90,4,196,247,88,255,71,27,0,24,0,4006,2154,211,301,211,104,103,311,96,60,236,203,147,148,23,0,1852,231,278,191,164,69,94,41,33,151,212,209,123,51,5,129661,62185,2965,3613,3828,2217,1427,5047,4195,3795,7134,8174,8824,6370,3505,1091,67476,3420,2994,3858,2479,1693,4332,4199,3688,7178,8730,8952,7872,5564,2517,16404,8928,1068,1282,521,294,383,285,1129,1012,1929,401,406,153,39,26,7476,1164,1298,600,240,294,627,636,633,854,586,264,77,166,37,37.0,34.9,38.9,40.9,39.4,42.9,31.9,30.1,33.7,41.3,41.8,27.5,27.9,28.0,27.9,31.2,22.7,31.3,24.2,25.7,16.3,21.4,21.6,19.9,42.9,40.8,44.9,25.3,26.6,20.9,221592
40,AL,01,,,,,040E2US01,Alabama -- In micropolitan statistical area -- not in principal city,484490,239785,14188,14558,17023,10205,5974,3243,2945,9015,13925,14084,14112,16557,17450,17258,16968,6652,8459,5715,8011,10282,6585,3898,2678,244705,13462,14782,15567,9642,5269,2863,3089,8458,13578,14238,14927,15722,15767,17278,18084,6735,9776,6688,7765,12169,8021,5647,5178,385380,191494,11124,10708,12750,7674,4230,11604,11072,11142,24237,27973,26467,20858,9284,2371,193886,9873,11280,11576,7240,3663,11179,10278,10898,24234,26763,28090,22708,11757,4347,76288,36639,1941,2522,2651,1890,1381,2889,1884,2310,4972,5514,4764,2662,1010,249,39649,2511,2359,2777,1840,1193,2784,2576,2509,4912,5090,5427,3223,1670,778,4253,2191,82,167,198,98,88,174,136,69,290,397,161,181,108,42,2062,134,37,178,108,59,60,147,159,256,332,337,171,62,22,2172,839,57,66,61,51,12,38,22,83,157,168,72,27,25,0,1333,20,76,58,33,16,46,129,52,271,227,220,129,56,0,155,83,21,0,0,0,0,0,6,19,15,0,5,17,0,0,72,0,7,11,0,0,0,9,33,1,6,5,0,0,0,7664,4367,485,572,758,301,124,227,464,265,674,331,150,8,8,0,3297,458,432,398,97,134,239,313,362,547,232,81,4,0,0,8578,4172,478,523,605,191,139,271,341,196,324,325,460,255,48,16,4406,466,591,569,324,204,102,126,225,428,395,435,387,123,31,370888,183888,10228,10072,11767,7173,4030,10968,10342,10302,23295,27290,26207,20683,9194,2337,187000,9087,10323,10781,6733,3394,10595,9983,10354,23219,26286,27836,22440,11661,4308,22956,12371,1405,1286,1773,781,325,955,1258,1115,1635,1066,417,223,98,34,10585,1298,1484,1258,676,425,841,595,919,1585,728,340,288,109,39,41.0,40.2,42.0,42.6,41.6,43.6,37.7,37.1,38.3,38.7,38.3,39.5,40.8,38.6,43.0,31.8,32.8,31.3,20.6,19.2,24.2,22.0,21.9,22.6,43.6,42.6,44.6,22.9,23.4,20.8,484490
