SummaryLevel,State,StateFIPS,CountyFIPS,PlaceFIPS,CBSACode,CongressDistrict,GEOID,AreaName,B01001_001,B01001_002,B01001_003,B01001_004,B01001_005,B01001_006,B01001_007,B01001_008,B01001_009,B01001_010,B01001_011,B01001_012,B01001_013,B01001_014,B01001_015,B01001_016,B01001_017,B01001_018,B01001_019,B01001_020,B01001_021,B01001_022,B01001_023,B01001_024,B01001_025,B01001_026,B01001_027,B01001_028,B01001_029,B01001_030,B01001_031,B01001_032,B01001_033,B01001_034,B01001_035,B01001_036,B01001_037,B01001_038,B01001_039,B01001_040,B01001_041,B01001_042,B01001_043,B01001_044,B01001_045,B01001_046,B01001_047,B01001_048,B01001_049,B01001A_001,B01001A_002,B01001A_003,B01001A_004,B01001A_005,B01001A_006,B01001A_007,B01001A_008,B01001A_009,B01001A_010,B01001A_011,B01001A_012,B01001A_013,B01001A_014,B01001A_015,B01001A_016,B01001A_017,B01001A_018,B01001A_019,B01001A_020,B01001A_021,B01001A_022,B01001A_023,B01001A_024,B01001A_025,B01001A_026,B01001A_027,B01001A_028,B01001A_029,B01001A_030,B01001A_031,B01001B_001,B01001B_002,B01001B_003,B01001B_004,B01001B_005,B01001B_006,B01001B_007,B01001B_008,B01001B_009,B01001B_010,B01001B_011,B01001B_012,B01001B_013,B01001B_014,B01001B_015,B01001B_016,B01001B_017,B01001B_018,B01001B_019,B01001B_020,B01001B_021,B01001B_022,B01001B_023,B01001B_024,B01001B_025,B01001B_026,B01001B_027,B01001B_028,B01001B_029,B01001B_030,B01001B_031,B01001C_001,B01001C_002,B01001C_003,B01001C_004,B01001C_005,B01001C_006,B01001C_007,B01001C_008,B01001C_009,B01001C_010,B01001C_011,B01001C_012,B01001C_013,B01001C_014,B01001C_015,B01001C_016,B01001C_017,B01001C_018,B01001C_019,B01001C_020,B01001C_021,B01001C_022,B01001C_023,B01001C_024,B01001C_025,B01001C_026,B01001C_027,B01001C_028,B01001C_029,B01001C_030,B01001C_031,B01001D_001,B01001D_002,B01001D_003,B01001D_004,B01001D_005,B01001D_006,B01001D_007,B01001D_008,B01001D_009,B01001D_010,B01001D_011,B01001D_012,B01001D_013,B01001D_014,B01001D_015,B01001D_016,B01001D_017,B01001D_018,B01001D_019,B01001D_020,B01001D_021,B01001D_022,B01001D_023,B01001D_024,B01001D_025,B01001D_026,B01001D_027,B01001D_028,B01001D_029,B01001D_030,B01001D_031,B01001E_001,B01001E_002,B01001E_003,B01001E_004,B01001E_005,B01001E_006,B01001E_007,B01001E_008,B01001E_009,B01001E_010,B01001E_011,B01001E_012,B01001E_013,B01001E_014,B01001E_015,B01001E_016,B01001E_017,B01001E_018,B01001E_019,B01001E_020,B01001E_021,B01001E_022,B01001E_023,B01001E_024,B01001E_025,B01001E_026,B01001E_027,B01001E_028,B01001E_029,B01001E_030,B01001E_031,B01001F_001,B01001F_002,B01001F_003,B01001F_004,B01001F_005,B01001F_006,B01001F_007,B01001F_008,B01001F_009,B01001F_010,B01001F_011,B01001F_012,B01001F_013,B01001F_014,B01001F_015,B01001F_016,B01001F_017,B01001F_018,B01001F_019,B01001F_020,B01001F_021,B01001F_022,B01001F_023,B01001F_024,B01001F_025,B01001F_026,B01001F_027,B01001F_028,B01001F_029,B01001F_030,B01001F_031,B01001G_001,B01001G_002,B01001G_003,B01001G_004,B01001G_005,B01001G_006,B01001G_007,B01001G_008,B01001G_009,B01001G_010,B01001G_011,B01001G_012,B01001G_013,B01001G_014,B01001G_015,B01001G_016,B01001G_017,B01001G_018,B01001G_019,B01001G_020,B01001G_021,B01001G_022,B01001G_023,B01001G_024,B01001G_025,B01001G_026,B01001G_027,B01001G_028,B01001G_029,B01001G_030,B01001G_031,B01001H_001,B01001H_002,B01001H_003,B01001H_004,B01001H_005,B01001H_006,B01001H_007,B01001H_008,B01001H_009,B01001H_010,B01001H_011,B01001H_012,B01001H_013,B01001H_014,B01001H_015,B01001H_016,B01001H_017,B01001H_018,B01001H_019,B01001H_020,B01001H_021,B01001H_022,B01001H_023,B01001H_024,B01001H_025,B01001H_026,B01001H_027,B01001H_028,B01001H_029,B01001H_030,B01001H_031,B01001I_001,B01001I_002,B01001I_003,B01001I_004,B01001I_005,B01001I_006,B01001I_007,B01001I_008,B01001I_009,B01001I_010,B01001I_011,B01001I_012,B01001I_013,B01001I_014,B01001I_015,B01001I_016,B01001I_017,B01001I_018,B01001I_019,B01001I_020,B01001I_021,B01001I_022,B01001I_023,B01001I_024,B01001I_025,B01001I_026,B01001I_027,B01001I_028,B01001I_029,B01001I_030,B01001I_031,B01002_001,B01002_002,B01002_003,B01002A_001,B01002A_002,B01002A_003,B01002B_001,B01002B_002,B01002B_003,B01002C_001,B01002C_002,B01002C_003,B01002D_001,B01002D_002,B01002D_003,B01002E_001,B01002E_002,B01002E_003,B01002F_001,B01002F_002,B01002F_003,B01002G_001,B01002G_002,B01002G_003,B01002H_001,B01002H_002,B01002H_003,B01002I_001,B01002I_002,B01002I_003,B01003_001
40,GA,13,,,,,04000US13,Georgia,10099320,4922471,337450,362535,356987,214171,149344,79306,74337,215989,345707,335122,324493,342239,343239,340625,303635,109836,147552,92193,116941,143107,91023,56634,40006,5176849,323491,340155,354043,206343,140669,75420,72232,207386,348319,349832,347763,361101,358119,361883,331842,122025,169835,104843,135028,173444,120534,86400,86142,6039389,2991756,178341,194216,195183,116865,79680,203550,199270,193975,399691,437487,381435,263205,115734,33124,3047633,169249,180928,189296,111668,74201,187380,192299,191786,396380,434594,404143,294936,155136,65637,3148134,1475661,113017,122375,120949,74372,53795,129090,110521,102586,196851,195097,149508,74899,26636,5965,1672473,110043,114047,122495,73111,51267,133370,121760,120950,240407,233524,185852,101755,45420,18472,28950,14625,951,855,1130,901,442,965,1213,897,1999,2016,1944,1026,245,41,14325,833,868,1114,696,499,1040,966,1145,1873,2369,1623,901,231,167,373983,180215,11838,12656,12435,7046,5766,14250,14713,15489,31871,24721,16560,8780,3537,553,193768,11210,12570,12732,6792,5139,12711,15440,17237,37331,27297,19729,10396,4149,1035,4916,2422,208,254,182,114,94,154,125,244,288,293,308,111,47,0,2494,186,89,249,157,12,209,422,204,387,237,203,107,0,32,281491,151017,14792,15939,13843,7495,5306,12936,13923,16204,26026,15953,6155,1980,383,82,130474,14064,14817,14227,6739,4298,11329,10276,11534,22029,12910,5715,1645,684,207,222457,106775,18303,16240,13265,7378,4261,8687,5942,5727,10006,8297,5113,2240,1075,241,115682,17906,16836,13930,7180,5253,8999,7156,6976,10457,9071,6437,3575,1314,592,5466239,2690679,145789,161502,166625,103102,69595,179070,173870,166736,350040,405966,365593,256944,113458,32389,2775560,138459,151162,161071,97957,65710,168529,171733,168560,351740,408012,389464,287519,151303,64341,926990,489113,53625,53482,45956,23370,16717,39857,42009,45944,81227,50841,23567,8624,3009,885,437877,50269,49396,45837,22434,14200,33416,33365,37346,70619,42321,22100,10015,4820,1739,36.2,34.9,37.4,39.7,38.5,40.8,32.8,30.6,34.5,34.9,34.7,35.0,34.8,33.7,36.0,30.0,30.8,29.5,25.9,27.0,24.9,18.0,17.2,18.7,41.6,40.4,42.6,25.9,26.3,25.5,10099320
40,GA,13,,,,,04001US13,Georgia -- Urban,7642287,3693047,265630,281889,271569,160719,117077,63132,59458,172066,276586,266874,251040,260828,255257,246165,214278,76275,101615,61488,76527,92197,57283,37106,27988,3949240,257179,263286,272593,157912,113917,61198,58620,167675,281590,281937,275007,280565,269961,266741,240338,87296,121748,72615,93005,117789,82360,61373,64535,4077844,2011603,124573,132359,129239,75759,55633,148450,147252,142056,277404,289403,241517,157058,68527,22373,2066241,119182,123398,127033,73987,53687,136517,139714,138079,274391,287385,260555,184408,100250,47655,2760399,1280494,101319,109519,106982,65421,47624,113140,97153,90160,171249,166284,124357,61037,21455,4794,1479905,99740,101068,108982,65399,46784,120284,110837,110233,216594,203570,159074,84530,37744,15066,22821,11832,887,801,899,598,321,837,1051,787,1745,1470,1455,814,126,41,10989,659,788,854,432,393,699,812,914,1525,1707,1223,640,193,150,351489,170133,11057,11967,11424,6487,5434,13571,14135,14881,30259,23347,15539,8167,3339,526,181356,10433,11752,11822,6426,4726,12104,14930,16396,34629,25359,18389,9527,3881,982,3975,2026,140,246,182,94,68,145,66,244,274,169,258,105,35,0,1949,153,81,215,113,12,158,326,172,255,193,164,78,0,29,242947,129845,12976,13840,12012,6526,4372,11009,11817,13670,22416,14065,5237,1512,311,82,113102,11853,12652,12267,5741,3843,9937,8728,10061,19362,11484,4936,1383,648,207,182812,87114,14678,13157,10831,5834,3625,7504,5112,5076,8521,6684,3805,1519,596,172,95698,15159,13547,11420,5814,4472,7794,6243,6082,8816,7004,5041,2843,1017,446,3578095,1749624,96382,103851,104206,63618,47265,127116,124513,118136,233945,262285,228099,151861,66638,21709,1828471,92413,97669,102555,61831,46346,119801,121583,117383,234713,264192,248102,178493,96843,46547,807803,425242,46890,46557,40168,20436,13983,34428,37061,40032,70914,44286,19962,7192,2528,805,382561,43461,42607,39928,19742,12387,29374,29221,33149,62588,36984,19013,8213,4359,1535,34.7,33.3,36.1,38.1,36.8,39.5,32.1,29.9,33.9,34.1,33.2,34.7,34.7,33.7,35.7,29.9,30.7,29.2,26.0,26.8,25.1,18.2,17.4,18.8,40.4,39.0,41.7,26.0,26.2,25.6,7642287
40,GA,13,,,,,04043US13,Georgia -- Rural,2457033,1229424,71820,80646,85418,53452,32267,16174,14879,43923,69121,68248,73453,81411,87982,94460,89357,33561,45937,30705,40414,50910,33740,19528,12018,1227609,66312,76869,81450,48431,26752,14222,13612,39711,66729,67895,72756,80536,88158,95142,91504,34729,48087,32228,42023,55655,38174,25027,21607,1961545,980153,53768,61857,65944,41106,24047,55100,52018,51919,122287,148084,139918,106147,47207,10751,981392,50067,57530,62263,37681,20514,50863,52585,53707,121989,147209,143588,110528,54886,17982,387735,195167,11698,12856,13967,8951,6171,15950,13368,12426,25602,28813,25151,13862,5181,1171,192568,10303,12979,13513,7712,4483,13086,10923,10717,23813,29954,26778,17225,7676,3406,6129,2793,64,54,231,303,121,128,162,110,254,546,489,212,119,0,3336,174,80,260,264,106,341,154,231,348,662,400,261,38,17,22494,10082,781,689,1011,559,332,679,578,608,1612,1374,1021,613,198,27,12412,777,818,910,366,413,607,510,841,2702,1938,1340,869,268,53,941,396,68,8,0,20,26,9,59,0,14,124,50,6,12,0,545,33,8,34,44,0,51,96,32,132,44,39,29,0,3,38544,21172,1816,2099,1831,969,934,1927,2106,2534,3610,1888,918,468,72,0,17372,2211,2165,1960,998,455,1392,1548,1473,2667,1426,779,262,36,0,39645,19661,3625,3083,2434,1544,636,1183,830,651,1485,1613,1308,721,479,69,19984,2747,3289,2510,1366,781,1205,913,894,1641,2067,1396,732,297,146,1888144,941055,49407,57651,62419,39484,22330,51954,49357,48600,116095,143681,137494,105083,46820,10680,947089,46046,53493,58516,36126,19364,48728,50150,51177,117027,143820,141362,109026,54460,17794,119187,63871,6735,6925,5788,2934,2734,5429,4948,5912,10313,6555,3605,1432,481,80,55316,6808,6789,5909,2692,1813,4042,4144,4197,8031,5337,3087,1802,461,204,41.4,40.3,42.4,42.9,42.1,43.7,38.0,35.8,40.4,39.8,43.7,36.3,36.6,33.6,38.4,33.3,40.1,31.8,25.7,28.1,22.8,17.3,16.4,18.2,43.6,42.9,44.4,25.5,26.5,24.3,2457033
40,GA,13,,,,,040A0US13,Georgia -- In metropolitan or micropolitan statistical area,9314236,4527182,314916,337953,331838,199028,138347,73654,69187,199026,321108,310289,300826,316917,317104,312185,277009,99287,132500,81874,103368,126325,79766,49570,35105,4787054,301599,316836,329533,191851,130945,70337,67082,194855,327303,328899,326107,337312,333909,334096,303756,110822,153869,94008,120598,153608,106567,76562,76600,5495361,2719583,164297,179164,178636,107081,72977,187134,184283,178989,366669,399138,342247,229830,100143,28995,2775778,156355,166798,173747,102245,68099,172797,178099,177939,365341,398305,362946,258990,135541,58576,2942655,1372227,106820,115086,113691,69987,50134,119793,102995,94505,183376,180930,137369,68222,24067,5252,1570428,103466,106778,115239,68955,48219,126533,115785,114941,228078,219275,172494,93153,41428,16084,26375,13450,903,843,1024,718,441,895,1172,835,1939,1723,1813,917,186,41,12925,777,850,967,560,471,751,944,1128,1760,2117,1516,712,214,158,369722,178104,11755,12493,12301,7012,5680,13999,14476,15344,31587,24441,16359,8605,3520,532,191618,11039,12434,12568,6758,5046,12547,15345,17064,36935,27007,19511,10232,4097,1035,4781,2350,197,254,182,114,94,145,81,243,281,293,308,111,47,0,2431,186,89,232,131,12,209,422,204,376,237,194,107,0,32,263536,140397,13852,14988,13220,7145,4900,11764,12520,14796,24276,14781,5832,1872,369,82,123139,12963,13894,13346,6289,4032,10768,9699,10891,20837,12380,5547,1618,668,207,211806,101071,17092,15125,12784,6971,4121,8137,5581,5577,9615,7983,4868,2010,1004,203,110735,16813,15993,13434,6913,5066,8669,7009,6732,10092,8684,6239,3402,1181,508,4945167,2431836,132963,147779,151165,93752,63252,163798,159947,153255,319520,369170,327125,223795,98024,28291,2513331,126676,138217,146464,89121,59901,154479,158473,155536,322302,372252,348797,251981,131803,57329,881533,462268,51123,50966,44095,22264,15900,37235,39325,42918,76499,47708,22300,8261,2829,845,419265,47876,47232,43874,21251,13532,32059,31794,35891,67574,40942,21343,9517,4716,1664,35.8,34.5,37.0,39.2,38.0,40.4,32.6,30.4,34.3,34.8,34.3,35.1,34.8,33.7,36.0,30.3,31.1,29.5,25.9,26.7,25.1,18.2,17.3,18.8,41.1,40.0,42.2,25.8,26.1,25.6,9314236
40,GA,13,,,,,040C0US13,Georgia -- In metropolitan statistical area,8325876,4042146,282750,303534,297711,178886,120954,64984,60127,175662,289350,279444,272231,286137,285624,279646,245835,88146,117116,72347,89849,109468,68956,42974,30415,4283730,269999,283722,296126,172482,115091,62118,59058,173289,295863,299133,296043,305446,301791,300499,270728,98649,136478,82759,106211,133415,92160,65708,66962,4814070,2383350,144456,157679,156747,94119,62438,160560,162842,158547,325180,353072,299477,197756,85385,25092,2430720,136905,146496,152577,89611,58540,148586,157413,158052,323693,351994,317730,222984,115342,50797,2691400,1251844,98225,105507,104325,64234,44399,107873,94152,86631,169164,165693,124284,61134,21717,4506,1439556,94138,97250,105761,63518,42928,115376,106694,106949,211819,202629,157240,84278,36622,14354,23942,12218,819,693,941,671,441,846,1072,750,1795,1514,1607,870,158,41,11724,774,818,967,502,429,678,793,1033,1697,1831,1254,627,172,149,358662,172960,11387,12252,11779,6714,5527,13377,14238,14959,30832,23733,15860,8372,3398,532,185702,10691,12147,12156,6595,4758,12158,15068,16659,35660,26164,18874,9822,3959,991,4372,2125,197,254,159,114,68,145,60,243,274,219,241,104,47,0,2247,186,89,213,115,12,194,384,193,339,237,159,94,0,32,238677,127311,12370,13472,12091,6694,4360,10488,11755,13069,22103,13522,5301,1695,309,82,111366,11650,12271,11904,5720,3702,9486,8914,9831,19001,11556,5060,1434,651,186,194753,92338,15296,13677,11669,6340,3721,7484,5231,5245,9020,7517,4327,1733,916,162,102415,15655,14651,12548,6421,4722,7987,6597,6416,9280,7879,5538,3146,1122,453,4306157,2118257,115516,128754,131519,81852,53772,139477,140574,134747,281318,325392,285400,192051,83456,24429,2187900,109862,120614,127399,77489,50874,132144,139151,136937,283538,327694,304387,216366,111840,49605,811644,424992,47002,46981,40455,20587,14298,33488,36413,39273,70856,44055,20508,7733,2539,804,386652,43812,42571,40305,19599,12618,28956,29465,33581,62642,38329,19834,8906,4460,1574,35.7,34.4,36.9,39.1,38.0,40.3,32.6,30.4,34.4,34.1,34.1,34.2,34.8,33.8,35.9,30.0,30.6,29.5,26.1,26.7,25.5,18.3,17.6,18.8,41.1,40.0,42.2,26.0,26.2,25.9,8325876
40,GA,13,,,,,040C1US13,Georgia -- In metropolitan statistical area -- in principal city,1955489,946887,67505,64307,58994,33765,35844,20222,18611,54062,87557,76267,63633,62080,57605,57672,52536,18772,25287,15401,18163,23851,14803,10916,9034,1008602,66304,59132,60670,33265,36692,21015,18921,51919,86950,78281,66773,61159,59206,63155,58319,22321,30728,18669,23558,30716,22446,17838,20565,938863,470315,27430,25162,21674,13258,16048,45645,45322,39646,65721,61850,52051,33650,16066,6792,468548,26092,22420,23470,12880,16645,40735,41322,35960,59332,57476,54809,39855,24097,13455,849923,393585,31846,31578,31471,17134,15372,37842,33276,28315,47342,45948,40385,22212,8826,2038,456338,31639,29775,31066,17132,15866,42886,37019,34656,56709,56596,50910,30354,15088,6642,7294,3761,213,177,187,193,113,267,341,295,827,431,409,211,56,41,3533,157,157,364,211,217,217,148,180,468,726,437,170,36,45,69643,35134,2059,2082,1734,876,2121,4366,4578,3923,6125,3564,2105,867,642,92,34509,1861,1842,1254,807,1647,3728,4129,3943,5830,3895,3074,1591,691,217,1749,1003,51,184,96,93,65,42,0,158,188,42,79,5,0,0,746,100,25,167,52,0,24,46,103,82,72,75,0,0,0,39131,20159,2127,1956,1645,922,1080,1917,2305,2053,3278,1800,797,185,67,27,18972,1945,1559,1841,933,672,1712,2118,1683,3361,2090,660,187,84,127,48886,22930,3779,3168,2187,1289,1045,2816,1735,1877,2232,1642,769,285,62,44,25956,4510,3354,2508,1250,1645,2553,2168,1756,2150,1506,1403,786,288,79,830248,412774,21556,19816,16884,10881,13786,40370,38775,34399,56067,56151,49059,32601,15816,6613,417474,20528,17298,18695,10287,14475,36326,36786,31136,51329,53155,52204,38689,23539,13027,166684,86817,9456,8750,7036,3689,3568,7957,9636,8238,14318,8247,3994,1309,393,226,79867,9540,8009,7508,3802,3288,7273,7365,7039,12423,6769,3769,1742,732,608,33.2,32.0,34.4,36.2,35.1,37.3,31.5,29.7,33.1,37.4,37.3,37.6,30.9,29.7,32.4,21.4,20.5,25.2,26.3,25.9,26.9,19.8,20.0,19.6,38.0,36.8,39.4,25.9,26.2,25.4,1955489
40,GA,13,,,,,040C2US13,Georgia -- In metropolitan statistical area -- not in principal city,6370387,3095259,215245,239227,238717,145121,85110,44762,41516,121600,201793,203177,208598,224057,228019,221974,193299,69374,91829,56946,71686,85617,54153,32058,21381,3275128,203695,224590,235456,139217,78399,41103,40137,121370,208913,220852,229270,244287,242585,237344,212409,76328,105750,64090,82653,102699,69714,47870,46397,3875207,1913035,117026,132517,135073,80861,46390,114915,117520,118901,259459,291222,247426,164106,69319,18300,1962172,110813,124076,129107,76731,41895,107851,116091,122092,264361,294518,262921,183129,91245,37342,1841477,858259,66379,73929,72854,47100,29027,70031,60876,58316,121822,119745,83899,38922,12891,2468,983218,62499,67475,74695,46386,27062,72490,69675,72293,155110,146033,106330,53924,21534,7712,16648,8457,606,516,754,478,328,579,731,455,968,1083,1198,659,102,0,8191,617,661,603,291,212,461,645,853,1229,1105,817,457,136,104,289019,137826,9328,10170,10045,5838,3406,9011,9660,11036,24707,20169,13755,7505,2756,440,151193,8830,10305,10902,5788,3111,8430,10939,12716,29830,22269,15800,8231,3268,774,2623,1122,146,70,63,21,3,103,60,85,86,177,162,99,47,0,1501,86,64,46,63,12,170,338,90,257,165,84,94,0,32,199546,107152,10243,11516,10446,5772,3280,8571,9450,11016,18825,11722,4504,1510,242,55,92394,9705,10712,10063,4787,3030,7774,6796,8148,15640,9466,4400,1247,567,59,145867,69408,11517,10509,9482,5051,2676,4668,3496,3368,6788,5875,3558,1448,854,118,76459,11145,11297,10040,5171,3077,5434,4429,4660,7130,6373,4135,2360,834,374,3475909,1705483,93960,108938,114635,70971,39986,99107,101799,100348,225251,269241,236341,159450,67640,17816,1770426,89334,103316,108704,67202,36399,95818,102365,105801,232209,274539,252183,177677,88301,36578,644960,338175,37546,38231,33419,16898,10730,25531,26777,31035,56538,35808,16514,6424,2146,578,306785,34272,34562,32797,15797,9330,21683,22100,26542,50219,31560,16065,7164,3728,966,36.5,35.3,37.7,39.9,38.7,40.9,33.1,30.7,34.9,32.9,32.9,32.9,36.2,35.2,36.9,31.2,35.3,29.8,26.1,26.9,25.1,17.6,16.8,18.4,41.8,40.8,42.8,26.1,26.2,26.0,6370387
40,GA,13,,,,,040E0US13,Georgia -- In micropolitan statistical area,988360,485036,32166,34419,34127,20142,17393,8670,9060,23364,31758,30845,28595,30780,31480,32539,31174,11141,15384,9527,13519,16857,10810,6596,4690,503324,31600,33114,33407,19369,15854,8219,8024,21566,31440,29766,30064,31866,32118,33597,33028,12173,17391,11249,14387,20193,14407,10854,9638,681291,336233,19841,21485,21889,12962,10539,26574,21441,20442,41489,46066,42770,32074,14758,3903,345058,19450,20302,21170,12634,9559,24211,20686,19887,41648,46311,45216,36006,20199,7779,251255,120383,8595,9579,9366,5753,5735,11920,8843,7874,14212,15237,13085,7088,2350,746,130872,9328,9528,9478,5437,5291,11157,9091,7992,16259,16646,15254,8875,4806,1730,2433,1232,84,150,83,47,0,49,100,85,144,209,206,47,28,0,1201,3,32,0,58,42,73,151,95,63,286,262,85,42,9,11060,5144,368,241,522,298,153,622,238,385,755,708,499,233,122,0,5916,348,287,412,163,288,389,277,405,1275,843,637,410,138,44,409,225,0,0,23,0,26,0,21,0,7,74,67,7,0,0,184,0,0,19,16,0,15,38,11,37,0,35,13,0,0,24859,13086,1482,1516,1129,451,540,1276,765,1727,2173,1259,531,177,60,0,11773,1313,1623,1442,569,330,1282,785,1060,1836,824,487,184,17,21,17053,8733,1796,1448,1115,631,400,653,350,332,595,466,541,277,88,41,8320,1158,1342,886,492,344,682,412,316,812,805,701,256,59,55,639010,313579,17447,19025,19646,11900,9480,24321,19373,18508,38202,43778,41725,31744,14568,3862,325431,16814,17603,19065,11632,9027,22335,19322,18599,38764,44558,44410,35615,19963,7724,69889,37276,4121,3985,3640,1677,1602,3747,2912,3645,5643,3653,1792,528,290,41,32613,4064,4661,3569,1652,914,3103,2329,2310,4932,2613,1509,611,256,90,36.6,35.1,38.1,39.7,38.2,41.1,32.0,30.2,33.9,43.4,37.5,46.9,35.7,31.6,38.2,42.3,46.6,33.4,23.9,26.0,22.1,17.0,15.0,19.5,41.2,39.8,42.4,23.5,24.8,21.8,988360
40,GA,13,,,,,040E1US13,Georgia -- In micropolitan statistical area -- in principal city,321420,150709,12019,11221,10891,5864,7775,3594,3780,8801,11131,9959,7810,8653,7359,8647,8523,2829,4615,2312,3548,4782,2872,1938,1786,170711,11471,12061,10970,6208,8339,4180,4072,9517,11357,10208,9465,9630,9196,9125,9440,3756,5428,3545,4045,5866,4501,4015,4316,165300,78584,5139,4473,4340,2577,3926,9048,6382,4962,8546,8457,9112,6706,3508,1408,86716,4964,4753,4399,2769,4331,8918,5728,4907,8630,9107,10138,8735,6046,3291,134432,60938,5199,5526,5396,2798,3477,6036,4067,3911,6364,6624,6129,3775,1271,365,73494,5716,5761,5527,3068,3558,7467,5127,4538,8966,8367,7595,4461,2407,936,946,481,69,127,34,37,0,7,36,24,20,77,39,11,0,0,465,0,0,0,0,0,56,146,23,17,36,124,18,36,9,4490,2250,137,147,139,106,55,241,197,186,401,312,257,60,12,0,2240,107,130,114,33,99,165,59,166,529,262,401,120,11,44,169,111,0,0,0,0,0,0,16,0,0,61,33,1,0,0,58,0,0,0,0,0,0,23,0,0,0,35,0,0,0,10151,5240,754,486,539,145,112,542,328,757,840,414,280,38,5,0,4911,331,1044,633,205,136,740,129,453,665,397,130,27,0,21,5932,3105,721,462,443,201,205,301,105,119,292,61,117,51,14,13,2827,353,373,297,133,215,423,145,121,288,152,201,95,16,15,151319,71505,4488,3691,3852,2317,3588,8244,5355,4207,7560,7939,8812,6609,3467,1376,79814,4049,3766,3667,2332,4217,8067,5141,4437,7856,8562,9885,8601,5960,3274,25810,13297,1629,1376,1107,498,526,1406,1382,1558,1958,1041,591,147,46,32,12513,1301,2220,1398,666,290,1512,851,928,1621,927,494,181,86,38,31.7,30.1,33.4,35.5,33.7,37.9,29.0,27.5,30.7,26.9,15.5,43.3,36.3,32.1,41.1,46.7,46.6,56.2,22.9,25.6,21.3,17.8,14.6,20.4,37.7,35.0,40.6,23.0,25.3,20.8,321420
40,GA,13,,,,,040E2US13,Georgia -- In micropolitan statistical area -- not in principal city,666940,334327,20147,23198,23236,14278,9618,5076,5280,14563,20627,20886,20785,22127,24121,23892,22651,8312,10769,7215,9971,12075,7938,4658,2904,332613,20129,21053,22437,13161,7515,4039,3952,12049,20083,19558,20599,22236,22922,24472,23588,8417,11963,7704,10342,14327,9906,6839,5322,515991,257649,14702,17012,17549,10385,6613,17526,15059,15480,32943,37609,33658,25368,11250,2495,258342,14486,15549,16771,9865,5228,15293,14958,14980,33018,37204,35078,27271,14153,4488,116823,59445,3396,4053,3970,2955,2258,5884,4776,3963,7848,8613,6956,3313,1079,381,57378,3612,3767,3951,2369,1733,3690,3964,3454,7293,8279,7659,4414,2399,794,1487,751,15,23,49,10,0,42,64,61,124,132,167,36,28,0,736,3,32,0,58,42,17,5,72,46,250,138,67,6,0,6570,2894,231,94,383,192,98,381,41,199,354,396,242,173,110,0,3676,241,157,298,130,189,224,218,239,746,581,236,290,127,0,240,114,0,0,23,0,26,0,5,0,7,13,34,6,0,0,126,0,0,19,16,0,15,15,11,37,0,0,13,0,0,14708,7846,728,1030,590,306,428,734,437,970,1333,845,251,139,55,0,6862,982,579,809,364,194,542,656,607,1171,427,357,157,17,0,11121,5628,1075,986,672,430,195,352,245,213,303,405,424,226,74,28,5493,805,969,589,359,129,259,267,195,524,653,500,161,43,40,487691,242074,12959,15334,15794,9583,5892,16077,14018,14301,30642,35839,32913,25135,11101,2486,245617,12765,13837,15398,9300,4810,14268,14181,14162,30908,35996,34525,27014,14003,4450,44079,23979,2492,2609,2533,1179,1076,2341,1530,2087,3685,2612,1201,381,244,9,20100,2763,2441,2171,986,624,1591,1478,1382,3311,1686,1015,430,170,52,39.0,37.4,40.4,40.7,39.6,41.8,35.4,33.1,38.0,46.3,44.2,47.7,33.9,31.3,36.5,33.1,37.4,29.6,25.3,26.4,24.0,16.6,15.5,18.3,41.9,40.8,42.8,24.0,24.5,23.3,666940
