SummaryLevel,State,StateFIPS,CountyFIPS,PlaceFIPS,CBSACode,CongressDistrict,GEOID,AreaName,B01001_001,B01001_002,B01001_003,B01001_004,B01001_005,B01001_006,B01001_007,B01001_008,B01001_009,B01001_010,B01001_011,B01001_012,B01001_013,B01001_014,B01001_015,B01001_016,B01001_017,B01001_018,B01001_019,B01001_020,B01001_021,B01001_022,B01001_023,B01001_024,B01001_025,B01001_026,B01001_027,B01001_028,B01001_029,B01001_030,B01001_031,B01001_032,B01001_033,B01001_034,B01001_035,B01001_036,B01001_037,B01001_038,B01001_039,B01001_040,B01001_041,B01001_042,B01001_043,B01001_044,B01001_045,B01001_046,B01001_047,B01001_048,B01001_049,B01001A_001,B01001A_002,B01001A_003,B01001A_004,B01001A_005,B01001A_006,B01001A_007,B01001A_008,B01001A_009,B01001A_010,B01001A_011,B01001A_012,B01001A_013,B01001A_014,B01001A_015,B01001A_016,B01001A_017,B01001A_018,B01001A_019,B01001A_020,B01001A_021,B01001A_022,B01001A_023,B01001A_024,B01001A_025,B01001A_026,B01001A_027,B01001A_028,B01001A_029,B01001A_030,B01001A_031,B01001B_001,B01001B_002,B01001B_003,B01001B_004,B01001B_005,B01001B_006,B01001B_007,B01001B_008,B01001B_009,B01001B_010,B01001B_011,B01001B_012,B01001B_013,B01001B_014,B01001B_015,B01001B_016,B01001B_017,B01001B_018,B01001B_019,B01001B_020,B01001B_021,B01001B_022,B01001B_023,B01001B_024,B01001B_025,B01001B_026,B01001B_027,B01001B_028,B01001B_029,B01001B_030,B01001B_031,B01001C_001,B01001C_002,B01001C_003,B01001C_004,B01001C_005,B01001C_006,B01001C_007,B01001C_008,B01001C_009,B01001C_010,B01001C_011,B01001C_012,B01001C_013,B01001C_014,B01001C_015,B01001C_016,B01001C_017,B01001C_018,B01001C_019,B01001C_020,B01001C_021,B01001C_022,B01001C_023,B01001C_024,B01001C_025,B01001C_026,B01001C_027,B01001C_028,B01001C_029,B01001C_030,B01001C_031,B01001D_001,B01001D_002,B01001D_003,B01001D_004,B01001D_005,B01001D_006,B01001D_007,B01001D_008,B01001D_009,B01001D_010,B01001D_011,B01001D_012,B01001D_013,B01001D_014,B01001D_015,B01001D_016,B01001D_017,B01001D_018,B01001D_019,B01001D_020,B01001D_021,B01001D_022,B01001D_023,B01001D_024,B01001D_025,B01001D_026,B01001D_027,B01001D_028,B01001D_029,B01001D_030,B01001D_031,B01001E_001,B01001E_002,B01001E_003,B01001E_004,B01001E_005,B01001E_006,B01001E_007,B01001E_008,B01001E_009,B01001E_010,B01001E_011,B01001E_012,B01001E_013,B01001E_014,B01001E_015,B01001E_016,B01001E_017,B01001E_018,B01001E_019,B01001E_020,B01001E_021,B01001E_022,B01001E_023,B01001E_024,B01001E_025,B01001E_026,B01001E_027,B01001E_028,B01001E_029,B01001E_030,B01001E_031,B01001F_001,B01001F_002,B01001F_003,B01001F_004,B01001F_005,B01001F_006,B01001F_007,B01001F_008,B01001F_009,B01001F_010,B01001F_011,B01001F_012,B01001F_013,B01001F_014,B01001F_015,B01001F_016,B01001F_017,B01001F_018,B01001F_019,B01001F_020,B01001F_021,B01001F_022,B01001F_023,B01001F_024,B01001F_025,B01001F_026,B01001F_027,B01001F_028,B01001F_029,B01001F_030,B01001F_031,B01001G_001,B01001G_002,B01001G_003,B01001G_004,B01001G_005,B01001G_006,B01001G_007,B01001G_008,B01001G_009,B01001G_010,B01001G_011,B01001G_012,B01001G_013,B01001G_014,B01001G_015,B01001G_016,B01001G_017,B01001G_018,B01001G_019,B01001G_020,B01001G_021,B01001G_022,B01001G_023,B01001G_024,B01001G_025,B01001G_026,B01001G_027,B01001G_028,B01001G_029,B01001G_030,B01001G_031,B01001H_001,B01001H_002,B01001H_003,B01001H_004,B01001H_005,B01001H_006,B01001H_007,B01001H_008,B01001H_009,B01001H_010,B01001H_011,B01001H_012,B01001H_013,B01001H_014,B01001H_015,B01001H_016,B01001H_017,B01001H_018,B01001H_019,B01001H_020,B01001H_021,B01001H_022,B01001H_023,B01001H_024,B01001H_025,B01001H_026,B01001H_027,B01001H_028,B01001H_029,B01001H_030,B01001H_031,B01001I_001,B01001I_002,B01001I_003,B01001I_004,B01001I_005,B01001I_006,B01001I_007,B01001I_008,B01001I_009,B01001I_010,B01001I_011,B01001I_012,B01001I_013,B01001I_014,B01001I_015,B01001I_016,B01001I_017,B01001I_018,B01001I_019,B01001I_020,B01001I_021,B01001I_022,B01001I_023,B01001I_024,B01001I_025,B01001I_026,B01001I_027,B01001I_028,B01001I_029,B01001I_030,B01001I_031,B01002_001,B01002_002,B01002_003,B01002A_001,B01002A_002,B01002A_003,B01002B_001,B01002B_002,B01002B_003,B01002C_001,B01002C_002,B01002C_003,B01002D_001,B01002D_002,B01002D_003,B01002E_001,B01002E_002,B01002E_003,B01002F_001,B01002F_002,B01002F_003,B01002G_001,B01002G_002,B01002G_003,B01002H_001,B01002H_002,B01002H_003,B01002I_001,B01002I_002,B01002I_003,B01003_001
40,HI,15,,,,,04000US15,Hawaii,1413673,709870,46919,44021,42878,24474,16797,11126,11674,33157,54785,51136,44315,45159,44447,46869,46363,19162,24671,16792,20748,23564,16261,11150,13402,703803,44726,40818,40789,23591,15030,8164,8134,28430,48866,48462,43677,43089,44209,46925,48281,18543,26372,16926,21743,26699,18821,17313,24195,353643,191429,10014,7202,6749,3393,3608,17406,16966,15345,25016,25098,29119,21162,7103,3248,162214,9351,7383,5735,3170,2755,10152,13351,12903,19369,20601,26948,18593,7826,4077,25871,16155,860,714,729,373,581,2498,2126,1734,2637,1912,1103,633,165,90,9716,835,705,685,382,254,1118,1069,1098,1418,1028,675,256,148,45,2715,1439,0,58,43,33,3,151,155,120,174,295,255,122,20,10,1276,21,101,27,27,24,63,163,126,211,196,205,93,13,6,537363,249990,9689,10522,12295,7861,4928,14963,14736,14328,31647,37424,39040,27841,15921,8795,287373,9817,9584,11188,7676,4484,13189,15441,16364,36944,43703,45221,33421,22710,17631,143973,72851,5312,6468,5744,3609,2319,5761,6001,5573,9602,9253,7145,4009,1641,414,71122,5780,5679,5650,3296,2236,5542,5180,5288,9242,8786,6920,4623,2155,745,13479,7463,436,429,295,117,160,999,845,898,1124,943,728,311,152,26,6016,404,322,153,254,134,837,817,626,902,661,410,329,110,57,336629,170543,20608,18628,17023,9088,5198,14179,13956,13138,19274,16391,12806,7026,2409,819,166086,18518,17044,17351,8786,5143,13827,12845,12057,18680,16159,12817,8053,3172,1634,316285,171340,7596,5812,5509,2768,3170,15140,14570,13404,21959,23260,27632,20445,6894,3181,144945,7243,5896,4812,2699,2348,8676,11485,11194,16958,19026,25185,17865,7600,3958,141827,72808,10568,7526,6172,3371,2435,7492,6691,6126,8731,6246,4353,2137,707,253,69019,9938,6660,6315,3199,2070,6156,5962,5555,8292,6302,4672,2452,1022,424,38.5,36.9,40.1,41.7,40.7,43.3,30.0,31.0,28.9,41.7,44.2,40.3,48.0,46.1,49.5,31.3,30.8,31.9,31.7,32.0,30.6,25.5,25.2,25.8,44.2,43.0,45.6,24.7,24.3,25.1,1413673
40,HI,15,,,,,04001US15,Hawaii -- Urban,1307570,656336,43588,41051,39607,22786,15708,10530,11170,31442,51943,48147,41347,42301,40931,43451,41546,17113,22047,14922,18142,20978,14822,10345,12419,651234,41593,38000,37964,21539,13884,7596,7655,26766,45857,45364,41048,40002,41216,42978,43907,16459,23563,15089,19544,24421,17451,16352,22986,310514,168948,9401,6691,6064,2963,3397,16466,16100,14350,22728,21715,23671,16684,5981,2737,141566,8773,6800,5091,2675,2485,9539,12212,11996,17492,17514,21560,15168,6649,3612,25257,15748,860,692,651,373,572,2427,2090,1721,2613,1844,1044,606,165,90,9509,835,678,685,367,249,1114,1069,1071,1374,1017,620,237,148,45,2331,1200,0,50,36,17,3,151,153,108,146,218,200,95,13,10,1131,21,93,23,26,11,59,146,74,211,177,191,89,10,0,518853,241840,9323,10257,11966,7705,4821,14530,14435,14084,30624,36427,37488,26482,15307,8391,277013,9400,9382,10981,7458,4257,12782,15006,15844,35537,42097,43378,31944,21901,17046,128496,64969,4679,5825,5088,3216,2016,5196,5392,4997,8720,8130,6327,3535,1452,396,63527,5330,5096,4900,2780,2025,5032,4783,4784,8267,7811,6007,4024,2006,682,12445,6829,409,429,256,103,135,991,806,864,1003,820,589,287,112,25,5616,399,306,148,227,134,743,806,580,866,611,335,303,102,56,309674,156802,18916,17107,15546,8409,4764,13381,12967,12023,17814,15228,11387,6353,2137,770,152872,16835,15645,16136,8006,4723,12748,11835,11015,17303,14967,11838,7289,2987,1545,275884,150270,7094,5351,4932,2430,3003,14313,13857,12470,19811,20061,22344,16137,5779,2688,125614,6742,5369,4268,2246,2085,8141,10514,10422,15219,16194,19985,14496,6432,3501,130680,67165,9648,6994,5684,3042,2233,7165,6297,5775,8124,5659,3875,1807,632,230,63515,9239,6204,5797,2759,1834,5698,5535,5095,7896,5641,4136,2286,992,403,38.1,36.4,39.8,39.8,38.7,41.0,29.9,31.0,28.6,40.8,40.7,40.9,47.9,45.9,49.4,31.2,30.9,31.7,31.1,31.5,30.3,25.5,25.1,25.9,41.7,40.5,43.5,24.6,24.2,25.2,1307570
40,HI,15,,,,,04043US15,Hawaii -- Rural,106103,53534,3331,2970,3271,1688,1089,596,504,1715,2842,2989,2968,2858,3516,3418,4817,2049,2624,1870,2606,2586,1439,805,983,52569,3133,2818,2825,2052,1146,568,479,1664,3009,3098,2629,3087,2993,3947,4374,2084,2809,1837,2199,2278,1370,961,1209,43129,22481,613,511,685,430,211,940,866,995,2288,3383,5448,4478,1122,511,20648,578,583,644,495,270,613,1139,907,1877,3087,5388,3425,1177,465,614,407,0,22,78,0,9,71,36,13,24,68,59,27,0,0,207,0,27,0,15,5,4,0,27,44,11,55,19,0,0,384,239,0,8,7,16,0,0,2,12,28,77,55,27,7,0,145,0,8,4,1,13,4,17,52,0,19,14,4,3,6,18510,8150,366,265,329,156,107,433,301,244,1023,997,1552,1359,614,404,10360,417,202,207,218,227,407,435,520,1407,1606,1843,1477,809,585,15477,7882,633,643,656,393,303,565,609,576,882,1123,818,474,189,18,7595,450,583,750,516,211,510,397,504,975,975,913,599,149,63,1034,634,27,0,39,14,25,8,39,34,121,123,139,24,40,1,400,5,16,5,27,0,94,11,46,36,50,75,26,8,1,26955,13741,1692,1521,1477,679,434,798,989,1115,1460,1163,1419,673,272,49,13214,1683,1399,1215,780,420,1079,1010,1042,1377,1192,979,764,185,89,40401,21070,502,461,577,338,167,827,713,934,2148,3199,5288,4308,1115,493,19331,501,527,544,453,263,535,971,772,1739,2832,5200,3369,1168,457,11147,5643,920,532,488,329,202,327,394,351,607,587,478,330,75,23,5504,699,456,518,440,236,458,427,460,396,661,536,166,30,21,44.8,44.9,44.6,55.5,55.8,55.3,35.0,29.6,42.5,49.0,52.2,33.4,52.4,53.3,51.9,32.3,30.7,33.6,43.3,47.0,32.9,25.6,26.4,25.1,56.3,56.5,56.1,24.9,25.3,24.7,106103
40,HI,15,,,,,040A0US15,Hawaii -- In metropolitan or micropolitan statistical area,1413673,709870,46919,44021,42878,24474,16797,11126,11674,33157,54785,51136,44315,45159,44447,46869,46363,19162,24671,16792,20748,23564,16261,11150,13402,703803,44726,40818,40789,23591,15030,8164,8134,28430,48866,48462,43677,43089,44209,46925,48281,18543,26372,16926,21743,26699,18821,17313,24195,353643,191429,10014,7202,6749,3393,3608,17406,16966,15345,25016,25098,29119,21162,7103,3248,162214,9351,7383,5735,3170,2755,10152,13351,12903,19369,20601,26948,18593,7826,4077,25871,16155,860,714,729,373,581,2498,2126,1734,2637,1912,1103,633,165,90,9716,835,705,685,382,254,1118,1069,1098,1418,1028,675,256,148,45,2715,1439,0,58,43,33,3,151,155,120,174,295,255,122,20,10,1276,21,101,27,27,24,63,163,126,211,196,205,93,13,6,537363,249990,9689,10522,12295,7861,4928,14963,14736,14328,31647,37424,39040,27841,15921,8795,287373,9817,9584,11188,7676,4484,13189,15441,16364,36944,43703,45221,33421,22710,17631,143973,72851,5312,6468,5744,3609,2319,5761,6001,5573,9602,9253,7145,4009,1641,414,71122,5780,5679,5650,3296,2236,5542,5180,5288,9242,8786,6920,4623,2155,745,13479,7463,436,429,295,117,160,999,845,898,1124,943,728,311,152,26,6016,404,322,153,254,134,837,817,626,902,661,410,329,110,57,336629,170543,20608,18628,17023,9088,5198,14179,13956,13138,19274,16391,12806,7026,2409,819,166086,18518,17044,17351,8786,5143,13827,12845,12057,18680,16159,12817,8053,3172,1634,316285,171340,7596,5812,5509,2768,3170,15140,14570,13404,21959,23260,27632,20445,6894,3181,144945,7243,5896,4812,2699,2348,8676,11485,11194,16958,19026,25185,17865,7600,3958,141827,72808,10568,7526,6172,3371,2435,7492,6691,6126,8731,6246,4353,2137,707,253,69019,9938,6660,6315,3199,2070,6156,5962,5555,8292,6302,4672,2452,1022,424,38.5,36.9,40.1,41.7,40.7,43.3,30.0,31.0,28.9,41.7,44.2,40.3,48.0,46.1,49.5,31.3,30.8,31.9,31.7,32.0,30.6,25.5,25.2,25.8,44.2,43.0,45.6,24.7,24.3,25.1,1413673
40,HI,15,,,,,040C0US15,Hawaii -- In metropolitan statistical area,1149546,578131,38430,35365,34687,19689,13862,9851,10057,28469,46913,42863,36958,37252,36495,37951,36015,14523,18849,12830,15759,18201,13189,9286,10637,571415,36535,32795,33251,18933,12211,6820,6400,24209,41202,40172,36211,35214,36206,37680,38060,13900,20197,13028,17146,21429,15583,14151,20082,266166,146776,8109,5731,5249,2548,3035,15660,14694,13022,20016,18766,19163,13551,5140,2092,119390,7809,5933,4544,2398,2226,8706,11203,10251,14843,14252,16918,12022,5304,2981,24180,15024,860,641,627,373,578,2395,2016,1620,2453,1814,934,511,127,75,9156,823,678,668,379,251,1052,1051,977,1345,955,596,207,129,45,1717,947,0,44,8,9,0,129,136,76,121,196,138,67,13,10,770,21,51,23,13,15,48,127,75,134,79,113,65,6,0,469540,218462,8466,9177,10892,6746,4371,13191,13062,12784,27717,32947,33531,24087,13953,7538,251078,8652,8374,9763,6416,3767,11665,13687,14431,32514,38390,38923,29370,19794,15332,110647,56055,4010,4900,4453,2820,1852,4533,4701,4385,7272,7124,5271,3107,1318,309,54592,4424,4167,4373,2636,1714,4328,4141,4024,7191,6677,5163,3474,1739,541,9932,5685,390,307,178,87,142,887,781,674,932,502,468,222,104,11,4247,219,228,83,146,97,626,611,489,654,485,304,168,98,39,267364,135182,16595,14565,13280,7106,3884,11582,11523,10302,15699,13097,9882,5245,1820,602,132182,14587,13364,13797,6945,4141,11004,10382,9925,14744,13048,10140,6297,2664,1144,236454,130557,6301,4665,4211,2017,2650,13725,12771,11194,17423,17282,18145,13121,4980,2072,105897,5998,4748,3781,1965,1852,7405,9634,9018,12896,13251,15743,11521,5204,2881,110294,56987,8167,5761,4727,2548,1890,6292,5560,5061,6979,4720,3120,1451,526,185,53307,7638,5103,4798,2426,1659,4941,4827,4469,6501,4758,3361,1808,726,292,37.8,36.1,39.6,38.0,37.4,39.0,29.5,30.1,28.2,40.2,40.7,36.5,47.9,45.9,49.4,31.2,30.7,31.7,30.8,30.8,30.8,25.6,25.2,26.0,40.0,38.9,41.2,24.6,24.3,25.1,1149546
40,HI,15,,,,,040C1US15,Hawaii -- In metropolitan statistical area -- in principal city,408615,202335,11342,10669,10404,6312,4583,3050,2805,8630,16663,15813,13430,13658,13257,14069,13631,5303,6761,5225,5812,6629,5241,3794,5254,206280,11305,9534,9747,5475,4594,2405,2537,9174,15479,14412,13035,12231,13535,14292,13877,4972,7349,4877,6534,8009,6676,6354,9877,74407,41455,1680,1098,998,464,672,3106,4599,4593,6295,5681,5619,4236,1614,800,32952,1608,1169,890,427,899,3205,3746,2836,3873,3757,4157,3389,1850,1146,6322,4118,111,160,272,107,53,238,400,546,1012,650,355,157,43,14,2204,182,101,141,111,48,258,329,252,342,219,95,92,26,8,482,169,0,24,0,0,0,3,4,37,34,23,29,15,0,0,313,0,36,0,13,2,8,51,23,69,46,37,28,0,0,213593,98325,3668,3929,4545,2940,1997,6268,6074,5873,12501,14273,15142,10663,6434,4018,115268,3702,3366,4113,2804,1741,5619,6265,6564,14680,17905,17683,13088,9617,8121,36183,18333,1047,1491,1396,1055,763,1388,1504,1649,2325,2466,1813,861,410,165,17850,1397,1456,1455,664,508,1247,1590,1568,2194,2107,1631,1148,671,214,3330,1904,99,122,33,55,0,162,278,272,404,242,110,104,23,0,1426,20,70,15,5,51,311,237,169,254,171,46,25,46,6,74298,38031,4737,3845,3160,1691,1098,3320,3804,2843,4517,3991,2627,1630,511,257,36267,4396,3336,3133,1451,1345,3468,3261,3000,3854,3622,2549,1650,820,382,66093,36887,1234,918,614,324,623,2616,4046,3972,5640,5137,5244,4127,1602,790,29206,1319,879,615,319,780,2740,3281,2477,3313,3439,3818,3287,1834,1105,30703,15677,1887,1310,1232,669,318,1580,1776,1486,1896,1839,1091,414,106,73,15026,1673,1284,1233,494,538,1749,1541,1224,1940,1438,990,519,283,120,40.5,39.0,42.2,39.5,40.1,38.6,33.8,36.9,27.7,40.5,38.5,41.6,48.5,46.1,50.1,31.6,30.9,32.0,32.1,32.9,30.1,26.4,26.4,26.5,41.4,41.7,40.8,26.6,26.8,26.4,408615
40,HI,15,,,,,040C2US15,Hawaii -- In metropolitan statistical area -- not in principal city,740931,375796,27088,24696,24283,13377,9279,6801,7252,19839,30250,27050,23528,23594,23238,23882,22384,9220,12088,7605,9947,11572,7948,5492,5383,365135,25230,23261,23504,13458,7617,4415,3863,15035,25723,25760,23176,22983,22671,23388,24183,8928,12848,8151,10612,13420,8907,7797,10205,191759,105321,6429,4633,4251,2084,2363,12554,10095,8429,13721,13085,13544,9315,3526,1292,86438,6201,4764,3654,1971,1327,5501,7457,7415,10970,10495,12761,8633,3454,1835,17858,10906,749,481,355,266,525,2157,1616,1074,1441,1164,579,354,84,61,6952,641,577,527,268,203,794,722,725,1003,736,501,115,103,37,1235,778,0,20,8,9,0,126,132,39,87,173,109,52,13,10,457,21,15,23,0,13,40,76,52,65,33,76,37,6,0,255947,120137,4798,5248,6347,3806,2374,6923,6988,6911,15216,18674,18389,13424,7519,3520,135810,4950,5008,5650,3612,2026,6046,7422,7867,17834,20485,21240,16282,10177,7211,74464,37722,2963,3409,3057,1765,1089,3145,3197,2736,4947,4658,3458,2246,908,144,36742,3027,2711,2918,1972,1206,3081,2551,2456,4997,4570,3532,2326,1068,327,6602,3781,291,185,145,32,142,725,503,402,528,260,358,118,81,11,2821,199,158,68,141,46,315,374,320,400,314,258,143,52,33,193066,97151,11858,10720,10120,5415,2786,8262,7719,7459,11182,9106,7255,3615,1309,345,95915,10191,10028,10664,5494,2796,7536,7121,6925,10890,9426,7591,4647,1844,762,170361,93670,5067,3747,3597,1693,2027,11109,8725,7222,11783,12145,12901,8994,3378,1282,76691,4679,3869,3166,1646,1072,4665,6353,6541,9583,9812,11925,8234,3370,1776,79591,41310,6280,4451,3495,1879,1572,4712,3784,3575,5083,2881,2029,1037,420,112,38281,5965,3819,3565,1932,1121,3192,3286,3245,4561,3320,2371,1289,443,172,36.3,34.6,38.1,37.4,36.1,39.1,27.8,27.5,28.3,40.2,41.7,31.8,47.3,45.8,48.8,31.0,30.4,31.5,29.8,28.5,31.7,25.2,24.6,25.8,39.3,37.7,41.3,23.5,22.9,24.2,740931
40,HI,15,,,,,040E0US15,Hawaii -- In micropolitan statistical area,264127,131739,8489,8656,8191,4785,2935,1275,1617,4688,7872,8273,7357,7907,7952,8918,10348,4639,5822,3962,4989,5363,3072,1864,2765,132388,8191,8023,7538,4658,2819,1344,1734,4221,7664,8290,7466,7875,8003,9245,10221,4643,6175,3898,4597,5270,3238,3162,4113,87477,44653,1905,1471,1500,845,573,1746,2272,2323,5000,6332,9956,7611,1963,1156,42824,1542,1450,1191,772,529,1446,2148,2652,4526,6349,10030,6571,2522,1096,1691,1131,0,73,102,0,3,103,110,114,184,98,169,122,38,15,560,12,27,17,3,3,66,18,121,73,73,79,49,19,0,998,492,0,14,35,24,3,22,19,44,53,99,117,55,7,0,506,0,50,4,14,9,15,36,51,77,117,92,28,7,6,67823,31528,1223,1345,1403,1115,557,1772,1674,1544,3930,4477,5509,3754,1968,1257,36295,1165,1210,1425,1260,717,1524,1754,1933,4430,5313,6298,4051,2916,2299,33326,16796,1302,1568,1291,789,467,1228,1300,1188,2330,2129,1874,902,323,105,16530,1356,1512,1277,660,522,1214,1039,1264,2051,2109,1757,1149,416,204,3547,1778,46,122,117,30,18,112,64,224,192,441,260,89,48,15,1769,185,94,70,108,37,211,206,137,248,176,106,161,12,18,69265,35361,4013,4063,3743,1982,1314,2597,2433,2836,3575,3294,2924,1781,589,217,33904,3931,3680,3554,1841,1002,2823,2463,2132,3936,3111,2677,1756,508,490,79831,40783,1295,1147,1298,751,520,1415,1799,2210,4536,5978,9487,7324,1914,1109,39048,1245,1148,1031,734,496,1271,1851,2176,4062,5775,9442,6344,2396,1077,31533,15821,2401,1765,1445,823,545,1200,1131,1065,1752,1526,1233,686,181,68,15712,2300,1557,1517,773,411,1215,1135,1086,1791,1544,1311,644,296,132,41.8,41.0,42.7,53.1,52.7,53.6,38.7,39.1,38.3,46.5,48.5,43.8,49.2,47.7,50.2,32.0,31.5,32.5,34.9,41.6,29.8,25.1,24.9,25.2,54.4,54.2,54.6,24.7,24.0,25.3,264127
40,HI,15,,,,,040E1US15,Hawaii -- In micropolitan statistical area -- in principal city,56332,27739,1569,1339,1620,1106,958,295,681,1179,1735,1978,1287,1846,1681,1810,2404,842,979,504,965,1134,743,439,645,28593,1546,1658,1512,1272,841,343,378,1150,1711,1526,1624,1723,1670,2152,2013,972,993,594,883,1425,639,902,1066,12165,6171,197,41,198,94,159,287,483,559,837,795,1155,910,311,145,5994,177,204,185,124,155,185,411,483,650,922,1169,821,361,147,530,355,0,48,52,0,2,37,52,19,12,12,53,30,38,0,175,0,0,1,0,3,28,0,27,41,45,0,30,0,0,116,41,0,0,0,0,0,0,2,9,0,21,9,0,0,0,75,0,0,0,1,0,0,0,5,8,0,49,8,4,0,17534,8450,166,192,164,297,175,677,333,398,769,1310,1913,1043,587,426,9084,185,345,226,178,247,340,405,409,970,1397,1707,1082,896,697,5294,2646,157,160,193,80,82,300,136,171,473,290,310,153,97,44,2648,161,189,113,142,98,279,128,69,351,464,270,247,87,50,407,163,0,0,0,0,2,0,0,0,3,58,65,34,1,0,244,0,15,0,0,6,48,55,0,6,37,0,57,4,16,20286,9913,1049,898,1013,635,538,854,729,822,1039,1005,720,433,148,30,10373,1023,905,987,827,332,991,712,533,1321,957,783,657,189,156,10903,5403,61,20,195,94,146,196,314,559,699,791,1097,793,293,145,5500,174,193,150,124,150,158,339,479,584,828,1078,776,320,147,5638,3005,454,247,186,75,211,311,272,219,346,237,194,216,37,0,2633,192,224,221,156,99,225,265,131,365,274,204,149,103,25,40.9,40.2,41.8,50.2,49.2,51.3,34.9,26.7,38.7,56.4,47.9,60.6,53.2,53.1,53.4,37.5,36.1,39.7,49.9,58.7,27.9,25.3,24.8,25.7,51.4,51.4,51.4,27.1,25.3,28.7,56332
40,HI,15,,,,,040E2US15,Hawaii -- In micropolitan statistical area -- not in principal city,207795,104000,6920,7317,6571,3679,1977,980,936,3509,6137,6295,6070,6061,6271,7108,7944,3797,4843,3458,4024,4229,2329,1425,2120,103795,6645,6365,6026,3386,1978,1001,1356,3071,5953,6764,5842,6152,6333,7093,8208,3671,5182,3304,3714,3845,2599,2260,3047,75312,38482,1708,1430,1302,751,414,1459,1789,1764,4163,5537,8801,6701,1652,1011,36830,1365,1246,1006,648,374,1261,1737,2169,3876,5427,8861,5750,2161,949,1161,776,0,25,50,0,1,66,58,95,172,86,116,92,0,15,385,12,27,16,3,0,38,18,94,32,28,79,19,19,0,882,451,0,14,35,24,3,22,17,35,53,78,108,55,7,0,431,0,50,4,13,9,15,36,46,69,117,43,20,3,6,50289,23078,1057,1153,1239,818,382,1095,1341,1146,3161,3167,3596,2711,1381,831,27211,980,865,1199,1082,470,1184,1349,1524,3460,3916,4591,2969,2020,1602,28032,14150,1145,1408,1098,709,385,928,1164,1017,1857,1839,1564,749,226,61,13882,1195,1323,1164,518,424,935,911,1195,1700,1645,1487,902,329,154,3140,1615,46,122,117,30,16,112,64,224,189,383,195,55,47,15,1525,185,79,70,108,31,163,151,137,242,139,106,104,8,2,48979,25448,2964,3165,2730,1347,776,1743,1704,2014,2536,2289,2204,1348,441,187,23531,2908,2775,2567,1014,670,1832,1751,1599,2615,2154,1894,1099,319,334,68928,35380,1234,1127,1103,657,374,1219,1485,1651,3837,5187,8390,6531,1621,964,33548,1071,955,881,610,346,1113,1512,1697,3478,4947,8364,5568,2076,930,25895,12816,1947,1518,1259,748,334,889,859,846,1406,1289,1039,470,144,68,13079,2108,1333,1296,617,312,990,870,955,1426,1270,1107,495,193,107,42.2,41.3,42.9,53.6,53.2,54.0,39.3,39.4,30.8,44.8,49.1,39.9,47.6,45.4,49.1,31.0,30.8,31.6,33.4,38.7,29.8,25.0,25.0,25.0,55.0,54.7,55.2,24.3,23.5,24.7,207795
