SummaryLevel,State,StateFIPS,CountyFIPS,PlaceFIPS,CBSACode,CongressDistrict,GEOID,AreaName,B01001_001,B01001_002,B01001_003,B01001_004,B01001_005,B01001_006,B01001_007,B01001_008,B01001_009,B01001_010,B01001_011,B01001_012,B01001_013,B01001_014,B01001_015,B01001_016,B01001_017,B01001_018,B01001_019,B01001_020,B01001_021,B01001_022,B01001_023,B01001_024,B01001_025,B01001_026,B01001_027,B01001_028,B01001_029,B01001_030,B01001_031,B01001_032,B01001_033,B01001_034,B01001_035,B01001_036,B01001_037,B01001_038,B01001_039,B01001_040,B01001_041,B01001_042,B01001_043,B01001_044,B01001_045,B01001_046,B01001_047,B01001_048,B01001_049,B01001A_001,B01001A_002,B01001A_003,B01001A_004,B01001A_005,B01001A_006,B01001A_007,B01001A_008,B01001A_009,B01001A_010,B01001A_011,B01001A_012,B01001A_013,B01001A_014,B01001A_015,B01001A_016,B01001A_017,B01001A_018,B01001A_019,B01001A_020,B01001A_021,B01001A_022,B01001A_023,B01001A_024,B01001A_025,B01001A_026,B01001A_027,B01001A_028,B01001A_029,B01001A_030,B01001A_031,B01001B_001,B01001B_002,B01001B_003,B01001B_004,B01001B_005,B01001B_006,B01001B_007,B01001B_008,B01001B_009,B01001B_010,B01001B_011,B01001B_012,B01001B_013,B01001B_014,B01001B_015,B01001B_016,B01001B_017,B01001B_018,B01001B_019,B01001B_020,B01001B_021,B01001B_022,B01001B_023,B01001B_024,B01001B_025,B01001B_026,B01001B_027,B01001B_028,B01001B_029,B01001B_030,B01001B_031,B01001C_001,B01001C_002,B01001C_003,B01001C_004,B01001C_005,B01001C_006,B01001C_007,B01001C_008,B01001C_009,B01001C_010,B01001C_011,B01001C_012,B01001C_013,B01001C_014,B01001C_015,B01001C_016,B01001C_017,B01001C_018,B01001C_019,B01001C_020,B01001C_021,B01001C_022,B01001C_023,B01001C_024,B01001C_025,B01001C_026,B01001C_027,B01001C_028,B01001C_029,B01001C_030,B01001C_031,B01001D_001,B01001D_002,B01001D_003,B01001D_004,B01001D_005,B01001D_006,B01001D_007,B01001D_008,B01001D_009,B01001D_010,B01001D_011,B01001D_012,B01001D_013,B01001D_014,B01001D_015,B01001D_016,B01001D_017,B01001D_018,B01001D_019,B01001D_020,B01001D_021,B01001D_022,B01001D_023,B01001D_024,B01001D_025,B01001D_026,B01001D_027,B01001D_028,B01001D_029,B01001D_030,B01001D_031,B01001E_001,B01001E_002,B01001E_003,B01001E_004,B01001E_005,B01001E_006,B01001E_007,B01001E_008,B01001E_009,B01001E_010,B01001E_011,B01001E_012,B01001E_013,B01001E_014,B01001E_015,B01001E_016,B01001E_017,B01001E_018,B01001E_019,B01001E_020,B01001E_021,B01001E_022,B01001E_023,B01001E_024,B01001E_025,B01001E_026,B01001E_027,B01001E_028,B01001E_029,B01001E_030,B01001E_031,B01001F_001,B01001F_002,B01001F_003,B01001F_004,B01001F_005,B01001F_006,B01001F_007,B01001F_008,B01001F_009,B01001F_010,B01001F_011,B01001F_012,B01001F_013,B01001F_014,B01001F_015,B01001F_016,B01001F_017,B01001F_018,B01001F_019,B01001F_020,B01001F_021,B01001F_022,B01001F_023,B01001F_024,B01001F_025,B01001F_026,B01001F_027,B01001F_028,B01001F_029,B01001F_030,B01001F_031,B01001G_001,B01001G_002,B01001G_003,B01001G_004,B01001G_005,B01001G_006,B01001G_007,B01001G_008,B01001G_009,B01001G_010,B01001G_011,B01001G_012,B01001G_013,B01001G_014,B01001G_015,B01001G_016,B01001G_017,B01001G_018,B01001G_019,B01001G_020,B01001G_021,B01001G_022,B01001G_023,B01001G_024,B01001G_025,B01001G_026,B01001G_027,B01001G_028,B01001G_029,B01001G_030,B01001G_031,B01001H_001,B01001H_002,B01001H_003,B01001H_004,B01001H_005,B01001H_006,B01001H_007,B01001H_008,B01001H_009,B01001H_010,B01001H_011,B01001H_012,B01001H_013,B01001H_014,B01001H_015,B01001H_016,B01001H_017,B01001H_018,B01001H_019,B01001H_020,B01001H_021,B01001H_022,B01001H_023,B01001H_024,B01001H_025,B01001H_026,B01001H_027,B01001H_028,B01001H_029,B01001H_030,B01001H_031,B01001I_001,B01001I_002,B01001I_003,B01001I_004,B01001I_005,B01001I_006,B01001I_007,B01001I_008,B01001I_009,B01001I_010,B01001I_011,B01001I_012,B01001I_013,B01001I_014,B01001I_015,B01001I_016,B01001I_017,B01001I_018,B01001I_019,B01001I_020,B01001I_021,B01001I_022,B01001I_023,B01001I_024,B01001I_025,B01001I_026,B01001I_027,B01001I_028,B01001I_029,B01001I_030,B01001I_031,B01002_001,B01002_002,B01002_003,B01002A_001,B01002A_002,B01002A_003,B01002B_001,B01002B_002,B01002B_003,B01002C_001,B01002C_002,B01002C_003,B01002D_001,B01002D_002,B01002D_003,B01002E_001,B01002E_002,B01002E_003,B01002F_001,B01002F_002,B01002F_003,B01002G_001,B01002G_002,B01002G_003,B01002H_001,B01002H_002,B01002H_003,B01002I_001,B01002I_002,B01002I_003,B01003_001
40,IA,19,,,,,04000US19,Iowa,3106589,1542988,100885,104895,104387,62481,48195,25668,24242,66773,98673,101628,93193,91438,96256,107318,105000,41207,55474,32566,39550,51961,38544,27100,25554,1563601,95983,99949,99256,59678,44670,23926,22785,63976,93413,97563,91254,88739,94286,108288,106948,41857,55524,34872,42987,57924,48794,38760,52169,2823890,1395849,85523,90193,90393,54932,41408,100615,85504,90322,164995,189440,192842,120471,64074,25137,1428041,81320,86087,85621,52120,39096,97376,82910,87392,162328,189603,195692,131507,85664,51325,103052,55338,5380,4797,4990,2755,2558,6040,4690,4389,7386,6086,3939,1513,655,160,47714,4607,4338,4853,2479,1949,4597,3866,4008,5861,4772,3554,1715,724,391,9951,4953,423,290,433,164,168,407,467,381,761,567,490,237,131,34,4998,223,345,447,144,275,365,344,303,702,751,588,394,79,38,66570,33046,2406,2682,2065,1298,1580,4646,3394,2901,5291,3502,1821,926,460,74,33524,2068,2310,1928,1374,1393,3835,3236,3353,5865,3554,2395,1386,610,217,2422,1240,70,166,103,8,40,84,135,217,213,65,68,66,0,5,1182,160,58,109,46,3,74,165,158,84,141,105,48,31,0,39410,21901,1647,1675,2081,1123,885,2379,2382,1924,3500,2386,1485,309,88,37,17509,1923,1831,1599,1197,646,1650,1167,1160,3077,2002,818,206,128,105,61294,30661,5436,5092,4322,2201,1556,2512,2101,1494,2485,1528,1036,555,236,107,30633,5682,4980,4699,2318,1308,2790,1725,1189,2076,1751,1177,527,318,93,2701600,1332872,78023,82504,83213,51584,38801,94853,80842,85031,156983,183300,189862,119360,63545,24971,1368728,74406,78273,79327,48689,36610,91979,78349,82845,154550,184839,192566,130403,84843,51049,172707,90085,10323,10319,9987,4812,3666,8363,7317,7478,12064,8754,4629,1486,677,210,82622,9984,10666,8796,5023,3427,7507,6008,5973,11143,7173,4216,1361,963,382,38.0,36.7,39.4,39.9,38.5,41.2,26.1,26.1,26.1,34.0,33.0,35.8,29.2,27.8,30.9,29.0,30.3,28.5,26.2,26.8,24.8,15.3,15.5,14.9,40.9,39.5,42.3,22.8,23.5,22.1,3106589
40,IA,19,,,,,04001US19,Iowa -- Urban,2002021,984350,68217,67596,65126,37508,35810,19954,18887,48301,73373,71216,62633,58922,60235,62915,58238,23391,31533,18125,21848,28522,20866,15569,15565,1017671,64497,64762,62400,36511,33870,19365,18397,48517,68841,67949,61921,57816,58419,64349,62956,25158,33334,21671,25467,33800,29554,23991,34126,1754466,855830,54815,54926,53336,31306,29786,72912,61379,61022,104080,110891,105505,65542,35122,15208,898636,51688,52506,51003,30071,28819,73905,59123,58909,104120,111806,113989,77418,51898,33381,96619,51435,5079,4406,4530,2460,2377,5623,4437,4057,6929,5686,3711,1350,630,160,45184,4399,4163,4446,2361,1831,4365,3645,3878,5574,4470,3437,1542,698,375,6532,3229,323,198,292,100,105,216,343,322,587,249,298,125,47,24,3303,108,223,281,75,226,257,254,203,470,469,388,287,42,20,60513,30299,2154,2509,1783,1141,1454,4319,3152,2640,4902,3300,1618,848,415,64,30214,1890,2117,1597,1132,1354,3722,3114,2918,5181,3158,2096,1170,569,196,2098,1078,58,163,83,5,37,44,124,217,193,61,37,51,0,5,1020,144,54,109,46,3,72,148,145,68,93,98,9,31,0,33520,18505,1460,1277,1691,922,782,1936,2139,1770,2993,1918,1286,216,80,35,15015,1630,1503,1396,1023,527,1468,1077,991,2757,1564,713,164,99,103,48273,23974,4328,4117,3411,1574,1269,2092,1799,1188,1871,1045,707,363,141,69,24299,4638,4196,3568,1803,1110,2490,1480,905,1567,1208,727,348,208,51,1652984,803772,48415,48561,47394,28758,27637,68198,57421,56610,97453,105828,103117,64621,34671,15088,849212,45938,46048,45866,27323,26725,69067,55227,55074,97593,107936,111444,76572,51243,33156,144008,74761,8857,8581,8082,3667,2998,6920,6361,6431,10061,7080,3806,1191,562,164,69247,8422,8823,7213,4064,2908,6732,5215,5038,9465,5761,3485,1050,740,331,35.4,33.9,36.8,37.4,35.8,39.0,26.2,26.3,26.1,33.4,31.8,35.6,29.0,28.0,30.3,28.2,30.5,27.3,26.4,27.1,24.9,14.9,15.2,14.6,38.5,36.8,40.3,22.9,23.7,22.2,2002021
40,IA,19,,,,,04043US19,Iowa -- Rural,1104568,558638,32668,37299,39261,24973,12385,5714,5355,18472,25300,30412,30560,32516,36021,44403,46762,17816,23941,14441,17702,23439,17678,11531,9989,545930,31486,35187,36856,23167,10800,4561,4388,15459,24572,29614,29333,30923,35867,43939,43992,16699,22190,13201,17520,24124,19240,14769,18043,1069424,540019,30708,35267,37057,23626,11622,27703,24125,29300,60915,78549,87337,54929,28952,9929,529405,29632,33581,34618,22049,10277,23471,23787,28483,58208,77797,81703,54089,33766,17944,6433,3903,301,391,460,295,181,417,253,332,457,400,228,163,25,0,2530,208,175,407,118,118,232,221,130,287,302,117,173,26,16,3419,1724,100,92,141,64,63,191,124,59,174,318,192,112,84,10,1695,115,122,166,69,49,108,90,100,232,282,200,107,37,18,6057,2747,252,173,282,157,126,327,242,261,389,202,203,78,45,10,3310,178,193,331,242,39,113,122,435,684,396,299,216,41,21,324,162,12,3,20,3,3,40,11,0,20,4,31,15,0,0,162,16,4,0,0,0,2,17,13,16,48,7,39,0,0,5890,3396,187,398,390,201,103,443,243,154,507,468,199,93,8,2,2494,293,328,203,174,119,182,90,169,320,438,105,42,29,2,13021,6687,1108,975,911,627,287,420,302,306,614,483,329,192,95,38,6334,1044,784,1131,515,198,300,245,284,509,543,450,179,110,42,1048616,529100,29608,33943,35819,22826,11164,26655,23421,28421,59530,77472,86745,54739,28874,9883,519516,28468,32225,33461,21366,9885,22912,23122,27771,56957,76903,81122,53831,33600,17893,28699,15324,1466,1738,1905,1145,668,1443,956,1047,2003,1674,823,295,115,46,13375,1562,1843,1583,959,519,775,793,935,1678,1412,731,311,223,51,43.5,42.7,44.4,44.2,43.4,45.1,24.3,23.7,25.1,36.5,37.6,36.0,32.5,25.7,35.0,36.7,25.5,49.4,24.5,24.7,24.3,16.4,16.5,16.3,44.7,43.9,45.5,22.2,22.7,21.6,1104568
40,IA,19,,,,,040A0US19,Iowa -- In metropolitan or micropolitan statistical area,2371791,1176640,79060,79670,80177,46969,38465,21393,19698,53026,80202,80591,73658,71271,73893,79940,76407,30688,40578,23844,28467,36881,26526,18368,16868,1195151,74908,76670,75890,45280,35427,20017,18687,51831,76401,78173,72171,69552,72564,81143,79339,31424,41512,26346,31636,40862,33718,26398,35202,2119127,1045388,65127,66696,67673,40427,32429,79763,68336,70487,127343,141374,139670,86028,43512,16523,1073739,61819,64297,63919,38582,30659,78286,66609,68832,125939,142316,144578,95025,58401,34477,97412,51731,5228,4462,4715,2538,2313,5480,4355,3992,6962,5665,3778,1485,604,154,45681,4364,4175,4652,2373,1677,4323,3700,3916,5709,4588,3461,1677,695,371,6675,3289,333,207,289,95,130,197,293,305,565,338,317,129,59,32,3386,129,234,257,74,134,266,261,238,468,529,415,314,45,22,61458,30764,2180,2500,1942,1154,1410,4354,3228,2717,4919,3268,1743,840,435,74,30694,1965,2142,1643,1204,1307,3491,3143,3063,5403,3243,2117,1224,573,176,2092,1066,52,160,103,8,37,70,127,181,197,32,49,50,0,0,1026,141,32,109,46,3,72,125,145,68,127,90,37,31,0,32364,17797,1284,1278,1619,871,701,1977,2011,1683,2818,1935,1252,257,76,35,14567,1489,1523,1332,1054,511,1479,987,1028,2421,1603,736,178,123,103,52663,26605,4856,4367,3836,1876,1445,2276,1852,1226,2125,1221,864,403,208,50,26058,5001,4267,3978,1947,1136,2618,1576,951,1715,1301,878,389,248,53,2019646,994308,58944,60650,61769,37737,30265,75139,64465,66342,120883,136399,137211,85022,43083,16399,1025338,56279,57925,58843,35757,28664,73836,62769,65153,119559,138493,141900,94141,57760,34259,140843,73100,8554,8152,8049,3838,2989,6742,6103,6066,9712,7005,3866,1304,553,167,67743,8079,8689,7145,4163,2699,6354,5034,4943,9030,5735,3673,1108,767,324,36.7,35.6,38.0,38.6,37.4,40.0,26.3,26.2,26.4,34.2,33.0,38.1,29.2,28.0,30.7,28.2,27.6,28.6,26.5,27.5,24.7,15.0,15.3,14.6,39.7,38.4,41.1,23.0,23.6,22.3,2371791
40,IA,19,,,,,040C0US19,Iowa -- In metropolitan statistical area,1822091,901654,62038,61817,61589,35583,30909,17659,16015,42425,63479,63979,57860,55653,56666,59862,56497,22345,29379,17428,20485,26674,18975,12743,11594,920437,58484,59719,58708,34688,29269,16490,15502,42474,61762,62390,57111,54294,56142,61241,59260,23270,30481,19925,22823,29225,24148,18688,24343,1611013,793624,50270,50884,51313,30323,25923,64334,54261,55356,98878,106605,101538,62005,30622,11312,817389,47791,49386,48598,28993,24982,63952,53354,54486,97832,107682,106487,68802,41315,23729,85000,44099,4791,3956,3985,2031,1952,4812,3549,3368,5710,4714,3213,1341,534,143,40901,3918,3701,4115,2125,1474,3826,3272,3324,5199,4286,3167,1524,637,333,5615,2806,318,207,282,91,114,193,237,247,458,252,268,105,6,28,2809,124,230,240,60,130,249,185,213,397,399,351,204,25,2,54352,26896,1911,2163,1733,1000,1253,3654,2744,2439,4525,2738,1542,740,418,36,27456,1750,1900,1517,1031,1231,3218,2831,2739,4871,2790,1810,1060,550,158,1661,879,24,151,103,3,32,52,74,173,180,22,37,28,0,0,782,67,32,99,46,3,72,71,137,59,96,75,9,16,0,22462,12292,861,877,1088,565,559,1266,1295,1320,1998,1316,940,142,38,27,10170,839,965,961,821,442,1018,782,662,1754,1102,496,160,93,75,41988,21058,3863,3579,3085,1570,1076,1788,1319,1076,1764,881,683,226,100,48,20930,3995,3505,3178,1612,1007,2131,1267,829,1293,1028,625,214,200,46,1535488,755024,45594,46234,46905,28351,24256,60777,51370,52252,93829,102790,99889,61228,30339,11210,780464,43408,44547,44740,26914,23474,60590,50370,51515,93092,104689,104615,68096,40862,23552,105028,54369,6343,6152,5923,2748,2335,5070,4480,4653,7432,5111,2701,960,324,137,50659,6005,6400,5333,3114,2109,4668,3942,3851,6688,4294,2597,904,519,235,35.7,34.6,36.8,37.5,36.4,38.6,26.1,25.7,26.6,31.9,29.3,34.3,29.2,28.3,30.4,30.0,30.0,30.0,26.8,28.1,25.3,14.8,15.0,14.5,38.4,37.2,39.7,23.0,23.6,22.5,1822091
40,IA,19,,,,,040C1US19,Iowa -- In metropolitan statistical area -- in principal city,955495,471446,32994,30272,28161,16424,21137,12135,11904,28249,40111,35824,29459,26754,26800,28407,26853,10692,14269,8012,9513,11902,8953,6326,6295,484049,30775,29871,26717,16133,20477,12204,10655,28586,37755,33728,29020,25707,26427,29538,29231,11265,15403,10072,10684,14188,12381,9900,13332,793813,388431,23977,22344,20817,12685,16988,42409,32632,29218,45303,47514,46787,27352,14352,6053,405382,22751,22178,19583,11849,16860,42738,30920,27922,44697,48829,50549,32569,21154,12783,71042,36598,4136,3144,3135,1728,1672,4119,2990,2635,4571,3984,2689,1188,474,133,34444,3396,3186,3272,1857,1261,3300,2840,2648,4233,3478,2888,1205,591,289,4064,1951,264,158,173,61,48,107,201,204,282,151,199,77,2,24,2113,92,214,173,37,124,193,185,135,295,263,304,84,14,0,40114,20395,1427,1529,1215,577,1094,3157,2133,1948,3315,2083,996,563,342,16,19719,1103,1407,827,649,1025,2733,2300,1848,3293,1944,1233,829,370,158,1247,620,22,84,41,0,22,29,74,173,124,22,29,0,0,0,627,64,32,78,46,3,72,71,96,40,43,68,9,5,0,17493,9569,666,708,822,524,495,1093,1132,941,1413,894,681,138,35,27,7924,580,666,815,699,380,751,602,546,1436,752,443,120,69,65,27722,13882,2502,2305,1958,849,818,1374,949,705,1205,559,433,109,74,42,13840,2789,2188,1969,996,824,1658,837,533,733,656,414,128,78,37,738490,359927,20224,18956,17618,11351,15812,39760,30249,27027,41638,44782,45698,26726,14106,5980,378563,19433,18793,16827,10482,15673,40184,28573,25858,41457,46682,49179,31985,20780,12657,77934,40747,5104,4597,4237,2007,1720,3963,3716,3381,5354,3644,1857,778,281,108,37187,4480,4392,3839,2151,1736,3544,3066,2752,4825,3065,1997,742,424,174,32.9,31.9,34.2,35.1,33.7,36.6,25.9,25.5,26.3,30.1,29.4,31.3,28.7,28.1,29.5,28.3,30.8,27.4,26.2,26.3,25.7,15.3,15.5,14.9,36.4,34.8,38.0,23.0,23.2,22.8,955495
40,IA,19,,,,,040C2US19,Iowa -- In metropolitan statistical area -- not in principal city,866596,430208,29044,31545,33428,19159,9772,5524,4111,14176,23368,28155,28401,28899,29866,31455,29644,11653,15110,9416,10972,14772,10022,6417,5299,436388,27709,29848,31991,18555,8792,4286,4847,13888,24007,28662,28091,28587,29715,31703,30029,12005,15078,9853,12139,15037,11767,8788,11011,817200,405193,26293,28540,30496,17638,8935,21925,21629,26138,53575,59091,54751,34653,16270,5259,412007,25040,27208,29015,17144,8122,21214,22434,26564,53135,58853,55938,36233,20161,10946,13958,7501,655,812,850,303,280,693,559,733,1139,730,524,153,60,10,6457,522,515,843,268,213,526,432,676,966,808,279,319,46,44,1551,855,54,49,109,30,66,86,36,43,176,101,69,28,4,4,696,32,16,67,23,6,56,0,78,102,136,47,120,11,2,14238,6501,484,634,518,423,159,497,611,491,1210,655,546,177,76,20,7737,647,493,690,382,206,485,531,891,1578,846,577,231,180,0,414,259,2,67,62,3,10,23,0,0,56,0,8,28,0,0,155,3,0,21,0,0,0,0,41,19,53,7,0,11,0,4969,2723,195,169,266,41,64,173,163,379,585,422,259,4,3,0,2246,259,299,146,122,62,267,180,116,318,350,53,40,24,10,14266,7176,1361,1274,1127,721,258,414,370,371,559,322,250,117,26,6,7090,1206,1317,1209,616,183,473,430,296,560,372,211,86,122,9,796998,395097,25370,27278,29287,17000,8444,21017,21121,25225,52191,58008,54191,34502,16233,5230,401901,23975,25754,27913,16432,7801,20406,21797,25657,51635,58007,55436,36111,20082,10895,27094,13622,1239,1555,1686,741,615,1107,764,1272,2078,1467,844,182,43,29,13472,1525,2008,1494,963,373,1124,876,1099,1863,1229,600,162,95,61,38.7,37.9,39.5,39.7,38.9,40.5,27.8,26.6,28.4,35.6,28.2,44.2,31.1,28.9,32.6,33.4,14.9,42.7,30.8,33.0,24.3,14.0,14.1,13.9,40.3,39.4,41.0,23.2,24.5,21.9,866596
40,IA,19,,,,,040E0US19,Iowa -- In micropolitan statistical area,549700,274986,17022,17853,18588,11386,7556,3734,3683,10601,16723,16612,15798,15618,17227,20078,19910,8343,11199,6416,7982,10207,7551,5625,5274,274714,16424,16951,17182,10592,6158,3527,3185,9357,14639,15783,15060,15258,16422,19902,20079,8154,11031,6421,8813,11637,9570,7710,10859,508114,251764,14857,15812,16360,10104,6506,15429,14075,15131,28465,34769,38132,24023,12890,5211,256350,14028,14911,15321,9589,5677,14334,13255,14346,28107,34634,38091,26223,17086,10748,12412,7632,437,506,730,507,361,668,806,624,1252,951,565,144,70,11,4780,446,474,537,248,203,497,428,592,510,302,294,153,58,38,1060,483,15,0,7,4,16,4,56,58,107,86,49,24,53,4,577,5,4,17,14,4,17,76,25,71,130,64,110,20,20,7106,3868,269,337,209,154,157,700,484,278,394,530,201,100,17,38,3238,215,242,126,173,76,273,312,324,532,453,307,164,23,18,431,187,28,9,0,5,5,18,53,8,17,10,12,22,0,0,244,74,0,10,0,0,0,54,8,9,31,15,28,15,0,9902,5505,423,401,531,306,142,711,716,363,820,619,312,115,38,8,4397,650,558,371,233,69,461,205,366,667,501,240,18,30,28,10675,5547,993,788,751,306,369,488,533,150,361,340,181,177,108,2,5128,1006,762,800,335,129,487,309,122,422,273,253,175,48,7,484158,239284,13350,14416,14864,9386,6009,14362,13095,14090,27054,33609,37322,23794,12744,5189,244874,12871,13378,14103,8843,5190,13246,12399,13638,26467,33804,37285,26045,16898,10707,35815,18731,2211,2000,2126,1090,654,1672,1623,1413,2280,1894,1165,344,229,30,17084,2074,2289,1812,1049,590,1686,1092,1092,2342,1441,1076,204,248,89,41.1,39.3,42.8,42.9,41.3,44.5,26.9,28.6,24.9,47.2,42.4,48.0,28.8,25.8,33.7,26.7,27.6,25.8,25.4,27.0,22.8,16.0,17.1,15.0,44.2,42.5,45.8,22.9,23.7,21.8,549700
40,IA,19,,,,,040E1US19,Iowa -- In micropolitan statistical area -- in principal city,297845,146446,9721,9853,9735,5572,4687,2522,2279,6048,9970,9706,8877,8515,9077,9945,9169,3780,5506,3114,3990,4757,3464,2994,3165,151399,9497,9601,9175,5379,3697,2485,2215,5932,8822,8863,8958,8257,8474,9681,9875,3985,5975,3256,4549,5681,5408,4435,7199,264811,128039,8074,8198,8040,4592,3765,8890,7818,8498,14872,17016,17440,11438,6290,3108,136772,7634,7937,7687,4622,3336,9097,7658,7627,15321,16941,18981,13112,9722,7097,10893,6633,351,387,702,446,346,552,707,534,1153,793,458,137,56,11,4260,356,392,463,243,194,488,383,586,496,235,215,118,53,38,661,313,0,0,6,0,14,0,12,58,95,40,41,5,42,0,348,0,0,0,7,2,17,69,10,29,89,28,58,19,20,5926,3299,255,332,104,127,151,586,390,228,340,482,175,83,8,38,2627,212,224,82,131,20,233,273,277,424,350,261,120,5,15,308,127,21,9,0,5,5,0,38,8,17,10,0,14,0,0,181,70,0,10,0,0,0,45,8,9,9,15,0,15,0,8347,4443,405,326,434,243,126,507,570,294,677,496,281,68,8,8,3904,595,529,331,206,61,397,197,299,637,419,196,0,9,28,6899,3592,615,601,449,159,280,314,435,86,238,185,60,116,54,0,3307,630,519,602,170,84,400,197,56,299,112,139,78,20,1,247417,118915,6933,7198,6966,4090,3340,8185,7124,7631,13949,16206,16775,11239,6181,3098,128502,6769,6935,6835,4144,2955,8141,7055,7073,14120,16439,18414,12983,9566,7073,27088,14115,1715,1522,1574,784,551,1187,1200,1166,1654,1365,967,267,145,18,12973,1656,1667,1331,693,473,1456,830,853,1867,999,769,129,178,72,38.6,36.6,40.7,41.3,39.2,43.2,26.9,28.9,25.0,47.1,42.4,47.8,28.7,25.8,33.3,25.6,27.3,25.2,25.1,26.6,22.2,15.3,16.9,14.2,42.9,40.9,45.2,22.6,23.5,21.8,297845
40,IA,19,,,,,040E2US19,Iowa -- In micropolitan statistical area -- not in principal city,251855,128540,7301,8000,8853,5814,2869,1212,1404,4553,6753,6906,6921,7103,8150,10133,10741,4563,5693,3302,3992,5450,4087,2631,2109,123315,6927,7350,8007,5213,2461,1042,970,3425,5817,6920,6102,7001,7948,10221,10204,4169,5056,3165,4264,5956,4162,3275,3660,243303,123725,6783,7614,8320,5512,2741,6539,6257,6633,13593,17753,20692,12585,6600,2103,119578,6394,6974,7634,4967,2341,5237,5597,6719,12786,17693,19110,13111,7364,3651,1519,999,86,119,28,61,15,116,99,90,99,158,107,7,14,0,520,90,82,74,5,9,9,45,6,14,67,79,35,5,0,399,170,15,0,1,4,2,4,44,0,12,46,8,19,11,4,229,5,4,17,7,2,0,7,15,42,41,36,52,1,0,1180,569,14,5,105,27,6,114,94,50,54,48,26,17,9,0,611,3,18,44,42,56,40,39,47,108,103,46,44,18,3,123,60,7,0,0,0,0,18,15,0,0,0,12,8,0,0,63,4,0,0,0,0,0,9,0,0,22,0,28,0,0,1555,1062,18,75,97,63,16,204,146,69,143,123,31,47,30,0,493,55,29,40,27,8,64,8,67,30,82,44,18,21,0,3776,1955,378,187,302,147,89,174,98,64,123,155,121,61,54,2,1821,376,243,198,165,45,87,112,66,123,161,114,97,28,6,236741,120369,6417,7218,7898,5296,2669,6177,5971,6459,13105,17403,20547,12555,6563,2091,116372,6102,6443,7268,4699,2235,5105,5344,6565,12347,17365,18871,13062,7332,3634,8727,4616,496,478,552,306,103,485,423,247,626,529,198,77,84,12,4111,418,622,481,356,117,230,262,239,475,442,307,75,70,17,43.9,42.7,45.3,44.6,43.4,45.7,26.5,26.7,21.5,47.6,45.8,48.5,29.4,25.8,38.7,52.4,28.2,52.8,28.1,27.6,31.5,16.9,17.3,16.6,45.4,44.2,46.4,23.5,24.0,21.6,251855
