SummaryLevel,State,StateFIPS,CountyFIPS,PlaceFIPS,CBSACode,CongressDistrict,GEOID,AreaName,B01001_001,B01001_002,B01001_003,B01001_004,B01001_005,B01001_006,B01001_007,B01001_008,B01001_009,B01001_010,B01001_011,B01001_012,B01001_013,B01001_014,B01001_015,B01001_016,B01001_017,B01001_018,B01001_019,B01001_020,B01001_021,B01001_022,B01001_023,B01001_024,B01001_025,B01001_026,B01001_027,B01001_028,B01001_029,B01001_030,B01001_031,B01001_032,B01001_033,B01001_034,B01001_035,B01001_036,B01001_037,B01001_038,B01001_039,B01001_040,B01001_041,B01001_042,B01001_043,B01001_044,B01001_045,B01001_046,B01001_047,B01001_048,B01001_049,B01001A_001,B01001A_002,B01001A_003,B01001A_004,B01001A_005,B01001A_006,B01001A_007,B01001A_008,B01001A_009,B01001A_010,B01001A_011,B01001A_012,B01001A_013,B01001A_014,B01001A_015,B01001A_016,B01001A_017,B01001A_018,B01001A_019,B01001A_020,B01001A_021,B01001A_022,B01001A_023,B01001A_024,B01001A_025,B01001A_026,B01001A_027,B01001A_028,B01001A_029,B01001A_030,B01001A_031,B01001B_001,B01001B_002,B01001B_003,B01001B_004,B01001B_005,B01001B_006,B01001B_007,B01001B_008,B01001B_009,B01001B_010,B01001B_011,B01001B_012,B01001B_013,B01001B_014,B01001B_015,B01001B_016,B01001B_017,B01001B_018,B01001B_019,B01001B_020,B01001B_021,B01001B_022,B01001B_023,B01001B_024,B01001B_025,B01001B_026,B01001B_027,B01001B_028,B01001B_029,B01001B_030,B01001B_031,B01001C_001,B01001C_002,B01001C_003,B01001C_004,B01001C_005,B01001C_006,B01001C_007,B01001C_008,B01001C_009,B01001C_010,B01001C_011,B01001C_012,B01001C_013,B01001C_014,B01001C_015,B01001C_016,B01001C_017,B01001C_018,B01001C_019,B01001C_020,B01001C_021,B01001C_022,B01001C_023,B01001C_024,B01001C_025,B01001C_026,B01001C_027,B01001C_028,B01001C_029,B01001C_030,B01001C_031,B01001D_001,B01001D_002,B01001D_003,B01001D_004,B01001D_005,B01001D_006,B01001D_007,B01001D_008,B01001D_009,B01001D_010,B01001D_011,B01001D_012,B01001D_013,B01001D_014,B01001D_015,B01001D_016,B01001D_017,B01001D_018,B01001D_019,B01001D_020,B01001D_021,B01001D_022,B01001D_023,B01001D_024,B01001D_025,B01001D_026,B01001D_027,B01001D_028,B01001D_029,B01001D_030,B01001D_031,B01001E_001,B01001E_002,B01001E_003,B01001E_004,B01001E_005,B01001E_006,B01001E_007,B01001E_008,B01001E_009,B01001E_010,B01001E_011,B01001E_012,B01001E_013,B01001E_014,B01001E_015,B01001E_016,B01001E_017,B01001E_018,B01001E_019,B01001E_020,B01001E_021,B01001E_022,B01001E_023,B01001E_024,B01001E_025,B01001E_026,B01001E_027,B01001E_028,B01001E_029,B01001E_030,B01001E_031,B01001F_001,B01001F_002,B01001F_003,B01001F_004,B01001F_005,B01001F_006,B01001F_007,B01001F_008,B01001F_009,B01001F_010,B01001F_011,B01001F_012,B01001F_013,B01001F_014,B01001F_015,B01001F_016,B01001F_017,B01001F_018,B01001F_019,B01001F_020,B01001F_021,B01001F_022,B01001F_023,B01001F_024,B01001F_025,B01001F_026,B01001F_027,B01001F_028,B01001F_029,B01001F_030,B01001F_031,B01001G_001,B01001G_002,B01001G_003,B01001G_004,B01001G_005,B01001G_006,B01001G_007,B01001G_008,B01001G_009,B01001G_010,B01001G_011,B01001G_012,B01001G_013,B01001G_014,B01001G_015,B01001G_016,B01001G_017,B01001G_018,B01001G_019,B01001G_020,B01001G_021,B01001G_022,B01001G_023,B01001G_024,B01001G_025,B01001G_026,B01001G_027,B01001G_028,B01001G_029,B01001G_030,B01001G_031,B01001H_001,B01001H_002,B01001H_003,B01001H_004,B01001H_005,B01001H_006,B01001H_007,B01001H_008,B01001H_009,B01001H_010,B01001H_011,B01001H_012,B01001H_013,B01001H_014,B01001H_015,B01001H_016,B01001H_017,B01001H_018,B01001H_019,B01001H_020,B01001H_021,B01001H_022,B01001H_023,B01001H_024,B01001H_025,B01001H_026,B01001H_027,B01001H_028,B01001H_029,B01001H_030,B01001H_031,B01001I_001,B01001I_002,B01001I_003,B01001I_004,B01001I_005,B01001I_006,B01001I_007,B01001I_008,B01001I_009,B01001I_010,B01001I_011,B01001I_012,B01001I_013,B01001I_014,B01001I_015,B01001I_016,B01001I_017,B01001I_018,B01001I_019,B01001I_020,B01001I_021,B01001I_022,B01001I_023,B01001I_024,B01001I_025,B01001I_026,B01001I_027,B01001I_028,B01001I_029,B01001I_030,B01001I_031,B01002_001,B01002_002,B01002_003,B01002A_001,B01002A_002,B01002A_003,B01002B_001,B01002B_002,B01002B_003,B01002C_001,B01002C_002,B01002C_003,B01002D_001,B01002D_002,B01002D_003,B01002E_001,B01002E_002,B01002E_003,B01002F_001,B01002F_002,B01002F_003,B01002G_001,B01002G_002,B01002G_003,B01002H_001,B01002H_002,B01002H_003,B01002I_001,B01002I_002,B01002I_003,B01003_001
40,KS,20,,,,,04000US20,Kansas,2898292,1441912,101871,104005,102041,61082,42725,24171,23440,65573,97980,98081,89387,85834,87581,96825,96554,33441,47877,29102,34944,43933,31632,22811,21022,1456380,97044,98831,98611,57862,39771,21548,21506,59716,93022,95244,86020,84362,86650,99133,97322,37657,49998,30329,37411,50846,39693,33179,40625,2468923,1224198,81124,83746,83254,49732,33913,91116,80225,82584,147509,160311,160263,99190,50923,20308,1244725,77791,79800,79315,46910,32017,83691,77134,80023,144201,162162,166608,108371,68315,38387,167706,85697,6359,6813,6058,3804,3543,8725,7126,6078,10809,11084,8887,4149,1869,393,82009,6193,6079,6519,3880,2732,6651,6077,5900,9624,10309,9342,4945,2362,1396,23871,11862,846,568,1167,515,493,966,866,859,1561,1821,1265,717,201,17,12009,524,843,861,783,493,1367,809,630,1619,1582,1305,827,267,99,77605,37247,2568,2620,2721,1070,1087,4623,3812,3444,6145,4052,2901,1520,549,135,40358,2450,2274,2745,1519,1208,4045,3724,4035,6816,4699,3583,2061,905,294,1874,1198,100,148,19,47,15,207,173,86,202,125,62,0,14,0,676,17,79,14,46,51,64,91,65,99,29,50,31,19,21,62283,32908,3012,3008,2615,1939,1314,2771,2555,2565,4958,4284,2257,1247,352,31,29375,2561,2683,2816,1576,1065,2685,2270,2203,4468,3903,1728,910,383,124,96030,48802,7862,7102,6207,3975,2360,4776,3223,2465,4037,2729,2237,1156,535,138,47228,7508,7073,6341,3148,2205,4267,2917,2388,3555,3099,2361,1441,621,304,2227043,1099515,67057,68738,70211,42964,29454,79878,70436,72111,129975,148811,153733,96510,49732,19905,1127528,64010,65368,66319,40512,27516,73907,68053,70968,128942,152030,159982,105378,66818,37725,327739,170197,18974,20021,17435,9668,6403,15182,13289,13543,23451,16665,9343,4082,1697,444,157542,18246,18919,17033,8843,6093,13272,12115,11710,20548,14886,8866,4224,1929,858,36.2,35.0,37.6,38.0,36.6,39.5,31.3,30.3,32.5,32.9,32.7,33.2,31.4,30.1,32.8,26.9,26.0,28.6,28.2,28.8,27.4,17.4,17.4,17.5,40.2,38.6,41.8,23.7,24.0,23.4,2898292
40,KS,20,,,,,04001US20,Kansas -- Urban,2158623,1066457,79536,78831,74996,44050,33376,20151,19522,54268,80224,77766,69574,64922,63985,66427,64776,22464,32385,18985,22550,28314,20192,14885,14278,1092166,76486,75636,73137,41988,32253,18560,18121,49521,76611,75415,67187,63937,62897,69608,67150,26343,35127,21048,26007,34729,27454,23227,29724,1772235,871124,60678,60976,58426,34321,25605,73609,63770,63636,109329,108971,103960,62139,32003,13701,901111,59234,58607,56382,32501,25204,68119,61813,61453,107320,111263,112179,72842,46554,27640,160732,81408,6120,6510,5858,3480,3246,8286,6820,5836,10274,10459,8437,3939,1780,363,79324,5939,5859,6272,3707,2597,6513,5911,5716,9361,10028,8975,4824,2273,1349,16913,8367,634,270,774,353,370,717,656,587,1180,1410,781,501,122,12,8546,324,577,609,501,386,1159,626,407,1257,1029,911,497,188,75,73879,35701,2550,2455,2622,959,1005,4504,3696,3356,5873,3826,2812,1398,537,108,38178,2402,2103,2559,1463,1184,3998,3567,3823,6349,4421,3325,1840,853,291,1559,1002,100,119,16,39,15,196,106,54,193,109,43,0,12,0,557,11,79,13,34,42,57,72,58,76,22,26,31,19,17,55204,29064,2810,2712,2332,1715,1160,2512,2296,2301,4369,3567,1937,1062,286,5,26140,2286,2447,2351,1373,929,2551,2159,2010,3924,3363,1501,786,342,118,78101,39791,6644,5789,4968,3183,1975,4117,2880,1996,3278,2070,1655,810,337,89,38310,6290,5964,4951,2409,1911,3805,2463,1948,2837,2379,1703,964,452,234,1556983,760679,48016,48049,47287,28520,21724,63336,54685,54116,93596,98833,98226,59835,31108,13348,796304,46776,45650,45062,26912,21052,59086,53557,53220,93852,102216,106378,70245,45268,27030,290417,150084,17129,17289,14959,8306,5574,13852,12131,12199,20903,14424,8138,3514,1302,364,140333,16487,17005,14607,7697,5481,12232,11039,10659,18103,13130,7738,3690,1665,800,34.3,33.0,35.6,35.9,34.5,37.4,31.4,30.3,32.6,32.7,33.1,31.6,31.1,30.1,32.4,26.3,25.4,28.5,27.6,28.2,27.0,17.2,17.2,17.2,38.1,36.3,39.9,23.8,24.1,23.5,2158623
40,KS,20,,,,,04043US20,Kansas -- Rural,739669,375455,22335,25174,27045,17032,9349,4020,3918,11305,17756,20315,19813,20912,23596,30398,31778,10977,15492,10117,12394,15619,11440,7926,6744,364214,20558,23195,25474,15874,7518,2988,3385,10195,16411,19829,18833,20425,23753,29525,30172,11314,14871,9281,11404,16117,12239,9952,10901,696688,353074,20446,22770,24828,15411,8308,17507,16455,18948,38180,51340,56303,37051,18920,6607,343614,18557,21193,22933,14409,6813,15572,15321,18570,36881,50899,54429,35529,21761,10747,6974,4289,239,303,200,324,297,439,306,242,535,625,450,210,89,30,2685,254,220,247,173,135,138,166,184,263,281,367,121,89,47,6958,3495,212,298,393,162,123,249,210,272,381,411,484,216,79,5,3463,200,266,252,282,107,208,183,223,362,553,394,330,79,24,3726,1546,18,165,99,111,82,119,116,88,272,226,89,122,12,27,2180,48,171,186,56,24,47,157,212,467,278,258,221,52,3,315,196,0,29,3,8,0,11,67,32,9,16,19,0,2,0,119,6,0,1,12,9,7,19,7,23,7,24,0,0,4,7079,3844,202,296,283,224,154,259,259,264,589,717,320,185,66,26,3235,275,236,465,203,136,134,111,193,544,540,227,124,41,6,17929,9011,1218,1313,1239,792,385,659,343,469,759,659,582,346,198,49,8918,1218,1109,1390,739,294,462,454,440,718,720,658,477,169,70,670060,338836,19041,20689,22924,14444,7730,16542,15751,17995,36379,49978,55507,36675,18624,6557,331224,17234,19718,21257,13600,6464,14821,14496,17748,35090,49814,53604,35133,21550,10695,37322,20113,1845,2732,2476,1362,829,1330,1158,1344,2548,2241,1205,568,395,80,17209,1759,1914,2426,1146,612,1040,1076,1051,2445,1756,1128,534,264,58,43.4,42.4,44.4,44.4,43.4,45.4,30.4,30.6,30.2,33.6,31.7,35.3,38.8,32.7,39.7,28.6,28.5,33.3,32.9,34.7,31.4,17.9,17.8,18.0,45.4,44.5,46.3,22.9,22.5,23.3,739669
40,KS,20,,,,,040A0US20,Kansas -- In metropolitan or micropolitan statistical area,2503332,1243829,88958,90676,89168,52839,37389,21568,21146,58848,87338,86639,79059,74942,76043,82369,81282,27578,40252,24548,28292,35688,24801,17909,16497,1259503,85012,86184,85646,49959,35392,19673,19626,53744,83309,84661,76257,74150,75649,85133,82800,31836,42090,25348,31135,41753,31912,26311,31923,2098611,1039380,69508,71534,71367,42265,29250,80753,70552,71989,127939,135945,132572,80395,39435,15876,1059231,67018,68297,67469,39736,28131,74705,68036,70156,125292,138419,139532,88749,53932,29759,163869,83117,6285,6672,5988,3758,3263,8351,6986,5853,10451,10681,8620,4045,1795,369,80752,6092,6006,6457,3787,2630,6552,6006,5809,9578,10202,9115,4810,2326,1382,19948,9865,689,442,1026,441,419,807,677,721,1303,1521,1052,596,165,6,10083,424,662,732,691,422,1244,714,547,1347,1349,1057,584,216,94,76074,36671,2550,2579,2681,1059,1039,4540,3774,3412,6063,3971,2876,1455,537,135,39403,2380,2244,2706,1490,1158,4008,3629,3957,6666,4569,3491,1939,872,294,1677,1095,96,145,19,42,15,197,155,77,194,88,53,0,14,0,582,11,79,14,34,41,57,73,63,76,26,48,31,19,10,56147,29560,2640,2779,2337,1606,1203,2540,2304,2379,4438,3798,2090,1121,315,10,26587,2275,2349,2569,1458,898,2463,2104,2029,4156,3514,1454,849,354,115,87006,44141,7190,6525,5750,3668,2200,4374,2890,2208,3613,2408,1849,916,449,101,42865,6812,6547,5699,2763,2112,4014,2747,2100,3292,2703,2029,1274,504,269,1875937,924897,56681,57782,59244,36093,25163,70393,61481,62416,111636,125402,126665,77988,38420,15533,951040,54289,55159,55488,33887,23923,65420,59675,61683,111221,129033,133517,85988,52612,29145,300573,155571,17132,18373,16106,8699,5865,14012,12198,12387,21639,15159,8515,3650,1477,359,145002,16854,17182,15635,8151,5611,12481,11149,10938,18992,13661,7919,3920,1708,801,35.4,34.2,36.7,37.1,35.8,38.6,31.2,30.2,32.5,32.5,32.9,32.0,31.3,30.1,32.7,26.6,25.6,28.8,28.3,29.0,27.5,17.2,17.1,17.4,39.4,37.7,40.9,23.7,23.9,23.5,2503332
40,KS,20,,,,,040C0US20,Kansas -- In metropolitan statistical area,1951670,967091,68449,69439,70685,41142,28311,16231,16170,44145,67971,68653,63452,59367,60063,64606,63620,21190,31357,19219,21226,27382,18583,13403,12427,984579,65697,67358,67056,39310,26830,14727,14874,41487,65860,67659,61213,59511,60137,67237,64692,24959,33484,19617,24026,31843,23947,19282,23773,1620179,801484,52941,54279,55831,32724,21938,60457,54511,56774,101147,106249,102406,61228,29123,11876,818695,51399,52530,52167,30907,21001,56368,53198,55482,99529,108577,108409,67597,39599,21932,143816,71661,5399,5736,5597,3392,2741,6583,5552,5010,8996,9406,7776,3496,1658,319,72155,5436,5278,5914,3456,2394,5374,5205,5326,8712,9317,8132,4382,2079,1150,15426,7352,421,286,777,327,297,624,531,588,914,1251,795,421,114,6,8074,365,560,563,585,321,1011,594,402,1036,1024,929,451,154,79,67542,32755,2333,2343,2399,985,913,3870,3404,3063,5544,3505,2503,1275,483,135,34787,2184,2001,2391,1339,1066,3398,3194,3456,6019,4112,3020,1539,794,274,1222,843,48,81,19,42,5,188,107,49,152,85,53,0,14,0,379,11,26,1,34,41,32,20,53,62,24,34,31,0,10,35219,18306,1565,1667,1361,880,722,1549,1479,1457,3072,2234,1316,774,220,10,16913,1378,1483,1430,877,554,1678,1393,1297,2690,2126,1012,619,264,112,68266,34690,5742,5047,4701,2792,1695,3275,2387,1712,2994,1939,1318,633,374,81,33576,4924,5480,4590,2112,1453,3227,2256,1643,2676,2194,1599,867,339,216,1463311,721378,44184,45027,46775,28383,19321,53719,48054,49713,89396,99018,98206,59591,28361,11630,741933,42337,43146,43690,26823,18298,49794,47257,49261,89326,102006,104210,65727,38611,21447,208579,107266,11522,12341,11778,5932,3779,9132,8510,8865,15481,10183,5878,2480,1129,256,101313,11596,12182,10874,5578,3644,8734,7908,7833,13420,9328,5576,2714,1277,649,35.5,34.4,36.7,37.2,35.9,38.6,31.8,30.7,32.9,32.5,33.3,30.7,31.4,30.2,32.7,28.4,26.5,34.3,29.3,29.8,28.5,17.1,16.9,17.5,39.1,37.6,40.6,24.0,24.4,23.8,1951670
40,KS,20,,,,,040C1US20,Kansas -- In metropolitan statistical area -- in principal city,997555,490358,36360,34146,33364,18744,15905,10332,10495,26933,39534,37209,31091,27852,28601,30807,29959,10380,15212,8840,10097,12810,8882,6569,6236,507197,34513,32640,31424,18882,15987,10272,9974,26401,38520,36176,29901,28899,29120,32507,31000,13000,16147,9324,12070,15772,11862,9968,12838,762900,374956,25220,24199,23012,13429,11506,36183,29770,28933,44812,46559,45387,26961,13180,5805,387944,24088,22662,21385,13100,11938,35291,28947,27305,44478,47819,49291,31258,18887,11495,109945,52614,4261,4318,4341,2476,1971,4522,3746,3478,6016,6801,6143,2793,1447,301,57331,4452,3930,4429,2753,1786,4435,4292,4227,6475,7526,6669,3679,1764,914,8751,4141,267,99,493,115,174,451,326,286,481,782,422,188,53,4,4610,219,370,237,271,253,662,355,274,466,602,518,240,104,39,48313,23626,1764,1490,1892,553,654,3183,2719,2418,3634,2318,1735,822,359,85,24687,1742,1326,1565,1062,878,2709,2458,2407,3946,2767,1985,1012,658,172,658,414,37,52,0,39,0,123,31,8,37,49,26,0,12,0,244,11,26,0,26,19,32,0,21,62,18,12,17,0,0,27265,14365,1308,1351,1075,689,623,1233,1140,1022,2259,1783,1016,674,187,5,12900,1036,1202,1117,658,366,1288,1063,1006,1951,1646,766,510,199,92,39723,20242,3503,2637,2551,1443,977,2065,1802,1064,1704,1116,822,309,213,36,19481,2965,3124,2691,1012,747,2230,1405,936,1422,1249,906,450,218,126,654293,319966,18735,17472,17097,10569,9758,31575,25216,23918,36973,41819,42648,25889,12657,5640,334327,17487,16147,15565,10130,9936,30682,24903,22927,37549,43247,46344,30016,18251,11143,146937,75063,8600,9077,7858,3897,2625,6496,6049,6221,10456,6949,4050,1801,814,170,71874,8525,8678,7579,4076,2553,6225,5500,5622,9303,6710,3845,1891,871,496,33.6,32.5,34.8,35.4,34.1,37.0,32.3,30.9,33.3,30.7,32.4,29.6,30.1,29.1,31.1,23.1,21.7,30.9,28.9,29.3,28.5,17.9,18.0,17.7,38.2,36.2,40.3,23.8,24.1,23.6,997555
40,KS,20,,,,,040C2US20,Kansas -- In metropolitan statistical area -- not in principal city,954115,476733,32089,35293,37321,22398,12406,5899,5675,17212,28437,31444,32361,31515,31462,33799,33661,10810,16145,10379,11129,14572,9701,6834,6191,477382,31184,34718,35632,20428,10843,4455,4900,15086,27340,31483,31312,30612,31017,34730,33692,11959,17337,10293,11956,16071,12085,9314,10935,857279,426528,27721,30080,32819,19295,10432,24274,24741,27841,56335,59690,57019,34267,15943,6071,430751,27311,29868,30782,17807,9063,21077,24251,28177,55051,60758,59118,36339,20712,10437,33871,19047,1138,1418,1256,916,770,2061,1806,1532,2980,2605,1633,703,211,18,14824,984,1348,1485,703,608,939,913,1099,2237,1791,1463,703,315,236,6675,3211,154,187,284,212,123,173,205,302,433,469,373,233,61,2,3464,146,190,326,314,68,349,239,128,570,422,411,211,50,40,19229,9129,569,853,507,432,259,687,685,645,1910,1187,768,453,124,50,10100,442,675,826,277,188,689,736,1049,2073,1345,1035,527,136,102,564,429,11,29,19,3,5,65,76,41,115,36,27,0,2,0,135,0,0,1,8,22,0,20,32,0,6,22,14,0,10,7954,3941,257,316,286,191,99,316,339,435,813,451,300,100,33,5,4013,342,281,313,219,188,390,330,291,739,480,246,109,65,20,28543,14448,2239,2410,2150,1349,718,1210,585,648,1290,823,496,324,161,45,14095,1959,2356,1899,1100,706,997,851,707,1254,945,693,417,121,90,809018,401412,25449,27555,29678,17814,9563,22144,22838,25795,52423,57199,55558,33702,15704,5990,407606,24850,26999,28125,16693,8362,19112,22354,26334,51777,58759,57866,35711,20360,10304,61642,32203,2922,3264,3920,2035,1154,2636,2461,2644,5025,3234,1828,679,315,86,29439,3071,3504,3295,1502,1091,2509,2408,2211,4117,2618,1731,823,406,153,37.5,36.5,38.6,38.8,37.7,39.8,30.8,30.4,31.5,33.9,33.8,34.4,35.4,34.4,36.2,31.7,31.0,34.4,30.8,31.9,28.7,16.7,16.2,17.4,39.8,38.7,40.9,24.9,25.3,24.4,954115
40,KS,20,,,,,040E0US20,Kansas -- In micropolitan statistical area,551662,276738,20509,21237,18483,11697,9078,5337,4976,14703,19367,17986,15607,15575,15980,17763,17662,6388,8895,5329,7066,8306,6218,4506,4070,274924,19315,18826,18590,10649,8562,4946,4752,12257,17449,17002,15044,14639,15512,17896,18108,6877,8606,5731,7109,9910,7965,7029,8150,478432,237896,16567,17255,15536,9541,7312,20296,16041,15215,26792,29696,30166,19167,10312,4000,240536,15619,15767,15302,8829,7130,18337,14838,14674,25763,29842,31123,21152,14333,7827,20053,11456,886,936,391,366,522,1768,1434,843,1455,1275,844,549,137,50,8597,656,728,543,331,236,1178,801,483,866,885,983,428,247,232,4522,2513,268,156,249,114,122,183,146,133,389,270,257,175,51,0,2009,59,102,169,106,101,233,120,145,311,325,128,133,62,15,8532,3916,217,236,282,74,126,670,370,349,519,466,373,180,54,0,4616,196,243,315,151,92,610,435,501,647,457,471,400,78,20,455,252,48,64,0,0,10,9,48,28,42,3,0,0,0,0,203,0,53,13,0,0,25,53,10,14,2,14,0,19,0,20928,11254,1075,1112,976,726,481,991,825,922,1366,1564,774,347,95,0,9674,897,866,1139,581,344,785,711,732,1466,1388,442,230,90,3,18740,9451,1448,1478,1049,876,505,1099,503,496,619,469,531,283,75,20,9289,1888,1067,1109,651,659,787,491,457,616,509,430,407,165,53,412626,203519,12497,12755,12469,7710,5842,16674,13427,12703,22240,26384,28459,18397,10059,3903,209107,11952,12013,11798,7064,5625,15626,12418,12422,21895,27027,29307,20261,14001,7698,91994,48305,5610,6032,4328,2767,2086,4880,3688,3522,6158,4976,2637,1170,348,103,43689,5258,5000,4761,2573,1967,3747,3241,3105,5572,4333,2343,1206,431,152,35.0,33.6,36.7,37.0,35.4,38.7,28.1,28.1,28.0,32.7,31.5,34.3,31.1,29.7,32.4,25.2,21.8,26.6,26.2,26.4,26.1,17.4,17.5,17.2,40.4,38.4,42.1,22.9,23.2,22.6,551662
40,KS,20,,,,,040E1US20,Kansas -- In micropolitan statistical area -- in principal city,352604,175607,14125,13734,10753,7305,6308,4123,3460,11255,13994,12014,10481,9642,10046,10149,10080,3481,5178,2832,3940,4475,3353,2522,2357,176997,13253,12355,11511,6606,6458,3772,3525,9252,12564,11130,9890,8995,9374,10667,10557,3957,4996,3441,4138,5711,4920,4592,5333,295246,144805,10960,10811,8639,5618,4918,14810,11106,9945,16649,16835,16563,10056,5585,2310,150441,10540,10067,9144,5227,5224,13538,10315,9331,15915,17323,17605,12134,8995,5083,16736,9612,798,720,276,278,469,1565,1218,589,1222,1117,708,494,125,33,7124,514,557,431,243,178,972,775,332,703,741,862,387,233,196,2858,1674,241,76,154,68,92,88,132,66,288,205,132,126,6,0,1184,38,26,92,38,63,199,85,84,227,199,60,59,14,0,7568,3507,192,220,273,61,90,597,356,309,454,392,352,160,51,0,4061,153,238,306,132,92,603,398,434,497,382,396,353,61,16,376,188,48,38,0,0,10,0,48,14,30,0,0,0,0,0,188,0,53,0,0,0,25,53,10,14,0,14,0,19,0,17176,9342,912,921,803,640,359,880,712,728,1123,1335,615,256,58,0,7834,729,722,854,488,283,660,633,581,1167,1143,340,163,71,0,12644,6479,974,948,608,640,370,898,422,363,357,311,369,155,50,14,6165,1279,692,684,478,618,552,305,358,362,253,233,194,119,38,241659,116788,7536,7270,6389,4173,3826,11703,8939,7825,12799,14085,15132,9424,5449,2238,124871,7580,6917,6516,3887,3873,11232,8278,7452,12880,15011,16141,11406,8713,4985,74819,39447,4657,4804,3249,2255,1568,4194,3103,2918,5159,4178,2161,935,194,72,35372,4200,4178,3572,2006,1736,3141,2748,2575,4331,3557,1879,981,350,118,32.4,31.1,34.0,34.3,32.7,36.1,28.1,28.0,29.1,32.0,28.8,34.1,30.3,29.4,31.3,25.4,18.8,26.9,26.0,26.0,26.0,18.0,18.4,16.9,37.6,35.6,40.1,23.3,23.7,22.8,352604
40,KS,20,,,,,040E2US20,Kansas -- In micropolitan statistical area -- not in principal city,199058,101131,6384,7503,7730,4392,2770,1214,1516,3448,5373,5972,5126,5933,5934,7614,7582,2907,3717,2497,3126,3831,2865,1984,1713,97927,6062,6471,7079,4043,2104,1174,1227,3005,4885,5872,5154,5644,6138,7229,7551,2920,3610,2290,2971,4199,3045,2437,2817,183186,93091,5607,6444,6897,3923,2394,5486,4935,5270,10143,12861,13603,9111,4727,1690,90095,5079,5700,6158,3602,1906,4799,4523,5343,9848,12519,13518,9018,5338,2744,3317,1844,88,216,115,88,53,203,216,254,233,158,136,55,12,17,1473,142,171,112,88,58,206,26,151,163,144,121,41,14,36,1664,839,27,80,95,46,30,95,14,67,101,65,125,49,45,0,825,21,76,77,68,38,34,35,61,84,126,68,74,48,15,964,409,25,16,9,13,36,73,14,40,65,74,21,20,3,0,555,43,5,9,19,0,7,37,67,150,75,75,47,17,4,79,64,0,26,0,0,0,9,0,14,12,3,0,0,0,0,15,0,0,13,0,0,0,0,0,0,2,0,0,0,0,3752,1912,163,191,173,86,122,111,113,194,243,229,159,91,37,0,1840,168,144,285,93,61,125,78,151,299,245,102,67,19,3,6096,2972,474,530,441,236,135,201,81,133,262,158,162,128,25,6,3124,609,375,425,173,41,235,186,99,254,256,197,213,46,15,170967,86731,4961,5485,6080,3537,2016,4971,4488,4878,9441,12299,13327,8973,4610,1665,84236,4372,5096,5282,3177,1752,4394,4140,4970,9015,12016,13166,8855,5288,2713,17175,8858,953,1228,1079,512,518,686,585,604,999,798,476,235,154,31,8317,1058,822,1189,567,231,606,493,530,1241,776,464,225,81,34,40.5,39.2,41.7,42.0,40.9,43.2,27.8,29.3,23.8,34.3,34.0,35.3,38.7,31.4,40.7,21.1,24.3,.,28.0,28.9,27.3,17.0,15.9,17.6,43.7,42.6,44.9,21.4,21.0,22.0,199058
