SummaryLevel,State,StateFIPS,CountyFIPS,PlaceFIPS,CBSACode,CongressDistrict,GEOID,AreaName,B01001_001,B01001_002,B01001_003,B01001_004,B01001_005,B01001_006,B01001_007,B01001_008,B01001_009,B01001_010,B01001_011,B01001_012,B01001_013,B01001_014,B01001_015,B01001_016,B01001_017,B01001_018,B01001_019,B01001_020,B01001_021,B01001_022,B01001_023,B01001_024,B01001_025,B01001_026,B01001_027,B01001_028,B01001_029,B01001_030,B01001_031,B01001_032,B01001_033,B01001_034,B01001_035,B01001_036,B01001_037,B01001_038,B01001_039,B01001_040,B01001_041,B01001_042,B01001_043,B01001_044,B01001_045,B01001_046,B01001_047,B01001_048,B01001_049,B01001A_001,B01001A_002,B01001A_003,B01001A_004,B01001A_005,B01001A_006,B01001A_007,B01001A_008,B01001A_009,B01001A_010,B01001A_011,B01001A_012,B01001A_013,B01001A_014,B01001A_015,B01001A_016,B01001A_017,B01001A_018,B01001A_019,B01001A_020,B01001A_021,B01001A_022,B01001A_023,B01001A_024,B01001A_025,B01001A_026,B01001A_027,B01001A_028,B01001A_029,B01001A_030,B01001A_031,B01001B_001,B01001B_002,B01001B_003,B01001B_004,B01001B_005,B01001B_006,B01001B_007,B01001B_008,B01001B_009,B01001B_010,B01001B_011,B01001B_012,B01001B_013,B01001B_014,B01001B_015,B01001B_016,B01001B_017,B01001B_018,B01001B_019,B01001B_020,B01001B_021,B01001B_022,B01001B_023,B01001B_024,B01001B_025,B01001B_026,B01001B_027,B01001B_028,B01001B_029,B01001B_030,B01001B_031,B01001C_001,B01001C_002,B01001C_003,B01001C_004,B01001C_005,B01001C_006,B01001C_007,B01001C_008,B01001C_009,B01001C_010,B01001C_011,B01001C_012,B01001C_013,B01001C_014,B01001C_015,B01001C_016,B01001C_017,B01001C_018,B01001C_019,B01001C_020,B01001C_021,B01001C_022,B01001C_023,B01001C_024,B01001C_025,B01001C_026,B01001C_027,B01001C_028,B01001C_029,B01001C_030,B01001C_031,B01001D_001,B01001D_002,B01001D_003,B01001D_004,B01001D_005,B01001D_006,B01001D_007,B01001D_008,B01001D_009,B01001D_010,B01001D_011,B01001D_012,B01001D_013,B01001D_014,B01001D_015,B01001D_016,B01001D_017,B01001D_018,B01001D_019,B01001D_020,B01001D_021,B01001D_022,B01001D_023,B01001D_024,B01001D_025,B01001D_026,B01001D_027,B01001D_028,B01001D_029,B01001D_030,B01001D_031,B01001E_001,B01001E_002,B01001E_003,B01001E_004,B01001E_005,B01001E_006,B01001E_007,B01001E_008,B01001E_009,B01001E_010,B01001E_011,B01001E_012,B01001E_013,B01001E_014,B01001E_015,B01001E_016,B01001E_017,B01001E_018,B01001E_019,B01001E_020,B01001E_021,B01001E_022,B01001E_023,B01001E_024,B01001E_025,B01001E_026,B01001E_027,B01001E_028,B01001E_029,B01001E_030,B01001E_031,B01001F_001,B01001F_002,B01001F_003,B01001F_004,B01001F_005,B01001F_006,B01001F_007,B01001F_008,B01001F_009,B01001F_010,B01001F_011,B01001F_012,B01001F_013,B01001F_014,B01001F_015,B01001F_016,B01001F_017,B01001F_018,B01001F_019,B01001F_020,B01001F_021,B01001F_022,B01001F_023,B01001F_024,B01001F_025,B01001F_026,B01001F_027,B01001F_028,B01001F_029,B01001F_030,B01001F_031,B01001G_001,B01001G_002,B01001G_003,B01001G_004,B01001G_005,B01001G_006,B01001G_007,B01001G_008,B01001G_009,B01001G_010,B01001G_011,B01001G_012,B01001G_013,B01001G_014,B01001G_015,B01001G_016,B01001G_017,B01001G_018,B01001G_019,B01001G_020,B01001G_021,B01001G_022,B01001G_023,B01001G_024,B01001G_025,B01001G_026,B01001G_027,B01001G_028,B01001G_029,B01001G_030,B01001G_031,B01001H_001,B01001H_002,B01001H_003,B01001H_004,B01001H_005,B01001H_006,B01001H_007,B01001H_008,B01001H_009,B01001H_010,B01001H_011,B01001H_012,B01001H_013,B01001H_014,B01001H_015,B01001H_016,B01001H_017,B01001H_018,B01001H_019,B01001H_020,B01001H_021,B01001H_022,B01001H_023,B01001H_024,B01001H_025,B01001H_026,B01001H_027,B01001H_028,B01001H_029,B01001H_030,B01001H_031,B01001I_001,B01001I_002,B01001I_003,B01001I_004,B01001I_005,B01001I_006,B01001I_007,B01001I_008,B01001I_009,B01001I_010,B01001I_011,B01001I_012,B01001I_013,B01001I_014,B01001I_015,B01001I_016,B01001I_017,B01001I_018,B01001I_019,B01001I_020,B01001I_021,B01001I_022,B01001I_023,B01001I_024,B01001I_025,B01001I_026,B01001I_027,B01001I_028,B01001I_029,B01001I_030,B01001I_031,B01002_001,B01002_002,B01002_003,B01002A_001,B01002A_002,B01002A_003,B01002B_001,B01002B_002,B01002B_003,B01002C_001,B01002C_002,B01002C_003,B01002D_001,B01002D_002,B01002D_003,B01002E_001,B01002E_002,B01002E_003,B01002F_001,B01002F_002,B01002F_003,B01002G_001,B01002G_002,B01002G_003,B01002H_001,B01002H_002,B01002H_003,B01002I_001,B01002I_002,B01002I_003,B01003_001
40,KY,21,,,,,04000US21,Kentucky,4411989,2172745,141116,143442,147445,87958,59854,33256,34575,92432,142822,142473,137521,143699,145975,155508,148554,53822,76635,47799,57710,74483,48915,31815,24936,2239244,133409,137648,139441,83731,57437,32080,32324,85768,140562,140971,137236,142304,148575,161731,157371,59696,81618,52131,66325,86244,64319,47502,50821,3859516,1897362,115454,118171,123846,74368,48988,134035,122736,122677,245551,269532,254100,168150,75954,23800,1962154,109153,112195,116744,71162,47303,127821,121007,121400,245134,277362,271283,189535,104169,47886,350242,174929,12539,13382,12549,8480,7149,17442,12581,12192,22841,23045,19107,9024,3703,895,175313,11379,13058,11980,6942,6257,14465,11888,12348,21724,24007,21371,11361,6038,2495,9052,4379,242,286,246,208,94,331,193,148,578,990,668,302,80,13,4673,92,278,367,168,169,353,238,293,636,907,678,316,147,31,57084,26473,1996,2167,1819,1072,712,2512,2390,2528,4965,3073,1831,966,335,107,30611,1959,2074,2459,1040,934,2302,2913,2865,5482,3588,2368,1773,685,169,2584,1360,114,20,261,60,32,282,48,51,160,166,166,0,0,0,1224,177,128,92,35,22,131,185,117,166,126,15,9,0,21,40674,23168,2690,2313,2260,927,706,1805,2425,2841,3891,2047,845,264,147,7,17506,2265,2011,1628,1039,616,1403,1629,1742,2955,1495,462,222,28,11,92837,45074,8081,7103,6464,2843,2173,3856,2449,2036,3234,2630,2294,1286,511,114,47763,8384,7904,6171,3345,2136,3697,2702,2206,3443,2821,2508,1484,754,208,3766346,1847122,110389,112271,118952,72208,47133,129711,118766,117838,237490,264720,251319,167128,75558,23639,1919224,104132,107154,112245,68730,45510,124397,117654,118514,239303,273501,268841,188231,103546,47466,146945,80345,8999,8892,8117,3502,2954,6922,6784,8082,12496,7617,3922,1375,522,161,66600,8220,8367,6993,3587,2759,5376,5228,5044,9325,5716,3195,1630,685,475,38.6,37.2,40.0,40.1,38.7,41.3,33.0,31.4,34.7,40.6,41.2,40.4,32.0,31.1,32.7,24.2,23.3,25.6,25.9,26.7,24.3,15.9,15.7,16.2,40.5,39.2,41.8,24.5,25.6,23.2,4411989
40,KY,21,,,,,04001US21,Kentucky -- Urban,2607833,1267090,87879,86181,85486,49009,38862,22135,22382,62423,93454,89961,83332,83985,81238,83849,79127,28139,40533,24770,28629,36922,25322,17924,15548,1340743,82990,81966,81026,48361,39037,22015,21642,57233,94421,89407,84310,82149,83828,90816,88402,33438,45614,28774,35675,48233,37738,29323,34345,2123614,1028980,64838,64158,65275,37495,29113,83813,75500,72951,136657,138228,126551,80545,39254,14602,1094634,61670,59814,61222,37468,30109,80545,76447,71525,134759,145646,143264,99750,60664,31751,321793,157311,11987,12586,11585,7619,6574,15549,11416,10799,20221,20074,17055,7889,3204,753,164482,10910,12329,11173,6497,5743,13715,11489,11816,20754,22337,19858,10256,5364,2241,6151,2919,196,175,227,193,51,251,144,94,387,540,403,173,78,7,3232,62,230,191,117,148,266,179,235,429,592,454,195,109,25,51313,24493,1857,1995,1631,949,693,2457,2175,2405,4648,2850,1636,815,290,92,26820,1807,1769,2065,937,816,2131,2595,2513,5051,3061,1919,1474,518,164,1931,1030,63,20,181,13,26,237,48,51,127,128,136,0,0,0,901,143,71,59,35,0,111,185,59,115,94,8,0,0,21,32141,18178,2207,1719,1788,672,554,1442,2036,2180,3054,1501,648,238,139,0,13963,1716,1508,1365,786,494,1015,1308,1467,2604,1173,314,202,11,0,70890,34179,6731,5528,4799,2068,1851,3191,2135,1481,2223,1766,1370,661,281,94,36711,6682,6245,4951,2521,1727,3107,2218,1792,2747,1741,1637,805,395,143,2049639,989117,60710,59452,61554,35827,27890,80226,72249,69072,130222,134229,124381,79787,38997,14521,1060522,57533,55996,57775,35644,28672,77744,73614,69103,129922,142688,141388,98835,60227,31381,116602,63323,7350,6798,6108,2663,2049,5678,5722,6358,9953,6119,3002,1087,355,81,53279,6814,6425,5499,2634,2206,4219,4305,4279,7869,4491,2487,1160,483,408,36.4,34.8,38.0,38.2,36.5,40.0,32.6,30.7,34.4,37.8,37.2,38.3,31.8,31.0,32.4,25.1,23.9,25.7,26.3,26.7,25.4,15.3,15.0,15.6,38.8,37.1,40.6,24.9,26.1,23.6,2607833
40,KY,21,,,,,04043US21,Kentucky -- Rural,1804156,905655,53237,57261,61959,38949,20992,11121,12193,30009,49368,52512,54189,59714,64737,71659,69427,25683,36102,23029,29081,37561,23593,13891,9388,898501,50419,55682,58415,35370,18400,10065,10682,28535,46141,51564,52926,60155,64747,70915,68969,26258,36004,23357,30650,38011,26581,18179,16476,1735902,868382,50616,54013,58571,36873,19875,50222,47236,49726,108894,131304,127549,87605,36700,9198,867520,47483,52381,55522,33694,17194,47276,44560,49875,110375,131716,128019,89785,43505,16135,28449,17618,552,796,964,861,575,1893,1165,1393,2620,2971,2052,1135,499,142,10831,469,729,807,445,514,750,399,532,970,1670,1513,1105,674,254,2901,1460,46,111,19,15,43,80,49,54,191,450,265,129,2,6,1441,30,48,176,51,21,87,59,58,207,315,224,121,38,6,5771,1980,139,172,188,123,19,55,215,123,317,223,195,151,45,15,3791,152,305,394,103,118,171,318,352,431,527,449,299,167,5,653,330,51,0,80,47,6,45,0,0,33,38,30,0,0,0,323,34,57,33,0,22,20,0,58,51,32,7,9,0,0,8533,4990,483,594,472,255,152,363,389,661,837,546,197,26,8,7,3543,549,503,263,253,122,388,321,275,351,322,148,20,17,11,21947,10895,1350,1575,1665,775,322,665,314,555,1011,864,924,625,230,20,11052,1702,1659,1220,824,409,590,484,414,696,1080,871,679,359,65,1716707,858005,49679,52819,57398,36381,19243,49485,46517,48766,107268,130491,126938,87341,36561,9118,858702,46599,51158,54470,33086,16838,46653,44040,49411,109381,130813,127453,89396,43319,16085,30343,17022,1649,2094,2009,839,905,1244,1062,1724,2543,1498,920,288,167,80,13321,1406,1942,1494,953,553,1157,923,765,1456,1225,708,470,202,67,41.7,40.9,42.6,42.1,41.3,42.9,38.9,37.4,43.0,47.6,48.7,44.5,34.5,34.1,34.7,19.9,17.0,20.9,24.3,26.8,20.9,18.6,18.5,18.6,42.4,41.6,43.1,22.7,23.8,21.9,1804156
40,KY,21,,,,,040A0US21,Kentucky -- In metropolitan or micropolitan statistical area,3451648,1694111,111858,113666,115497,68855,47856,27168,27054,74220,114746,113110,108448,111335,113214,120084,113223,41366,58201,35639,43157,55674,36780,23678,19282,1757537,105769,109309,109709,65590,46695,25636,25857,69854,114152,113380,109167,111442,115704,125555,121665,46340,62037,39463,50007,65466,48261,36094,40385,2944877,1444652,88150,90139,93803,56515,37907,105211,96461,95599,187938,204354,190286,123851,56155,18283,1500225,83381,85697,88758,53956,37337,100394,95788,94933,187859,210749,204813,141145,77630,37785,326062,160171,11873,12842,11979,7827,6418,15418,11411,10711,20620,21084,17551,8248,3390,799,165891,10946,12548,11515,6569,5868,13670,11270,11688,21078,22423,20071,10502,5521,2222,7438,3499,229,202,197,201,81,286,168,109,442,765,507,237,68,7,3939,75,249,258,149,169,319,219,275,580,793,502,217,103,31,54378,25480,1960,2093,1754,1027,712,2401,2327,2478,4784,2944,1693,899,308,100,28898,1934,1929,2192,992,891,2205,2769,2784,5145,3386,2250,1685,576,160,2174,1169,63,20,239,37,32,225,48,51,123,166,165,0,0,0,1005,164,77,71,35,0,131,169,46,151,123,8,9,0,21,35350,19739,2225,1963,1976,750,664,1497,2138,2427,3117,1870,711,262,139,0,15611,1965,1765,1491,963,552,1274,1432,1602,2635,1324,380,210,17,1,81369,39401,7358,6407,5549,2498,2042,3404,2193,1735,2759,2115,1877,973,398,93,41968,7304,7044,5424,2926,1878,3354,2505,2052,3161,2461,2018,1168,508,165,2860672,1399306,83420,84977,89340,54491,36220,101231,92851,91182,180785,200039,187763,122971,55877,18159,1461366,78794,81193,84821,51750,35768,97238,92593,92235,182397,207332,202684,140010,77140,37411,130874,70915,8078,7631,7125,3176,2698,6101,6128,7146,10740,6832,3501,1231,404,124,59959,7472,7457,6206,3193,2425,4908,4856,4670,8645,5037,2714,1427,536,413,37.8,36.5,39.2,39.5,38.1,40.8,32.8,31.1,34.5,39.0,39.1,38.9,31.9,30.9,32.7,24.9,23.8,25.6,26.0,26.9,24.3,15.7,15.4,16.2,40.1,38.7,41.4,24.6,25.6,23.4,3451648
40,KY,21,,,,,040C0US21,Kentucky -- In metropolitan statistical area,2573550,1265120,84700,86273,86137,51284,35292,19596,19747,57127,88938,87141,82657,83184,84071,89966,84181,30349,42152,26432,29889,39415,25551,16928,14110,1308430,80044,82628,82487,48996,33645,18651,18342,53049,88266,87580,83190,83160,85587,93283,90379,33856,45478,28716,35618,46098,34061,26088,29228,2134855,1049613,64093,65981,67228,40548,27429,77115,72879,71667,137633,148730,137552,86590,38866,13302,1085242,60599,62063,64248,38989,26568,72050,71936,70990,136897,152535,148035,98732,54519,27081,286620,140409,10732,11628,10849,6917,5097,12897,10107,9515,18296,18452,15165,7234,2865,655,146211,9813,11085,10275,6006,4447,11974,10132,10570,19263,19705,17449,8994,4623,1875,5096,2532,229,160,123,155,34,247,80,100,349,581,247,170,50,7,2564,41,170,175,71,77,188,123,213,433,527,328,128,66,24,48815,23131,1751,1837,1583,954,591,2215,2076,2249,4364,2753,1507,851,300,100,25684,1655,1726,2024,887,704,1809,2438,2517,4695,3018,2089,1461,528,133,1660,922,26,20,181,13,32,164,38,51,95,144,158,0,0,0,738,78,71,59,35,0,72,169,27,115,82,0,9,0,21,30931,17064,1906,1737,1682,676,512,1163,1825,2079,2865,1613,624,248,134,0,13867,1834,1681,1271,756,402,1139,1330,1511,2288,1140,295,202,17,1,65573,31449,5963,4910,4491,2021,1597,2669,1933,1480,2239,1764,1429,643,264,46,34124,6024,5832,4435,2252,1447,2810,2138,1752,2659,1863,1517,906,396,93,2062730,1010798,60027,61593,63352,39034,26001,73546,69676,68049,131466,144994,135416,85796,38667,13181,1051932,56724,58176,60983,36989,25374,69404,69212,68509,132068,149584,146218,97772,54136,26783,112461,60518,6823,6464,6042,2514,2174,5235,5402,5979,9382,5983,2980,1136,283,121,51943,6575,6628,5120,2750,1850,4198,4229,4271,7596,4395,2313,1252,429,337,37.3,35.9,38.6,39.1,37.7,40.5,32.8,31.1,34.4,38.2,37.8,38.6,32.2,31.2,33.0,27.4,29.5,27.1,26.4,27.4,24.5,15.6,15.4,15.9,39.7,38.4,41.1,24.9,26.1,23.8,2573550
40,KY,21,,,,,040C1US21,Kentucky -- In metropolitan statistical area -- in principal city,1104966,536517,36735,34621,34522,20389,17288,10006,9595,27602,42380,39763,35510,34382,34006,35865,34468,11910,16947,10189,11624,14514,10081,7553,6567,568449,35914,32909,34328,19314,17724,10343,9918,26800,42322,39609,35008,34934,34921,38942,37982,13627,18860,11592,14010,18781,14513,11913,14185,816705,398063,23675,21990,22653,13217,12084,34763,31713,29793,51980,53805,50601,30607,15148,6034,418642,22919,19912,22332,12834,12962,34024,31189,28500,50345,56228,55531,36755,22483,12628,203710,97308,7676,8524,7820,5004,3531,8596,7103,6773,12231,12234,10682,4660,2020,454,106402,7747,8031,7418,4227,3157,9139,7642,7840,13506,14078,12557,6333,3312,1415,2145,1110,154,68,81,74,2,101,30,70,180,215,76,26,26,7,1035,14,90,95,48,27,64,66,122,151,190,98,29,26,15,31319,15140,1080,1109,926,659,433,1713,1331,1411,2795,1847,975,586,228,47,16179,1102,1086,1334,628,457,1549,1345,1401,3031,1857,1229,762,329,69,869,449,26,0,69,7,26,46,38,51,88,30,68,0,0,0,420,20,57,26,26,0,19,98,11,85,59,0,0,0,19,15852,8783,936,894,811,411,202,599,982,1083,1442,853,331,167,72,0,7069,776,562,850,253,164,624,755,898,1327,590,133,129,8,0,34366,15664,3188,2036,2162,1017,1010,1385,1183,582,1176,887,592,281,140,25,18702,3336,3171,2273,1298,957,1642,1227,837,1497,861,921,375,268,39,776931,376532,21550,19592,20626,12403,11403,32804,29981,27665,48142,51731,49503,30124,15065,5943,400399,20576,17746,20590,12015,12400,32498,29566,27073,47720,54618,54550,36363,22240,12444,61051,33003,3638,3499,2965,1412,1041,2881,3029,3361,5531,3182,1589,687,97,91,28048,3821,3424,2866,1116,881,2284,2451,2433,4141,2381,1240,523,276,211,35.7,34.4,37.0,38.1,36.7,39.9,32.1,30.3,33.8,33.7,30.8,34.1,31.5,31.2,31.9,29.5,32.0,28.1,28.1,28.0,28.1,16.1,15.9,16.2,39.0,37.4,40.7,25.8,27.1,24.2,1104966
40,KY,21,,,,,040C2US21,Kentucky -- In metropolitan statistical area -- not in principal city,1468584,728603,47965,51652,51615,30895,18004,9590,10152,29525,46558,47378,47147,48802,50065,54101,49713,18439,25205,16243,18265,24901,15470,9375,7543,739981,44130,49719,48159,29682,15921,8308,8424,26249,45944,47971,48182,48226,50666,54341,52397,20229,26618,17124,21608,27317,19548,14175,15043,1318150,651550,40418,43991,44575,27331,15345,42352,41166,41874,85653,94925,86951,55983,23718,7268,666600,37680,42151,41916,26155,13606,38026,40747,42490,86552,96307,92504,61977,32036,14453,82910,43101,3056,3104,3029,1913,1566,4301,3004,2742,6065,6218,4483,2574,845,201,39809,2066,3054,2857,1779,1290,2835,2490,2730,5757,5627,4892,2661,1311,460,2951,1422,75,92,42,81,32,146,50,30,169,366,171,144,24,0,1529,27,80,80,23,50,124,57,91,282,337,230,99,40,9,17496,7991,671,728,657,295,158,502,745,838,1569,906,532,265,72,53,9505,553,640,690,259,247,260,1093,1116,1664,1161,860,699,199,64,791,473,0,20,112,6,6,118,0,0,7,114,90,0,0,0,318,58,14,33,9,0,53,71,16,30,23,0,9,0,2,15079,8281,970,843,871,265,310,564,843,996,1423,760,293,81,62,0,6798,1058,1119,421,503,238,515,575,613,961,550,162,73,9,1,31207,15785,2775,2874,2329,1004,587,1284,750,898,1063,877,837,362,124,21,15422,2688,2661,2162,954,490,1168,911,915,1162,1002,596,531,128,54,1285799,634266,38477,42001,42726,26631,14598,40742,39695,40384,83324,93263,85913,55672,23602,7238,651533,36148,40430,40393,24974,12974,36906,39646,41436,84348,94966,91668,61409,31896,14339,51410,27515,3185,2965,3077,1102,1133,2354,2373,2618,3851,2801,1391,449,186,30,23895,2754,3204,2254,1634,969,1914,1778,1838,3455,2014,1073,729,153,126,38.5,37.2,39.7,39.7,38.4,40.8,34.7,32.6,36.5,44.1,44.5,44.0,33.2,31.2,34.0,23.9,23.7,24.7,24.5,26.8,21.0,15.1,14.7,15.6,40.1,39.0,41.3,24.0,24.9,23.3,1468584
40,KY,21,,,,,040E0US21,Kentucky -- In micropolitan statistical area,878098,428991,27158,27393,29360,17571,12564,7572,7307,17093,25808,25969,25791,28151,29143,30118,29042,11017,16049,9207,13268,16259,11229,6750,5172,449107,25725,26681,27222,16594,13050,6985,7515,16805,25886,25800,25977,28282,30117,32272,31286,12484,16559,10747,14389,19368,14200,10006,11157,810022,395039,24057,24158,26575,15967,10478,28096,23582,23932,50305,55624,52734,37261,17289,4981,414983,22782,23634,24510,14967,10769,28344,23852,23943,50962,58214,56778,42413,23111,10704,39442,19762,1141,1214,1130,910,1321,2521,1304,1196,2324,2632,2386,1014,525,144,19680,1133,1463,1240,563,1421,1696,1138,1118,1815,2718,2622,1508,898,347,2342,967,0,42,74,46,47,39,88,9,93,184,260,67,18,0,1375,34,79,83,78,92,131,96,62,147,266,174,89,37,7,5563,2349,209,256,171,73,121,186,251,229,420,191,186,48,8,0,3214,279,203,168,105,187,396,331,267,450,368,161,224,48,27,514,247,37,0,58,24,0,61,10,0,28,22,7,0,0,0,267,86,6,12,0,0,59,0,19,36,41,8,0,0,0,4419,2675,319,226,294,74,152,334,313,348,252,257,87,14,5,0,1744,131,84,220,207,150,135,102,91,347,184,85,8,0,0,15796,7952,1395,1497,1058,477,445,735,260,255,520,351,448,330,134,47,7844,1280,1212,989,674,431,544,367,300,502,598,501,262,112,72,797942,388508,23393,23384,25988,15457,10219,27685,23175,23133,49319,55045,52347,37175,17210,4978,409434,22070,23017,23838,14761,10394,27834,23381,23726,50329,57748,56466,42238,23004,10628,18413,10397,1255,1167,1083,662,524,866,726,1167,1358,849,521,95,121,3,8016,897,829,1086,443,575,710,627,399,1049,642,401,175,107,76,39.7,38.2,41.0,40.7,39.3,42.0,33.2,31.0,35.6,41.0,49.4,40.2,28.0,28.6,27.7,21.4,21.1,24.3,24.1,24.5,22.1,16.2,15.2,16.9,41.0,39.7,42.3,22.0,23.3,21.4,878098
40,KY,21,,,,,040E1US21,Kentucky -- In micropolitan statistical area -- in principal city,255897,121541,8166,7990,8085,3966,5190,2944,3274,7362,9138,7869,6866,7285,7368,6976,6622,2873,3989,2200,2976,3446,2899,2006,2051,134356,6942,7259,6987,4338,6613,3221,3645,6478,8515,7609,7751,7267,7328,8245,8692,3506,4632,2996,3553,5900,4243,3883,4753,215232,101258,6284,5970,6440,3203,3870,10735,7688,6746,12343,12153,11590,7791,4526,1919,113974,5353,5637,5438,3552,4733,11269,7228,6501,12976,13245,14737,11305,7472,4528,27509,13517,871,944,790,422,909,1967,960,747,1371,1902,1494,718,325,97,13992,804,905,816,358,1261,1333,872,845,1312,1893,1767,992,622,212,882,333,0,30,74,45,18,25,4,0,0,9,99,13,16,0,549,0,45,14,46,71,73,69,0,36,74,75,15,24,7,2723,1289,96,88,83,19,80,161,143,174,190,117,138,0,0,0,1434,151,47,78,60,156,237,170,69,158,99,90,111,8,0,88,37,37,0,0,0,0,0,0,0,0,0,0,0,0,0,51,0,0,0,0,0,42,0,0,0,9,0,0,0,0,2212,1375,142,114,223,60,54,206,209,110,153,43,56,0,5,0,837,45,13,53,23,109,76,52,53,264,84,65,0,0,0,7251,3732,736,844,475,217,259,486,134,92,94,120,107,100,33,35,3519,589,612,588,299,283,314,124,141,272,169,96,26,0,6,209504,97776,5913,5502,6272,2858,3724,10478,7370,6391,11867,11850,11397,7756,4482,1916,111728,5067,5426,5331,3465,4526,11026,6945,6404,12680,13097,14596,11246,7423,4496,8794,5358,623,699,510,425,221,544,533,463,613,388,243,35,58,3,3436,384,264,260,125,343,341,327,222,573,253,204,59,49,32,35.8,32.8,38.8,37.8,34.7,40.6,31.5,29.4,33.7,24.0,20.0,28.0,26.5,28.8,24.8,24.2,.,.,24.9,24.0,33.9,13.9,13.3,14.7,38.4,35.3,41.0,23.4,21.5,25.0,255897
40,KY,21,,,,,040E2US21,Kentucky -- In micropolitan statistical area -- not in principal city,622201,307450,18992,19403,21275,13605,7374,4628,4033,9731,16670,18100,18925,20866,21775,23142,22420,8144,12060,7007,10292,12813,8330,4744,3121,314751,18783,19422,20235,12256,6437,3764,3870,10327,17371,18191,18226,21015,22789,24027,22594,8978,11927,7751,10836,13468,9957,6123,6404,594790,293781,17773,18188,20135,12764,6608,17361,15894,17186,37962,43471,41144,29470,12763,3062,301009,17429,17997,19072,11415,6036,17075,16624,17442,37986,44969,42041,31108,15639,6176,11933,6245,270,270,340,488,412,554,344,449,953,730,892,296,200,47,5688,329,558,424,205,160,363,266,273,503,825,855,516,276,135,1460,634,0,12,0,1,29,14,84,9,93,175,161,54,2,0,826,34,34,69,32,21,58,27,62,111,192,99,74,13,0,2840,1060,113,168,88,54,41,25,108,55,230,74,48,48,8,0,1780,128,156,90,45,31,159,161,198,292,269,71,113,40,27,426,210,0,0,58,24,0,61,10,0,28,22,7,0,0,0,216,86,6,12,0,0,17,0,19,36,32,8,0,0,0,2207,1300,177,112,71,14,98,128,104,238,99,214,31,14,0,0,907,86,71,167,184,41,59,50,38,83,100,20,8,0,0,8545,4220,659,653,583,260,186,249,126,163,426,231,341,230,101,12,4325,691,600,401,375,148,230,243,159,230,429,405,236,112,66,588438,290732,17480,17882,19716,12599,6495,17207,15805,16742,37452,43195,40950,29419,12728,3062,297706,17003,17591,18507,11296,5868,16808,16436,17322,37649,44651,41870,30992,15581,6132,9619,5039,632,468,573,237,303,322,193,704,745,461,278,60,63,0,4580,513,565,826,318,232,369,300,177,476,389,197,116,58,44,41.1,40.2,42.0,41.6,40.8,42.4,37.3,34.9,41.1,45.9,51.3,40.9,32.0,27.8,32.9,21.2,21.5,20.2,20.7,25.7,16.5,18.3,17.1,19.2,41.8,41.0,42.6,21.1,24.6,18.3,622201
