SummaryLevel,State,StateFIPS,CountyFIPS,PlaceFIPS,CBSACode,CongressDistrict,GEOID,AreaName,B01001_001,B01001_002,B01001_003,B01001_004,B01001_005,B01001_006,B01001_007,B01001_008,B01001_009,B01001_010,B01001_011,B01001_012,B01001_013,B01001_014,B01001_015,B01001_016,B01001_017,B01001_018,B01001_019,B01001_020,B01001_021,B01001_022,B01001_023,B01001_024,B01001_025,B01001_026,B01001_027,B01001_028,B01001_029,B01001_030,B01001_031,B01001_032,B01001_033,B01001_034,B01001_035,B01001_036,B01001_037,B01001_038,B01001_039,B01001_040,B01001_041,B01001_042,B01001_043,B01001_044,B01001_045,B01001_046,B01001_047,B01001_048,B01001_049,B01001A_001,B01001A_002,B01001A_003,B01001A_004,B01001A_005,B01001A_006,B01001A_007,B01001A_008,B01001A_009,B01001A_010,B01001A_011,B01001A_012,B01001A_013,B01001A_014,B01001A_015,B01001A_016,B01001A_017,B01001A_018,B01001A_019,B01001A_020,B01001A_021,B01001A_022,B01001A_023,B01001A_024,B01001A_025,B01001A_026,B01001A_027,B01001A_028,B01001A_029,B01001A_030,B01001A_031,B01001B_001,B01001B_002,B01001B_003,B01001B_004,B01001B_005,B01001B_006,B01001B_007,B01001B_008,B01001B_009,B01001B_010,B01001B_011,B01001B_012,B01001B_013,B01001B_014,B01001B_015,B01001B_016,B01001B_017,B01001B_018,B01001B_019,B01001B_020,B01001B_021,B01001B_022,B01001B_023,B01001B_024,B01001B_025,B01001B_026,B01001B_027,B01001B_028,B01001B_029,B01001B_030,B01001B_031,B01001C_001,B01001C_002,B01001C_003,B01001C_004,B01001C_005,B01001C_006,B01001C_007,B01001C_008,B01001C_009,B01001C_010,B01001C_011,B01001C_012,B01001C_013,B01001C_014,B01001C_015,B01001C_016,B01001C_017,B01001C_018,B01001C_019,B01001C_020,B01001C_021,B01001C_022,B01001C_023,B01001C_024,B01001C_025,B01001C_026,B01001C_027,B01001C_028,B01001C_029,B01001C_030,B01001C_031,B01001D_001,B01001D_002,B01001D_003,B01001D_004,B01001D_005,B01001D_006,B01001D_007,B01001D_008,B01001D_009,B01001D_010,B01001D_011,B01001D_012,B01001D_013,B01001D_014,B01001D_015,B01001D_016,B01001D_017,B01001D_018,B01001D_019,B01001D_020,B01001D_021,B01001D_022,B01001D_023,B01001D_024,B01001D_025,B01001D_026,B01001D_027,B01001D_028,B01001D_029,B01001D_030,B01001D_031,B01001E_001,B01001E_002,B01001E_003,B01001E_004,B01001E_005,B01001E_006,B01001E_007,B01001E_008,B01001E_009,B01001E_010,B01001E_011,B01001E_012,B01001E_013,B01001E_014,B01001E_015,B01001E_016,B01001E_017,B01001E_018,B01001E_019,B01001E_020,B01001E_021,B01001E_022,B01001E_023,B01001E_024,B01001E_025,B01001E_026,B01001E_027,B01001E_028,B01001E_029,B01001E_030,B01001E_031,B01001F_001,B01001F_002,B01001F_003,B01001F_004,B01001F_005,B01001F_006,B01001F_007,B01001F_008,B01001F_009,B01001F_010,B01001F_011,B01001F_012,B01001F_013,B01001F_014,B01001F_015,B01001F_016,B01001F_017,B01001F_018,B01001F_019,B01001F_020,B01001F_021,B01001F_022,B01001F_023,B01001F_024,B01001F_025,B01001F_026,B01001F_027,B01001F_028,B01001F_029,B01001F_030,B01001F_031,B01001G_001,B01001G_002,B01001G_003,B01001G_004,B01001G_005,B01001G_006,B01001G_007,B01001G_008,B01001G_009,B01001G_010,B01001G_011,B01001G_012,B01001G_013,B01001G_014,B01001G_015,B01001G_016,B01001G_017,B01001G_018,B01001G_019,B01001G_020,B01001G_021,B01001G_022,B01001G_023,B01001G_024,B01001G_025,B01001G_026,B01001G_027,B01001G_028,B01001G_029,B01001G_030,B01001G_031,B01001H_001,B01001H_002,B01001H_003,B01001H_004,B01001H_005,B01001H_006,B01001H_007,B01001H_008,B01001H_009,B01001H_010,B01001H_011,B01001H_012,B01001H_013,B01001H_014,B01001H_015,B01001H_016,B01001H_017,B01001H_018,B01001H_019,B01001H_020,B01001H_021,B01001H_022,B01001H_023,B01001H_024,B01001H_025,B01001H_026,B01001H_027,B01001H_028,B01001H_029,B01001H_030,B01001H_031,B01001I_001,B01001I_002,B01001I_003,B01001I_004,B01001I_005,B01001I_006,B01001I_007,B01001I_008,B01001I_009,B01001I_010,B01001I_011,B01001I_012,B01001I_013,B01001I_014,B01001I_015,B01001I_016,B01001I_017,B01001I_018,B01001I_019,B01001I_020,B01001I_021,B01001I_022,B01001I_023,B01001I_024,B01001I_025,B01001I_026,B01001I_027,B01001I_028,B01001I_029,B01001I_030,B01001I_031,B01002_001,B01002_002,B01002_003,B01002A_001,B01002A_002,B01002A_003,B01002B_001,B01002B_002,B01002B_003,B01002C_001,B01002C_002,B01002C_003,B01002D_001,B01002D_002,B01002D_003,B01002E_001,B01002E_002,B01002E_003,B01002F_001,B01002F_002,B01002F_003,B01002G_001,B01002G_002,B01002G_003,B01002H_001,B01002H_002,B01002H_003,B01002I_001,B01002I_002,B01002I_003,B01003_001
40,MD,24,,,,,04000US24,Maryland,5959902,2886734,187449,191821,190220,117618,80957,42064,41699,120255,206954,198879,182947,190003,204655,216462,197157,70635,94479,56978,72844,87900,58628,40221,35909,3073168,180102,182580,184756,113264,77915,38548,39244,118771,207811,206948,195323,200184,221033,234810,214349,79801,110159,68000,83413,106764,77444,60322,71627,3408240,1674117,91298,95905,98051,62334,43792,107847,114213,109258,203656,255618,239728,151710,71889,28818,1734123,88401,91147,94662,59580,40813,101755,110208,108132,204632,262873,250302,169348,96336,55934,1765926,823221,57787,60234,60919,37795,25522,67103,61890,55782,107975,121169,92556,49019,20141,5329,942705,55577,58022,59851,36995,25726,67605,67638,66092,128604,143883,118821,68315,32829,12747,15946,7393,276,462,462,343,234,519,531,715,1270,963,829,552,150,87,8553,414,539,368,226,188,842,461,546,1057,1424,1342,913,122,111,362259,172290,10346,11773,10649,6556,4579,11489,13641,13813,28655,24238,18672,11537,5001,1341,189969,9364,10662,11032,5835,4661,10855,14867,16340,33551,28558,22212,13678,6458,1896,2792,1409,55,111,118,12,28,233,79,168,316,138,91,39,13,8,1383,33,33,87,24,27,206,211,152,166,245,148,39,12,0,218586,117329,12480,10256,8645,4789,3059,9602,11087,13855,22718,12201,5353,2576,681,27,101257,11314,9282,8030,4249,3246,7808,8508,9581,18079,10934,6310,2765,884,267,186153,90975,15207,13080,11376,5789,3743,7225,5513,5288,8360,6790,5042,2289,974,299,95178,14999,12895,10726,6355,3254,7492,5918,6105,9418,7926,5174,3119,1125,672,3128390,1531597,77227,82428,87352,56327,39227,96511,101515,96036,179143,238768,230264,148334,70316,28149,1596793,73899,78016,83565,53123,36980,91999,99259,95916,183988,246758,240227,164716,93700,54647,550146,285945,30943,26794,22376,12004,8737,23247,25542,28969,49873,31513,16170,6535,2401,841,264201,29615,25657,21524,11776,7707,19913,21462,23764,42091,29283,17566,8332,3881,1630,38.3,36.7,39.8,42.2,40.8,43.6,35.8,33.6,37.7,37.9,36.1,40.9,37.3,36.1,38.2,32.1,31.6,32.4,29.2,29.3,29.1,18.7,18.0,19.6,43.8,42.4,45.1,28.6,28.5,28.8,5959902
40,MD,24,,,,,04001US24,Maryland -- Urban,5206141,2506548,169364,169599,164458,100105,70908,37156,37773,107274,187962,181095,164521,167268,174198,182209,164947,58685,79233,46971,59462,70990,48026,33275,31069,2699593,162850,163062,161425,96973,69574,34652,35119,106304,191038,189089,176972,176263,190280,200840,182264,67781,94169,57921,69823,89956,66707,52779,63752,2756894,1346010,76398,77023,76453,47747,35549,89571,98596,94085,168948,198880,186514,115498,56184,24564,1410884,74222,74505,75242,46004,33986,84148,95927,92705,168142,206165,197086,133484,80169,49099,1701386,789787,56348,58702,58977,36179,24742,64666,59654,54156,103709,115630,87705,45846,18651,4822,911599,54222,56907,58203,35560,24866,65645,66053,64615,125402,138761,113803,64687,31110,11765,14168,6611,257,402,434,334,221,507,493,606,1131,871,753,434,140,28,7557,404,521,314,205,179,794,373,441,915,1264,1112,838,115,82,347654,165352,10068,11255,10058,6098,4238,11207,13182,13534,27569,23095,17933,11001,4774,1340,182302,9079,10203,10456,5520,4423,10523,14441,15960,32279,27016,21254,13044,6219,1885,2570,1278,55,111,112,12,20,196,79,161,284,114,78,35,13,8,1292,33,24,70,16,27,206,198,152,155,231,143,25,12,0,214383,115218,12286,10155,8497,4707,2914,9373,10953,13616,22264,11990,5256,2535,645,27,99165,11128,9108,7785,4130,3147,7675,8433,9474,17630,10665,6130,2712,881,267,169086,82292,13952,11951,9927,5028,3224,6683,5005,4937,7884,5827,4626,2074,894,280,86794,13762,11794,9355,5538,2946,7084,5613,5742,8712,7018,4686,2910,980,654,2493097,1211515,63116,64216,66480,42047,31275,78882,86349,81497,145758,183265,177659,112362,54705,23904,1281582,60352,62309,64750,40110,30622,75075,85315,80951,148683,191179,187672,129049,77649,47866,527278,274373,29803,25980,21259,11491,8233,22247,24849,28006,47911,29884,15409,6223,2266,812,252905,28652,24414,20535,10987,7102,19000,20990,23102,40322,27796,16656,8019,3754,1576,37.4,35.8,38.9,41.2,39.7,42.8,35.5,33.2,37.4,37.5,35.4,40.1,37.2,36.1,38.1,32.0,31.3,32.4,29.2,29.3,29.1,19.0,18.2,20.0,43.0,41.5,44.5,28.6,28.5,28.8,5206141
40,MD,24,,,,,04043US24,Maryland -- Rural,753761,380186,18085,22222,25762,17513,10049,4908,3926,12981,18992,17784,18426,22735,30457,34253,32210,11950,15246,10007,13382,16910,10602,6946,4840,373575,17252,19518,23331,16291,8341,3896,4125,12467,16773,17859,18351,23921,30753,33970,32085,12020,15990,10079,13590,16808,10737,7543,7875,651346,328107,14900,18882,21598,14587,8243,18276,15617,15173,34708,56738,53214,36212,15705,4254,323239,14179,16642,19420,13576,6827,17607,14281,15427,36490,56708,53216,35864,16167,6835,64540,33434,1439,1532,1942,1616,780,2437,2236,1626,4266,5539,4851,3173,1490,507,31106,1355,1115,1648,1435,860,1960,1585,1477,3202,5122,5018,3628,1719,982,1778,782,19,60,28,9,13,12,38,109,139,92,76,118,10,59,996,10,18,54,21,9,48,88,105,142,160,230,75,7,29,14605,6938,278,518,591,458,341,282,459,279,1086,1143,739,536,227,1,7667,285,459,576,315,238,332,426,380,1272,1542,958,634,239,11,222,131,0,0,6,0,8,37,0,7,32,24,13,4,0,0,91,0,9,17,8,0,0,13,0,11,14,5,14,0,0,4203,2111,194,101,148,82,145,229,134,239,454,211,97,41,36,0,2092,186,174,245,119,99,133,75,107,449,269,180,53,3,0,17067,8683,1255,1129,1449,761,519,542,508,351,476,963,416,215,80,19,8384,1237,1101,1371,817,308,408,305,363,706,908,488,209,145,18,635293,320082,14111,18212,20872,14280,7952,17629,15166,14539,33385,55503,52605,35972,15611,4245,315211,13547,15707,18815,13013,6358,16924,13944,14965,35305,55579,52555,35667,16051,6781,22868,11572,1140,814,1117,513,504,1000,693,963,1962,1629,761,312,135,29,11296,963,1243,989,789,605,913,472,662,1769,1487,910,313,127,54,45.1,44.3,45.8,45.9,45.4,46.4,44.7,42.8,47.2,44.3,44.2,45.1,40.8,38.4,42.3,37.7,38.5,29.6,30.4,30.3,30.6,16.6,16.9,16.4,46.3,45.8,46.9,28.8,30.0,26.6,753761
40,MD,24,,,,,040A0US24,Maryland -- In metropolitan or micropolitan statistical area,5877753,2846672,185199,189406,187774,116048,79700,41312,41245,118677,204747,196664,180851,187661,201989,213408,194212,69499,92914,55881,71527,85961,57417,39336,35244,3031081,177996,180217,182315,111850,76701,37982,38622,117285,205613,204550,193102,197804,218317,231561,210879,78852,108457,66888,81990,104629,76020,59186,70265,3336677,1639142,89495,93860,96101,61006,42855,105523,112215,107385,199808,250415,234588,147692,70016,28183,1697535,86695,89018,92810,58383,39831,99486,108283,106131,200596,257620,244848,165108,94061,54665,1758379,819538,57549,59997,60559,37629,25357,66745,61744,55606,107614,120715,92083,48713,19928,5299,938841,55435,57912,59499,36862,25572,67344,67488,65770,128269,143273,118272,67913,32567,12665,15835,7347,276,460,461,343,234,516,531,693,1263,959,823,552,149,87,8488,414,538,365,226,188,842,456,532,1057,1403,1322,912,122,111,361772,172100,10327,11770,10649,6548,4558,11419,13631,13786,28638,24238,18662,11532,5001,1341,189672,9345,10662,10990,5831,4638,10792,14858,16306,33538,28531,22170,13672,6444,1895,2770,1396,55,111,118,12,28,233,79,155,316,138,91,39,13,8,1374,33,24,87,24,27,206,211,152,166,245,148,39,12,0,217924,116981,12467,10237,8609,4781,3027,9596,11042,13805,22603,12181,5353,2574,679,27,100943,11283,9250,7997,4242,3237,7776,8498,9567,17977,10919,6284,2765,881,267,184396,90168,15030,12971,11277,5729,3641,7202,5505,5234,8270,6751,5025,2267,967,299,94228,14791,12813,10567,6282,3208,7443,5819,6092,9303,7887,5144,3098,1119,662,3059111,1497840,75655,80521,85439,55003,38310,94326,99630,94275,175413,233771,225195,144330,68450,27522,1561271,72327,76087,81835,51960,36054,89802,97405,94052,180052,241571,234808,160499,91441,53378,546874,284201,30647,26636,22291,11966,8635,23088,25376,28805,49634,31287,16099,6519,2385,833,262673,29439,25396,21380,11724,7632,19798,21376,23598,41824,29195,17514,8305,3862,1630,38.2,36.7,39.7,42.1,40.7,43.5,35.8,33.6,37.7,37.9,36.1,40.8,37.3,36.2,38.2,32.1,31.5,32.4,29.2,29.3,29.1,18.7,18.0,19.6,43.8,42.4,45.1,28.7,28.5,28.8,5877753
40,MD,24,,,,,040C0US24,Maryland -- In metropolitan statistical area,5807634,2813420,183462,187397,185807,114714,79069,41060,41026,117352,202954,195039,179292,185717,199888,210846,191807,68522,91475,54925,70239,83966,56091,38419,34353,2994214,176030,178285,180402,110783,76086,37881,38249,115858,203712,202632,191260,195800,215956,228847,207843,77744,106799,65849,80475,102339,74375,58113,68896,3283888,1614099,88505,92510,94783,60129,42430,104354,110873,106130,197249,246882,230713,144053,68091,27397,1669789,85441,87759,91477,57597,39426,98209,106932,104731,197848,253756,240372,160989,91791,53461,1745106,813439,57043,59482,60096,37366,25204,66226,61385,55373,107025,119875,91285,48220,19665,5194,931667,54930,57419,59166,36615,25447,66779,67008,65423,127393,142328,117191,67276,32136,12556,15729,7316,276,460,461,343,234,516,531,688,1263,950,806,552,149,87,8413,414,538,349,226,188,830,451,532,1047,1397,1321,912,122,86,360895,171686,10309,11739,10631,6458,4554,11419,13604,13750,28600,24141,18630,11516,4994,1341,189209,9327,10659,10971,5831,4595,10750,14842,16268,33474,28397,22101,13661,6438,1895,2732,1379,55,111,112,12,28,233,79,155,305,138,91,39,13,8,1353,33,24,75,24,27,206,211,152,157,245,148,39,12,0,217009,116456,12365,10180,8562,4744,3027,9564,11002,13771,22480,12142,5350,2572,670,27,100553,11234,9232,7966,4233,3224,7776,8468,9542,17899,10908,6190,2733,881,267,182275,89045,14909,12915,11162,5662,3592,7126,5480,5172,8087,6606,4929,2178,928,299,93230,14651,12654,10398,6257,3179,7438,5800,5984,9242,7772,5063,3053,1108,631,3008873,1473905,74731,79334,84177,54172,37885,93215,98408,93170,173108,230356,221369,140697,66547,26736,1534968,71379,74958,80674,51219,35652,88592,96158,92889,177523,237785,230406,156388,89171,52174,543060,282440,30460,26422,22176,11877,8629,23021,25214,28621,49250,31063,16034,6477,2363,833,260620,29052,25219,21166,11664,7608,19700,21244,23301,41486,29088,17327,8273,3862,1630,38.1,36.6,39.6,42.0,40.6,43.4,35.8,33.6,37.6,37.9,36.0,40.8,37.3,36.2,38.2,32.1,31.4,32.5,29.2,29.3,29.1,18.7,17.9,19.6,43.6,42.2,44.9,28.7,28.5,28.8,5807634
40,MD,24,,,,,040C1US24,Maryland -- In metropolitan statistical area -- in principal city,1240795,589404,42303,39493,34914,20640,17166,9718,9797,27196,51497,49568,41517,36439,38371,39327,36797,13279,17041,10695,12851,15791,10722,7215,7067,651391,40876,37619,34937,20101,18652,10636,9777,30020,56903,51880,42376,40092,41302,43476,40532,16358,22117,13423,15669,21055,15186,12985,15419,572411,278540,16426,14314,12248,8037,7406,20247,26279,25865,38242,37122,34694,22682,10214,4764,293871,15573,13776,13088,7302,8162,21852,27747,23977,36190,37235,37592,26149,14867,10361,506370,232059,17476,18144,16987,9833,7679,20407,18208,15353,27192,32220,26627,13800,6217,1916,274311,17008,17119,16278,9974,7982,22237,21198,19597,33239,38808,34870,20034,11539,4428,3324,1450,28,46,107,52,57,130,106,61,319,163,307,42,32,0,1874,165,131,94,45,60,216,65,147,281,267,240,109,41,13,78238,36462,2473,2341,1915,977,776,2753,3372,4282,6382,4389,3399,2085,993,325,41776,2338,1873,2078,997,1146,2880,4343,4683,7510,5078,4312,2757,1361,420,699,350,0,21,34,0,0,58,22,65,68,53,29,0,0,0,349,27,0,0,0,9,53,23,92,24,72,49,0,0,0,40730,21875,2600,1795,1656,881,472,1890,2348,2669,3950,2040,929,418,218,9,18855,2137,2120,1328,855,547,1430,1741,1878,3409,2006,946,328,91,39,39023,18668,3300,2832,1967,860,776,1226,1162,1273,1803,1711,1132,310,263,53,20355,3628,2600,2071,928,746,1765,1786,1506,1815,1312,998,770,272,158,511128,246660,13142,11663,10122,6634,6389,17791,23132,22163,32668,33561,32943,21940,9970,4542,264468,12617,11204,10839,6128,7291,19290,24886,21297,31639,34106,35695,24994,14327,10155,112067,58593,6727,4967,4301,2418,1818,4825,5817,6632,9932,6010,3083,1273,547,243,53474,6036,5076,4091,2162,1586,4405,5123,5071,8564,5549,3109,1672,742,288,35.4,34.2,36.6,37.8,36.8,39.0,34.6,32.3,36.7,37.2,38.4,36.3,34.9,34.3,35.7,32.9,31.6,33.2,28.3,28.3,28.3,19.8,19.1,20.4,39.6,38.4,40.7,28.5,28.5,28.5,1240795
40,MD,24,,,,,040C2US24,Maryland -- In metropolitan statistical area -- not in principal city,4566839,2224016,141159,147904,150893,94074,61903,31342,31229,90156,151457,145471,137775,149278,161517,171519,155010,55243,74434,44230,57388,68175,45369,31204,27286,2342823,135154,140666,145465,90682,57434,27245,28472,85838,146809,150752,148884,155708,174654,185371,167311,61386,84682,52426,64806,81284,59189,45128,53477,2711477,1335559,72079,78196,82535,52092,35024,84107,84594,80265,159007,209760,196019,121371,57877,22633,1375918,69868,73983,78389,50295,31264,76357,79185,80754,161658,216521,202780,134840,76924,43100,1238736,581380,39567,41338,43109,27533,17525,45819,43177,40020,79833,87655,64658,34420,13448,3278,657356,37922,40300,42888,26641,17465,44542,45810,45826,94154,103520,82321,47242,20597,8128,12405,5866,248,414,354,291,177,386,425,627,944,787,499,510,117,87,6539,249,407,255,181,128,614,386,385,766,1130,1081,803,81,73,282657,135224,7836,9398,8716,5481,3778,8666,10232,9468,22218,19752,15231,9431,4001,1016,147433,6989,8786,8893,4834,3449,7870,10499,11585,25964,23319,17789,10904,5077,1475,2033,1029,55,90,78,12,28,175,57,90,237,85,62,39,13,8,1004,6,24,75,24,18,153,188,60,133,173,99,39,12,0,176279,94581,9765,8385,6906,3863,2555,7674,8654,11102,18530,10102,4421,2154,452,18,81698,9097,7112,6638,3378,2677,6346,6727,7664,14490,8902,5244,2405,790,228,143252,70377,11609,10083,9195,4802,2816,5900,4318,3899,6284,4895,3797,1868,665,246,72875,11023,10054,8327,5329,2433,5673,4014,4478,7427,6460,4065,2283,836,473,2497745,1227245,61589,67671,74055,47538,31496,75424,75276,71007,140440,196795,188426,118757,56577,22194,1270500,58762,63754,69835,45091,28361,69302,71272,71592,145884,203679,194711,131394,74844,42019,430993,223847,23733,21455,17875,9459,6811,18196,19397,21989,39318,25053,12951,5204,1816,590,207146,23016,20143,17075,9502,6022,15295,16121,18230,32922,23539,14218,6601,3120,1342,39.0,37.4,40.5,42.9,41.5,44.2,36.2,34.1,38.0,38.0,35.2,43.3,38.1,37.0,39.0,31.0,31.3,30.6,29.5,29.7,29.3,18.4,17.7,19.2,44.4,43.0,45.6,28.7,28.6,28.9,4566839
40,MD,24,,,,,040E0US24,Maryland -- In micropolitan statistical area,70119,33252,1737,2009,1967,1334,631,252,219,1325,1793,1625,1559,1944,2101,2562,2405,977,1439,956,1288,1995,1326,917,891,36867,1966,1932,1913,1067,615,101,373,1427,1901,1918,1842,2004,2361,2714,3036,1108,1658,1039,1515,2290,1645,1073,1369,52789,25043,990,1350,1318,877,425,1169,1342,1255,2559,3533,3875,3639,1925,786,27746,1254,1259,1333,786,405,1277,1351,1400,2748,3864,4476,4119,2270,1204,13273,6099,506,515,463,263,153,519,359,233,589,840,798,493,263,105,7174,505,493,333,247,125,565,480,347,876,945,1081,637,431,109,106,31,0,0,0,0,0,0,0,5,0,9,17,0,0,0,75,0,0,16,0,0,12,5,0,10,6,1,0,0,25,877,414,18,31,18,90,4,0,27,36,38,97,32,16,7,0,463,18,3,19,0,43,42,16,38,64,134,69,11,6,0,38,17,0,0,6,0,0,0,0,0,11,0,0,0,0,0,21,0,0,12,0,0,0,0,0,9,0,0,0,0,0,915,525,102,57,47,37,0,32,40,34,123,39,3,2,9,0,390,49,18,31,9,13,0,30,25,78,11,94,32,0,0,2121,1123,121,56,115,67,49,76,25,62,183,145,96,89,39,0,998,140,159,169,25,29,5,19,108,61,115,81,45,11,31,50238,23935,924,1187,1262,831,425,1111,1222,1105,2305,3415,3826,3633,1903,786,26303,948,1129,1161,741,402,1210,1247,1163,2529,3786,4402,4111,2270,1204,3814,1761,187,214,115,89,6,67,162,184,384,224,65,42,22,0,2053,387,177,214,60,24,98,132,297,338,107,187,32,0,0,47.1,45.4,48.2,49.9,48.9,50.5,39.6,35.4,41.7,49.5,63.1,40.5,40.3,32.3,43.9,37.1,.,.,28.9,20.6,40.2,30.1,33.4,18.8,51.0,50.2,51.7,28.7,30.9,27.0,70119
40,MD,24,,,,,040E1US24,Maryland -- In micropolitan statistical area -- in principal city,29189,13349,812,952,801,413,297,100,104,860,905,811,620,937,864,877,736,260,563,322,333,627,409,297,449,15840,901,968,864,469,267,31,183,811,1165,825,870,867,858,963,1001,383,685,401,544,793,667,504,820,18939,8660,385,542,382,166,135,585,617,543,969,1141,1104,1086,606,399,10279,430,506,536,284,108,539,739,490,1108,1243,1277,1337,965,717,8037,3491,363,376,301,113,124,423,223,184,333,434,361,120,86,50,4546,379,362,236,157,82,432,389,262,510,483,645,342,195,72,28,5,0,0,0,0,0,0,0,5,0,0,0,0,0,0,23,0,0,0,0,0,12,0,0,10,0,1,0,0,0,522,266,18,0,8,63,4,0,27,33,21,69,23,0,0,0,256,8,0,19,0,43,42,9,3,43,56,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,439,236,27,34,8,21,0,0,21,23,74,28,0,0,0,0,203,36,0,0,9,13,0,28,0,26,0,69,22,0,0,1224,691,19,0,102,50,34,56,17,23,160,69,71,76,14,0,533,48,100,73,19,21,0,0,70,40,39,44,37,11,31,17226,7847,353,407,354,138,135,542,540,438,751,1030,1071,1086,603,399,9379,286,432,403,248,108,490,665,297,969,1219,1243,1337,965,717,2544,1239,95,169,57,49,6,43,98,128,325,195,46,25,3,0,1305,211,105,141,45,13,80,102,213,215,24,134,22,0,0,41.2,40.0,43.5,46.7,45.0,48.2,31.1,25.7,34.6,30.4,.,24.0,33.1,30.9,37.8,.,.,.,31.0,30.3,40.6,34.5,40.1,30.5,49.9,48.1,50.9,30.7,31.8,27.6,29189
40,MD,24,,,,,040E2US24,Maryland -- In micropolitan statistical area -- not in principal city,40930,19903,925,1057,1166,921,334,152,115,465,888,814,939,1007,1237,1685,1669,717,876,634,955,1368,917,620,442,21027,1065,964,1049,598,348,70,190,616,736,1093,972,1137,1503,1751,2035,725,973,638,971,1497,978,569,549,33850,16383,605,808,936,711,290,584,725,712,1590,2392,2771,2553,1319,387,17467,824,753,797,502,297,738,612,910,1640,2621,3199,2782,1305,487,5236,2608,143,139,162,150,29,96,136,49,256,406,437,373,177,55,2628,126,131,97,90,43,133,91,85,366,462,436,295,236,37,78,26,0,0,0,0,0,0,0,0,0,9,17,0,0,0,52,0,0,16,0,0,0,5,0,0,6,0,0,0,25,355,148,0,31,10,27,0,0,0,3,17,28,9,16,7,0,207,10,3,0,0,0,0,7,35,21,78,36,11,6,0,38,17,0,0,6,0,0,0,0,0,11,0,0,0,0,0,21,0,0,12,0,0,0,0,0,9,0,0,0,0,0,476,289,75,23,39,16,0,32,19,11,49,11,3,2,9,0,187,13,18,31,0,0,0,2,25,52,11,25,10,0,0,897,432,102,56,13,17,15,20,8,39,23,76,25,13,25,0,465,92,59,96,6,8,5,19,38,21,76,37,8,0,0,33012,16088,571,780,908,693,290,569,682,667,1554,2385,2755,2547,1300,387,16924,662,697,758,493,294,720,582,866,1560,2567,3159,2774,1305,487,1270,522,92,45,58,40,0,24,64,56,59,29,19,17,19,0,748,176,72,73,15,11,18,30,84,123,83,53,10,0,0,50.1,49.8,50.4,51.1,50.7,51.5,49.1,50.7,47.4,63.2,63.2,49.8,45.8,37.2,46.8,37.1,.,.,20.7,16.3,36.8,18.6,23.0,13.8,51.5,51.0,52.2,25.7,25.1,26.3,40930
