SummaryLevel,State,StateFIPS,CountyFIPS,PlaceFIPS,CBSACode,CongressDistrict,GEOID,AreaName,B01001_001,B01001_002,B01001_003,B01001_004,B01001_005,B01001_006,B01001_007,B01001_008,B01001_009,B01001_010,B01001_011,B01001_012,B01001_013,B01001_014,B01001_015,B01001_016,B01001_017,B01001_018,B01001_019,B01001_020,B01001_021,B01001_022,B01001_023,B01001_024,B01001_025,B01001_026,B01001_027,B01001_028,B01001_029,B01001_030,B01001_031,B01001_032,B01001_033,B01001_034,B01001_035,B01001_036,B01001_037,B01001_038,B01001_039,B01001_040,B01001_041,B01001_042,B01001_043,B01001_044,B01001_045,B01001_046,B01001_047,B01001_048,B01001_049,B01001A_001,B01001A_002,B01001A_003,B01001A_004,B01001A_005,B01001A_006,B01001A_007,B01001A_008,B01001A_009,B01001A_010,B01001A_011,B01001A_012,B01001A_013,B01001A_014,B01001A_015,B01001A_016,B01001A_017,B01001A_018,B01001A_019,B01001A_020,B01001A_021,B01001A_022,B01001A_023,B01001A_024,B01001A_025,B01001A_026,B01001A_027,B01001A_028,B01001A_029,B01001A_030,B01001A_031,B01001B_001,B01001B_002,B01001B_003,B01001B_004,B01001B_005,B01001B_006,B01001B_007,B01001B_008,B01001B_009,B01001B_010,B01001B_011,B01001B_012,B01001B_013,B01001B_014,B01001B_015,B01001B_016,B01001B_017,B01001B_018,B01001B_019,B01001B_020,B01001B_021,B01001B_022,B01001B_023,B01001B_024,B01001B_025,B01001B_026,B01001B_027,B01001B_028,B01001B_029,B01001B_030,B01001B_031,B01001C_001,B01001C_002,B01001C_003,B01001C_004,B01001C_005,B01001C_006,B01001C_007,B01001C_008,B01001C_009,B01001C_010,B01001C_011,B01001C_012,B01001C_013,B01001C_014,B01001C_015,B01001C_016,B01001C_017,B01001C_018,B01001C_019,B01001C_020,B01001C_021,B01001C_022,B01001C_023,B01001C_024,B01001C_025,B01001C_026,B01001C_027,B01001C_028,B01001C_029,B01001C_030,B01001C_031,B01001D_001,B01001D_002,B01001D_003,B01001D_004,B01001D_005,B01001D_006,B01001D_007,B01001D_008,B01001D_009,B01001D_010,B01001D_011,B01001D_012,B01001D_013,B01001D_014,B01001D_015,B01001D_016,B01001D_017,B01001D_018,B01001D_019,B01001D_020,B01001D_021,B01001D_022,B01001D_023,B01001D_024,B01001D_025,B01001D_026,B01001D_027,B01001D_028,B01001D_029,B01001D_030,B01001D_031,B01001E_001,B01001E_002,B01001E_003,B01001E_004,B01001E_005,B01001E_006,B01001E_007,B01001E_008,B01001E_009,B01001E_010,B01001E_011,B01001E_012,B01001E_013,B01001E_014,B01001E_015,B01001E_016,B01001E_017,B01001E_018,B01001E_019,B01001E_020,B01001E_021,B01001E_022,B01001E_023,B01001E_024,B01001E_025,B01001E_026,B01001E_027,B01001E_028,B01001E_029,B01001E_030,B01001E_031,B01001F_001,B01001F_002,B01001F_003,B01001F_004,B01001F_005,B01001F_006,B01001F_007,B01001F_008,B01001F_009,B01001F_010,B01001F_011,B01001F_012,B01001F_013,B01001F_014,B01001F_015,B01001F_016,B01001F_017,B01001F_018,B01001F_019,B01001F_020,B01001F_021,B01001F_022,B01001F_023,B01001F_024,B01001F_025,B01001F_026,B01001F_027,B01001F_028,B01001F_029,B01001F_030,B01001F_031,B01001G_001,B01001G_002,B01001G_003,B01001G_004,B01001G_005,B01001G_006,B01001G_007,B01001G_008,B01001G_009,B01001G_010,B01001G_011,B01001G_012,B01001G_013,B01001G_014,B01001G_015,B01001G_016,B01001G_017,B01001G_018,B01001G_019,B01001G_020,B01001G_021,B01001G_022,B01001G_023,B01001G_024,B01001G_025,B01001G_026,B01001G_027,B01001G_028,B01001G_029,B01001G_030,B01001G_031,B01001H_001,B01001H_002,B01001H_003,B01001H_004,B01001H_005,B01001H_006,B01001H_007,B01001H_008,B01001H_009,B01001H_010,B01001H_011,B01001H_012,B01001H_013,B01001H_014,B01001H_015,B01001H_016,B01001H_017,B01001H_018,B01001H_019,B01001H_020,B01001H_021,B01001H_022,B01001H_023,B01001H_024,B01001H_025,B01001H_026,B01001H_027,B01001H_028,B01001H_029,B01001H_030,B01001H_031,B01001I_001,B01001I_002,B01001I_003,B01001I_004,B01001I_005,B01001I_006,B01001I_007,B01001I_008,B01001I_009,B01001I_010,B01001I_011,B01001I_012,B01001I_013,B01001I_014,B01001I_015,B01001I_016,B01001I_017,B01001I_018,B01001I_019,B01001I_020,B01001I_021,B01001I_022,B01001I_023,B01001I_024,B01001I_025,B01001I_026,B01001I_027,B01001I_028,B01001I_029,B01001I_030,B01001I_031,B01002_001,B01002_002,B01002_003,B01002A_001,B01002A_002,B01002A_003,B01002B_001,B01002B_002,B01002B_003,B01002C_001,B01002C_002,B01002C_003,B01002D_001,B01002D_002,B01002D_003,B01002E_001,B01002E_002,B01002E_003,B01002F_001,B01002F_002,B01002F_003,B01002G_001,B01002G_002,B01002G_003,B01002H_001,B01002H_002,B01002H_003,B01002I_001,B01002I_002,B01002I_003,B01003_001
40,ME,23,,,,,04000US23,Maine,1329923,651344,33347,38069,37303,24593,17585,8806,8180,23761,38551,37282,35594,40913,45819,52375,53356,19082,27383,17809,22530,26944,18303,12824,10935,678579,31799,34739,36263,23388,16642,9023,7857,21502,38679,38131,36688,42415,47761,54341,55715,21733,28997,18728,23278,30189,22463,18051,20197,1260476,616274,29937,33872,34557,22624,15994,37234,36348,34899,72249,94360,96894,65894,30592,10820,644202,28622,31187,33127,21390,14962,35601,36208,35839,74741,98333,103615,70647,39887,20043,16303,9482,1033,1097,636,413,490,1065,569,788,1282,1005,794,182,121,7,6821,824,945,728,285,564,625,484,450,968,415,386,110,37,0,8013,3830,237,304,236,124,93,507,301,195,514,626,343,241,97,12,4183,222,320,248,182,176,304,242,295,560,679,510,334,92,19,14643,6275,264,487,395,394,472,517,412,613,1010,747,465,418,57,24,8368,318,486,572,477,281,621,644,739,1492,1087,981,473,134,63,211,84,0,0,11,0,0,0,30,0,27,9,4,3,0,0,127,4,0,4,9,0,2,6,0,46,30,17,3,6,0,3151,1567,161,157,135,57,62,132,235,103,235,119,75,50,34,12,1584,106,133,139,247,76,170,123,65,203,209,47,20,38,8,27126,13832,1715,2152,1333,981,474,1292,656,684,1190,1328,1246,495,226,60,13294,1703,1668,1445,798,583,1059,972,743,1093,1349,889,608,320,64,1246606,609789,29500,33216,33885,22286,15685,36471,35803,34439,71626,93571,96392,65636,30491,10788,636817,27927,30643,32547,20979,14638,34884,35614,35132,73863,97739,102777,70418,39685,19971,19772,9715,712,1124,888,537,409,1246,828,707,1119,1049,597,302,157,40,10057,965,811,837,751,450,1026,740,821,1185,957,916,249,269,80,44.0,42.8,45.2,45.0,43.8,46.2,22.9,25.0,20.6,35.2,33.7,36.3,33.3,31.5,35.6,41.3,37.1,42.8,25.0,26.8,23.8,21.4,20.8,22.0,45.2,43.9,46.4,25.5,24.7,26.2,1329923
40,ME,23,,,,,04001US23,Maine -- Urban,512604,245832,13834,14324,12912,8501,8388,4374,3962,12379,18124,16650,14019,15768,16006,17559,17790,6436,8219,5454,6741,8326,6341,4999,4726,266772,12677,13005,12612,8151,9086,4954,4011,10957,18909,16571,14061,15714,16895,19073,18774,7760,9860,6575,8554,10929,8949,8302,10393,471970,225336,11732,11806,11429,7581,7455,18643,16679,14881,27046,31554,30890,19860,11107,4673,246634,10432,10970,10865,7116,7939,18019,17228,15042,27511,34044,34860,25319,17007,10282,12406,7069,875,846,474,313,360,611,393,623,1018,830,556,92,71,7,5337,689,727,486,175,465,427,407,412,793,316,380,48,12,0,3012,1571,115,110,64,16,54,309,89,77,218,285,116,70,45,3,1441,128,62,60,37,124,144,134,115,124,186,157,126,30,14,9802,4326,213,340,196,220,212,374,372,574,763,344,320,359,28,11,5476,247,369,297,306,198,480,492,526,838,645,685,289,53,51,102,56,0,0,2,0,0,0,29,0,13,9,0,3,0,0,46,0,0,4,0,0,2,0,0,36,0,0,0,4,0,1356,710,48,85,6,13,56,71,176,52,94,39,40,8,22,0,646,57,53,25,87,2,77,80,38,87,96,6,0,38,0,13956,6764,851,1137,741,358,251,707,386,443,635,504,523,129,67,32,7192,1124,824,875,430,358,773,568,438,386,681,306,276,107,46,464568,221659,11467,11463,11076,7489,7311,18048,16342,14550,26605,31133,30681,19753,11076,4665,242909,9953,10681,10645,7026,7753,17504,16858,14687,27094,33815,34520,25218,16911,10244,10194,5255,405,593,430,154,226,804,493,469,753,485,269,113,53,8,4939,617,386,291,225,247,719,465,406,551,416,346,116,116,38,40.6,38.3,42.6,42.2,40.0,44.3,23.5,25.4,21.8,32.1,33.3,31.1,32.6,31.8,33.3,38.8,27.9,39.9,27.6,27.4,28.0,20.1,20.3,19.9,42.5,40.3,44.7,25.0,25.2,24.9,512604
40,ME,23,,,,,04043US23,Maine -- Rural,817319,405512,19513,23745,24391,16092,9197,4432,4218,11382,20427,20632,21575,25145,29813,34816,35566,12646,19164,12355,15789,18618,11962,7825,6209,411807,19122,21734,23651,15237,7556,4069,3846,10545,19770,21560,22627,26701,30866,35268,36941,13973,19137,12153,14724,19260,13514,9749,9804,788506,390938,18205,22066,23128,15043,8539,18591,19669,20018,45203,62806,66004,46034,19485,6147,397568,18190,20217,22262,14274,7023,17582,18980,20797,47230,64289,68755,45328,22880,9761,3897,2413,158,251,162,100,130,454,176,165,264,175,238,90,50,0,1484,135,218,242,110,99,198,77,38,175,99,6,62,25,0,5001,2259,122,194,172,108,39,198,212,118,296,341,227,171,52,9,2742,94,258,188,145,52,160,108,180,436,493,353,208,62,5,4841,1949,51,147,199,174,260,143,40,39,247,403,145,59,29,13,2892,71,117,275,171,83,141,152,213,654,442,296,184,81,12,109,28,0,0,9,0,0,0,1,0,14,0,4,0,0,0,81,4,0,0,9,0,0,6,0,10,30,17,3,2,0,1795,857,113,72,129,44,6,61,59,51,141,80,35,42,12,12,938,49,80,114,160,74,93,43,27,116,113,41,20,0,8,13170,7068,864,1015,592,623,223,585,270,241,555,824,723,366,159,28,6102,579,844,570,368,225,286,404,305,707,668,583,332,213,18,782038,388130,18033,21753,22809,14797,8374,18423,19461,19889,45021,62438,65711,45883,19415,6123,393908,17974,19962,21902,13953,6885,17380,18756,20445,46769,63924,68257,45200,22774,9727,9578,4460,307,531,458,383,183,442,335,238,366,564,328,189,104,32,5118,348,425,546,526,203,307,275,415,634,541,570,133,153,42,45.9,45.3,46.6,46.5,45.8,47.2,22.4,24.0,19.0,36.5,33.9,38.1,36.8,25.0,39.7,45.1,40.5,49.2,22.3,25.3,19.8,23.9,21.4,26.9,46.6,45.9,47.3,26.1,23.8,27.9,817319
40,ME,23,,,,,040A0US23,Maine -- In metropolitan or micropolitan statistical area,905181,442034,23417,26583,25439,16664,12534,6183,5807,17174,27901,26756,24625,28605,31601,35532,35509,12567,17094,11019,13541,16897,11332,8389,6865,463147,22445,23707,25472,15848,12184,6708,5429,15819,28107,27232,25215,29834,33020,37065,36697,14284,18915,11919,14615,19082,14630,11647,13273,852658,415477,20689,23232,23421,15288,11354,26604,26208,24928,49941,64273,62865,40552,19349,6773,437181,19833,20921,23056,14348,10767,25816,26237,25489,51857,67301,67906,44626,25867,13157,14030,8067,934,997,525,349,436,825,483,659,1022,867,734,134,95,7,5963,767,809,675,225,544,488,423,400,838,337,342,97,18,0,4073,2052,86,160,115,74,38,301,183,72,280,404,172,103,61,3,2021,86,124,110,61,124,160,92,191,309,335,217,159,39,14,11880,5226,241,389,293,272,344,421,368,502,916,620,415,382,39,24,6654,296,443,431,380,254,442,468,593,1122,931,806,341,101,46,109,31,0,0,2,0,0,0,0,0,13,9,4,3,0,0,78,0,0,4,8,0,0,6,0,20,19,17,0,4,0,2383,1162,126,133,114,44,35,115,201,45,162,64,52,41,22,8,1221,105,93,94,195,56,105,101,38,167,179,45,15,20,8,20048,10019,1341,1672,969,637,327,898,458,550,896,896,928,242,155,50,10029,1358,1317,1102,631,439,945,780,521,736,983,563,378,228,48,842431,410703,20369,22783,23034,15059,11168,25935,25794,24520,49404,63681,62556,40360,19280,6760,431728,19276,20499,22610,14151,10535,25202,25822,24982,51208,66842,67294,44457,25731,13119,14664,7126,545,834,531,374,247,997,622,562,911,765,366,232,119,21,7538,793,635,642,479,325,874,539,574,874,746,650,186,175,46,42.7,41.4,43.9,43.8,42.5,45.0,22.6,24.7,19.9,36.0,34.9,36.3,33.7,32.7,35.4,49.1,49.1,49.3,24.7,25.4,24.4,20.6,20.4,20.8,44.0,42.7,45.3,25.3,25.4,25.2,905181
40,ME,23,,,,,040C0US23,Maine -- In metropolitan statistical area,784228,383218,20431,22848,22157,14482,11011,5429,4904,15077,24606,23354,21432,24892,27317,30764,30658,10789,14530,9435,11528,14694,9892,7063,5925,401010,19335,20756,21828,13639,10655,5631,4844,13792,24719,23692,21736,26058,28641,31933,31725,12233,16250,10351,12544,16514,12372,10119,11643,736720,359045,17790,19951,20302,13164,9936,23120,23004,21736,43283,55544,53880,34877,16610,5848,377675,17054,18076,19657,12326,9384,22426,23052,22146,44876,58072,58335,38524,22177,11570,12891,7390,932,828,511,334,412,672,483,574,970,797,673,102,95,7,5501,601,773,652,225,495,468,330,373,816,324,342,92,10,0,3388,1661,60,105,75,59,38,266,153,47,271,292,140,95,57,3,1727,86,103,98,46,124,160,92,121,228,276,204,137,38,14,10874,4810,216,363,245,263,285,388,368,475,875,560,379,340,29,24,6064,267,433,376,296,219,358,448,561,1022,886,763,320,90,25,58,28,0,0,2,0,0,0,0,0,13,9,4,0,0,0,30,0,0,4,8,0,0,6,0,5,3,0,0,4,0,1907,1013,126,77,114,41,34,115,149,45,133,64,52,41,22,0,894,76,93,89,107,56,29,66,38,167,103,35,15,20,0,18390,9271,1307,1524,908,621,306,849,449,477,779,815,849,202,142,43,9119,1251,1278,952,631,377,826,725,453,680,910,529,321,152,34,727500,354731,17507,19558,19944,12958,9785,22527,22638,21351,42798,55013,53591,34685,16541,5835,372769,16571,17707,19275,12144,9163,21827,22654,21679,44294,57655,57808,38382,22065,11545,12934,6359,496,699,491,337,211,881,529,516,795,694,346,232,119,13,6575,682,569,573,376,314,766,487,518,800,616,559,159,131,25,42.6,41.2,43.8,43.7,42.4,45.0,22.7,25.0,20.1,36.1,36.5,35.7,33.9,32.8,36.4,37.8,38.8,29.5,24.7,24.0,24.8,20.1,19.8,20.4,43.9,42.6,45.2,25.4,26.2,25.1,784228
40,ME,23,,,,,040C1US23,Maine -- In metropolitan statistical area -- in principal city,183757,88558,4843,5438,4497,2561,2601,1393,1323,4913,8488,6821,5498,5727,5841,6411,6030,2166,2885,1651,2034,2770,1815,1390,1462,95199,4897,4565,4521,2800,2898,1609,1401,4562,8675,6843,5239,5800,6697,6464,6470,2479,2978,2210,2553,3240,2630,2457,3211,162835,78091,3522,4055,3673,2080,2202,6714,7600,5977,9787,11318,10345,6245,3129,1444,84744,3742,3341,3576,2070,2385,6751,7766,6165,9873,12057,11241,7578,5018,3181,7975,4200,604,537,377,225,248,292,297,228,577,472,266,22,48,7,3775,451,582,391,150,301,279,269,281,500,221,301,49,0,0,445,225,5,22,0,4,10,4,20,11,91,51,7,0,0,0,220,10,0,11,8,10,26,25,19,10,47,8,32,8,6,4625,2116,47,209,102,81,51,244,199,268,425,126,192,150,11,11,2509,59,189,143,165,109,183,205,220,384,345,258,202,29,18,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,883,460,96,18,6,13,17,47,121,45,66,11,12,8,0,0,423,48,40,26,43,2,22,45,38,98,61,0,0,0,0,6992,3466,569,597,339,158,73,328,251,292,279,274,259,30,17,0,3526,587,413,374,364,91,311,365,120,172,430,119,142,32,6,159902,76680,3427,3924,3555,2047,2165,6477,7467,5869,9615,11143,10203,6225,3127,1436,83222,3557,3227,3534,2048,2334,6421,7669,6013,9686,11911,11107,7552,4982,3181,4636,2312,240,256,170,77,71,301,205,178,379,201,186,26,14,8,2324,291,179,105,100,103,415,157,203,310,250,134,41,36,0,37.7,36.2,39.6,40.2,38.2,41.9,21.7,22.4,20.3,39.0,40.4,35.2,33.3,31.9,34.0,.,.,.,27.0,26.3,28.7,19.5,20.0,19.2,40.5,38.5,42.1,25.2,27.1,24.4,183757
40,ME,23,,,,,040C2US23,Maine -- In metropolitan statistical area -- not in principal city,600471,294660,15588,17410,17660,11921,8410,4036,3581,10164,16118,16533,15934,19165,21476,24353,24628,8623,11645,7784,9494,11924,8077,5673,4463,305811,14438,16191,17307,10839,7757,4022,3443,9230,16044,16849,16497,20258,21944,25469,25255,9754,13272,8141,9991,13274,9742,7662,8432,573885,280954,14268,15896,16629,11084,7734,16406,15404,15759,33496,44226,43535,28632,13481,4404,292931,13312,14735,16081,10256,6999,15675,15286,15981,35003,46015,47094,30946,17159,8389,4916,3190,328,291,134,109,164,380,186,346,393,325,407,80,47,0,1726,150,191,261,75,194,189,61,92,316,103,41,43,10,0,2943,1436,55,83,75,55,28,262,133,36,180,241,133,95,57,3,1507,76,103,87,38,114,134,67,102,218,229,196,105,30,8,6249,2694,169,154,143,182,234,144,169,207,450,434,187,190,18,13,3555,208,244,233,131,110,175,243,341,638,541,505,118,61,7,56,28,0,0,2,0,0,0,0,0,13,9,4,0,0,0,28,0,0,4,8,0,0,6,0,3,3,0,0,4,0,1024,553,30,59,108,28,17,68,28,0,67,53,40,33,22,0,471,28,53,63,64,54,7,21,0,69,42,35,15,20,0,11398,5805,738,927,569,463,233,521,198,185,500,541,590,172,125,43,5593,664,865,578,267,286,515,360,333,508,480,410,179,120,28,567598,278051,14080,15634,16389,10911,7620,16050,15171,15482,33183,43870,43388,28460,13414,4399,289547,13014,14480,15741,10096,6829,15406,14985,15666,34608,45744,46701,30830,17083,8364,8298,4047,256,443,321,260,140,580,324,338,416,493,160,206,105,5,4251,391,390,468,276,211,351,330,315,490,366,425,118,95,25,43.8,42.7,45.0,44.6,43.4,45.7,24.8,30.1,19.9,35.4,33.6,35.8,35.3,33.3,36.7,37.9,38.8,29.3,20.8,22.2,18.9,20.5,19.8,21.4,44.8,43.5,45.9,25.4,26.0,25.3,600471
40,ME,23,,,,,040E0US23,Maine -- In micropolitan statistical area,120953,58816,2986,3735,3282,2182,1523,754,903,2097,3295,3402,3193,3713,4284,4768,4851,1778,2564,1584,2013,2203,1440,1326,940,62137,3110,2951,3644,2209,1529,1077,585,2027,3388,3540,3479,3776,4379,5132,4972,2051,2665,1568,2071,2568,2258,1528,1630,115938,56432,2899,3281,3119,2124,1418,3484,3204,3192,6658,8729,8985,5675,2739,925,59506,2779,2845,3399,2022,1383,3390,3185,3343,6981,9229,9571,6102,3690,1587,1139,677,2,169,14,15,24,153,0,85,52,70,61,32,0,0,462,166,36,23,0,49,20,93,27,22,13,0,5,8,0,685,391,26,55,40,15,0,35,30,25,9,112,32,8,4,0,294,0,21,12,15,0,0,0,70,81,59,13,22,1,0,1006,416,25,26,48,9,59,33,0,27,41,60,36,42,10,0,590,29,10,55,84,35,84,20,32,100,45,43,21,11,21,51,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,48,0,0,0,0,0,0,0,0,15,16,17,0,0,0,476,149,0,56,0,3,1,0,52,0,29,0,0,0,0,8,327,29,0,5,88,0,76,35,0,0,76,10,0,0,8,1658,748,34,148,61,16,21,49,9,73,117,81,79,40,13,7,910,107,39,150,0,62,119,55,68,56,73,34,57,76,14,114931,55972,2862,3225,3090,2101,1383,3408,3156,3169,6606,8668,8965,5675,2739,925,58959,2705,2792,3335,2007,1372,3375,3168,3303,6914,9187,9486,6075,3666,1574,1730,767,49,135,40,37,36,116,93,46,116,71,20,0,0,8,963,111,66,69,103,11,108,52,56,74,130,91,27,44,21,44.0,42.9,44.7,44.6,43.5,45.5,22.1,22.7,18.3,35.0,29.7,41.2,27.5,31.8,22.8,51.7,.,51.6,24.6,28.3,24.4,26.6,33.9,23.3,44.7,43.8,45.6,24.7,21.3,29.0,120953
40,ME,23,,,,,040E1US23,Maine -- In micropolitan statistical area -- in principal city,34825,16623,898,1014,801,512,672,390,278,833,1000,861,998,1015,1316,986,1211,452,477,355,657,650,411,520,316,18202,874,779,1025,550,835,703,239,652,1197,951,823,1159,1056,1228,1044,473,823,474,768,696,824,397,632,32212,15484,846,759,714,512,591,1369,994,759,1937,2158,2061,1556,912,316,16728,628,760,916,501,702,1415,1023,842,1847,2137,2283,1905,1154,615,716,354,0,148,0,0,8,32,0,62,17,31,30,26,0,0,362,166,0,11,0,42,3,93,27,7,13,0,0,0,0,307,174,15,26,15,0,0,35,0,18,0,57,0,8,0,0,133,0,0,12,0,0,0,0,58,26,36,0,0,1,0,566,230,11,11,34,0,52,33,0,11,0,8,18,42,10,0,336,10,0,8,27,35,84,8,11,60,41,43,0,0,9,18,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,15,0,0,0,0,0,0,0,0,15,0,0,0,0,0,110,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,108,0,0,0,22,0,16,35,0,0,35,0,0,0,0,896,376,26,70,38,0,21,32,4,11,59,48,31,27,9,0,520,70,19,78,0,56,76,38,13,27,22,14,33,66,8,31758,15266,824,726,714,512,566,1293,982,755,1898,2151,2061,1556,912,316,16492,590,731,904,501,702,1415,1010,820,1847,2137,2212,1881,1140,602,584,222,22,33,0,0,25,80,12,4,39,7,0,0,0,0,362,38,29,12,22,0,14,48,22,0,35,71,24,34,13,41.1,40.2,42.1,42.2,40.9,43.9,19.3,22.7,18.2,34.3,24.9,34.8,22.0,20.9,29.5,.,.,.,29.4,.,29.5,22.3,27.3,21.4,42.5,41.3,43.8,28.3,20.4,30.8,34825
40,ME,23,,,,,040E2US23,Maine -- In micropolitan statistical area -- not in principal city,86128,42193,2088,2721,2481,1670,851,364,625,1264,2295,2541,2195,2698,2968,3782,3640,1326,2087,1229,1356,1553,1029,806,624,43935,2236,2172,2619,1659,694,374,346,1375,2191,2589,2656,2617,3323,3904,3928,1578,1842,1094,1303,1872,1434,1131,998,83726,40948,2053,2522,2405,1612,827,2115,2210,2433,4721,6571,6924,4119,1827,609,42778,2151,2085,2483,1521,681,1975,2162,2501,5134,7092,7288,4197,2536,972,423,323,2,21,14,15,16,121,0,23,35,39,31,6,0,0,100,0,36,12,0,7,17,0,0,15,0,0,5,8,0,378,217,11,29,25,15,0,0,30,7,9,55,32,0,4,0,161,0,21,0,15,0,0,0,12,55,23,13,22,0,0,440,186,14,15,14,9,7,0,0,16,41,52,18,0,0,0,254,19,10,47,57,0,0,12,21,40,4,0,21,11,12,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,16,17,0,0,0,366,147,0,56,0,3,1,0,50,0,29,0,0,0,0,8,219,29,0,5,66,0,60,0,0,0,41,10,0,0,8,762,372,8,78,23,16,0,17,5,62,58,33,48,13,4,7,390,37,20,72,0,6,43,17,55,29,51,20,24,10,6,83173,40706,2038,2499,2376,1589,817,2115,2174,2414,4708,6517,6904,4119,1827,609,42467,2115,2061,2431,1506,670,1960,2158,2483,5067,7050,7274,4194,2526,972,1146,545,27,102,40,37,11,36,81,42,77,64,20,0,0,8,601,73,37,57,81,11,94,4,34,74,95,20,3,10,8,44.8,44.1,45.7,45.2,44.4,46.2,22.4,22.7,19.3,40.8,29.9,41.4,33.0,42.6,17.3,.,.,.,24.3,28.3,24.1,32.1,34.3,29.5,45.3,44.5,46.3,24.4,25.5,24.0,86128
