SummaryLevel,State,StateFIPS,CountyFIPS,PlaceFIPS,CBSACode,CongressDistrict,GEOID,AreaName,B01001_001,B01001_002,B01001_003,B01001_004,B01001_005,B01001_006,B01001_007,B01001_008,B01001_009,B01001_010,B01001_011,B01001_012,B01001_013,B01001_014,B01001_015,B01001_016,B01001_017,B01001_018,B01001_019,B01001_020,B01001_021,B01001_022,B01001_023,B01001_024,B01001_025,B01001_026,B01001_027,B01001_028,B01001_029,B01001_030,B01001_031,B01001_032,B01001_033,B01001_034,B01001_035,B01001_036,B01001_037,B01001_038,B01001_039,B01001_040,B01001_041,B01001_042,B01001_043,B01001_044,B01001_045,B01001_046,B01001_047,B01001_048,B01001_049,B01001A_001,B01001A_002,B01001A_003,B01001A_004,B01001A_005,B01001A_006,B01001A_007,B01001A_008,B01001A_009,B01001A_010,B01001A_011,B01001A_012,B01001A_013,B01001A_014,B01001A_015,B01001A_016,B01001A_017,B01001A_018,B01001A_019,B01001A_020,B01001A_021,B01001A_022,B01001A_023,B01001A_024,B01001A_025,B01001A_026,B01001A_027,B01001A_028,B01001A_029,B01001A_030,B01001A_031,B01001B_001,B01001B_002,B01001B_003,B01001B_004,B01001B_005,B01001B_006,B01001B_007,B01001B_008,B01001B_009,B01001B_010,B01001B_011,B01001B_012,B01001B_013,B01001B_014,B01001B_015,B01001B_016,B01001B_017,B01001B_018,B01001B_019,B01001B_020,B01001B_021,B01001B_022,B01001B_023,B01001B_024,B01001B_025,B01001B_026,B01001B_027,B01001B_028,B01001B_029,B01001B_030,B01001B_031,B01001C_001,B01001C_002,B01001C_003,B01001C_004,B01001C_005,B01001C_006,B01001C_007,B01001C_008,B01001C_009,B01001C_010,B01001C_011,B01001C_012,B01001C_013,B01001C_014,B01001C_015,B01001C_016,B01001C_017,B01001C_018,B01001C_019,B01001C_020,B01001C_021,B01001C_022,B01001C_023,B01001C_024,B01001C_025,B01001C_026,B01001C_027,B01001C_028,B01001C_029,B01001C_030,B01001C_031,B01001D_001,B01001D_002,B01001D_003,B01001D_004,B01001D_005,B01001D_006,B01001D_007,B01001D_008,B01001D_009,B01001D_010,B01001D_011,B01001D_012,B01001D_013,B01001D_014,B01001D_015,B01001D_016,B01001D_017,B01001D_018,B01001D_019,B01001D_020,B01001D_021,B01001D_022,B01001D_023,B01001D_024,B01001D_025,B01001D_026,B01001D_027,B01001D_028,B01001D_029,B01001D_030,B01001D_031,B01001E_001,B01001E_002,B01001E_003,B01001E_004,B01001E_005,B01001E_006,B01001E_007,B01001E_008,B01001E_009,B01001E_010,B01001E_011,B01001E_012,B01001E_013,B01001E_014,B01001E_015,B01001E_016,B01001E_017,B01001E_018,B01001E_019,B01001E_020,B01001E_021,B01001E_022,B01001E_023,B01001E_024,B01001E_025,B01001E_026,B01001E_027,B01001E_028,B01001E_029,B01001E_030,B01001E_031,B01001F_001,B01001F_002,B01001F_003,B01001F_004,B01001F_005,B01001F_006,B01001F_007,B01001F_008,B01001F_009,B01001F_010,B01001F_011,B01001F_012,B01001F_013,B01001F_014,B01001F_015,B01001F_016,B01001F_017,B01001F_018,B01001F_019,B01001F_020,B01001F_021,B01001F_022,B01001F_023,B01001F_024,B01001F_025,B01001F_026,B01001F_027,B01001F_028,B01001F_029,B01001F_030,B01001F_031,B01001G_001,B01001G_002,B01001G_003,B01001G_004,B01001G_005,B01001G_006,B01001G_007,B01001G_008,B01001G_009,B01001G_010,B01001G_011,B01001G_012,B01001G_013,B01001G_014,B01001G_015,B01001G_016,B01001G_017,B01001G_018,B01001G_019,B01001G_020,B01001G_021,B01001G_022,B01001G_023,B01001G_024,B01001G_025,B01001G_026,B01001G_027,B01001G_028,B01001G_029,B01001G_030,B01001G_031,B01001H_001,B01001H_002,B01001H_003,B01001H_004,B01001H_005,B01001H_006,B01001H_007,B01001H_008,B01001H_009,B01001H_010,B01001H_011,B01001H_012,B01001H_013,B01001H_014,B01001H_015,B01001H_016,B01001H_017,B01001H_018,B01001H_019,B01001H_020,B01001H_021,B01001H_022,B01001H_023,B01001H_024,B01001H_025,B01001H_026,B01001H_027,B01001H_028,B01001H_029,B01001H_030,B01001H_031,B01001I_001,B01001I_002,B01001I_003,B01001I_004,B01001I_005,B01001I_006,B01001I_007,B01001I_008,B01001I_009,B01001I_010,B01001I_011,B01001I_012,B01001I_013,B01001I_014,B01001I_015,B01001I_016,B01001I_017,B01001I_018,B01001I_019,B01001I_020,B01001I_021,B01001I_022,B01001I_023,B01001I_024,B01001I_025,B01001I_026,B01001I_027,B01001I_028,B01001I_029,B01001I_030,B01001I_031,B01002_001,B01002_002,B01002_003,B01002A_001,B01002A_002,B01002A_003,B01002B_001,B01002B_002,B01002B_003,B01002C_001,B01002C_002,B01002C_003,B01002D_001,B01002D_002,B01002D_003,B01002E_001,B01002E_002,B01002E_003,B01002F_001,B01002F_002,B01002F_003,B01002G_001,B01002G_002,B01002G_003,B01002H_001,B01002H_002,B01002H_003,B01002I_001,B01002I_002,B01002I_003,B01003_001
40,MN,27,,,,,04000US27,Minnesota,5450868,2710157,178239,185771,182018,109365,73162,36888,37730,110151,186133,192368,171231,168430,179414,199124,190741,67293,94192,54756,67010,85356,58792,42428,39565,2740711,170561,177033,174889,104222,70743,35984,36475,105503,179358,187182,164802,166653,177704,200218,192572,70479,94835,57234,71514,95790,72968,58946,75046,4597525,2280226,132193,138883,140448,86282,58040,145760,148029,156786,281233,335662,325451,195617,97368,38474,2317299,126055,132763,134020,82044,56410,141575,142014,150890,274024,336977,330238,211276,126063,72950,310853,158718,16302,15980,14182,7779,5195,14382,13777,13604,21786,18171,11766,4175,1113,506,152135,14984,15351,14232,7604,4923,12917,13680,12837,20731,16012,10910,5115,2110,729,56904,29135,2592,3116,2880,1572,956,2410,2324,2045,3226,3619,2643,1345,360,47,27769,2420,2348,2151,1214,815,2287,2101,1997,3364,3693,3122,1503,592,162,246819,120200,10016,10665,9550,5730,3964,11775,12739,11853,18406,12380,7327,3853,1613,329,126619,9436,9940,9950,6203,4025,11279,13760,13063,19724,12919,8608,4667,2148,897,1969,1032,30,52,168,73,47,189,73,117,86,100,72,23,2,0,937,53,54,76,37,17,93,210,47,96,181,54,15,1,3,88296,47320,4389,4760,4586,2518,1803,3993,4427,4304,8483,4867,2122,766,265,37,40976,4545,5024,4119,2201,1337,3424,2947,3739,6716,3742,2075,684,383,40,148502,73526,12717,12315,10204,5411,3157,6260,4764,3659,6441,3739,2845,1343,499,172,74976,13068,11553,10341,4919,3216,6387,4646,4609,6800,4398,2879,1278,617,265,4432384,2195543,122852,128219,132005,81839,55061,138798,141012,148774,269114,327657,321144,194043,96743,38282,2236841,116984,122596,125782,77824,53641,134632,135205,144544,262751,329427,326132,209553,125167,72603,276026,143094,15683,17298,14526,7732,5286,12068,11776,12939,21745,13535,6867,2467,939,233,132932,15825,17125,13949,7274,4686,10917,10517,10891,19122,11791,6511,2549,1331,444,37.8,36.7,38.8,40.9,39.7,42.1,27.1,27.0,27.2,29.2,27.1,31.3,29.0,28.3,29.6,26.0,24.6,28.9,26.0,26.6,24.8,16.1,15.8,16.5,41.8,40.6,43.0,24.0,24.5,23.5,5450868
40,MN,27,,,,,04001US27,Minnesota -- Urban,4016042,1974623,136776,137613,131888,77474,55785,29262,30050,88424,152285,152984,131707,126088,128992,136447,128947,44094,61690,35308,42577,53106,36774,28045,28307,2041419,130798,131808,126263,74651,56696,29948,30522,86199,149130,150423,127397,125427,129524,140844,134176,48698,65981,39262,48765,64723,49920,42837,57427,3242113,1585005,94905,95483,94959,57209,42148,111810,116805,119937,204132,226600,211083,121059,61546,27329,1657108,90267,92230,89704,54757,43718,112936,114255,116360,200134,233725,224711,141219,87592,55500,302719,153849,15884,15534,13667,7383,5035,13922,13357,13348,21111,17595,11405,4070,1064,474,148870,14667,14885,13881,7409,4640,12668,13444,12702,20312,15706,10726,5053,2063,714,28168,14437,1155,1359,1216,629,490,1371,1337,1192,1757,1956,1268,554,125,28,13731,966,1017,762,556,440,1184,1183,1256,1772,1984,1633,603,266,109,234797,115223,9641,10152,9192,5392,3705,11324,12422,11312,17713,11860,6990,3695,1521,304,119574,9147,9346,9130,5853,3839,10861,13331,12521,18450,12079,7820,4317,2019,861,1467,718,15,11,158,54,43,123,46,67,48,70,64,19,0,0,749,39,45,51,33,11,62,173,40,82,164,40,6,0,3,79964,42813,4034,4307,4002,2202,1582,3756,4056,4031,7697,4368,1840,691,210,37,37151,4166,4423,3738,1946,1184,3178,2613,3536,6229,3299,1860,604,336,39,126814,62578,11142,10767,8694,4605,2782,5430,4262,3097,5337,2990,2081,903,353,135,64236,11546,9862,8997,4097,2864,5780,4131,4008,5845,3411,2065,948,481,201,3098800,1511694,86814,86300,88034,53349,39627,105855,110394,112779,193548,219719,207352,119724,61037,27162,1587106,82311,83473,82840,51211,41225,106682,108128,110638,190347,227234,221259,139741,86850,55167,242960,125512,13862,15107,12148,6681,4503,10585,10724,11670,19315,11856,5961,2134,758,208,117448,14072,14915,12038,6255,4245,9828,9469,10045,17054,10203,5609,2165,1121,429,35.9,34.8,37.0,39.2,37.7,40.7,27.2,27.0,27.4,30.6,28.2,33.0,28.9,28.4,29.4,25.9,24.6,29.2,26.1,26.7,24.9,15.7,15.4,16.1,40.2,38.6,41.8,24.3,24.9,23.7,4016042
40,MN,27,,,,,04043US27,Minnesota -- Rural,1434826,735534,41463,48158,50130,31891,17377,7626,7680,21727,33848,39384,39524,42342,50422,62677,61794,23199,32502,19448,24433,32250,22018,14383,11258,699292,39763,45225,48626,29571,14047,6036,5953,19304,30228,36759,37405,41226,48180,59374,58396,21781,28854,17972,22749,31067,23048,16109,17619,1355412,695221,37288,43400,45489,29073,15892,33950,31224,36849,77101,109062,114368,74558,35822,11145,660191,35788,40533,44316,27287,12692,28639,27759,34530,73890,103252,105527,70057,38471,17450,8134,4869,418,446,515,396,160,460,420,256,675,576,361,105,49,32,3265,317,466,351,195,283,249,236,135,419,306,184,62,47,15,28736,14698,1437,1757,1664,943,466,1039,987,853,1469,1663,1375,791,235,19,14038,1454,1331,1389,658,375,1103,918,741,1592,1709,1489,900,326,53,12022,4977,375,513,358,338,259,451,317,541,693,520,337,158,92,25,7045,289,594,820,350,186,418,429,542,1274,840,788,350,129,36,502,314,15,41,10,19,4,66,27,50,38,30,8,4,2,0,188,14,9,25,4,6,31,37,7,14,17,14,9,1,0,8332,4507,355,453,584,316,221,237,371,273,786,499,282,75,55,0,3825,379,601,381,255,153,246,334,203,487,443,215,80,47,1,21688,10948,1575,1548,1510,806,375,830,502,562,1104,749,764,440,146,37,10740,1522,1691,1344,822,352,607,515,601,955,987,814,330,136,64,1333584,683849,36038,41919,43971,28490,15434,32943,30618,35995,75566,107938,113792,74319,35706,11120,649735,34673,39123,42942,26613,12416,27950,27077,33906,72404,102193,104873,69812,38317,17436,33066,17582,1821,2191,2378,1051,783,1483,1052,1269,2430,1679,906,333,181,25,15484,1753,2210,1911,1019,441,1089,1048,846,2068,1588,902,384,210,15,44.0,43.5,44.5,45.1,44.7,45.5,23.4,25.7,20.3,27.0,25.2,29.0,32.2,27.5,34.3,26.6,26.3,26.8,24.8,25.8,22.0,18.1,18.2,18.0,45.5,45.1,45.9,21.6,21.5,21.8,1434826
40,MN,27,,,,,040A0US27,Minnesota -- In metropolitan or micropolitan statistical area,4937539,2451739,162755,168689,165394,98859,67509,34158,34637,102143,172902,177638,157534,154378,163394,179649,170109,59637,82704,47919,58262,73705,50148,36041,33575,2485800,155772,160706,159023,94513,65442,33598,33706,97866,167392,173349,151527,153207,162740,181398,172856,62895,84597,50766,63033,83303,62694,50874,64543,4117271,2038545,118550,123600,125519,76826,52963,133083,136191,143211,255323,302062,287066,169033,82550,32568,2078726,113084,118476,119647,73222,51709,130077,131156,138321,249106,304805,293992,184568,108045,62518,306991,156220,16120,15791,14056,7666,5131,14221,13363,13370,21396,17868,11605,4073,1099,461,150771,14799,15172,14099,7542,4884,12807,13541,12701,20560,15923,10860,5069,2100,714,45376,23556,2046,2532,2281,1174,755,2083,1983,1734,2616,2926,2077,1027,282,40,21820,1872,1848,1615,938,598,1833,1738,1544,2728,2978,2447,1138,397,146,242960,118603,9869,10482,9409,5635,3869,11644,12636,11694,18212,12203,7230,3802,1590,328,124357,9286,9747,9779,6070,3950,11079,13592,12821,19408,12657,8436,4541,2120,871,1612,843,16,46,165,61,43,140,61,70,74,81,64,21,1,0,769,0,48,67,32,15,57,195,40,87,166,46,13,0,3,83922,45118,4203,4545,4356,2406,1733,3872,4142,4129,8214,4513,1981,723,264,37,38804,4363,4677,4012,2062,1223,3274,2750,3549,6407,3495,1952,642,358,40,139407,68854,11951,11693,9608,5091,3015,5895,4526,3430,6077,3390,2427,1207,403,141,70553,12368,10738,9804,4647,3063,6043,4420,4373,6438,4114,2615,1131,548,251,3964068,1959962,109953,113707,117719,72763,50117,126653,129659,135772,243965,294620,283055,167601,81987,32391,2004106,104706,109014,112150,69272,49176,123589,124773,132366,238726,297748,290209,182992,107201,62184,257961,133870,14614,16170,13455,7178,5042,11366,10935,12128,20642,12594,6387,2266,876,217,124091,14733,15921,13003,6810,4327,10251,9878,10236,17870,11021,6032,2327,1251,431,37.2,36.2,38.3,40.5,39.2,41.7,27.1,27.0,27.3,29.2,27.1,31.4,29.0,28.4,29.5,27.1,24.6,29.6,25.9,26.5,24.7,16.0,15.6,16.4,41.3,40.1,42.5,24.0,24.6,23.6,4937539
40,MN,27,,,,,040C0US27,Minnesota -- In metropolitan statistical area,4212944,2088883,140873,144828,141098,84434,57116,28873,29122,87123,152490,155323,138211,133960,141242,153640,143245,49854,68228,39620,47080,58423,39456,27993,26651,2124061,134522,137957,137039,80920,55184,27978,28246,84772,148532,152783,132613,134014,141322,155547,146305,52756,70776,42167,51789,67134,50192,40242,51271,3454114,1708426,100098,103444,104809,64519,43977,110638,118411,123773,219198,256975,237857,134996,64058,25673,1745688,95207,98807,100485,61339,42805,108790,114265,119680,214655,260302,245182,149493,85291,49387,294568,148830,15528,15003,13371,7126,4904,13200,12625,12442,20590,17140,11284,4062,1094,461,145738,14184,14660,13454,7273,4612,12205,13171,12236,19913,15475,10755,4986,2100,714,28028,14456,1096,1472,1379,672,423,1272,1240,1195,1662,1879,1327,663,146,30,13572,945,1094,818,538,349,997,1178,1108,1832,2058,1606,702,242,105,233692,114209,9555,10098,9026,5374,3618,11115,12278,11182,17645,11817,6940,3701,1540,320,119483,9046,9379,9531,5695,3580,10508,13116,12386,18667,12124,8187,4365,2048,851,1394,775,16,23,161,57,43,135,61,67,65,78,55,14,0,0,619,0,34,60,32,4,57,158,40,58,121,46,6,0,3,73534,39275,3544,4076,3719,1974,1382,3328,3641,3617,7462,3943,1703,629,228,29,34259,3731,4128,3612,1876,1085,2789,2477,3307,5516,3070,1755,588,297,28,127614,62912,11036,10712,8633,4712,2769,5430,4234,3047,5549,3050,2161,1058,383,138,64702,11409,9855,9079,4167,2749,5650,4167,4026,5986,3719,2306,950,456,183,3327336,1643002,93036,95409,98354,61007,41691,105348,112818,117505,209718,250778,234443,133822,63575,25498,1684334,88521,91047,94640,58188,40706,103489,109020,114934,205659,254181,242050,148102,84654,49143,218937,113634,12312,13697,11264,6086,3985,9559,9433,10388,17880,10671,5468,1926,759,206,105303,12213,13504,10841,5688,3686,8526,8420,8751,15512,9617,5165,2068,983,329,36.7,35.8,37.7,40.0,38.7,41.2,27.3,27.1,27.5,30.8,28.3,33.7,29.1,28.4,29.6,25.8,24.6,29.2,26.3,27.1,24.8,15.9,15.6,16.4,40.8,39.5,42.0,24.4,24.9,23.9,4212944
40,MN,27,,,,,040C1US27,Minnesota -- In metropolitan statistical area -- in principal city,1302823,648997,45981,41485,38218,21730,22541,12312,13128,36645,63073,54826,43622,40159,38998,40872,38798,14229,19241,11028,12580,15002,9633,7589,7307,653826,42589,38276,36115,20846,21945,12643,12465,35365,60352,53784,40761,39493,37514,43432,40449,15034,20549,11672,14086,17681,12943,11512,14320,932824,462453,25315,22589,21282,12280,15025,43128,44688,39911,59603,61876,60790,33722,15452,6792,470371,23335,20765,19630,12063,15397,42261,42759,37806,56172,63061,64279,37977,21699,13167,161026,81866,9163,7736,7423,3992,3133,7456,7264,6538,10114,9199,6409,2427,684,328,79160,7794,7663,7094,3568,2454,6753,7451,6650,10508,8655,5870,2980,1242,478,11617,5913,554,528,544,325,247,546,565,429,580,804,489,250,44,8,5704,423,479,381,265,173,329,499,478,670,988,666,195,94,64,111374,55488,5021,5083,4381,2716,2166,6591,6541,5208,7523,4938,2871,1582,724,143,55886,4500,4275,4140,2687,2087,6503,6503,5469,7676,5172,3648,1636,1063,527,417,256,0,0,51,54,37,13,20,18,21,22,20,0,0,0,161,0,29,29,9,0,16,19,7,5,47,0,0,0,0,33793,18163,1591,1552,1664,823,678,1697,1865,1420,3710,1903,874,264,122,0,15630,1636,1646,1454,827,515,1545,1162,1557,2505,1628,720,241,186,8,51772,24858,4337,3997,2873,1540,1255,2654,2130,1302,2230,1128,815,365,196,36,26914,4901,3419,3387,1427,1319,3066,1959,1817,2718,1395,849,410,171,76,881928,435722,22545,19290,18919,11296,14032,40756,41929,36953,56057,59432,59247,33318,15254,6694,446206,20567,17993,17904,10885,14466,39777,40238,35860,52739,60763,63017,37423,21443,13131,94554,49710,5307,5488,4498,2102,1834,4631,4980,4628,7619,4762,2639,770,354,98,44844,5359,5179,4028,2260,1666,4201,4113,3896,6449,4141,2182,829,489,52,33.4,32.6,34.2,37.2,36.0,38.6,27.2,26.4,27.9,29.6,26.8,32.9,27.1,26.4,27.8,20.0,19.3,24.7,26.9,27.5,26.2,18.0,17.4,18.5,38.2,36.9,39.8,25.4,25.8,24.7,1302823
40,MN,27,,,,,040C2US27,Minnesota -- In metropolitan statistical area -- not in principal city,2910121,1439886,94892,103343,102880,62704,34575,16561,15994,50478,89417,100497,94589,93801,102244,112768,104447,35625,48987,28592,34500,43421,29823,20404,19344,1470235,91933,99681,100924,60074,33239,15335,15781,49407,88180,98999,91852,94521,103808,112115,105856,37722,50227,30495,37703,49453,37249,28730,36951,2521290,1245973,74783,80855,83527,52239,28952,67510,73723,83862,159595,195099,177067,101274,48606,18881,1275317,71872,78042,80855,49276,27408,66529,71506,81874,158483,197241,180903,111516,63592,36220,133542,66964,6365,7267,5948,3134,1771,5744,5361,5904,10476,7941,4875,1635,410,133,66578,6390,6997,6360,3705,2158,5452,5720,5586,9405,6820,4885,2006,858,236,16411,8543,542,944,835,347,176,726,675,766,1082,1075,838,413,102,22,7868,522,615,437,273,176,668,679,630,1162,1070,940,507,148,41,122318,58721,4534,5015,4645,2658,1452,4524,5737,5974,10122,6879,4069,2119,816,177,63597,4546,5104,5391,3008,1493,4005,6613,6917,10991,6952,4539,2729,985,324,977,519,16,23,110,3,6,122,41,49,44,56,35,14,0,0,458,0,5,31,23,4,41,139,33,53,74,46,6,0,3,39741,21112,1953,2524,2055,1151,704,1631,1776,2197,3752,2040,829,365,106,29,18629,2095,2482,2158,1049,570,1244,1315,1750,3011,1442,1035,347,111,20,75842,38054,6699,6715,5760,3172,1514,2776,2104,1745,3319,1922,1346,693,187,102,37788,6508,6436,5692,2740,1430,2584,2208,2209,3268,2324,1457,540,285,107,2445408,1207280,70491,76119,79435,49711,27659,64592,70889,80552,153661,191346,175196,100504,48321,18804,1238128,67954,73054,76736,47303,26240,63712,68782,79074,152920,193418,179033,110679,63211,36012,124383,63924,7005,8209,6766,3984,2151,4928,4453,5760,10261,5909,2829,1156,405,108,60459,6854,8325,6813,3428,2020,4325,4307,4855,9063,5476,2983,1239,494,277,38.4,37.5,39.4,41.0,39.9,42.1,27.4,27.9,26.8,32.0,30.1,34.4,31.1,30.8,31.2,28.3,24.8,29.7,25.4,26.6,23.6,15.0,14.9,15.3,41.7,40.6,42.8,23.5,23.9,23.2,2910121
40,MN,27,,,,,040E0US27,Minnesota -- In micropolitan statistical area,724595,362856,21882,23861,24296,14425,10393,5285,5515,15020,20412,22315,19323,20418,22152,26009,26864,9783,14476,8299,11182,15282,10692,8048,6924,361739,21250,22749,21984,13593,10258,5620,5460,13094,18860,20566,18914,19193,21418,25851,26551,10139,13821,8599,11244,16169,12502,10632,13272,663157,330119,18452,20156,20710,12307,8986,22445,17780,19438,36125,45087,49209,34037,18492,6895,333038,17877,19669,19162,11883,8904,21287,16891,18641,34451,44503,48810,35075,22754,13131,12423,7390,592,788,685,540,227,1021,738,928,806,728,321,11,5,0,5033,615,512,645,269,272,602,370,465,647,448,105,83,0,0,17348,9100,950,1060,902,502,332,811,743,539,954,1047,750,364,136,10,8248,927,754,797,400,249,836,560,436,896,920,841,436,155,41,9268,4394,314,384,383,261,251,529,358,512,567,386,290,101,50,8,4874,240,368,248,375,370,571,476,435,741,533,249,176,72,20,218,68,0,23,4,4,0,5,0,3,9,3,9,7,1,0,150,0,14,7,0,11,0,37,0,29,45,0,7,0,0,10388,5843,659,469,637,432,351,544,501,512,752,570,278,94,36,8,4545,632,549,400,186,138,485,273,242,891,425,197,54,61,12,11793,5942,915,981,975,379,246,465,292,383,528,340,266,149,20,3,5851,959,883,725,480,314,393,253,347,452,395,309,181,92,68,636732,316960,16917,18298,19365,11756,8426,21305,16841,18267,34247,43842,48612,33779,18412,6893,319772,16185,17967,17510,11084,8470,20100,15753,17432,33067,43567,48159,34890,22547,13041,39024,20236,2302,2473,2191,1092,1057,1807,1502,1740,2762,1923,919,340,117,11,18788,2520,2417,2162,1122,641,1725,1458,1485,2358,1404,867,259,268,102,40.9,39.7,42.2,43.2,42.0,44.3,23.5,24.4,21.9,25.5,24.9,25.9,27.6,26.5,28.4,39.2,23.3,41.0,23.7,23.3,24.2,16.4,16.0,16.8,44.3,43.1,45.6,21.9,22.4,21.1,724595
40,MN,27,,,,,040E1US27,Minnesota -- In micropolitan statistical area -- in principal city,304210,149068,9275,9499,9450,5519,6005,3253,3385,8614,10280,10700,8401,8655,8346,9051,9372,2975,5019,2400,3490,5305,3553,3228,3293,155142,9345,9368,8342,5385,6283,3900,3607,7305,9324,9252,8030,8008,8000,9384,9698,3672,4762,3046,3987,6343,5284,5251,7566,270348,130356,7426,7658,7602,4484,5016,12952,8530,8774,14823,15709,16470,10939,6692,3281,139992,7457,7912,7060,4414,5407,12874,8363,8213,13852,16039,17514,13011,10381,7495,10136,6109,474,605,479,353,185,855,693,872,705,626,259,2,1,0,4027,493,399,491,242,191,497,302,414,523,358,71,46,0,0,3754,2061,118,150,170,68,104,250,215,140,266,293,126,110,48,3,1693,189,58,142,63,72,275,146,53,191,196,193,65,36,14,6374,3041,208,232,274,150,220,421,249,265,459,278,222,44,19,0,3333,174,244,110,265,335,527,262,291,493,312,146,109,54,11,130,21,0,5,0,0,0,0,0,0,0,0,9,7,0,0,109,0,14,0,0,11,0,15,0,24,45,0,0,0,0,7758,4453,579,318,453,305,281,443,413,401,550,392,221,68,21,8,3305,484,341,303,135,77,404,116,199,783,275,136,28,13,11,5710,3027,470,531,472,159,199,331,180,248,253,99,59,25,0,1,2683,548,400,236,266,190,235,120,82,172,159,72,117,51,35,251959,121265,6405,6382,6766,4147,4557,11976,7871,7994,13503,14926,16059,10762,6636,3281,130694,6372,6779,5851,3839,5071,11884,7520,7405,12928,15401,17105,12898,10236,7405,27401,14210,1616,1666,1374,653,839,1507,1103,1206,1989,1270,674,227,77,9,13191,1686,1558,1563,810,473,1378,1002,1046,1745,955,558,158,158,101,36.2,34.3,38.3,39.0,36.8,41.0,24.4,26.2,22.4,27.0,27.6,25.7,25.3,25.8,25.2,41.8,57.6,41.6,23.7,23.2,24.2,15.9,16.1,15.9,40.9,38.5,43.2,22.2,22.7,21.3,304210
40,MN,27,,,,,040E2US27,Minnesota -- In micropolitan statistical area -- not in principal city,420385,213788,12607,14362,14846,8906,4388,2032,2130,6406,10132,11615,10922,11763,13806,16958,17492,6808,9457,5899,7692,9977,7139,4820,3631,206597,11905,13381,13642,8208,3975,1720,1853,5789,9536,11314,10884,11185,13418,16467,16853,6467,9059,5553,7257,9826,7218,5381,5706,392809,199763,11026,12498,13108,7823,3970,9493,9250,10664,21302,29378,32739,23098,11800,3614,193046,10420,11757,12102,7469,3497,8413,8528,10428,20599,28464,31296,22064,12373,5636,2287,1281,118,183,206,187,42,166,45,56,101,102,62,9,4,0,1006,122,113,154,27,81,105,68,51,124,90,34,37,0,0,13594,7039,832,910,732,434,228,561,528,399,688,754,624,254,88,7,6555,738,696,655,337,177,561,414,383,705,724,648,371,119,27,2894,1353,106,152,109,111,31,108,109,247,108,108,68,57,31,8,1541,66,124,138,110,35,44,214,144,248,221,103,67,18,9,88,47,0,18,4,4,0,5,0,3,9,3,0,0,1,0,41,0,0,7,0,0,0,22,0,5,0,0,7,0,0,2630,1390,80,151,184,127,70,101,88,111,202,178,57,26,15,0,1240,148,208,97,51,61,81,157,43,108,150,61,26,48,1,6083,2915,445,450,503,220,47,134,112,135,275,241,207,124,20,2,3168,411,483,489,214,124,158,133,265,280,236,237,64,41,33,384773,195695,10512,11916,12599,7609,3869,9329,8970,10273,20744,28916,32553,23017,11776,3612,189078,9813,11188,11659,7245,3399,8216,8233,10027,20139,28166,31054,21992,12311,5636,11623,6026,686,807,817,439,218,300,399,534,773,653,245,113,40,2,5597,834,859,599,312,168,347,456,439,613,449,309,101,110,1,44.3,43.7,45.0,45.8,45.3,46.4,18.5,16.9,20.1,24.8,23.6,26.0,29.8,28.3,32.3,29.2,16.5,29.6,24.1,24.3,23.8,16.8,16.0,17.7,46.4,45.8,47.0,20.6,20.6,20.5,420385
