SummaryLevel,State,StateFIPS,CountyFIPS,PlaceFIPS,CBSACode,CongressDistrict,GEOID,AreaName,B01001_001,B01001_002,B01001_003,B01001_004,B01001_005,B01001_006,B01001_007,B01001_008,B01001_009,B01001_010,B01001_011,B01001_012,B01001_013,B01001_014,B01001_015,B01001_016,B01001_017,B01001_018,B01001_019,B01001_020,B01001_021,B01001_022,B01001_023,B01001_024,B01001_025,B01001_026,B01001_027,B01001_028,B01001_029,B01001_030,B01001_031,B01001_032,B01001_033,B01001_034,B01001_035,B01001_036,B01001_037,B01001_038,B01001_039,B01001_040,B01001_041,B01001_042,B01001_043,B01001_044,B01001_045,B01001_046,B01001_047,B01001_048,B01001_049,B01001A_001,B01001A_002,B01001A_003,B01001A_004,B01001A_005,B01001A_006,B01001A_007,B01001A_008,B01001A_009,B01001A_010,B01001A_011,B01001A_012,B01001A_013,B01001A_014,B01001A_015,B01001A_016,B01001A_017,B01001A_018,B01001A_019,B01001A_020,B01001A_021,B01001A_022,B01001A_023,B01001A_024,B01001A_025,B01001A_026,B01001A_027,B01001A_028,B01001A_029,B01001A_030,B01001A_031,B01001B_001,B01001B_002,B01001B_003,B01001B_004,B01001B_005,B01001B_006,B01001B_007,B01001B_008,B01001B_009,B01001B_010,B01001B_011,B01001B_012,B01001B_013,B01001B_014,B01001B_015,B01001B_016,B01001B_017,B01001B_018,B01001B_019,B01001B_020,B01001B_021,B01001B_022,B01001B_023,B01001B_024,B01001B_025,B01001B_026,B01001B_027,B01001B_028,B01001B_029,B01001B_030,B01001B_031,B01001C_001,B01001C_002,B01001C_003,B01001C_004,B01001C_005,B01001C_006,B01001C_007,B01001C_008,B01001C_009,B01001C_010,B01001C_011,B01001C_012,B01001C_013,B01001C_014,B01001C_015,B01001C_016,B01001C_017,B01001C_018,B01001C_019,B01001C_020,B01001C_021,B01001C_022,B01001C_023,B01001C_024,B01001C_025,B01001C_026,B01001C_027,B01001C_028,B01001C_029,B01001C_030,B01001C_031,B01001D_001,B01001D_002,B01001D_003,B01001D_004,B01001D_005,B01001D_006,B01001D_007,B01001D_008,B01001D_009,B01001D_010,B01001D_011,B01001D_012,B01001D_013,B01001D_014,B01001D_015,B01001D_016,B01001D_017,B01001D_018,B01001D_019,B01001D_020,B01001D_021,B01001D_022,B01001D_023,B01001D_024,B01001D_025,B01001D_026,B01001D_027,B01001D_028,B01001D_029,B01001D_030,B01001D_031,B01001E_001,B01001E_002,B01001E_003,B01001E_004,B01001E_005,B01001E_006,B01001E_007,B01001E_008,B01001E_009,B01001E_010,B01001E_011,B01001E_012,B01001E_013,B01001E_014,B01001E_015,B01001E_016,B01001E_017,B01001E_018,B01001E_019,B01001E_020,B01001E_021,B01001E_022,B01001E_023,B01001E_024,B01001E_025,B01001E_026,B01001E_027,B01001E_028,B01001E_029,B01001E_030,B01001E_031,B01001F_001,B01001F_002,B01001F_003,B01001F_004,B01001F_005,B01001F_006,B01001F_007,B01001F_008,B01001F_009,B01001F_010,B01001F_011,B01001F_012,B01001F_013,B01001F_014,B01001F_015,B01001F_016,B01001F_017,B01001F_018,B01001F_019,B01001F_020,B01001F_021,B01001F_022,B01001F_023,B01001F_024,B01001F_025,B01001F_026,B01001F_027,B01001F_028,B01001F_029,B01001F_030,B01001F_031,B01001G_001,B01001G_002,B01001G_003,B01001G_004,B01001G_005,B01001G_006,B01001G_007,B01001G_008,B01001G_009,B01001G_010,B01001G_011,B01001G_012,B01001G_013,B01001G_014,B01001G_015,B01001G_016,B01001G_017,B01001G_018,B01001G_019,B01001G_020,B01001G_021,B01001G_022,B01001G_023,B01001G_024,B01001G_025,B01001G_026,B01001G_027,B01001G_028,B01001G_029,B01001G_030,B01001G_031,B01001H_001,B01001H_002,B01001H_003,B01001H_004,B01001H_005,B01001H_006,B01001H_007,B01001H_008,B01001H_009,B01001H_010,B01001H_011,B01001H_012,B01001H_013,B01001H_014,B01001H_015,B01001H_016,B01001H_017,B01001H_018,B01001H_019,B01001H_020,B01001H_021,B01001H_022,B01001H_023,B01001H_024,B01001H_025,B01001H_026,B01001H_027,B01001H_028,B01001H_029,B01001H_030,B01001H_031,B01001I_001,B01001I_002,B01001I_003,B01001I_004,B01001I_005,B01001I_006,B01001I_007,B01001I_008,B01001I_009,B01001I_010,B01001I_011,B01001I_012,B01001I_013,B01001I_014,B01001I_015,B01001I_016,B01001I_017,B01001I_018,B01001I_019,B01001I_020,B01001I_021,B01001I_022,B01001I_023,B01001I_024,B01001I_025,B01001I_026,B01001I_027,B01001I_028,B01001I_029,B01001I_030,B01001I_031,B01002_001,B01002_002,B01002_003,B01002A_001,B01002A_002,B01002A_003,B01002B_001,B01002B_002,B01002B_003,B01002C_001,B01002C_002,B01002C_003,B01002D_001,B01002D_002,B01002D_003,B01002E_001,B01002E_002,B01002E_003,B01002F_001,B01002F_002,B01002F_003,B01002G_001,B01002G_002,B01002G_003,B01002H_001,B01002H_002,B01002H_003,B01002I_001,B01002I_002,B01002I_003,B01003_001
40,MS,28,,,,,04000US28,Mississippi,2989192,1450269,97181,106204,106059,62941,45322,25049,23083,62311,97476,94857,87979,92847,90844,97169,94068,34563,48605,30683,37861,47037,32933,20454,14743,1538923,95209,101694,102044,60903,44060,23358,24247,59844,98827,98436,93452,97112,96362,105089,103838,37604,53923,33156,43048,57472,43753,31537,33955,1764038,869835,51004,56001,55170,33288,23609,59597,54323,54291,108577,120097,115886,84837,41635,11520,894203,48700,52125,53131,31991,23335,54771,53341,53167,106576,119922,122001,94548,55514,25081,1121327,527520,40949,44978,45768,27413,20139,45922,38420,35610,64460,62580,58018,29096,11101,3066,593807,40605,44189,43807,27014,19333,48791,41618,41521,77670,76030,69044,36973,18592,8620,13072,6258,362,680,517,305,197,485,482,481,773,1076,661,152,83,4,6814,511,747,567,251,247,728,467,579,660,870,686,339,145,17,28562,12972,547,909,962,411,239,1625,1336,1226,2192,1553,1111,578,265,18,15590,722,896,1264,421,462,1135,1245,1478,2650,2201,1696,915,433,72,492,147,16,0,8,0,5,39,7,8,14,13,9,13,15,0,345,0,7,0,0,8,29,73,55,33,8,90,24,18,0,26334,16228,1348,995,920,644,472,1594,2014,2267,3191,1719,551,356,108,49,10106,1378,780,877,420,261,765,1167,848,1759,909,604,250,88,0,35367,17309,2955,2641,2714,880,661,1181,894,974,1619,975,1000,549,180,86,18058,3293,2950,2398,806,414,1230,916,788,1216,1511,1244,627,500,165,1710126,840254,48240,52292,52557,32083,22563,56782,51520,51495,103869,117449,114365,84203,41391,11445,869872,45822,48929,50953,30536,22395,52935,51417,51114,103111,117861,120791,93918,55099,24991,86704,48770,4220,4905,4119,1907,1667,4595,4971,5322,8372,4742,2378,1084,375,113,37934,4678,4626,3372,2098,1293,2938,3205,3149,5526,3250,2066,969,608,156,36.7,35.2,38.2,40.9,39.7,42.3,32.2,30.0,33.9,30.0,30.8,29.1,33.8,31.6,35.4,31.8,27.8,35.0,29.1,30.3,27.0,16.2,16.1,16.3,41.6,40.4,43.0,26.7,28.0,24.9,2989192
40,MS,28,,,,,04001US28,Mississippi -- Urban,1484918,704846,51906,55432,51780,30752,25074,12838,13395,34844,52364,50554,43403,43623,40119,44338,40735,14852,20672,13081,15365,19506,13591,8844,7778,780072,51814,51390,50926,30190,26006,13228,14632,35317,56254,53355,48580,47841,45734,49452,48974,16599,24867,15438,18488,26622,20231,15501,18633,739299,358664,20731,22769,19966,12759,11977,29399,26439,25384,43881,46400,44199,32195,16593,5972,380635,21110,20213,20270,12417,12361,27620,25510,23311,42997,47365,48920,39619,25143,13779,680743,313678,27561,29633,28655,16667,12208,28551,23216,22167,38218,34978,30073,14698,5389,1664,367065,26982,28097,27689,16587,12652,32782,27908,27508,49485,44380,38735,19569,9991,4700,3534,1765,39,113,80,89,44,142,191,126,217,415,187,95,23,4,1769,64,62,129,118,107,287,96,188,183,195,180,127,25,8,22674,10475,472,714,815,336,218,1381,1033,954,1776,1185,862,475,244,10,12199,437,683,930,346,415,918,1143,1100,2042,1781,1301,728,320,55,248,32,0,0,8,0,5,0,0,0,4,0,0,13,2,0,216,0,0,0,0,8,20,38,55,12,8,58,11,6,0,16348,9244,932,595,627,462,206,789,880,1348,1774,920,339,228,95,49,7104,1076,610,591,266,204,600,926,603,1050,533,414,204,27,0,22072,10988,2171,1608,1629,439,416,815,605,575,1156,559,599,248,89,79,11084,2145,1725,1317,456,259,950,633,590,652,924,832,290,220,91,704241,339614,18978,20413,18408,11936,11391,27466,24665,23426,40861,44663,43115,31926,16469,5897,364627,19233,18219,18973,11461,11758,26279,24045,21816,40742,46055,48166,39323,24827,13730,55288,30083,2759,3082,2602,1282,895,2878,2797,3487,5162,2861,1415,529,221,113,25205,3212,2897,2074,1377,845,2203,2405,2258,3524,2082,1286,535,405,102,34.1,32.4,35.7,39.4,37.2,41.3,30.1,27.7,32.1,34.1,37.3,32.1,33.4,31.2,35.3,31.8,38.8,31.8,27.9,30.4,26.0,16.3,15.6,16.9,40.5,38.3,42.4,26.3,27.9,25.0,1484918
40,MS,28,,,,,04043US28,Mississippi -- Rural,1504274,745423,45275,50772,54279,32189,20248,12211,9688,27467,45112,44303,44576,49224,50725,52831,53333,19711,27933,17602,22496,27531,19342,11610,6965,758851,43395,50304,51118,30713,18054,10130,9615,24527,42573,45081,44872,49271,50628,55637,54864,21005,29056,17718,24560,30850,23522,16036,15322,1024739,511171,30273,33232,35204,20529,11632,30198,27884,28907,64696,73697,71687,52642,25042,5548,513568,27590,31912,32861,19574,10974,27151,27831,29856,63579,72557,73081,54929,30371,11302,440584,213842,13388,15345,17113,10746,7931,17371,15204,13443,26242,27602,27945,14398,5712,1402,226742,13623,16092,16118,10427,6681,16009,13710,14013,28185,31650,30309,17404,8601,3920,9538,4493,323,567,437,216,153,343,291,355,556,661,474,57,60,0,5045,447,685,438,133,140,441,371,391,477,675,506,212,120,9,5888,2497,75,195,147,75,21,244,303,272,416,368,249,103,21,8,3391,285,213,334,75,47,217,102,378,608,420,395,187,113,17,244,115,16,0,0,0,0,39,7,8,10,13,9,0,13,0,129,0,7,0,0,0,9,35,0,21,0,32,13,12,0,9986,6984,416,400,293,182,266,805,1134,919,1417,799,212,128,13,0,3002,302,170,286,154,57,165,241,245,709,376,190,46,61,0,13295,6321,784,1033,1085,441,245,366,289,399,463,416,401,301,91,7,6974,1148,1225,1081,350,155,280,283,198,564,587,412,337,280,74,1005885,500640,29262,31879,34149,20147,11172,29316,26855,28069,63008,72786,71250,52277,24922,5548,505245,26589,30710,31980,19075,10637,26656,27372,29298,62369,71806,72625,54595,30272,11261,31416,18687,1461,1823,1517,625,772,1717,2174,1835,3210,1881,963,555,154,0,12729,1466,1729,1298,721,448,735,800,891,2002,1168,780,434,203,54,39.7,38.5,40.9,42.1,41.1,43.1,35.5,33.8,37.3,28.7,29.1,28.4,34.6,33.5,35.4,41.1,27.4,42.6,30.6,30.0,32.4,16.0,16.5,15.3,42.5,41.6,43.4,27.1,28.1,24.6,1504274
40,MS,28,,,,,040A0US28,Mississippi -- In metropolitan or micropolitan statistical area,2343015,1133643,76372,83856,82168,49245,36474,19252,19214,49680,77469,75521,68967,72758,70667,76034,73190,26013,37527,23614,28665,35627,24376,15532,11422,1209372,74213,79283,79714,47833,36102,19192,20163,48337,79996,79463,73467,77000,75585,82558,81727,28585,41955,25730,32559,43709,32747,23816,25638,1371597,676559,39702,44030,41854,25716,19490,47454,43187,42940,84935,93412,89559,64322,30993,8965,695038,37452,39583,41254,24870,18957,44393,42375,42323,83386,93421,94758,71825,41426,19015,888861,415969,32627,35808,36193,21707,15762,36832,30879,28774,50704,49133,44566,22256,8405,2323,472892,32121,35608,34410,21416,16092,40037,34345,33926,61979,60068,53941,28346,14190,6413,4864,2265,20,212,140,82,63,168,202,173,329,494,285,74,23,0,2599,57,177,152,144,88,354,170,306,203,388,304,189,59,8,26432,12060,492,858,864,407,239,1617,1126,1162,1906,1494,1083,557,237,18,14372,619,812,1074,408,421,1125,1145,1401,2381,2010,1621,874,412,69,322,46,0,0,0,0,5,0,0,0,14,3,9,13,2,0,276,0,7,0,0,0,20,65,55,21,8,71,11,18,0,21304,12260,1142,859,815,594,408,1025,1243,1646,2442,1310,378,243,106,49,9044,1257,665,805,378,232,736,1117,709,1470,856,487,244,88,0,29635,14484,2389,2089,2302,739,507,1050,832,826,1395,855,850,441,142,67,15151,2707,2431,2019,617,312,1027,779,743,1027,1392,1085,509,370,133,1327818,652266,37392,41255,39775,24672,18616,45073,41072,40693,80886,91157,88161,63796,30823,8895,675552,35466,37103,39484,23638,18256,42695,40859,40575,80623,91801,93755,71300,41066,18931,69791,38635,3507,3806,3396,1643,1396,3531,3472,4067,6900,3829,1906,781,293,108,31156,3522,3556,2856,1779,1000,2718,2737,2684,4478,2704,1702,779,504,137,36.3,34.8,37.7,40.6,39.2,41.9,31.8,29.7,33.5,34.6,37.1,33.6,33.9,31.6,35.4,41.5,63.1,31.8,28.3,30.1,26.6,16.8,16.8,16.9,41.2,40.0,42.6,26.6,27.9,25.2,2343015
40,MS,28,,,,,040C0US28,Mississippi -- In metropolitan statistical area,1365823,660830,44702,49277,48846,29256,19136,10521,9862,28227,46148,45444,41689,44337,42407,44973,42167,14438,21814,13097,16129,19975,13615,8246,6524,704993,43504,45562,48538,28621,18711,10085,10633,28348,48645,48332,44955,46230,45271,48850,46411,16529,24391,14866,18256,24000,18077,12710,13468,820777,404377,24008,26992,25639,15891,10112,25820,26290,26647,52242,57783,53429,36986,17366,5172,416400,22879,23831,25910,15415,9302,24967,26345,26442,51729,57949,56711,41439,23154,10327,487801,228407,17755,19231,20391,12201,8312,20418,17414,16232,29483,26998,23244,11338,4095,1295,259394,17473,18949,19786,12038,8622,21723,19978,19548,35838,32861,28154,14444,6956,3024,2910,1476,10,51,94,43,12,123,202,136,176,347,207,52,23,0,1434,47,56,78,106,71,173,89,152,159,218,143,115,19,8,19248,8546,353,666,740,325,163,910,764,823,1466,1089,664,405,165,13,10702,364,616,839,329,345,917,814,1020,1736,1484,1247,611,348,32,217,31,0,0,0,0,0,0,0,0,4,3,9,13,2,0,186,0,0,0,0,0,5,26,55,0,8,63,11,18,0,14673,8087,755,653,535,396,152,729,980,1038,1722,593,268,145,106,15,6586,932,515,580,322,168,538,848,475,1039,599,299,183,88,0,20197,9906,1821,1684,1447,400,385,610,498,568,933,567,598,262,104,29,10291,1809,1595,1345,411,203,743,545,640,684,1002,714,319,204,77,791444,388426,22457,25276,24320,15181,9571,24298,24817,25134,49752,56184,52511,36604,17207,5114,403018,21480,22225,24731,14587,8861,23694,25298,25277,49877,56808,55950,41105,22852,10273,47013,25374,2255,2467,2239,1122,769,2331,2528,2688,4584,2362,1130,574,267,58,21639,2594,2268,1999,1292,663,1961,1870,1787,3084,1926,1168,514,430,83,36.1,34.9,37.4,40.4,39.1,41.5,31.4,29.5,33.1,35.1,37.6,33.8,34.0,31.7,35.3,59.6,63.9,53.9,27.7,29.0,26.4,16.2,15.0,17.8,41.0,40.0,42.2,26.7,28.0,25.1,1365823
40,MS,28,,,,,040C1US28,Mississippi -- In metropolitan statistical area -- in principal city,357584,170019,13352,12437,11096,6687,6097,3694,3418,9962,14649,12046,10507,9512,9088,10638,10798,3234,4942,2994,3532,4257,2912,2029,2138,187565,12646,12450,11417,6633,6881,3462,4624,9428,15911,13210,11131,10823,10673,11496,12067,3909,5966,3485,3987,5548,4395,3464,3959,134451,67117,3825,3592,2485,1940,2306,6762,6009,4614,7692,8350,8714,6036,3224,1568,67334,3642,3291,2598,1667,2542,5799,5246,4108,7318,8088,9067,6659,4801,2508,207253,95192,8337,8138,8005,4557,3540,9465,7942,6841,11371,10694,9694,4479,1592,537,112061,7948,8395,8297,4761,4105,10883,9618,8421,13844,13339,12190,5953,2905,1402,957,581,10,49,22,5,0,81,78,24,71,133,91,11,6,0,376,12,6,4,14,0,58,0,102,18,88,9,58,0,7,4645,1881,91,68,49,58,68,220,189,163,357,176,243,111,78,10,2764,92,106,129,42,141,333,325,143,439,268,406,225,103,12,91,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,89,0,0,0,0,0,5,26,55,0,0,3,0,0,0,3775,1977,236,110,163,19,60,189,257,228,281,231,114,58,31,0,1798,335,111,117,19,28,161,447,97,191,97,149,19,27,0,6412,3269,853,480,372,108,123,357,174,176,247,142,118,88,8,23,3143,617,541,272,130,65,275,249,284,144,289,118,106,23,30,125239,61963,3321,3168,2321,1682,2076,6125,5380,4066,7015,7742,8334,6009,3184,1540,63276,3250,2797,2403,1480,2285,5326,4793,3629,6874,7728,8875,6630,4726,2480,13995,7393,660,594,410,282,295,877,878,815,988,913,479,95,79,28,6602,895,667,396,282,289,733,800,694,749,499,355,83,132,28,32.7,31.4,33.8,39.2,37.2,41.3,29.9,28.2,31.2,37.0,37.2,34.6,35.5,35.3,36.0,31.3,.,31.2,27.6,28.0,26.9,15.5,13.5,18.2,40.9,38.3,43.0,27.1,28.0,25.2,357584
40,MS,28,,,,,040C2US28,Mississippi -- In metropolitan statistical area -- not in principal city,1008239,490811,31350,36840,37750,22569,13039,6827,6444,18265,31499,33398,31182,34825,33319,34335,31369,11204,16872,10103,12597,15718,10703,6217,4386,517428,30858,33112,37121,21988,11830,6623,6009,18920,32734,35122,33824,35407,34598,37354,34344,12620,18425,11381,14269,18452,13682,9246,9509,686326,337260,20183,23400,23154,13951,7806,19058,20281,22033,44550,49433,44715,30950,14142,3604,349066,19237,20540,23312,13748,6760,19168,21099,22334,44411,49861,47644,34780,18353,7819,280548,133215,9418,11093,12386,7644,4772,10953,9472,9391,18112,16304,13550,6859,2503,758,147333,9525,10554,11489,7277,4517,10840,10360,11127,21994,19522,15964,8491,4051,1622,1953,895,0,2,72,38,12,42,124,112,105,214,116,41,17,0,1058,35,50,74,92,71,115,89,50,141,130,134,57,19,1,14603,6665,262,598,691,267,95,690,575,660,1109,913,421,294,87,3,7938,272,510,710,287,204,584,489,877,1297,1216,841,386,245,20,126,29,0,0,0,0,0,0,0,0,4,3,9,13,0,0,97,0,0,0,0,0,0,0,0,0,8,60,11,18,0,10898,6110,519,543,372,377,92,540,723,810,1441,362,154,87,75,15,4788,597,404,463,303,140,377,401,378,848,502,150,164,61,0,13785,6637,968,1204,1075,292,262,253,324,392,686,425,480,174,96,6,7148,1192,1054,1073,281,138,468,296,356,540,713,596,213,181,47,666205,326463,19136,22108,21999,13499,7495,18173,19437,21068,42737,48442,44177,30595,14023,3574,339742,18230,19428,22328,13107,6576,18368,20505,21648,43003,49080,47075,34475,18126,7793,33018,17981,1595,1873,1829,840,474,1454,1650,1873,3596,1449,651,479,188,30,15037,1699,1601,1603,1010,374,1228,1070,1093,2335,1427,813,431,298,55,37.4,36.1,38.6,40.6,39.6,41.5,32.7,30.5,34.2,35.0,38.7,31.1,33.2,31.1,35.1,61.7,63.8,61.6,27.9,29.2,25.7,16.6,15.7,17.6,41.1,40.2,42.1,26.4,28.0,25.0,1008239
40,MS,28,,,,,040E0US28,Mississippi -- In micropolitan statistical area,977192,472813,31670,34579,33322,19989,17338,8731,9352,21453,31321,30077,27278,28421,28260,31061,31023,11575,15713,10517,12536,15652,10761,7286,4898,504379,30709,33721,31176,19212,17391,9107,9530,19989,31351,31131,28512,30770,30314,33708,35316,12056,17564,10864,14303,19709,14670,11106,12170,550820,272182,15694,17038,16215,9825,9378,21634,16897,16293,32693,35629,36130,27336,13627,3793,278638,14573,15752,15344,9455,9655,19426,16030,15881,31657,35472,38047,30386,18272,8688,401060,187562,14872,16577,15802,9506,7450,16414,13465,12542,21221,22135,21322,10918,4310,1028,213498,14648,16659,14624,9378,7470,18314,14367,14378,26141,27207,25787,13902,7234,3389,1954,789,10,161,46,39,51,45,0,37,153,147,78,22,0,0,1165,10,121,74,38,17,181,81,154,44,170,161,74,40,0,7184,3514,139,192,124,82,76,707,362,339,440,405,419,152,72,5,3670,255,196,235,79,76,208,331,381,645,526,374,263,64,37,105,15,0,0,0,0,5,0,0,0,10,0,0,0,0,0,90,0,7,0,0,0,15,39,0,21,0,8,0,0,0,6631,4173,387,206,280,198,256,296,263,608,720,717,110,98,0,34,2458,325,150,225,56,64,198,269,234,431,257,188,61,0,0,9438,4578,568,405,855,339,122,440,334,258,462,288,252,179,38,38,4860,898,836,674,206,109,284,234,103,343,390,371,190,166,56,536374,263840,14935,15979,15455,9491,9045,20775,16255,15559,31134,34973,35650,27192,13616,3781,272534,13986,14878,14753,9051,9395,19001,15561,15298,30746,34993,37805,30195,18214,8658,22778,13261,1252,1339,1157,521,627,1200,944,1379,2316,1467,776,207,26,50,9517,928,1288,857,487,337,757,867,897,1394,778,534,265,74,54,36.5,34.8,38.2,40.8,39.2,42.6,32.2,29.9,34.1,33.5,35.2,33.2,33.6,31.1,35.6,28.6,.,28.5,31.2,31.8,26.8,17.7,20.0,15.5,41.5,39.9,43.1,26.5,27.5,25.6,977192
40,MS,28,,,,,040E1US28,Mississippi -- In micropolitan statistical area -- in principal city,369297,173224,12691,13745,12239,7813,5615,3366,4229,9007,13072,11700,9722,9187,8953,10720,10219,4001,5238,3858,4101,5137,3604,2657,2350,196073,13639,13267,11537,6750,5465,3554,4482,9771,13627,12609,11320,10927,11108,12480,13206,4181,6391,3936,4936,7254,5398,4611,5624,151058,73104,3580,3705,3199,2306,2172,7797,5698,4715,8117,8574,9125,7823,4500,1793,77954,3708,3660,3068,2076,2045,7495,5076,4147,7390,9114,10596,9125,6530,3924,207428,94883,8772,9610,8679,5269,3248,8256,6928,6304,10050,10591,9909,5089,1693,485,112545,9228,9087,7916,4518,3312,9833,8025,8074,14220,13895,12684,6704,3388,1661,503,210,0,32,0,10,17,11,0,17,27,67,7,22,0,0,293,0,0,16,0,0,106,18,29,7,70,36,5,6,0,4385,2131,99,160,79,55,30,292,255,262,253,208,304,78,56,0,2254,177,89,187,32,32,153,303,199,358,307,197,178,33,9,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,9,0,0,0,0,8,0,0,0,2154,1216,54,63,43,54,98,145,46,329,178,139,0,33,0,34,938,93,51,121,45,40,78,57,123,125,70,85,50,0,0,3752,1680,186,175,239,119,50,101,145,73,284,94,113,51,12,38,2072,433,380,229,79,36,133,148,37,147,132,172,64,52,30,147257,70837,3368,3325,2988,2251,2131,7598,5439,4388,7720,8507,9065,7776,4500,1781,76420,3533,3458,2979,2044,2013,7397,4906,3874,7205,8956,10557,9069,6505,3924,6801,3832,369,511,309,73,161,358,331,680,602,231,98,59,0,50,2969,306,412,221,70,79,281,287,416,323,244,154,111,41,24,34.3,32.1,36.3,42.0,39.4,45.4,30.4,27.4,32.8,33.8,43.4,30.7,32.3,31.5,32.9,21.9,.,21.9,31.5,31.7,26.7,18.8,22.8,14.9,42.9,40.5,46.1,26.6,25.7,27.2,369297
40,MS,28,,,,,040E2US28,Mississippi -- In micropolitan statistical area -- not in principal city,607895,299589,18979,20834,21083,12176,11723,5365,5123,12446,18249,18377,17556,19234,19307,20341,20804,7574,10475,6659,8435,10515,7157,4629,2548,308306,17070,20454,19639,12462,11926,5553,5048,10218,17724,18522,17192,19843,19206,21228,22110,7875,11173,6928,9367,12455,9272,6495,6546,399762,199078,12114,13333,13016,7519,7206,13837,11199,11578,24576,27055,27005,19513,9127,2000,200684,10865,12092,12276,7379,7610,11931,10954,11734,24267,26358,27451,21261,11742,4764,193632,92679,6100,6967,7123,4237,4202,8158,6537,6238,11171,11544,11413,5829,2617,543,100953,5420,7572,6708,4860,4158,8481,6342,6304,11921,13312,13103,7198,3846,1728,1451,579,10,129,46,29,34,34,0,20,126,80,71,0,0,0,872,10,121,58,38,17,75,63,125,37,100,125,69,34,0,2799,1383,40,32,45,27,46,415,107,77,187,197,115,74,16,5,1416,78,107,48,47,44,55,28,182,287,219,177,85,31,28,88,15,0,0,0,0,5,0,0,0,10,0,0,0,0,0,73,0,7,0,0,0,6,39,0,21,0,0,0,0,0,4477,2957,333,143,237,144,158,151,217,279,542,578,110,65,0,0,1520,232,99,104,11,24,120,212,111,306,187,103,11,0,0,5686,2898,382,230,616,220,72,339,189,185,178,194,139,128,26,0,2788,465,456,445,127,73,151,86,66,196,258,199,126,114,26,389117,193003,11567,12654,12467,7240,6914,13177,10816,11171,23414,26466,26585,19416,9116,2000,196114,10453,11420,11774,7007,7382,11604,10655,11424,23541,26037,27248,21126,11709,4734,15977,9429,883,828,848,448,466,842,613,699,1714,1236,678,148,26,0,6548,622,876,636,417,258,476,580,481,1071,534,380,154,33,30,38.0,36.6,39.5,40.4,39.1,41.7,34.0,32.6,35.5,33.2,30.8,33.5,35.2,27.3,37.8,28.6,.,28.6,30.6,32.0,26.9,17.1,18.0,15.8,41.0,39.8,42.4,26.5,28.0,24.7,607895
