SummaryLevel,State,StateFIPS,CountyFIPS,PlaceFIPS,CBSACode,CongressDistrict,GEOID,AreaName,B01001_001,B01001_002,B01001_003,B01001_004,B01001_005,B01001_006,B01001_007,B01001_008,B01001_009,B01001_010,B01001_011,B01001_012,B01001_013,B01001_014,B01001_015,B01001_016,B01001_017,B01001_018,B01001_019,B01001_020,B01001_021,B01001_022,B01001_023,B01001_024,B01001_025,B01001_026,B01001_027,B01001_028,B01001_029,B01001_030,B01001_031,B01001_032,B01001_033,B01001_034,B01001_035,B01001_036,B01001_037,B01001_038,B01001_039,B01001_040,B01001_041,B01001_042,B01001_043,B01001_044,B01001_045,B01001_046,B01001_047,B01001_048,B01001_049,B01001A_001,B01001A_002,B01001A_003,B01001A_004,B01001A_005,B01001A_006,B01001A_007,B01001A_008,B01001A_009,B01001A_010,B01001A_011,B01001A_012,B01001A_013,B01001A_014,B01001A_015,B01001A_016,B01001A_017,B01001A_018,B01001A_019,B01001A_020,B01001A_021,B01001A_022,B01001A_023,B01001A_024,B01001A_025,B01001A_026,B01001A_027,B01001A_028,B01001A_029,B01001A_030,B01001A_031,B01001B_001,B01001B_002,B01001B_003,B01001B_004,B01001B_005,B01001B_006,B01001B_007,B01001B_008,B01001B_009,B01001B_010,B01001B_011,B01001B_012,B01001B_013,B01001B_014,B01001B_015,B01001B_016,B01001B_017,B01001B_018,B01001B_019,B01001B_020,B01001B_021,B01001B_022,B01001B_023,B01001B_024,B01001B_025,B01001B_026,B01001B_027,B01001B_028,B01001B_029,B01001B_030,B01001B_031,B01001C_001,B01001C_002,B01001C_003,B01001C_004,B01001C_005,B01001C_006,B01001C_007,B01001C_008,B01001C_009,B01001C_010,B01001C_011,B01001C_012,B01001C_013,B01001C_014,B01001C_015,B01001C_016,B01001C_017,B01001C_018,B01001C_019,B01001C_020,B01001C_021,B01001C_022,B01001C_023,B01001C_024,B01001C_025,B01001C_026,B01001C_027,B01001C_028,B01001C_029,B01001C_030,B01001C_031,B01001D_001,B01001D_002,B01001D_003,B01001D_004,B01001D_005,B01001D_006,B01001D_007,B01001D_008,B01001D_009,B01001D_010,B01001D_011,B01001D_012,B01001D_013,B01001D_014,B01001D_015,B01001D_016,B01001D_017,B01001D_018,B01001D_019,B01001D_020,B01001D_021,B01001D_022,B01001D_023,B01001D_024,B01001D_025,B01001D_026,B01001D_027,B01001D_028,B01001D_029,B01001D_030,B01001D_031,B01001E_001,B01001E_002,B01001E_003,B01001E_004,B01001E_005,B01001E_006,B01001E_007,B01001E_008,B01001E_009,B01001E_010,B01001E_011,B01001E_012,B01001E_013,B01001E_014,B01001E_015,B01001E_016,B01001E_017,B01001E_018,B01001E_019,B01001E_020,B01001E_021,B01001E_022,B01001E_023,B01001E_024,B01001E_025,B01001E_026,B01001E_027,B01001E_028,B01001E_029,B01001E_030,B01001E_031,B01001F_001,B01001F_002,B01001F_003,B01001F_004,B01001F_005,B01001F_006,B01001F_007,B01001F_008,B01001F_009,B01001F_010,B01001F_011,B01001F_012,B01001F_013,B01001F_014,B01001F_015,B01001F_016,B01001F_017,B01001F_018,B01001F_019,B01001F_020,B01001F_021,B01001F_022,B01001F_023,B01001F_024,B01001F_025,B01001F_026,B01001F_027,B01001F_028,B01001F_029,B01001F_030,B01001F_031,B01001G_001,B01001G_002,B01001G_003,B01001G_004,B01001G_005,B01001G_006,B01001G_007,B01001G_008,B01001G_009,B01001G_010,B01001G_011,B01001G_012,B01001G_013,B01001G_014,B01001G_015,B01001G_016,B01001G_017,B01001G_018,B01001G_019,B01001G_020,B01001G_021,B01001G_022,B01001G_023,B01001G_024,B01001G_025,B01001G_026,B01001G_027,B01001G_028,B01001G_029,B01001G_030,B01001G_031,B01001H_001,B01001H_002,B01001H_003,B01001H_004,B01001H_005,B01001H_006,B01001H_007,B01001H_008,B01001H_009,B01001H_010,B01001H_011,B01001H_012,B01001H_013,B01001H_014,B01001H_015,B01001H_016,B01001H_017,B01001H_018,B01001H_019,B01001H_020,B01001H_021,B01001H_022,B01001H_023,B01001H_024,B01001H_025,B01001H_026,B01001H_027,B01001H_028,B01001H_029,B01001H_030,B01001H_031,B01001I_001,B01001I_002,B01001I_003,B01001I_004,B01001I_005,B01001I_006,B01001I_007,B01001I_008,B01001I_009,B01001I_010,B01001I_011,B01001I_012,B01001I_013,B01001I_014,B01001I_015,B01001I_016,B01001I_017,B01001I_018,B01001I_019,B01001I_020,B01001I_021,B01001I_022,B01001I_023,B01001I_024,B01001I_025,B01001I_026,B01001I_027,B01001I_028,B01001I_029,B01001I_030,B01001I_031,B01002_001,B01002_002,B01002_003,B01002A_001,B01002A_002,B01002A_003,B01002B_001,B01002B_002,B01002B_003,B01002C_001,B01002C_002,B01002C_003,B01002D_001,B01002D_002,B01002D_003,B01002E_001,B01002E_002,B01002E_003,B01002F_001,B01002F_002,B01002F_003,B01002G_001,B01002G_002,B01002G_003,B01002H_001,B01002H_002,B01002H_003,B01002I_001,B01002I_002,B01002I_003,B01003_001
40,ND,38,,,,,04000US38,North Dakota,736162,376979,26173,24885,21708,13364,11987,7317,7486,21767,30803,27649,23300,20463,21152,24998,24895,9441,12676,7176,8559,10972,8531,5843,5834,359183,25246,23173,20909,12259,10842,5933,6185,19321,25697,23654,20110,18499,20213,24135,24660,8593,11924,6623,8833,11999,9846,8904,11625,649730,331625,20984,19966,17860,10873,10293,31419,25894,23799,38701,41969,44377,25739,13994,5757,318105,20420,18739,17285,10496,9271,27331,21511,20622,34339,39812,42343,26216,18248,11472,14761,9016,787,587,630,180,398,1573,1418,930,1138,762,462,74,77,0,5745,813,445,423,337,362,716,884,436,458,509,271,86,5,0,38369,19058,2150,2231,1962,1306,644,1599,1327,1228,2120,2137,1440,649,232,33,19311,1980,2155,1572,869,656,1786,1454,1313,2220,2339,1763,770,345,89,9296,4449,202,317,149,136,199,788,626,657,605,360,249,136,12,13,4847,364,254,385,73,90,687,604,437,587,724,332,228,39,43,336,185,13,0,10,6,4,58,13,29,31,18,3,0,0,0,151,1,2,56,2,4,32,18,11,24,0,0,1,0,0,5691,3051,278,284,231,150,74,279,370,361,597,246,126,11,35,9,2640,204,424,245,73,143,248,205,220,355,306,179,25,13,0,17979,9595,1759,1500,866,713,375,854,1155,645,571,658,355,98,24,22,8384,1464,1154,943,409,316,639,1021,615,626,658,289,129,100,21,635834,324263,20137,19349,17332,10643,9879,30405,24969,23228,37568,41359,44056,25623,13984,5731,311571,19338,17962,16800,10242,8799,26430,20960,20289,33519,39459,42032,26102,18189,11450,22997,12169,1505,1242,939,518,569,1430,1566,1070,1825,864,438,122,46,35,10828,1651,1423,1040,448,713,1212,912,690,1262,695,515,158,87,22,35.2,34.1,36.5,37.3,36.1,38.6,25.2,26.5,23.6,25.5,24.0,26.8,28.9,27.8,29.7,23.4,27.1,20.5,27.0,27.5,24.5,18.7,17.8,19.5,37.7,36.5,39.3,23.0,24.6,20.6,736162
40,ND,38,,,,,04001US38,North Dakota -- Urban,445388,226934,16165,14268,11854,7176,8676,5697,5852,16355,22170,18621,14336,12067,12131,13544,13096,4860,6586,3594,4292,5240,4281,2927,3146,218454,15242,13285,11530,6613,8034,4728,4913,14669,18136,15629,12693,10676,11199,13421,13873,4553,6745,3400,4813,6721,5289,5031,7261,395870,200175,13089,11536,9733,5861,7668,24324,18616,15921,23486,23592,23366,12840,7043,3100,195695,12446,11064,9661,5775,6982,21544,15398,13762,20970,22280,23978,14489,10126,7220,12930,7711,731,533,566,134,302,1324,1347,825,904,606,326,42,71,0,5219,755,387,391,319,346,651,752,408,426,447,254,83,0,0,11174,5821,614,578,656,565,192,552,483,463,600,636,368,72,39,3,5353,428,509,256,168,255,755,416,387,720,743,479,124,94,19,8092,4000,193,305,136,108,194,698,518,624,528,338,220,113,12,13,4092,340,236,305,68,76,665,510,387,444,592,264,163,33,9,271,152,10,0,10,0,4,43,13,25,29,18,0,0,0,0,119,0,0,56,0,4,25,8,5,21,0,0,0,0,0,3882,2024,162,169,158,96,28,199,200,256,470,159,73,10,35,9,1858,168,328,187,32,93,150,153,171,270,209,84,13,0,0,13169,7051,1366,1147,595,412,288,764,993,507,386,326,189,49,8,21,6118,1105,761,674,251,278,520,899,509,518,349,112,62,67,13,386436,195149,12458,11153,9392,5779,7307,23543,17839,15533,22813,23259,23187,12764,7037,3085,191287,11690,10506,9376,5612,6601,20827,14999,13567,20448,22176,23758,14414,10109,7204,15420,8196,1023,771,622,243,440,1083,1214,762,1173,498,226,76,41,24,7224,1144,994,619,250,573,890,676,423,868,323,323,93,32,16,32.5,31.4,33.8,34.1,32.8,35.5,25.1,26.3,23.4,25.5,22.0,27.0,28.2,27.8,28.5,23.3,27.7,18.9,28.4,30.0,23.8,19.2,18.1,19.9,34.5,33.1,36.0,22.8,24.6,20.2,445388
40,ND,38,,,,,04043US38,North Dakota -- Rural,290774,150045,10008,10617,9854,6188,3311,1620,1634,5412,8633,9028,8964,8396,9021,11454,11799,4581,6090,3582,4267,5732,4250,2916,2688,140729,10004,9888,9379,5646,2808,1205,1272,4652,7561,8025,7417,7823,9014,10714,10787,4040,5179,3223,4020,5278,4557,3873,4364,253860,131450,7895,8430,8127,5012,2625,7095,7278,7878,15215,18377,21011,12899,6951,2657,122410,7974,7675,7624,4721,2289,5787,6113,6860,13369,17532,18365,11727,8122,4252,1831,1305,56,54,64,46,96,249,71,105,234,156,136,32,6,0,526,58,58,32,18,16,65,132,28,32,62,17,3,5,0,27195,13237,1536,1653,1306,741,452,1047,844,765,1520,1501,1072,577,193,30,13958,1552,1646,1316,701,401,1031,1038,926,1500,1596,1284,646,251,70,1204,449,9,12,13,28,5,90,108,33,77,22,29,23,0,0,755,24,18,80,5,14,22,94,50,143,132,68,65,6,34,65,33,3,0,0,6,0,15,0,4,2,0,3,0,0,0,32,1,2,0,2,0,7,10,6,3,0,0,1,0,0,1809,1027,116,115,73,54,46,80,170,105,127,87,53,1,0,0,782,36,96,58,41,50,98,52,49,85,97,95,12,13,0,4810,2544,393,353,271,301,87,90,162,138,185,332,166,49,16,1,2266,359,393,269,158,38,119,122,106,108,309,177,67,33,8,249398,129114,7679,8196,7940,4864,2572,6862,7130,7695,14755,18100,20869,12859,6947,2646,120284,7648,7456,7424,4630,2198,5603,5961,6722,13071,17283,18274,11688,8080,4246,7577,3973,482,471,317,275,129,347,352,308,652,366,212,46,5,11,3604,507,429,421,198,140,322,236,267,394,372,192,65,55,6,40.8,39.9,41.7,43.4,42.5,44.2,27.9,30.8,25.8,25.5,24.5,26.5,33.6,27.2,39.6,23.5,20.8,26.4,26.3,26.2,26.5,17.2,17.3,17.1,43.8,43.0,44.6,23.3,24.6,22.3,290774
40,ND,38,,,,,040A0US38,North Dakota -- In metropolitan or micropolitan statistical area,539393,276633,19625,18209,15479,9360,9624,6130,6360,17976,25359,22006,17703,15331,15229,17403,16734,6306,8464,4726,5502,6784,5274,3623,3426,262760,18863,16822,14812,8543,8842,5185,5369,15795,20729,18656,15587,13487,14484,17056,17176,5878,8157,4282,5897,7765,6223,5524,7628,483195,246303,16195,15117,13057,7778,8485,26601,21422,19003,29725,30063,30145,16569,8761,3382,236892,15865,14213,12501,7566,7726,23323,17653,16567,26491,28851,29732,17347,11483,7574,13750,8227,742,561,588,172,321,1371,1346,853,1017,701,413,65,77,0,5523,778,424,420,335,353,670,846,427,434,483,265,83,5,0,14774,7530,843,781,874,564,255,696,654,595,766,835,465,175,27,0,7244,572,753,513,256,292,886,601,510,873,923,634,259,144,28,8625,4221,185,298,128,121,194,758,619,629,589,336,209,130,12,13,4404,358,228,375,72,81,673,560,395,466,679,305,170,33,9,278,160,10,0,10,6,4,43,13,25,31,18,0,0,0,0,118,1,2,56,0,4,17,8,7,22,0,0,1,0,0,4205,2220,187,169,167,108,39,209,302,344,461,144,70,11,0,9,1985,168,348,200,37,93,202,170,180,272,197,98,17,3,0,14566,7972,1463,1283,655,611,326,788,1003,557,445,535,202,62,20,22,6594,1121,854,747,277,293,578,891,570,516,407,177,67,79,17,472519,240569,15535,14676,12641,7676,8124,25678,20568,18583,28882,29704,29886,16497,8751,3368,231950,15002,13651,12187,7391,7313,22594,17197,16353,25852,28663,29479,17258,11452,7558,17242,9216,1171,860,652,286,456,1253,1394,882,1338,510,308,73,10,23,8026,1284,1034,704,275,575,953,763,487,987,409,369,121,49,16,33.2,32.2,34.4,34.8,33.7,36.0,25.3,26.5,23.6,25.4,23.3,26.9,28.3,27.8,28.6,23.4,27.5,16.5,27.4,29.1,23.7,19.1,17.8,20.1,35.2,34.1,36.5,23.3,24.7,20.9,539393
40,ND,38,,,,,040C0US38,North Dakota -- In metropolitan statistical area,363037,183968,13009,12058,10169,6258,6654,3977,4792,12188,16566,14556,11885,10340,10299,11331,10844,3815,5924,3150,3855,4505,3239,2272,2282,179069,12465,11194,9572,5641,6500,4036,3876,11438,14051,13004,11089,8895,9975,11323,11751,4052,5621,2941,3893,5343,3915,3548,4946,323682,163064,10507,9978,8377,5079,5834,18366,13986,12725,19951,19789,19670,11151,5391,2260,160618,10295,9355,7949,4924,5687,17179,12055,11429,18125,19396,20229,11767,7322,4906,9723,5441,631,376,392,132,202,711,800,686,633,526,216,65,71,0,4282,640,317,383,301,306,481,462,402,310,399,245,36,0,0,11761,6176,702,642,787,443,235,547,575,505,635,581,388,112,24,0,5585,518,646,369,194,168,691,460,413,732,582,529,169,96,18,7055,3516,180,257,128,111,194,629,483,371,531,298,184,125,12,13,3539,293,172,355,54,41,571,464,298,424,455,263,132,8,9,109,91,0,0,0,0,4,43,13,17,0,14,0,0,0,0,18,0,0,0,0,4,11,0,2,0,0,0,1,0,0,1864,809,18,47,59,56,37,35,126,81,192,95,43,11,0,9,1055,119,206,74,12,74,82,15,160,73,164,63,13,0,0,8843,4871,971,758,426,437,148,626,583,171,283,327,82,46,13,0,3972,600,498,442,156,220,335,595,300,320,302,95,59,37,13,317627,159761,10114,9652,8198,5024,5690,17910,13390,12452,19569,19510,19519,11099,5381,2253,157866,9772,9057,7833,4858,5363,16823,11750,11298,17895,19276,20042,11712,7295,4892,9366,4868,568,530,269,160,203,601,878,412,617,378,173,53,10,16,4498,757,589,354,96,445,433,399,359,384,299,259,83,27,14,32.9,32.1,34.1,34.6,33.5,35.7,25.0,27.1,22.7,24.7,22.3,26.7,27.2,26.7,28.1,23.7,23.9,23.5,29.2,32.1,22.9,18.8,16.9,21.4,34.9,33.8,36.0,23.8,25.6,20.1,363037
40,ND,38,,,,,040C1US38,North Dakota -- In metropolitan statistical area -- in principal city,240762,121071,8116,7286,5688,3779,5124,3321,3881,9896,12095,9827,7292,6418,6294,7034,6572,2310,3755,2057,2200,2683,2064,1634,1745,119691,7832,6646,5771,3473,5213,3031,3111,9327,10193,8565,6868,5313,6113,6729,7540,2664,3814,1744,2475,3833,2858,2631,3947,212673,106626,6432,6045,4687,2988,4625,15051,10005,8385,12176,12092,12060,6750,3607,1723,106047,6086,5494,4545,2978,4527,13683,8630,7353,10994,11517,13125,7800,5397,3918,8092,4573,580,317,345,79,126,577,693,634,511,447,176,17,71,0,3519,558,213,347,277,274,382,370,373,204,306,204,11,0,0,5677,2776,376,231,204,233,112,313,419,238,287,193,135,35,0,0,2901,296,328,121,38,104,491,254,242,306,256,334,66,58,7,6175,3004,174,220,81,79,116,533,461,346,424,248,172,125,12,13,3171,258,152,330,24,28,567,440,263,342,381,240,129,8,9,96,81,0,0,0,0,4,33,13,17,0,14,0,0,0,0,15,0,0,0,0,4,11,0,0,0,0,0,0,0,0,1544,602,15,34,43,56,19,35,48,70,132,91,40,10,0,9,942,119,183,54,10,74,75,0,141,64,157,52,13,0,0,6505,3409,539,439,328,344,122,556,456,137,180,243,54,3,8,0,3096,515,276,374,146,202,260,499,193,271,225,63,33,26,13,208393,104408,6117,5787,4560,2942,4534,14773,9656,8177,12014,11907,11918,6706,3601,1716,103985,5613,5224,4476,2922,4304,13394,8415,7258,10869,11489,12986,7758,5373,3904,6981,3433,420,410,194,151,132,405,550,336,333,280,156,44,6,16,3548,693,522,244,83,344,358,276,268,272,195,195,60,24,14,31.7,30.7,33.0,33.1,31.9,34.8,24.9,27.5,21.0,24.9,23.6,26.2,27.3,27.2,27.5,23.8,27.3,.,30.3,33.3,22.3,19.8,18.8,20.9,33.6,32.1,35.3,22.2,25.0,19.5,240762
40,ND,38,,,,,040C2US38,North Dakota -- In metropolitan statistical area -- not in principal city,122275,62897,4893,4772,4481,2479,1530,656,911,2292,4471,4729,4593,3922,4005,4297,4272,1505,2169,1093,1655,1822,1175,638,537,59378,4633,4548,3801,2168,1287,1005,765,2111,3858,4439,4221,3582,3862,4594,4211,1388,1807,1197,1418,1510,1057,917,999,111009,56438,4075,3933,3690,2091,1209,3315,3981,4340,7775,7697,7610,4401,1784,537,54571,4209,3861,3404,1946,1160,3496,3425,4076,7131,7879,7104,3967,1925,988,1631,868,51,59,47,53,76,134,107,52,122,79,40,48,0,0,763,82,104,36,24,32,99,92,29,106,93,41,25,0,0,6084,3400,326,411,583,210,123,234,156,267,348,388,253,77,24,0,2684,222,318,248,156,64,200,206,171,426,326,195,103,38,11,880,512,6,37,47,32,78,96,22,25,107,50,12,0,0,0,368,35,20,25,30,13,4,24,35,82,74,23,3,0,0,13,10,0,0,0,0,0,10,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,2,0,0,0,1,0,0,320,207,3,13,16,0,18,0,78,11,60,4,3,1,0,0,113,0,23,20,2,0,7,15,19,9,7,11,0,0,0,2338,1462,432,319,98,93,26,70,127,34,103,84,28,43,5,0,876,85,222,68,10,18,75,96,107,49,77,32,26,11,0,109234,55353,3997,3865,3638,2082,1156,3137,3734,4275,7555,7603,7601,4393,1780,537,53881,4159,3833,3357,1936,1059,3429,3335,4040,7026,7787,7056,3954,1922,988,2385,1435,148,120,75,9,71,196,328,76,284,98,17,9,4,0,950,64,67,110,13,101,75,123,91,112,104,64,23,3,0,35.6,35.2,36.1,36.9,36.7,37.0,25.2,25.8,25.0,24.5,21.8,28.9,26.4,21.6,33.8,21.7,.,.,26.7,26.8,26.6,12.6,9.3,22.6,37.1,37.1,37.2,26.3,26.3,26.2,122275
40,ND,38,,,,,040E0US38,North Dakota -- In micropolitan statistical area,176356,92665,6616,6151,5310,3102,2970,2153,1568,5788,8793,7450,5818,4991,4930,6072,5890,2491,2540,1576,1647,2279,2035,1351,1144,83691,6398,5628,5240,2902,2342,1149,1493,4357,6678,5652,4498,4592,4509,5733,5425,1826,2536,1341,2004,2422,2308,1976,2682,159513,83239,5688,5139,4680,2699,2651,8235,7436,6278,9774,10274,10475,5418,3370,1122,76274,5570,4858,4552,2642,2039,6144,5598,5138,8366,9455,9503,5580,4161,2668,4027,2786,111,185,196,40,119,660,546,167,384,175,197,0,6,0,1241,138,107,37,34,47,189,384,25,124,84,20,47,5,0,3013,1354,141,139,87,121,20,149,79,90,131,254,77,63,3,0,1659,54,107,144,62,124,195,141,97,141,341,105,90,48,10,1570,705,5,41,0,10,0,129,136,258,58,38,25,5,0,0,865,65,56,20,18,40,102,96,97,42,224,42,38,25,0,169,69,10,0,10,6,0,0,0,8,31,4,0,0,0,0,100,1,2,56,0,0,6,8,5,22,0,0,0,0,0,2341,1411,169,122,108,52,2,174,176,263,269,49,27,0,0,0,930,49,142,126,25,19,120,155,20,199,33,35,4,3,0,5723,3101,492,525,229,174,178,162,420,386,162,208,120,16,7,22,2622,521,356,305,121,73,243,296,270,196,105,82,8,42,4,154892,80808,5421,5024,4443,2652,2434,7768,7178,6131,9313,10194,10367,5398,3370,1115,74084,5230,4594,4354,2533,1950,5771,5447,5055,7957,9387,9437,5546,4157,2666,7876,4348,603,330,383,126,253,652,516,470,721,132,135,20,0,7,3528,527,445,350,179,130,520,364,128,603,110,110,38,22,2,33.6,32.6,35.0,35.2,34.1,36.8,25.5,26.1,25.3,27.3,26.3,30.0,30.5,30.3,31.9,16.9,41.3,14.7,27.1,27.5,23.9,19.4,19.7,18.2,35.8,34.5,37.5,22.8,23.2,21.9,176356
40,ND,38,,,,,040E1US38,North Dakota -- In micropolitan statistical area -- in principal city,116510,60969,4302,3818,3179,2002,2147,1469,969,4164,6644,5335,3836,3367,3237,3722,3819,1544,1438,875,1001,1278,1331,762,730,55541,4095,3440,3203,1811,1730,933,1149,3276,4880,3811,2861,3196,2564,3682,3567,1039,1645,845,1334,1516,1490,1385,2089,103907,53679,3565,3019,2678,1730,1879,5687,5492,4374,6383,6435,6514,3121,2093,709,50228,3443,2911,2736,1649,1503,4756,4008,3511,5538,5624,6066,3607,2793,2083,2996,2125,100,174,160,22,88,481,527,42,257,162,112,0,0,0,871,90,71,15,15,22,103,304,8,92,84,20,47,0,0,1994,902,71,93,46,112,16,123,43,82,92,155,47,22,0,0,1092,27,50,86,25,73,144,83,74,111,301,68,8,36,6,1169,481,5,38,0,0,0,48,40,247,56,31,16,0,0,0,688,65,27,20,18,40,81,93,70,38,162,31,33,10,0,72,33,0,0,0,0,0,0,0,0,29,4,0,0,0,0,39,0,0,18,0,0,0,0,0,21,0,0,0,0,0,1930,1267,163,115,101,52,2,129,146,244,254,38,23,0,0,0,663,42,142,94,14,19,88,144,15,86,1,18,0,0,0,4442,2482,398,379,194,86,162,134,396,346,132,134,89,11,0,21,1960,428,239,234,90,73,186,248,133,171,74,48,0,36,0,100756,52135,3399,2928,2507,1699,1747,5463,5325,4298,5995,6388,6485,3106,2093,702,48621,3243,2656,2603,1562,1476,4451,3913,3472,5160,5606,6031,3574,2793,2081,5674,3188,439,286,305,99,156,353,378,380,633,85,52,15,0,7,2486,302,421,227,124,68,396,291,79,457,19,67,33,0,2,32.8,31.8,34.3,34.4,33.4,36.1,25.6,25.6,25.6,30.1,24.8,31.0,31.0,31.0,30.5,35.9,43.4,.,25.2,27.9,22.6,19.7,22.2,16.7,34.8,33.7,36.8,23.2,23.7,22.3,116510
40,ND,38,,,,,040E2US38,North Dakota -- In micropolitan statistical area -- not in principal city,59846,31696,2314,2333,2131,1100,823,684,599,1624,2149,2115,1982,1624,1693,2350,2071,947,1102,701,646,1001,704,589,414,28150,2303,2188,2037,1091,612,216,344,1081,1798,1841,1637,1396,1945,2051,1858,787,891,496,670,906,818,591,593,55606,29560,2123,2120,2002,969,772,2548,1944,1904,3391,3839,3961,2297,1277,413,26046,2127,1947,1816,993,536,1388,1590,1627,2828,3831,3437,1973,1368,585,1031,661,11,11,36,18,31,179,19,125,127,13,85,0,6,0,370,48,36,22,19,25,86,80,17,32,0,0,0,5,0,1019,452,70,46,41,9,4,26,36,8,39,99,30,41,3,0,567,27,57,58,37,51,51,58,23,30,40,37,82,12,4,401,224,0,3,0,10,0,81,96,11,2,7,9,5,0,0,177,0,29,0,0,0,21,3,27,4,62,11,5,15,0,97,36,10,0,10,6,0,0,0,8,2,0,0,0,0,0,61,1,2,38,0,0,6,8,5,1,0,0,0,0,0,411,144,6,7,7,0,0,45,30,19,15,11,4,0,0,0,267,7,0,32,11,0,32,11,5,113,32,17,4,3,0,1281,619,94,146,35,88,16,28,24,40,30,74,31,5,7,1,662,93,117,71,31,0,57,48,137,25,31,34,8,6,4,54136,28673,2022,2096,1936,953,687,2305,1853,1833,3318,3806,3882,2292,1277,413,25463,1987,1938,1751,971,474,1320,1534,1583,2797,3781,3406,1972,1364,585,2202,1160,164,44,78,27,97,299,138,90,88,47,83,5,0,0,1042,225,24,123,55,62,124,73,49,146,91,43,5,22,0,35.6,34.9,36.6,36.8,35.8,38.1,24.9,31.1,22.3,25.6,27.0,25.0,27.0,26.3,51.3,13.9,13.8,14.0,34.2,25.7,37.3,16.8,16.2,22.3,37.5,36.5,38.8,21.5,21.5,21.4,59846
