SummaryLevel,State,StateFIPS,CountyFIPS,PlaceFIPS,CBSACode,CongressDistrict,GEOID,AreaName,B01001_001,B01001_002,B01001_003,B01001_004,B01001_005,B01001_006,B01001_007,B01001_008,B01001_009,B01001_010,B01001_011,B01001_012,B01001_013,B01001_014,B01001_015,B01001_016,B01001_017,B01001_018,B01001_019,B01001_020,B01001_021,B01001_022,B01001_023,B01001_024,B01001_025,B01001_026,B01001_027,B01001_028,B01001_029,B01001_030,B01001_031,B01001_032,B01001_033,B01001_034,B01001_035,B01001_036,B01001_037,B01001_038,B01001_039,B01001_040,B01001_041,B01001_042,B01001_043,B01001_044,B01001_045,B01001_046,B01001_047,B01001_048,B01001_049,B01001A_001,B01001A_002,B01001A_003,B01001A_004,B01001A_005,B01001A_006,B01001A_007,B01001A_008,B01001A_009,B01001A_010,B01001A_011,B01001A_012,B01001A_013,B01001A_014,B01001A_015,B01001A_016,B01001A_017,B01001A_018,B01001A_019,B01001A_020,B01001A_021,B01001A_022,B01001A_023,B01001A_024,B01001A_025,B01001A_026,B01001A_027,B01001A_028,B01001A_029,B01001A_030,B01001A_031,B01001B_001,B01001B_002,B01001B_003,B01001B_004,B01001B_005,B01001B_006,B01001B_007,B01001B_008,B01001B_009,B01001B_010,B01001B_011,B01001B_012,B01001B_013,B01001B_014,B01001B_015,B01001B_016,B01001B_017,B01001B_018,B01001B_019,B01001B_020,B01001B_021,B01001B_022,B01001B_023,B01001B_024,B01001B_025,B01001B_026,B01001B_027,B01001B_028,B01001B_029,B01001B_030,B01001B_031,B01001C_001,B01001C_002,B01001C_003,B01001C_004,B01001C_005,B01001C_006,B01001C_007,B01001C_008,B01001C_009,B01001C_010,B01001C_011,B01001C_012,B01001C_013,B01001C_014,B01001C_015,B01001C_016,B01001C_017,B01001C_018,B01001C_019,B01001C_020,B01001C_021,B01001C_022,B01001C_023,B01001C_024,B01001C_025,B01001C_026,B01001C_027,B01001C_028,B01001C_029,B01001C_030,B01001C_031,B01001D_001,B01001D_002,B01001D_003,B01001D_004,B01001D_005,B01001D_006,B01001D_007,B01001D_008,B01001D_009,B01001D_010,B01001D_011,B01001D_012,B01001D_013,B01001D_014,B01001D_015,B01001D_016,B01001D_017,B01001D_018,B01001D_019,B01001D_020,B01001D_021,B01001D_022,B01001D_023,B01001D_024,B01001D_025,B01001D_026,B01001D_027,B01001D_028,B01001D_029,B01001D_030,B01001D_031,B01001E_001,B01001E_002,B01001E_003,B01001E_004,B01001E_005,B01001E_006,B01001E_007,B01001E_008,B01001E_009,B01001E_010,B01001E_011,B01001E_012,B01001E_013,B01001E_014,B01001E_015,B01001E_016,B01001E_017,B01001E_018,B01001E_019,B01001E_020,B01001E_021,B01001E_022,B01001E_023,B01001E_024,B01001E_025,B01001E_026,B01001E_027,B01001E_028,B01001E_029,B01001E_030,B01001E_031,B01001F_001,B01001F_002,B01001F_003,B01001F_004,B01001F_005,B01001F_006,B01001F_007,B01001F_008,B01001F_009,B01001F_010,B01001F_011,B01001F_012,B01001F_013,B01001F_014,B01001F_015,B01001F_016,B01001F_017,B01001F_018,B01001F_019,B01001F_020,B01001F_021,B01001F_022,B01001F_023,B01001F_024,B01001F_025,B01001F_026,B01001F_027,B01001F_028,B01001F_029,B01001F_030,B01001F_031,B01001G_001,B01001G_002,B01001G_003,B01001G_004,B01001G_005,B01001G_006,B01001G_007,B01001G_008,B01001G_009,B01001G_010,B01001G_011,B01001G_012,B01001G_013,B01001G_014,B01001G_015,B01001G_016,B01001G_017,B01001G_018,B01001G_019,B01001G_020,B01001G_021,B01001G_022,B01001G_023,B01001G_024,B01001G_025,B01001G_026,B01001G_027,B01001G_028,B01001G_029,B01001G_030,B01001G_031,B01001H_001,B01001H_002,B01001H_003,B01001H_004,B01001H_005,B01001H_006,B01001H_007,B01001H_008,B01001H_009,B01001H_010,B01001H_011,B01001H_012,B01001H_013,B01001H_014,B01001H_015,B01001H_016,B01001H_017,B01001H_018,B01001H_019,B01001H_020,B01001H_021,B01001H_022,B01001H_023,B01001H_024,B01001H_025,B01001H_026,B01001H_027,B01001H_028,B01001H_029,B01001H_030,B01001H_031,B01001I_001,B01001I_002,B01001I_003,B01001I_004,B01001I_005,B01001I_006,B01001I_007,B01001I_008,B01001I_009,B01001I_010,B01001I_011,B01001I_012,B01001I_013,B01001I_014,B01001I_015,B01001I_016,B01001I_017,B01001I_018,B01001I_019,B01001I_020,B01001I_021,B01001I_022,B01001I_023,B01001I_024,B01001I_025,B01001I_026,B01001I_027,B01001I_028,B01001I_029,B01001I_030,B01001I_031,B01002_001,B01002_002,B01002_003,B01002A_001,B01002A_002,B01002A_003,B01002B_001,B01002B_002,B01002B_003,B01002C_001,B01002C_002,B01002C_003,B01002D_001,B01002D_002,B01002D_003,B01002E_001,B01002E_002,B01002E_003,B01002F_001,B01002F_002,B01002F_003,B01002G_001,B01002G_002,B01002G_003,B01002H_001,B01002H_002,B01002H_003,B01002I_001,B01002I_002,B01002I_003,B01003_001
40,NH,33,,,,,04000US33,New Hampshire,1327503,656507,33049,37792,39211,26199,19451,9607,9711,26539,40633,38260,37653,41495,49130,54844,52996,18678,26010,16263,19359,23906,15658,10649,9414,670996,31627,36294,38162,24645,19827,9274,9451,24320,38019,37583,37913,42264,49814,56437,53673,20107,26450,16677,20743,26073,19154,14682,17807,1243594,614151,29677,34250,35879,24235,17641,41895,37049,35126,72332,98711,94265,58076,25773,9242,629443,28374,32267,34328,22552,17846,39706,35020,34602,74071,101129,97034,61844,33195,17475,17483,9803,621,556,633,391,424,1080,949,664,1685,1404,808,434,115,39,7680,463,717,806,464,406,722,582,574,800,1088,657,297,91,13,2085,1024,17,36,36,84,2,52,98,58,150,168,281,17,13,12,1061,62,82,88,3,23,94,30,51,139,237,184,50,8,10,32094,14923,919,1067,963,604,488,1435,1201,1374,2812,2052,1228,515,189,76,17171,917,1173,1191,719,669,1420,1348,1566,3217,2243,1619,686,330,73,229,103,0,0,0,0,0,15,0,20,54,0,10,4,0,0,126,0,10,0,0,19,10,0,0,9,25,35,18,0,0,7112,3861,328,215,215,150,155,469,393,259,832,486,178,181,0,0,3251,213,359,271,189,217,192,226,265,459,514,194,85,13,54,24906,12642,1487,1668,1485,735,741,911,943,759,1283,1153,914,301,217,45,12264,1598,1686,1478,718,647,901,813,525,1482,1015,507,513,199,182,1211271,597603,28078,32292,34563,23307,16894,40240,35787,33712,70184,96959,93237,57613,25573,9164,613668,26823,30795,33089,21817,17269,38097,33613,33359,71914,99482,95749,61274,33001,17386,43500,22106,1972,2379,1794,1215,954,2381,1839,1799,3121,2395,1325,621,226,85,21394,2085,2029,2097,1109,857,1964,1716,1620,2932,2359,1578,684,200,164,42.4,41.3,43.5,43.5,42.4,44.5,29.8,31.7,26.6,41.6,42.6,41.4,33.0,32.4,33.6,42.4,36.9,49.5,29.6,30.1,28.8,20.5,21.1,20.0,44.0,43.0,45.0,26.3,25.8,26.7,1327503
40,NH,33,,,,,04001US33,New Hampshire -- Urban,799698,392887,20431,23061,22674,15527,13007,6673,6706,18600,28342,25336,23479,24698,28634,31560,28971,9763,14178,8673,9920,12283,8528,5943,5900,406811,19708,22155,21824,14393,13547,6649,6352,17287,26655,24873,23989,24465,29249,32404,29435,11028,14857,9473,11766,14309,11630,9023,11740,733460,359089,17668,20246,20309,14117,11537,28603,25304,22700,42688,56034,50277,29723,14094,5789,374371,17065,19101,19128,12841,12028,27508,24038,22284,43589,57894,52807,34440,20155,11493,14444,7881,574,508,478,322,314,916,769,502,1221,1189,611,355,93,29,6563,414,614,587,418,328,646,530,550,680,872,572,258,88,6,1377,691,14,32,9,48,0,51,98,52,94,119,174,0,0,0,686,57,71,56,0,23,91,27,23,72,125,116,12,8,5,27307,13094,843,906,762,476,446,1233,1076,1216,2587,1798,1085,449,158,59,14213,841,942,880,532,510,1282,1272,1354,2653,1726,1353,522,279,67,152,64,0,0,0,0,0,15,0,20,19,0,10,0,0,0,88,0,10,0,0,19,0,0,0,0,24,35,0,0,0,5860,3207,307,167,138,92,149,434,331,210,673,405,135,166,0,0,2653,197,278,250,145,165,147,199,258,407,435,75,58,13,26,17098,8861,1025,1202,978,472,561,727,764,636,895,649,620,183,126,23,8237,1134,1139,923,457,474,614,589,404,1053,577,362,258,110,143,707024,345371,16344,18530,19257,13393,10951,27212,24201,21492,40820,54667,49438,29443,13912,5711,361653,15700,17930,18128,12205,11626,26181,22809,21287,41847,56637,51896,33976,20027,11404,35698,18225,1624,2095,1392,935,763,2005,1578,1529,2587,1906,1109,429,195,78,17473,1845,1607,1773,950,654,1630,1497,1351,2432,1829,1090,545,134,136,39.9,38.4,41.3,41.2,39.6,42.8,29.5,30.4,26.9,35.5,36.5,31.8,33.1,33.0,33.1,36.6,34.9,49.5,29.0,29.8,28.4,20.5,21.1,20.0,42.0,40.4,43.6,25.9,25.7,26.1,799698
40,NH,33,,,,,04043US33,New Hampshire -- Rural,527805,263620,12618,14731,16537,10672,6444,2934,3005,7939,12291,12924,14174,16797,20496,23284,24025,8915,11832,7590,9439,11623,7130,4706,3514,264185,11919,14139,16338,10252,6280,2625,3099,7033,11364,12710,13924,17799,20565,24033,24238,9079,11593,7204,8977,11764,7524,5659,6067,510134,255062,12009,14004,15570,10118,6104,13292,11745,12426,29644,42677,43988,28353,11679,3453,255072,11309,13166,15200,9711,5818,12198,10982,12318,30482,43235,44227,27404,13040,5982,3039,1922,47,48,155,69,110,164,180,162,464,215,197,79,22,10,1117,49,103,219,46,78,76,52,24,120,216,85,39,3,7,708,333,3,4,27,36,2,1,0,6,56,49,107,17,13,12,375,5,11,32,3,0,3,3,28,67,112,68,38,0,5,4787,1829,76,161,201,128,42,202,125,158,225,254,143,66,31,17,2958,76,231,311,187,159,138,76,212,564,517,266,164,51,6,77,39,0,0,0,0,0,0,0,0,35,0,0,4,0,0,38,0,0,0,0,0,10,0,0,9,1,0,18,0,0,1252,654,21,48,77,58,6,35,62,49,159,81,43,15,0,0,598,16,81,21,44,52,45,27,7,52,79,119,27,0,28,7808,3781,462,466,507,263,180,184,179,123,388,504,294,118,91,22,4027,464,547,555,261,173,287,224,121,429,438,145,255,89,39,504247,252232,11734,13762,15306,9914,5943,13028,11586,12220,29364,42292,43799,28170,11661,3453,252015,11123,12865,14961,9612,5643,11916,10804,12072,30067,42845,43853,27298,12974,5982,7802,3881,348,284,402,280,191,376,261,270,534,489,216,192,31,7,3921,240,422,324,159,203,334,219,269,500,530,488,139,66,28,45.7,45.2,46.2,46.2,45.8,46.7,33.3,35.2,22.4,50.1,51.7,46.5,32.9,29.4,35.6,42.7,42.7,44.0,33.5,31.9,35.4,20.3,20.8,20.2,46.4,46.0,46.9,28.3,26.2,30.6,527805
40,NH,33,,,,,040A0US33,New Hampshire -- In metropolitan or micropolitan statistical area,1280087,632854,32125,36562,38092,25282,18984,9428,9289,25974,39642,37201,36596,40212,47490,52897,50814,17671,24912,15482,18103,22458,14667,10151,8822,647233,30708,35399,36944,23890,19446,9097,9208,23700,37072,36587,36919,40790,48164,54329,51322,19151,25292,15798,19577,24739,18249,13883,16969,1197460,591211,28805,33045,34806,23362,17192,40774,36072,34127,70109,95318,90041,54605,24305,8650,606249,27509,31422,33132,21811,17472,38694,34081,33606,71734,97489,92632,58533,31497,16637,17313,9684,621,556,626,372,410,1080,937,635,1662,1389,808,434,115,39,7629,463,712,805,456,406,720,582,574,784,1075,651,297,91,13,2024,1010,17,36,32,84,2,52,98,58,150,158,281,17,13,12,1014,62,82,88,3,23,94,30,51,139,190,184,50,8,10,31775,14776,919,1067,955,591,488,1435,1201,1343,2812,1981,1216,503,189,76,16999,917,1151,1173,713,669,1407,1348,1566,3127,2235,1604,686,330,73,220,103,0,0,0,0,0,15,0,20,54,0,10,4,0,0,117,0,10,0,0,19,10,0,0,0,25,35,18,0,0,7089,3846,328,215,215,150,155,469,393,259,817,486,178,181,0,0,3243,213,359,271,189,217,192,226,265,458,514,194,78,13,54,24206,12224,1435,1643,1458,723,737,866,941,759,1204,1055,863,299,196,45,11982,1544,1663,1475,718,640,888,805,525,1467,965,465,452,193,182,1165672,574975,27209,31121,33507,22498,16453,39185,34823,32717,67998,93566,89038,54183,24105,8572,590697,25958,29980,31899,21076,16895,37105,32674,32363,69628,95888,91408,57972,31303,16548,42855,21738,1969,2344,1777,1151,946,2315,1826,1795,3080,2367,1281,580,222,85,21117,2045,1999,2091,1109,857,1942,1716,1620,2880,2302,1517,675,200,164,42.1,40.9,43.1,43.2,42.0,44.2,29.8,31.9,26.6,40.9,42.1,38.2,32.9,32.3,33.5,42.6,36.9,49.7,29.5,30.0,28.8,20.2,20.6,19.8,43.7,42.6,44.7,26.2,25.8,26.6,1280087
40,NH,33,,,,,040C0US33,New Hampshire -- In metropolitan statistical area,831226,411149,21804,24827,25523,16980,11737,5532,5899,17146,26418,24781,24149,27199,31730,35327,32976,10856,14995,9651,10895,12896,8927,5866,5035,420077,20601,24212,24473,16147,11369,5730,5681,16202,24769,24462,24957,27302,32501,35988,32351,11614,15812,9700,12388,14361,11319,8432,9706,770696,380652,19099,22044,23139,15538,10658,26180,23726,22503,46384,63270,56440,32336,14419,4916,390044,18259,21263,21587,14630,10232,25490,22514,22166,47608,64739,57536,35257,19295,9468,12963,6887,498,511,462,265,213,626,736,405,1072,1000,620,366,93,20,6076,365,600,651,381,306,493,477,423,677,832,492,278,88,13,849,510,14,32,9,52,2,33,7,40,101,130,90,0,0,0,339,36,0,56,0,1,16,18,23,29,103,33,16,8,0,24430,11525,743,913,836,456,277,863,904,1032,2400,1507,958,441,119,76,12905,724,936,853,513,308,866,1087,1213,2484,1738,1276,566,274,67,73,44,0,0,0,0,0,15,0,20,9,0,0,0,0,0,29,0,10,0,0,0,0,0,0,0,7,12,0,0,0,5576,2966,307,146,112,108,136,291,304,225,620,406,145,166,0,0,2610,88,256,238,134,182,175,199,242,376,477,123,74,13,33,16639,8565,1143,1181,965,561,451,569,741,556,762,744,574,133,162,23,8074,1129,1147,1088,489,340,573,474,395,1085,593,305,258,73,125,744714,367059,17698,20444,21974,14804,10069,24954,22619,21301,44628,61862,55645,31998,14225,4838,377655,16889,20079,20573,14007,9967,24360,21296,21142,45892,63441,56668,34796,19166,9379,34727,17770,1709,1988,1436,956,755,1719,1542,1512,2443,1908,1030,487,207,78,16957,1693,1588,1723,892,534,1458,1487,1350,2389,1898,1094,573,135,143,41.2,40.1,42.2,42.3,41.2,43.4,29.7,31.2,27.0,40.3,40.2,41.4,34.4,33.8,34.8,34.6,34.4,45.6,31.1,31.5,30.8,19.5,19.9,19.1,43.0,41.9,44.0,26.5,25.8,27.0,831226
40,NH,33,,,,,040C1US33,New Hampshire -- In metropolitan statistical area -- in principal city,197510,98258,5773,6256,4862,3390,2306,1261,1657,5048,8832,7635,6883,6273,6929,7210,7303,2172,3279,1714,2244,2576,2001,1255,1399,99252,5676,5677,4791,3453,2339,1348,1157,4815,8199,7169,6505,5444,7232,7120,6804,2661,3374,1992,2667,3255,2602,2162,2810,168950,83977,4656,4912,3942,2671,1990,6588,7436,6339,10863,12278,11676,6144,3111,1371,84973,4456,4335,3593,2627,1848,6243,7005,6015,9853,12670,11757,7292,4526,2753,8132,4172,333,309,257,184,107,462,325,381,584,681,341,170,18,20,3960,350,373,341,288,214,308,314,290,504,456,272,163,81,6,278,189,3,0,9,35,0,19,7,0,37,67,12,0,0,0,89,0,0,7,0,1,0,8,0,9,56,0,0,8,0,11700,5638,331,457,333,212,80,446,689,625,1053,742,449,125,91,5,6062,378,449,361,236,81,482,658,655,991,707,635,294,124,11,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,10,0,0,0,0,0,0,0,7,12,0,0,0,2624,1363,92,59,35,82,22,204,178,72,286,208,44,81,0,0,1261,32,88,90,111,111,78,122,68,163,300,41,37,13,7,5797,2919,358,519,286,206,107,247,197,218,333,163,232,14,36,3,2878,460,422,399,191,84,209,92,141,429,156,122,128,12,33,153397,75778,3770,3753,3230,2285,1725,5808,6729,5618,9841,11452,11301,6020,2953,1293,77619,3574,3617,3019,2351,1707,5454,6246,5340,8970,11930,11219,7038,4446,2708,20492,10476,1045,1358,811,514,314,1103,993,891,1397,1115,510,176,171,78,10016,1143,911,989,512,331,887,895,791,1284,1141,659,314,86,73,37.5,36.4,38.7,39.4,38.0,41.3,29.4,30.9,26.4,45.3,35.6,53.3,31.9,32.0,31.7,45.6,.,45.6,30.2,30.9,29.0,19.0,19.8,17.1,41.5,39.8,43.4,25.9,25.4,26.4,197510
40,NH,33,,,,,040C2US33,New Hampshire -- In metropolitan statistical area -- not in principal city,633716,312891,16031,18571,20661,13590,9431,4271,4242,12098,17586,17146,17266,20926,24801,28117,25673,8684,11716,7937,8651,10320,6926,4611,3636,320825,14925,18535,19682,12694,9030,4382,4524,11387,16570,17293,18452,21858,25269,28868,25547,8953,12438,7708,9721,11106,8717,6270,6896,601746,296675,14443,17132,19197,12867,8668,19592,16290,16164,35521,50992,44764,26192,11308,3545,305071,13803,16928,17994,12003,8384,19247,15509,16151,37755,52069,45779,27965,14769,6715,4831,2715,165,202,205,81,106,164,411,24,488,319,279,196,75,0,2116,15,227,310,93,92,185,163,133,173,376,220,115,7,7,571,321,11,32,0,17,2,14,0,40,64,63,78,0,0,0,250,36,0,49,0,0,16,10,23,20,47,33,16,0,0,12730,5887,412,456,503,244,197,417,215,407,1347,765,509,316,28,71,6843,346,487,492,277,227,384,429,558,1493,1031,641,272,150,56,44,44,0,0,0,0,0,15,0,20,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2952,1603,215,87,77,26,114,87,126,153,334,198,101,85,0,0,1349,56,168,148,23,71,97,77,174,213,177,82,37,0,26,10842,5646,785,662,679,355,344,322,544,338,429,581,342,119,126,20,5196,669,725,689,298,256,364,382,254,656,437,183,130,61,92,591317,291281,13928,16691,18744,12519,8344,19146,15890,15683,34787,50410,44344,25978,11272,3545,300036,13315,16462,17554,11656,8260,18906,15050,15802,36922,51511,45449,27758,14720,6671,14235,7294,664,630,625,442,441,616,549,621,1046,793,520,311,36,0,6941,550,677,734,380,203,571,592,559,1105,757,435,259,49,70,42.2,41.4,43.1,43.1,42.1,43.9,30.0,34.8,29.6,40.0,40.8,31.6,35.8,35.7,36.0,34.4,34.4,.,31.4,31.6,31.3,19.8,20.0,19.7,43.4,42.5,44.1,27.6,26.7,28.0,633716
40,NH,33,,,,,040E0US33,New Hampshire -- In micropolitan statistical area,448861,221705,10321,11735,12569,8302,7247,3896,3390,8828,13224,12420,12447,13013,15760,17570,17838,6815,9917,5831,7208,9562,5740,4285,3787,227156,10107,11187,12471,7743,8077,3367,3527,7498,12303,12125,11962,13488,15663,18341,18971,7537,9480,6098,7189,10378,6930,5451,7263,426764,210559,9706,11001,11667,7824,6534,14594,12346,11624,23725,32048,33601,22269,9886,3734,216205,9250,10159,11545,7181,7240,13204,11567,11440,24126,32750,35096,23276,12202,7169,4350,2797,123,45,164,107,197,454,201,230,590,389,188,68,22,19,1553,98,112,154,75,100,227,105,151,107,243,159,19,3,0,1175,500,3,4,23,32,0,19,91,18,49,28,191,17,13,12,675,26,82,32,3,22,78,12,28,110,87,151,34,0,10,7345,3251,176,154,119,135,211,572,297,311,412,474,258,62,70,0,4094,193,215,320,200,361,541,261,353,643,497,328,120,56,6,147,59,0,0,0,0,0,0,0,0,45,0,10,4,0,0,88,0,0,0,0,19,10,0,0,0,18,23,18,0,0,1513,880,21,69,103,42,19,178,89,34,197,80,33,15,0,0,633,125,103,33,55,35,17,27,23,82,37,71,4,0,21,7567,3659,292,462,493,162,286,297,200,203,442,311,289,166,34,22,3908,415,516,387,229,300,315,331,130,382,372,160,194,120,57,420958,207916,9511,10677,11533,7694,6384,14231,12204,11416,23370,31704,33393,22185,9880,3734,213042,9069,9901,11326,7069,6928,12745,11378,11221,23736,32447,34740,23176,12137,7169,8128,3968,260,356,341,195,191,596,284,283,637,459,251,93,15,7,4160,352,411,368,217,323,484,229,270,491,404,423,102,65,21,43.8,42.7,44.9,44.8,43.7,45.9,30.2,32.5,25.2,41.5,50.3,36.9,29.2,29.3,29.0,43.0,42.3,49.9,23.9,25.7,18.0,21.4,22.6,20.8,45.0,43.9,46.2,24.9,25.7,24.4,448861
40,NH,33,,,,,040E1US33,New Hampshire -- In micropolitan statistical area -- in principal city,119046,58480,2918,3196,2938,2084,1684,906,884,2852,4853,4184,3772,3411,4168,4530,4290,1548,2111,1187,1585,1993,1279,946,1161,60566,3057,2908,3013,1926,2551,762,1147,2623,4137,4199,3091,3447,3811,4534,3910,1847,2129,1467,1544,2370,1864,1635,2594,109952,53590,2558,2890,2651,1927,1588,4255,4368,3693,6054,8095,7531,4664,2164,1152,56362,2535,2425,2765,1757,2319,4175,3824,3837,5933,7865,7628,5313,3422,2564,2099,1369,92,33,84,50,19,95,126,164,400,221,44,25,7,9,730,21,68,73,27,39,84,51,87,48,130,92,10,0,0,313,186,0,0,0,0,0,0,85,12,12,5,72,0,0,0,127,0,78,0,0,12,21,0,0,0,0,11,0,0,5,3328,1544,159,66,32,48,18,105,135,221,265,283,168,0,44,0,1784,183,85,77,66,75,188,116,201,413,253,92,15,20,0,46,29,0,0,0,0,0,0,0,0,19,0,10,0,0,0,17,0,0,0,0,0,0,0,0,0,17,0,0,0,0,603,367,9,38,13,1,0,80,52,9,144,12,0,9,0,0,236,109,44,0,18,0,0,0,18,27,0,20,0,0,0,2705,1395,100,169,158,58,59,107,87,85,289,82,124,67,10,0,1310,209,208,98,58,106,64,146,56,117,80,43,43,57,25,108115,52567,2489,2734,2609,1860,1574,4158,4308,3520,5914,7964,7479,4642,2164,1152,55548,2490,2357,2709,1757,2266,4128,3775,3726,5750,7798,7516,5304,3408,2564,2745,1523,111,156,77,88,14,148,123,216,337,154,68,31,0,0,1222,181,120,119,27,53,52,49,141,210,115,132,9,14,0,39.9,38.7,41.3,41.4,39.6,43.1,33.5,35.2,31.3,29.5,34.7,8.8,33.6,34.6,32.3,49.2,.,.,23.8,26.9,7.2,23.6,28.4,19.0,41.8,40.0,43.3,30.7,31.2,30.2,119046
40,NH,33,,,,,040E2US33,New Hampshire -- In micropolitan statistical area -- not in principal city,329815,163225,7403,8539,9631,6218,5563,2990,2506,5976,8371,8236,8675,9602,11592,13040,13548,5267,7806,4644,5623,7569,4461,3339,2626,166590,7050,8279,9458,5817,5526,2605,2380,4875,8166,7926,8871,10041,11852,13807,15061,5690,7351,4631,5645,8008,5066,3816,4669,316812,156969,7148,8111,9016,5897,4946,10339,7978,7931,17671,23953,26070,17605,7722,2582,159843,6715,7734,8780,5424,4921,9029,7743,7603,18193,24885,27468,17963,8780,4605,2251,1428,31,12,80,57,178,359,75,66,190,168,144,43,15,10,823,77,44,81,48,61,143,54,64,59,113,67,9,3,0,862,314,3,4,23,32,0,19,6,6,37,23,119,17,13,12,548,26,4,32,3,10,57,12,28,110,87,140,34,0,5,4017,1707,17,88,87,87,193,467,162,90,147,191,90,62,26,0,2310,10,130,243,134,286,353,145,152,230,244,236,105,36,6,101,30,0,0,0,0,0,0,0,0,26,0,0,4,0,0,71,0,0,0,0,19,10,0,0,0,1,23,18,0,0,910,513,12,31,90,41,19,98,37,25,53,68,33,6,0,0,397,16,59,33,37,35,17,27,5,55,37,51,4,0,21,4862,2264,192,293,335,104,227,190,113,118,153,229,165,99,24,22,2598,206,308,289,171,194,251,185,74,265,292,117,151,63,32,312843,155349,7022,7943,8924,5834,4810,10073,7896,7896,17456,23740,25914,17543,7716,2582,157494,6579,7544,8617,5312,4662,8617,7603,7495,17986,24649,27224,17872,8729,4605,5383,2445,149,200,264,107,177,448,161,67,300,305,183,62,15,7,2938,171,291,249,190,270,432,180,129,281,289,291,93,51,21,45.0,44.1,46.1,45.8,44.8,46.7,23.3,23.9,21.7,50.4,56.2,42.5,23.8,22.6,25.0,42.8,42.5,61.2,24.2,21.9,26.3,21.0,19.8,21.4,46.1,44.9,47.0,23.4,22.9,23.7,329815
