SummaryLevel,State,StateFIPS,CountyFIPS,PlaceFIPS,CBSACode,CongressDistrict,GEOID,AreaName,B01001_001,B01001_002,B01001_003,B01001_004,B01001_005,B01001_006,B01001_007,B01001_008,B01001_009,B01001_010,B01001_011,B01001_012,B01001_013,B01001_014,B01001_015,B01001_016,B01001_017,B01001_018,B01001_019,B01001_020,B01001_021,B01001_022,B01001_023,B01001_024,B01001_025,B01001_026,B01001_027,B01001_028,B01001_029,B01001_030,B01001_031,B01001_032,B01001_033,B01001_034,B01001_035,B01001_036,B01001_037,B01001_038,B01001_039,B01001_040,B01001_041,B01001_042,B01001_043,B01001_044,B01001_045,B01001_046,B01001_047,B01001_048,B01001_049,B01001A_001,B01001A_002,B01001A_003,B01001A_004,B01001A_005,B01001A_006,B01001A_007,B01001A_008,B01001A_009,B01001A_010,B01001A_011,B01001A_012,B01001A_013,B01001A_014,B01001A_015,B01001A_016,B01001A_017,B01001A_018,B01001A_019,B01001A_020,B01001A_021,B01001A_022,B01001A_023,B01001A_024,B01001A_025,B01001A_026,B01001A_027,B01001A_028,B01001A_029,B01001A_030,B01001A_031,B01001B_001,B01001B_002,B01001B_003,B01001B_004,B01001B_005,B01001B_006,B01001B_007,B01001B_008,B01001B_009,B01001B_010,B01001B_011,B01001B_012,B01001B_013,B01001B_014,B01001B_015,B01001B_016,B01001B_017,B01001B_018,B01001B_019,B01001B_020,B01001B_021,B01001B_022,B01001B_023,B01001B_024,B01001B_025,B01001B_026,B01001B_027,B01001B_028,B01001B_029,B01001B_030,B01001B_031,B01001C_001,B01001C_002,B01001C_003,B01001C_004,B01001C_005,B01001C_006,B01001C_007,B01001C_008,B01001C_009,B01001C_010,B01001C_011,B01001C_012,B01001C_013,B01001C_014,B01001C_015,B01001C_016,B01001C_017,B01001C_018,B01001C_019,B01001C_020,B01001C_021,B01001C_022,B01001C_023,B01001C_024,B01001C_025,B01001C_026,B01001C_027,B01001C_028,B01001C_029,B01001C_030,B01001C_031,B01001D_001,B01001D_002,B01001D_003,B01001D_004,B01001D_005,B01001D_006,B01001D_007,B01001D_008,B01001D_009,B01001D_010,B01001D_011,B01001D_012,B01001D_013,B01001D_014,B01001D_015,B01001D_016,B01001D_017,B01001D_018,B01001D_019,B01001D_020,B01001D_021,B01001D_022,B01001D_023,B01001D_024,B01001D_025,B01001D_026,B01001D_027,B01001D_028,B01001D_029,B01001D_030,B01001D_031,B01001E_001,B01001E_002,B01001E_003,B01001E_004,B01001E_005,B01001E_006,B01001E_007,B01001E_008,B01001E_009,B01001E_010,B01001E_011,B01001E_012,B01001E_013,B01001E_014,B01001E_015,B01001E_016,B01001E_017,B01001E_018,B01001E_019,B01001E_020,B01001E_021,B01001E_022,B01001E_023,B01001E_024,B01001E_025,B01001E_026,B01001E_027,B01001E_028,B01001E_029,B01001E_030,B01001E_031,B01001F_001,B01001F_002,B01001F_003,B01001F_004,B01001F_005,B01001F_006,B01001F_007,B01001F_008,B01001F_009,B01001F_010,B01001F_011,B01001F_012,B01001F_013,B01001F_014,B01001F_015,B01001F_016,B01001F_017,B01001F_018,B01001F_019,B01001F_020,B01001F_021,B01001F_022,B01001F_023,B01001F_024,B01001F_025,B01001F_026,B01001F_027,B01001F_028,B01001F_029,B01001F_030,B01001F_031,B01001G_001,B01001G_002,B01001G_003,B01001G_004,B01001G_005,B01001G_006,B01001G_007,B01001G_008,B01001G_009,B01001G_010,B01001G_011,B01001G_012,B01001G_013,B01001G_014,B01001G_015,B01001G_016,B01001G_017,B01001G_018,B01001G_019,B01001G_020,B01001G_021,B01001G_022,B01001G_023,B01001G_024,B01001G_025,B01001G_026,B01001G_027,B01001G_028,B01001G_029,B01001G_030,B01001G_031,B01001H_001,B01001H_002,B01001H_003,B01001H_004,B01001H_005,B01001H_006,B01001H_007,B01001H_008,B01001H_009,B01001H_010,B01001H_011,B01001H_012,B01001H_013,B01001H_014,B01001H_015,B01001H_016,B01001H_017,B01001H_018,B01001H_019,B01001H_020,B01001H_021,B01001H_022,B01001H_023,B01001H_024,B01001H_025,B01001H_026,B01001H_027,B01001H_028,B01001H_029,B01001H_030,B01001H_031,B01001I_001,B01001I_002,B01001I_003,B01001I_004,B01001I_005,B01001I_006,B01001I_007,B01001I_008,B01001I_009,B01001I_010,B01001I_011,B01001I_012,B01001I_013,B01001I_014,B01001I_015,B01001I_016,B01001I_017,B01001I_018,B01001I_019,B01001I_020,B01001I_021,B01001I_022,B01001I_023,B01001I_024,B01001I_025,B01001I_026,B01001I_027,B01001I_028,B01001I_029,B01001I_030,B01001I_031,B01002_001,B01002_002,B01002_003,B01002A_001,B01002A_002,B01002A_003,B01002B_001,B01002B_002,B01002B_003,B01002C_001,B01002C_002,B01002C_003,B01002D_001,B01002D_002,B01002D_003,B01002E_001,B01002E_002,B01002E_003,B01002F_001,B01002F_002,B01002F_003,B01002G_001,B01002G_002,B01002G_003,B01002H_001,B01002H_002,B01002H_003,B01002I_001,B01002I_002,B01002I_003,B01003_001
40,NM,35,,,,,04000US35,New Mexico,2082669,1031440,68867,72473,72038,42957,29638,15744,16333,45648,72432,69528,62732,60062,60745,68346,66200,27065,35747,23528,28171,36698,25849,16977,13662,1051229,64902,70226,69106,41181,27742,15083,15305,41506,67750,67040,61279,60686,62853,72135,73682,27849,39503,25040,32141,41177,31289,21152,22602,1530636,756179,46777,49321,49461,29620,20135,53641,49536,48747,87493,96877,101959,74553,36683,11376,774457,44303,48086,46853,27608,19112,49163,46725,48322,87017,99919,113076,81059,43732,19482,41957,23376,1576,1544,1408,922,1197,2772,1543,1564,2912,2951,2807,1424,664,92,18581,1272,1390,1574,839,774,1953,1153,1299,1957,2163,2089,1220,564,334,193295,93348,7436,8425,8002,5005,2889,8438,7780,6578,11733,10880,8872,4698,1960,652,99947,6978,7849,7987,4867,2953,8224,8168,7336,12427,12631,10198,6076,3221,1032,29168,12550,632,559,902,376,423,991,1361,1080,2166,1594,1294,814,228,130,16618,588,743,997,577,425,969,1275,1334,3038,2443,2192,1327,549,161,1340,583,64,74,17,27,30,57,75,52,105,52,12,18,0,0,757,40,91,31,0,15,156,26,61,112,98,73,28,26,0,218476,110211,7749,8234,8486,4824,3788,8712,9348,9128,15352,13859,11432,5475,2619,1205,108265,7287,8315,7612,5569,3207,8753,8195,6789,14457,15098,10907,6974,3790,1312,67797,35193,4633,4316,3762,2183,1176,3114,2789,2379,3033,2878,2636,1415,672,207,32604,4434,3752,4052,1721,1256,2676,2208,1899,2957,2636,2499,1674,559,281,805603,398173,16734,17807,18240,11367,7938,23496,24106,24008,43355,55039,68185,53380,26116,8402,407430,15890,16611,17176,11079,7366,20071,21878,22213,42051,56691,74631,57225,30175,14373,995831,494903,41328,43308,42714,24792,16866,41499,36527,35218,61764,57885,47133,27789,13716,4364,500928,39344,43035,40439,23684,15890,40129,34800,34531,61698,60235,50762,31851,17910,6620,37.2,35.7,38.7,40.0,38.4,41.6,31.9,33.0,31.2,30.5,29.0,32.0,37.5,34.8,39.8,29.0,27.1,31.2,32.9,32.2,33.9,22.2,22.5,21.8,49.3,47.6,50.7,30.9,30.1,32.0,2082669
40,NM,35,,,,,04001US35,New Mexico -- Urban,1622272,796671,55867,57910,56574,32577,23300,12756,13084,37206,58733,55751,49734,46728,46070,51492,48350,19323,26441,16434,20128,26025,18630,12775,10783,825601,53201,55801,54699,31897,22094,12545,12493,33335,56287,55005,49567,48761,49158,54311,54655,20135,29627,18231,23290,30879,24523,16656,18451,1221400,597845,38898,40661,40407,23138,16208,44817,41796,39874,71109,75084,75624,53668,27384,9177,623555,37230,39502,38135,21994,15888,41510,40237,40499,72258,78174,85706,60730,35413,16279,38177,20974,1436,1409,1289,831,1112,2449,1378,1443,2467,2600,2539,1308,621,92,17203,1180,1276,1555,775,719,1713,1090,1110,1865,2089,1860,1117,520,334,96455,45615,3729,4336,3699,2610,1520,4460,3945,3374,6007,5095,3937,1915,729,259,50840,3743,3794,4055,2418,1645,4312,4739,4230,6534,6514,4476,2605,1409,366,26476,11550,621,531,801,355,398,921,1316,988,2040,1424,1124,683,218,130,14926,551,713,925,548,344,880,1194,1253,2665,2203,1848,1192,449,161,1202,511,60,67,17,19,27,44,57,52,99,42,12,15,0,0,691,40,91,31,0,14,148,22,61,112,67,59,20,26,0,181702,90917,6866,7093,7415,4120,3109,7604,7950,7964,12279,10788,8903,3894,1921,1011,90785,6429,7266,6535,4740,2576,7567,7008,6124,12199,12244,8582,5514,2928,1073,56860,29259,4257,3813,2946,1504,926,2751,2291,2056,2461,2529,1975,1104,532,114,27601,4028,3159,3463,1422,908,2243,1997,1728,2695,2178,1886,1222,434,238,624825,307621,13529,14083,14157,8625,6572,19823,20928,19511,35447,42117,49489,37280,19175,6885,317204,12765,12781,13486,8473,6012,16983,18549,18270,34322,43298,54113,41904,24329,11919,822030,402884,35286,36729,36104,19979,13479,34851,30305,29363,49798,45418,36512,21144,10523,3393,419146,34112,36804,33913,19681,13318,34019,30260,29743,52083,48758,41188,25137,14511,5619,36.0,34.5,37.5,38.4,36.7,40.1,31.9,32.7,31.3,29.5,28.2,30.7,36.7,34.4,38.8,28.0,27.5,30.0,31.6,30.8,32.7,22.0,22.3,21.7,47.3,45.3,49.3,30.2,29.1,31.2,1622272
40,NM,35,,,,,04043US35,New Mexico -- Rural,460397,234769,13000,14563,15464,10380,6338,2988,3249,8442,13699,13777,12998,13334,14675,16854,17850,7742,9306,7094,8043,10673,7219,4202,2879,225628,11701,14425,14407,9284,5648,2538,2812,8171,11463,12035,11712,11925,13695,17824,19027,7714,9876,6809,8851,10298,6766,4496,4151,309236,158334,7879,8660,9054,6482,3927,8824,7740,8873,16384,21793,26335,20885,9299,2199,150902,7073,8584,8718,5614,3224,7653,6488,7823,14759,21745,27370,20329,8319,3203,3780,2402,140,135,119,91,85,323,165,121,445,351,268,116,43,0,1378,92,114,19,64,55,240,63,189,92,74,229,103,44,0,96840,47733,3707,4089,4303,2395,1369,3978,3835,3204,5726,5785,4935,2783,1231,393,49107,3235,4055,3932,2449,1308,3912,3429,3106,5893,6117,5722,3471,1812,666,2692,1000,11,28,101,21,25,70,45,92,126,170,170,131,10,0,1692,37,30,72,29,81,89,81,81,373,240,344,135,100,0,138,72,4,7,0,8,3,13,18,0,6,10,0,3,0,0,66,0,0,0,0,1,8,4,0,0,31,14,8,0,0,36774,19294,883,1141,1071,704,679,1108,1398,1164,3073,3071,2529,1581,698,194,17480,858,1049,1077,829,631,1186,1187,665,2258,2854,2325,1460,862,239,10937,5934,376,503,816,679,250,363,498,323,572,349,661,311,140,93,5003,406,593,589,299,348,433,211,171,262,458,613,452,125,43,180778,90552,3205,3724,4083,2742,1366,3673,3178,4497,7908,12922,18696,16100,6941,1517,90226,3125,3830,3690,2606,1354,3088,3329,3943,7729,13393,20518,15321,5846,2454,173801,92019,6042,6579,6610,4813,3387,6648,6222,5855,11966,12467,10621,6645,3193,971,81782,5232,6231,6526,4003,2572,6110,4540,4788,9615,11477,9574,6714,3399,1001,42.2,40.9,43.6,47.0,45.8,48.3,31.9,35.5,31.1,31.9,30.3,33.5,44.0,43.7,44.1,37.6,25.1,52.6,40.5,40.2,41.0,24.0,24.8,22.1,54.1,53.7,54.5,35.3,34.8,35.9,460397
40,NM,35,,,,,040A0US35,New Mexico -- In metropolitan or micropolitan statistical area,2008653,993564,66850,70180,70015,41518,28497,15237,15721,44247,70592,67295,60808,58317,59000,65750,63256,25705,34218,22248,26765,34358,24095,16020,12872,1015089,63148,67844,67131,39824,26776,14616,14931,40440,66409,65319,59729,58739,60879,69489,70799,26837,37612,23792,30424,39189,29603,20233,21326,1468903,724892,45469,47602,47689,28486,19179,51695,48138,46935,84667,92970,97095,70204,34108,10655,744011,42804,46274,45419,26516,18439,47577,45677,46872,84177,95975,107790,76730,41444,18317,41432,23008,1511,1539,1398,908,1153,2719,1524,1539,2828,2933,2807,1393,664,92,18424,1263,1390,1566,839,774,1941,1153,1299,1933,2117,2086,1189,564,310,190514,91873,7139,8329,7900,4949,2874,8303,7723,6523,11639,10818,8566,4528,1938,644,98641,6954,7629,7937,4723,2932,8165,8125,7209,12152,12552,10067,6027,3158,1011,28796,12416,632,530,875,376,423,978,1348,1080,2155,1565,1292,804,228,130,16380,561,743,992,577,412,930,1251,1329,3016,2420,2172,1281,535,161,1324,583,64,74,17,27,30,57,75,52,105,52,12,18,0,0,741,24,91,31,0,15,156,26,61,112,98,73,28,26,0,212120,106831,7484,7897,8404,4804,3710,8421,9073,8824,14851,13567,10977,5162,2510,1147,105289,7160,8127,7344,5471,2985,8609,7991,6682,14136,14618,10671,6634,3591,1270,65564,33961,4551,4209,3732,1968,1128,3032,2711,2342,2880,2845,2430,1262,667,204,31603,4382,3590,3842,1698,1219,2609,2186,1867,2942,2588,2389,1516,518,257,771746,380998,16117,17184,17509,10897,7569,22616,23485,23216,41908,53007,65031,50129,24360,7970,390748,15361,15995,16703,10472,7071,19484,21413,21547,40592,54544,71185,54188,28725,13468,960520,476753,40311,41798,41585,23956,16201,40178,35441,33880,59775,55702,44867,26263,12782,4014,483767,38209,41627,39158,23090,15364,38955,34013,33613,59832,57981,48629,30166,16812,6318,36.9,35.5,38.4,39.6,38.1,41.2,31.9,33.2,31.1,30.5,29.0,31.9,37.5,34.9,39.8,29.3,27.1,31.4,32.8,32.0,33.7,22.1,22.4,21.8,48.9,47.2,50.5,30.7,29.8,31.8,2008653
40,NM,35,,,,,040C0US35,New Mexico -- In metropolitan statistical area,1388168,682427,44202,47471,47138,28227,18945,10420,10493,30193,48957,47352,42846,40693,41441,45657,44050,17385,24193,15187,18842,23394,16028,10865,8448,705741,41948,45175,46452,26991,18482,10267,10205,28811,46789,46143,42583,41468,43154,48839,50205,18322,26559,16571,21229,27243,20315,13459,14531,1036297,508147,30748,32633,32698,19925,13409,36192,33498,33090,60082,66737,69278,49266,23188,7403,528150,28688,30917,32147,18119,13041,34775,32541,33373,60767,69649,78164,54547,28704,12718,28955,15889,940,1262,892,634,517,1705,1089,1093,2009,2170,1993,1019,493,73,13066,722,944,1191,573,531,1277,883,909,1478,1588,1536,851,395,188,105615,51189,3848,4665,4313,2664,1567,4596,4652,3949,6776,5782,4632,2419,999,327,54426,3836,4139,4197,2624,1699,4549,4794,4217,7020,6805,5307,3156,1616,467,23278,9923,542,316,772,305,269,664,1031,864,1858,1297,1050,643,206,106,13355,444,636,889,456,277,731,1111,1022,2522,1952,1697,1001,466,151,888,448,31,67,17,19,3,52,45,43,99,42,12,18,0,0,440,0,91,31,0,8,88,16,54,54,47,12,23,16,0,144814,72181,4812,5758,5966,3398,2360,5505,6519,6465,10487,8995,6826,3132,1568,390,72633,4849,5762,5241,4061,2029,5870,5750,5050,10020,9903,6734,4382,2191,791,48321,24650,3281,2770,2480,1282,820,2392,2123,1848,2228,2075,1837,926,439,149,23671,3409,2686,2756,1158,897,1993,1694,1518,2190,2049,1636,1083,386,216,540421,265214,10649,11588,11591,7572,5106,15137,15987,16102,29842,38110,46481,35192,16491,5366,275207,9932,10439,11382,7135,4729,13968,15132,15264,29012,39368,51378,38527,19449,9492,677989,333589,27353,29113,29358,16827,11261,28524,25359,24569,42283,39073,30809,17821,8655,2584,344400,26172,28646,28236,16310,11098,28292,24639,24431,43500,41670,34410,21041,11788,4167,37.2,35.8,38.6,40.1,38.4,41.6,33.7,34.6,32.1,30.3,29.1,31.5,38.1,36.0,39.8,28.5,29.2,26.5,31.9,31.3,32.7,22.8,23.6,22.0,49.4,47.7,50.7,30.7,29.8,31.9,1388168
40,NM,35,,,,,040C1US35,New Mexico -- In metropolitan statistical area -- in principal city,785312,382213,25617,26240,25866,14663,10906,5768,5768,18251,31503,28852,26541,22785,23342,24256,22285,9496,12113,7921,9218,11246,8579,6278,4719,403099,24467,25852,25508,14183,10141,5780,6513,17506,30003,28474,25513,23732,23555,26806,26224,9861,14227,8837,11673,14841,11772,8058,9573,588211,286135,17585,18060,17980,10443,7710,21434,22221,20471,35976,36762,35864,24522,12974,4133,302076,16922,17317,17533,9311,6804,21053,21350,20433,35430,37928,42094,30063,17210,8628,21598,11478,775,1122,549,402,367,1056,912,754,1327,1670,1432,759,313,40,10120,584,814,954,511,371,796,742,739,1159,1323,1095,621,323,88,39061,18308,1352,1569,1397,991,607,1988,1991,1656,2716,1958,1232,487,275,89,20753,1404,1480,1472,1153,759,1951,2171,2136,3039,2542,1380,735,414,117,17842,7806,458,234,598,240,229,516,856,708,1506,933,814,454,154,106,10036,393,466,530,315,229,628,887,947,1857,1416,1107,780,330,151,686,357,31,67,9,19,3,39,27,22,99,29,12,0,0,0,329,0,91,25,0,0,56,12,41,54,28,0,6,16,0,86362,41703,3175,3317,3783,1783,1415,3054,4194,3851,6151,4875,3528,1494,810,273,44659,3047,3820,3233,2197,1366,3987,3686,3111,6207,5954,3770,2559,1275,447,31552,16426,2241,1871,1550,785,575,1700,1302,1390,1551,1371,1012,669,331,78,15126,2117,1864,1761,696,612,1328,1155,1067,1499,1170,866,587,262,142,316545,153733,6243,6304,6431,4167,3215,9460,11439,10825,18765,21732,24627,17891,9470,3164,162812,6208,6099,6505,3703,2590,9077,10713,9670,17742,22127,28136,21705,11928,6609,381624,185503,16165,16681,16526,8633,6309,16291,15839,14196,24307,20799,15334,8493,4623,1307,196121,15399,16788,15558,8519,6080,17005,15301,14900,25118,22653,18144,11290,6771,2595,35.9,34.6,37.4,38.5,36.7,40.6,33.3,34.3,31.6,28.9,28.2,30.0,36.7,35.3,38.4,27.2,27.7,24.6,30.8,30.1,31.9,22.6,23.5,21.7,47.3,45.0,49.6,30.0,28.9,31.1,785312
40,NM,35,,,,,040C2US35,New Mexico -- In metropolitan statistical area -- not in principal city,602856,300214,18585,21231,21272,13564,8039,4652,4725,11942,17454,18500,16305,17908,18099,21401,21765,7889,12080,7266,9624,12148,7449,4587,3729,302642,17481,19323,20944,12808,8341,4487,3692,11305,16786,17669,17070,17736,19599,22033,23981,8461,12332,7734,9556,12402,8543,5401,4958,448086,222012,13163,14573,14718,9482,5699,14758,11277,12619,24106,29975,33414,24744,10214,3270,226074,11766,13600,14614,8808,6237,13722,11191,12940,25337,31721,36070,24484,11494,4090,7357,4411,165,140,343,232,150,649,177,339,682,500,561,260,180,33,2946,138,130,237,62,160,481,141,170,319,265,441,230,72,100,66554,32881,2496,3096,2916,1673,960,2608,2661,2293,4060,3824,3400,1932,724,238,33673,2432,2659,2725,1471,940,2598,2623,2081,3981,4263,3927,2421,1202,350,5436,2117,84,82,174,65,40,148,175,156,352,364,236,189,52,0,3319,51,170,359,141,48,103,224,75,665,536,590,221,136,0,202,91,0,0,8,0,0,13,18,21,0,13,0,18,0,0,111,0,0,6,0,8,32,4,13,0,19,12,17,0,0,58452,30478,1637,2441,2183,1615,945,2451,2325,2614,4336,4120,3298,1638,758,117,27974,1802,1942,2008,1864,663,1883,2064,1939,3813,3949,2964,1823,916,344,16769,8224,1040,899,930,497,245,692,821,458,677,704,825,257,108,71,8545,1292,822,995,462,285,665,539,451,691,879,770,496,124,74,223876,111481,4406,5284,5160,3405,1891,5677,4548,5277,11077,16378,21854,17301,7021,2202,112395,3724,4340,4877,3432,2139,4891,4419,5594,11270,17241,23242,16822,7521,2883,296365,148086,11188,12432,12832,8194,4952,12233,9520,10373,17976,18274,15475,9328,4032,1277,148279,10773,11858,12678,7791,5018,11287,9338,9531,18382,19017,16266,9751,5017,1572,39.3,38.1,40.4,42.2,41.3,42.9,34.8,35.1,33.3,31.6,30.1,33.3,41.6,39.3,42.8,30.6,30.3,31.4,33.5,33.3,33.9,23.4,23.7,22.8,51.7,51.2,52.1,32.0,31.3,32.6,602856
40,NM,35,,,,,040E0US35,New Mexico -- In micropolitan statistical area,620485,311137,22648,22709,22877,13291,9552,4817,5228,14054,21635,19943,17962,17624,17559,20093,19206,8320,10025,7061,7923,10964,8067,5155,4424,309348,21200,22669,20679,12833,8294,4349,4726,11629,19620,19176,17146,17271,17725,20650,20594,8515,11053,7221,9195,11946,9288,6774,6795,432606,216745,14721,14969,14991,8561,5770,15503,14640,13845,24585,26233,27817,20938,10920,3252,215861,14116,15357,13272,8397,5398,12802,13136,13499,23410,26326,29626,22183,12740,5599,12477,7119,571,277,506,274,636,1014,435,446,819,763,814,374,171,19,5358,541,446,375,266,243,664,270,390,455,529,550,338,169,122,84899,40684,3291,3664,3587,2285,1307,3707,3071,2574,4863,5036,3934,2109,939,317,44215,3118,3490,3740,2099,1233,3616,3331,2992,5132,5747,4760,2871,1542,544,5518,2493,90,214,103,71,154,314,317,216,297,268,242,161,22,24,3025,117,107,103,121,135,199,140,307,494,468,475,280,69,10,436,135,33,7,0,8,27,5,30,9,6,10,0,0,0,0,301,24,0,0,0,7,68,10,7,58,51,61,5,10,0,67306,34650,2672,2139,2438,1406,1350,2916,2554,2359,4364,4572,4151,2030,942,757,32656,2311,2365,2103,1410,956,2739,2241,1632,4116,4715,3937,2252,1400,479,17243,9311,1270,1439,1252,686,308,640,588,494,652,770,593,336,228,55,7932,973,904,1086,540,322,616,492,349,752,539,753,433,132,41,231325,115784,5468,5596,5918,3325,2463,7479,7498,7114,12066,14897,18550,14937,7869,2604,115541,5429,5556,5321,3337,2342,5516,6281,6283,11580,15176,19807,15661,9276,3976,282531,143164,12958,12685,12227,7129,4940,11654,10082,9311,17492,16629,14058,8442,4127,1430,139367,12037,12981,10922,6780,4266,10663,9374,9182,16332,16311,14219,9125,5024,2151,36.2,34.7,37.8,38.6,37.2,40.1,27.4,27.3,28.1,30.7,28.9,32.3,35.4,29.7,39.7,29.9,18.7,44.4,35.1,34.1,36.8,19.4,18.0,21.4,47.9,45.9,49.6,30.7,29.9,31.6,620485
40,NM,35,,,,,040E1US35,New Mexico -- In micropolitan statistical area -- in principal city,310327,154459,12931,11524,11292,6541,5065,2530,2929,7489,11521,10606,9143,8802,8124,9375,8177,3496,4772,3278,3512,4665,3636,2507,2544,155868,11440,11967,10332,6166,4298,2273,2587,6072,10513,10694,9143,8897,8556,9608,9275,3508,5346,3265,4155,5525,4697,3654,3897,236707,116701,8822,8302,8253,4757,3184,9211,8588,7936,13873,13439,13057,9805,5369,2105,120006,8237,9232,7273,4368,3200,7850,8074,8155,13635,13738,14725,10913,7182,3424,9832,5448,428,187,452,138,581,701,269,366,648,590,666,274,129,19,4384,427,317,344,237,196,490,214,297,401,515,460,229,135,122,14571,6459,606,733,539,480,312,476,525,569,606,656,490,328,130,9,8112,724,559,921,454,205,569,700,736,944,1022,733,272,241,32,4003,1727,66,116,74,49,97,225,271,148,253,216,131,45,12,24,2276,103,65,94,93,76,157,104,267,385,354,297,219,52,10,277,109,29,0,0,0,27,5,30,9,0,9,0,0,0,0,168,24,0,0,0,6,60,10,7,8,18,20,5,10,0,34709,18260,1961,1188,1376,785,666,1899,1476,1338,2065,2111,1858,838,348,351,16449,1287,1256,1184,740,433,1499,1072,1052,2178,2244,1517,1049,656,282,10228,5755,1019,998,598,332,198,431,362,240,500,478,243,165,155,36,4473,638,538,516,274,182,307,339,180,489,273,377,258,75,27,126934,63336,3297,3055,3224,1963,1378,4821,4721,4061,7254,7757,9062,6928,4044,1771,63598,3001,3201,2919,1658,1539,3534,3679,3877,6935,7732,9491,7896,5518,2618,152130,75702,8100,7156,6800,3899,2653,6651,5651,5278,9064,8018,6116,3884,1728,704,76428,7160,7705,6104,3666,2219,6172,5641,5472,9143,8449,6928,4258,2388,1123,34.1,32.5,35.9,36.0,34.4,37.9,29.4,28.0,29.6,28.3,25.6,28.9,35.0,29.5,38.2,24.3,18.9,24.6,31.2,28.6,33.5,19.0,16.8,21.5,44.5,42.3,47.0,28.4,27.3,29.6,310327
40,NM,35,,,,,040E2US35,New Mexico -- In micropolitan statistical area -- not in principal city,310158,156678,9717,11185,11585,6750,4487,2287,2299,6565,10114,9337,8819,8822,9435,10718,11029,4824,5253,3783,4411,6299,4431,2648,1880,153480,9760,10702,10347,6667,3996,2076,2139,5557,9107,8482,8003,8374,9169,11042,11319,5007,5707,3956,5040,6421,4591,3120,2898,195899,100044,5899,6667,6738,3804,2586,6292,6052,5909,10712,12794,14760,11133,5551,1147,95855,5879,6125,5999,4029,2198,4952,5062,5344,9775,12588,14901,11270,5558,2175,2645,1671,143,90,54,136,55,313,166,80,171,173,148,100,42,0,974,114,129,31,29,47,174,56,93,54,14,90,109,34,0,70328,34225,2685,2931,3048,1805,995,3231,2546,2005,4257,4380,3444,1781,809,308,36103,2394,2931,2819,1645,1028,3047,2631,2256,4188,4725,4027,2599,1301,512,1515,766,24,98,29,22,57,89,46,68,44,52,111,116,10,0,749,14,42,9,28,59,42,36,40,109,114,178,61,17,0,159,26,4,7,0,8,0,0,0,0,6,1,0,0,0,0,133,0,0,0,0,1,8,0,0,50,33,41,0,0,0,32597,16390,711,951,1062,621,684,1017,1078,1021,2299,2461,2293,1192,594,406,16207,1024,1109,919,670,523,1240,1169,580,1938,2471,2420,1203,744,197,7015,3556,251,441,654,354,110,209,226,254,152,292,350,171,73,19,3459,335,366,570,266,140,309,153,169,263,266,376,175,57,14,104391,52448,2171,2541,2694,1362,1085,2658,2777,3053,4812,7140,9488,8009,3825,833,51943,2428,2355,2402,1679,803,1982,2602,2406,4645,7444,10316,7765,3758,1358,130401,67462,4858,5529,5427,3230,2287,5003,4431,4033,8428,8611,7942,4558,2399,726,62939,4877,5276,4818,3114,2047,4491,3733,3710,7189,7862,7291,4867,2636,1028,38.4,37.1,39.9,42.2,41.0,43.6,25.2,26.4,23.5,31.5,29.7,33.3,41.4,30.5,44.8,44.9,15.7,52.2,40.6,40.2,40.9,20.3,19.1,21.4,51.0,50.0,52.0,33.9,33.7,34.1,310158
