SummaryLevel,State,StateFIPS,CountyFIPS,PlaceFIPS,CBSACode,CongressDistrict,GEOID,AreaName,B01001_001,B01001_002,B01001_003,B01001_004,B01001_005,B01001_006,B01001_007,B01001_008,B01001_009,B01001_010,B01001_011,B01001_012,B01001_013,B01001_014,B01001_015,B01001_016,B01001_017,B01001_018,B01001_019,B01001_020,B01001_021,B01001_022,B01001_023,B01001_024,B01001_025,B01001_026,B01001_027,B01001_028,B01001_029,B01001_030,B01001_031,B01001_032,B01001_033,B01001_034,B01001_035,B01001_036,B01001_037,B01001_038,B01001_039,B01001_040,B01001_041,B01001_042,B01001_043,B01001_044,B01001_045,B01001_046,B01001_047,B01001_048,B01001_049,B01001A_001,B01001A_002,B01001A_003,B01001A_004,B01001A_005,B01001A_006,B01001A_007,B01001A_008,B01001A_009,B01001A_010,B01001A_011,B01001A_012,B01001A_013,B01001A_014,B01001A_015,B01001A_016,B01001A_017,B01001A_018,B01001A_019,B01001A_020,B01001A_021,B01001A_022,B01001A_023,B01001A_024,B01001A_025,B01001A_026,B01001A_027,B01001A_028,B01001A_029,B01001A_030,B01001A_031,B01001B_001,B01001B_002,B01001B_003,B01001B_004,B01001B_005,B01001B_006,B01001B_007,B01001B_008,B01001B_009,B01001B_010,B01001B_011,B01001B_012,B01001B_013,B01001B_014,B01001B_015,B01001B_016,B01001B_017,B01001B_018,B01001B_019,B01001B_020,B01001B_021,B01001B_022,B01001B_023,B01001B_024,B01001B_025,B01001B_026,B01001B_027,B01001B_028,B01001B_029,B01001B_030,B01001B_031,B01001C_001,B01001C_002,B01001C_003,B01001C_004,B01001C_005,B01001C_006,B01001C_007,B01001C_008,B01001C_009,B01001C_010,B01001C_011,B01001C_012,B01001C_013,B01001C_014,B01001C_015,B01001C_016,B01001C_017,B01001C_018,B01001C_019,B01001C_020,B01001C_021,B01001C_022,B01001C_023,B01001C_024,B01001C_025,B01001C_026,B01001C_027,B01001C_028,B01001C_029,B01001C_030,B01001C_031,B01001D_001,B01001D_002,B01001D_003,B01001D_004,B01001D_005,B01001D_006,B01001D_007,B01001D_008,B01001D_009,B01001D_010,B01001D_011,B01001D_012,B01001D_013,B01001D_014,B01001D_015,B01001D_016,B01001D_017,B01001D_018,B01001D_019,B01001D_020,B01001D_021,B01001D_022,B01001D_023,B01001D_024,B01001D_025,B01001D_026,B01001D_027,B01001D_028,B01001D_029,B01001D_030,B01001D_031,B01001E_001,B01001E_002,B01001E_003,B01001E_004,B01001E_005,B01001E_006,B01001E_007,B01001E_008,B01001E_009,B01001E_010,B01001E_011,B01001E_012,B01001E_013,B01001E_014,B01001E_015,B01001E_016,B01001E_017,B01001E_018,B01001E_019,B01001E_020,B01001E_021,B01001E_022,B01001E_023,B01001E_024,B01001E_025,B01001E_026,B01001E_027,B01001E_028,B01001E_029,B01001E_030,B01001E_031,B01001F_001,B01001F_002,B01001F_003,B01001F_004,B01001F_005,B01001F_006,B01001F_007,B01001F_008,B01001F_009,B01001F_010,B01001F_011,B01001F_012,B01001F_013,B01001F_014,B01001F_015,B01001F_016,B01001F_017,B01001F_018,B01001F_019,B01001F_020,B01001F_021,B01001F_022,B01001F_023,B01001F_024,B01001F_025,B01001F_026,B01001F_027,B01001F_028,B01001F_029,B01001F_030,B01001F_031,B01001G_001,B01001G_002,B01001G_003,B01001G_004,B01001G_005,B01001G_006,B01001G_007,B01001G_008,B01001G_009,B01001G_010,B01001G_011,B01001G_012,B01001G_013,B01001G_014,B01001G_015,B01001G_016,B01001G_017,B01001G_018,B01001G_019,B01001G_020,B01001G_021,B01001G_022,B01001G_023,B01001G_024,B01001G_025,B01001G_026,B01001G_027,B01001G_028,B01001G_029,B01001G_030,B01001G_031,B01001H_001,B01001H_002,B01001H_003,B01001H_004,B01001H_005,B01001H_006,B01001H_007,B01001H_008,B01001H_009,B01001H_010,B01001H_011,B01001H_012,B01001H_013,B01001H_014,B01001H_015,B01001H_016,B01001H_017,B01001H_018,B01001H_019,B01001H_020,B01001H_021,B01001H_022,B01001H_023,B01001H_024,B01001H_025,B01001H_026,B01001H_027,B01001H_028,B01001H_029,B01001H_030,B01001H_031,B01001I_001,B01001I_002,B01001I_003,B01001I_004,B01001I_005,B01001I_006,B01001I_007,B01001I_008,B01001I_009,B01001I_010,B01001I_011,B01001I_012,B01001I_013,B01001I_014,B01001I_015,B01001I_016,B01001I_017,B01001I_018,B01001I_019,B01001I_020,B01001I_021,B01001I_022,B01001I_023,B01001I_024,B01001I_025,B01001I_026,B01001I_027,B01001I_028,B01001I_029,B01001I_030,B01001I_031,B01002_001,B01002_002,B01002_003,B01002A_001,B01002A_002,B01002A_003,B01002B_001,B01002B_002,B01002B_003,B01002C_001,B01002C_002,B01002C_003,B01002D_001,B01002D_002,B01002D_003,B01002E_001,B01002E_002,B01002E_003,B01002F_001,B01002F_002,B01002F_003,B01002G_001,B01002G_002,B01002G_003,B01002H_001,B01002H_002,B01002H_003,B01002I_001,B01002I_002,B01002I_003,B01003_001
40,NY,36,,,,,04000US36,New York,19697457,9555130,598437,589021,597451,375686,272600,149671,144780,424714,732368,675874,609994,616390,660710,689762,638450,236920,316385,190682,235777,300428,210434,150819,137777,10142327,572286,560201,573576,359751,266527,146279,141827,420567,734060,689077,630410,645008,695219,734556,692852,258475,353772,224294,278902,369959,279234,226295,289200,12667413,6203645,337872,345430,356436,225122,166730,422924,440817,411843,769148,913352,862159,552176,284181,115455,6463768,320668,327093,340708,215414,161256,408894,434614,408226,758648,926246,906404,635742,383423,236432,3073278,1421809,98624,97834,100515,66673,45531,128221,117877,99147,178167,198948,155659,84897,37908,11808,1651469,96996,94354,102825,63877,46112,130000,123531,111948,215368,239524,200119,126791,68718,31306,75751,37209,2249,2541,2913,1622,1265,3387,2895,2882,4514,5802,4120,2129,681,209,38542,2956,2049,2719,1633,1239,3176,2450,2640,4769,5523,4763,2839,1327,459,1599216,763787,46881,42470,43701,26396,20141,60964,68681,65051,115195,105828,90435,49075,23168,5801,835429,43675,41029,40759,26077,20123,65483,77607,75548,135315,118401,97615,55575,27508,10714,7528,3572,245,219,123,154,129,302,635,292,550,553,171,97,62,40,3956,183,149,311,73,103,419,471,303,509,665,406,229,99,36,1697831,841325,69535,66066,65199,39609,28490,78616,78621,78682,128963,100924,61878,29580,11669,3493,856506,66972,62530,59261,36512,27170,74838,73902,70157,129557,112337,75644,40277,19310,8039,576440,283783,43031,34461,28564,16110,10314,24751,22842,17977,29847,25065,17333,8933,3584,971,292657,40836,32997,26993,16165,10524,25863,21485,20255,31252,27079,20148,11702,5144,2214,11111314,5431919,276244,288865,301911,193872,142737,358255,375113,349502,653083,812601,791973,512569,265576,109618,5679395,261717,272512,288469,183166,138869,351008,375320,348363,650714,822371,826404,583046,353162,224274,3661929,1807689,156106,142363,136194,81764,59067,162414,161986,154351,265957,221191,145778,76654,33693,10171,1854240,150154,136665,129873,78388,56801,151896,149034,145143,262585,237203,174160,104242,55416,22680,38.2,36.6,39.8,41.7,40.2,43.2,35.3,32.7,37.5,34.4,32.9,36.4,36.3,35.5,37.0,32.1,29.8,34.3,30.6,29.6,31.9,22.7,21.8,23.5,43.2,41.7,44.6,31.2,30.1,32.5,19697457
40,NY,36,,,,,04001US36,New York -- Urban,17355336,8368775,541040,521721,522500,325152,245033,134560,130795,381091,669621,614790,549536,543688,570968,586252,538546,199608,265051,159093,195718,248145,176048,129118,120701,8986561,516612,496595,503850,312541,241724,133350,129344,384326,680728,631616,570090,573139,606638,631473,595999,222959,302725,192669,238840,317910,242828,199489,261116,10454731,5090270,285359,283182,287140,179012,141554,356928,384369,356196,645985,730758,680079,431735,229252,98721,5364461,269282,268222,275915,171881,138595,351965,383768,354243,633311,741937,728608,515715,322038,208981,3034525,1395387,97818,97003,99409,65401,44671,125015,115002,96525,173862,194628,153191,83633,37583,11646,1639138,96641,93794,101822,63207,45382,128780,122983,111240,213906,237691,198750,125831,68131,30980,62807,31119,1926,2062,2462,1345,1107,2949,2553,2412,3902,4778,3372,1607,505,139,31688,2421,1750,2350,1144,1062,2741,2137,2194,3966,4515,3794,2271,991,352,1577226,754531,46321,41710,43028,25880,19815,60518,68207,64592,113814,104145,89401,48362,22981,5757,822695,43035,40195,39905,25412,19812,64828,77001,74713,133138,116268,96147,54446,27156,10639,7044,3372,243,201,105,148,117,302,586,286,522,521,142,97,62,40,3672,180,144,275,73,103,371,468,286,499,566,386,187,98,36,1679576,830053,68889,65505,64456,38986,28101,77464,77461,77543,126885,99234,61116,29386,11549,3478,849523,66488,62056,58717,36134,26951,74007,73546,69555,128622,111446,74940,39930,19119,8012,539427,264043,40484,32058,25900,14380,9668,23270,21443,17236,28254,23156,15904,8136,3234,920,275384,38565,30434,24866,14690,9819,24328,20825,19385,29787,25688,19058,11039,4784,2116,8947582,4344354,226172,228680,235117,149111,118364,294668,320604,295669,533091,633508,611849,393452,211040,93029,4603228,212390,215684,225885,141002,116964,295524,325936,296147,528209,641653,650579,463863,292410,196982,3586932,1766179,152608,139431,132641,79434,57762,158369,158354,150960,260106,215463,142836,75035,33185,9995,1820753,147271,133652,126633,76409,55666,149309,147008,142601,258577,232313,171336,102968,54539,22471,37.4,35.8,39.0,40.8,39.2,42.5,35.3,32.6,37.5,33.8,32.3,35.2,36.2,35.5,36.9,31.8,29.9,33.9,30.6,29.6,31.9,22.9,21.9,23.9,42.4,40.8,44.0,31.2,30.1,32.6,17355336
40,NY,36,,,,,04043US36,New York -- Rural,2342121,1186355,57397,67300,74951,50534,27567,15111,13985,43623,62747,61084,60458,72702,89742,103510,99904,37312,51334,31589,40059,52283,34386,21701,17076,1155766,55674,63606,69726,47210,24803,12929,12483,36241,53332,57461,60320,71869,88581,103083,96853,35516,51047,31625,40062,52049,36406,26806,28084,2212682,1113375,52513,62248,69296,46110,25176,65996,56448,55647,123163,182594,182080,120441,54929,16734,1099307,51386,58871,64793,43533,22661,56929,50846,53983,125337,184309,177796,120027,61385,27451,38753,26422,806,831,1106,1272,860,3206,2875,2622,4305,4320,2468,1264,325,162,12331,355,560,1003,670,730,1220,548,708,1462,1833,1369,960,587,326,12944,6090,323,479,451,277,158,438,342,470,612,1024,748,522,176,70,6854,535,299,369,489,177,435,313,446,803,1008,969,568,336,107,21990,9256,560,760,673,516,326,446,474,459,1381,1683,1034,713,187,44,12734,640,834,854,665,311,655,606,835,2177,2133,1468,1129,352,75,484,200,2,18,18,6,12,0,49,6,28,32,29,0,0,0,284,3,5,36,0,0,48,3,17,10,99,20,42,1,0,18255,11272,646,561,743,623,389,1152,1160,1139,2078,1690,762,194,120,15,6983,484,474,544,378,219,831,356,602,935,891,704,347,191,27,37013,19740,2547,2403,2664,1730,646,1481,1399,741,1593,1909,1429,797,350,51,17273,2271,2563,2127,1475,705,1535,660,870,1465,1391,1090,663,360,98,2163732,1087565,50072,60185,66794,44761,24373,63587,54509,53833,119992,179093,180124,119117,54536,16589,1076167,49327,56828,62584,42164,21905,55484,49384,52216,122505,180718,175825,119183,60752,27292,74997,41510,3498,2932,3553,2330,1305,4045,3632,3391,5851,5728,2942,1619,508,176,33487,2883,3013,3240,1979,1135,2587,2026,2542,4008,4890,2824,1274,877,209,44.9,44.1,45.7,45.7,45.0,46.4,35.0,34.2,37.0,39.6,37.8,40.2,39.1,37.9,39.6,37.5,29.0,46.2,31.7,31.6,32.1,19.0,19.5,18.6,46.0,45.4,46.7,29.4,29.3,29.6,2342121
40,NY,36,,,,,040A0US36,New York -- In metropolitan or micropolitan statistical area,19300127,9351557,588426,578212,585506,367875,266057,146230,141681,416742,719926,664573,598534,605083,646544,673587,622506,230686,308192,185287,228773,291528,204390,146805,134414,9948570,562532,549999,562508,352433,261007,143528,139420,413993,724274,678968,620045,634117,681902,719145,676929,252684,346032,218864,272211,360748,272408,221545,283278,12302968,6019995,328888,335712,345649,218218,161330,410995,430667,402224,749128,885871,833047,531683,274432,112151,6282973,311948,317945,330447,208694,156846,398481,425437,398924,738867,899147,878148,615220,372210,230659,3057569,1410904,98287,97397,100167,66302,44718,126698,116530,97915,176584,197343,154875,84528,37781,11779,1646665,96724,94084,102604,63629,45535,129489,123212,111741,214885,238876,199644,126504,68525,31213,74723,36590,2249,2527,2832,1610,1251,3355,2766,2833,4463,5700,4026,2095,674,209,38133,2946,2025,2711,1633,1213,3117,2428,2594,4746,5435,4724,2797,1310,454,1595857,762271,46751,42439,43602,26315,20012,60873,68487,64992,114992,105626,90308,48943,23130,5801,833586,43654,40935,40706,26000,19994,65339,77543,75366,135006,118108,97392,55368,27463,10712,7474,3555,245,219,123,154,129,302,635,292,534,553,170,97,62,40,3919,180,149,311,73,103,419,468,298,502,650,403,229,98,36,1692774,838524,69403,65933,65002,39447,28377,78288,78184,78474,128487,100538,61786,29481,11635,3489,854250,66841,62418,59131,36394,27006,74531,73837,70021,129196,112036,75426,40157,19249,8007,568762,279718,42603,33985,28131,15829,10240,24142,22657,17843,29429,24500,17172,8761,3481,945,289044,40239,32443,26598,16010,10310,25565,21349,20024,30960,26795,19908,11548,5098,2197,10759156,5255280,267682,279598,291832,187334,137681,347112,365598,340441,633935,785912,763468,492369,255984,106334,5503876,253482,263753,278887,176830,134622,340977,366469,339310,631536,796008,798655,562754,342085,218508,3641200,1795743,155268,141610,135162,81161,58527,160916,160837,153419,264282,219713,145017,76232,33455,10144,1845457,149354,136052,128952,77839,56390,151042,148445,144639,261582,236041,173424,103869,55205,22623,38.1,36.5,39.7,41.6,40.1,43.1,35.3,32.7,37.6,34.4,32.9,36.3,36.3,35.5,36.9,31.9,29.8,34.2,30.6,29.6,31.9,22.7,21.8,23.6,43.1,41.6,44.5,31.2,30.1,32.5,19300127
40,NY,36,,,,,040C0US36,New York -- In metropolitan statistical area,18299293,8848350,561751,550126,554459,348481,249099,137186,132878,394760,687787,634722,571309,574802,612005,635220,584338,216521,288896,173500,213465,272299,190799,137522,126425,9450943,537199,522377,534216,334123,243829,134280,130748,395593,697464,651576,594532,605220,648884,681273,639720,238593,326054,206368,256441,339920,256169,208777,267587,11381348,5563019,305186,310542,317788,200887,146673,376788,403395,376716,698135,818690,764926,486892,252086,104315,5818329,289468,293121,305039,192257,142133,365829,400611,373893,688049,831379,809483,567769,344041,215257,3029244,1391423,97871,96879,99577,65680,43886,123709,113842,95791,173002,194635,153285,83913,37635,11718,1637821,96372,93467,101605,63326,44447,128275,122796,111214,213886,238177,198958,126066,68169,31063,65752,32319,1993,2252,2493,1398,1114,3027,2498,2454,4023,5070,3502,1820,518,157,33433,2598,1765,2490,1199,1067,2791,2198,2210,4269,4818,4079,2455,1102,392,1586209,758089,46527,42179,43376,26124,19720,60439,68126,64645,114479,105006,89941,48712,23014,5801,828120,43448,40599,40454,25803,19554,64691,77087,75010,134253,117395,96870,54892,27375,10689,7146,3457,224,219,123,154,118,302,633,286,504,537,166,97,54,40,3689,177,144,311,73,103,366,438,298,497,558,380,210,98,36,1680341,830877,69076,65592,64579,39113,27795,77345,77465,77378,127292,99585,61260,29318,11609,3470,849464,66453,62105,58698,36139,26580,74044,73444,69570,128514,111627,75115,40008,19160,8007,549253,269166,40874,32463,26523,15125,9793,23214,21828,17452,28676,23702,16675,8512,3405,924,280087,38683,31176,25619,15326,9945,24625,20890,19381,30284,26203,19482,11329,5001,2143,9857856,4809057,244960,255522,264872,170476,123509,313882,339330,315930,584290,719845,696148,447998,233779,98516,5048799,231996,239877,254448,160912,120450,309053,342299,314970,581719,729391,730726,515645,314181,203132,3603659,1774776,153524,139791,133637,80231,57327,158695,158916,151211,261421,217379,143628,75624,33292,10100,1828883,147679,134411,127288,76912,55238,149539,147235,143384,259728,234367,172328,103343,54845,22586,38.0,36.4,39.5,41.5,40.0,43.0,35.4,32.7,37.6,34.4,32.8,36.4,36.3,35.6,37.0,31.7,29.7,33.8,30.6,29.6,31.9,22.9,22.0,23.8,43.1,41.6,44.5,31.3,30.1,32.6,18299293
40,NY,36,,,,,040C1US36,New York -- In metropolitan statistical area -- in principal city,9749149,4656752,325807,288869,274253,165444,125114,74627,72906,224301,435640,394773,332298,308710,303134,302028,275411,103054,138035,80129,97656,126538,89104,61638,57283,5092397,312825,275094,265792,161265,125808,74876,74960,238230,461446,414873,351603,326650,326249,332757,315339,120553,163922,102429,126106,167771,125934,100605,127310,4416822,2154380,129615,110903,100660,57872,51017,152767,210926,195463,304189,280074,261296,170064,90332,39202,2262442,124061,105307,96598,56877,52266,159264,219110,192714,283090,270645,282192,208164,128298,83856,2398844,1086949,79254,77104,77578,49883,32753,95330,90170,75696,133040,149376,121196,66088,29753,9728,1311895,77955,73516,79652,48668,33175,101451,101736,90823,170538,188493,162107,102158,55627,25996,40775,19901,1181,1368,1771,798,654,1706,1733,1551,2499,3262,2034,934,356,54,20874,1771,995,1551,583,635,1940,1317,1377,2646,2954,2560,1604,702,239,1223542,585580,36486,30580,31127,18465,13766,46397,56824,52123,88195,80950,71153,36830,18016,4668,637962,33547,28639,28756,18295,13837,50675,64434,60619,102386,89441,75705,41542,21321,8765,4790,2297,192,128,50,98,71,140,399,206,387,385,93,87,34,27,2493,140,113,226,9,72,314,236,204,330,379,257,94,83,36,1328505,646417,54427,50835,49342,30036,21736,61588,61459,58421,94117,76623,50346,24614,9901,2972,682088,51386,48919,45919,28822,20668,59246,60049,55290,99615,90218,63297,34941,16831,6887,335871,161228,24652,17951,13725,8292,5117,13906,14129,11313,18581,14492,10382,5706,2350,632,174643,23965,17605,13090,8011,5155,15176,14564,13846,19648,16876,13696,7803,3677,1531,3431630,1673036,94585,78257,70029,39930,37607,112779,167725,154639,232507,216887,214420,141897,76584,35190,1758594,88787,73654,67357,38519,38954,121557,178627,153283,215870,204763,226923,169863,105825,74612,2606450,1264743,106842,97067,91259,55522,39578,114910,117754,108142,179636,153410,107472,58869,26545,7737,1341707,103216,93486,87041,53586,38349,110842,112677,106105,185241,171502,134044,82663,44561,18394,35.6,34.3,36.9,38.0,36.9,39.1,35.4,32.6,37.8,34.2,32.1,36.5,36.3,35.6,36.9,33.2,32.4,33.8,30.7,29.5,32.2,25.2,23.8,26.4,39.1,38.2,40.2,31.8,30.4,33.3,9749149
40,NY,36,,,,,040C2US36,New York -- In metropolitan statistical area -- not in principal city,8550144,4191598,235944,261257,280206,183037,123985,62559,59972,170459,252147,239949,239011,266092,308871,333192,308927,113467,150861,93371,115809,145761,101695,75884,69142,4358546,224374,247283,268424,172858,118021,59404,55788,157363,236018,236703,242929,278570,322635,348516,324381,118040,162132,103939,130335,172149,130235,108172,140277,6964526,3408639,175571,199639,217128,143015,95656,224021,192469,181253,393946,538616,503630,316828,161754,65113,3555887,165407,187814,208441,135380,89867,206565,181501,181179,404959,560734,527291,359605,215743,131401,630400,304474,18617,19775,21999,15797,11133,28379,23672,20095,39962,45259,32089,17825,7882,1990,325926,18417,19951,21953,14658,11272,26824,21060,20391,43348,49684,36851,23908,12542,5067,24977,12418,812,884,722,600,460,1321,765,903,1524,1808,1468,886,162,103,12559,827,770,939,616,432,851,881,833,1623,1864,1519,851,400,153,362667,172509,10041,11599,12249,7659,5954,14042,11302,12522,26284,24056,18788,11882,4998,1133,190158,9901,11960,11698,7508,5717,14016,12653,14391,31867,27954,21165,13350,6054,1924,2356,1160,32,91,73,56,47,162,234,80,117,152,73,10,20,13,1196,37,31,85,64,31,52,202,94,167,179,123,116,15,0,351836,184460,14649,14757,15237,9077,6059,15757,16006,18957,33175,22962,10914,4704,1708,498,167376,15067,13186,12779,7317,5912,14798,13395,14280,28899,21409,11818,5067,2329,1120,213382,107938,16222,14512,12798,6833,4676,9308,7699,6139,10095,9210,6293,2806,1055,292,105444,14718,13571,12529,7315,4790,9449,6326,5535,10636,9327,5786,3526,1324,612,6426226,3136021,150375,177265,194843,130546,85902,201103,171605,161291,351783,502958,481728,306101,157195,63326,3290205,143209,166223,187091,122393,81496,187496,163672,161687,365849,524628,503803,345782,208356,128520,997209,510033,46682,42724,42378,24709,17749,43785,41162,43069,81785,63969,36156,16755,6747,2363,487176,44463,40925,40247,23326,16889,38697,34558,37279,74487,62865,38284,20680,10284,4192,41.4,39.7,42.9,43.9,42.3,45.3,35.1,33.1,37.0,34.7,34.2,36.3,36.4,35.3,37.4,29.7,26.9,35.3,30.3,30.2,30.4,19.7,19.5,19.9,45.1,43.6,46.4,30.0,29.5,30.6,8550144
40,NY,36,,,,,040E0US36,New York -- In micropolitan statistical area,1000834,503207,26675,28086,31047,19394,16958,9044,8803,21982,32139,29851,27225,30281,34539,38367,38168,14165,19296,11787,15308,19229,13591,9283,7989,497627,25333,27622,28292,18310,17178,9248,8672,18400,26810,27392,25513,28897,33018,37872,37209,14091,19978,12496,15770,20828,16239,12768,15691,921620,456976,23702,25170,27861,17331,14657,34207,27272,25508,50993,67181,68121,44791,22346,7836,464644,22480,24824,25408,16437,14713,32652,24826,25031,50818,67768,68665,47451,28169,15402,28325,19481,416,518,590,622,832,2989,2688,2124,3582,2708,1590,615,146,61,8844,352,617,999,303,1088,1214,416,527,999,699,686,438,356,150,8971,4271,256,275,339,212,137,328,268,379,440,630,524,275,156,52,4700,348,260,221,434,146,326,230,384,477,617,645,342,208,62,9648,4182,224,260,226,191,292,434,361,347,513,620,367,231,116,0,5466,206,336,252,197,440,648,456,356,753,713,522,476,88,23,328,98,21,0,0,0,11,0,2,6,30,16,4,0,8,0,230,3,5,0,0,0,53,30,0,5,92,23,19,0,0,12433,7647,327,341,423,334,582,943,719,1096,1195,953,526,163,26,19,4786,388,313,433,255,426,487,393,451,682,409,311,149,89,0,19509,10552,1729,1522,1608,704,447,928,829,391,753,798,497,249,76,21,8957,1556,1267,979,684,365,940,459,643,676,592,426,219,97,54,901300,446223,22722,24076,26960,16858,14172,33230,26268,24511,49645,66067,67320,44371,22205,7818,455077,21486,23876,24439,15918,14172,31924,24170,24340,49817,66617,67929,47109,27904,15376,37541,20967,1744,1819,1525,930,1200,2221,1921,2208,2861,2334,1389,608,163,44,16574,1675,1641,1664,927,1152,1503,1210,1255,1854,1674,1096,526,360,37,41.4,40.1,42.8,42.9,41.8,44.1,30.9,32.5,23.2,34.5,34.1,35.0,32.1,32.0,32.1,44.7,38.3,46.2,29.3,30.6,26.4,17.3,16.5,18.0,43.4,42.3,44.5,26.3,27.5,23.8,1000834
40,NY,36,,,,,040E1US36,New York -- In micropolitan statistical area -- in principal city,246980,120092,7240,7168,7221,4010,5558,3205,2951,6424,9030,8206,7124,7026,7278,7771,8128,2935,3567,2216,2823,3325,2700,1889,2297,126888,6504,6766,6807,4057,7132,4241,3668,5738,8157,7687,6684,6936,7011,8057,8013,3063,4367,2764,3223,4410,3530,3125,4948,215926,102659,5790,5845,5967,3120,4564,10161,7598,6784,11900,12941,13476,7843,4424,2246,113267,5361,5598,5365,3514,5930,11820,7309,6682,12076,13975,14562,9843,6371,4861,12517,7491,288,368,290,289,372,1156,753,642,1312,981,661,282,62,35,5026,201,404,660,155,482,708,248,299,643,366,356,260,180,64,995,574,54,0,48,54,5,81,9,87,64,84,70,7,11,0,421,0,26,7,7,7,40,67,66,45,59,59,24,9,5,3505,1612,65,91,72,57,126,324,100,89,158,311,104,51,64,0,1893,57,45,31,33,266,396,148,106,235,238,181,133,24,0,74,40,0,0,0,0,11,0,0,0,21,0,0,0,8,0,34,0,0,0,0,0,16,0,0,5,0,7,6,0,0,6333,3438,183,187,239,216,335,447,143,435,464,429,201,123,20,16,2895,214,149,296,156,227,256,223,327,500,255,148,79,65,0,7630,4278,860,677,605,274,145,411,427,169,231,303,118,58,0,0,3352,671,544,448,192,220,411,162,207,116,175,130,52,6,18,206310,97954,5363,5288,5451,2916,4358,9757,7139,6333,11356,12564,13109,7673,4401,2246,108356,4864,5170,4764,3280,5609,11383,6900,6367,11476,13494,14275,9632,6300,4842,18450,9280,879,937,873,472,575,992,666,902,1107,908,607,303,43,16,9170,876,754,1083,485,654,928,737,685,1183,795,496,333,142,19,35.6,34.4,36.9,37.5,36.1,39.1,29.4,31.6,22.5,32.5,31.4,34.5,28.4,28.6,28.1,38.5,38.4,41.2,28.6,28.5,28.8,15.1,15.0,15.4,38.4,36.7,40.2,24.1,24.5,23.5,246980
40,NY,36,,,,,040E2US36,New York -- In micropolitan statistical area -- not in principal city,753854,383115,19435,20918,23826,15384,11400,5839,5852,15558,23109,21645,20101,23255,27261,30596,30040,11230,15729,9571,12485,15904,10891,7394,5692,370739,18829,20856,21485,14253,10046,5007,5004,12662,18653,19705,18829,21961,26007,29815,29196,11028,15611,9732,12547,16418,12709,9643,10743,705694,354317,17912,19325,21894,14211,10093,24046,19674,18724,39093,54240,54645,36948,17922,5590,351377,17119,19226,20043,12923,8783,20832,17517,18349,38742,53793,54103,37608,21798,10541,15808,11990,128,150,300,333,460,1833,1935,1482,2270,1727,929,333,84,26,3818,151,213,339,148,606,506,168,228,356,333,330,178,176,86,7976,3697,202,275,291,158,132,247,259,292,376,546,454,268,145,52,4279,348,234,214,427,139,286,163,318,432,558,586,318,199,57,6143,2570,159,169,154,134,166,110,261,258,355,309,263,180,52,0,3573,149,291,221,164,174,252,308,250,518,475,341,343,64,23,254,58,21,0,0,0,0,0,2,6,9,16,4,0,0,0,196,3,5,0,0,0,37,30,0,0,92,16,13,0,0,6100,4209,144,154,184,118,247,496,576,661,731,524,325,40,6,3,1891,174,164,137,99,199,231,170,124,182,154,163,70,24,0,11879,6274,869,845,1003,430,302,517,402,222,522,495,379,191,76,21,5605,885,723,531,492,145,529,297,436,560,417,296,167,91,36,694990,348269,17359,18788,21509,13942,9814,23473,19129,18178,38289,53503,54211,36698,17804,5572,346721,16622,18706,19675,12638,8563,20541,17270,17973,38341,53123,53654,37477,21604,10534,19091,11687,865,882,652,458,625,1229,1255,1306,1754,1426,782,305,120,28,7404,799,887,581,442,498,575,473,570,671,879,600,193,218,18,43.2,42.0,44.6,44.3,43.3,45.5,31.8,33.0,24.0,35.1,34.8,35.7,33.5,33.0,34.4,46.1,35.0,46.3,29.7,31.2,23.1,18.7,17.8,20.3,44.6,43.5,45.7,28.2,29.4,24.0,753854
