SummaryLevel,State,StateFIPS,CountyFIPS,PlaceFIPS,CBSACode,CongressDistrict,GEOID,AreaName,B01001_001,B01001_002,B01001_003,B01001_004,B01001_005,B01001_006,B01001_007,B01001_008,B01001_009,B01001_010,B01001_011,B01001_012,B01001_013,B01001_014,B01001_015,B01001_016,B01001_017,B01001_018,B01001_019,B01001_020,B01001_021,B01001_022,B01001_023,B01001_024,B01001_025,B01001_026,B01001_027,B01001_028,B01001_029,B01001_030,B01001_031,B01001_032,B01001_033,B01001_034,B01001_035,B01001_036,B01001_037,B01001_038,B01001_039,B01001_040,B01001_041,B01001_042,B01001_043,B01001_044,B01001_045,B01001_046,B01001_047,B01001_048,B01001_049,B01001A_001,B01001A_002,B01001A_003,B01001A_004,B01001A_005,B01001A_006,B01001A_007,B01001A_008,B01001A_009,B01001A_010,B01001A_011,B01001A_012,B01001A_013,B01001A_014,B01001A_015,B01001A_016,B01001A_017,B01001A_018,B01001A_019,B01001A_020,B01001A_021,B01001A_022,B01001A_023,B01001A_024,B01001A_025,B01001A_026,B01001A_027,B01001A_028,B01001A_029,B01001A_030,B01001A_031,B01001B_001,B01001B_002,B01001B_003,B01001B_004,B01001B_005,B01001B_006,B01001B_007,B01001B_008,B01001B_009,B01001B_010,B01001B_011,B01001B_012,B01001B_013,B01001B_014,B01001B_015,B01001B_016,B01001B_017,B01001B_018,B01001B_019,B01001B_020,B01001B_021,B01001B_022,B01001B_023,B01001B_024,B01001B_025,B01001B_026,B01001B_027,B01001B_028,B01001B_029,B01001B_030,B01001B_031,B01001C_001,B01001C_002,B01001C_003,B01001C_004,B01001C_005,B01001C_006,B01001C_007,B01001C_008,B01001C_009,B01001C_010,B01001C_011,B01001C_012,B01001C_013,B01001C_014,B01001C_015,B01001C_016,B01001C_017,B01001C_018,B01001C_019,B01001C_020,B01001C_021,B01001C_022,B01001C_023,B01001C_024,B01001C_025,B01001C_026,B01001C_027,B01001C_028,B01001C_029,B01001C_030,B01001C_031,B01001D_001,B01001D_002,B01001D_003,B01001D_004,B01001D_005,B01001D_006,B01001D_007,B01001D_008,B01001D_009,B01001D_010,B01001D_011,B01001D_012,B01001D_013,B01001D_014,B01001D_015,B01001D_016,B01001D_017,B01001D_018,B01001D_019,B01001D_020,B01001D_021,B01001D_022,B01001D_023,B01001D_024,B01001D_025,B01001D_026,B01001D_027,B01001D_028,B01001D_029,B01001D_030,B01001D_031,B01001E_001,B01001E_002,B01001E_003,B01001E_004,B01001E_005,B01001E_006,B01001E_007,B01001E_008,B01001E_009,B01001E_010,B01001E_011,B01001E_012,B01001E_013,B01001E_014,B01001E_015,B01001E_016,B01001E_017,B01001E_018,B01001E_019,B01001E_020,B01001E_021,B01001E_022,B01001E_023,B01001E_024,B01001E_025,B01001E_026,B01001E_027,B01001E_028,B01001E_029,B01001E_030,B01001E_031,B01001F_001,B01001F_002,B01001F_003,B01001F_004,B01001F_005,B01001F_006,B01001F_007,B01001F_008,B01001F_009,B01001F_010,B01001F_011,B01001F_012,B01001F_013,B01001F_014,B01001F_015,B01001F_016,B01001F_017,B01001F_018,B01001F_019,B01001F_020,B01001F_021,B01001F_022,B01001F_023,B01001F_024,B01001F_025,B01001F_026,B01001F_027,B01001F_028,B01001F_029,B01001F_030,B01001F_031,B01001G_001,B01001G_002,B01001G_003,B01001G_004,B01001G_005,B01001G_006,B01001G_007,B01001G_008,B01001G_009,B01001G_010,B01001G_011,B01001G_012,B01001G_013,B01001G_014,B01001G_015,B01001G_016,B01001G_017,B01001G_018,B01001G_019,B01001G_020,B01001G_021,B01001G_022,B01001G_023,B01001G_024,B01001G_025,B01001G_026,B01001G_027,B01001G_028,B01001G_029,B01001G_030,B01001G_031,B01001H_001,B01001H_002,B01001H_003,B01001H_004,B01001H_005,B01001H_006,B01001H_007,B01001H_008,B01001H_009,B01001H_010,B01001H_011,B01001H_012,B01001H_013,B01001H_014,B01001H_015,B01001H_016,B01001H_017,B01001H_018,B01001H_019,B01001H_020,B01001H_021,B01001H_022,B01001H_023,B01001H_024,B01001H_025,B01001H_026,B01001H_027,B01001H_028,B01001H_029,B01001H_030,B01001H_031,B01001I_001,B01001I_002,B01001I_003,B01001I_004,B01001I_005,B01001I_006,B01001I_007,B01001I_008,B01001I_009,B01001I_010,B01001I_011,B01001I_012,B01001I_013,B01001I_014,B01001I_015,B01001I_016,B01001I_017,B01001I_018,B01001I_019,B01001I_020,B01001I_021,B01001I_022,B01001I_023,B01001I_024,B01001I_025,B01001I_026,B01001I_027,B01001I_028,B01001I_029,B01001I_030,B01001I_031,B01002_001,B01002_002,B01002_003,B01002A_001,B01002A_002,B01002A_003,B01002B_001,B01002B_002,B01002B_003,B01002C_001,B01002C_002,B01002C_003,B01002D_001,B01002D_002,B01002D_003,B01002E_001,B01002E_002,B01002E_003,B01002F_001,B01002F_002,B01002F_003,B01002G_001,B01002G_002,B01002G_003,B01002H_001,B01002H_002,B01002H_003,B01002I_001,B01002I_002,B01002I_003,B01003_001
40,OH,39,,,,,04000US39,Ohio,11586941,5673893,356440,373820,382069,238471,160235,85978,81587,231576,377750,358958,338387,359981,378012,411079,406118,152333,203364,124843,153356,189385,134877,92812,82462,5913048,339324,353254,369848,226634,153007,80710,80151,225791,371995,360545,340834,367030,385936,428621,431976,158624,220166,136998,171092,228998,174898,137971,168645,9519506,4674194,265364,284087,296893,186765,124629,310735,302190,290987,574860,673286,664535,418579,205366,75918,4845312,251719,263896,286875,177532,118044,300227,293185,288417,575303,687611,698070,472797,278249,153387,1421943,678507,53638,54941,53569,33246,23063,60574,49561,43257,82880,86368,75820,37752,18319,5519,743436,51692,54077,51181,32342,22711,59280,53476,48496,91750,96091,88752,50981,29187,13420,21459,11301,597,678,536,412,341,840,731,683,1762,1940,1630,823,239,89,10158,211,466,737,392,245,748,462,537,1579,1680,1801,793,328,179,224520,107064,6521,6975,6479,3833,3313,9313,10807,11108,18735,12650,8894,5736,2285,415,117456,6825,7071,7848,3952,3919,8532,11538,11416,20010,14666,11077,6995,2799,808,3248,1547,85,111,197,75,41,88,128,180,254,159,120,64,25,20,1701,71,133,99,26,50,189,112,138,328,122,261,119,26,27,98088,51983,4655,4855,4428,2709,1778,3864,4843,5492,8271,5602,3829,1227,392,38,46105,4494,4758,4334,2403,1600,4037,3856,4126,6927,4616,3126,1179,435,214,298177,149297,25580,22173,19967,11431,7070,13727,9490,7251,11606,9086,6987,3403,1063,463,148880,24312,22853,18774,9987,6438,13639,9366,7415,11967,9771,7679,4224,1845,610,9265123,4543976,251898,269376,284395,179936,119774,299375,291615,280344,556483,661042,656493,414376,203645,75224,4721147,238760,250506,274634,171082,114099,290103,283712,278897,558807,675510,688841,468227,275601,152368,400932,206443,22747,22657,20211,11010,7589,17831,17395,17137,28629,19758,12515,5870,2268,826,194489,21451,21597,19383,10147,6734,16680,15537,14863,25500,18404,13216,6245,3441,1291,39.3,37.8,40.8,41.4,40.0,42.9,33.2,31.2,34.8,41.4,40.1,42.7,33.3,32.7,33.9,33.8,31.5,35.7,27.9,28.9,27.0,17.2,16.8,17.5,42.0,40.5,43.4,25.3,25.3,25.3,11586941
40,OH,39,,,,,04001US39,Ohio -- Urban,9049642,4389167,287395,289703,291318,180068,129843,70343,66472,189662,315805,293333,267584,279664,285411,305290,299891,112202,149449,91626,113001,135505,98525,70900,66177,4660475,272581,277425,285613,171595,125564,67532,67621,187624,313485,297072,272013,287304,294902,326142,327301,120576,167729,103982,131013,174932,136179,110755,141535,7063025,3432724,199589,203599,210363,131514,95867,241561,242779,228072,428823,480251,468657,293856,147960,59833,3630301,188126,191624,206694,124555,92349,238664,236542,226898,431144,498699,507004,347898,213407,126697,1398900,665095,52997,54569,52750,32538,22413,58944,48545,42253,81206,84589,74251,36764,17850,5426,733805,51234,53419,50514,31916,21828,58499,53213,48162,90724,94779,87510,50112,28697,13198,17598,9191,530,645,353,331,304,710,636,531,1513,1539,1248,602,161,88,8407,184,364,587,311,219,685,403,460,1393,1370,1388,642,248,153,214716,103204,6284,6768,6222,3620,3207,9081,10597,10868,18110,12131,8400,5330,2197,389,111512,6524,6700,7148,3685,3765,8356,11100,10991,19071,13813,10394,6602,2618,745,2740,1263,85,109,182,26,41,82,106,148,213,103,84,39,25,20,1477,68,122,58,24,29,186,82,130,278,110,230,110,23,27,89130,46692,4269,4418,3932,2510,1620,3446,4429,5039,7532,4852,3380,885,342,38,42438,4221,4394,4005,2236,1486,3796,3674,3783,6433,4084,2717,1056,387,166,263533,130998,23641,19595,17516,9529,6391,12653,8713,6422,9851,7236,5522,2656,890,383,132535,22224,20802,16607,8868,5888,12591,8471,6648,10274,8189,6363,3507,1554,549,6833962,3315445,187426,190161,199336,125682,91538,231272,232859,218161,412217,469252,461612,290193,146495,59241,3518517,176159,179791,195575,118879,88930,229351,227902,218091,415916,488131,498981,343859,211127,125825,362889,186217,20605,20695,17903,9602,6824,16200,16328,15824,25969,17628,11035,4909,1971,724,176672,19888,19432,17693,9046,6042,15525,14216,13753,23612,16232,11598,5563,2987,1085,38.1,36.4,39.8,40.6,38.9,42.3,33.1,31.2,34.8,40.4,39.4,41.7,33.2,32.6,33.8,33.7,30.0,35.9,27.6,28.6,26.5,16.9,16.5,17.2,41.3,39.5,42.9,25.3,25.3,25.2,9049642
40,OH,39,,,,,04043US39,Ohio -- Rural,2537299,1284726,69045,84117,90751,58403,30392,15635,15115,41914,61945,65625,70803,80317,92601,105789,106227,40131,53915,33217,40355,53880,36352,21912,16285,1252573,66743,75829,84235,55039,27443,13178,12530,38167,58510,63473,68821,79726,91034,102479,104675,38048,52437,33016,40079,54066,38719,27216,27110,2456481,1241470,65775,80488,86530,55251,28762,69174,59411,62915,146037,193035,195878,124723,57406,16085,1215011,63593,72272,80181,52977,25695,61563,56643,61519,144159,188912,191066,124899,64842,26690,23043,13412,641,372,819,708,650,1630,1016,1004,1674,1779,1569,988,469,93,9631,458,658,667,426,883,781,263,334,1026,1312,1242,869,490,222,3861,2110,67,33,183,81,37,130,95,152,249,401,382,221,78,1,1751,27,102,150,81,26,63,59,77,186,310,413,151,80,26,9804,3860,237,207,257,213,106,232,210,240,625,519,494,406,88,26,5944,301,371,700,267,154,176,438,425,939,853,683,393,181,63,508,284,0,2,15,49,0,6,22,32,41,56,36,25,0,0,224,3,11,41,2,21,3,30,8,50,12,31,9,3,0,8958,5291,386,437,496,199,158,418,414,453,739,750,449,342,50,0,3667,273,364,329,167,114,241,182,343,494,532,409,123,48,48,34644,18299,1939,2578,2451,1902,679,1074,777,829,1755,1850,1465,747,173,80,16345,2088,2051,2167,1119,550,1048,895,767,1693,1582,1316,717,291,61,2431161,1228531,64472,79215,85059,54254,28236,68103,58756,62183,144266,191790,194881,124183,57150,15983,1202630,62601,70715,79059,52203,25169,60752,55810,60806,142891,187379,189860,124368,64474,26543,38043,20226,2142,1962,2308,1408,765,1631,1067,1313,2660,2130,1480,961,297,102,17817,1563,2165,1690,1101,692,1155,1321,1110,1888,2172,1618,682,454,206,43.2,42.5,44.0,43.6,42.9,44.3,35.6,34.4,37.7,47.8,46.1,50.9,37.0,38.3,36.2,38.2,41.0,32.1,31.8,31.4,32.8,19.5,18.6,20.7,43.8,43.1,44.5,25.8,24.6,26.8,2537299
40,OH,39,,,,,040A0US39,Ohio -- In metropolitan or micropolitan statistical area,11134094,5447389,342151,357993,365927,228471,154473,82919,78465,223581,364882,346141,325524,345966,363440,395109,389035,145628,194924,119031,146876,180337,128141,88995,79380,5686705,325769,337960,354873,217001,147919,77852,77780,217628,360158,347892,328479,352967,371424,412269,415706,152195,211778,131189,164544,219454,166953,132449,162466,9083711,4457196,251927,268968,281540,177270,119283,297298,290094,278829,549218,643886,633319,397733,194980,72851,4626515,238874,249249,272602,168368,113291,287510,281633,276170,549705,657638,667768,451408,265011,147288,1417757,675633,53537,54876,53484,33102,22964,60319,49259,42928,82368,85964,75450,37628,18250,5504,742124,51619,54002,51105,32254,22670,59185,53398,48403,91645,95978,88544,50856,29103,13362,20703,10840,574,678,499,398,341,818,682,674,1727,1877,1513,749,221,89,9863,211,445,723,385,245,694,448,537,1557,1628,1726,774,311,179,222868,106395,6491,6907,6403,3796,3295,9277,10773,11077,18661,12540,8816,5664,2280,415,116473,6793,7015,7754,3889,3879,8453,11506,11373,19808,14533,11011,6868,2783,808,3129,1465,85,111,193,26,41,88,124,180,229,159,120,64,25,20,1664,68,133,87,24,50,189,112,134,322,120,258,114,26,27,94938,50144,4508,4721,4238,2706,1682,3762,4619,5332,8001,5396,3599,1182,360,38,44794,4337,4658,4172,2315,1566,4004,3814,4000,6778,4436,2974,1120,410,210,290988,145716,25029,21732,19570,11173,6867,13403,9331,7121,11286,8727,6770,3224,1020,463,145272,23867,22458,18430,9766,6218,13225,9247,7275,11631,9360,7398,4047,1758,592,8834701,4329665,238720,254613,269356,170603,114572,286118,279766,268352,531209,631829,625395,393628,193323,72181,4505036,226186,236152,260671,162084,109413,277687,272360,266763,533444,645838,658724,447010,262432,146272,391372,201413,22242,22079,19637,10820,7336,17458,16907,16786,27963,19305,12169,5727,2182,802,189959,20931,21112,18852,9865,6629,16280,15235,14567,25085,17916,12867,5998,3334,1288,39.2,37.7,40.7,41.5,40.0,42.9,33.1,31.2,34.8,41.1,39.8,42.6,33.3,32.7,33.9,34.0,31.9,35.8,27.9,28.8,26.9,17.1,16.8,17.4,42.0,40.5,43.4,25.3,25.3,25.4,11134094
40,OH,39,,,,,040C0US39,Ohio -- In metropolitan statistical area,9216232,4493479,284926,295629,302268,187749,127137,68769,64162,186487,308611,289792,270211,285939,300643,325358,317868,118986,159098,96688,119186,144309,102496,72061,65106,4722753,272124,278861,295154,178913,121523,64116,64333,183762,306987,294520,274153,296122,310213,342242,342757,125167,174991,107214,134702,178068,136096,107561,133174,7278410,3565750,199910,212083,222753,139726,94894,238140,238407,227274,442411,518376,505494,314136,153373,58773,3712660,189397,195201,217755,133288,89436,230856,231365,225590,443958,531492,535919,358966,210627,118810,1373786,648673,52345,53654,52043,32121,21867,56967,47072,40632,78025,82316,72171,36475,17626,5359,725113,50701,52818,50100,31435,21604,57656,52710,47511,89609,93632,86547,49552,28398,12840,17027,8925,561,587,421,334,244,689,495,630,1486,1485,1118,593,194,88,8102,166,343,534,322,171,622,407,453,1339,1405,1313,601,271,155,210913,101086,6267,6627,6106,3657,2993,8383,10236,10552,17933,12055,8329,5353,2184,411,109827,6535,6720,7294,3646,3538,7793,10893,10814,18889,13634,10273,6501,2583,714,2622,1218,58,100,193,16,41,53,84,144,210,128,91,64,16,20,1404,51,113,67,18,50,110,90,123,303,88,249,108,23,11,81790,42671,3840,4149,3764,2411,1366,3274,3932,4562,6693,4395,2974,976,297,38,39119,4017,4067,3572,1913,1425,3589,3436,3438,5851,3985,2419,904,363,140,251684,125156,21945,18429,16988,9484,5732,11912,8385,5998,9392,7246,5775,2586,867,417,126528,21257,19599,15832,8291,5299,11585,8086,6591,10326,8219,6195,3352,1392,504,7061009,3455026,188307,199465,212577,134287,90837,228484,229167,217988,426754,507702,498636,310660,151931,58231,3605983,178499,183840,207100,127781,86189,222465,223162,217054,429459,521009,528027,354994,208548,117856,341536,174697,19615,19273,16765,9108,6335,15186,14990,14708,24050,16799,10432,4861,1901,674,166839,18419,18407,16499,8512,5800,14153,13448,13055,22088,16051,11148,5352,2753,1154,38.9,37.4,40.5,41.4,39.9,42.9,33.1,31.0,34.8,40.4,39.3,42.3,33.3,32.9,33.9,35.0,33.3,37.6,27.4,28.3,26.6,17.0,16.7,17.3,42.0,40.5,43.5,25.4,25.3,25.5,9216232
40,OH,39,,,,,040C1US39,Ohio -- In metropolitan statistical area -- in principal city,2606193,1263409,92935,84527,77366,44665,43837,24542,22282,65856,115622,98921,80002,75176,76632,82523,80396,29471,38168,22575,26469,29542,21644,15469,14789,1342784,90744,81601,74390,44413,40663,23429,22892,69313,120051,99471,78847,78965,77293,86412,88455,31340,44765,25884,32145,40959,31534,25240,33978,1525890,750951,44919,37878,35552,20440,26172,66074,74186,62950,96862,99721,95879,54180,24951,11187,774939,40978,35438,34399,20984,23216,66676,73051,59688,92196,98232,102798,64608,37139,25536,854768,400280,34214,34952,31992,18794,12986,34444,29225,25848,45280,50933,45421,21733,11111,3347,454488,34933,34089,30550,18334,12771,37525,35028,30285,53728,56467,54349,30514,17951,7964,6914,3581,93,296,151,68,127,332,307,262,626,684,355,220,19,41,3333,80,143,175,60,101,216,167,211,550,541,547,322,136,84,69548,34512,2080,1742,1244,1005,1476,4587,5454,4644,4878,2830,2599,1368,549,56,35036,2321,1318,1567,911,1707,3910,5521,4208,4313,3335,3185,1774,825,141,850,497,27,0,129,0,18,12,8,49,136,59,10,33,16,0,353,22,57,14,0,8,19,26,41,66,47,25,11,6,11,41593,21767,1803,1996,1781,1119,714,1569,2263,2513,3593,2378,1516,302,203,17,19826,2047,2119,1667,889,529,1731,2115,1932,2925,2004,1056,494,248,70,106630,51821,9799,7663,6517,3239,2344,5662,4179,2655,3803,2550,2255,750,264,141,54809,10363,8437,6018,3235,2331,5557,4143,3106,4034,3079,2600,1265,469,172,1437375,705514,39920,33288,31659,18475,24802,62033,69868,58644,89952,95316,93255,52876,24421,11005,731861,36130,30870,30689,18489,21973,63082,69647,56128,86232,94134,99945,63071,36360,25111,153373,78802,9016,8189,7051,3694,2535,6877,7736,7312,11427,7717,4476,1759,786,227,74571,9106,8617,6293,3954,2314,6612,6591,6072,9804,7027,4402,2159,1120,500,34.1,32.9,35.3,36.9,35.6,38.4,32.5,30.7,34.0,41.1,38.6,43.7,30.0,29.7,30.2,34.9,38.0,34.7,28.1,29.0,27.5,17.0,16.7,17.3,37.9,36.4,39.4,25.7,26.1,25.3,2606193
40,OH,39,,,,,040C2US39,Ohio -- In metropolitan statistical area -- not in principal city,6610039,3230070,191991,211102,224902,143084,83300,44227,41880,120631,192989,190871,190209,210763,224011,242835,237472,89515,120930,74113,92717,114767,80852,56592,50317,3379969,181380,197260,220764,134500,80860,40687,41441,114449,186936,195049,195306,217157,232920,255830,254302,93827,130226,81330,102557,137109,104562,82321,99196,5752520,2814799,154991,174205,187201,119286,68722,172066,164221,164324,345549,418655,409615,259956,128422,47586,2937721,148419,159763,183356,112304,66220,164180,158314,165902,351762,433260,433121,294358,173488,93274,519018,248393,18131,18702,20051,13327,8881,22523,17847,14784,32745,31383,26750,14742,6515,2012,270625,15768,18729,19550,13101,8833,20131,17682,17226,35881,37165,32198,19038,10447,4876,10113,5344,468,291,270,266,117,357,188,368,860,801,763,373,175,47,4769,86,200,359,262,70,406,240,242,789,864,766,279,135,71,141365,66574,4187,4885,4862,2652,1517,3796,4782,5908,13055,9225,5730,3985,1635,355,74791,4214,5402,5727,2735,1831,3883,5372,6606,14576,10299,7088,4727,1758,573,1772,721,31,100,64,16,23,41,76,95,74,69,81,31,0,20,1051,29,56,53,18,42,91,64,82,237,41,224,97,17,0,40197,20904,2037,2153,1983,1292,652,1705,1669,2049,3100,2017,1458,674,94,21,19293,1970,1948,1905,1024,896,1858,1321,1506,2926,1981,1363,410,115,70,145054,73335,12146,10766,10471,6245,3388,6250,4206,3343,5589,4696,3520,1836,603,276,71719,10894,11162,9814,5056,2968,6028,3943,3485,6292,5140,3595,2087,923,332,5623634,2749512,148387,166177,180918,115812,66035,166451,159299,159344,336802,412386,405381,257784,127510,47226,2874122,142369,152970,176411,109292,64216,159383,153515,160926,343227,426875,428082,291923,172188,92745,188163,95895,10599,11084,9714,5414,3800,8309,7254,7396,12623,9082,5956,3102,1115,447,92268,9313,9790,10206,4558,3486,7541,6857,6983,12284,9024,6746,3193,1633,654,41.0,39.5,42.4,42.6,41.1,44.0,34.1,31.5,36.1,40.2,39.5,41.0,35.9,35.6,36.1,35.1,33.1,39.2,26.3,27.3,25.2,17.0,16.7,17.3,43.0,41.6,44.4,25.1,24.4,25.8,6610039
40,OH,39,,,,,040E0US39,Ohio -- In micropolitan statistical area,1917862,953910,57225,62364,63659,40722,27336,14150,14303,37094,56271,56349,55313,60027,62797,69751,71167,26642,35826,22343,27690,36028,25645,16934,14274,963952,53645,59099,59719,38088,26396,13736,13447,33866,53171,53372,54326,56845,61211,70027,72949,27028,36787,23975,29842,41386,30857,24888,29292,1805301,891446,52017,56885,58787,37544,24389,59158,51687,51555,106807,125510,127825,83597,41607,14078,913855,49477,54048,54847,35080,23855,56654,50268,50580,105747,126146,131849,92442,54384,28478,43971,26960,1192,1222,1441,981,1097,3352,2187,2296,4343,3648,3279,1153,624,145,17011,918,1184,1005,819,1066,1529,688,892,2036,2346,1997,1304,705,522,3676,1915,13,91,78,64,97,129,187,44,241,392,395,156,27,1,1761,45,102,189,63,74,72,41,84,218,223,413,173,40,24,11955,5309,224,280,297,139,302,894,537,525,728,485,487,311,96,4,6646,258,295,460,243,341,660,613,559,919,899,738,367,200,94,507,247,27,11,0,10,0,35,40,36,19,31,29,0,9,0,260,17,20,20,6,0,79,22,11,19,32,9,6,3,16,13148,7473,668,572,474,295,316,488,687,770,1308,1001,625,206,63,0,5675,320,591,600,402,141,415,378,562,927,451,555,216,47,70,39304,20560,3084,3303,2582,1689,1135,1491,946,1123,1894,1481,995,638,153,46,18744,2610,2859,2598,1475,919,1640,1161,684,1305,1141,1203,695,366,88,1773692,874639,50413,55148,56779,36316,23735,57634,50599,50364,104455,124127,126759,82968,41392,13950,899053,47687,52312,53571,34303,23224,55222,49198,49709,103985,124829,130697,92016,53884,28416,49836,26716,2627,2806,2872,1712,1001,2272,1917,2078,3913,2506,1737,866,281,128,23120,2512,2705,2353,1353,829,2127,1787,1512,2997,1865,1719,646,581,134,40.7,39.2,42.1,41.6,40.2,42.9,35.1,34.6,36.1,45.5,46.0,44.8,31.7,29.9,34.1,27.9,31.0,24.5,30.8,31.3,29.9,17.4,17.2,17.7,42.0,40.6,43.2,24.7,25.2,24.3,1917862
40,OH,39,,,,,040E1US39,Ohio -- In micropolitan statistical area -- in principal city,563769,272446,18037,17898,16170,10694,10885,5571,5968,13909,19173,18346,15123,16154,15768,17201,17788,6848,9023,5860,6986,8834,6622,4814,4774,291323,16228,17124,16034,9702,11286,6495,6381,13100,18538,17011,15693,15721,15356,18739,19280,7227,10193,6872,8324,12025,9710,8622,11662,504127,240339,15107,15071,13696,9135,9157,21753,16767,16081,27355,29608,30555,20495,10923,4636,263788,14321,14498,13368,7996,9788,23132,16947,15392,28220,31483,34156,25750,17626,11111,27401,15602,758,912,915,658,714,1953,1078,1122,2109,2192,2069,619,390,113,11799,565,741,779,554,708,1089,560,735,1508,1494,1347,870,471,378,1355,657,0,79,13,13,58,51,103,12,93,147,79,9,0,0,698,0,50,104,36,28,35,27,56,17,79,150,79,22,15,6787,3322,134,135,208,27,222,716,410,281,434,257,226,209,63,0,3465,105,115,150,141,180,580,314,314,516,414,333,169,65,69,272,69,17,0,0,0,0,0,10,21,10,0,11,0,0,0,203,7,20,20,6,0,79,7,7,19,22,0,0,0,16,6467,3474,345,324,213,112,113,180,358,443,525,412,366,72,11,0,2993,180,281,332,257,87,182,166,298,517,238,261,129,23,42,17360,8983,1676,1377,1125,749,621,795,447,386,751,353,353,276,49,25,8377,1050,1419,1281,712,495,879,517,209,617,365,453,224,125,31,489036,232295,14308,14136,12789,8580,8806,20956,16249,15402,26149,29136,30114,20239,10841,4590,256741,13324,13636,12881,7681,9444,22280,16410,14896,27320,30925,33826,25584,17457,11077,24414,12780,1314,1554,1370,753,462,1118,953,1121,1842,970,821,359,97,46,11634,1344,1380,1174,675,487,1251,812,813,1622,847,614,322,208,85,37.1,34.9,39.3,38.6,36.3,40.9,34.7,34.1,35.8,36.2,34.0,43.6,29.7,27.7,32.0,24.4,31.4,21.9,30.4,30.6,30.1,16.6,16.3,17.0,39.4,37.0,41.6,23.3,24.2,22.5,563769
40,OH,39,,,,,040E2US39,Ohio -- In micropolitan statistical area -- not in principal city,1354093,681464,39188,44466,47489,30028,16451,8579,8335,23185,37098,38003,40190,43873,47029,52550,53379,19794,26803,16483,20704,27194,19023,12120,9500,672629,37417,41975,43685,28386,15110,7241,7066,20766,34633,36361,38633,41124,45855,51288,53669,19801,26594,17103,21518,29361,21147,16266,17630,1301174,651107,36910,41814,45091,28409,15232,37405,34920,35474,79452,95902,97270,63102,30684,9442,650067,35156,39550,41479,27084,14067,33522,33321,35188,77527,94663,97693,66692,36758,17367,16570,11358,434,310,526,323,383,1399,1109,1174,2234,1456,1210,534,234,32,5212,353,443,226,265,358,440,128,157,528,852,650,434,234,144,2321,1258,13,12,65,51,39,78,84,32,148,245,316,147,27,1,1063,45,52,85,27,46,37,14,28,201,144,263,94,18,9,5168,1987,90,145,89,112,80,178,127,244,294,228,261,102,33,4,3181,153,180,310,102,161,80,299,245,403,485,405,198,135,25,235,178,10,11,0,10,0,35,30,15,9,31,18,0,9,0,57,10,0,0,0,0,0,15,4,0,10,9,6,3,0,6681,3999,323,248,261,183,203,308,329,327,783,589,259,134,52,0,2682,140,310,268,145,54,233,212,264,410,213,294,87,24,28,21944,11577,1408,1926,1457,940,514,696,499,737,1143,1128,642,362,104,21,10367,1560,1440,1317,763,424,761,644,475,688,776,750,471,241,57,1284656,642344,36105,41012,43990,27736,14929,36678,34350,34962,78306,94991,96645,62729,30551,9360,642312,34363,38676,40690,26622,13780,32942,32788,34813,76665,93904,96871,66432,36427,17339,25422,13936,1313,1252,1502,959,539,1154,964,957,2071,1536,916,507,184,82,11486,1168,1325,1179,678,342,876,975,699,1375,1018,1105,324,373,49,42.0,40.9,43.1,42.6,41.6,43.6,35.5,35.1,36.9,48.3,48.9,44.9,34.8,33.2,36.2,29.8,27.7,32.9,31.6,33.1,29.1,18.3,18.2,18.5,42.8,41.8,43.8,25.9,26.4,25.7,1354093
