SummaryLevel,State,StateFIPS,CountyFIPS,PlaceFIPS,CBSACode,CongressDistrict,GEOID,AreaName,B01001_001,B01001_002,B01001_003,B01001_004,B01001_005,B01001_006,B01001_007,B01001_008,B01001_009,B01001_010,B01001_011,B01001_012,B01001_013,B01001_014,B01001_015,B01001_016,B01001_017,B01001_018,B01001_019,B01001_020,B01001_021,B01001_022,B01001_023,B01001_024,B01001_025,B01001_026,B01001_027,B01001_028,B01001_029,B01001_030,B01001_031,B01001_032,B01001_033,B01001_034,B01001_035,B01001_036,B01001_037,B01001_038,B01001_039,B01001_040,B01001_041,B01001_042,B01001_043,B01001_044,B01001_045,B01001_046,B01001_047,B01001_048,B01001_049,B01001A_001,B01001A_002,B01001A_003,B01001A_004,B01001A_005,B01001A_006,B01001A_007,B01001A_008,B01001A_009,B01001A_010,B01001A_011,B01001A_012,B01001A_013,B01001A_014,B01001A_015,B01001A_016,B01001A_017,B01001A_018,B01001A_019,B01001A_020,B01001A_021,B01001A_022,B01001A_023,B01001A_024,B01001A_025,B01001A_026,B01001A_027,B01001A_028,B01001A_029,B01001A_030,B01001A_031,B01001B_001,B01001B_002,B01001B_003,B01001B_004,B01001B_005,B01001B_006,B01001B_007,B01001B_008,B01001B_009,B01001B_010,B01001B_011,B01001B_012,B01001B_013,B01001B_014,B01001B_015,B01001B_016,B01001B_017,B01001B_018,B01001B_019,B01001B_020,B01001B_021,B01001B_022,B01001B_023,B01001B_024,B01001B_025,B01001B_026,B01001B_027,B01001B_028,B01001B_029,B01001B_030,B01001B_031,B01001C_001,B01001C_002,B01001C_003,B01001C_004,B01001C_005,B01001C_006,B01001C_007,B01001C_008,B01001C_009,B01001C_010,B01001C_011,B01001C_012,B01001C_013,B01001C_014,B01001C_015,B01001C_016,B01001C_017,B01001C_018,B01001C_019,B01001C_020,B01001C_021,B01001C_022,B01001C_023,B01001C_024,B01001C_025,B01001C_026,B01001C_027,B01001C_028,B01001C_029,B01001C_030,B01001C_031,B01001D_001,B01001D_002,B01001D_003,B01001D_004,B01001D_005,B01001D_006,B01001D_007,B01001D_008,B01001D_009,B01001D_010,B01001D_011,B01001D_012,B01001D_013,B01001D_014,B01001D_015,B01001D_016,B01001D_017,B01001D_018,B01001D_019,B01001D_020,B01001D_021,B01001D_022,B01001D_023,B01001D_024,B01001D_025,B01001D_026,B01001D_027,B01001D_028,B01001D_029,B01001D_030,B01001D_031,B01001E_001,B01001E_002,B01001E_003,B01001E_004,B01001E_005,B01001E_006,B01001E_007,B01001E_008,B01001E_009,B01001E_010,B01001E_011,B01001E_012,B01001E_013,B01001E_014,B01001E_015,B01001E_016,B01001E_017,B01001E_018,B01001E_019,B01001E_020,B01001E_021,B01001E_022,B01001E_023,B01001E_024,B01001E_025,B01001E_026,B01001E_027,B01001E_028,B01001E_029,B01001E_030,B01001E_031,B01001F_001,B01001F_002,B01001F_003,B01001F_004,B01001F_005,B01001F_006,B01001F_007,B01001F_008,B01001F_009,B01001F_010,B01001F_011,B01001F_012,B01001F_013,B01001F_014,B01001F_015,B01001F_016,B01001F_017,B01001F_018,B01001F_019,B01001F_020,B01001F_021,B01001F_022,B01001F_023,B01001F_024,B01001F_025,B01001F_026,B01001F_027,B01001F_028,B01001F_029,B01001F_030,B01001F_031,B01001G_001,B01001G_002,B01001G_003,B01001G_004,B01001G_005,B01001G_006,B01001G_007,B01001G_008,B01001G_009,B01001G_010,B01001G_011,B01001G_012,B01001G_013,B01001G_014,B01001G_015,B01001G_016,B01001G_017,B01001G_018,B01001G_019,B01001G_020,B01001G_021,B01001G_022,B01001G_023,B01001G_024,B01001G_025,B01001G_026,B01001G_027,B01001G_028,B01001G_029,B01001G_030,B01001G_031,B01001H_001,B01001H_002,B01001H_003,B01001H_004,B01001H_005,B01001H_006,B01001H_007,B01001H_008,B01001H_009,B01001H_010,B01001H_011,B01001H_012,B01001H_013,B01001H_014,B01001H_015,B01001H_016,B01001H_017,B01001H_018,B01001H_019,B01001H_020,B01001H_021,B01001H_022,B01001H_023,B01001H_024,B01001H_025,B01001H_026,B01001H_027,B01001H_028,B01001H_029,B01001H_030,B01001H_031,B01001I_001,B01001I_002,B01001I_003,B01001I_004,B01001I_005,B01001I_006,B01001I_007,B01001I_008,B01001I_009,B01001I_010,B01001I_011,B01001I_012,B01001I_013,B01001I_014,B01001I_015,B01001I_016,B01001I_017,B01001I_018,B01001I_019,B01001I_020,B01001I_021,B01001I_022,B01001I_023,B01001I_024,B01001I_025,B01001I_026,B01001I_027,B01001I_028,B01001I_029,B01001I_030,B01001I_031,B01002_001,B01002_002,B01002_003,B01002A_001,B01002A_002,B01002A_003,B01002B_001,B01002B_002,B01002B_003,B01002C_001,B01002C_002,B01002C_003,B01002D_001,B01002D_002,B01002D_003,B01002E_001,B01002E_002,B01002E_003,B01002F_001,B01002F_002,B01002F_003,B01002G_001,B01002G_002,B01002G_003,B01002H_001,B01002H_002,B01002H_003,B01002I_001,B01002I_002,B01002I_003,B01003_001
40,SC,45,,,,,04000US45,South Carolina,4834605,2348338,148149,156865,154080,92882,68990,38945,38497,99978,159467,149851,141409,151599,152059,162110,153534,59299,83965,54337,73548,89753,57571,35088,26362,2486267,143350,151227,149521,89705,63966,34816,35115,99095,161610,154919,150312,154133,162001,174716,173048,67159,96553,62337,82658,103734,71015,50791,54486,3252252,1597503,88217,92924,94987,57586,42988,109583,103281,99999,201224,221887,215375,171844,75627,21981,1654749,85399,90695,90066,55026,38910,102594,103212,99264,199698,227546,236775,188628,93983,42953,1322368,618501,43687,48640,46773,29177,20837,56181,45352,40471,74049,79273,72907,41392,15679,4083,703867,43498,46292,47305,28788,20436,56635,49583,46542,87985,95978,90045,54090,25875,10815,15417,7875,523,478,814,458,225,566,602,516,760,1236,898,546,221,32,7542,323,448,580,274,295,492,319,446,901,1246,1232,742,205,39,68553,31628,1889,2317,1869,1147,1045,3317,2501,2613,5429,4182,2790,1829,556,144,36925,1711,2296,2226,1209,1103,2331,2757,3219,6339,5166,4322,2964,1007,275,2784,1361,85,201,108,17,63,198,157,86,249,88,32,67,10,0,1423,166,251,95,34,65,83,122,102,258,75,74,81,13,4,73149,41041,3852,3662,3447,1597,1412,3698,4779,3924,6983,4504,2256,716,175,36,32108,3555,3608,3181,1442,830,2854,2838,3129,5039,3240,1534,579,207,72,100082,50429,9896,8643,6082,2900,2420,3877,2795,2242,4314,2999,2540,1244,391,86,49653,8698,7637,6068,2932,2327,4037,2779,2217,4225,3466,2778,1645,516,328,3087207,1510359,79612,83931,87713,54006,39674,101850,95811,90714,186222,213382,211302,169689,74786,21667,1576848,76313,81063,83206,50986,36145,96953,97121,92645,188273,220288,232146,186229,92889,42591,258361,138830,14296,14647,12124,5593,5156,11960,13041,13716,23103,13640,6957,3162,1069,366,119531,14256,14823,11095,5677,4121,9156,9448,10364,17478,11218,6642,3348,1453,452,38.8,37.3,40.3,41.9,40.6,43.2,34.4,32.1,36.3,37.5,32.8,42.9,35.5,33.3,37.6,25.4,25.2,25.9,27.0,28.1,25.6,16.6,15.6,17.6,43.1,41.8,44.3,26.4,27.3,25.3,4834605
40,SC,45,,,,,04001US45,South Carolina -- Urban,3247609,1567011,105092,109804,101494,60566,50713,28230,27933,72158,113657,106640,96868,100916,99042,102580,94425,37244,50645,31937,44977,55016,35874,22770,18430,1680598,100687,102484,99047,58487,47530,25447,26060,72852,119381,111219,104192,103813,107352,111851,109079,42999,60591,39375,52299,65676,46330,34540,39307,2151506,1051227,60195,62669,60625,36605,31218,79137,73914,71480,133924,140594,131954,104675,48295,15942,1100279,58412,59140,56994,35264,28327,74816,74383,70147,132156,145096,148781,120500,64034,32229,894170,413018,32211,34903,32076,19447,15199,39768,31277,27605,49950,51199,43847,23917,9316,2303,481152,31295,32758,33147,18933,15494,41469,37390,33635,62225,63885,56196,32535,15585,6605,9014,4679,353,183,618,234,166,400,352,386,436,566,526,276,151,32,4335,205,281,284,212,154,294,230,313,624,694,622,292,97,33,59959,28089,1573,2069,1476,975,942,3108,2219,2348,4871,3659,2572,1667,504,106,31870,1431,1868,2010,984,929,2018,2548,2789,5609,4516,3709,2499,762,198,2276,1123,50,151,97,17,63,182,130,86,211,66,11,49,10,0,1153,135,184,88,19,65,38,95,81,245,75,62,66,0,0,56141,31190,3132,3134,2400,1132,1182,2778,3545,3034,4978,3487,1806,471,111,0,24951,2861,2672,2313,972,713,2437,2429,2478,3786,2516,1262,375,84,53,74543,37685,7578,6695,4202,2156,1943,2948,2220,1701,3414,2051,1598,875,257,47,36858,6348,5581,4211,2103,1848,3287,2306,1776,3360,2421,2037,1083,308,189,2015372,979380,53046,55196,54864,33658,28365,72394,67470,63759,121851,133568,128735,103114,47638,15722,1035992,51074,51644,51564,31918,25926,69911,69138,64365,122693,139050,145103,118585,63107,31914,208650,111596,11759,12320,9287,4382,4406,9916,10641,11043,18043,10960,5537,2267,815,220,97054,11755,11375,8517,4456,3554,7957,8084,8756,14072,9137,5322,2558,1143,368,37.1,35.4,38.7,40.4,38.8,42.1,32.6,30.3,34.4,33.9,30.6,38.6,35.6,33.6,37.5,25.7,25.0,26.4,26.7,27.5,25.6,16.9,15.5,18.2,41.8,40.2,43.4,26.3,26.9,25.5,3247609
40,SC,45,,,,,04043US45,South Carolina -- Rural,1586996,781327,43057,47061,52586,32316,18277,10715,10564,27820,45810,43211,44541,50683,53017,59530,59109,22055,33320,22400,28571,34737,21697,12318,7932,805669,42663,48743,50474,31218,16436,9369,9055,26243,42229,43700,46120,50320,54649,62865,63969,24160,35962,22962,30359,38058,24685,16251,15179,1100746,546276,28022,30255,34362,20981,11770,30446,29367,28519,67300,81293,83421,67169,27332,6039,554470,26987,31555,33072,19762,10583,27778,28829,29117,67542,82450,87994,68128,29949,10724,428198,205483,11476,13737,14697,9730,5638,16413,14075,12866,24099,28074,29060,17475,6363,1780,222715,12203,13534,14158,9855,4942,15166,12193,12907,25760,32093,33849,21555,10290,4210,6403,3196,170,295,196,224,59,166,250,130,324,670,372,270,70,0,3207,118,167,296,62,141,198,89,133,277,552,610,450,108,6,8594,3539,316,248,393,172,103,209,282,265,558,523,218,162,52,38,5055,280,428,216,225,174,313,209,430,730,650,613,465,245,77,508,238,35,50,11,0,0,16,27,0,38,22,21,18,0,0,270,31,67,7,15,0,45,27,21,13,0,12,15,13,4,17008,9851,720,528,1047,465,230,920,1234,890,2005,1017,450,245,64,36,7157,694,936,868,470,117,417,409,651,1253,724,272,204,123,19,25539,12744,2318,1948,1880,744,477,929,575,541,900,948,942,369,134,39,12795,2350,2056,1857,829,479,750,473,441,865,1045,741,562,208,139,1071835,530979,26566,28735,32849,20348,11309,29456,28341,26955,64371,79814,82567,66575,27148,5945,540856,25239,29419,31642,19068,10219,27042,27983,28280,65580,81238,87043,67644,29782,10677,49711,27234,2537,2327,2837,1211,750,2044,2400,2673,5060,2680,1420,895,254,146,22477,2501,3448,2578,1221,567,1199,1364,1608,3406,2081,1320,790,310,84,42.6,41.5,43.7,44.6,44.0,45.3,39.0,36.5,41.3,43.5,37.6,46.9,35.3,30.5,39.6,23.4,28.3,23.3,28.1,29.2,25.5,15.6,15.8,15.4,45.2,44.5,45.8,27.2,29.0,23.8,1586996
40,SC,45,,,,,040A0US45,South Carolina -- In metropolitan or micropolitan statistical area,4525664,2197472,139154,147158,143920,86525,65350,36323,36024,93571,150097,141133,132784,142123,142846,151336,142672,54886,78408,50242,68421,83527,53765,32534,24673,2328192,134648,141789,139564,83716,60677,33129,33002,93045,153250,146395,141661,144661,151714,163401,161368,62052,89695,57913,76563,96474,65942,46859,50674,3108000,1525880,84732,89240,90724,54985,41632,105444,99470,96264,192442,211643,204405,162560,71491,20848,1582120,82100,86914,86201,52705,37756,98839,99713,95581,191520,217180,225257,178689,88697,40968,1168213,545168,38762,43152,41369,25908,18817,49297,40494,35913,65377,70183,63390,35448,13526,3532,623045,38507,41308,41853,25394,18336,50849,44984,42031,78613,85049,78211,46551,22297,9062,13626,7093,515,452,811,422,210,499,440,419,646,1072,865,516,194,32,6533,285,384,433,250,292,411,253,402,774,1135,1156,571,148,39,67534,31198,1883,2317,1822,1110,1037,3289,2433,2590,5347,4112,2769,1804,541,144,36336,1694,2250,2194,1161,1100,2283,2749,3129,6227,5100,4273,2916,985,275,2300,1212,85,106,108,17,63,198,157,64,242,79,29,54,10,0,1088,153,77,71,34,65,42,71,86,258,75,71,81,0,4,70175,39013,3719,3622,3261,1421,1284,3502,4446,3829,6644,4238,2173,663,175,36,31162,3486,3515,3087,1339,830,2767,2767,3054,4788,3211,1497,561,207,53,95816,47908,9458,8269,5825,2662,2307,3689,2657,2054,4209,2855,2335,1145,362,81,47908,8423,7341,5725,2833,2298,3985,2713,2112,4142,3365,2650,1581,467,273,2946544,1440715,76250,80472,83564,51412,38361,97870,92143,87296,177889,203290,200486,160488,70660,20534,1505829,73280,77613,79378,48690,35009,93322,93707,89133,180318,210046,220709,176360,87651,40613,250018,133689,13840,14170,11712,5393,4925,11512,12422,13216,22279,13133,6670,3007,1044,366,116329,13825,14254,10898,5532,4075,8907,9197,10071,16973,11014,6534,3258,1376,415,38.7,37.2,40.1,41.7,40.4,43.0,34.1,31.9,35.9,38.0,32.2,43.7,35.6,33.3,37.7,26.9,25.6,32.3,27.0,28.2,25.6,16.6,15.5,17.7,42.9,41.6,44.1,26.4,27.3,25.4,4525664
40,SC,45,,,,,040C0US45,South Carolina -- In metropolitan statistical area,4083196,1984037,126223,133929,129336,78131,59463,32675,32890,85469,137384,129187,120749,129388,129364,136367,128229,49178,69434,44584,60519,73761,47417,28669,21691,2099159,122175,128448,126015,75515,54804,29357,29999,84673,140360,134282,129057,131338,137053,147466,144887,55581,79684,51428,68079,85153,58141,41320,44344,2832276,1391132,77692,82225,82293,50103,38498,97613,92257,89399,176769,193286,184377,144758,63382,18480,1441144,75399,79384,78797,47997,34907,90928,92499,88671,175938,198184,203614,159596,78685,36545,1022252,476705,33935,38226,36397,22710,16375,42985,35658,31723,57760,61221,54920,30329,11476,2990,545547,34216,36729,36750,22397,15655,44524,39852,37445,69541,74577,67690,39768,19142,7261,11704,6204,430,381,783,335,204,478,368,395,541,913,767,418,181,10,5500,218,316,384,239,227,322,250,286,679,971,1029,409,133,37,64795,30029,1836,2240,1685,1080,1008,3230,2367,2519,5130,3887,2669,1693,541,144,34766,1662,2177,2068,1093,1087,2127,2647,3032,5931,4920,4093,2794,948,187,2235,1202,85,101,108,17,63,198,157,64,242,79,29,49,10,0,1033,153,77,71,34,65,42,44,86,233,75,68,81,0,4,62880,35058,3516,3270,2819,1323,1118,3159,4082,3282,5910,3846,1936,622,175,0,27822,3060,3144,2727,1296,722,2424,2528,2799,4311,2717,1335,542,164,53,87054,43707,8729,7486,5251,2563,2197,3371,2495,1805,3785,2499,2143,995,321,67,43347,7467,6621,5218,2459,2141,3662,2540,1963,3762,3075,2323,1470,389,257,2679982,1310921,69960,73794,75738,46641,35366,90436,85202,80909,163248,185283,180602,142840,62662,18240,1369061,67149,70944,72395,44277,32297,85722,86769,82471,165205,191273,199207,157418,77714,36220,232363,124111,12839,13175,10676,5151,4570,10685,11745,12135,20505,12375,6285,2789,933,248,108252,12773,13011,10030,5136,3804,8172,8708,9549,15977,10245,6187,3067,1215,378,38.4,36.9,39.8,41.3,40.1,42.6,33.9,31.7,35.6,37.8,31.4,44.1,35.4,33.2,37.5,26.7,25.6,32.3,26.9,28.1,25.7,16.7,15.5,17.9,42.5,41.1,43.7,26.6,27.3,25.7,4083196
40,SC,45,,,,,040C1US45,South Carolina -- In metropolitan statistical area -- in principal city,824937,398494,26094,24929,21286,13369,17620,10219,8626,22254,36158,29741,24625,24324,23323,22905,22057,8768,12472,7475,10706,12658,8786,4960,5139,426443,25145,23704,21462,12487,18135,8064,8235,23265,36467,29590,25368,23908,24587,25977,26440,10092,14873,9227,12417,16466,11223,8449,10862,501422,246553,13124,12501,10317,6809,10750,24626,23166,19527,31426,28366,28550,22564,10610,4217,254869,12836,11990,10090,6663,11041,22388,21955,17357,28322,29876,32786,26823,14181,8561,274379,126821,10349,9904,9149,5465,5397,13218,10534,8466,14286,15485,13236,7527,2899,906,147558,10330,9652,9375,4894,5648,14703,12340,10199,17564,18271,16947,10215,5142,2278,1438,722,71,18,62,10,3,127,56,34,65,112,115,46,0,3,716,0,38,50,46,42,31,86,57,97,95,120,44,8,2,15846,7612,434,451,175,187,411,1224,710,783,1146,871,646,423,146,5,8234,259,533,418,282,375,538,857,945,1320,951,905,655,196,0,868,435,33,92,77,17,47,53,0,10,90,0,11,5,0,0,433,51,62,14,14,35,16,33,33,113,36,11,11,0,4,12851,7176,672,727,380,280,355,763,1050,532,1039,835,441,84,18,0,5675,526,437,477,169,192,820,566,476,994,736,169,75,38,0,18133,9175,1411,1236,1126,601,657,1088,642,389,897,559,298,190,73,8,8958,1143,992,1038,419,802,1068,630,523,866,599,467,287,107,17,467342,229016,11511,11052,9196,6160,9416,22968,21069,17517,28421,26938,27819,22298,10505,4146,238326,10983,10408,8792,5900,10000,20930,20717,15642,25929,28474,31679,26344,14013,8515,50476,26376,2602,2371,1601,958,1726,2418,3362,2612,4386,2437,1262,433,137,71,24100,2609,2158,1935,946,1400,2441,1965,2355,3645,2304,1435,613,248,46,34.6,33.0,36.2,37.4,35.7,39.3,31.6,29.7,33.3,33.8,31.5,35.4,33.0,31.7,34.6,19.7,17.8,29.2,26.9,26.8,27.1,19.5,18.6,20.4,38.8,36.8,41.0,27.0,27.3,26.5,824937
40,SC,45,,,,,040C2US45,South Carolina -- In metropolitan statistical area -- not in principal city,3258259,1585543,100129,109000,108050,64762,41843,22456,24264,63215,101226,99446,96124,105064,106041,113462,106172,40410,56962,37109,49813,61103,38631,23709,16552,1672716,97030,104744,104553,63028,36669,21293,21764,61408,103893,104692,103689,107430,112466,121489,118447,45489,64811,42201,55662,68687,46918,32871,33482,2330854,1144579,64568,69724,71976,43294,27748,72987,69091,69872,145343,164920,155827,122194,52772,14263,1186275,62563,67394,68707,41334,23866,68540,70544,71314,147616,168308,170828,132773,64504,27984,747873,349884,23586,28322,27248,17245,10978,29767,25124,23257,43474,45736,41684,22802,8577,2084,397989,23886,27077,27375,17503,10007,29821,27512,27246,51977,56306,50743,29553,14000,4983,10266,5482,359,363,721,325,201,351,312,361,476,801,652,372,181,7,4784,218,278,334,193,185,291,164,229,582,876,909,365,125,35,48949,22417,1402,1789,1510,893,597,2006,1657,1736,3984,3016,2023,1270,395,139,26532,1403,1644,1650,811,712,1589,1790,2087,4611,3969,3188,2139,752,187,1367,767,52,9,31,0,16,145,157,54,152,79,18,44,10,0,600,102,15,57,20,30,26,11,53,120,39,57,70,0,0,50029,27882,2844,2543,2439,1043,763,2396,3032,2750,4871,3011,1495,538,157,0,22147,2534,2707,2250,1127,530,1604,1962,2323,3317,1981,1166,467,126,53,68921,34532,7318,6250,4125,1962,1540,2283,1853,1416,2888,1940,1845,805,248,59,34389,6324,5629,4180,2040,1339,2594,1910,1440,2896,2476,1856,1183,282,240,2212640,1081905,58449,62742,66542,40481,25950,67468,64133,63392,134827,158345,152783,120542,52157,14094,1130735,56166,60536,63603,38377,22297,64792,66052,66829,139276,162799,167528,131074,63701,27705,181887,97735,10237,10804,9075,4193,2844,8267,8383,9523,16119,9938,5023,2356,796,177,84152,10164,10853,8095,4190,2404,5731,6743,7194,12332,7941,4752,2454,967,332,39.4,38.0,40.6,42.1,40.9,43.2,34.8,32.7,36.5,38.1,31.4,44.6,36.5,33.8,38.3,30.4,28.9,34.0,27.0,28.3,25.5,15.5,14.4,16.8,43.1,42.1,44.2,26.5,27.3,25.5,3258259
40,SC,45,,,,,040E0US45,South Carolina -- In micropolitan statistical area,442468,213435,12931,13229,14584,8394,5887,3648,3134,8102,12713,11946,12035,12735,13482,14969,14443,5708,8974,5658,7902,9766,6348,3865,2982,229033,12473,13341,13549,8201,5873,3772,3003,8372,12890,12113,12604,13323,14661,15935,16481,6471,10011,6485,8484,11321,7801,5539,6330,275724,134748,7040,7015,8431,4882,3134,7831,7213,6865,15673,18357,20028,17802,8109,2368,140976,6701,7530,7404,4708,2849,7911,7214,6910,15582,18996,21643,19093,10012,4423,145961,68463,4827,4926,4972,3198,2442,6312,4836,4190,7617,8962,8470,5119,2050,542,77498,4291,4579,5103,2997,2681,6325,5132,4586,9072,10472,10521,6783,3155,1801,1922,889,85,71,28,87,6,21,72,24,105,159,98,98,13,22,1033,67,68,49,11,65,89,3,116,95,164,127,162,15,2,2739,1169,47,77,137,30,29,59,66,71,217,225,100,111,0,0,1570,32,73,126,68,13,156,102,97,296,180,180,122,37,88,65,10,0,5,0,0,0,0,0,0,0,0,0,5,0,0,55,0,0,0,0,0,0,27,0,25,0,3,0,0,0,7295,3955,203,352,442,98,166,343,364,547,734,392,237,41,0,36,3340,426,371,360,43,108,343,239,255,477,494,162,19,43,0,8762,4201,729,783,574,99,110,318,162,249,424,356,192,150,41,14,4561,956,720,507,374,157,323,173,149,380,290,327,111,78,16,266562,129794,6290,6678,7826,4771,2995,7434,6941,6387,14641,18007,19884,17648,7998,2294,136768,6131,6669,6983,4413,2712,7600,6938,6662,15113,18773,21502,18942,9937,4393,17655,9578,1001,995,1036,242,355,827,677,1081,1774,758,385,218,111,118,8077,1052,1243,868,396,271,735,489,522,996,769,347,191,161,37,41.5,40.0,43.2,45.9,44.6,47.0,35.8,32.9,38.3,39.0,39.0,39.0,40.7,38.4,41.1,42.0,.,42.0,28.0,30.1,25.3,15.9,15.7,16.0,46.8,45.6,47.9,24.0,26.9,20.9,442468
40,SC,45,,,,,040E1US45,South Carolina -- In micropolitan statistical area -- in principal city,85926,40199,3086,2744,2675,1349,1530,1187,677,1883,2847,2833,2627,2159,2023,2266,2402,1017,1539,816,1210,1294,758,527,750,45727,2905,2723,2612,1403,1720,1271,1041,2370,3230,2580,2565,2176,2463,2591,2618,1324,1651,990,1307,1786,1329,1127,1945,35943,16965,1065,794,729,517,452,979,1396,1075,2183,1825,2502,2021,838,589,18978,838,1033,744,347,497,1750,1151,958,1569,1994,2576,2291,1805,1425,44334,20538,1569,1537,1676,793,951,2621,1302,1407,2263,2355,2234,1244,447,139,23796,1573,1364,1664,897,1145,2619,1907,1417,2799,2799,2728,1740,624,520,163,95,29,0,16,0,0,0,0,13,0,0,9,6,0,22,68,0,16,0,0,0,22,0,25,0,0,5,0,0,0,596,236,7,8,0,17,14,29,11,38,15,31,48,18,0,0,360,4,9,0,0,0,101,43,41,26,40,80,16,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,14,0,0,0,0,0,2475,1117,49,135,122,0,85,70,122,177,195,18,135,9,0,0,1358,253,136,117,29,62,148,43,68,230,176,96,0,0,0,2401,1248,367,270,132,22,28,48,16,123,130,60,30,22,0,0,1153,237,165,87,130,16,42,86,71,103,45,108,36,27,0,33596,15735,779,719,606,483,430,836,1260,1037,1917,1741,2496,2004,838,589,17861,689,778,686,322,451,1576,1081,847,1475,1934,2570,2275,1752,1425,5204,2631,355,414,248,40,122,281,266,230,404,110,135,26,0,0,2573,369,375,175,54,117,378,137,191,331,231,119,16,80,0,35.3,33.6,37.2,44.6,41.0,48.4,30.9,29.1,32.9,21.9,33.3,21.8,33.4,33.3,33.4,.,.,.,26.0,27.9,21.6,12.4,8.7,16.9,47.6,43.0,50.7,21.2,22.0,21.0,85926
40,SC,45,,,,,040E2US45,South Carolina -- In micropolitan statistical area -- not in principal city,356542,173236,9845,10485,11909,7045,4357,2461,2457,6219,9866,9113,9408,10576,11459,12703,12041,4691,7435,4842,6692,8472,5590,3338,2232,183306,9568,10618,10937,6798,4153,2501,1962,6002,9660,9533,10039,11147,12198,13344,13863,5147,8360,5495,7177,9535,6472,4412,4385,239781,117783,5975,6221,7702,4365,2682,6852,5817,5790,13490,16532,17526,15781,7271,1779,121998,5863,6497,6660,4361,2352,6161,6063,5952,14013,17002,19067,16802,8207,2998,101627,47925,3258,3389,3296,2405,1491,3691,3534,2783,5354,6607,6236,3875,1603,403,53702,2718,3215,3439,2100,1536,3706,3225,3169,6273,7673,7793,5043,2531,1281,1759,794,56,71,12,87,6,21,72,11,105,159,89,92,13,0,965,67,52,49,11,65,67,3,91,95,164,122,162,15,2,2143,933,40,69,137,13,15,30,55,33,202,194,52,93,0,0,1210,28,64,126,68,13,55,59,56,270,140,100,106,37,88,51,10,0,5,0,0,0,0,0,0,0,0,0,5,0,0,41,0,0,0,0,0,0,27,0,11,0,3,0,0,0,4820,2838,154,217,320,98,81,273,242,370,539,374,102,32,0,36,1982,173,235,243,14,46,195,196,187,247,318,66,19,43,0,6361,2953,362,513,442,77,82,270,146,126,294,296,162,128,41,14,3408,719,555,420,244,141,281,87,78,277,245,219,75,51,16,232966,114059,5511,5959,7220,4288,2565,6598,5681,5350,12724,16266,17388,15644,7160,1705,118907,5442,5891,6297,4091,2261,6024,5857,5815,13638,16839,18932,16667,8185,2968,12451,6947,646,581,788,202,233,546,411,851,1370,648,250,192,111,118,5504,683,868,693,342,154,357,352,331,665,538,228,175,81,37,43.1,41.6,44.5,46.0,45.0,46.9,38.3,35.2,41.2,39.9,39.6,41.5,41.4,40.0,42.0,29.6,.,29.6,29.3,31.3,28.0,16.8,20.0,15.1,46.7,45.8,47.6,25.6,31.0,20.4,356542
