SummaryLevel,State,StateFIPS,CountyFIPS,PlaceFIPS,CBSACode,CongressDistrict,GEOID,AreaName,B01001_001,B01001_002,B01001_003,B01001_004,B01001_005,B01001_006,B01001_007,B01001_008,B01001_009,B01001_010,B01001_011,B01001_012,B01001_013,B01001_014,B01001_015,B01001_016,B01001_017,B01001_018,B01001_019,B01001_020,B01001_021,B01001_022,B01001_023,B01001_024,B01001_025,B01001_026,B01001_027,B01001_028,B01001_029,B01001_030,B01001_031,B01001_032,B01001_033,B01001_034,B01001_035,B01001_036,B01001_037,B01001_038,B01001_039,B01001_040,B01001_041,B01001_042,B01001_043,B01001_044,B01001_045,B01001_046,B01001_047,B01001_048,B01001_049,B01001A_001,B01001A_002,B01001A_003,B01001A_004,B01001A_005,B01001A_006,B01001A_007,B01001A_008,B01001A_009,B01001A_010,B01001A_011,B01001A_012,B01001A_013,B01001A_014,B01001A_015,B01001A_016,B01001A_017,B01001A_018,B01001A_019,B01001A_020,B01001A_021,B01001A_022,B01001A_023,B01001A_024,B01001A_025,B01001A_026,B01001A_027,B01001A_028,B01001A_029,B01001A_030,B01001A_031,B01001B_001,B01001B_002,B01001B_003,B01001B_004,B01001B_005,B01001B_006,B01001B_007,B01001B_008,B01001B_009,B01001B_010,B01001B_011,B01001B_012,B01001B_013,B01001B_014,B01001B_015,B01001B_016,B01001B_017,B01001B_018,B01001B_019,B01001B_020,B01001B_021,B01001B_022,B01001B_023,B01001B_024,B01001B_025,B01001B_026,B01001B_027,B01001B_028,B01001B_029,B01001B_030,B01001B_031,B01001C_001,B01001C_002,B01001C_003,B01001C_004,B01001C_005,B01001C_006,B01001C_007,B01001C_008,B01001C_009,B01001C_010,B01001C_011,B01001C_012,B01001C_013,B01001C_014,B01001C_015,B01001C_016,B01001C_017,B01001C_018,B01001C_019,B01001C_020,B01001C_021,B01001C_022,B01001C_023,B01001C_024,B01001C_025,B01001C_026,B01001C_027,B01001C_028,B01001C_029,B01001C_030,B01001C_031,B01001D_001,B01001D_002,B01001D_003,B01001D_004,B01001D_005,B01001D_006,B01001D_007,B01001D_008,B01001D_009,B01001D_010,B01001D_011,B01001D_012,B01001D_013,B01001D_014,B01001D_015,B01001D_016,B01001D_017,B01001D_018,B01001D_019,B01001D_020,B01001D_021,B01001D_022,B01001D_023,B01001D_024,B01001D_025,B01001D_026,B01001D_027,B01001D_028,B01001D_029,B01001D_030,B01001D_031,B01001E_001,B01001E_002,B01001E_003,B01001E_004,B01001E_005,B01001E_006,B01001E_007,B01001E_008,B01001E_009,B01001E_010,B01001E_011,B01001E_012,B01001E_013,B01001E_014,B01001E_015,B01001E_016,B01001E_017,B01001E_018,B01001E_019,B01001E_020,B01001E_021,B01001E_022,B01001E_023,B01001E_024,B01001E_025,B01001E_026,B01001E_027,B01001E_028,B01001E_029,B01001E_030,B01001E_031,B01001F_001,B01001F_002,B01001F_003,B01001F_004,B01001F_005,B01001F_006,B01001F_007,B01001F_008,B01001F_009,B01001F_010,B01001F_011,B01001F_012,B01001F_013,B01001F_014,B01001F_015,B01001F_016,B01001F_017,B01001F_018,B01001F_019,B01001F_020,B01001F_021,B01001F_022,B01001F_023,B01001F_024,B01001F_025,B01001F_026,B01001F_027,B01001F_028,B01001F_029,B01001F_030,B01001F_031,B01001G_001,B01001G_002,B01001G_003,B01001G_004,B01001G_005,B01001G_006,B01001G_007,B01001G_008,B01001G_009,B01001G_010,B01001G_011,B01001G_012,B01001G_013,B01001G_014,B01001G_015,B01001G_016,B01001G_017,B01001G_018,B01001G_019,B01001G_020,B01001G_021,B01001G_022,B01001G_023,B01001G_024,B01001G_025,B01001G_026,B01001G_027,B01001G_028,B01001G_029,B01001G_030,B01001G_031,B01001H_001,B01001H_002,B01001H_003,B01001H_004,B01001H_005,B01001H_006,B01001H_007,B01001H_008,B01001H_009,B01001H_010,B01001H_011,B01001H_012,B01001H_013,B01001H_014,B01001H_015,B01001H_016,B01001H_017,B01001H_018,B01001H_019,B01001H_020,B01001H_021,B01001H_022,B01001H_023,B01001H_024,B01001H_025,B01001H_026,B01001H_027,B01001H_028,B01001H_029,B01001H_030,B01001H_031,B01001I_001,B01001I_002,B01001I_003,B01001I_004,B01001I_005,B01001I_006,B01001I_007,B01001I_008,B01001I_009,B01001I_010,B01001I_011,B01001I_012,B01001I_013,B01001I_014,B01001I_015,B01001I_016,B01001I_017,B01001I_018,B01001I_019,B01001I_020,B01001I_021,B01001I_022,B01001I_023,B01001I_024,B01001I_025,B01001I_026,B01001I_027,B01001I_028,B01001I_029,B01001I_030,B01001I_031,B01002_001,B01002_002,B01002_003,B01002A_001,B01002A_002,B01002A_003,B01002B_001,B01002B_002,B01002B_003,B01002C_001,B01002C_002,B01002C_003,B01002D_001,B01002D_002,B01002D_003,B01002E_001,B01002E_002,B01002E_003,B01002F_001,B01002F_002,B01002F_003,B01002G_001,B01002G_002,B01002G_003,B01002H_001,B01002H_002,B01002H_003,B01002I_001,B01002I_002,B01002I_003,B01003_001
40,SD,46,,,,,04000US46,South Dakota,851058,428134,30612,30980,29014,17099,12402,6615,6750,18355,29308,28728,25805,24125,24914,29035,29854,11093,14990,9978,10394,13642,9793,7803,6845,422924,29482,29292,27075,16061,11732,6087,6130,16785,26718,26988,23978,23008,24241,28732,29391,11081,15389,8760,11139,14952,12011,10522,13370,721410,362119,22946,23410,22244,13409,9954,25214,23441,24151,41912,47737,51805,32365,16850,6681,359291,21834,22104,20440,12309,9493,23598,21509,22563,39572,47144,51243,32843,21584,13055,14078,8472,857,730,538,398,286,960,1004,799,1311,816,645,98,30,0,5606,620,763,505,293,226,566,617,568,736,274,381,33,8,16,74187,36996,4560,3882,4151,2257,1292,3436,2889,2459,4049,3785,2408,1223,490,115,37191,3854,3993,3918,2185,1212,2986,2913,2543,4273,3809,3020,1462,779,244,11351,5448,413,505,437,290,248,705,643,301,808,566,317,143,65,7,5903,428,551,529,253,243,451,628,459,934,639,565,165,44,14,313,135,6,13,13,3,32,13,14,23,18,0,0,0,0,0,178,17,7,14,0,3,21,34,0,15,37,30,0,0,0,7480,4066,339,478,246,127,108,376,566,437,690,372,255,38,5,29,3414,483,267,344,146,103,413,271,273,657,286,97,70,4,0,22239,10898,1491,1962,1385,615,482,1016,751,558,1142,673,507,147,156,13,11341,2246,1607,1325,875,452,967,746,582,799,784,525,278,114,41,705403,353242,21832,22310,21539,13135,9681,24098,22743,23223,40666,47023,51331,32214,16771,6676,352161,20724,21473,19764,12023,9204,22869,20992,21956,38788,46532,50780,32560,21491,13005,29187,15691,1986,1932,1370,687,491,1796,1425,1473,2109,1201,812,251,117,41,13496,2275,1272,1523,764,420,1395,964,1002,1622,1057,686,360,104,52,36.8,35.7,38.1,40.1,38.6,41.5,26.1,28.0,23.5,24.5,23.3,25.7,27.4,26.1,28.7,27.3,22.0,28.0,26.6,27.8,23.6,17.2,18.0,16.7,40.6,39.3,41.9,22.8,23.7,21.8,851058
40,SD,46,,,,,04001US46,South Dakota -- Urban,486672,242388,18187,17857,15641,9028,8099,4669,4648,12526,19682,18505,15449,14425,13536,14915,14383,5742,7395,4688,4756,6379,4335,3958,3585,244284,17628,16441,14590,8443,8077,4489,4505,11073,18382,17470,14699,13259,13288,14541,15531,5867,8263,4444,5459,7768,6341,5821,7905,418208,207164,13766,13592,12565,7243,6737,18358,16250,15747,25124,25498,25582,15189,7981,3532,211044,13244,12879,11270,6598,6845,17056,15370,14961,23712,25046,27473,16988,11845,7757,12178,7205,781,589,489,341,264,703,877,770,1127,641,517,79,27,0,4973,566,622,418,255,191,497,570,531,689,252,328,33,7,14,25872,12740,1975,1377,1199,739,389,1121,972,1013,1508,1161,730,374,147,35,13132,1352,1345,1364,636,503,1005,1042,1049,1781,1310,1000,405,230,110,9665,4874,393,461,347,243,215,650,597,300,760,432,287,134,55,0,4791,395,450,393,199,174,340,609,392,701,523,472,85,44,14,213,99,0,10,9,0,32,13,14,21,0,0,0,0,0,0,114,5,0,0,0,0,11,20,0,12,37,29,0,0,0,5902,3053,263,417,187,83,97,255,434,323,521,296,156,11,5,5,2849,446,192,296,130,80,404,237,144,580,249,62,25,4,0,14634,7253,1009,1411,845,379,365,743,538,331,834,423,248,36,78,13,7381,1620,953,849,625,284,754,534,393,483,412,297,135,32,10,406456,200497,13006,12689,12016,7011,6473,17478,15646,15054,24249,24997,25264,15125,7957,3532,205959,12386,12415,10848,6403,6599,16494,14948,14451,23221,24662,27207,16804,11786,7735,21077,11422,1437,1484,961,536,429,1275,1132,1047,1540,887,547,80,62,5,9655,1720,839,964,457,337,1146,780,760,1169,757,427,214,63,22,34.0,32.8,35.3,36.0,34.8,37.7,26.6,28.2,24.0,24.8,23.1,27.0,27.3,26.1,28.4,29.1,19.9,51.4,25.8,27.5,22.6,16.9,17.8,16.5,36.6,35.3,38.4,22.8,23.3,22.2,486672
40,SD,46,,,,,04043US46,South Dakota -- Rural,364386,185746,12425,13123,13373,8071,4303,1946,2102,5829,9626,10223,10356,9700,11378,14120,15471,5351,7595,5290,5638,7263,5458,3845,3260,178640,11854,12851,12485,7618,3655,1598,1625,5712,8336,9518,9279,9749,10953,14191,13860,5214,7126,4316,5680,7184,5670,4701,5465,303202,154955,9180,9818,9679,6166,3217,6856,7191,8404,16788,22239,26223,17176,8869,3149,148247,8590,9225,9170,5711,2648,6542,6139,7602,15860,22098,23770,15855,9739,5298,1900,1267,76,141,49,57,22,257,127,29,184,175,128,19,3,0,633,54,141,87,38,35,69,47,37,47,22,53,0,1,2,48315,24256,2585,2505,2952,1518,903,2315,1917,1446,2541,2624,1678,849,343,80,24059,2502,2648,2554,1549,709,1981,1871,1494,2492,2499,2020,1057,549,134,1686,574,20,44,90,47,33,55,46,1,48,134,30,9,10,7,1112,33,101,136,54,69,111,19,67,233,116,93,80,0,0,100,36,6,3,4,3,0,0,0,2,18,0,0,0,0,0,64,12,7,14,0,3,10,14,0,3,0,1,0,0,0,1578,1013,76,61,59,44,11,121,132,114,169,76,99,27,0,24,565,37,75,48,16,23,9,34,129,77,37,35,45,0,0,7605,3645,482,551,540,236,117,273,213,227,308,250,259,111,78,0,3960,626,654,476,250,168,213,212,189,316,372,228,143,82,31,298947,152745,8826,9621,9523,6124,3208,6620,7097,8169,16417,22026,26067,17089,8814,3144,146202,8338,9058,8916,5620,2605,6375,6044,7505,15567,21870,23573,15756,9705,5270,8110,4269,549,448,409,151,62,521,293,426,569,314,265,171,55,36,3841,555,433,559,307,83,249,184,242,453,300,259,146,41,30,41.7,40.7,42.6,45.8,45.1,46.4,23.0,25.8,17.6,24.3,23.3,25.2,29.2,24.6,34.1,19.3,34.0,14.7,31.2,30.1,31.4,17.9,18.2,17.4,46.0,45.4,46.7,23.0,24.9,19.6,364386
40,SD,46,,,,,040A0US46,South Dakota -- In metropolitan or micropolitan statistical area,633337,318269,22589,23379,20410,12080,9745,5280,5163,14252,23260,22483,19898,18775,18933,21242,21488,7947,11022,7143,7180,9631,6434,5377,4558,315068,21282,21404,19393,11492,9297,4997,5019,13066,21294,21299,18523,17857,18300,21241,21648,8323,11296,6136,8178,10592,7992,7327,9112,563865,282301,18380,18933,17270,10243,8308,20997,19641,19798,33878,37071,38467,23342,11514,4459,281564,17188,17628,15965,9591,7968,19998,18337,18779,32171,36694,39082,24154,14990,9019,13197,7794,825,690,515,372,278,711,937,759,1222,761,617,80,27,0,5403,609,731,478,279,215,529,591,568,721,265,376,22,5,14,22769,11543,1611,1280,971,669,443,1196,1011,852,1337,1079,584,350,110,50,11226,1046,1178,1124,588,442,887,967,874,1471,1157,877,343,222,50,10104,4893,386,420,381,223,218,674,590,300,739,508,291,98,58,7,5211,335,443,487,198,237,418,594,431,801,575,491,143,44,14,212,85,0,13,9,0,10,13,14,23,3,0,0,0,0,0,127,5,2,6,0,3,21,20,0,15,37,18,0,0,0,6653,3518,300,436,231,112,106,278,491,352,613,327,213,25,5,29,3135,411,241,344,141,98,392,242,226,631,260,90,55,4,0,16537,8135,1087,1607,1033,461,382,826,576,399,881,429,285,59,97,13,8402,1688,1181,989,695,334,837,543,421,570,553,333,189,54,15,550420,274839,17383,17919,16660,9990,8062,20130,19032,19106,32826,36453,38121,23239,11459,4459,275581,16376,17072,15387,9325,7682,19352,17865,18253,31526,36145,38768,23895,14939,8996,23693,12751,1694,1681,1097,545,458,1273,1206,1071,1747,1048,632,176,87,36,10942,1643,1008,1189,560,377,1227,844,838,1429,933,503,312,56,23,36.0,35.1,37.2,38.3,36.9,39.7,26.5,28.3,23.6,24.9,23.0,26.9,27.5,26.3,28.8,27.9,22.8,41.3,26.4,27.7,23.3,16.7,17.0,16.5,38.8,37.5,40.2,23.2,23.6,22.7,633337
40,SD,46,,,,,040C0US46,South Dakota -- In metropolitan statistical area,404742,203398,15152,15703,13326,8027,5056,2809,2554,8173,15037,15025,13498,12432,12368,13676,14097,4805,6834,4649,4443,6078,3819,3094,2743,201344,14339,14000,13175,7404,4561,2426,2433,7588,14462,14387,12586,12005,11858,13743,14102,5340,6878,3917,5318,6622,4543,4375,5282,354471,177489,11911,12350,11046,6583,4127,11321,12641,13077,22489,23774,24149,14654,6678,2689,176982,11191,11248,10444,5995,3726,10341,12366,12588,21475,23632,24845,15238,8686,5207,10704,6199,757,506,468,308,183,443,649,614,968,648,548,80,27,0,4505,601,561,428,194,154,443,487,446,643,210,298,22,4,14,15573,7825,1176,816,690,478,229,652,705,560,907,749,482,279,87,15,7748,780,724,894,419,223,604,657,567,1061,784,586,257,160,32,5822,2754,201,260,175,168,93,281,263,209,422,360,190,93,39,0,3068,164,217,281,132,167,181,313,272,508,400,286,119,14,14,134,52,0,3,9,0,0,13,14,13,0,0,0,0,0,0,82,0,2,0,0,3,10,0,0,12,37,18,0,0,0,5284,2694,251,402,212,95,88,193,354,225,406,208,209,25,0,26,2590,372,217,317,141,75,219,200,193,525,182,90,55,4,0,12754,6385,856,1366,726,395,336,633,411,327,738,305,158,39,82,13,6369,1231,1031,811,523,213,649,439,321,367,356,197,166,50,15,345959,172807,11233,11741,10677,6420,4009,10765,12320,12746,21707,23313,23907,14602,6678,2689,173152,10715,10876,10044,5866,3531,10024,12045,12323,21040,23219,24606,15038,8640,5185,16667,8770,1290,1126,761,405,260,859,739,594,1337,702,519,125,27,26,7897,1205,769,948,395,256,674,656,528,1098,658,385,253,50,22,36.0,35.2,37.1,38.4,37.1,39.8,26.5,28.7,23.6,25.4,24.3,26.9,30.2,28.3,32.4,36.5,27.2,51.6,25.5,26.9,22.9,16.3,16.7,15.7,38.9,37.6,40.2,22.8,23.2,22.4,404742
40,SD,46,,,,,040C1US46,South Dakota -- In metropolitan statistical area -- in principal city,240325,119946,9050,9152,7434,4431,3039,1878,1771,5324,10303,9814,8064,7244,7049,7547,7997,2766,3630,2314,2351,3348,2122,1789,1529,120379,9120,8138,7205,4155,2717,1746,1610,4841,9657,9296,7335,6594,6779,7376,8308,3110,4059,2477,2997,3875,2768,2769,3447,200267,99197,6408,6434,5658,3324,2328,7143,8365,8117,12570,12797,13226,7626,3690,1511,101070,6333,6057,4970,3086,2150,6448,7900,7903,11427,12771,14326,8959,5336,3404,9229,5234,682,452,438,271,154,286,577,560,803,496,409,79,27,0,3995,551,492,387,170,124,345,429,430,577,182,268,22,4,14,12487,6238,954,640,508,387,171,607,527,517,734,594,304,210,80,5,6249,690,583,804,288,164,475,562,503,887,456,463,200,151,23,4949,2523,196,234,160,139,90,270,250,209,370,314,186,69,36,0,2426,149,135,263,111,111,146,237,186,421,358,225,64,14,6,47,30,0,0,9,0,0,0,8,13,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,17,0,0,0,4123,2159,178,360,170,75,86,158,294,142,361,188,147,0,0,0,1964,338,161,253,89,61,184,159,87,371,175,57,25,4,0,9223,4565,632,1032,491,235,210,509,282,256,470,207,121,29,78,13,4658,1059,710,528,411,107,599,370,187,246,213,121,79,28,0,194175,95706,5929,5928,5379,3180,2296,6715,8112,7889,11949,12496,13027,7605,3690,1511,98469,6004,5759,4646,2988,1975,6262,7712,7699,11123,12614,14161,8843,5299,3384,12200,6514,871,914,524,354,155,641,598,411,1070,509,414,26,27,0,5686,989,611,699,284,229,454,458,365,742,369,286,139,41,20,34.9,33.8,36.0,37.6,36.0,39.7,26.4,28.5,23.6,24.9,24.2,26.3,29.7,28.0,32.3,31.4,29.8,.,23.8,26.6,21.2,16.2,16.7,15.3,38.3,36.5,40.4,21.9,23.1,20.3,240325
40,SD,46,,,,,040C2US46,South Dakota -- In metropolitan statistical area -- not in principal city,164417,83452,6102,6551,5892,3596,2017,931,783,2849,4734,5211,5434,5188,5319,6129,6100,2039,3204,2335,2092,2730,1697,1305,1214,80965,5219,5862,5970,3249,1844,680,823,2747,4805,5091,5251,5411,5079,6367,5794,2230,2819,1440,2321,2747,1775,1606,1835,154204,78292,5503,5916,5388,3259,1799,4178,4276,4960,9919,10977,10923,7028,2988,1178,75912,4858,5191,5474,2909,1576,3893,4466,4685,10048,10861,10519,6279,3350,1803,1475,965,75,54,30,37,29,157,72,54,165,152,139,1,0,0,510,50,69,41,24,30,98,58,16,66,28,30,0,0,0,3086,1587,222,176,182,91,58,45,178,43,173,155,178,69,7,10,1499,90,141,90,131,59,129,95,64,174,328,123,57,9,9,873,231,5,26,15,29,3,11,13,0,52,46,4,24,3,0,642,15,82,18,21,56,35,76,86,87,42,61,55,0,8,87,22,0,3,0,0,0,13,6,0,0,0,0,0,0,0,65,0,2,0,0,3,10,0,0,12,37,1,0,0,0,1161,535,73,42,42,20,2,35,60,83,45,20,62,25,0,26,626,34,56,64,52,14,35,41,106,154,7,33,30,0,0,3531,1820,224,334,235,160,126,124,129,71,268,98,37,10,4,0,1711,172,321,283,112,106,50,69,134,121,143,76,87,22,15,151784,77101,5304,5813,5298,3240,1713,4050,4208,4857,9758,10817,10880,6997,2988,1178,74683,4711,5117,5398,2878,1556,3762,4333,4624,9917,10605,10445,6195,3341,1801,4467,2256,419,212,237,51,105,218,141,183,267,193,105,99,0,26,2211,216,158,249,111,27,220,198,163,356,289,99,114,9,2,38.4,37.7,39.1,39.3,38.6,39.9,26.5,32.0,23.5,26.5,25.8,33.1,33.0,35.9,32.5,41.5,22.6,51.3,30.1,27.8,31.2,16.7,16.8,16.5,39.5,38.9,40.0,25.1,23.3,27.3,164417
40,SD,46,,,,,040E0US46,South Dakota -- In micropolitan statistical area,228595,114871,7437,7676,7084,4053,4689,2471,2609,6079,8223,7458,6400,6343,6565,7566,7391,3142,4188,2494,2737,3553,2615,2283,1815,113724,6943,7404,6218,4088,4736,2571,2586,5478,6832,6912,5937,5852,6442,7498,7546,2983,4418,2219,2860,3970,3449,2952,3830,209394,104812,6469,6583,6224,3660,4181,9676,7000,6721,11389,13297,14318,8688,4836,1770,104582,5997,6380,5521,3596,4242,9657,5971,6191,10696,13062,14237,8916,6304,3812,2493,1595,68,184,47,64,95,268,288,145,254,113,69,0,0,0,898,8,170,50,85,61,86,104,122,78,55,78,0,1,0,7196,3718,435,464,281,191,214,544,306,292,430,330,102,71,23,35,3478,266,454,230,169,219,283,310,307,410,373,291,86,62,18,4282,2139,185,160,206,55,125,393,327,91,317,148,101,5,19,7,2143,171,226,206,66,70,237,281,159,293,175,205,24,30,0,78,33,0,10,0,0,10,0,0,10,3,0,0,0,0,0,45,5,0,6,0,0,11,20,0,3,0,0,0,0,0,1369,824,49,34,19,17,18,85,137,127,207,119,4,0,5,3,545,39,24,27,0,23,173,42,33,106,78,0,0,0,0,3783,1750,231,241,307,66,46,193,165,72,143,124,127,20,15,0,2033,457,150,178,172,121,188,104,100,203,197,136,23,4,0,204461,102032,6150,6178,5983,3570,4053,9365,6712,6360,11119,13140,14214,8637,4781,1770,102429,5661,6196,5343,3459,4151,9328,5820,5930,10486,12926,14162,8857,6299,3811,7026,3981,404,555,336,140,198,414,467,477,410,346,113,51,60,10,3045,438,239,241,165,121,553,188,310,331,275,118,59,6,1,36.0,34.8,37.6,38.1,36.6,39.4,26.7,26.9,23.4,23.9,22.4,26.9,25.3,24.5,26.5,24.7,19.7,27.0,28.9,32.4,24.6,19.1,19.5,18.9,38.7,37.4,40.2,24.2,24.5,24.0,228595
40,SD,46,,,,,040E1US46,South Dakota -- In micropolitan statistical area -- in principal city,152358,75539,5003,4891,4724,2597,3866,1990,2188,4890,6230,5451,4163,4055,3911,4358,4027,1752,2473,1338,1369,1968,1448,1568,1279,76819,4846,4856,3742,2421,4015,2270,2314,4383,5404,4896,4176,3677,3950,4125,4369,1840,2661,1071,1666,2506,2394,2103,3134,137003,67635,4231,4098,4028,2315,3455,7950,5191,4789,7170,7574,7987,4616,2975,1256,69368,4068,4081,3272,2034,3600,8127,4624,4255,6903,7461,8274,5116,4437,3116,1894,1257,46,136,27,61,73,216,227,140,187,113,31,0,0,0,637,0,105,8,61,47,56,104,88,68,40,60,0,0,0,5571,2737,355,365,250,121,162,274,260,280,294,224,63,52,17,20,2834,192,362,181,132,173,246,272,307,353,243,246,80,29,18,3927,2027,183,140,192,55,122,365,311,91,300,148,101,0,19,0,1900,162,187,180,66,69,202,254,141,250,154,181,24,30,0,66,30,0,10,0,0,10,0,0,10,0,0,0,0,0,0,36,5,0,0,0,0,11,20,0,0,0,0,0,0,0,1136,663,49,27,19,8,11,80,90,91,181,99,0,0,5,3,473,33,15,11,0,19,173,39,31,78,74,0,0,0,0,2761,1190,139,115,208,37,33,183,151,50,86,111,70,7,0,0,1571,386,106,90,128,107,152,91,74,201,103,109,23,1,0,133214,65399,3986,3750,3852,2232,3330,7676,4910,4464,6986,7498,7920,4588,2951,1256,67815,3804,3970,3183,1961,3520,7811,4484,4034,6799,7370,8245,5081,4437,3116,5388,3111,313,433,233,111,166,364,413,405,296,245,72,28,29,3,2277,350,146,123,84,106,518,173,268,197,215,62,35,0,0,32.6,31.3,34.2,34.1,32.6,35.7,27.3,27.0,27.5,24.7,22.1,27.6,25.3,24.6,26.4,24.7,19.5,27.1,28.8,32.8,24.5,20.4,20.9,19.3,34.8,33.3,36.4,24.2,24.4,24.1,152358
40,SD,46,,,,,040E2US46,South Dakota -- In micropolitan statistical area -- not in principal city,76237,39332,2434,2785,2360,1456,823,481,421,1189,1993,2007,2237,2288,2654,3208,3364,1390,1715,1156,1368,1585,1167,715,536,36905,2097,2548,2476,1667,721,301,272,1095,1428,2016,1761,2175,2492,3373,3177,1143,1757,1148,1194,1464,1055,849,696,72391,37177,2238,2485,2196,1345,726,1726,1809,1932,4219,5723,6331,4072,1861,514,35214,1929,2299,2249,1562,642,1530,1347,1936,3793,5601,5963,3800,1867,696,599,338,22,48,20,3,22,52,61,5,67,0,38,0,0,0,261,8,65,42,24,14,30,0,34,10,15,18,0,1,0,1625,981,80,99,31,70,52,270,46,12,136,106,39,19,6,15,644,74,92,49,37,46,37,38,0,57,130,45,6,33,0,355,112,2,20,14,0,3,28,16,0,17,0,0,5,0,7,243,9,39,26,0,1,35,27,18,43,21,24,0,0,0,12,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,9,0,0,6,0,0,0,0,0,3,0,0,0,0,0,233,161,0,7,0,9,7,5,47,36,26,20,4,0,0,0,72,6,9,16,0,4,0,3,2,28,4,0,0,0,0,1022,560,92,126,99,29,13,10,14,22,57,13,57,13,15,0,462,71,44,88,44,14,36,13,26,2,94,27,0,3,0,71247,36633,2164,2428,2131,1338,723,1689,1802,1896,4133,5642,6294,4049,1830,514,34614,1857,2226,2160,1498,631,1517,1336,1896,3687,5556,5917,3776,1862,695,1638,870,91,122,103,29,32,50,54,72,114,101,41,23,31,7,768,88,93,118,81,15,35,15,42,134,60,56,24,6,1,44.1,43.5,44.8,45.2,44.8,45.7,21.7,25.3,17.6,22.6,22.5,24.6,26.0,22.0,27.6,26.0,.,14.5,30.5,30.8,25.3,14.8,13.7,16.6,45.5,45.0,46.1,23.7,25.4,19.0,76237
