SummaryLevel,State,StateFIPS,CountyFIPS,PlaceFIPS,CBSACode,CongressDistrict,GEOID,AreaName,B01001_001,B01001_002,B01001_003,B01001_004,B01001_005,B01001_006,B01001_007,B01001_008,B01001_009,B01001_010,B01001_011,B01001_012,B01001_013,B01001_014,B01001_015,B01001_016,B01001_017,B01001_018,B01001_019,B01001_020,B01001_021,B01001_022,B01001_023,B01001_024,B01001_025,B01001_026,B01001_027,B01001_028,B01001_029,B01001_030,B01001_031,B01001_032,B01001_033,B01001_034,B01001_035,B01001_036,B01001_037,B01001_038,B01001_039,B01001_040,B01001_041,B01001_042,B01001_043,B01001_044,B01001_045,B01001_046,B01001_047,B01001_048,B01001_049,B01001A_001,B01001A_002,B01001A_003,B01001A_004,B01001A_005,B01001A_006,B01001A_007,B01001A_008,B01001A_009,B01001A_010,B01001A_011,B01001A_012,B01001A_013,B01001A_014,B01001A_015,B01001A_016,B01001A_017,B01001A_018,B01001A_019,B01001A_020,B01001A_021,B01001A_022,B01001A_023,B01001A_024,B01001A_025,B01001A_026,B01001A_027,B01001A_028,B01001A_029,B01001A_030,B01001A_031,B01001B_001,B01001B_002,B01001B_003,B01001B_004,B01001B_005,B01001B_006,B01001B_007,B01001B_008,B01001B_009,B01001B_010,B01001B_011,B01001B_012,B01001B_013,B01001B_014,B01001B_015,B01001B_016,B01001B_017,B01001B_018,B01001B_019,B01001B_020,B01001B_021,B01001B_022,B01001B_023,B01001B_024,B01001B_025,B01001B_026,B01001B_027,B01001B_028,B01001B_029,B01001B_030,B01001B_031,B01001C_001,B01001C_002,B01001C_003,B01001C_004,B01001C_005,B01001C_006,B01001C_007,B01001C_008,B01001C_009,B01001C_010,B01001C_011,B01001C_012,B01001C_013,B01001C_014,B01001C_015,B01001C_016,B01001C_017,B01001C_018,B01001C_019,B01001C_020,B01001C_021,B01001C_022,B01001C_023,B01001C_024,B01001C_025,B01001C_026,B01001C_027,B01001C_028,B01001C_029,B01001C_030,B01001C_031,B01001D_001,B01001D_002,B01001D_003,B01001D_004,B01001D_005,B01001D_006,B01001D_007,B01001D_008,B01001D_009,B01001D_010,B01001D_011,B01001D_012,B01001D_013,B01001D_014,B01001D_015,B01001D_016,B01001D_017,B01001D_018,B01001D_019,B01001D_020,B01001D_021,B01001D_022,B01001D_023,B01001D_024,B01001D_025,B01001D_026,B01001D_027,B01001D_028,B01001D_029,B01001D_030,B01001D_031,B01001E_001,B01001E_002,B01001E_003,B01001E_004,B01001E_005,B01001E_006,B01001E_007,B01001E_008,B01001E_009,B01001E_010,B01001E_011,B01001E_012,B01001E_013,B01001E_014,B01001E_015,B01001E_016,B01001E_017,B01001E_018,B01001E_019,B01001E_020,B01001E_021,B01001E_022,B01001E_023,B01001E_024,B01001E_025,B01001E_026,B01001E_027,B01001E_028,B01001E_029,B01001E_030,B01001E_031,B01001F_001,B01001F_002,B01001F_003,B01001F_004,B01001F_005,B01001F_006,B01001F_007,B01001F_008,B01001F_009,B01001F_010,B01001F_011,B01001F_012,B01001F_013,B01001F_014,B01001F_015,B01001F_016,B01001F_017,B01001F_018,B01001F_019,B01001F_020,B01001F_021,B01001F_022,B01001F_023,B01001F_024,B01001F_025,B01001F_026,B01001F_027,B01001F_028,B01001F_029,B01001F_030,B01001F_031,B01001G_001,B01001G_002,B01001G_003,B01001G_004,B01001G_005,B01001G_006,B01001G_007,B01001G_008,B01001G_009,B01001G_010,B01001G_011,B01001G_012,B01001G_013,B01001G_014,B01001G_015,B01001G_016,B01001G_017,B01001G_018,B01001G_019,B01001G_020,B01001G_021,B01001G_022,B01001G_023,B01001G_024,B01001G_025,B01001G_026,B01001G_027,B01001G_028,B01001G_029,B01001G_030,B01001G_031,B01001H_001,B01001H_002,B01001H_003,B01001H_004,B01001H_005,B01001H_006,B01001H_007,B01001H_008,B01001H_009,B01001H_010,B01001H_011,B01001H_012,B01001H_013,B01001H_014,B01001H_015,B01001H_016,B01001H_017,B01001H_018,B01001H_019,B01001H_020,B01001H_021,B01001H_022,B01001H_023,B01001H_024,B01001H_025,B01001H_026,B01001H_027,B01001H_028,B01001H_029,B01001H_030,B01001H_031,B01001I_001,B01001I_002,B01001I_003,B01001I_004,B01001I_005,B01001I_006,B01001I_007,B01001I_008,B01001I_009,B01001I_010,B01001I_011,B01001I_012,B01001I_013,B01001I_014,B01001I_015,B01001I_016,B01001I_017,B01001I_018,B01001I_019,B01001I_020,B01001I_021,B01001I_022,B01001I_023,B01001I_024,B01001I_025,B01001I_026,B01001I_027,B01001I_028,B01001I_029,B01001I_030,B01001I_031,B01002_001,B01002_002,B01002_003,B01002A_001,B01002A_002,B01002A_003,B01002B_001,B01002B_002,B01002B_003,B01002C_001,B01002C_002,B01002C_003,B01002D_001,B01002D_002,B01002D_003,B01002E_001,B01002E_002,B01002E_003,B01002F_001,B01002F_002,B01002F_003,B01002G_001,B01002G_002,B01002G_003,B01002H_001,B01002H_002,B01002H_003,B01002I_001,B01002I_002,B01002I_003,B01003_001
40,TN,47,,,,,04000US47,Tennessee,6548009,3191977,205616,211676,215573,130102,85114,50078,47389,133545,216343,210017,203019,212287,215165,222969,212223,78481,110167,70203,91560,112319,75856,47887,34388,3356032,196544,204568,206544,124302,81238,46676,46000,135704,219602,215238,209039,216272,222619,237045,232035,86987,123383,79552,100712,130203,96561,72222,72986,5096733,2498190,144451,152030,158538,95899,60901,168581,161884,159608,325099,355138,333415,240571,111369,30706,2598543,137300,144993,148677,90656,57407,165872,162732,161153,325248,365097,360265,266504,147993,64646,1100577,520196,40448,40808,41740,25269,18292,48243,40625,36145,66200,65889,56215,27277,9828,3217,580381,39822,39507,40399,25265,18472,49556,43259,40468,76093,76879,69098,36094,18003,7466,18757,9024,770,552,381,463,303,512,450,641,1335,1417,1208,708,242,42,9733,445,468,583,312,340,843,656,1033,1125,1334,1464,788,308,34,105368,48850,3067,4044,2871,2071,1044,3999,4147,4590,8732,6592,4125,2373,984,211,56518,3285,3686,3871,2080,1643,3532,4846,5023,10291,7690,5585,3372,1248,366,3299,1609,160,74,76,46,52,271,313,47,112,255,107,22,57,17,1690,240,133,147,66,20,147,169,58,261,193,127,109,20,0,90065,48733,6102,4882,4502,1843,1336,4157,5203,5863,7929,4309,1704,725,149,29,41332,5584,5539,4069,1859,1008,3173,4050,3861,6171,3420,1552,850,144,52,133210,65375,10618,9286,7465,4511,3186,5249,3721,3123,5899,4534,4097,2406,1114,166,67835,9868,10242,8798,4064,2348,5257,3890,3642,6122,5051,4314,2750,1067,422,4879669,2382549,130799,138368,147196,90453,57546,159482,151984,148764,305842,345311,328038,238233,110124,30409,2497120,124286,133960,137880,85773,54222,157755,155240,152014,310102,356569,354507,264140,146516,64156,327345,174231,21547,19827,17225,7887,5125,14351,15109,17033,28222,15128,7621,3206,1617,333,153114,20596,18274,15975,7306,4699,12317,11908,13578,22411,12764,7741,3294,1680,571,38.5,37.2,39.8,40.9,39.6,42.2,32.4,30.6,34.2,38.0,38.7,36.9,34.3,33.5,35.2,25.9,25.6,28.2,25.4,26.1,24.1,18.6,18.4,18.8,41.9,40.6,43.1,24.8,25.3,24.1,6548009
40,TN,47,,,,,04001US47,Tennessee -- Urban,4375477,2103503,148275,145524,143660,85227,61458,35823,34679,95617,158527,150142,138217,140775,136090,137647,128927,47528,65457,40286,52495,62310,42885,29205,22749,2271974,142174,141022,139208,82336,60454,34966,34860,101362,165225,156825,145407,145831,143717,151849,145312,54814,77824,49359,60960,78560,60656,47901,51352,3075847,1488259,91708,92022,92667,54974,39677,109681,109448,104913,200282,200837,183598,126807,62012,19633,1587588,88010,87304,87654,51911,38552,112992,111748,106764,200343,211082,205410,151109,90572,44137,1011556,472124,38842,38215,38722,23058,16879,44060,36688,32922,58660,59116,50015,23803,8376,2768,539432,37952,36905,37762,23787,17498,47074,41331,38190,70560,70718,62772,32377,15870,6636,13296,6514,612,433,274,313,242,460,397,522,991,960,783,403,85,39,6782,314,440,431,232,296,525,524,883,772,870,907,342,224,22,95107,44791,2739,3679,2614,1830,933,3747,3938,4242,8088,6020,3749,2081,928,203,50316,2933,3255,3374,1906,1410,3251,4615,4431,9250,6666,4912,2923,1109,281,2729,1273,69,74,38,34,52,245,293,24,93,192,87,19,41,12,1456,228,131,147,64,20,135,157,55,234,130,89,49,17,0,79539,42906,5722,4158,3997,1493,1150,3650,4785,5198,7100,3597,1325,666,65,0,36633,5205,4980,3554,1692,852,2827,3677,3516,5384,2964,1178,656,124,24,97403,47636,8583,6943,5348,3525,2525,4276,2978,2321,3778,3015,2355,1312,583,94,49767,7532,8007,6286,2744,1826,4384,3173,2986,4695,3136,2682,1423,641,252,2892659,1390736,80067,80206,83313,50493,36969,101655,100872,95920,183451,192669,179206,125254,61234,19427,1501923,76703,77891,78610,48132,35800,105957,105181,98793,187150,203991,201057,149351,89470,43837,279798,148720,18919,16915,14628,6481,4223,12607,13258,14481,24788,12623,6193,2349,1029,226,131078,18278,15906,13440,5979,4089,10592,10495,12042,19571,10692,5852,2506,1268,368,36.2,34.8,37.6,39.0,37.4,40.5,31.8,29.9,33.5,33.9,35.1,33.8,34.2,33.4,35.0,25.6,25.7,25.1,25.2,26.0,23.7,17.8,17.4,18.3,40.2,38.6,41.7,24.6,25.2,23.9,4375477
40,TN,47,,,,,04043US47,Tennessee -- Rural,2172532,1088474,57341,66152,71913,44875,23656,14255,12710,37928,57816,59875,64802,71512,79075,85322,83296,30953,44710,29917,39065,50009,32971,18682,11639,1084058,54370,63546,67336,41966,20784,11710,11140,34342,54377,58413,63632,70441,78902,85196,86723,32173,45559,30193,39752,51643,35905,24321,21634,2020886,1009931,52743,60008,65871,40925,21224,58900,52436,54695,124817,154301,149817,113764,49357,11073,1010955,49290,57689,61023,38745,18855,52880,50984,54389,124905,154015,154855,115395,57421,20509,89021,48072,1606,2593,3018,2211,1413,4183,3937,3223,7540,6773,6200,3474,1452,449,40949,1870,2602,2637,1478,974,2482,1928,2278,5533,6161,6326,3717,2133,830,5461,2510,158,119,107,150,61,52,53,119,344,457,425,305,157,3,2951,131,28,152,80,44,318,132,150,353,464,557,446,84,12,10261,4059,328,365,257,241,111,252,209,348,644,572,376,292,56,8,6202,352,431,497,174,233,281,231,592,1041,1024,673,449,139,85,570,336,91,0,38,12,0,26,20,23,19,63,20,3,16,5,234,12,2,0,2,0,12,12,3,27,63,38,60,3,0,10526,5827,380,724,505,350,186,507,418,665,829,712,379,59,84,29,4699,379,559,515,167,156,346,373,345,787,456,374,194,20,28,35807,17739,2035,2343,2117,986,661,973,743,802,2121,1519,1742,1094,531,72,18068,2336,2235,2512,1320,522,873,717,656,1427,1915,1632,1327,426,170,1987010,991813,50732,58162,63883,39960,20577,57827,51112,52844,122391,152642,148832,112979,48890,10982,995197,47583,56069,59270,37641,18422,51798,50059,53221,122952,152578,153450,114789,57046,20319,47547,25511,2628,2912,2597,1406,902,1744,1851,2552,3434,2505,1428,857,588,107,22036,2318,2368,2535,1327,610,1725,1413,1536,2840,2072,1889,788,412,203,43.3,42.4,44.3,43.9,43.0,44.8,39.7,37.3,42.6,47.3,46.9,47.8,36.7,33.8,37.8,38.4,25.1,50.9,27.5,28.0,27.2,21.7,23.8,20.5,44.3,43.4,45.0,25.9,26.7,25.3,2172532
40,TN,47,,,,,040A0US47,Tennessee -- In metropolitan or micropolitan statistical area,5917426,2876809,188355,192709,195148,117526,77790,45918,43167,122147,197444,191234,183174,191948,193241,199846,190311,70158,97816,62064,80565,97536,66043,41914,30755,3040617,179419,186292,187299,112323,74909,43178,42873,124800,202984,198304,191146,196653,201219,214609,209105,77735,110517,71023,88807,113740,85211,63879,64592,4537539,2220471,129548,135554,140616,84854,54657,152160,146213,143680,290276,315047,294787,209149,96582,27348,2317068,123111,129173,132385,80433,51885,150570,147915,146062,291597,325494,319318,232524,129762,56839,1049760,492814,39065,39497,40037,24231,17484,45649,38048,33858,61885,62142,53208,25512,9191,3007,556946,38211,37992,38714,24295,17879,47903,42029,39049,73174,73743,66015,34105,16815,7022,16631,7980,686,497,344,451,275,486,370,604,1197,1235,1002,614,180,39,8651,354,462,540,285,317,761,648,967,1019,1152,1285,556,277,28,103160,47906,3028,4005,2828,2064,1022,3903,4038,4505,8718,6355,4058,2257,914,211,55254,3277,3607,3837,2022,1643,3472,4741,4978,10107,7455,5516,3142,1138,319,3067,1502,160,74,53,34,52,267,284,47,93,240,107,22,57,12,1565,240,125,147,44,20,135,157,58,249,193,97,83,17,0,87399,47072,5999,4631,4428,1828,1259,4009,4989,5708,7655,4106,1631,679,135,15,40327,5487,5427,3910,1812,1008,3141,3919,3811,6029,3316,1439,832,144,52,119870,59064,9869,8451,6842,4064,3041,4758,3502,2832,5298,3962,3492,1932,898,123,60806,8739,9506,7766,3432,2157,4869,3575,3379,5624,4475,3687,2328,937,332,4331307,2110931,116409,122427,130033,79809,51612,143443,136715,133482,272043,305587,289702,206975,95632,27062,2220376,110814,118456,122107,75840,48925,142819,140761,137163,277059,317431,313915,230312,128388,56386,312976,166150,20848,18984,16360,7442,4738,13808,14543,16244,26869,14488,7247,2996,1275,308,146826,19662,17820,15191,6939,4463,11823,11378,13293,21657,12143,7223,3123,1577,534,38.1,36.8,39.4,40.6,39.3,41.9,32.2,30.3,34.0,36.5,37.1,35.0,34.2,33.4,35.0,25.9,25.7,28.0,25.3,26.1,24.1,18.4,18.2,18.9,41.6,40.4,42.8,24.7,25.2,24.1,5917426
40,TN,47,,,,,040C0US47,Tennessee -- In metropolitan statistical area,5052946,2454303,163620,165642,166707,100313,66184,38801,37365,106265,173598,167200,158322,165533,165454,169869,161284,59422,81464,51193,66243,77722,53242,33584,25276,2598643,156111,160862,160146,95999,64789,36601,36409,109490,178786,173653,165914,169224,172183,183311,177285,66467,91886,59659,71868,92040,69887,52306,53767,3748790,1835236,108011,112158,115270,69397,44814,126101,124676,122330,243841,261517,242568,166239,76217,22097,1913554,102681,107178,108898,65832,43093,125099,126153,123815,243463,269511,262007,185101,104160,46563,1008731,472702,37594,38015,38746,23441,16409,44105,36653,32439,59352,59595,50513,24238,8752,2850,536029,36972,36772,37139,23443,17204,45987,40739,37993,70434,71310,63071,32542,15868,6555,13935,6867,651,437,303,405,203,422,338,513,1109,955,874,461,175,21,7068,332,390,417,232,255,634,498,802,890,945,1058,407,180,28,98412,45913,2951,3887,2712,1962,986,3684,3914,4328,8316,6032,3902,2127,914,198,52499,3193,3437,3695,1922,1474,3309,4490,4681,9790,7032,5124,2972,1061,319,2843,1392,152,74,53,34,52,258,251,47,78,234,99,19,41,0,1451,240,123,147,42,20,124,152,37,223,190,75,61,17,0,77945,42067,5584,4181,3892,1611,1094,3648,4624,5131,6583,3625,1359,596,126,13,35878,5021,4640,3329,1588,894,2857,3640,3407,5310,2917,1341,769,124,41,102290,50126,8677,6890,5731,3463,2626,4213,3142,2412,4576,3365,2855,1478,601,97,52164,7672,8322,6521,2940,1849,4490,3114,2918,5028,3589,2962,1715,783,261,3566600,1738562,96482,100495,106379,64969,42123,118381,116159,113418,227363,253172,238053,164397,75335,21836,1828038,91768,97624,99749,61878,40472,118285,119586,116138,230486,262360,257320,183264,102941,46167,276571,146817,18577,16780,13868,6579,4157,12314,13083,14385,23951,12773,6349,2543,1177,281,129754,17572,15643,13278,5991,3975,10381,10446,11621,19305,10724,6302,2661,1389,466,37.5,36.2,38.8,40.2,39.0,41.4,32.1,30.2,33.9,36.1,36.6,34.9,34.1,33.3,35.0,25.6,25.5,25.8,25.3,25.9,24.4,18.4,18.2,18.7,41.3,40.1,42.5,24.8,25.3,24.2,5052946
40,TN,47,,,,,040C1US47,Tennessee -- In metropolitan statistical area -- in principal city,2282602,1094705,81893,74276,68864,39443,33445,20794,21040,58312,98974,87447,74832,69354,66843,67509,66061,24041,31139,18372,23464,26484,18297,12811,11010,1187897,78974,73198,67109,39395,35959,21249,21868,62661,103876,88277,76412,71416,69314,75239,74080,28061,37298,23532,28473,35007,27916,23585,24998,1315590,638717,39967,35601,32425,18076,17329,55557,60335,53706,87524,82047,76829,47175,23429,8717,676873,38353,34922,30572,17880,19160,60017,61550,50528,82109,82715,84057,58290,37245,19475,792088,368092,30910,29898,29692,17452,12969,35945,29777,25210,44332,44762,39567,18673,6812,2093,423996,30069,28460,28927,17810,14185,38373,33923,30200,53349,54414,49814,25896,13337,5239,6185,3119,251,187,161,72,57,341,287,207,552,382,375,178,63,6,3066,124,156,115,77,118,362,197,367,317,402,570,202,59,0,55834,26821,1640,2105,1189,926,712,2840,3137,2888,4498,2982,2055,1184,525,140,29013,1819,1689,1659,971,807,2423,3182,2871,5230,3413,2746,1564,452,187,1761,931,69,13,38,34,8,210,213,47,55,126,66,19,33,0,830,105,57,60,42,20,101,135,20,123,95,51,21,0,0,55938,29887,4173,2978,2498,1164,859,2520,3168,3843,4825,2438,910,455,56,0,26051,3971,3667,2489,1150,562,1845,2802,2593,3684,1958,769,435,102,24,55206,27138,4883,3494,2861,1719,1511,2733,2057,1546,2400,1615,1439,636,190,54,28068,4533,4247,3287,1465,1107,2657,2087,1698,3016,1556,1432,604,306,73,1207905,580556,32914,28976,27328,15492,15677,50881,54238,47991,77295,77176,74564,46410,23031,8583,627349,31461,29317,25829,15898,17578,55510,57187,46057,74578,78696,81741,57440,36785,19272,174215,93259,12086,10335,8292,4071,2663,7876,9211,9757,15780,7758,3505,1278,513,134,80956,11920,10203,7676,3436,2531,6836,7281,7374,12023,6282,3249,1319,576,250,33.9,32.7,35.1,36.6,35.6,37.9,31.4,29.5,33.3,35.2,34.9,35.3,32.4,31.4,33.4,25.8,25.9,25.8,25.1,25.9,23.4,18.8,18.7,18.9,38.2,36.8,39.5,24.7,25.5,23.6,2282602
40,TN,47,,,,,040C2US47,Tennessee -- In metropolitan statistical area -- not in principal city,2770344,1359598,81727,91366,97843,60870,32739,18007,16325,47953,74624,79753,83490,96179,98611,102360,95223,35381,50325,32821,42779,51238,34945,20773,14266,1410746,77137,87664,93037,56604,28830,15352,14541,46829,74910,85376,89502,97808,102869,108072,103205,38406,54588,36127,43395,57033,41971,28721,28769,2433200,1196519,68044,76557,82845,51321,27485,70544,64341,68624,156317,179470,165739,119064,52788,13380,1236681,64328,72256,78326,47952,23933,65082,64603,73287,161354,186796,177950,126811,66915,27088,216643,104610,6684,8117,9054,5989,3440,8160,6876,7229,15020,14833,10946,5565,1940,757,112033,6903,8312,8212,5633,3019,7614,6816,7793,17085,16896,13257,6646,2531,1316,7750,3748,400,250,142,333,146,81,51,306,557,573,499,283,112,15,4002,208,234,302,155,137,272,301,435,573,543,488,205,121,28,42578,19092,1311,1782,1523,1036,274,844,777,1440,3818,3050,1847,943,389,58,23486,1374,1748,2036,951,667,886,1308,1810,4560,3619,2378,1408,609,132,1082,461,83,61,15,0,44,48,38,0,23,108,33,0,8,0,621,135,66,87,0,0,23,17,17,100,95,24,40,17,0,22007,12180,1411,1203,1394,447,235,1128,1456,1288,1758,1187,449,141,70,13,9827,1050,973,840,438,332,1012,838,814,1626,959,572,334,22,17,47084,22988,3794,3396,2870,1744,1115,1480,1085,866,2176,1750,1416,842,411,43,24096,3139,4075,3234,1475,742,1833,1027,1220,2012,2033,1530,1111,477,188,2358695,1158006,63568,71519,79051,49477,26446,67500,61921,65427,150068,175996,163489,117987,52304,13253,1200689,60307,68307,73920,45980,22894,62775,62399,70081,155908,183664,175579,125824,66156,26895,102356,53558,6491,6445,5576,2508,1494,4438,3872,4628,8171,5015,2844,1265,664,147,48798,5652,5440,5602,2555,1444,3545,3165,4247,7282,4442,3053,1342,813,216,40.8,39.7,41.9,42.1,40.9,43.1,34.5,32.7,36.1,36.5,38.9,34.6,36.5,36.6,36.5,21.8,21.7,22.0,26.2,26.0,26.4,17.7,17.0,18.4,42.7,41.6,43.7,25.0,24.8,25.2,2770344
40,TN,47,,,,,040E0US47,Tennessee -- In micropolitan statistical area,864480,422506,24735,27067,28441,17213,11606,7117,5802,15882,23846,24034,24852,26415,27787,29977,29027,10736,16352,10871,14322,19814,12801,8330,5479,441974,23308,25430,27153,16324,10120,6577,6464,15310,24198,24651,25232,27429,29036,31298,31820,11268,18631,11364,16939,21700,15324,11573,10825,788749,385235,21537,23396,25346,15457,9843,26059,21537,21350,46435,53530,52219,42910,20365,5251,403514,20430,21995,23487,14601,8792,25471,21762,22247,48134,55983,57311,47423,25602,10276,41029,20112,1471,1482,1291,790,1075,1544,1395,1419,2533,2547,2695,1274,439,157,20917,1239,1220,1575,852,675,1916,1290,1056,2740,2433,2944,1563,947,467,2696,1113,35,60,41,46,72,64,32,91,88,280,128,153,5,18,1583,22,72,123,53,62,127,150,165,129,207,227,149,97,0,4748,1993,77,118,116,102,36,219,124,177,402,323,156,130,0,13,2755,84,170,142,100,169,163,251,297,317,423,392,170,77,0,224,110,8,0,0,0,0,9,33,0,15,6,8,3,16,12,114,0,2,0,2,0,11,5,21,26,3,22,22,0,0,9454,5005,415,450,536,217,165,361,365,577,1072,481,272,83,9,2,4449,466,787,581,224,114,284,279,404,719,399,98,63,20,11,17580,8938,1192,1561,1111,601,415,545,360,420,722,597,637,454,297,26,8642,1067,1184,1245,492,308,379,461,461,596,886,725,613,154,71,764707,372369,19927,21932,23654,14840,9489,25062,20556,20064,44680,52415,51649,42578,20297,5226,392338,19046,20832,22358,13962,8453,24534,21175,21025,46573,55071,56595,47048,25447,10219,36405,19333,2271,2204,2492,863,581,1494,1460,1859,2918,1715,898,453,98,27,17072,2090,2177,1913,948,488,1442,932,1672,2352,1419,921,462,188,68,41.6,40.1,42.9,42.6,41.3,43.9,35.4,33.7,37.9,40.9,47.3,38.2,36.2,37.2,35.2,39.5,39.3,41.2,25.5,29.9,20.7,18.9,18.0,20.7,43.3,42.1,44.6,23.7,24.2,23.1,864480
40,TN,47,,,,,040E1US47,Tennessee -- In micropolitan statistical area -- in principal city,247311,117556,8253,8052,7302,4823,4471,2682,2095,5838,8843,7956,6625,7081,6894,7201,6977,2139,3880,2388,3411,4219,3017,1797,1612,129755,7840,7320,7745,4556,4164,2873,2869,5622,8046,7497,7033,7480,7715,8321,7721,2610,5070,2771,4427,6008,4340,3391,4336,203262,96296,6107,6105,5571,3722,3331,8901,7251,6389,10951,11980,10972,8965,4538,1513,106966,6101,5405,5578,3480,3342,9259,6482,6030,11739,13409,13068,11958,7052,4063,28252,13254,1151,1052,860,591,810,1058,1019,898,1616,1549,1660,721,201,68,14998,881,893,1255,640,555,1541,955,755,1992,1863,1911,959,566,232,1180,595,25,11,22,19,65,62,18,49,29,110,98,69,0,18,585,4,47,93,0,0,72,34,70,56,120,38,40,11,0,2406,1109,51,70,100,87,24,98,92,105,232,130,77,43,0,0,1297,62,84,90,76,34,76,163,152,160,174,114,85,27,0,110,62,0,0,0,0,0,9,33,0,15,0,0,0,0,5,48,0,0,0,0,0,11,0,21,13,3,0,0,0,0,5398,2882,264,227,388,132,126,241,253,332,655,162,74,19,9,0,2516,293,444,339,157,80,218,125,219,397,181,31,32,0,0,6703,3358,655,587,361,272,115,246,177,183,208,164,115,201,66,8,3345,499,447,390,203,153,187,287,250,156,286,239,132,75,41,191420,89807,5241,5281,4920,3500,3136,8303,6577,5740,10079,11517,10677,8799,4538,1499,101613,5322,4873,5131,3283,3153,8751,6100,5397,10863,12989,12828,11817,7045,4061,18829,10139,1323,1105,1167,358,368,949,962,966,1544,743,410,216,14,14,8690,1180,1017,913,426,304,889,532,877,1312,678,343,197,20,2,36.6,34.1,39.6,38.9,35.8,41.4,32.8,30.8,35.1,34.9,44.8,33.4,32.3,30.8,32.7,34.1,25.7,34.6,22.2,25.5,18.5,17.5,15.6,19.5,40.5,37.5,43.1,23.5,24.2,22.7,247311
40,TN,47,,,,,040E2US47,Tennessee -- In micropolitan statistical area -- not in principal city,617169,304950,16482,19015,21139,12390,7135,4435,3707,10044,15003,16078,18227,19334,20893,22776,22050,8597,12472,8483,10911,15595,9784,6533,3867,312219,15468,18110,19408,11768,5956,3704,3595,9688,16152,17154,18199,19949,21321,22977,24099,8658,13561,8593,12512,15692,10984,8182,6489,585487,288939,15430,17291,19775,11735,6512,17158,14286,14961,35484,41550,41247,33945,15827,3738,296548,14329,16590,17909,11121,5450,16212,15280,16217,36395,42574,44243,35465,18550,6213,12777,6858,320,430,431,199,265,486,376,521,917,998,1035,553,238,89,5919,358,327,320,212,120,375,335,301,748,570,1033,604,381,235,1516,518,10,49,19,27,7,2,14,42,59,170,30,84,5,0,998,18,25,30,53,62,55,116,95,73,87,189,109,86,0,2342,884,26,48,16,15,12,121,32,72,170,193,79,87,0,13,1458,22,86,52,24,135,87,88,145,157,249,278,85,50,0,114,48,8,0,0,0,0,0,0,0,0,6,8,3,16,7,66,0,2,0,2,0,0,5,0,13,0,22,22,0,0,4056,2123,151,223,148,85,39,120,112,245,417,319,198,64,0,2,1933,173,343,242,67,34,66,154,185,322,218,67,31,20,11,10877,5580,537,974,750,329,300,299,183,237,514,433,522,253,231,18,5297,568,737,855,289,155,192,174,211,440,600,486,481,79,30,573287,282562,14686,16651,18734,11340,6353,16759,13979,14324,34601,40898,40972,33779,15759,3727,290725,13724,15959,17227,10679,5300,15783,15075,15628,35710,42082,43767,35231,18402,6158,17576,9194,948,1099,1325,505,213,545,498,893,1374,972,488,237,84,13,8382,910,1160,1000,522,184,553,400,795,1040,741,578,265,168,66,43.2,42.3,44.2,43.8,42.8,44.7,41.8,39.6,43.6,47.0,47.7,41.4,41.3,42.6,38.0,59.0,74.7,58.5,31.3,34.2,25.8,19.8,19.3,21.2,44.2,43.3,45.1,23.9,24.4,23.7,617169
