SummaryLevel,State,StateFIPS,CountyFIPS,PlaceFIPS,CBSACode,CongressDistrict,GEOID,AreaName,B01001_001,B01001_002,B01001_003,B01001_004,B01001_005,B01001_006,B01001_007,B01001_008,B01001_009,B01001_010,B01001_011,B01001_012,B01001_013,B01001_014,B01001_015,B01001_016,B01001_017,B01001_018,B01001_019,B01001_020,B01001_021,B01001_022,B01001_023,B01001_024,B01001_025,B01001_026,B01001_027,B01001_028,B01001_029,B01001_030,B01001_031,B01001_032,B01001_033,B01001_034,B01001_035,B01001_036,B01001_037,B01001_038,B01001_039,B01001_040,B01001_041,B01001_042,B01001_043,B01001_044,B01001_045,B01001_046,B01001_047,B01001_048,B01001_049,B01001A_001,B01001A_002,B01001A_003,B01001A_004,B01001A_005,B01001A_006,B01001A_007,B01001A_008,B01001A_009,B01001A_010,B01001A_011,B01001A_012,B01001A_013,B01001A_014,B01001A_015,B01001A_016,B01001A_017,B01001A_018,B01001A_019,B01001A_020,B01001A_021,B01001A_022,B01001A_023,B01001A_024,B01001A_025,B01001A_026,B01001A_027,B01001A_028,B01001A_029,B01001A_030,B01001A_031,B01001B_001,B01001B_002,B01001B_003,B01001B_004,B01001B_005,B01001B_006,B01001B_007,B01001B_008,B01001B_009,B01001B_010,B01001B_011,B01001B_012,B01001B_013,B01001B_014,B01001B_015,B01001B_016,B01001B_017,B01001B_018,B01001B_019,B01001B_020,B01001B_021,B01001B_022,B01001B_023,B01001B_024,B01001B_025,B01001B_026,B01001B_027,B01001B_028,B01001B_029,B01001B_030,B01001B_031,B01001C_001,B01001C_002,B01001C_003,B01001C_004,B01001C_005,B01001C_006,B01001C_007,B01001C_008,B01001C_009,B01001C_010,B01001C_011,B01001C_012,B01001C_013,B01001C_014,B01001C_015,B01001C_016,B01001C_017,B01001C_018,B01001C_019,B01001C_020,B01001C_021,B01001C_022,B01001C_023,B01001C_024,B01001C_025,B01001C_026,B01001C_027,B01001C_028,B01001C_029,B01001C_030,B01001C_031,B01001D_001,B01001D_002,B01001D_003,B01001D_004,B01001D_005,B01001D_006,B01001D_007,B01001D_008,B01001D_009,B01001D_010,B01001D_011,B01001D_012,B01001D_013,B01001D_014,B01001D_015,B01001D_016,B01001D_017,B01001D_018,B01001D_019,B01001D_020,B01001D_021,B01001D_022,B01001D_023,B01001D_024,B01001D_025,B01001D_026,B01001D_027,B01001D_028,B01001D_029,B01001D_030,B01001D_031,B01001E_001,B01001E_002,B01001E_003,B01001E_004,B01001E_005,B01001E_006,B01001E_007,B01001E_008,B01001E_009,B01001E_010,B01001E_011,B01001E_012,B01001E_013,B01001E_014,B01001E_015,B01001E_016,B01001E_017,B01001E_018,B01001E_019,B01001E_020,B01001E_021,B01001E_022,B01001E_023,B01001E_024,B01001E_025,B01001E_026,B01001E_027,B01001E_028,B01001E_029,B01001E_030,B01001E_031,B01001F_001,B01001F_002,B01001F_003,B01001F_004,B01001F_005,B01001F_006,B01001F_007,B01001F_008,B01001F_009,B01001F_010,B01001F_011,B01001F_012,B01001F_013,B01001F_014,B01001F_015,B01001F_016,B01001F_017,B01001F_018,B01001F_019,B01001F_020,B01001F_021,B01001F_022,B01001F_023,B01001F_024,B01001F_025,B01001F_026,B01001F_027,B01001F_028,B01001F_029,B01001F_030,B01001F_031,B01001G_001,B01001G_002,B01001G_003,B01001G_004,B01001G_005,B01001G_006,B01001G_007,B01001G_008,B01001G_009,B01001G_010,B01001G_011,B01001G_012,B01001G_013,B01001G_014,B01001G_015,B01001G_016,B01001G_017,B01001G_018,B01001G_019,B01001G_020,B01001G_021,B01001G_022,B01001G_023,B01001G_024,B01001G_025,B01001G_026,B01001G_027,B01001G_028,B01001G_029,B01001G_030,B01001G_031,B01001H_001,B01001H_002,B01001H_003,B01001H_004,B01001H_005,B01001H_006,B01001H_007,B01001H_008,B01001H_009,B01001H_010,B01001H_011,B01001H_012,B01001H_013,B01001H_014,B01001H_015,B01001H_016,B01001H_017,B01001H_018,B01001H_019,B01001H_020,B01001H_021,B01001H_022,B01001H_023,B01001H_024,B01001H_025,B01001H_026,B01001H_027,B01001H_028,B01001H_029,B01001H_030,B01001H_031,B01001I_001,B01001I_002,B01001I_003,B01001I_004,B01001I_005,B01001I_006,B01001I_007,B01001I_008,B01001I_009,B01001I_010,B01001I_011,B01001I_012,B01001I_013,B01001I_014,B01001I_015,B01001I_016,B01001I_017,B01001I_018,B01001I_019,B01001I_020,B01001I_021,B01001I_022,B01001I_023,B01001I_024,B01001I_025,B01001I_026,B01001I_027,B01001I_028,B01001I_029,B01001I_030,B01001I_031,B01002_001,B01002_002,B01002_003,B01002A_001,B01002A_002,B01002A_003,B01002B_001,B01002B_002,B01002B_003,B01002C_001,B01002C_002,B01002C_003,B01002D_001,B01002D_002,B01002D_003,B01002E_001,B01002E_002,B01002E_003,B01002F_001,B01002F_002,B01002F_003,B01002G_001,B01002G_002,B01002G_003,B01002H_001,B01002H_002,B01002H_003,B01002I_001,B01002I_002,B01002I_003,B01003_001
40,TX,48,,,,,04000US48,Texas,26956435,13379165,1006680,1023516,1013784,595151,393458,215816,210841,594204,1002615,982130,910992,906297,858734,862747,782172,278429,371288,225159,283035,347464,236349,157193,121111,13577270,964006,988889,970402,570048,367685,199906,192065,564856,966144,964885,912527,912647,868068,882040,817971,300269,408606,246073,318635,408196,299477,222766,231109,20174403,10032028,730283,740624,737643,433510,283348,734225,727585,719242,1335130,1303340,1131926,711883,335853,107436,10142375,695501,711824,705445,414037,264902,692094,701808,698145,1318797,1313691,1192526,794052,439882,199671,3221133,1558763,117145,124528,124012,75026,52603,136063,124015,116443,215475,204161,158147,73993,29788,7364,1662370,112866,120091,117206,72384,50372,130812,127457,126235,234272,223886,184512,96620,46648,19009,128145,65771,3582,4453,5175,3026,2724,5402,4960,4400,9645,9755,7130,3647,1466,406,62374,4134,4209,4915,3624,1756,4728,4095,4647,8757,8876,6494,4023,1646,470,1175423,570827,38585,40179,39442,21436,13740,41973,48728,50543,99980,78022,53601,30500,11739,2359,604596,36287,40276,37892,21066,13467,39037,50986,56054,110255,81336,63099,35907,14476,4458,22248,10910,1105,859,791,499,334,952,1275,904,1896,1027,889,338,36,5,11338,808,557,911,532,308,863,934,1101,2070,1605,1016,338,270,25,1561683,806250,65382,67093,66526,39727,27141,73643,72831,70889,122566,100312,61604,25495,10478,2563,755433,64596,66689,65291,37538,24503,63455,59011,57452,115677,92702,58940,29529,14410,5640,673400,334616,50598,45780,40195,21927,13568,28603,23221,19709,32597,24864,18592,9802,4182,978,338784,49814,45243,38742,20867,12377,25838,21853,21251,35346,28012,20259,12435,4911,1836,11705684,5795703,318776,327896,335806,207276,138183,374121,391315,388759,739355,841064,825607,553668,266637,87240,5909981,302333,309992,319879,196521,126877,351436,383012,381343,726472,841744,860571,605449,341536,162816,10413150,5236312,505199,506852,491282,277942,180374,450607,423358,412417,738646,578707,377576,188264,81748,23340,5176838,485507,493625,472957,267833,169747,418651,388820,387517,729575,579217,400795,224104,115218,43272,34.2,33.2,35.2,35.3,34.4,36.4,32.6,31.1,33.9,34.1,34.0,34.1,34.9,34.1,35.6,30.9,29.0,33.4,29.5,29.3,29.7,19.8,19.2,20.5,42.0,40.8,43.1,27.9,27.4,28.6,26956435
40,TX,48,,,,,04001US48,Texas -- Urban,22867852,11283810,880706,884413,864150,503244,341053,189363,185848,522437,886562,854017,782325,773129,718032,707000,628870,221327,292136,174716,215909,259960,179760,120968,97885,11584042,843471,858878,829832,485695,323945,178321,171488,505036,864295,848517,797123,787352,733972,729556,670216,242282,331047,194699,250050,322322,239623,182002,194320,16591178,8207626,621155,620815,609728,354223,240242,632680,630311,611389,1114095,1044596,870986,522528,249203,85675,8383552,592459,600081,585075,341689,227908,605256,612278,596445,1108369,1059335,936456,604531,347622,166048,2999590,1433865,112361,118218,115861,70418,48709,125672,114983,106383,195205,184550,142952,65963,26250,6340,1565725,107475,114348,110437,68144,47609,124959,122935,120559,222835,209313,170694,87951,41531,16935,105297,53867,3199,3846,4143,2441,2202,4503,4328,3613,8071,7894,5536,2634,1108,349,51430,3606,3752,3943,2756,1378,3962,3575,4243,7100,7273,5031,3207,1244,360,1136485,552755,37242,38660,38033,20793,13272,41207,47501,49340,96191,75578,51626,29559,11434,2319,583730,35070,38535,36514,20383,13093,38250,49796,54101,106165,78407,60264,34875,13973,4304,20807,10288,1080,824,755,478,329,842,1247,896,1748,930,792,326,36,5,10519,766,537,873,483,240,772,918,1070,1965,1384,973,265,248,25,1421080,731218,59795,61082,60563,35795,24503,67282,67243,64717,111588,90321,54719,21853,9360,2397,689862,59867,60832,58890,34085,22698,58357,54801,52765,106112,83828,53311,26236,12907,5173,593415,294191,45874,40968,35067,19096,11796,25462,20949,17679,28556,21163,15722,7722,3337,800,299224,44228,40793,34100,18155,11019,23289,19992,19334,31929,23988,16816,10006,4100,1475,8918766,4392972,247298,247686,247564,151474,108334,306684,325242,314150,577947,630675,599066,382321,187431,67100,4525794,235143,236173,236556,144597,101669,289940,317594,306837,567191,630836,635476,434909,257252,131621,9439638,4720403,459916,459155,443003,249284,163534,408475,385335,371835,665437,518479,335568,165923,72966,21493,4719235,442192,447906,427560,242515,155511,386787,359587,354702,666713,525616,363126,201173,105482,40365,33.2,32.2,34.3,34.2,33.2,35.3,32.1,30.5,33.6,33.4,33.1,33.5,34.8,34.0,35.6,30.6,28.8,33.1,29.4,29.2,29.6,19.6,18.9,20.3,40.7,39.4,42.0,27.8,27.2,28.5,22867852
40,TX,48,,,,,04043US48,Texas -- Rural,4088583,2095355,125974,139103,149634,91907,52405,26453,24993,71767,116053,128113,128667,133168,140702,155747,153302,57102,79152,50443,67126,87504,56589,36225,23226,1993228,120535,130011,140570,84353,43740,21585,20577,59820,101849,116368,115404,125295,134096,152484,147755,57987,77559,51374,68585,85874,59854,40764,36789,3583225,1824402,109128,119809,127915,79287,43106,101545,97274,107853,221035,258744,260940,189355,86650,21761,1758823,103042,111743,120370,72348,36994,86838,89530,101700,210428,254356,256070,189521,92260,33623,221543,124898,4784,6310,8151,4608,3894,10391,9032,10060,20270,19611,15195,8030,3538,1024,96645,5391,5743,6769,4240,2763,5853,4522,5676,11437,14573,13818,8669,5117,2074,22848,11904,383,607,1032,585,522,899,632,787,1574,1861,1594,1013,358,57,10944,528,457,972,868,378,766,520,404,1657,1603,1463,816,402,110,38938,18072,1343,1519,1409,643,468,766,1227,1203,3789,2444,1975,941,305,40,20866,1217,1741,1378,683,374,787,1190,1953,4090,2929,2835,1032,503,154,1441,622,25,35,36,21,5,110,28,8,148,97,97,12,0,0,819,42,20,38,49,68,91,16,31,105,221,43,73,22,0,140603,75032,5587,6011,5963,3932,2638,6361,5588,6172,10978,9991,6885,3642,1118,166,65571,4729,5857,6401,3453,1805,5098,4210,4687,9565,8874,5629,3293,1503,467,79985,40425,4724,4812,5128,2831,1772,3141,2272,2030,4041,3701,2870,2080,845,178,39560,5586,4450,4642,2712,1358,2549,1861,1917,3417,4024,3443,2429,811,361,2786918,1402731,71478,80210,88242,55802,29849,67437,66073,74609,161408,210389,226541,171347,79206,20140,1384187,67190,73819,83323,51924,25208,61496,65418,74506,159281,210908,225095,170540,84284,31195,973512,515909,45283,47697,48279,28658,16840,42132,38023,40582,73209,60228,42008,22341,8782,1847,457603,43315,45719,45397,25318,14236,31864,29233,32815,62862,53601,37669,22931,9736,2907,40.7,39.7,41.7,41.7,40.8,42.6,38.9,37.2,41.7,38.4,38.9,38.2,37.0,36.1,37.7,36.8,36.3,41.0,31.3,31.2,31.4,21.6,21.3,21.8,46.0,45.3,46.6,28.8,28.7,28.9,4088583
40,TX,48,,,,,040A0US48,Texas -- In metropolitan or micropolitan statistical area,25581212,12676113,963477,977221,967018,567090,373696,206671,202116,566475,960262,938753,868268,865194,817425,814872,734047,259243,345919,208348,259845,315224,213139,141713,110097,12905099,923446,945941,924580,543047,351648,192009,184993,544324,932493,929225,875811,875479,827879,836431,771093,280823,381204,228031,293722,374347,273543,203914,211116,19013222,9444930,695350,703426,699308,410611,268306,699167,694412,684382,1266796,1228473,1051316,645918,300349,97116,9568292,662589,676132,668477,391385,252034,663613,673311,668002,1256664,1240718,1109961,724820,399091,181495,3119706,1503025,114318,121205,120365,72777,50703,130629,119409,111940,207762,196775,151868,70516,27941,6817,1616681,110055,117409,113714,70581,49186,127408,125548,124036,229220,217359,178025,92218,44191,17731,120580,61599,3443,4261,4963,2817,2460,5112,4714,4251,8899,9108,6486,3320,1364,401,58981,3818,4034,4731,3467,1660,4525,3854,4469,8270,8385,6124,3693,1506,445,1168990,567845,38540,39819,39251,21341,13681,41662,48523,50297,99511,77670,53155,30387,11649,2359,601145,36037,39952,37638,21006,13350,38933,50774,55749,109703,80850,62559,35766,14388,4440,21604,10643,1095,841,783,499,331,931,1224,787,1880,1027,883,326,36,0,10961,666,546,911,532,306,803,931,1086,1990,1576,993,338,263,20,1488014,766381,61990,63622,63418,37973,25315,70024,69583,68116,117196,95462,57781,23682,9745,2474,721633,61732,64218,61955,35898,23117,61118,56646,55192,110867,88617,56005,27548,13419,5301,649096,321690,48741,44047,38930,21072,12900,27737,22397,18980,31418,23782,17720,9268,3768,930,327406,48549,43650,37154,20178,11995,24926,21429,20691,34576,26805,19453,11717,4599,1684,10840850,5366536,297628,304705,311171,192069,129176,353025,369826,366949,693214,782863,758100,495102,234764,77944,5474314,282521,288407,296336,181211,118591,333256,362800,360171,681859,783618,790205,544057,305070,146212,10029823,5030966,487041,488298,473796,268050,172025,432398,407795,396200,710274,556619,360216,178789,77263,22202,4998857,468641,476110,455716,258496,163603,405381,377924,375999,706691,559722,385400,214056,109761,41357,33.9,32.9,34.9,35.0,34.0,36.0,32.4,30.9,33.8,33.8,33.5,34.0,34.9,34.1,35.6,31.0,28.8,33.5,29.5,29.3,29.7,19.8,19.1,20.5,41.5,40.3,42.6,27.9,27.3,28.6,25581212
40,TX,48,,,,,040C0US48,Texas -- In metropolitan statistical area,23921868,11831466,905744,917432,908812,531037,346785,190258,187970,528749,903185,884647,815281,813010,764781,759636,681842,240029,319679,191202,237635,286054,191718,126910,99070,12090402,868156,890806,867446,509224,325060,178116,171225,512746,884283,882185,830657,827615,780336,785020,720120,260816,353136,210321,268901,340958,248726,184101,190448,17612673,8737913,646891,653602,651296,380743,247020,644853,647971,639505,1181132,1138889,967240,584326,267381,87064,8874760,616607,630263,621030,363555,230630,614493,632684,627871,1178779,1155972,1024004,657006,359043,162823,2979917,1426827,110020,116621,115745,69803,47605,123004,113450,106307,195967,185563,143851,66552,26029,6310,1553090,105976,113058,109818,67953,45755,121765,121468,120447,221667,209447,170274,87645,41287,16530,110443,56289,3204,3977,4453,2537,2218,4662,4414,4011,8127,8249,5920,2915,1269,333,54154,3578,3758,4326,2865,1552,4280,3498,4192,7747,7742,5640,3373,1294,309,1154018,560570,38205,39287,38639,20955,13338,40882,47976,49861,98374,76658,52474,30056,11542,2323,593448,35522,39362,36971,20761,13138,38528,50257,55091,108255,79981,61665,35397,14271,4249,20106,9866,1005,799,723,470,316,921,1212,731,1567,937,830,326,29,0,10240,601,546,836,499,222,781,931,1072,1819,1445,970,271,227,20,1428549,734980,59789,61118,61063,36582,24186,66307,66830,66021,113196,91721,54777,22254,8926,2210,693569,59485,62068,59528,34514,22364,58572,54596,53486,107098,85293,53201,25805,12625,4934,616162,305021,46630,42028,36893,19947,12102,26348,21332,18211,29928,22400,16458,8462,3452,830,311141,46387,41751,34937,19077,11399,23668,20849,20026,32907,25476,18318,10683,4080,1583,9984665,4939897,276136,281502,288124,177035,117936,324184,344813,342552,644716,723891,695736,445756,208205,69311,5044768,262074,267393,273576,167196,107031,306545,339910,337595,636573,727354,725753,490322,273138,130308,9404668,4708683,456704,458053,444963,251129,160216,402380,382828,373188,667826,521311,334925,164776,69902,20482,4695985,439257,447749,427046,242430,152592,379779,357733,356211,669060,526954,360551,197761,100699,38163,33.7,32.7,34.7,34.8,33.8,35.8,32.3,30.8,33.7,33.7,33.3,34.0,34.9,34.1,35.6,30.5,28.3,33.2,29.4,29.3,29.6,19.7,19.0,20.4,41.2,40.1,42.4,27.9,27.3,28.6,23921868
40,TX,48,,,,,040C1US48,Texas -- In metropolitan statistical area -- in principal city,12195245,6027739,476683,453030,430302,250089,181281,106716,106873,307117,536635,489867,424814,397134,369127,362763,323601,115778,153308,90700,110344,132026,91628,64320,53603,6167506,454802,440077,411127,240067,179308,103293,101435,301122,515642,475696,415108,402935,372245,373897,349116,127845,172551,102444,128323,165994,127365,98297,108817,8635831,4279330,325322,311557,299611,173661,127613,361625,371360,341981,576133,521998,438603,258763,125282,45821,4356501,311219,299755,285268,165567,125349,350407,355432,326027,565784,527819,474127,301048,178002,90697,1730195,823646,66402,66346,61056,35224,25553,74575,72032,63619,106668,103457,84680,41922,17627,4485,906549,62961,63592,59400,35982,25950,77057,78281,72739,117834,116124,101274,55084,28923,11348,54980,27669,1693,1767,2172,1115,1194,2450,2248,1814,4235,3913,2829,1394,668,177,27311,1732,2235,1771,902,575,2499,2092,2429,4028,3858,2776,1515,692,207,600238,295749,19940,17843,17324,9994,7624,25749,32189,30791,51817,36405,24838,14411,5414,1410,304489,18082,18556,16596,9456,8056,24392,31528,31917,51367,36992,29644,17705,8005,2193,11041,5412,562,378,196,291,169,578,778,414,925,456,495,146,24,0,5629,365,300,559,163,98,422,581,614,1064,670,608,136,29,20,853603,440949,37680,35228,33631,20825,13482,41001,44521,40887,67138,54697,32845,12563,5162,1289,412654,36948,36604,32502,19549,13527,37278,35180,31313,62084,48819,31772,15767,7907,3404,309357,154984,25084,19911,16312,8979,5646,14728,13507,10361,15032,10964,8397,3871,1771,421,154373,23495,19035,15031,8448,5753,13795,12548,10657,15882,11860,9311,5506,2104,948,4125707,2041824,108974,98814,96770,58536,52001,165799,182418,163665,265762,279027,275395,173301,87210,34152,2083883,106206,95140,90937,55022,50489,159967,175301,152501,248205,273490,290743,196457,121137,68288,5556829,2776363,269370,261317,247323,141365,92516,245931,241559,225392,386890,305474,201306,100284,44426,13210,2780466,256515,253358,236589,135938,91682,235757,221627,211723,390112,310694,220359,123540,66297,26275,32.5,31.6,33.5,33.3,32.3,34.3,32.1,30.8,33.3,33.8,33.2,34.1,33.4,32.8,34.1,30.4,28.8,33.0,29.2,29.3,29.2,21.3,20.6,21.9,39.8,38.4,41.2,28.3,27.6,29.0,12195245
40,TX,48,,,,,040C2US48,Texas -- In metropolitan statistical area -- not in principal city,11726623,5803727,429061,464402,478510,280948,165504,83542,81097,221632,366550,394780,390467,415876,395654,396873,358241,124251,166371,100502,127291,154028,100090,62590,45467,5922896,413354,450729,456319,269157,145752,74823,69790,211624,368641,406489,415549,424680,408091,411123,371004,132971,180585,107877,140578,174964,121361,85804,81631,8976842,4458583,321569,342045,351685,207082,119407,283228,276611,297524,604999,616891,528637,325563,142099,41243,4518259,305388,330508,335762,197988,105281,264086,277252,301844,612995,628153,549877,355958,181041,72126,1249722,603181,43618,50275,54689,34579,22052,48429,41418,42688,89299,82106,59171,24630,8402,1825,646541,43015,49466,50418,31971,19805,44708,43187,47708,103833,93323,69000,32561,12364,5182,55463,28620,1511,2210,2281,1422,1024,2212,2166,2197,3892,4336,3091,1521,601,156,26843,1846,1523,2555,1963,977,1781,1406,1763,3719,3884,2864,1858,602,102,553780,264821,18265,21444,21315,10961,5714,15133,15787,19070,46557,40253,27636,15645,6128,913,288959,17440,20806,20375,11305,5082,14136,18729,23174,56888,42989,32021,17692,6266,2056,9065,4454,443,421,527,179,147,343,434,317,642,481,335,180,5,0,4611,236,246,277,336,124,359,350,458,755,775,362,135,198,0,574946,294031,22109,25890,27432,15757,10704,25306,22309,25134,46058,37024,21932,9691,3764,921,280915,22537,25464,27026,14965,8837,21294,19416,22173,45014,36474,21429,10038,4718,1530,306805,150037,21546,22117,20581,10968,6456,11620,7825,7850,14896,11436,8061,4591,1681,409,156768,22892,22716,19906,10629,5646,9873,8301,9369,17025,13616,9007,5177,1976,635,5858958,2898073,167162,182688,191354,118499,65935,158385,162395,178887,378954,444864,420341,272455,120995,35159,2960885,155868,172253,182639,112174,56542,146578,164609,185094,388368,453864,435010,293865,152001,62020,3847839,1932320,187334,196736,197640,109764,67700,156449,141269,147796,280936,215837,133619,64492,25476,7272,1915519,182742,194391,190457,106492,60910,144022,136106,144488,278948,216260,140192,74221,34402,11888,35.2,34.2,36.1,36.4,35.5,37.3,32.7,30.8,34.3,33.6,33.4,33.8,36.9,36.2,37.5,30.5,26.9,33.6,29.8,29.4,30.2,18.3,17.9,18.8,42.1,41.2,43.0,27.3,26.7,27.9,11726623
40,TX,48,,,,,040E0US48,Texas -- In micropolitan statistical area,1659344,844647,57733,59789,58206,36053,26911,16413,14146,37726,57077,54106,52987,52184,52644,55236,52205,19214,26240,17146,22210,29170,21421,14803,11027,814697,55290,55135,57134,33823,26588,13893,13768,31578,48210,47040,45154,47864,47543,51411,50973,20007,28068,17710,24821,33389,24817,19813,20668,1400549,707017,48459,49824,48012,29868,21286,54314,46441,44877,85664,89584,84076,61592,32968,10052,693532,45982,45869,47447,27830,21404,49120,40627,40131,77885,84746,85957,67814,40048,18672,139789,76198,4298,4584,4620,2974,3098,7625,5959,5633,11795,11212,8017,3964,1912,507,63591,4079,4351,3896,2628,3431,5643,4080,3589,7553,7912,7751,4573,2904,1201,10137,5310,239,284,510,280,242,450,300,240,772,859,566,405,95,68,4827,240,276,405,602,108,245,356,277,523,643,484,320,212,136,14972,7275,335,532,612,386,343,780,547,436,1137,1012,681,331,107,36,7697,515,590,667,245,212,405,517,658,1448,869,894,369,117,191,1498,777,90,42,60,29,15,10,12,56,313,90,53,0,7,0,721,65,0,75,33,84,22,0,14,171,131,23,67,36,0,59465,31401,2201,2504,2355,1391,1129,3717,2753,2095,4000,3741,3004,1428,819,264,28064,2247,2150,2427,1384,753,2546,2050,1706,3769,3324,2804,1743,794,367,32934,16669,2111,2019,2037,1125,798,1389,1065,769,1490,1382,1262,806,316,100,16265,2162,1899,2217,1101,596,1258,580,665,1669,1329,1135,1034,519,101,856185,426639,21492,23203,23047,15034,11240,28841,25013,24397,48498,58972,62364,49346,26559,8633,429546,20447,21014,22760,14015,11560,26711,22890,22576,45286,56264,64452,53735,31932,15904,625155,322283,30337,30245,28833,16921,11809,30018,24967,23012,42448,35308,25291,14013,7361,1720,302872,29384,28361,28670,16066,11011,25602,20191,19788,37631,32768,24849,16295,9062,3194,36.4,35.3,37.7,37.3,36.1,38.8,34.7,34.4,35.1,35.1,36.1,33.4,33.9,31.4,35.3,37.8,36.8,39.1,30.1,29.4,31.0,20.6,20.6,20.7,45.0,43.5,46.5,27.7,27.6,28.0,1659344
40,TX,48,,,,,040E1US48,Texas -- In micropolitan statistical area -- in principal city,791438,394279,30570,29410,27321,17048,15483,9334,7993,19938,29802,26263,24820,23709,22715,23607,21385,7382,10372,6784,8384,10869,8765,6531,5794,397159,28718,27389,27708,15247,16186,8523,8262,18463,25662,23690,22278,22682,21120,22083,22041,8630,11787,7107,10175,14889,11812,10299,12408,632705,314521,24475,22899,20988,12905,11692,28558,23416,21501,38772,36493,31798,22226,13682,5116,318184,22610,21621,21391,11605,12339,27739,20413,18822,34385,34587,34538,27285,19697,11152,87885,43708,3129,3303,3063,2169,2255,4882,3445,2635,5256,5874,4244,2281,891,281,44177,2870,2928,2791,1905,2753,4653,2930,2856,5512,5005,4948,2828,1420,778,4795,2355,160,148,227,148,72,175,132,69,455,263,278,156,33,39,2440,165,145,214,283,80,136,266,163,188,306,215,113,104,62,10647,5337,261,422,495,284,244,700,408,315,765,653,437,241,80,32,5310,421,408,388,82,183,348,363,505,1057,522,550,234,99,150,1086,553,60,42,60,19,13,7,12,56,202,75,0,0,7,0,533,65,0,42,27,36,18,0,0,165,111,23,29,17,0,35663,18485,1175,1411,1377,823,757,2247,1825,1195,2225,2214,1757,769,457,253,17178,1348,1156,1440,763,495,1654,1349,914,2525,1939,1661,1176,551,207,18657,9320,1310,1185,1111,700,450,696,564,492,854,750,625,364,146,73,9337,1239,1131,1442,582,300,700,341,430,1128,733,523,506,223,59,328530,159077,8611,7749,7006,4661,5699,15196,11516,9677,18101,20354,20710,15649,9910,4238,169453,8580,7595,7326,4504,6458,14683,10097,8638,16202,19160,22785,19634,14447,9344,353080,180312,17824,17341,16231,9468,7109,16047,14239,13256,23631,18913,13195,7592,4298,1168,172768,16249,16100,16545,8438,6618,15066,11948,11408,21509,17942,13820,9145,5913,2067,33.1,31.8,34.7,34.1,32.6,35.7,30.7,29.5,32.3,31.8,36.1,29.4,32.7,28.8,34.7,38.3,36.9,39.6,30.0,29.1,31.7,19.6,19.6,19.8,42.7,39.9,45.3,27.6,27.2,27.9,791438
40,TX,48,,,,,040E2US48,Texas -- In micropolitan statistical area -- not in principal city,867906,450368,27163,30379,30885,19005,11428,7079,6153,17788,27275,27843,28167,28475,29929,31629,30820,11832,15868,10362,13826,18301,12656,8272,5233,417538,26572,27746,29426,18576,10402,5370,5506,13115,22548,23350,22876,25182,26423,29328,28932,11377,16281,10603,14646,18500,13005,9514,8260,767844,392496,23984,26925,27024,16963,9594,25756,23025,23376,46892,53091,52278,39366,19286,4936,375348,23372,24248,26056,16225,9065,21381,20214,21309,43500,50159,51419,40529,20351,7520,51904,32490,1169,1281,1557,805,843,2743,2514,2998,6539,5338,3773,1683,1021,226,19414,1209,1423,1105,723,678,990,1150,733,2041,2907,2803,1745,1484,423,5342,2955,79,136,283,132,170,275,168,171,317,596,288,249,62,29,2387,75,131,191,319,28,109,90,114,335,337,269,207,108,74,4325,1938,74,110,117,102,99,80,139,121,372,359,244,90,27,4,2387,94,182,279,163,29,57,154,153,391,347,344,135,18,41,412,224,30,0,0,10,2,3,0,0,111,15,53,0,0,0,188,0,0,33,6,48,4,0,14,6,20,0,38,19,0,23802,12916,1026,1093,978,568,372,1470,928,900,1775,1527,1247,659,362,11,10886,899,994,987,621,258,892,701,792,1244,1385,1143,567,243,160,14277,7349,801,834,926,425,348,693,501,277,636,632,637,442,170,27,6928,923,768,775,519,296,558,239,235,541,596,612,528,296,42,527655,267562,12881,15454,16041,10373,5541,13645,13497,14720,30397,38618,41654,33697,16649,4395,260093,11867,13419,15434,9511,5102,12028,12793,13938,29084,37104,41667,34101,17485,6560,272075,141971,12513,12904,12602,7453,4700,13971,10728,9756,18817,16395,12096,6421,3063,552,130104,13135,12261,12125,7628,4393,10536,8243,8380,16122,14826,11029,7150,3149,1127,39.6,38.6,40.7,40.2,39.3,41.1,39.5,38.3,43.6,39.5,36.2,40.9,38.3,39.6,37.6,36.6,36.8,34.2,30.3,30.1,30.4,21.9,23.1,21.5,46.2,45.4,47.1,28.0,28.0,28.1,867906
