SummaryLevel,State,StateFIPS,CountyFIPS,PlaceFIPS,CBSACode,CongressDistrict,GEOID,AreaName,B01001_001,B01001_002,B01001_003,B01001_004,B01001_005,B01001_006,B01001_007,B01001_008,B01001_009,B01001_010,B01001_011,B01001_012,B01001_013,B01001_014,B01001_015,B01001_016,B01001_017,B01001_018,B01001_019,B01001_020,B01001_021,B01001_022,B01001_023,B01001_024,B01001_025,B01001_026,B01001_027,B01001_028,B01001_029,B01001_030,B01001_031,B01001_032,B01001_033,B01001_034,B01001_035,B01001_036,B01001_037,B01001_038,B01001_039,B01001_040,B01001_041,B01001_042,B01001_043,B01001_044,B01001_045,B01001_046,B01001_047,B01001_048,B01001_049,B01001A_001,B01001A_002,B01001A_003,B01001A_004,B01001A_005,B01001A_006,B01001A_007,B01001A_008,B01001A_009,B01001A_010,B01001A_011,B01001A_012,B01001A_013,B01001A_014,B01001A_015,B01001A_016,B01001A_017,B01001A_018,B01001A_019,B01001A_020,B01001A_021,B01001A_022,B01001A_023,B01001A_024,B01001A_025,B01001A_026,B01001A_027,B01001A_028,B01001A_029,B01001A_030,B01001A_031,B01001B_001,B01001B_002,B01001B_003,B01001B_004,B01001B_005,B01001B_006,B01001B_007,B01001B_008,B01001B_009,B01001B_010,B01001B_011,B01001B_012,B01001B_013,B01001B_014,B01001B_015,B01001B_016,B01001B_017,B01001B_018,B01001B_019,B01001B_020,B01001B_021,B01001B_022,B01001B_023,B01001B_024,B01001B_025,B01001B_026,B01001B_027,B01001B_028,B01001B_029,B01001B_030,B01001B_031,B01001C_001,B01001C_002,B01001C_003,B01001C_004,B01001C_005,B01001C_006,B01001C_007,B01001C_008,B01001C_009,B01001C_010,B01001C_011,B01001C_012,B01001C_013,B01001C_014,B01001C_015,B01001C_016,B01001C_017,B01001C_018,B01001C_019,B01001C_020,B01001C_021,B01001C_022,B01001C_023,B01001C_024,B01001C_025,B01001C_026,B01001C_027,B01001C_028,B01001C_029,B01001C_030,B01001C_031,B01001D_001,B01001D_002,B01001D_003,B01001D_004,B01001D_005,B01001D_006,B01001D_007,B01001D_008,B01001D_009,B01001D_010,B01001D_011,B01001D_012,B01001D_013,B01001D_014,B01001D_015,B01001D_016,B01001D_017,B01001D_018,B01001D_019,B01001D_020,B01001D_021,B01001D_022,B01001D_023,B01001D_024,B01001D_025,B01001D_026,B01001D_027,B01001D_028,B01001D_029,B01001D_030,B01001D_031,B01001E_001,B01001E_002,B01001E_003,B01001E_004,B01001E_005,B01001E_006,B01001E_007,B01001E_008,B01001E_009,B01001E_010,B01001E_011,B01001E_012,B01001E_013,B01001E_014,B01001E_015,B01001E_016,B01001E_017,B01001E_018,B01001E_019,B01001E_020,B01001E_021,B01001E_022,B01001E_023,B01001E_024,B01001E_025,B01001E_026,B01001E_027,B01001E_028,B01001E_029,B01001E_030,B01001E_031,B01001F_001,B01001F_002,B01001F_003,B01001F_004,B01001F_005,B01001F_006,B01001F_007,B01001F_008,B01001F_009,B01001F_010,B01001F_011,B01001F_012,B01001F_013,B01001F_014,B01001F_015,B01001F_016,B01001F_017,B01001F_018,B01001F_019,B01001F_020,B01001F_021,B01001F_022,B01001F_023,B01001F_024,B01001F_025,B01001F_026,B01001F_027,B01001F_028,B01001F_029,B01001F_030,B01001F_031,B01001G_001,B01001G_002,B01001G_003,B01001G_004,B01001G_005,B01001G_006,B01001G_007,B01001G_008,B01001G_009,B01001G_010,B01001G_011,B01001G_012,B01001G_013,B01001G_014,B01001G_015,B01001G_016,B01001G_017,B01001G_018,B01001G_019,B01001G_020,B01001G_021,B01001G_022,B01001G_023,B01001G_024,B01001G_025,B01001G_026,B01001G_027,B01001G_028,B01001G_029,B01001G_030,B01001G_031,B01001H_001,B01001H_002,B01001H_003,B01001H_004,B01001H_005,B01001H_006,B01001H_007,B01001H_008,B01001H_009,B01001H_010,B01001H_011,B01001H_012,B01001H_013,B01001H_014,B01001H_015,B01001H_016,B01001H_017,B01001H_018,B01001H_019,B01001H_020,B01001H_021,B01001H_022,B01001H_023,B01001H_024,B01001H_025,B01001H_026,B01001H_027,B01001H_028,B01001H_029,B01001H_030,B01001H_031,B01001I_001,B01001I_002,B01001I_003,B01001I_004,B01001I_005,B01001I_006,B01001I_007,B01001I_008,B01001I_009,B01001I_010,B01001I_011,B01001I_012,B01001I_013,B01001I_014,B01001I_015,B01001I_016,B01001I_017,B01001I_018,B01001I_019,B01001I_020,B01001I_021,B01001I_022,B01001I_023,B01001I_024,B01001I_025,B01001I_026,B01001I_027,B01001I_028,B01001I_029,B01001I_030,B01001I_031,B01002_001,B01002_002,B01002_003,B01002A_001,B01002A_002,B01002A_003,B01002B_001,B01002B_002,B01002B_003,B01002C_001,B01002C_002,B01002C_003,B01002D_001,B01002D_002,B01002D_003,B01002E_001,B01002E_002,B01002E_003,B01002F_001,B01002F_002,B01002F_003,B01002G_001,B01002G_002,B01002G_003,B01002H_001,B01002H_002,B01002H_003,B01002I_001,B01002I_002,B01002I_003,B01003_001
40,WA,53,,,,,04000US53,Washington,7073146,3529431,228676,230174,224372,137608,90036,52156,50739,152348,264085,257541,234846,233022,233119,243978,235644,88378,122014,75911,91905,115097,73015,50350,44417,3543715,218467,218473,216883,129942,83971,47705,47067,140305,250023,248397,229829,225429,229635,246126,244659,95343,129314,80034,101309,125973,87009,66457,81365,5470566,2730542,157913,160787,158553,98615,63719,182710,193831,191724,353562,385144,381736,250632,110607,41009,2740024,150428,151633,152662,93399,59484,169789,183636,183205,339886,381412,396687,268507,135382,73914,256990,139088,10146,9038,9147,5662,3977,12654,11589,11455,21421,19945,14775,6384,2230,665,117902,8801,8438,8689,5251,3484,9724,10522,9539,15878,15413,12240,5801,2910,1212,94026,46751,3713,3646,3385,2602,1459,4158,3664,3503,5770,5975,5314,2572,842,148,47275,3196,3623,3612,1970,1586,3512,3827,3184,5979,6231,5842,3013,1313,387,552032,254867,14596,14865,14941,9318,6879,21625,23773,23368,42049,33358,25607,15361,7153,1974,297165,14045,15324,15256,9000,6564,20300,25117,26992,50687,42182,35310,21142,10577,4669,44870,22522,1682,2117,1908,1059,730,2036,2325,1995,3148,2485,1923,860,224,30,22348,1464,1911,1605,1229,584,2076,2147,2139,3395,2436,2194,778,323,67,276959,146620,13501,13204,13987,7864,5630,15080,13722,13030,23210,16036,7574,2705,912,165,130339,13249,13086,13210,6934,5070,12525,11130,9917,20725,13430,6580,2837,1095,551,377703,189041,27125,26517,22451,12488,7642,16980,15181,12466,18708,14154,9107,4399,1397,426,188662,27284,24458,21849,12159,7199,17151,13644,13421,18708,14657,10463,5238,1866,565,4978375,2478227,128738,132724,132372,84889,54675,161856,172834,170131,317568,362214,367686,243946,108109,40485,2500148,122204,123798,127752,80453,51334,148865,164182,163474,307775,360031,383071,261786,132601,72822,854275,442166,50025,47834,45306,24375,16069,40285,37882,37600,63072,42273,23045,9970,3697,733,412109,48299,47337,42657,22912,14974,36522,33368,33385,56821,37328,21977,10570,4200,1759,37.6,36.6,38.6,40.5,39.4,41.6,32.7,33.3,31.9,31.9,30.9,33.3,36.5,34.6,38.1,29.4,28.3,30.6,26.0,26.5,25.5,20.0,19.5,20.4,42.6,41.4,43.8,24.3,24.6,24.0,7073146
40,WA,53,,,,,04001US53,Washington -- Urban,5974943,2972957,200585,197694,188279,113973,77994,45506,44579,136150,237836,229597,207047,200999,197425,198295,186394,69063,94052,57701,69217,87018,55984,40482,37087,3001986,191323,186800,182294,108151,73111,41923,41508,126308,225761,221383,203059,192237,193267,201077,194376,76109,102033,62607,79520,100112,71562,55629,71836,4497562,2236946,135189,134028,128832,78629,53565,158776,172071,167855,301390,311526,291247,185134,84834,33870,2260616,128127,126012,124115,75291,50905,148442,163430,160042,287597,308012,306439,206801,110460,64943,249326,134501,9858,8760,8840,5439,3917,12256,11273,11100,20722,19267,14124,6120,2167,658,114825,8535,8207,8477,5118,3381,9413,10339,9347,15379,14955,11925,5713,2877,1159,60843,29919,2195,2263,2074,1623,897,2799,2431,2584,3821,3845,3461,1340,502,84,30924,2068,2397,2332,1100,903,2458,2602,2306,3961,3990,3886,1891,836,194,538492,249785,14420,14486,14579,9096,6795,21260,23521,23135,41322,32543,24916,14841,6934,1937,288707,13851,14912,14575,8755,6361,19962,24859,26371,49552,40578,33919,20209,10243,4560,43001,21423,1662,2058,1758,1040,702,1897,2231,1887,3015,2334,1786,834,193,26,21578,1447,1832,1587,1193,541,2048,2114,2069,3311,2296,2029,737,317,57,243803,128511,11906,11428,11947,6946,4952,13759,12222,11694,20528,13629,6329,2257,760,154,115292,11951,11301,11401,5952,4463,11439,9893,8850,18345,12067,5689,2532,932,477,341916,171872,25355,24671,20249,11200,7166,15488,14087,11342,17248,12576,7646,3410,1076,358,170044,25344,22139,19807,10742,6557,15977,12524,12398,17151,12446,8631,4356,1526,446,4066655,2016766,109283,109456,106213,66770,45611,140856,153031,148648,269814,291614,279752,179581,82717,33420,2049889,102824,101585,102405,64401,43879,129735,145589,142398,259521,289458,295310,200860,107984,63940,751669,387911,44594,42027,39188,21170,14186,35551,34227,33670,55628,36622,19039,8236,3149,624,363758,43582,41598,37222,19475,12886,32945,30350,29902,50146,32690,18374,9303,3712,1573,36.3,35.3,37.4,39.0,37.8,40.2,32.6,33.2,31.9,32.0,31.1,33.0,36.3,34.5,37.9,29.2,28.1,30.1,26.0,26.3,25.6,19.6,19.2,20.1,41.0,39.7,42.4,24.3,24.6,24.1,5974943
40,WA,53,,,,,04043US53,Washington -- Rural,1098203,556474,28091,32480,36093,23635,12042,6650,6160,16198,26249,27944,27799,32023,35694,45683,49250,19315,27962,18210,22688,28079,17031,9868,7330,541729,27144,31673,34589,21791,10860,5782,5559,13997,24262,27014,26770,33192,36368,45049,50283,19234,27281,17427,21789,25861,15447,10828,9529,973004,493596,22724,26759,29721,19986,10154,23934,21760,23869,52172,73618,90489,65498,25773,7139,479408,22301,25621,28547,18108,8579,21347,20206,23163,52289,73400,90248,61706,24922,8971,7664,4587,288,278,307,223,60,398,316,355,699,678,651,264,63,7,3077,266,231,212,133,103,311,183,192,499,458,315,88,33,53,33183,16832,1518,1383,1311,979,562,1359,1233,919,1949,2130,1853,1232,340,64,16351,1128,1226,1280,870,683,1054,1225,878,2018,2241,1956,1122,477,193,13540,5082,176,379,362,222,84,365,252,233,727,815,691,520,219,37,8458,194,412,681,245,203,338,258,621,1135,1604,1391,933,334,109,1869,1099,20,59,150,19,28,139,94,108,133,151,137,26,31,4,770,17,79,18,36,43,28,33,70,84,140,165,41,6,10,33156,18109,1595,1776,2040,918,678,1321,1500,1336,2682,2407,1245,448,152,11,15047,1298,1785,1809,982,607,1086,1237,1067,2380,1363,891,305,163,74,35787,17169,1770,1846,2202,1288,476,1492,1094,1124,1460,1578,1461,989,321,68,18618,1940,2319,2042,1417,642,1174,1120,1023,1557,2211,1832,882,340,119,911720,461461,19455,23268,26159,18119,9064,21000,19803,21483,47754,70600,87934,64365,25392,7065,450259,19380,22213,25347,16052,7455,19130,18593,21076,48254,70573,87761,60926,24617,8882,102606,54255,5431,5807,6118,3205,1883,4734,3655,3930,7444,5651,4006,1734,548,109,48351,4717,5739,5435,3437,2088,3577,3018,3483,6675,4638,3603,1267,488,186,45.8,45.4,46.2,47.9,47.6,48.2,34.8,35.5,33.4,31.8,30.3,34.2,44.5,42.0,46.2,34.9,32.5,40.7,26.3,27.5,24.8,23.2,22.8,23.7,49.3,49.1,49.5,24.4,24.9,23.4,1098203
40,WA,53,,,,,040A0US53,Washington -- In metropolitan or micropolitan statistical area,6919538,3452977,224984,226220,220170,134916,88505,51393,49849,150295,260631,253870,231161,228892,228987,238812,229316,85592,117749,72795,87946,109910,69755,48252,42977,3466561,214785,214460,212860,127450,82763,46894,46442,138183,246799,244848,226365,221268,225558,240663,237322,92415,124897,77077,97193,121217,83537,64338,79227,5338156,2664822,155116,157790,155331,96494,62529,179883,191183,188702,347149,377033,369291,239233,105471,39617,2673334,147659,148578,149661,91384,58569,167150,181070,180318,333448,372931,383214,257402,130045,71905,256094,138633,10103,9002,9109,5634,3972,12626,11529,11426,21351,19906,14750,6354,2206,665,117461,8747,8382,8664,5248,3484,9590,10498,9507,15862,15370,12215,5782,2902,1210,86861,43121,3429,3439,3147,2422,1366,3946,3422,3219,5287,5534,4870,2176,726,138,43740,2980,3354,3344,1834,1494,3225,3566,2945,5634,5764,5311,2783,1194,312,550233,254170,14566,14793,14907,9261,6866,21522,23760,23351,41929,33267,25526,15319,7135,1968,296063,14000,15231,15163,8988,6556,20233,25057,26915,50550,42073,35099,21023,10528,4647,44539,22316,1673,2060,1899,1059,726,1992,2285,1986,3135,2474,1918,859,220,30,22223,1457,1892,1601,1229,584,2055,2131,2139,3386,2414,2179,770,319,67,271542,143470,13302,12927,13660,7732,5462,14769,13445,12824,22680,15634,7445,2542,897,151,128072,13011,12964,12933,6806,4973,12358,10962,9689,20385,13183,6444,2773,1050,541,372113,186445,26795,26209,22117,12314,7584,16799,15007,12362,18522,13951,8857,4168,1352,408,185668,26931,24059,21494,11961,7103,16908,13515,13335,18368,14486,10172,4954,1837,545,4854551,2416781,126425,130243,129548,83054,53606,159429,170452,167413,311767,354395,355649,232696,103011,39093,2437770,120039,121359,125124,78675,50514,146663,161828,160921,301906,351862,369972,250746,127329,70832,839163,434228,49157,46956,44538,23894,15761,39557,37314,37063,61913,41568,22473,9671,3644,719,404935,47352,46455,41959,22526,14768,35846,32929,32793,55883,36768,21413,10423,4090,1730,37.3,36.4,38.4,40.2,39.1,41.3,32.7,33.3,31.9,31.7,30.5,33.2,36.5,34.6,38.1,29.5,28.5,30.7,26.0,26.4,25.5,19.9,19.5,20.3,42.3,41.1,43.5,24.4,24.6,24.1,6919538
40,WA,53,,,,,040C0US53,Washington -- In metropolitan statistical area,6356530,3169272,207608,209129,203406,124178,78561,45699,44393,135971,241895,237128,216067,213432,213257,221075,209645,77981,107082,64755,78574,97269,61010,42966,38191,3187258,198423,198089,196383,117557,73690,41004,41502,126899,230488,229432,211896,206549,210241,222558,217628,83656,112980,69064,87453,107771,75098,58052,70845,4864782,2426883,142337,144911,142031,88378,55335,159479,176112,175111,322324,348320,334488,211037,92066,34954,2437899,135438,136314,136775,83665,51919,149362,167913,167801,309768,344122,346489,228153,116187,63993,248231,133920,9705,8791,8936,5422,3644,11954,10993,11099,20495,19342,14433,6283,2163,660,114311,8511,8014,8484,5182,3257,9342,10041,9192,15584,15074,11980,5695,2763,1192,74766,36956,2981,2860,2766,2032,1091,3426,2900,2805,4582,4788,4229,1757,626,113,37810,2570,2901,2838,1595,1387,2820,3126,2598,4810,4945,4673,2255,1004,288,536811,248273,14256,14477,14582,9163,6478,20473,23046,22905,41233,32721,25074,14910,7015,1940,288538,13831,14942,14779,8575,6117,19501,24447,26346,49612,41135,34114,20413,10342,4384,43481,21838,1634,2038,1887,1055,705,1967,2244,1913,3119,2398,1805,835,208,30,21643,1414,1876,1575,1204,536,1912,2082,2094,3368,2349,2094,753,319,67,238656,125685,11432,11261,11985,6443,4440,13032,12187,11557,20129,13695,6520,2107,756,141,112971,11411,11379,11469,5870,4170,10807,9982,8608,18032,11722,5750,2425,932,414,349803,175717,25263,24791,21219,11685,6868,15732,14413,11738,17617,13068,8159,3669,1142,353,174086,25248,22663,20463,11466,6304,15661,12897,12793,17271,13452,9164,4594,1603,507,4425782,2201872,116341,120063,118867,76114,47527,141294,157475,155597,289733,327527,322070,204908,89886,34470,2223910,110526,111767,114836,72173,44714,130967,150360,149964,280749,324638,334492,222006,113698,63020,754588,389924,44002,41985,39859,21248,13566,35261,33655,33840,56330,37419,20201,8687,3216,655,364664,42233,41622,37483,20217,12893,31925,30080,29957,50748,33534,19320,9430,3719,1503,37.2,36.3,38.2,40.0,39.0,41.1,32.9,33.4,32.1,31.6,30.6,32.8,36.6,34.7,38.1,29.5,28.2,30.9,26.3,26.7,25.7,19.8,19.4,20.3,41.9,40.8,43.2,24.6,24.8,24.3,6356530
40,WA,53,,,,,040C1US53,Washington -- In metropolitan statistical area -- in principal city,2603260,1296132,83961,79161,71929,43101,32237,18872,19857,65923,123443,114016,95797,89131,82771,82267,78428,28752,41200,23995,28230,34963,22794,17336,17968,1307128,80226,75248,67359,40666,31955,18945,20293,64667,115648,105398,90992,81917,79893,81090,81378,32574,44127,27188,33221,42226,30856,25848,35413,1873778,931567,52603,49496,46165,27555,20488,69875,85890,79824,131365,126125,119655,72519,33903,16104,942211,49763,47437,41856,26376,21186,69388,80454,73246,121148,121577,125811,84473,47946,31550,134133,71487,5449,4645,4666,2271,1882,5966,6096,6395,10832,9976,7938,3681,1309,381,62646,4632,4658,4556,2510,1596,5072,5823,5275,8238,7739,6642,3463,1656,786,26569,12811,952,883,861,722,381,1390,1150,1169,1729,1379,1277,611,249,58,13758,966,851,788,465,508,1296,1236,1082,1983,1492,1763,789,459,80,283278,134385,7252,6531,6336,4589,3785,13181,15719,14701,21391,15539,12430,7936,3805,1190,148893,7070,7100,6417,3956,3911,12596,15595,14627,23653,18929,16537,10518,5372,2612,20010,9852,839,1091,619,414,276,802,1244,972,1290,1074,865,304,53,9,10158,827,917,662,470,287,988,1113,909,1641,1062,871,240,150,21,107409,56495,5215,5083,4879,2802,2324,6267,5856,5323,9577,5162,2918,733,293,63,50914,5337,4657,4814,2513,1764,5758,4670,4101,8460,4745,2401,1145,391,158,158083,79535,11651,11432,8403,4748,3101,7171,7488,5632,8744,5783,3297,1404,518,163,78548,11631,9628,8266,4376,2703,8807,6757,6158,7786,5439,4054,2007,730,206,1706815,845845,43404,40597,38147,23194,17625,62539,77634,71441,118228,118431,115293,70296,33081,15935,860970,39973,38173,34816,22369,18291,61907,72768,65938,110402,114792,121193,82502,46840,31006,308624,159900,17445,16920,14705,8079,5813,15604,15574,14913,24151,14253,7743,3133,1339,228,148724,18076,16310,13387,7586,5113,14700,13564,13021,20923,12401,7803,3516,1576,748,35.7,34.8,36.7,38.5,37.4,39.8,33.1,33.7,32.3,31.5,30.2,33.2,34.7,33.3,36.2,28.2,27.9,28.8,26.1,26.4,25.7,20.9,20.3,21.6,40.3,38.9,41.8,25.1,25.4,24.7,2603260
40,WA,53,,,,,040C2US53,Washington -- In metropolitan statistical area -- not in principal city,3753270,1873140,123647,129968,131477,81077,46324,26827,24536,70048,118452,123112,120270,124301,130486,138808,131217,49229,65882,40760,50344,62306,38216,25630,20223,1880130,118197,122841,129024,76891,41735,22059,21209,62232,114840,124034,120904,124632,130348,141468,136250,51082,68853,41876,54232,65545,44242,32204,35432,2991004,1495316,89734,95415,95866,60823,34847,89604,90222,95287,190959,222195,214833,138518,58163,18850,1495688,85675,88877,94919,57289,30733,79974,87459,94555,188620,222545,220678,143680,68241,32443,114098,62433,4256,4146,4270,3151,1762,5988,4897,4704,9663,9366,6495,2602,854,279,51665,3879,3356,3928,2672,1661,4270,4218,3917,7346,7335,5338,2232,1107,406,48197,24145,2029,1977,1905,1310,710,2036,1750,1636,2853,3409,2952,1146,377,55,24052,1604,2050,2050,1130,879,1524,1890,1516,2827,3453,2910,1466,545,208,253533,113888,7004,7946,8246,4574,2693,7292,7327,8204,19842,17182,12644,6974,3210,750,139645,6761,7842,8362,4619,2206,6905,8852,11719,25959,22206,17577,9895,4970,1772,23471,11986,795,947,1268,641,429,1165,1000,941,1829,1324,940,531,155,21,11485,587,959,913,734,249,924,969,1185,1727,1287,1223,513,169,46,131247,69190,6217,6178,7106,3641,2116,6765,6331,6234,10552,8533,3602,1374,463,78,62057,6074,6722,6655,3357,2406,5049,5312,4507,9572,6977,3349,1280,541,256,191720,96182,13612,13359,12816,6937,3767,8561,6925,6106,8873,7285,4862,2265,624,190,95538,13617,13035,12197,7090,3601,6854,6140,6635,9485,8013,5110,2587,873,301,2718967,1356027,72937,79466,80720,52920,29902,78755,79841,84156,171505,209096,206777,134612,56805,18535,1362940,70553,73594,80020,49804,26423,69060,77592,84026,170347,209846,213299,139504,66858,32014,445964,230024,26557,25065,25154,13169,7753,19657,18081,18927,32179,23166,12458,5554,1877,427,215940,24157,25312,24096,12631,7780,17225,16516,16936,29825,21133,11517,5914,2143,755,38.4,37.4,39.4,41.0,40.1,41.9,32.6,33.0,31.9,31.8,31.1,32.5,38.8,37.0,40.2,30.6,28.6,32.0,26.4,27.1,25.7,18.8,18.7,18.8,43.0,42.0,43.9,24.1,24.3,23.9,3753270
40,WA,53,,,,,040E0US53,Washington -- In micropolitan statistical area,563008,283705,17376,17091,16764,10738,9944,5694,5456,14324,18736,16742,15094,15460,15730,17737,19671,7611,10667,8040,9372,12641,8745,5286,4786,279303,16362,16371,16477,9893,9073,5890,4940,11284,16311,15416,14469,14719,15317,18105,19694,8759,11917,8013,9740,13446,8439,6286,8382,473374,237939,12779,12879,13300,8116,7194,20404,15071,13591,24825,28713,34803,28196,13405,4663,235435,12221,12264,12886,7719,6650,17788,13157,12517,23680,28809,36725,29249,13858,7912,7863,4713,398,211,173,212,328,672,536,327,856,564,317,71,43,5,3150,236,368,180,66,227,248,457,315,278,296,235,87,139,18,12095,6165,448,579,381,390,275,520,522,414,705,746,641,419,100,25,5930,410,453,506,239,107,405,440,347,824,819,638,528,190,24,13422,5897,310,316,325,98,388,1049,714,446,696,546,452,409,120,28,7525,169,289,384,413,439,732,610,569,938,938,985,610,186,263,1058,478,39,22,12,4,21,25,41,73,16,76,113,24,12,0,580,43,16,26,25,48,143,49,45,18,65,85,17,0,0,32886,17785,1870,1666,1675,1289,1022,1737,1258,1267,2551,1939,925,435,141,10,15101,1600,1585,1464,936,803,1551,980,1081,2353,1461,694,348,118,127,22310,10728,1532,1418,898,629,716,1067,594,624,905,883,698,499,210,55,11582,1683,1396,1031,495,799,1247,618,542,1097,1034,1008,360,234,38,428769,214909,10084,10180,10681,6940,6079,18135,12977,11816,22034,26868,33579,27788,13125,4623,213860,9513,9592,10288,6502,5800,15696,11468,10957,21157,27224,35480,28740,13631,7812,84575,44304,5155,4971,4679,2646,2195,4296,3659,3223,5583,4149,2272,984,428,64,40271,5119,4833,4476,2309,1875,3921,2849,2836,5135,3234,2093,993,371,227,39.5,37.9,41.0,43.0,41.4,44.5,27.5,27.3,27.5,32.1,29.6,35.7,32.1,28.1,37.4,30.8,38.7,24.8,23.6,24.0,23.3,20.8,20.5,21.0,46.0,44.4,47.7,22.2,23.0,21.6,563008
40,WA,53,,,,,040E1US53,Washington -- In micropolitan statistical area -- in principal city,165565,81577,6021,5137,4747,2176,5399,3077,3047,6621,7522,5788,4615,4288,3713,4102,3729,1357,1742,1302,1515,2049,1438,1016,1176,83988,5725,4932,4966,2626,5611,3637,2855,5808,6407,5265,4537,3961,3741,4239,3576,1804,2332,1578,1747,2433,1775,1670,2763,133870,66043,4268,3785,3864,1613,3856,10507,5897,4858,6988,6566,5910,4489,2290,1152,67827,4131,3448,3775,1855,4289,9955,4995,4194,6723,6713,6723,5263,3220,2543,3809,2095,220,83,51,91,259,242,325,56,384,197,160,15,7,5,1714,92,178,125,41,186,138,250,165,207,92,112,33,83,12,2413,1109,51,118,65,51,84,89,109,116,99,220,70,37,0,0,1304,129,128,169,40,4,80,157,85,85,225,85,112,5,0,7805,3683,165,215,137,53,335,852,578,265,459,243,210,95,57,19,4122,107,130,183,158,337,676,482,335,567,397,409,189,73,79,578,202,31,15,8,0,16,15,33,17,3,14,38,0,12,0,376,43,12,16,22,48,130,18,29,16,31,11,0,0,0,8024,4307,456,322,258,210,340,541,377,303,666,379,299,104,52,0,3717,328,341,336,325,260,439,198,266,510,277,193,97,30,117,9066,4138,830,599,364,158,509,499,203,173,304,196,141,126,36,0,4928,895,695,362,185,487,882,307,191,390,245,179,64,34,12,117317,57885,3265,2785,3052,1355,3142,9738,4974,4349,6047,5878,5592,4426,2158,1124,59432,2994,2560,2656,1492,3714,9025,4369,3650,5837,6159,6207,5130,3121,2518,27742,13909,1855,1561,1292,499,1053,1326,1409,879,1714,1228,704,187,174,28,13833,2005,1547,1636,705,903,1530,856,906,1556,909,714,291,133,142,28.5,27.8,29.4,30.3,29.2,31.5,26.5,26.4,26.6,27.7,28.2,27.5,27.6,25.9,29.9,23.9,25.7,23.4,23.7,25.5,22.2,18.8,18.4,19.3,32.1,30.7,34.0,21.0,22.5,20.3,165565
40,WA,53,,,,,040E2US53,Washington -- In micropolitan statistical area -- not in principal city,397443,202128,11355,11954,12017,8562,4545,2617,2409,7703,11214,10954,10479,11172,12017,13635,15942,6254,8925,6738,7857,10592,7307,4270,3610,195315,10637,11439,11511,7267,3462,2253,2085,5476,9904,10151,9932,10758,11576,13866,16118,6955,9585,6435,7993,11013,6664,4616,5619,339504,171896,8511,9094,9436,6503,3338,9897,9174,8733,17837,22147,28893,23707,11115,3511,167608,8090,8816,9111,5864,2361,7833,8162,8323,16957,22096,30002,23986,10638,5369,4054,2618,178,128,122,121,69,430,211,271,472,367,157,56,36,0,1436,144,190,55,25,41,110,207,150,71,204,123,54,56,6,9682,5056,397,461,316,339,191,431,413,298,606,526,571,382,100,25,4626,281,325,337,199,103,325,283,262,739,594,553,416,185,24,5617,2214,145,101,188,45,53,197,136,181,237,303,242,314,63,9,3403,62,159,201,255,102,56,128,234,371,541,576,421,113,184,480,276,8,7,4,4,5,10,8,56,13,62,75,24,0,0,204,0,4,10,3,0,13,31,16,2,34,74,17,0,0,24862,13478,1414,1344,1417,1079,682,1196,881,964,1885,1560,626,331,89,10,11384,1272,1244,1128,611,543,1112,782,815,1843,1184,501,251,88,10,13244,6590,702,819,534,471,207,568,391,451,601,687,557,373,174,55,6654,788,701,669,310,312,365,311,351,707,789,829,296,200,26,311452,157024,6819,7395,7629,5585,2937,8397,8003,7467,15987,20990,27987,23362,10967,3499,154428,6519,7032,7632,5010,2086,6671,7099,7307,15320,21065,29273,23610,10510,5294,56833,30395,3300,3410,3387,2147,1142,2970,2250,2344,3869,2921,1568,797,254,36,26438,3114,3286,2840,1604,972,2391,1993,1930,3579,2325,1379,702,238,85,44.7,43.3,46.4,48.2,46.8,49.2,29.8,32.1,28.2,33.9,29.8,37.5,44.2,36.9,49.5,47.0,46.5,49.7,23.6,23.6,23.6,26.3,25.0,27.6,50.5,49.5,51.5,22.9,23.2,22.6,397443
