SummaryLevel,State,StateFIPS,CountyFIPS,PlaceFIPS,CBSACode,CongressDistrict,GEOID,AreaName,B01001_001,B01001_002,B01001_003,B01001_004,B01001_005,B01001_006,B01001_007,B01001_008,B01001_009,B01001_010,B01001_011,B01001_012,B01001_013,B01001_014,B01001_015,B01001_016,B01001_017,B01001_018,B01001_019,B01001_020,B01001_021,B01001_022,B01001_023,B01001_024,B01001_025,B01001_026,B01001_027,B01001_028,B01001_029,B01001_030,B01001_031,B01001_032,B01001_033,B01001_034,B01001_035,B01001_036,B01001_037,B01001_038,B01001_039,B01001_040,B01001_041,B01001_042,B01001_043,B01001_044,B01001_045,B01001_046,B01001_047,B01001_048,B01001_049,B01001A_001,B01001A_002,B01001A_003,B01001A_004,B01001A_005,B01001A_006,B01001A_007,B01001A_008,B01001A_009,B01001A_010,B01001A_011,B01001A_012,B01001A_013,B01001A_014,B01001A_015,B01001A_016,B01001A_017,B01001A_018,B01001A_019,B01001A_020,B01001A_021,B01001A_022,B01001A_023,B01001A_024,B01001A_025,B01001A_026,B01001A_027,B01001A_028,B01001A_029,B01001A_030,B01001A_031,B01001B_001,B01001B_002,B01001B_003,B01001B_004,B01001B_005,B01001B_006,B01001B_007,B01001B_008,B01001B_009,B01001B_010,B01001B_011,B01001B_012,B01001B_013,B01001B_014,B01001B_015,B01001B_016,B01001B_017,B01001B_018,B01001B_019,B01001B_020,B01001B_021,B01001B_022,B01001B_023,B01001B_024,B01001B_025,B01001B_026,B01001B_027,B01001B_028,B01001B_029,B01001B_030,B01001B_031,B01001C_001,B01001C_002,B01001C_003,B01001C_004,B01001C_005,B01001C_006,B01001C_007,B01001C_008,B01001C_009,B01001C_010,B01001C_011,B01001C_012,B01001C_013,B01001C_014,B01001C_015,B01001C_016,B01001C_017,B01001C_018,B01001C_019,B01001C_020,B01001C_021,B01001C_022,B01001C_023,B01001C_024,B01001C_025,B01001C_026,B01001C_027,B01001C_028,B01001C_029,B01001C_030,B01001C_031,B01001D_001,B01001D_002,B01001D_003,B01001D_004,B01001D_005,B01001D_006,B01001D_007,B01001D_008,B01001D_009,B01001D_010,B01001D_011,B01001D_012,B01001D_013,B01001D_014,B01001D_015,B01001D_016,B01001D_017,B01001D_018,B01001D_019,B01001D_020,B01001D_021,B01001D_022,B01001D_023,B01001D_024,B01001D_025,B01001D_026,B01001D_027,B01001D_028,B01001D_029,B01001D_030,B01001D_031,B01001E_001,B01001E_002,B01001E_003,B01001E_004,B01001E_005,B01001E_006,B01001E_007,B01001E_008,B01001E_009,B01001E_010,B01001E_011,B01001E_012,B01001E_013,B01001E_014,B01001E_015,B01001E_016,B01001E_017,B01001E_018,B01001E_019,B01001E_020,B01001E_021,B01001E_022,B01001E_023,B01001E_024,B01001E_025,B01001E_026,B01001E_027,B01001E_028,B01001E_029,B01001E_030,B01001E_031,B01001F_001,B01001F_002,B01001F_003,B01001F_004,B01001F_005,B01001F_006,B01001F_007,B01001F_008,B01001F_009,B01001F_010,B01001F_011,B01001F_012,B01001F_013,B01001F_014,B01001F_015,B01001F_016,B01001F_017,B01001F_018,B01001F_019,B01001F_020,B01001F_021,B01001F_022,B01001F_023,B01001F_024,B01001F_025,B01001F_026,B01001F_027,B01001F_028,B01001F_029,B01001F_030,B01001F_031,B01001G_001,B01001G_002,B01001G_003,B01001G_004,B01001G_005,B01001G_006,B01001G_007,B01001G_008,B01001G_009,B01001G_010,B01001G_011,B01001G_012,B01001G_013,B01001G_014,B01001G_015,B01001G_016,B01001G_017,B01001G_018,B01001G_019,B01001G_020,B01001G_021,B01001G_022,B01001G_023,B01001G_024,B01001G_025,B01001G_026,B01001G_027,B01001G_028,B01001G_029,B01001G_030,B01001G_031,B01001H_001,B01001H_002,B01001H_003,B01001H_004,B01001H_005,B01001H_006,B01001H_007,B01001H_008,B01001H_009,B01001H_010,B01001H_011,B01001H_012,B01001H_013,B01001H_014,B01001H_015,B01001H_016,B01001H_017,B01001H_018,B01001H_019,B01001H_020,B01001H_021,B01001H_022,B01001H_023,B01001H_024,B01001H_025,B01001H_026,B01001H_027,B01001H_028,B01001H_029,B01001H_030,B01001H_031,B01001I_001,B01001I_002,B01001I_003,B01001I_004,B01001I_005,B01001I_006,B01001I_007,B01001I_008,B01001I_009,B01001I_010,B01001I_011,B01001I_012,B01001I_013,B01001I_014,B01001I_015,B01001I_016,B01001I_017,B01001I_018,B01001I_019,B01001I_020,B01001I_021,B01001I_022,B01001I_023,B01001I_024,B01001I_025,B01001I_026,B01001I_027,B01001I_028,B01001I_029,B01001I_030,B01001I_031,B01002_001,B01002_002,B01002_003,B01002A_001,B01002A_002,B01002A_003,B01002B_001,B01002B_002,B01002B_003,B01002C_001,B01002C_002,B01002C_003,B01002D_001,B01002D_002,B01002D_003,B01002E_001,B01002E_002,B01002E_003,B01002F_001,B01002F_002,B01002F_003,B01002G_001,B01002G_002,B01002G_003,B01002H_001,B01002H_002,B01002H_003,B01002I_001,B01002I_002,B01002I_003,B01003_001
40,WI,55,,,,,04000US55,Wisconsin,5754798,2859055,174128,185202,191001,115010,81132,42968,42034,120614,183483,188083,174025,175980,192426,214594,207218,76632,103348,62697,75937,94649,66802,48356,42736,2895743,166191,180127,179672,110167,78242,40959,41206,114893,174804,182556,169815,172261,191613,216770,210090,76244,106090,64138,79929,107305,82016,66974,83681,4961193,2465418,134261,145955,151722,93469,66201,166885,150943,157464,299547,367302,359128,220838,110300,41403,2495775,127557,140106,142281,88881,64374,160977,142737,152205,290882,365437,361414,236040,141949,80935,361730,176579,15030,16094,16631,9704,6284,17264,14049,12967,21865,20519,15779,6986,2761,646,185151,15353,15589,15381,9701,5973,16803,14335,13480,23522,22431,17958,8878,4014,1733,51459,25637,1973,1942,2353,1325,804,2100,1908,1733,3251,3598,2857,1156,495,142,25822,1798,2086,2189,1091,716,1991,1759,1825,3531,3536,2980,1578,580,162,148077,71891,6056,6168,5360,3385,2705,8636,7495,7170,10585,6861,4127,2156,974,213,76186,6094,6846,5879,3415,2884,7798,7842,7317,11079,7563,5100,2647,1243,479,1378,604,24,12,20,28,17,179,115,22,60,49,43,26,4,5,774,21,30,19,23,11,122,65,11,145,110,88,62,45,22,105038,55532,5032,5372,5847,2671,1930,4814,5221,5162,9979,5173,2844,1087,230,170,49506,5343,5128,4980,2988,1602,4200,3891,4418,7724,5456,2284,886,453,153,125923,63394,11752,9659,9068,4428,3191,5738,3752,3565,4718,3518,2420,1034,394,157,62529,10025,10342,8943,4068,2682,5167,4175,3300,5193,3850,2600,1281,706,197,4727553,2344785,121533,132029,138537,86931,61671,156890,142061,147089,282133,355558,352217,218038,109046,41052,2382768,115325,127007,129392,82699,60340,152015,134110,143174,275152,355459,354537,232856,140477,80225,371205,192519,20839,22195,21284,10414,7094,16075,15209,16597,28524,17814,10258,4106,1572,538,178686,20388,21029,20083,10281,6281,14550,13654,14251,24927,16483,9664,4228,1972,895,39.1,38.0,40.3,41.8,40.6,43.0,28.7,27.6,29.8,32.2,30.8,33.8,27.9,27.3,28.3,30.1,25.4,41.8,26.5,27.2,25.7,16.0,15.8,16.3,42.9,41.7,44.1,24.1,24.5,23.7,5754798
40,WI,55,,,,,04001US55,Wisconsin -- Urban,4037395,1978017,128792,132069,132603,78334,61066,34586,33564,94791,144529,143032,126388,122165,128303,136741,130274,47888,63197,38476,45157,54969,39522,31375,30196,2059378,122870,129289,125396,75769,60929,33813,33653,92029,140343,140248,126047,121133,129236,142839,138351,49989,68930,41815,51053,68418,55251,47581,64396,3325067,1626779,92985,96928,97987,59235,47620,127256,115212,115603,203611,230096,216780,127677,66744,29045,1698288,87893,94046,92372,56767,48244,125764,110515,112317,200839,233675,229545,147815,96611,61885,351690,169559,14676,15691,16208,9348,6119,16638,13182,12054,20483,19814,15227,6791,2689,639,182131,15007,15253,15011,9366,5807,16609,14259,13390,23188,22129,17654,8778,3976,1704,25034,12731,889,796,1242,612,336,1196,1026,984,1865,1667,1498,419,131,70,12303,777,872,1010,476,402,993,916,1035,1947,1634,1351,707,140,43,136720,66810,5633,5693,4753,3107,2491,8276,7074,6845,9947,6253,3666,1993,910,169,69910,5789,6308,5298,3098,2724,7434,7484,6825,10000,6634,4509,2239,1120,448,1004,449,23,8,14,8,3,163,110,9,24,35,24,23,0,5,555,12,23,12,10,11,115,28,0,105,72,79,48,26,14,94734,50066,4577,4870,5180,2463,1804,4292,4702,4671,8894,4700,2563,984,208,158,44668,4723,4497,4388,2730,1390,3891,3588,3894,7055,5023,2104,795,437,153,103146,51623,10009,8083,7219,3561,2693,5120,3223,2866,3729,2479,1601,715,215,110,51523,8669,8290,7305,3322,2351,4689,3553,2787,4046,2908,2028,904,522,149,3120408,1522105,81674,84669,86674,53612,43653,118573,107450,106545,188666,219826,210899,125320,65772,28772,1598303,77129,82664,80986,51319,44667,117499,102622,104129,186739,225188,223648,145120,95356,61237,328303,168981,18570,19701,18482,9097,6317,14098,13446,14616,24832,15715,8891,3530,1228,458,159322,18092,18370,17735,9166,5548,13449,12536,12818,22574,14394,8438,3631,1742,829,36.5,35.2,37.9,39.4,37.8,41.0,28.7,27.3,29.9,31.9,30.9,33.6,27.6,27.3,28.0,28.0,25.1,41.6,26.7,27.1,26.0,15.8,15.4,16.2,40.7,39.0,42.5,24.1,24.3,23.9,4037395
40,WI,55,,,,,04043US55,Wisconsin -- Rural,1717403,881038,45336,53133,58398,36676,20066,8382,8470,25823,38954,45051,47637,53815,64123,77853,76944,28744,40151,24221,30780,39680,27280,16981,12540,836365,43321,50838,54276,34398,17313,7146,7553,22864,34461,42308,43768,51128,62377,73931,71739,26255,37160,22323,28876,38887,26765,19393,19285,1636126,838639,41276,49027,53735,34234,18581,39629,35731,41861,95936,137206,142348,93161,43556,12358,797487,39664,46060,49909,32114,16130,35213,32222,39888,90043,131762,131869,88225,45338,19050,10040,7020,354,403,423,356,165,626,867,913,1382,705,552,195,72,7,3020,346,336,370,335,166,194,76,90,334,302,304,100,38,29,26425,12906,1084,1146,1111,713,468,904,882,749,1386,1931,1359,737,364,72,13519,1021,1214,1179,615,314,998,843,790,1584,1902,1629,871,440,119,11357,5081,423,475,607,278,214,360,421,325,638,608,461,163,64,44,6276,305,538,581,317,160,364,358,492,1079,929,591,408,123,31,374,155,1,4,6,20,14,16,5,13,36,14,19,3,4,0,219,9,7,7,13,0,7,37,11,40,38,9,14,19,8,10304,5466,455,502,667,208,126,522,519,491,1085,473,281,103,22,12,4838,620,631,592,258,212,309,303,524,669,433,180,91,16,0,22777,11771,1743,1576,1849,867,498,618,529,699,989,1039,819,319,179,47,11006,1356,2052,1638,746,331,478,622,513,1147,942,572,377,184,48,1607145,822680,39859,47360,51863,33319,18018,38317,34611,40544,93467,135732,141318,92718,43274,12280,784465,38196,44343,48406,31380,15673,34516,31488,39045,88413,130271,130889,87736,45121,18988,42902,23538,2269,2494,2802,1317,777,1977,1763,1981,3692,2099,1367,576,344,80,19364,2296,2659,2348,1115,733,1101,1118,1433,2353,2089,1226,597,230,66,45.3,44.9,45.8,46.2,45.8,46.5,30.0,32.1,19.4,32.5,30.7,34.1,31.7,27.7,35.2,40.2,30.9,42.3,25.3,27.6,21.7,17.2,17.6,16.7,46.6,46.3,46.9,24.4,25.3,22.3,1717403
40,WI,55,,,,,040A0US55,Wisconsin -- In metropolitan or micropolitan statistical area,5031241,2491202,154273,163315,167539,100889,73196,39557,38412,108931,165582,168052,154299,155402,168380,184832,177280,64826,86333,52110,62568,76566,53717,39775,35368,2540039,147213,159322,157584,96907,71454,37941,38206,104657,158725,164095,151957,153097,168699,188320,181132,65148,90003,54229,66988,88722,68342,56128,71170,4279655,2120716,116491,126165,130535,80443,58999,150047,135034,139525,262314,316114,302210,179663,89009,34167,2158939,110708,121293,122209,76565,58095,145776,127864,135165,256092,316270,306953,195492,117843,68614,355471,171789,14858,15831,16331,9589,6182,16767,13479,12253,21057,19823,15402,6886,2695,636,183682,15208,15460,15180,9584,5915,16747,14264,13342,23384,22242,17841,8837,4000,1678,36221,17947,1311,1257,1799,944,586,1463,1370,1242,2272,2565,2077,664,328,69,18274,1205,1403,1513,730,524,1454,1288,1362,2625,2542,2003,1122,418,85,144606,70532,5946,6022,5221,3298,2672,8525,7334,7062,10425,6746,4004,2116,960,201,74074,5992,6775,5714,3328,2853,7702,7678,7058,10730,7254,4891,2514,1137,448,1204,518,23,11,17,27,5,177,114,9,28,37,42,23,0,5,686,12,27,19,23,11,118,48,3,117,100,86,59,41,22,98566,52035,4645,4995,5474,2558,1839,4524,4864,4747,9337,4880,2737,1059,218,158,46531,4787,4727,4668,2868,1527,4020,3668,4080,7350,5205,2239,802,444,146,115518,57665,10999,9034,8162,4030,2913,5397,3387,3214,4268,3047,1967,833,282,132,57853,9301,9637,8281,3809,2529,4987,3915,3085,4756,3406,2270,1113,587,177,4058118,2006612,104488,112877,118190,74225,54720,140486,126549,129722,245867,304933,295698,177092,87907,33858,2051506,99061,109034,109973,70715,54186,137122,119681,126538,240946,306901,300494,192458,116460,67937,350906,181582,19533,21048,19931,9924,6705,15298,14396,15537,26838,16916,9734,3820,1408,494,169324,19080,19634,18974,9770,6033,14028,12953,13483,23910,15570,9174,3983,1877,855,38.2,37.1,39.4,40.9,39.7,42.2,28.6,27.3,29.8,32.3,30.8,34.2,27.7,27.3,28.1,28.4,25.0,42.0,26.7,27.2,26.0,15.8,15.4,16.2,42.1,40.8,43.4,24.2,24.4,23.9,5031241
40,WI,55,,,,,040C0US55,Wisconsin -- In metropolitan statistical area,4251964,2098931,133237,139990,142374,85414,60164,32406,31457,92385,143072,144461,132010,132117,142065,154541,147298,53970,71412,42983,51286,61721,42611,32667,29290,2153033,127136,136525,133894,82409,59628,31633,32191,89606,139142,142588,131276,130882,143113,158126,151736,54730,75259,45013,55465,72310,55751,46343,58277,3547841,1753476,97715,105176,107824,66272,47197,122256,114687,118207,219810,261790,248134,145196,71086,28126,1794365,92965,101121,101021,63260,47287,120543,109701,115204,215529,262951,253943,159187,95788,55865,348494,166955,14725,15571,16182,9386,5976,16023,12913,11603,20218,19303,14954,6802,2665,634,181539,14914,15189,15012,9472,5738,16364,14162,13225,23270,22081,17685,8802,3982,1643,25662,12646,857,859,1221,625,342,981,958,1003,1720,1827,1587,398,204,64,13016,797,869,1087,558,354,1045,936,1025,2017,1813,1429,768,267,51,134706,65768,5560,5582,4786,3068,2379,7947,6811,6576,9874,6387,3744,1958,902,194,68938,5520,6243,5312,3081,2665,7158,7327,6536,10160,6598,4551,2327,1065,395,994,427,0,11,0,27,5,168,93,9,24,33,39,13,0,5,567,12,17,19,20,11,113,20,3,109,60,82,51,28,22,91653,48358,4406,4669,5172,2388,1666,4035,4635,4358,8570,4587,2568,939,207,158,43295,4442,4432,4257,2636,1355,3740,3508,3776,6853,4900,2081,739,430,146,102614,51301,9974,8122,7189,3648,2599,4838,2975,2705,3911,2679,1654,684,214,109,51313,8486,8654,7186,3382,2218,4467,3488,2819,4220,2836,1954,914,534,155,3350864,1652425,87050,93556,97006,60820,43428,113700,107167,109348,205394,251803,242360,142852,70110,27831,1698439,82742,90349,90100,58091,43847,112794,102239,107320,201983,254607,248175,156457,94535,55200,316136,163041,17637,18795,17828,8854,5882,13622,13086,14077,23987,15318,8773,3474,1228,480,153095,17062,17627,17045,8799,5342,12708,11933,12390,21702,14022,8289,3609,1728,839,37.7,36.6,38.9,40.6,39.4,41.9,28.6,27.1,30.0,33.5,31.8,34.5,27.8,27.5,28.1,27.9,25.1,41.7,26.8,27.2,26.2,15.6,15.3,16.0,41.9,40.6,43.1,24.3,24.6,24.1,4251964
40,WI,55,,,,,040C1US55,Wisconsin -- In metropolitan statistical area -- in principal city,1694856,826911,58325,57031,53967,31219,29152,17834,18032,49452,71556,65176,53561,49943,49182,50638,48230,17821,23568,14126,15873,18235,13209,10489,10292,867945,56160,55183,50225,30681,33216,19046,19617,49036,71069,66097,52476,49260,49603,53488,52454,18467,25490,15717,17939,24443,19830,16508,21940,1185020,580879,32299,32245,29638,17452,19884,59821,50876,47253,73215,75331,72433,40332,20599,9501,604141,30809,30167,26956,17119,23573,61438,48725,45848,68737,74703,76109,48334,31375,20248,292402,136448,12706,12969,13868,7828,4867,12694,10249,8732,15828,15540,12471,5823,2333,540,155954,12945,13084,12665,7975,4870,14214,12662,11192,19825,19105,15293,7414,3404,1306,11920,5699,449,375,601,247,116,539,482,492,837,711,687,114,45,4,6221,359,415,536,288,184,497,452,549,1081,790,614,340,108,8,80356,39793,3537,3499,2665,1993,1627,5955,4678,4191,5167,3352,1635,950,484,60,40563,3592,3535,3107,1930,2061,5309,4677,3990,5139,3360,2061,942,709,151,454,208,0,8,0,0,0,105,33,9,0,18,24,11,0,0,246,0,13,5,0,0,97,0,0,69,21,16,11,0,14,67728,35405,3425,3515,3509,1911,1045,3272,3397,2959,6303,3543,1571,697,144,114,32323,3561,3232,3253,1723,1061,2980,2555,2804,4990,3577,1409,669,399,110,56976,28479,5909,4420,3686,1788,1613,2932,1841,1540,2154,1325,798,307,93,73,28497,4894,4737,3703,1646,1467,3164,1998,1714,1895,1535,909,389,343,103,1066470,519493,25359,24944,23509,14347,17649,54630,45995,41624,65045,69340,68779,38931,19986,9355,546977,24724,23906,20968,14249,21278,56185,43946,40996,60727,69919,72654,46878,30701,19846,204898,105655,12106,12508,10734,5569,3562,9108,8867,9220,15164,10022,5546,2193,774,282,99243,11297,11279,10585,5209,3730,9151,8154,8214,13791,8837,5123,2224,1116,533,32.8,32.0,33.7,36.1,35.1,37.3,28.3,26.5,29.8,31.4,30.3,33.7,25.7,25.6,25.9,25.0,24.8,36.6,26.3,26.6,26.0,15.8,15.3,16.5,37.9,36.6,39.3,24.3,24.6,24.0,1694856
40,WI,55,,,,,040C2US55,Wisconsin -- In metropolitan statistical area -- not in principal city,2557108,1272020,74912,82959,88407,54195,31012,14572,13425,42933,71516,79285,78449,82174,92883,103903,99068,36149,47844,28857,35413,43486,29402,22178,18998,1285088,70976,81342,83669,51728,26412,12587,12574,40570,68073,76491,78800,81622,93510,104638,99282,36263,49769,29296,37526,47867,35921,29835,36337,2362821,1172597,65416,72931,78186,48820,27313,62435,63811,70954,146595,186459,175701,104864,50487,18625,1190224,62156,70954,74065,46141,23714,59105,60976,69356,146792,188248,177834,110853,64413,35617,56092,30507,2019,2602,2314,1558,1109,3329,2664,2871,4390,3763,2483,979,332,94,25585,1969,2105,2347,1497,868,2150,1500,2033,3445,2976,2392,1388,578,337,13742,6947,408,484,620,378,226,442,476,511,883,1116,900,284,159,60,6795,438,454,551,270,170,548,484,476,936,1023,815,428,159,43,54350,25975,2023,2083,2121,1075,752,1992,2133,2385,4707,3035,2109,1008,418,134,28375,1928,2708,2205,1151,604,1849,2650,2546,5021,3238,2490,1385,356,244,540,219,0,3,0,27,5,63,60,0,24,15,15,2,0,5,321,12,4,14,20,11,16,20,3,40,39,66,40,28,8,23925,12953,981,1154,1663,477,621,763,1238,1399,2267,1044,997,242,63,44,10972,881,1200,1004,913,294,760,953,972,1863,1323,672,70,31,36,45638,22822,4065,3702,3503,1860,986,1906,1134,1165,1757,1354,856,377,121,36,22816,3592,3917,3483,1736,751,1303,1490,1105,2325,1301,1045,525,191,52,2284394,1132932,61691,68612,73497,46473,25779,59070,61172,67724,140349,182463,173581,103921,50124,18476,1151462,58018,66443,69132,43842,22569,56609,58293,66324,141256,184688,175521,109579,63834,35354,111238,57386,5531,6287,7094,3285,2320,4514,4219,4857,8823,5296,3227,1281,454,198,53852,5765,6348,6460,3590,1612,3557,3779,4176,7911,5185,3166,1385,612,306,41.4,40.3,42.5,42.8,41.7,43.8,30.0,29.4,31.0,34.8,34.0,35.1,31.9,31.8,32.0,40.5,25.8,50.7,28.0,28.8,27.0,15.4,15.2,15.6,43.5,42.4,44.6,24.5,24.5,24.5,2557108
40,WI,55,,,,,040E0US55,Wisconsin -- In micropolitan statistical area,779277,392271,21036,23325,25165,15475,13032,7151,6955,16546,22510,23591,22289,23285,26315,30291,29982,10856,14921,9127,11282,14845,11106,7108,6078,387006,20077,22797,23690,14498,11826,6308,6015,15051,19583,21507,20681,22215,25586,30194,29396,10418,14744,9216,11523,16412,12591,9785,12893,731814,367240,18776,20989,22711,14171,11802,27791,20347,21318,42504,54324,54076,34467,17923,6041,364574,17743,20172,21188,13305,10808,25233,18163,19961,40563,53319,53010,36305,22055,12749,6977,4834,133,260,149,203,206,744,566,650,839,520,448,84,30,2,2143,294,271,168,112,177,383,102,117,114,161,156,35,18,35,10559,5301,454,398,578,319,244,482,412,239,552,738,490,266,124,5,5258,408,534,426,172,170,409,352,337,608,729,574,354,151,34,9900,4764,386,440,435,230,293,578,523,486,551,359,260,158,58,7,5136,472,532,402,247,188,544,351,522,570,656,340,187,72,53,210,91,23,0,17,0,0,9,21,0,4,4,3,10,0,0,119,0,10,0,3,0,5,28,0,8,40,4,8,13,0,6913,3677,239,326,302,170,173,489,229,389,767,293,169,120,11,0,3236,345,295,411,232,172,280,160,304,497,305,158,63,14,0,12904,6364,1025,912,973,382,314,559,412,509,357,368,313,149,68,23,6540,815,983,1095,427,311,520,427,266,536,570,316,199,53,22,707254,354187,17438,19321,21184,13405,11292,26786,19382,20374,40473,53130,53338,34240,17797,6027,353067,16319,18685,19873,12624,10339,24328,17442,19218,38963,52294,52319,36001,21925,12737,34770,18541,1896,2253,2103,1070,823,1676,1310,1460,2851,1598,961,346,180,14,16229,2018,2007,1929,971,691,1320,1020,1093,2208,1548,885,374,149,16,41.2,39.8,42.7,42.5,41.2,43.9,28.0,31.2,20.8,29.5,27.1,32.5,26.3,25.2,28.2,28.6,21.6,49.3,25.3,28.1,22.1,17.6,17.4,17.7,43.4,42.1,44.7,22.3,23.4,21.4,779277
40,WI,55,,,,,040E1US55,Wisconsin -- In micropolitan statistical area -- in principal city,231426,112532,6196,6662,6614,4113,6002,3743,4075,7465,7586,7798,5845,6260,6220,7005,6988,2393,3395,1916,2279,3027,2730,1956,2264,118894,6037,6953,6596,3769,5660,3541,3268,6668,7073,6785,6143,6030,6320,7723,7509,2827,3518,2480,2719,4543,3805,3490,5437,213260,102982,5184,5724,5722,3726,5287,13729,6851,6861,11193,12605,12233,6959,4660,2248,110278,5113,5891,5693,3245,5102,12295,6542,6044,11380,13379,13436,9532,7232,5394,2596,1562,79,142,32,59,118,377,133,106,128,183,179,26,0,0,1034,123,141,41,16,134,280,24,81,37,64,40,16,7,30,2223,1110,81,56,175,43,85,171,81,41,121,110,73,73,0,0,1113,98,135,44,45,52,126,96,107,102,111,136,61,0,0,5929,3085,269,313,252,153,180,428,313,392,368,180,133,78,26,0,2844,229,322,208,166,140,409,251,343,278,256,121,62,46,13,47,22,0,0,12,0,0,0,0,0,0,0,0,10,0,0,25,0,0,0,0,0,5,0,0,8,12,0,0,0,0,2227,1227,69,67,67,49,135,244,42,154,203,93,74,30,0,0,1000,163,81,98,85,25,94,29,132,146,77,41,29,0,0,5144,2544,514,360,354,83,197,334,166,244,92,54,84,46,0,16,2600,311,383,512,212,207,268,131,78,222,144,80,42,10,0,205567,98986,4821,5159,5322,3522,5048,13303,6538,6585,10660,12254,11996,6908,4622,2248,106581,4627,5405,5357,3077,4935,11873,6257,5798,10911,13097,13192,9446,7220,5386,10959,5872,572,743,601,260,454,737,378,501,742,454,311,81,38,0,5087,790,661,469,261,204,549,376,358,646,364,274,115,12,8,34.7,32.4,37.1,36.5,33.7,39.3,23.4,24.7,21.1,25.0,24.1,28.6,24.0,24.3,23.7,38.8,.,38.9,23.0,23.7,21.5,16.8,17.2,16.5,37.2,34.3,40.4,21.4,21.7,20.9,231426
40,WI,55,,,,,040E2US55,Wisconsin -- In micropolitan statistical area -- not in principal city,547851,279739,14840,16663,18551,11362,7030,3408,2880,9081,14924,15793,16444,17025,20095,23286,22994,8463,11526,7211,9003,11818,8376,5152,3814,268112,14040,15844,17094,10729,6166,2767,2747,8383,12510,14722,14538,16185,19266,22471,21887,7591,11226,6736,8804,11869,8786,6295,7456,518554,264258,13592,15265,16989,10445,6515,14062,13496,14457,31311,41719,41843,27508,13263,3793,254296,12630,14281,15495,10060,5706,12938,11621,13917,29183,39940,39574,26773,14823,7355,4381,3272,54,118,117,144,88,367,433,544,711,337,269,58,30,2,1109,171,130,127,96,43,103,78,36,77,97,116,19,11,5,8336,4191,373,342,403,276,159,311,331,198,431,628,417,193,124,5,4145,310,399,382,127,118,283,256,230,506,618,438,293,151,34,3971,1679,117,127,183,77,113,150,210,94,183,179,127,80,32,7,2292,243,210,194,81,48,135,100,179,292,400,219,125,26,40,163,69,23,0,5,0,0,9,21,0,4,4,3,0,0,0,94,0,10,0,3,0,0,28,0,0,28,4,8,13,0,4686,2450,170,259,235,121,38,245,187,235,564,200,95,90,11,0,2236,182,214,313,147,147,186,131,172,351,228,117,34,14,0,7760,3820,511,552,619,299,117,225,246,265,265,314,229,103,68,7,3940,504,600,583,215,104,252,296,188,314,426,236,157,43,22,501687,255201,12617,14162,15862,9883,6244,13483,12844,13789,29813,40876,41342,27332,13175,3779,246486,11692,13280,14516,9547,5404,12455,11185,13420,28052,39197,39127,26555,14705,7351,23811,12669,1324,1510,1502,810,369,939,932,959,2109,1144,650,265,142,14,11142,1228,1346,1460,710,487,771,644,735,1562,1184,611,259,137,8,43.6,42.6,44.5,44.6,43.8,45.4,31.2,32.9,19.6,31.4,27.9,34.4,29.9,26.7,33.0,28.4,21.7,51.1,26.2,28.8,22.6,18.0,17.5,18.9,45.4,44.7,46.1,23.5,24.5,22.0,547851
