SummaryLevel,State,StateFIPS,CountyFIPS,PlaceFIPS,CBSACode,CongressDistrict,GEOID,AreaName,B01001_001,B01001_002,B01001_003,B01001_004,B01001_005,B01001_006,B01001_007,B01001_008,B01001_009,B01001_010,B01001_011,B01001_012,B01001_013,B01001_014,B01001_015,B01001_016,B01001_017,B01001_018,B01001_019,B01001_020,B01001_021,B01001_022,B01001_023,B01001_024,B01001_025,B01001_026,B01001_027,B01001_028,B01001_029,B01001_030,B01001_031,B01001_032,B01001_033,B01001_034,B01001_035,B01001_036,B01001_037,B01001_038,B01001_039,B01001_040,B01001_041,B01001_042,B01001_043,B01001_044,B01001_045,B01001_046,B01001_047,B01001_048,B01001_049,B01001A_001,B01001A_002,B01001A_003,B01001A_004,B01001A_005,B01001A_006,B01001A_007,B01001A_008,B01001A_009,B01001A_010,B01001A_011,B01001A_012,B01001A_013,B01001A_014,B01001A_015,B01001A_016,B01001A_017,B01001A_018,B01001A_019,B01001A_020,B01001A_021,B01001A_022,B01001A_023,B01001A_024,B01001A_025,B01001A_026,B01001A_027,B01001A_028,B01001A_029,B01001A_030,B01001A_031,B01001B_001,B01001B_002,B01001B_003,B01001B_004,B01001B_005,B01001B_006,B01001B_007,B01001B_008,B01001B_009,B01001B_010,B01001B_011,B01001B_012,B01001B_013,B01001B_014,B01001B_015,B01001B_016,B01001B_017,B01001B_018,B01001B_019,B01001B_020,B01001B_021,B01001B_022,B01001B_023,B01001B_024,B01001B_025,B01001B_026,B01001B_027,B01001B_028,B01001B_029,B01001B_030,B01001B_031,B01001C_001,B01001C_002,B01001C_003,B01001C_004,B01001C_005,B01001C_006,B01001C_007,B01001C_008,B01001C_009,B01001C_010,B01001C_011,B01001C_012,B01001C_013,B01001C_014,B01001C_015,B01001C_016,B01001C_017,B01001C_018,B01001C_019,B01001C_020,B01001C_021,B01001C_022,B01001C_023,B01001C_024,B01001C_025,B01001C_026,B01001C_027,B01001C_028,B01001C_029,B01001C_030,B01001C_031,B01001D_001,B01001D_002,B01001D_003,B01001D_004,B01001D_005,B01001D_006,B01001D_007,B01001D_008,B01001D_009,B01001D_010,B01001D_011,B01001D_012,B01001D_013,B01001D_014,B01001D_015,B01001D_016,B01001D_017,B01001D_018,B01001D_019,B01001D_020,B01001D_021,B01001D_022,B01001D_023,B01001D_024,B01001D_025,B01001D_026,B01001D_027,B01001D_028,B01001D_029,B01001D_030,B01001D_031,B01001E_001,B01001E_002,B01001E_003,B01001E_004,B01001E_005,B01001E_006,B01001E_007,B01001E_008,B01001E_009,B01001E_010,B01001E_011,B01001E_012,B01001E_013,B01001E_014,B01001E_015,B01001E_016,B01001E_017,B01001E_018,B01001E_019,B01001E_020,B01001E_021,B01001E_022,B01001E_023,B01001E_024,B01001E_025,B01001E_026,B01001E_027,B01001E_028,B01001E_029,B01001E_030,B01001E_031,B01001F_001,B01001F_002,B01001F_003,B01001F_004,B01001F_005,B01001F_006,B01001F_007,B01001F_008,B01001F_009,B01001F_010,B01001F_011,B01001F_012,B01001F_013,B01001F_014,B01001F_015,B01001F_016,B01001F_017,B01001F_018,B01001F_019,B01001F_020,B01001F_021,B01001F_022,B01001F_023,B01001F_024,B01001F_025,B01001F_026,B01001F_027,B01001F_028,B01001F_029,B01001F_030,B01001F_031,B01001G_001,B01001G_002,B01001G_003,B01001G_004,B01001G_005,B01001G_006,B01001G_007,B01001G_008,B01001G_009,B01001G_010,B01001G_011,B01001G_012,B01001G_013,B01001G_014,B01001G_015,B01001G_016,B01001G_017,B01001G_018,B01001G_019,B01001G_020,B01001G_021,B01001G_022,B01001G_023,B01001G_024,B01001G_025,B01001G_026,B01001G_027,B01001G_028,B01001G_029,B01001G_030,B01001G_031,B01001H_001,B01001H_002,B01001H_003,B01001H_004,B01001H_005,B01001H_006,B01001H_007,B01001H_008,B01001H_009,B01001H_010,B01001H_011,B01001H_012,B01001H_013,B01001H_014,B01001H_015,B01001H_016,B01001H_017,B01001H_018,B01001H_019,B01001H_020,B01001H_021,B01001H_022,B01001H_023,B01001H_024,B01001H_025,B01001H_026,B01001H_027,B01001H_028,B01001H_029,B01001H_030,B01001H_031,B01001I_001,B01001I_002,B01001I_003,B01001I_004,B01001I_005,B01001I_006,B01001I_007,B01001I_008,B01001I_009,B01001I_010,B01001I_011,B01001I_012,B01001I_013,B01001I_014,B01001I_015,B01001I_016,B01001I_017,B01001I_018,B01001I_019,B01001I_020,B01001I_021,B01001I_022,B01001I_023,B01001I_024,B01001I_025,B01001I_026,B01001I_027,B01001I_028,B01001I_029,B01001I_030,B01001I_031,B01002_001,B01002_002,B01002_003,B01002A_001,B01002A_002,B01002A_003,B01002B_001,B01002B_002,B01002B_003,B01002C_001,B01002C_002,B01002C_003,B01002D_001,B01002D_002,B01002D_003,B01002E_001,B01002E_002,B01002E_003,B01002F_001,B01002F_002,B01002F_003,B01002G_001,B01002G_002,B01002G_003,B01002H_001,B01002H_002,B01002H_003,B01002I_001,B01002I_002,B01002I_003,B01003_001
40,WY,56,,,,,04000US56,Wyoming,583029,297691,19311,20402,20455,11722,7738,5176,4735,12661,21271,21269,18469,18204,17526,19675,20673,8588,11604,6684,7922,9304,6226,4507,3569,285338,18656,19848,18180,10270,7170,4566,3737,11340,19412,19710,17464,16566,16168,19991,20679,8208,10878,6509,7091,10341,6948,5546,6060,531851,271055,17128,17175,17816,10400,6763,20023,18895,19213,33534,34847,38552,22896,10341,3472,260796,16177,17749,15525,9210,6418,17401,17518,17663,31004,33624,37562,22925,12069,5951,6435,3861,155,436,216,142,255,437,375,365,439,374,457,109,101,0,2574,265,185,334,90,28,483,55,243,226,263,322,55,11,14,13033,6693,644,626,684,322,163,629,535,554,817,756,570,324,59,10,6340,544,607,671,259,140,421,515,548,757,848,580,320,103,27,5385,2277,60,260,127,52,55,239,302,349,224,200,236,110,40,23,3108,105,102,312,128,86,231,313,246,455,374,507,150,58,41,391,250,6,0,0,4,3,154,52,0,6,9,16,0,0,0,141,0,0,8,4,16,73,0,0,0,11,22,7,0,0,10403,5237,333,509,440,290,191,447,462,430,831,391,444,284,142,43,5166,496,541,410,162,210,429,516,408,933,441,253,218,126,23,15531,8318,985,1396,1172,512,308,643,650,358,822,624,590,187,50,21,7213,1069,664,920,417,272,605,495,602,655,598,519,266,127,4,491859,250491,15084,15147,16096,9346,5979,18137,17240,17531,30699,32574,37155,22287,9907,3309,241368,14294,15629,13877,8248,5736,15922,16015,16201,28267,31794,35951,22022,11682,5730,56386,29318,2875,2988,2553,1562,1021,2723,2471,2362,4079,2883,2097,901,588,215,27068,2881,2943,2341,1326,916,2181,2154,2034,3796,2535,2003,1172,538,248,36.8,36.0,37.8,38.1,37.3,39.0,29.0,29.6,23.8,28.6,27.5,30.1,32.5,31.8,35.8,23.8,23.5,24.4,28.9,29.6,28.2,20.4,18.7,22.1,39.3,38.4,40.1,26.8,26.7,26.9,583029
40,WY,56,,,,,04001US56,Wyoming -- Urban,377081,191408,12789,13317,12926,7215,5556,3923,3571,10011,16352,15028,11967,11878,11141,11395,12180,4573,6597,3176,4574,4676,3512,2604,2447,185673,12855,12598,11518,6681,5169,3299,2977,8780,14574,13529,11403,10395,9838,11670,12474,4721,6272,3824,4000,6213,4387,4033,4463,341516,172635,11291,11143,11072,6428,4843,15392,14401,13430,21629,21102,21735,11911,5888,2370,168881,11122,11173,9836,5953,4654,13297,13120,12000,19669,19978,22122,13428,8141,4388,5642,3386,131,335,208,128,226,396,342,330,403,300,435,63,89,0,2256,229,84,277,78,28,479,39,236,173,251,302,55,11,14,4692,2581,200,153,245,100,37,391,255,319,315,294,205,58,2,7,2111,112,178,176,71,43,125,270,275,290,268,174,84,30,15,4399,1960,60,188,113,24,55,225,302,334,198,140,203,95,0,23,2439,105,102,177,79,79,194,273,228,379,253,397,129,25,19,336,217,6,0,0,0,3,154,49,0,3,0,2,0,0,0,119,0,0,0,0,13,73,0,0,0,11,22,0,0,0,9175,4543,328,479,414,230,135,412,412,360,783,254,352,223,123,38,4632,496,535,393,150,174,377,495,309,859,334,218,163,106,23,11321,6086,773,1019,874,305,257,535,591,255,514,446,418,76,14,9,5235,791,526,659,350,178,511,377,481,428,413,232,178,107,4,309705,156032,9649,9464,9732,5705,4178,13673,12891,12162,19363,19387,20724,11415,5474,2215,153673,9558,9447,8617,5222,4053,11981,12041,10972,17537,18593,20856,12790,7835,4171,45541,23837,2379,2457,2067,1107,834,2450,2230,1826,3305,2139,1584,710,547,202,21704,2384,2479,1838,1073,799,1904,1687,1451,3086,1902,1583,842,432,244,34.2,33.2,35.4,35.4,34.4,36.6,29.3,29.7,24.4,29.8,27.6,32.2,32.1,31.2,34.5,23.7,23.4,24.5,27.5,28.0,26.7,19.7,18.8,21.3,36.4,35.3,37.8,26.1,26.3,26.0,377081
40,WY,56,,,,,04043US56,Wyoming -- Rural,205948,106283,6522,7085,7529,4507,2182,1253,1164,2650,4919,6241,6502,6326,6385,8280,8493,4015,5007,3508,3348,4628,2714,1903,1122,99665,5801,7250,6662,3589,2001,1267,760,2560,4838,6181,6061,6171,6330,8321,8205,3487,4606,2685,3091,4128,2561,1513,1597,190335,98420,5837,6032,6744,3972,1920,4631,4494,5783,11905,13745,16817,10985,4453,1102,91915,5055,6576,5689,3257,1764,4104,4398,5663,11335,13646,15440,9497,3928,1563,793,475,24,101,8,14,29,41,33,35,36,74,22,46,12,0,318,36,101,57,12,0,4,16,7,53,12,20,0,0,0,8341,4112,444,473,439,222,126,238,280,235,502,462,365,266,57,3,4229,432,429,495,188,97,296,245,273,467,580,406,236,73,12,986,317,0,72,14,28,0,14,0,15,26,60,33,15,40,0,669,0,0,135,49,7,37,40,18,76,121,110,21,33,22,55,33,0,0,0,4,0,0,3,0,3,9,14,0,0,0,22,0,0,8,4,3,0,0,0,0,0,0,7,0,0,1228,694,5,30,26,60,56,35,50,70,48,137,92,61,19,5,534,0,6,17,12,36,52,21,99,74,107,35,55,20,0,4210,2232,212,377,298,207,51,108,59,103,308,178,172,111,36,12,1978,278,138,261,67,94,94,118,121,227,185,287,88,20,0,182154,94459,5435,5683,6364,3641,1801,4464,4349,5369,11336,13187,16431,10872,4433,1094,87695,4736,6182,5260,3026,1683,3941,3974,5229,10730,13201,15095,9232,3847,1559,10845,5481,496,531,486,455,187,273,241,536,774,744,513,191,41,13,5364,497,464,503,253,117,277,467,583,710,633,420,330,106,4,42.1,42.1,42.1,43.2,43.2,43.1,22.6,28.5,11.5,27.5,27.0,28.8,40.7,37.8,42.1,46.3,46.7,16.8,36.7,36.5,36.8,22.6,18.6,28.4,44.0,43.9,44.0,30.8,32.0,30.6,205948
40,WY,56,,,,,040A0US56,Wyoming -- In metropolitan or micropolitan statistical area,422574,215537,14345,15180,14940,8193,6029,4084,3716,10020,16759,16335,13576,13458,12307,13968,14569,5703,7969,4425,5023,6008,3903,2793,2234,207037,13902,14278,13451,7434,5329,3592,2975,9223,15293,15015,13289,11984,11601,14092,14731,5707,7305,4445,4855,6373,4258,3623,4282,380320,193504,12395,12368,12804,7219,5123,15610,14694,14549,24454,24567,26453,14694,6382,2192,186816,11810,12503,11396,6531,4723,13869,13565,13344,22727,23729,26034,14838,7569,4178,5744,3529,146,428,206,131,242,416,348,346,407,271,399,88,101,0,2215,248,127,301,90,25,345,55,242,208,214,280,55,11,14,11788,6028,618,603,595,301,161,593,497,520,740,550,501,285,54,10,5760,538,596,557,243,122,414,492,450,719,746,493,261,102,27,4426,1895,28,215,71,48,51,237,294,345,191,173,121,98,0,23,2531,105,55,312,101,62,227,291,213,347,284,339,128,26,41,345,233,6,0,0,0,3,154,52,0,3,0,15,0,0,0,112,0,0,8,0,13,73,0,0,0,11,0,7,0,0,8038,3961,273,402,415,174,171,330,392,261,638,280,305,185,135,0,4077,343,488,206,150,171,317,492,288,811,278,235,184,96,18,11913,6387,879,1164,849,320,278,480,482,314,601,434,447,106,24,9,5526,858,509,671,319,213,545,398,478,461,431,362,200,77,4,349133,177409,10821,10700,11462,6409,4522,14081,13310,13174,22188,22933,25444,14184,6095,2086,171724,10335,10788,10112,5835,4200,12712,12393,12187,20516,22433,24722,14189,7315,3987,44271,22997,2314,2444,2113,1096,815,2201,2032,1865,3254,2085,1539,690,434,115,21274,2295,2435,1716,1027,703,1740,1779,1580,3139,1760,1645,869,373,213,35.2,34.4,36.0,36.5,35.8,37.4,29.0,29.3,24.3,27.6,26.8,29.3,31.5,31.1,31.7,23.6,23.5,24.3,28.2,27.7,28.5,19.6,17.8,21.8,37.6,36.9,38.5,26.6,26.3,26.9,422574
40,WY,56,,,,,040C0US56,Wyoming -- In metropolitan statistical area,177330,89658,5876,6507,5802,3436,2358,1705,1337,3530,7015,6881,5631,5633,5302,6000,6094,2268,3458,1772,2279,2617,1754,1327,1076,87672,5859,5779,5754,3062,1978,1308,1200,3377,6344,6290,5855,4721,5023,6037,6345,2183,3389,1960,2109,3005,2132,1690,2272,160482,80599,5238,5404,4994,2996,2030,5638,6131,5966,10187,10692,10987,6342,2922,1072,79883,4949,5115,5048,2728,1704,5194,5696,5645,9666,10320,11231,6670,3688,2229,3724,2327,36,174,74,125,81,228,233,317,364,208,360,84,43,0,1397,207,110,58,76,8,187,26,219,74,124,258,25,11,14,1446,952,73,46,50,30,6,203,166,127,74,55,76,46,0,0,494,1,33,3,1,4,42,68,3,182,95,30,32,0,0,1868,791,20,143,58,17,4,29,86,188,106,38,57,41,0,4,1077,54,8,116,0,34,73,134,102,102,168,163,88,13,22,171,80,6,0,0,0,3,66,0,0,3,0,2,0,0,0,91,0,0,8,0,4,68,0,0,0,11,0,0,0,0,4156,1966,171,99,217,43,86,179,194,161,316,130,146,123,101,0,2190,276,219,110,123,122,119,251,91,341,208,101,153,73,3,5483,2943,332,641,409,225,148,229,205,122,214,179,192,32,15,0,2540,372,294,411,134,102,202,169,230,211,134,134,106,37,4,146605,73605,4521,4805,4498,2609,1639,5106,5517,5391,9255,10020,10440,5999,2831,974,73000,4378,4435,4385,2473,1495,4555,5180,5050,8852,9755,10527,6306,3532,2077,20327,10461,1098,994,920,499,480,883,951,852,1374,895,775,440,202,98,9866,976,980,918,465,331,844,812,742,1217,835,835,514,238,159,36.4,35.4,37.5,37.8,37.0,38.6,32.2,34.0,30.3,29.8,27.2,40.5,32.6,31.7,39.2,22.6,21.8,24.3,27.9,28.6,27.5,17.5,16.6,19.2,38.9,38.1,39.7,27.2,26.9,27.9,177330
40,WY,56,,,,,040C1US56,Wyoming -- In metropolitan statistical area -- in principal city,122276,60708,4005,4347,4054,2367,1476,982,947,2440,5151,5217,3913,3923,3350,3787,4014,1614,2211,1064,1474,1545,1120,834,873,61568,4261,4114,3903,2262,1243,1016,908,2630,4698,4641,3944,3037,3241,3822,4328,1430,2229,1547,1475,1980,1471,1348,2040,109417,53882,3523,3475,3390,2011,1239,3798,4528,4428,7013,6706,7207,3872,1823,869,55535,3556,3663,3320,2017,1003,3907,4332,4116,6190,6521,7478,4689,2724,2019,3073,1899,36,174,54,124,55,129,192,265,288,208,306,41,27,0,1174,192,43,29,59,4,170,23,211,62,117,214,25,11,14,1274,824,73,46,50,30,0,194,122,122,63,32,63,29,0,0,450,1,33,3,0,0,42,68,1,164,95,20,23,0,0,1501,599,20,71,58,17,4,0,66,188,82,23,25,41,0,4,902,50,8,116,0,34,58,99,87,78,154,129,81,8,0,130,51,6,0,0,0,3,38,0,0,3,0,1,0,0,0,79,0,0,0,0,0,68,0,0,0,11,0,0,0,0,2741,1328,112,68,184,39,42,49,48,135,257,88,129,83,94,0,1413,146,141,77,72,106,114,57,43,291,101,61,134,67,3,4140,2125,235,513,318,146,133,161,195,79,130,80,108,17,10,0,2015,316,226,358,114,96,195,119,183,196,64,85,50,9,4,99693,49082,2998,3152,3062,1846,961,3482,4014,4079,6381,6199,6792,3592,1753,771,50611,3175,3242,2911,1811,901,3473,3962,3682,5630,6133,6834,4380,2610,1867,14394,7403,826,660,705,272,320,525,695,575,974,615,616,348,174,98,6991,647,623,590,368,208,639,451,515,913,516,732,440,190,159,35.3,34.3,36.1,36.6,35.8,37.3,32.5,34.2,30.7,28.5,27.1,40.4,32.7,32.2,35.0,24.0,21.4,24.5,34.3,34.7,27.8,16.5,14.9,17.9,37.3,36.6,38.0,28.3,27.6,29.6,122276
40,WY,56,,,,,040C2US56,Wyoming -- In metropolitan statistical area -- not in principal city,55054,28950,1871,2160,1748,1069,882,723,390,1090,1864,1664,1718,1710,1952,2213,2080,654,1247,708,805,1072,634,493,203,26104,1598,1665,1851,800,735,292,292,747,1646,1649,1911,1684,1782,2215,2017,753,1160,413,634,1025,661,342,232,51065,26717,1715,1929,1604,985,791,1840,1603,1538,3174,3986,3780,2470,1099,203,24348,1393,1452,1728,711,701,1287,1364,1529,3476,3799,3753,1981,964,210,651,428,0,0,20,1,26,99,41,52,76,0,54,43,16,0,223,15,67,29,17,4,17,3,8,12,7,44,0,0,0,172,128,0,0,0,0,6,9,44,5,11,23,13,17,0,0,44,0,0,0,1,4,0,0,2,18,0,10,9,0,0,367,192,0,72,0,0,0,29,20,0,24,15,32,0,0,0,175,4,0,0,0,0,15,35,15,24,14,34,7,5,22,41,29,0,0,0,0,0,28,0,0,0,0,1,0,0,0,12,0,0,8,0,4,0,0,0,0,0,0,0,0,0,1415,638,59,31,33,4,44,130,146,26,59,42,17,40,7,0,777,130,78,33,51,16,5,194,48,50,107,40,19,6,0,1343,818,97,128,91,79,15,68,10,43,84,99,84,15,5,0,525,56,68,53,20,6,7,50,47,15,70,49,56,28,0,46912,24523,1523,1653,1436,763,678,1624,1503,1312,2874,3821,3648,2407,1078,203,22389,1203,1193,1474,662,594,1082,1218,1368,3222,3622,3693,1926,922,210,5933,3058,272,334,215,227,160,358,256,277,400,280,159,92,28,0,2875,329,357,328,97,123,205,361,227,304,319,103,74,48,0,39.2,38.2,39.8,40.0,39.6,40.5,29.7,32.3,16.0,43.1,33.5,43.8,31.6,24.3,44.2,22.3,22.5,.,26.4,25.5,27.0,22.8,18.9,31.5,41.7,41.2,42.2,24.1,23.1,25.0,55054
40,WY,56,,,,,040E0US56,Wyoming -- In micropolitan statistical area,245244,125879,8469,8673,9138,4757,3671,2379,2379,6490,9744,9454,7945,7825,7005,7968,8475,3435,4511,2653,2744,3391,2149,1466,1158,119365,8043,8499,7697,4372,3351,2284,1775,5846,8949,8725,7434,7263,6578,8055,8386,3524,3916,2485,2746,3368,2126,1933,2010,219838,112905,7157,6964,7810,4223,3093,9972,8563,8583,14267,13875,15466,8352,3460,1120,106933,6861,7388,6348,3803,3019,8675,7869,7699,13061,13409,14803,8168,3881,1949,2020,1202,110,254,132,6,161,188,115,29,43,63,39,4,58,0,818,41,17,243,14,17,158,29,23,134,90,22,30,0,0,10342,5076,545,557,545,271,155,390,331,393,666,495,425,239,54,10,5266,537,563,554,242,118,372,424,447,537,651,463,229,102,27,2558,1104,8,72,13,31,47,208,208,157,85,135,64,57,0,19,1454,51,47,196,101,28,154,157,111,245,116,176,40,13,19,174,153,0,0,0,0,0,88,52,0,0,0,13,0,0,0,21,0,0,0,0,9,5,0,0,0,0,0,7,0,0,3882,1995,102,303,198,131,85,151,198,100,322,150,159,62,34,0,1887,67,269,96,27,49,198,241,197,470,70,134,31,23,15,6430,3444,547,523,440,95,130,251,277,192,387,255,255,74,9,9,2986,486,215,260,185,111,343,229,248,250,297,228,94,40,0,202528,103804,6300,5895,6964,3800,2883,8975,7793,7783,12933,12913,15004,8185,3264,1112,98724,5957,6353,5727,3362,2705,8157,7213,7137,11664,12678,14195,7883,3783,1910,23944,12536,1216,1450,1193,597,335,1318,1081,1013,1880,1190,764,250,232,17,11408,1319,1455,798,562,372,896,967,838,1922,925,810,355,135,54,34.4,33.8,35.1,35.6,35.1,36.3,20.1,19.5,23.0,27.2,26.2,27.7,29.6,29.5,29.6,23.8,23.9,20.8,28.5,26.8,29.7,22.3,19.6,24.3,36.6,36.0,37.4,26.1,25.6,26.5,245244
40,WY,56,,,,,040E1US56,Wyoming -- In micropolitan statistical area -- in principal city,139464,71935,5309,4899,5197,2313,2529,1889,1830,4798,6801,6373,4555,4570,3840,3751,4151,1402,2029,857,1266,1174,915,748,739,67529,4857,4956,3927,2276,2377,1773,1226,4062,6091,5481,4385,3913,3165,3821,4223,1672,1665,1136,1098,1843,1125,1372,1085,126908,65263,4588,4014,4504,2150,2155,7666,5955,5897,8377,7149,7204,3217,1648,739,61645,4309,4453,3347,2063,2206,6339,5392,4963,7474,6495,7174,3920,2432,1078,1537,877,110,119,132,2,133,150,90,9,40,53,39,0,0,0,660,33,17,217,0,17,156,16,23,99,78,1,3,0,0,1943,958,74,124,53,26,28,130,61,120,142,108,80,12,0,0,985,71,82,84,39,18,18,178,133,100,128,71,36,24,3,1871,923,8,63,13,31,44,201,188,142,79,113,21,20,0,0,948,51,18,61,67,12,122,110,96,163,68,141,39,0,0,148,137,0,0,0,0,0,88,49,0,0,0,0,0,0,0,11,0,0,0,0,6,5,0,0,0,0,0,0,0,0,2957,1542,97,222,186,89,64,136,193,68,256,83,100,33,15,0,1415,59,250,65,26,49,136,230,118,346,61,51,1,19,4,4100,2235,432,357,309,15,105,146,265,137,231,85,138,15,0,0,1865,334,136,153,81,69,285,165,148,116,156,122,78,22,0,114532,58317,3937,3131,3758,1852,2006,6794,5368,5243,7368,6543,6968,3137,1481,731,56215,3710,3704,2955,1745,1967,6000,4983,4531,6446,6178,6845,3754,2346,1051,16673,9159,938,1113,1016,388,225,1118,861,759,1317,723,398,113,182,8,7514,916,1044,479,399,297,597,691,564,1391,416,409,175,105,31,31.1,30.3,32.0,31.9,31.3,32.8,19.9,19.4,20.7,29.5,28.1,30.4,29.4,28.0,31.4,23.7,.,19.9,26.4,23.9,26.9,21.6,18.0,24.1,32.7,32.1,33.4,24.5,24.1,25.2,139464
40,WY,56,,,,,040E2US56,Wyoming -- In micropolitan statistical area -- not in principal city,105780,53944,3160,3774,3941,2444,1142,490,549,1692,2943,3081,3390,3255,3165,4217,4324,2033,2482,1796,1478,2217,1234,718,419,51836,3186,3543,3770,2096,974,511,549,1784,2858,3244,3049,3350,3413,4234,4163,1852,2251,1349,1648,1525,1001,561,925,92930,47642,2569,2950,3306,2073,938,2306,2608,2686,5890,6726,8262,5135,1812,381,45288,2552,2935,3001,1740,813,2336,2477,2736,5587,6914,7629,4248,1449,871,483,325,0,135,0,4,28,38,25,20,3,10,0,4,58,0,158,8,0,26,14,0,2,13,0,35,12,21,27,0,0,8399,4118,471,433,492,245,127,260,270,273,524,387,345,227,54,10,4281,466,481,470,203,100,354,246,314,437,523,392,193,78,24,687,181,0,9,0,0,3,7,20,15,6,22,43,37,0,19,506,0,29,135,34,16,32,47,15,82,48,35,1,13,19,26,16,0,0,0,0,0,0,3,0,0,0,13,0,0,0,10,0,0,0,0,3,0,0,0,0,0,0,7,0,0,925,453,5,81,12,42,21,15,5,32,66,67,59,29,19,0,472,8,19,31,1,0,62,11,79,124,9,83,30,4,11,2330,1209,115,166,131,80,25,105,12,55,156,170,117,59,9,9,1121,152,79,107,104,42,58,64,100,134,141,106,16,18,0,87996,45487,2363,2764,3206,1948,877,2181,2425,2540,5565,6370,8036,5048,1783,381,42509,2247,2649,2772,1617,738,2157,2230,2606,5218,6500,7350,4129,1437,859,7271,3377,278,337,177,209,110,200,220,254,563,467,366,137,50,9,3894,403,411,319,163,75,299,276,274,531,509,401,180,30,23,40.6,40.6,40.5,42.2,42.4,42.0,23.7,19.8,39.9,25.9,25.5,26.2,31.8,57.2,26.1,60.5,.,.,41.3,36.8,43.1,25.1,24.0,27.2,42.9,42.9,42.9,31.3,32.8,30.0,105780
