SummaryLevel,State,StateFIPS,CountyFIPS,PlaceFIPS,CBSACode,CongressDistrict,GEOID,AreaName,B15001_001,B15001_002,B15001_003,B15001_004,B15001_005,B15001_006,B15001_007,B15001_008,B15001_009,B15001_010,B15001_011,B15001_012,B15001_013,B15001_014,B15001_015,B15001_016,B15001_017,B15001_018,B15001_019,B15001_020,B15001_021,B15001_022,B15001_023,B15001_024,B15001_025,B15001_026,B15001_027,B15001_028,B15001_029,B15001_030,B15001_031,B15001_032,B15001_033,B15001_034,B15001_035,B15001_036,B15001_037,B15001_038,B15001_039,B15001_040,B15001_041,B15001_042,B15001_043,B15001_044,B15001_045,B15001_046,B15001_047,B15001_048,B15001_049,B15001_050,B15001_051,B15001_052,B15001_053,B15001_054,B15001_055,B15001_056,B15001_057,B15001_058,B15001_059,B15001_060,B15001_061,B15001_062,B15001_063,B15001_064,B15001_065,B15001_066,B15001_067,B15001_068,B15001_069,B15001_070,B15001_071,B15001_072,B15001_073,B15001_074,B15001_075,B15001_076,B15001_077,B15001_078,B15001_079,B15001_080,B15001_081,B15001_082,B15001_083,B15002_001,B15002_002,B15002_003,B15002_004,B15002_005,B15002_006,B15002_007,B15002_008,B15002_009,B15002_010,B15002_011,B15002_012,B15002_013,B15002_014,B15002_015,B15002_016,B15002_017,B15002_018,B15002_019,B15002_020,B15002_021,B15002_022,B15002_023,B15002_024,B15002_025,B15002_026,B15002_027,B15002_028,B15002_029,B15002_030,B15002_031,B15002_032,B15002_033,B15002_034,B15002_035,B15003_001,B15003_002,B15003_003,B15003_004,B15003_005,B15003_006,B15003_007,B15003_008,B15003_009,B15003_010,B15003_011,B15003_012,B15003_013,B15003_014,B15003_015,B15003_016,B15003_017,B15003_018,B15003_019,B15003_020,B15003_021,B15003_022,B15003_023,B15003_024,B15003_025,C15002A_001,C15002A_002,C15002A_003,C15002A_004,C15002A_005,C15002A_006,C15002A_007,C15002A_008,C15002A_009,C15002A_010,C15002A_011,C15002B_001,C15002B_002,C15002B_003,C15002B_004,C15002B_005,C15002B_006,C15002B_007,C15002B_008,C15002B_009,C15002B_010,C15002B_011,C15002C_001,C15002C_002,C15002C_003,C15002C_004,C15002C_005,C15002C_006,C15002C_007,C15002C_008,C15002C_009,C15002C_010,C15002C_011,C15002D_001,C15002D_002,C15002D_003,C15002D_004,C15002D_005,C15002D_006,C15002D_007,C15002D_008,C15002D_009,C15002D_010,C15002D_011,C15002E_001,C15002E_002,C15002E_003,C15002E_004,C15002E_005,C15002E_006,C15002E_007,C15002E_008,C15002E_009,C15002E_010,C15002E_011,C15002F_001,C15002F_002,C15002F_003,C15002F_004,C15002F_005,C15002F_006,C15002F_007,C15002F_008,C15002F_009,C15002F_010,C15002F_011,C15002G_001,C15002G_002,C15002G_003,C15002G_004,C15002G_005,C15002G_006,C15002G_007,C15002G_008,C15002G_009,C15002G_010,C15002G_011,C15002H_001,C15002H_002,C15002H_003,C15002H_004,C15002H_005,C15002H_006,C15002H_007,C15002H_008,C15002H_009,C15002H_010,C15002H_011,C15002I_001,C15002I_002,C15002I_003,C15002I_004,C15002I_005,C15002I_006,C15002I_007,C15002I_008,C15002I_009,C15002I_010,C15002I_011,B15011_001,B15011_002,B15011_003,B15011_004,B15011_005,B15011_006,B15011_007,B15011_008,B15011_009,B15011_010,B15011_011,B15011_012,B15011_013,B15011_014,B15011_015,B15011_016,B15011_017,B15011_018,B15011_019,B15011_020,B15011_021,B15011_022,B15011_023,B15011_024,B15011_025,B15011_026,B15011_027,B15011_028,B15011_029,B15011_030,B15011_031,B15011_032,B15011_033,B15011_034,B15011_035,B15011_036,B15011_037,B15011_038,B15011_039,B15012_001,B15012_002,B15012_003,B15012_004,B15012_005,B15012_006,B15012_007,B15012_008,B15012_009,B15012_010,B15012_011,B15012_012,B15012_013,B15012_014,B15012_015,B15012_016,C15010_001,C15010_002,C15010_003,C15010_004,C15010_005,C15010_006,C15010A_001,C15010A_002,C15010A_003,C15010A_004,C15010A_005,C15010A_006,C15010B_001,C15010B_002,C15010B_003,C15010B_004,C15010B_005,C15010B_006,C15010C_001,C15010C_002,C15010C_003,C15010C_004,C15010C_005,C15010C_006,C15010D_001,C15010D_002,C15010D_003,C15010D_004,C15010D_005,C15010D_006,C15010E_001,C15010E_002,C15010E_003,C15010E_004,C15010E_005,C15010E_006,C15010F_001,C15010F_002,C15010F_003,C15010F_004,C15010F_005,C15010F_006,C15010G_001,C15010G_002,C15010G_003,C15010G_004,C15010G_005,C15010G_006,C15010H_001,C15010H_002,C15010H_003,C15010H_004,C15010H_005,C15010H_006,C15010I_001,C15010I_002,C15010I_003,C15010I_004,C15010I_005,C15010I_006
40,AR,05,,,,,04000US05,Arkansas,2261238,1095163,146603,2954,19820,53573,56072,5750,8072,362,192582,6605,18114,68587,47728,12055,29095,10398,182400,9023,16753,65916,39079,11134,26617,13878,367927,18850,37998,141613,77873,19504,46152,25937,205651,20155,21634,69115,42512,7101,25532,19602,1166075,141044,1603,15211,40376,63709,7494,11838,813,192734,4919,14505,50788,52068,18490,35510,16454,184623,7484,12873,50642,44645,17996,32300,18683,388338,14583,31392,134137,90069,31505,56033,30619,259336,24678,32662,103088,52053,9219,22318,15318,1973591,948560,11271,6501,12911,23950,20709,25367,31382,17041,345231,60746,146446,49794,127396,43277,15084,11454,1025031,11739,5939,11113,22873,19168,26146,30758,15360,338655,74163,164672,77210,146161,64778,9433,6863,1973591,23010,236,424,557,1923,5212,4088,5655,18369,12863,33960,39877,51513,62140,32401,561132,122754,134909,311118,127004,273557,108055,24517,18317,1594218,771651,109290,278176,213134,171051,822567,103358,277790,252322,189097,275442,125505,24115,53545,33410,14435,149937,26271,47234,50952,25480,12426,6048,1228,2272,1652,896,6378,1033,2041,2362,942,26787,12071,1371,1966,1934,6800,14716,2276,2958,2742,6740,3295,1755,424,916,368,47,1540,558,609,282,91,33267,17994,10570,4258,2232,934,15273,7648,3487,2673,1465,28156,13536,2134,4098,4256,3048,14620,1952,4536,4712,3420,1530658,738708,94742,268503,207350,168113,791950,90935,268974,246472,185569,100768,53395,26066,14948,8431,3950,47373,20467,12872,9075,4959,424446,197211,60167,24551,3609,15010,3673,13324,91910,33904,6247,25817,9423,16519,45134,18298,2245,11230,7177,6184,227235,78061,18754,12691,14219,14959,17438,111538,19548,16626,20740,34266,20358,37636,4496,3981,3330,18827,7002,452978,18097,33925,14458,17330,24879,20279,2262,49049,92984,90924,15017,21132,12128,15993,24521,424446,119551,45399,90346,88325,80825,360148,99237,38623,77267,75647,69374,39915,9468,4049,8574,9472,8352,1838,474,241,310,434,379,13540,6957,1830,2458,1007,1288,138,0,0,35,53,50,2399,975,209,484,374,357,6468,2440,447,1218,1338,1025,353682,96931,38217,75553,74828,68153,8909,3128,640,2170,1250,1721
40,AR,05,,,,,04001US05,Arkansas -- Urban,1263823,597239,95447,1800,10862,31430,40559,3993,6513,290,122316,4628,10922,37921,31180,7554,21639,8472,103516,5976,8861,32366,22232,6069,17846,10166,181788,9833,16680,60402,39155,10562,27862,17294,94172,7846,7869,28027,19626,3256,15289,12259,666584,96512,1056,9083,25273,46407,4621,9375,697,124524,3644,9621,29498,33269,10943,24735,12814,107453,5323,7540,26368,25543,9619,20980,12080,202219,8414,15947,61924,47891,15922,33649,18472,135876,12603,15066,50603,28532,5331,14059,9682,1071864,501792,6158,3968,8344,9813,10278,11141,14475,8438,158716,30481,81712,27441,82636,29235,10607,8349,570072,6898,4188,7239,11659,10109,13512,16137,8416,168393,39868,95367,41815,93423,41509,6530,5009,1071864,13056,101,245,400,1387,3216,2807,3227,12356,6341,15131,20387,24653,30612,16854,270129,56980,70349,177079,69256,176059,70744,17137,13358,789285,373000,44766,112060,106291,109883,416285,48173,124468,127315,116329,210393,92939,16578,38065,26663,11633,117454,20143,35136,41573,20602,6371,3061,562,1096,867,536,3310,642,941,1201,526,22001,10312,1036,1679,1605,5992,11689,1746,2330,2067,5546,3057,1608,415,848,299,46,1449,546,596,235,72,25233,13487,8145,3032,1577,733,11746,5988,2569,2027,1162,15524,7385,1113,1936,2332,2004,8139,920,2353,2632,2234,739568,347284,33115,104624,101932,107613,392284,37979,117670,122901,113734,77716,40949,20421,11180,6269,3079,36767,16534,9713,6820,3700,277298,130827,45072,18461,2664,11374,2518,10055,58207,21163,3872,17308,5084,10780,27548,11034,1378,7407,4019,3710,146471,55152,13737,8509,10253,9241,13412,67578,12277,9495,13145,19096,13565,23741,2811,2348,1987,11835,4760,296046,12775,20332,9210,11999,17335,14079,1579,30790,63247,53165,10679,13501,8898,12259,16198,277298,79483,28266,61474,51793,56282,226212,62889,22822,50631,42708,47162,32235,7507,3345,7286,7263,6834,1062,233,143,181,307,198,11538,6354,1447,2106,609,1022,118,0,0,35,34,49,1895,764,192,394,253,292,4238,1736,317,841,619,725,221347,61281,22510,49294,42075,46187,6779,2213,529,1700,965,1372
40,AR,05,,,,,04043US05,Arkansas -- Rural,997415,497924,51156,1154,8958,22143,15513,1757,1559,72,70266,1977,7192,30666,16548,4501,7456,1926,78884,3047,7892,33550,16847,5065,8771,3712,186139,9017,21318,81211,38718,8942,18290,8643,111479,12309,13765,41088,22886,3845,10243,7343,499491,44532,547,6128,15103,17302,2873,2463,116,68210,1275,4884,21290,18799,7547,10775,3640,77170,2161,5333,24274,19102,8377,11320,6603,186119,6169,15445,72213,42178,15583,22384,12147,123460,12075,17596,52485,23521,3888,8259,5636,901727,446768,5113,2533,4567,14137,10431,14226,16907,8603,186515,30265,64734,22353,44760,14042,4477,3105,454959,4841,1751,3874,11214,9059,12634,14621,6944,170262,34295,69305,35395,52738,23269,2903,1854,901727,9954,135,179,157,536,1996,1281,2428,6013,6522,18829,19490,26860,31528,15547,291003,65774,64560,134039,57748,97498,37311,7380,4959,804933,398651,64524,166116,106843,61168,406282,55185,153322,125007,72768,65049,32566,7537,15480,6747,2802,32483,6128,12098,9379,4878,6055,2987,666,1176,785,360,3068,391,1100,1161,416,4786,1759,335,287,329,808,3027,530,628,675,1194,238,147,9,68,69,1,91,12,13,47,19,8034,4507,2425,1226,655,201,3527,1660,918,646,303,12632,6151,1021,2162,1924,1044,6481,1032,2183,2080,1186,791090,391424,61627,163879,105418,60500,399666,52956,151304,123571,71835,23052,12446,5645,3768,2162,871,10606,3933,3159,2255,1259,147148,66384,15095,6090,945,3636,1155,3269,33703,12741,2375,8509,4339,5739,17586,7264,867,3823,3158,2474,80764,22909,5017,4182,3966,5718,4026,43960,7271,7131,7595,15170,6793,13895,1685,1633,1343,6992,2242,156932,5322,13593,5248,5331,7544,6200,683,18259,29737,37759,4338,7631,3230,3734,8323,147148,40068,17133,28872,36532,24543,133936,36348,15801,26636,32939,22212,7680,1961,704,1288,2209,1518,776,241,98,129,127,181,2002,603,383,352,398,266,20,0,0,0,19,1,504,211,17,90,121,65,2230,704,130,377,719,300,132335,35650,15707,26259,32753,21966,2130,915,111,470,285,349
40,AR,05,,,,,040A0US05,Arkansas -- In metropolitan or micropolitan statistical area,1839362,889324,123495,2246,15386,43550,49423,5047,7524,319,163930,5540,14715,55413,41498,10318,26627,9819,151547,7404,13009,52498,32727,9311,23864,12734,294178,14193,27614,109242,63265,16478,40188,23198,156174,13768,15318,51188,32695,5393,21264,16548,950038,120169,1211,12576,33070,55381,6195,10969,767,164049,4073,11729,41484,44293,15029,32059,15382,153501,5967,10357,40706,36509,14829,28661,16472,312532,11265,24390,103762,72967,25553,48308,26287,199787,17820,23826,77862,41302,7315,18671,12991,1595698,765829,8667,5164,10600,16474,15442,18250,23566,13398,268341,48950,121235,41500,111943,38190,13702,10407,829869,9320,4725,8672,16408,14854,20413,22826,12209,263814,59955,135116,62726,127699,56184,8604,6344,1595698,17987,166,395,459,1562,4098,3209,4487,14785,9371,23511,30296,38663,46392,25607,437681,94474,108905,256351,104226,239642,94374,22306,16751,1271546,615055,79669,212533,172857,149996,656491,77439,213548,201731,163773,234754,106589,18807,44602,29904,13276,128165,21016,38723,45020,23406,10057,4885,964,1747,1429,745,5172,805,1631,1996,740,25083,11487,1162,1823,1784,6718,13596,2068,2678,2421,6429,3222,1717,399,906,365,47,1505,527,609,278,91,27881,15026,8839,3466,1868,853,12855,6055,3013,2481,1306,23155,11070,1721,3264,3478,2607,12085,1517,3612,3870,3086,1216000,586186,67156,203795,167931,147304,629814,66522,206013,196734,160545,86571,45970,22122,13022,7190,3636,40601,17323,10939,7900,4439,373073,174242,55174,22329,3375,14217,3123,12130,81256,29865,5619,23354,7534,14884,37812,15209,1927,9753,5605,5318,198831,70509,17303,11257,13123,12768,16058,96660,17328,14232,18587,28364,18149,31662,3773,3232,2889,15546,6222,398195,16370,28815,12749,15684,22444,18026,2121,42884,84319,75159,13438,18607,10887,14823,21869,373073,105807,39642,81923,72940,72761,313769,86832,33307,69660,61672,62298,36682,8657,3695,8036,8574,7720,1485,331,230,269,408,247,13147,6860,1778,2389,899,1221,138,0,0,35,53,50,2159,957,209,404,314,275,5693,2170,423,1130,1020,950,307849,84830,32934,68016,60892,61177,8075,2778,607,2010,1144,1536
40,AR,05,,,,,040C0US05,Arkansas -- In metropolitan statistical area,1375566,664549,92473,1852,11311,33044,36029,3727,6228,282,127300,4213,11021,41461,32212,7840,22284,8269,116602,5683,9198,37946,25399,6796,20432,11148,217597,10532,18911,77071,46896,12435,32539,19213,110577,8752,9412,34211,24351,3917,16760,13174,711017,89629,919,9305,25123,40078,4491,9035,678,128375,3104,9022,31176,34184,11212,26641,13036,118324,4951,7626,30530,27381,10562,23869,13405,232059,8403,17013,73861,54303,18804,38660,21015,142630,11438,15093,54622,31286,5426,14673,10092,1193464,572076,6131,3860,8130,11059,10447,12046,16594,9455,190689,35993,92865,30988,92015,31054,12063,8687,621388,6855,3281,6737,11023,10102,13570,15939,9143,190189,43986,103168,46004,103843,44975,7368,5205,1193464,12986,111,301,355,1102,2995,2277,3462,11405,6183,15899,20549,25616,32533,18598,314526,66352,79979,196033,76992,195858,76029,19431,13892,943804,455994,53677,149694,129796,122827,487810,53557,153084,149791,131378,173988,78666,13084,32011,22729,10842,95322,13688,27569,34242,19823,8307,4178,786,1522,1211,659,4129,646,1302,1534,647,22856,10654,1035,1611,1668,6340,12202,1914,2315,2122,5851,3069,1632,397,892,297,46,1437,527,579,240,91,22869,12208,7413,2514,1471,810,10661,5198,2523,1955,985,18571,8744,1330,2445,2674,2295,9827,1120,2817,3274,2616,896935,431616,43453,142066,125727,120370,465319,44272,146510,145956,128581,72534,38470,18383,10894,5861,3332,34064,14812,9468,6127,3657,305210,143819,46906,19230,2804,12276,2443,10153,66979,24839,4581,19512,5595,12452,29934,12554,1475,7982,3883,4040,161391,58893,15019,9175,11407,9476,13816,77733,14607,11602,15376,21002,15146,24765,2983,2510,2240,11995,5037,325441,14227,23549,10606,12902,19359,15173,1812,34787,70747,56038,11407,14982,9020,12875,17957,305210,89232,32147,68793,54394,60644,254205,72214,26510,57925,45686,51870,30665,7465,3256,7031,6574,6339,1306,278,219,215,376,218,12191,6513,1615,2228,772,1063,137,0,0,35,53,49,1795,847,159,376,179,234,4911,1915,388,983,754,871,248951,70513,26181,56424,45011,50822,6989,2337,513,1827,912,1400
40,AR,05,,,,,040C1US05,Arkansas -- In metropolitan statistical area -- in principal city,625213,299325,50963,1128,5051,14997,22724,2010,4834,219,65640,2739,5622,17217,16176,4197,13846,5843,53532,3526,4023,14729,10862,2767,10888,6737,88652,5250,7179,25595,18583,4537,16264,11244,40538,3161,2709,10224,8479,1254,7716,6995,325888,51921,472,4376,12955,24962,2304,6351,501,64941,2089,5071,14006,16589,4680,14330,8176,54059,3178,3400,12178,11212,4138,12220,7733,97527,4451,6678,26081,22597,6997,19594,11129,57440,4563,5010,20142,12552,2254,7562,5357,522329,248362,3055,2276,5199,4146,4708,4773,6429,3623,67765,13311,40789,12755,48714,17493,7709,5617,273967,3496,1831,4021,4933,4709,4868,6771,3811,72407,17022,45928,18069,53706,24795,4425,3175,522329,6551,38,163,222,539,1741,1404,1898,7322,3012,6067,9417,9641,13200,7434,116987,23185,30333,86717,30824,102420,42288,12134,8792,363117,175206,19212,43269,47400,65325,187911,19479,49259,52990,66183,112412,49474,7271,19555,15360,7288,62938,8699,17632,23376,13231,3120,1610,304,579,447,280,1510,277,460,479,294,16015,7887,812,1040,1130,4905,8128,1017,1467,1333,4311,2579,1337,355,668,268,46,1242,500,496,205,41,16385,8605,5657,1555,888,505,7780,4084,1739,1215,742,8701,4243,598,1099,1362,1184,4458,384,1354,1421,1299,331771,158523,11775,38251,44911,63586,173248,13225,45012,50660,64351,49535,26435,13557,7062,3526,2290,23100,10632,6229,3792,2447,165634,79533,28722,12030,1794,7448,1291,6159,36100,13589,2287,10470,2822,6932,14711,6009,690,4234,1814,1964,86101,32788,9074,4785,6561,4283,8085,40394,8030,5597,7765,10151,8851,12919,1610,1217,1035,6057,3000,177412,8047,12863,5648,7422,11445,8903,1077,18077,38649,27075,7190,7884,5820,8187,9125,165634,50342,16370,37513,26418,34991,131508,38135,12699,30499,20977,29198,20519,5286,2106,4625,4256,4246,574,136,81,105,152,100,9216,5242,1153,1666,450,705,87,0,0,32,27,28,1247,543,124,200,166,214,2483,1000,207,386,390,500,127937,36980,12530,29471,20555,28401,4737,1576,287,1248,581,1045
40,AR,05,,,,,040C2US05,Arkansas -- In metropolitan statistical area -- not in principal city,750353,365224,41510,724,6260,18047,13305,1717,1394,63,61660,1474,5399,24244,16036,3643,8438,2426,63070,2157,5175,23217,14537,4029,9544,4411,128945,5282,11732,51476,28313,7898,16275,7969,70039,5591,6703,23987,15872,2663,9044,6179,385129,37708,447,4929,12168,15116,2187,2684,177,63434,1015,3951,17170,17595,6532,12311,4860,64265,1773,4226,18352,16169,6424,11649,5672,134532,3952,10335,47780,31706,11807,19066,9886,85190,6875,10083,34480,18734,3172,7111,4735,671135,323714,3076,1584,2931,6913,5739,7273,10165,5832,122924,22682,52076,18233,43301,13561,4354,3070,347421,3359,1450,2716,6090,5393,8702,9168,5332,117782,26964,57240,27935,50137,20180,2943,2030,671135,6435,73,138,133,563,1254,873,1564,4083,3171,9832,11132,15975,19333,11164,197539,43167,49646,109316,46168,93438,33741,7297,5100,580687,280788,34465,106425,82396,57502,299899,34078,103825,96801,65195,61576,29192,5813,12456,7369,3554,32384,4989,9937,10866,6592,5187,2568,482,943,764,379,2619,369,842,1055,353,6841,2767,223,571,538,1435,4074,897,848,789,1540,490,295,42,224,29,0,195,27,83,35,50,6484,3603,1756,959,583,305,2881,1114,784,740,243,9870,4501,732,1346,1312,1111,5369,736,1463,1853,1317,565164,273093,31678,103815,80816,56784,292071,31047,101498,95296,64230,22999,12035,4826,3832,2335,1042,10964,4180,3239,2335,1210,139576,64286,18184,7200,1010,4828,1152,3994,30879,11250,2294,9042,2773,5520,15223,6545,785,3748,2069,2076,75290,26105,5945,4390,4846,5193,5731,37339,6577,6005,7611,10851,6295,11846,1373,1293,1205,5938,2037,148029,6180,10686,4958,5480,7914,6270,735,16710,32098,28963,4217,7098,3200,4688,8832,139576,38890,15777,31280,27976,25653,122697,34079,13811,27426,24709,22672,10146,2179,1150,2406,2318,2093,732,142,138,110,224,118,2975,1271,462,562,322,358,50,0,0,3,26,21,548,304,35,176,13,20,2428,915,181,597,364,371,121014,33533,13651,26953,24456,22421,2252,761,226,579,331,355
40,AR,05,,,,,040E0US05,Arkansas -- In micropolitan statistical area,463796,224775,31022,394,4075,10506,13394,1320,1296,37,36630,1327,3694,13952,9286,2478,4343,1550,34945,1721,3811,14552,7328,2515,3432,1586,76581,3661,8703,32171,16369,4043,7649,3985,45597,5016,5906,16977,8344,1476,4504,3374,239021,30540,292,3271,7947,15303,1704,1934,89,35674,969,2707,10308,10109,3817,5418,2346,35177,1016,2731,10176,9128,4267,4792,3067,80473,2862,7377,29901,18664,6749,9648,5272,57157,6382,8733,23240,10016,1889,3998,2899,402234,193753,2536,1304,2470,5415,4995,6204,6972,3943,77652,12957,28370,10512,19928,7136,1639,1720,208481,2465,1444,1935,5385,4752,6843,6887,3066,73625,15969,31948,16722,23856,11209,1236,1139,402234,5001,55,94,104,460,1103,932,1025,3380,3188,7612,9747,13047,13859,7009,123155,28122,28926,60318,27234,43784,18345,2875,2859,327742,159061,25992,62839,43061,27169,168681,23882,60464,51940,32395,60766,27923,5723,12591,7175,2434,32843,7328,11154,10778,3583,1750,707,178,225,218,86,1043,159,329,462,93,2227,833,127,212,116,378,1394,154,363,299,578,153,85,2,14,68,1,68,0,30,38,0,5012,2818,1426,952,397,43,2194,857,490,526,321,4584,2326,391,819,804,312,2258,397,795,596,470,319065,154570,23703,61729,42204,26934,164495,22250,59503,50778,31964,14037,7500,3739,2128,1329,304,6537,2511,1471,1773,782,67863,30423,8268,3099,571,1941,680,1977,14277,5026,1038,3842,1939,2432,7878,2655,452,1771,1722,1278,37440,11616,2284,2082,1716,3292,2242,18927,2721,2630,3211,7362,3003,6897,790,722,649,3551,1185,72754,2143,5266,2143,2782,3085,2853,309,8097,13572,19121,2031,3625,1867,1948,3912,67863,16575,7495,13130,18546,12117,59564,14618,6797,11735,15986,10428,6017,1192,439,1005,2000,1381,179,53,11,54,32,29,956,347,163,161,127,158,1,0,0,0,0,1,364,110,50,28,135,41,782,255,35,147,266,79,58898,14317,6753,11592,15881,10355,1086,441,94,183,232,136
40,AR,05,,,,,040E1US05,Arkansas -- In micropolitan statistical area -- in principal city,176377,83803,16011,149,1542,4065,8564,865,805,21,16387,698,1710,5457,4416,1139,2184,783,13020,779,1634,4677,2690,866,1480,894,24373,1318,2502,9163,5280,1401,2947,1762,14012,1362,1576,4575,2499,471,2056,1473,92574,17081,148,1367,3621,9986,881,1037,41,15196,506,1426,3910,4324,1650,2079,1301,12464,416,1048,2893,3347,1590,1933,1237,26542,1047,2579,8882,6180,2383,3441,2030,21291,2570,3155,7879,4063,689,1664,1271,143285,67792,942,385,1224,1606,1589,1950,2392,1491,23872,4757,10128,3877,8667,3029,1024,859,75493,1064,830,776,1869,1819,2555,2628,1206,23564,5813,12101,6312,9117,4605,620,614,143285,2006,5,56,35,212,400,507,326,1674,1158,2317,3408,4505,5020,2697,37502,9934,10570,22229,10189,17784,7634,1644,1473,101847,48298,7227,15362,14020,11689,53549,7525,17110,16587,12327,35908,16566,3396,7464,4239,1467,19342,4486,5864,6910,2082,709,263,101,122,16,24,446,117,163,155,11,1160,476,46,178,21,231,684,83,94,168,339,49,29,0,14,15,0,20,0,20,0,0,2170,1291,723,398,163,7,879,398,143,254,84,1442,869,86,334,288,161,573,138,170,152,113,96919,45696,5637,14885,13527,11647,51223,6402,16691,15876,12254,7153,3953,2300,892,693,68,3200,1508,566,934,192,28535,13579,4097,1407,208,1202,298,982,5953,2007,441,1858,647,1000,3529,1031,182,888,824,604,14956,5011,954,870,814,1321,1052,7010,1054,935,1209,2547,1265,2935,329,287,218,1467,634,30510,847,1814,1002,1145,1276,1328,137,3160,6354,7386,1080,1584,693,996,1708,28535,6782,2923,6189,7104,5537,24016,5735,2521,5272,5807,4681,3549,650,268,698,1189,744,35,15,9,0,11,0,570,232,90,138,56,54,0,0,0,0,0,0,91,22,0,17,16,36,274,128,35,64,25,22,23901,5672,2521,5240,5793,4675,260,108,0,49,39,64
40,AR,05,,,,,040E2US05,Arkansas -- In micropolitan statistical area -- not in principal city,287419,140972,15011,245,2533,6441,4830,455,491,16,20243,629,1984,8495,4870,1339,2159,767,21925,942,2177,9875,4638,1649,1952,692,52208,2343,6201,23008,11089,2642,4702,2223,31585,3654,4330,12402,5845,1005,2448,1901,146447,13459,144,1904,4326,5317,823,897,48,20478,463,1281,6398,5785,2167,3339,1045,22713,600,1683,7283,5781,2677,2859,1830,53931,1815,4798,21019,12484,4366,6207,3242,35866,3812,5578,15361,5953,1200,2334,1628,258949,125961,1594,919,1246,3809,3406,4254,4580,2452,53780,8200,18242,6635,11261,4107,615,861,132988,1401,614,1159,3516,2933,4288,4259,1860,50061,10156,19847,10410,14739,6604,616,525,258949,2995,50,38,69,248,703,425,699,1706,2030,5295,6339,8542,8839,4312,85653,18188,18356,38089,17045,26000,10711,1231,1386,225895,110763,18765,47477,29041,15480,115132,16357,43354,35353,20068,24858,11357,2327,5127,2936,967,13501,2842,5290,3868,1501,1041,444,77,103,202,62,597,42,166,307,82,1067,357,81,34,95,147,710,71,269,131,239,104,56,2,0,53,1,48,0,10,38,0,2842,1527,703,554,234,36,1315,459,347,272,237,3142,1457,305,485,516,151,1685,259,625,444,357,222146,108874,18066,46844,28677,15287,113272,15848,42812,34902,19710,6884,3547,1439,1236,636,236,3337,1003,905,839,590,39328,16844,4171,1692,363,739,382,995,8324,3019,597,1984,1292,1432,4349,1624,270,883,898,674,22484,6605,1330,1212,902,1971,1190,11917,1667,1695,2002,4815,1738,3962,461,435,431,2084,551,42244,1296,3452,1141,1637,1809,1525,172,4937,7218,11735,951,2041,1174,952,2204,39328,9793,4572,6941,11442,6580,35548,8883,4276,6463,10179,5747,2468,542,171,307,811,637,144,38,2,54,21,29,386,115,73,23,71,104,1,0,0,0,0,1,273,88,50,11,119,5,508,127,0,83,241,57,34997,8645,4232,6352,10088,5680,826,333,94,134,193,72
