SummaryLevel,State,StateFIPS,CountyFIPS,PlaceFIPS,CBSACode,CongressDistrict,GEOID,AreaName,B15001_001,B15001_002,B15001_003,B15001_004,B15001_005,B15001_006,B15001_007,B15001_008,B15001_009,B15001_010,B15001_011,B15001_012,B15001_013,B15001_014,B15001_015,B15001_016,B15001_017,B15001_018,B15001_019,B15001_020,B15001_021,B15001_022,B15001_023,B15001_024,B15001_025,B15001_026,B15001_027,B15001_028,B15001_029,B15001_030,B15001_031,B15001_032,B15001_033,B15001_034,B15001_035,B15001_036,B15001_037,B15001_038,B15001_039,B15001_040,B15001_041,B15001_042,B15001_043,B15001_044,B15001_045,B15001_046,B15001_047,B15001_048,B15001_049,B15001_050,B15001_051,B15001_052,B15001_053,B15001_054,B15001_055,B15001_056,B15001_057,B15001_058,B15001_059,B15001_060,B15001_061,B15001_062,B15001_063,B15001_064,B15001_065,B15001_066,B15001_067,B15001_068,B15001_069,B15001_070,B15001_071,B15001_072,B15001_073,B15001_074,B15001_075,B15001_076,B15001_077,B15001_078,B15001_079,B15001_080,B15001_081,B15001_082,B15001_083,B15002_001,B15002_002,B15002_003,B15002_004,B15002_005,B15002_006,B15002_007,B15002_008,B15002_009,B15002_010,B15002_011,B15002_012,B15002_013,B15002_014,B15002_015,B15002_016,B15002_017,B15002_018,B15002_019,B15002_020,B15002_021,B15002_022,B15002_023,B15002_024,B15002_025,B15002_026,B15002_027,B15002_028,B15002_029,B15002_030,B15002_031,B15002_032,B15002_033,B15002_034,B15002_035,B15003_001,B15003_002,B15003_003,B15003_004,B15003_005,B15003_006,B15003_007,B15003_008,B15003_009,B15003_010,B15003_011,B15003_012,B15003_013,B15003_014,B15003_015,B15003_016,B15003_017,B15003_018,B15003_019,B15003_020,B15003_021,B15003_022,B15003_023,B15003_024,B15003_025,C15002A_001,C15002A_002,C15002A_003,C15002A_004,C15002A_005,C15002A_006,C15002A_007,C15002A_008,C15002A_009,C15002A_010,C15002A_011,C15002B_001,C15002B_002,C15002B_003,C15002B_004,C15002B_005,C15002B_006,C15002B_007,C15002B_008,C15002B_009,C15002B_010,C15002B_011,C15002C_001,C15002C_002,C15002C_003,C15002C_004,C15002C_005,C15002C_006,C15002C_007,C15002C_008,C15002C_009,C15002C_010,C15002C_011,C15002D_001,C15002D_002,C15002D_003,C15002D_004,C15002D_005,C15002D_006,C15002D_007,C15002D_008,C15002D_009,C15002D_010,C15002D_011,C15002E_001,C15002E_002,C15002E_003,C15002E_004,C15002E_005,C15002E_006,C15002E_007,C15002E_008,C15002E_009,C15002E_010,C15002E_011,C15002F_001,C15002F_002,C15002F_003,C15002F_004,C15002F_005,C15002F_006,C15002F_007,C15002F_008,C15002F_009,C15002F_010,C15002F_011,C15002G_001,C15002G_002,C15002G_003,C15002G_004,C15002G_005,C15002G_006,C15002G_007,C15002G_008,C15002G_009,C15002G_010,C15002G_011,C15002H_001,C15002H_002,C15002H_003,C15002H_004,C15002H_005,C15002H_006,C15002H_007,C15002H_008,C15002H_009,C15002H_010,C15002H_011,C15002I_001,C15002I_002,C15002I_003,C15002I_004,C15002I_005,C15002I_006,C15002I_007,C15002I_008,C15002I_009,C15002I_010,C15002I_011,B15011_001,B15011_002,B15011_003,B15011_004,B15011_005,B15011_006,B15011_007,B15011_008,B15011_009,B15011_010,B15011_011,B15011_012,B15011_013,B15011_014,B15011_015,B15011_016,B15011_017,B15011_018,B15011_019,B15011_020,B15011_021,B15011_022,B15011_023,B15011_024,B15011_025,B15011_026,B15011_027,B15011_028,B15011_029,B15011_030,B15011_031,B15011_032,B15011_033,B15011_034,B15011_035,B15011_036,B15011_037,B15011_038,B15011_039,B15012_001,B15012_002,B15012_003,B15012_004,B15012_005,B15012_006,B15012_007,B15012_008,B15012_009,B15012_010,B15012_011,B15012_012,B15012_013,B15012_014,B15012_015,B15012_016,C15010_001,C15010_002,C15010_003,C15010_004,C15010_005,C15010_006,C15010A_001,C15010A_002,C15010A_003,C15010A_004,C15010A_005,C15010A_006,C15010B_001,C15010B_002,C15010B_003,C15010B_004,C15010B_005,C15010B_006,C15010C_001,C15010C_002,C15010C_003,C15010C_004,C15010C_005,C15010C_006,C15010D_001,C15010D_002,C15010D_003,C15010D_004,C15010D_005,C15010D_006,C15010E_001,C15010E_002,C15010E_003,C15010E_004,C15010E_005,C15010E_006,C15010F_001,C15010F_002,C15010F_003,C15010F_004,C15010F_005,C15010F_006,C15010G_001,C15010G_002,C15010G_003,C15010G_004,C15010G_005,C15010G_006,C15010H_001,C15010H_002,C15010H_003,C15010H_004,C15010H_005,C15010H_006,C15010I_001,C15010I_002,C15010I_003,C15010I_004,C15010I_005,C15010I_006
40,AZ,04,,,,,04000US04,Arizona,5108959,2517759,346529,7760,58088,117931,127874,14246,19287,1343,463765,21133,49902,122031,124063,38478,79459,28699,421711,29957,38247,98705,101662,35951,74533,42656,793729,49866,58914,196389,195961,66507,138048,88044,492025,32874,29431,111092,119517,32189,90160,76762,2591200,321795,5227,41976,91367,135959,18468,26799,1999,435946,16256,34191,91903,118422,45075,91715,38384,414008,25244,32960,83395,103024,39200,83316,46869,841325,50482,54702,199124,219425,83605,145516,88471,578126,45022,42062,175719,148328,38202,74934,53859,4440635,2171230,29473,19043,42209,43105,37147,41490,51517,46340,528217,153028,388175,173125,382200,155906,47520,32735,2269405,33065,17643,43064,43232,35493,39244,45985,43193,550141,180222,408977,206082,395481,177320,29467,20796,4440635,62538,527,935,4290,6813,13882,10239,14063,71210,17154,69183,72640,80734,97502,89533,898657,179701,333250,797152,379207,777681,333226,76987,53531,3606906,1761889,216754,420048,592510,532577,1845017,207159,452373,657338,528147,173148,90054,11124,23304,35684,19942,83094,8941,17947,36437,19769,166922,79335,19342,29831,23360,6802,87587,20011,25178,32359,10039,141272,63289,6068,7130,13217,36874,77983,11518,11714,16012,38739,8197,4374,608,1330,1793,643,3823,283,1372,1465,703,257938,129335,51009,36340,31199,10787,128603,47839,33476,34381,12907,86252,42954,5419,10234,16565,10736,43298,5168,8081,17289,12760,2830403,1380585,87306,312679,492710,487890,1449818,84734,345164,544203,475717,1083869,535969,187161,150498,139667,58643,547900,175839,146324,156386,69351,1241425,618361,165554,72555,10302,38786,6816,37095,285885,119049,18131,75521,19589,53595,166922,72879,8553,40751,19221,25518,623064,194859,57306,23147,34295,30024,50087,299412,69431,41323,62936,59119,66603,128793,20878,16871,12642,49646,28756,1328349,55894,73954,41781,63117,92859,108654,10044,126703,275207,191389,50549,58076,47982,51406,80734,1241425,412098,118327,264931,184415,261654,1060724,339452,99000,227752,164939,229581,39711,12591,3748,9968,5013,8391,16841,5275,1571,2709,3710,3576,75613,37768,9847,14284,4547,9167,1346,431,97,357,288,173,23694,7378,2133,5210,3599,5374,23496,9203,1931,4651,2319,5392,963607,309197,90462,204023,150206,209719,127994,39861,11292,30316,19274,27251
40,AZ,04,,,,,04001US04,Arizona -- Urban,4565187,2225146,314739,6339,49868,105849,119321,13366,18685,1311,418533,17839,41513,106043,113314,35838,76370,27616,376248,26566,32841,84135,88859,32571,70371,40905,694858,44262,49534,166144,169218,58476,126144,81080,420768,27081,24702,95164,101079,27090,78588,67064,2340041,298612,4854,37752,83450,127036,17529,26005,1986,405602,15051,30935,83731,109346,41889,87535,37115,381151,23876,30077,75034,93495,35949,78364,44356,745814,45854,47305,173798,192829,73629,131821,80578,508862,38297,37223,156287,129518,33439,66711,47387,3951836,1910407,26023,16979,37216,35530,31434,33456,42060,41640,451486,134449,338021,153975,351473,143082,43813,29770,2041429,29187,15997,39956,37938,31868,34295,39612,39765,488850,162986,362202,184906,364431,163168,27291,18977,3951836,55210,492,813,3892,5992,12610,9177,12006,65166,14173,59295,63302,67751,81672,81405,787753,152583,297435,700223,338881,715904,306250,71104,48747,3235973,1563539,188358,366167,521899,487115,1672434,189308,407467,590245,485414,163324,82693,9775,21003,32799,19116,80631,8826,17326,35361,19118,90658,42046,8238,14529,14169,5110,48612,8940,12942,19694,7036,135621,60766,5759,6689,12587,35731,74855,11114,11217,15189,37335,7280,3653,420,1047,1556,630,3627,213,1328,1413,673,241158,119365,47089,32959,28888,10429,121793,45493,31443,32443,12414,77822,38345,4699,9092,14547,10007,39477,4724,7127,15749,11877,2519311,1218176,72818,269379,431271,444708,1301135,73848,306820,484608,435859,1002900,487554,168579,135908,127186,55881,515346,166079,137222,146353,65692,1142005,568138,158623,69403,9912,37261,6284,35763,263863,109539,16568,70858,17639,49259,145652,63046,7514,35886,16976,22230,573867,185935,54996,22117,32827,28004,47991,273834,63344,37778,58420,52968,61324,114098,18646,14743,11132,44478,25099,1222359,52742,66229,37747,58724,85891,99963,9333,116415,255875,172705,46668,52563,43742,49143,74619,1142005,378974,108632,246384,166349,241666,972529,310060,90581,211238,149123,211527,38234,11996,3554,9666,4886,8132,12146,4031,1102,2012,2115,2886,73066,36709,9482,13712,4335,8828,1303,398,97,357,284,167,22843,7153,2057,5073,3453,5107,21884,8627,1759,4326,2153,5019,880567,281250,82416,188498,135747,192656,121573,38127,10822,29034,17677,25913
40,AZ,04,,,,,04043US04,Arizona -- Rural,543772,292613,31790,1421,8220,12082,8553,880,602,32,45232,3294,8389,15988,10749,2640,3089,1083,45463,3391,5406,14570,12803,3380,4162,1751,98871,5604,9380,30245,26743,8031,11904,6964,71257,5793,4729,15928,18438,5099,11572,9698,251159,23183,373,4224,7917,8923,939,794,13,30344,1205,3256,8172,9076,3186,4180,1269,32857,1368,2883,8361,9529,3251,4952,2513,95511,4628,7397,25326,26596,9976,13695,7893,69264,6725,4839,19432,18810,4763,8223,6472,488799,260823,3450,2064,4993,7575,5713,8034,9457,4700,76731,18579,50154,19150,30727,12824,3707,2965,227976,3878,1646,3108,5294,3625,4949,6373,3428,61291,17236,46775,21176,31050,14152,2176,1819,488799,7328,35,122,398,821,1272,1062,2057,6044,2981,9888,9338,12983,15830,8128,110904,27118,35815,96929,40326,61777,26976,5883,4784,370933,198350,28396,53881,70611,45462,172583,17851,44906,67093,42733,9824,7361,1349,2301,2885,826,2463,115,621,1076,651,76264,37289,11104,15302,9191,1692,38975,11071,12236,12665,3003,5651,2523,309,441,630,1143,3128,404,497,823,1404,917,721,188,283,237,13,196,70,44,52,30,16780,9970,3920,3381,2311,358,6810,2346,2033,1938,493,8430,4609,720,1142,2018,729,3821,444,954,1540,883,311092,162409,14488,43300,61439,43182,148683,10886,38344,59595,39858,80969,48415,18582,14590,12481,2762,32554,9760,9102,10033,3659,99420,50223,6931,3152,390,1525,532,1332,22022,9510,1563,4663,1950,4336,21270,9833,1039,4865,2245,3288,49197,8924,2310,1030,1468,2020,2096,25578,6087,3545,4516,6151,5279,14695,2232,2128,1510,5168,3657,105990,3152,7725,4034,4393,6968,8691,711,10288,19332,18684,3881,5513,4240,2263,6115,99420,33124,9695,18547,18066,19988,88195,29392,8419,16514,15816,18054,1477,595,194,302,127,259,4695,1244,469,697,1595,690,2547,1059,365,572,212,339,43,33,0,0,4,6,851,225,76,137,146,267,1612,576,172,325,166,373,83040,27947,8046,15525,14459,17063,6421,1734,470,1282,1597,1338
40,AZ,04,,,,,040A0US04,Arizona -- In metropolitan or micropolitan statistical area,5034402,2480646,341568,7713,56703,115807,126725,14045,19232,1343,457702,20859,49137,119640,122203,38177,79070,28616,416459,29582,37534,96533,100422,35641,74236,42511,781638,48832,57167,191967,193138,65804,137202,87528,483279,31261,28643,108009,117695,31747,89638,76286,2553756,316997,5184,40861,89851,133998,18348,26770,1985,430492,15994,33716,90135,116592,44496,91262,38297,408773,25054,32359,81814,101414,38618,82849,46665,828644,49500,53252,195203,216065,82284,144446,87894,568850,43046,41289,172710,146193,37823,74282,53507,4375837,2139078,28670,18506,41508,41850,36386,40156,50224,45715,516149,151599,381859,171369,380146,154986,47408,32547,2236759,31742,17251,42433,42168,34978,38335,44599,42704,539862,178691,401573,203221,392839,176238,29392,20733,4375837,60412,526,935,4241,6572,13513,9970,13414,70527,16530,67488,71364,78491,94823,88419,879305,176706,330290,783432,374590,772985,331224,76800,53280,3577462,1746753,213937,415130,587447,530239,1830709,204949,447864,651833,526063,172800,89831,11082,23223,35642,19884,82969,8884,17947,36375,19763,134796,64033,15450,23145,19363,6075,70763,15955,19673,26612,8523,140966,63164,6054,7110,13175,36825,77802,11490,11682,15956,38674,8128,4341,591,1330,1777,643,3787,276,1355,1453,703,256301,128406,50554,36076,31004,10772,127895,47516,33288,34273,12818,85384,42550,5347,10135,16419,10649,42834,5140,8053,16983,12658,2806681,1368409,85608,308692,488381,485728,1438272,83306,341572,539630,473764,1076088,531805,185499,149230,138628,58448,544283,174689,145201,155272,69121,1234289,615087,164815,72214,10092,38758,6771,36980,284348,118406,18003,75307,19342,53290,165924,72343,8531,40533,19120,25397,619202,193895,57059,23054,34132,29762,49888,297518,69013,41190,62654,58333,66328,127789,20810,16674,12534,49212,28559,1320992,55657,73404,41447,62846,92571,108025,9997,125895,274164,189500,50438,57735,47862,51229,80222,1234289,409845,117544,263918,182540,260442,1056302,337941,98536,227062,163939,228824,39647,12543,3748,9968,5000,8388,14598,4728,1277,2524,2919,3150,75499,37695,9838,14265,4534,9167,1346,431,97,357,288,173,23590,7367,2133,5155,3579,5356,23307,9140,1915,4587,2281,5384,959492,307782,90004,203346,149335,209025,127569,39742,11286,30248,19123,27170
40,AZ,04,,,,,040C0US04,Arizona -- In metropolitan statistical area,4853665,2390598,329869,7407,53314,111808,123310,13660,19027,1343,442651,20207,46937,113764,118237,36974,78278,28254,403222,28913,36041,91935,96964,34721,72808,41840,751809,47175,53838,182059,185369,63658,134006,85704,463047,28901,26641,103405,112721,30373,87010,73996,2463067,306359,5032,38753,86390,130063,17694,26442,1985,417477,15712,32293,86362,112523,42923,89887,37777,396083,24636,30983,78402,97508,37311,81323,45920,797163,47565,49681,186434,206841,79469,141132,86041,545985,39433,39008,166836,140292,36344,72194,51878,4217437,2060729,27464,17884,40004,39844,34494,37902,47032,44029,491163,146140,367151,165726,372102,151604,46389,31801,2156708,30106,16740,40538,39962,33273,35942,41600,41150,518034,172430,384734,196047,384536,172372,28894,20350,4217437,57570,521,892,4146,6390,12988,9687,12796,67746,15584,64222,67767,73844,88632,85179,840664,168533,318570,751885,361773,756638,323976,75283,52151,3465593,1691464,205926,399055,568118,518365,1774129,196828,432850,629271,515180,171172,88633,10852,22825,35158,19798,82539,8792,17907,36153,19687,100935,48102,11042,16360,15273,5427,52833,10924,14146,20644,7119,139803,62643,6000,7049,12981,36613,77160,11348,11602,15792,38418,8005,4253,574,1315,1721,643,3752,273,1345,1431,703,249263,124536,49153,34787,29972,10624,124727,46321,32456,33410,12540,82666,41098,5106,9772,15794,10426,41568,4825,7728,16510,12505,2727664,1328906,81815,297724,473371,475996,1398758,79997,331753,522178,464830,1034609,511289,179726,142514,132943,56106,523320,168445,139031,149039,66805,1208048,601896,162709,71439,9910,38247,6499,36614,278181,115833,17567,74107,18445,52229,161006,70253,8362,39423,18403,24565,606152,190859,56529,22601,33623,28791,49315,291221,67879,40423,61439,56335,65145,124072,20249,16164,12053,47678,27928,1293310,55175,71335,40467,61615,90953,106315,9857,123244,268972,182922,49661,56449,47102,50723,78520,1208048,402182,115027,258892,176151,255796,1033545,331087,96358,222706,158623,224771,39485,12504,3720,9909,5000,8352,12546,4386,1080,2192,2063,2825,75031,37509,9788,14183,4451,9100,1346,431,97,357,288,173,23164,7217,2085,5065,3489,5308,22931,9048,1899,4480,2237,5267,940826,302121,88085,200400,144847,205373,122911,38386,10960,28694,18177,26694
40,AZ,04,,,,,040C1US04,Arizona -- In metropolitan statistical area -- in principal city,2523009,1248471,204824,4119,30887,65071,81864,7799,13938,1146,260549,13170,26286,64751,67777,20545,50268,17752,211519,19320,20770,47084,46250,16711,39758,21626,377972,28275,28064,87726,87536,30286,69561,46524,193607,13897,11192,41247,45491,11961,37192,32627,1274538,193574,2873,22814,51381,84856,11553,18564,1533,238193,10654,19366,46528,60600,23679,53897,23469,207681,17461,18664,40264,47047,17861,41597,24787,396486,28723,25856,87520,98924,38203,72149,45111,238604,21334,17255,70045,58617,15992,31692,23669,2124611,1043647,15961,10659,25158,22884,19158,18338,24535,24281,240808,67039,180015,79503,196779,77095,25584,15850,1080964,17248,9631,27099,24194,19596,18072,21572,21901,244357,81849,183339,95735,199335,88503,17392,11141,2124611,33209,219,477,2296,3689,8013,5596,7492,44765,8346,38732,38754,36410,46107,46182,404217,80948,148888,363354,175238,396114,165598,42976,26991,1695451,831447,108435,188995,266469,267548,864004,106918,196368,293272,267446,103030,53247,7432,14558,20393,10864,49783,6110,11503,21761,10409,41323,19155,3779,5779,6693,2904,22168,3962,5597,9245,3364,74107,34214,3508,3490,6613,20603,39893,6177,5701,8060,19955,4510,2324,191,709,1008,416,2186,151,832,841,362,162091,81592,34693,22386,17378,7135,80499,32943,20515,19291,7750,44099,21668,2936,4891,8003,5838,22431,3052,3841,8453,7085,1279202,629256,35404,131264,218282,244306,649946,35280,138659,235484,240523,606128,298019,111791,83846,70200,32182,308109,107874,81411,82000,36824,631679,315308,98271,43146,5257,23497,3424,22947,147218,59921,8995,39708,8726,29868,69819,30683,3558,17068,7737,10773,316371,110167,34654,12436,18566,14199,30312,150843,36015,20105,32560,26871,35292,55361,8865,7726,5259,20851,12660,678650,29933,36132,20836,33397,53028,52912,5598,62329,142240,84761,28444,29552,26720,31396,41372,631679,213284,58077,136658,81808,141852,534994,172521,47999,117137,73349,123988,21273,6853,1940,5310,2551,4619,6268,2492,495,882,809,1590,40558,21377,4910,7616,1986,4669,778,248,77,160,167,126,14885,4617,1595,3109,1730,3834,12923,5176,1061,2444,1216,3026,484829,156426,43938,105090,65993,113382,69006,22174,6089,15810,9442,15491
40,AZ,04,,,,,040C2US04,Arizona -- In metropolitan statistical area -- not in principal city,2330656,1142127,125045,3288,22427,46737,41446,5861,5089,197,182102,7037,20651,49013,50460,16429,28010,10502,191703,9593,15271,44851,50714,18010,33050,20214,373837,18900,25774,94333,97833,33372,64445,39180,269440,15004,15449,62158,67230,18412,49818,41369,1188529,112785,2159,15939,35009,45207,6141,7878,452,179284,5058,12927,39834,51923,19244,35990,14308,188402,7175,12319,38138,50461,19450,39726,21133,400677,18842,23825,98914,107917,41266,68983,40930,307381,18099,21753,96791,81675,20352,40502,28209,2092826,1017082,11503,7225,14846,16960,15336,19564,22497,19748,250355,79101,187136,86223,175323,74509,20805,15951,1075744,12858,7109,13439,15768,13677,17870,20028,19249,273677,90581,201395,100312,185201,83869,11502,9209,2092826,24361,302,415,1850,2701,4975,4091,5304,22981,7238,25490,29013,37434,42525,38997,436447,87585,169682,388531,186535,360524,158378,32307,25160,1770142,860017,97491,210060,301649,250817,910125,89910,236482,335999,247734,68142,35386,3420,8267,14765,8934,32756,2682,6404,14392,9278,59612,28947,7263,10581,8580,2523,30665,6962,8549,11399,3755,65696,28429,2492,3559,6368,16010,37267,5171,5901,7732,18463,3495,1929,383,606,713,227,1566,122,513,590,341,87172,42944,14460,12401,12594,3489,44228,13378,11941,14119,4790,38567,19430,2170,4881,7791,4588,19137,1773,3887,8057,5420,1448462,699650,46411,166460,255089,231690,748812,44717,193094,286694,224307,428481,213270,67935,58668,62743,23924,215211,60571,57620,67039,29981,576369,286588,64438,28293,4653,14750,3075,13667,130963,55912,8572,34399,9719,22361,91187,39570,4804,22355,10666,13792,289781,80692,21875,10165,15057,14592,19003,140378,31864,20318,28879,29464,29853,68711,11384,8438,6794,26827,15268,614660,25242,35203,19631,28218,37925,53403,4259,60915,126732,98161,21217,26897,20382,19327,37148,576369,188898,56950,122234,94343,113944,498551,158566,48359,105569,85274,100783,18212,5651,1780,4599,2449,3733,6278,1894,585,1310,1254,1235,34473,16132,4878,6567,2465,4431,568,183,20,197,121,47,8279,2600,490,1956,1759,1474,10008,3872,838,2036,1021,2241,455997,145695,44147,95310,78854,91991,53905,16212,4871,12884,8735,11203
40,AZ,04,,,,,040E0US04,Arizona -- In micropolitan statistical area,180737,90048,11699,306,3389,3999,3415,385,205,0,15051,652,2200,5876,3966,1203,792,362,13237,669,1493,4598,3458,920,1428,671,29829,1657,3329,9908,7769,2146,3196,1824,20232,2360,2002,4604,4974,1374,2628,2290,90689,10638,152,2108,3461,3935,654,328,0,13015,282,1423,3773,4069,1573,1375,520,12690,418,1376,3412,3906,1307,1526,745,31481,1935,3571,8769,9224,2815,3314,1853,22865,3613,2281,5874,5901,1479,2088,1629,158400,78349,1206,622,1504,2006,1892,2254,3192,1686,24986,5459,14708,5643,8044,3382,1019,746,80051,1636,511,1895,2206,1705,2393,2999,1554,21828,6261,16839,7174,8303,3866,498,383,158400,2842,5,43,95,182,525,283,618,2781,946,3266,3597,4647,6191,3240,38641,8173,11720,31547,12817,16347,7248,1517,1129,111869,55289,8011,16075,19329,11874,56580,8121,15014,22562,10883,1628,1198,230,398,484,86,430,92,40,222,76,33861,15931,4408,6785,4090,648,17930,5031,5527,5968,1404,1163,521,54,61,194,212,642,142,80,164,256,123,88,17,15,56,0,35,3,10,22,0,7038,3870,1401,1289,1032,148,3168,1195,832,863,278,2718,1452,241,363,625,223,1266,315,325,473,153,79017,39503,3793,10968,15010,9732,39514,3309,9819,17452,8934,41479,20516,5773,6716,5685,2342,20963,6244,6170,6233,2316,26241,13191,2106,775,182,511,272,366,6167,2573,436,1200,897,1061,4918,2090,169,1110,717,832,13050,3036,530,453,509,971,573,6297,1134,767,1215,1998,1183,3717,561,510,481,1534,631,27682,482,2069,980,1231,1618,1710,140,2651,5192,6578,777,1286,760,506,1702,26241,7663,2517,5026,6389,4646,22757,6854,2178,4356,5316,4053,162,39,28,59,0,36,2052,342,197,332,856,325,468,186,50,82,83,67,0,0,0,0,0,0,426,150,48,90,90,48,376,92,16,107,44,117,18666,5661,1919,2946,4488,3652,4658,1356,326,1554,946,476
40,AZ,04,,,,,040E1US04,Arizona -- In micropolitan statistical area -- in principal city,42533,19401,2370,47,488,809,791,122,113,0,3018,86,365,1147,903,322,108,87,2273,159,244,733,545,124,347,121,6327,444,668,1859,1471,575,767,543,5413,612,539,967,1348,461,984,502,23132,2776,38,578,724,1010,249,177,0,2874,53,461,804,748,352,365,91,2758,135,233,778,836,231,422,123,7544,599,649,2101,2113,791,834,457,7180,1181,599,1876,1756,483,768,517,37387,17031,271,177,491,362,452,459,485,420,4706,1266,3001,1482,2206,854,272,127,20356,356,190,865,557,302,744,476,420,5559,1852,3601,1857,2389,935,152,101,37387,627,0,0,22,73,171,101,144,1212,198,721,754,1203,961,840,8592,1673,3118,6602,3339,4595,1789,424,228,33620,15289,2590,4036,5328,3335,18331,3066,5099,6865,3301,226,95,18,23,32,22,131,62,24,4,41,750,385,99,165,121,0,365,79,99,145,42,352,115,21,24,65,5,237,93,38,67,39,0,0,0,0,0,0,0,0,0,0,0,2111,984,346,438,131,69,1127,519,284,170,154,328,163,43,20,72,28,165,91,15,59,0,21270,9883,797,2534,3932,2620,11387,776,2954,5201,2456,14713,6502,2187,1955,1576,784,8211,2855,2451,1890,1015,7036,3459,441,180,26,79,27,129,1532,601,98,438,176,219,1486,606,47,371,193,269,3577,677,82,125,172,215,83,1615,408,181,287,388,351,1285,224,205,230,479,147,7464,97,510,155,542,519,472,22,721,1606,1523,249,311,93,155,489,7036,2101,682,1577,1478,1198,6636,1988,617,1463,1445,1123,63,0,7,20,0,36,42,0,28,0,3,11,44,8,5,23,8,0,0,0,0,0,0,0,223,99,25,70,22,7,28,6,0,1,0,21,5076,1534,526,901,1203,912,1799,553,123,632,264,227
40,AZ,04,,,,,040E2US04,Arizona -- In micropolitan statistical area -- not in principal city,138204,70647,9329,259,2901,3190,2624,263,92,0,12033,566,1835,4729,3063,881,684,275,10964,510,1249,3865,2913,796,1081,550,23502,1213,2661,8049,6298,1571,2429,1281,14819,1748,1463,3637,3626,913,1644,1788,67557,7862,114,1530,2737,2925,405,151,0,10141,229,962,2969,3321,1221,1010,429,9932,283,1143,2634,3070,1076,1104,622,23937,1336,2922,6668,7111,2024,2480,1396,15685,2432,1682,3998,4145,996,1320,1112,121013,61318,935,445,1013,1644,1440,1795,2707,1266,20280,4193,11707,4161,5838,2528,747,619,59695,1280,321,1030,1649,1403,1649,2523,1134,16269,4409,13238,5317,5914,2931,346,282,121013,2215,5,43,73,109,354,182,474,1569,748,2545,2843,3444,5230,2400,30049,6500,8602,24945,9478,11752,5459,1093,901,78249,40000,5421,12039,14001,8539,38249,5055,9915,15697,7582,1402,1103,212,375,452,64,299,30,16,218,35,33111,15546,4309,6620,3969,648,17565,4952,5428,5823,1362,811,406,33,37,129,207,405,49,42,97,217,123,88,17,15,56,0,35,3,10,22,0,4927,2886,1055,851,901,79,2041,676,548,693,124,2390,1289,198,343,553,195,1101,224,310,414,153,57747,29620,2996,8434,11078,7112,28127,2533,6865,12251,6478,26766,14014,3586,4761,4109,1558,12752,3389,3719,4343,1301,19205,9732,1665,595,156,432,245,237,4635,1972,338,762,721,842,3432,1484,122,739,524,563,9473,2359,448,328,337,756,490,4682,726,586,928,1610,832,2432,337,305,251,1055,484,20218,385,1559,825,689,1099,1238,118,1930,3586,5055,528,975,667,351,1213,19205,5562,1835,3449,4911,3448,16121,4866,1561,2893,3871,2930,99,39,21,39,0,0,2010,342,169,332,853,314,424,178,45,59,75,67,0,0,0,0,0,0,203,51,23,20,68,41,348,86,16,106,44,96,13590,4127,1393,2045,3285,2740,2859,803,203,922,682,249
