SummaryLevel,State,StateFIPS,CountyFIPS,PlaceFIPS,CBSACode,CongressDistrict,GEOID,AreaName,B15001_001,B15001_002,B15001_003,B15001_004,B15001_005,B15001_006,B15001_007,B15001_008,B15001_009,B15001_010,B15001_011,B15001_012,B15001_013,B15001_014,B15001_015,B15001_016,B15001_017,B15001_018,B15001_019,B15001_020,B15001_021,B15001_022,B15001_023,B15001_024,B15001_025,B15001_026,B15001_027,B15001_028,B15001_029,B15001_030,B15001_031,B15001_032,B15001_033,B15001_034,B15001_035,B15001_036,B15001_037,B15001_038,B15001_039,B15001_040,B15001_041,B15001_042,B15001_043,B15001_044,B15001_045,B15001_046,B15001_047,B15001_048,B15001_049,B15001_050,B15001_051,B15001_052,B15001_053,B15001_054,B15001_055,B15001_056,B15001_057,B15001_058,B15001_059,B15001_060,B15001_061,B15001_062,B15001_063,B15001_064,B15001_065,B15001_066,B15001_067,B15001_068,B15001_069,B15001_070,B15001_071,B15001_072,B15001_073,B15001_074,B15001_075,B15001_076,B15001_077,B15001_078,B15001_079,B15001_080,B15001_081,B15001_082,B15001_083,B15002_001,B15002_002,B15002_003,B15002_004,B15002_005,B15002_006,B15002_007,B15002_008,B15002_009,B15002_010,B15002_011,B15002_012,B15002_013,B15002_014,B15002_015,B15002_016,B15002_017,B15002_018,B15002_019,B15002_020,B15002_021,B15002_022,B15002_023,B15002_024,B15002_025,B15002_026,B15002_027,B15002_028,B15002_029,B15002_030,B15002_031,B15002_032,B15002_033,B15002_034,B15002_035,B15003_001,B15003_002,B15003_003,B15003_004,B15003_005,B15003_006,B15003_007,B15003_008,B15003_009,B15003_010,B15003_011,B15003_012,B15003_013,B15003_014,B15003_015,B15003_016,B15003_017,B15003_018,B15003_019,B15003_020,B15003_021,B15003_022,B15003_023,B15003_024,B15003_025,C15002A_001,C15002A_002,C15002A_003,C15002A_004,C15002A_005,C15002A_006,C15002A_007,C15002A_008,C15002A_009,C15002A_010,C15002A_011,C15002B_001,C15002B_002,C15002B_003,C15002B_004,C15002B_005,C15002B_006,C15002B_007,C15002B_008,C15002B_009,C15002B_010,C15002B_011,C15002C_001,C15002C_002,C15002C_003,C15002C_004,C15002C_005,C15002C_006,C15002C_007,C15002C_008,C15002C_009,C15002C_010,C15002C_011,C15002D_001,C15002D_002,C15002D_003,C15002D_004,C15002D_005,C15002D_006,C15002D_007,C15002D_008,C15002D_009,C15002D_010,C15002D_011,C15002E_001,C15002E_002,C15002E_003,C15002E_004,C15002E_005,C15002E_006,C15002E_007,C15002E_008,C15002E_009,C15002E_010,C15002E_011,C15002F_001,C15002F_002,C15002F_003,C15002F_004,C15002F_005,C15002F_006,C15002F_007,C15002F_008,C15002F_009,C15002F_010,C15002F_011,C15002G_001,C15002G_002,C15002G_003,C15002G_004,C15002G_005,C15002G_006,C15002G_007,C15002G_008,C15002G_009,C15002G_010,C15002G_011,C15002H_001,C15002H_002,C15002H_003,C15002H_004,C15002H_005,C15002H_006,C15002H_007,C15002H_008,C15002H_009,C15002H_010,C15002H_011,C15002I_001,C15002I_002,C15002I_003,C15002I_004,C15002I_005,C15002I_006,C15002I_007,C15002I_008,C15002I_009,C15002I_010,C15002I_011,B15011_001,B15011_002,B15011_003,B15011_004,B15011_005,B15011_006,B15011_007,B15011_008,B15011_009,B15011_010,B15011_011,B15011_012,B15011_013,B15011_014,B15011_015,B15011_016,B15011_017,B15011_018,B15011_019,B15011_020,B15011_021,B15011_022,B15011_023,B15011_024,B15011_025,B15011_026,B15011_027,B15011_028,B15011_029,B15011_030,B15011_031,B15011_032,B15011_033,B15011_034,B15011_035,B15011_036,B15011_037,B15011_038,B15011_039,B15012_001,B15012_002,B15012_003,B15012_004,B15012_005,B15012_006,B15012_007,B15012_008,B15012_009,B15012_010,B15012_011,B15012_012,B15012_013,B15012_014,B15012_015,B15012_016,C15010_001,C15010_002,C15010_003,C15010_004,C15010_005,C15010_006,C15010A_001,C15010A_002,C15010A_003,C15010A_004,C15010A_005,C15010A_006,C15010B_001,C15010B_002,C15010B_003,C15010B_004,C15010B_005,C15010B_006,C15010C_001,C15010C_002,C15010C_003,C15010C_004,C15010C_005,C15010C_006,C15010D_001,C15010D_002,C15010D_003,C15010D_004,C15010D_005,C15010D_006,C15010E_001,C15010E_002,C15010E_003,C15010E_004,C15010E_005,C15010E_006,C15010F_001,C15010F_002,C15010F_003,C15010F_004,C15010F_005,C15010F_006,C15010G_001,C15010G_002,C15010G_003,C15010G_004,C15010G_005,C15010G_006,C15010H_001,C15010H_002,C15010H_003,C15010H_004,C15010H_005,C15010H_006,C15010I_001,C15010I_002,C15010I_003,C15010I_004,C15010I_005,C15010I_006
40,CO,08,,,,,04000US08,Colorado,4113114,2052203,272816,4293,37637,85127,111291,10258,22536,1674,412732,13196,29098,96471,99079,32813,108328,33747,372065,17428,22938,76674,78791,29767,94709,51758,686996,25740,33619,157287,148286,57916,157987,106161,307594,14296,15085,64961,64142,17489,68114,63507,2060911,249948,2563,27177,64923,108945,12274,31973,2093,385278,9371,20179,65368,86367,36595,117991,49407,352301,13450,17167,56898,70006,34256,98060,62464,702938,21363,28272,150941,159482,70921,168578,103381,370446,18681,23808,111433,89141,21845,61186,44352,3590350,1779387,16680,9240,23080,21660,21052,23308,28610,27770,395393,105201,285097,137985,429138,174804,45701,34668,1810963,15735,8185,19890,19055,19681,21048,25439,23258,384640,117999,286997,163617,445815,201469,33844,24291,3590350,32415,250,402,1493,3338,7251,4691,7081,35889,10258,30457,40733,44356,54049,51028,639310,140723,223200,572094,301602,874953,376273,79545,58959,3107572,1537558,128063,332889,456736,619870,1570014,110450,329050,493161,637353,135709,73215,7284,20706,28805,16420,62494,7034,14233,25665,15562,31544,15821,3191,4951,4992,2687,15723,2477,3867,6501,2878,106525,46898,5730,6626,9433,25109,59627,9158,10366,11646,28457,4533,2236,226,607,862,541,2297,234,589,930,544,127450,65424,23143,21701,13548,7032,62026,19978,18574,16030,7444,77017,38235,3763,7913,13907,12652,38782,2960,7961,14680,13181,2661417,1313045,56021,265104,402021,589899,1348372,48412,266312,431944,601704,610834,308798,99754,94519,74893,39632,302036,85030,86091,84961,45954,1389730,684311,214786,96895,9462,49212,5549,53668,337904,161576,16357,80063,15644,64264,131621,64008,6138,27916,13902,19657,705419,250730,87864,25419,41767,22081,73599,349151,103384,40599,67990,49507,87671,105538,20865,13220,8625,35716,27112,1515655,75030,108372,61129,82023,128445,117860,13714,122828,288699,152527,70000,74912,65933,67311,86872,1389730,534592,111195,275573,142399,325971,1257223,475578,101005,247160,133765,299715,31982,11251,2475,9022,2385,6849,5565,2110,511,1227,430,1287,53566,28821,3862,9999,2650,8234,1085,460,138,167,57,263,14476,5361,1333,2987,1393,3402,25833,11011,1871,5011,1719,6221,1191603,451091,96426,232901,126709,284476,85586,31792,6235,18592,8932,20035
40,CO,08,,,,,04001US08,Colorado -- Urban,3537356,1756815,245982,3890,32799,76003,101496,9036,21180,1578,375438,12241,26419,85395,89167,29483,100602,32131,328916,15980,20601,66188,68047,26427,84538,47135,563334,23174,29043,124924,118630,46878,130454,90231,243145,12130,12167,49493,50162,13945,53649,51599,1780541,227062,2284,23941,58297,99823,10840,29916,1961,352320,8841,18711,59005,78695,32516,107972,46580,310741,12462,15677,49390,61013,29643,86122,56434,581588,19668,24707,122290,130247,58117,140237,86322,308830,16830,20446,92895,73818,18034,50540,36267,3064312,1510833,15334,8407,21110,18674,18828,19636,24921,24845,326000,87602,238404,116733,369243,152655,39151,29290,1553479,14675,7740,18529,16857,17733,18327,22788,20693,323580,100706,243067,138310,384871,174913,29698,20992,3064312,30009,215,372,1403,3125,6679,4353,6609,33030,8975,26556,36561,37963,47709,45538,528314,121266,188308,481471,255043,754114,327568,68849,50282,2612749,1285248,111165,268250,376340,529493,1327501,97528,271923,411274,546776,131547,70158,6831,19694,27657,15976,61389,6988,14057,25181,15163,25835,12990,2678,3938,4328,2046,12845,2032,3087,5374,2352,101524,44885,5620,6362,8864,24039,56639,8851,9873,10912,27003,4023,2097,216,552,794,535,1926,182,476,808,460,119144,60943,21792,20238,12306,6607,58201,19051,17073,15077,7000,69490,34512,3453,6966,12450,11643,34978,2710,7091,13457,11720,2206106,1081630,45255,207153,327271,501951,1124476,40236,214269,355500,514471,560561,282227,91987,86022,67526,36692,278334,79114,79073,78267,41880,1200813,590339,198245,88933,8907,45440,5004,49961,286846,135767,13999,68918,12870,55292,105248,50212,4881,23087,10949,16119,610474,229466,80712,22810,38436,19436,68072,294201,87044,33175,58213,40865,74904,86807,17093,11050,7172,29437,22055,1311735,66038,88912,51097,72492,113136,101197,12378,104872,252916,127171,61237,65598,57797,60891,76003,1200813,459761,94822,241266,118561,286403,1076269,404272,85343,214288,110595,261771,31139,10937,2347,8754,2358,6743,4398,1541,451,998,343,1065,51042,27513,3701,9550,2490,7788,995,394,133,162,57,249,13607,5112,1277,2819,1219,3180,23363,9992,1570,4695,1499,5607,1016422,382041,81215,201215,104349,247602,78572,29101,5747,17154,7937,18633
40,CO,08,,,,,04043US08,Colorado -- Rural,575758,295388,26834,403,4838,9124,9795,1222,1356,96,37294,955,2679,11076,9912,3330,7726,1616,43149,1448,2337,10486,10744,3340,10171,4623,123662,2566,4576,32363,29656,11038,27533,15930,64449,2166,2918,15468,13980,3544,14465,11908,280370,22886,279,3236,6626,9122,1434,2057,132,32958,530,1468,6363,7672,4079,10019,2827,41560,988,1490,7508,8993,4613,11938,6030,121350,1695,3565,28651,29235,12804,28341,17059,61616,1851,3362,18538,15323,3811,10646,8085,526038,268554,1346,833,1970,2986,2224,3672,3689,2925,69393,17599,46693,21252,59895,22149,6550,5378,257484,1060,445,1361,2198,1948,2721,2651,2565,61060,17293,43930,25307,60944,26556,4146,3299,526038,2406,35,30,90,213,572,338,472,2859,1283,3901,4172,6393,6340,5490,110996,19457,34892,90623,46559,120839,48705,10696,8677,494823,252310,16898,64639,80396,90377,242513,12922,57127,81887,90577,4162,3057,453,1012,1148,444,1105,46,176,484,399,5709,2831,513,1013,664,641,2878,445,780,1127,526,5001,2013,110,264,569,1070,2988,307,493,734,1454,510,139,10,55,68,6,371,52,113,122,84,8306,4481,1351,1463,1242,425,3825,927,1501,953,444,7527,3723,310,947,1457,1009,3804,250,870,1223,1461,455311,231415,10766,57951,74750,87948,223896,8176,52043,76444,87233,50273,26571,7767,8497,7367,2940,23702,5916,7018,6694,4074,188917,93972,16541,7962,555,3772,545,3707,51058,25809,2358,11145,2774,8972,26373,13796,1257,4829,2953,3538,94945,21264,7152,2609,3331,2645,5527,54950,16340,7424,9777,8642,12767,18731,3772,2170,1453,6279,5057,203920,8992,19460,10032,9531,15309,16663,1336,17956,35783,25356,8763,9314,8136,6420,10869,188917,74831,16373,34307,23838,39568,180954,71306,15662,32872,23170,37944,843,314,128,268,27,106,1167,569,60,229,87,222,2524,1308,161,449,160,446,90,66,5,5,0,14,869,249,56,168,174,222,2470,1019,301,316,220,614,175181,69050,15211,31686,22360,36874,7014,2691,488,1438,995,1402
40,CO,08,,,,,040A0US08,Colorado -- In metropolitan or micropolitan statistical area,3871699,1927190,257987,4068,34557,79971,106511,9466,21752,1662,392886,12221,27257,88880,94689,31108,105454,33277,353476,16260,21251,70511,74570,28645,91514,50725,642921,23891,31064,142873,137827,54135,150708,102423,279920,12417,13362,57324,58242,15873,62963,59739,1944509,237202,2388,25457,61505,103323,11509,30940,2080,369797,8624,19118,62112,82431,34737,114224,48551,336901,12994,16260,53623,66424,32440,94243,60917,659688,20094,26352,139233,147504,66305,161197,99003,340921,16907,21256,102184,81839,20042,57324,41369,3376510,1669203,15629,8508,21539,19113,19372,21297,26219,26046,359588,98500,266828,129761,410639,168836,43874,33454,1707307,15173,7860,18628,16958,18136,19308,23572,21970,357152,110024,268174,153524,426988,193382,32862,23596,3376510,30802,240,378,1413,3162,6727,4448,6590,33577,9181,26890,37508,40605,49791,48016,589566,127174,208524,535002,283285,837627,362218,76736,57050,2910816,1437057,116665,301047,426085,593260,1473759,101109,303727,458669,610254,133141,70952,6768,19282,28516,16386,62189,6998,14189,25529,15473,27636,13837,2726,4117,4462,2532,13799,2095,3343,5697,2664,105088,46363,5695,6436,9312,24920,58725,9096,10206,11408,28015,4202,2047,216,490,827,514,2155,234,573,841,507,121731,62352,22148,20765,12615,6824,59379,19232,17580,15444,7123,73896,36595,3505,7451,13272,12367,37301,2841,7534,14134,12792,2499256,1231198,50615,239805,375869,564909,1268058,43894,245196,402598,576370,568646,286054,92346,86747,69162,37799,282592,79298,80693,78910,43691,1333631,656803,209200,94736,9197,47984,5227,52056,324901,155218,15864,77730,14424,61665,122702,59843,5781,26423,12506,18149,676828,243397,85434,24561,40758,20981,71663,334738,99950,38730,65560,46245,84253,98693,19503,12696,8240,33035,25219,1455379,73293,101944,58570,79093,123873,114693,13383,118098,279411,142027,67057,71390,63208,65748,83591,1333631,514684,106829,266695,132418,313005,1203514,456677,96780,238696,124123,287238,31859,11197,2475,8977,2385,6825,5196,1951,498,1151,370,1226,52935,28536,3811,9879,2614,8095,1021,418,138,167,57,241,13947,5250,1291,2892,1252,3262,25159,10655,1836,4933,1617,6118,1141279,433246,92438,225144,117984,272467,81490,30553,5956,17734,7835,19412
40,CO,08,,,,,040C0US08,Colorado -- In metropolitan statistical area,3567592,1766651,240408,3608,31578,73240,100902,8867,20586,1627,361429,10907,24669,77853,87907,29106,98933,32054,324438,14893,19302,62245,68125,26153,84899,48821,586891,21419,28059,126989,125055,49635,139720,96014,253485,11168,12191,51248,52805,14579,57389,54105,1800941,222565,2238,23070,56931,97679,10953,29675,2019,345216,7866,17569,56520,77349,32624,106495,46793,313501,11786,14831,48934,62153,29937,88095,57765,606774,18348,24161,127307,135580,60649,148563,92166,312885,15641,19987,93792,74780,18188,52574,37923,3104619,1526243,14209,7661,19607,16910,17183,18706,24020,24312,318335,89474,244418,119473,380941,158917,40360,31717,1578376,14187,6820,17388,15246,16787,17504,21691,20566,326553,102123,247739,141398,395727,181517,30893,22237,3104619,28396,194,369,1257,2550,6021,4090,6106,30889,8282,23874,33970,36210,45711,44878,532819,112069,191597,492157,260871,776668,340434,71253,53954,2661144,1307023,105190,264326,387459,550048,1354121,92182,275695,420496,565748,128845,67447,5670,17648,27884,16245,61398,6768,14039,25280,15311,23909,11660,2411,3388,3865,1996,12249,1907,2979,5058,2305,103205,45556,5628,6260,8993,24675,57649,8898,10057,11208,27486,3806,1801,192,448,665,496,2005,187,536,841,441,113313,58012,20249,19337,11910,6516,55301,17541,16175,14795,6790,70397,34744,3268,6928,12589,11959,35653,2706,7072,13582,12293,2280946,1118785,45090,209758,340705,523232,1162161,39724,221589,367245,533603,527057,262962,84107,78250,64625,35980,264095,72758,74578,75180,41579,1242309,611935,196897,90145,8646,45068,4691,48347,303544,146273,14519,72757,12903,57092,111494,54482,5061,24205,11075,16671,630374,228690,80897,22883,38245,19160,67505,311187,93866,35682,61498,41739,78402,90497,18027,11896,7682,29812,23080,1356910,70550,93297,54229,74415,115797,110070,12663,109107,261247,128357,62548,66412,58391,62681,77146,1242309,483690,98687,249455,119380,291097,1115796,427325,88880,222040,111420,266131,31556,11059,2431,8942,2359,6765,4301,1452,471,963,343,1072,52161,28177,3787,9748,2536,7913,937,372,116,167,57,225,13306,5009,1204,2856,1115,3122,24252,10296,1798,4739,1550,5869,1056835,404966,84785,208995,105827,252262,77559,29232,5635,17177,7117,18398
40,CO,08,,,,,040C1US08,Colorado -- In metropolitan statistical area -- in principal city,1716659,847437,133667,1962,15295,36086,60672,5585,13155,912,197702,6684,13430,40114,45658,15096,57358,19362,154510,9168,10367,30822,30976,11502,37984,23691,249531,12020,13381,55339,51853,20168,54951,41819,112027,6250,5997,21578,23013,6586,23676,24927,869222,130389,1394,11491,29769,61764,6091,18612,1268,185855,4723,10295,28826,38230,15893,60661,27227,144684,7640,8525,22198,27520,13063,38081,27657,259080,11141,11997,54079,56856,24784,59984,40239,149214,9383,10608,43146,34386,8747,23955,18989,1452603,713770,7869,4717,12515,9021,9632,9642,12739,11162,147853,39002,112498,53352,173969,73401,20447,15951,738833,7933,4417,11127,9410,10613,9143,11944,9725,148249,44478,112514,62487,182681,85917,16605,11590,1452603,15802,88,234,748,1573,4001,2490,4102,19540,4715,13716,20245,18785,24683,20887,241569,54533,83480,225012,115839,356650,159318,37052,27541,1172042,575071,51812,111266,162145,249848,596971,47928,114916,174007,260120,99377,51145,4633,14255,21065,11192,48232,5615,11807,19865,10945,13184,6161,1369,1697,2252,843,7023,1138,1708,2657,1520,52579,22879,3571,3467,4588,11253,29700,5421,5428,5869,12982,2013,1061,129,278,370,284,952,68,205,470,209,74458,38285,13969,12971,7645,3700,36173,12470,10547,9294,3862,38950,19168,1814,3919,6787,6648,19782,1672,3638,7317,7155,969085,473898,18215,82570,137415,235698,495187,17642,86673,146873,243999,297460,149673,49729,44547,35798,19599,147787,44453,41115,40492,21727,580561,283768,109291,49108,5056,24774,2324,28029,125874,59082,6267,29080,5432,26013,48603,23272,2327,9932,4990,8082,296793,123195,43612,12807,19330,9256,38190,130654,39766,14200,23572,17090,36026,42944,8983,5378,3423,13644,11516,637981,29825,44634,24503,37341,59778,45101,6658,51035,115525,56984,33057,34317,31077,32913,35233,580561,223823,46035,110111,52736,147856,509968,194344,40577,94700,48145,132202,22137,7315,1685,6326,1752,5059,2363,621,301,501,276,664,24235,12628,1824,4414,1203,4166,493,148,42,97,57,149,7562,3009,669,1537,492,1855,13803,5758,937,2536,811,3761,479697,182992,38484,88143,45281,124797,41326,15535,3055,8947,3643,10146
40,CO,08,,,,,040C2US08,Colorado -- In metropolitan statistical area -- not in principal city,1850933,919214,106741,1646,16283,37154,40230,3282,7431,715,163727,4223,11239,37739,42249,14010,41575,12692,169928,5725,8935,31423,37149,14651,46915,25130,337360,9399,14678,71650,73202,29467,84769,54195,141458,4918,6194,29670,29792,7993,33713,29178,931719,92176,844,11579,27162,35915,4862,11063,751,159361,3143,7274,27694,39119,16731,45834,19566,168817,4146,6306,26736,34633,16874,50014,30108,347694,7207,12164,73228,78724,35865,88579,51927,163671,6258,9379,50646,40394,9441,28619,18934,1652016,812473,6340,2944,7092,7889,7551,9064,11281,13150,170482,50472,131920,66121,206972,85516,19913,15766,839543,6254,2403,6261,5836,6174,8361,9747,10841,178304,57645,135225,78911,213046,95600,14288,10647,1652016,12594,106,135,509,977,2020,1600,2004,11349,3567,10158,13725,17425,21028,23991,291250,57536,108117,267145,145032,420018,181116,34201,26413,1489102,731952,53378,153060,225314,300200,757150,44254,160779,246489,305628,29468,16302,1037,3393,6819,5053,13166,1153,2232,5415,4366,10725,5499,1042,1691,1613,1153,5226,769,1271,2401,785,50626,22677,2057,2793,4405,13422,27949,3477,4629,5339,14504,1793,740,63,170,295,212,1053,119,331,371,232,38855,19727,6280,6366,4265,2816,19128,5071,5628,5501,2928,31447,15576,1454,3009,5802,5311,15871,1034,3434,6265,5138,1311861,644887,26875,127188,203290,287534,666974,22082,134916,220372,289604,229597,113289,34378,33703,28827,16381,116308,28305,33463,34688,19852,661748,328167,87606,41037,3590,20294,2367,20318,177670,87191,8252,43677,7471,31079,62891,31210,2734,14273,6085,8589,333581,105495,37285,10076,18915,9904,29315,180533,54100,21482,37926,24649,42376,47553,9044,6518,4259,16168,11564,718929,40725,48663,29726,37074,56019,64969,6005,58072,145722,71373,29491,32095,27314,29768,41913,661748,259867,52652,139344,66644,143241,605828,232981,48303,127340,63275,133929,9419,3744,746,2616,607,1706,1938,831,170,462,67,408,27926,15549,1963,5334,1333,3747,444,224,74,70,0,76,5744,2000,535,1319,623,1267,10449,4538,861,2203,739,2108,577138,221974,46301,120852,60546,127465,36233,13697,2580,8230,3474,8252
40,CO,08,,,,,040E0US08,Colorado -- In micropolitan statistical area,304107,160539,17579,460,2979,6731,5609,599,1166,35,31457,1314,2588,11027,6782,2002,6521,1223,29038,1367,1949,8266,6445,2492,6615,1904,56030,2472,3005,15884,12772,4500,10988,6409,26435,1249,1171,6076,5437,1294,5574,5634,143568,14637,150,2387,4574,5644,556,1265,61,24581,758,1549,5592,5082,2113,7729,1758,23400,1208,1429,4689,4271,2503,6148,3152,52914,1746,2191,11926,11924,5656,12634,6837,28036,1266,1269,8392,7059,1854,4750,3446,271891,142960,1420,847,1932,2203,2189,2591,2199,1734,41253,9026,22410,10288,29698,9919,3514,1737,128931,986,1040,1240,1712,1349,1804,1881,1404,30599,7901,20435,12126,31261,11865,1969,1359,271891,2406,46,9,156,612,706,358,484,2688,899,3016,3538,4395,4080,3138,56747,15105,16927,42845,22414,60959,21784,5483,3096,249672,130034,11475,36721,38626,43212,119638,8927,28032,38173,44506,4296,3505,1098,1634,632,141,791,230,150,249,162,3727,2177,315,729,597,536,1550,188,364,639,359,1883,807,67,176,319,245,1076,198,149,200,529,396,246,24,42,162,18,150,47,37,0,66,8418,4340,1899,1428,705,308,4078,1691,1405,649,333,3499,1851,237,523,683,408,1648,135,462,552,499,218310,112413,5525,30047,35164,41677,105897,4170,23607,35353,42767,41589,23092,8239,8497,4537,1819,18497,6540,6115,3730,2112,91322,44868,12303,4591,551,2916,536,3709,21357,8945,1345,4973,1521,4573,11208,5361,720,2218,1431,1478,46454,14707,4537,1678,2513,1821,4158,23551,6084,3048,4062,4506,5851,8196,1476,800,558,3223,2139,98469,2743,8647,4341,4678,8076,4623,720,8991,18164,13670,4509,4978,4817,3067,6445,91322,30994,8142,17240,13038,21908,87718,29352,7900,16656,12703,21107,303,138,44,35,26,60,895,499,27,188,27,154,774,359,24,131,78,182,84,46,22,0,0,16,641,241,87,36,137,140,907,359,38,194,67,249,84444,28280,7653,16149,12157,20205,3931,1321,321,557,718,1014
40,CO,08,,,,,040E1US08,Colorado -- In micropolitan statistical area -- in principal city,98210,49847,7845,125,1065,2952,2878,270,532,23,10622,398,992,3497,2815,656,1878,386,8644,468,472,2269,2117,879,1804,635,14603,696,822,3981,3499,938,2604,2063,8133,516,351,1739,1705,420,1606,1796,48363,6507,16,844,2064,2792,290,457,44,8663,189,684,1856,2158,594,2624,558,7236,411,431,1464,1254,821,1646,1209,15879,588,836,3314,3771,1627,3692,2051,10078,508,428,3344,2648,632,1286,1232,83858,42002,446,311,683,638,682,625,686,644,11486,2911,7225,2893,7892,3316,1052,512,41856,394,409,503,390,525,632,629,593,9978,2621,7210,3674,9248,3994,525,531,83858,840,0,0,87,285,209,139,224,962,212,816,1207,1257,1315,1237,16816,4648,5532,14435,6567,17140,7310,1577,1043,77781,38694,3847,10593,11915,12339,39087,3257,9425,12640,13765,1170,858,263,381,153,61,312,154,78,50,30,1183,658,55,114,326,163,525,86,73,290,76,711,368,36,53,208,71,343,102,47,56,138,136,136,0,4,116,16,0,0,0,0,0,1909,888,423,266,117,82,1021,412,292,227,90,968,400,91,75,194,40,568,64,63,242,199,67406,33146,2095,8523,10718,11810,34260,1442,7949,11570,13299,12853,6759,2224,2450,1463,622,6094,2296,1800,1379,619,27070,12772,3412,1399,71,780,77,1085,5958,2550,368,1411,386,1243,3402,1499,200,744,507,452,14298,4909,1512,511,854,475,1557,6871,1754,918,1251,1254,1694,2518,432,240,174,1229,443,29152,720,2420,1247,1431,2456,1408,157,2558,5544,4135,1444,1598,1505,710,1819,27070,9146,2308,5214,3928,6474,26104,8710,2294,5024,3775,6301,91,70,0,5,9,7,239,135,0,83,0,21,209,65,0,77,37,30,16,0,0,0,0,16,172,83,3,0,67,19,239,83,11,25,40,80,25109,8354,2238,4907,3608,6002,1241,463,70,128,262,318
40,CO,08,,,,,040E2US08,Colorado -- In micropolitan statistical area -- not in principal city,205897,110692,9734,335,1914,3779,2731,329,634,12,20835,916,1596,7530,3967,1346,4643,837,20394,899,1477,5997,4328,1613,4811,1269,41427,1776,2183,11903,9273,3562,8384,4346,18302,733,820,4337,3732,874,3968,3838,95205,8130,134,1543,2510,2852,266,808,17,15918,569,865,3736,2924,1519,5105,1200,16164,797,998,3225,3017,1682,4502,1943,37035,1158,1355,8612,8153,4029,8942,4786,17958,758,841,5048,4411,1222,3464,2214,188033,100958,974,536,1249,1565,1507,1966,1513,1090,29767,6115,15185,7395,21806,6603,2462,1225,87075,592,631,737,1322,824,1172,1252,811,20621,5280,13225,8452,22013,7871,1444,828,188033,1566,46,9,69,327,497,219,260,1726,687,2200,2331,3138,2765,1901,39931,10457,11395,28410,15847,43819,14474,3906,2053,171891,91340,7628,26128,26711,30873,80551,5670,18607,25533,30741,3126,2647,835,1253,479,80,479,76,72,199,132,2544,1519,260,615,271,373,1025,102,291,349,283,1172,439,31,123,111,174,733,96,102,144,391,260,110,24,38,46,2,150,47,37,0,66,6509,3452,1476,1162,588,226,3057,1279,1113,422,243,2531,1451,146,448,489,368,1080,71,399,310,300,150904,79267,3430,21524,24446,29867,71637,2728,15658,23783,29468,28736,16333,6015,6047,3074,1197,12403,4244,4315,2351,1493,64252,32096,8891,3192,480,2136,459,2624,15399,6395,977,3562,1135,3330,7806,3862,520,1474,924,1026,32156,9798,3025,1167,1659,1346,2601,16680,4330,2130,2811,3252,4157,5678,1044,560,384,1994,1696,69317,2023,6227,3094,3247,5620,3215,563,6433,12620,9535,3065,3380,3312,2357,4626,64252,21848,5834,12026,9110,15434,61614,20642,5606,11632,8928,14806,212,68,44,30,17,53,656,364,27,105,27,133,565,294,24,54,41,152,68,46,22,0,0,0,469,158,84,36,70,121,668,276,27,169,27,169,59335,19926,5415,11242,8549,14203,2690,858,251,429,456,696
