SummaryLevel,State,StateFIPS,CountyFIPS,PlaceFIPS,CBSACode,CongressDistrict,GEOID,AreaName,B15001_001,B15001_002,B15001_003,B15001_004,B15001_005,B15001_006,B15001_007,B15001_008,B15001_009,B15001_010,B15001_011,B15001_012,B15001_013,B15001_014,B15001_015,B15001_016,B15001_017,B15001_018,B15001_019,B15001_020,B15001_021,B15001_022,B15001_023,B15001_024,B15001_025,B15001_026,B15001_027,B15001_028,B15001_029,B15001_030,B15001_031,B15001_032,B15001_033,B15001_034,B15001_035,B15001_036,B15001_037,B15001_038,B15001_039,B15001_040,B15001_041,B15001_042,B15001_043,B15001_044,B15001_045,B15001_046,B15001_047,B15001_048,B15001_049,B15001_050,B15001_051,B15001_052,B15001_053,B15001_054,B15001_055,B15001_056,B15001_057,B15001_058,B15001_059,B15001_060,B15001_061,B15001_062,B15001_063,B15001_064,B15001_065,B15001_066,B15001_067,B15001_068,B15001_069,B15001_070,B15001_071,B15001_072,B15001_073,B15001_074,B15001_075,B15001_076,B15001_077,B15001_078,B15001_079,B15001_080,B15001_081,B15001_082,B15001_083,B15002_001,B15002_002,B15002_003,B15002_004,B15002_005,B15002_006,B15002_007,B15002_008,B15002_009,B15002_010,B15002_011,B15002_012,B15002_013,B15002_014,B15002_015,B15002_016,B15002_017,B15002_018,B15002_019,B15002_020,B15002_021,B15002_022,B15002_023,B15002_024,B15002_025,B15002_026,B15002_027,B15002_028,B15002_029,B15002_030,B15002_031,B15002_032,B15002_033,B15002_034,B15002_035,B15003_001,B15003_002,B15003_003,B15003_004,B15003_005,B15003_006,B15003_007,B15003_008,B15003_009,B15003_010,B15003_011,B15003_012,B15003_013,B15003_014,B15003_015,B15003_016,B15003_017,B15003_018,B15003_019,B15003_020,B15003_021,B15003_022,B15003_023,B15003_024,B15003_025,C15002A_001,C15002A_002,C15002A_003,C15002A_004,C15002A_005,C15002A_006,C15002A_007,C15002A_008,C15002A_009,C15002A_010,C15002A_011,C15002B_001,C15002B_002,C15002B_003,C15002B_004,C15002B_005,C15002B_006,C15002B_007,C15002B_008,C15002B_009,C15002B_010,C15002B_011,C15002C_001,C15002C_002,C15002C_003,C15002C_004,C15002C_005,C15002C_006,C15002C_007,C15002C_008,C15002C_009,C15002C_010,C15002C_011,C15002D_001,C15002D_002,C15002D_003,C15002D_004,C15002D_005,C15002D_006,C15002D_007,C15002D_008,C15002D_009,C15002D_010,C15002D_011,C15002E_001,C15002E_002,C15002E_003,C15002E_004,C15002E_005,C15002E_006,C15002E_007,C15002E_008,C15002E_009,C15002E_010,C15002E_011,C15002F_001,C15002F_002,C15002F_003,C15002F_004,C15002F_005,C15002F_006,C15002F_007,C15002F_008,C15002F_009,C15002F_010,C15002F_011,C15002G_001,C15002G_002,C15002G_003,C15002G_004,C15002G_005,C15002G_006,C15002G_007,C15002G_008,C15002G_009,C15002G_010,C15002G_011,C15002H_001,C15002H_002,C15002H_003,C15002H_004,C15002H_005,C15002H_006,C15002H_007,C15002H_008,C15002H_009,C15002H_010,C15002H_011,C15002I_001,C15002I_002,C15002I_003,C15002I_004,C15002I_005,C15002I_006,C15002I_007,C15002I_008,C15002I_009,C15002I_010,C15002I_011,B15011_001,B15011_002,B15011_003,B15011_004,B15011_005,B15011_006,B15011_007,B15011_008,B15011_009,B15011_010,B15011_011,B15011_012,B15011_013,B15011_014,B15011_015,B15011_016,B15011_017,B15011_018,B15011_019,B15011_020,B15011_021,B15011_022,B15011_023,B15011_024,B15011_025,B15011_026,B15011_027,B15011_028,B15011_029,B15011_030,B15011_031,B15011_032,B15011_033,B15011_034,B15011_035,B15011_036,B15011_037,B15011_038,B15011_039,B15012_001,B15012_002,B15012_003,B15012_004,B15012_005,B15012_006,B15012_007,B15012_008,B15012_009,B15012_010,B15012_011,B15012_012,B15012_013,B15012_014,B15012_015,B15012_016,C15010_001,C15010_002,C15010_003,C15010_004,C15010_005,C15010_006,C15010A_001,C15010A_002,C15010A_003,C15010A_004,C15010A_005,C15010A_006,C15010B_001,C15010B_002,C15010B_003,C15010B_004,C15010B_005,C15010B_006,C15010C_001,C15010C_002,C15010C_003,C15010C_004,C15010C_005,C15010C_006,C15010D_001,C15010D_002,C15010D_003,C15010D_004,C15010D_005,C15010D_006,C15010E_001,C15010E_002,C15010E_003,C15010E_004,C15010E_005,C15010E_006,C15010F_001,C15010F_002,C15010F_003,C15010F_004,C15010F_005,C15010F_006,C15010G_001,C15010G_002,C15010G_003,C15010G_004,C15010G_005,C15010G_006,C15010H_001,C15010H_002,C15010H_003,C15010H_004,C15010H_005,C15010H_006,C15010I_001,C15010I_002,C15010I_003,C15010I_004,C15010I_005,C15010I_006
40,CT,09,,,,,04000US09,Connecticut,2814918,1354749,180215,2845,21298,58885,68785,5797,20915,1690,220790,7449,12187,62328,43499,14018,55151,26158,214903,8523,12424,58294,37194,13130,48468,36870,500581,16093,26906,148286,84912,33472,105275,85637,238260,18306,18977,66001,34476,11879,42106,46515,1460169,168574,1446,13947,40991,77867,7423,24311,2589,217681,4502,9053,41639,42944,17018,61790,40735,224703,5708,9937,44999,40014,20467,57074,46504,532448,15977,23305,134445,96436,55098,115910,91277,316763,26721,26864,117228,47757,19344,38596,40253,2466129,1174534,11594,7422,13743,17612,13975,19057,19075,18387,334909,59033,141048,72499,251000,129588,41223,24369,1291595,12721,8146,13008,19033,14790,18761,18965,16643,338311,70806,156345,111927,273370,170978,31320,16471,2466129,24315,348,282,958,2369,5705,5906,8047,18704,9137,27508,28765,37818,38040,35030,593793,79427,129839,297393,184426,524370,300566,72543,40840,1979490,943052,76412,263770,221215,381655,1036438,79564,269592,268712,418570,232404,106150,16402,39759,30102,19887,126254,16745,39771,42096,27642,5867,3004,796,1004,875,329,2863,463,784,1165,451,102001,48221,4158,5182,5935,32946,53780,6380,7054,7358,32988,619,208,6,81,15,106,411,56,83,128,144,105524,54334,20370,19250,9033,5681,51190,16228,16344,12771,5847,40224,19565,2721,5863,5405,5576,20659,2631,4683,6848,6497,1807066,861970,55786,236293,203090,366801,945096,56970,244576,245061,398489,298678,145423,43960,49828,29433,22202,153255,41455,43970,39932,27898,938319,446180,121490,55681,5952,26915,4095,28847,236069,104499,11026,60786,10685,49073,88621,41387,3964,18037,8246,16987,492139,151368,53268,16906,24368,15763,41063,261922,71995,32284,49677,39216,68750,78849,16810,9545,4923,25540,22031,1006639,44562,54349,30742,59257,102710,75470,5117,85717,190933,108510,61721,58274,45015,36285,47977,938319,343640,79677,184706,103545,226751,800225,280159,66471,158952,95220,199423,47529,16422,5001,10287,4021,11798,780,313,52,146,35,234,65934,37508,6346,11006,2405,8669,250,131,0,44,35,40,11528,3671,1028,2490,1153,3186,12073,5436,779,1781,676,3401,765290,267758,63585,151304,91930,190713,50100,17655,4125,10737,4603,12980
40,CT,09,,,,,04001US09,Connecticut -- Urban,2479723,1187429,163645,2805,19372,52531,63308,5150,18828,1651,202587,7268,11640,56827,39403,12343,50521,24585,190861,8336,11742,52079,32211,11399,42601,32493,426854,14935,24701,127070,72091,27391,88323,72343,203482,16859,16959,57309,28962,9901,35027,38465,1292294,154354,1410,12908,37396,72035,6476,21682,2447,200874,4446,8713,38965,39469,15579,56154,37548,199236,5564,9747,41178,36110,17753,48525,40359,458514,15514,21588,117870,83164,46348,97588,76442,279316,25548,24658,104016,41761,16575,32845,33913,2161724,1023784,10902,7179,13198,16119,13046,17423,17801,16772,293285,50362,122305,61034,216472,111789,35182,20915,1137940,12025,8063,12794,18190,13987,17612,17737,15370,302029,62183,138321,96255,235112,146649,27372,14241,2161724,22927,312,234,889,2357,5640,5810,7765,18227,8779,25530,27033,35035,35538,32142,524046,71268,112545,260626,157289,451584,258438,62554,35156,1690072,799774,68643,223542,184507,323082,890298,73720,234925,228255,353398,228267,103770,16194,39321,29223,19032,124497,16642,39209,41608,27038,5256,2652,724,957,758,213,2604,458,729,1035,382,96374,45704,4009,4825,5472,31398,50670,6164,6594,6841,31071,602,203,6,81,10,106,399,56,83,128,132,104135,53707,20263,19103,8903,5438,50428,16161,16199,12588,5480,37018,17974,2601,5456,4828,5089,19044,2577,4290,6304,5873,1523267,721449,48396,196700,167155,309198,801818,51462,210614,205077,334665,291083,141601,43441,48893,28402,20865,149482,41021,43047,39266,26148,807732,384358,110873,50810,5495,24771,3678,26119,199993,87796,9342,52022,8840,41993,73492,34113,3150,15661,6929,13639,423374,136004,47843,14937,22037,14203,36984,220612,59981,27212,42751,32471,58197,66758,14204,8158,4189,21864,18343,867158,39562,44418,25855,51065,89653,64470,4549,73668,166894,92245,52342,50311,38292,32004,41830,807732,294747,68294,161431,87985,195275,676480,234947,55530,136680,80049,169274,46070,15808,4823,10017,3879,11543,595,221,43,76,35,220,62469,35247,6133,10595,2217,8277,238,125,0,44,35,34,10918,3434,1011,2447,1129,2897,10962,4965,754,1572,641,3030,643863,223524,52786,129370,76936,161247,47013,16413,3950,10284,4416,11950
40,CT,09,,,,,04043US09,Connecticut -- Rural,335195,167320,16570,40,1926,6354,5477,647,2087,39,18203,181,547,5501,4096,1675,4630,1573,24042,187,682,6215,4983,1731,5867,4377,73727,1158,2205,21216,12821,6081,16952,13294,34778,1447,2018,8692,5514,1978,7079,8050,167875,14220,36,1039,3595,5832,947,2629,142,16807,56,340,2674,3475,1439,5636,3187,25467,144,190,3821,3904,2714,8549,6145,73934,463,1717,16575,13272,8750,18322,14835,37447,1173,2206,13212,5996,2769,5751,6340,304405,150750,692,243,545,1493,929,1634,1274,1615,41624,8671,18743,11465,34528,17799,6041,3454,153655,696,83,214,843,803,1149,1228,1273,36282,8623,18024,15672,38258,24329,3948,2230,304405,1388,36,48,69,12,65,96,282,477,358,1978,1732,2783,2502,2888,69747,8159,17294,36767,27137,72786,42128,9989,5684,289418,143278,7769,40228,36708,58573,146140,5844,34667,40457,65172,4137,2380,208,438,879,855,1757,103,562,488,604,611,352,72,47,117,116,259,5,55,130,69,5627,2517,149,357,463,1548,3110,216,460,517,1917,17,5,0,0,5,0,12,0,0,0,12,1389,627,107,147,130,243,762,67,145,183,367,3206,1591,120,407,577,487,1615,54,393,544,624,283799,140521,7390,39593,35935,57603,143278,5508,33962,39984,63824,7595,3822,519,935,1031,1337,3773,434,923,666,1750,130587,61822,10617,4871,457,2144,417,2728,36076,16703,1684,8764,1845,7080,15129,7274,814,2376,1317,3348,68765,15364,5425,1969,2331,1560,4079,41310,12014,5072,6926,6745,10553,12091,2606,1387,734,3676,3688,139481,5000,9931,4887,8192,13057,11000,568,12049,24039,16265,9379,7963,6723,4281,6147,130587,48893,11383,23275,15560,31476,123745,45212,10941,22272,15171,30149,1459,614,178,270,142,255,185,92,9,70,0,14,3465,2261,213,411,188,392,12,6,0,0,0,6,610,237,17,43,24,289,1111,471,25,209,35,371,121427,44234,10799,21934,14994,29466,3087,1242,175,453,187,1030
40,CT,09,,,,,040A0US09,Connecticut -- In metropolitan or micropolitan statistical area,2814918,1354749,180215,2845,21298,58885,68785,5797,20915,1690,220790,7449,12187,62328,43499,14018,55151,26158,214903,8523,12424,58294,37194,13130,48468,36870,500581,16093,26906,148286,84912,33472,105275,85637,238260,18306,18977,66001,34476,11879,42106,46515,1460169,168574,1446,13947,40991,77867,7423,24311,2589,217681,4502,9053,41639,42944,17018,61790,40735,224703,5708,9937,44999,40014,20467,57074,46504,532448,15977,23305,134445,96436,55098,115910,91277,316763,26721,26864,117228,47757,19344,38596,40253,2466129,1174534,11594,7422,13743,17612,13975,19057,19075,18387,334909,59033,141048,72499,251000,129588,41223,24369,1291595,12721,8146,13008,19033,14790,18761,18965,16643,338311,70806,156345,111927,273370,170978,31320,16471,2466129,24315,348,282,958,2369,5705,5906,8047,18704,9137,27508,28765,37818,38040,35030,593793,79427,129839,297393,184426,524370,300566,72543,40840,1979490,943052,76412,263770,221215,381655,1036438,79564,269592,268712,418570,232404,106150,16402,39759,30102,19887,126254,16745,39771,42096,27642,5867,3004,796,1004,875,329,2863,463,784,1165,451,102001,48221,4158,5182,5935,32946,53780,6380,7054,7358,32988,619,208,6,81,15,106,411,56,83,128,144,105524,54334,20370,19250,9033,5681,51190,16228,16344,12771,5847,40224,19565,2721,5863,5405,5576,20659,2631,4683,6848,6497,1807066,861970,55786,236293,203090,366801,945096,56970,244576,245061,398489,298678,145423,43960,49828,29433,22202,153255,41455,43970,39932,27898,938319,446180,121490,55681,5952,26915,4095,28847,236069,104499,11026,60786,10685,49073,88621,41387,3964,18037,8246,16987,492139,151368,53268,16906,24368,15763,41063,261922,71995,32284,49677,39216,68750,78849,16810,9545,4923,25540,22031,1006639,44562,54349,30742,59257,102710,75470,5117,85717,190933,108510,61721,58274,45015,36285,47977,938319,343640,79677,184706,103545,226751,800225,280159,66471,158952,95220,199423,47529,16422,5001,10287,4021,11798,780,313,52,146,35,234,65934,37508,6346,11006,2405,8669,250,131,0,44,35,40,11528,3671,1028,2490,1153,3186,12073,5436,779,1781,676,3401,765290,267758,63585,151304,91930,190713,50100,17655,4125,10737,4603,12980
40,CT,09,,,,,040C0US09,Connecticut -- In metropolitan statistical area,2665855,1282012,172962,2739,20257,56068,66773,5453,20035,1637,211559,7305,11792,58954,41541,13374,53123,25470,204613,8349,11755,55268,35307,12204,46058,35672,469926,15399,25167,137983,79077,30787,99749,81764,222952,17395,17912,61598,31852,11025,39535,43635,1383843,162116,1442,13360,39075,75359,6990,23394,2496,208779,4471,8743,39828,40972,16359,59145,39261,214089,5521,9668,43081,37796,19225,54068,44730,500893,15260,22195,125995,90665,51103,109551,86124,297966,25543,25227,110584,44150,18071,36412,37979,2330777,1109050,11169,7229,13312,16738,13094,17982,18153,17397,313803,55209,132568,67390,238465,123673,39498,23370,1221727,12318,7878,12542,18057,14064,17900,18140,15729,319488,66253,147330,104758,259176,162060,30151,15883,2330777,23487,322,262,958,2299,5550,5716,7731,18123,8618,26177,27158,35882,36293,33126,558865,74426,121462,279898,172148,497641,285733,69649,39253,1851574,881318,71443,243793,204691,361391,970256,74893,251488,248892,394983,230465,105101,16157,39488,29776,19680,125364,16598,39600,41876,27290,5671,2854,731,1004,836,283,2817,463,781,1131,442,99741,47217,4009,4990,5721,32497,52524,6171,6813,7085,32455,613,208,6,81,15,106,405,56,83,128,138,103861,53437,20040,18905,8904,5588,50424,15926,16168,12599,5731,38852,18915,2688,5542,5224,5461,19937,2521,4555,6630,6231,1682529,801903,51258,216631,187035,346979,880626,52720,226847,225643,375416,293163,142673,43094,49092,28815,21672,150490,40647,43374,39286,27183,892276,425006,117090,54040,5633,26099,3882,27436,224746,99717,10414,58423,9949,46243,83170,39268,3712,17223,7495,15472,467270,145205,51540,16212,23483,14877,39093,247674,68781,30767,47483,36165,64478,74391,15954,9053,4717,24174,20493,957445,43081,51491,29658,56777,98548,72310,4934,81531,183396,101292,58207,54236,41903,35021,45060,892276,329300,75791,177428,96542,213215,756374,266641,62701,152060,88422,186550,46970,16254,4943,10230,3965,11578,725,288,43,125,35,234,64952,37072,6304,10838,2266,8472,244,131,0,44,35,34,11319,3571,1028,2472,1143,3105,11692,5343,772,1659,676,3242,722395,254598,59926,144582,85245,178044,48855,17180,4005,10546,4453,12671
40,CT,09,,,,,040C1US09,Connecticut -- In metropolitan statistical area -- in principal city,807672,383971,61309,1675,8458,20116,22829,1355,6276,600,81362,4636,5658,22126,14927,4058,19203,10754,65370,5482,5813,18878,10118,3473,11690,9916,121933,8248,9837,38589,21030,6879,20534,16816,53997,6935,5341,15432,7168,2145,7613,9363,423701,58051,786,5288,14495,27453,1957,7310,762,82407,2908,4581,17300,16631,5518,20566,14903,69392,3372,5391,16297,13524,5599,13750,11459,135120,7845,10020,38800,25831,11457,22668,18499,78731,11354,7940,27594,10703,3766,8544,8830,688312,322662,4918,4443,8626,7314,6117,6620,7615,6297,95025,13836,39407,16555,59040,29731,10576,6542,365650,5757,4589,7150,7983,6736,7324,8167,5705,99991,18042,48647,26340,65528,39760,8649,5282,688312,10675,167,92,403,1774,3458,3138,3779,11997,4312,10985,12853,13944,15782,12002,171467,23549,31878,88054,42895,124568,69491,19225,11824,428697,202346,24343,55271,43273,79459,226351,26232,58669,54218,87232,138761,60093,10036,22994,16958,10105,78668,11652,25942,25984,15090,2820,1505,426,514,491,74,1315,289,299,543,184,34826,16812,1537,2046,1945,11284,18014,2448,2342,1972,11252,253,79,6,45,10,18,174,15,0,91,68,66869,34238,14358,11857,5091,2932,32631,11410,10604,7511,3106,16086,7589,1244,2298,2030,2017,8497,1365,2135,2710,2287,345742,162819,12001,41856,34780,74182,182923,13383,46731,43250,79559,161805,79097,28359,27149,14706,8883,82708,25943,24347,20598,11820,225108,105889,41006,19720,1745,8772,979,9790,47907,19669,2513,12098,2162,11465,16976,7351,716,3578,1577,3754,119219,48527,18776,4661,7285,3841,13964,53318,14837,6221,9687,7726,14847,17374,3854,1904,1181,5402,5033,242694,12371,13064,7305,14853,26156,16886,1289,19103,44122,22768,15750,15329,12646,9770,11282,225108,84207,17760,42601,21687,58853,166691,58955,12100,31348,17896,46392,25195,8498,2625,5369,2108,6595,258,92,43,53,19,51,22536,12610,2170,3971,588,3197,86,51,0,0,35,0,6038,1870,644,1336,794,1394,4304,2131,178,524,247,1224,153741,54245,11195,28487,16464,43350,20703,7556,1591,4327,2276,4953
40,CT,09,,,,,040C2US09,Connecticut -- In metropolitan statistical area -- not in principal city,1858183,898041,111653,1064,11799,35952,43944,4098,13759,1037,130197,2669,6134,36828,26614,9316,33920,14716,139243,2867,5942,36390,25189,8731,34368,25756,347993,7151,15330,99394,58047,23908,79215,64948,168955,10460,12571,46166,24684,8880,31922,34272,960142,104065,656,8072,24580,47906,5033,16084,1734,126372,1563,4162,22528,24341,10841,38579,24358,144697,2149,4277,26784,24272,13626,40318,33271,365773,7415,12175,87195,64834,39646,86883,67625,219235,14189,17287,82990,33447,14305,27868,29149,1642465,786388,6251,2786,4686,9424,6977,11362,10538,11100,218778,41373,93161,50835,179425,93942,28922,16828,856077,6561,3289,5392,10074,7328,10576,9973,10024,219497,48211,98683,78418,193648,122300,21502,10601,1642465,12812,155,170,555,525,2092,2578,3952,6126,4306,15192,14305,21938,20511,21124,387398,50877,89584,191844,129253,373073,216242,50424,27429,1422877,678972,47100,188522,161418,281932,743905,48661,192819,194674,307751,91704,45008,6121,16494,12818,9575,46696,4946,13658,15892,12200,2851,1349,305,490,345,209,1502,174,482,588,258,64915,30405,2472,2944,3776,21213,34510,3723,4471,5113,21203,360,129,0,36,5,88,231,41,83,37,70,36992,19199,5682,7048,3813,2656,17793,4516,5564,5088,2625,22766,11326,1444,3244,3194,3444,11440,1156,2420,3920,3944,1336787,639084,39257,174775,152255,272797,697703,39337,180116,182393,295857,131358,63576,14735,21943,14109,12789,67782,14704,19027,18688,15363,667168,319117,76084,34320,3888,17327,2903,17646,176839,80048,7901,46325,7787,34778,66194,31917,2996,13645,5918,11718,348051,96678,32764,11551,16198,11036,25129,194356,53944,24546,37796,28439,49631,57017,12100,7149,3536,18772,15460,714751,30710,38427,22353,41924,72392,55424,3645,62428,139274,78524,42457,38907,29257,25251,33778,667168,245093,58031,134827,74855,154362,589683,207686,50601,120712,70526,140158,21775,7756,2318,4861,1857,4983,467,196,0,72,16,183,42416,24462,4134,6867,1678,5275,158,80,0,44,0,34,5281,1701,384,1136,349,1711,7388,3212,594,1135,429,2018,568654,200353,48731,116095,68781,134694,28152,9624,2414,6219,2177,7718
40,CT,09,,,,,040E0US09,Connecticut -- In micropolitan statistical area,149063,72737,7253,106,1041,2817,2012,344,880,53,9231,144,395,3374,1958,644,2028,688,10290,174,669,3026,1887,926,2410,1198,30655,694,1739,10303,5835,2685,5526,3873,15308,911,1065,4403,2624,854,2571,2880,76326,6458,4,587,1916,2508,433,917,93,8902,31,310,1811,1972,659,2645,1474,10614,187,269,1918,2218,1242,3006,1774,31555,717,1110,8450,5771,3995,6359,5153,18797,1178,1637,6644,3607,1273,2184,2274,135352,65484,425,193,431,874,881,1075,922,990,21106,3824,8480,5109,12535,5915,1725,999,69868,403,268,466,976,726,861,825,914,18823,4553,9015,7169,14194,8918,1169,588,135352,828,26,20,0,70,155,190,316,581,519,1331,1607,1936,1747,1904,34928,5001,8377,17495,12278,26729,14833,2894,1587,127916,61734,4969,19977,16524,20264,66182,4671,18104,19820,23587,1939,1049,245,271,326,207,890,147,171,220,352,196,150,65,0,39,46,46,0,3,34,9,2260,1004,149,192,214,449,1256,209,241,273,533,6,0,0,0,0,0,6,0,0,0,6,1663,897,330,345,129,93,766,302,176,172,116,1372,650,33,321,181,115,722,110,128,218,266,124537,60067,4528,19662,16055,19822,64470,4250,17729,19418,23073,5515,2750,866,736,618,530,2765,808,596,646,715,46043,21174,4400,1641,319,816,213,1411,11323,4782,612,2363,736,2830,5451,2119,252,814,751,1515,24869,6163,1728,694,885,886,1970,14248,3214,1517,2194,3051,4272,4458,856,492,206,1366,1538,49194,1481,2858,1084,2480,4162,3160,183,4186,7537,7218,3514,4038,3112,1264,2917,46043,14340,3886,7278,7003,13536,43851,13518,3770,6892,6798,12873,559,168,58,57,56,220,55,25,9,21,0,0,982,436,42,168,139,197,6,0,0,0,0,6,209,100,0,18,10,81,381,93,7,122,0,159,42895,13160,3659,6722,6685,12669,1245,475,120,191,150,309
40,CT,09,,,,,040E1US09,Connecticut -- In micropolitan statistical area -- in principal city,28387,13770,1179,26,218,526,270,37,102,0,2064,69,158,763,412,192,313,157,2174,79,209,941,353,167,326,99,5731,198,667,2035,1262,498,760,311,2622,210,222,953,456,212,287,282,14617,1208,0,111,357,450,110,117,63,2321,20,70,506,676,205,666,178,2055,78,170,476,538,275,350,168,5534,301,273,2039,1104,615,696,506,3499,315,324,1532,606,219,257,246,26000,12591,82,20,210,244,273,384,256,343,4692,767,1716,1069,1686,653,158,38,13409,82,95,174,363,123,204,211,299,4553,1059,1865,1314,1969,912,145,41,26000,164,9,0,0,0,5,101,101,283,157,450,396,588,467,642,7628,1617,1826,3581,2383,3655,1565,303,79,23495,11408,1533,4327,3252,2296,12087,1258,4251,3792,2786,694,437,123,95,141,78,257,50,20,108,79,24,0,0,0,0,0,24,0,0,24,0,832,339,83,80,86,90,493,109,108,154,122,0,0,0,0,0,0,0,0,0,0,0,471,216,58,110,0,48,255,93,80,65,17,484,191,15,80,73,23,293,41,94,95,63,22289,10803,1270,4166,3187,2180,11486,1008,4106,3674,2698,1992,937,369,335,69,164,1055,381,281,233,160,5602,2535,683,194,41,198,0,250,1283,418,64,407,62,332,569,221,33,51,158,106,3067,1092,225,111,185,188,383,1472,240,173,182,372,505,503,54,70,9,211,159,5880,112,224,57,273,374,321,43,543,1082,1000,361,451,371,252,416,5602,1352,492,1032,991,1735,5082,1241,451,946,896,1548,157,26,26,5,33,67,0,0,0,0,0,0,212,43,15,61,52,41,0,0,0,0,0,0,65,32,0,0,10,23,86,10,0,20,0,56,4878,1156,410,928,896,1488,324,117,41,25,37,104
40,CT,09,,,,,040E2US09,Connecticut -- In micropolitan statistical area -- not in principal city,120676,58967,6074,80,823,2291,1742,307,778,53,7167,75,237,2611,1546,452,1715,531,8116,95,460,2085,1534,759,2084,1099,24924,496,1072,8268,4573,2187,4766,3562,12686,701,843,3450,2168,642,2284,2598,61709,5250,4,476,1559,2058,323,800,30,6581,11,240,1305,1296,454,1979,1296,8559,109,99,1442,1680,967,2656,1606,26021,416,837,6411,4667,3380,5663,4647,15298,863,1313,5112,3001,1054,1927,2028,109352,52893,343,173,221,630,608,691,666,647,16414,3057,6764,4040,10849,5262,1567,961,56459,321,173,292,613,603,657,614,615,14270,3494,7150,5855,12225,8006,1024,547,109352,664,17,20,0,70,150,89,215,298,362,881,1211,1348,1280,1262,27300,3384,6551,13914,9895,23074,13268,2591,1508,104421,50326,3436,15650,13272,17968,54095,3413,13853,16028,20801,1245,612,122,176,185,129,633,97,151,112,273,172,150,65,0,39,46,22,0,3,10,9,1428,665,66,112,128,359,763,100,133,119,411,6,0,0,0,0,0,6,0,0,0,6,1192,681,272,235,129,45,511,209,96,107,99,888,459,18,241,108,92,429,69,34,123,203,102248,49264,3258,15496,12868,17642,52984,3242,13623,15744,20375,3523,1813,497,401,549,366,1710,427,315,413,555,40441,18639,3717,1447,278,618,213,1161,10040,4364,548,1956,674,2498,4882,1898,219,763,593,1409,21802,5071,1503,583,700,698,1587,12776,2974,1344,2012,2679,3767,3955,802,422,197,1155,1379,43314,1369,2634,1027,2207,3788,2839,140,3643,6455,6218,3153,3587,2741,1012,2501,40441,12988,3394,6246,6012,11801,38769,12277,3319,5946,5902,11325,402,142,32,52,23,153,55,25,9,21,0,0,770,393,27,107,87,156,6,0,0,0,0,6,144,68,0,18,0,58,295,83,7,102,0,103,38017,12004,3249,5794,5789,11181,921,358,79,166,113,205
