SummaryLevel,State,StateFIPS,CountyFIPS,PlaceFIPS,CBSACode,CongressDistrict,GEOID,AreaName,B15001_001,B15001_002,B15001_003,B15001_004,B15001_005,B15001_006,B15001_007,B15001_008,B15001_009,B15001_010,B15001_011,B15001_012,B15001_013,B15001_014,B15001_015,B15001_016,B15001_017,B15001_018,B15001_019,B15001_020,B15001_021,B15001_022,B15001_023,B15001_024,B15001_025,B15001_026,B15001_027,B15001_028,B15001_029,B15001_030,B15001_031,B15001_032,B15001_033,B15001_034,B15001_035,B15001_036,B15001_037,B15001_038,B15001_039,B15001_040,B15001_041,B15001_042,B15001_043,B15001_044,B15001_045,B15001_046,B15001_047,B15001_048,B15001_049,B15001_050,B15001_051,B15001_052,B15001_053,B15001_054,B15001_055,B15001_056,B15001_057,B15001_058,B15001_059,B15001_060,B15001_061,B15001_062,B15001_063,B15001_064,B15001_065,B15001_066,B15001_067,B15001_068,B15001_069,B15001_070,B15001_071,B15001_072,B15001_073,B15001_074,B15001_075,B15001_076,B15001_077,B15001_078,B15001_079,B15001_080,B15001_081,B15001_082,B15001_083,B15002_001,B15002_002,B15002_003,B15002_004,B15002_005,B15002_006,B15002_007,B15002_008,B15002_009,B15002_010,B15002_011,B15002_012,B15002_013,B15002_014,B15002_015,B15002_016,B15002_017,B15002_018,B15002_019,B15002_020,B15002_021,B15002_022,B15002_023,B15002_024,B15002_025,B15002_026,B15002_027,B15002_028,B15002_029,B15002_030,B15002_031,B15002_032,B15002_033,B15002_034,B15002_035,B15003_001,B15003_002,B15003_003,B15003_004,B15003_005,B15003_006,B15003_007,B15003_008,B15003_009,B15003_010,B15003_011,B15003_012,B15003_013,B15003_014,B15003_015,B15003_016,B15003_017,B15003_018,B15003_019,B15003_020,B15003_021,B15003_022,B15003_023,B15003_024,B15003_025,C15002A_001,C15002A_002,C15002A_003,C15002A_004,C15002A_005,C15002A_006,C15002A_007,C15002A_008,C15002A_009,C15002A_010,C15002A_011,C15002B_001,C15002B_002,C15002B_003,C15002B_004,C15002B_005,C15002B_006,C15002B_007,C15002B_008,C15002B_009,C15002B_010,C15002B_011,C15002C_001,C15002C_002,C15002C_003,C15002C_004,C15002C_005,C15002C_006,C15002C_007,C15002C_008,C15002C_009,C15002C_010,C15002C_011,C15002D_001,C15002D_002,C15002D_003,C15002D_004,C15002D_005,C15002D_006,C15002D_007,C15002D_008,C15002D_009,C15002D_010,C15002D_011,C15002E_001,C15002E_002,C15002E_003,C15002E_004,C15002E_005,C15002E_006,C15002E_007,C15002E_008,C15002E_009,C15002E_010,C15002E_011,C15002F_001,C15002F_002,C15002F_003,C15002F_004,C15002F_005,C15002F_006,C15002F_007,C15002F_008,C15002F_009,C15002F_010,C15002F_011,C15002G_001,C15002G_002,C15002G_003,C15002G_004,C15002G_005,C15002G_006,C15002G_007,C15002G_008,C15002G_009,C15002G_010,C15002G_011,C15002H_001,C15002H_002,C15002H_003,C15002H_004,C15002H_005,C15002H_006,C15002H_007,C15002H_008,C15002H_009,C15002H_010,C15002H_011,C15002I_001,C15002I_002,C15002I_003,C15002I_004,C15002I_005,C15002I_006,C15002I_007,C15002I_008,C15002I_009,C15002I_010,C15002I_011,B15011_001,B15011_002,B15011_003,B15011_004,B15011_005,B15011_006,B15011_007,B15011_008,B15011_009,B15011_010,B15011_011,B15011_012,B15011_013,B15011_014,B15011_015,B15011_016,B15011_017,B15011_018,B15011_019,B15011_020,B15011_021,B15011_022,B15011_023,B15011_024,B15011_025,B15011_026,B15011_027,B15011_028,B15011_029,B15011_030,B15011_031,B15011_032,B15011_033,B15011_034,B15011_035,B15011_036,B15011_037,B15011_038,B15011_039,B15012_001,B15012_002,B15012_003,B15012_004,B15012_005,B15012_006,B15012_007,B15012_008,B15012_009,B15012_010,B15012_011,B15012_012,B15012_013,B15012_014,B15012_015,B15012_016,C15010_001,C15010_002,C15010_003,C15010_004,C15010_005,C15010_006,C15010A_001,C15010A_002,C15010A_003,C15010A_004,C15010A_005,C15010A_006,C15010B_001,C15010B_002,C15010B_003,C15010B_004,C15010B_005,C15010B_006,C15010C_001,C15010C_002,C15010C_003,C15010C_004,C15010C_005,C15010C_006,C15010D_001,C15010D_002,C15010D_003,C15010D_004,C15010D_005,C15010D_006,C15010E_001,C15010E_002,C15010E_003,C15010E_004,C15010E_005,C15010E_006,C15010F_001,C15010F_002,C15010F_003,C15010F_004,C15010F_005,C15010F_006,C15010G_001,C15010G_002,C15010G_003,C15010G_004,C15010G_005,C15010G_006,C15010H_001,C15010H_002,C15010H_003,C15010H_004,C15010H_005,C15010H_006,C15010I_001,C15010I_002,C15010I_003,C15010I_004,C15010I_005,C15010I_006
40,FL,12,,,,,04000US12,Florida,15868175,7664396,911184,21079,148586,304094,308970,69124,54974,4357,1277615,55228,115699,387224,278370,131155,228508,81431,1206776,60618,103108,355999,236393,118525,221477,110656,2565037,117653,207899,777504,515439,226151,453832,266559,1703784,129334,133242,450069,331120,101808,306030,252181,8203779,863304,11798,102263,231096,333694,95699,81748,7006,1254912,35199,76121,297046,278127,162545,287516,118358,1227496,42036,72593,296864,253640,155091,263460,143812,2764226,111424,175589,802475,593685,317067,495731,268255,2093841,184349,187294,743848,410476,135884,257743,174247,14093687,6753212,97313,52500,100550,112470,117863,140278,146890,154917,1970796,413466,947856,577639,1209847,442271,175331,93225,7340475,107742,53290,105278,106698,98320,124283,139261,149733,2140233,493372,1042556,770587,1304450,530258,109769,64645,14093687,205055,3594,2902,9022,18387,38486,33399,48702,157126,68482,150686,216183,264561,286151,304650,3516434,594595,906838,1990412,1348226,2514297,972529,285100,157870,11171108,5389289,652236,1537376,1562193,1637484,5781819,612162,1704092,1829367,1636198,1976440,914027,186598,326409,262225,138795,1062413,184253,325410,341777,210973,36975,18951,4162,5435,5707,3647,18024,2732,5551,6252,3489,370468,163571,18590,27363,33270,84348,206897,31965,38949,42614,93369,7559,3552,381,999,1335,837,4007,538,1198,1445,826,315446,157904,44723,46916,39695,26570,157542,38987,41285,44465,32805,215691,105918,16091,26298,34536,28993,109773,13968,23748,40595,31462,8504570,4110262,356173,1156743,1239091,1358255,4394308,325033,1317584,1449313,1302378,3113828,1503264,358016,447158,381478,316612,1610564,339118,445198,445963,380285,3929796,1920674,468635,188858,26892,131920,17462,103503,893828,359550,56594,260970,51445,165269,558211,229257,29322,155103,58863,85666,2009122,605040,168943,82173,133309,77259,143356,972092,222335,139896,223160,188340,198361,431990,69887,57443,43285,170457,90918,4172795,161746,202161,126101,199133,304269,314073,27147,416781,977344,583848,148333,188611,135016,154305,233927,3929796,1238830,392320,947747,563826,787073,3273682,1020504,304991,790698,491769,665720,349768,96345,46836,85298,48712,72577,7136,2311,784,1499,987,1555,177717,79834,27835,36820,10714,22514,1663,599,204,374,169,317,59375,18161,6136,18113,5899,11066,60455,21076,5534,14945,5576,13324,2660633,818231,243162,619809,416129,563302,696897,228695,70380,194432,84414,118976
40,FL,12,,,,,04001US12,Florida -- Urban,14469769,6940882,838208,18690,132183,274644,290495,65462,52463,4271,1171197,49139,98286,346621,256794,123913,218071,78373,1101295,54333,88064,318588,215689,111072,208817,104732,2300348,104216,178298,681926,460320,206214,421193,248181,1529834,117191,116451,396134,294980,91242,281387,232449,7528887,806398,10543,93937,211907,314583,90436,78247,6745,1168528,32187,68529,272543,257743,151595,272590,113341,1133054,39004,65334,271417,232124,142109,247737,135329,2507513,103609,156322,713851,535212,288836,461573,248110,1913394,174243,167419,671367,375463,125033,239545,160324,12825163,6102674,88389,48320,92465,95705,99279,116752,123856,141212,1743269,368929,858854,532441,1129468,412097,164627,87011,6722489,101530,50340,100857,96316,87902,107423,122538,139741,1929178,444723,955819,707573,1221445,493726,102967,60411,12825163,189919,3310,2699,8401,17277,35645,31328,45813,147509,60519,131502,187181,224175,246394,280953,3165995,506452,813652,1814673,1240014,2350913,905823,267594,147422,10068470,4830508,561379,1342889,1403262,1522978,5237962,548298,1514635,1653454,1521575,1863070,848759,167585,300778,248154,132242,1014311,175481,309842,326776,202212,30446,15554,3299,4364,5005,2886,14892,2192,4580,5222,2898,355746,157543,17798,26355,31970,81420,198203,30696,37314,40581,89612,6925,3179,363,931,1163,722,3746,512,1091,1428,715,300728,149569,41156,44403,38329,25681,151159,36292,39925,42993,31949,199778,97562,14398,23549,32341,27274,102216,13176,21791,37661,29588,7486292,3598049,282292,974887,1090500,1250370,3888243,270353,1138960,1284278,1194652,3009893,1445270,336575,430935,369119,308641,1564623,326993,432645,432966,372019,3671752,1793203,446508,179894,25181,126349,16328,98756,832859,334904,52378,244824,46870,153883,513836,211012,27053,143442,53228,79101,1878549,573625,160533,77483,127700,71925,135984,905055,208492,128389,209917,172327,185930,399869,64864,52598,40223,157050,85134,3899419,152752,184927,118525,186802,285673,295460,25554,385855,920202,536259,139901,175715,128359,147275,216160,3671752,1159699,363082,892455,517728,738788,3044553,951390,279299,740937,449699,623228,334454,91692,45008,82298,46022,69434,5784,1943,657,1193,802,1189,171032,76878,26694,35600,10316,21544,1437,488,146,324,162,317,57630,17622,6019,17847,5515,10627,56862,19686,5259,14256,5212,12449,2445022,753214,219161,573553,375940,523154,680660,223791,68545,190338,82106,115880
40,FL,12,,,,,04043US12,Florida -- Rural,1398406,723514,72976,2389,16403,29450,18475,3662,2511,86,106418,6089,17413,40603,21576,7242,10437,3058,105481,6285,15044,37411,20704,7453,12660,5924,264689,13437,29601,95578,55119,19937,32639,18378,173950,12143,16791,53935,36140,10566,24643,19732,674892,56906,1255,8326,19189,19111,5263,3501,261,86384,3012,7592,24503,20384,10950,14926,5017,94442,3032,7259,25447,21516,12982,15723,8483,256713,7815,19267,88624,58473,28231,34158,20145,180447,10106,19875,72481,35013,10851,18198,13923,1268524,650538,8924,4180,8085,16765,18584,23526,23034,13705,227527,44537,89002,45198,80379,30174,10704,6214,617986,6212,2950,4421,10382,10418,16860,16723,9992,211055,48649,86737,63014,83005,36532,6802,4234,1268524,15136,284,203,621,1110,2841,2071,2889,9617,7963,19184,29002,40386,39757,23697,350439,88143,93186,175739,108212,163384,66706,17506,10448,1102638,558781,90857,194487,158931,114506,543857,63864,189457,175913,114623,113370,65268,19013,25631,14071,6553,48102,8772,15568,15001,8761,6529,3397,863,1071,702,761,3132,540,971,1030,591,14722,6028,792,1008,1300,2928,8694,1269,1635,2033,3757,634,373,18,68,172,115,261,26,107,17,111,14718,8335,3567,2513,1366,889,6383,2695,1360,1472,856,15913,8356,1693,2749,2195,1719,7557,792,1957,2934,1874,1018278,512213,73881,181856,148591,107885,506065,54680,178624,165035,107726,103935,57994,21441,16223,12359,7971,45941,12125,12553,12997,8266,258044,127471,22127,8964,1711,5571,1134,4747,60969,24646,4216,16146,4575,11386,44375,18245,2269,11661,5635,6565,130573,31415,8410,4690,5609,5334,7372,67037,13843,11507,13243,16013,12431,32121,5023,4845,3062,13407,5784,273376,8994,17234,7576,12331,18596,18613,1593,30926,57142,47589,8432,12896,6657,7030,17767,258044,79131,29238,55292,46098,48285,229129,69114,25692,49761,42070,42492,15314,4653,1828,3000,2690,3143,1352,368,127,306,185,366,6685,2956,1141,1220,398,970,226,111,58,50,7,0,1745,539,117,266,384,439,3593,1390,275,689,364,875,215611,65017,24001,46256,40189,40148,16237,4904,1835,4094,2308,3096
40,FL,12,,,,,040A0US12,Florida -- In metropolitan or micropolitan statistical area,15589553,7510770,893350,20521,143402,296935,305078,68266,54816,4332,1249794,53527,109425,375676,272881,129876,227476,80933,1180774,59364,97472,345530,231114,117291,220076,109927,2513383,114082,199467,755667,505520,223152,450449,265046,1673469,126166,129449,439077,325306,100024,303168,250279,8078783,851886,11582,100099,227556,329478,94933,81258,6980,1237533,34490,74120,291333,273579,160565,285866,117580,1209921,41484,70982,291519,248890,152684,261403,142959,2719912,109339,171256,784423,583858,313058,491786,266192,2059531,181435,181742,729906,404329,134017,255438,172664,13844317,6617420,95384,51606,99057,107092,112340,132333,138968,152172,1915950,404705,930116,570343,1201169,439031,174570,92584,7226897,106109,52532,104174,103933,95545,119688,134945,147922,2097181,484091,1026565,760324,1294493,526006,109161,64228,13844317,201493,3586,2873,8882,18172,37750,32875,47803,155428,65893,145132,207885,252021,273913,300094,3441849,571282,888796,1956681,1330667,2495662,965037,283731,156812,10973232,5284845,629522,1495343,1534386,1625594,5688387,596871,1667838,1800331,1623347,1933471,887356,176842,315201,257454,137859,1046115,180623,319695,336451,209346,35247,18172,3932,5154,5502,3584,17075,2483,5198,5980,3414,369271,163064,18529,27203,33169,84163,206207,31839,38804,42511,93053,7328,3338,375,962,1168,833,3990,535,1184,1445,826,313673,156743,44265,46489,39464,26525,156930,38718,41129,44337,32746,212095,103902,15487,25598,34021,28796,108193,13779,23333,39925,31156,8317385,4013048,336414,1117046,1212719,1346869,4304337,310781,1282284,1421274,1289998,3100478,1494114,354292,444176,379638,316008,1606364,337793,444073,444796,379702,3901242,1907354,466175,188035,26763,131347,17208,102822,887732,357086,56202,259606,50884,163954,553447,227235,28983,154326,58006,84897,1993888,601023,168122,81466,132719,76201,142515,964763,221120,138791,222012,185659,197181,428102,69351,57034,43046,168663,90008,4142554,160886,200192,125305,197841,302262,312618,26955,413488,972451,576436,147443,186931,134480,153761,231505,3901242,1230949,389239,943056,556621,781377,3248941,1013638,302337,786657,485363,660946,347205,95742,46626,84887,48029,71921,6998,2278,757,1457,982,1524,177216,79644,27697,36712,10688,22475,1659,595,204,374,169,317,59271,18096,6136,18109,5886,11044,59952,20956,5482,14860,5504,13150,2636867,811680,240555,616076,409895,558661,695710,228292,70319,194078,84220,118801
40,FL,12,,,,,040C0US12,Florida -- In metropolitan statistical area,15308257,7362911,875199,19297,138928,289836,300857,67295,54665,4321,1225618,50526,105463,366709,268164,128608,225765,80383,1157609,55983,94190,336854,227340,116020,217807,109415,2463094,109162,193755,736888,495823,219918,445356,262192,1641391,122916,126321,428623,319365,98126,299355,246685,7945346,838987,11361,98115,222146,325937,93648,80801,6979,1217705,32976,72042,285294,269124,158467,283222,116580,1190232,39643,69537,284822,244767,150590,258859,142014,2672193,106055,167287,768465,572860,308658,486093,262775,2026229,178230,177860,717135,397852,132131,252597,170424,13594071,6487712,92751,49257,94473,102106,107632,128160,134598,149339,1869074,396358,914334,562672,1188283,434422,172739,91514,7106359,103831,50963,101495,100615,92807,116211,131654,146054,2055716,474997,1009606,749846,1280771,520194,107995,63604,13594071,196582,3510,2790,8562,17628,36192,31538,46323,149645,63511,139210,200439,244371,266252,295393,3370389,554401,871355,1923940,1312518,2469054,954616,280734,155118,10761540,5175529,604825,1456797,1507108,1606799,5586011,580031,1632515,1768817,1604648,1906097,872776,173026,308583,254328,136839,1033321,178031,314839,332664,207787,34050,17531,3718,5001,5257,3555,16519,2341,5093,5794,3291,367154,162303,18460,27082,32948,83813,204851,31699,38403,42235,92514,7176,3289,366,932,1158,833,3887,485,1145,1436,821,308801,153998,42805,45706,38995,26492,154803,37443,40692,44014,32654,209253,102286,15116,24973,33570,28627,106967,13600,23029,39489,30849,8144807,3926237,323569,1084570,1188748,1329350,4218570,300690,1251666,1393093,1273121,3055090,1468061,340469,437194,375730,314668,1587029,329568,438815,440936,377710,3859522,1886958,462341,186747,26467,130342,16936,101849,878577,353378,55567,257544,49886,162202,546040,223908,28453,152803,57277,83599,1972564,595593,166634,80708,131664,75115,141472,953950,218673,137012,220001,182836,195428,423021,68552,56173,42585,166821,88890,4098231,159585,197264,123967,195581,299151,309805,26681,408226,963974,568426,146034,184654,133275,152518,229090,3859522,1217892,384380,934939,548871,773440,3211447,1001748,298264,779461,478311,653663,344626,95119,46262,84339,47444,71462,6846,2254,734,1391,967,1500,176327,79428,27345,36506,10661,22387,1654,590,204,374,169,317,59146,18068,6130,18064,5851,11033,59476,20685,5441,14804,5468,13078,2602471,800739,236803,609597,403533,551799,692378,227230,69984,193314,83508,118342
40,FL,12,,,,,040C1US12,Florida -- In metropolitan statistical area -- in principal city,4244569,2043026,269762,5599,39858,80788,100987,20158,20698,1674,384251,14272,30543,109587,83016,36741,78283,31809,323706,15532,25342,91835,61830,31237,62961,34969,654027,30937,53371,194677,130228,55738,117040,72036,411280,33730,30370,101579,79126,24291,76307,65877,2201543,274643,2972,29621,66495,115446,28017,29498,2594,384293,8985,22280,88725,81067,45830,93962,43444,323402,11436,20415,78110,64355,40060,68699,40327,699895,29557,46073,198428,150577,77658,126226,71376,519310,48402,47353,176538,102232,32077,67853,44855,3700164,1773264,25841,13398,27082,28150,28901,36236,36622,37867,497678,106754,247446,148007,334591,124027,52692,27972,1926900,28482,14722,28660,26516,25259,34129,38034,38699,541801,126461,271770,195625,356740,146033,34082,19887,3700164,54323,847,898,2974,5231,8943,9227,13057,42685,17123,37543,54160,70365,74656,76566,894460,145019,233215,519216,343632,691331,270060,86774,47859,2763703,1344265,148986,358014,382126,455139,1419438,144542,394503,436025,444368,674573,303190,63774,109251,89081,41084,371383,67007,116674,121345,66357,9638,5019,1367,1393,1428,831,4619,695,1368,1833,723,105847,48120,5094,8267,9115,25644,57727,8913,10734,11503,26577,2028,1006,137,354,275,240,1022,147,301,386,188,83942,42370,10283,13139,10876,8072,41572,9102,11389,11347,9734,60433,29294,4456,7260,9306,8272,31139,4095,6832,11417,8795,2140411,1040707,74776,268012,309690,388229,1099704,71613,302503,356160,369428,743007,364235,89723,108866,88286,77360,378772,85805,107839,96682,88446,1096024,539282,159350,66159,7669,43783,4900,36839,237748,94225,14617,68492,13035,47379,142184,56941,7419,39705,15032,23087,556742,192588,58121,23770,40968,20291,49438,251446,60719,33343,56363,45090,55931,112708,18392,14352,11160,43517,25287,1168634,46924,59614,35266,56769,95610,80815,9278,107605,269246,146949,47061,57209,44443,49434,62411,1096024,354557,101170,260471,141865,237961,899507,286438,78497,214986,120022,199564,107441,30429,12249,25484,15766,23513,1554,619,177,289,238,231,52221,25211,7030,10329,2742,6909,428,198,71,66,53,40,17806,5572,1732,5364,1469,3669,17067,6090,1414,3953,1575,4035,757657,238510,64996,175639,104606,173906,165806,55375,15769,45879,17821,30962
40,FL,12,,,,,040C2US12,Florida -- In metropolitan statistical area -- not in principal city,11063688,5319885,605437,13698,99070,209048,199870,47137,33967,2647,841367,36254,74920,257122,185148,91867,147482,48574,833903,40451,68848,245019,165510,84783,154846,74446,1809067,78225,140384,542211,365595,164180,328316,190156,1230111,89186,95951,327044,240239,73835,223048,180808,5743803,564344,8389,68494,155651,210491,65631,51303,4385,833412,23991,49762,196569,188057,112637,189260,73136,866830,28207,49122,206712,180412,110530,190160,101687,1972298,76498,121214,570037,422283,231000,359867,191399,1506919,129828,130507,540597,295620,100054,184744,125569,9893907,4714448,66910,35859,67391,73956,78731,91924,97976,111472,1371396,289604,666888,414665,853692,310395,120047,63542,5179459,75349,36241,72835,74099,67548,82082,93620,107355,1513915,348536,737836,554221,924031,374161,73913,43717,9893907,142259,2663,1892,5588,12397,27249,22311,33266,106960,46388,101667,146279,174006,191596,218827,2475929,409382,638140,1404724,968886,1777723,684556,193960,107259,7997837,3831264,455839,1098783,1124982,1151660,4166573,435489,1238012,1332792,1160280,1231524,569586,109252,199332,165247,95755,661938,111024,198165,211319,141430,24412,12512,2351,3608,3829,2724,11900,1646,3725,3961,2568,261307,114183,13366,18815,23833,58169,147124,22786,27669,30732,65937,5148,2283,229,578,883,593,2865,338,844,1050,633,224859,111628,32522,32567,28119,18420,113231,28341,29303,32667,22920,148820,72992,10660,17713,24264,20355,75828,9505,16197,28072,22054,6004396,2885530,248793,816558,879058,941121,3118866,229077,949163,1036933,903693,2312083,1103826,250746,328328,287444,237308,1208257,243763,330976,344254,289264,2763498,1347676,302991,120588,18798,86559,12036,65010,640829,259153,40950,189052,36851,114823,403856,166967,21034,113098,42245,60512,1415822,403005,108513,56938,90696,54824,92034,702504,157954,103669,163638,137746,139497,310313,50160,41821,31425,123304,63603,2929597,112661,137650,88701,138812,203541,228990,17403,300621,694728,421477,98973,127445,88832,103084,166679,2763498,863335,283210,674468,407006,535479,2311940,715310,219767,564475,358289,454099,237185,64690,34013,58855,31678,47949,5292,1635,557,1102,729,1269,124106,54217,20315,26177,7919,15478,1226,392,133,308,116,277,41340,12496,4398,12700,4382,7364,42409,14595,4027,10851,3893,9043,1844814,562229,171807,433958,298927,377893,526572,171855,54215,147435,65687,87380
40,FL,12,,,,,040E0US12,Florida -- In micropolitan statistical area,281296,147859,18151,1224,4474,7099,4221,971,151,11,24176,3001,3962,8967,4717,1268,1711,550,23165,3381,3282,8676,3774,1271,2269,512,50289,4920,5712,18779,9697,3234,5093,2854,32078,3250,3128,10454,5941,1898,3813,3594,133437,12899,221,1984,5410,3541,1285,457,1,19828,1514,2078,6039,4455,2098,2644,1000,19689,1841,1445,6697,4123,2094,2544,945,47719,3284,3969,15958,10998,4400,5693,3417,33302,3205,3882,12771,6477,1886,2841,2240,250246,129708,2633,2349,4584,4986,4708,4173,4370,2833,46876,8347,15782,7671,12886,4609,1831,1070,120538,2278,1569,2679,3318,2738,3477,3291,1868,41465,9094,16959,10478,13722,5812,1166,624,250246,4911,76,83,320,544,1558,1337,1480,5783,2382,5922,7446,7650,7661,4701,71460,16881,17441,32741,18149,26608,10421,2997,1694,211692,109316,24697,38546,27278,18795,102376,16840,35323,31514,18699,27374,14580,3816,6618,3126,1020,12794,2592,4856,3787,1559,1197,641,214,153,245,29,556,142,105,186,123,2117,761,69,121,221,350,1356,140,401,276,539,152,49,9,30,10,0,103,50,39,9,5,4872,2745,1460,783,469,33,2127,1275,437,323,92,2842,1616,371,625,451,169,1226,179,304,436,307,172578,86811,12845,32476,23971,17519,85767,10091,30618,28181,16877,45388,26053,13823,6982,3908,1340,19335,8225,5258,3860,1992,41720,20396,3834,1288,296,1005,272,973,9155,3708,635,2062,998,1752,7407,3327,530,1523,729,1298,21324,5430,1488,758,1055,1086,1043,10813,2447,1779,2011,2823,1753,5081,799,861,461,1842,1118,44323,1301,2928,1338,2260,3111,2813,274,5262,8477,8010,1409,2277,1205,1243,2415,41720,13057,4859,8117,7750,7937,37494,11890,4073,7196,7052,7283,2579,623,364,548,585,459,152,24,23,66,15,24,889,216,352,206,27,88,5,5,0,0,0,0,125,28,6,45,35,11,476,271,41,56,36,72,34396,10941,3752,6479,6362,6862,3332,1062,335,764,712,459
40,FL,12,,,,,040E1US12,Florida -- In micropolitan statistical area -- in principal city,57713,28709,3990,276,772,1257,1359,326,0,0,5258,376,571,2126,1017,340,567,261,5131,592,298,1897,1065,290,816,173,9141,819,738,3280,1634,711,1339,620,5189,833,501,1612,737,270,552,684,29004,3260,55,457,1350,1008,205,185,0,4993,216,393,1288,1446,512,718,420,4915,338,318,1600,888,657,780,334,9528,773,792,3070,1893,991,1240,769,6308,825,636,2097,1422,291,602,435,50463,24719,475,501,836,808,529,742,576,261,8915,1612,2841,1611,3274,1071,450,217,25744,572,322,405,853,359,782,648,350,8055,1889,3760,2451,3340,1585,251,122,50463,1047,0,0,27,42,386,368,333,908,400,1261,888,1524,1224,611,14156,2814,3501,6601,4062,6614,2656,701,339,38768,19468,3599,6606,4815,4448,19300,2911,5745,6183,4461,9643,4342,937,2065,979,361,5301,985,2028,1738,550,142,128,17,61,50,0,14,0,0,8,6,666,231,0,23,28,180,435,0,195,23,217,19,10,0,0,10,0,9,0,0,9,0,808,341,111,127,94,9,467,395,49,23,0,417,199,64,33,88,14,218,0,38,116,64,30347,14996,1511,5242,4151,4092,15351,1584,4638,5145,3984,9453,4935,2245,1507,827,356,4518,1722,1182,1116,498,10310,5012,1520,420,115,431,250,304,2256,839,83,656,121,557,1236,531,62,202,137,304,5298,1709,375,195,416,353,370,2552,592,446,402,569,543,1037,99,155,129,426,228,10903,260,577,257,570,896,425,37,1098,2347,1941,525,625,343,370,632,10310,2856,1056,2236,1856,2306,8909,2584,713,1895,1632,2085,911,169,135,240,215,152,6,0,0,0,0,6,397,72,183,93,9,40,0,0,0,0,0,0,9,9,0,0,0,0,78,22,25,8,0,23,8076,2331,634,1663,1499,1949,854,253,79,240,146,136
40,FL,12,,,,,040E2US12,Florida -- In micropolitan statistical area -- not in principal city,223583,119150,14161,948,3702,5842,2862,645,151,11,18918,2625,3391,6841,3700,928,1144,289,18034,2789,2984,6779,2709,981,1453,339,41148,4101,4974,15499,8063,2523,3754,2234,26889,2417,2627,8842,5204,1628,3261,2910,104433,9639,166,1527,4060,2533,1080,272,1,14835,1298,1685,4751,3009,1586,1926,580,14774,1503,1127,5097,3235,1437,1764,611,38191,2511,3177,12888,9105,3409,4453,2648,26994,2380,3246,10674,5055,1595,2239,1805,199783,104989,2158,1848,3748,4178,4179,3431,3794,2572,37961,6735,12941,6060,9612,3538,1381,853,94794,1706,1247,2274,2465,2379,2695,2643,1518,33410,7205,13199,8027,10382,4227,915,502,199783,3864,76,83,293,502,1172,969,1147,4875,1982,4661,6558,6126,6437,4090,57304,14067,13940,26140,14087,19994,7765,2296,1355,172924,89848,21098,31940,22463,14347,83076,13929,29578,25331,14238,17731,10238,2879,4553,2147,659,7493,1607,2828,2049,1009,1055,513,197,92,195,29,542,142,105,178,117,1451,530,69,98,193,170,921,140,206,253,322,133,39,9,30,0,0,94,50,39,0,5,4064,2404,1349,656,375,24,1660,880,388,300,92,2425,1417,307,592,363,155,1008,179,266,320,243,142231,71815,11334,27234,19820,13427,70416,8507,25980,23036,12893,35935,21118,11578,5475,3081,984,14817,6503,4076,2744,1494,31410,15384,2314,868,181,574,22,669,6899,2869,552,1406,877,1195,6171,2796,468,1321,592,994,16026,3721,1113,563,639,733,673,8261,1855,1333,1609,2254,1210,4044,700,706,332,1416,890,33420,1041,2351,1081,1690,2215,2388,237,4164,6130,6069,884,1652,862,873,1783,31410,10201,3803,5881,5894,5631,28585,9306,3360,5301,5420,5198,1668,454,229,308,370,307,146,24,23,66,15,18,492,144,169,113,18,48,5,5,0,0,0,0,116,19,6,45,35,11,398,249,16,48,36,49,26320,8610,3118,4816,4863,4913,2478,809,256,524,566,323
