SummaryLevel,State,StateFIPS,CountyFIPS,PlaceFIPS,CBSACode,CongressDistrict,GEOID,AreaName,B15001_001,B15001_002,B15001_003,B15001_004,B15001_005,B15001_006,B15001_007,B15001_008,B15001_009,B15001_010,B15001_011,B15001_012,B15001_013,B15001_014,B15001_015,B15001_016,B15001_017,B15001_018,B15001_019,B15001_020,B15001_021,B15001_022,B15001_023,B15001_024,B15001_025,B15001_026,B15001_027,B15001_028,B15001_029,B15001_030,B15001_031,B15001_032,B15001_033,B15001_034,B15001_035,B15001_036,B15001_037,B15001_038,B15001_039,B15001_040,B15001_041,B15001_042,B15001_043,B15001_044,B15001_045,B15001_046,B15001_047,B15001_048,B15001_049,B15001_050,B15001_051,B15001_052,B15001_053,B15001_054,B15001_055,B15001_056,B15001_057,B15001_058,B15001_059,B15001_060,B15001_061,B15001_062,B15001_063,B15001_064,B15001_065,B15001_066,B15001_067,B15001_068,B15001_069,B15001_070,B15001_071,B15001_072,B15001_073,B15001_074,B15001_075,B15001_076,B15001_077,B15001_078,B15001_079,B15001_080,B15001_081,B15001_082,B15001_083,B15002_001,B15002_002,B15002_003,B15002_004,B15002_005,B15002_006,B15002_007,B15002_008,B15002_009,B15002_010,B15002_011,B15002_012,B15002_013,B15002_014,B15002_015,B15002_016,B15002_017,B15002_018,B15002_019,B15002_020,B15002_021,B15002_022,B15002_023,B15002_024,B15002_025,B15002_026,B15002_027,B15002_028,B15002_029,B15002_030,B15002_031,B15002_032,B15002_033,B15002_034,B15002_035,B15003_001,B15003_002,B15003_003,B15003_004,B15003_005,B15003_006,B15003_007,B15003_008,B15003_009,B15003_010,B15003_011,B15003_012,B15003_013,B15003_014,B15003_015,B15003_016,B15003_017,B15003_018,B15003_019,B15003_020,B15003_021,B15003_022,B15003_023,B15003_024,B15003_025,C15002A_001,C15002A_002,C15002A_003,C15002A_004,C15002A_005,C15002A_006,C15002A_007,C15002A_008,C15002A_009,C15002A_010,C15002A_011,C15002B_001,C15002B_002,C15002B_003,C15002B_004,C15002B_005,C15002B_006,C15002B_007,C15002B_008,C15002B_009,C15002B_010,C15002B_011,C15002C_001,C15002C_002,C15002C_003,C15002C_004,C15002C_005,C15002C_006,C15002C_007,C15002C_008,C15002C_009,C15002C_010,C15002C_011,C15002D_001,C15002D_002,C15002D_003,C15002D_004,C15002D_005,C15002D_006,C15002D_007,C15002D_008,C15002D_009,C15002D_010,C15002D_011,C15002E_001,C15002E_002,C15002E_003,C15002E_004,C15002E_005,C15002E_006,C15002E_007,C15002E_008,C15002E_009,C15002E_010,C15002E_011,C15002F_001,C15002F_002,C15002F_003,C15002F_004,C15002F_005,C15002F_006,C15002F_007,C15002F_008,C15002F_009,C15002F_010,C15002F_011,C15002G_001,C15002G_002,C15002G_003,C15002G_004,C15002G_005,C15002G_006,C15002G_007,C15002G_008,C15002G_009,C15002G_010,C15002G_011,C15002H_001,C15002H_002,C15002H_003,C15002H_004,C15002H_005,C15002H_006,C15002H_007,C15002H_008,C15002H_009,C15002H_010,C15002H_011,C15002I_001,C15002I_002,C15002I_003,C15002I_004,C15002I_005,C15002I_006,C15002I_007,C15002I_008,C15002I_009,C15002I_010,C15002I_011,B15011_001,B15011_002,B15011_003,B15011_004,B15011_005,B15011_006,B15011_007,B15011_008,B15011_009,B15011_010,B15011_011,B15011_012,B15011_013,B15011_014,B15011_015,B15011_016,B15011_017,B15011_018,B15011_019,B15011_020,B15011_021,B15011_022,B15011_023,B15011_024,B15011_025,B15011_026,B15011_027,B15011_028,B15011_029,B15011_030,B15011_031,B15011_032,B15011_033,B15011_034,B15011_035,B15011_036,B15011_037,B15011_038,B15011_039,B15012_001,B15012_002,B15012_003,B15012_004,B15012_005,B15012_006,B15012_007,B15012_008,B15012_009,B15012_010,B15012_011,B15012_012,B15012_013,B15012_014,B15012_015,B15012_016,C15010_001,C15010_002,C15010_003,C15010_004,C15010_005,C15010_006,C15010A_001,C15010A_002,C15010A_003,C15010A_004,C15010A_005,C15010A_006,C15010B_001,C15010B_002,C15010B_003,C15010B_004,C15010B_005,C15010B_006,C15010C_001,C15010C_002,C15010C_003,C15010C_004,C15010C_005,C15010C_006,C15010D_001,C15010D_002,C15010D_003,C15010D_004,C15010D_005,C15010D_006,C15010E_001,C15010E_002,C15010E_003,C15010E_004,C15010E_005,C15010E_006,C15010F_001,C15010F_002,C15010F_003,C15010F_004,C15010F_005,C15010F_006,C15010G_001,C15010G_002,C15010G_003,C15010G_004,C15010G_005,C15010G_006,C15010H_001,C15010H_002,C15010H_003,C15010H_004,C15010H_005,C15010H_006,C15010I_001,C15010I_002,C15010I_003,C15010I_004,C15010I_005,C15010I_006
40,GA,13,,,,,04000US13,Georgia,7604145,3651328,518976,12015,87715,174804,193150,16976,32110,2206,680829,33915,72123,197174,155139,44395,129287,48796,666732,37587,62787,186762,133631,45192,128294,72479,1244887,57183,115229,376941,245867,82957,227405,139305,539904,50404,54260,152627,97243,26609,88465,70296,3952817,495707,6439,64716,140640,212252,21699,46241,3720,698151,21805,53242,148416,170617,62763,162064,79244,708864,28289,45843,150744,158719,68436,151522,105311,1343704,48096,98359,382742,291904,121567,243720,157316,706391,67437,86251,255195,130073,32849,77943,56643,6589462,3132352,44675,23205,47797,63412,67178,87188,90512,59521,913504,170845,461035,199153,573451,217461,68354,45061,3457110,44197,19714,38505,63211,59687,81060,86808,56140,937097,204930,546383,285615,635249,297916,62704,37894,6589462,88872,824,1460,3901,7100,16751,12883,19431,66871,41386,85237,126865,168248,177320,115661,1528586,322015,375775,1007418,484768,1208700,515377,131058,82955,4158832,2023921,277640,562333,530120,653828,2134911,251109,594235,614416,675151,1930203,862063,147025,298845,255114,161079,1068140,144515,289670,368585,265370,18656,9381,2761,2506,2101,2013,9275,2036,2638,2839,1762,248838,116224,13570,17238,17822,67594,132614,20970,23930,21982,65732,3008,1416,131,566,466,253,1592,210,421,655,306,145706,80706,37215,23278,12493,7720,65000,25652,17618,12960,8770,84219,38641,5146,8738,12917,11840,45578,4830,8585,15491,16672,3857668,1864996,211012,522621,502488,628875,1992672,199229,559591,585203,648649,478431,256106,110135,66874,44240,34857,222325,81471,55206,47096,38552,1938090,904327,272916,113035,12896,73132,11579,62274,472650,189608,25983,144256,24738,88065,158761,63655,9186,45162,14687,26071,1033763,367181,105795,42372,76352,52487,90175,531996,123078,64283,124959,106451,113225,134586,22703,16433,12120,53706,29624,2054428,104729,108055,58649,96478,143445,141492,11102,183836,488770,272484,77449,90124,72275,83876,121664,1938090,617874,171153,475981,263648,409434,1328979,404132,114950,323736,198822,287339,426449,125311,40266,115479,54310,91083,3775,1164,376,822,457,956,133326,71087,12142,24987,5503,19607,559,223,44,162,24,106,16490,4916,1289,4673,1817,3795,28512,11041,2086,6122,2715,6548,1277524,384746,111070,310247,194314,277147,73409,26189,5491,19783,6875,15071
40,GA,13,,,,,04001US13,Georgia -- Urban,5711510,2713240,411733,9269,64307,132448,161864,12847,29080,1918,543460,27946,51818,144854,124046,35209,114955,44632,511868,30380,44089,128454,100098,34814,110617,63416,893590,38976,70366,241788,177699,61508,186636,116617,352589,28819,31163,89862,64537,18130,66390,53688,2998270,401410,4781,49448,110033,176384,16658,40794,3312,563527,18011,40270,111321,134392,48361,141700,69472,555572,22878,34246,108348,121017,51285,128375,89423,986084,36111,66297,251792,214463,89347,202033,126041,491677,45790,55651,165642,94611,23991,61974,44018,4898367,2301507,31921,17953,36986,39261,42835,53560,57947,43094,604958,119083,347297,149661,478598,184808,56140,37405,2596860,33536,15134,30827,43293,40673,53721,58912,43158,637103,149045,415438,212984,534082,247124,49583,32247,4898367,65457,640,1031,3112,5475,13364,9465,14504,53309,28152,54402,83508,107281,116859,86252,1041296,200765,268128,762735,362645,1012680,431932,105723,69652,2778027,1345590,159162,313085,348624,524719,1432437,154169,346128,400836,531304,1674137,736489,114502,246195,227423,148369,937648,117919,244674,329412,245643,14653,7489,2450,1770,1644,1625,7164,1666,1877,2300,1321,234286,110193,12547,16270,16614,64762,124093,19593,22045,19940,62515,2368,1151,126,502,326,197,1217,194,344,492,187,125919,69110,30890,20194,10994,7032,56809,21746,15692,11876,7495,68977,31485,3880,6942,10416,10247,37492,3967,6343,12611,14571,2515042,1207186,101765,278802,324466,502153,1307856,108967,315975,375200,507714,417842,222780,94253,58072,38749,31706,195062,70626,48297,42134,34005,1619987,756951,242368,102265,11594,64816,8854,54839,394505,159288,20977,122229,18083,73928,120078,49005,6734,34019,10254,20066,863036,318509,95070,35265,67580,39789,80805,438535,105981,50668,106403,78366,97117,105992,18559,12547,9781,40837,24268,1719069,93615,85981,49543,81423,125882,123252,9797,148133,415960,203257,68197,74766,63714,75487,100062,1619987,530168,137785,404828,196183,351023,1056023,329931,86165,263097,139624,237206,394012,116511,37163,107841,47328,85169,2946,852,283,727,325,759,127277,68383,11362,23618,5221,18693,384,156,28,80,21,99,14527,4513,1059,4133,1622,3200,24818,9822,1725,5332,2042,5897,1009867,312640,82728,250617,135735,228147,65711,23461,4817,18251,5963,13219
40,GA,13,,,,,04043US13,Georgia -- Rural,1892635,938088,107243,2746,23408,42356,31286,4129,3030,288,137369,5969,20305,52320,31093,9186,14332,4164,154864,7207,18698,58308,33533,10378,17677,9063,351297,18207,44863,135153,68168,21449,40769,22688,187315,21585,23097,62765,32706,8479,22075,16608,954547,94297,1658,15268,30607,35868,5041,5447,408,134624,3794,12972,37095,36225,14402,20364,9772,153292,5411,11597,42396,37702,17151,23147,15888,357620,11985,32062,130950,77441,32220,41687,31275,214714,21647,30600,89553,35462,8858,15969,12625,1691095,830845,12754,5252,10811,24151,24343,33628,32565,16427,308546,51762,113738,49492,94853,32653,12214,7656,860250,10661,4580,7678,19918,19014,27339,27896,12982,299994,55885,130945,72631,101167,50792,13121,5647,1691095,23415,184,429,789,1625,3387,3418,4927,13562,13234,30835,43357,60967,60461,29409,487290,121250,107647,244683,122123,196020,83445,25335,13303,1380805,678331,118478,249248,181496,129109,702474,96940,248107,213580,143847,256066,125574,32523,52650,27691,12710,130492,26596,44996,39173,19727,4003,1892,311,736,457,388,2111,370,761,539,441,14552,6031,1023,968,1208,2832,8521,1377,1885,2042,3217,640,265,5,64,140,56,375,16,77,163,119,19787,11596,6325,3084,1499,688,8191,3906,1926,1084,1275,15242,7156,1266,1796,2501,1593,8086,863,2242,2880,2101,1342626,657810,109247,243819,178022,126722,684816,90262,243616,210003,140935,60589,33326,15882,8802,5491,3151,27263,10845,6909,4962,4547,318103,147376,30548,10770,1302,8316,2725,7435,78145,30320,5006,22027,6655,14137,38683,14650,2452,11143,4433,6005,170727,48672,10725,7107,8772,12698,9370,93461,17097,13615,18556,28085,16108,28594,4144,3886,2339,12869,5356,335359,11114,22074,9106,15055,17563,18240,1305,35703,72810,69227,9252,15358,8561,8389,21602,318103,87706,33368,71153,67465,58411,272956,74201,28785,60639,59198,50133,32437,8800,3103,7638,6982,5914,829,312,93,95,132,197,6049,2704,780,1369,282,914,175,67,16,82,3,7,1963,403,230,540,195,595,3694,1219,361,790,673,651,267657,72106,28342,59630,58579,49000,7698,2728,674,1532,912,1852
40,GA,13,,,,,040A0US13,Georgia -- In metropolitan or micropolitan statistical area,6990682,3343447,480214,10603,78367,160164,182722,15117,31101,2140,631397,30839,62957,175831,146378,41739,125797,47856,617743,34539,55193,164934,125007,42466,124791,70813,1138085,50231,98662,331647,228233,76431,218628,134253,476008,42334,45707,130550,87180,23673,81420,65144,3647235,463219,5529,59350,129442,200168,20010,45187,3533,656202,20368,48003,135507,159065,58410,157807,77042,663419,26588,41457,135385,148694,63092,146391,101812,1236452,43684,86584,340905,269854,111995,233815,149615,627943,58628,74221,223896,117531,29694,72023,51950,6047249,2863233,40353,20700,42787,54103,57659,73372,77096,54392,802962,157323,429475,184309,550636,209201,65759,43106,3184016,40356,17836,35496,55580,52308,70074,76243,51640,835693,188054,507090,263191,610036,284770,59182,36467,6047249,80709,761,1256,3527,6305,15263,11424,17039,61244,36046,73637,109967,143446,153339,106032,1356823,281832,345377,936565,447500,1160672,493971,124941,79573,3766031,1830294,240308,485750,482238,621998,1935737,221035,522154,554574,637974,1797954,796716,125921,267937,244470,158388,1001238,127309,262428,351125,260376,17175,8626,2607,2175,1989,1855,8549,1656,2443,2745,1705,246090,114864,13217,17000,17536,67111,131226,20710,23646,21672,65198,2936,1364,124,566,428,246,1572,202,420,644,306,136375,74528,33737,21380,11868,7543,61847,24048,16553,12729,8517,80688,36841,4548,8154,12578,11561,43847,4573,8049,14846,16379,3477600,1679127,177505,448561,455602,597459,1798473,171321,488959,526343,611850,454126,240685,101859,62185,42437,34204,213441,77268,52543,45675,37955,1859157,868702,266237,110960,12562,71189,10827,60699,455901,183472,24974,140064,22831,84560,146564,59291,8482,41705,13113,23973,990455,356388,103602,40464,74719,49353,88250,510094,119408,61458,121096,98730,109402,123973,21149,14932,11348,48639,27905,1970977,102507,102250,56255,93090,139498,137732,10708,175001,472610,251830,75240,85745,70076,81983,116452,1859157,597882,162872,460121,243493,394789,1259972,386387,107831,309963,181122,274669,418764,123663,39365,114002,52116,89618,3560,1112,335,814,414,885,132309,70746,12035,24669,5423,19436,552,223,44,155,24,106,16060,4814,1237,4542,1773,3694,27940,10937,2025,5976,2621,6381,1209309,367359,104016,296589,176727,264618,72159,25714,5374,19579,6703,14789
40,GA,13,,,,,040C0US13,Georgia -- In metropolitan statistical area,6240666,2979265,421727,8788,67061,140557,160619,13257,29446,1999,568794,27206,53418,153110,132043,37351,119724,45942,558368,30908,47618,142192,112123,39090,119123,67314,1016367,43511,81955,282558,205854,69558,206479,126452,414009,33564,38288,109615,76547,21024,75105,59866,3261401,409556,4560,51854,113919,175774,17630,42531,3288,594996,18422,41675,117628,142835,51752,150229,72455,601489,23349,35357,118180,133816,55547,139222,96018,1108145,38058,72414,292764,243327,100474,222452,138656,547215,48748,61352,192040,105128,26258,66514,47175,5409383,2557538,34022,17476,37650,46041,48665,61403,63671,47540,687475,138149,388418,167023,520431,198126,61672,39776,2851845,35392,15132,31410,46643,43999,57718,63590,45491,720612,167468,457638,234031,578417,265771,54569,33964,5409383,69414,639,1047,3013,5330,13030,9549,14612,54448,30428,62256,92664,119121,127261,93031,1172888,235199,305617,846056,401054,1098848,463897,116241,73740,3305356,1607351,199915,404883,422423,580130,1698005,183816,439823,482742,591624,1647866,727281,107595,236608,229385,153693,920585,109111,233017,326881,251576,15363,7807,2307,1998,1759,1743,7556,1563,2099,2342,1552,239121,111924,12648,16397,16831,66048,127197,19781,22708,20692,64016,2626,1188,57,513,384,234,1438,141,398,609,290,124469,67836,29926,19662,11128,7120,56633,20859,15520,12121,8133,74582,34151,4020,7414,11680,11037,40431,4104,7047,13750,15530,3036885,1467367,143122,370281,397342,556622,1569518,138002,408750,456080,566686,420972,222181,91829,57700,39887,32765,198791,69992,49284,43292,36223,1752726,820005,254203,106629,12014,68321,9750,57489,430831,174750,23260,133415,19968,79438,134971,55432,7636,38584,11335,21984,932721,338171,99517,38125,71775,44539,84215,480861,114282,56981,115618,89058,104922,113689,20038,13842,10626,43270,25913,1858560,99117,95314,53339,87961,133287,133218,10269,163194,450302,225708,71859,80180,67161,79343,108308,1752726,570648,151858,438339,217920,373961,1171754,364196,98847,291838,158958,257915,405269,120209,37819,111489,49288,86464,3295,1030,299,734,393,839,130064,69783,11667,24184,5303,19127,524,223,44,127,24,106,15253,4634,1191,4282,1595,3551,26567,10573,1991,5685,2359,5959,1123308,345827,95217,279023,154884,248357,68988,24835,5147,18770,6146,14090
40,GA,13,,,,,040C1US13,Georgia -- In metropolitan statistical area -- in principal city,1511547,722316,128739,2500,15429,36238,57813,3450,12267,1042,163824,6611,14265,38210,36404,9464,39059,19811,125713,7012,11575,28835,23656,7774,27691,19170,211872,9337,19170,54593,41600,11739,42341,33092,92168,7498,9243,20663,15655,4163,17722,17224,789231,128547,1162,12967,30004,63245,4685,15209,1275,165231,3943,10718,29835,38719,12934,44235,24847,127932,4472,9045,23590,27487,11266,29160,22912,233729,7445,17801,57196,52408,18353,47508,33018,133792,12444,15883,41398,25440,5711,20052,12864,1254261,593577,7865,4323,8323,9947,11893,14494,16966,10900,142301,26869,90446,33140,126813,55635,21533,12129,660684,7413,3810,6898,10183,10653,14570,17699,10525,152019,35501,108553,48264,140955,68283,15513,9845,1254261,15278,240,303,778,1390,3358,2064,2933,12288,6614,13516,22546,29064,34665,21425,247102,47218,62370,198999,81404,267768,123918,37046,21974,647404,321098,32602,55447,75262,157787,326306,29125,61539,82777,152865,516316,228342,44371,79743,66952,37276,287974,45310,82567,99246,60851,4821,2611,950,588,515,558,2210,458,532,912,308,45266,21896,1329,2217,2330,16020,23370,2356,3296,2958,14760,850,472,22,203,138,109,378,36,100,205,37,20822,10512,4546,2282,2309,1375,10310,3319,2322,2889,1780,18782,8646,891,1821,2949,2985,10136,1147,1663,3331,3995,589346,289481,19558,48378,69493,152052,299865,19375,55437,78277,146776,86808,46361,19050,10062,9376,7873,40447,13999,9298,8613,8537,450706,216110,82981,36544,3461,21814,2335,18827,98183,39189,5194,29741,3799,20260,34946,14048,2006,9192,3284,6416,234596,96703,30571,9716,19945,8903,27568,104977,26967,11035,24138,16230,26607,32916,6160,3231,3172,12234,8119,480863,25675,26504,14519,24108,41394,30459,3079,37285,111006,48333,23376,23141,21749,23263,26972,450706,153479,34643,108002,46785,107797,310652,101647,22754,75999,31898,78354,98127,29717,8460,24888,12927,22135,866,236,66,212,56,296,30780,17806,2724,4695,1161,4394,146,88,14,21,0,23,3155,1053,288,808,238,768,6980,2932,337,1379,505,1827,298828,97214,22038,73082,30990,75504,16410,6049,1040,3989,1134,4198
40,GA,13,,,,,040C2US13,Georgia -- In metropolitan statistical area -- not in principal city,4729119,2256949,292988,6288,51632,104319,102806,9807,17179,957,404970,20595,39153,114900,95639,27887,80665,26131,432655,23896,36043,113357,88467,31316,91432,48144,804495,34174,62785,227965,164254,57819,164138,93360,321841,26066,29045,88952,60892,16861,57383,42642,2472170,281009,3398,38887,83915,112529,12945,27322,2013,429765,14479,30957,87793,104116,38818,105994,47608,473557,18877,26312,94590,106329,44281,110062,73106,874416,30613,54613,235568,190919,82121,174944,105638,413423,36304,45469,150642,79688,20547,46462,34311,4155122,1963961,26157,13153,29327,36094,36772,46909,46705,36640,545174,111280,297972,133883,393618,142491,40139,27647,2191161,27979,11322,24512,36460,33346,43148,45891,34966,568593,131967,349085,185767,437462,197488,39056,24119,4155122,54136,399,744,2235,3940,9672,7485,11679,42160,23814,48740,70118,90057,92596,71606,925786,187981,243247,647057,319650,831080,339979,79195,51766,2657952,1286253,167313,349436,347161,422343,1371699,154691,378284,399965,438759,1131550,498939,63224,156865,162433,116417,632611,63801,150450,227635,190725,10542,5196,1357,1410,1244,1185,5346,1105,1567,1430,1244,193855,90028,11319,14180,14501,50028,103827,17425,19412,17734,49256,1776,716,35,310,246,125,1060,105,298,404,253,103647,57324,25380,17380,8819,5745,46323,17540,13198,9232,6353,55800,25505,3129,5593,8731,8052,30295,2957,5384,10419,11535,2447539,1177886,123564,321903,327849,404570,1269653,118627,353313,377803,419910,334164,175820,72779,47638,30511,24892,158344,55993,39986,34679,27686,1302020,603895,171222,70085,8553,46507,7415,38662,332648,135561,18066,103674,16169,59178,100025,41384,5630,29392,8051,15568,698125,241468,68946,28409,51830,35636,56647,375884,87315,45946,91480,72828,78315,80773,13878,10611,7454,31036,17794,1377697,73442,68810,38820,63853,91893,102759,7190,125909,339296,177375,48483,57039,45412,56080,81336,1302020,417169,117215,330337,171135,266164,861102,262549,76093,215839,127060,179561,307142,90492,29359,86601,36361,64329,2429,794,233,522,337,543,99284,51977,8943,19489,4142,14733,378,135,30,106,24,83,12098,3581,903,3474,1357,2783,19587,7641,1654,4306,1854,4132,824480,248613,73179,205941,123894,172853,52578,18786,4107,14781,5012,9892
40,GA,13,,,,,040E0US13,Georgia -- In micropolitan statistical area,750016,364182,58487,1815,11306,19607,22103,1860,1655,141,62603,3633,9539,22721,14335,4388,6073,1914,59375,3631,7575,22742,12884,3376,5668,3499,121718,6720,16707,49089,22379,6873,12149,7801,61999,8770,7419,20935,10633,2649,6315,5278,385834,53663,969,7496,15523,24394,2380,2656,245,61206,1946,6328,17879,16230,6658,7578,4587,61930,3239,6100,17205,14878,7545,7169,5794,128307,5626,14170,48141,26527,11521,11363,10959,80728,9880,12869,31856,12403,3436,5509,4775,637866,305695,6331,3224,5137,8062,8994,11969,13425,6852,115487,19174,41057,17286,30205,11075,4087,3330,332171,4964,2704,4086,8937,8309,12356,12653,6149,115081,20586,49452,29160,31619,18999,4613,2503,637866,11295,122,209,514,975,2233,1875,2427,6796,5618,11381,17303,24325,26078,13001,183935,46633,39760,90509,46446,61824,30074,8700,5833,460675,222943,40393,80867,59815,41868,237732,37219,82331,71832,46350,150088,69435,18326,31329,15085,4695,80653,18198,29411,24244,8800,1812,819,300,177,230,112,993,93,344,403,153,6969,2940,569,603,705,1063,4029,929,938,980,1182,310,176,67,53,44,12,134,61,22,35,16,11906,6692,3811,1718,740,423,5214,3189,1033,608,384,6106,2690,528,740,898,524,3416,469,1002,1096,849,440715,211760,34383,78280,58260,40837,228955,33319,80209,70263,45164,33154,18504,10030,4485,2550,1439,14650,7276,3259,2383,1732,106431,48697,12034,4331,548,2868,1077,3210,25070,8722,1714,6649,2863,5122,11593,3859,846,3121,1778,1989,57734,18217,4085,2339,2944,4814,4035,29233,5126,4477,5478,9672,4480,10284,1111,1090,722,5369,1992,112417,3390,6936,2916,5129,6211,4514,439,11807,22308,26122,3381,5565,2915,2640,8144,106431,27234,11014,21782,25573,20828,88218,22191,8984,18125,22164,16754,13495,3454,1546,2513,2828,3154,265,82,36,80,21,46,2245,963,368,485,120,309,28,0,0,28,0,0,807,180,46,260,178,143,1373,364,34,291,262,422,86001,21532,8799,17566,21843,16261,3171,879,227,809,557,699
40,GA,13,,,,,040E1US13,Georgia -- In micropolitan statistical area -- in principal city,240715,110714,23950,438,3837,6562,11587,705,781,40,21090,1254,2946,7335,4746,1501,2560,748,16463,1039,2240,6127,3489,697,1725,1146,31973,1975,3920,12183,5701,1660,3601,2933,17238,2595,2076,5013,2706,782,2145,1921,130001,26108,307,2956,6696,13824,940,1275,110,21565,678,2790,5768,5488,2453,2734,1654,19095,1010,2171,5513,4303,2470,2008,1620,36945,2000,4248,13245,7330,3089,3549,3484,26288,3816,3853,9533,3915,1090,2207,1874,190657,86764,2055,1108,1691,2009,1855,3063,4017,2247,30658,4953,11689,4640,10031,3953,1459,1336,103893,1996,1083,1239,3186,2480,4190,3856,2536,34059,5736,15300,9102,10498,6626,1213,793,190657,4051,67,69,146,296,938,675,827,2103,1960,3235,4335,7253,7873,4783,52964,11753,10689,26989,13742,20529,10579,2672,2129,105663,49081,7479,15038,12933,13631,56582,9100,17249,16209,14024,74903,32506,8670,14408,7198,2230,42397,9908,15556,12733,4200,616,207,76,0,75,56,409,11,174,177,47,3017,1425,235,240,426,524,1592,372,376,380,464,169,111,62,18,31,0,58,11,12,35,0,4484,2662,1413,767,352,130,1822,1005,418,276,123,1805,772,110,187,267,208,1033,159,274,328,272,99041,45325,5809,13918,12363,13235,53716,7836,16688,15520,13672,11881,6755,3265,1976,956,558,5126,2419,1072,1124,511,35909,16779,4522,1701,193,985,346,1297,8191,2744,372,2089,861,2125,4066,1349,368,970,609,770,19130,6125,1468,551,978,1552,1576,8924,1766,1105,1605,2809,1639,4081,497,311,190,2202,881,38249,1332,2166,802,1821,2732,1490,142,3163,7003,8568,1350,2018,1117,1153,3392,35909,9525,2900,6817,8379,8288,27655,7007,2155,5521,6758,6214,6430,1864,549,930,1411,1676,103,23,13,50,0,17,988,450,148,175,47,168,0,0,0,0,0,0,253,90,29,44,72,18,480,91,6,97,91,195,26907,6798,2113,5261,6666,6069,1069,318,71,326,164,190
40,GA,13,,,,,040E2US13,Georgia -- In micropolitan statistical area -- not in principal city,509301,253468,34537,1377,7469,13045,10516,1155,874,101,41513,2379,6593,15386,9589,2887,3513,1166,42912,2592,5335,16615,9395,2679,3943,2353,89745,4745,12787,36906,16678,5213,8548,4868,44761,6175,5343,15922,7927,1867,4170,3357,255833,27555,662,4540,8827,10570,1440,1381,135,39641,1268,3538,12111,10742,4205,4844,2933,42835,2229,3929,11692,10575,5075,5161,4174,91362,3626,9922,34896,19197,8432,7814,7475,54440,6064,9016,22323,8488,2346,3302,2901,447209,218931,4276,2116,3446,6053,7139,8906,9408,4605,84829,14221,29368,12646,20174,7122,2628,1994,228278,2968,1621,2847,5751,5829,8166,8797,3613,81022,14850,34152,20058,21121,12373,3400,1710,447209,7244,55,140,368,679,1295,1200,1600,4693,3658,8146,12968,17072,18205,8218,130971,34880,29071,63520,32704,41295,19495,6028,3704,355012,173862,32914,65829,46882,28237,181150,28119,65082,55623,32326,75185,36929,9656,16921,7887,2465,38256,8290,13855,11511,4600,1196,612,224,177,155,56,584,82,170,226,106,3952,1515,334,363,279,539,2437,557,562,600,718,141,65,5,35,13,12,76,50,10,0,16,7422,4030,2398,951,388,293,3392,2184,615,332,261,4301,1918,418,553,631,316,2383,310,728,768,577,341674,166435,28574,64362,45897,27602,175239,25483,63521,54743,31492,21273,11749,6765,2509,1594,881,9524,4857,2187,1259,1221,70522,31918,7512,2630,355,1883,731,1913,16879,5978,1342,4560,2002,2997,7527,2510,478,2151,1169,1219,38604,12092,2617,1788,1966,3262,2459,20309,3360,3372,3873,6863,2841,6203,614,779,532,3167,1111,74168,2058,4770,2114,3308,3479,3024,297,8644,15305,17554,2031,3547,1798,1487,4752,70522,17709,8114,14965,17194,12540,60563,15184,6829,12604,15406,10540,7065,1590,997,1583,1417,1478,162,59,23,30,21,29,1257,513,220,310,73,141,28,0,0,28,0,0,554,90,17,216,106,125,893,273,28,194,171,227,59094,14734,6686,12305,15177,10192,2102,561,156,483,393,509
