SummaryLevel,State,StateFIPS,CountyFIPS,PlaceFIPS,CBSACode,CongressDistrict,GEOID,AreaName,B15001_001,B15001_002,B15001_003,B15001_004,B15001_005,B15001_006,B15001_007,B15001_008,B15001_009,B15001_010,B15001_011,B15001_012,B15001_013,B15001_014,B15001_015,B15001_016,B15001_017,B15001_018,B15001_019,B15001_020,B15001_021,B15001_022,B15001_023,B15001_024,B15001_025,B15001_026,B15001_027,B15001_028,B15001_029,B15001_030,B15001_031,B15001_032,B15001_033,B15001_034,B15001_035,B15001_036,B15001_037,B15001_038,B15001_039,B15001_040,B15001_041,B15001_042,B15001_043,B15001_044,B15001_045,B15001_046,B15001_047,B15001_048,B15001_049,B15001_050,B15001_051,B15001_052,B15001_053,B15001_054,B15001_055,B15001_056,B15001_057,B15001_058,B15001_059,B15001_060,B15001_061,B15001_062,B15001_063,B15001_064,B15001_065,B15001_066,B15001_067,B15001_068,B15001_069,B15001_070,B15001_071,B15001_072,B15001_073,B15001_074,B15001_075,B15001_076,B15001_077,B15001_078,B15001_079,B15001_080,B15001_081,B15001_082,B15001_083,B15002_001,B15002_002,B15002_003,B15002_004,B15002_005,B15002_006,B15002_007,B15002_008,B15002_009,B15002_010,B15002_011,B15002_012,B15002_013,B15002_014,B15002_015,B15002_016,B15002_017,B15002_018,B15002_019,B15002_020,B15002_021,B15002_022,B15002_023,B15002_024,B15002_025,B15002_026,B15002_027,B15002_028,B15002_029,B15002_030,B15002_031,B15002_032,B15002_033,B15002_034,B15002_035,B15003_001,B15003_002,B15003_003,B15003_004,B15003_005,B15003_006,B15003_007,B15003_008,B15003_009,B15003_010,B15003_011,B15003_012,B15003_013,B15003_014,B15003_015,B15003_016,B15003_017,B15003_018,B15003_019,B15003_020,B15003_021,B15003_022,B15003_023,B15003_024,B15003_025,C15002A_001,C15002A_002,C15002A_003,C15002A_004,C15002A_005,C15002A_006,C15002A_007,C15002A_008,C15002A_009,C15002A_010,C15002A_011,C15002B_001,C15002B_002,C15002B_003,C15002B_004,C15002B_005,C15002B_006,C15002B_007,C15002B_008,C15002B_009,C15002B_010,C15002B_011,C15002C_001,C15002C_002,C15002C_003,C15002C_004,C15002C_005,C15002C_006,C15002C_007,C15002C_008,C15002C_009,C15002C_010,C15002C_011,C15002D_001,C15002D_002,C15002D_003,C15002D_004,C15002D_005,C15002D_006,C15002D_007,C15002D_008,C15002D_009,C15002D_010,C15002D_011,C15002E_001,C15002E_002,C15002E_003,C15002E_004,C15002E_005,C15002E_006,C15002E_007,C15002E_008,C15002E_009,C15002E_010,C15002E_011,C15002F_001,C15002F_002,C15002F_003,C15002F_004,C15002F_005,C15002F_006,C15002F_007,C15002F_008,C15002F_009,C15002F_010,C15002F_011,C15002G_001,C15002G_002,C15002G_003,C15002G_004,C15002G_005,C15002G_006,C15002G_007,C15002G_008,C15002G_009,C15002G_010,C15002G_011,C15002H_001,C15002H_002,C15002H_003,C15002H_004,C15002H_005,C15002H_006,C15002H_007,C15002H_008,C15002H_009,C15002H_010,C15002H_011,C15002I_001,C15002I_002,C15002I_003,C15002I_004,C15002I_005,C15002I_006,C15002I_007,C15002I_008,C15002I_009,C15002I_010,C15002I_011,B15011_001,B15011_002,B15011_003,B15011_004,B15011_005,B15011_006,B15011_007,B15011_008,B15011_009,B15011_010,B15011_011,B15011_012,B15011_013,B15011_014,B15011_015,B15011_016,B15011_017,B15011_018,B15011_019,B15011_020,B15011_021,B15011_022,B15011_023,B15011_024,B15011_025,B15011_026,B15011_027,B15011_028,B15011_029,B15011_030,B15011_031,B15011_032,B15011_033,B15011_034,B15011_035,B15011_036,B15011_037,B15011_038,B15011_039,B15012_001,B15012_002,B15012_003,B15012_004,B15012_005,B15012_006,B15012_007,B15012_008,B15012_009,B15012_010,B15012_011,B15012_012,B15012_013,B15012_014,B15012_015,B15012_016,C15010_001,C15010_002,C15010_003,C15010_004,C15010_005,C15010_006,C15010A_001,C15010A_002,C15010A_003,C15010A_004,C15010A_005,C15010A_006,C15010B_001,C15010B_002,C15010B_003,C15010B_004,C15010B_005,C15010B_006,C15010C_001,C15010C_002,C15010C_003,C15010C_004,C15010C_005,C15010C_006,C15010D_001,C15010D_002,C15010D_003,C15010D_004,C15010D_005,C15010D_006,C15010E_001,C15010E_002,C15010E_003,C15010E_004,C15010E_005,C15010E_006,C15010F_001,C15010F_002,C15010F_003,C15010F_004,C15010F_005,C15010F_006,C15010G_001,C15010G_002,C15010G_003,C15010G_004,C15010G_005,C15010G_006,C15010H_001,C15010H_002,C15010H_003,C15010H_004,C15010H_005,C15010H_006,C15010I_001,C15010I_002,C15010I_003,C15010I_004,C15010I_005,C15010I_006
40,ID,16,,,,,04000US16,Idaho,1204163,598742,81114,1092,11223,31233,30357,3657,3422,130,108675,2814,7903,32641,29619,10612,19459,5627,101390,4646,7045,27116,24064,8564,20416,9539,197838,8541,11870,56302,49657,18956,33205,19307,109725,5388,7840,28959,27730,6700,18590,14518,605421,75443,757,7881,22809,32664,5059,5847,426,105603,2492,6017,25486,30450,11990,22468,6700,99044,3311,4973,22781,25510,11864,22117,8488,201710,6955,9583,53592,59208,21231,34926,16215,123621,5603,10189,42208,34296,7916,16218,7191,1047606,517628,5781,3185,5751,6672,6183,9150,10311,9014,145018,40571,90499,44832,91670,30891,10407,7693,529978,4928,2934,4925,5574,5658,8000,9749,7355,144067,49702,99762,53001,95729,29705,5277,3612,1047606,10709,192,125,526,1022,2199,2055,1737,8939,2808,9438,11841,17150,20060,16369,234652,54433,90273,190261,97833,187399,60596,15684,11305,974483,480540,46650,135139,164823,133928,493943,40690,135081,191444,126728,5146,3396,349,702,1404,941,1750,275,537,506,432,12960,6427,1318,2342,2142,625,6533,839,2180,2559,955,14560,6193,556,1106,1712,2819,8367,1347,1741,1994,3285,1018,513,74,129,199,111,505,24,140,261,80,22876,12202,5630,3333,2598,641,10674,5021,2571,2093,989,16563,8357,1470,2267,3024,1596,8206,927,1817,3608,1854,908524,446452,32319,125703,157508,130922,462072,29944,125931,182902,123295,93687,48939,20778,13593,10748,3820,44748,16321,12209,11565,4653,274984,140661,40140,16877,2172,9148,2620,9323,67413,30065,4738,14370,5587,12653,33108,15146,1843,6816,4596,4707,134323,44297,12137,6640,5689,7220,12611,66617,15091,10781,10689,15502,14554,23409,3546,3300,1742,9932,4889,296328,9456,27633,10072,11712,18762,20150,2176,32306,50850,48268,12558,12908,9167,11269,19041,274984,92862,29474,48454,45457,58737,260656,86742,28229,45635,44220,55830,1373,575,12,441,67,278,1580,505,144,304,170,457,6104,3248,507,932,575,842,191,45,40,43,30,33,1630,454,77,457,117,525,3450,1293,465,642,278,772,254217,84080,27668,44561,43216,54692,8473,3270,763,1607,1133,1700
40,ID,16,,,,,04001US16,Idaho -- Urban,853215,418784,63434,681,7608,22938,25870,3164,3058,115,85891,1842,5976,24147,24206,8602,16281,4837,73617,2804,5118,18783,17185,6223,16105,7399,128951,5271,7430,34505,31996,12683,23207,13859,66891,2937,4735,16859,16317,4222,12150,9671,434431,60712,553,5651,17151,27563,4244,5140,410,84368,1687,4565,19567,24632,9483,18599,5835,72411,2197,3740,16515,17969,8721,16575,6694,133673,4847,6266,33524,39255,14018,23959,11804,83267,3770,7054,28094,22919,4882,11395,5153,729069,355350,3883,1786,3442,3743,3773,6391,7003,6092,94294,28033,61671,31730,67743,22697,7395,5674,373719,3809,1913,3412,3367,3736,5431,7015,5443,97700,35797,68978,37104,70528,22769,3986,2731,729069,7692,175,71,279,607,1367,1200,1121,5733,1789,5321,7509,11822,14018,11535,153489,38505,63830,130649,68834,138271,45466,11381,8405,674526,328160,29812,87139,113183,98026,346366,27835,91402,133631,93498,4626,3015,313,595,1309,798,1611,253,480,464,414,6300,3148,612,1099,1110,327,3152,463,953,1287,449,12735,5392,549,1011,1391,2441,7343,1221,1537,1625,2960,836,383,70,116,113,84,453,11,133,240,69,17586,9211,3739,2633,2292,547,8375,3672,1977,1786,940,12460,6041,1018,1701,2036,1286,6419,671,1218,2846,1684,625587,303349,20306,80262,107053,95728,322238,20298,84600,126624,90716,70224,35973,13880,10050,9071,2972,34251,11602,9122,9612,3915,203523,103509,32730,13574,1806,7517,1912,7921,48958,21316,3500,11128,3494,9520,21821,9570,1144,4837,2988,3282,100014,36171,9840,5633,4737,5325,10636,47295,10841,7885,7784,10234,10551,16548,2481,2277,1336,7068,3386,220218,7782,17851,7161,9242,14324,15163,1694,24326,39289,33024,10153,9636,7168,9193,14212,203523,67622,22245,37339,31021,45296,191524,62284,21160,34998,30210,42872,1212,540,12,345,67,248,776,242,47,172,56,259,5401,3006,466,813,383,733,153,45,40,29,14,25,1487,409,77,411,103,487,2970,1096,443,571,188,672,186444,60158,20732,34098,29487,41969,6887,2679,621,1359,836,1392
40,ID,16,,,,,04043US16,Idaho -- Rural,350948,179958,17680,411,3615,8295,4487,493,364,15,22784,972,1927,8494,5413,2010,3178,790,27773,1842,1927,8333,6879,2341,4311,2140,68887,3270,4440,21797,17661,6273,9998,5448,42834,2451,3105,12100,11413,2478,6440,4847,170990,14731,204,2230,5658,5101,815,707,16,21235,805,1452,5919,5818,2507,3869,865,26633,1114,1233,6266,7541,3143,5542,1794,68037,2108,3317,20068,19953,7213,10967,4411,40354,1833,3135,14114,11377,3034,4823,2038,318537,162278,1898,1399,2309,2929,2410,2759,3308,2922,50724,12538,28828,13102,23927,8194,3012,2019,156259,1119,1021,1513,2207,1922,2569,2734,1912,46367,13905,30784,15897,25201,6936,1291,881,318537,3017,17,54,247,415,832,855,616,3206,1019,4117,4332,5328,6042,4834,81163,15928,26443,59612,28999,49128,15130,4303,2900,299957,152380,16838,48000,51640,35902,147577,12855,43679,57813,33230,520,381,36,107,95,143,139,22,57,42,18,6660,3279,706,1243,1032,298,3381,376,1227,1272,506,1825,801,7,95,321,378,1024,126,204,369,325,182,130,4,13,86,27,52,13,7,21,11,5290,2991,1891,700,306,94,2299,1349,594,307,49,4103,2316,452,566,988,310,1787,256,599,762,170,282937,143103,12013,45441,50455,35194,139834,9646,41331,56278,32579,23463,12966,6898,3543,1677,848,10497,4719,3087,1953,738,71461,37152,7410,3303,366,1631,708,1402,18455,8749,1238,3242,2093,3133,11287,5576,699,1979,1608,1425,34309,8126,2297,1007,952,1895,1975,19322,4250,2896,2905,5268,4003,6861,1065,1023,406,2864,1503,76110,1674,9782,2911,2470,4438,4987,482,7980,11561,15244,2405,3272,1999,2076,4829,71461,25240,7229,11115,14436,13441,69132,24458,7069,10637,14010,12958,161,35,0,96,0,30,804,263,97,132,114,198,703,242,41,119,192,109,38,0,0,14,16,8,143,45,0,46,14,38,480,197,22,71,90,100,67773,23922,6936,10463,13729,12723,1586,591,142,248,297,308
40,ID,16,,,,,040A0US16,Idaho -- In metropolitan or micropolitan statistical area,1097713,544215,75751,960,10063,28578,29149,3547,3335,119,101939,2441,7316,29911,28087,10145,18602,5437,93642,4263,6334,24051,22264,7883,19606,9241,177902,7443,10552,48928,44365,17405,31086,18123,94981,4458,6591,24089,23996,5947,16614,13286,553498,71184,650,7164,21190,31228,4852,5753,347,99381,2291,5391,23360,28852,11339,21681,6467,91831,2977,4510,20556,23692,11094,20796,8206,181957,6255,8370,47203,53217,19501,32311,15100,109145,4964,8893,36796,30155,7175,14618,6544,950778,468464,5227,2749,5249,5380,5344,8138,9204,8107,126979,36763,81949,41380,85908,28967,9728,7392,482314,4639,2790,4454,4604,4988,6853,8715,6608,127915,45464,90452,49109,89406,27887,5038,3392,950778,9866,192,114,463,958,2092,1720,1481,8222,2428,7556,10332,14991,17919,14715,206477,48417,82227,172401,90489,175314,56854,14766,10784,883173,434502,41015,118019,149966,125502,448671,35821,119661,174690,118499,4978,3282,333,637,1386,926,1696,258,537,479,422,11182,5498,1145,2016,1758,579,5684,730,1863,2322,769,14183,6043,549,1041,1671,2782,8140,1284,1680,1960,3216,950,475,70,124,174,107,475,21,130,244,80,21298,11172,5050,3062,2455,605,10126,4724,2410,2035,957,15014,7492,1236,2080,2682,1494,7522,813,1634,3295,1780,821572,402752,27985,109235,142871,122661,418820,25842,111123,166649,115206,87356,45327,18810,12575,10320,3622,42029,15206,11376,10975,4472,257718,131995,38523,16206,2113,8846,2368,8990,63572,28149,4588,13728,5063,12044,29900,13518,1669,6369,4094,4250,125723,42484,11692,6339,5388,6809,12256,62077,13791,10232,10039,14397,13618,21162,3190,2915,1658,9030,4369,277891,9005,24697,9479,11179,17801,18983,2098,30552,48343,44371,11936,12015,8805,10779,17848,257718,86546,27856,46028,41761,55527,244001,80723,26684,43322,40568,52704,1348,562,12,440,67,267,1348,414,112,260,158,404,5998,3191,503,897,565,842,187,45,40,39,30,33,1562,406,72,457,110,517,3274,1205,433,613,263,760,237867,78176,26146,42277,39608,51660,8094,3110,735,1569,1082,1598
40,ID,16,,,,,040C0US16,Idaho -- In metropolitan statistical area,796719,393502,49567,509,7043,19450,17735,2346,2425,59,74979,1491,5070,21861,20787,7326,14186,4258,70597,2295,4495,17811,17026,6170,15969,6831,130378,4606,7090,35410,32428,12484,24237,14123,67981,2785,4623,16609,16955,4552,12508,9949,403217,46809,259,5007,15035,19439,2829,3954,286,73798,1342,3577,17678,21310,7821,16734,5336,69205,1726,3281,15657,17629,8285,15895,6732,134051,3691,6024,34537,39758,14037,24713,11291,79354,3147,6182,26682,22277,5201,10822,5043,700343,343935,3479,1508,2577,3613,3262,5655,6502,5859,91691,27435,59761,30532,66900,22417,7501,5243,356408,3043,1566,2419,2878,3177,4386,6387,5114,94554,34613,66361,35344,68164,21846,3890,2666,700343,6522,132,63,209,563,1090,1017,887,4109,1781,4710,6439,10041,12889,10973,149172,37073,62048,126122,65876,135064,44263,11391,7909,650076,318803,26954,85033,110165,96651,331273,23565,88459,128777,90472,4126,2686,308,430,1173,775,1440,213,434,425,368,7805,3923,663,1404,1415,441,3882,423,1094,1740,625,11211,4980,469,812,1286,2413,6231,1005,1358,1191,2677,677,333,60,106,76,91,344,10,126,171,37,14593,7319,3129,2152,1589,449,7274,3200,1790,1476,808,11855,5891,872,1754,2024,1241,5964,554,1293,2538,1579,610702,298593,19688,79499,104838,94568,312109,18162,82680,123313,87954,57299,29322,10841,8275,7553,2653,27977,8936,7843,7640,3558,198627,102061,29864,12635,1687,6785,1791,6966,49740,22050,3540,11095,3449,9606,22457,10053,1184,5072,2989,3159,96566,33348,8920,5171,4306,5245,9706,47353,10351,8267,8097,10215,10423,15865,2435,2404,1388,6658,2980,214865,7561,17223,7582,9083,13482,15732,1437,24350,38716,32173,9139,9555,6518,8764,13550,198627,66444,22253,36743,30347,42840,187123,61507,21296,34520,29353,40447,1143,446,12,427,67,191,1066,296,84,212,130,344,5090,2797,381,748,495,669,128,39,24,23,17,25,1257,311,67,324,89,466,2820,1048,389,489,196,698,182522,59398,20955,33816,28799,39554,6211,2571,527,1110,646,1357
40,ID,16,,,,,040C1US16,Idaho -- In metropolitan statistical area -- in principal city,314794,154490,22970,154,2465,7458,9721,1532,1581,59,32590,506,1749,8288,9804,2959,6841,2443,26028,599,1381,6090,6368,1991,6237,3362,48130,1115,1907,11151,11998,4721,10664,6574,24772,713,1478,5214,5564,1605,5878,4320,160304,21693,38,2005,5799,10000,1231,2506,114,30509,378,1226,6058,8563,3006,8090,3188,25811,395,928,5507,6082,2932,6614,3353,51270,1027,2178,11340,14058,5396,11411,5860,31021,908,2302,9576,8811,1929,5071,2424,270131,131520,1033,192,634,1074,834,1641,2129,1911,30743,9397,24337,11276,29620,10357,3709,2633,138611,945,309,479,975,909,1269,2518,1938,32481,12348,25166,13263,31186,11174,2233,1418,270131,1978,10,22,58,131,57,223,143,970,582,1467,1743,2910,4647,3849,51518,11706,21745,49503,24539,60806,21531,5942,4051,248505,120930,7543,28173,41861,43353,127575,7503,29938,47538,42596,2437,1433,224,279,520,410,1004,213,261,315,215,2748,1193,178,480,409,126,1555,164,481,661,249,6653,3013,283,484,792,1454,3640,584,638,662,1756,164,56,7,23,0,26,108,0,25,70,13,4490,2348,858,630,561,299,2142,644,705,515,278,5134,2547,355,674,867,651,2587,234,433,1016,904,237374,114924,6312,26413,39818,42381,122450,6652,28370,46008,41420,16940,9026,2205,2593,2878,1350,7914,1659,2341,2353,1561,92330,46319,13980,6565,841,2614,609,3351,22141,10601,1399,4607,1188,4346,10198,4528,487,2381,1228,1574,46011,16295,5155,2241,1977,2034,4888,22221,5502,3863,3563,4208,5085,7495,1272,1059,687,3037,1440,100394,3873,7911,3762,5000,7276,8237,609,10779,16765,13133,4965,4302,3648,4391,5743,92330,33623,9890,15829,12304,20684,85949,30427,9398,14787,11827,19510,625,321,12,141,42,109,375,85,13,65,15,197,3210,1801,264,473,282,390,39,39,0,0,0,0,577,240,38,66,40,193,1555,710,165,297,98,285,83801,29206,9264,14525,11642,19164,2911,1513,269,357,228,544
40,ID,16,,,,,040C2US16,Idaho -- In metropolitan statistical area -- not in principal city,481925,239012,26597,355,4578,11992,8014,814,844,0,42389,985,3321,13573,10983,4367,7345,1815,44569,1696,3114,11721,10658,4179,9732,3469,82248,3491,5183,24259,20430,7763,13573,7549,43209,2072,3145,11395,11391,2947,6630,5629,242913,25116,221,3002,9236,9439,1598,1448,172,43289,964,2351,11620,12747,4815,8644,2148,43394,1331,2353,10150,11547,5353,9281,3379,82781,2664,3846,23197,25700,8641,13302,5431,48333,2239,3880,17106,13466,3272,5751,2619,430212,212415,2446,1316,1943,2539,2428,4014,4373,3948,60948,18038,35424,19256,37280,12060,3792,2610,217797,2098,1257,1940,1903,2268,3117,3869,3176,62073,22265,41195,22081,36978,10672,1657,1248,430212,4544,122,41,151,432,1033,794,744,3139,1199,3243,4696,7131,8242,7124,97654,25367,40303,76619,41337,74258,22732,5449,3858,401571,197873,19411,56860,68304,53298,203698,16062,58521,81239,47876,1689,1253,84,151,653,365,436,0,173,110,153,5057,2730,485,924,1006,315,2327,259,613,1079,376,4558,1967,186,328,494,959,2591,421,720,529,921,513,277,53,83,76,65,236,10,101,101,24,10103,4971,2271,1522,1028,150,5132,2556,1085,961,530,6721,3344,517,1080,1157,590,3377,320,860,1522,675,373328,183669,13376,53086,65020,52187,189659,11510,54310,77305,46534,40359,20296,8636,5682,4675,1303,20063,7277,5502,5287,1997,106297,55742,15884,6070,846,4171,1182,3615,27599,11449,2141,6488,2261,5260,12259,5525,697,2691,1761,1585,50555,17053,3765,2930,2329,3211,4818,25132,4849,4404,4534,6007,5338,8370,1163,1345,701,3621,1540,114471,3688,9312,3820,4083,6206,7495,828,13571,21951,19040,4174,5253,2870,4373,7807,106297,32821,12363,20914,18043,22156,101174,31080,11898,19733,17526,20937,518,125,0,286,25,82,691,211,71,147,115,147,1880,996,117,275,213,279,89,0,24,23,17,25,680,71,29,258,49,273,1265,338,224,192,98,413,98721,30192,11691,19291,17157,20390,3300,1058,258,753,418,813
40,ID,16,,,,,040E0US16,Idaho -- In micropolitan statistical area,300994,150713,26184,451,3020,9128,11414,1201,910,60,26960,950,2246,8050,7300,2819,4416,1179,23045,1968,1839,6240,5238,1713,3637,2410,47524,2837,3462,13518,11937,4921,6849,4000,27000,1673,1968,7480,7041,1395,4106,3337,150281,24375,391,2157,6155,11789,2023,1799,61,25583,949,1814,5682,7542,3518,4947,1131,22626,1251,1229,4899,6063,2809,4901,1474,47906,2564,2346,12666,13459,5464,7598,3809,29791,1817,2711,10114,7878,1974,3796,1501,250435,124529,1748,1241,2672,1767,2082,2483,2702,2248,35288,9328,22188,10848,19008,6550,2227,2149,125906,1596,1224,2035,1726,1811,2467,2328,1494,33361,10851,24091,13765,21242,6041,1148,726,250435,3344,60,51,254,395,1002,703,594,4113,647,2846,3893,4950,5030,3742,57305,11344,20179,46279,24613,40250,12591,3375,2875,233097,115699,14061,32986,39801,28851,117398,12256,31202,45913,28027,852,596,25,207,213,151,256,45,103,54,54,3377,1575,482,612,343,138,1802,307,769,582,144,2972,1063,80,229,385,369,1909,279,322,769,539,273,142,10,18,98,16,131,11,4,73,43,6705,3853,1921,910,866,156,2852,1524,620,559,149,3159,1601,364,326,658,253,1558,259,341,757,201,210870,104159,8297,29736,38033,28093,106711,7680,28443,43336,27252,30057,16005,7969,4300,2767,969,14052,6270,3533,3335,914,59091,29934,8659,3571,426,2061,577,2024,13832,6099,1048,2633,1614,2438,7443,3465,485,1297,1105,1091,29157,9136,2772,1168,1082,1564,2550,14724,3440,1965,1942,4182,3195,5297,755,511,270,2372,1389,63026,1444,7474,1897,2096,4319,3251,661,6202,9627,12198,2797,2460,2287,2015,4298,59091,20102,5603,9285,11414,12687,56878,19216,5388,8802,11215,12257,205,116,0,13,0,76,282,118,28,48,28,60,908,394,122,149,70,173,59,6,16,16,13,8,305,95,5,133,21,51,454,157,44,124,67,62,55345,18778,5191,8461,10809,12106,1883,539,208,459,436,241
40,ID,16,,,,,040E1US16,Idaho -- In micropolitan statistical area -- in principal city,112041,55001,14455,170,968,3558,8231,838,641,49,12377,219,725,2711,3866,1585,2539,732,7769,428,701,2021,1614,749,1311,945,13382,453,879,3370,3324,1408,2153,1795,7018,310,546,1879,1768,377,1088,1050,57040,14893,170,818,2644,8428,1461,1325,47,11338,314,492,2158,3278,1920,2496,680,7518,206,374,1676,2017,883,1905,457,13758,772,645,3088,3920,1410,2293,1630,9533,604,841,3297,2341,614,1303,533,82693,40546,361,210,508,331,563,944,604,740,9981,3011,7561,4119,7091,2647,679,1196,42147,659,275,495,467,426,827,603,496,10219,3548,8008,4827,7997,2404,558,338,82693,1020,45,0,51,69,137,183,138,865,137,661,989,1771,1207,1236,16140,4060,6559,15569,8946,15088,5051,1237,1534,76320,37320,3588,9260,13441,11031,39000,3452,9613,15161,10774,595,462,17,142,175,128,133,40,60,13,20,865,385,136,126,100,23,480,135,164,155,26,1784,704,49,152,264,239,1080,180,159,422,319,114,36,10,6,17,3,78,0,0,52,26,1884,1154,337,252,479,86,730,305,144,225,56,1131,485,124,43,215,103,646,136,79,355,76,69536,34073,2342,8317,12684,10730,35463,2347,8677,14031,10408,9125,4636,1766,1206,1271,393,4489,1489,1117,1461,422,22910,11613,4446,1821,196,943,259,1227,5029,2093,456,910,604,966,2138,863,159,428,358,330,11297,4360,1271,518,554,708,1309,5101,1226,734,706,1299,1136,1836,219,170,97,784,566,24579,607,2532,731,839,1697,1221,334,2382,3797,4308,1356,1179,841,935,1820,22910,7493,2233,3638,4012,5534,21805,6995,2084,3399,3964,5363,148,106,0,13,0,29,49,8,0,26,0,15,558,300,94,47,23,94,29,0,16,0,13,0,142,22,0,91,0,29,179,62,39,62,12,4,21138,6791,2014,3191,3815,5327,815,226,76,299,149,65
40,ID,16,,,,,040E2US16,Idaho -- In micropolitan statistical area -- not in principal city,188953,95712,11729,281,2052,5570,3183,363,269,11,14583,731,1521,5339,3434,1234,1877,447,15276,1540,1138,4219,3624,964,2326,1465,34142,2384,2583,10148,8613,3513,4696,2205,19982,1363,1422,5601,5273,1018,3018,2287,93241,9482,221,1339,3511,3361,562,474,14,14245,635,1322,3524,4264,1598,2451,451,15108,1045,855,3223,4046,1926,2996,1017,34148,1792,1701,9578,9539,4054,5305,2179,20258,1213,1870,6817,5537,1360,2493,968,167742,83983,1387,1031,2164,1436,1519,1539,2098,1508,25307,6317,14627,6729,11917,3903,1548,953,83759,937,949,1540,1259,1385,1640,1725,998,23142,7303,16083,8938,13245,3637,590,388,167742,2324,15,51,203,326,865,520,456,3248,510,2185,2904,3179,3823,2506,41165,7284,13620,30710,15667,25162,7540,2138,1341,156777,78379,10473,23726,26360,17820,78398,8804,21589,30752,17253,257,134,8,65,38,23,123,5,43,41,34,2512,1190,346,486,243,115,1322,172,605,427,118,1188,359,31,77,121,130,829,99,163,347,220,159,106,0,12,81,13,53,11,4,21,17,4821,2699,1584,658,387,70,2122,1219,476,334,93,2028,1116,240,283,443,150,912,123,262,402,125,141334,70086,5955,21419,25349,17363,71248,5333,19766,29305,16844,20932,11369,6203,3094,1496,576,9563,4781,2416,1874,492,36181,18321,4213,1750,230,1118,318,797,8803,4006,592,1723,1010,1472,5305,2602,326,869,747,761,17860,4776,1501,650,528,856,1241,9623,2214,1231,1236,2883,2059,3461,536,341,173,1588,823,38447,837,4942,1166,1257,2622,2030,327,3820,5830,7890,1441,1281,1446,1080,2478,36181,12609,3370,5647,7402,7153,35073,12221,3304,5403,7251,6894,57,10,0,0,0,47,233,110,28,22,28,45,350,94,28,102,47,79,30,6,0,16,0,8,163,73,5,42,21,22,275,95,5,62,55,58,34207,11987,3177,5270,6994,6779,1068,313,132,160,287,176
