SummaryLevel,State,StateFIPS,CountyFIPS,PlaceFIPS,CBSACode,CongressDistrict,GEOID,AreaName,B15001_001,B15001_002,B15001_003,B15001_004,B15001_005,B15001_006,B15001_007,B15001_008,B15001_009,B15001_010,B15001_011,B15001_012,B15001_013,B15001_014,B15001_015,B15001_016,B15001_017,B15001_018,B15001_019,B15001_020,B15001_021,B15001_022,B15001_023,B15001_024,B15001_025,B15001_026,B15001_027,B15001_028,B15001_029,B15001_030,B15001_031,B15001_032,B15001_033,B15001_034,B15001_035,B15001_036,B15001_037,B15001_038,B15001_039,B15001_040,B15001_041,B15001_042,B15001_043,B15001_044,B15001_045,B15001_046,B15001_047,B15001_048,B15001_049,B15001_050,B15001_051,B15001_052,B15001_053,B15001_054,B15001_055,B15001_056,B15001_057,B15001_058,B15001_059,B15001_060,B15001_061,B15001_062,B15001_063,B15001_064,B15001_065,B15001_066,B15001_067,B15001_068,B15001_069,B15001_070,B15001_071,B15001_072,B15001_073,B15001_074,B15001_075,B15001_076,B15001_077,B15001_078,B15001_079,B15001_080,B15001_081,B15001_082,B15001_083,B15002_001,B15002_002,B15002_003,B15002_004,B15002_005,B15002_006,B15002_007,B15002_008,B15002_009,B15002_010,B15002_011,B15002_012,B15002_013,B15002_014,B15002_015,B15002_016,B15002_017,B15002_018,B15002_019,B15002_020,B15002_021,B15002_022,B15002_023,B15002_024,B15002_025,B15002_026,B15002_027,B15002_028,B15002_029,B15002_030,B15002_031,B15002_032,B15002_033,B15002_034,B15002_035,B15003_001,B15003_002,B15003_003,B15003_004,B15003_005,B15003_006,B15003_007,B15003_008,B15003_009,B15003_010,B15003_011,B15003_012,B15003_013,B15003_014,B15003_015,B15003_016,B15003_017,B15003_018,B15003_019,B15003_020,B15003_021,B15003_022,B15003_023,B15003_024,B15003_025,C15002A_001,C15002A_002,C15002A_003,C15002A_004,C15002A_005,C15002A_006,C15002A_007,C15002A_008,C15002A_009,C15002A_010,C15002A_011,C15002B_001,C15002B_002,C15002B_003,C15002B_004,C15002B_005,C15002B_006,C15002B_007,C15002B_008,C15002B_009,C15002B_010,C15002B_011,C15002C_001,C15002C_002,C15002C_003,C15002C_004,C15002C_005,C15002C_006,C15002C_007,C15002C_008,C15002C_009,C15002C_010,C15002C_011,C15002D_001,C15002D_002,C15002D_003,C15002D_004,C15002D_005,C15002D_006,C15002D_007,C15002D_008,C15002D_009,C15002D_010,C15002D_011,C15002E_001,C15002E_002,C15002E_003,C15002E_004,C15002E_005,C15002E_006,C15002E_007,C15002E_008,C15002E_009,C15002E_010,C15002E_011,C15002F_001,C15002F_002,C15002F_003,C15002F_004,C15002F_005,C15002F_006,C15002F_007,C15002F_008,C15002F_009,C15002F_010,C15002F_011,C15002G_001,C15002G_002,C15002G_003,C15002G_004,C15002G_005,C15002G_006,C15002G_007,C15002G_008,C15002G_009,C15002G_010,C15002G_011,C15002H_001,C15002H_002,C15002H_003,C15002H_004,C15002H_005,C15002H_006,C15002H_007,C15002H_008,C15002H_009,C15002H_010,C15002H_011,C15002I_001,C15002I_002,C15002I_003,C15002I_004,C15002I_005,C15002I_006,C15002I_007,C15002I_008,C15002I_009,C15002I_010,C15002I_011,B15011_001,B15011_002,B15011_003,B15011_004,B15011_005,B15011_006,B15011_007,B15011_008,B15011_009,B15011_010,B15011_011,B15011_012,B15011_013,B15011_014,B15011_015,B15011_016,B15011_017,B15011_018,B15011_019,B15011_020,B15011_021,B15011_022,B15011_023,B15011_024,B15011_025,B15011_026,B15011_027,B15011_028,B15011_029,B15011_030,B15011_031,B15011_032,B15011_033,B15011_034,B15011_035,B15011_036,B15011_037,B15011_038,B15011_039,B15012_001,B15012_002,B15012_003,B15012_004,B15012_005,B15012_006,B15012_007,B15012_008,B15012_009,B15012_010,B15012_011,B15012_012,B15012_013,B15012_014,B15012_015,B15012_016,C15010_001,C15010_002,C15010_003,C15010_004,C15010_005,C15010_006,C15010A_001,C15010A_002,C15010A_003,C15010A_004,C15010A_005,C15010A_006,C15010B_001,C15010B_002,C15010B_003,C15010B_004,C15010B_005,C15010B_006,C15010C_001,C15010C_002,C15010C_003,C15010C_004,C15010C_005,C15010C_006,C15010D_001,C15010D_002,C15010D_003,C15010D_004,C15010D_005,C15010D_006,C15010E_001,C15010E_002,C15010E_003,C15010E_004,C15010E_005,C15010E_006,C15010F_001,C15010F_002,C15010F_003,C15010F_004,C15010F_005,C15010F_006,C15010G_001,C15010G_002,C15010G_003,C15010G_004,C15010G_005,C15010G_006,C15010H_001,C15010H_002,C15010H_003,C15010H_004,C15010H_005,C15010H_006,C15010I_001,C15010I_002,C15010I_003,C15010I_004,C15010I_005,C15010I_006
40,IL,17,,,,,04000US17,Illinois,9861055,4784884,634154,10624,84252,194434,243577,33276,63289,4702,896230,31268,60353,217502,195749,69520,230051,91787,834164,44621,55527,213515,167968,62340,180743,109450,1652607,82810,106902,463080,358044,125487,307887,208397,767729,66996,64454,232527,146189,35599,114387,107577,5076171,608617,6637,60292,153088,259005,38346,84159,7090,884049,23040,42243,158501,189989,78650,257684,133942,838202,37722,43772,168524,169449,81766,198385,138584,1728935,77493,88746,448138,389696,169878,338186,216798,1016368,90807,91854,385339,198776,48581,116937,84074,8618284,4150730,51518,26711,72494,74972,54926,70676,80847,80787,1126624,264500,603450,292946,833068,348390,107267,61554,4467554,51429,28189,70259,79185,50362,68434,78057,69762,1160502,304151,643759,378875,911192,452084,76170,45144,8618284,102947,1166,1513,4275,9962,21225,16759,22202,120551,27054,127103,105288,139110,158904,150549,1975231,311895,568651,1247209,671821,1744260,800474,183437,106698,6463457,3137386,307846,855059,892500,1081981,3326071,296741,898928,984761,1145641,1145915,514267,85839,165874,174496,88058,631648,82732,164273,238739,145904,19358,9757,2251,2647,2990,1869,9601,2084,2507,3370,1640,454746,214218,15358,21792,35313,141755,240528,26454,27903,39114,147057,2731,1562,231,404,605,322,1169,181,265,332,391,419997,220116,94687,68794,38532,18103,199881,81459,56725,39831,21866,112080,53424,6719,12054,16460,18191,58656,6026,9901,20638,22091,5764184,2780631,186511,745008,817406,1031706,2983553,188789,805291,903196,1086277,1161879,598133,222081,184908,119692,71452,563746,194118,154851,128460,86317,2834869,1350279,466576,192576,25437,115105,21428,112030,661739,272673,39945,180396,39269,129456,221964,91752,11495,52055,28989,37673,1484590,564675,164971,63051,108629,76473,151551,718904,169220,99196,147755,136065,166668,201011,33762,26608,15358,79455,45828,3040140,145126,158252,88398,144591,238178,210728,20229,282350,641473,396772,129820,149330,131940,147778,155175,2834869,924954,265732,619298,381679,643206,2227622,684437,197532,489692,327492,528469,233962,67681,21542,55645,31389,57705,3509,1154,351,635,488,881,288812,143826,39204,55478,13927,36377,713,236,100,131,76,170,39969,12237,3764,9578,4882,9508,40282,15383,3239,8139,3425,10096,2117983,648608,188190,462904,314881,503400,157769,50656,13333,38924,18470,36386
40,IL,17,,,,,04001US17,Illinois -- Urban,8722960,4207067,575623,9426,75723,172410,225392,28262,59796,4614,818288,29374,54577,190837,176289,60390,217714,89107,748279,42973,50313,183908,147060,52443,167040,104542,1423167,78621,92662,374740,301608,101691,279258,194587,641710,58803,53252,179291,121446,29695,101375,97848,4515893,558846,6070,54868,138730,240420,32971,79103,6684,813502,21637,39332,143244,171871,67408,241954,128056,757756,36435,41049,149725,149212,69069,181796,130470,1506474,74896,80103,373515,332025,140849,306100,198986,879315,83510,80362,319550,171868,41488,105642,76895,7588491,3631444,48265,25776,70982,64748,48942,60179,69524,72159,928776,218971,527432,244219,765387,326693,101221,58170,3957047,48956,27411,69385,70726,46345,60540,69840,64121,986034,257565,567411,318814,835492,419512,72270,42625,7588491,97221,1083,1328,4080,9705,20798,16193,21614,118753,25306,110168,95287,120719,139364,136280,1652150,262660,476536,1094843,563033,1600879,746205,173491,100795,5469516,2639757,261178,662902,729094,986583,2829759,260237,727719,806572,1035231,1128591,502019,81789,162298,170741,87191,626572,82097,163137,236831,144507,17587,8768,1981,2422,2727,1638,8819,1941,2277,3051,1550,449083,212014,15233,21564,34659,140558,237069,26172,27294,38399,145204,2481,1402,211,329,565,297,1079,171,236,308,364,416371,218059,93946,68361,37950,17802,198312,80967,56251,39467,21627,104862,49425,6237,10900,14886,17402,55437,5739,9120,19162,21416,4785212,2291232,142387,555421,656107,937317,2493980,153970,636259,726830,976921,1142411,587352,218580,181699,116898,70175,555059,191891,152079,126147,84942,2621370,1251471,442584,182154,23753,110161,19612,106904,609664,250464,35822,168882,33679,120817,199223,82943,10206,47762,23849,34463,1369899,530937,157374,57711,102504,68603,144745,656425,157143,88558,136332,117799,156593,182537,31558,23722,14236,70181,42840,2813430,138141,135669,82210,136102,227821,198272,19182,254933,600334,347136,124165,140362,126294,141324,141485,2621370,861636,239772,579877,333723,606362,2021814,623838,172749,451284,280577,493366,231698,67140,21268,55279,30958,57053,3188,1076,302,590,412,808,285762,142389,38610,55145,13756,35862,661,226,86,106,76,167,39429,12081,3704,9523,4749,9372,38818,14886,3053,7950,3195,9734,1914238,588723,163593,424941,268353,468628,155117,49769,13103,38420,17947,35878
40,IL,17,,,,,04043US17,Illinois -- Rural,1138095,577817,58531,1198,8529,22024,18185,5014,3493,88,77942,1894,5776,26665,19460,9130,12337,2680,85885,1648,5214,29607,20908,9897,13703,4908,229440,4189,14240,88340,56436,23796,28629,13810,126019,8193,11202,53236,24743,5904,13012,9729,560278,49771,567,5424,14358,18585,5375,5056,406,70547,1403,2911,15257,18118,11242,15730,5886,80446,1287,2723,18799,20237,12697,16589,8114,222461,2597,8643,74623,57671,29029,32086,17812,137053,7297,11492,65789,26908,7093,11295,7179,1029793,519286,3253,935,1512,10224,5984,10497,11323,8628,197848,45529,76018,48727,67681,21697,6046,3384,510507,2473,778,874,8459,4017,7894,8217,5641,174468,46586,76348,60061,75700,32572,3900,2519,1029793,5726,83,185,195,257,427,566,588,1798,1748,16935,10001,18391,19540,14269,323081,49235,92115,152366,108788,143381,54269,9946,5903,993941,497629,46668,192157,163406,95398,496312,36504,171209,178189,110410,17324,12248,4050,3576,3755,867,5076,635,1136,1908,1397,1771,989,270,225,263,231,782,143,230,319,90,5663,2204,125,228,654,1197,3459,282,609,715,1853,250,160,20,75,40,25,90,10,29,24,27,3626,2057,741,433,582,301,1569,492,474,364,239,7218,3999,482,1154,1574,789,3219,287,781,1476,675,978972,489399,44124,189587,161299,94389,489573,34819,169032,176366,109356,19468,10781,3501,3209,2794,1277,8687,2227,2772,2313,1375,213499,98808,23992,10422,1684,4944,1816,5126,52075,22209,4123,11514,5590,8639,22741,8809,1289,4293,5140,3210,114691,33738,7597,5340,6125,7870,6806,62479,12077,10638,11423,18266,10075,18474,2204,2886,1122,9274,2988,226710,6985,22583,6188,8489,10357,12456,1047,27417,41139,49636,5655,8968,5646,6454,13690,213499,63318,25960,39421,47956,36844,205808,60599,24783,38408,46915,35103,2264,541,274,366,431,652,321,78,49,45,76,73,3050,1437,594,333,171,515,52,10,14,25,0,3,540,156,60,55,133,136,1464,497,186,189,230,362,203745,59885,24597,37963,46528,34772,2652,887,230,504,523,508
40,IL,17,,,,,040A0US17,Illinois -- In metropolitan or micropolitan statistical area,9380175,4541253,607249,9879,78700,184242,236153,31303,62310,4662,857554,29769,55377,204378,186678,65267,225265,90820,795690,43398,51621,199789,158636,57770,176299,108177,1564924,79771,99139,426968,337442,116584,300092,204928,715836,62507,59017,211008,136578,33229,109565,103932,4838922,586413,6268,57662,146626,250750,35790,82338,6979,851528,22052,39985,150686,181277,73713,251823,131992,804624,36654,42168,160031,160339,76150,192953,136329,1645112,75777,84433,417792,368134,158260,328762,211954,951245,85652,85136,354980,186559,45597,112366,80955,8186513,3934004,49362,26171,71294,68618,50737,64336,73380,76701,1042143,245437,573897,272850,811221,341777,105587,60493,4252509,49683,27531,69572,73349,47666,63633,73480,66943,1083489,284093,612216,353720,885904,441564,75188,44478,8186513,99045,1133,1415,4084,9788,20949,16333,21660,119206,26013,115954,98403,127969,146860,143644,1840996,284636,529530,1186113,626570,1697125,783341,180775,104971,6055629,2938194,282194,775724,828442,1051834,3117435,274127,823721,910208,1109379,1130069,500855,80265,161865,171048,87677,629214,82322,163397,237903,145592,18578,9374,2179,2512,2875,1808,9204,2038,2388,3199,1579,452704,213465,15273,21688,35063,141441,239239,26263,27606,38764,146606,2602,1498,189,392,602,315,1104,171,235,318,380,417981,218956,94119,68466,38304,18067,199025,81040,56546,39663,21776,108950,51662,6380,11496,15850,17936,57288,5896,9596,19974,21822,5363212,2585790,162727,667002,754267,1001794,2777422,167079,730713,829355,1050275,1152412,592199,219451,183108,118518,71122,560213,192774,153951,127525,85963,2766212,1319078,457529,189221,24839,113394,20358,109717,648052,267560,38913,177638,37314,126627,213497,88748,10939,50629,26670,36511,1447134,552694,162625,60983,106586,73272,149228,701119,166366,96393,144834,129738,163788,193321,33009,25602,14956,75112,44642,2967012,143555,151643,86488,141783,235113,207953,20042,273841,629566,376892,127938,146013,130145,145861,150179,2766212,907529,257669,608037,362464,630513,2161213,667586,189801,478926,308570,516330,233269,67560,21471,55534,31231,57473,3387,1124,312,601,477,873,288047,143571,39047,55333,13887,36209,695,233,100,119,76,167,39843,12206,3743,9535,4882,9477,39758,15249,3195,7989,3341,9984,2052069,631845,180519,452286,296083,491336,157085,50526,13263,38687,18346,36263
40,IL,17,,,,,040C0US17,Illinois -- In metropolitan statistical area,8683800,4195992,562212,9020,72409,168939,219689,27968,59580,4607,803059,28334,50032,185776,172258,60126,217732,88801,742940,42102,47558,181147,144974,52378,169444,105337,1442435,76512,90387,379111,307948,104774,286210,197493,645346,57237,52387,182267,122858,29840,102845,97912,4487808,544877,5961,53366,136157,231626,31936,79087,6744,802699,21239,37214,139210,167981,66405,242323,128327,755753,35909,39606,146941,147062,69702,184717,131816,1523431,73699,77870,376953,335799,142420,313889,202801,861048,79819,76474,312944,168228,41382,105624,76577,7576711,3633780,46951,25153,69864,62217,46912,57316,65168,70968,928301,218785,529253,247118,776231,329848,101935,57760,3942931,47621,27066,68812,67167,44183,57524,66575,62882,976048,254651,564419,319909,846553,423562,73165,42794,7576711,94572,1094,1270,3956,9572,20306,16021,21140,117536,24506,104878,91095,114840,131743,133850,1652760,251589,473436,1093672,567027,1622784,753410,175100,100554,5482812,2660057,252151,668267,738581,1001058,2822755,247016,720161,804416,1051162,1108949,487057,75938,157783,166241,87095,621892,80778,161349,235152,144613,17486,8781,2047,2385,2622,1727,8705,1916,2253,2989,1547,448636,211754,15186,21490,34703,140375,236882,25990,27266,38169,145457,2277,1250,112,363,493,282,1027,171,211,282,363,413083,215996,93152,67317,37631,17896,197087,80460,55901,39137,21589,103468,48885,5963,10696,14885,17341,54583,5499,8907,18834,21343,4805773,2316229,135644,562432,666505,951648,2489544,141731,629188,725654,992971,1130782,579920,215240,178879,115529,70272,550862,190281,151115,124660,84806,2651848,1265774,443242,183822,23804,110451,19162,106003,621775,257401,36913,171648,34061,121752,200757,84155,10296,48376,23432,34498,1386074,532987,157833,58342,103468,68777,144567,670886,160719,91643,139986,120133,158405,182201,31828,24168,14447,69364,42394,2845185,139798,141796,83260,136977,228245,202407,19594,260576,609099,348453,123943,139710,126608,142660,142059,2651848,875758,245166,588376,334929,607619,2052220,637883,177919,460220,281494,494704,231708,67047,21378,55257,31052,56974,3274,1113,282,589,463,827,285832,142556,38650,54920,13803,35903,645,233,87,102,76,147,39485,12106,3717,9470,4779,9413,38684,14820,3133,7818,3262,9651,1944619,602527,168819,433889,269295,470089,155078,50065,13048,38242,17956,35767
40,IL,17,,,,,040C1US17,Illinois -- In metropolitan statistical area -- in principal city,3280468,1575279,231143,4084,30585,60673,94401,9273,29163,2964,365114,12499,22929,71655,67235,20419,114907,55470,283497,18815,19729,65474,48714,16813,66713,47239,482637,39058,40072,123323,93688,29691,88750,68055,212888,27130,21150,55083,35594,8524,31877,33530,1705189,235865,2612,23124,53480,103257,10875,38813,3704,372116,9335,18390,56766,69427,23253,123075,71870,283520,16425,18285,55312,50485,21968,66891,54154,514103,38436,36538,121112,104800,41475,99025,72717,299585,37642,31064,95509,55140,14063,35967,30200,2813460,1344136,22280,12808,34675,27739,21190,25321,28914,28455,315535,62356,182875,75447,302247,133326,43651,27317,1469324,22848,15026,33814,30150,19901,25077,32798,26501,328699,77502,202350,100759,324958,173078,34905,20958,2813460,45128,468,716,2286,5972,10315,8077,9445,59044,11507,46382,41091,50398,61712,54956,557363,86871,139858,385225,176206,627205,306404,78556,48275,1670206,818334,91563,168781,187650,370340,851872,90556,181650,198653,381013,658234,285831,51148,95083,91916,47684,372403,57343,101019,135222,78819,7922,3751,862,963,1198,728,4171,906,949,1424,892,216616,103684,8772,11998,14696,68218,112932,13553,13579,16593,69207,930,552,49,166,235,102,378,67,56,138,117,210547,109480,46089,34317,18875,10199,101067,40890,27806,20204,12167,49005,22504,2899,4227,6108,9270,26501,2800,3640,8377,11684,1352509,656349,36362,119282,155862,344843,696160,40895,139129,163727,352409,548135,280996,103993,86041,53758,37204,267139,93121,72049,58551,43418,1060440,506541,231768,99588,10928,56398,7278,57576,209366,85293,12063,52970,10146,48894,65407,27738,2760,14008,7300,13601,553899,261007,85033,23553,49698,23806,78917,226725,58107,26898,44440,34513,62767,66167,13073,7927,5064,22977,17126,1146604,57493,56165,33483,59443,108979,78193,9271,89859,231053,110729,61129,62149,65700,68058,54900,1060440,368832,84129,222578,106020,278881,751353,244278,54941,158247,78407,215480,126503,37508,9651,29251,16811,33282,1620,473,140,282,202,523,137425,71314,15751,26210,6247,17903,219,86,18,45,10,60,22366,6867,2211,4690,2748,5850,20954,8306,1417,3853,1595,5783,697252,225739,50809,146403,72575,201726,80622,26650,6345,17834,9005,20788
40,IL,17,,,,,040C2US17,Illinois -- In metropolitan statistical area -- not in principal city,5403332,2620713,331069,4936,41824,108266,125288,18695,30417,1643,437945,15835,27103,114121,105023,39707,102825,33331,459443,23287,27829,115673,96260,35565,102731,58098,959798,37454,50315,255788,214260,75083,197460,129438,432458,30107,31237,127184,87264,21316,70968,64382,2782619,309012,3349,30242,82677,128369,21061,40274,3040,430583,11904,18824,82444,98554,43152,119248,56457,472233,19484,21321,91629,96577,47734,117826,77662,1009328,35263,41332,255841,230999,100945,214864,130084,561463,42177,45410,217435,113088,27319,69657,46377,4763251,2289644,24671,12345,35189,34478,25722,31995,36254,42513,612766,156429,346378,171671,473984,196522,58284,30443,2473607,24773,12040,34998,37017,24282,32447,33777,36381,647349,177149,362069,219150,521595,250484,38260,21836,4763251,49444,626,554,1670,3600,9991,7944,11695,58492,12999,58496,50004,64442,70031,78894,1095397,164718,333578,708447,390821,995579,447006,96544,52279,3812606,1841723,160588,499486,550931,630718,1970883,156460,538511,605763,670149,450715,201226,24790,62700,74325,39411,249489,23435,60330,99930,65794,9564,5030,1185,1422,1424,999,4534,1010,1304,1565,655,232020,108070,6414,9492,20007,72157,123950,12437,13687,21576,76250,1347,698,63,197,258,180,649,104,155,144,246,202536,106516,47063,33000,18756,7697,96020,39570,28095,18933,9422,54463,26381,3064,6469,8777,8071,28082,2699,5267,10457,9659,3453264,1659880,99282,443150,510643,606805,1793384,100836,490059,561927,640562,582647,298924,111247,92838,61771,33068,283723,97160,79066,66109,41388,1591408,759233,211474,84234,12876,54053,11884,48427,412409,172108,24850,118678,23915,72858,135350,56417,7536,34368,16132,20897,832175,271980,72800,34789,53770,44971,65650,444161,102612,64745,95546,85620,95638,116034,18755,16241,9383,46387,25268,1698581,82305,85631,49777,77534,119266,124214,10323,170717,378046,237724,62814,77561,60908,74602,87159,1591408,506926,161037,365798,228909,328738,1300867,393605,122978,301973,203087,279224,105205,29539,11727,26006,14241,23692,1654,640,142,307,261,304,148407,71242,22899,28710,7556,18000,426,147,69,57,66,87,17119,5239,1506,4780,2031,3563,17730,6514,1716,3965,1667,3868,1247367,376788,118010,287486,196720,268363,74456,23415,6703,20408,8951,14979
40,IL,17,,,,,040E0US17,Illinois -- In micropolitan statistical area,696375,345261,45037,859,6291,15303,16464,3335,2730,55,54495,1435,5345,18602,14420,5141,7533,2019,52750,1296,4063,18642,13662,5392,6855,2840,122489,3259,8752,47857,29494,11810,13882,7435,70490,5270,6630,28741,13720,3389,6720,6020,351114,41536,307,4296,10469,19124,3854,3251,235,48829,813,2771,11476,13296,7308,9500,3665,48871,745,2562,13090,13277,6448,8236,4513,121681,2078,6563,40839,32335,15840,14873,9153,90197,5833,8662,42036,18331,4215,6742,4378,609802,300224,2411,1018,1430,6401,3825,7020,8212,5733,113842,26652,44644,25732,34990,11929,3652,2733,309578,2062,465,760,6182,3483,6109,6905,4061,107441,29442,47797,33811,39351,18002,2023,1684,609802,4473,39,145,128,216,643,312,520,1670,1507,11076,7308,13129,15117,9794,188236,33047,56094,92441,59543,74341,29931,5675,4417,572817,278137,30043,107457,89861,50776,294680,27111,103560,105792,58217,21120,13798,4327,4082,4807,582,7322,1544,2048,2751,979,1092,593,132,127,253,81,499,122,135,210,32,4068,1711,87,198,360,1066,2357,273,340,595,1149,325,248,77,29,109,33,77,0,24,36,17,4898,2960,967,1149,673,171,1938,580,645,526,187,5482,2777,417,800,965,595,2705,397,689,1140,479,557439,269561,27083,104570,87762,50146,287878,25348,101525,103701,57304,21630,12279,4211,4229,2989,850,9351,2493,2836,2865,1157,114364,53304,14287,5399,1035,2943,1196,3714,26277,10159,2000,5990,3253,4875,12740,4593,643,2253,3238,2013,61060,19707,4792,2641,3118,4495,4661,30233,5647,4750,4848,9605,5383,11120,1181,1434,509,5748,2248,121827,3757,9847,3228,4806,6868,5546,448,13265,20467,28439,3995,6303,3537,3201,8120,114364,31771,12503,19661,27535,22894,108993,29703,11882,18706,27076,21626,1561,513,93,277,179,499,113,11,30,12,14,46,2215,1015,397,413,84,306,50,0,13,17,0,20,358,100,26,65,103,64,1074,429,62,171,79,333,107450,29318,11700,18397,26788,21247,2007,461,215,445,390,496
40,IL,17,,,,,040E1US17,Illinois -- In micropolitan statistical area -- in principal city,263141,128174,22331,448,2846,5974,9840,1584,1625,14,22824,732,2294,7228,6042,2114,3267,1147,18697,554,1792,5965,4907,1945,2325,1209,40785,1432,3418,14596,9314,3683,5148,3194,23537,1849,2178,8482,4845,1163,2477,2543,134967,21985,84,1725,4545,12236,1806,1444,145,19954,241,1156,4515,5330,3059,4022,1631,17143,267,1051,4751,4666,1856,2895,1657,40534,813,2281,13243,11026,4694,4883,3594,35351,2323,3416,15965,7196,1654,2810,1987,218825,105843,1000,435,665,2467,1635,2590,3432,2025,36271,9193,15915,8905,13217,5034,1529,1530,112982,806,239,302,2297,1416,2262,2612,1614,38474,10457,17761,11263,14610,7091,837,941,218825,1806,26,44,70,123,294,117,249,718,652,4112,3051,4852,6044,3639,61475,13270,19650,33676,20168,27827,12125,2366,2471,196756,92520,10654,32306,29803,19757,104236,10026,36181,36312,21717,14027,8939,2672,2744,3100,423,5088,842,1524,1962,760,374,181,28,65,64,24,193,21,41,117,14,2149,1031,36,106,165,724,1118,130,75,253,660,231,187,75,22,70,20,44,0,6,29,9,2609,1638,532,662,358,86,971,316,304,261,90,2679,1347,252,366,453,276,1332,213,343,547,229,190346,88697,9386,31036,28783,19492,101649,9382,35486,35459,21322,9922,5972,2011,2061,1490,410,3950,1058,1091,1286,515,44789,21310,6202,1950,563,1289,530,1870,10088,3800,708,2434,1250,1896,5020,1622,248,928,1340,882,23479,8031,2275,833,1063,1635,2225,10651,2224,1432,1503,3073,2419,4797,546,534,195,2565,957,47949,1721,2886,1384,2296,3404,1998,106,4530,7717,10724,1746,3224,1470,1330,3413,44789,12417,4318,7412,10393,10249,41474,11135,3999,6768,10076,9496,1183,358,60,207,164,394,38,5,14,5,14,0,1384,709,216,284,35,140,29,0,0,9,0,20,176,9,21,38,64,44,505,201,8,101,40,155,40814,11013,3919,6637,9940,9305,925,122,108,232,197,266
40,IL,17,,,,,040E2US17,Illinois -- In micropolitan statistical area -- not in principal city,433234,217087,22706,411,3445,9329,6624,1751,1105,41,31671,703,3051,11374,8378,3027,4266,872,34053,742,2271,12677,8755,3447,4530,1631,81704,1827,5334,33261,20180,8127,8734,4241,46953,3421,4452,20259,8875,2226,4243,3477,216147,19551,223,2571,5924,6888,2048,1807,90,28875,572,1615,6961,7966,4249,5478,2034,31728,478,1511,8339,8611,4592,5341,2856,81147,1265,4282,27596,21309,11146,9990,5559,54846,3510,5246,26071,11135,2561,3932,2391,390977,194381,1411,583,765,3934,2190,4430,4780,3708,77571,17459,28729,16827,21773,6895,2123,1203,196596,1256,226,458,3885,2067,3847,4293,2447,68967,18985,30036,22548,24741,10911,1186,743,390977,2667,13,101,58,93,349,195,271,952,855,6964,4257,8277,9073,6155,126761,19777,36444,58765,39375,46514,17806,3309,1946,376061,185617,19389,75151,60058,31019,190444,17085,67379,69480,36500,7093,4859,1655,1338,1707,159,2234,702,524,789,219,718,412,104,62,189,57,306,101,94,93,18,1919,680,51,92,195,342,1239,143,265,342,489,94,61,2,7,39,13,33,0,18,7,8,2289,1322,435,487,315,85,967,264,341,265,97,2803,1430,165,434,512,319,1373,184,346,593,250,367093,180864,17697,73534,58979,30654,186229,15966,66039,68242,35982,11708,6307,2200,2168,1499,440,5401,1435,1745,1579,642,69575,31994,8085,3449,472,1654,666,1844,16189,6359,1292,3556,2003,2979,7720,2971,395,1325,1898,1131,37581,11676,2517,1808,2055,2860,2436,19582,3423,3318,3345,6532,2964,6323,635,900,314,3183,1291,73878,2036,6961,1844,2510,3464,3548,342,8735,12750,17715,2249,3079,2067,1871,4707,69575,19354,8185,12249,17142,12645,67519,18568,7883,11938,17000,12130,378,155,33,70,15,105,75,6,16,7,0,46,831,306,181,129,49,166,21,0,13,8,0,0,182,91,5,27,39,20,569,228,54,70,39,178,66636,18305,7781,11760,16848,11942,1082,339,107,213,193,230
