SummaryLevel,State,StateFIPS,CountyFIPS,PlaceFIPS,CBSACode,CongressDistrict,GEOID,AreaName,B15001_001,B15001_002,B15001_003,B15001_004,B15001_005,B15001_006,B15001_007,B15001_008,B15001_009,B15001_010,B15001_011,B15001_012,B15001_013,B15001_014,B15001_015,B15001_016,B15001_017,B15001_018,B15001_019,B15001_020,B15001_021,B15001_022,B15001_023,B15001_024,B15001_025,B15001_026,B15001_027,B15001_028,B15001_029,B15001_030,B15001_031,B15001_032,B15001_033,B15001_034,B15001_035,B15001_036,B15001_037,B15001_038,B15001_039,B15001_040,B15001_041,B15001_042,B15001_043,B15001_044,B15001_045,B15001_046,B15001_047,B15001_048,B15001_049,B15001_050,B15001_051,B15001_052,B15001_053,B15001_054,B15001_055,B15001_056,B15001_057,B15001_058,B15001_059,B15001_060,B15001_061,B15001_062,B15001_063,B15001_064,B15001_065,B15001_066,B15001_067,B15001_068,B15001_069,B15001_070,B15001_071,B15001_072,B15001_073,B15001_074,B15001_075,B15001_076,B15001_077,B15001_078,B15001_079,B15001_080,B15001_081,B15001_082,B15001_083,B15002_001,B15002_002,B15002_003,B15002_004,B15002_005,B15002_006,B15002_007,B15002_008,B15002_009,B15002_010,B15002_011,B15002_012,B15002_013,B15002_014,B15002_015,B15002_016,B15002_017,B15002_018,B15002_019,B15002_020,B15002_021,B15002_022,B15002_023,B15002_024,B15002_025,B15002_026,B15002_027,B15002_028,B15002_029,B15002_030,B15002_031,B15002_032,B15002_033,B15002_034,B15002_035,B15003_001,B15003_002,B15003_003,B15003_004,B15003_005,B15003_006,B15003_007,B15003_008,B15003_009,B15003_010,B15003_011,B15003_012,B15003_013,B15003_014,B15003_015,B15003_016,B15003_017,B15003_018,B15003_019,B15003_020,B15003_021,B15003_022,B15003_023,B15003_024,B15003_025,C15002A_001,C15002A_002,C15002A_003,C15002A_004,C15002A_005,C15002A_006,C15002A_007,C15002A_008,C15002A_009,C15002A_010,C15002A_011,C15002B_001,C15002B_002,C15002B_003,C15002B_004,C15002B_005,C15002B_006,C15002B_007,C15002B_008,C15002B_009,C15002B_010,C15002B_011,C15002C_001,C15002C_002,C15002C_003,C15002C_004,C15002C_005,C15002C_006,C15002C_007,C15002C_008,C15002C_009,C15002C_010,C15002C_011,C15002D_001,C15002D_002,C15002D_003,C15002D_004,C15002D_005,C15002D_006,C15002D_007,C15002D_008,C15002D_009,C15002D_010,C15002D_011,C15002E_001,C15002E_002,C15002E_003,C15002E_004,C15002E_005,C15002E_006,C15002E_007,C15002E_008,C15002E_009,C15002E_010,C15002E_011,C15002F_001,C15002F_002,C15002F_003,C15002F_004,C15002F_005,C15002F_006,C15002F_007,C15002F_008,C15002F_009,C15002F_010,C15002F_011,C15002G_001,C15002G_002,C15002G_003,C15002G_004,C15002G_005,C15002G_006,C15002G_007,C15002G_008,C15002G_009,C15002G_010,C15002G_011,C15002H_001,C15002H_002,C15002H_003,C15002H_004,C15002H_005,C15002H_006,C15002H_007,C15002H_008,C15002H_009,C15002H_010,C15002H_011,C15002I_001,C15002I_002,C15002I_003,C15002I_004,C15002I_005,C15002I_006,C15002I_007,C15002I_008,C15002I_009,C15002I_010,C15002I_011,B15011_001,B15011_002,B15011_003,B15011_004,B15011_005,B15011_006,B15011_007,B15011_008,B15011_009,B15011_010,B15011_011,B15011_012,B15011_013,B15011_014,B15011_015,B15011_016,B15011_017,B15011_018,B15011_019,B15011_020,B15011_021,B15011_022,B15011_023,B15011_024,B15011_025,B15011_026,B15011_027,B15011_028,B15011_029,B15011_030,B15011_031,B15011_032,B15011_033,B15011_034,B15011_035,B15011_036,B15011_037,B15011_038,B15011_039,B15012_001,B15012_002,B15012_003,B15012_004,B15012_005,B15012_006,B15012_007,B15012_008,B15012_009,B15012_010,B15012_011,B15012_012,B15012_013,B15012_014,B15012_015,B15012_016,C15010_001,C15010_002,C15010_003,C15010_004,C15010_005,C15010_006,C15010A_001,C15010A_002,C15010A_003,C15010A_004,C15010A_005,C15010A_006,C15010B_001,C15010B_002,C15010B_003,C15010B_004,C15010B_005,C15010B_006,C15010C_001,C15010C_002,C15010C_003,C15010C_004,C15010C_005,C15010C_006,C15010D_001,C15010D_002,C15010D_003,C15010D_004,C15010D_005,C15010D_006,C15010E_001,C15010E_002,C15010E_003,C15010E_004,C15010E_005,C15010E_006,C15010F_001,C15010F_002,C15010F_003,C15010F_004,C15010F_005,C15010F_006,C15010G_001,C15010G_002,C15010G_003,C15010G_004,C15010G_005,C15010G_006,C15010H_001,C15010H_002,C15010H_003,C15010H_004,C15010H_005,C15010H_006,C15010I_001,C15010I_002,C15010I_003,C15010I_004,C15010I_005,C15010I_006
40,KY,21,,,,,04000US21,Kentucky,3397799,1652784,220117,4315,29447,84246,80216,7746,13091,1056,285295,9307,24724,94433,69000,21676,47401,18754,281220,10870,23807,98022,61300,20762,40871,25588,580494,35463,59625,217944,110643,35341,72764,48714,285658,44662,29806,92483,48112,9995,30791,29809,1745015,207609,2820,21163,61731,91413,10492,18501,1489,281533,6529,18657,63148,74706,32307,56013,30173,279540,8305,17930,71485,63234,34311,49694,34581,608991,26481,47107,208500,129021,61562,74345,61975,367342,49094,43813,144307,61985,15451,25275,27417,2970073,1432667,17793,8869,14912,58728,33679,41867,40221,22195,502882,91368,197687,87774,191827,78409,27792,16664,1537406,14721,6325,12014,57349,31326,39465,37726,18990,487440,105271,223675,143631,205327,120842,21784,11520,2970073,32514,427,538,1061,2357,5480,5331,7208,19718,22010,94067,65005,81332,77947,41185,786862,203460,196639,421362,231405,397154,199251,49576,28184,2660276,1282500,211168,453403,332582,285347,1377776,192104,443632,417308,324732,214620,103388,16151,39094,33457,14686,111232,15718,33262,43155,19097,6218,2972,687,854,928,503,3246,816,1083,906,441,36038,16195,2164,2062,2290,9679,19843,3510,3299,3358,9676,1230,591,78,254,178,81,639,96,148,206,189,21011,12467,5801,3326,1950,1390,8544,3686,2318,1424,1116,30680,14554,2215,3889,5444,3006,16126,1986,3698,6220,4222,2613514,1256458,202612,445691,327529,280626,1357056,186917,437381,412352,320406,72257,40959,14918,11962,7791,6288,31298,9202,9074,7141,5881,674165,314692,98595,38675,6381,23527,5193,24819,155497,58209,10928,40021,13865,32474,60600,22680,3599,14453,9275,10593,359473,128779,33414,19094,22682,20651,32938,178002,35183,29678,31567,42957,38617,52692,6742,6276,4054,24372,11248,727988,26172,46790,23851,32906,45292,36765,4339,81939,141330,121610,28590,39247,21456,29798,47903,674165,194903,75956,136304,116313,150689,610079,172772,69598,121846,109116,136747,33783,8300,2976,8741,5030,8736,944,283,107,257,81,216,19355,9963,2327,3345,1079,2641,270,53,26,91,18,82,2506,848,182,740,355,381,7228,2684,740,1284,634,1886,601032,169355,68886,120089,107976,134726,12169,4463,1024,2582,1499,2601
40,KY,21,,,,,04001US21,Kentucky -- Urban,2004935,958535,145802,2189,17023,50405,59568,4939,10788,890,183415,5305,13344,51955,46318,13420,37773,15300,167317,5718,12259,48683,38930,12387,29825,19515,312886,13796,26351,101117,65570,21138,50885,34029,149115,15343,13340,44610,28517,6216,20753,20336,1046400,139927,1369,11977,39006,65513,6351,14494,1217,183828,3928,11053,36812,47778,19633,41660,22964,166459,4511,9807,37170,37588,19277,34695,23411,342098,11717,24032,102282,77153,34596,52017,40301,214088,21935,24261,81614,40230,9484,17899,18665,1719206,812733,8742,3790,6993,20637,13862,19188,20098,12146,246365,54040,125295,53161,139236,56641,20140,12399,906473,8656,3365,6039,24031,15753,20869,21537,10994,257878,63516,139233,82990,146271,81999,14457,8885,1719206,17398,229,304,499,1628,2287,2208,3198,9834,9013,35655,29615,40057,41635,23140,401065,103178,117556,264528,136151,285507,138640,34597,21284,1448094,684288,83344,204799,194288,201857,763806,89032,219237,235492,220045,195526,91411,13701,33848,30290,13572,104115,14408,30869,40909,17929,4044,1826,420,541,593,272,2218,592,627,671,328,32206,14911,1961,1975,1925,9050,17295,2986,2813,2700,8796,972,490,78,198,164,50,482,70,115,154,143,16875,9796,4687,2524,1381,1204,7079,3072,1913,1156,938,21489,10011,1265,2480,3855,2411,11478,1084,2304,4657,3433,1410616,663458,76558,198720,190319,197861,747158,84793,214257,231418,216690,58159,32677,11843,9404,6009,5421,25482,7576,7278,5936,4692,480028,228416,77311,30125,4737,19006,3285,20158,110016,41115,7092,30432,7779,23598,41089,14911,2459,10681,5567,7471,251612,94544,25552,13109,17167,12629,26087,120504,25407,19231,22818,24386,28662,36564,4802,4707,2821,15778,8456,519931,19830,29861,16375,24830,35721,27560,3307,55815,106886,72801,22969,29453,17252,24578,32693,480028,141912,51335,102925,69424,114432,421902,121683,45638,89815,63103,101663,31501,7706,2820,8211,4548,8216,600,227,26,164,50,133,17846,9379,2094,2987,907,2479,193,21,26,83,16,47,2142,742,167,639,298,296,5844,2154,564,1026,502,1598,414551,118778,45056,88421,62214,100082,10113,3822,868,2130,1210,2083
40,KY,21,,,,,04043US21,Kentucky -- Rural,1392864,694249,74315,2126,12424,33841,20648,2807,2303,166,101880,4002,11380,42478,22682,8256,9628,3454,113903,5152,11548,49339,22370,8375,11046,6073,267608,21667,33274,116827,45073,14203,21879,14685,136543,29319,16466,47873,19595,3779,10038,9473,698615,67682,1451,9186,22725,25900,4141,4007,272,97705,2601,7604,26336,26928,12674,14353,7209,113081,3794,8123,34315,25646,15034,14999,11170,266893,14764,23075,106218,51868,26966,22328,21674,153254,27159,19552,62693,21755,5967,7376,8752,1250867,619934,9051,5079,7919,38091,19817,22679,20123,10049,256517,37328,72392,34613,52591,21768,7652,4265,630933,6065,2960,5975,33318,15573,18596,16189,7996,229562,41755,84442,60641,59056,38843,7327,2635,1250867,15116,198,234,562,729,3193,3123,4010,9884,12997,58412,35390,41275,36312,18045,385797,100282,79083,156834,95254,111647,60611,14979,6900,1212182,598212,127824,248604,138294,83490,613970,103072,224395,181816,104687,19094,11977,2450,5246,3167,1114,7117,1310,2393,2246,1168,2174,1146,267,313,335,231,1028,224,456,235,113,3832,1284,203,87,365,629,2548,524,486,658,880,258,101,0,56,14,31,157,26,33,52,46,4136,2671,1114,802,569,186,1465,614,405,268,178,9191,4543,950,1409,1589,595,4648,902,1394,1563,789,1202898,593000,126054,246971,137210,82765,609898,102124,223124,180934,103716,14098,8282,3075,2558,1782,867,5816,1626,1796,1205,1189,194137,86276,21284,8550,1644,4521,1908,4661,45481,17094,3836,9589,6086,8876,19511,7769,1140,3772,3708,3122,107861,34235,7862,5985,5515,8022,6851,57498,9776,10447,8749,18571,9955,16128,1940,1569,1233,8594,2792,208057,6342,16929,7476,8076,9571,9205,1032,26124,34444,48809,5621,9794,4204,5220,15210,194137,52991,24621,33379,46889,36257,188177,51089,23960,32031,46013,35084,2282,594,156,530,482,520,344,56,81,93,31,83,1509,584,233,358,172,162,77,32,0,8,2,35,364,106,15,101,57,85,1384,530,176,258,132,288,186481,50577,23830,31668,45762,34644,2056,641,156,452,289,518
40,KY,21,,,,,040A0US21,Kentucky -- In metropolitan or micropolitan statistical area,2651395,1284235,176298,3054,21945,64742,67502,6129,12007,919,227856,6770,17013,69826,56621,17538,43049,17039,219783,7527,16501,70505,49832,16684,36350,22384,446088,21108,39154,158320,90827,29335,64508,42836,214210,25476,20910,68407,38806,8374,26766,25471,1367160,168042,2076,15721,49227,74630,8339,16664,1385,227532,4887,13583,47985,59034,25384,49632,27027,220609,5785,12500,52766,49836,26768,43882,29072,471301,16768,32853,151335,103794,48770,66047,51734,279676,29399,32155,111403,50129,12215,21530,22845,2307055,1107937,11893,5188,9654,34146,20909,28218,27980,16471,367058,73276,162810,71931,170673,69007,23975,14748,1199118,11009,3978,7754,34098,20435,28202,27907,14547,363489,84507,178286,113137,181091,101931,18369,10378,2307055,22902,339,412,741,1793,3058,2823,4326,13082,13728,54516,41344,56420,55887,31018,584125,146422,157783,341096,185068,351764,170938,42344,25126,2023629,972927,131453,323612,267488,250374,1050702,124637,323440,324263,278362,198589,93814,13903,34563,31101,14247,104775,14511,30656,40886,18722,5023,2303,507,666,705,425,2720,673,894,772,381,34288,15533,2087,1983,2165,9298,18755,3303,3166,3084,9202,1080,553,78,235,159,81,527,70,119,151,187,18265,10664,4877,2939,1587,1261,7601,3243,2088,1244,1026,26181,12143,1554,3060,4812,2717,14038,1493,3126,5530,3889,1981429,949627,124132,316673,262949,245873,1031802,120076,317758,319569,274399,64404,36106,12679,10690,6813,5924,28298,8107,8203,6605,5383,590172,278403,88914,34992,5438,21725,4308,22451,137252,51762,9531,36651,10455,28853,52237,19717,3092,13059,7095,9274,311769,114099,30282,16546,20714,16716,29841,153295,31586,25230,28577,33294,34608,44375,5854,5545,3486,19488,10002,637825,23835,40401,20711,29137,41016,33738,3842,70903,128891,95748,26483,34373,19879,28068,40800,590172,174193,65382,124212,91356,135029,528736,153136,59302,110239,84525,121534,32969,7980,2926,8595,4853,8615,806,249,68,220,80,189,18500,9535,2234,3161,1011,2559,268,53,26,91,18,80,2287,811,145,707,290,334,6606,2429,681,1199,579,1718,520272,149903,58635,108601,83493,119640,11307,4194,942,2446,1326,2399
40,KY,21,,,,,040C0US21,Kentucky -- In metropolitan statistical area,1971001,956726,131762,2295,16511,47242,50098,4496,10266,854,176079,5045,12407,48708,44486,13789,36663,14981,165841,5167,11597,48657,38318,12916,30062,19124,330719,11534,26147,111081,69587,23246,53855,35269,152325,13740,14330,47141,29193,6414,21528,19979,1014275,123687,1502,11250,35825,54191,6065,13588,1266,175846,3767,9739,34353,44818,19526,41061,22582,166350,4395,8707,36318,37292,20545,35504,23589,348583,10410,22035,105539,79139,36551,53994,40915,199809,16985,21719,79674,37558,9207,16920,17746,1715552,824964,7814,3271,6072,18329,13630,19195,19416,12240,255587,55187,126397,56365,142108,57203,20031,12119,890588,7637,2588,5227,20105,13516,19150,19057,10477,255884,63200,135607,85829,147479,81392,14773,8667,1715552,15451,253,284,595,1286,1890,1551,2815,8484,7640,30794,27146,38345,38473,22717,411269,100202,118387,262004,142194,289587,138595,34804,20786,1467944,707219,80183,218693,202054,206289,760725,77851,221759,238669,222446,174900,82289,11930,29619,27778,12962,92611,12542,26461,36798,16810,3426,1584,349,444,515,276,1842,460,505,624,253,31079,14200,1893,1868,1953,8486,16879,2941,2885,2742,8311,909,486,78,193,152,63,423,70,93,134,126,16172,9388,4404,2412,1470,1102,6784,2912,1785,1142,945,21122,9798,1130,2358,4027,2283,11324,981,2396,4527,3420,1431527,687245,73893,213057,198093,202202,744282,73804,216806,234672,219000,56088,31266,11094,8848,5976,5348,24822,7212,7068,5720,4822,483772,231461,76193,29974,4570,19079,3250,19320,113761,43249,7560,31866,7638,23448,41507,15761,2302,10803,5276,7365,252311,94210,25602,13660,17196,12668,25084,123435,26258,20245,23813,24501,28618,34666,4828,4557,2906,14265,8110,523325,20245,32309,16645,24136,34882,29554,3342,57378,109649,70950,22602,28416,16824,24567,31826,483772,145672,52894,105663,67598,111945,428735,126518,47357,93208,61710,99942,29772,7333,2703,7999,4135,7602,529,181,7,168,36,137,16797,8848,2091,2572,898,2388,189,21,26,64,8,70,2047,667,145,634,285,316,5703,2104,565,1018,526,1490,421202,123544,46774,91718,60872,98294,10170,3801,858,2236,1127,2148
40,KY,21,,,,,040C1US21,Kentucky -- In metropolitan statistical area -- in principal city,856234,410250,64491,1089,6905,19901,27813,2206,5996,581,82143,2471,5494,19722,20633,6321,18370,9132,69892,2840,4684,18282,15694,5143,13592,9657,133196,4711,10604,40466,28722,8990,23402,16301,60528,4893,5215,16926,11572,2619,9558,9745,445984,64785,568,5424,16355,31114,2961,7676,687,81931,2014,5212,14512,20097,7730,19978,12388,69942,2244,3597,14061,15558,7877,15686,10919,144332,4404,9847,39108,32748,14657,24321,19247,84994,6794,9344,31988,16343,4052,7709,8764,726958,345759,3793,1257,3157,6708,5114,7743,7928,5212,95396,21704,54917,23073,64922,27530,10218,7087,381199,3966,1298,2600,7592,5843,8557,8925,4675,99669,24911,59835,34316,67694,38945,7371,5002,726958,7759,155,155,265,728,695,557,1479,4278,2930,11370,10957,16300,16853,9887,155889,39176,46615,114752,57389,132616,66475,17589,12089,563340,269681,28152,71205,76668,93656,293659,29368,77244,87671,99376,122840,56157,8245,20265,19075,8572,66683,9877,18501,26576,11729,1327,630,165,204,193,68,697,152,201,239,105,19243,9220,1334,1300,1071,5515,10023,1737,1510,1528,5248,547,275,13,113,133,16,272,70,52,95,55,8770,4930,2430,1146,664,690,3840,1635,1046,575,584,10891,4866,573,1163,1890,1240,6025,617,1115,2378,1915,542728,258154,24425,67887,74803,91039,284574,27040,74490,85678,97366,31223,17567,6294,4922,2901,3450,13656,4103,3872,2819,2862,228769,109757,39529,16755,2302,8815,1492,10165,50925,19283,3236,13779,3323,11304,19303,7317,1217,4753,2229,3787,119012,46212,13960,6272,7981,4862,13137,56327,12423,8585,10698,10380,14241,16473,2194,2298,1343,6522,4116,248503,9093,15689,8239,11456,18718,15013,1550,26086,49125,30153,12525,14268,9254,12490,14844,228769,71932,23910,47369,28808,56750,193032,59613,20297,39912,24951,48259,20301,4990,1955,5005,2798,5553,173,64,0,40,13,56,10763,5694,1179,1563,580,1747,71,21,16,11,0,23,1274,399,102,333,224,216,3155,1151,361,505,242,896,188405,57788,19974,39054,24322,47267,6312,2364,485,1254,830,1379
40,KY,21,,,,,040C2US21,Kentucky -- In metropolitan statistical area -- not in principal city,1114767,546476,67271,1206,9606,27341,22285,2290,4270,273,93936,2574,6913,28986,23853,7468,18293,5849,95949,2327,6913,30375,22624,7773,16470,9467,197523,6823,15543,70615,40865,14256,30453,18968,91797,8847,9115,30215,17621,3795,11970,10234,568291,58902,934,5826,19470,23077,3104,5912,579,93915,1753,4527,19841,24721,11796,21083,10194,96408,2151,5110,22257,21734,12668,19818,12670,204251,6006,12188,66431,46391,21894,29673,21668,114815,10191,12375,47686,21215,5155,9211,8982,988594,479205,4021,2014,2915,11621,8516,11452,11488,7028,160191,33483,71480,33292,77186,29673,9813,5032,509389,3671,1290,2627,12513,7673,10593,10132,5802,156215,38289,75772,51513,79785,42447,7402,3665,988594,7692,98,129,330,558,1195,994,1336,4206,4710,19424,16189,22045,21620,12830,255380,61026,71772,147252,84805,156971,72120,17215,8697,904604,437538,52031,147488,125386,112633,467066,48483,144515,150998,123070,52060,26132,3685,9354,8703,4390,25928,2665,7960,10222,5081,2099,954,184,240,322,208,1145,308,304,385,148,11836,4980,559,568,882,2971,6856,1204,1375,1214,3063,362,211,65,80,19,47,151,0,41,39,71,7402,4458,1974,1266,806,412,2944,1277,739,567,361,10231,4932,557,1195,2137,1043,5299,364,1281,2149,1505,888799,429091,49468,145170,123290,111163,459708,46764,142316,148994,121634,24865,13699,4800,3926,3075,1898,11166,3109,3196,2901,1960,255003,121704,36664,13219,2268,10264,1758,9155,62836,23966,4324,18087,4315,12144,22204,8444,1085,6050,3047,3578,133299,47998,11642,7388,9215,7806,11947,67108,13835,11660,13115,14121,14377,18193,2634,2259,1563,7743,3994,274822,11152,16620,8406,12680,16164,14541,1792,31292,60524,40797,10077,14148,7570,12077,16982,255003,73740,28984,58294,38790,55195,235703,66905,27060,53296,36759,51683,9471,2343,748,2994,1337,2049,356,117,7,128,23,81,6034,3154,912,1009,318,641,118,0,10,53,8,47,773,268,43,301,61,100,2548,953,204,513,284,594,232797,65756,26800,52664,36550,51027,3858,1437,373,982,297,769
40,KY,21,,,,,040E0US21,Kentucky -- In micropolitan statistical area,680394,327509,44536,759,5434,17500,17404,1633,1741,65,51777,1725,4606,21118,12135,3749,6386,2058,53942,2360,4904,21848,11514,3768,6288,3260,115369,9574,13007,47239,21240,6089,10653,7567,61885,11736,6580,21266,9613,1960,5238,5492,352885,44355,574,4471,13402,20439,2274,3076,119,51686,1120,3844,13632,14216,5858,8571,4445,54259,1390,3793,16448,12544,6223,8378,5483,122718,6358,10818,45796,24655,12219,12053,10819,79867,12414,10436,31729,12571,3008,4610,5099,591503,282973,4079,1917,3582,15817,7279,9023,8564,4231,111471,18089,36413,15566,28565,11804,3944,2629,308530,3372,1390,2527,13993,6919,9052,8850,4070,107605,21307,42679,27308,33612,20539,3596,1711,591503,7451,86,128,146,507,1168,1272,1511,4598,6088,23722,14198,18075,17414,8301,172856,46220,39396,79092,42874,62177,32343,7540,4340,555685,265708,51270,104919,65434,44085,289977,46786,101681,85594,55916,23689,11525,1973,4944,3323,1285,12164,1969,4195,4088,1912,1597,719,158,222,190,149,878,213,389,148,128,3209,1333,194,115,212,812,1876,362,281,342,891,171,67,0,42,7,18,104,0,26,17,61,2093,1276,473,527,117,159,817,331,303,102,81,5059,2345,424,702,785,434,2714,512,730,1003,469,549902,262382,50239,103616,64856,43671,287520,46272,100952,84897,55399,8316,4840,1585,1842,837,576,3476,895,1135,885,561,106400,46942,12721,5018,868,2646,1058,3131,23491,8513,1971,4785,2817,5405,10730,3956,790,2256,1819,1909,59458,19889,4680,2886,3518,4048,4757,29860,5328,4985,4764,8793,5990,9709,1026,988,580,5223,1892,114500,3590,8092,4066,5001,6134,4184,500,13525,19242,24798,3881,5957,3055,3501,8974,106400,28521,12488,18549,23758,23084,100001,26618,11945,17031,22815,21592,3197,647,223,596,718,1013,277,68,61,52,44,52,1703,687,143,589,113,171,79,32,0,27,10,10,240,144,0,73,5,18,903,325,116,181,53,228,99070,26359,11861,16883,22621,21346,1137,393,84,210,199,251
40,KY,21,,,,,040E1US21,Kentucky -- In micropolitan statistical area -- in principal city,202164,93334,18770,259,1413,5948,9606,667,865,12,17007,484,1426,6076,4128,1106,2824,963,14151,772,1114,4883,3330,1004,1888,1160,27828,2082,2918,10649,4809,1471,3268,2631,15578,2609,1248,4855,2651,522,1746,1947,108830,19957,151,1328,5327,10701,783,1649,18,16124,329,1043,3882,4642,1641,3038,1549,15018,492,1301,3865,3528,1569,2576,1687,32403,1698,2861,10552,6789,3188,3771,3544,25328,3646,3065,9436,4180,1101,2089,1811,163437,74564,1137,517,1049,3244,1447,2161,1996,1102,26463,4678,10240,4103,9726,4216,1543,942,88873,1395,346,770,3654,1985,2580,2461,1244,27735,6280,12859,7499,11474,6698,1087,806,163437,2532,38,21,15,64,403,322,378,1441,1543,5355,3432,4741,4457,2346,42511,11687,10958,23099,11602,21200,10914,2630,1748,142748,64756,10933,22521,16626,14676,77992,12676,24422,23125,17769,16129,7614,1193,3415,2112,894,8515,1208,2874,2907,1526,441,141,66,48,19,8,300,70,127,0,103,1467,762,93,61,98,510,705,132,60,77,436,9,0,0,0,0,0,9,0,0,9,0,1094,576,189,227,22,138,518,292,139,34,53,1549,715,179,191,144,201,834,57,113,486,178,139916,63029,10132,21975,16465,14457,76887,12387,24045,22847,17608,4055,2336,1015,786,192,343,1719,626,540,376,177,36492,16427,5009,1888,319,962,363,1477,7725,2884,529,1645,779,1888,3693,1323,236,968,454,712,20065,6783,1583,845,972,1200,2183,9382,1699,1493,1307,2409,2474,3900,485,362,141,1896,1016,39582,1364,2611,1196,1914,2420,1268,217,4145,6311,7513,1721,2397,1677,1584,3244,36492,9862,3784,5995,7101,9750,32445,8694,3493,5147,6471,8640,2420,438,171,443,570,798,111,11,15,43,20,22,946,438,70,302,27,109,0,0,0,0,0,0,191,138,0,35,0,18,379,143,35,25,13,163,32065,8593,3478,5104,6389,8501,520,217,15,67,82,139
40,KY,21,,,,,040E2US21,Kentucky -- In micropolitan statistical area -- not in principal city,478230,234175,25766,500,4021,11552,7798,966,876,53,34770,1241,3180,15042,8007,2643,3562,1095,39791,1588,3790,16965,8184,2764,4400,2100,87541,7492,10089,36590,16431,4618,7385,4936,46307,9127,5332,16411,6962,1438,3492,3545,244055,24398,423,3143,8075,9738,1491,1427,101,35562,791,2801,9750,9574,4217,5533,2896,39241,898,2492,12583,9016,4654,5802,3796,90315,4660,7957,35244,17866,9031,8282,7275,54539,8768,7371,22293,8391,1907,2521,3288,428066,208409,2942,1400,2533,12573,5832,6862,6568,3129,85008,13411,26173,11463,18839,7588,2401,1687,219657,1977,1044,1757,10339,4934,6472,6389,2826,79870,15027,29820,19809,22138,13841,2509,905,428066,4919,48,107,131,443,765,950,1133,3157,4545,18367,10766,13334,12957,5955,130345,34533,28438,55993,31272,40977,21429,4910,2592,412937,200952,40337,82398,48808,29409,211985,34110,77259,62469,38147,7560,3911,780,1529,1211,391,3649,761,1321,1181,386,1156,578,92,174,171,141,578,143,262,148,25,1742,571,101,54,114,302,1171,230,221,265,455,162,67,0,42,7,18,95,0,26,8,61,999,700,284,300,95,21,299,39,164,68,28,3510,1630,245,511,641,233,1880,455,617,517,291,409986,199353,40107,81641,48391,29214,210633,33885,76907,62050,37791,4261,2504,570,1056,645,233,1757,269,595,509,384,69908,30515,7712,3130,549,1684,695,1654,15766,5629,1442,3140,2038,3517,7037,2633,554,1288,1365,1197,39393,13106,3097,2041,2546,2848,2574,20478,3629,3492,3457,6384,3516,5809,541,626,439,3327,876,74918,2226,5481,2870,3087,3714,2916,283,9380,12931,17285,2160,3560,1378,1917,5730,69908,18659,8704,12554,16657,13334,67556,17924,8452,11884,16344,12952,777,209,52,153,148,215,166,57,46,9,24,30,757,249,73,287,86,62,79,32,0,27,10,10,49,6,0,38,5,0,524,182,81,156,40,65,67005,17766,8383,11779,16232,12845,617,176,69,143,117,112
