SummaryLevel,State,StateFIPS,CountyFIPS,PlaceFIPS,CBSACode,CongressDistrict,GEOID,AreaName,B15001_001,B15001_002,B15001_003,B15001_004,B15001_005,B15001_006,B15001_007,B15001_008,B15001_009,B15001_010,B15001_011,B15001_012,B15001_013,B15001_014,B15001_015,B15001_016,B15001_017,B15001_018,B15001_019,B15001_020,B15001_021,B15001_022,B15001_023,B15001_024,B15001_025,B15001_026,B15001_027,B15001_028,B15001_029,B15001_030,B15001_031,B15001_032,B15001_033,B15001_034,B15001_035,B15001_036,B15001_037,B15001_038,B15001_039,B15001_040,B15001_041,B15001_042,B15001_043,B15001_044,B15001_045,B15001_046,B15001_047,B15001_048,B15001_049,B15001_050,B15001_051,B15001_052,B15001_053,B15001_054,B15001_055,B15001_056,B15001_057,B15001_058,B15001_059,B15001_060,B15001_061,B15001_062,B15001_063,B15001_064,B15001_065,B15001_066,B15001_067,B15001_068,B15001_069,B15001_070,B15001_071,B15001_072,B15001_073,B15001_074,B15001_075,B15001_076,B15001_077,B15001_078,B15001_079,B15001_080,B15001_081,B15001_082,B15001_083,B15002_001,B15002_002,B15002_003,B15002_004,B15002_005,B15002_006,B15002_007,B15002_008,B15002_009,B15002_010,B15002_011,B15002_012,B15002_013,B15002_014,B15002_015,B15002_016,B15002_017,B15002_018,B15002_019,B15002_020,B15002_021,B15002_022,B15002_023,B15002_024,B15002_025,B15002_026,B15002_027,B15002_028,B15002_029,B15002_030,B15002_031,B15002_032,B15002_033,B15002_034,B15002_035,B15003_001,B15003_002,B15003_003,B15003_004,B15003_005,B15003_006,B15003_007,B15003_008,B15003_009,B15003_010,B15003_011,B15003_012,B15003_013,B15003_014,B15003_015,B15003_016,B15003_017,B15003_018,B15003_019,B15003_020,B15003_021,B15003_022,B15003_023,B15003_024,B15003_025,C15002A_001,C15002A_002,C15002A_003,C15002A_004,C15002A_005,C15002A_006,C15002A_007,C15002A_008,C15002A_009,C15002A_010,C15002A_011,C15002B_001,C15002B_002,C15002B_003,C15002B_004,C15002B_005,C15002B_006,C15002B_007,C15002B_008,C15002B_009,C15002B_010,C15002B_011,C15002C_001,C15002C_002,C15002C_003,C15002C_004,C15002C_005,C15002C_006,C15002C_007,C15002C_008,C15002C_009,C15002C_010,C15002C_011,C15002D_001,C15002D_002,C15002D_003,C15002D_004,C15002D_005,C15002D_006,C15002D_007,C15002D_008,C15002D_009,C15002D_010,C15002D_011,C15002E_001,C15002E_002,C15002E_003,C15002E_004,C15002E_005,C15002E_006,C15002E_007,C15002E_008,C15002E_009,C15002E_010,C15002E_011,C15002F_001,C15002F_002,C15002F_003,C15002F_004,C15002F_005,C15002F_006,C15002F_007,C15002F_008,C15002F_009,C15002F_010,C15002F_011,C15002G_001,C15002G_002,C15002G_003,C15002G_004,C15002G_005,C15002G_006,C15002G_007,C15002G_008,C15002G_009,C15002G_010,C15002G_011,C15002H_001,C15002H_002,C15002H_003,C15002H_004,C15002H_005,C15002H_006,C15002H_007,C15002H_008,C15002H_009,C15002H_010,C15002H_011,C15002I_001,C15002I_002,C15002I_003,C15002I_004,C15002I_005,C15002I_006,C15002I_007,C15002I_008,C15002I_009,C15002I_010,C15002I_011,B15011_001,B15011_002,B15011_003,B15011_004,B15011_005,B15011_006,B15011_007,B15011_008,B15011_009,B15011_010,B15011_011,B15011_012,B15011_013,B15011_014,B15011_015,B15011_016,B15011_017,B15011_018,B15011_019,B15011_020,B15011_021,B15011_022,B15011_023,B15011_024,B15011_025,B15011_026,B15011_027,B15011_028,B15011_029,B15011_030,B15011_031,B15011_032,B15011_033,B15011_034,B15011_035,B15011_036,B15011_037,B15011_038,B15011_039,B15012_001,B15012_002,B15012_003,B15012_004,B15012_005,B15012_006,B15012_007,B15012_008,B15012_009,B15012_010,B15012_011,B15012_012,B15012_013,B15012_014,B15012_015,B15012_016,C15010_001,C15010_002,C15010_003,C15010_004,C15010_005,C15010_006,C15010A_001,C15010A_002,C15010A_003,C15010A_004,C15010A_005,C15010A_006,C15010B_001,C15010B_002,C15010B_003,C15010B_004,C15010B_005,C15010B_006,C15010C_001,C15010C_002,C15010C_003,C15010C_004,C15010C_005,C15010C_006,C15010D_001,C15010D_002,C15010D_003,C15010D_004,C15010D_005,C15010D_006,C15010E_001,C15010E_002,C15010E_003,C15010E_004,C15010E_005,C15010E_006,C15010F_001,C15010F_002,C15010F_003,C15010F_004,C15010F_005,C15010F_006,C15010G_001,C15010G_002,C15010G_003,C15010G_004,C15010G_005,C15010G_006,C15010H_001,C15010H_002,C15010H_003,C15010H_004,C15010H_005,C15010H_006,C15010I_001,C15010I_002,C15010I_003,C15010I_004,C15010I_005,C15010I_006
40,LA,22,,,,,04000US22,Louisiana,3531648,1703834,236565,7919,43590,82869,83009,4896,13191,1091,332105,15022,40922,108937,74530,18498,55159,19037,281618,12686,32474,98366,59434,16561,41448,20649,578459,35333,67855,214540,117348,25132,76377,41874,275087,32645,29310,89682,51410,6999,36318,28723,1827814,229104,4804,29607,67532,99795,7076,18954,1336,334105,8978,30704,81752,86134,27393,72177,26967,287689,6872,24046,80823,66560,25557,55390,28441,618278,22945,54263,221310,135709,42663,90815,50573,358638,36698,45457,143181,61884,11491,34120,25807,3065979,1467269,20446,9735,20169,45336,35917,51009,55197,28438,511525,75272,227450,67190,209302,63078,29359,17846,1598710,18498,8327,13831,34837,29504,46813,53992,24161,527066,88490,261797,107104,252502,100387,20077,11324,3065979,38944,523,419,1502,2469,7294,5855,10373,23627,27290,52883,65421,97822,109189,52599,876224,162367,163762,489247,174294,461804,163465,49436,29170,2030242,990152,141446,333831,257067,257808,1040090,119308,348599,290384,281799,900300,409452,106066,159955,98900,44531,490848,94838,161732,149775,84503,17572,8542,3328,2722,1670,822,9030,2518,2946,2340,1226,52347,24614,5329,4471,3735,11079,27733,6763,5652,5003,10315,941,354,70,113,126,45,587,158,178,136,115,30613,17800,6629,6010,3373,1788,12813,3726,3726,3419,1942,33964,16355,3379,4423,5041,3512,17609,2652,4233,6334,4390,1937266,939610,126294,318343,246110,248863,997656,109682,336809,278744,272421,132067,73216,23739,22934,15438,11105,58851,14451,16342,16100,11958,703875,319585,105347,40957,8267,23421,3722,28980,149197,55399,13245,39397,10580,30576,65041,24847,4205,15572,10329,10088,384290,142012,37142,22976,25330,17755,38809,182351,33228,31101,34237,47068,36717,59927,6202,6813,5563,30090,11259,745186,21682,48511,25759,30050,39437,43615,3629,92366,147476,123630,23343,53242,24368,23231,44847,703875,197775,86607,143520,119544,156429,539607,149755,67286,111307,90665,120594,129034,32304,15482,26107,25863,29278,2048,471,192,316,452,617,21394,10852,2601,3644,1244,3053,160,36,3,72,16,33,3730,1483,321,764,347,815,7902,2874,722,1310,957,2039,521284,143643,65211,107417,88444,116569,23063,7924,2503,4872,2610,5154
40,LA,22,,,,,04001US22,Louisiana -- Urban,2595347,1234689,180499,5427,31659,59941,67426,3551,11549,946,255404,10957,29433,76666,59760,14022,47543,17023,202378,8947,22075,65280,43595,11887,33115,17479,407224,23481,43679,139805,85684,18464,61479,34632,189184,20974,19776,56787,35950,5074,27915,22708,1360658,179909,3722,22607,49850,81022,5203,16217,1288,259213,6912,23158,59620,67801,19700,58823,23199,211383,4710,17368,55094,49367,18513,42784,23547,449062,16539,38634,148460,102694,30691,71742,40302,261091,26213,31730,99827,47025,8570,27396,20330,2234939,1054190,14709,6727,13731,29192,22910,33776,36737,21540,338538,53446,171543,49447,170052,51847,25122,14873,1180749,13715,6383,10553,23723,20692,32550,39071,18577,363001,63575,203312,77474,200745,80506,17201,9671,2234939,28424,319,278,1167,1767,5350,4229,7414,16870,18568,34347,43602,66326,75808,40117,596928,104611,117021,374855,126921,370797,132353,42323,24544,1366022,661209,80985,194681,178420,207123,704813,72601,214386,198793,219033,757205,336841,83270,129905,84509,39157,420364,79762,135736,131424,73442,10557,5010,1829,1405,1168,608,5547,1435,1617,1638,857,48326,23242,5211,4153,3542,10336,25084,6374,4977,4520,9213,646,236,45,73,90,28,410,105,94,96,115,26437,15296,5561,5267,2862,1606,11141,3147,3235,3040,1719,25746,12356,2421,3054,3845,3036,13390,1840,2956,4850,3744,1286386,617984,68694,181439,168993,198858,668402,64519,204410,188650,210823,113352,62630,19614,19584,13288,10144,50722,12200,13799,14210,10513,570017,261894,90021,35472,6220,20185,2924,25220,121250,44646,10241,33173,7928,25262,50623,19604,3287,12470,7320,7942,308123,115679,32181,17852,20161,12333,33152,144718,27967,23976,27977,33995,30803,47726,5249,5345,4647,23063,9422,604679,18887,37498,21287,25531,34717,36840,2908,71598,121880,90762,20683,43792,21664,20597,36035,570017,165119,66921,118613,87563,131801,426156,121789,50533,90300,63567,99967,112599,28856,13139,23016,21698,25890,1465,379,116,221,292,457,19549,10250,2223,3217,1029,2830,143,25,3,66,16,33,3325,1319,301,685,305,715,6780,2501,606,1108,656,1909,409681,116270,48661,86600,61809,96341,20657,7113,2282,4531,2118,4613
40,LA,22,,,,,04043US22,Louisiana -- Rural,936301,469145,56066,2492,11931,22928,15583,1345,1642,145,76701,4065,11489,32271,14770,4476,7616,2014,79240,3739,10399,33086,15839,4674,8333,3170,171235,11852,24176,74735,31664,6668,14898,7242,85903,11671,9534,32895,15460,1925,8403,6015,467156,49195,1082,7000,17682,18773,1873,2737,48,74892,2066,7546,22132,18333,7693,13354,3768,76306,2162,6678,25729,17193,7044,12606,4894,169216,6406,15629,72850,33015,11972,19073,10271,97547,10485,13727,43354,14859,2921,6724,5477,831040,413079,5737,3008,6438,16144,13007,17233,18460,6898,172987,21826,55907,17743,39250,11231,4237,2973,417961,4783,1944,3278,11114,8812,14263,14921,5584,164065,24915,58485,29630,51757,19881,2876,1653,831040,10520,204,141,335,702,1944,1626,2959,6757,8722,18536,21819,31496,33381,12482,279296,57756,46741,114392,47373,91007,31112,7113,4626,664220,328943,60461,139150,78647,50685,335277,46707,134213,91591,62766,143095,72611,22796,30050,14391,5374,70484,15076,25996,18351,11061,7015,3532,1499,1317,502,214,3483,1083,1329,702,369,4021,1372,118,318,193,743,2649,389,675,483,1102,295,118,25,40,36,17,177,53,84,40,0,4176,2504,1068,743,511,182,1672,579,491,379,223,8218,3999,958,1369,1196,476,4219,812,1277,1484,646,650880,321626,57600,136904,77117,50005,329254,45163,132399,90094,61598,18715,10586,4125,3350,2150,961,8129,2251,2543,1890,1445,133858,57691,15326,5485,2047,3236,798,3760,27947,10753,3004,6224,2652,5314,14418,5243,918,3102,3009,2146,76167,26333,4961,5124,5169,5422,5657,37633,5261,7125,6260,13073,5914,12201,953,1468,916,7027,1837,140507,2795,11013,4472,4519,4720,6775,721,20768,25596,32868,2660,9450,2704,2634,8812,133858,32656,19686,24907,31981,24628,113451,27966,16753,21007,27098,20627,16435,3448,2343,3091,4165,3388,583,92,76,95,160,160,1845,602,378,427,215,223,17,11,0,6,0,0,405,164,20,79,42,100,1122,373,116,202,301,130,111603,27373,16550,20817,26635,20228,2406,811,221,341,492,541
40,LA,22,,,,,040A0US22,Louisiana -- In metropolitan or micropolitan statistical area,3279729,1574653,219678,6689,39077,75722,79523,4597,12986,1084,308505,13144,35654,99105,70652,17489,53775,18686,260290,11476,28361,88784,55428,15814,40317,20110,534310,31640,60583,194834,109691,23588,73340,40634,251870,29058,25985,81009,47563,6588,34458,27209,1705076,216324,4361,26949,62604,96008,6531,18578,1293,315038,8357,28008,75698,81399,25571,69738,26267,269131,6353,21955,73998,62239,23900,53214,27472,575337,20746,49117,202650,127775,39912,86706,48431,329246,32652,40897,130620,57820,10696,32260,24301,2843727,1354975,18872,8846,17846,39754,31067,44532,48642,26342,463732,69818,213516,63479,201890,60492,28667,17480,1488752,17081,7639,12535,30853,26693,41591,49067,22626,482966,82741,246492,100079,241918,96043,19360,11068,2843727,35953,474,400,1442,2199,6714,5256,9221,21160,23846,46761,57760,86123,97709,48968,800977,145721,152559,460008,163558,443808,156535,48027,28548,1877841,913975,124972,300657,240051,248295,963866,106504,317400,270569,269393,836481,376619,93409,146491,93418,43301,459862,86394,149626,142387,81455,15218,7406,2971,2267,1458,710,7812,2214,2581,1946,1071,51861,24389,5310,4388,3658,11033,27472,6725,5612,4957,10178,891,315,70,111,103,31,576,158,178,125,115,29452,16981,6084,5807,3337,1753,12471,3582,3607,3344,1938,31983,15290,3085,4011,4788,3406,16693,2508,3962,5984,4239,1787963,865586,110600,286071,229405,239510,922377,97137,305912,259191,260137,127159,69752,22285,21553,15026,10888,57407,14015,15825,15758,11809,676918,308529,102935,40152,7954,22942,3551,28336,143927,53506,12869,38295,9657,29600,61667,23840,3946,14918,9457,9506,368389,137280,36330,21982,24575,16821,37572,174548,32203,29793,33380,43517,35655,56561,5954,6571,5334,27847,10855,716934,21156,46202,25024,29022,38659,42795,3547,88701,143285,114731,22624,51368,23997,22818,43005,676918,191985,83115,139444,110850,151524,517688,144909,64357,108127,83612,116683,124756,31487,15009,25331,24472,28457,1781,428,170,283,367,533,21211,10844,2561,3609,1181,3016,146,25,3,69,16,33,3691,1476,321,751,347,796,7645,2816,694,1274,855,2006,499647,138870,62294,104283,81467,112733,22697,7823,2480,4825,2518,5051
40,LA,22,,,,,040C0US22,Louisiana -- In metropolitan statistical area,2951317,1414713,192586,5934,34578,65326,70548,3961,11246,993,279456,11542,31551,87689,64507,15898,50465,17804,235455,10101,24867,78653,50978,14240,37807,18809,482721,27409,54190,171515,101089,21330,68923,38265,224495,24895,22829,70682,43256,5874,31979,24980,1536604,191479,3811,23344,54656,85985,5708,16751,1224,286819,7273,24803,66607,74700,22918,65525,24993,243982,5583,19880,64929,56654,21708,49189,26039,520295,18099,43727,179252,117522,35860,80852,44983,294029,28018,35688,115972,52878,9679,29619,22175,2567252,1222127,16535,7694,15956,33762,26784,39512,42724,24417,408539,62996,196834,57342,189174,56295,27238,16325,1345125,15110,6666,11142,26055,23596,36388,43702,20412,426760,74416,227338,90165,225185,89103,18543,10544,2567252,31645,399,336,1253,1861,6016,4495,8049,19049,20395,39422,50380,75900,86426,44829,707621,127678,137412,424172,147507,414359,145398,45781,26869,1692051,823321,109000,262438,218981,232902,868730,92389,279339,245619,251383,755861,339177,82110,130927,86093,40047,416684,76783,133005,131524,75372,13444,6568,2700,2012,1261,595,6876,2049,2212,1654,961,49486,23438,5085,4209,3499,10645,26048,6358,5209,4619,9862,748,257,70,94,74,19,491,151,140,100,100,27064,15713,5784,5373,2948,1608,11351,3204,3321,3051,1775,28598,13653,2635,3486,4316,3216,14945,2137,3534,5352,3922,1607583,777854,95351,248821,209308,224374,829729,83551,268668,234884,242626,119208,65473,21199,20041,13675,10558,53735,13030,14704,14855,11146,632407,289032,96790,37959,7170,21907,3143,26611,135283,50114,12202,36385,8855,27727,56959,22314,3719,13995,8065,8866,343375,128904,34528,20817,22912,15299,35348,162677,30508,27932,31486,39388,33363,51794,5705,6149,4943,25184,9813,669771,19797,43072,23613,27300,36673,40915,3299,83332,135176,103536,21582,47638,22943,21677,39218,632407,181128,77989,131628,99934,141728,484285,136888,60416,102049,75316,109616,115419,29410,14003,23802,22149,26055,1556,364,152,252,348,440,20507,10533,2523,3520,1042,2889,119,16,3,59,16,25,3383,1308,276,728,306,765,7138,2609,616,1218,757,1938,467000,131048,58395,98335,73351,105871,21704,7510,2406,4666,2320,4802
40,LA,22,,,,,040C1US22,Louisiana -- In metropolitan statistical area -- in principal city,1081900,509253,82322,1848,12186,23715,36217,1501,6262,593,109947,3788,10851,27845,26002,5543,24715,11203,79380,3047,8175,21978,17227,4568,15100,9285,160126,7097,16384,47485,35178,7006,27365,19611,77478,7091,7726,19455,14991,1973,13461,12781,572647,86804,1304,9194,21218,43308,1883,9216,681,112903,2717,9463,22694,28318,7569,28287,13855,82987,1971,6023,19267,19394,6172,18417,11743,179641,5540,16027,50232,42779,10748,32821,21494,110312,9195,12106,37862,21792,3818,14444,11095,912774,426931,5185,2605,4362,8871,7289,11851,14626,9370,116763,19346,74052,19090,80641,27823,16127,8930,485843,5100,2565,3683,8075,6530,11368,16824,8897,130055,24817,87466,28307,93969,41336,10584,6267,912774,10285,175,183,398,714,2065,1635,2148,5897,5741,11205,13819,23219,31450,18267,214417,32401,44163,161518,47397,174610,69159,26711,15197,470926,231051,18374,47917,61009,103751,239875,16814,55005,64190,103866,394926,172759,40585,64000,46581,21593,222167,41709,69908,70577,39973,3392,1532,449,468,346,269,1860,304,593,620,343,23378,11419,2133,1883,1811,5592,11959,2696,2239,2054,4970,293,135,22,51,53,9,158,43,55,31,29,9099,4832,1664,1381,1045,742,4267,949,1292,1143,883,10760,5203,932,1063,1643,1565,5557,527,963,1975,2092,438219,213142,13499,42938,57214,99491,225077,13577,51349,60590,99561,45152,24771,7364,6778,5334,5295,20381,4509,5093,5238,5541,285677,133521,48374,20127,2910,10043,1482,13812,58905,21798,4744,15608,3343,13412,26242,10698,1798,6297,2932,4517,152156,57556,18163,7459,9756,4977,17201,69061,13933,11105,13144,13691,17188,25539,3234,2477,2689,11724,5415,305155,9026,20246,11235,14148,21536,17811,1732,32790,59159,39496,13297,23226,13621,11501,16331,285677,87953,30493,57537,38149,71545,207617,64664,21480,41912,25578,53983,61566,16003,7113,13020,11532,13898,612,158,44,108,103,199,10562,5228,1324,1670,421,1919,38,6,3,29,0,0,1625,553,158,373,177,364,3657,1341,371,425,338,1182,199052,61654,20552,40165,24924,51757,10836,3892,1163,2129,875,2777
40,LA,22,,,,,040C2US22,Louisiana -- In metropolitan statistical area -- not in principal city,1869417,905460,110264,4086,22392,41611,34331,2460,4984,400,169509,7754,20700,59844,38505,10355,25750,6601,156075,7054,16692,56675,33751,9672,22707,9524,322595,20312,37806,124030,65911,14324,41558,18654,147017,17804,15103,51227,28265,3901,18518,12199,963957,104675,2507,14150,33438,42677,3825,7535,543,173916,4556,15340,43913,46382,15349,37238,11138,160995,3612,13857,45662,37260,15536,30772,14296,340654,12559,27700,129020,74743,25112,48031,23489,183717,18823,23582,78110,31086,5861,15175,11080,1654478,795196,11350,5089,11594,24891,19495,27661,28098,15047,291776,43650,122782,38252,108533,28472,11111,7395,859282,10010,4101,7459,17980,17066,25020,26878,11515,296705,49599,139872,61858,131216,47767,7959,4277,1654478,21360,224,153,855,1147,3951,2860,5901,13152,14654,28217,36561,52681,54976,26562,493204,95277,93249,262654,100110,239749,76239,19070,11672,1221125,592270,90626,214521,157972,129151,628855,75575,224334,181429,147517,360935,166418,41525,66927,39512,18454,194517,35074,63097,60947,35399,10052,5036,2251,1544,915,326,5016,1745,1619,1034,618,26108,12019,2952,2326,1688,5053,14089,3662,2970,2565,4892,455,122,48,43,21,10,333,108,85,69,71,17965,10881,4120,3992,1903,866,7084,2255,2029,1908,892,17838,8450,1703,2423,2673,1651,9388,1610,2571,3377,1830,1169364,564712,81852,205883,152094,124883,604652,69974,217319,174294,143065,74056,40702,13835,13263,8341,5263,33354,8521,9611,9617,5605,346730,155511,48416,17832,4260,11864,1661,12799,76378,28316,7458,20777,5512,14315,30717,11616,1921,7698,5133,4349,191219,71348,16365,13358,13156,10322,18147,93616,16575,16827,18342,25697,16175,26255,2471,3672,2254,13460,4398,364616,10771,22826,12378,13152,15137,23104,1567,50542,76017,64040,8285,24412,9322,10176,22887,346730,93175,47496,74091,61785,70183,276668,72224,38936,60137,49738,55633,53853,13407,6890,10782,10617,12157,944,206,108,144,245,241,9945,5305,1199,1850,621,970,81,10,0,30,16,25,1758,755,118,355,129,401,3481,1268,245,793,419,756,267948,69394,37843,58170,48427,54114,10868,3618,1243,2537,1445,2025
40,LA,22,,,,,040E0US22,Louisiana -- In micropolitan statistical area,328412,159940,27092,755,4499,10396,8975,636,1740,91,29049,1602,4103,11416,6145,1591,3310,882,24835,1375,3494,10131,4450,1574,2510,1301,51589,4231,6393,23319,8602,2258,4417,2369,27375,4163,3156,10327,4307,714,2479,2229,168472,24845,550,3605,7948,10023,823,1827,69,28219,1084,3205,9091,6699,2653,4213,1274,25149,770,2075,9069,5585,2192,4025,1433,55042,2647,5390,23398,10253,4052,5854,3448,35217,4634,5209,14648,4942,1017,2641,2126,276475,132848,2337,1152,1890,5992,4283,5020,5918,1925,55193,6822,16682,6137,12716,4197,1429,1155,143627,1971,973,1393,4798,3097,5203,5365,2214,56206,8325,19154,9914,16733,6940,817,524,276475,4308,75,64,189,338,698,761,1172,2111,3451,7339,7380,10223,11283,4139,93356,18043,15147,35836,16051,29449,11137,2246,1679,185790,90654,15972,38219,21070,15393,95136,14115,38061,24950,18010,80620,37442,11299,15564,7325,3254,43178,9611,16621,10863,6083,1774,838,271,255,197,115,936,165,369,292,110,2375,951,225,179,159,388,1424,367,403,338,316,143,58,0,17,29,12,85,7,38,25,15,2388,1268,300,434,389,145,1120,378,286,293,163,3385,1637,450,525,472,190,1748,371,428,632,317,180380,87732,15249,37250,20097,15136,92648,13586,37244,24307,17511,7951,4279,1086,1512,1351,330,3672,985,1121,903,663,44511,19497,6145,2193,784,1035,408,1725,8644,3392,667,1910,802,1873,4708,1526,227,923,1392,640,25014,8376,1802,1165,1663,1522,2224,11871,1695,1861,1894,4129,2292,4767,249,422,391,2663,1042,47163,1359,3130,1411,1722,1986,1880,248,5369,8109,11195,1042,3730,1054,1141,3787,44511,10857,5126,7816,10916,9796,33403,8021,3941,6078,8296,7067,9337,2077,1006,1529,2323,2402,225,64,18,31,19,93,704,311,38,89,139,127,27,9,0,10,0,8,308,168,45,23,41,31,507,207,78,56,98,68,32647,7822,3899,5948,8116,6862,993,313,74,159,198,249
40,LA,22,,,,,040E1US22,Louisiana -- In micropolitan statistical area -- in principal city,91096,43203,10713,334,1568,2713,4717,265,1116,0,9169,426,1103,3164,2328,466,1275,407,6192,277,1029,2084,1153,424,692,533,10902,916,1414,4530,1818,420,1045,759,6227,910,780,2034,957,115,675,756,47893,10944,290,1415,2707,5251,325,908,48,8277,284,736,2769,1993,771,1326,398,6698,193,729,2338,1347,646,914,531,12688,710,1310,5128,2469,841,1402,828,9286,1276,1326,3132,1416,417,936,783,69439,32490,648,246,326,1309,1163,1390,1343,430,11812,1702,4554,1425,3687,1447,553,455,36949,520,248,336,1359,697,1194,1631,579,13367,1920,5305,2675,4578,2143,228,169,69439,1168,10,23,52,60,235,114,249,413,974,1694,1860,2584,2974,1009,21161,4018,3622,9859,4100,8265,3590,781,624,35527,16947,2400,5608,4229,4710,18580,2544,6379,4864,4793,31593,14317,4272,5844,3125,1076,17276,3844,6676,4569,2187,479,195,67,24,69,35,284,46,76,137,25,495,255,38,47,28,142,240,40,72,76,52,27,7,0,0,0,7,20,0,0,20,0,706,430,26,178,104,122,276,51,102,109,14,612,339,52,111,126,50,273,39,62,125,47,34069,16243,2248,5313,4063,4619,17826,2435,6120,4632,4639,2197,1159,238,479,317,125,1038,174,369,319,176,13260,6142,2329,848,256,453,105,667,2382,757,172,578,234,641,1431,480,68,229,456,198,7118,2607,700,305,447,424,731,2792,481,334,472,832,673,1719,95,199,171,891,363,14142,614,704,445,544,836,536,76,1384,2386,3019,320,1098,499,400,1281,13260,3361,1334,2350,2942,3273,9503,2279,1005,1808,2051,2360,3263,731,329,527,861,815,60,21,0,0,1,38,194,157,0,0,8,29,7,0,0,7,0,0,136,103,0,0,13,20,97,70,0,8,8,11,9258,2247,1002,1731,1984,2294,301,63,3,77,70,88
40,LA,22,,,,,040E2US22,Louisiana -- In micropolitan statistical area -- not in principal city,237316,116737,16379,421,2931,7683,4258,371,624,91,19880,1176,3000,8252,3817,1125,2035,475,18643,1098,2465,8047,3297,1150,1818,768,40687,3315,4979,18789,6784,1838,3372,1610,21148,3253,2376,8293,3350,599,1804,1473,120579,13901,260,2190,5241,4772,498,919,21,19942,800,2469,6322,4706,1882,2887,876,18451,577,1346,6731,4238,1546,3111,902,42354,1937,4080,18270,7784,3211,4452,2620,25931,3358,3883,11516,3526,600,1705,1343,207036,100358,1689,906,1564,4683,3120,3630,4575,1495,43381,5120,12128,4712,9029,2750,876,700,106678,1451,725,1057,3439,2400,4009,3734,1635,42839,6405,13849,7239,12155,4797,589,355,207036,3140,65,41,137,278,463,647,923,1698,2477,5645,5520,7639,8309,3130,72195,14025,11525,25977,11951,21184,7547,1465,1055,150263,73707,13572,32611,16841,10683,76556,11571,31682,20086,13217,49027,23125,7027,9720,4200,2178,25902,5767,9945,6294,3896,1295,643,204,231,128,80,652,119,293,155,85,1880,696,187,132,131,246,1184,327,331,262,264,116,51,0,17,29,5,65,7,38,5,15,1682,838,274,256,285,23,844,327,184,184,149,2773,1298,398,414,346,140,1475,332,366,507,270,146311,71489,13001,31937,16034,10517,74822,11151,31124,19675,12872,5754,3120,848,1033,1034,205,2634,811,752,584,487,31251,13355,3816,1345,528,582,303,1058,6262,2635,495,1332,568,1232,3277,1046,159,694,936,442,17896,5769,1102,860,1216,1098,1493,9079,1214,1527,1422,3297,1619,3048,154,223,220,1772,679,33021,745,2426,966,1178,1150,1344,172,3985,5723,8176,722,2632,555,741,2506,31251,7496,3792,5466,7974,6523,23900,5742,2936,4270,6245,4707,6074,1346,677,1002,1462,1587,165,43,18,31,18,55,510,154,38,89,131,98,20,9,0,3,0,8,172,65,45,23,28,11,410,137,78,48,90,57,23389,5575,2897,4217,6132,4568,692,250,71,82,128,161
