SummaryLevel,State,StateFIPS,CountyFIPS,PlaceFIPS,CBSACode,CongressDistrict,GEOID,AreaName,B15001_001,B15001_002,B15001_003,B15001_004,B15001_005,B15001_006,B15001_007,B15001_008,B15001_009,B15001_010,B15001_011,B15001_012,B15001_013,B15001_014,B15001_015,B15001_016,B15001_017,B15001_018,B15001_019,B15001_020,B15001_021,B15001_022,B15001_023,B15001_024,B15001_025,B15001_026,B15001_027,B15001_028,B15001_029,B15001_030,B15001_031,B15001_032,B15001_033,B15001_034,B15001_035,B15001_036,B15001_037,B15001_038,B15001_039,B15001_040,B15001_041,B15001_042,B15001_043,B15001_044,B15001_045,B15001_046,B15001_047,B15001_048,B15001_049,B15001_050,B15001_051,B15001_052,B15001_053,B15001_054,B15001_055,B15001_056,B15001_057,B15001_058,B15001_059,B15001_060,B15001_061,B15001_062,B15001_063,B15001_064,B15001_065,B15001_066,B15001_067,B15001_068,B15001_069,B15001_070,B15001_071,B15001_072,B15001_073,B15001_074,B15001_075,B15001_076,B15001_077,B15001_078,B15001_079,B15001_080,B15001_081,B15001_082,B15001_083,B15002_001,B15002_002,B15002_003,B15002_004,B15002_005,B15002_006,B15002_007,B15002_008,B15002_009,B15002_010,B15002_011,B15002_012,B15002_013,B15002_014,B15002_015,B15002_016,B15002_017,B15002_018,B15002_019,B15002_020,B15002_021,B15002_022,B15002_023,B15002_024,B15002_025,B15002_026,B15002_027,B15002_028,B15002_029,B15002_030,B15002_031,B15002_032,B15002_033,B15002_034,B15002_035,B15003_001,B15003_002,B15003_003,B15003_004,B15003_005,B15003_006,B15003_007,B15003_008,B15003_009,B15003_010,B15003_011,B15003_012,B15003_013,B15003_014,B15003_015,B15003_016,B15003_017,B15003_018,B15003_019,B15003_020,B15003_021,B15003_022,B15003_023,B15003_024,B15003_025,C15002A_001,C15002A_002,C15002A_003,C15002A_004,C15002A_005,C15002A_006,C15002A_007,C15002A_008,C15002A_009,C15002A_010,C15002A_011,C15002B_001,C15002B_002,C15002B_003,C15002B_004,C15002B_005,C15002B_006,C15002B_007,C15002B_008,C15002B_009,C15002B_010,C15002B_011,C15002C_001,C15002C_002,C15002C_003,C15002C_004,C15002C_005,C15002C_006,C15002C_007,C15002C_008,C15002C_009,C15002C_010,C15002C_011,C15002D_001,C15002D_002,C15002D_003,C15002D_004,C15002D_005,C15002D_006,C15002D_007,C15002D_008,C15002D_009,C15002D_010,C15002D_011,C15002E_001,C15002E_002,C15002E_003,C15002E_004,C15002E_005,C15002E_006,C15002E_007,C15002E_008,C15002E_009,C15002E_010,C15002E_011,C15002F_001,C15002F_002,C15002F_003,C15002F_004,C15002F_005,C15002F_006,C15002F_007,C15002F_008,C15002F_009,C15002F_010,C15002F_011,C15002G_001,C15002G_002,C15002G_003,C15002G_004,C15002G_005,C15002G_006,C15002G_007,C15002G_008,C15002G_009,C15002G_010,C15002G_011,C15002H_001,C15002H_002,C15002H_003,C15002H_004,C15002H_005,C15002H_006,C15002H_007,C15002H_008,C15002H_009,C15002H_010,C15002H_011,C15002I_001,C15002I_002,C15002I_003,C15002I_004,C15002I_005,C15002I_006,C15002I_007,C15002I_008,C15002I_009,C15002I_010,C15002I_011,B15011_001,B15011_002,B15011_003,B15011_004,B15011_005,B15011_006,B15011_007,B15011_008,B15011_009,B15011_010,B15011_011,B15011_012,B15011_013,B15011_014,B15011_015,B15011_016,B15011_017,B15011_018,B15011_019,B15011_020,B15011_021,B15011_022,B15011_023,B15011_024,B15011_025,B15011_026,B15011_027,B15011_028,B15011_029,B15011_030,B15011_031,B15011_032,B15011_033,B15011_034,B15011_035,B15011_036,B15011_037,B15011_038,B15011_039,B15012_001,B15012_002,B15012_003,B15012_004,B15012_005,B15012_006,B15012_007,B15012_008,B15012_009,B15012_010,B15012_011,B15012_012,B15012_013,B15012_014,B15012_015,B15012_016,C15010_001,C15010_002,C15010_003,C15010_004,C15010_005,C15010_006,C15010A_001,C15010A_002,C15010A_003,C15010A_004,C15010A_005,C15010A_006,C15010B_001,C15010B_002,C15010B_003,C15010B_004,C15010B_005,C15010B_006,C15010C_001,C15010C_002,C15010C_003,C15010C_004,C15010C_005,C15010C_006,C15010D_001,C15010D_002,C15010D_003,C15010D_004,C15010D_005,C15010D_006,C15010E_001,C15010E_002,C15010E_003,C15010E_004,C15010E_005,C15010E_006,C15010F_001,C15010F_002,C15010F_003,C15010F_004,C15010F_005,C15010F_006,C15010G_001,C15010G_002,C15010G_003,C15010G_004,C15010G_005,C15010G_006,C15010H_001,C15010H_002,C15010H_003,C15010H_004,C15010H_005,C15010H_006,C15010I_001,C15010I_002,C15010I_003,C15010I_004,C15010I_005,C15010I_006
40,MD,24,,,,,04000US24,Maryland,4612092,2199626,284975,5749,32630,92472,111503,12525,28504,1592,405833,17145,28544,103810,84912,23026,98145,50251,372950,19368,21985,92095,70048,21633,78176,69645,783388,26250,51293,215980,149559,44727,151469,144110,352480,22959,29752,91388,56763,13966,60826,76826,2412466,274478,3749,22996,70878,119325,14053,39903,3574,414759,11754,18996,78012,87118,30578,112846,75455,395507,14348,15836,74238,73946,31663,95364,90112,860152,23050,41600,217292,178201,70448,178428,151133,467570,31667,46209,157490,84421,23858,63478,60447,4052639,1914651,21793,12979,23259,27691,27888,35790,35405,32491,503273,107203,254079,103352,388616,214499,66420,59913,2137988,22956,10478,20407,26978,23635,33781,34840,30385,527032,135739,287947,156547,450116,281168,53433,42546,4052639,44749,714,999,1760,4476,8567,6941,9835,33831,15849,38820,51523,69571,70245,62876,904895,125410,242942,542026,259899,838732,495667,119853,102459,2432655,1174890,106697,293958,273421,500814,1257765,98428,310853,321848,526636,1152790,513861,62013,171275,150988,129585,638929,61782,174591,211714,190842,11073,5097,1203,1419,1635,840,5976,1181,1424,1953,1418,254458,116898,9269,12657,17641,77331,137560,14770,19099,20972,82719,1825,852,117,149,260,326,973,70,154,474,275,125826,68498,34090,16507,10018,7883,57328,24005,14962,9613,8748,74012,34555,3907,7308,10671,12669,39457,3224,5949,13659,16625,2271736,1092525,80585,274841,257419,479680,1179211,77090,292777,305373,503971,309853,161844,63757,38417,28781,30889,148009,47842,35223,29603,35341,1556711,729448,220734,112378,10062,42822,7411,48061,371062,186236,17920,82447,15280,69179,137652,70392,6127,25668,11373,24092,827263,281994,106435,31478,44950,26795,72336,421344,133608,52895,79346,57061,98434,123925,29430,13912,9889,38673,32021,1676914,107952,112724,63778,84132,177110,131796,13670,143221,295255,163805,85784,88845,59930,60583,88329,1556711,638479,132394,285122,156593,344123,1027450,419319,78545,173654,110934,244998,320427,111459,31492,78119,33371,65986,2258,844,236,444,263,471,160050,87634,18061,24201,7760,22394,601,178,50,118,92,163,16631,6136,1516,3711,1798,3470,29294,12909,2494,4875,2375,6641,983651,400150,75294,165452,107463,235292,66230,27977,5198,13094,5583,14378
40,MD,24,,,,,04001US24,Maryland -- Urban,4018305,1903022,253111,5093,28795,79720,101088,10761,26228,1426,369057,16199,25724,89766,77716,20537,91034,48081,331789,18582,19496,78662,61188,18807,70437,64617,659272,24047,42947,171710,125176,36886,130985,127521,289793,18869,23693,69767,47162,11450,52081,66771,2115283,245649,3451,20994,62755,107582,11689,35889,3289,380127,11145,17605,70173,78793,27012,104603,70796,353235,13752,14649,64355,65260,27283,85570,82366,735334,21548,36297,179062,151469,58748,154889,133321,400938,28171,39330,130003,73173,20603,56046,53612,3519545,1649911,19799,12419,21950,23529,24485,30088,29315,27972,409905,89905,221337,87680,344537,192715,59561,54714,1869634,21196,9970,19501,23949,21061,28856,30453,27511,443593,114495,254200,133646,401108,251763,48880,39452,3519545,40995,662,911,1684,4360,8140,6632,9259,32192,14023,33455,45546,58944,59768,55483,746262,107236,204400,475537,221326,745645,444478,108441,94166,1966046,943269,83610,212471,215640,431548,1022777,81289,236489,253644,451355,1106369,490173,58341,161432,145153,125247,616196,59226,167345,204825,184800,9596,4456,1097,1109,1471,779,5140,1090,1214,1566,1270,244526,112428,9040,12125,16904,74359,132098,14112,18250,20213,79523,1688,772,117,118,241,296,916,70,127,444,275,123478,67286,33680,16185,9763,7658,56192,23726,14757,9251,8458,67842,31527,3672,6465,9750,11640,36315,2984,5411,12398,15522,1813863,865499,58641,194459,200744,411655,948364,60770,219576,238165,429853,297575,155360,62083,36793,27335,29149,142215,46710,33729,28168,33608,1392730,651527,205687,105573,9573,39795,6408,44338,326988,163643,15749,72090,13149,62357,118852,61280,5350,22032,9444,20746,741203,261284,99477,29389,41465,23635,67318,370261,118453,46357,69951,47996,87504,109658,26619,12081,8845,33702,28411,1500913,98511,98888,56663,76183,162348,117435,12416,128158,263197,140627,78347,80095,54021,55175,78849,1392730,575045,118499,254178,134334,310674,882903,363750,66268,146678,90908,215299,310047,107966,30761,75824,31773,63723,2049,779,215,410,262,383,153882,84370,17327,23138,7435,21612,571,174,50,92,92,163,16116,5975,1482,3557,1742,3360,27162,12031,2396,4479,2122,6134,841508,345649,63232,138960,87622,206045,62757,26507,4975,12287,5308,13680
40,MD,24,,,,,04043US24,Maryland -- Rural,593787,296604,31864,656,3835,12752,10415,1764,2276,166,36776,946,2820,14044,7196,2489,7111,2170,41161,786,2489,13433,8860,2826,7739,5028,124116,2203,8346,44270,24383,7841,20484,16589,62687,4090,6059,21621,9601,2516,8745,10055,297183,28829,298,2002,8123,11743,2364,4014,285,34632,609,1391,7839,8325,3566,8243,4659,42272,596,1187,9883,8686,4380,9794,7746,124818,1502,5303,38230,26732,11700,23539,17812,66632,3496,6879,27487,11248,3255,7432,6835,533094,264740,1994,560,1309,4162,3403,5702,6090,4519,93368,17298,32742,15672,44079,21784,6859,5199,268354,1760,508,906,3029,2574,4925,4387,2874,83439,21244,33747,22901,49008,29405,4553,3094,533094,3754,52,88,76,116,427,309,576,1639,1826,5365,5977,10627,10477,7393,158633,18174,38542,66489,38573,93087,51189,11412,8293,466609,231621,23087,81487,57781,69266,234988,17139,74364,68204,75281,46421,23688,3672,9843,5835,4338,22733,2556,7246,6889,6042,1477,641,106,310,164,61,836,91,210,387,148,9932,4470,229,532,737,2972,5462,658,849,759,3196,137,80,0,31,19,30,57,0,27,30,0,2348,1212,410,322,255,225,1136,279,205,362,290,6170,3028,235,843,921,1029,3142,240,538,1261,1103,457873,227026,21944,80382,56675,68025,230847,16320,73201,67208,74118,12278,6484,1674,1624,1446,1740,5794,1132,1494,1435,1733,163981,77921,15047,6805,489,3027,1003,3723,44074,22593,2171,10357,2131,6822,18800,9112,777,3636,1929,3346,86060,20710,6958,2089,3485,3160,5018,51083,15155,6538,9395,9065,10930,14267,2811,1831,1044,4971,3610,176001,9441,13836,7115,7949,14762,14361,1254,15063,32058,23178,7437,8750,5909,5408,9480,163981,63434,13895,30944,22259,33449,144547,55569,12277,26976,20026,29699,10380,3493,731,2295,1598,2263,209,65,21,34,1,88,6168,3264,734,1063,325,782,30,4,0,26,0,0,515,161,34,154,56,110,2132,878,98,396,253,507,142143,54501,12062,26492,19841,29247,3473,1470,223,807,275,698
40,MD,24,,,,,040A0US24,Maryland -- In metropolitan or micropolitan statistical area,4546948,2168245,280934,5687,32098,90767,110051,12366,28373,1592,401411,16946,28149,101711,84166,22730,97596,50113,368512,19122,21594,90338,68998,21359,77718,69383,772022,25735,50214,210873,147741,43896,150431,143132,345366,22402,28926,88498,55940,13637,60169,75794,2378703,270590,3626,22695,69899,117415,13853,39528,3574,410163,11605,18726,76454,86113,30147,111983,75135,390906,14204,15629,72670,73049,31141,94598,89615,848066,22710,40775,212758,175464,69386,176974,149999,458978,31048,45082,154207,82844,23440,62647,59710,3995424,1887311,21440,12830,22859,27076,27417,35009,34468,31989,491420,105535,251310,101622,385914,212941,65978,59503,2108113,22660,10318,20234,26355,23148,33024,33989,30051,516089,133431,284039,154114,446202,279036,53155,42268,3995424,44100,708,999,1734,4389,8463,6855,9620,33473,15455,37976,50565,68033,68457,62040,884307,123202,238966,535349,255736,832116,491977,119133,101771,2381614,1150302,103189,283315,267860,495938,1231312,95524,301134,314134,520520,1147919,511702,61500,170215,150528,129459,636217,61193,173494,210974,190556,10972,5057,1202,1395,1620,840,5915,1174,1397,1948,1396,254243,116829,9266,12656,17617,77290,137414,14746,19049,20960,82659,1812,839,117,142,260,320,973,70,154,474,275,125422,68264,33925,16472,9995,7872,57158,23893,14962,9576,8727,73442,34318,3889,7225,10587,12617,39124,3179,5899,13518,16528,2221792,1068586,77458,264366,251889,474873,1153206,74397,283122,297715,497972,308242,160938,63196,38214,28717,30811,147304,47503,35154,29507,35140,1544997,724336,219712,111870,10015,42734,7324,47769,368661,185021,17811,82086,15064,68679,135963,69545,6071,25431,11193,23723,820661,280281,105957,31246,44658,26522,71898,418023,132896,52477,78877,56186,97587,122357,29132,13766,9845,38088,31526,1664440,107540,111763,63462,83425,175932,131110,13591,142143,293706,161525,85002,87898,59497,60252,87594,1544997,634421,131386,283631,154377,341182,1016458,415456,77647,172270,108888,242197,320015,111408,31442,78057,33210,65898,2236,830,228,444,263,471,159949,87610,18037,24181,7751,22370,595,172,50,118,92,163,16599,6134,1496,3701,1798,3470,29145,12811,2486,4860,2375,6613,972845,396326,74403,164116,105422,232578,65951,27883,5163,13036,5578,14291
40,MD,24,,,,,040C0US24,Maryland -- In metropolitan statistical area,4490754,2142040,278507,5609,31722,89888,109335,12277,28095,1581,397993,16906,27705,100457,83475,22488,97040,49922,365009,19012,21070,89381,68101,21190,77124,69131,762538,25340,49374,207223,145939,43377,149091,142194,337993,22015,28342,86530,54795,13348,58756,74207,2348714,268074,3565,22404,69104,116574,13667,39212,3548,406344,11486,18413,75518,85038,29815,111260,74814,387060,14016,15495,71600,72215,30819,93806,89109,837189,22339,40175,209361,173065,68526,175341,148382,450047,30608,44064,151154,81325,22959,61378,58559,3944173,1863533,21217,12806,22582,26668,27144,34415,33372,31560,483591,103985,248325,100403,382011,211402,65154,58898,2080640,22317,10212,20019,25901,22832,32335,33201,29779,507633,131299,280344,152119,441785,276122,52793,41949,3944173,43534,705,996,1716,4389,8365,6847,9487,33114,15305,37264,49976,66750,66573,61339,869950,121274,235284,528669,252522,823796,487524,117947,100847,2341268,1131388,100995,277876,263000,489517,1209880,93516,295047,307910,513407,1139333,508022,60652,168199,149950,129221,631311,60266,171500,209608,189937,10894,5026,1202,1369,1620,835,5868,1149,1390,1933,1396,253652,116576,9209,12625,17571,77171,137076,14686,18960,20921,82509,1792,828,117,131,260,320,964,70,145,474,275,124902,68014,33869,16321,9977,7847,56888,23839,14853,9553,8643,72332,33679,3720,7070,10335,12554,38653,3070,5738,13363,16482,2182885,1050391,75607,259092,247113,468579,1132494,72643,277271,291578,491002,306066,159855,62750,37878,28601,30626,146211,47158,34773,29395,34885,1530114,717465,218640,111483,10007,42440,7217,47493,365862,183696,17669,81420,14961,68116,132963,68164,5932,24841,10981,23045,812649,278526,105355,31029,44388,26245,71509,414186,131752,51924,78337,55567,96606,119937,28606,13432,9750,37403,30746,1648347,107006,110203,62902,82541,174391,130372,13496,140609,291152,159453,83928,86943,58863,59710,86778,1530114,629056,129993,281176,152374,337515,1002924,410479,76314,170061,107158,238912,319158,111205,31415,77886,32990,65662,2231,830,228,439,263,471,159680,87452,18011,24162,7720,22335,595,172,50,118,92,163,16490,6134,1496,3678,1781,3401,29036,12784,2479,4832,2370,6571,959581,391457,73088,161996,103700,229340,65511,27749,5145,12906,5553,14158
40,MD,24,,,,,040C1US24,Maryland -- In metropolitan statistical area -- in principal city,969912,452054,63877,1516,8748,18266,24574,2066,8241,466,101065,4411,7593,22305,17804,3753,26949,18250,77956,4202,5523,18156,12143,3352,15208,19372,144815,6087,12961,38377,24678,7309,24861,30542,64341,5609,6635,14313,8827,2025,10361,16571,517858,69085,1294,6418,16629,30415,2691,10253,1385,108783,2721,6367,18959,20212,5524,30330,24670,82468,2929,4867,16135,14373,5376,16978,21810,163785,5871,12513,40344,32839,10383,30118,31717,93737,7731,10942,26322,15969,4635,13132,15006,836950,388177,5406,3102,4846,6955,6418,9829,9317,7148,93151,16433,47019,16439,77379,47734,19177,17824,448773,5300,2148,4613,7191,6892,10151,11021,6625,101760,23345,60048,25918,90558,63938,16382,12883,836950,10706,277,227,545,1078,1685,1438,2220,7239,4131,10015,13310,19980,20338,13773,166095,28816,39778,107067,42357,167937,111672,35559,30707,413980,199862,18065,33408,35254,113135,214118,17446,35383,42449,118840,325246,141533,26341,53275,36718,25199,183713,28395,58645,58606,38067,2193,1030,231,150,365,284,1163,201,330,316,316,55691,25227,1784,2303,3084,18056,30464,2970,3353,3614,20527,497,237,24,56,92,65,260,0,44,171,45,23019,12581,5890,2500,2202,1989,10438,4286,2693,1535,1924,16324,7707,686,1459,2176,3386,8617,643,1312,2620,4042,378018,180919,12006,29544,32319,107050,197099,13005,32020,38933,113141,63655,33537,12626,6763,5740,8408,30118,9205,6702,5790,8421,345875,162114,64022,33927,3421,10828,1743,14103,71160,37028,3358,11919,2703,16152,26932,13741,1012,4325,1941,5913,183761,75422,31892,8063,9776,5629,20062,80201,27356,8817,11489,9441,23098,28138,7627,2748,1963,7753,8047,376666,21936,29904,13934,20623,47362,27684,3759,30066,52290,30553,24545,24141,17379,13917,18573,345875,151571,27419,50300,29210,87375,231975,101056,15946,31481,19165,64327,63266,22309,6150,12501,7541,14765,600,215,68,109,77,131,38583,22556,4094,4863,1505,5565,110,56,0,22,0,32,3913,1831,332,668,385,697,7428,3548,829,656,537,1858,220191,95416,15087,29759,18368,61561,16829,7979,1257,2537,1180,3876
40,MD,24,,,,,040C2US24,Maryland -- In metropolitan statistical area -- not in principal city,3520842,1689986,214630,4093,22974,71622,84761,10211,19854,1115,296928,12495,20112,78152,65671,18735,70091,31672,287053,14810,15547,71225,55958,17838,61916,49759,617723,19253,36413,168846,121261,36068,124230,111652,273652,16406,21707,72217,45968,11323,48395,57636,1830856,198989,2271,15986,52475,86159,10976,28959,2163,297561,8765,12046,56559,64826,24291,80930,50144,304592,11087,10628,55465,57842,25443,76828,67299,673404,16468,27662,169017,140226,58143,145223,116665,356310,22877,33122,124832,65356,18324,48246,43553,3107223,1475356,15811,9704,17736,19713,20726,24586,24055,24412,390440,87552,201306,83964,304632,163668,45977,41074,1631867,17017,8064,15406,18710,15940,22184,22180,23154,405873,107954,220296,126201,351227,212184,36411,29066,3107223,32828,428,769,1171,3311,6680,5409,7267,25875,11174,27249,36666,46770,46235,47566,703855,92458,195506,421602,210165,655859,375852,82388,70140,1927288,931526,82930,244468,227746,376382,995762,76070,259664,265461,394567,814087,366489,34311,114924,113232,104022,447598,31871,112855,151002,151870,8701,3996,971,1219,1255,551,4705,948,1060,1617,1080,197961,91349,7425,10322,14487,59115,106612,11716,15607,17307,61982,1295,591,93,75,168,255,704,70,101,303,230,101883,55433,27979,13821,7775,5858,46450,19553,12160,8018,6719,56008,25972,3034,5611,8159,9168,30036,2427,4426,10743,12440,1804867,869472,63601,229548,214794,361529,935395,59638,245251,252645,377861,242411,126318,50124,31115,22861,22218,116093,37953,28071,23605,26464,1184239,555351,154618,77556,6586,31612,5474,33390,294702,146668,14311,69501,12258,51964,106031,54423,4920,20516,9040,17132,628888,203104,73463,22966,34612,20616,51447,333985,104396,43107,66848,46126,73508,91799,20979,10684,7787,29650,22699,1271681,85070,80299,48968,61918,127029,102688,9737,110543,238862,128900,59383,62802,41484,45793,68205,1184239,477485,102574,230876,123164,250140,770949,309423,60368,138580,87993,174585,255892,88896,25265,65385,25449,50897,1631,615,160,330,186,340,121097,64896,13917,19299,6215,16770,485,116,50,96,92,131,12577,4303,1164,3010,1396,2704,21608,9236,1650,4176,1833,4713,739390,296041,58001,132237,85332,167779,48682,19770,3888,10369,4373,10282
40,MD,24,,,,,040E0US24,Maryland -- In micropolitan statistical area,56194,26205,2427,78,376,879,716,89,278,11,3418,40,444,1254,691,242,556,191,3503,110,524,957,897,169,594,252,9484,395,840,3650,1802,519,1340,938,7373,387,584,1968,1145,289,1413,1587,29989,2516,61,291,795,841,186,316,26,3819,119,313,936,1075,332,723,321,3846,188,134,1070,834,322,792,506,10877,371,600,3397,2399,860,1633,1617,8931,440,1018,3053,1519,481,1269,1151,51251,23778,223,24,277,408,273,594,1096,429,7829,1550,2985,1219,3903,1539,824,605,27473,343,106,215,454,316,689,788,272,8456,2132,3695,1995,4417,2914,362,319,51251,566,3,3,18,0,98,8,133,359,150,712,589,1283,1884,701,14357,1928,3682,6680,3214,8320,4453,1186,924,40346,18914,2194,5439,4860,6421,21432,2008,6087,6224,7113,8586,3680,848,2016,578,238,4906,927,1994,1366,619,78,31,0,26,0,5,47,25,7,15,0,591,253,57,31,46,119,338,60,89,39,150,20,11,0,11,0,0,9,0,9,0,0,520,250,56,151,18,25,270,54,109,23,84,1110,639,169,155,252,63,471,109,161,155,46,38907,18195,1851,5274,4776,6294,20712,1754,5851,6137,6970,2176,1083,446,336,116,185,1093,345,381,112,255,14883,6871,1072,387,8,294,107,276,2799,1325,142,666,103,563,3000,1381,139,590,212,678,8012,1755,602,217,270,277,389,3837,1144,553,540,619,981,2420,526,334,95,685,780,16093,534,1560,560,884,1541,738,95,1534,2554,2072,1074,955,634,542,816,14883,5365,1393,2455,2003,3667,13534,4977,1333,2209,1730,3285,857,203,27,171,220,236,5,0,0,5,0,0,269,158,26,19,31,35,0,0,0,0,0,0,109,0,0,23,17,69,109,27,7,28,5,42,13264,4869,1315,2120,1722,3238,440,134,18,130,25,133
40,MD,24,,,,,040E1US24,Maryland -- In micropolitan statistical area -- in principal city,23009,10371,1361,72,149,499,353,73,215,0,1716,32,248,640,297,84,285,130,1557,65,291,330,395,32,283,161,3300,206,248,1280,671,133,471,291,2437,98,186,600,494,137,446,476,12638,1292,28,167,441,392,122,131,11,1990,88,184,533,607,180,276,122,1737,97,71,588,374,87,294,226,3890,217,186,1207,913,312,548,507,3729,185,539,1247,671,218,431,438,20356,9010,98,6,99,198,166,199,437,171,2850,535,1322,386,1485,586,235,237,11346,182,60,108,237,168,364,332,116,3575,737,1828,797,1549,1060,114,119,20356,280,0,0,18,0,48,0,44,163,60,375,334,563,769,287,5675,750,1272,3150,1183,3034,1646,349,356,14341,6465,922,1547,1722,2274,7876,941,2040,2474,2421,4689,1791,303,1105,231,152,2898,523,1297,790,288,16,5,0,5,0,0,11,0,1,10,0,317,173,51,14,42,66,144,8,66,6,64,0,0,0,0,0,0,0,0,0,0,0,291,146,28,95,0,23,145,9,67,0,69,702,430,70,84,248,28,272,86,104,82,0,13330,5918,625,1447,1692,2154,7412,785,1847,2441,2339,1530,820,372,237,55,156,710,220,298,33,159,5385,2543,620,215,4,194,51,156,1001,483,40,253,33,192,922,381,74,250,67,150,2842,687,196,77,134,93,187,1286,290,251,246,188,311,869,202,89,37,241,300,5859,253,519,227,322,486,162,10,593,1177,703,448,320,260,134,245,5385,1767,535,1114,673,1296,4695,1606,505,903,624,1057,440,88,4,143,44,161,0,0,0,0,0,0,130,73,26,17,5,9,0,0,0,0,0,0,92,0,0,23,0,69,28,0,0,28,0,0,4493,1518,505,821,624,1025,315,96,0,118,0,101
40,MD,24,,,,,040E2US24,Maryland -- In micropolitan statistical area -- not in principal city,33185,15834,1066,6,227,380,363,16,63,11,1702,8,196,614,394,158,271,61,1946,45,233,627,502,137,311,91,6184,189,592,2370,1131,386,869,647,4936,289,398,1368,651,152,967,1111,17351,1224,33,124,354,449,64,185,15,1829,31,129,403,468,152,447,199,2109,91,63,482,460,235,498,280,6987,154,414,2190,1486,548,1085,1110,5202,255,479,1806,848,263,838,713,30895,14768,125,18,178,210,107,395,659,258,4979,1015,1663,833,2418,953,589,368,16127,161,46,107,217,148,325,456,156,4881,1395,1867,1198,2868,1854,248,200,30895,286,3,3,0,0,50,8,89,196,90,337,255,720,1115,414,8682,1178,2410,3530,2031,5286,2807,837,568,26005,12449,1272,3892,3138,4147,13556,1067,4047,3750,4692,3897,1889,545,911,347,86,2008,404,697,576,331,62,26,0,21,0,5,36,25,6,5,0,274,80,6,17,4,53,194,52,23,33,86,20,11,0,11,0,0,9,0,9,0,0,229,104,28,56,18,2,125,45,42,23,15,408,209,99,71,4,35,199,23,57,73,46,25577,12277,1226,3827,3084,4140,13300,969,4004,3696,4631,646,263,74,99,61,29,383,125,83,79,96,9498,4328,452,172,4,100,56,120,1798,842,102,413,70,371,2078,1000,65,340,145,528,5170,1068,406,140,136,184,202,2551,854,302,294,431,670,1551,324,245,58,444,480,10234,281,1041,333,562,1055,576,85,941,1377,1369,626,635,374,408,571,9498,3598,858,1341,1330,2371,8839,3371,828,1306,1106,2228,417,115,23,28,176,75,5,0,0,5,0,0,139,85,0,2,26,26,0,0,0,0,0,0,17,0,0,0,17,0,81,27,7,0,5,42,8771,3351,810,1299,1098,2213,125,38,18,12,25,32
