SummaryLevel,State,StateFIPS,CountyFIPS,PlaceFIPS,CBSACode,CongressDistrict,GEOID,AreaName,B15001_001,B15001_002,B15001_003,B15001_004,B15001_005,B15001_006,B15001_007,B15001_008,B15001_009,B15001_010,B15001_011,B15001_012,B15001_013,B15001_014,B15001_015,B15001_016,B15001_017,B15001_018,B15001_019,B15001_020,B15001_021,B15001_022,B15001_023,B15001_024,B15001_025,B15001_026,B15001_027,B15001_028,B15001_029,B15001_030,B15001_031,B15001_032,B15001_033,B15001_034,B15001_035,B15001_036,B15001_037,B15001_038,B15001_039,B15001_040,B15001_041,B15001_042,B15001_043,B15001_044,B15001_045,B15001_046,B15001_047,B15001_048,B15001_049,B15001_050,B15001_051,B15001_052,B15001_053,B15001_054,B15001_055,B15001_056,B15001_057,B15001_058,B15001_059,B15001_060,B15001_061,B15001_062,B15001_063,B15001_064,B15001_065,B15001_066,B15001_067,B15001_068,B15001_069,B15001_070,B15001_071,B15001_072,B15001_073,B15001_074,B15001_075,B15001_076,B15001_077,B15001_078,B15001_079,B15001_080,B15001_081,B15001_082,B15001_083,B15002_001,B15002_002,B15002_003,B15002_004,B15002_005,B15002_006,B15002_007,B15002_008,B15002_009,B15002_010,B15002_011,B15002_012,B15002_013,B15002_014,B15002_015,B15002_016,B15002_017,B15002_018,B15002_019,B15002_020,B15002_021,B15002_022,B15002_023,B15002_024,B15002_025,B15002_026,B15002_027,B15002_028,B15002_029,B15002_030,B15002_031,B15002_032,B15002_033,B15002_034,B15002_035,B15003_001,B15003_002,B15003_003,B15003_004,B15003_005,B15003_006,B15003_007,B15003_008,B15003_009,B15003_010,B15003_011,B15003_012,B15003_013,B15003_014,B15003_015,B15003_016,B15003_017,B15003_018,B15003_019,B15003_020,B15003_021,B15003_022,B15003_023,B15003_024,B15003_025,C15002A_001,C15002A_002,C15002A_003,C15002A_004,C15002A_005,C15002A_006,C15002A_007,C15002A_008,C15002A_009,C15002A_010,C15002A_011,C15002B_001,C15002B_002,C15002B_003,C15002B_004,C15002B_005,C15002B_006,C15002B_007,C15002B_008,C15002B_009,C15002B_010,C15002B_011,C15002C_001,C15002C_002,C15002C_003,C15002C_004,C15002C_005,C15002C_006,C15002C_007,C15002C_008,C15002C_009,C15002C_010,C15002C_011,C15002D_001,C15002D_002,C15002D_003,C15002D_004,C15002D_005,C15002D_006,C15002D_007,C15002D_008,C15002D_009,C15002D_010,C15002D_011,C15002E_001,C15002E_002,C15002E_003,C15002E_004,C15002E_005,C15002E_006,C15002E_007,C15002E_008,C15002E_009,C15002E_010,C15002E_011,C15002F_001,C15002F_002,C15002F_003,C15002F_004,C15002F_005,C15002F_006,C15002F_007,C15002F_008,C15002F_009,C15002F_010,C15002F_011,C15002G_001,C15002G_002,C15002G_003,C15002G_004,C15002G_005,C15002G_006,C15002G_007,C15002G_008,C15002G_009,C15002G_010,C15002G_011,C15002H_001,C15002H_002,C15002H_003,C15002H_004,C15002H_005,C15002H_006,C15002H_007,C15002H_008,C15002H_009,C15002H_010,C15002H_011,C15002I_001,C15002I_002,C15002I_003,C15002I_004,C15002I_005,C15002I_006,C15002I_007,C15002I_008,C15002I_009,C15002I_010,C15002I_011,B15011_001,B15011_002,B15011_003,B15011_004,B15011_005,B15011_006,B15011_007,B15011_008,B15011_009,B15011_010,B15011_011,B15011_012,B15011_013,B15011_014,B15011_015,B15011_016,B15011_017,B15011_018,B15011_019,B15011_020,B15011_021,B15011_022,B15011_023,B15011_024,B15011_025,B15011_026,B15011_027,B15011_028,B15011_029,B15011_030,B15011_031,B15011_032,B15011_033,B15011_034,B15011_035,B15011_036,B15011_037,B15011_038,B15011_039,B15012_001,B15012_002,B15012_003,B15012_004,B15012_005,B15012_006,B15012_007,B15012_008,B15012_009,B15012_010,B15012_011,B15012_012,B15012_013,B15012_014,B15012_015,B15012_016,C15010_001,C15010_002,C15010_003,C15010_004,C15010_005,C15010_006,C15010A_001,C15010A_002,C15010A_003,C15010A_004,C15010A_005,C15010A_006,C15010B_001,C15010B_002,C15010B_003,C15010B_004,C15010B_005,C15010B_006,C15010C_001,C15010C_002,C15010C_003,C15010C_004,C15010C_005,C15010C_006,C15010D_001,C15010D_002,C15010D_003,C15010D_004,C15010D_005,C15010D_006,C15010E_001,C15010E_002,C15010E_003,C15010E_004,C15010E_005,C15010E_006,C15010F_001,C15010F_002,C15010F_003,C15010F_004,C15010F_005,C15010F_006,C15010G_001,C15010G_002,C15010G_003,C15010G_004,C15010G_005,C15010G_006,C15010H_001,C15010H_002,C15010H_003,C15010H_004,C15010H_005,C15010H_006,C15010I_001,C15010I_002,C15010I_003,C15010I_004,C15010I_005,C15010I_006
40,NC,37,,,,,04000US37,North Carolina,7653002,3667518,496392,11587,72989,169132,187766,18435,34463,2020,637781,31367,60427,168302,155281,48967,127610,45827,640044,38015,55939,167430,134912,51846,125981,65921,1260370,59211,118317,367918,262020,103414,221515,127975,632931,58178,66615,175170,114720,38639,98953,80656,3985484,471938,6446,51309,122054,212098,24466,52167,3398,656605,22594,41991,116820,167110,69805,164862,73423,667714,27373,39669,123094,150455,81161,158573,87389,1362828,43548,87464,358017,309352,163439,260174,140834,826399,65016,99103,289021,162008,50509,97889,62853,6684672,3171126,44020,23295,46635,72821,80597,91311,81826,47564,878820,193122,473811,242866,574059,208086,61167,51126,3513546,39363,17515,37400,64253,64103,82350,78933,42841,886952,236320,552605,364914,681498,284648,43828,36023,6684672,83383,1143,914,3301,7093,15311,13048,20909,63126,39487,97587,144700,173661,160759,90405,1470346,295426,429442,1026416,607780,1255557,492734,104995,87149,4847736,2330424,305019,612698,679825,732882,2517312,257763,634465,819491,805593,1356976,605471,112392,214654,182692,95733,751505,108321,201290,274610,167284,74368,35086,10779,11774,8825,3708,39282,8251,11614,13329,6088,165831,77426,9751,10704,11631,45340,88405,14820,14216,15245,44124,3942,1825,334,652,654,185,2117,196,698,1023,200,147764,80688,43526,19558,11965,5639,67076,31952,15965,11551,7608,88055,40206,6268,8780,14207,10951,47849,5455,8704,18590,15100,4583890,2191988,242660,580919,655391,713018,2391902,210569,605697,792654,782982,436472,231353,109608,54925,40461,26359,205119,81434,48010,43246,32429,1940435,894438,264810,114055,13910,58823,10927,67095,450019,190054,26936,117054,24267,91708,179609,78221,9240,41562,19697,30889,1045997,358222,113095,42104,62482,46515,94026,527033,134669,69379,103081,100176,119728,160742,27818,18080,12811,62637,39396,2085282,94346,131331,68522,107647,163140,135891,14347,194961,410742,276354,94302,109936,70454,76145,137164,1940435,657912,179649,395813,264219,442842,1538475,508131,142699,310204,217688,359753,263017,78995,23386,62424,37809,60403,9796,2993,996,1489,1995,2323,89464,52098,8997,13685,3380,11304,385,108,66,65,28,118,13247,4931,1354,2808,1281,2873,26051,10656,2151,5138,2038,6068,1496000,491527,139300,300445,213806,350922,58788,22390,5068,13491,5501,12338
40,NC,37,,,,,04001US37,North Carolina -- Urban,5066445,2392527,356776,7306,47873,112287,146149,12641,28842,1678,458107,21831,37338,105252,111310,33845,108291,40240,429949,25133,32304,94312,88088,32439,102165,55508,777071,34645,60863,193781,158741,60846,166317,101878,370624,27128,32158,91296,68898,22714,70202,58228,2673918,348760,3812,33424,84257,163883,16306,44189,2889,483042,15960,29444,76633,117042,45827,134951,63185,461438,19395,25196,75378,98311,49524,122924,70710,863348,27433,48669,199330,192746,97578,191187,106405,517330,36669,55731,170263,105534,32718,70988,45427,4360909,2035751,26296,14688,29899,37854,42061,47246,45353,28003,484641,118101,308936,149844,446975,166124,49242,40488,2325158,25965,11971,24353,37168,37709,47633,45926,27772,521604,147222,366411,225647,520050,221741,35331,28655,4360909,52261,919,636,2127,4680,9951,8346,12758,41494,22081,52941,79770,94879,91279,55775,846196,160049,265323,675347,375491,967025,387865,84573,69143,2975381,1412916,151106,300897,400247,560666,1562465,138221,341331,481408,601505,1030673,449560,73499,149921,142645,83495,581113,76932,145273,216663,142245,26175,12210,3615,3315,3473,1807,13965,3018,3748,4656,2543,151249,71652,8997,9383,10396,42876,79597,13313,12253,13232,40799,3068,1424,278,548,506,92,1644,156,498,872,118,110653,59197,30108,14876,9547,4666,51456,23453,12766,9027,6210,63710,28792,3797,5701,10067,9227,34918,3404,5735,13422,12357,2771900,1307341,105262,276916,381681,543482,1464559,102926,318758,460472,582403,332934,173826,78418,41601,31192,22615,159108,60253,37706,33983,27166,1508606,702829,224529,98218,11324,50580,8609,55798,349870,151065,20049,92779,16495,69482,128430,55834,6320,30426,13259,22591,805777,293700,96370,32310,51715,34950,78355,395662,104843,48622,80153,68434,93610,116415,20499,12973,9607,43660,29676,1624340,77585,100905,54520,86020,132143,110557,11877,143530,327185,194126,76880,83771,57669,64757,102815,1508606,526829,131598,315260,185407,349512,1162171,393831,100474,239718,148994,279154,225740,69015,19669,55530,30108,51418,4350,1410,380,781,592,1187,83675,49054,8431,12716,3090,10384,210,43,28,31,28,80,10876,4293,830,2320,956,2477,21584,9183,1786,4164,1639,4812,1125885,379620,97617,231176,145759,271713,49781,19189,4014,11696,4512,10370
40,NC,37,,,,,04043US37,North Carolina -- Rural,2586557,1274991,139616,4281,25116,56845,41617,5794,5621,342,179674,9536,23089,63050,43971,15122,19319,5587,210095,12882,23635,73118,46824,19407,23816,10413,483299,24566,57454,174137,103279,42568,55198,26097,262307,31050,34457,83874,45822,15925,28751,22428,1311566,123178,2634,17885,37797,48215,8160,7978,509,173563,6634,12547,40187,50068,23978,29911,10238,206276,7978,14473,47716,52144,31637,35649,16679,499480,16115,38795,158687,116606,65861,68987,34429,309069,28347,43372,118758,56474,17791,26901,17426,2323763,1135375,17724,8607,16736,34967,38536,44065,36473,19561,394179,75021,164875,93022,127084,41962,11925,10638,1188388,13398,5544,13047,27085,26394,34717,33007,15069,365348,89098,186194,139267,161448,62907,8497,7368,2323763,31122,224,278,1174,2413,5360,4702,8151,21632,17406,44646,64930,78782,69480,34630,624150,135377,164119,351069,232289,288532,104869,20422,18006,1872355,917508,153913,311801,279578,172216,954847,119542,293134,338083,204088,326303,155911,38893,64733,40047,12238,170392,31389,56017,57947,25039,48193,22876,7164,8459,5352,1901,25317,5233,7866,8673,3545,14582,5774,754,1321,1235,2464,8808,1507,1963,2013,3325,874,401,56,104,148,93,473,40,200,151,82,37111,21491,13418,4682,2418,973,15620,8499,3199,2524,1398,24345,11414,2471,3079,4140,1724,12931,2051,2969,5168,2743,1811990,884647,137398,304003,273710,169536,927343,107643,286939,332182,200579,103538,57527,31190,13324,9269,3744,46011,21181,10304,9263,5263,431829,191609,40281,15837,2586,8243,2318,11297,100149,38989,6887,24275,7772,22226,51179,22387,2920,11136,6438,8298,240220,64522,16725,9794,10767,11565,15671,131371,29826,20757,22928,31742,26118,44327,7319,5107,3204,18977,9720,460942,16761,30426,14002,21627,30997,25334,2470,51431,83557,82228,17422,26165,12785,11388,34349,431829,131083,48051,80553,78812,93330,376304,114300,42225,70486,68694,80599,37277,9980,3717,6894,7701,8985,5446,1583,616,708,1403,1136,5789,3044,566,969,290,920,175,65,38,34,0,38,2371,638,524,488,325,396,4467,1473,365,974,399,1256,370115,111907,41683,69269,68047,79209,9007,3201,1054,1795,989,1968
40,NC,37,,,,,040A0US37,North Carolina -- In metropolitan or micropolitan statistical area,7149557,3421052,468783,10355,67273,158298,179642,17567,33641,2007,601597,28425,55124,156040,145315,46673,124835,45185,601344,35089,50364,152765,126937,48668,122748,64773,1171862,53193,105522,334661,243398,96399,214180,124509,577466,50790,59045,157984,105017,35565,93109,75956,3728505,448141,5855,47353,114692,202752,23264,50910,3315,623616,20702,39121,109095,157779,65519,159645,71755,631088,25222,36361,114330,141107,75270,153521,85277,1270482,39429,79138,328154,287302,151477,249585,135397,755178,57442,88294,263092,148941,46670,91515,59224,6232633,2952269,39688,20555,41715,65539,72360,81010,73205,43480,801450,179431,441236,227305,554872,201684,59027,49712,3280364,36114,16181,33369,57131,58150,74249,71226,39289,814671,219045,516084,338936,654266,274279,42370,35004,6232633,75802,1081,851,2978,6485,13815,11526,18666,56418,35405,87265,130510,155259,144431,82769,1347413,268708,398476,957320,566241,1209138,475963,101397,84716,4526533,2174637,274555,560102,632784,707196,2351896,232830,583734,761898,773434,1249724,554730,97861,193367,170308,93194,694994,96400,182244,255387,160963,67061,31664,9813,10410,7876,3565,35397,7428,10385,11966,5618,163768,76579,9574,10463,11391,45151,87189,14495,13959,14935,43800,3746,1701,305,567,645,184,2045,194,673,1003,175,138359,75082,39802,18344,11548,5388,63277,29299,15418,11151,7409,83442,37876,5642,8197,13420,10617,45566,5063,8258,17725,14520,4277644,2044521,217610,529810,609413,687688,2233123,189251,556405,736046,751421,410926,216649,100103,52009,38813,25724,194277,75095,45899,41723,31560,1871214,865295,259437,111792,13502,57853,10550,65740,436793,186026,25818,113749,22771,88429,169065,74047,8505,39386,18089,29038,1005919,347824,110352,40706,60298,44473,91995,507356,130954,66615,99985,94116,115686,150739,26329,17117,12121,58125,37047,2011303,92387,126493,66800,104293,158435,132750,14028,186964,397944,259737,91572,105423,67872,74652,131953,1871214,639500,172263,383392,248124,427935,1480630,492602,136571,299586,204390,347481,254157,76964,22470,61057,35371,58295,9183,2828,926,1402,1878,2149,88951,51846,8924,13618,3312,11251,359,107,66,40,28,118,12797,4792,1275,2754,1238,2738,25137,10361,2031,4935,1907,5903,1439109,476350,133220,290140,200549,338850,57284,21869,4916,13099,5409,11991
40,NC,37,,,,,040C0US37,North Carolina -- In metropolitan statistical area,5928814,2834567,391226,8411,54446,131276,150588,14428,30282,1795,512187,23118,42097,126594,124440,39276,114506,42156,508270,29265,39260,121800,105851,40807,111993,59294,965457,41769,79922,262122,199375,78753,191422,112094,457427,36503,44304,121723,84460,28375,78478,63584,3094247,374330,4800,38240,95561,167954,19131,45622,3022,534050,16859,31101,88638,132350,53703,145363,66036,535996,21230,29239,92726,117363,59840,138135,77463,1048544,31257,61349,259307,235186,122487,219774,119184,601327,42671,66789,208075,120837,36706,76398,49851,5163258,2443341,31506,16096,33772,49281,54265,60638,55456,35224,632239,147465,366661,187211,496399,180145,52574,44409,2719917,29036,13011,26552,43418,44249,56906,54696,32627,648746,180808,424928,272736,579670,242934,38267,31333,5163258,60542,895,731,2428,5248,10836,8969,14585,45739,26541,66158,98514,117544,110152,67851,1069226,211759,328273,791589,459947,1076069,423079,90841,75742,3752108,1802828,213556,444015,518778,626479,1949280,182163,466058,619519,681540,1038102,458464,72785,152867,146318,86494,579638,73520,144737,215609,145772,23701,11549,3230,3055,3540,1724,12152,2278,3501,4070,2303,155943,73388,9103,9721,10642,43922,82555,13705,13004,13687,42159,3262,1446,255,520,562,109,1816,175,606,869,166,118702,63607,32851,15612,10233,4911,55095,24532,14008,9680,6875,71440,32059,4458,6449,11264,9888,39381,4122,6832,15038,13389,3531248,1687526,164260,417191,497592,608483,1843722,144392,441819,596258,661253,360204,188741,84881,45380,34842,23638,171463,64256,40978,37194,29035,1665731,773527,238237,103801,12014,53594,9177,59651,393228,169879,22863,103460,18784,78242,142062,62574,7041,33321,14242,24884,892204,316787,101642,35752,55651,39282,84460,449168,119149,58043,89642,78392,103942,126249,22965,14234,10278,47464,31308,1791909,85693,113736,60257,93521,142154,122111,12947,163019,359174,217207,82856,92799,61706,69813,114916,1665731,580010,149947,345946,207341,382487,1308019,442355,117675,267891,170326,309772,232266,71467,20437,56987,30666,52709,4027,1558,339,616,422,1092,86081,50485,8336,13274,3090,10896,275,61,66,31,28,89,11786,4443,1166,2576,1109,2492,23277,9641,1928,4571,1700,5437,1269736,427614,114537,258957,166854,301774,52673,19940,4552,12295,4868,11018
40,NC,37,,,,,040C1US37,North Carolina -- In metropolitan statistical area -- in principal city,2427885,1138416,197987,3545,22059,59157,87333,5992,18761,1140,251351,11594,17164,49657,60257,16162,69331,27186,205385,13018,14337,41889,40722,14037,51372,30010,337962,15658,25057,77014,66675,24076,77749,51733,145731,9459,11567,31496,25969,9050,30595,27595,1289469,200623,2174,15611,46018,97330,8136,29527,1827,267797,8732,14922,36555,62152,22007,82835,40594,220847,10556,12058,32898,45457,20840,60707,38331,385470,12849,20676,81419,84433,40005,91902,54186,214732,13969,20602,64362,45403,13809,34297,22290,2029275,940429,12864,7679,14742,14444,17074,18903,19547,12601,200056,49464,144159,63325,229047,85678,28639,22207,1088846,13242,5864,12171,14829,16014,19311,19934,12999,215234,63363,174082,96661,269741,118515,20943,15943,2029275,26106,562,265,1346,2566,4814,3990,6298,20615,8345,20928,33088,38214,39481,25600,353144,62146,112827,318241,159986,498788,204193,49582,38150,1193699,570159,52328,95282,147862,274687,623540,47395,109396,173357,293392,640405,274496,39743,86992,90495,57266,365909,42653,87408,139515,96333,7353,3394,886,861,1082,565,3959,744,1036,1495,684,91027,44135,6761,6088,6496,24790,46892,8735,6845,7961,23351,1498,785,131,309,295,50,713,147,168,343,55,61157,32306,16149,7830,5355,2972,28851,12994,7644,4588,3625,34136,15154,1856,2694,5363,5241,18982,1696,2737,6847,7702,1086198,514173,28695,82164,138078,265236,572025,28974,97790,162379,282882,179438,93226,40953,22533,16915,12825,86212,32548,20522,17853,15289,790713,365571,136836,59389,6712,32514,4442,33779,170545,73779,9432,44453,7137,35744,58190,26187,3024,13062,5162,10755,425142,173610,59330,17957,30365,17030,48928,194945,53353,23177,39381,28832,50202,56587,10561,6251,4521,20117,15137,854853,39105,54781,29568,46964,77808,53934,7042,73051,170798,86838,44853,45419,33986,37754,52952,790713,282599,66553,164296,82720,194545,568079,199570,46586,114103,60246,147574,153599,47105,13471,37746,19496,35781,1249,485,110,149,91,414,48141,27458,4851,8061,1704,6067,105,18,28,15,8,36,6597,2639,395,1607,453,1503,12943,5324,1112,2615,722,3170,548118,191719,45014,109517,58508,143360,28114,11032,2234,6608,2290,5950
40,NC,37,,,,,040C2US37,North Carolina -- In metropolitan statistical area -- not in principal city,3500929,1696151,193239,4866,32387,72119,63255,8436,11521,655,260836,11524,24933,76937,64183,23114,45175,14970,302885,16247,24923,79911,65129,26770,60621,29284,627495,26111,54865,185108,132700,54677,113673,60361,311696,27044,32737,90227,58491,19325,47883,35989,1804778,173707,2626,22629,49543,70624,10995,16095,1195,266253,8127,16179,52083,70198,31696,62528,25442,315149,10674,17181,59828,71906,39000,77428,39132,663074,18408,40673,177888,150753,82482,127872,64998,386595,28702,46187,143713,75434,22897,42101,27561,3133983,1502912,18642,8417,19030,34837,37191,41735,35909,22623,432183,98001,222502,123886,267352,94467,23935,22202,1631071,15794,7147,14381,28589,28235,37595,34762,19628,433512,117445,250846,176075,309929,124419,17324,15390,3133983,34436,333,466,1082,2682,6022,4979,8287,25124,18196,45230,65426,79330,70671,42251,716082,149613,215446,473348,299961,577281,218886,41259,37592,2558409,1232669,161228,348733,370916,351792,1325740,134768,356662,446162,388148,397697,183968,33042,65875,55823,29228,213729,30867,57329,76094,49439,16348,8155,2344,2194,2458,1159,8193,1534,2465,2575,1619,64916,29253,2342,3633,4146,19132,35663,4970,6159,5726,18808,1764,661,124,211,267,59,1103,28,438,526,111,57545,31301,16702,7782,4878,1939,26244,11538,6364,5092,3250,37304,16905,2602,3755,5901,4647,20399,2426,4095,8191,5687,2445050,1173353,135565,335027,359514,343247,1271697,115418,344029,433879,378371,180766,95515,43928,22847,17927,10813,85251,31708,20456,19341,13746,875018,407956,101401,44412,5302,21080,4735,25872,222683,96100,13431,59007,11647,42498,83872,36387,4017,20259,9080,14129,467062,143177,42312,17795,25286,22252,35532,254223,65796,34866,50261,49560,53740,69662,12404,7983,5757,27347,16171,937056,46588,58955,30689,46557,64346,68177,5905,89968,188376,130369,38003,47380,27720,32059,61964,875018,297411,83394,181650,124621,187942,739940,242785,71089,153788,110080,162198,78667,24362,6966,19241,11170,16928,2778,1073,229,467,331,678,37940,23027,3485,5213,1386,4829,170,43,38,16,20,53,5189,1804,771,969,656,989,10334,4317,816,1956,978,2267,721618,235895,69523,149440,108346,158414,24559,8908,2318,5687,2578,5068
40,NC,37,,,,,040E0US37,North Carolina -- In micropolitan statistical area,1220743,586485,77557,1944,12827,27022,29054,3139,3359,212,89410,5307,13027,29446,20875,7397,10329,3029,93074,5824,11104,30965,21086,7861,10755,5479,206405,11424,25600,72539,44023,17646,22758,12415,120039,14287,14741,36261,20557,7190,14631,12372,634258,73811,1055,9113,19131,34798,4133,5288,293,89566,3843,8020,20457,25429,11816,14282,5719,95092,3992,7122,21604,23744,15430,15386,7814,221938,8172,17789,68847,52116,28990,29811,16213,153851,14771,21505,55017,28104,9964,15117,9373,1069375,508928,8182,4459,7943,16258,18095,20372,17749,8256,169211,31966,74575,40094,58473,21539,6453,5303,560447,7078,3170,6817,13713,13901,17343,16530,6662,165925,38237,91156,66200,74596,31345,4103,3671,1069375,15260,186,120,550,1237,2979,2557,4081,10679,8864,21107,31996,37715,34279,14918,278187,56949,70203,165731,106294,133069,52884,10556,8974,774425,371809,60999,116087,114006,80717,402616,50667,117676,142379,91894,211622,96266,25076,40500,23990,6700,115356,22880,37507,39778,15191,43360,20115,6583,7355,4336,1841,23245,5150,6884,7896,3315,7825,3191,471,742,749,1229,4634,790,955,1248,1641,484,255,50,47,83,75,229,19,67,134,9,19657,11475,6951,2732,1315,477,8182,4767,1410,1471,534,12002,5817,1184,1748,2156,729,6185,941,1426,2687,1131,746396,356995,53350,112619,111821,79205,389401,44859,114586,139788,90168,50722,27908,15222,6629,3971,2086,22814,10839,4921,4529,2525,205483,91768,21200,7991,1488,4259,1373,6089,43565,16147,2955,10289,3987,10187,27003,11473,1464,6065,3847,4154,113715,31037,8710,4954,4647,5191,7535,58188,11805,8572,10343,15724,11744,24490,3364,2883,1843,10661,5739,219394,6694,12757,6543,10772,16281,10639,1081,23945,38770,42530,8716,12624,6166,4839,17037,205483,59490,22316,37446,40783,45448,172611,50247,18896,31695,34064,37709,21891,5497,2033,4070,4705,5586,5156,1270,587,786,1456,1057,2870,1361,588,344,222,355,84,46,0,9,0,29,1011,349,109,178,129,246,1860,720,103,364,207,466,169373,48736,18683,31183,33695,37076,4611,1929,364,804,541,973
40,NC,37,,,,,040E1US37,North Carolina -- In micropolitan statistical area -- in principal city,285073,129844,23413,602,2989,6284,11843,760,862,73,20525,1165,3178,5918,4594,1895,2762,1013,18646,1248,2200,5808,3799,1122,2640,1829,41704,2630,4809,12520,8590,3258,6016,3881,25556,2680,2596,6513,4249,1304,4691,3523,155229,24322,388,2174,5074,14048,1029,1534,75,22616,1062,2156,5203,6289,2465,3789,1652,20453,1048,1585,4661,4818,2964,3496,1881,47410,2164,4293,13115,10202,5367,7878,4391,40428,4040,5697,12635,7649,2645,4909,2853,237338,106431,1796,966,1615,3346,3407,3908,3950,1518,30759,5836,15396,7579,16109,6371,2230,1645,130907,2255,845,1733,3481,3396,4229,4134,1972,35614,8452,20506,13441,20072,8553,1151,1073,237338,4051,94,28,89,291,763,546,984,2364,2330,4497,6803,8137,8084,3490,55435,10938,14288,35902,21020,36181,14924,3381,2718,148249,68195,8593,16649,20153,22800,80054,10005,19864,25880,24305,75219,31313,8759,12389,7584,2581,43906,9529,14165,14870,5342,3375,1505,650,515,167,173,1870,721,556,391,202,2475,1128,196,255,202,475,1347,291,233,308,515,230,90,10,26,41,13,140,9,41,90,0,5419,3195,1993,662,369,171,2224,1311,453,281,179,2371,1005,305,263,295,142,1366,179,302,579,306,140580,64055,6803,15485,19432,22335,76525,8558,19018,25146,23803,13825,7784,4038,1996,1106,644,6041,2830,1442,1083,686,57204,26355,5936,2546,378,970,481,1561,12205,4469,649,3111,1197,2779,8214,3531,367,1884,1168,1264,30849,7974,2550,1110,971,1259,2084,15113,3107,1821,2972,4131,3082,7762,883,838,648,3289,2104,61400,1556,3450,1636,3187,5392,3213,334,5691,10804,12051,2664,3545,1892,1693,4292,57204,17086,5163,10556,11525,12874,47105,14233,4165,8712,9375,10620,7923,2032,689,1496,1875,1831,375,46,61,84,98,86,990,397,210,122,123,138,13,0,0,0,0,13,350,151,17,87,0,95,448,227,21,55,54,91,46138,13777,4096,8572,9343,10350,1330,550,86,262,40,392
40,NC,37,,,,,040E2US37,North Carolina -- In micropolitan statistical area -- not in principal city,935670,456641,54144,1342,9838,20738,17211,2379,2497,139,68885,4142,9849,23528,16281,5502,7567,2016,74428,4576,8904,25157,17287,6739,8115,3650,164701,8794,20791,60019,35433,14388,16742,8534,94483,11607,12145,29748,16308,5886,9940,8849,479029,49489,667,6939,14057,20750,3104,3754,218,66950,2781,5864,15254,19140,9351,10493,4067,74639,2944,5537,16943,18926,12466,11890,5933,174528,6008,13496,55732,41914,23623,21933,11822,113423,10731,15808,42382,20455,7319,10208,6520,832037,402497,6386,3493,6328,12912,14688,16464,13799,6738,138452,26130,59179,32515,42364,15168,4223,3658,429540,4823,2325,5084,10232,10505,13114,12396,4690,130311,29785,70650,52759,54524,22792,2952,2598,832037,11209,92,92,461,946,2216,2011,3097,8315,6534,16610,25193,29578,26195,11428,222752,46011,55915,129829,85274,96888,37960,7175,6256,626176,303614,52406,99438,93853,57917,322562,40662,97812,116499,67589,136403,64953,16317,28111,16406,4119,71450,13351,23342,24908,9849,39985,18610,5933,6840,4169,1668,21375,4429,6328,7505,3113,5350,2063,275,487,547,754,3287,499,722,940,1126,254,165,40,21,42,62,89,10,26,44,9,14238,8280,4958,2070,946,306,5958,3456,957,1190,355,9631,4812,879,1485,1861,587,4819,762,1124,2108,825,605816,292940,46547,97134,92389,56870,312876,36301,95568,114642,66365,36897,20124,11184,4633,2865,1442,16773,8009,3479,3446,1839,148279,65413,15264,5445,1110,3289,892,4528,31360,11678,2306,7178,2790,7408,18789,7942,1097,4181,2679,2890,82866,23063,6160,3844,3676,3932,5451,43075,8698,6751,7371,11593,8662,16728,2481,2045,1195,7372,3635,157994,5138,9307,4907,7585,10889,7426,747,18254,27966,30479,6052,9079,4274,3146,12745,148279,42404,17153,26890,29258,32574,125506,36014,14731,22983,24689,27089,13968,3465,1344,2574,2830,3755,4781,1224,526,702,1358,971,1880,964,378,222,99,217,71,46,0,9,0,16,661,198,92,91,129,151,1412,493,82,309,153,375,123235,34959,14587,22611,24352,26726,3281,1379,278,542,501,581
