SummaryLevel,State,StateFIPS,CountyFIPS,PlaceFIPS,CBSACode,CongressDistrict,GEOID,AreaName,B15001_001,B15001_002,B15001_003,B15001_004,B15001_005,B15001_006,B15001_007,B15001_008,B15001_009,B15001_010,B15001_011,B15001_012,B15001_013,B15001_014,B15001_015,B15001_016,B15001_017,B15001_018,B15001_019,B15001_020,B15001_021,B15001_022,B15001_023,B15001_024,B15001_025,B15001_026,B15001_027,B15001_028,B15001_029,B15001_030,B15001_031,B15001_032,B15001_033,B15001_034,B15001_035,B15001_036,B15001_037,B15001_038,B15001_039,B15001_040,B15001_041,B15001_042,B15001_043,B15001_044,B15001_045,B15001_046,B15001_047,B15001_048,B15001_049,B15001_050,B15001_051,B15001_052,B15001_053,B15001_054,B15001_055,B15001_056,B15001_057,B15001_058,B15001_059,B15001_060,B15001_061,B15001_062,B15001_063,B15001_064,B15001_065,B15001_066,B15001_067,B15001_068,B15001_069,B15001_070,B15001_071,B15001_072,B15001_073,B15001_074,B15001_075,B15001_076,B15001_077,B15001_078,B15001_079,B15001_080,B15001_081,B15001_082,B15001_083,B15002_001,B15002_002,B15002_003,B15002_004,B15002_005,B15002_006,B15002_007,B15002_008,B15002_009,B15002_010,B15002_011,B15002_012,B15002_013,B15002_014,B15002_015,B15002_016,B15002_017,B15002_018,B15002_019,B15002_020,B15002_021,B15002_022,B15002_023,B15002_024,B15002_025,B15002_026,B15002_027,B15002_028,B15002_029,B15002_030,B15002_031,B15002_032,B15002_033,B15002_034,B15002_035,B15003_001,B15003_002,B15003_003,B15003_004,B15003_005,B15003_006,B15003_007,B15003_008,B15003_009,B15003_010,B15003_011,B15003_012,B15003_013,B15003_014,B15003_015,B15003_016,B15003_017,B15003_018,B15003_019,B15003_020,B15003_021,B15003_022,B15003_023,B15003_024,B15003_025,C15002A_001,C15002A_002,C15002A_003,C15002A_004,C15002A_005,C15002A_006,C15002A_007,C15002A_008,C15002A_009,C15002A_010,C15002A_011,C15002B_001,C15002B_002,C15002B_003,C15002B_004,C15002B_005,C15002B_006,C15002B_007,C15002B_008,C15002B_009,C15002B_010,C15002B_011,C15002C_001,C15002C_002,C15002C_003,C15002C_004,C15002C_005,C15002C_006,C15002C_007,C15002C_008,C15002C_009,C15002C_010,C15002C_011,C15002D_001,C15002D_002,C15002D_003,C15002D_004,C15002D_005,C15002D_006,C15002D_007,C15002D_008,C15002D_009,C15002D_010,C15002D_011,C15002E_001,C15002E_002,C15002E_003,C15002E_004,C15002E_005,C15002E_006,C15002E_007,C15002E_008,C15002E_009,C15002E_010,C15002E_011,C15002F_001,C15002F_002,C15002F_003,C15002F_004,C15002F_005,C15002F_006,C15002F_007,C15002F_008,C15002F_009,C15002F_010,C15002F_011,C15002G_001,C15002G_002,C15002G_003,C15002G_004,C15002G_005,C15002G_006,C15002G_007,C15002G_008,C15002G_009,C15002G_010,C15002G_011,C15002H_001,C15002H_002,C15002H_003,C15002H_004,C15002H_005,C15002H_006,C15002H_007,C15002H_008,C15002H_009,C15002H_010,C15002H_011,C15002I_001,C15002I_002,C15002I_003,C15002I_004,C15002I_005,C15002I_006,C15002I_007,C15002I_008,C15002I_009,C15002I_010,C15002I_011,B15011_001,B15011_002,B15011_003,B15011_004,B15011_005,B15011_006,B15011_007,B15011_008,B15011_009,B15011_010,B15011_011,B15011_012,B15011_013,B15011_014,B15011_015,B15011_016,B15011_017,B15011_018,B15011_019,B15011_020,B15011_021,B15011_022,B15011_023,B15011_024,B15011_025,B15011_026,B15011_027,B15011_028,B15011_029,B15011_030,B15011_031,B15011_032,B15011_033,B15011_034,B15011_035,B15011_036,B15011_037,B15011_038,B15011_039,B15012_001,B15012_002,B15012_003,B15012_004,B15012_005,B15012_006,B15012_007,B15012_008,B15012_009,B15012_010,B15012_011,B15012_012,B15012_013,B15012_014,B15012_015,B15012_016,C15010_001,C15010_002,C15010_003,C15010_004,C15010_005,C15010_006,C15010A_001,C15010A_002,C15010A_003,C15010A_004,C15010A_005,C15010A_006,C15010B_001,C15010B_002,C15010B_003,C15010B_004,C15010B_005,C15010B_006,C15010C_001,C15010C_002,C15010C_003,C15010C_004,C15010C_005,C15010C_006,C15010D_001,C15010D_002,C15010D_003,C15010D_004,C15010D_005,C15010D_006,C15010E_001,C15010E_002,C15010E_003,C15010E_004,C15010E_005,C15010E_006,C15010F_001,C15010F_002,C15010F_003,C15010F_004,C15010F_005,C15010F_006,C15010G_001,C15010G_002,C15010G_003,C15010G_004,C15010G_005,C15010G_006,C15010H_001,C15010H_002,C15010H_003,C15010H_004,C15010H_005,C15010H_006,C15010I_001,C15010I_002,C15010I_003,C15010I_004,C15010I_005,C15010I_006
40,NE,31,,,,,04000US31,Nebraska,1413658,696139,97219,1567,10986,28522,41811,5855,8150,328,129189,4978,8217,29882,30291,15618,30595,9608,114622,5789,6530,26560,26282,13405,24309,11747,235184,9316,11587,69463,54024,24356,42994,23444,119925,6781,7728,42651,25384,5941,17474,13966,717519,93211,1035,8334,21064,44969,5951,11277,581,123225,4327,5746,19228,29012,14704,36003,14205,111359,5070,5439,17595,25583,13840,28510,15322,238151,6867,8460,62499,60386,28362,47082,24495,151573,7580,9529,62751,37291,7393,18321,8708,1223228,598920,7056,3424,7515,8869,7343,8072,10052,8595,168556,43176,92805,59320,115372,36630,13249,8886,624308,6503,3222,5480,8639,5889,7339,9556,6390,162073,50724,101548,64299,129916,48952,8073,5705,1223228,13559,198,156,438,1153,2811,1890,2609,10386,3465,14043,13232,15411,19608,14985,288518,42111,93900,194353,123619,245288,85582,21322,14591,1107073,541650,47569,154040,179427,160614,565423,40388,148212,198239,178584,49109,24474,3492,7484,8537,4961,24635,3726,6379,9142,5388,8307,3808,874,1309,1261,364,4499,755,1302,1997,445,24013,11338,2445,1582,1684,5627,12675,3070,2348,2094,5163,768,335,45,79,151,60,433,77,119,170,67,19171,10205,5308,2467,1635,795,8966,4044,2229,1856,837,14787,7110,1193,1595,2606,1716,7677,958,1484,3073,2162,1039410,505927,30059,145555,173373,156940,533483,26843,141036,191185,174419,90422,47647,23364,11468,8266,4549,42775,18231,9826,9525,5193,366783,174137,58662,22384,3562,15244,4476,12996,84035,31046,4708,23843,9378,15060,31440,10945,2164,7227,6822,4282,192646,73247,17884,10786,14468,13281,16828,92370,15950,14899,18266,24931,18324,27029,2995,3778,1969,13305,4982,399764,13714,32071,10947,17148,20395,16596,2893,43613,84078,75430,12489,15123,11372,15254,28641,366783,101204,39897,81017,72193,72472,339198,90056,36865,74744,69918,67615,10349,2769,1000,3225,1069,2286,809,297,74,149,97,192,10790,6102,1285,1685,461,1257,127,0,58,12,40,17,1632,608,144,352,156,372,3878,1372,471,850,452,733,331359,87848,35986,73212,68614,65699,9742,2904,1108,1916,1501,2313
40,NE,31,,,,,04001US31,Nebraska -- Urban,1037054,507188,78782,1248,8045,22744,35571,3801,7081,292,105194,4303,6780,23129,24782,10971,26576,8653,87274,5174,5501,19346,19553,8711,19133,9856,160848,8020,8471,42118,36262,14902,32379,18696,75090,4087,4781,22980,16239,3702,12652,10649,529866,76781,792,6179,16934,38180,4476,9704,516,100830,3958,4903,15233,23452,10868,30170,12246,85207,4669,4659,12934,19198,9348,22201,12198,165694,5964,6346,40367,41494,18093,34539,18891,101354,5271,6294,40666,24442,4920,13336,6425,881491,428406,6256,2958,6490,5880,5885,5726,7228,6694,107573,29691,67145,38286,90740,29704,10869,7281,453085,5772,2934,4987,6169,4685,5321,7313,4883,109200,36074,72512,43229,100246,38319,6722,4719,881491,12028,98,115,392,948,2611,1728,2300,9177,2997,9052,10570,11047,14541,11577,185793,30980,65765,139657,81515,190986,68023,17591,12000,776011,376268,34961,94667,120912,125728,399743,30482,96813,135475,136973,47958,23720,3387,7202,8304,4827,24238,3693,6276,8988,5281,4854,2183,553,830,584,216,2671,471,865,1086,249,22792,10927,2394,1490,1583,5460,11865,2991,2104,1875,4895,627,288,45,71,121,51,339,23,105,152,59,17060,9160,4823,2119,1478,740,7900,3620,1885,1661,734,12189,5860,954,1194,2140,1572,6329,784,1152,2578,1815,715963,344705,19248,87400,115639,122418,371258,18054,90547,129473,133184,80346,42245,20978,9882,7267,4118,38101,16650,8535,8219,4697,288600,138594,50393,18964,3047,13428,3678,11276,64900,23023,3687,19155,6443,12592,23301,7938,1554,5735,4639,3435,150006,60837,15167,8730,11925,10463,14552,69408,12400,11252,14069,17084,14603,19761,2395,2742,1525,9036,4063,315127,11682,21477,8647,14385,17380,13870,2461,33889,68372,53718,10857,12584,9671,13431,22703,288600,79887,31012,65837,51343,60521,262701,69255,28190,59928,49308,56020,10108,2700,970,3191,1021,2226,465,200,35,71,48,111,10355,5935,1264,1568,421,1167,110,0,58,7,37,8,1474,569,144,295,130,336,3387,1228,351,777,378,653,255602,67265,27387,58498,48239,54213,8815,2641,1021,1755,1233,2165
40,NE,31,,,,,04043US31,Nebraska -- Rural,376604,188951,18437,319,2941,5778,6240,2054,1069,36,23995,675,1437,6753,5509,4647,4019,955,27348,615,1029,7214,6729,4694,5176,1891,74336,1296,3116,27345,17762,9454,10615,4748,44835,2694,2947,19671,9145,2239,4822,3317,187653,16430,243,2155,4130,6789,1475,1573,65,22395,369,843,3995,5560,3836,5833,1959,26152,401,780,4661,6385,4492,6309,3124,72457,903,2114,22132,18892,10269,12543,5604,50219,2309,3235,22085,12849,2473,4985,2283,341737,170514,800,466,1025,2989,1458,2346,2824,1901,60983,13485,25660,21034,24632,6926,2380,1605,171223,731,288,493,2470,1204,2018,2243,1507,52873,14650,29036,21070,29670,10633,1351,986,341737,1531,100,41,46,205,200,162,309,1209,468,4991,2662,4364,5067,3408,102725,11131,28135,54696,42104,54302,17559,3731,2591,331062,165382,12608,59373,58515,34886,165680,9906,51399,62764,41611,1151,754,105,282,233,134,397,33,103,154,107,3453,1625,321,479,677,148,1828,284,437,911,196,1221,411,51,92,101,167,810,79,244,219,268,141,47,0,8,30,9,94,54,14,18,8,2111,1045,485,348,157,55,1066,424,344,195,103,2598,1250,239,401,466,144,1348,174,332,495,347,323447,161222,10811,58155,57734,34522,162225,8789,50489,61712,41235,10076,5402,2386,1586,999,431,4674,1581,1291,1306,496,78183,35543,8269,3420,515,1816,798,1720,19135,8023,1021,4688,2935,2468,8139,3007,610,1492,2183,847,42640,12410,2717,2056,2543,2818,2276,22962,3550,3647,4197,7847,3721,7268,600,1036,444,4269,919,84637,2032,10594,2300,2763,3015,2726,432,9724,15706,21712,1632,2539,1701,1823,5938,78183,21317,8885,15180,20850,11951,76497,20801,8675,14816,20610,11595,241,69,30,34,48,60,344,97,39,78,49,81,435,167,21,117,40,90,17,0,0,5,3,9,158,39,0,57,26,36,491,144,120,73,74,80,75757,20583,8599,14714,20375,11486,927,263,87,161,268,148
40,NE,31,,,,,040A0US31,Nebraska -- In metropolitan or micropolitan statistical area,1150949,565845,81783,1159,8703,24051,36008,4247,7296,319,111121,4212,7150,24840,26097,12391,27559,8872,96582,4951,5533,21235,21834,10407,21898,10724,187668,7943,9279,51107,43138,18420,36790,20991,88691,4832,5560,28583,19414,4369,14208,11725,585104,79542,781,6558,17451,39022,4906,10264,560,106417,3811,4973,15828,24647,12267,31940,12951,94168,4540,4607,14124,21088,10899,25120,13790,191896,5974,6854,48154,48031,21800,39655,21428,113081,5591,6826,45749,27505,5487,14549,7374,989624,484062,6244,2937,6297,6460,5923,6439,8111,7049,125765,34542,75941,45587,100455,32446,11925,7941,505562,5826,2852,4876,6362,4935,5557,7562,5206,123855,39893,81378,50453,111264,43207,7211,5125,989624,12070,186,129,436,903,2355,1780,2305,8868,2958,9864,10858,11996,15673,12255,216244,33376,74435,157319,96040,211719,75653,19136,13066,883221,431498,37316,112735,141764,139683,451723,31625,111385,155332,153381,48140,23758,3303,7240,8339,4876,24382,3616,6361,9058,5347,4727,2171,554,697,664,256,2556,433,738,1085,300,22892,10901,2293,1498,1589,5521,11991,2920,2200,1870,5001,582,229,45,46,78,60,353,77,54,160,62,17589,9413,4931,2229,1486,767,8176,3704,2020,1683,769,12473,6092,1018,1320,2150,1604,6381,801,1097,2536,1947,824225,400260,22154,105519,136332,136255,423965,19645,105289,149448,149583,79584,41992,20500,9884,7340,4268,37592,16261,8437,8129,4765,319574,152767,53260,20335,3177,14093,3742,11913,73574,27072,4161,21369,7345,13627,25933,9015,1730,6360,5096,3732,166807,65584,16248,9539,13119,11417,15261,79300,14215,12915,16095,19789,16286,21923,2560,3194,1666,10160,4343,348735,12526,25914,9660,15565,18867,15411,2648,37962,75447,60335,11480,13521,10211,14260,24928,319574,89445,34716,72702,57549,65162,293064,78532,31825,66643,55497,60567,10223,2740,980,3215,1026,2262,556,243,37,91,61,124,10522,6033,1279,1655,383,1172,122,0,58,7,40,17,1536,591,144,306,138,357,3551,1306,393,785,404,663,285838,76417,31024,65259,54387,58751,9033,2788,1030,1725,1289,2201
40,NE,31,,,,,040C0US31,Nebraska -- In metropolitan statistical area,903463,444431,65302,952,6630,18671,29654,2758,6371,266,90957,3327,5787,19387,20639,9457,24325,8035,77943,3905,4392,16015,17678,7763,18726,9464,145227,5652,7224,37368,33129,13217,30755,17882,65002,3044,3641,19277,14832,3158,11382,9668,459032,63579,404,4977,14041,31549,3409,8685,514,87307,3077,3900,12124,19690,9175,27492,11849,75743,3581,3520,10681,16756,7836,21252,12117,149678,4511,5210,35418,36818,16220,33424,18077,82725,3826,4680,32642,20149,4074,11321,6033,774582,379129,4802,2081,4742,4303,4752,4821,6176,5295,92047,25972,60306,33595,85188,28024,10166,6859,395453,4657,2325,3671,4342,3694,3855,5677,4084,90865,30381,63032,37305,93489,36953,6556,4567,774582,9459,145,82,332,691,1836,1320,1891,6522,2229,6416,8446,8676,11853,9379,157548,25364,56353,123338,70900,178677,64977,16722,11426,677650,331632,26626,80389,106852,117765,346018,22315,79504,115573,128626,46191,22521,3000,6892,7869,4760,23670,3320,6206,8863,5281,3671,1622,441,452,516,213,2049,353,579,886,231,21538,10226,2165,1357,1449,5255,11312,2806,2016,1655,4835,485,192,32,39,64,57,293,23,54,154,62,14575,7781,3989,1840,1291,661,6794,2914,1667,1505,708,10472,5155,719,1078,1832,1526,5317,574,839,2082,1822,634590,308611,15429,75466,102817,114899,325979,13593,75319,111550,125517,59855,31750,15383,7016,5741,3610,28105,12038,6120,5971,3976,271802,130237,47015,18037,2575,13075,3018,10310,62172,23001,3409,18429,5434,11899,21050,7501,1390,5408,3688,3063,141565,57225,14551,8344,11408,9245,13677,66986,12283,10980,13871,15798,14054,17354,2057,2550,1358,7608,3781,296464,11411,20912,8127,13683,16777,13609,2394,32084,65684,47058,10270,11476,8922,12827,21230,271802,77430,29248,63549,44791,56784,246391,66867,26540,57658,42864,52462,10041,2724,967,3180,1026,2144,444,192,25,72,48,107,10090,5849,1145,1590,380,1126,119,0,58,7,37,17,1369,525,144,304,87,309,3348,1273,369,738,349,619,240416,65050,26000,56448,42051,50867,7586,2431,769,1544,934,1908
40,NE,31,,,,,040C1US31,Nebraska -- In metropolitan statistical area -- in principal city,580324,285556,46444,694,4475,12380,21872,1723,5100,200,61413,2749,4930,13197,13666,5675,15883,5313,48731,3333,3465,10393,11080,4437,10469,5554,88717,4455,5456,22181,19707,7525,18684,10709,40251,2134,2323,10822,9088,1944,7488,6452,294768,46718,326,3308,9748,23834,2399,6716,387,57423,2391,3301,8525,12578,5923,17078,7627,45760,3041,2728,6787,10076,4632,11844,6652,91773,3309,3641,20760,22052,10036,20243,11732,53094,2771,2902,19991,13005,2540,7623,4262,487162,239112,3950,1724,3773,3224,3853,3628,4678,4015,56593,15512,38029,19581,52524,15909,7175,4944,248050,3867,1973,2714,2958,2772,2750,4194,2856,56063,18389,39322,23131,56788,22535,4418,3320,487162,7817,55,42,293,607,1598,1102,1431,5056,1673,4509,6625,6378,8872,6871,94780,17876,33901,77351,42712,109312,38444,11593,8264,411846,201933,20112,46846,63313,71662,209913,16003,46706,69031,78173,38784,18855,2773,6271,6273,3538,19929,2838,5693,7573,3825,2659,1216,393,376,342,105,1443,293,446,580,124,15940,7938,1948,1142,1021,3827,8002,2244,1435,1052,3271,245,110,19,19,28,44,135,11,20,70,34,10334,5439,3036,1086,879,438,4895,2238,1096,1081,480,7354,3621,564,853,1266,938,3733,457,667,1455,1154,379129,184036,10511,43234,60384,69907,195093,8901,43638,66313,76241,44686,24065,12834,4939,4107,2185,20621,9645,4391,4086,2499,167613,80552,29606,11771,1577,7668,1849,6741,37006,13038,2069,10926,3144,7829,13940,4859,993,3641,2345,2102,87061,34522,9549,4633,6349,4870,9121,40654,7407,6505,7876,9656,9210,11885,1479,1550,1017,5067,2772,183390,6033,12915,5331,9063,10834,8257,1560,19107,38833,28282,7667,7825,6367,8473,12843,167613,48103,17327,37477,26931,37775,149835,40552,15551,33620,25548,34564,7363,2210,649,2108,720,1676,229,81,23,22,29,74,7098,4125,818,1066,288,801,78,0,43,0,27,8,918,355,54,192,65,252,2092,780,189,469,254,400,146148,39466,15240,32920,24991,33531,4684,1459,413,891,656,1265
40,NE,31,,,,,040C2US31,Nebraska -- In metropolitan statistical area -- not in principal city,323139,158875,18858,258,2155,6291,7782,1035,1271,66,29544,578,857,6190,6973,3782,8442,2722,29212,572,927,5622,6598,3326,8257,3910,56510,1197,1768,15187,13422,5692,12071,7173,24751,910,1318,8455,5744,1214,3894,3216,164264,16861,78,1669,4293,7715,1010,1969,127,29884,686,599,3599,7112,3252,10414,4222,29983,540,792,3894,6680,3204,9408,5465,57905,1202,1569,14658,14766,6184,13181,6345,29631,1055,1778,12651,7144,1534,3698,1771,287420,140017,852,357,969,1079,899,1193,1498,1280,35454,10460,22277,14014,32664,12115,2991,1915,147403,790,352,957,1384,922,1105,1483,1228,34802,11992,23710,14174,36701,14418,2138,1247,287420,1642,90,40,39,84,238,218,460,1466,556,1907,1821,2298,2981,2508,62768,7488,22452,45987,28188,69365,26533,5129,3162,265804,129699,6514,33543,43539,46103,136105,6312,32798,46542,50453,7407,3666,227,621,1596,1222,3741,482,513,1290,1456,1012,406,48,76,174,108,606,60,133,306,107,5598,2288,217,215,428,1428,3310,562,581,603,1564,240,82,13,20,36,13,158,12,34,84,28,4241,2342,953,754,412,223,1899,676,571,424,228,3118,1534,155,225,566,588,1584,117,172,627,668,255461,124575,4918,32232,42433,44992,130886,4692,31681,45237,49276,15169,7685,2549,2077,1634,1425,7484,2393,1729,1885,1477,104189,49685,17409,6266,998,5407,1169,3569,25166,9963,1340,7503,2290,4070,7110,2642,397,1767,1343,961,54504,22703,5002,3711,5059,4375,4556,26332,4876,4475,5995,6142,4844,5469,578,1000,341,2541,1009,113074,5378,7997,2796,4620,5943,5352,834,12977,26851,18776,2603,3651,2555,4354,8387,104189,29327,11921,26072,17860,19009,96556,26315,10989,24038,17316,17898,2678,514,318,1072,306,468,215,111,2,50,19,33,2992,1724,327,524,92,325,41,0,15,7,10,9,451,170,90,112,22,57,1256,493,180,269,95,219,94268,25584,10760,23528,17060,17336,2902,972,356,653,278,643
40,NE,31,,,,,040E0US31,Nebraska -- In micropolitan statistical area,247486,121414,16481,207,2073,5380,6354,1489,925,53,20164,885,1363,5453,5458,2934,3234,837,18639,1046,1141,5220,4156,2644,3172,1260,42441,2291,2055,13739,10009,5203,6035,3109,23689,1788,1919,9306,4582,1211,2826,2057,126072,15963,377,1581,3410,7473,1497,1579,46,19110,734,1073,3704,4957,3092,4448,1102,18425,959,1087,3443,4332,3063,3868,1673,42218,1463,1644,12736,11213,5580,6231,3351,30356,1765,2146,13107,7356,1413,3228,1341,215042,104933,1442,856,1555,2157,1171,1618,1935,1754,33718,8570,15635,11992,15267,4422,1759,1082,110109,1169,527,1205,2020,1241,1702,1885,1122,32990,9512,18346,13148,17775,6254,655,558,215042,2611,41,47,104,212,519,460,414,2346,729,3448,2412,3320,3820,2876,58696,8012,18082,33981,25140,33042,10676,2414,1640,205571,99866,10690,32346,34912,21918,105705,9310,31881,39759,24755,1949,1237,303,348,470,116,712,296,155,195,66,1056,549,113,245,148,43,507,80,159,199,69,1354,675,128,141,140,266,679,114,184,215,166,97,37,13,7,14,3,60,54,0,6,0,3014,1632,942,389,195,106,1382,790,353,178,61,2001,937,299,242,318,78,1064,227,258,454,125,189635,91649,6725,30053,33515,21356,97986,6052,29970,37898,24066,19729,10242,5117,2868,1599,658,9487,4223,2317,2158,789,47772,22530,6245,2298,602,1018,724,1603,11402,4071,752,2940,1911,1728,4883,1514,340,952,1408,669,25242,8359,1697,1195,1711,2172,1584,12314,1932,1935,2224,3991,2232,4569,503,644,308,2552,562,52271,1115,5002,1533,1882,2090,1802,254,5878,9763,13277,1210,2045,1289,1433,3698,47772,12015,5468,9153,12758,8378,46673,11665,5285,8985,12633,8105,182,16,13,35,0,118,112,51,12,19,13,17,432,184,134,65,3,46,3,0,0,0,3,0,167,66,0,2,51,48,203,33,24,47,55,44,45422,11367,5024,8811,12336,7884,1447,357,261,181,355,293
40,NE,31,,,,,040E1US31,Nebraska -- In micropolitan statistical area -- in principal city,146093,70700,11949,133,1219,3834,5031,968,730,34,12917,693,846,3349,3503,1655,2260,611,10949,806,790,3187,2333,1337,1701,795,22350,1739,1161,6578,5220,2528,3359,1765,12535,1036,1180,4496,2385,558,1543,1337,75393,11712,295,1030,2354,5793,1060,1141,39,12188,643,781,2364,3104,1861,2767,668,10784,696,793,2019,2496,1707,2170,903,23151,1109,987,6883,6217,2878,3228,1849,17558,1091,1233,7536,4054,892,1967,785,122432,58751,1123,685,1131,1335,797,904,1079,1197,17610,4565,8876,6078,8863,2772,1040,696,63681,816,354,1012,1357,799,1081,1158,756,18802,5587,10284,7338,10132,3496,396,313,122432,1939,19,47,76,109,426,362,309,1834,569,2123,1596,1985,2237,1953,31607,4805,10152,19160,13416,18995,6268,1436,1009,115756,55071,6922,16687,18570,12892,60685,6261,18091,22319,14014,1719,1114,277,302,436,99,605,296,90,166,53,709,345,97,143,68,37,364,65,111,158,30,1047,581,116,109,102,254,466,88,114,145,119,21,21,0,7,14,0,0,0,0,0,0,1978,1116,645,261,145,65,862,498,200,126,38,1202,503,194,101,184,24,699,125,196,295,83,104109,49241,4001,14953,17717,12570,54868,3694,16596,21133,13445,14165,7206,3720,2121,993,372,6959,3166,1740,1414,639,27708,13371,4108,1480,419,578,472,1159,6383,1957,470,1756,1053,1147,2880,778,205,577,862,458,14337,5087,1010,632,1089,1394,962,6498,936,1085,1230,1969,1278,2752,318,399,218,1440,377,30484,672,2260,791,1217,1264,1112,110,3440,5857,7474,904,1344,889,955,2195,27708,6479,3210,5448,7190,5381,26906,6218,3053,5357,7120,5158,152,0,13,28,0,111,67,43,0,7,0,17,373,169,120,44,0,40,0,0,0,0,0,0,103,30,0,0,46,27,107,19,24,12,24,28,26015,5998,2879,5225,6937,4976,1011,243,174,132,229,233
40,NE,31,,,,,040E2US31,Nebraska -- In micropolitan statistical area -- not in principal city,101393,50714,4532,74,854,1546,1323,521,195,19,7247,192,517,2104,1955,1279,974,226,7690,240,351,2033,1823,1307,1471,465,20091,552,894,7161,4789,2675,2676,1344,11154,752,739,4810,2197,653,1283,720,50679,4251,82,551,1056,1680,437,438,7,6922,91,292,1340,1853,1231,1681,434,7641,263,294,1424,1836,1356,1698,770,19067,354,657,5853,4996,2702,3003,1502,12798,674,913,5571,3302,521,1261,556,92610,46182,319,171,424,822,374,714,856,557,16108,4005,6759,5914,6404,1650,719,386,46428,353,173,193,663,442,621,727,366,14188,3925,8062,5810,7643,2758,259,245,92610,672,22,0,28,103,93,98,105,512,160,1325,816,1335,1583,923,27089,3207,7930,14821,11724,14047,4408,978,631,89815,44795,3768,15659,16342,9026,45020,3049,13790,17440,10741,230,123,26,46,34,17,107,0,65,29,13,347,204,16,102,80,6,143,15,48,41,39,307,94,12,32,38,12,213,26,70,70,47,76,16,13,0,0,3,60,54,0,6,0,1036,516,297,128,50,41,520,292,153,52,23,799,434,105,141,134,54,365,102,62,159,42,85526,42408,2724,15100,15798,8786,43118,2358,13374,16765,10621,5564,3036,1397,747,606,286,2528,1057,577,744,150,20064,9159,2137,818,183,440,252,444,5019,2114,282,1184,858,581,2003,736,135,375,546,211,10905,3272,687,563,622,778,622,5816,996,850,994,2022,954,1817,185,245,90,1112,185,21787,443,2742,742,665,826,690,144,2438,3906,5803,306,701,400,478,1503,20064,5536,2258,3705,5568,2997,19767,5447,2232,3628,5513,2947,30,16,0,7,0,7,45,8,12,12,13,0,59,15,14,21,3,6,3,0,0,0,3,0,64,36,0,2,5,21,96,14,0,35,31,16,19407,5369,2145,3586,5399,2908,436,114,87,49,126,60
