SummaryLevel,State,StateFIPS,CountyFIPS,PlaceFIPS,CBSACode,CongressDistrict,GEOID,AreaName,B15001_001,B15001_002,B15001_003,B15001_004,B15001_005,B15001_006,B15001_007,B15001_008,B15001_009,B15001_010,B15001_011,B15001_012,B15001_013,B15001_014,B15001_015,B15001_016,B15001_017,B15001_018,B15001_019,B15001_020,B15001_021,B15001_022,B15001_023,B15001_024,B15001_025,B15001_026,B15001_027,B15001_028,B15001_029,B15001_030,B15001_031,B15001_032,B15001_033,B15001_034,B15001_035,B15001_036,B15001_037,B15001_038,B15001_039,B15001_040,B15001_041,B15001_042,B15001_043,B15001_044,B15001_045,B15001_046,B15001_047,B15001_048,B15001_049,B15001_050,B15001_051,B15001_052,B15001_053,B15001_054,B15001_055,B15001_056,B15001_057,B15001_058,B15001_059,B15001_060,B15001_061,B15001_062,B15001_063,B15001_064,B15001_065,B15001_066,B15001_067,B15001_068,B15001_069,B15001_070,B15001_071,B15001_072,B15001_073,B15001_074,B15001_075,B15001_076,B15001_077,B15001_078,B15001_079,B15001_080,B15001_081,B15001_082,B15001_083,B15002_001,B15002_002,B15002_003,B15002_004,B15002_005,B15002_006,B15002_007,B15002_008,B15002_009,B15002_010,B15002_011,B15002_012,B15002_013,B15002_014,B15002_015,B15002_016,B15002_017,B15002_018,B15002_019,B15002_020,B15002_021,B15002_022,B15002_023,B15002_024,B15002_025,B15002_026,B15002_027,B15002_028,B15002_029,B15002_030,B15002_031,B15002_032,B15002_033,B15002_034,B15002_035,B15003_001,B15003_002,B15003_003,B15003_004,B15003_005,B15003_006,B15003_007,B15003_008,B15003_009,B15003_010,B15003_011,B15003_012,B15003_013,B15003_014,B15003_015,B15003_016,B15003_017,B15003_018,B15003_019,B15003_020,B15003_021,B15003_022,B15003_023,B15003_024,B15003_025,C15002A_001,C15002A_002,C15002A_003,C15002A_004,C15002A_005,C15002A_006,C15002A_007,C15002A_008,C15002A_009,C15002A_010,C15002A_011,C15002B_001,C15002B_002,C15002B_003,C15002B_004,C15002B_005,C15002B_006,C15002B_007,C15002B_008,C15002B_009,C15002B_010,C15002B_011,C15002C_001,C15002C_002,C15002C_003,C15002C_004,C15002C_005,C15002C_006,C15002C_007,C15002C_008,C15002C_009,C15002C_010,C15002C_011,C15002D_001,C15002D_002,C15002D_003,C15002D_004,C15002D_005,C15002D_006,C15002D_007,C15002D_008,C15002D_009,C15002D_010,C15002D_011,C15002E_001,C15002E_002,C15002E_003,C15002E_004,C15002E_005,C15002E_006,C15002E_007,C15002E_008,C15002E_009,C15002E_010,C15002E_011,C15002F_001,C15002F_002,C15002F_003,C15002F_004,C15002F_005,C15002F_006,C15002F_007,C15002F_008,C15002F_009,C15002F_010,C15002F_011,C15002G_001,C15002G_002,C15002G_003,C15002G_004,C15002G_005,C15002G_006,C15002G_007,C15002G_008,C15002G_009,C15002G_010,C15002G_011,C15002H_001,C15002H_002,C15002H_003,C15002H_004,C15002H_005,C15002H_006,C15002H_007,C15002H_008,C15002H_009,C15002H_010,C15002H_011,C15002I_001,C15002I_002,C15002I_003,C15002I_004,C15002I_005,C15002I_006,C15002I_007,C15002I_008,C15002I_009,C15002I_010,C15002I_011,B15011_001,B15011_002,B15011_003,B15011_004,B15011_005,B15011_006,B15011_007,B15011_008,B15011_009,B15011_010,B15011_011,B15011_012,B15011_013,B15011_014,B15011_015,B15011_016,B15011_017,B15011_018,B15011_019,B15011_020,B15011_021,B15011_022,B15011_023,B15011_024,B15011_025,B15011_026,B15011_027,B15011_028,B15011_029,B15011_030,B15011_031,B15011_032,B15011_033,B15011_034,B15011_035,B15011_036,B15011_037,B15011_038,B15011_039,B15012_001,B15012_002,B15012_003,B15012_004,B15012_005,B15012_006,B15012_007,B15012_008,B15012_009,B15012_010,B15012_011,B15012_012,B15012_013,B15012_014,B15012_015,B15012_016,C15010_001,C15010_002,C15010_003,C15010_004,C15010_005,C15010_006,C15010A_001,C15010A_002,C15010A_003,C15010A_004,C15010A_005,C15010A_006,C15010B_001,C15010B_002,C15010B_003,C15010B_004,C15010B_005,C15010B_006,C15010C_001,C15010C_002,C15010C_003,C15010C_004,C15010C_005,C15010C_006,C15010D_001,C15010D_002,C15010D_003,C15010D_004,C15010D_005,C15010D_006,C15010E_001,C15010E_002,C15010E_003,C15010E_004,C15010E_005,C15010E_006,C15010F_001,C15010F_002,C15010F_003,C15010F_004,C15010F_005,C15010F_006,C15010G_001,C15010G_002,C15010G_003,C15010G_004,C15010G_005,C15010G_006,C15010H_001,C15010H_002,C15010H_003,C15010H_004,C15010H_005,C15010H_006,C15010I_001,C15010I_002,C15010I_003,C15010I_004,C15010I_005,C15010I_006
40,NH,33,,,,,04000US33,New Hampshire,1060524,520256,65308,1017,6675,22484,25331,2510,6924,367,78893,795,5212,22839,16715,6991,20549,5792,79148,1292,4273,22518,14589,7608,18982,9886,201658,4256,10900,62386,36803,18599,42331,26383,95249,5237,6561,26267,15880,6203,17477,17624,540268,62872,871,4917,16242,29276,2514,8296,756,75602,918,2817,16549,14619,7382,22386,10931,80177,947,1776,16189,15968,9940,21445,13912,206481,2852,7369,55050,41337,26184,46152,27537,115136,5760,8309,42574,20784,8420,16739,12550,932344,454948,2809,639,1571,6561,5147,7524,8012,6263,134010,26369,57618,39401,99339,41722,9909,8054,477396,2601,597,1374,5905,3981,5732,5717,4841,130362,30163,62545,51926,106722,52321,7295,5314,932344,5410,36,45,82,83,479,511,807,2138,2311,10155,9128,13256,13729,11104,225743,38629,56532,120163,91327,206061,94043,17204,13368,884944,430574,35717,127561,118361,148935,454370,27501,125181,139056,162632,10200,6098,578,1967,1788,1765,4102,511,1040,1594,957,1506,797,82,422,181,112,709,111,246,224,128,20529,9447,999,1352,1049,6047,11082,1742,2013,1548,5779,175,88,14,0,5,69,87,9,5,24,49,4139,2329,344,800,658,527,1810,357,520,417,516,10851,5615,792,1908,1346,1569,5236,517,1357,1771,1591,868007,422229,33442,125099,116559,147129,445778,26184,122756,136536,160302,22664,11411,2933,3463,2641,2374,11253,1903,2915,3317,3118,330676,159024,39477,17685,1856,8467,1341,10128,84446,40524,4034,20070,4640,15178,35101,16553,1302,7066,3129,7051,171652,50524,16658,6001,8028,6288,13549,91839,24018,12595,17144,16551,21531,29289,6363,3526,2099,9133,8168,354073,16703,22456,11712,19829,27767,30094,2908,31395,65132,43112,21054,18560,14799,9841,18711,330676,121801,29314,62874,41082,75605,311567,111490,27625,59872,40227,72353,2722,806,305,659,169,783,240,101,22,14,72,31,11826,7419,1058,1672,287,1390,118,61,0,44,13,0,1043,434,87,253,113,156,3160,1490,217,360,201,892,307431,109850,27235,58923,39822,71601,5492,2163,469,1286,550,1024
40,NH,33,,,,,04001US33,New Hampshire -- Urban,639925,311194,44986,760,4045,14336,18462,1721,5332,330,53678,628,3375,14743,11437,4643,14717,4135,48177,808,2733,13367,8542,4691,11807,6229,113106,2941,6281,34209,20422,10380,24183,14690,51247,3081,3962,14159,8865,3280,9209,8691,328731,43835,684,3077,10579,21130,1794,5970,601,51528,721,2006,11105,9630,4864,15775,7427,48454,603,1058,10021,9585,6130,12748,8309,116973,2175,4708,31743,23187,14862,25414,14884,67941,4146,5349,26354,12205,4542,8910,6435,551104,266208,1814,500,1186,3958,3148,4728,4587,3888,76478,15798,33468,22994,59916,24312,5350,4083,284896,1804,442,1146,4253,2703,3683,3546,3189,79223,18256,36351,30398,62847,30104,4094,2857,551104,3618,17,35,40,69,410,371,582,1750,1721,6490,5851,8411,8133,7077,132227,23474,34054,69819,53392,122763,54416,9444,6940,513309,246609,21481,71536,68482,85110,266700,17930,75230,80708,92832,8325,4769,487,1432,1316,1534,3556,466,844,1472,774,925,537,71,253,145,68,388,53,112,137,86,17654,8428,836,1235,908,5449,9226,1610,1700,1225,4691,108,49,10,0,0,39,59,0,0,24,35,3391,1920,308,638,563,411,1471,288,459,328,396,7392,3896,616,1384,846,1050,3496,419,878,1111,1088,499567,239684,19392,69407,67044,83841,259883,16662,73266,78625,91330,18425,9411,2641,2920,2157,1693,9014,1761,2360,2728,2165,193563,93661,26936,12087,1366,5871,773,6839,48825,23035,2031,12584,2456,8719,17900,7818,653,4105,1518,3806,99902,33882,11065,4076,5687,3958,9096,50675,12730,6935,10357,8894,11759,15345,3449,1762,1182,5026,3926,206940,10437,11876,6200,11484,15960,18360,1633,18001,41134,23524,11870,10858,8742,6100,10761,193563,70184,16823,39786,22625,44145,177942,61666,15380,37293,22008,41595,2308,615,259,575,146,713,154,70,12,0,48,24,10140,6472,919,1443,212,1094,74,39,0,23,12,0,807,340,87,199,50,131,2138,982,166,253,149,588,175171,60550,15081,36591,21766,41183,3858,1540,378,967,326,647
40,NH,33,,,,,04043US33,New Hampshire -- Rural,420599,209062,20322,257,2630,8148,6869,789,1592,37,25215,167,1837,8096,5278,2348,5832,1657,30971,484,1540,9151,6047,2917,7175,3657,88552,1315,4619,28177,16381,8219,18148,11693,44002,2156,2599,12108,7015,2923,8268,8933,211537,19037,187,1840,5663,8146,720,2326,155,24074,197,811,5444,4989,2518,6611,3504,31723,344,718,6168,6383,3810,8697,5603,89508,677,2661,23307,18150,11322,20738,12653,47195,1614,2960,16220,8579,3878,7829,6115,381240,188740,995,139,385,2603,1999,2796,3425,2375,57532,10571,24150,16407,39423,17410,4559,3971,192500,797,155,228,1652,1278,2049,2171,1652,51139,11907,26194,21528,43875,22217,3201,2457,381240,1792,19,10,42,14,69,140,225,388,590,3665,3277,4845,5596,4027,93516,15155,22478,50344,37935,83298,39627,7760,6428,371635,183965,14236,56025,49879,63825,187670,9571,49951,58348,69800,1875,1329,91,535,472,231,546,45,196,122,183,581,260,11,169,36,44,321,58,134,87,42,2875,1019,163,117,141,598,1856,132,313,323,1088,67,39,4,0,5,30,28,9,5,0,14,748,409,36,162,95,116,339,69,61,89,120,3459,1719,176,524,500,519,1740,98,479,660,503,368440,182545,14050,55692,49515,63288,185895,9522,49490,57911,68972,4239,2000,292,543,484,681,2239,142,555,589,953,137113,65363,12541,5598,490,2596,568,3289,35621,17489,2003,7486,2184,6459,17201,8735,649,2961,1611,3245,71750,16642,5593,1925,2341,2330,4453,41164,11288,5660,6787,7657,9772,13944,2914,1764,917,4107,4242,147133,6266,10580,5512,8345,11807,11734,1275,13394,23998,19588,9184,7702,6057,3741,7950,137113,51617,12491,23088,18457,31460,133625,49824,12245,22579,18219,30758,414,191,46,84,23,70,86,31,10,14,24,7,1686,947,139,229,75,296,44,22,0,21,1,0,236,94,0,54,63,25,1022,508,51,107,52,304,132260,49300,12154,22332,18056,30418,1634,623,91,319,224,377
40,NH,33,,,,,040A0US33,New Hampshire -- In metropolitan or micropolitan statistical area,1021085,500793,63675,988,6474,21713,24782,2489,6862,367,76843,789,5075,22243,16164,6804,20168,5600,76808,1283,4103,21607,14107,7356,18545,9807,193784,4116,10544,59738,35293,17886,40486,25721,89683,4990,6319,24821,14881,5935,16219,16518,520292,61451,871,4794,15611,28755,2477,8187,756,73659,865,2728,16082,14190,7220,21813,10761,77709,851,1680,15569,15514,9551,20841,13703,198258,2825,7071,52662,39482,25214,44431,26573,109215,5597,8006,40658,19796,7880,15620,11658,895959,437118,2741,639,1522,6276,5000,7249,7692,6100,128409,25503,54942,37981,95418,40317,9495,7834,458841,2524,566,1326,5722,3823,5556,5405,4701,124971,29014,59968,49865,102705,50481,7042,5172,895959,5265,36,45,53,83,477,511,745,2103,2272,9726,8823,12805,13097,10801,215983,37397,54517,114910,87846,198123,90798,16537,13006,849436,413227,34459,122192,113512,143064,436209,26409,119935,133390,156475,10086,6019,578,1908,1769,1764,4067,511,1011,1594,951,1449,787,82,422,171,112,662,111,222,207,122,20290,9321,956,1293,1049,6023,10969,1718,1963,1520,5768,166,88,14,0,5,69,78,0,5,24,49,4116,2314,344,797,646,527,1802,357,519,417,509,10416,5362,786,1797,1274,1505,5054,517,1316,1695,1526,832786,405002,32186,119748,111742,141326,427784,25092,117603,130883,154206,22310,11236,2927,3422,2581,2306,11074,1903,2821,3304,3046,318464,153064,38663,17436,1851,8236,1303,9837,81664,39506,3917,19172,4482,14587,32737,15374,1216,6590,2913,6644,165400,49508,16454,5915,7936,6135,13068,88614,23356,12123,16750,15651,20734,27278,5932,3297,1925,8527,7597,341169,16478,21548,11353,19283,26588,29460,2723,30370,62846,40977,20177,17758,14242,9602,17764,318464,118058,28319,60609,39011,72467,299539,107826,26634,57646,38158,69275,2715,800,304,659,169,783,234,101,19,14,70,30,11791,7387,1058,1672,287,1387,118,61,0,44,13,0,1036,427,87,253,113,156,3031,1456,217,321,201,836,295532,106250,26248,56758,37753,68523,5352,2099,465,1214,550,1024
40,NH,33,,,,,040C0US33,New Hampshire -- In metropolitan statistical area,656659,322015,40314,718,4237,13977,14591,1632,4852,307,51199,675,2882,14192,10510,4205,14812,3923,51348,852,2439,13169,9264,4963,13741,6920,125884,2700,6246,35640,23433,11412,29180,17273,53270,3003,3723,13759,9392,3696,10185,9512,334644,38982,615,3296,9940,16771,1735,5971,654,49231,561,1726,10307,9097,4924,15125,7491,52259,547,1029,9971,9848,6485,14989,9390,128266,2080,3997,33295,25479,16443,29843,17129,65906,3820,4969,24811,11947,4531,9088,6740,577363,281701,1895,419,1075,3841,3097,4279,4158,3756,76760,17112,35487,24276,67918,28128,5022,4478,295662,1719,424,1113,3752,2377,3178,3157,3009,78384,18716,37655,32383,69045,33666,4087,2997,577363,3614,22,27,36,77,391,290,468,1720,1558,6035,5474,7457,7315,6765,133018,22126,35828,73142,56659,136963,61794,9109,7475,542577,263994,20558,72486,73338,97612,278583,16217,74672,84515,103179,7592,4312,441,1312,1203,1356,3280,488,777,1446,569,598,368,31,124,119,94,230,42,55,91,42,16142,7437,748,1059,773,4857,8705,1347,1573,1307,4478,48,29,0,0,0,29,19,0,0,7,12,3403,1866,296,610,496,464,1537,295,476,324,442,7003,3695,446,1169,946,1134,3308,340,831,1064,1073,528896,257116,18573,70448,71926,96169,271780,14979,72680,82514,101607,18276,9207,2476,2786,2061,1884,9069,1750,2419,2649,2251,215341,105546,27866,12332,1345,6379,774,7036,57983,28679,2534,14427,2598,9745,19697,9230,729,4308,1560,3870,109795,34575,11624,3972,5946,3983,9050,59392,15460,7792,12615,9852,13673,15828,3501,1965,1152,5003,4207,230476,12498,13345,7199,12429,16965,22793,1786,19664,46478,24924,13121,11138,9074,7083,11979,215341,80826,18337,44827,23770,47581,200791,72697,17109,42542,23118,45325,1925,562,163,506,156,538,136,84,7,5,16,24,9335,6029,822,1276,219,989,41,29,0,0,12,0,906,372,87,249,78,120,2207,1053,149,249,171,585,197776,71459,16824,41752,22868,44873,4135,1681,344,1081,362,667
40,NH,33,,,,,040C1US33,New Hampshire -- In metropolitan statistical area -- in principal city,157632,77977,10272,448,1223,3712,2761,457,1535,136,16467,506,993,4913,3296,1118,4516,1125,13156,507,1137,3646,2318,1181,2886,1481,26893,1227,1786,7959,5332,2371,5201,3017,11189,1150,800,2922,1996,772,1852,1697,79655,9659,361,867,3084,3363,459,1407,118,15368,375,836,3602,3245,1496,3956,1858,11949,289,366,3084,2413,1473,2660,1664,27191,1146,1420,8157,5752,3122,4920,2674,15488,1585,1406,5666,2605,947,1967,1312,137701,67705,935,179,737,1539,1209,1407,1089,1011,19440,4388,8554,5442,14455,5673,932,715,69996,798,339,683,1575,946,961,1134,987,20509,4505,9510,7038,13503,6497,542,469,137701,1733,9,13,31,37,257,171,347,1073,860,2254,2155,2368,2223,1998,33653,6296,8893,18064,12480,27958,12170,1474,1184,121089,59218,6989,17582,16608,18039,61871,5847,18824,18988,18212,4606,2520,334,634,751,801,2086,393,469,948,276,204,123,31,33,50,9,81,37,23,8,13,7854,3779,427,467,303,2582,4075,769,632,547,2127,19,0,0,0,0,0,19,0,0,7,12,1620,869,163,287,311,108,751,232,222,142,155,2309,1196,162,437,361,236,1113,145,339,413,216,113104,55207,5393,16199,15983,17632,57897,4850,17462,18008,17577,10574,5331,1932,1842,1012,545,5243,1364,1574,1413,892,42786,21775,7876,3723,312,1858,123,1860,10350,4815,444,2724,683,1684,3549,1570,109,793,286,791,21011,8342,2706,881,1507,974,2274,9390,2336,1278,2038,1621,2117,3279,504,379,342,1262,792,45583,2733,2087,1183,2563,3335,4668,284,3587,9546,5173,2594,2165,1698,1402,2565,42786,15654,3403,9262,4949,9518,36251,11965,2882,8082,4746,8576,1077,284,62,337,68,326,22,17,0,0,0,5,4709,3107,397,646,82,477,12,0,0,0,12,0,263,72,27,120,29,15,452,209,35,77,12,119,35209,11578,2787,7719,4644,8481,1437,472,131,502,165,167
40,NH,33,,,,,040C2US33,New Hampshire -- In metropolitan statistical area -- not in principal city,499027,244038,30042,270,3014,10265,11830,1175,3317,171,34732,169,1889,9279,7214,3087,10296,2798,38192,345,1302,9523,6946,3782,10855,5439,98991,1473,4460,27681,18101,9041,23979,14256,42081,1853,2923,10837,7396,2924,8333,7815,254989,29323,254,2429,6856,13408,1276,4564,536,33863,186,890,6705,5852,3428,11169,5633,40310,258,663,6887,7435,5012,12329,7726,101075,934,2577,25138,19727,13321,24923,14455,50418,2235,3563,19145,9342,3584,7121,5428,439662,213996,960,240,338,2302,1888,2872,3069,2745,57320,12724,26933,18834,53463,22455,4090,3763,225666,921,85,430,2177,1431,2217,2023,2022,57875,14211,28145,25345,55542,27169,3545,2528,439662,1881,13,14,5,40,134,119,121,647,698,3781,3319,5089,5092,4767,99365,15830,26935,55078,44179,109005,49624,7635,6291,421488,204776,13569,54904,56730,79573,216712,10370,55848,65527,84967,2986,1792,107,678,452,555,1194,95,308,498,293,394,245,0,91,69,85,149,5,32,83,29,8288,3658,321,592,470,2275,4630,578,941,760,2351,29,29,0,0,0,29,0,0,0,0,0,1783,997,133,323,185,356,786,63,254,182,287,4694,2499,284,732,585,898,2195,195,492,651,857,415792,201909,13180,54249,55943,78537,213883,10129,55218,64506,84030,7702,3876,544,944,1049,1339,3826,386,845,1236,1359,172555,83771,19990,8609,1033,4521,651,5176,47633,23864,2090,11703,1915,8061,16148,7660,620,3515,1274,3079,88784,26233,8918,3091,4439,3009,6776,50002,13124,6514,10577,8231,11556,12549,2997,1586,810,3741,3415,184893,9765,11258,6016,9866,13630,18125,1502,16077,36932,19751,10527,8973,7376,5681,9414,172555,65172,14934,35565,18821,38063,164540,60732,14227,34460,18372,36749,848,278,101,169,88,212,114,67,7,5,16,19,4626,2922,425,630,137,512,29,29,0,0,0,0,643,300,60,129,49,105,1755,844,114,172,159,466,162567,59881,14037,34033,18224,36392,2698,1209,213,579,197,500
40,NH,33,,,,,040E0US33,New Hampshire -- In micropolitan statistical area,364426,178778,23361,270,2237,7736,10191,857,2010,60,25644,114,2193,8051,5654,2599,5356,1677,25460,431,1664,8438,4843,2393,4804,2887,67900,1416,4298,24098,11860,6474,11306,8448,36413,1987,2596,11062,5489,2239,6034,7006,185648,22469,256,1498,5671,11984,742,2216,102,24428,304,1002,5775,5093,2296,6688,3270,25450,304,651,5598,5666,3066,5852,4313,69992,745,3074,19367,14003,8771,14588,9444,43309,1777,3037,15847,7849,3349,6532,4918,318596,155417,846,220,447,2435,1903,2970,3534,2344,51649,8391,19455,13705,27500,12189,4473,3356,163179,805,142,213,1970,1446,2378,2248,1692,46587,10298,22313,17482,33660,16815,2955,2175,318596,1651,14,18,17,6,86,221,277,383,714,3691,3349,5348,5782,4036,82965,15271,18689,41768,31187,61160,29004,7428,5531,306859,149233,13901,49706,40174,45452,157626,10192,45263,48875,53296,2494,1707,137,596,566,408,787,23,234,148,382,851,419,51,298,52,18,432,69,167,116,80,4148,1884,208,234,276,1166,2264,371,390,213,1290,118,59,14,0,5,40,59,0,5,17,37,713,448,48,187,150,63,265,62,43,93,67,3413,1667,340,628,328,371,1746,177,485,631,453,303890,147886,13613,49300,39816,45157,156004,10113,44923,48369,52599,4034,2029,451,636,520,422,2005,153,402,655,795,103123,47518,10797,5104,506,1857,529,2801,23681,10827,1383,4745,1884,4842,13040,6144,487,2282,1353,2774,55605,14933,4830,1943,1990,2152,4018,29222,7896,4331,4135,5799,7061,11450,2431,1332,773,3524,3390,110693,3980,8203,4154,6854,9623,6667,937,10706,16368,16053,7056,6620,5168,2519,5785,103123,37232,9982,15782,15241,24886,98748,35129,9525,15104,15040,23950,790,238,141,153,13,245,98,17,12,9,54,6,2456,1358,236,396,68,398,77,32,0,44,1,0,130,55,0,4,35,36,824,403,68,72,30,251,97756,34791,9424,15006,14885,23650,1217,418,121,133,188,357
40,NH,33,,,,,040E1US33,New Hampshire -- In micropolitan statistical area -- in principal city,97006,47344,6326,46,597,2022,2455,252,903,51,9037,27,782,2632,1986,819,2107,684,7183,197,476,2543,1417,522,1145,883,16647,438,1293,5920,2649,1485,2593,2269,8151,346,670,2534,1264,563,1115,1659,49662,7083,124,457,1712,3861,217,680,32,8336,141,390,1868,1645,740,2307,1245,6538,143,136,1341,1515,593,1596,1214,16231,240,934,4090,3208,1996,3458,2305,11474,581,772,4285,2048,1014,1409,1365,83597,41018,206,62,114,626,503,1020,1018,680,13629,2166,5150,3389,6960,3277,1401,817,42579,366,33,106,600,454,707,635,436,11584,2660,5756,4343,8770,4343,1104,682,83597,572,0,0,3,0,14,78,80,140,302,924,957,1727,1653,1116,20682,4531,4826,10906,7732,15730,7620,2505,1499,78107,37721,3687,12498,10060,11476,40386,2966,11157,12388,13875,1414,996,108,453,296,139,418,9,118,92,199,202,186,26,129,31,0,16,16,0,0,0,2226,1116,140,157,152,667,1110,234,129,93,654,46,29,10,0,0,19,17,0,0,17,0,291,226,16,104,98,8,65,20,6,21,18,1311,744,242,288,68,146,567,92,174,148,153,76984,37143,3515,12331,9876,11421,39841,2935,11117,12139,13650,1599,929,283,274,309,63,670,51,47,309,263,27354,12455,3746,2008,159,510,176,893,5935,2761,289,1181,451,1253,2774,1300,111,498,209,656,14899,4922,1791,605,586,590,1350,7203,2034,1005,1046,1284,1834,2774,664,354,148,835,773,29459,1191,2357,1106,2088,2845,1718,214,2737,4168,3677,1715,1907,1446,671,1619,27354,10558,2523,3969,3545,6759,25351,9371,2245,3751,3514,6470,338,96,79,68,0,95,0,0,0,0,0,0,1321,873,155,136,9,148,19,19,0,0,0,0,26,26,0,0,0,0,299,173,44,14,22,46,25071,9280,2214,3745,3447,6385,326,117,51,6,67,85
40,NH,33,,,,,040E2US33,New Hampshire -- In micropolitan statistical area -- not in principal city,267420,131434,17035,224,1640,5714,7736,605,1107,9,16607,87,1411,5419,3668,1780,3249,993,18277,234,1188,5895,3426,1871,3659,2004,51253,978,3005,18178,9211,4989,8713,6179,28262,1641,1926,8528,4225,1676,4919,5347,135986,15386,132,1041,3959,8123,525,1536,70,16092,163,612,3907,3448,1556,4381,2025,18912,161,515,4257,4151,2473,4256,3099,53761,505,2140,15277,10795,6775,11130,7139,31835,1196,2265,11562,5801,2335,5123,3553,234999,114399,640,158,333,1809,1400,1950,2516,1664,38020,6225,14305,10316,20540,8912,3072,2539,120600,439,109,107,1370,992,1671,1613,1256,35003,7638,16557,13139,24890,12472,1851,1493,234999,1079,14,18,14,6,72,143,197,243,412,2767,2392,3621,4129,2920,62283,10740,13863,30862,23455,45430,21384,4923,4032,228752,111512,10214,37208,30114,33976,117240,7226,34106,36487,39421,1080,711,29,143,270,269,369,14,116,56,183,649,233,25,169,21,18,416,53,167,116,80,1922,768,68,77,124,499,1154,137,261,120,636,72,30,4,0,5,21,42,0,5,0,37,422,222,32,83,52,55,200,42,37,72,49,2102,923,98,340,260,225,1179,85,311,483,300,226906,110743,10098,36969,29940,33736,116163,7178,33806,36230,38949,2435,1100,168,362,211,359,1335,102,355,346,532,75769,35063,7051,3096,347,1347,353,1908,17746,8066,1094,3564,1433,3589,10266,4844,376,1784,1144,2118,40706,10011,3039,1338,1404,1562,2668,22019,5862,3326,3089,4515,5227,8676,1767,978,625,2689,2617,81234,2789,5846,3048,4766,6778,4949,723,7969,12200,12376,5341,4713,3722,1848,4166,75769,26674,7459,11813,11696,18127,73397,25758,7280,11353,11526,17480,452,142,62,85,13,150,98,17,12,9,54,6,1135,485,81,260,59,250,58,13,0,44,1,0,104,29,0,4,35,36,525,230,24,58,8,205,72685,25511,7210,11261,11438,17265,891,301,70,127,121,272
