SummaryLevel,State,StateFIPS,CountyFIPS,PlaceFIPS,CBSACode,CongressDistrict,GEOID,AreaName,B15001_001,B15001_002,B15001_003,B15001_004,B15001_005,B15001_006,B15001_007,B15001_008,B15001_009,B15001_010,B15001_011,B15001_012,B15001_013,B15001_014,B15001_015,B15001_016,B15001_017,B15001_018,B15001_019,B15001_020,B15001_021,B15001_022,B15001_023,B15001_024,B15001_025,B15001_026,B15001_027,B15001_028,B15001_029,B15001_030,B15001_031,B15001_032,B15001_033,B15001_034,B15001_035,B15001_036,B15001_037,B15001_038,B15001_039,B15001_040,B15001_041,B15001_042,B15001_043,B15001_044,B15001_045,B15001_046,B15001_047,B15001_048,B15001_049,B15001_050,B15001_051,B15001_052,B15001_053,B15001_054,B15001_055,B15001_056,B15001_057,B15001_058,B15001_059,B15001_060,B15001_061,B15001_062,B15001_063,B15001_064,B15001_065,B15001_066,B15001_067,B15001_068,B15001_069,B15001_070,B15001_071,B15001_072,B15001_073,B15001_074,B15001_075,B15001_076,B15001_077,B15001_078,B15001_079,B15001_080,B15001_081,B15001_082,B15001_083,B15002_001,B15002_002,B15002_003,B15002_004,B15002_005,B15002_006,B15002_007,B15002_008,B15002_009,B15002_010,B15002_011,B15002_012,B15002_013,B15002_014,B15002_015,B15002_016,B15002_017,B15002_018,B15002_019,B15002_020,B15002_021,B15002_022,B15002_023,B15002_024,B15002_025,B15002_026,B15002_027,B15002_028,B15002_029,B15002_030,B15002_031,B15002_032,B15002_033,B15002_034,B15002_035,B15003_001,B15003_002,B15003_003,B15003_004,B15003_005,B15003_006,B15003_007,B15003_008,B15003_009,B15003_010,B15003_011,B15003_012,B15003_013,B15003_014,B15003_015,B15003_016,B15003_017,B15003_018,B15003_019,B15003_020,B15003_021,B15003_022,B15003_023,B15003_024,B15003_025,C15002A_001,C15002A_002,C15002A_003,C15002A_004,C15002A_005,C15002A_006,C15002A_007,C15002A_008,C15002A_009,C15002A_010,C15002A_011,C15002B_001,C15002B_002,C15002B_003,C15002B_004,C15002B_005,C15002B_006,C15002B_007,C15002B_008,C15002B_009,C15002B_010,C15002B_011,C15002C_001,C15002C_002,C15002C_003,C15002C_004,C15002C_005,C15002C_006,C15002C_007,C15002C_008,C15002C_009,C15002C_010,C15002C_011,C15002D_001,C15002D_002,C15002D_003,C15002D_004,C15002D_005,C15002D_006,C15002D_007,C15002D_008,C15002D_009,C15002D_010,C15002D_011,C15002E_001,C15002E_002,C15002E_003,C15002E_004,C15002E_005,C15002E_006,C15002E_007,C15002E_008,C15002E_009,C15002E_010,C15002E_011,C15002F_001,C15002F_002,C15002F_003,C15002F_004,C15002F_005,C15002F_006,C15002F_007,C15002F_008,C15002F_009,C15002F_010,C15002F_011,C15002G_001,C15002G_002,C15002G_003,C15002G_004,C15002G_005,C15002G_006,C15002G_007,C15002G_008,C15002G_009,C15002G_010,C15002G_011,C15002H_001,C15002H_002,C15002H_003,C15002H_004,C15002H_005,C15002H_006,C15002H_007,C15002H_008,C15002H_009,C15002H_010,C15002H_011,C15002I_001,C15002I_002,C15002I_003,C15002I_004,C15002I_005,C15002I_006,C15002I_007,C15002I_008,C15002I_009,C15002I_010,C15002I_011,B15011_001,B15011_002,B15011_003,B15011_004,B15011_005,B15011_006,B15011_007,B15011_008,B15011_009,B15011_010,B15011_011,B15011_012,B15011_013,B15011_014,B15011_015,B15011_016,B15011_017,B15011_018,B15011_019,B15011_020,B15011_021,B15011_022,B15011_023,B15011_024,B15011_025,B15011_026,B15011_027,B15011_028,B15011_029,B15011_030,B15011_031,B15011_032,B15011_033,B15011_034,B15011_035,B15011_036,B15011_037,B15011_038,B15011_039,B15012_001,B15012_002,B15012_003,B15012_004,B15012_005,B15012_006,B15012_007,B15012_008,B15012_009,B15012_010,B15012_011,B15012_012,B15012_013,B15012_014,B15012_015,B15012_016,C15010_001,C15010_002,C15010_003,C15010_004,C15010_005,C15010_006,C15010A_001,C15010A_002,C15010A_003,C15010A_004,C15010A_005,C15010A_006,C15010B_001,C15010B_002,C15010B_003,C15010B_004,C15010B_005,C15010B_006,C15010C_001,C15010C_002,C15010C_003,C15010C_004,C15010C_005,C15010C_006,C15010D_001,C15010D_002,C15010D_003,C15010D_004,C15010D_005,C15010D_006,C15010E_001,C15010E_002,C15010E_003,C15010E_004,C15010E_005,C15010E_006,C15010F_001,C15010F_002,C15010F_003,C15010F_004,C15010F_005,C15010F_006,C15010G_001,C15010G_002,C15010G_003,C15010G_004,C15010G_005,C15010G_006,C15010H_001,C15010H_002,C15010H_003,C15010H_004,C15010H_005,C15010H_006,C15010I_001,C15010I_002,C15010I_003,C15010I_004,C15010I_005,C15010I_006
40,NM,35,,,,,04000US35,New Mexico,1580919,775105,107363,2204,20453,33817,42546,4361,3778,204,141960,5391,17254,42321,37857,11719,18366,9052,122794,7295,12722,35899,29047,10367,16456,11008,258103,18245,20898,74712,57041,18502,38753,29952,144885,15511,10697,33675,28999,6973,22833,26197,805814,99636,1770,14085,25811,45732,5410,6165,663,134790,3841,11913,28471,39132,16466,23295,11672,121965,6078,11055,27331,28876,12998,20818,14809,276022,16572,18656,70548,65366,25179,43509,36192,173401,19885,15188,49670,36562,8770,22217,21109,1373920,667742,8949,7306,16349,13838,13803,16990,18822,11956,186607,38029,114915,47561,96408,48232,12318,15659,706178,9407,6783,15779,14407,13190,14810,18747,10065,176020,44097,125839,63413,109839,65194,9591,8997,1373920,18356,169,320,950,2654,6034,3962,5612,26516,8258,19987,26993,31800,37569,22021,298867,63760,82126,240754,110974,206247,113426,21909,24656,1046556,507224,71382,134217,152905,148720,539332,68920,129613,177089,163710,24736,13957,1473,3263,5594,3627,10779,917,2355,3959,3548,114242,53153,11620,19953,17037,4543,61089,11968,18191,23213,7717,20986,8667,1005,1106,1787,4769,12319,1778,2294,2692,5555,738,314,46,66,157,45,424,33,105,251,35,135940,68418,20298,23777,17854,6489,67522,18205,20303,20360,8654,30722,16009,2189,4225,5171,4424,14713,1367,3159,5785,4402,621828,302591,17933,66898,98966,118794,319237,16464,65341,110895,126537,582803,284396,76165,94524,75599,38108,298407,72164,87661,90680,47902,366238,172617,41160,20694,2843,6778,1950,8895,82427,38755,4976,15098,7077,16521,49030,22796,2107,8680,6112,9335,193621,52582,16814,6130,8046,7164,14428,97713,23998,11986,15979,22207,23543,43326,8335,4759,3060,15029,12143,395833,14123,27922,18756,18462,31230,31779,2067,35173,59826,62067,20666,20795,19989,10534,22444,366238,131392,32801,57641,59539,84865,312430,111830,27815,47561,51627,73597,7175,2378,790,1541,943,1523,12260,3970,1260,1813,2303,2914,10324,5360,978,1373,903,1710,80,22,13,19,0,26,15143,4135,1324,4012,2798,2874,8826,3697,621,1322,965,2221,245331,92131,21121,33795,38631,59653,86010,25347,8424,18270,16356,17613
40,NM,35,,,,,04001US35,New Mexico -- Urban,1223746,593743,86346,1617,15635,26158,35618,3661,3467,190,114484,4193,12533,32503,31521,9824,15637,8273,96462,5288,9737,27121,22561,8053,14103,9599,191676,13512,14153,53016,42369,14196,29983,24447,104775,11168,7204,23583,20767,5283,17220,19550,630003,80467,1424,10823,20314,37678,4432,5363,433,111292,3221,9596,22314,32337,13706,19977,10141,98328,5106,8651,21081,22500,10812,17419,12759,207886,13537,13345,53247,48538,18405,32870,27944,132030,14430,11502,37941,28432,7025,16735,15965,1056933,507397,6949,5115,12455,9642,10542,11811,12245,9029,136223,29889,87329,37356,76943,38920,9836,13113,549536,7247,5225,12674,11148,10218,10647,14187,8042,134583,35330,96477,49948,87001,52217,7652,6940,1056933,14196,161,287,656,1951,4270,3015,4092,21037,6200,14590,20760,22458,26432,17071,221839,48967,65219,183806,87304,163944,91137,17488,20053,823012,393716,53713,101491,119840,118672,429296,55551,102738,141187,129820,22433,12448,1204,2847,5041,3356,9985,845,2130,3677,3333,56134,25261,4324,8747,9178,3012,30873,4791,8294,12962,4826,18888,7923,864,1020,1607,4432,10965,1689,1978,2225,5073,644,277,27,63,147,40,367,33,97,206,31,110382,54710,15938,18832,14432,5508,55672,15471,16607,16595,6999,25440,13062,1718,3223,4329,3792,12378,1008,2739,4903,3728,477536,230832,12752,48129,76167,93784,246704,12410,49297,86079,98918,473755,226456,58620,74723,61242,31871,247299,59690,72510,75333,39766,292622,138812,35856,18132,2513,5953,1713,7545,66186,30950,4196,12393,5280,13367,36770,16989,1609,6609,4806,6757,153810,44871,14332,5243,6965,5860,12471,76239,18882,9446,12760,16813,18338,32700,6490,3562,2446,11020,9182,317236,11743,20880,14643,14946,26157,26553,1810,28497,48884,47516,17143,16603,15153,8839,17869,292622,105775,26569,47126,45492,67660,248492,89433,22378,38398,40002,58281,6689,2143,676,1528,879,1463,7838,2713,830,1134,1104,2057,9505,4915,927,1289,817,1557,71,18,13,19,0,21,12507,3448,1183,3610,1928,2338,7520,3105,562,1148,762,1943,192702,72856,16669,26718,29716,46743,71637,21236,7234,15757,12731,14679
40,NM,35,,,,,04043US35,New Mexico -- Rural,357173,181362,21017,587,4818,7659,6928,700,311,14,27476,1198,4721,9818,6336,1895,2729,779,26332,2007,2985,8778,6486,2314,2353,1409,66427,4733,6745,21696,14672,4306,8770,5505,40110,4343,3493,10092,8232,1690,5613,6647,175811,19169,346,3262,5497,8054,978,802,230,23498,620,2317,6157,6795,2760,3318,1531,23637,972,2404,6250,6376,2186,3399,2050,68136,3035,5311,17301,16828,6774,10639,8248,41371,5455,3686,11729,8130,1745,5482,5144,316987,160345,2000,2191,3894,4196,3261,5179,6577,2927,50384,8140,27586,10205,19465,9312,2482,2546,156642,2160,1558,3105,3259,2972,4163,4560,2023,41437,8767,29362,13465,22838,12977,1939,2057,316987,4160,8,33,294,703,1764,947,1520,5479,2058,5397,6233,9342,11137,4950,77028,14793,16907,56948,23670,42303,22289,4421,4603,223544,113508,17669,32726,33065,30048,110036,13369,26875,35902,33890,2303,1509,269,416,553,271,794,72,225,282,215,58108,27892,7296,11206,7859,1531,30216,7177,9897,10251,2891,2098,744,141,86,180,337,1354,89,316,467,482,94,37,19,3,10,5,57,0,8,45,4,25558,13708,4360,4945,3422,981,11850,2734,3696,3765,1655,5282,2947,471,1002,842,632,2335,359,420,882,674,144292,71759,5181,18769,22799,25010,72533,4054,16044,24816,27619,109048,57940,17545,19801,14357,6237,51108,12474,15151,15347,8136,73616,33805,5304,2562,330,825,237,1350,16241,7805,780,2705,1797,3154,12260,5807,498,2071,1306,2578,39811,7711,2482,887,1081,1304,1957,21474,5116,2540,3219,5394,5205,10626,1845,1197,614,4009,2961,78597,2380,7042,4113,3516,5073,5226,257,6676,10942,14551,3523,4192,4836,1695,4575,73616,25617,6232,10515,14047,17205,63938,22397,5437,9163,11625,15316,486,235,114,13,64,60,4422,1257,430,679,1199,857,819,445,51,84,86,153,9,4,0,0,0,5,2636,687,141,402,870,536,1306,592,59,174,203,278,52629,19275,4452,7077,8915,12910,14373,4111,1190,2513,3625,2934
40,NM,35,,,,,040A0US35,New Mexico -- In metropolitan or micropolitan statistical area,1522143,745001,103702,2138,19724,32398,41224,4307,3709,202,137887,5290,16680,40788,37045,11465,17608,9011,119125,7195,11995,34579,28097,10135,16176,10948,247929,17713,19888,70551,54941,17991,37582,29263,136358,14623,9722,30937,27190,6589,21780,25517,777142,96763,1662,13668,24922,44774,5261,5952,524,131728,3760,11575,27647,38204,16080,23003,11459,118468,6020,10562,26481,27828,12613,20465,14499,265616,15982,17937,67316,62672,24086,42179,35444,164567,19160,14334,46101,34690,8423,21397,20462,1321678,641299,8660,7095,16112,12954,13191,15920,17744,11430,176855,36415,110858,46180,93146,47204,12179,15356,680379,9201,6622,15499,13600,12687,14056,17927,9738,167545,42309,121085,61202,107044,63541,9440,8883,1321678,17861,138,320,930,2562,5826,3941,5445,26166,7732,18822,25878,29976,35671,21168,284247,60153,78724,231943,107382,200190,110745,21619,24239,1001754,484772,67741,126022,146662,144347,516982,65749,122365,169476,159392,24431,13780,1445,3173,5544,3618,10651,914,2316,3904,3517,112680,52379,11228,19746,16896,4509,60301,11806,17796,23039,7660,20767,8602,981,1104,1787,4730,12165,1737,2256,2687,5485,738,314,46,66,157,45,424,33,105,251,35,131704,66111,19612,22823,17330,6346,65593,17826,19637,19598,8532,29604,15341,2053,3921,5077,4290,14263,1265,3070,5641,4287,594768,289106,16353,62324,95013,115416,305662,15473,61354,105644,123191,560088,272724,73336,89790,72647,36951,287364,69510,83509,87544,46801,356793,167885,40180,20061,2814,6635,1912,8758,80408,37702,4873,14808,6797,16228,47297,21956,2063,8294,5964,9020,188908,51755,16626,6011,7929,6962,14227,95294,23515,11715,15579,21432,23053,41859,8047,4675,2966,14402,11769,385890,13863,26842,18018,18123,30594,31197,2013,34516,58335,59935,20355,20264,19655,10295,21885,356793,127907,32151,56211,57469,83055,303739,108605,27235,46233,49773,71893,7135,2366,790,1541,915,1523,12169,3963,1260,1804,2256,2886,10215,5296,960,1354,895,1710,80,22,13,19,0,26,14878,4040,1308,3960,2703,2867,8577,3615,585,1300,927,2150,238607,89562,20654,32807,37275,58309,83752,24596,8295,17870,15741,17250
40,NM,35,,,,,040C0US35,New Mexico -- In metropolitan statistical area,1060564,515389,70051,1357,12933,20679,28838,3135,2919,190,96309,3488,10674,26468,26380,8319,13646,7334,83539,4901,7628,22491,19050,7107,13250,9112,172726,11253,11464,46838,38025,12803,29005,23338,92764,8646,5606,20066,17821,4623,16277,19725,545175,67765,1022,9139,16135,32962,3485,4578,444,92932,2862,7650,17547,26520,10757,18188,9408,84051,4173,6729,17163,19387,8880,16232,11487,187079,10362,10791,45597,44033,16098,32386,27812,113348,11549,8711,30987,24401,6170,16076,15454,922748,445338,5543,4412,10873,7460,8221,9358,10416,7377,115863,24775,76501,32852,72178,37288,10318,11903,477410,5823,4222,10613,8288,7854,8102,11082,6843,111294,29308,85033,41905,82882,49289,8076,6796,922748,11366,122,197,672,1705,3413,2525,3544,17942,4362,11386,16075,17460,21498,14220,187114,40043,54083,161534,74757,155060,86577,18394,18699,713005,342542,42725,84067,102550,113200,370463,42852,83830,119224,124557,17767,9939,915,2228,3866,2930,7828,555,1343,3087,2843,62918,29536,5469,10505,10460,3102,33382,5661,8716,13801,5204,16977,7055,789,962,1439,3865,9922,1426,1772,2210,4514,481,259,40,66,108,45,222,16,41,142,23,89203,44382,12363,15164,11815,5040,44821,11476,13416,13596,6333,22397,11625,1359,2871,3890,3505,10772,841,2176,4186,3569,421193,203571,8963,40170,64762,89676,217622,9054,39661,73275,95632,396799,191153,47636,61425,52202,29890,205646,46238,59630,62722,37056,278730,131687,32377,16149,2284,5431,1273,7240,63308,29845,3703,12110,4835,12815,36002,16967,1592,6146,4380,6917,147043,41382,14009,5114,6062,4859,11338,74131,18687,9523,12581,14768,18572,31530,6340,3623,2188,9580,9799,301735,11090,20346,12634,14723,25947,25562,1637,27798,46147,41653,16575,16270,16553,8620,16180,278730,101997,25839,44518,39695,66681,237757,86370,21723,36700,34951,58013,5773,1995,733,1235,586,1224,8306,2813,901,1202,1328,2062,8379,4526,821,977,651,1404,68,10,13,19,0,26,11373,3324,1138,3194,1451,2266,7074,2959,510,1191,728,1686,185308,70430,16198,25666,25965,47049,66946,20620,6999,14624,10857,13846
40,NM,35,,,,,040C1US35,New Mexico -- In metropolitan statistical area -- in principal city,602916,289827,40693,810,7126,11179,17149,1824,2433,172,60355,1759,5430,14765,17246,5086,10043,6026,49326,2340,4274,11955,11181,4228,8895,6453,91492,4846,5345,22853,20084,6755,16828,14781,47961,3219,2392,9459,9524,2472,9569,11326,313089,39940,521,4689,9121,19792,2268,3221,328,58477,1708,4162,9880,16644,6570,12218,7295,49245,2172,3430,8998,10777,5269,10654,7945,100673,4908,5018,23570,23608,8494,18983,16092,64754,5338,4163,17737,14886,3330,9883,9417,522283,249134,2855,1912,4319,3078,4308,4316,4530,4287,59032,14409,43626,18541,45335,23464,7083,8039,273149,3298,1774,5058,3996,3736,3895,5507,3635,60185,17251,48664,23663,51738,31020,5492,4237,522283,6153,86,137,248,628,1412,1175,1569,7808,2039,5035,8044,8211,10037,7922,98338,20879,31660,92290,42204,97073,54484,12575,12276,406059,192923,20071,43517,58078,71257,213136,20673,45889,68962,77612,13297,7207,668,1551,2784,2204,6090,508,955,2338,2289,22938,10404,1360,2824,4531,1689,12534,1517,2625,5745,2647,13006,5531,731,742,1123,2935,7475,1211,1289,1560,3415,346,189,27,35,108,19,157,16,28,103,10,52185,25176,5899,8675,7292,3310,27009,6532,7868,8524,4085,14452,7704,849,1688,2660,2507,6748,442,1531,2346,2429,246543,117913,4452,20748,36483,56230,128630,4621,21671,42674,59664,221670,104898,22428,32635,30566,19269,116772,23032,33344,36842,23554,176408,83921,24400,12389,1780,4049,854,5328,38626,18062,2124,7439,2895,8106,20895,9927,1026,3664,2473,3805,92487,29229,9983,3418,4183,3202,8443,43958,11081,5544,7585,8468,11280,19300,4012,2050,1338,5655,6245,191792,7143,12461,7731,9570,17320,16522,1238,17121,29398,24864,11312,10711,10841,5710,9850,176408,65454,15942,28258,23547,43207,148869,54826,13183,22712,21033,37115,4493,1524,563,1007,445,954,4336,1396,440,632,433,1435,6350,3529,652,752,390,1027,29,6,4,19,0,0,7395,2136,696,2357,796,1410,4936,2037,404,779,450,1266,115894,44513,9777,15683,15950,29971,42823,13404,4343,9678,6222,9176
40,NM,35,,,,,040C2US35,New Mexico -- In metropolitan statistical area -- not in principal city,457648,225562,29358,547,5807,9500,11689,1311,486,18,35954,1729,5244,11703,9134,3233,3603,1308,34213,2561,3354,10536,7869,2879,4355,2659,81234,6407,6119,23985,17941,6048,12177,8557,44803,5427,3214,10607,8297,2151,6708,8399,232086,27825,501,4450,7014,13170,1217,1357,116,34455,1154,3488,7667,9876,4187,5970,2113,34806,2001,3299,8165,8610,3611,5578,3542,86406,5454,5773,22027,20425,7604,13403,11720,48594,6211,4548,13250,9515,2840,6193,6037,400465,196204,2688,2500,6554,4382,3913,5042,5886,3090,56831,10366,32875,14311,26843,13824,3235,3864,204261,2525,2448,5555,4292,4118,4207,5575,3208,51109,12057,36369,18242,31144,18269,2584,2559,400465,5213,36,60,424,1077,2001,1350,1975,10134,2323,6351,8031,9249,11461,6298,88776,19164,22423,69244,32553,57987,32093,5819,6423,306946,149619,22654,40550,44472,41943,157327,22179,37941,50262,46945,4470,2732,247,677,1082,726,1738,47,388,749,554,39980,19132,4109,7681,5929,1413,20848,4144,6091,8056,2557,3971,1524,58,220,316,930,2447,215,483,650,1099,135,70,13,31,0,26,65,0,13,39,13,37018,19206,6464,6489,4523,1730,17812,4944,5548,5072,2248,7945,3921,510,1183,1230,998,4024,399,645,1840,1140,174650,85658,4511,19422,28279,33446,88992,4433,17990,30601,35968,175129,86255,25208,28790,21636,10621,88874,23206,26286,25880,13502,102322,47766,7977,3760,504,1382,419,1912,24682,11783,1579,4671,1940,4709,15107,7040,566,2482,1907,3112,54556,12153,4026,1696,1879,1657,2895,30173,7606,3979,4996,6300,7292,12230,2328,1573,850,3925,3554,109943,3947,7885,4903,5153,8627,9040,399,10677,16749,16789,5263,5559,5712,2910,6330,102322,36543,9897,16260,16148,23474,88888,31544,8540,13988,13918,20898,1280,471,170,228,141,270,3970,1417,461,570,895,627,2029,997,169,225,261,377,39,4,9,0,0,26,3978,1188,442,837,655,856,2138,922,106,412,278,420,69414,25917,6421,9983,10015,17078,24123,7216,2656,4946,4635,4670
40,NM,35,,,,,040E0US35,New Mexico -- In micropolitan statistical area,461579,229612,33651,781,6791,11719,12386,1172,790,12,41578,1802,6006,14320,10665,3146,3962,1677,35586,2294,4367,12088,9047,3028,2926,1836,75203,6460,8424,23713,16916,5188,8577,5925,43594,5977,4116,10871,9369,1966,5503,5792,231967,28998,640,4529,8787,11812,1776,1374,80,38796,898,3925,10100,11684,5323,4815,2051,34417,1847,3833,9318,8441,3733,4233,3012,78537,5620,7146,21719,18639,7988,9793,7632,51219,7611,5623,15114,10289,2253,5321,5008,398930,195961,3117,2683,5239,5494,4970,6562,7328,4053,60992,11640,34357,13328,20968,9916,1861,3453,202969,3378,2400,4886,5312,4833,5954,6845,2895,56251,13001,36052,19297,24162,14252,1364,2087,398930,6495,16,123,258,857,2413,1416,1901,8224,3370,7436,9803,12516,14173,6948,97133,20110,24641,70409,32625,45130,24168,3225,5540,288749,142230,25016,41955,44112,31147,146519,22897,38535,50252,34835,6664,3841,530,945,1678,688,2823,359,973,817,674,49762,22843,5759,9241,6436,1407,26919,6145,9080,9238,2456,3790,1547,192,142,348,865,2243,311,484,477,971,257,55,6,0,49,0,202,17,64,109,12,42501,21729,7249,7659,5515,1306,20772,6350,6221,6002,2199,7207,3716,694,1050,1187,785,3491,424,894,1455,718,173575,85535,7390,22154,30251,25740,88040,6419,21693,32369,27559,163289,81571,25700,28365,20445,7061,81718,23272,23879,24822,9745,78063,36198,7803,3912,530,1204,639,1518,17100,7857,1170,2698,1962,3413,11295,4989,471,2148,1584,2103,41865,10373,2617,897,1867,2103,2889,21163,4828,2192,2998,6664,4481,10329,1707,1052,778,4822,1970,84155,2773,6496,5384,3400,4647,5635,376,6718,12188,18282,3780,3994,3102,1675,5705,78063,25910,6312,11693,17774,16374,65982,22235,5512,9533,14822,13880,1362,371,57,306,329,299,3863,1150,359,602,928,824,1836,770,139,377,244,306,12,12,0,0,0,0,3505,716,170,766,1252,601,1503,656,75,109,199,464,53299,19132,4456,7141,11310,11260,16806,3976,1296,3246,4884,3404
40,NM,35,,,,,040E1US35,New Mexico -- In micropolitan statistical area -- in principal city,228134,112171,18013,343,3401,6313,6793,661,490,12,22127,894,2870,7010,5919,1722,2395,1317,17945,794,2330,5876,4526,1401,1637,1381,33944,2854,3428,9600,7575,2454,4517,3516,20142,2691,1643,4822,4599,1066,2538,2783,115963,15230,374,2296,4288,6491,785,942,54,21207,554,2128,5101,5901,3219,3038,1266,18040,999,2149,4680,4132,2187,2083,1810,36293,2716,3073,10114,8035,3523,4978,3854,25193,3295,2860,7658,5218,1177,2537,2448,194891,94158,1499,1212,2424,2098,2485,3124,2895,1767,27308,6361,16258,6643,11087,5737,826,2434,100733,1731,1124,2211,2498,2416,2677,3443,1674,27553,6699,16587,10106,12636,7663,684,1031,194891,3230,16,107,109,464,1012,628,828,3807,1540,3056,4901,5801,6338,3441,44104,10757,13060,32845,16749,23723,13400,1510,3465,154018,74172,12363,21425,23231,17153,79846,12511,21533,27075,18727,5334,2961,432,748,1243,538,2373,271,832,724,546,7993,3313,644,1012,1161,496,4680,1022,1434,1616,608,2788,1100,79,93,227,701,1688,263,389,326,710,126,48,0,0,48,0,78,17,22,27,12,20435,10385,3539,3514,2728,604,10050,3425,2870,2804,951,4197,2179,447,516,624,592,2018,265,473,820,460,93344,45598,3971,11031,16334,14262,47746,3563,11907,17473,14803,83845,40443,12369,14224,10080,3770,43402,12640,12839,12869,5054,42098,20084,5152,2670,349,759,461,913,9611,4382,672,1591,1027,1939,5321,2349,225,948,822,977,22014,6082,1631,563,1067,1190,1631,10947,2690,1190,1458,3446,2163,4985,861,477,392,2425,830,45776,1679,3041,3290,1759,3144,3201,279,3722,6524,9615,2090,2241,1184,875,3132,42098,14583,3476,6215,9371,8453,35880,12378,3122,5167,8259,6954,1084,303,47,228,257,249,1104,408,117,115,150,314,1411,654,67,314,162,214,12,12,0,0,0,0,1555,368,101,307,418,361,1052,460,22,84,125,361,29065,10727,2376,3818,6466,5678,8824,2120,881,1742,2308,1773
40,NM,35,,,,,040E2US35,New Mexico -- In micropolitan statistical area -- not in principal city,233445,117441,15638,438,3390,5406,5593,511,300,0,19451,908,3136,7310,4746,1424,1567,360,17641,1500,2037,6212,4521,1627,1289,455,41259,3606,4996,14113,9341,2734,4060,2409,23452,3286,2473,6049,4770,900,2965,3009,116004,13768,266,2233,4499,5321,991,432,26,17589,344,1797,4999,5783,2104,1777,785,16377,848,1684,4638,4309,1546,2150,1202,42244,2904,4073,11605,10604,4465,4815,3778,26026,4316,2763,7456,5071,1076,2784,2560,204039,101803,1618,1471,2815,3396,2485,3438,4433,2286,33684,5279,18099,6685,9881,4179,1035,1019,102236,1647,1276,2675,2814,2417,3277,3402,1221,28698,6302,19465,9191,11526,6589,680,1056,204039,3265,0,16,149,393,1401,788,1073,4417,1830,4380,4902,6715,7835,3507,53029,9353,11581,37564,15876,21407,10768,1715,2075,134731,68058,12653,20530,20881,13994,66673,10386,17002,23177,16108,1330,880,98,197,435,150,450,88,141,93,128,41769,19530,5115,8229,5275,911,22239,5123,7646,7622,1848,1002,447,113,49,121,164,555,48,95,151,261,131,7,6,0,1,0,124,0,42,82,0,22066,11344,3710,4145,2787,702,10722,2925,3351,3198,1248,3010,1537,247,534,563,193,1473,159,421,635,258,80231,39937,3419,11123,13917,11478,40294,2856,9786,14896,12756,79444,41128,13331,14141,10365,3291,38316,10632,11040,11953,4691,35965,16114,2651,1242,181,445,178,605,7489,3475,498,1107,935,1474,5974,2640,246,1200,762,1126,19851,4291,986,334,800,913,1258,10216,2138,1002,1540,3218,2318,5344,846,575,386,2397,1140,38379,1094,3455,2094,1641,1503,2434,97,2996,5664,8667,1690,1753,1918,800,2573,35965,11327,2836,5478,8403,7921,30102,9857,2390,4366,6563,6926,278,68,10,78,72,50,2759,742,242,487,778,510,425,116,72,63,82,92,0,0,0,0,0,0,1950,348,69,459,834,240,451,196,53,25,74,103,24234,8405,2080,3323,4844,5582,7982,1856,415,1504,2576,1631
