SummaryLevel,State,StateFIPS,CountyFIPS,PlaceFIPS,CBSACode,CongressDistrict,GEOID,AreaName,B15001_001,B15001_002,B15001_003,B15001_004,B15001_005,B15001_006,B15001_007,B15001_008,B15001_009,B15001_010,B15001_011,B15001_012,B15001_013,B15001_014,B15001_015,B15001_016,B15001_017,B15001_018,B15001_019,B15001_020,B15001_021,B15001_022,B15001_023,B15001_024,B15001_025,B15001_026,B15001_027,B15001_028,B15001_029,B15001_030,B15001_031,B15001_032,B15001_033,B15001_034,B15001_035,B15001_036,B15001_037,B15001_038,B15001_039,B15001_040,B15001_041,B15001_042,B15001_043,B15001_044,B15001_045,B15001_046,B15001_047,B15001_048,B15001_049,B15001_050,B15001_051,B15001_052,B15001_053,B15001_054,B15001_055,B15001_056,B15001_057,B15001_058,B15001_059,B15001_060,B15001_061,B15001_062,B15001_063,B15001_064,B15001_065,B15001_066,B15001_067,B15001_068,B15001_069,B15001_070,B15001_071,B15001_072,B15001_073,B15001_074,B15001_075,B15001_076,B15001_077,B15001_078,B15001_079,B15001_080,B15001_081,B15001_082,B15001_083,B15002_001,B15002_002,B15002_003,B15002_004,B15002_005,B15002_006,B15002_007,B15002_008,B15002_009,B15002_010,B15002_011,B15002_012,B15002_013,B15002_014,B15002_015,B15002_016,B15002_017,B15002_018,B15002_019,B15002_020,B15002_021,B15002_022,B15002_023,B15002_024,B15002_025,B15002_026,B15002_027,B15002_028,B15002_029,B15002_030,B15002_031,B15002_032,B15002_033,B15002_034,B15002_035,B15003_001,B15003_002,B15003_003,B15003_004,B15003_005,B15003_006,B15003_007,B15003_008,B15003_009,B15003_010,B15003_011,B15003_012,B15003_013,B15003_014,B15003_015,B15003_016,B15003_017,B15003_018,B15003_019,B15003_020,B15003_021,B15003_022,B15003_023,B15003_024,B15003_025,C15002A_001,C15002A_002,C15002A_003,C15002A_004,C15002A_005,C15002A_006,C15002A_007,C15002A_008,C15002A_009,C15002A_010,C15002A_011,C15002B_001,C15002B_002,C15002B_003,C15002B_004,C15002B_005,C15002B_006,C15002B_007,C15002B_008,C15002B_009,C15002B_010,C15002B_011,C15002C_001,C15002C_002,C15002C_003,C15002C_004,C15002C_005,C15002C_006,C15002C_007,C15002C_008,C15002C_009,C15002C_010,C15002C_011,C15002D_001,C15002D_002,C15002D_003,C15002D_004,C15002D_005,C15002D_006,C15002D_007,C15002D_008,C15002D_009,C15002D_010,C15002D_011,C15002E_001,C15002E_002,C15002E_003,C15002E_004,C15002E_005,C15002E_006,C15002E_007,C15002E_008,C15002E_009,C15002E_010,C15002E_011,C15002F_001,C15002F_002,C15002F_003,C15002F_004,C15002F_005,C15002F_006,C15002F_007,C15002F_008,C15002F_009,C15002F_010,C15002F_011,C15002G_001,C15002G_002,C15002G_003,C15002G_004,C15002G_005,C15002G_006,C15002G_007,C15002G_008,C15002G_009,C15002G_010,C15002G_011,C15002H_001,C15002H_002,C15002H_003,C15002H_004,C15002H_005,C15002H_006,C15002H_007,C15002H_008,C15002H_009,C15002H_010,C15002H_011,C15002I_001,C15002I_002,C15002I_003,C15002I_004,C15002I_005,C15002I_006,C15002I_007,C15002I_008,C15002I_009,C15002I_010,C15002I_011,B15011_001,B15011_002,B15011_003,B15011_004,B15011_005,B15011_006,B15011_007,B15011_008,B15011_009,B15011_010,B15011_011,B15011_012,B15011_013,B15011_014,B15011_015,B15011_016,B15011_017,B15011_018,B15011_019,B15011_020,B15011_021,B15011_022,B15011_023,B15011_024,B15011_025,B15011_026,B15011_027,B15011_028,B15011_029,B15011_030,B15011_031,B15011_032,B15011_033,B15011_034,B15011_035,B15011_036,B15011_037,B15011_038,B15011_039,B15012_001,B15012_002,B15012_003,B15012_004,B15012_005,B15012_006,B15012_007,B15012_008,B15012_009,B15012_010,B15012_011,B15012_012,B15012_013,B15012_014,B15012_015,B15012_016,C15010_001,C15010_002,C15010_003,C15010_004,C15010_005,C15010_006,C15010A_001,C15010A_002,C15010A_003,C15010A_004,C15010A_005,C15010A_006,C15010B_001,C15010B_002,C15010B_003,C15010B_004,C15010B_005,C15010B_006,C15010C_001,C15010C_002,C15010C_003,C15010C_004,C15010C_005,C15010C_006,C15010D_001,C15010D_002,C15010D_003,C15010D_004,C15010D_005,C15010D_006,C15010E_001,C15010E_002,C15010E_003,C15010E_004,C15010E_005,C15010E_006,C15010F_001,C15010F_002,C15010F_003,C15010F_004,C15010F_005,C15010F_006,C15010G_001,C15010G_002,C15010G_003,C15010G_004,C15010G_005,C15010G_006,C15010H_001,C15010H_002,C15010H_003,C15010H_004,C15010H_005,C15010H_006,C15010I_001,C15010I_002,C15010I_003,C15010I_004,C15010I_005,C15010I_006
40,NV,32,,,,,04000US32,Nevada,2174540,1086633,129403,2603,25104,48220,43509,5061,4540,366,207583,9064,21733,65862,55805,15375,30793,8951,194585,13909,19347,56330,48260,14170,28428,14141,365711,23389,29010,105208,96689,27399,54030,29986,189351,11642,12850,47544,48404,13394,31704,23813,1087907,123012,1737,18252,40061,48254,6338,7640,730,199872,6258,19876,48752,56292,17718,37881,13095,188682,12582,16052,48769,46785,17420,30221,16853,364837,24637,24829,102991,94652,32305,55486,29937,211504,15723,19339,68832,52978,14390,25036,15206,1922125,957230,14956,7027,22735,13286,16692,16909,23351,25988,274944,67681,181477,70338,144955,48391,18098,10402,964895,15168,8018,22487,13527,16800,17181,22302,23813,269344,75467,175240,81833,148624,57364,11604,6123,1922125,30124,310,528,1050,2456,6143,4558,7179,38043,8655,18158,33492,34090,45653,49801,466140,78148,143148,356717,152171,293579,105755,29702,16525,1372630,694837,88025,196351,237378,173083,677793,84512,192660,240455,160166,153177,75595,9249,25952,29174,11220,77582,9248,22357,31378,14599,20841,9727,1671,3494,3596,966,11114,1968,3572,4319,1255,165622,70822,6814,14739,23170,26099,94800,11799,20222,27944,34835,11332,5765,803,2102,2139,721,5567,462,2089,2175,841,144610,74163,31122,25090,13911,4040,70447,28493,21706,14839,5409,53913,26321,3260,7216,10128,5717,27592,2814,6738,11430,6610,1110630,563411,40407,156045,206065,160894,547219,38185,155645,207277,146112,427495,216439,81477,68937,48764,17261,211056,77275,61299,51512,20970,445561,221846,60556,24072,3722,14892,2576,15294,105773,40897,6759,29170,7313,21634,55517,24275,3043,14092,5815,8292,223715,74130,19981,9253,15131,9387,20378,109343,23915,16410,25246,19302,24470,40242,7627,5895,5666,12880,8174,475415,17533,26211,17896,21458,34245,32379,3034,48510,107362,59840,17999,20804,18358,18252,31534,445561,140767,45082,104197,57273,98242,333249,105930,28656,74577,47095,76991,25819,7316,2517,5858,3156,6972,2221,771,149,403,255,643,60934,19827,11642,16902,4305,8258,1562,393,167,384,223,395,9449,2376,812,2901,1176,2184,12327,4154,1139,3172,1063,2799,307006,98128,26503,67328,43456,71591,38231,10920,3222,10921,5136,8032
40,NV,32,,,,,04001US32,Nevada -- Urban,2042945,1014427,122319,2342,23001,45391,41967,4819,4441,358,196458,8625,19846,61663,53049,14710,29885,8680,184177,13294,18264,52492,45871,13209,27365,13682,339397,22557,27091,96471,89017,25759,50667,27835,172076,10758,11660,43244,43608,12036,29048,21722,1028518,118512,1717,17536,38241,46813,6033,7456,716,192047,6175,19349,46350,53588,17001,36828,12756,181322,12415,15584,47227,44618,16271,28962,16245,340831,24083,23109,95894,87583,30274,52060,27828,195806,15172,17874,63707,48295,13200,23474,14084,1802114,892108,14459,6628,21958,12189,15780,15291,21101,24689,253870,63069,168476,65714,136965,44929,17182,9808,910006,14771,7873,22117,13084,16253,15962,20849,22852,253178,70657,163427,76746,141324,54165,11002,5746,1802114,29230,302,509,1008,2297,5948,4437,6907,37168,8266,17007,32033,31253,41950,47541,435827,71221,133726,331903,142460,278289,99094,28184,15554,1270324,640672,81845,179159,218474,161194,629652,80065,178378,221517,149692,149279,72330,8522,24602,28170,11036,76949,9238,22182,31075,14454,15963,7414,1190,2550,2851,823,8549,1522,2703,3256,1068,163170,69793,6742,14518,22750,25783,93377,11648,19843,27508,34378,10883,5465,770,1973,2016,706,5418,436,2044,2112,826,140700,71393,29929,24211,13312,3941,69307,28119,21468,14359,5361,51795,25041,3097,6857,9686,5401,26754,2733,6560,11003,6458,1016286,513884,36138,140299,188135,149312,502402,34781,142374,189305,135942,415056,208632,78240,66429,47166,16797,206424,75809,59944,50043,20628,421121,208884,58569,23298,3628,14297,2513,14833,99545,37864,6515,27995,6864,20307,50770,21940,2799,13173,5272,7586,212237,71848,19295,9037,14647,9032,19837,102831,22369,15566,24163,17890,22843,37558,7023,5402,5488,11974,7671,449339,16575,23725,16582,20473,32516,30474,2887,46203,102787,55938,16948,19458,17563,17571,29639,421121,131789,42947,99763,53545,93077,310886,97732,26830,70576,43507,72241,25490,7144,2464,5831,3155,6896,1891,678,103,355,205,550,60161,19555,11456,16698,4282,8170,1532,393,167,377,200,395,9302,2353,812,2822,1151,2164,11859,3934,1115,3104,1045,2661,285254,90155,24677,63516,39946,66960,37425,10622,3212,10646,5032,7913
40,NV,32,,,,,04043US32,Nevada -- Rural,131595,72206,7084,261,2103,2829,1542,242,99,8,11125,439,1887,4199,2756,665,908,271,10408,615,1083,3838,2389,961,1063,459,26314,832,1919,8737,7672,1640,3363,2151,17275,884,1190,4300,4796,1358,2656,2091,59389,4500,20,716,1820,1441,305,184,14,7825,83,527,2402,2704,717,1053,339,7360,167,468,1542,2167,1149,1259,608,24006,554,1720,7097,7069,2031,3426,2109,15698,551,1465,5125,4683,1190,1562,1122,120011,65122,497,399,777,1097,912,1618,2250,1299,21074,4612,13001,4624,7990,3462,916,594,54889,397,145,370,443,547,1219,1453,961,16166,4810,11813,5087,7300,3199,602,377,120011,894,8,19,42,159,195,121,272,875,389,1151,1459,2837,3703,2260,30313,6927,9422,24814,9711,15290,6661,1518,971,102306,54165,6180,17192,18904,11889,48141,4447,14282,18938,10474,3898,3265,727,1350,1004,184,633,10,175,303,145,4878,2313,481,944,745,143,2565,446,869,1063,187,2452,1029,72,221,420,316,1423,151,379,436,457,449,300,33,129,123,15,149,26,45,63,15,3910,2770,1193,879,599,99,1140,374,238,480,48,2118,1280,163,359,442,316,838,81,178,427,152,94344,49527,4269,15746,17930,11582,44817,3404,13271,17972,10170,12439,7807,3237,2508,1598,464,4632,1466,1355,1469,342,24440,12962,1987,774,94,595,63,461,6228,3033,244,1175,449,1327,4747,2335,244,919,543,706,11478,2282,686,216,484,355,541,6512,1546,844,1083,1412,1627,2684,604,493,178,906,503,26076,958,2486,1314,985,1729,1905,147,2307,4575,3902,1051,1346,795,681,1895,24440,8978,2135,4434,3728,5165,22363,8198,1826,4001,3588,4750,329,172,53,27,1,76,330,93,46,48,50,93,773,272,186,204,23,88,30,0,0,7,23,0,147,23,0,79,25,20,468,220,24,68,18,138,21752,7973,1826,3812,3510,4631,806,298,10,275,104,119
40,NV,32,,,,,040A0US32,Nevada -- In metropolitan or micropolitan statistical area,2148352,1071451,127697,2534,24728,47304,43194,5037,4534,366,204654,8858,21263,64562,55362,15241,30458,8910,192203,13741,19028,55537,47720,13900,28274,14003,360418,23113,28355,103425,95080,27092,53577,29776,186479,11535,12531,46701,47569,13134,31429,23580,1076901,121948,1718,18013,39732,47817,6308,7630,730,198152,6204,19757,48105,55870,17512,37709,12995,187154,12545,15924,48229,46499,17181,30040,16736,360845,24498,24504,101652,93597,31897,55087,29610,208802,15550,19035,67804,52286,14142,24856,15129,1898707,943754,14838,6862,22539,13008,16395,16414,22657,25711,270225,66797,178934,69367,143738,47882,18057,10330,954953,15093,8014,22368,13322,16676,16877,21979,23688,265790,74723,173529,80732,147692,56797,11562,6111,1898707,29931,310,527,1042,2382,6108,4507,7153,37754,8519,17811,33071,33291,44636,49399,459706,76309,141520,352463,150099,291430,104679,29619,16441,1352840,683658,86242,192343,233693,171380,669182,83543,189618,237339,158682,152407,74858,9074,25633,28952,11199,77549,9246,22357,31347,14599,19372,9027,1465,3310,3378,874,10345,1777,3246,4112,1210,165270,70624,6712,14719,23097,26096,94646,11744,20187,27888,34827,11260,5706,784,2083,2118,721,5554,462,2078,2173,841,143961,73754,30910,24966,13838,4040,70207,28447,21593,14774,5393,53597,26127,3237,7171,10022,5697,27470,2798,6711,11351,6610,1093355,553772,39358,152529,202669,159216,539583,37448,152998,204403,144734,423998,214289,80483,68295,48350,17161,209709,76960,60713,51175,20861,442169,220007,60012,23763,3680,14830,2565,15174,104986,40589,6727,29023,7169,21478,55009,24043,3032,14045,5668,8221,222162,73727,19924,9228,15091,9219,20265,108450,23667,16317,25138,18946,24382,39985,7608,5850,5648,12715,8164,471760,17381,25801,17754,21391,34069,32077,3032,48192,106931,58794,17931,20704,18262,18194,31247,442169,139594,44834,103775,56282,97684,330062,104864,28411,74211,46119,76457,25798,7316,2514,5840,3156,6972,2084,687,149,389,240,619,60923,19824,11642,16894,4305,8258,1562,393,167,384,223,395,9433,2360,812,2901,1176,2184,12307,4150,1139,3156,1063,2799,303950,97109,26258,66963,42554,71066,38022,10799,3219,10920,5061,8023
40,NV,32,,,,,040C0US32,Nevada -- In metropolitan statistical area,1964052,977850,118065,2256,22158,43323,41097,4526,4339,366,190377,8299,19733,59989,51013,13884,29075,8384,178936,12734,17708,51146,44382,12626,27073,13267,326293,21675,25457,91925,85346,24583,49845,27462,164179,10430,10880,40371,41064,11230,28347,21857,986202,113485,1663,16443,36608,45044,5664,7388,675,185207,6038,18231,44628,51541,16340,35925,12504,174099,11636,14866,45206,42913,15138,28419,15921,327080,23255,22187,91628,83162,28557,50771,27520,186331,14606,16528,60139,45681,12609,22734,14034,1732502,859785,13925,6424,21035,11754,15253,14560,20415,23550,243431,59851,161954,62323,134340,43886,17200,9884,872717,14266,7494,21431,12344,15522,15130,19446,21714,241601,66675,156622,72644,137849,53038,11086,5855,1732502,28191,302,518,1006,2135,5742,4215,6870,35596,7925,16173,30775,29690,39861,45264,417317,67715,126526,318576,134967,272189,96924,28286,15739,1205754,608840,76824,168563,205909,157544,596914,75015,168150,208318,145431,150378,73629,8947,25160,28428,11094,76749,9055,22165,30981,14548,14276,6711,1130,2397,2426,758,7565,1303,2307,2990,965,162671,69722,6662,14442,22793,25825,92949,11535,19813,27206,34395,10938,5520,766,2012,2029,713,5418,431,2056,2090,841,138204,70598,29498,23978,13209,3913,67606,27415,20844,14047,5300,50281,24765,3089,6879,9334,5463,25516,2593,6266,10309,6348,960819,486539,33420,130673,176592,145854,474280,31963,133064,177312,131941,402876,203204,75495,65238,45980,16491,199672,72753,58293,48357,20269,413138,205310,57085,22506,3560,14161,2309,14549,98021,37529,6446,27682,6354,20010,50204,21721,2828,13116,5081,7458,207828,70241,18979,8836,14529,8662,19235,100819,21889,15518,23749,17157,22506,36768,6982,5380,5338,11637,7431,440726,16388,23280,16439,20275,32274,29399,2866,45717,101486,53446,16465,19005,17392,17395,28899,413138,129606,42568,98575,51200,91189,302975,95345,26429,69560,41258,70383,25642,7203,2503,5835,3155,6946,1723,607,83,296,200,537,60220,19713,11482,16633,4186,8206,1554,393,167,384,215,395,9213,2350,798,2859,1151,2055,11811,3995,1106,3008,1035,2667,277795,87835,24283,62585,37869,65223,36760,10484,3198,10557,4844,7677
40,NV,32,,,,,040C1US32,Nevada -- In metropolitan statistical area -- in principal city,1093579,546265,65544,1254,11542,23115,23972,2465,2912,284,104283,4859,10533,32431,27332,7211,16571,5346,97883,6731,8796,27259,25128,6511,15509,7949,182804,10930,14134,50705,48109,13487,28847,16592,95751,5373,6436,22476,24262,6359,17430,13415,547314,63815,970,8741,19372,26379,3053,4768,532,99860,3327,9835,23142,26930,8417,20208,8001,92900,5647,7434,23485,22620,8161,15890,9663,180257,11015,11570,49534,47214,15870,29338,15716,110482,7706,9301,35049,28212,7103,13625,9486,964220,480721,7354,3596,11020,5923,8358,8034,11027,12480,132871,34725,90106,33568,78357,25876,11014,6412,483499,7288,3554,11079,5774,7778,8211,10713,11438,131210,37364,87612,39551,79061,32197,6905,3764,964220,14642,113,279,464,1095,3200,1999,3239,18860,3777,7920,16136,16245,21740,23918,227696,36385,72089,177718,73119,157418,58073,17919,10176,701314,354287,42431,95482,120011,96363,347027,39911,95421,122361,89334,75492,37197,4298,12356,14348,6195,38295,4672,10285,15545,7793,7395,3367,535,1303,1197,332,4028,646,1385,1453,544,74330,31336,2874,5537,10107,12818,42994,5215,8574,12230,16975,5411,2650,408,990,1002,250,2761,246,1110,946,459,73708,38543,15623,13634,6864,2422,35165,13918,11087,6959,3201,26570,13341,1623,3569,4870,3279,13229,1227,3348,5033,3621,569620,288124,19323,75054,103855,89892,281496,18208,76719,105132,81437,215354,109627,40101,35654,24576,9296,105727,36928,30939,25918,11942,243586,121659,33262,13659,1915,7564,1380,8744,57552,21872,3514,16728,3833,11605,30845,13089,1847,8240,3135,4534,121927,40342,11603,4657,7406,5207,11469,58474,12576,9052,12842,10280,13724,23111,4453,3416,3116,7388,4738,259914,9460,14459,9380,12409,20104,16645,1751,26300,57541,32617,10328,11449,10306,10216,16949,243586,77252,24401,55896,31223,54814,185697,58045,16262,42194,26094,43102,13988,4007,1249,3144,1700,3888,876,218,57,178,84,339,29793,10887,5568,6967,2182,4189,709,208,80,177,87,157,5623,1691,371,1634,565,1362,6900,2196,814,1602,511,1777,171329,53915,14830,38261,24166,40157,21238,5931,1987,6070,2653,4597
40,NV,32,,,,,040C2US32,Nevada -- In metropolitan statistical area -- not in principal city,870473,431585,52521,1002,10616,20208,17125,2061,1427,82,86094,3440,9200,27558,23681,6673,12504,3038,81053,6003,8912,23887,19254,6115,11564,5318,143489,10745,11323,41220,37237,11096,20998,10870,68428,5057,4444,17895,16802,4871,10917,8442,438888,49670,693,7702,17236,18665,2611,2620,143,85347,2711,8396,21486,24611,7923,15717,4503,81199,5989,7432,21721,20293,6977,12529,6258,146823,12240,10617,42094,35948,12687,21433,11804,75849,6900,7227,25090,17469,5506,9109,4548,768282,379064,6571,2828,10015,5831,6895,6526,9388,11070,110560,25126,71848,28755,55983,18010,6186,3472,389218,6978,3940,10352,6570,7744,6919,8733,10276,110391,29311,69010,33093,58788,20841,4181,2091,768282,13549,189,239,542,1040,2542,2216,3631,16736,4148,8253,14639,13445,18121,21346,189621,31330,54437,140858,61848,114771,38851,10367,5563,504440,254553,34393,73081,85898,61181,249887,35104,72729,85957,56097,74886,36432,4649,12804,14080,4899,38454,4383,11880,15436,6755,6881,3344,595,1094,1229,426,3537,657,922,1537,421,88341,38386,3788,8905,12686,13007,49955,6320,11239,14976,17420,5527,2870,358,1022,1027,463,2657,185,946,1144,382,64496,32055,13875,10344,6345,1491,32441,13497,9757,7088,2099,23711,11424,1466,3310,4464,2184,12287,1366,2918,5276,2727,391199,198415,14097,55619,72737,55962,192784,13755,56345,72180,50504,187522,93577,35394,29584,21404,7195,93945,35825,27354,22439,8327,169552,83651,23823,8847,1645,6597,929,5805,40469,15657,2932,10954,2521,8405,19359,8632,981,4876,1946,2924,85901,29899,7376,4179,7123,3455,7766,42345,9313,6466,10907,6877,8782,13657,2529,1964,2222,4249,2693,180812,6928,8821,7059,7866,12170,12754,1115,19417,43945,20829,6137,7556,7086,7179,11950,169552,52354,18167,42679,19977,36375,117278,37300,10167,27366,15164,27281,11654,3196,1254,2691,1455,3058,847,389,26,118,116,198,30427,8826,5914,9666,2004,4017,845,185,87,207,128,238,3590,659,427,1225,586,693,4911,1799,292,1406,524,890,106466,33920,9453,24324,13703,25066,15522,4553,1211,4487,2191,3080
40,NV,32,,,,,040E0US32,Nevada -- In micropolitan statistical area,184300,93601,9632,278,2570,3981,2097,511,195,0,14277,559,1530,4573,4349,1357,1383,526,13267,1007,1320,4391,3338,1274,1201,736,34125,1438,2898,11500,9734,2509,3732,2314,22300,1105,1651,6330,6505,1904,3082,1723,90699,8463,55,1570,3124,2773,644,242,55,12945,166,1526,3477,4329,1172,1784,491,13055,909,1058,3023,3586,2043,1621,815,33765,1243,2317,10024,10435,3340,4316,2090,22471,944,2507,7665,6605,1533,2122,1095,166205,83969,913,438,1504,1254,1142,1854,2242,2161,26794,6946,16980,7044,9398,3996,857,446,82236,827,520,937,978,1154,1747,2533,1974,24189,8048,16907,8088,9843,3759,476,256,166205,1740,8,9,36,247,366,292,283,2158,594,1638,2296,3601,4775,4135,42389,8594,14994,33887,15132,19241,7755,1333,702,147086,74818,9418,23780,27784,13836,72268,8528,21468,29021,13251,2029,1229,127,473,524,105,800,191,192,366,51,5096,2316,335,913,952,116,2780,474,939,1122,245,2599,902,50,277,304,271,1697,209,374,682,432,322,186,18,71,89,8,136,31,22,83,0,5757,3156,1412,988,629,127,2601,1032,749,727,93,3316,1362,148,292,688,234,1954,205,445,1042,262,132536,67233,5938,21856,26077,13362,65303,5485,19934,27091,12793,21122,11085,4988,3057,2370,670,10037,4207,2420,2818,592,29031,14697,2927,1257,120,669,256,625,6965,3060,281,1341,815,1468,4805,2322,204,929,587,763,14334,3486,945,392,562,557,1030,7631,1778,799,1389,1789,1876,3217,626,470,310,1078,733,31034,993,2521,1315,1116,1795,2678,166,2475,5445,5348,1466,1699,870,799,2348,29031,9988,2266,5200,5082,6495,27087,9519,1982,4651,4861,6074,156,113,11,5,1,26,361,80,66,93,40,82,703,111,160,261,119,52,8,0,0,0,8,0,220,10,14,42,25,129,496,155,33,148,28,132,26155,9274,1975,4378,4685,5843,1262,315,21,363,217,346
40,NV,32,,,,,040E1US32,Nevada -- In micropolitan statistical area -- in principal city,79133,39797,4627,163,1126,1955,946,297,140,0,6297,157,679,1884,2022,580,731,244,5548,387,682,1830,1297,532,531,289,13942,381,1292,5239,4181,892,1357,600,9383,365,757,2967,2957,711,1130,496,39336,4303,51,824,1658,1258,355,145,12,5724,112,628,1399,1795,567,852,371,5777,338,473,1543,1646,934,504,339,13600,573,1213,4306,4126,1152,1728,502,9932,400,1256,3763,2793,612,786,322,70203,35170,380,101,496,313,424,800,1068,1118,11920,3169,7288,2715,3749,1342,172,115,35033,396,154,368,505,430,835,1309,996,11011,3556,6804,3265,3870,1275,194,65,70203,776,0,4,0,48,156,47,128,736,145,673,854,1635,2377,2114,18963,3968,6725,14092,5980,7619,2617,366,180,62034,31457,4053,10563,11847,4994,30577,3874,9909,11813,4981,1349,825,28,380,338,79,524,138,94,264,28,1169,498,39,192,245,22,671,172,268,160,71,1333,402,34,121,135,112,931,114,208,379,230,216,126,0,51,75,0,90,16,0,74,0,2564,1282,507,506,202,67,1282,515,330,410,27,1538,580,39,107,330,104,958,164,202,525,67,55667,28048,2766,9592,10998,4692,27619,2676,9216,11057,4670,9429,4901,1814,1569,1113,405,4528,1821,1068,1270,369,10782,5378,1364,668,84,211,97,304,2388,953,142,551,385,357,1626,804,72,317,236,197,5404,1661,395,230,279,292,465,2635,637,274,500,639,585,1108,147,179,166,379,237,11448,327,722,574,254,635,1277,3,1094,2119,2089,388,564,291,245,866,10782,3604,981,2024,2028,2145,9975,3427,854,1778,1940,1976,107,80,11,0,0,16,93,4,23,26,19,21,342,33,70,169,38,32,0,0,0,0,0,0,94,3,14,21,13,43,171,57,9,30,18,57,9362,3300,847,1599,1797,1819,774,145,21,232,172,204
40,NV,32,,,,,040E2US32,Nevada -- In micropolitan statistical area -- not in principal city,105167,53804,5005,115,1444,2026,1151,214,55,0,7980,402,851,2689,2327,777,652,282,7719,620,638,2561,2041,742,670,447,20183,1057,1606,6261,5553,1617,2375,1714,12917,740,894,3363,3548,1193,1952,1227,51363,4160,4,746,1466,1515,289,97,43,7221,54,898,2078,2534,605,932,120,7278,571,585,1480,1940,1109,1117,476,20165,670,1104,5718,6309,2188,2588,1588,12539,544,1251,3902,3812,921,1336,773,96002,48799,533,337,1008,941,718,1054,1174,1043,14874,3777,9692,4329,5649,2654,685,331,47203,431,366,569,473,724,912,1224,978,13178,4492,10103,4823,5973,2484,282,191,96002,964,8,5,36,199,210,245,155,1422,449,965,1442,1966,2398,2021,23426,4626,8269,19795,9152,11622,5138,967,522,85052,43361,5365,13217,15937,8842,41691,4654,11559,17208,8270,680,404,99,93,186,26,276,53,98,102,23,3927,1818,296,721,707,94,2109,302,671,962,174,1266,500,16,156,169,159,766,95,166,303,202,106,60,18,20,14,8,46,15,22,9,0,3193,1874,905,482,427,60,1319,517,419,317,66,1778,782,109,185,358,130,996,41,243,517,195,76869,39185,3172,12264,15079,8670,37684,2809,10718,16034,8123,11693,6184,3174,1488,1257,265,5509,2386,1352,1548,223,18249,9319,1563,589,36,458,159,321,4577,2107,139,790,430,1111,3179,1518,132,612,351,566,8930,1825,550,162,283,265,565,4996,1141,525,889,1150,1291,2109,479,291,144,699,496,19586,666,1799,741,862,1160,1401,163,1381,3326,3259,1078,1135,579,554,1482,18249,6384,1285,3176,3054,4350,17112,6092,1128,2873,2921,4098,49,33,0,5,1,10,268,76,43,67,21,61,361,78,90,92,81,20,8,0,0,0,8,0,126,7,0,21,12,86,325,98,24,118,10,75,16793,5974,1128,2779,2888,4024,488,170,0,131,45,142
