SummaryLevel,State,StateFIPS,CountyFIPS,PlaceFIPS,CBSACode,CongressDistrict,GEOID,AreaName,B15001_001,B15001_002,B15001_003,B15001_004,B15001_005,B15001_006,B15001_007,B15001_008,B15001_009,B15001_010,B15001_011,B15001_012,B15001_013,B15001_014,B15001_015,B15001_016,B15001_017,B15001_018,B15001_019,B15001_020,B15001_021,B15001_022,B15001_023,B15001_024,B15001_025,B15001_026,B15001_027,B15001_028,B15001_029,B15001_030,B15001_031,B15001_032,B15001_033,B15001_034,B15001_035,B15001_036,B15001_037,B15001_038,B15001_039,B15001_040,B15001_041,B15001_042,B15001_043,B15001_044,B15001_045,B15001_046,B15001_047,B15001_048,B15001_049,B15001_050,B15001_051,B15001_052,B15001_053,B15001_054,B15001_055,B15001_056,B15001_057,B15001_058,B15001_059,B15001_060,B15001_061,B15001_062,B15001_063,B15001_064,B15001_065,B15001_066,B15001_067,B15001_068,B15001_069,B15001_070,B15001_071,B15001_072,B15001_073,B15001_074,B15001_075,B15001_076,B15001_077,B15001_078,B15001_079,B15001_080,B15001_081,B15001_082,B15001_083,B15002_001,B15002_002,B15002_003,B15002_004,B15002_005,B15002_006,B15002_007,B15002_008,B15002_009,B15002_010,B15002_011,B15002_012,B15002_013,B15002_014,B15002_015,B15002_016,B15002_017,B15002_018,B15002_019,B15002_020,B15002_021,B15002_022,B15002_023,B15002_024,B15002_025,B15002_026,B15002_027,B15002_028,B15002_029,B15002_030,B15002_031,B15002_032,B15002_033,B15002_034,B15002_035,B15003_001,B15003_002,B15003_003,B15003_004,B15003_005,B15003_006,B15003_007,B15003_008,B15003_009,B15003_010,B15003_011,B15003_012,B15003_013,B15003_014,B15003_015,B15003_016,B15003_017,B15003_018,B15003_019,B15003_020,B15003_021,B15003_022,B15003_023,B15003_024,B15003_025,C15002A_001,C15002A_002,C15002A_003,C15002A_004,C15002A_005,C15002A_006,C15002A_007,C15002A_008,C15002A_009,C15002A_010,C15002A_011,C15002B_001,C15002B_002,C15002B_003,C15002B_004,C15002B_005,C15002B_006,C15002B_007,C15002B_008,C15002B_009,C15002B_010,C15002B_011,C15002C_001,C15002C_002,C15002C_003,C15002C_004,C15002C_005,C15002C_006,C15002C_007,C15002C_008,C15002C_009,C15002C_010,C15002C_011,C15002D_001,C15002D_002,C15002D_003,C15002D_004,C15002D_005,C15002D_006,C15002D_007,C15002D_008,C15002D_009,C15002D_010,C15002D_011,C15002E_001,C15002E_002,C15002E_003,C15002E_004,C15002E_005,C15002E_006,C15002E_007,C15002E_008,C15002E_009,C15002E_010,C15002E_011,C15002F_001,C15002F_002,C15002F_003,C15002F_004,C15002F_005,C15002F_006,C15002F_007,C15002F_008,C15002F_009,C15002F_010,C15002F_011,C15002G_001,C15002G_002,C15002G_003,C15002G_004,C15002G_005,C15002G_006,C15002G_007,C15002G_008,C15002G_009,C15002G_010,C15002G_011,C15002H_001,C15002H_002,C15002H_003,C15002H_004,C15002H_005,C15002H_006,C15002H_007,C15002H_008,C15002H_009,C15002H_010,C15002H_011,C15002I_001,C15002I_002,C15002I_003,C15002I_004,C15002I_005,C15002I_006,C15002I_007,C15002I_008,C15002I_009,C15002I_010,C15002I_011,B15011_001,B15011_002,B15011_003,B15011_004,B15011_005,B15011_006,B15011_007,B15011_008,B15011_009,B15011_010,B15011_011,B15011_012,B15011_013,B15011_014,B15011_015,B15011_016,B15011_017,B15011_018,B15011_019,B15011_020,B15011_021,B15011_022,B15011_023,B15011_024,B15011_025,B15011_026,B15011_027,B15011_028,B15011_029,B15011_030,B15011_031,B15011_032,B15011_033,B15011_034,B15011_035,B15011_036,B15011_037,B15011_038,B15011_039,B15012_001,B15012_002,B15012_003,B15012_004,B15012_005,B15012_006,B15012_007,B15012_008,B15012_009,B15012_010,B15012_011,B15012_012,B15012_013,B15012_014,B15012_015,B15012_016,C15010_001,C15010_002,C15010_003,C15010_004,C15010_005,C15010_006,C15010A_001,C15010A_002,C15010A_003,C15010A_004,C15010A_005,C15010A_006,C15010B_001,C15010B_002,C15010B_003,C15010B_004,C15010B_005,C15010B_006,C15010C_001,C15010C_002,C15010C_003,C15010C_004,C15010C_005,C15010C_006,C15010D_001,C15010D_002,C15010D_003,C15010D_004,C15010D_005,C15010D_006,C15010E_001,C15010E_002,C15010E_003,C15010E_004,C15010E_005,C15010E_006,C15010F_001,C15010F_002,C15010F_003,C15010F_004,C15010F_005,C15010F_006,C15010G_001,C15010G_002,C15010G_003,C15010G_004,C15010G_005,C15010G_006,C15010H_001,C15010H_002,C15010H_003,C15010H_004,C15010H_005,C15010H_006,C15010I_001,C15010I_002,C15010I_003,C15010I_004,C15010I_005,C15010I_006
40,OR,41,,,,,04000US41,Oregon,3120872,1530403,186490,2926,25592,60621,76976,7402,12164,809,277275,9223,21612,71291,74264,21659,58133,21093,262473,12677,18848,59416,61335,21688,55391,33118,515899,19693,32663,127085,135872,44925,95169,60492,288266,12524,17435,69739,71456,18768,51665,46679,1590469,178596,1740,18515,48176,80948,10521,17529,1167,271217,6987,14428,51951,73193,25150,68954,30554,255677,11542,13360,45596,60596,25722,60114,38747,538671,19393,27519,122977,150231,55668,99730,63153,346308,14466,24128,109465,94112,20756,49821,33560,2755786,1343913,14600,7293,15539,16685,17488,20655,26057,26358,327531,105610,237317,107040,260358,102616,33096,25670,1411873,14774,7122,14832,15660,15670,17988,24671,21106,329989,126449,251683,127296,278619,125819,24587,15608,2755786,29374,304,753,1449,2901,5374,3634,5468,24903,7386,24959,33158,38643,50728,47464,531494,126026,232059,489000,234336,538977,228435,57683,41278,2416404,1176790,111027,288054,402283,375426,1239614,98039,295339,451204,395032,45746,25150,2678,6796,8762,6914,20596,2923,4243,8875,4555,28690,13925,2646,4706,4735,1838,14765,2411,4104,6403,1847,110050,48568,5802,6783,11316,24667,61482,10139,9617,14172,27554,8739,4205,399,1616,1620,570,4534,779,1210,1807,738,67495,37055,16751,10492,6632,3180,30440,13394,7609,6086,3351,78662,38220,5372,9084,14619,9145,40442,4138,7867,16881,11556,2257662,1095113,79468,267974,384423,363248,1162549,71154,277952,430950,382493,245717,128806,51526,33267,27291,16722,116911,42462,27176,29798,17475,866373,421740,122810,60039,5968,20105,3167,33531,200586,94337,12033,37804,11961,44451,98344,45924,4933,17001,11175,19311,444633,151558,58577,15572,18291,11445,47673,209694,63849,25518,29610,32145,58572,83381,17266,10809,5167,27490,22649,947688,34467,77882,37751,54561,95177,63833,9175,82942,135075,102765,57648,63239,51949,36286,44938,866373,339992,74833,127978,97383,226187,770458,294668,66420,112450,91230,205690,11469,4561,630,2142,993,3143,3685,1673,306,589,337,780,52221,27170,4999,8753,2726,8573,1308,591,181,198,133,205,6531,2511,619,1065,624,1712,20701,8818,1678,2781,1340,6084,745741,284383,64456,108372,88814,199716,34197,14088,2817,5565,3331,8396
40,OR,41,,,,,04001US41,Oregon -- Urban,2520062,1224576,160807,2360,21094,50482,68632,6268,11208,763,242992,8037,18210,59366,64153,19197,54205,19824,223590,11222,15275,47475,51222,18063,49671,30662,395313,16621,24321,91138,100626,33954,77832,50821,201874,9263,11229,45452,49436,12488,38491,35515,1295486,157157,1549,15566,40736,72665,9310,16171,1160,239860,6447,12222,43927,63825,21777,63153,28509,219674,10418,11553,36986,50122,21656,53640,35299,416320,17446,21012,89218,113534,42639,80961,51510,262475,11876,17858,80728,70808,15551,38798,26856,2202098,1063769,12583,6208,13706,12646,13952,15722,19096,20265,243431,81697,183740,83702,220199,87335,27732,21755,1138329,13108,6420,13491,13168,12843,13278,19694,16830,250859,99759,198530,101623,236552,107095,21079,14000,2202098,25691,239,603,1339,2463,4816,3168,4798,22399,6231,19583,26795,29000,38790,37095,395590,98700,181456,382270,185325,456751,194430,48811,35755,1898618,915188,84850,209156,307190,313992,983430,77747,220396,352211,333076,43891,23889,2484,6537,8264,6604,20002,2838,4139,8666,4359,19105,9366,1949,3009,3128,1280,9739,1630,2807,4033,1269,105199,46585,5629,6518,10932,23506,58614,9844,9096,13441,26233,8177,3962,375,1539,1512,536,4215,773,1096,1649,697,60805,32950,14596,9548,5959,2847,27855,12351,6905,5555,3044,66303,31829,4295,7124,12154,8256,34474,3649,6420,14357,10048,1758601,843250,57045,191783,291609,302813,915351,53343,205456,334520,322032,218659,113992,45185,29326,24115,15366,104667,38779,23827,26463,15598,735747,357021,113942,55695,5461,18843,2688,31255,169073,78104,10308,32457,9415,38789,74006,33846,3666,13386,7922,15186,378726,138663,54016,14080,16599,9817,44151,174409,53210,20359,25146,25147,50547,65654,13594,8386,4040,21063,18571,806212,30837,61220,31345,47428,83575,54160,8151,69199,116439,80379,51617,54786,45997,32706,38373,735747,288465,62260,110471,76052,198499,647068,246277,54571,95880,70699,179641,10963,4441,617,2054,927,2924,2549,1176,248,415,165,545,49739,26053,4769,8356,2465,8096,1233,555,163,198,119,198,5891,2178,553,997,575,1588,18304,7785,1339,2571,1102,5507,624845,236924,52921,92197,68584,174219,30964,12794,2420,5112,2912,7726
40,OR,41,,,,,04043US41,Oregon -- Rural,600810,305827,25683,566,4498,10139,8344,1134,956,46,34283,1186,3402,11925,10111,2462,3928,1269,38883,1455,3573,11941,10113,3625,5720,2456,120586,3072,8342,35947,35246,10971,17337,9671,86392,3261,6206,24287,22020,6280,13174,11164,294983,21439,191,2949,7440,8283,1211,1358,7,31357,540,2206,8024,9368,3373,5801,2045,36003,1124,1807,8610,10474,4066,6474,3448,122351,1947,6507,33759,36697,13029,18769,11643,83833,2590,6270,28737,23304,5205,11023,6704,553688,280144,2017,1085,1833,4039,3536,4933,6961,6093,84100,23913,53577,23338,40159,15281,5364,3915,273544,1666,702,1341,2492,2827,4710,4977,4276,79130,26690,53153,25673,42067,18724,3508,1608,553688,3683,65,150,110,438,558,466,670,2504,1155,5376,6363,9643,11938,10369,135904,27326,50603,106730,49011,82226,34005,8872,5523,517786,261602,26177,78898,95093,61434,256184,20292,74943,98993,61956,1855,1261,194,259,498,310,594,85,104,209,196,9585,4559,697,1697,1607,558,5026,781,1297,2370,578,4851,1983,173,265,384,1161,2868,295,521,731,1321,562,243,24,77,108,34,319,6,114,158,41,6690,4105,2155,944,673,333,2585,1043,704,531,307,12359,6391,1077,1960,2465,889,5968,489,1447,2524,1508,499061,251863,22423,76191,92814,60435,247198,17811,72496,96430,60461,27058,14814,6341,3941,3176,1356,12244,3683,3349,3335,1877,130626,64719,8868,4344,507,1262,479,2276,31513,16233,1725,5347,2546,5662,24338,12078,1267,3615,3253,4125,65907,12895,4561,1492,1692,1628,3522,35285,10639,5159,4464,6998,8025,17727,3672,2423,1127,6427,4078,141476,3630,16662,6406,7133,11602,9673,1024,13743,18636,22386,6031,8453,5952,3580,6565,130626,51527,12573,17507,21331,27688,123390,48391,11849,16570,20531,26049,506,120,13,88,66,219,1136,497,58,174,172,235,2482,1117,230,397,261,477,75,36,18,0,14,7,640,333,66,68,49,124,2397,1033,339,210,238,577,120896,47459,11535,16175,20230,25497,3233,1294,397,453,419,670
40,OR,41,,,,,040A0US41,Oregon -- In metropolitan or micropolitan statistical area,3042817,1490945,182854,2805,24757,59305,75754,7347,12083,803,271880,9026,21153,69355,72626,21242,57623,20855,257122,12409,18471,57553,59933,21268,54671,32817,501703,19299,31356,122408,131937,43701,93394,59608,277386,12107,16502,66208,68840,18111,50151,45467,1551872,175566,1728,18106,47031,79752,10404,17378,1167,266470,6873,13940,50574,71786,24806,68246,30245,250880,11270,13087,44376,59149,25136,59521,38341,524057,18856,26461,118587,146032,54084,97867,62170,334899,14222,23191,105298,90993,19968,48413,32814,2684397,1308091,14362,7198,15253,16028,16928,19883,25182,25489,315524,102499,230837,104322,255839,100903,32610,25234,1376306,14408,7065,14502,15246,15359,16969,23762,20589,318835,123204,244756,123994,274047,123811,24304,15455,2684397,28770,298,744,1441,2894,5301,3585,5407,24348,7208,24066,32287,36852,48944,46078,512622,121737,225703,475593,228316,529886,224714,56914,40689,2351754,1144380,107412,277276,390969,368723,1207374,94933,284948,438962,388531,45389,24885,2655,6685,8693,6852,20504,2891,4237,8853,4523,26021,12679,2375,4291,4288,1725,13342,2139,3836,5649,1718,109632,48389,5778,6735,11274,24602,61243,10098,9556,14118,27471,8616,4177,394,1609,1619,555,4439,779,1185,1743,732,65976,36218,16425,10137,6549,3107,29758,13008,7439,5988,3323,77009,37363,5284,8791,14266,9022,39646,4052,7634,16641,11319,2195621,1064008,76409,257547,373410,356642,1131613,68654,267739,419013,376207,241324,126532,50617,32506,26869,16540,114792,41423,26815,29341,17213,852203,414586,121566,59414,5853,19973,3070,33256,197402,92645,11870,37298,11749,43840,95618,44608,4762,16644,10862,18742,437617,150055,57981,15375,18132,11267,47300,206335,62852,25060,29289,31207,57927,81227,16811,10618,5068,26681,22049,932412,34089,75317,37106,53965,93836,63268,9080,81546,133369,100135,57164,62122,51437,35842,44136,852203,334311,73538,126404,94836,223114,757254,289278,65271,111040,88783,202882,11375,4555,628,2101,993,3098,3443,1601,301,557,298,686,52073,27107,4981,8712,2714,8559,1287,587,181,198,118,203,6430,2478,577,1056,621,1698,20341,8705,1599,2740,1309,5988,732849,279105,63314,106984,86503,196943,33753,13948,2767,5534,3195,8309
40,OR,41,,,,,040C0US41,Oregon -- In metropolitan statistical area,2603821,1272362,158713,2169,19819,50035,68151,6394,11388,757,239077,7831,17269,58120,63024,18683,54443,19707,226107,10432,15162,47953,51807,18633,51165,30955,425219,15350,25865,98194,110504,36653,84360,54293,223246,9360,12249,50344,54433,13996,43017,39847,1331459,154775,1484,14829,40581,71379,9232,16279,991,236130,5946,11415,42828,62169,21157,64362,28253,221460,9685,10715,36953,50996,21725,55573,35813,444637,15887,21543,95263,122382,44786,88444,56332,274457,11643,17538,84145,73777,16190,42383,28781,2290333,1113649,11926,5757,12690,12600,13828,15725,19554,21438,254611,84523,195245,87965,232985,91862,29758,23182,1176684,12833,5930,12380,12018,12595,12926,18685,17005,259189,102179,207145,103858,250762,112509,22394,14276,2290333,24759,247,710,1300,2296,4409,2725,4550,20520,5838,18780,26423,28651,38239,38443,417141,96659,186702,402390,191823,483747,204371,52152,37458,1991630,966611,84613,221792,326131,334075,1025019,74862,229963,366318,353876,43508,23757,2504,6350,8180,6723,19751,2815,4055,8561,4320,18553,9241,1860,2802,3183,1396,9312,1575,2523,4024,1190,105416,46854,5623,6431,10913,23887,58562,9716,8896,13445,26505,7891,3779,366,1501,1410,502,4112,755,1090,1591,676,57624,31706,14126,8760,5879,2941,25918,11225,6429,5334,2930,65711,31701,4426,6975,12037,8263,34010,3424,6233,13909,10444,1860656,899604,60042,205515,311215,322832,961052,53409,215690,349432,342521,205335,107263,41562,27192,23142,15367,98072,34561,22503,25305,15703,777728,377787,114783,56239,5522,19002,2563,31457,180140,84445,10508,34525,10041,40621,82864,38574,4087,14691,9062,16450,399941,140774,54843,14097,17278,9993,44563,188003,57733,22422,27044,27153,53651,71164,14614,8992,4543,23224,19791,851704,32076,66612,33395,49483,87683,58876,8133,72836,123561,86788,53384,57093,48145,33821,39818,777728,306448,65628,117083,82036,206533,687951,263375,58014,102378,76530,187654,11043,4468,616,1984,963,3012,2586,1189,216,428,223,530,50392,26432,4699,8506,2538,8217,1178,550,129,190,106,203,5871,2304,521,1006,547,1493,18707,8130,1433,2591,1129,5424,665353,253868,56243,98526,74540,182176,31070,12906,2503,5240,2831,7590
40,OR,41,,,,,040C1US41,Oregon -- In metropolitan statistical area -- in principal city,1166442,570682,79806,966,8341,19913,39716,3045,7370,455,127588,3421,8059,25658,32897,9788,34219,13546,109315,4657,6180,19680,23425,8548,28385,18440,173295,6730,10009,35521,41364,14221,38104,27346,80678,3790,3954,15930,18345,4567,16938,17154,595760,79543,691,6756,17377,39777,4213,10098,631,124536,3030,5319,17752,29939,10232,39757,18507,104612,4250,4612,13790,21467,9166,29519,21808,179684,8188,8444,32853,45499,16748,39137,28815,107385,4698,6350,30028,27347,5762,18934,14266,1007093,490876,5409,2316,6304,4569,6291,6510,7318,8083,96789,33475,82556,37124,117646,47670,16226,12590,516217,6650,2592,5598,5326,5601,4540,7452,7132,94423,39603,84649,41908,127347,61480,13018,8898,1007093,12059,98,186,671,1008,2085,860,2499,9403,2534,7361,11892,11050,14770,15215,152461,38751,73078,167205,79032,244993,109150,29244,21488,846717,411085,31159,79747,130833,169346,435632,28859,79685,142102,184986,29658,15702,1653,4481,5356,4212,13956,1798,2967,6219,2972,7253,3804,834,1048,1270,652,3449,630,865,1487,467,60861,27843,4302,3979,6284,13278,33018,6788,5063,6883,14284,4312,2043,191,676,851,325,2269,475,648,723,423,26523,14734,6434,3740,2797,1763,11789,4974,2765,2464,1586,31769,15665,2227,3118,5764,4556,16104,1367,2430,6282,6025,787119,380336,20847,72729,123798,162962,406783,18941,73982,134693,179167,94275,49916,18137,11680,11190,8909,44359,15443,9232,11350,8334,404875,194132,71672,35733,3051,10401,1251,21236,88368,40159,5626,14772,4573,23238,34092,16190,1613,5469,3153,7667,210743,86495,35021,7610,9351,4798,29715,91048,29572,10187,11225,10979,29085,33200,7082,4265,2006,9714,10133,446871,17689,34957,17864,26471,51213,27744,4891,36303,56402,36709,33804,32455,30693,19737,19939,404875,163757,32352,53224,34468,121074,354332,139542,28155,45318,31875,109442,7184,2888,355,1418,471,2052,1119,596,69,147,35,272,27562,14474,2551,4224,1310,5003,748,333,97,119,70,129,3349,1283,294,591,204,977,10581,4641,831,1407,503,3199,342129,134408,27296,43461,30894,106070,17243,7246,1231,2645,1331,4790
40,OR,41,,,,,040C2US41,Oregon -- In metropolitan statistical area -- not in principal city,1437379,701680,78907,1203,11478,30122,28435,3349,4018,302,111489,4410,9210,32462,30127,8895,20224,6161,116792,5775,8982,28273,28382,10085,22780,12515,251924,8620,15856,62673,69140,22432,46256,26947,142568,5570,8295,34414,36088,9429,26079,22693,735699,75232,793,8073,23204,31602,5019,6181,360,111594,2916,6096,25076,32230,10925,24605,9746,116848,5435,6103,23163,29529,12559,26054,14005,264953,7699,13099,62410,76883,28038,49307,27517,167072,6945,11188,54117,46430,10428,23449,14515,1283240,622773,6517,3441,6386,8031,7537,9215,12236,13355,157822,51048,112689,50841,115339,44192,13532,10592,660467,6183,3338,6782,6692,6994,8386,11233,9873,164766,62576,122496,61950,123415,51029,9376,5378,1283240,12700,149,524,629,1288,2324,1865,2051,11117,3304,11419,14531,17601,23469,23228,264680,57908,113624,235185,112791,238754,95221,22908,15970,1144913,555526,53454,142045,195298,164729,589387,46003,150278,224216,168890,13850,8055,851,1869,2824,2511,5795,1017,1088,2342,1348,11300,5437,1026,1754,1913,744,5863,945,1658,2537,723,44555,19011,1321,2452,4629,10609,25544,2928,3833,6562,12221,3579,1736,175,825,559,177,1843,280,442,868,253,31101,16972,7692,5020,3082,1178,14129,6251,3664,2870,1344,33942,16036,2199,3857,6273,3707,17906,2057,3803,7627,4419,1073537,519268,39195,132786,187417,159870,554269,34468,141708,214739,163354,111060,57347,23425,15512,11952,6458,53713,19118,13271,13955,7369,372853,183655,43111,20506,2471,8601,1312,10221,91772,44286,4882,19753,5468,17383,48772,22384,2474,9222,5909,8783,189198,54279,19822,6487,7927,5195,14848,96955,28161,12235,15819,16174,24566,37964,7532,4727,2537,13510,9658,404833,14387,31655,15531,23012,36470,31132,3242,36533,67159,50079,19580,24638,17452,14084,19879,372853,142691,33276,63859,47568,85459,333619,123833,29859,57060,44655,78212,3859,1580,261,566,492,960,1467,593,147,281,188,258,22830,11958,2148,4282,1228,3214,430,217,32,71,36,74,2522,1021,227,415,343,516,8126,3489,602,1184,626,2225,323224,119460,28947,55065,43646,76106,13827,5660,1272,2595,1500,2800
40,OR,41,,,,,040E0US41,Oregon -- In micropolitan statistical area,438996,218583,24141,636,4938,9270,7603,953,695,46,32803,1195,3884,11235,9602,2559,3180,1148,31015,1977,3309,9600,8126,2635,3506,1862,76484,3949,5491,24214,21433,7048,9034,5315,54140,2747,4253,15864,14407,4115,7134,5620,220413,20791,244,3277,6450,8373,1172,1099,176,30340,927,2525,7746,9617,3649,3884,1992,29420,1585,2372,7423,8153,3411,3948,2528,79420,2969,4918,23324,23650,9298,9423,5838,60442,2579,5653,21153,17216,3778,6030,4033,394064,194442,2436,1441,2563,3428,3100,4158,5628,4051,60913,17976,35592,16357,22854,9041,2852,2052,199622,1575,1135,2122,3228,2764,4043,5077,3584,59646,21025,37611,20136,23285,11302,1910,1179,394064,4011,51,34,141,598,892,860,857,3828,1370,5286,5864,8201,10705,7635,95481,25078,39001,73203,36493,46139,20343,4762,3231,360124,177769,22799,55484,64838,34648,182355,20071,54985,72644,34655,1881,1128,151,335,513,129,753,76,182,292,203,7468,3438,515,1489,1105,329,4030,564,1313,1625,528,4216,1535,155,304,361,715,2681,382,660,673,966,725,398,28,108,209,53,327,24,95,152,56,8352,4512,2299,1377,670,166,3840,1783,1010,654,393,11298,5662,858,1816,2229,759,5636,628,1401,2732,875,334965,164404,16367,52032,62195,33810,170561,15245,52049,69581,33686,35989,19269,9055,5314,3727,1173,16720,6862,4312,4036,1510,74475,36799,6783,3175,331,971,507,1799,17262,8200,1362,2773,1708,3219,12754,6034,675,1953,1800,2292,37676,9281,3138,1278,854,1274,2737,18332,5119,2638,2245,4054,4276,10063,2197,1626,525,3457,2258,80708,2013,8705,3711,4482,6153,4392,947,8710,9808,13347,3780,5029,3292,2021,4318,74475,27863,7910,9321,12800,16581,69303,25903,7257,8662,12253,15228,332,87,12,117,30,86,857,412,85,129,75,156,1681,675,282,206,176,342,109,37,52,8,12,0,559,174,56,50,74,205,1634,575,166,149,180,564,67496,25237,7071,8458,11963,14767,2683,1042,264,294,364,719
40,OR,41,,,,,040E1US41,Oregon -- In micropolitan statistical area -- in principal city,135700,66053,8977,241,1542,3400,3337,233,204,20,12446,394,1640,3753,3490,985,1451,733,10245,775,843,2756,2896,801,1428,746,21050,1116,1306,5969,5549,2078,3231,1801,13335,702,1039,3878,3138,1016,1803,1759,69647,7547,43,1298,2187,3079,384,492,64,11504,295,980,2593,3982,1053,1652,949,10063,519,801,2598,2556,1053,1495,1041,22886,1129,1136,6155,6653,2986,2884,1943,17647,686,1638,6216,5096,1028,1863,1120,119176,57076,738,429,816,1004,727,1359,1633,1109,16356,5341,9732,4880,7913,3232,1089,718,62100,548,549,676,856,801,1077,1524,1153,17562,6717,11570,6120,7894,4058,603,392,119176,1286,11,7,85,277,310,288,289,1203,361,1499,1528,2436,3157,2262,26116,7802,12058,21302,11000,15807,7290,1692,1110,107436,51502,6774,14346,18264,12118,55934,5962,15995,22267,11710,851,367,38,105,177,47,484,41,103,185,155,1799,911,130,367,320,94,888,76,340,351,121,1687,597,68,54,160,315,1090,196,289,192,413,388,193,0,50,104,39,195,16,36,101,42,3038,1493,519,699,225,50,1545,633,445,265,202,3977,2013,286,735,703,289,1964,260,354,1046,304,98872,46826,4408,13312,17317,11789,52046,4362,15262,21067,11355,12709,6864,2976,2000,1425,463,5845,2305,1343,1637,560,25899,12952,3238,1501,228,476,214,819,6152,2837,497,914,706,1198,3562,1553,207,558,468,776,12947,3963,1377,497,346,509,1234,6001,1495,899,686,1371,1550,2983,666,468,118,1052,679,28235,751,2815,1200,1581,2206,1397,406,3109,3275,4552,1518,1773,1228,710,1714,25899,9429,2796,3098,4320,6256,23828,8759,2451,2851,4071,5696,202,24,12,89,30,47,215,85,45,27,27,31,728,304,157,100,78,89,81,25,52,2,2,0,252,53,32,11,11,145,593,179,47,18,101,248,23144,8513,2354,2799,3930,5548,1023,360,156,63,152,292
40,OR,41,,,,,040E2US41,Oregon -- In micropolitan statistical area -- not in principal city,303296,152530,15164,395,3396,5870,4266,720,491,26,20357,801,2244,7482,6112,1574,1729,415,20770,1202,2466,6844,5230,1834,2078,1116,55434,2833,4185,18245,15884,4970,5803,3514,40805,2045,3214,11986,11269,3099,5331,3861,150766,13244,201,1979,4263,5294,788,607,112,18836,632,1545,5153,5635,2596,2232,1043,19357,1066,1571,4825,5597,2358,2453,1487,56534,1840,3782,17169,16997,6312,6539,3895,42795,1893,4015,14937,12120,2750,4167,2913,274888,137366,1698,1012,1747,2424,2373,2799,3995,2942,44557,12635,25860,11477,14941,5809,1763,1334,137522,1027,586,1446,2372,1963,2966,3553,2431,42084,14308,26041,14016,15391,7244,1307,787,274888,2725,40,27,56,321,582,572,568,2625,1009,3787,4336,5765,7548,5373,69365,17276,26943,51901,25493,30332,13053,3070,2121,252688,126267,16025,41138,46574,22530,126421,14109,38990,50377,22945,1030,761,113,230,336,82,269,35,79,107,48,5669,2527,385,1122,785,235,3142,488,973,1274,407,2529,938,87,250,201,400,1591,186,371,481,553,337,205,28,58,105,14,132,8,59,51,14,5314,3019,1780,678,445,116,2295,1150,565,389,191,7321,3649,572,1081,1526,470,3672,368,1047,1686,571,236093,117578,11959,38720,44878,22021,118515,10883,36787,48514,22331,23280,12405,6079,3314,2302,710,10875,4557,2969,2399,950,48576,23847,3545,1674,103,495,293,980,11110,5363,865,1859,1002,2021,9192,4481,468,1395,1332,1516,24729,5318,1761,781,508,765,1503,12331,3624,1739,1559,2683,2726,7080,1531,1158,407,2405,1579,52473,1262,5890,2511,2901,3947,2995,541,5601,6533,8795,2262,3256,2064,1311,2604,48576,18434,5114,6223,8480,10325,45475,17144,4806,5811,8182,9532,130,63,0,28,0,39,642,327,40,102,48,125,953,371,125,106,98,253,28,12,0,6,10,0,307,121,24,39,63,60,1041,396,119,131,79,316,44352,16724,4717,5659,8033,9219,1660,682,108,231,212,427
