SummaryLevel,State,StateFIPS,CountyFIPS,PlaceFIPS,CBSACode,CongressDistrict,GEOID,AreaName,B15001_001,B15001_002,B15001_003,B15001_004,B15001_005,B15001_006,B15001_007,B15001_008,B15001_009,B15001_010,B15001_011,B15001_012,B15001_013,B15001_014,B15001_015,B15001_016,B15001_017,B15001_018,B15001_019,B15001_020,B15001_021,B15001_022,B15001_023,B15001_024,B15001_025,B15001_026,B15001_027,B15001_028,B15001_029,B15001_030,B15001_031,B15001_032,B15001_033,B15001_034,B15001_035,B15001_036,B15001_037,B15001_038,B15001_039,B15001_040,B15001_041,B15001_042,B15001_043,B15001_044,B15001_045,B15001_046,B15001_047,B15001_048,B15001_049,B15001_050,B15001_051,B15001_052,B15001_053,B15001_054,B15001_055,B15001_056,B15001_057,B15001_058,B15001_059,B15001_060,B15001_061,B15001_062,B15001_063,B15001_064,B15001_065,B15001_066,B15001_067,B15001_068,B15001_069,B15001_070,B15001_071,B15001_072,B15001_073,B15001_074,B15001_075,B15001_076,B15001_077,B15001_078,B15001_079,B15001_080,B15001_081,B15001_082,B15001_083,B15002_001,B15002_002,B15002_003,B15002_004,B15002_005,B15002_006,B15002_007,B15002_008,B15002_009,B15002_010,B15002_011,B15002_012,B15002_013,B15002_014,B15002_015,B15002_016,B15002_017,B15002_018,B15002_019,B15002_020,B15002_021,B15002_022,B15002_023,B15002_024,B15002_025,B15002_026,B15002_027,B15002_028,B15002_029,B15002_030,B15002_031,B15002_032,B15002_033,B15002_034,B15002_035,B15003_001,B15003_002,B15003_003,B15003_004,B15003_005,B15003_006,B15003_007,B15003_008,B15003_009,B15003_010,B15003_011,B15003_012,B15003_013,B15003_014,B15003_015,B15003_016,B15003_017,B15003_018,B15003_019,B15003_020,B15003_021,B15003_022,B15003_023,B15003_024,B15003_025,C15002A_001,C15002A_002,C15002A_003,C15002A_004,C15002A_005,C15002A_006,C15002A_007,C15002A_008,C15002A_009,C15002A_010,C15002A_011,C15002B_001,C15002B_002,C15002B_003,C15002B_004,C15002B_005,C15002B_006,C15002B_007,C15002B_008,C15002B_009,C15002B_010,C15002B_011,C15002C_001,C15002C_002,C15002C_003,C15002C_004,C15002C_005,C15002C_006,C15002C_007,C15002C_008,C15002C_009,C15002C_010,C15002C_011,C15002D_001,C15002D_002,C15002D_003,C15002D_004,C15002D_005,C15002D_006,C15002D_007,C15002D_008,C15002D_009,C15002D_010,C15002D_011,C15002E_001,C15002E_002,C15002E_003,C15002E_004,C15002E_005,C15002E_006,C15002E_007,C15002E_008,C15002E_009,C15002E_010,C15002E_011,C15002F_001,C15002F_002,C15002F_003,C15002F_004,C15002F_005,C15002F_006,C15002F_007,C15002F_008,C15002F_009,C15002F_010,C15002F_011,C15002G_001,C15002G_002,C15002G_003,C15002G_004,C15002G_005,C15002G_006,C15002G_007,C15002G_008,C15002G_009,C15002G_010,C15002G_011,C15002H_001,C15002H_002,C15002H_003,C15002H_004,C15002H_005,C15002H_006,C15002H_007,C15002H_008,C15002H_009,C15002H_010,C15002H_011,C15002I_001,C15002I_002,C15002I_003,C15002I_004,C15002I_005,C15002I_006,C15002I_007,C15002I_008,C15002I_009,C15002I_010,C15002I_011,B15011_001,B15011_002,B15011_003,B15011_004,B15011_005,B15011_006,B15011_007,B15011_008,B15011_009,B15011_010,B15011_011,B15011_012,B15011_013,B15011_014,B15011_015,B15011_016,B15011_017,B15011_018,B15011_019,B15011_020,B15011_021,B15011_022,B15011_023,B15011_024,B15011_025,B15011_026,B15011_027,B15011_028,B15011_029,B15011_030,B15011_031,B15011_032,B15011_033,B15011_034,B15011_035,B15011_036,B15011_037,B15011_038,B15011_039,B15012_001,B15012_002,B15012_003,B15012_004,B15012_005,B15012_006,B15012_007,B15012_008,B15012_009,B15012_010,B15012_011,B15012_012,B15012_013,B15012_014,B15012_015,B15012_016,C15010_001,C15010_002,C15010_003,C15010_004,C15010_005,C15010_006,C15010A_001,C15010A_002,C15010A_003,C15010A_004,C15010A_005,C15010A_006,C15010B_001,C15010B_002,C15010B_003,C15010B_004,C15010B_005,C15010B_006,C15010C_001,C15010C_002,C15010C_003,C15010C_004,C15010C_005,C15010C_006,C15010D_001,C15010D_002,C15010D_003,C15010D_004,C15010D_005,C15010D_006,C15010E_001,C15010E_002,C15010E_003,C15010E_004,C15010E_005,C15010E_006,C15010F_001,C15010F_002,C15010F_003,C15010F_004,C15010F_005,C15010F_006,C15010G_001,C15010G_002,C15010G_003,C15010G_004,C15010G_005,C15010G_006,C15010H_001,C15010H_002,C15010H_003,C15010H_004,C15010H_005,C15010H_006,C15010I_001,C15010I_002,C15010I_003,C15010I_004,C15010I_005,C15010I_006
40,PR,72,,,,,04000US72,Puerto Rico,2761979,1291908,180755,5834,18359,58573,76329,12564,8736,360,215429,13470,19941,66442,43057,25069,37472,9978,213918,22459,19199,64543,30429,27173,35498,14617,414709,66986,42862,133859,51197,33660,58785,27360,267097,94827,35665,69685,19509,8632,25044,13735,1470071,176139,3223,12926,43803,85732,13487,16149,819,228671,8405,12795,51457,43990,29396,62076,20552,234698,11898,13330,52738,33892,32138,63735,26967,483428,55573,37797,133143,56479,54106,107113,39217,347135,131202,40629,85670,22221,18712,35362,13339,2405085,1111153,31149,56241,52510,57842,51811,21472,29922,14462,334529,19388,124804,94534,156799,39261,14902,11527,1293932,32226,64282,56116,54454,46993,19079,25103,13376,323008,19849,136733,134352,268286,73919,14108,12048,2405085,63375,736,672,13147,19812,37924,48232,34038,74588,48069,64227,98804,40551,55025,27838,593352,64185,39237,261537,228886,425085,113180,29010,23575,1680482,766318,209904,224705,165502,166207,914164,215745,224410,202990,271019,229266,110663,34738,35109,23994,16822,118603,29106,30870,29131,29496,7488,3311,1187,941,686,497,4177,1098,847,1229,1003,6799,2020,818,544,287,371,4779,1571,1261,935,1012,97,42,0,18,24,0,55,21,18,16,0,310999,148288,45776,49638,29224,23650,162711,42585,45065,34744,40317,169954,80511,22986,23574,19009,14942,89443,21503,20537,21889,25514,19792,9684,1232,2323,2369,3760,10108,1781,1791,3001,3535,2377691,1097622,312916,331273,235624,217809,1280069,308894,320380,287152,363643,590850,222489,71971,25199,5988,22805,6495,11484,111739,39385,7772,40209,11760,12613,38779,13112,1684,12023,7627,4333,368361,128284,32113,14280,38750,23519,19622,191376,37092,23793,62127,44703,23661,48701,7083,5426,8072,21759,6361,605132,17278,34005,25244,20742,29332,30637,2199,60667,186077,117616,5765,15043,10494,12711,37322,590850,153984,58943,183986,115863,78074,437226,115078,42324,138057,84882,56885,46318,11003,5035,13840,9858,6582,1500,310,208,589,225,168,1383,335,146,397,264,241,0,0,0,0,0,0,63967,16784,6553,18725,13488,8417,40456,10474,4677,12378,7146,5781,7295,2405,546,2146,962,1236,581452,150998,58114,181197,114669,76474
40,PR,72,,,,,04001US72,Puerto Rico -- Urban,2598234,1210132,169719,5455,17250,54288,72300,11717,8358,351,202894,12330,18202,62075,40746,23864,35825,9852,201685,20373,17545,60132,29061,25975,34307,14292,386117,59476,38832,123464,49044,31892,56688,26721,249717,85798,33129,65993,18746,8327,24286,13438,1388102,165993,2918,12015,40820,81406,12839,15187,808,217285,7912,11967,48563,42177,27820,58754,20092,222085,11026,12302,49132,32067,30412,60926,26220,454319,49965,34796,123567,53570,51564,102532,38325,328420,120622,38157,82169,21609,18295,34456,13112,2262522,1040413,28505,50157,46617,52698,46955,20051,27196,13506,311664,18814,118783,90058,151106,38226,14707,11370,1222109,29754,58363,50981,50427,43276,17969,23266,12711,303431,19112,130311,128091,256668,72045,13861,11843,2262522,58259,712,635,11869,17938,33860,43506,30506,67092,44028,59097,90231,38020,50462,26217,554713,60382,37926,249094,218149,407774,110271,28568,23213,1575118,714951,188666,208271,157148,160866,860167,197105,209445,192999,260618,219070,105372,32464,33256,23162,16490,113698,27423,29650,28077,28548,7387,3229,1172,941,664,452,4158,1093,833,1229,1003,6522,1907,768,500,287,352,4615,1512,1211,915,977,97,42,0,18,24,0,55,21,18,16,0,289834,137258,40990,45839,27753,22676,152576,38964,42319,33060,38233,164494,77654,21625,22839,18617,14573,86840,20629,19955,21218,25038,18968,9321,1140,2251,2334,3596,9647,1703,1661,2805,3478,2236125,1027290,283284,308480,224599,210927,1208835,284099,300999,273970,349767,569826,215409,69499,24416,5762,22096,6119,11106,108186,38252,7501,39019,11168,12246,37724,12860,1634,11745,7276,4209,354417,122806,30968,13561,37140,22240,18897,184043,36124,22950,60034,42273,22662,47568,6961,5301,7979,21200,6127,583844,16789,32754,24611,20152,28538,29969,2166,58367,180059,111946,5557,14696,10253,12475,35512,569826,149581,56709,178013,110276,75247,421484,111807,40624,133585,80697,54771,45038,10779,4920,13418,9446,6475,1455,310,188,574,215,168,1329,292,146,386,264,241,0,0,0,0,0,0,60909,16153,6255,17813,12811,7877,39611,10240,4576,12237,6843,5715,7074,2271,537,2146,939,1181,560694,146743,55889,175235,109105,73722
40,PR,72,,,,,04043US72,Puerto Rico -- Rural,163745,81776,11036,379,1109,4285,4029,847,378,9,12535,1140,1739,4367,2311,1205,1647,126,12233,2086,1654,4411,1368,1198,1191,325,28592,7510,4030,10395,2153,1768,2097,639,17380,9029,2536,3692,763,305,758,297,81969,10146,305,911,2983,4326,648,962,11,11386,493,828,2894,1813,1576,3322,460,12613,872,1028,3606,1825,1726,2809,747,29109,5608,3001,9576,2909,2542,4581,892,18715,10580,2472,3501,612,417,906,227,142563,70740,2644,6084,5893,5144,4856,1421,2726,956,22865,574,6021,4476,5693,1035,195,157,71823,2472,5919,5135,4027,3717,1110,1837,665,19577,737,6422,6261,11618,1874,247,205,142563,5116,24,37,1278,1874,4064,4726,3532,7496,4041,5130,8573,2531,4563,1621,38639,3803,1311,12443,10737,17311,2909,442,362,105364,51367,21238,16434,8354,5341,53997,18640,14965,9991,10401,10196,5291,2274,1853,832,332,4905,1683,1220,1054,948,101,82,15,0,22,45,19,5,14,0,0,277,113,50,44,0,19,164,59,50,20,35,0,0,0,0,0,0,0,0,0,0,0,21165,11030,4786,3799,1471,974,10135,3621,2746,1684,2084,5460,2857,1361,735,392,369,2603,874,582,671,476,824,363,92,72,35,164,461,78,130,196,57,141566,70332,29632,22793,11025,6882,71234,24795,19381,13182,13876,21024,7080,2472,783,226,709,376,378,3553,1133,271,1190,592,367,1055,252,50,278,351,124,13944,5478,1145,719,1610,1279,725,7333,968,843,2093,2430,999,1133,122,125,93,559,234,21288,489,1251,633,590,794,668,33,2300,6018,5670,208,347,241,236,1810,21024,4403,2234,5973,5587,2827,15742,3271,1700,4472,4185,2114,1280,224,115,422,412,107,45,0,20,15,10,0,54,43,0,11,0,0,0,0,0,0,0,0,3058,631,298,912,677,540,845,234,101,141,303,66,221,134,9,0,23,55,20758,4255,2225,5962,5564,2752
40,PR,72,,,,,040A0US72,Puerto Rico -- In metropolitan or micropolitan statistical area,2741714,1281883,179452,5785,18248,57897,75998,12549,8615,360,213938,13280,19780,65886,42880,24888,37261,9963,212380,22041,19052,63943,30376,27092,35297,14579,411250,65952,42418,132542,51051,33466,58510,27311,264863,93881,35328,69045,19403,8598,24896,13712,1459831,174880,3196,12742,43490,85330,13418,15885,819,227181,8278,12568,50827,43813,29302,61861,20532,233187,11712,13192,52055,33796,32093,63402,26937,479870,54771,37418,132016,56333,53841,106633,38858,344713,130025,40262,85241,22060,18585,35293,13247,2387382,1102431,30933,55653,51661,56907,51334,21196,29702,14346,331416,19337,124373,94044,155964,39169,14902,11494,1284951,31873,63528,55535,53850,46279,18927,24928,13306,320139,19801,136201,133821,267189,73623,14063,11888,2387382,62806,736,672,12949,19584,37498,47742,33661,73535,47412,63345,97613,40123,54630,27652,587757,63798,39138,260574,227865,423153,112792,28965,23382,1669460,761109,207773,223085,164860,165391,908351,213458,222733,202309,269851,228352,110327,34630,34963,23924,16810,118025,28921,30687,29037,29380,7356,3192,1093,927,675,497,4164,1098,834,1229,1003,6757,2011,809,544,287,371,4746,1565,1244,925,1012,97,42,0,18,24,0,55,21,18,16,0,305627,145322,44489,48306,29002,23525,160305,41753,44099,34437,40016,169733,80428,22938,23573,18982,14935,89305,21410,20524,21870,25501,19345,9475,1231,2290,2284,3670,9870,1734,1711,2955,3470,2360447,1089109,309240,328193,234737,216939,1271338,305545,317596,286087,362110,588292,221529,71676,25064,5988,22678,6495,11451,111245,39259,7708,40025,11720,12533,38608,13079,1684,11940,7577,4328,366763,127785,31967,14209,38616,23422,19571,190438,36881,23775,61934,44332,23516,48540,7068,5403,8068,21689,6312,602510,17258,33819,25199,20514,29200,30582,2199,60491,185346,116944,5740,14813,10489,12711,37205,588292,153318,58767,183261,115235,77711,435242,114533,42245,137381,84430,56653,46190,10913,5035,13840,9820,6582,1500,310,208,589,225,168,1383,335,146,397,264,241,0,0,0,0,0,0,63541,16753,6456,18683,13363,8286,40436,10474,4677,12371,7133,5781,7140,2325,542,2112,962,1199,579049,150412,57942,180506,114041,76148
40,PR,72,,,,,040C0US72,Puerto Rico -- In metropolitan statistical area,2645149,1235721,172914,5579,17425,55224,73675,12211,8440,360,206330,12694,19062,63145,41575,24001,36140,9713,204336,21132,18144,60846,29454,26223,34311,14226,396111,62993,40706,126710,49336,32480,57097,26789,256030,90582,34055,66306,18872,8471,24291,13453,1409428,168770,2956,12283,41807,82389,13153,15380,802,218794,7891,12049,48663,42362,28453,59600,19776,224286,11159,12657,49748,32258,30952,61322,26190,463397,52838,35621,126054,54732,52683,103756,37713,334181,125394,39081,82372,21599,18257,34402,13076,2303465,1062807,29557,53397,49692,54755,49582,20453,28047,13885,317007,18949,120288,91175,151839,38185,14799,11197,1240658,30599,61265,53808,51610,44626,17856,23895,13031,306837,19544,131407,130345,259080,71202,13971,11582,2303465,60156,721,640,12327,18988,36030,45956,32485,71015,45159,61206,94208,38309,51942,26916,561394,62450,38493,251695,221520,410919,109387,28770,22779,1613486,735869,200020,214091,160217,161541,877617,205844,213443,196360,261970,216325,104072,32537,32421,22984,16130,112253,27266,28715,28049,28223,7248,3125,1067,907,675,476,4123,1079,821,1220,1003,6624,1953,764,531,287,371,4671,1533,1201,925,1012,97,42,0,18,24,0,55,21,18,16,0,291181,137938,42321,45624,27333,22660,153243,39682,42358,32996,38207,168504,79808,22659,23415,18892,14842,88696,21265,20281,21730,25420,19071,9368,1218,2207,2276,3667,9703,1648,1672,2917,3466,2276938,1049637,296934,313867,227403,211433,1227301,294137,304380,277598,351186,571855,216020,69734,24379,5835,22180,6169,11171,108542,38066,7545,39312,11281,12338,37744,12925,1679,11793,7112,4235,355835,123405,30944,13709,37499,22163,19090,184952,35736,22961,60467,42928,22860,47478,6993,5299,8009,20938,6239,585770,16814,32807,24283,19919,28520,29946,2128,58654,181345,112219,5643,14651,10227,12677,35937,571855,149043,57028,179260,110591,75933,423511,111327,41020,134671,81259,55234,44353,10558,4903,13224,9227,6441,1479,289,208,589,225,168,1383,335,146,397,264,241,0,0,0,0,0,0,60867,16115,6102,18060,12522,8068,40262,10419,4649,12319,7094,5781,7133,2322,542,2112,958,1199,562619,146140,56203,176505,109401,74370
40,PR,72,,,,,040C1US72,Puerto Rico -- In metropolitan statistical area -- in principal city,742479,332647,48709,1591,4058,14500,22677,2649,3111,123,55499,2985,3574,13595,11774,5790,13215,4566,52149,4450,3792,12939,7503,6299,10956,6210,103911,11715,8115,28316,14180,9481,18860,13244,72379,17475,8059,18253,6893,3233,10697,7769,409832,49276,822,3405,11916,24614,3198,4928,393,61824,1819,3411,13456,11155,7381,16636,7966,59801,3355,3454,11634,8232,7178,16177,9771,129404,11074,7874,29548,15195,15187,34543,15983,109527,29234,10488,28712,8484,8687,16542,7380,644494,283938,5904,9526,8833,12362,9429,4904,5577,3630,73103,6036,34314,24803,53728,17034,9194,5561,360556,7693,13269,10886,13634,10528,4771,6371,3557,83350,6459,36607,38433,83898,27502,8170,5428,644494,13597,132,101,2040,4005,7027,9490,6101,13618,9913,16083,19957,9675,11948,7187,141010,15443,12495,70921,63236,137626,44536,17364,10989,453692,197663,35876,48349,45877,67561,256029,45472,57660,56960,95937,76212,34527,10215,10053,8251,6008,41685,9932,10519,9760,11474,3880,1696,521,538,426,211,2184,517,399,697,571,2559,831,277,256,158,140,1728,567,467,265,429,18,18,0,18,0,0,0,0,0,0,0,69116,31071,8620,9245,6302,6904,38045,9562,9449,8549,10485,39017,18132,4656,4644,4139,4693,20885,4659,4856,5268,6102,7193,3750,328,671,813,1938,3443,431,462,1007,1543,634617,278820,59389,72051,64180,83200,355797,69815,82601,80301,123080,210515,85517,26540,9681,2197,8937,1449,4276,40511,15559,2812,14446,3055,4639,18466,6780,970,6231,2499,1986,124998,37745,10840,3799,11820,5064,6222,63331,14244,7623,21166,11604,8694,23922,4287,2503,4446,8917,3769,216776,6080,12453,9612,8366,14092,12143,961,20445,68185,33129,2740,6568,4871,5915,11216,210515,61391,19904,67046,32588,29586,163498,47915,14821,53003,25320,22439,17482,4549,2003,5055,3053,2822,782,198,99,316,37,132,569,138,93,206,105,27,0,0,0,0,0,0,17389,5309,1564,5424,2661,2431,10795,3282,1324,3042,1412,1735,3481,1178,299,1008,468,528,206280,59962,19526,65778,32048,28966
40,PR,72,,,,,040C2US72,Puerto Rico -- In metropolitan statistical area -- not in principal city,1902670,903074,124205,3988,13367,40724,50998,9562,5329,237,150831,9709,15488,49550,29801,18211,22925,5147,152187,16682,14352,47907,21951,19924,23355,8016,292200,51278,32591,98394,35156,22999,38237,13545,183651,73107,25996,48053,11979,5238,13594,5684,999596,119494,2134,8878,29891,57775,9955,10452,409,156970,6072,8638,35207,31207,21072,42964,11810,164485,7804,9203,38114,24026,23774,45145,16419,333993,41764,27747,96506,39537,37496,69213,21730,224654,96160,28593,53660,13115,9570,17860,5696,1658971,778869,23653,43871,40859,42393,40153,15549,22470,10255,243904,12913,85974,66372,98111,21151,5605,5636,880102,22906,47996,42922,37976,34098,13085,17524,9474,223487,13085,94800,91912,175182,43700,5801,6154,1658971,46559,589,539,10287,14983,29003,36466,26384,57397,35246,45123,74251,28634,39994,19729,420384,47007,25998,180774,158284,273293,64851,11406,11790,1159794,538206,164144,165742,114340,93980,621588,160372,155783,139400,166033,140113,69545,22322,22368,14733,10122,70568,17334,18196,18289,16749,3368,1429,546,369,249,265,1939,562,422,523,432,4065,1122,487,275,129,231,2943,966,734,660,583,79,24,0,0,24,0,55,21,18,16,0,222065,106867,33701,36379,21031,15756,115198,30120,32909,24447,27722,129487,61676,18003,18771,14753,10149,67811,16606,15425,16462,19318,11878,5618,890,1536,1463,1729,6260,1217,1210,1910,1923,1642321,770817,237545,241816,163223,128233,871504,224322,221779,197297,228106,361340,130503,43194,14698,3638,13243,4720,6895,68031,22507,4733,24866,8226,7699,19278,6145,709,5562,4613,2249,230837,85660,20104,9910,25679,17099,12868,121621,21492,15338,39301,31324,14166,23556,2706,2796,3563,12021,2470,368994,10734,20354,14671,11553,14428,17803,1167,38209,113160,79090,2903,8083,5356,6762,24721,361340,87652,37124,112214,78003,46347,260013,63412,26199,81668,55939,32795,26871,6009,2900,8169,6174,3619,697,91,109,273,188,36,814,197,53,191,159,214,0,0,0,0,0,0,43478,10806,4538,12636,9861,5637,29467,7137,3325,9277,5682,4046,3652,1144,243,1104,490,671,356339,86178,36677,110727,77353,45404
40,PR,72,,,,,040E0US72,Puerto Rico -- In micropolitan statistical area,96565,46162,6538,206,823,2673,2323,338,175,0,7608,586,718,2741,1305,887,1121,250,8044,909,908,3097,922,869,986,353,15139,2959,1712,5832,1715,986,1413,522,8833,3299,1273,2739,531,127,605,259,50403,6110,240,459,1683,2941,265,505,17,8387,387,519,2164,1451,849,2261,756,8901,553,535,2307,1538,1141,2080,747,16473,1933,1797,5962,1601,1158,2877,1145,10532,4631,1181,2869,461,328,891,171,83917,39624,1376,2256,1969,2152,1752,743,1655,461,14409,388,4085,2869,4125,984,103,297,44293,1274,2263,1727,2240,1653,1071,1033,275,13302,257,4794,3476,8109,2421,92,306,83917,2650,15,32,622,596,1468,1786,1176,2520,2253,2139,3405,1814,2688,736,26363,1348,645,8879,6345,12234,3405,195,603,55974,25240,7753,8994,4643,3850,30734,7614,9290,5949,7881,12027,6255,2093,2542,940,680,5772,1655,1972,988,1157,108,67,26,20,0,21,41,19,13,9,0,133,58,45,13,0,0,75,32,43,0,0,0,0,0,0,0,0,0,0,0,0,0,14446,7384,2168,2682,1669,865,7062,2071,1741,1441,1809,1229,620,279,158,90,93,609,145,243,140,81,274,107,13,83,8,3,167,86,39,38,4,83509,39472,12306,14326,7334,5506,44037,11408,13216,8489,10924,16437,5509,1942,685,153,498,326,280,2703,1193,163,713,439,195,864,154,5,147,465,93,10928,4380,1023,500,1117,1259,481,5486,1145,814,1467,1404,656,1062,75,104,59,751,73,16740,444,1012,916,595,680,636,71,1837,4001,4725,97,162,262,34,1268,16437,4275,1739,4001,4644,1778,11731,3206,1225,2710,3171,1419,1837,355,132,616,593,141,21,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2674,638,354,623,841,218,174,55,28,52,39,0,7,3,0,0,4,0,16430,4272,1739,4001,4640,1778
40,PR,72,,,,,040E1US72,Puerto Rico -- In micropolitan statistical area -- in principal city,22790,10722,1814,19,237,809,719,24,6,0,1434,97,88,500,208,288,218,35,1821,173,197,924,154,151,202,20,3356,557,353,1301,423,253,339,130,2297,770,313,732,136,38,274,34,12068,1577,139,138,537,667,13,83,0,2009,191,172,574,339,257,348,128,2174,181,86,734,364,298,390,121,3620,317,371,1321,379,332,688,212,2688,939,295,912,119,159,248,16,19399,8908,380,435,436,346,289,181,398,83,3457,117,804,730,1033,134,23,62,10491,234,465,347,582,284,266,299,75,3541,89,1112,1046,1674,387,19,71,19399,614,0,0,159,75,296,370,308,475,396,532,573,447,697,158,6646,352,206,1916,1776,2707,521,42,133,12758,5594,1621,2190,837,946,7164,1701,2485,1571,1407,2991,1493,460,629,256,148,1498,268,574,291,365,5,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3281,1629,372,622,477,158,1652,540,402,364,346,364,192,95,16,81,0,172,43,75,21,33,20,11,3,0,8,0,9,9,0,0,0,19379,8897,2545,3457,1643,1252,10482,2543,3541,2247,2151,3403,1252,399,100,54,75,76,94,545,205,88,102,92,58,308,77,0,41,161,29,2151,728,166,59,148,267,88,1159,138,240,338,303,140,264,45,27,0,172,20,3421,64,156,160,122,101,130,8,468,704,1071,53,80,37,0,267,3403,731,468,704,1071,429,2353,652,290,449,590,372,513,27,67,181,207,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,504,38,92,74,274,26,33,14,19,0,0,0,0,0,0,0,0,0,3403,731,468,704,1071,429
40,PR,72,,,,,040E2US72,Puerto Rico -- In micropolitan statistical area -- not in principal city,73775,35440,4724,187,586,1864,1604,314,169,0,6174,489,630,2241,1097,599,903,215,6223,736,711,2173,768,718,784,333,11783,2402,1359,4531,1292,733,1074,392,6536,2529,960,2007,395,89,331,225,38335,4533,101,321,1146,2274,252,422,17,6378,196,347,1590,1112,592,1913,628,6727,372,449,1573,1174,843,1690,626,12853,1616,1426,4641,1222,826,2189,933,7844,3692,886,1957,342,169,643,155,64518,30716,996,1821,1533,1806,1463,562,1257,378,10952,271,3281,2139,3092,850,80,235,33802,1040,1798,1380,1658,1369,805,734,200,9761,168,3682,2430,6435,2034,73,235,64518,2036,15,32,463,521,1172,1416,868,2045,1857,1607,2832,1367,1991,578,19717,996,439,6963,4569,9527,2884,153,470,43216,19646,6132,6804,3806,2904,23570,5913,6805,4378,6474,9036,4762,1633,1913,684,532,4274,1387,1398,697,792,103,67,26,20,0,21,36,19,8,9,0,133,58,45,13,0,0,75,32,43,0,0,0,0,0,0,0,0,0,0,0,0,0,11165,5755,1796,2060,1192,707,5410,1531,1339,1077,1463,865,428,184,142,9,93,437,102,168,119,48,254,96,10,83,0,3,158,77,39,38,4,64130,30575,9761,10869,5691,4254,33555,8865,9675,6242,8773,13034,4257,1543,585,99,423,250,186,2158,988,75,611,347,137,556,77,5,106,304,64,8777,3652,857,441,969,992,393,4327,1007,574,1129,1101,516,798,30,77,59,579,53,13319,380,856,756,473,579,506,63,1369,3297,3654,44,82,225,34,1001,13034,3544,1271,3297,3573,1349,9378,2554,935,2261,2581,1047,1324,328,65,435,386,110,21,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2170,600,262,549,567,192,141,41,9,52,39,0,7,3,0,0,4,0,13027,3541,1271,3297,3569,1349
