SummaryLevel,State,StateFIPS,CountyFIPS,PlaceFIPS,CBSACode,CongressDistrict,GEOID,AreaName,B15001_001,B15001_002,B15001_003,B15001_004,B15001_005,B15001_006,B15001_007,B15001_008,B15001_009,B15001_010,B15001_011,B15001_012,B15001_013,B15001_014,B15001_015,B15001_016,B15001_017,B15001_018,B15001_019,B15001_020,B15001_021,B15001_022,B15001_023,B15001_024,B15001_025,B15001_026,B15001_027,B15001_028,B15001_029,B15001_030,B15001_031,B15001_032,B15001_033,B15001_034,B15001_035,B15001_036,B15001_037,B15001_038,B15001_039,B15001_040,B15001_041,B15001_042,B15001_043,B15001_044,B15001_045,B15001_046,B15001_047,B15001_048,B15001_049,B15001_050,B15001_051,B15001_052,B15001_053,B15001_054,B15001_055,B15001_056,B15001_057,B15001_058,B15001_059,B15001_060,B15001_061,B15001_062,B15001_063,B15001_064,B15001_065,B15001_066,B15001_067,B15001_068,B15001_069,B15001_070,B15001_071,B15001_072,B15001_073,B15001_074,B15001_075,B15001_076,B15001_077,B15001_078,B15001_079,B15001_080,B15001_081,B15001_082,B15001_083,B15002_001,B15002_002,B15002_003,B15002_004,B15002_005,B15002_006,B15002_007,B15002_008,B15002_009,B15002_010,B15002_011,B15002_012,B15002_013,B15002_014,B15002_015,B15002_016,B15002_017,B15002_018,B15002_019,B15002_020,B15002_021,B15002_022,B15002_023,B15002_024,B15002_025,B15002_026,B15002_027,B15002_028,B15002_029,B15002_030,B15002_031,B15002_032,B15002_033,B15002_034,B15002_035,B15003_001,B15003_002,B15003_003,B15003_004,B15003_005,B15003_006,B15003_007,B15003_008,B15003_009,B15003_010,B15003_011,B15003_012,B15003_013,B15003_014,B15003_015,B15003_016,B15003_017,B15003_018,B15003_019,B15003_020,B15003_021,B15003_022,B15003_023,B15003_024,B15003_025,C15002A_001,C15002A_002,C15002A_003,C15002A_004,C15002A_005,C15002A_006,C15002A_007,C15002A_008,C15002A_009,C15002A_010,C15002A_011,C15002B_001,C15002B_002,C15002B_003,C15002B_004,C15002B_005,C15002B_006,C15002B_007,C15002B_008,C15002B_009,C15002B_010,C15002B_011,C15002C_001,C15002C_002,C15002C_003,C15002C_004,C15002C_005,C15002C_006,C15002C_007,C15002C_008,C15002C_009,C15002C_010,C15002C_011,C15002D_001,C15002D_002,C15002D_003,C15002D_004,C15002D_005,C15002D_006,C15002D_007,C15002D_008,C15002D_009,C15002D_010,C15002D_011,C15002E_001,C15002E_002,C15002E_003,C15002E_004,C15002E_005,C15002E_006,C15002E_007,C15002E_008,C15002E_009,C15002E_010,C15002E_011,C15002F_001,C15002F_002,C15002F_003,C15002F_004,C15002F_005,C15002F_006,C15002F_007,C15002F_008,C15002F_009,C15002F_010,C15002F_011,C15002G_001,C15002G_002,C15002G_003,C15002G_004,C15002G_005,C15002G_006,C15002G_007,C15002G_008,C15002G_009,C15002G_010,C15002G_011,C15002H_001,C15002H_002,C15002H_003,C15002H_004,C15002H_005,C15002H_006,C15002H_007,C15002H_008,C15002H_009,C15002H_010,C15002H_011,C15002I_001,C15002I_002,C15002I_003,C15002I_004,C15002I_005,C15002I_006,C15002I_007,C15002I_008,C15002I_009,C15002I_010,C15002I_011,B15011_001,B15011_002,B15011_003,B15011_004,B15011_005,B15011_006,B15011_007,B15011_008,B15011_009,B15011_010,B15011_011,B15011_012,B15011_013,B15011_014,B15011_015,B15011_016,B15011_017,B15011_018,B15011_019,B15011_020,B15011_021,B15011_022,B15011_023,B15011_024,B15011_025,B15011_026,B15011_027,B15011_028,B15011_029,B15011_030,B15011_031,B15011_032,B15011_033,B15011_034,B15011_035,B15011_036,B15011_037,B15011_038,B15011_039,B15012_001,B15012_002,B15012_003,B15012_004,B15012_005,B15012_006,B15012_007,B15012_008,B15012_009,B15012_010,B15012_011,B15012_012,B15012_013,B15012_014,B15012_015,B15012_016,C15010_001,C15010_002,C15010_003,C15010_004,C15010_005,C15010_006,C15010A_001,C15010A_002,C15010A_003,C15010A_004,C15010A_005,C15010A_006,C15010B_001,C15010B_002,C15010B_003,C15010B_004,C15010B_005,C15010B_006,C15010C_001,C15010C_002,C15010C_003,C15010C_004,C15010C_005,C15010C_006,C15010D_001,C15010D_002,C15010D_003,C15010D_004,C15010D_005,C15010D_006,C15010E_001,C15010E_002,C15010E_003,C15010E_004,C15010E_005,C15010E_006,C15010F_001,C15010F_002,C15010F_003,C15010F_004,C15010F_005,C15010F_006,C15010G_001,C15010G_002,C15010G_003,C15010G_004,C15010G_005,C15010G_006,C15010H_001,C15010H_002,C15010H_003,C15010H_004,C15010H_005,C15010H_006,C15010I_001,C15010I_002,C15010I_003,C15010I_004,C15010I_005,C15010I_006
40,SC,45,,,,,04000US45,South Carolina,3748826,1796362,246410,3695,36667,85562,95738,8500,15535,713,309318,10752,34403,93605,72454,23990,55739,18375,293008,11529,28697,88128,63394,24379,51684,25197,610967,26158,61956,194715,119421,52819,102517,53381,336659,31608,31871,92267,58952,21663,55497,44801,1952464,232992,2017,26053,65063,104826,10256,23084,1693,316529,7786,24278,68108,80375,34157,69588,32237,304445,7954,20095,70542,68389,38775,60757,37933,673477,19363,49750,205274,145058,76284,109126,68622,425021,38112,51775,150383,78097,27051,47060,32543,3269424,1549952,18954,9853,17801,33439,33736,46171,44915,32105,468715,90263,223958,122851,265437,93627,27556,20571,1719472,18136,6797,15064,33218,30095,44576,44729,26498,494307,108363,263556,176267,286531,138277,19109,13949,3269424,37090,694,370,1427,2087,6768,5304,8173,24692,21656,45001,63831,90747,89644,58603,818122,144900,198626,487514,299118,551968,231904,46665,34520,2303277,1111218,137026,305349,323777,345066,1192059,123797,331360,379370,357532,834119,373206,82237,147331,98464,45174,460913,80807,147538,150732,81836,9941,4811,1251,1459,1365,736,5130,1125,1467,1822,716,46093,20044,2427,3785,3714,10118,26049,4597,5617,5218,10617,1418,689,80,154,370,85,729,61,213,301,154,40011,23373,10976,6260,4261,1876,16638,6482,4342,3343,2471,34565,16611,2977,4377,5121,4136,17954,2244,3770,7400,4540,2215755,1063573,118121,292977,314543,337932,1152182,111230,320892,369772,350288,135457,75054,30948,19946,14611,9549,60403,20004,15940,13923,10536,865057,407191,112049,44177,5387,28678,5423,28384,194844,78032,10055,57110,12608,37039,100298,42107,5038,26187,9927,17039,457866,150871,43221,17906,27506,23904,38334,227392,51886,29079,47413,53230,45784,79603,13690,9088,7360,31771,17694,920175,31898,52389,31993,45095,62685,63169,6400,82567,201592,141303,38521,50032,29965,29565,53001,865057,273113,76553,194254,136863,184274,702598,222240,62971,155880,111840,149667,127010,35331,9906,31377,22013,28383,1452,431,223,320,162,316,20735,10229,2241,3868,1436,2961,239,62,12,35,18,112,4347,1467,341,1178,462,899,8676,3353,859,1596,932,1936,688220,216779,61533,152114,110462,147332,20085,7078,2131,5077,2011,3788
40,SC,45,,,,,04001US45,South Carolina -- Urban,2509948,1190055,179034,2413,22937,57731,76336,5857,13149,611,220297,7639,21326,58896,52441,16275,47472,16248,197784,7524,16565,51674,43709,15637,41436,21239,383936,14407,33085,108309,77830,33069,76275,40961,209004,15001,16829,51384,38885,13697,40233,32975,1319893,171889,1257,17013,44649,81439,7153,18954,1424,230600,5711,15686,44394,56844,24486,56366,27113,208005,5215,12793,42237,46488,25192,47141,28939,431872,11253,28146,116760,95276,48815,81077,50545,277527,21494,30297,94028,54294,18151,35473,23790,2159025,1011021,11105,5367,10401,17698,18634,24744,25419,19008,270263,59180,153685,78678,205416,72950,22365,16108,1148004,11476,4115,9215,18867,17364,25479,27231,16848,297419,73130,179772,116644,220057,104188,15027,11172,2159025,22581,476,164,836,1135,4014,2857,4338,15278,11751,24814,35998,50223,52650,35856,485217,82465,132310,333457,195322,425473,177138,37392,27280,1508104,720778,71150,170133,211857,267638,787326,69658,195458,248958,273252,547470,239414,48780,88372,67871,34391,308056,50532,90146,106438,60940,5630,2725,652,746,804,523,2905,482,704,1290,429,40576,17946,2030,3105,3347,9464,22630,3742,4866,4315,9707,1187,563,69,114,317,63,624,61,171,253,139,30415,17432,7641,5015,3423,1353,12983,4547,3549,2662,2225,25643,12163,2054,2778,3924,3407,13480,1573,2525,5630,3752,1435812,681857,56036,160289,204161,261371,753955,59209,186700,241027,267019,108966,59526,23504,15820,12128,8074,49440,15646,13160,11460,9174,667283,316839,94850,37293,4584,24821,4016,24136,148781,59850,7727,43742,9121,28341,73208,30880,3602,19157,6827,12742,350444,121647,36008,14241,22026,17539,31833,169534,39585,21592,36333,36687,35337,59263,10263,6714,5406,22891,13989,710329,24865,40666,24950,35471,49526,49449,5072,63195,157033,100421,31276,38345,24856,24736,40468,667283,213879,58460,151485,97081,146378,540890,173320,47749,121202,79283,119336,95331,26613,7442,24351,15408,21517,952,285,140,230,103,194,19171,9527,2083,3520,1266,2775,202,62,12,26,18,84,3578,1286,294,876,338,784,7159,2786,740,1280,665,1688,528390,168447,46671,117839,78117,117316,17248,6283,1677,4345,1631,3312
40,SC,45,,,,,04043US45,South Carolina -- Rural,1238878,606307,67376,1282,13730,27831,19402,2643,2386,102,89021,3113,13077,34709,20013,7715,8267,2127,95224,4005,12132,36454,19685,8742,10248,3958,227031,11751,28871,86406,41591,19750,26242,12420,127655,16607,15042,40883,20067,7966,15264,11826,632571,61103,760,9040,20414,23387,3103,4130,269,85929,2075,8592,23714,23531,9671,13222,5124,96440,2739,7302,28305,21901,13583,13616,8994,241605,8110,21604,88514,49782,27469,28049,18077,147494,16618,21478,56355,23803,8900,11587,8753,1110399,538931,7849,4486,7400,15741,15102,21427,19496,13097,198452,31083,70273,44173,60021,20677,5191,4463,571468,6660,2682,5849,14351,12731,19097,17498,9650,196888,35233,83784,59623,66474,34089,4082,2777,1110399,14509,218,206,591,952,2754,2447,3835,9414,9905,20187,27833,40524,36994,22747,332905,62435,66316,154057,103796,126495,54766,9273,7240,795173,390440,65876,135216,111920,77428,404733,54139,135902,130412,84280,286649,133792,33457,58959,30593,10783,152857,30275,57392,44294,20896,4311,2086,599,713,561,213,2225,643,763,532,287,5517,2098,397,680,367,654,3419,855,751,903,910,231,126,11,40,53,22,105,0,42,48,15,9596,5941,3335,1245,838,523,3655,1935,793,681,246,8922,4448,923,1599,1197,729,4474,671,1245,1770,788,779943,381716,62085,132688,110382,76561,398227,52021,134192,128745,83269,26491,15528,7444,4126,2483,1475,10963,4358,2780,2463,1362,197774,90352,17199,6884,803,3857,1407,4248,46063,18182,2328,13368,3487,8698,27090,11227,1436,7030,3100,4297,107422,29224,7213,3665,5480,6365,6501,57858,12301,7487,11080,16543,10447,20340,3427,2374,1954,8880,3705,209846,7033,11723,7043,9624,13159,13720,1328,19372,44559,40882,7245,11687,5109,4829,12533,197774,59234,18093,42769,39782,37896,161708,48920,15222,34678,32557,30331,31679,8718,2464,7026,6605,6866,500,146,83,90,59,122,1564,702,158,348,170,186,37,0,0,9,0,28,769,181,47,302,124,115,1517,567,119,316,267,248,159830,48332,14862,34275,32345,30016,2837,795,454,732,380,476
40,SC,45,,,,,040A0US45,South Carolina -- In metropolitan or micropolitan statistical area,3509190,1680715,231268,3325,32770,79476,91619,8070,15295,713,291230,9887,31293,86229,68739,22683,54294,18105,274907,10928,25767,80183,60148,22673,50439,24769,570148,23681,55540,177944,111992,49780,99160,52051,313162,27436,28444,84949,55486,20019,53380,43448,1828475,219853,1808,24210,60212,100020,9529,22481,1593,299645,7304,22504,63018,75766,32175,67344,31534,286322,7321,18307,64711,64319,36477,58403,36784,628230,17657,44761,187390,135901,71751,104878,65892,394425,33644,46501,138470,73823,25677,45051,31259,3058069,1449447,17189,8699,15949,30095,30515,41797,39421,29311,429305,85596,210769,115155,257273,91451,26965,19957,1608622,16514,6185,13452,29775,27373,40342,39798,24560,453589,102038,247771,166080,275676,133179,18551,13739,3058069,33703,685,351,1269,1859,6095,4625,7096,22305,19248,40622,57888,82139,79219,53871,748499,134395,187634,458540,281235,532949,224630,45516,33696,2196728,1059123,127214,286265,308973,336671,1137605,116065,311503,362206,347831,734661,327863,69165,127768,88436,42494,406798,68185,127186,136166,75261,8662,4184,921,1324,1283,656,4478,824,1319,1691,644,45394,19740,2412,3713,3609,10006,25654,4524,5572,5130,10428,1281,635,80,132,360,63,646,10,213,282,141,38342,22204,10450,6040,4017,1697,16138,6250,4210,3252,2426,33001,15698,2734,4063,4842,4059,17303,2141,3586,7162,4414,2111323,1012786,109042,274185,299930,329629,1098537,103823,301346,352705,340663,130975,72137,29510,19283,14148,9196,58838,19284,15404,13741,10409,836791,395646,109661,43423,5219,28199,5196,27624,189157,75999,9604,55632,12096,35826,96828,41085,4762,25189,9341,16451,441145,146317,42024,17161,26845,23039,37248,218518,50391,27974,45773,50083,44297,76310,13417,8835,6972,30030,17056,890569,31190,50810,31311,43915,60813,62117,6243,79469,195799,134038,37571,48165,29324,28983,50821,836791,266339,73555,188610,129785,178502,684502,217988,60909,151971,107116,146518,117755,33059,9140,29877,19744,25935,1300,359,175,299,157,310,20434,10142,2127,3811,1402,2952,204,62,12,26,18,86,4123,1434,341,1069,452,827,8473,3295,851,1557,896,1874,670292,212560,59490,148256,105768,144218,19605,6981,2112,4897,1965,3650
40,SC,45,,,,,040C0US45,South Carolina -- In metropolitan statistical area,3163424,1516418,210497,3034,29079,72065,84261,7178,14218,662,266571,9153,27680,77212,63341,20571,51340,17274,250137,9995,22381,71042,55069,20590,47548,23512,512572,20570,47965,156988,102569,44687,91738,48055,276641,23178,24488,74137,49515,17616,48469,39238,1647006,198833,1687,20840,54429,90679,8595,21102,1501,274642,6646,20033,56393,69214,28950,63563,29843,260395,6538,15680,57597,58301,32670,55192,34417,564671,14889,39025,166371,123293,64337,96410,60346,348465,28097,39679,122553,66744,22807,40527,28058,2754094,1305921,15064,7790,13957,26085,26497,36038,33901,26078,379379,78208,192286,103464,239095,84829,25031,18219,1448173,14338,5428,11671,24733,23370,34877,34477,21693,402914,92483,225069,148764,255692,122771,17458,12435,2754094,29402,680,302,1163,1629,5413,4031,5999,19629,16325,34493,49867,70915,68378,47771,664797,117496,170691,417355,252228,494787,207600,42489,30654,1996440,962708,111188,255776,282140,313604,1033732,100879,279199,329767,323887,641353,286077,59476,109834,78695,38072,355276,57672,110047,120314,67243,7387,3593,736,1111,1127,619,3794,706,1058,1465,565,43502,18950,2302,3596,3485,9567,24552,4288,5209,4958,10097,1221,630,80,132,355,63,591,10,210,255,116,34302,19853,9171,5469,3663,1550,14449,5253,3917,2997,2282,29889,14110,2457,3461,4493,3699,15779,1779,3274,6560,4166,1915263,918986,94113,244422,273526,306925,996277,89435,269293,320669,316880,122341,67015,27044,17887,13315,8769,55326,17379,14776,13088,10083,775530,367174,103956,41146,4976,26843,4773,26218,175511,70704,8877,51890,10758,33282,87707,36954,4383,22912,8421,15037,408356,138271,39818,16108,25557,21192,35596,201500,46656,25801,42527,45339,41177,68585,12284,8086,6065,26458,15692,825400,28929,46602,28852,41086,57112,57848,5971,73650,182481,120825,35476,44779,27589,27654,46546,775530,247562,68231,175794,116941,167002,637491,203465,56573,142518,97189,137746,105315,29626,8313,26868,16927,23581,1184,320,153,265,136,310,19664,9796,2030,3660,1377,2801,179,62,12,26,18,61,3832,1351,321,964,439,757,7865,2942,829,1493,855,1746,623805,198376,55210,138889,95853,135477,18852,6621,2017,4733,1927,3554
40,SC,45,,,,,040C1US45,South Carolina -- In metropolitan statistical area -- in principal city,656461,312816,58719,566,5876,17426,28090,1478,5018,265,65899,1909,6166,13995,14994,4674,17547,6614,48949,1934,3887,11301,11031,3751,10599,6446,89525,3596,8441,23428,17454,6818,18139,11649,49724,3402,3785,10175,8590,3378,10358,10036,343645,57699,330,4374,14232,29439,1940,6880,504,66057,1483,3912,10588,14794,6293,18972,10015,49276,916,2936,10276,10208,5631,11544,7765,101969,2275,7057,25267,21688,10931,21304,13447,68644,4651,7197,20087,13967,4579,10729,7434,540043,254097,2508,1402,2633,4298,4419,7022,6744,4094,58899,13275,38794,18621,56643,21101,8702,4942,285946,2388,886,2158,3893,4094,6048,6675,4285,66218,16565,44092,27434,62549,29492,5809,3360,540043,4896,151,59,189,295,984,610,1152,3639,2632,5559,8513,13070,13419,8379,108395,16722,29840,82886,46055,119192,50593,14511,8302,348287,168426,12958,30332,47386,77750,179861,11541,35428,52680,80212,166295,73339,17038,25917,20545,9839,92956,16453,28085,31774,16644,940,431,77,142,147,65,509,63,81,293,72,10559,4730,588,760,731,2651,5829,1017,1052,1208,2552,357,116,11,8,86,11,241,10,59,113,59,7053,3999,1900,1143,730,226,3054,905,870,610,669,6552,3056,548,597,1065,846,3496,438,643,1413,1002,330026,158713,9150,28064,45649,75850,171313,9150,33166,50557,78440,27311,14700,5932,3659,2736,2373,12611,3481,3386,3120,2624,192598,91388,33039,12756,1745,8366,1272,8900,37955,14692,1637,11298,2372,7956,20394,8685,1181,4957,1567,4004,101210,39448,12069,4064,7430,5176,10709,43599,10024,5463,9090,8700,10322,18163,3244,2166,1513,6499,4741,205607,5523,12420,7369,10575,17094,12162,1309,17478,44094,26394,11296,11976,8872,8000,11045,192598,61470,16256,42654,25586,46632,157962,51566,13234,33490,21157,38515,26483,6387,2020,7692,3855,6529,137,41,20,20,5,51,5203,2535,626,885,258,899,70,0,0,26,0,44,895,359,40,223,78,195,1848,582,316,318,233,399,154290,50124,12798,32821,20776,37771,4997,1859,578,989,459,1112
40,SC,45,,,,,040C2US45,South Carolina -- In metropolitan statistical area -- not in principal city,2506963,1203602,151778,2468,23203,54639,56171,5700,9200,397,200672,7244,21514,63217,48347,15897,33793,10660,201188,8061,18494,59741,44038,16839,36949,17066,423047,16974,39524,133560,85115,37869,73599,36406,226917,19776,20703,63962,40925,14238,38111,29202,1303361,141134,1357,16466,40197,61240,6655,14222,997,208585,5163,16121,45805,54420,22657,44591,19828,211119,5622,12744,47321,48093,27039,43648,26652,462702,12614,31968,141104,101605,53406,75106,46899,279821,23446,32482,102466,52777,18228,29798,20624,2214051,1051824,12556,6388,11324,21787,22078,29016,27157,21984,320480,64933,153492,84843,182452,63728,16329,13277,1162227,11950,4542,9513,20840,19276,28829,27802,17408,336696,75918,180977,121330,193143,93279,11649,9075,2214051,24506,529,243,974,1334,4429,3421,4847,15990,13693,28934,41354,57845,54959,39392,556402,100774,140851,334469,206173,375595,157007,27978,22352,1648153,794282,98230,225444,234754,235854,853871,89338,243771,277087,243675,475058,212738,42438,83917,58150,28233,262320,41219,81962,88540,50599,6447,3162,659,969,980,554,3285,643,977,1172,493,32943,14220,1714,2836,2754,6916,18723,3271,4157,3750,7545,864,514,69,124,269,52,350,0,151,142,57,27249,15854,7271,4326,2933,1324,11395,4348,3047,2387,1613,23337,11054,1909,2864,3428,2853,12283,1341,2631,5147,3164,1585237,760273,84963,216358,227877,231075,824964,80285,236127,270112,238440,95030,52315,21112,14228,10579,6396,42715,13898,11390,9968,7459,582932,275786,70917,28390,3231,18477,3501,17318,137556,56012,7240,40592,8386,25326,67313,28269,3202,17955,6854,11033,307146,98823,27749,12044,18127,16016,24887,157901,36632,20338,33437,36639,30855,50422,9040,5920,4552,19959,10951,619793,23406,34182,21483,30511,40018,45686,4662,56172,138387,94431,24180,32803,18717,19654,35501,582932,186092,51975,133140,91355,120370,479529,151899,43339,109028,76032,99231,78832,23239,6293,19176,13072,17052,1047,279,133,245,131,259,14461,7261,1404,2775,1119,1902,109,62,12,0,18,17,2937,992,281,741,361,562,6017,2360,513,1175,622,1347,469515,148252,42412,106068,75077,97706,13855,4762,1439,3744,1468,2442
40,SC,45,,,,,040E0US45,South Carolina -- In micropolitan statistical area,345766,164297,20771,291,3691,7411,7358,892,1077,51,24659,734,3613,9017,5398,2112,2954,831,24770,933,3386,9141,5079,2083,2891,1257,57576,3111,7575,20956,9423,5093,7422,3996,36521,4258,3956,10812,5971,2403,4911,4210,181469,21020,121,3370,5783,9341,934,1379,92,25003,658,2471,6625,6552,3225,3781,1691,25927,783,2627,7114,6018,3807,3211,2367,63559,2768,5736,21019,12608,7414,8468,5546,45960,5547,6822,15917,7079,2870,4524,3201,303975,143526,2125,909,1992,4010,4018,5759,5520,3233,49926,7388,18483,11691,18178,6622,1934,1738,160449,2176,757,1781,5042,4003,5465,5321,2867,50675,9555,22702,17316,19984,10408,1093,1304,303975,4301,5,49,106,230,682,594,1097,2676,2923,6129,8021,11224,10841,6100,83702,16899,16943,41185,29007,38162,17030,3027,3042,200288,96415,16026,30489,26833,23067,103873,15186,32304,32439,23944,93308,41786,9689,17934,9741,4422,51522,10513,17139,15852,8018,1275,591,185,213,156,37,684,118,261,226,79,1892,790,110,117,124,439,1102,236,363,172,331,60,5,0,0,5,0,55,0,3,27,25,4040,2351,1279,571,354,147,1689,997,293,255,144,3112,1588,277,602,349,360,1524,362,312,602,248,196060,93800,14929,29763,26404,22704,102260,14388,32053,32036,23783,8634,5122,2466,1396,833,427,3512,1905,628,653,326,61261,28472,5705,2277,243,1356,423,1406,13646,5295,727,3742,1338,2544,9121,4131,379,2277,920,1414,32789,8046,2206,1053,1288,1847,1652,17018,3735,2173,3246,4744,3120,7725,1133,749,907,3572,1364,65169,2261,4208,2459,2829,3701,4269,272,5819,13318,13213,2095,3386,1735,1329,4275,61261,18777,5324,12816,12844,11500,47011,14523,4336,9453,9927,8772,12440,3433,827,3009,2817,2354,116,39,22,34,21,0,770,346,97,151,25,151,25,0,0,0,0,25,291,83,20,105,13,70,608,353,22,64,41,128,46487,14184,4280,9367,9915,8741,753,360,95,164,38,96
40,SC,45,,,,,040E1US45,South Carolina -- In micropolitan statistical area -- in principal city,66429,30345,5277,91,748,1450,2660,99,210,19,5680,260,972,1619,1344,363,758,364,4786,157,777,1580,1176,188,690,218,9247,644,1553,3084,1401,834,1112,619,5355,620,652,1589,815,298,760,621,36084,6402,79,981,1355,3427,272,244,44,5810,152,743,1353,1406,814,855,487,4741,103,668,1235,1354,583,531,267,10647,662,1277,3467,2063,966,1502,710,8484,1326,1471,2809,1096,383,858,541,54750,25068,357,223,413,688,756,1234,1391,573,7872,1038,3698,1683,3320,1164,282,376,29682,404,164,524,1151,759,1428,1380,592,8864,1774,4145,2746,3746,1711,116,178,54750,761,0,15,14,56,201,101,179,758,599,1240,1515,2662,2771,1165,14154,2582,2812,7843,4429,7066,2875,398,554,26198,12429,1850,3126,3843,3610,13769,2228,4193,3633,3715,25925,11391,3301,4540,2283,1267,14534,3635,4343,4785,1771,80,50,27,8,6,9,30,5,13,0,12,407,161,11,0,55,95,246,53,89,28,76,14,0,0,0,0,0,14,0,0,0,14,1269,656,353,54,161,88,613,307,152,35,119,857,381,93,144,71,73,476,174,74,184,44,25241,11882,1555,3055,3711,3561,13359,1992,4169,3508,3690,2276,1171,665,136,301,69,1105,587,203,160,155,10893,5142,1518,684,61,286,106,381,2243,879,148,564,191,461,1381,580,27,301,128,345,5751,1718,595,285,250,382,206,2634,507,224,556,730,617,1399,303,45,95,729,227,11366,310,769,539,581,734,667,109,826,2103,2290,455,665,365,194,759,10893,3548,790,2052,2266,2237,7325,2394,546,1190,1560,1635,3038,930,195,726,687,500,21,9,0,12,0,0,171,57,19,44,8,43,14,0,0,0,0,14,207,68,20,69,11,39,117,90,10,11,0,6,7251,2354,537,1175,1560,1625,224,40,39,90,11,44
40,SC,45,,,,,040E2US45,South Carolina -- In micropolitan statistical area -- not in principal city,279337,133952,15494,200,2943,5961,4698,793,867,32,18979,474,2641,7398,4054,1749,2196,467,19984,776,2609,7561,3903,1895,2201,1039,48329,2467,6022,17872,8022,4259,6310,3377,31166,3638,3304,9223,5156,2105,4151,3589,145385,14618,42,2389,4428,5914,662,1135,48,19193,506,1728,5272,5146,2411,2926,1204,21186,680,1959,5879,4664,3224,2680,2100,52912,2106,4459,17552,10545,6448,6966,4836,37476,4221,5351,13108,5983,2487,3666,2660,249225,118458,1768,686,1579,3322,3262,4525,4129,2660,42054,6350,14785,10008,14858,5458,1652,1362,130767,1772,593,1257,3891,3244,4037,3941,2275,41811,7781,18557,14570,16238,8697,977,1126,249225,3540,5,34,92,174,481,493,918,1918,2324,4889,6506,8562,8070,4935,69548,14317,14131,33342,24578,31096,14155,2629,2488,174090,83986,14176,27363,22990,19457,90104,12958,28111,28806,20229,67383,30395,6388,13394,7458,3155,36988,6878,12796,11067,6247,1195,541,158,205,150,28,654,113,248,226,67,1485,629,99,117,69,344,856,183,274,144,255,46,5,0,0,5,0,41,0,3,27,11,2771,1695,926,517,193,59,1076,690,141,220,25,2255,1207,184,458,278,287,1048,188,238,418,204,170819,81918,13374,26708,22693,19143,88901,12396,27884,28528,20093,6358,3951,1801,1260,532,358,2407,1318,425,493,171,50368,23330,4187,1593,182,1070,317,1025,11403,4416,579,3178,1147,2083,7740,3551,352,1976,792,1069,27038,6328,1611,768,1038,1465,1446,14384,3228,1949,2690,4014,2503,6326,830,704,812,2843,1137,53803,1951,3439,1920,2248,2967,3602,163,4993,11215,10923,1640,2721,1370,1135,3516,50368,15229,4534,10764,10578,9263,39686,12129,3790,8263,8367,7137,9402,2503,632,2283,2130,1854,95,30,22,22,21,0,599,289,78,107,17,108,11,0,0,0,0,11,84,15,0,36,2,31,491,263,12,53,41,122,39236,11830,3743,8192,8355,7116,529,320,56,74,27,52
