SummaryLevel,State,StateFIPS,CountyFIPS,PlaceFIPS,CBSACode,CongressDistrict,GEOID,AreaName,B15001_001,B15001_002,B15001_003,B15001_004,B15001_005,B15001_006,B15001_007,B15001_008,B15001_009,B15001_010,B15001_011,B15001_012,B15001_013,B15001_014,B15001_015,B15001_016,B15001_017,B15001_018,B15001_019,B15001_020,B15001_021,B15001_022,B15001_023,B15001_024,B15001_025,B15001_026,B15001_027,B15001_028,B15001_029,B15001_030,B15001_031,B15001_032,B15001_033,B15001_034,B15001_035,B15001_036,B15001_037,B15001_038,B15001_039,B15001_040,B15001_041,B15001_042,B15001_043,B15001_044,B15001_045,B15001_046,B15001_047,B15001_048,B15001_049,B15001_050,B15001_051,B15001_052,B15001_053,B15001_054,B15001_055,B15001_056,B15001_057,B15001_058,B15001_059,B15001_060,B15001_061,B15001_062,B15001_063,B15001_064,B15001_065,B15001_066,B15001_067,B15001_068,B15001_069,B15001_070,B15001_071,B15001_072,B15001_073,B15001_074,B15001_075,B15001_076,B15001_077,B15001_078,B15001_079,B15001_080,B15001_081,B15001_082,B15001_083,B15002_001,B15002_002,B15002_003,B15002_004,B15002_005,B15002_006,B15002_007,B15002_008,B15002_009,B15002_010,B15002_011,B15002_012,B15002_013,B15002_014,B15002_015,B15002_016,B15002_017,B15002_018,B15002_019,B15002_020,B15002_021,B15002_022,B15002_023,B15002_024,B15002_025,B15002_026,B15002_027,B15002_028,B15002_029,B15002_030,B15002_031,B15002_032,B15002_033,B15002_034,B15002_035,B15003_001,B15003_002,B15003_003,B15003_004,B15003_005,B15003_006,B15003_007,B15003_008,B15003_009,B15003_010,B15003_011,B15003_012,B15003_013,B15003_014,B15003_015,B15003_016,B15003_017,B15003_018,B15003_019,B15003_020,B15003_021,B15003_022,B15003_023,B15003_024,B15003_025,C15002A_001,C15002A_002,C15002A_003,C15002A_004,C15002A_005,C15002A_006,C15002A_007,C15002A_008,C15002A_009,C15002A_010,C15002A_011,C15002B_001,C15002B_002,C15002B_003,C15002B_004,C15002B_005,C15002B_006,C15002B_007,C15002B_008,C15002B_009,C15002B_010,C15002B_011,C15002C_001,C15002C_002,C15002C_003,C15002C_004,C15002C_005,C15002C_006,C15002C_007,C15002C_008,C15002C_009,C15002C_010,C15002C_011,C15002D_001,C15002D_002,C15002D_003,C15002D_004,C15002D_005,C15002D_006,C15002D_007,C15002D_008,C15002D_009,C15002D_010,C15002D_011,C15002E_001,C15002E_002,C15002E_003,C15002E_004,C15002E_005,C15002E_006,C15002E_007,C15002E_008,C15002E_009,C15002E_010,C15002E_011,C15002F_001,C15002F_002,C15002F_003,C15002F_004,C15002F_005,C15002F_006,C15002F_007,C15002F_008,C15002F_009,C15002F_010,C15002F_011,C15002G_001,C15002G_002,C15002G_003,C15002G_004,C15002G_005,C15002G_006,C15002G_007,C15002G_008,C15002G_009,C15002G_010,C15002G_011,C15002H_001,C15002H_002,C15002H_003,C15002H_004,C15002H_005,C15002H_006,C15002H_007,C15002H_008,C15002H_009,C15002H_010,C15002H_011,C15002I_001,C15002I_002,C15002I_003,C15002I_004,C15002I_005,C15002I_006,C15002I_007,C15002I_008,C15002I_009,C15002I_010,C15002I_011,B15011_001,B15011_002,B15011_003,B15011_004,B15011_005,B15011_006,B15011_007,B15011_008,B15011_009,B15011_010,B15011_011,B15011_012,B15011_013,B15011_014,B15011_015,B15011_016,B15011_017,B15011_018,B15011_019,B15011_020,B15011_021,B15011_022,B15011_023,B15011_024,B15011_025,B15011_026,B15011_027,B15011_028,B15011_029,B15011_030,B15011_031,B15011_032,B15011_033,B15011_034,B15011_035,B15011_036,B15011_037,B15011_038,B15011_039,B15012_001,B15012_002,B15012_003,B15012_004,B15012_005,B15012_006,B15012_007,B15012_008,B15012_009,B15012_010,B15012_011,B15012_012,B15012_013,B15012_014,B15012_015,B15012_016,C15010_001,C15010_002,C15010_003,C15010_004,C15010_005,C15010_006,C15010A_001,C15010A_002,C15010A_003,C15010A_004,C15010A_005,C15010A_006,C15010B_001,C15010B_002,C15010B_003,C15010B_004,C15010B_005,C15010B_006,C15010C_001,C15010C_002,C15010C_003,C15010C_004,C15010C_005,C15010C_006,C15010D_001,C15010D_002,C15010D_003,C15010D_004,C15010D_005,C15010D_006,C15010E_001,C15010E_002,C15010E_003,C15010E_004,C15010E_005,C15010E_006,C15010F_001,C15010F_002,C15010F_003,C15010F_004,C15010F_005,C15010F_006,C15010G_001,C15010G_002,C15010G_003,C15010G_004,C15010G_005,C15010G_006,C15010H_001,C15010H_002,C15010H_003,C15010H_004,C15010H_005,C15010H_006,C15010I_001,C15010I_002,C15010I_003,C15010I_004,C15010I_005,C15010I_006
40,SD,46,,,,,04000US46,South Dakota,641443,320429,44122,863,6424,14090,17026,2768,2806,145,58036,1341,3869,16792,12585,8242,11859,3348,49930,1303,2633,14152,11119,6775,9820,4128,109886,2819,5471,38846,23876,11670,19092,8112,58455,5630,3964,20902,10430,2286,8819,6424,321014,40734,522,4709,10964,17656,2597,4065,221,53706,1227,2556,10628,12470,7283,14722,4820,46986,1008,1705,9696,10351,6895,12196,5135,108834,1945,3695,31832,25648,14592,22332,8790,70754,5040,4849,28775,15162,3740,8922,4266,556587,276307,1615,664,1185,7629,3167,4076,5068,3626,90692,16859,41151,28973,49590,13332,4696,3984,280280,1786,656,751,6027,2387,3684,3890,2844,80931,18140,45491,32510,58172,17697,2880,2434,556587,3401,43,40,136,135,511,455,648,1288,818,12838,5554,7760,8958,6470,147109,24514,34999,86642,61483,107762,31029,7576,6418,494455,244942,20091,80270,77432,67149,249513,15171,72946,85444,75952,7336,4703,881,1270,1580,972,2633,814,551,769,499,36461,17418,3763,6807,5467,1381,19043,3882,5209,7523,2429,6298,2850,783,457,358,1252,3448,957,664,470,1357,171,55,11,3,37,4,116,1,57,32,26,4050,2392,986,640,582,184,1658,652,551,277,178,7816,3947,515,1245,1527,660,3869,548,953,1626,742,486751,240647,18996,78847,76475,66329,246104,14409,72137,84293,75265,13276,7429,2262,2328,1700,1139,5847,1557,1554,1722,1014,152785,71602,22214,9508,1654,4949,1864,4239,34145,13384,2356,9012,4084,5309,15243,5734,1033,2901,3701,1874,81183,28488,6688,5079,4868,5045,6808,39507,7909,6780,6581,11032,7205,13188,1588,2113,703,6619,2165,167310,5202,14320,4438,7151,11087,7093,861,20401,30403,34063,5024,6600,4629,4505,11533,152785,44811,19015,29014,32345,27600,143101,41804,17627,27087,31086,25497,1471,335,176,449,108,403,3810,769,533,735,766,1007,2609,1273,432,439,147,318,30,14,0,4,0,12,362,148,48,72,29,65,1402,468,199,228,209,298,141594,41071,17394,26807,30980,25342,2153,897,359,392,173,332
40,SD,46,,,,,04001US46,South Dakota -- Urban,368857,181675,29942,522,3191,9340,13048,1526,2221,94,38187,1043,2316,10062,8614,4901,8603,2648,29874,769,1352,8141,6493,3802,6443,2874,55971,1578,2607,17981,12329,5811,10660,5005,27701,2169,1772,9124,5083,972,4813,3768,187182,28144,282,2342,7230,13501,1558,3072,159,35852,860,1459,6721,8453,4549,10309,3501,27958,775,996,5500,6158,3726,7601,3202,57490,1292,1934,16343,13295,7496,11988,5142,37738,2567,2640,15352,7949,1705,4957,2568,310771,151733,1284,467,823,2985,1637,1873,2401,2136,45308,9694,22825,15486,30519,8507,3019,2769,159038,1498,490,483,3023,1358,2016,1834,1821,43916,11010,24845,17476,34855,11109,1830,1474,310771,2782,28,0,47,101,401,380,499,807,404,5604,2995,3889,4235,3957,75057,14167,20704,47670,32962,65374,19616,4849,4243,278055,134903,9880,40029,43112,41882,143152,8677,39861,48367,46247,6462,4038,805,1182,1245,806,2424,810,535,648,431,12867,5940,1139,2431,1897,473,6927,1335,1952,2770,870,5405,2565,697,420,338,1110,2840,820,542,355,1123,133,35,0,0,35,0,98,0,57,15,26,3052,1751,781,423,417,130,1301,519,439,211,132,4797,2501,304,823,961,413,2296,362,530,965,439,272638,131824,9142,38928,42452,41302,140814,8171,39355,47498,45790,9492,5300,1634,1718,1149,799,4192,1146,1039,1276,731,94082,44814,15977,6475,1229,3737,1306,3230,20256,7523,1440,5798,2164,3331,8581,2895,671,1766,2175,1074,49268,19610,4604,3381,3307,3199,5119,22133,4876,3541,3641,5408,4667,7525,1004,1106,411,3714,1290,103696,3663,6885,2574,4830,7873,4373,572,12199,19699,19051,3476,4311,3316,3257,7617,94082,27377,11368,18660,17966,18711,88129,25239,10497,17588,17532,17273,1237,255,171,408,40,363,1343,316,215,115,168,529,2233,1151,297,361,140,284,26,14,0,0,0,12,262,100,25,57,24,56,852,302,163,131,62,194,87092,24686,10402,17388,17459,17157,1530,679,192,262,128,269
40,SD,46,,,,,04043US46,South Dakota -- Rural,272586,138754,14180,341,3233,4750,3978,1242,585,51,19849,298,1553,6730,3971,3341,3256,700,20056,534,1281,6011,4626,2973,3377,1254,53915,1241,2864,20865,11547,5859,8432,3107,30754,3461,2192,11778,5347,1314,4006,2656,133832,12590,240,2367,3734,4155,1039,993,62,17854,367,1097,3907,4017,2734,4413,1319,19028,233,709,4196,4193,3169,4595,1933,51344,653,1761,15489,12353,7096,10344,3648,33016,2473,2209,13423,7213,2035,3965,1698,245816,124574,331,197,362,4644,1530,2203,2667,1490,45384,7165,18326,13487,19071,4825,1677,1215,121242,288,166,268,3004,1029,1668,2056,1023,37015,7130,20646,15034,23317,6588,1050,960,245816,619,15,40,89,34,110,75,149,481,414,7234,2559,3871,4723,2513,72052,10347,14295,38972,28521,42388,11413,2727,2175,216400,110039,10211,40241,34320,25267,106361,6494,33085,37077,29705,874,665,76,88,335,166,209,4,16,121,68,23594,11478,2624,4376,3570,908,12116,2547,3257,4753,1559,893,285,86,37,20,142,608,137,122,115,234,38,20,11,3,2,4,18,1,0,17,0,998,641,205,217,165,54,357,133,112,66,46,3019,1446,211,422,566,247,1573,186,423,661,303,214113,108823,9854,39919,34023,25027,105290,6238,32782,36795,29475,3784,2129,628,610,551,340,1655,411,515,446,283,58703,26788,6237,3033,425,1212,558,1009,13889,5861,916,3214,1920,1978,6662,2839,362,1135,1526,800,31915,8878,2084,1698,1561,1846,1689,17374,3033,3239,2940,5624,2538,5663,584,1007,292,2905,875,63614,1539,7435,1864,2321,3214,2720,289,8202,10704,15012,1548,2289,1313,1248,3916,58703,17434,7647,10354,14379,8889,54972,16565,7130,9499,13554,8224,234,80,5,41,68,40,2467,453,318,620,598,478,376,122,135,78,7,34,4,0,0,4,0,0,100,48,23,15,5,9,550,166,36,97,147,104,54502,16385,6992,9419,13521,8185,623,218,167,130,45,63
40,SD,46,,,,,040A0US46,South Dakota -- In metropolitan or micropolitan statistical area,481308,239811,34440,555,4137,10570,14433,2139,2462,144,45743,1125,2430,12188,10309,6472,10197,3022,38673,957,1717,10281,8734,5191,7982,3811,80632,2118,3620,26431,17471,8844,15286,6862,40323,3081,2555,13824,7542,1671,6627,5023,241497,32379,337,2886,8387,15080,2050,3452,187,42593,960,1597,7807,9650,5744,12700,4135,36380,854,1068,6996,7863,5355,9892,4352,80808,1440,2442,22944,18746,10708,17079,7449,49337,3071,3276,19939,10463,2569,6628,3391,414489,205371,1370,590,908,4413,2159,2294,3165,2704,62724,13193,30863,22178,40092,11270,3998,3450,209118,1555,548,605,3617,1486,2270,2405,2222,57686,14020,32702,24376,46299,14919,2367,2041,414489,2925,35,26,104,115,437,421,532,981,461,7569,3645,4564,5570,4926,102820,17590,27213,63565,46554,86391,26189,6365,5491,381396,188170,13946,57394,61092,55738,193226,10922,53732,66069,62503,6965,4403,832,1202,1471,898,2562,812,535,735,480,11334,5373,922,2227,1748,476,5961,1090,1607,2441,823,5684,2591,730,430,345,1086,3093,916,563,431,1183,130,40,0,3,37,0,90,1,57,18,14,3563,2055,845,545,529,136,1508,595,523,254,136,5417,2739,328,923,1012,476,2678,372,669,1150,487,375082,184695,13051,56246,60295,55103,190387,10284,53162,65081,61860,10941,6003,1852,1873,1384,894,4938,1363,1225,1465,885,124436,58810,19129,8165,1403,4332,1423,3806,28031,11030,1997,7538,3045,4421,11650,4274,835,2396,2703,1442,65626,24149,5716,4325,4244,3854,6010,31458,6830,5213,5236,8065,6114,10019,1359,1668,552,4764,1676,136766,4557,10911,3772,6217,9590,6142,759,16580,25478,25238,4381,5607,4065,3942,9527,124436,37374,15441,24298,23854,23469,118241,35087,14540,23058,23407,22149,1378,303,171,435,70,399,1299,285,204,248,161,401,2269,1221,319,320,145,264,14,14,0,0,0,0,272,108,34,72,2,56,963,356,173,165,69,200,116963,34411,14401,22818,23317,22016,1779,802,245,351,118,263
40,SD,46,,,,,040C0US46,South Dakota -- In metropolitan statistical area,303616,151190,18592,276,2715,6439,6711,1170,1186,95,30062,585,1667,7741,7228,4227,6776,1838,25930,646,1294,6576,5781,3505,5433,2695,51780,1235,2595,16346,11630,5798,9737,4439,24826,1526,1562,8156,4785,1149,4347,3301,152426,17008,130,1915,4584,7052,1192,1997,138,28849,746,818,5398,6557,3979,8454,2897,24591,622,741,4527,5140,3778,6684,3099,51921,995,1568,14152,12769,7081,10717,4639,30057,1734,2018,11755,6684,1500,4269,2097,268016,132598,964,352,486,2190,1256,1579,2360,1923,38819,8856,20568,14679,26293,7495,2886,1892,135418,1064,459,450,2124,985,1321,1448,1391,35832,9618,21532,16338,30124,9830,1790,1112,268016,2028,35,26,99,105,328,218,270,666,357,3957,2241,2900,3808,3314,62988,11663,18474,42100,31017,56417,17325,4676,3004,244188,120151,8465,34846,40252,36588,124037,6441,32849,44002,40745,5658,3534,764,1022,1074,674,2124,748,466,604,306,7888,3784,697,1464,1286,337,4104,718,1193,1522,671,3502,1576,316,362,311,587,1926,546,377,307,696,94,27,0,0,27,0,67,1,37,15,14,2702,1453,591,417,379,66,1249,533,466,154,96,3984,2073,277,708,774,314,1911,255,444,884,328,240058,117962,8014,34046,39724,36178,122096,6030,32373,43436,40257,7719,4069,1120,1350,1002,597,3650,1066,1003,876,705,81422,38566,12744,5095,1029,3147,846,2627,18174,7095,1344,5204,1837,2694,7648,2621,518,1861,1590,1058,42856,16190,3689,3244,2852,2664,3741,20300,4450,3758,3325,4867,3900,6366,983,1032,388,2962,1001,89614,3419,6520,2386,4128,6225,3869,505,11796,17463,15620,2421,3466,2724,2648,6424,81422,23933,10925,16777,14766,15021,77333,22471,10337,15873,14495,14157,980,204,101,312,45,318,1008,228,159,230,93,298,1283,700,164,237,71,111,14,14,0,0,0,0,162,55,26,62,0,19,642,261,138,63,62,118,76435,21998,10198,15780,14416,14043,1302,563,237,183,92,227
40,SD,46,,,,,040C1US46,South Dakota -- In metropolitan statistical area -- in principal city,181640,89879,12012,227,1674,4093,4570,603,804,41,20117,521,1279,5119,4748,2251,4821,1378,15308,445,810,3755,3419,1749,3471,1659,28989,896,1648,8646,6154,2865,5891,2889,13453,739,797,3964,2588,584,2567,2214,91761,10914,103,1020,2857,4670,722,1468,74,18953,619,650,3420,4382,2450,5474,1958,13929,496,527,2614,2855,1889,3743,1805,29632,796,1046,7395,7071,3807,6534,2983,18333,1078,1217,6970,3992,791,2737,1548,158714,77867,806,261,430,1104,752,1044,1399,1339,21484,4768,12141,7449,16750,4963,1964,1213,80847,971,398,316,1304,747,872,847,974,20399,5721,12579,8937,18488,6416,1185,693,158714,1777,28,0,42,90,312,187,237,509,293,2115,1499,1916,2246,2313,34710,7173,10489,24720,16386,35238,11379,3149,1906,139928,67902,4664,18271,21568,23399,72026,4001,17999,24628,25398,4877,2951,731,911,748,561,1926,733,463,482,248,6216,2971,624,1240,908,199,3245,637,932,1280,396,2945,1434,316,342,311,465,1511,489,322,216,484,38,21,0,0,21,0,17,0,0,3,14,2010,1132,538,307,230,57,878,341,384,89,64,2700,1456,262,413,572,209,1244,228,299,539,178,137114,66279,4351,17606,21220,23102,70835,3712,17691,24261,25171,5475,3055,926,1078,626,425,2420,734,724,582,380,51672,24890,8852,3372,687,2310,531,1952,11257,4126,844,3354,1149,1784,4781,1530,383,1158,983,727,26782,10225,2299,1962,1907,1731,2326,12272,2962,2020,1876,2882,2532,4285,617,610,260,2061,737,57077,2149,3498,1443,2888,4430,2246,314,6985,11337,9792,1727,2355,1992,1916,4005,51672,14906,6506,10865,9337,10058,48797,13859,6133,10212,9155,9438,809,161,101,281,15,251,595,142,75,123,63,192,949,537,73,202,42,95,14,14,0,0,0,0,121,41,17,47,0,16,387,152,107,0,62,66,48273,13593,6038,10144,9116,9382,805,325,184,115,52,129
40,SD,46,,,,,040C2US46,South Dakota -- In metropolitan statistical area -- not in principal city,121976,61311,6580,49,1041,2346,2141,567,382,54,9945,64,388,2622,2480,1976,1955,460,10622,201,484,2821,2362,1756,1962,1036,22791,339,947,7700,5476,2933,3846,1550,11373,787,765,4192,2197,565,1780,1087,60665,6094,27,895,1727,2382,470,529,64,9896,127,168,1978,2175,1529,2980,939,10662,126,214,1913,2285,1889,2941,1294,22289,199,522,6757,5698,3274,4183,1656,11724,656,801,4785,2692,709,1532,549,109302,54731,158,91,56,1086,504,535,961,584,17335,4088,8427,7230,9543,2532,922,679,54571,93,61,134,820,238,449,601,417,15433,3897,8953,7401,11636,3414,605,419,109302,251,7,26,57,15,16,31,33,157,64,1842,742,984,1562,1001,28278,4490,7985,17380,14631,21179,5946,1527,1098,104260,52249,3801,16575,18684,13189,52011,2440,14850,19374,15347,781,583,33,111,326,113,198,15,3,122,58,1672,813,73,224,378,138,859,81,261,242,275,557,142,0,20,0,122,415,57,55,91,212,56,6,0,0,6,0,50,1,37,12,0,692,321,53,110,149,9,371,192,82,65,32,1284,617,15,295,202,105,667,27,145,345,150,102944,51683,3663,16440,18504,13076,51261,2318,14682,19175,15086,2244,1014,194,272,376,172,1230,332,279,294,325,29750,13676,3892,1723,342,837,315,675,6917,2969,500,1850,688,910,2867,1091,135,703,607,331,16074,5965,1390,1282,945,933,1415,8028,1488,1738,1449,1985,1368,2081,366,422,128,901,264,32537,1270,3022,943,1240,1795,1623,191,4811,6126,5828,694,1111,732,732,2419,29750,9027,4419,5912,5429,4963,28536,8612,4204,5661,5340,4719,171,43,0,31,30,67,413,86,84,107,30,106,334,163,91,35,29,16,0,0,0,0,0,0,41,14,9,15,0,3,255,109,31,63,0,52,28162,8405,4160,5636,5300,4661,497,238,53,68,40,98
40,SD,46,,,,,040E0US46,South Dakota -- In micropolitan statistical area,177692,88621,15848,279,1422,4131,7722,969,1276,49,15681,540,763,4447,3081,2245,3421,1184,12743,311,423,3705,2953,1686,2549,1116,28852,883,1025,10085,5841,3046,5549,2423,15497,1555,993,5668,2757,522,2280,1722,89071,15371,207,971,3803,8028,858,1455,49,13744,214,779,2409,3093,1765,4246,1238,11789,232,327,2469,2723,1577,3208,1253,28887,445,874,8792,5977,3627,6362,2810,19280,1337,1258,8184,3779,1069,2359,1294,146473,72773,406,238,422,2223,903,715,805,781,23905,4337,10295,7499,13799,3775,1112,1558,73700,491,89,155,1493,501,949,957,831,21854,4402,11170,8038,16175,5089,577,929,146473,897,0,0,5,10,109,203,262,315,104,3612,1404,1664,1762,1612,39832,5927,8739,21465,15537,29974,8864,1689,2487,137208,68019,5481,22548,20840,19150,69189,4481,20883,22067,21758,1307,869,68,180,397,224,438,64,69,131,174,3446,1589,225,763,462,139,1857,372,414,919,152,2182,1015,414,68,34,499,1167,370,186,124,487,36,13,0,3,10,0,23,0,20,3,0,861,602,254,128,150,70,259,62,57,100,40,1433,666,51,215,238,162,767,117,225,266,159,135024,66733,5037,22200,20571,18925,68291,4254,20789,21645,21603,3222,1934,732,523,382,297,1288,297,222,589,180,43014,20244,6385,3070,374,1185,577,1179,9857,3935,653,2334,1208,1727,4002,1653,317,535,1113,384,22770,7959,2027,1081,1392,1190,2269,11158,2380,1455,1911,3198,2214,3653,376,636,164,1802,675,47152,1138,4391,1386,2089,3365,2273,254,4784,8015,9618,1960,2141,1341,1294,3103,43014,13441,4516,7521,9088,8448,40908,12616,4203,7185,8912,7992,398,99,70,123,25,81,291,57,45,18,68,103,986,521,155,83,74,153,0,0,0,0,0,0,110,53,8,10,2,37,321,95,35,102,7,82,40528,12413,4203,7038,8901,7973,477,239,8,168,26,36
40,SD,46,,,,,040E1US46,South Dakota -- In micropolitan statistical area -- in principal city,119278,58324,12934,245,1048,3130,6641,700,1123,47,11681,502,561,2953,2358,1561,2751,995,8218,234,172,2431,1851,1113,1641,776,16521,576,504,5443,3345,1743,3295,1615,8970,914,630,2957,1533,295,1450,1191,60954,12982,174,626,3084,7254,583,1218,43,10300,196,670,1790,2308,1250,3133,953,7853,199,203,1573,1910,926,2262,780,16945,394,522,5231,3351,2085,3667,1695,12874,1013,930,5347,2478,642,1600,864,93362,45390,345,233,375,1273,587,341,448,491,13784,2758,6329,4712,9137,2545,807,1225,47972,445,77,146,1134,376,740,635,574,13941,2983,7064,4903,10662,3331,374,587,93362,790,0,0,3,8,109,190,252,269,72,2335,963,1081,1083,1065,23889,3836,5741,13393,9615,19799,5876,1181,1812,85744,41558,3252,12753,12782,12771,44186,3172,13099,13805,14110,1058,698,44,180,304,170,360,64,59,79,158,2758,1210,149,601,345,115,1548,370,373,691,114,2004,970,414,68,27,461,1034,370,179,79,406,30,10,0,0,10,0,20,0,20,0,0,691,469,209,46,150,64,222,52,55,75,40,1077,475,25,136,181,133,602,99,156,221,126,84139,40573,2879,12501,12613,12580,43566,2984,13068,13483,14031,2441,1491,616,343,275,257,950,248,135,467,100,28668,13714,4881,2216,286,952,492,935,6192,2504,395,1518,735,1040,2641,996,240,393,783,229,14954,5871,1456,792,932,833,1858,6619,1335,851,1207,1685,1541,2464,307,416,132,1180,429,31712,879,2372,933,1365,2535,1504,198,3170,5506,6149,1535,1510,963,942,2151,28668,8814,2980,5134,5708,6032,26881,8091,2725,4861,5578,5626,328,65,70,108,20,65,229,51,29,0,52,97,867,486,113,80,56,132,0,0,0,0,0,0,104,53,8,4,2,37,259,68,35,81,0,75,26611,7929,2725,4772,5578,5607,357,198,8,104,11,36
40,SD,46,,,,,040E2US46,South Dakota -- In micropolitan statistical area -- not in principal city,58414,30297,2914,34,374,1001,1081,269,153,2,4000,38,202,1494,723,684,670,189,4525,77,251,1274,1102,573,908,340,12331,307,521,4642,2496,1303,2254,808,6527,641,363,2711,1224,227,830,531,28117,2389,33,345,719,774,275,237,6,3444,18,109,619,785,515,1113,285,3936,33,124,896,813,651,946,473,11942,51,352,3561,2626,1542,2695,1115,6406,324,328,2837,1301,427,759,430,53111,27383,61,5,47,950,316,374,357,290,10121,1579,3966,2787,4662,1230,305,333,25728,46,12,9,359,125,209,322,257,7913,1419,4106,3135,5513,1758,203,342,53111,107,0,0,2,2,0,13,10,46,32,1277,441,583,679,547,15943,2091,2998,8072,5922,10175,2988,508,675,51464,26461,2229,9795,8058,6379,25003,1309,7784,8262,7648,249,171,24,0,93,54,78,0,10,52,16,688,379,76,162,117,24,309,2,41,228,38,178,45,0,0,7,38,133,0,7,45,81,6,3,0,3,0,0,3,0,0,3,0,170,133,45,82,0,6,37,10,2,25,0,356,191,26,79,57,29,165,18,69,45,33,50885,26160,2158,9699,7958,6345,24725,1270,7721,8162,7572,781,443,116,180,107,40,338,49,87,122,80,14346,6530,1504,854,88,233,85,244,3665,1431,258,816,473,687,1361,657,77,142,330,155,7816,2088,571,289,460,357,411,4539,1045,604,704,1513,673,1189,69,220,32,622,246,15440,259,2019,453,724,830,769,56,1614,2509,3469,425,631,378,352,952,14346,4627,1536,2387,3380,2416,14027,4525,1478,2324,3334,2366,70,34,0,15,5,16,62,6,16,18,16,6,119,35,42,3,18,21,0,0,0,0,0,0,6,0,0,6,0,0,62,27,0,21,7,7,13917,4484,1478,2266,3323,2366,120,41,0,64,15,0
