SummaryLevel,State,StateFIPS,CountyFIPS,PlaceFIPS,CBSACode,CongressDistrict,GEOID,AreaName,B15001_001,B15001_002,B15001_003,B15001_004,B15001_005,B15001_006,B15001_007,B15001_008,B15001_009,B15001_010,B15001_011,B15001_012,B15001_013,B15001_014,B15001_015,B15001_016,B15001_017,B15001_018,B15001_019,B15001_020,B15001_021,B15001_022,B15001_023,B15001_024,B15001_025,B15001_026,B15001_027,B15001_028,B15001_029,B15001_030,B15001_031,B15001_032,B15001_033,B15001_034,B15001_035,B15001_036,B15001_037,B15001_038,B15001_039,B15001_040,B15001_041,B15001_042,B15001_043,B15001_044,B15001_045,B15001_046,B15001_047,B15001_048,B15001_049,B15001_050,B15001_051,B15001_052,B15001_053,B15001_054,B15001_055,B15001_056,B15001_057,B15001_058,B15001_059,B15001_060,B15001_061,B15001_062,B15001_063,B15001_064,B15001_065,B15001_066,B15001_067,B15001_068,B15001_069,B15001_070,B15001_071,B15001_072,B15001_073,B15001_074,B15001_075,B15001_076,B15001_077,B15001_078,B15001_079,B15001_080,B15001_081,B15001_082,B15001_083,B15002_001,B15002_002,B15002_003,B15002_004,B15002_005,B15002_006,B15002_007,B15002_008,B15002_009,B15002_010,B15002_011,B15002_012,B15002_013,B15002_014,B15002_015,B15002_016,B15002_017,B15002_018,B15002_019,B15002_020,B15002_021,B15002_022,B15002_023,B15002_024,B15002_025,B15002_026,B15002_027,B15002_028,B15002_029,B15002_030,B15002_031,B15002_032,B15002_033,B15002_034,B15002_035,B15003_001,B15003_002,B15003_003,B15003_004,B15003_005,B15003_006,B15003_007,B15003_008,B15003_009,B15003_010,B15003_011,B15003_012,B15003_013,B15003_014,B15003_015,B15003_016,B15003_017,B15003_018,B15003_019,B15003_020,B15003_021,B15003_022,B15003_023,B15003_024,B15003_025,C15002A_001,C15002A_002,C15002A_003,C15002A_004,C15002A_005,C15002A_006,C15002A_007,C15002A_008,C15002A_009,C15002A_010,C15002A_011,C15002B_001,C15002B_002,C15002B_003,C15002B_004,C15002B_005,C15002B_006,C15002B_007,C15002B_008,C15002B_009,C15002B_010,C15002B_011,C15002C_001,C15002C_002,C15002C_003,C15002C_004,C15002C_005,C15002C_006,C15002C_007,C15002C_008,C15002C_009,C15002C_010,C15002C_011,C15002D_001,C15002D_002,C15002D_003,C15002D_004,C15002D_005,C15002D_006,C15002D_007,C15002D_008,C15002D_009,C15002D_010,C15002D_011,C15002E_001,C15002E_002,C15002E_003,C15002E_004,C15002E_005,C15002E_006,C15002E_007,C15002E_008,C15002E_009,C15002E_010,C15002E_011,C15002F_001,C15002F_002,C15002F_003,C15002F_004,C15002F_005,C15002F_006,C15002F_007,C15002F_008,C15002F_009,C15002F_010,C15002F_011,C15002G_001,C15002G_002,C15002G_003,C15002G_004,C15002G_005,C15002G_006,C15002G_007,C15002G_008,C15002G_009,C15002G_010,C15002G_011,C15002H_001,C15002H_002,C15002H_003,C15002H_004,C15002H_005,C15002H_006,C15002H_007,C15002H_008,C15002H_009,C15002H_010,C15002H_011,C15002I_001,C15002I_002,C15002I_003,C15002I_004,C15002I_005,C15002I_006,C15002I_007,C15002I_008,C15002I_009,C15002I_010,C15002I_011,B15011_001,B15011_002,B15011_003,B15011_004,B15011_005,B15011_006,B15011_007,B15011_008,B15011_009,B15011_010,B15011_011,B15011_012,B15011_013,B15011_014,B15011_015,B15011_016,B15011_017,B15011_018,B15011_019,B15011_020,B15011_021,B15011_022,B15011_023,B15011_024,B15011_025,B15011_026,B15011_027,B15011_028,B15011_029,B15011_030,B15011_031,B15011_032,B15011_033,B15011_034,B15011_035,B15011_036,B15011_037,B15011_038,B15011_039,B15012_001,B15012_002,B15012_003,B15012_004,B15012_005,B15012_006,B15012_007,B15012_008,B15012_009,B15012_010,B15012_011,B15012_012,B15012_013,B15012_014,B15012_015,B15012_016,C15010_001,C15010_002,C15010_003,C15010_004,C15010_005,C15010_006,C15010A_001,C15010A_002,C15010A_003,C15010A_004,C15010A_005,C15010A_006,C15010B_001,C15010B_002,C15010B_003,C15010B_004,C15010B_005,C15010B_006,C15010C_001,C15010C_002,C15010C_003,C15010C_004,C15010C_005,C15010C_006,C15010D_001,C15010D_002,C15010D_003,C15010D_004,C15010D_005,C15010D_006,C15010E_001,C15010E_002,C15010E_003,C15010E_004,C15010E_005,C15010E_006,C15010F_001,C15010F_002,C15010F_003,C15010F_004,C15010F_005,C15010F_006,C15010G_001,C15010G_002,C15010G_003,C15010G_004,C15010G_005,C15010G_006,C15010H_001,C15010H_002,C15010H_003,C15010H_004,C15010H_005,C15010H_006,C15010I_001,C15010I_002,C15010I_003,C15010I_004,C15010I_005,C15010I_006
40,TX,48,,,,,04000US48,Texas,19823959,9740034,1414319,36880,223068,478014,535509,50836,83310,6702,1984745,113901,196795,554347,478974,132401,371466,136861,1817289,153684,186620,451505,391291,122925,326837,184427,3153370,302686,272907,811629,660148,207737,566500,331763,1370311,184109,106762,308556,280110,66045,242806,181923,10083925,1324512,21206,165965,377311,565357,61950,122181,10542,1931029,77816,154921,424166,495398,151927,450649,176152,1825174,137543,159638,383100,405827,144568,390570,203928,3276954,294926,252055,827741,742965,256178,604047,299042,1726256,255103,166486,525082,367000,78879,205593,128113,17085128,8325715,161484,128003,275103,189790,232834,175934,205053,149263,2126037,490628,1319895,529108,1507609,561912,158889,114173,8759413,172293,131025,271612,190458,221916,175221,194327,141636,2160089,581526,1429664,631552,1650859,631340,105611,70284,17085128,333777,3386,4439,20983,52446,108802,68972,104922,441793,125205,255043,454750,351155,399380,290899,3512336,773790,1072154,2749559,1160660,3158468,1193252,264500,184457,13030967,6372395,1127708,1600424,1807175,1837088,6658572,1110530,1661360,2006095,1880587,1988025,929386,120628,304832,317511,186415,1058639,118102,277033,404986,258518,80417,41409,10250,11169,12996,6994,39008,8103,10883,12595,7427,792043,375472,39269,44205,62346,229652,416571,61744,62525,71254,221048,13729,6370,700,2131,2491,1048,7359,808,2480,2703,1368,900099,466738,199374,133543,91801,42020,433361,178725,116159,92160,46317,279848,133945,19535,29733,45311,39366,145903,20476,29649,52949,42829,8396588,4093645,280126,968879,1299808,1544832,4302943,287702,1053939,1430651,1530651,5692574,2824056,1070463,785838,622750,345005,2868518,1021891,742860,692910,410857,4800677,2342583,761734,341674,41570,192947,24185,161358,1156120,505420,70777,319913,65341,194669,424729,185273,21727,112525,44967,60237,2458094,929327,283838,103242,193706,115263,233278,1195061,281142,147036,270048,250072,246763,333706,51035,37357,34190,137157,73967,5112473,243395,299994,188743,207461,312801,470583,50131,451195,1157541,661875,192108,224095,164656,195500,292395,4800677,1648382,421709,1123329,636985,970272,3717675,1213347,300937,872507,544090,786794,444933,130947,49337,117121,54787,92741,14421,4719,1143,3526,1666,3367,450700,236963,56011,88547,18262,50917,2416,821,208,707,247,433,88337,29695,7370,24057,10583,16632,82195,31890,6703,16864,7350,19388,3075483,1009381,247368,715707,444512,658515,755862,242338,63122,186335,112687,151380
40,TX,48,,,,,04001US48,Texas -- Urban,16717463,8151297,1238701,31327,188479,407667,482729,44924,77175,6400,1740579,101415,167326,462976,419314,117258,343369,128921,1555454,136017,158433,366334,329163,104457,291513,169537,2567365,260320,219609,615250,522260,166981,488840,294105,1049198,151764,77885,215973,205725,50044,197511,150296,8566166,1178790,18973,144148,328132,509300,54473,113548,10216,1712812,69978,138107,364492,435087,131746,409683,163719,1584475,123745,141929,323669,346137,121960,342324,184711,2707073,262461,208669,648493,603590,207062,517192,259606,1383016,222088,129504,399434,290547,62304,171478,107661,14299972,6912596,140477,111132,243964,153943,196355,139091,161987,125820,1660533,391033,1085429,438740,1321233,499009,142788,101062,7387376,153208,118429,245478,161157,194011,142489,160253,121456,1736088,474431,1200930,523072,1440677,556099,96474,63124,14299972,293685,3016,3877,18649,46883,96066,61070,92867,396575,104721,210379,390366,281580,322240,247276,2797409,599212,865464,2286359,961812,2761910,1055108,239262,164186,10559867,5128783,927659,1194117,1425564,1581443,5431084,941154,1279346,1603928,1606656,1835379,842626,102341,269024,294246,177015,992753,107794,255195,383400,246364,65566,33533,8557,8885,10360,5731,32033,6873,8675,10284,6201,765433,363548,37802,42538,59883,223325,401885,59650,59908,68466,213861,12828,5980,644,2061,2311,964,6848,757,2340,2484,1267,817331,422198,178967,119439,83997,39795,395133,162733,105492,84092,42816,243568,115928,16799,24469,38841,35819,127640,17520,25132,45779,39209,6365648,3083932,175842,632340,966755,1308995,3281716,192609,726696,1079420,1282991,5153800,2537036,951546,699427,563886,322177,2616764,929498,675397,631709,380160,4220466,2064092,701435,315833,38276,178687,21388,147251,1014850,445717,61422,283628,52531,171552,347807,151930,17605,93707,34062,50503,2156374,842607,259095,92490,177631,98954,214437,1034628,247341,125550,238331,204811,218595,279139,44290,31496,28893,111651,62809,4497196,221534,246100,165421,185547,285071,428234,43955,392567,1031328,544472,174714,196211,149600,179871,252571,4220466,1464206,366839,1000877,523397,865147,3188099,1046738,251636,761507,436798,691420,423379,125009,47213,111843,51186,88128,11932,3921,923,2879,1387,2822,437186,230364,53937,86072,17450,49363,2231,797,202,692,168,372,82611,28049,6783,22581,9819,15379,75028,29328,6145,15303,6589,17663,2591986,856654,202197,614482,346226,572427,702337,226204,58403,174564,102797,140369
40,TX,48,,,,,04043US48,Texas -- Rural,3106496,1588737,175618,5553,34589,70347,52780,5912,6135,302,244166,12486,29469,91371,59660,15143,28097,7940,261835,17667,28187,85171,62128,18468,35324,14890,586005,42366,53298,196379,137888,40756,77660,37658,321113,32345,28877,92583,74385,16001,45295,31627,1517759,145722,2233,21817,49179,56057,7477,8633,326,218217,7838,16814,59674,60311,20181,40966,12433,240699,13798,17709,59431,59690,22608,48246,19217,569881,32465,43386,179248,139375,49116,86855,39436,343240,33015,36982,125648,76453,16575,34115,20452,2785156,1413119,21007,16871,31139,35847,36479,36843,43066,23443,465504,99595,234466,90368,186376,62903,16101,13111,1372037,19085,12596,26134,29301,27905,32732,34074,20180,424001,107095,228734,108480,210182,75241,9137,7160,2785156,40092,370,562,2334,5563,12736,7902,12055,45218,20484,44664,64384,69575,77140,43623,714927,174578,206690,463200,198848,396558,138144,25238,20271,2471100,1243612,200049,406307,381611,255645,1227488,169376,382014,402167,273931,152646,86760,18287,35808,23265,9400,65886,10308,21838,21586,12154,14851,7876,1693,2284,2636,1263,6975,1230,2208,2311,1226,26610,11924,1467,1667,2463,6327,14686,2094,2617,2788,7187,901,390,56,70,180,84,511,51,140,219,101,82768,44540,20407,14104,7804,2225,38228,15992,10667,8068,3501,36280,18017,2736,5264,6470,3547,18263,2956,4517,7170,3620,2030940,1009713,104284,336539,333053,235837,1021227,95093,327243,351231,247660,538774,287020,118917,86411,58864,22828,251754,92393,67463,61201,30697,580211,278491,60299,25841,3294,14260,2797,14107,141270,59703,9355,36285,12810,23117,76922,33343,4122,18818,10905,9734,301720,86720,24743,10752,16075,16309,18841,160433,33801,21486,31717,45261,28168,54567,6745,5861,5297,25506,11158,615277,21861,53894,23322,21914,27730,42349,6176,58628,126213,117403,17394,27884,15056,15629,39824,580211,184176,54870,122452,113588,105125,529576,166609,49301,111000,107292,95374,21554,5938,2124,5278,3601,4613,2489,798,220,647,279,545,13514,6599,2074,2475,812,1554,185,24,6,15,79,61,5726,1646,587,1476,764,1253,7167,2562,558,1561,761,1725,483497,152727,45171,101225,98286,86088,53525,16134,4719,11771,9890,11011
40,TX,48,,,,,040A0US48,Texas -- In metropolitan or micropolitan statistical area,18769392,9201307,1348958,34353,207338,451076,518591,49551,81526,6523,1899015,107900,183866,518359,460323,128034,365150,135383,1733462,145963,176197,420485,373028,117473,318905,181411,2971506,283862,252478,744358,620252,197911,548665,323980,1248366,168079,94118,272005,253396,61065,226789,172914,9568085,1272974,20129,156078,359042,547409,59838,120024,10454,1861718,75286,147724,402595,475167,146210,441060,173676,1751290,132016,152714,360897,386455,138134,380080,200994,3097430,281023,234510,765455,700778,242823,582449,290392,1584673,238461,149039,471841,337770,73243,193353,120966,16147460,7852349,152228,119697,260543,173336,217731,160847,187555,140526,1955207,459412,1247587,504483,1459509,546857,155434,111397,8295111,164464,125063,259946,177313,209828,160169,179356,134634,2000788,546206,1353964,600410,1596942,613136,103857,69035,16147460,316692,3219,4205,19809,49735,102324,65468,98744,421745,116422,234227,427559,321016,366911,275160,3245114,710881,1005618,2601551,1104893,3056451,1159993,259291,180432,12222824,5968762,1044398,1458022,1693961,1772381,6254062,1039755,1522833,1880367,1811107,1921356,893028,112179,287437,309085,184327,1028328,112455,264735,395508,255630,75289,38543,9433,10146,12255,6709,36746,7528,10118,11886,7214,787780,373551,38935,43810,61865,228941,414229,61303,62032,70603,220291,13360,6163,674,2100,2463,926,7197,774,2415,2646,1362,857634,444039,188741,125886,88327,41085,413595,169535,110280,88455,45325,269217,128263,18103,27806,43526,38828,140954,19423,28375,51115,42041,7752754,3778762,238090,854272,1201465,1484935,3973992,248641,936908,1321610,1466833,5480268,2709358,1017120,749319,603829,339090,2770910,980178,714686,672076,403970,4656167,2273197,748416,336325,40958,190215,23176,157742,1125078,493013,68862,312943,61327,188933,399703,174626,20510,106618,41088,56861,2382970,910356,278330,101218,191136,110640,229032,1158295,274585,142661,264573,236707,239769,314319,48785,35379,32285,127601,70269,4958884,239104,284959,182519,202832,306319,462841,48832,438272,1130962,624018,187459,216076,160954,191797,281940,4656167,1605664,409588,1097770,600539,942606,3583488,1173405,289782,849131,509862,761308,439957,129896,48914,116207,53351,91589,13923,4520,1122,3433,1621,3227,449232,236263,55798,88332,18145,50694,2288,821,208,599,239,421,86410,29197,7163,23416,10323,16311,80869,31562,6601,16652,6998,19056,2951768,972185,236965,694006,413044,635568,743060,238998,62118,183955,109567,148422
40,TX,48,,,,,040C0US48,Texas -- In metropolitan statistical area,17523211,8568441,1253762,31041,191377,416329,484354,46278,78005,6378,1787832,101144,167754,477098,433726,121527,353932,132651,1628291,135682,161126,383413,349685,111080,309489,177816,2765967,259556,227920,676247,575123,185257,528180,313684,1132589,149281,82801,241038,229378,55810,211913,162368,8954770,1187147,18647,145216,333398,508495,55718,115388,10285,1766468,70798,138516,375150,447617,137730,427119,169538,1658272,124226,142121,336706,364014,128593,366641,195971,2899428,259162,216006,706236,654364,227703,557580,278377,1443455,215521,132820,425462,309688,66954,180043,112967,15082302,7314679,140745,108759,240996,155163,199157,143118,167034,130292,1777796,423174,1164738,473674,1403514,528918,150400,107201,7767623,152475,114809,241801,160622,194834,145150,163470,126009,1843554,507314,1268369,560980,1531383,588792,101160,66901,15082302,293220,3110,3985,18088,45500,93464,59421,91680,391117,104903,210882,393991,288268,330504,256301,2983101,638249,930488,2433107,1034654,2934897,1117710,251560,174102,11311690,5513508,941416,1311301,1563817,1696974,5798182,947084,1387738,1737846,1725514,1832794,844029,100733,265938,296435,180923,988765,105164,250801,382002,250798,69033,35238,8411,9331,11337,6159,33795,6716,9278,11167,6634,778430,369264,37991,43073,61143,227057,409166,59969,60908,69763,218526,12387,5632,635,1883,2270,844,6755,761,2270,2475,1249,822973,425935,179508,120783,85307,40337,397038,161361,106100,85235,44342,254995,121073,16570,25487,41277,37739,133922,18115,26459,48175,41173,7135933,3474980,201842,752945,1101377,1418816,3660953,215532,839003,1212337,1394081,5142370,2535238,939307,697553,569691,328687,2607132,910768,672217,634406,389741,4478269,2190033,727605,327625,39891,185871,22084,152134,1088147,479028,66262,303582,57704,181571,374281,164513,18944,100294,36970,53560,2288236,883205,271433,98214,186748,104792,222018,1112021,265539,137412,256317,220747,232006,293010,46359,32887,30494,117110,66160,4769736,233197,269127,175722,195804,298001,453973,46668,421100,1095464,581408,181359,206759,155758,187297,268099,4478269,1554497,393610,1063306,559407,907449,3422488,1127863,275418,817873,471297,730037,431721,127763,48288,114472,51830,89368,12793,4123,1025,3069,1510,3066,445583,234609,55118,87775,17980,50101,2093,801,184,552,142,414,84679,28553,7113,23173,9970,15870,78912,30785,6464,16392,6678,18593,2812897,932318,224363,666554,380778,608884,718428,232315,60134,179850,102833,143296
40,TX,48,,,,,040C1US48,Texas -- In metropolitan statistical area -- in principal city,9039068,4417635,701987,19041,100719,217883,282773,25409,51153,5009,1026502,65067,96940,255643,238626,65389,215583,89254,821948,78916,87142,191433,168155,52191,148979,95132,1324577,148584,118754,312649,256016,81028,247263,160283,542621,81590,41251,106340,100514,24771,102479,85676,4621433,685158,11405,78541,184208,299868,29715,74110,7311,991338,42369,80912,203953,241087,70360,245843,106814,818043,73348,78900,169587,170938,56977,168985,99308,1395654,150308,114854,326187,300053,100407,264227,139618,731240,125366,68629,197315,150175,31177,96630,61948,7651923,3715648,81065,62630,146121,84341,110684,77107,88302,67994,866065,191519,571792,223379,714304,280044,88441,61860,3936275,88173,67002,146220,89996,108388,78117,91119,65671,897042,231261,630992,258921,775685,310112,58702,38874,7651923,169238,1581,2108,10613,25621,53992,35717,54769,237572,56471,117866,219072,155224,179421,133665,1457064,306043,422780,1202784,482300,1489989,590156,147143,100734,5498877,2679941,506891,586284,710186,876580,2818936,517811,624465,785952,890708,1076097,494490,66604,167047,168843,91996,581607,73304,161824,223172,123307,34875,17278,4392,4731,5322,2833,17597,3534,4747,5730,3586,406626,197275,19359,20838,29618,127460,209351,30463,30053,32634,116201,6960,3238,284,1245,1153,556,3722,368,1051,1434,869,495348,259102,111739,72630,50333,24400,236246,99452,61855,48702,26237,133140,64324,8975,13290,21235,20824,68816,9754,13047,23550,22465,2987052,1460930,69465,256174,434149,701142,1526122,77730,293484,471611,683297,3089168,1518541,560359,413668,338708,205806,1570627,549831,402835,375948,242013,2328022,1144649,430386,199913,23982,105263,10983,90245,526108,230573,31295,141392,27223,95625,188155,83367,9011,49457,17596,28724,1183373,492664,158600,50762,101852,49074,132376,532131,128993,61628,119994,100307,121209,158578,26802,17665,15730,60066,38315,2486087,122764,142021,92780,106772,170813,232764,24636,208491,550535,276061,108900,113212,93779,109949,132610,2328022,828248,194343,533688,265249,506494,1767288,591039,136309,412011,218657,409272,215303,64452,22885,53779,27229,46958,6419,1986,596,1459,678,1700,243661,135856,26722,43977,8699,28407,1425,535,110,413,115,252,50637,17025,4202,13608,6130,9672,43289,17355,3519,8441,3741,10233,1384439,468162,105190,317258,162440,331389,447819,144747,36359,111464,63732,91517
40,TX,48,,,,,040C2US48,Texas -- In metropolitan statistical area -- not in principal city,8484143,4150806,551775,12000,90658,198446,201581,20869,26852,1369,761330,36077,70814,221455,195100,56138,138349,43397,806343,56766,73984,191980,181530,58889,160510,82684,1441390,110972,109166,363598,319107,104229,280917,153401,589968,67691,41550,134698,128864,31039,109434,76692,4333337,501989,7242,66675,149190,208627,26003,41278,2974,775130,28429,57604,171197,206530,67370,181276,62724,840229,50878,63221,167119,193076,71616,197656,96663,1503774,108854,101152,380049,354311,127296,293353,138759,712215,90155,64191,228147,159513,35777,83413,51019,7430379,3599031,59680,46129,94875,70822,88473,66011,78732,62298,911731,231655,592946,250295,689210,248874,61959,45341,3831348,64302,47807,95581,70626,86446,67033,72351,60338,946512,276053,637377,302059,755698,278680,42458,28027,7430379,123982,1529,1877,7475,19879,39472,23704,36911,153545,48432,93016,174919,133044,151083,122636,1526037,332206,507708,1230323,552354,1444908,527554,104417,73368,5812813,2833567,434525,725017,853631,820394,2979246,429273,763273,951894,834806,756697,349539,34129,98891,127592,88927,407158,31860,88977,158830,127491,34158,17960,4019,4600,6015,3326,16198,3182,4531,5437,3048,371804,171989,18632,22235,31525,99597,199815,29506,30855,37129,102325,5427,2394,351,638,1117,288,3033,393,1219,1041,380,327625,166833,67769,48153,34974,15937,160792,61909,44245,36533,18105,121855,56749,7595,12197,20042,16915,65106,8361,13412,24625,18708,4148881,2014050,132377,496771,667228,717674,2134831,137802,545519,740726,710784,2053202,1016697,378948,283885,230983,122881,1036505,360937,269382,258458,147728,2150247,1045384,297219,127712,15909,80608,11101,61889,562039,248455,34967,162190,30481,85946,186126,81146,9933,50837,19374,24836,1104863,390541,112833,47452,84896,55718,89642,579890,136546,75784,136323,120440,110797,134432,19557,15222,14764,57044,27845,2283649,110433,127106,82942,89032,127188,221209,22032,212609,544929,305347,72459,93547,61979,77348,135489,2150247,726249,199267,529618,294158,400955,1655200,536824,139109,405862,252640,320765,216418,63311,25403,60693,24601,42410,6374,2137,429,1610,832,1366,201922,98753,28396,43798,9281,21694,668,266,74,139,27,162,34042,11528,2911,9565,3840,6198,35623,13430,2945,7951,2937,8360,1428458,464156,119173,349296,218338,277495,270609,87568,23775,68386,39101,51779
40,TX,48,,,,,040E0US48,Texas -- In micropolitan statistical area,1246181,632866,95196,3312,15961,34747,34237,3273,3521,145,111183,6756,16112,41261,26597,6507,11218,2732,105171,10281,15071,37072,23343,6393,9416,3595,205539,24306,24558,68111,45129,12654,20485,10296,115777,18798,11317,30967,24018,5255,14876,10546,613315,85827,1482,10862,25644,38914,4120,4636,169,95250,4488,9208,27445,27550,8480,13941,4138,93018,7790,10593,24191,22441,9541,13439,5023,198002,21861,18504,59219,46414,15120,24869,12015,141218,22940,16219,46379,28082,6289,13310,7999,1065158,537670,11483,10938,19547,18173,18574,17729,20521,10234,177411,36238,82849,30809,55995,17939,5034,4196,527488,11989,10254,18145,16691,14994,15019,15886,8625,157234,38892,85595,39430,65559,24344,2697,2134,1065158,23472,109,220,1721,4235,8860,6047,7064,30628,11519,23345,33568,32748,36407,18859,262013,72632,75130,168444,70239,121554,42283,7731,6330,911134,455254,102982,146721,130144,75407,455880,92671,135095,142521,85593,88562,48999,11446,21499,12650,3404,39563,7291,13934,13506,4832,6256,3305,1022,815,918,550,2951,812,840,719,580,9350,4287,944,737,722,1884,5063,1334,1124,840,1765,973,531,39,217,193,82,442,13,145,171,113,34661,18104,9233,5103,3020,748,16557,8174,4180,3220,983,14222,7190,1533,2319,2249,1089,7032,1308,1916,2940,868,616821,303782,36248,101327,100088,66119,313039,33109,97905,109273,72752,337898,174120,77813,51766,34138,10403,163778,69410,42469,37670,14229,177898,83164,20811,8700,1067,4344,1092,5608,36931,13985,2600,9361,3623,7362,25422,10113,1566,6324,4118,3301,94734,27151,6897,3004,4388,5848,7014,46274,9046,5249,8256,15960,7763,21309,2426,2492,1791,10491,4109,189148,5907,15832,6797,7028,8318,8868,2164,17172,35498,42610,6100,9317,5196,4500,13841,177898,51167,15978,34464,41132,35157,161000,45542,14364,31258,38565,31271,8236,2133,626,1735,1521,2221,1130,397,97,364,111,161,3649,1654,680,557,165,593,195,20,24,47,97,7,1731,644,50,243,353,441,1957,777,137,260,320,463,138871,39867,12602,27452,32266,26684,24632,6683,1984,4105,6734,5126
40,TX,48,,,,,040E1US48,Texas -- In micropolitan statistical area -- in principal city,588027,289930,52748,1386,8214,16996,22438,1531,2045,138,56065,3382,7467,19991,13439,3367,6804,1615,48529,5057,6830,16808,10668,2738,4580,1848,85461,10554,10772,26788,18635,5314,8401,4997,47127,8705,4767,11663,8769,2115,6108,5000,298097,51434,729,5310,13987,26064,2269,2999,76,49352,2338,5036,13720,14829,3915,7180,2334,44960,3604,5817,12080,10531,4688,6006,2234,85661,10465,8796,23806,19969,6382,10725,5518,66690,12602,7431,20644,12699,2974,6355,3985,483845,237182,5661,4759,9253,8025,8479,7585,8885,4887,75250,15588,35923,13534,25893,8202,2841,2417,246663,6546,5600,9007,7856,7254,6822,8330,4674,70250,18200,39828,17959,30266,11466,1397,1208,483845,12207,43,85,884,2135,4409,2803,2971,15289,5588,10293,15733,14407,17215,9561,113271,32229,33788,75751,31493,56159,19668,4238,3625,393883,193004,45367,59405,54128,34104,200879,44311,56501,62067,38000,51184,24907,4937,10784,6939,2247,26277,4879,8741,9219,3438,2842,1425,482,321,330,292,1417,403,430,224,360,6411,2931,655,347,413,1516,3480,895,687,552,1346,697,352,19,194,139,0,345,13,126,108,98,21017,10695,5151,3214,1759,571,10322,4806,2758,2165,593,7811,3868,923,985,1337,623,3943,782,1007,1652,502,230462,110155,12654,33417,36496,27588,120307,13050,35141,42014,30102,190044,96292,38997,29833,20075,7387,93752,37165,24827,22905,8855,83690,39353,12018,4942,646,2305,561,3564,16227,6018,1144,3898,1555,3612,11108,4056,532,2962,2025,1533,44337,13624,3429,1510,1920,2736,4029,20373,3916,1961,3632,7166,3698,10340,1326,1214,866,4909,2025,89469,3080,6318,3061,3535,4608,4113,905,7590,16068,19797,3491,4657,2800,2558,6888,83690,23687,7007,15583,18952,18461,72104,19471,5852,13576,17416,15789,5685,1486,415,1113,1085,1586,652,285,45,174,51,97,2862,1364,580,356,101,461,98,12,18,47,21,0,1164,541,28,146,153,296,1125,528,69,171,125,232,57690,15899,4647,10779,13596,12769,16242,4439,1374,2991,4076,3362
40,TX,48,,,,,040E2US48,Texas -- In micropolitan statistical area -- not in principal city,658154,342936,42448,1926,7747,17751,11799,1742,1476,7,55118,3374,8645,21270,13158,3140,4414,1117,56642,5224,8241,20264,12675,3655,4836,1747,120078,13752,13786,41323,26494,7340,12084,5299,68650,10093,6550,19304,15249,3140,8768,5546,315218,34393,753,5552,11657,12850,1851,1637,93,45898,2150,4172,13725,12721,4565,6761,1804,48058,4186,4776,12111,11910,4853,7433,2789,112341,11396,9708,35413,26445,8738,14144,6497,74528,10338,8788,25735,15383,3315,6955,4014,581313,300488,5822,6179,10294,10148,10095,10144,11636,5347,102161,20650,46926,17275,30102,9737,2193,1779,280825,5443,4654,9138,8835,7740,8197,7556,3951,86984,20692,45767,21471,35293,12878,1300,926,581313,11265,66,135,837,2100,4451,3244,4093,15339,5931,13052,17835,18341,19192,9298,148742,40403,41342,92693,38746,65395,22615,3493,2705,517251,262250,57615,87316,76016,41303,255001,48360,78594,80454,47593,37378,24092,6509,10715,5711,1157,13286,2412,5193,4287,1394,3414,1880,540,494,588,258,1534,409,410,495,220,2939,1356,289,390,309,368,1583,439,437,288,419,276,179,20,23,54,82,97,0,19,63,15,13644,7409,4082,1889,1261,177,6235,3368,1422,1055,390,6411,3322,610,1334,912,466,3089,526,909,1288,366,386359,193627,23594,67910,63592,38531,192732,20059,62764,67259,42650,147854,77828,38816,21933,14063,3016,70026,32245,17642,14765,5374,94208,43811,8793,3758,421,2039,531,2044,20704,7967,1456,5463,2068,3750,14314,6057,1034,3362,2093,1768,50397,13527,3468,1494,2468,3112,2985,25901,5130,3288,4624,8794,4065,10969,1100,1278,925,5582,2084,99679,2827,9514,3736,3493,3710,4755,1259,9582,19430,22813,2609,4660,2396,1942,6953,94208,27480,8971,18881,22180,16696,88896,26071,8512,17682,21149,15482,2551,647,211,622,436,635,478,112,52,190,60,64,787,290,100,201,64,132,97,8,6,0,76,7,567,103,22,97,200,145,832,249,68,89,195,231,81181,23968,7955,16673,18670,13915,8390,2244,610,1114,2658,1764
