SummaryLevel,State,StateFIPS,CountyFIPS,PlaceFIPS,CBSACode,CongressDistrict,GEOID,AreaName,B15001_001,B15001_002,B15001_003,B15001_004,B15001_005,B15001_006,B15001_007,B15001_008,B15001_009,B15001_010,B15001_011,B15001_012,B15001_013,B15001_014,B15001_015,B15001_016,B15001_017,B15001_018,B15001_019,B15001_020,B15001_021,B15001_022,B15001_023,B15001_024,B15001_025,B15001_026,B15001_027,B15001_028,B15001_029,B15001_030,B15001_031,B15001_032,B15001_033,B15001_034,B15001_035,B15001_036,B15001_037,B15001_038,B15001_039,B15001_040,B15001_041,B15001_042,B15001_043,B15001_044,B15001_045,B15001_046,B15001_047,B15001_048,B15001_049,B15001_050,B15001_051,B15001_052,B15001_053,B15001_054,B15001_055,B15001_056,B15001_057,B15001_058,B15001_059,B15001_060,B15001_061,B15001_062,B15001_063,B15001_064,B15001_065,B15001_066,B15001_067,B15001_068,B15001_069,B15001_070,B15001_071,B15001_072,B15001_073,B15001_074,B15001_075,B15001_076,B15001_077,B15001_078,B15001_079,B15001_080,B15001_081,B15001_082,B15001_083,B15002_001,B15002_002,B15002_003,B15002_004,B15002_005,B15002_006,B15002_007,B15002_008,B15002_009,B15002_010,B15002_011,B15002_012,B15002_013,B15002_014,B15002_015,B15002_016,B15002_017,B15002_018,B15002_019,B15002_020,B15002_021,B15002_022,B15002_023,B15002_024,B15002_025,B15002_026,B15002_027,B15002_028,B15002_029,B15002_030,B15002_031,B15002_032,B15002_033,B15002_034,B15002_035,B15003_001,B15003_002,B15003_003,B15003_004,B15003_005,B15003_006,B15003_007,B15003_008,B15003_009,B15003_010,B15003_011,B15003_012,B15003_013,B15003_014,B15003_015,B15003_016,B15003_017,B15003_018,B15003_019,B15003_020,B15003_021,B15003_022,B15003_023,B15003_024,B15003_025,C15002A_001,C15002A_002,C15002A_003,C15002A_004,C15002A_005,C15002A_006,C15002A_007,C15002A_008,C15002A_009,C15002A_010,C15002A_011,C15002B_001,C15002B_002,C15002B_003,C15002B_004,C15002B_005,C15002B_006,C15002B_007,C15002B_008,C15002B_009,C15002B_010,C15002B_011,C15002C_001,C15002C_002,C15002C_003,C15002C_004,C15002C_005,C15002C_006,C15002C_007,C15002C_008,C15002C_009,C15002C_010,C15002C_011,C15002D_001,C15002D_002,C15002D_003,C15002D_004,C15002D_005,C15002D_006,C15002D_007,C15002D_008,C15002D_009,C15002D_010,C15002D_011,C15002E_001,C15002E_002,C15002E_003,C15002E_004,C15002E_005,C15002E_006,C15002E_007,C15002E_008,C15002E_009,C15002E_010,C15002E_011,C15002F_001,C15002F_002,C15002F_003,C15002F_004,C15002F_005,C15002F_006,C15002F_007,C15002F_008,C15002F_009,C15002F_010,C15002F_011,C15002G_001,C15002G_002,C15002G_003,C15002G_004,C15002G_005,C15002G_006,C15002G_007,C15002G_008,C15002G_009,C15002G_010,C15002G_011,C15002H_001,C15002H_002,C15002H_003,C15002H_004,C15002H_005,C15002H_006,C15002H_007,C15002H_008,C15002H_009,C15002H_010,C15002H_011,C15002I_001,C15002I_002,C15002I_003,C15002I_004,C15002I_005,C15002I_006,C15002I_007,C15002I_008,C15002I_009,C15002I_010,C15002I_011,B15011_001,B15011_002,B15011_003,B15011_004,B15011_005,B15011_006,B15011_007,B15011_008,B15011_009,B15011_010,B15011_011,B15011_012,B15011_013,B15011_014,B15011_015,B15011_016,B15011_017,B15011_018,B15011_019,B15011_020,B15011_021,B15011_022,B15011_023,B15011_024,B15011_025,B15011_026,B15011_027,B15011_028,B15011_029,B15011_030,B15011_031,B15011_032,B15011_033,B15011_034,B15011_035,B15011_036,B15011_037,B15011_038,B15011_039,B15012_001,B15012_002,B15012_003,B15012_004,B15012_005,B15012_006,B15012_007,B15012_008,B15012_009,B15012_010,B15012_011,B15012_012,B15012_013,B15012_014,B15012_015,B15012_016,C15010_001,C15010_002,C15010_003,C15010_004,C15010_005,C15010_006,C15010A_001,C15010A_002,C15010A_003,C15010A_004,C15010A_005,C15010A_006,C15010B_001,C15010B_002,C15010B_003,C15010B_004,C15010B_005,C15010B_006,C15010C_001,C15010C_002,C15010C_003,C15010C_004,C15010C_005,C15010C_006,C15010D_001,C15010D_002,C15010D_003,C15010D_004,C15010D_005,C15010D_006,C15010E_001,C15010E_002,C15010E_003,C15010E_004,C15010E_005,C15010E_006,C15010F_001,C15010F_002,C15010F_003,C15010F_004,C15010F_005,C15010F_006,C15010G_001,C15010G_002,C15010G_003,C15010G_004,C15010G_005,C15010G_006,C15010H_001,C15010H_002,C15010H_003,C15010H_004,C15010H_005,C15010H_006,C15010I_001,C15010I_002,C15010I_003,C15010I_004,C15010I_005,C15010I_006
40,UT,49,,,,,04000US49,Utah,2043231,1018203,170583,1989,22413,57035,71064,11090,6491,501,224286,4664,14559,53318,62521,21777,49609,17838,196712,6954,11955,44706,46511,16932,42330,27324,290566,9303,16287,64443,76881,25028,57671,40953,136056,3969,6942,27432,35478,8564,27661,26010,1025028,165545,1586,16821,43129,71944,16529,15060,476,217182,3845,11233,43720,59788,27218,56228,15150,189065,6837,9079,38185,48759,24630,45358,16217,293950,8623,14487,71187,85604,32150,55085,26814,159286,5705,10221,50493,46248,10146,24945,11528,1707103,847620,6557,3938,9046,5349,9288,9370,15281,15804,189899,61886,159505,72301,177271,74050,21070,17005,859483,6893,3746,8726,5645,8073,9328,13746,13873,203585,75094,165305,94144,181616,54802,8012,6895,1707103,13450,251,394,804,1527,2963,1745,2592,15180,3290,7704,17361,18698,29027,29677,343976,49508,136980,324810,166445,358887,128852,29082,23900,1520646,752850,51152,164699,268488,268511,767796,47731,179617,310349,230099,16865,10154,1115,2574,3984,2481,6711,1030,1210,2877,1594,17630,8498,1817,2912,2777,992,9132,1786,2949,3306,1091,43031,19042,2512,2933,4191,9406,23989,3800,4768,4826,10595,13367,6970,649,2678,2691,952,6397,690,2588,2166,953,71553,37326,15877,11225,6842,3382,34227,13889,10105,6815,3418,24011,12780,1511,2878,4719,3672,11231,1104,2348,4204,3575,1407624,695462,34307,148643,252505,260007,712162,32185,163634,294608,221735,192607,99154,33680,28552,24466,12456,93453,30312,26907,23956,12278,540721,289396,105251,43517,7046,27059,3696,23933,130474,54934,8849,33356,7222,26113,53671,24113,3109,10587,7121,8741,251325,104867,26473,14642,13142,17237,33373,109985,24274,15180,15092,26732,28707,36473,4492,4082,1963,17139,8797,581261,27058,34357,16597,25338,45445,38479,5797,57757,105369,83616,29718,20281,22926,24321,44202,540721,177803,52908,101199,79147,129664,498610,160558,48255,93251,75588,120958,4075,1702,293,796,225,1059,2083,731,267,301,336,448,20001,9880,2114,3753,1215,3039,1905,495,199,415,188,608,6800,2032,865,1642,897,1364,7247,2405,915,1041,698,2188,481742,154673,46767,89779,73624,116899,24734,8188,2450,5256,2957,5883
40,UT,49,,,,,04001US49,Utah -- Urban,1848636,919414,157844,1730,20043,51928,66904,10605,6172,462,208974,4421,13457,48408,58237,20364,47050,17037,179919,6490,11108,40357,41943,15288,39241,25492,256230,8607,14329,54303,67383,22288,51843,37477,116447,3433,5733,22489,30130,7459,24167,23036,929222,154501,1454,15431,39505,67762,15435,14463,451,201677,3635,10408,40168,54856,24889,53340,14381,172565,6429,8627,34306,44200,22333,41643,15027,260308,8086,12918,62011,75693,28239,49409,23952,140171,4956,8880,43911,40892,8909,22245,10378,1536291,761570,6004,3731,8411,4805,8516,7998,13562,14551,165557,55487,142206,65399,162301,68428,18957,15657,774721,6295,3505,8232,5074,7437,8263,12265,12868,180396,67541,148100,84370,166637,50176,7181,6381,1536291,12299,225,354,780,1478,2727,1672,2321,14322,3042,6837,15953,16261,25827,27419,301251,44702,123028,290306,149769,328938,118604,26138,22038,1361405,672407,45523,142338,239344,245202,688998,42926,158389,277601,210082,16354,9843,1049,2524,3912,2358,6511,1030,1114,2804,1563,11749,5732,999,1705,2142,886,6017,968,1847,2338,864,41599,18543,2492,2816,4102,9133,23056,3688,4565,4599,10204,13100,6796,624,2622,2632,918,6304,680,2562,2121,941,69432,36064,15422,10770,6534,3338,33368,13579,9831,6605,3353,22652,12185,1469,2782,4426,3508,10467,1068,2088,3943,3368,1254025,617902,29560,127082,224247,237013,636123,28151,143183,262736,202053,184356,94838,32324,27263,23159,12092,89518,29198,25768,22749,11803,495718,265343,99379,41356,6484,25533,3309,22697,118761,49458,8033,30967,6283,24020,47203,20966,2787,9588,6079,7783,230375,98485,25077,13712,12236,15902,31558,99267,22196,13501,13830,23448,26292,32623,3984,3667,1647,15329,7996,533169,25637,29928,14981,23504,42560,34963,5509,52731,97710,74432,27723,18575,21391,22808,40717,495718,163037,48184,93801,70350,120346,455284,146484,43686,86098,67012,112004,3921,1652,293,782,204,990,1750,666,189,265,240,390,19337,9503,2073,3666,1184,2911,1859,480,199,413,174,593,6691,1992,857,1598,881,1363,6876,2260,887,979,655,2095,439066,140820,42270,82778,65117,108081,23895,7915,2326,5055,2877,5722
40,UT,49,,,,,04043US49,Utah -- Rural,194595,98789,12739,259,2370,5107,4160,485,319,39,15312,243,1102,4910,4284,1413,2559,801,16793,464,847,4349,4568,1644,3089,1832,34336,696,1958,10140,9498,2740,5828,3476,19609,536,1209,4943,5348,1105,3494,2974,95806,11044,132,1390,3624,4182,1094,597,25,15505,210,825,3552,4932,2329,2888,769,16500,408,452,3879,4559,2297,3715,1190,33642,537,1569,9176,9911,3911,5676,2862,19115,749,1341,6582,5356,1237,2700,1150,170812,86050,553,207,635,544,772,1372,1719,1253,24342,6399,17299,6902,14970,5622,2113,1348,84762,598,241,494,571,636,1065,1481,1005,23189,7553,17205,9774,14979,4626,831,514,170812,1151,26,40,24,49,236,73,271,858,248,867,1408,2437,3200,2258,42725,4806,13952,34504,16676,29949,10248,2944,1862,159241,80443,5629,22361,29144,23309,78798,4805,21228,32748,20017,511,311,66,50,72,123,200,0,96,73,31,5881,2766,818,1207,635,106,3115,818,1102,968,227,1432,499,20,117,89,273,933,112,203,227,391,267,174,25,56,59,34,93,10,26,45,12,2121,1262,455,455,308,44,859,310,274,210,65,1359,595,42,96,293,164,764,36,260,261,207,153599,77560,4747,21561,28258,22994,76039,4034,20451,31872,19682,8251,4316,1356,1289,1307,364,3935,1114,1139,1207,475,45003,24053,5872,2161,562,1526,387,1236,11713,5476,816,2389,939,2093,6468,3147,322,999,1042,958,20950,6382,1396,930,906,1335,1815,10718,2078,1679,1262,3284,2415,3850,508,415,316,1810,801,48092,1421,4429,1616,1834,2885,3516,288,5026,7659,9184,1995,1706,1535,1513,3485,45003,14766,4724,7398,8797,9318,43326,14074,4569,7153,8576,8954,154,50,0,14,21,69,333,65,78,36,96,58,664,377,41,87,31,128,46,15,0,2,14,15,109,40,8,44,16,1,371,145,28,62,43,93,42676,13853,4497,7001,8507,8818,839,273,124,201,80,161
40,UT,49,,,,,040A0US49,Utah -- In metropolitan or micropolitan statistical area,1942042,966792,163326,1836,20707,54485,68753,10737,6310,498,215481,4434,13746,49892,60314,20831,48739,17525,187982,6676,11071,42043,44108,16164,41221,26699,274018,8821,15082,58974,72179,23438,55656,39868,125985,3616,6235,24391,32788,7927,26183,24845,975250,158798,1546,15914,40995,69165,15827,14875,476,208815,3739,10736,41437,57108,25819,55069,14907,181287,6652,8742,36038,46490,23473,44126,15766,277793,8151,13349,66544,80603,30317,52924,25905,148557,5163,9288,46875,43046,9419,23637,11129,1619918,803466,6250,3714,8637,4946,8825,8359,13811,15139,175300,58629,150760,68360,171799,71774,20614,16549,816452,6514,3518,8377,5296,7561,8434,12869,13251,190894,71103,156144,89028,175756,53016,7888,6803,1619918,12764,249,371,780,1440,2721,1671,2470,14544,3180,7062,16386,16793,26680,28390,319531,46663,129732,306904,157388,347555,124790,28502,23352,1441989,713097,47416,151771,253790,260120,728892,44634,168300,293375,222583,16653,9961,1110,2499,3884,2468,6692,1030,1204,2864,1594,12469,6048,1232,1840,2125,851,6421,1089,1969,2401,962,42628,18889,2491,2909,4103,9386,23739,3757,4713,4733,10536,13186,6866,645,2642,2650,929,6320,684,2580,2114,942,69768,36238,15325,10868,6680,3365,33530,13541,9855,6750,3384,23225,12367,1462,2771,4517,3617,10858,1085,2273,4038,3462,1332003,657391,31233,136237,238222,251699,674612,29511,152728,278025,214348,187472,96220,32440,27656,23775,12349,91252,29518,26222,23406,12106,524199,280736,103114,42740,6784,26672,3482,23436,126594,53192,8424,32677,6770,25531,51028,23035,2891,10357,6453,8292,243463,102542,25827,14260,12924,16594,32937,106155,23606,14693,14662,25264,27930,34766,4222,3990,1855,16235,8464,563637,26518,32704,15851,24573,44418,37692,5642,55817,103222,79171,28853,19622,22557,23968,43029,524199,172622,51042,99147,74798,126590,482703,155529,46527,91248,71400,117999,4062,1693,293,792,225,1059,1813,673,228,276,233,403,19922,9860,2101,3749,1200,3012,1871,485,199,413,178,596,6749,2012,840,1639,894,1364,7079,2370,854,1030,668,2157,466047,149742,45044,87820,69479,113962,24455,8063,2416,5209,2906,5861
40,UT,49,,,,,040C0US49,Utah -- In metropolitan statistical area,1821537,906291,154168,1703,19555,51099,65044,10347,5969,451,203636,4189,12718,46192,57505,19796,46330,16906,177045,6365,10450,39067,41411,15225,39176,25351,254432,8221,13730,55008,66583,21978,51856,37056,117010,3411,5631,22437,30488,7465,24359,23219,915246,149703,1288,14748,38390,65737,14816,14248,476,197866,3559,9868,39452,53796,24378,52494,14319,170288,6316,8358,33825,43291,22199,41434,14865,258247,7793,12443,62069,75322,28400,48622,23598,139142,4813,8467,43963,40517,8790,22210,10382,1517666,752123,6047,3596,7985,4558,8056,7609,12724,14140,162704,55046,140941,64464,161721,67689,19058,15785,765543,6250,3431,7870,4930,7171,7851,11586,12528,179309,66732,146194,83767,164760,49693,7138,6333,1517666,12297,229,355,746,1420,2627,1650,2195,13660,2928,6560,15227,15460,24310,26668,298531,43482,121778,287135,148231,326481,117382,26196,22118,1346164,664864,43188,140024,237488,244164,681300,41122,157805,274715,207658,16263,9735,1036,2407,3870,2422,6528,998,1148,2803,1579,10246,5039,854,1572,1820,793,5207,835,1522,2004,846,41492,18482,2468,2807,3985,9222,23010,3653,4545,4576,10236,13049,6748,644,2580,2606,918,6301,683,2569,2107,942,68438,35582,15185,10699,6460,3238,32856,13346,9543,6647,3320,22014,11673,1340,2615,4222,3496,10341,980,2177,3841,3343,1242778,612677,28429,125509,222596,236143,630101,27218,143109,260056,199718,179034,91740,30812,26419,22705,11804,87294,28024,24991,22569,11710,492177,264253,98617,40989,6367,25571,3330,22360,118058,49717,7849,30403,6259,23830,47578,21551,2734,9537,6042,7714,227924,97475,24710,13542,12077,15457,31689,97857,21562,13687,13398,23306,25904,32592,3869,3807,1698,15280,7938,529499,25549,29916,15107,22971,41865,35615,5415,52496,96488,73758,27409,18490,21233,22666,40521,492177,162398,47986,92684,69674,119435,451822,145735,43591,84933,66422,111141,4001,1675,293,780,215,1038,1639,637,186,255,178,383,19458,9628,2091,3658,1167,2914,1860,485,199,413,167,596,6558,1965,822,1639,869,1263,6839,2273,804,1006,656,2100,435861,140207,42131,81695,64630,107198,23514,7745,2358,5019,2750,5642
40,UT,49,,,,,040C1US49,Utah -- In metropolitan statistical area -- in principal city,482843,242368,59599,573,4766,14138,31732,4906,3203,281,60823,1703,3657,11484,16819,5591,15795,5774,37300,2888,2406,8042,7902,2895,7318,5849,54934,3065,3736,11440,12972,4539,9987,9195,29712,1450,1419,4564,7033,1701,6079,7466,240475,61993,516,3954,11649,31574,6581,7464,255,53282,1761,3036,8812,13084,5555,15462,5572,34341,2562,2418,6328,7653,3334,7797,4249,54976,3047,3032,10997,14466,5449,11006,6979,35883,1590,2233,9700,9815,2354,6332,3859,361251,182769,2175,1820,3646,1465,2597,1970,3311,3340,35530,11841,32885,14726,39179,15970,5717,6597,178482,1966,1688,3544,1762,2237,2498,2997,2987,35837,12904,32114,16692,40597,15174,2402,3083,361251,4141,102,100,345,565,1529,867,885,6305,1046,2181,4834,4468,6308,6327,61789,9578,24745,64999,31418,79776,31144,8119,9680,305820,153779,12358,28932,52279,60210,152041,11924,30345,55307,54465,5542,3483,384,923,1522,654,2059,291,332,889,547,3441,1754,246,527,722,259,1687,239,527,649,272,12067,5767,819,632,955,3361,6300,1050,620,1138,3492,4085,2006,220,535,911,340,2079,313,790,720,256,23443,12168,5806,3206,1889,1267,11275,5501,2794,1938,1042,6853,3812,491,775,1174,1372,3041,361,429,1069,1182,270578,135991,6247,24179,48187,57378,134587,6574,25406,50784,51823,60861,31337,12123,8459,6416,4339,29524,11035,7878,6743,3868,128719,67463,28939,13704,1872,5065,911,7387,24979,10389,1676,5082,1276,6556,13545,6327,832,2095,1649,2642,61256,27918,8035,3418,2901,3665,9899,23147,6511,2903,2472,4219,7042,10191,1452,1075,426,4215,3023,139043,6047,9682,4784,7252,13073,8250,1317,12749,19047,17121,9290,6200,7414,5921,10896,128719,46418,11776,18041,15935,36549,114675,40228,10245,15657,15048,33497,1201,545,39,202,73,342,531,228,31,67,39,166,6853,3769,818,1092,223,951,596,129,17,128,93,229,2309,650,250,595,345,469,2554,869,376,300,114,895,109201,38356,9670,14779,14419,31977,8207,2584,817,1545,1026,2235
40,UT,49,,,,,040C2US49,Utah -- In metropolitan statistical area -- not in principal city,1338694,663923,94569,1130,14789,36961,33312,5441,2766,170,142813,2486,9061,34708,40686,14205,30535,11132,139745,3477,8044,31025,33509,12330,31858,19502,199498,5156,9994,43568,53611,17439,41869,27861,87298,1961,4212,17873,23455,5764,18280,15753,674771,87710,772,10794,26741,34163,8235,6784,221,144584,1798,6832,30640,40712,18823,37032,8747,135947,3754,5940,27497,35638,18865,33637,10616,203271,4746,9411,51072,60856,22951,37616,16619,103259,3223,6234,34263,30702,6436,15878,6523,1156415,569354,3872,1776,4339,3093,5459,5639,9413,10800,127174,43205,108056,49738,122542,51719,13341,9188,587061,4284,1743,4326,3168,4934,5353,8589,9541,143472,53828,114080,67075,124163,34519,4736,3250,1156415,8156,127,255,401,855,1098,783,1310,7355,1882,4379,10393,10992,18002,20341,236742,33904,97033,222136,116813,246705,86238,18077,12438,1040344,511085,30830,111092,185209,183954,529259,29198,127460,219408,153193,10721,6252,652,1484,2348,1768,4469,707,816,1914,1032,6805,3285,608,1045,1098,534,3520,596,995,1355,574,29425,12715,1649,2175,3030,5861,16710,2603,3925,3438,6744,8964,4742,424,2045,1695,578,4222,370,1779,1387,686,44995,23414,9379,7493,4571,1971,21581,7845,6749,4709,2278,15161,7861,849,1840,3048,2124,7300,619,1748,2772,2161,972200,476686,22182,101330,174409,178765,495514,20644,117703,209272,147895,118173,60403,18689,17960,16289,7465,57770,16989,17113,15826,7842,363458,196790,69678,27285,4495,20506,2419,14973,93079,39328,6173,25321,4983,17274,34033,15224,1902,7442,4393,5072,166668,69557,16675,10124,9176,11792,21790,74710,15051,10784,10926,19087,18862,22401,2417,2732,1272,11065,4915,390456,19502,20234,10323,15719,28792,27365,4098,39747,77441,56637,18119,12290,13819,16745,29625,363458,115980,36210,74643,53739,82886,337147,105507,33346,69276,51374,77644,2800,1130,254,578,142,696,1108,409,155,188,139,217,12605,5859,1273,2566,944,1963,1264,356,182,285,74,367,4249,1315,572,1044,524,794,4285,1404,428,706,542,1205,326660,101851,32461,66916,50211,75221,15307,5161,1541,3474,1724,3407
40,UT,49,,,,,040E0US49,Utah -- In micropolitan statistical area,120505,60501,9158,133,1152,3386,3709,390,341,47,11845,245,1028,3700,2809,1035,2409,619,10937,311,621,2976,2697,939,2045,1348,19586,600,1352,3966,5596,1460,3800,2812,8975,205,604,1954,2300,462,1824,1626,60004,9095,258,1166,2605,3428,1011,627,0,10949,180,868,1985,3312,1441,2575,588,10999,336,384,2213,3199,1274,2692,901,19546,358,906,4475,5281,1917,4302,2307,9415,350,821,2912,2529,629,1427,747,102252,51343,203,118,652,388,769,750,1087,999,12596,3583,9819,3896,10078,4085,1556,764,50909,264,87,507,366,390,583,1283,723,11585,4371,9950,5261,10996,3323,750,470,102252,467,20,16,34,20,94,21,275,884,252,502,1159,1333,2370,1722,21000,3181,7954,19769,9157,21074,7408,2306,1234,95825,48233,4228,11747,16302,15956,47592,3512,10495,18660,14925,390,226,74,92,14,46,164,32,56,61,15,2223,1009,378,268,305,58,1214,254,447,397,116,1136,407,23,102,118,164,729,104,168,157,300,137,118,1,62,44,11,19,1,11,7,0,1330,656,140,169,220,127,674,195,312,103,64,1211,694,122,156,295,121,517,105,96,197,119,89225,44714,2804,10728,15626,15556,44511,2293,9619,17969,14630,8438,4480,1628,1237,1070,545,3958,1494,1231,837,396,32022,16483,4497,1751,417,1101,152,1076,8536,3475,575,2274,511,1701,3450,1484,157,820,411,578,15539,5067,1117,718,847,1137,1248,8298,2044,1006,1264,1958,2026,2174,353,183,157,955,526,34138,969,2788,744,1602,2553,2077,227,3321,6734,5413,1444,1132,1324,1302,2508,32022,10224,3056,6463,5124,7155,30881,9794,2936,6315,4978,6858,61,18,0,12,10,21,174,36,42,21,55,20,464,232,10,91,33,98,11,0,0,0,11,0,191,47,18,0,25,101,240,97,50,24,12,57,30186,9535,2913,6125,4849,6764,941,318,58,190,156,219
40,UT,49,,,,,040E1US49,Utah -- In micropolitan statistical area -- in principal city,48980,24359,4792,2,575,1386,2412,219,170,28,5344,113,620,1525,1020,405,1255,406,4477,23,284,1295,982,315,813,765,6649,285,472,1091,1980,636,1252,933,3097,43,180,615,768,180,674,637,24621,5001,187,613,1269,1971,647,314,0,4520,68,357,849,1259,562,1150,275,4539,115,202,925,1378,428,1184,307,6868,124,433,1508,1997,652,1303,851,3693,147,358,1081,1090,198,445,374,39187,19567,38,75,230,121,418,194,505,439,4526,1163,3587,1536,3994,1735,661,345,19620,33,28,164,229,242,256,628,224,4363,1836,3888,1840,4082,1301,268,238,39187,71,0,0,20,0,78,5,138,256,98,252,660,450,1133,663,7563,1326,2999,7475,3376,8076,3036,929,583,36477,18178,1711,4142,5863,6462,18299,1426,3983,7207,5683,123,70,8,38,6,18,53,32,0,6,15,623,332,111,54,153,14,291,74,127,71,19,523,166,16,23,46,81,357,73,48,133,103,85,85,0,47,38,0,0,0,0,0,0,727,348,72,77,83,116,379,124,172,62,21,629,388,102,145,97,44,241,75,33,85,48,33588,16552,1045,3671,5558,6278,17036,882,3619,6912,5623,3908,2133,786,597,435,315,1775,738,552,383,102,12624,6735,2348,990,193,485,97,583,3076,1197,291,769,179,640,1311,588,66,316,138,203,5889,2221,558,329,373,576,385,2849,786,424,249,682,708,819,151,45,20,430,173,13442,388,1229,319,584,1086,825,103,1465,2343,2225,507,362,365,549,1092,12624,4270,1348,2212,2102,2692,12145,4079,1303,2158,2062,2543,33,10,0,8,10,5,33,9,0,14,10,0,184,116,0,32,8,28,0,0,0,0,0,0,137,40,0,0,0,97,92,16,45,0,12,19,11901,3912,1303,2120,2052,2514,417,216,0,38,22,141
40,UT,49,,,,,040E2US49,Utah -- In micropolitan statistical area -- not in principal city,71525,36142,4366,131,577,2000,1297,171,171,19,6501,132,408,2175,1789,630,1154,213,6460,288,337,1681,1715,624,1232,583,12937,315,880,2875,3616,824,2548,1879,5878,162,424,1339,1532,282,1150,989,35383,4094,71,553,1336,1457,364,313,0,6429,112,511,1136,2053,879,1425,313,6460,221,182,1288,1821,846,1508,594,12678,234,473,2967,3284,1265,2999,1456,5722,203,463,1831,1439,431,982,373,63065,31776,165,43,422,267,351,556,582,560,8070,2420,6232,2360,6084,2350,895,419,31289,231,59,343,137,148,327,655,499,7222,2535,6062,3421,6914,2022,482,232,63065,396,20,16,14,20,16,16,137,628,154,250,499,883,1237,1059,13437,1855,4955,12294,5781,12998,4372,1377,651,59348,30055,2517,7605,10439,9494,29293,2086,6512,11453,9242,267,156,66,54,8,28,111,0,56,55,0,1600,677,267,214,152,44,923,180,320,326,97,613,241,7,79,72,83,372,31,120,24,197,52,33,1,15,6,11,19,1,11,7,0,603,308,68,92,137,11,295,71,140,41,43,582,306,20,11,198,77,276,30,63,112,71,55637,28162,1759,7057,10068,9278,27475,1411,6000,11057,9007,4530,2347,842,640,635,230,2183,756,679,454,294,19398,9748,2149,761,224,616,55,493,5460,2278,284,1505,332,1061,2139,896,91,504,273,375,9650,2846,559,389,474,561,863,5449,1258,582,1015,1276,1318,1355,202,138,137,525,353,20696,581,1559,425,1018,1467,1252,124,1856,4391,3188,937,770,959,753,1416,19398,5954,1708,4251,3022,4463,18736,5715,1633,4157,2916,4315,28,8,0,4,0,16,141,27,42,7,45,20,280,116,10,59,25,70,11,0,0,0,11,0,54,7,18,0,25,4,148,81,5,24,0,38,18285,5623,1610,4005,2797,4250,524,102,58,152,134,78
