SummaryLevel,State,StateFIPS,CountyFIPS,PlaceFIPS,CBSACode,CongressDistrict,GEOID,AreaName,B15001_001,B15001_002,B15001_003,B15001_004,B15001_005,B15001_006,B15001_007,B15001_008,B15001_009,B15001_010,B15001_011,B15001_012,B15001_013,B15001_014,B15001_015,B15001_016,B15001_017,B15001_018,B15001_019,B15001_020,B15001_021,B15001_022,B15001_023,B15001_024,B15001_025,B15001_026,B15001_027,B15001_028,B15001_029,B15001_030,B15001_031,B15001_032,B15001_033,B15001_034,B15001_035,B15001_036,B15001_037,B15001_038,B15001_039,B15001_040,B15001_041,B15001_042,B15001_043,B15001_044,B15001_045,B15001_046,B15001_047,B15001_048,B15001_049,B15001_050,B15001_051,B15001_052,B15001_053,B15001_054,B15001_055,B15001_056,B15001_057,B15001_058,B15001_059,B15001_060,B15001_061,B15001_062,B15001_063,B15001_064,B15001_065,B15001_066,B15001_067,B15001_068,B15001_069,B15001_070,B15001_071,B15001_072,B15001_073,B15001_074,B15001_075,B15001_076,B15001_077,B15001_078,B15001_079,B15001_080,B15001_081,B15001_082,B15001_083,B15002_001,B15002_002,B15002_003,B15002_004,B15002_005,B15002_006,B15002_007,B15002_008,B15002_009,B15002_010,B15002_011,B15002_012,B15002_013,B15002_014,B15002_015,B15002_016,B15002_017,B15002_018,B15002_019,B15002_020,B15002_021,B15002_022,B15002_023,B15002_024,B15002_025,B15002_026,B15002_027,B15002_028,B15002_029,B15002_030,B15002_031,B15002_032,B15002_033,B15002_034,B15002_035,B15003_001,B15003_002,B15003_003,B15003_004,B15003_005,B15003_006,B15003_007,B15003_008,B15003_009,B15003_010,B15003_011,B15003_012,B15003_013,B15003_014,B15003_015,B15003_016,B15003_017,B15003_018,B15003_019,B15003_020,B15003_021,B15003_022,B15003_023,B15003_024,B15003_025,C15002A_001,C15002A_002,C15002A_003,C15002A_004,C15002A_005,C15002A_006,C15002A_007,C15002A_008,C15002A_009,C15002A_010,C15002A_011,C15002B_001,C15002B_002,C15002B_003,C15002B_004,C15002B_005,C15002B_006,C15002B_007,C15002B_008,C15002B_009,C15002B_010,C15002B_011,C15002C_001,C15002C_002,C15002C_003,C15002C_004,C15002C_005,C15002C_006,C15002C_007,C15002C_008,C15002C_009,C15002C_010,C15002C_011,C15002D_001,C15002D_002,C15002D_003,C15002D_004,C15002D_005,C15002D_006,C15002D_007,C15002D_008,C15002D_009,C15002D_010,C15002D_011,C15002E_001,C15002E_002,C15002E_003,C15002E_004,C15002E_005,C15002E_006,C15002E_007,C15002E_008,C15002E_009,C15002E_010,C15002E_011,C15002F_001,C15002F_002,C15002F_003,C15002F_004,C15002F_005,C15002F_006,C15002F_007,C15002F_008,C15002F_009,C15002F_010,C15002F_011,C15002G_001,C15002G_002,C15002G_003,C15002G_004,C15002G_005,C15002G_006,C15002G_007,C15002G_008,C15002G_009,C15002G_010,C15002G_011,C15002H_001,C15002H_002,C15002H_003,C15002H_004,C15002H_005,C15002H_006,C15002H_007,C15002H_008,C15002H_009,C15002H_010,C15002H_011,C15002I_001,C15002I_002,C15002I_003,C15002I_004,C15002I_005,C15002I_006,C15002I_007,C15002I_008,C15002I_009,C15002I_010,C15002I_011,B15011_001,B15011_002,B15011_003,B15011_004,B15011_005,B15011_006,B15011_007,B15011_008,B15011_009,B15011_010,B15011_011,B15011_012,B15011_013,B15011_014,B15011_015,B15011_016,B15011_017,B15011_018,B15011_019,B15011_020,B15011_021,B15011_022,B15011_023,B15011_024,B15011_025,B15011_026,B15011_027,B15011_028,B15011_029,B15011_030,B15011_031,B15011_032,B15011_033,B15011_034,B15011_035,B15011_036,B15011_037,B15011_038,B15011_039,B15012_001,B15012_002,B15012_003,B15012_004,B15012_005,B15012_006,B15012_007,B15012_008,B15012_009,B15012_010,B15012_011,B15012_012,B15012_013,B15012_014,B15012_015,B15012_016,C15010_001,C15010_002,C15010_003,C15010_004,C15010_005,C15010_006,C15010A_001,C15010A_002,C15010A_003,C15010A_004,C15010A_005,C15010A_006,C15010B_001,C15010B_002,C15010B_003,C15010B_004,C15010B_005,C15010B_006,C15010C_001,C15010C_002,C15010C_003,C15010C_004,C15010C_005,C15010C_006,C15010D_001,C15010D_002,C15010D_003,C15010D_004,C15010D_005,C15010D_006,C15010E_001,C15010E_002,C15010E_003,C15010E_004,C15010E_005,C15010E_006,C15010F_001,C15010F_002,C15010F_003,C15010F_004,C15010F_005,C15010F_006,C15010G_001,C15010G_002,C15010G_003,C15010G_004,C15010G_005,C15010G_006,C15010H_001,C15010H_002,C15010H_003,C15010H_004,C15010H_005,C15010H_006,C15010I_001,C15010I_002,C15010I_003,C15010I_004,C15010I_005,C15010I_006
40,VA,51,,,,,04000US51,Virginia,6444745,3133371,424633,5993,44534,143950,169456,17639,40404,2657,580828,18543,34785,149118,132123,40360,139504,66395,543513,22130,34424,134167,102585,37030,119181,93996,1080872,45201,83052,279221,203735,68169,213759,187735,503525,48651,43819,121397,83956,23518,82739,99445,3311374,399102,3712,32961,108710,174642,21965,51581,5531,573709,13346,25485,102658,124065,51978,161009,95168,551445,16606,24958,100330,108126,52711,139445,109269,1145826,38023,64580,282190,240363,104469,246871,169330,641292,58721,66338,208938,122124,35376,88977,60818,5621010,2708738,33644,14875,30676,55330,41764,55705,56548,42063,683903,154034,368365,169077,555183,308311,79540,59720,2912272,34834,13637,27184,51041,36357,51498,54149,39357,694116,183992,410686,244534,636302,338487,57541,38557,5621010,68478,786,809,2656,4710,9632,9919,16535,41325,38328,68043,78121,107203,110697,81420,1154899,223120,338026,779051,413611,1191485,646798,137081,98277,4006485,1952662,206700,478787,491629,775546,2053823,180085,492856,584604,796278,1030660,478144,81792,158023,143077,95252,552516,80874,149140,187247,135255,15003,7387,1228,2053,2487,1619,7616,990,1739,2743,2144,345570,156883,12695,18065,25855,100268,188687,23865,27734,33102,103986,3491,1392,91,320,422,559,2099,219,510,948,422,111326,60114,22050,16689,11941,9434,51212,16454,12835,12406,9517,108475,52156,6049,9966,16065,20076,56319,5570,9302,18162,23285,3740665,1816650,166368,444617,462546,743119,1924015,146756,463189,553201,760869,405781,210162,65485,54013,45534,45130,195619,52165,45587,48822,49045,2073641,1002754,308944,155984,12817,60748,8629,70766,511626,251817,22738,113310,21917,101844,182184,89498,7113,36390,14073,35110,1070887,381545,144801,36416,65819,31748,102761,539547,162306,59899,105388,80666,131288,149795,32905,16200,11966,48199,40525,2241751,137132,126808,77056,114054,248763,183001,21054,168589,409930,216788,121752,137240,80773,75157,123654,2073641,837311,155183,393621,205232,482294,1571824,619766,114151,283189,166864,387854,230507,76955,19416,58704,26155,49277,3763,1220,219,656,457,1211,204254,111378,16727,38582,8253,29314,981,408,35,216,56,266,18951,8097,1322,4237,982,4313,43361,19487,3313,8037,2465,10059,1503988,590604,109656,267204,161658,374866,94175,40131,6271,22110,6795,18868
40,VA,51,,,,,04001US51,Virginia -- Urban,4851477,2333847,342236,4566,32703,107477,145643,13478,35869,2500,473921,15487,25452,104686,108559,32946,125061,61730,421579,18491,22587,86888,77304,28553,102200,85556,768294,28824,46750,167756,143862,48450,172997,159655,327817,22678,24052,69904,55403,15637,62879,77264,2517630,329725,2917,25955,85165,148248,16660,45785,4995,476990,11857,20130,76258,99610,40621,141574,86940,434849,14208,18935,70482,80487,38099,116851,95787,833416,28423,43014,181031,171661,73615,197449,138223,442650,36135,41261,137115,86527,25014,69034,47564,4179516,1991611,24459,11267,21970,27784,24826,30972,32760,30283,429234,108223,276905,125586,463137,266575,67759,49871,2187905,27935,11096,20945,30647,23844,32943,36250,30303,464886,129916,308369,177349,524908,285842,49787,32885,4179516,52394,735,591,2394,3707,7480,7456,11542,31373,20838,37593,48670,63915,69010,60586,757155,136965,238139,585274,302935,988045,552417,117546,82756,2795348,1353844,111379,270467,337234,634764,1441504,108466,298959,393872,640207,840164,379831,54804,116554,121719,86754,460333,61550,117845,159799,121139,11261,5502,886,1392,1921,1303,5759,774,1155,2085,1745,332539,151484,12363,17533,24902,96686,181055,22922,26745,31617,99771,3029,1203,69,261,369,504,1826,209,394,878,345,103090,55033,20008,15144,11025,8856,48057,15429,12150,11566,8912,94085,44714,4812,7883,13544,18475,49371,4613,7638,15817,21303,2550060,1228452,74445,238850,310600,604557,1321608,77593,271990,364866,607159,375067,193454,59941,49536,41842,42135,181613,48480,41918,45429,45786,1740764,847342,278611,141701,11876,54599,7146,63289,428588,213832,18292,94087,16574,85803,140143,69942,5438,28426,9678,26659,893422,337259,130462,30396,58623,26558,91220,439565,135941,46369,87879,60877,108499,116598,26183,12268,9676,36176,32295,1883011,120613,100846,63073,95861,220380,159223,18228,135498,347358,166060,103847,114352,68182,67128,102362,1740764,718061,124639,333290,157009,407765,1274971,512980,86703,230955,123499,320834,207893,70963,17509,52881,22064,44476,3048,1011,175,542,372,948,196457,107077,15947,37406,7924,28103,849,360,26,183,27,253,17768,7708,1252,3898,903,4007,39778,17962,3027,7425,2220,9144,1211716,485863,82533,215871,118632,308817,87921,37522,5857,20700,6322,17520
40,VA,51,,,,,04043US51,Virginia -- Rural,1593268,799524,82397,1427,11831,36473,23813,4161,4535,157,106907,3056,9333,44432,23564,7414,14443,4665,121934,3639,11837,47279,25281,8477,16981,8440,312578,16377,36302,111465,59873,19719,40762,28080,175708,25973,19767,51493,28553,7881,19860,22181,793744,69377,795,7006,23545,26394,5305,5796,536,96719,1489,5355,26400,24455,11357,19435,8228,116596,2398,6023,29848,27639,14612,22594,13482,312410,9600,21566,101159,68702,30854,49422,31107,198642,22586,25077,71823,35597,10362,19943,13254,1441494,717127,9185,3608,8706,27546,16938,24733,23788,11780,254669,45811,91460,43491,92046,41736,11781,9849,724367,6899,2541,6239,20394,12513,18555,17899,9054,229230,54076,102317,67185,111394,52645,7754,5672,1441494,16084,51,218,262,1003,2152,2463,4993,9952,17490,30450,29451,43288,41687,20834,397744,86155,99887,193777,110676,203440,94381,19535,15521,1211137,598818,95321,208320,154395,140782,612319,71619,193897,190732,156071,190496,98313,26988,41469,21358,8498,92183,19324,31295,27448,14116,3742,1885,342,661,566,316,1857,216,584,658,399,13031,5399,332,532,953,3582,7632,943,989,1485,4215,462,189,22,59,53,55,273,10,116,70,77,8236,5081,2042,1545,916,578,3155,1025,685,840,605,14390,7442,1237,2083,2521,1601,6948,957,1664,2345,1982,1190605,588198,91923,205767,151946,138562,602407,69163,191199,188335,153710,30714,16708,5544,4477,3692,2995,14006,3685,3669,3393,3259,332877,155412,30333,14283,941,6149,1483,7477,83038,37985,4446,19223,5343,16041,42041,19556,1675,7964,4395,8451,177465,44286,14339,6020,7196,5190,11541,99982,26365,13530,17509,19789,22789,33197,6722,3932,2290,12023,8230,358740,16519,25962,13983,18193,28383,23778,2826,33091,62572,50728,17905,22888,12591,8029,21292,332877,119250,30544,60331,48223,74529,296853,106786,27448,52234,43365,67020,22614,5992,1907,5823,4091,4801,715,209,44,114,85,263,7797,4301,780,1176,329,1211,132,48,9,33,29,13,1183,389,70,339,79,306,3583,1525,286,612,245,915,292272,104741,27123,51333,43026,66049,6254,2609,414,1410,473,1348
40,VA,51,,,,,040A0US51,Virginia -- In metropolitan or micropolitan statistical area,5815587,2822265,388182,5336,39965,128357,157033,15922,38987,2582,538008,17292,30499,130241,122651,37476,134870,64979,497375,20353,29545,114435,92360,34019,114696,91967,967096,37359,67268,234778,182083,61648,202873,181087,431604,36644,35208,99005,72794,20505,75226,92222,2993322,367979,3210,30127,98874,161499,19629,49230,5410,534447,12666,23030,91176,113256,47070,154712,92537,507739,15542,22324,86885,97440,46850,133245,105453,1030318,33357,54538,241183,215289,93426,232183,160342,552839,46895,54592,177196,106093,31339,80730,55994,5059426,2434083,29562,13142,26607,42337,34106,44868,46028,37518,578459,135958,333930,153648,527665,297214,76355,56686,2625343,31754,11949,24174,40583,30691,42689,45582,35522,596440,162276,369802,218685,600870,321426,55597,37303,5059426,61316,783,642,2492,4090,8391,8693,14126,36655,29866,53054,64797,87557,91610,73040,988103,186796,298234,703732,372333,1128535,618640,131952,93989,3557755,1734081,166761,396312,435863,735145,1823674,148062,413895,513166,748551,930861,428928,67184,136992,132669,92083,501933,69152,131785,172235,128761,13889,6816,1101,1849,2318,1548,7073,919,1589,2501,2064,342609,155755,12516,17870,25579,99790,186854,23406,27468,32578,103402,3388,1320,78,320,411,511,2068,219,502,925,422,107802,57679,20981,15954,11501,9243,50123,16020,12620,12150,9333,103122,49504,5547,9162,15195,19600,53618,5166,8581,17208,22663,3300016,1602646,127978,363515,407628,703525,1697370,116011,385283,482517,713559,393092,202585,62741,51738,44087,44019,190507,50316,44117,47702,48372,1973116,957920,299762,151879,12627,59150,8007,68099,490710,243326,21713,108442,20084,97145,167448,82976,6481,33769,12210,32012,1015196,367602,140565,34839,63493,29736,98969,510870,155190,56665,100478,73610,124927,136724,30442,14553,10977,43471,37281,2133639,132969,119636,73047,108716,240933,176579,20209,159614,392044,197796,116052,129592,76676,73075,116701,1973116,804378,146878,376309,187118,458433,1483696,590285,106901,268605,151164,366741,220844,74635,18528,56575,23986,47120,3612,1166,219,656,448,1123,203192,110860,16640,38363,8179,29150,933,400,31,180,56,266,18576,7972,1321,4096,920,4267,42263,19060,3238,7834,2365,9766,1417084,561649,102440,252980,146049,353966,92391,39384,6236,21575,6612,18584
40,VA,51,,,,,040C0US51,Virginia -- In metropolitan statistical area,5598123,2717381,376518,5140,38372,123619,152921,15334,38590,2542,522340,16921,28724,124618,118275,36100,133289,64413,481269,19852,27794,108160,88470,32505,113281,91207,928484,34554,61694,220723,174302,58687,199474,179050,408770,31616,31840,92036,69143,19645,73395,91095,2880742,357179,3070,29067,95065,157021,19133,48481,5342,519602,12507,21806,87367,108763,45130,152501,91528,491905,15220,21227,83160,93309,43925,131097,103967,989314,31369,49950,227838,205425,88255,228301,158176,522742,41698,49579,166594,101007,29837,79141,54886,4864426,2340863,28104,12425,25109,37305,31216,41253,42150,35433,545537,129258,320932,146937,519439,294575,75224,55966,2523563,30501,11411,22928,35954,27771,39089,41968,33734,564959,154189,354315,207147,591040,316810,54971,36776,4864426,58605,778,621,2482,4019,7906,8030,13127,34910,25570,47689,58987,80342,84118,69167,937544,172952,283447,675247,354084,1110479,611385,130195,92742,3405448,1661124,150892,371210,415102,723920,1744324,133357,389213,485923,735831,893089,411270,62695,129953,127615,91007,481819,64733,125469,165041,126576,13659,6693,1051,1828,2292,1522,6966,904,1575,2464,2023,341507,155285,12450,17775,25446,99614,186222,23369,27365,32434,103054,3340,1320,78,320,411,511,2020,219,491,905,405,106004,56627,20569,15579,11303,9176,49377,15784,12348,12001,9244,101379,48544,5260,8872,14958,19454,52835,4990,8498,16883,22464,3149251,1530471,112370,338607,387123,692371,1618780,101612,360761,455456,700951,389484,200565,62026,51058,43614,43867,188919,49745,43694,47324,48156,1944801,945204,296810,150786,12458,58594,7735,67237,483904,240766,21421,106648,19344,95725,164490,81937,6422,33091,11737,31303,999597,362434,139116,34090,62654,28953,97621,503136,153526,55592,98703,71506,123809,134027,30046,14319,10677,42336,36649,2102897,132200,117810,71963,107266,238517,175325,20025,156755,385856,191973,115001,127359,75828,72611,114408,1944801,796177,144302,370367,181611,452344,1459751,583338,104744,263612,146296,361761,217583,73701,18288,55877,23456,46261,3545,1160,219,651,413,1102,202668,110649,16533,38296,8105,29085,916,400,31,163,56,266,18420,7954,1293,4052,920,4201,41918,18975,3194,7716,2365,9668,1393322,554738,100305,247999,141195,349085,92023,39330,6164,21513,6598,18418
40,VA,51,,,,,040C1US51,Virginia -- In metropolitan statistical area -- in principal city,1765532,855176,155025,1688,10131,45292,75621,5574,15502,1217,202437,5349,9586,41678,49771,14238,53232,28583,140479,5170,8056,30899,27500,11125,30719,27010,248401,8688,18028,61515,50813,16373,48565,44419,108834,7874,9154,23506,19847,5449,18514,24490,910356,146009,1288,8658,34517,73460,6660,19459,1967,200264,4185,8306,30020,42436,17197,59568,38552,140542,4329,6733,23545,27598,12917,34228,31192,272289,8962,17395,62163,59723,23871,56967,43208,151252,12026,16023,46817,29168,8093,21695,17430,1464498,700151,8040,3067,6803,9171,8672,12653,12969,10530,157598,39810,108121,47185,151030,79633,27356,17513,764347,9520,3337,6147,10498,7951,13502,16245,10759,162545,44914,114011,62078,172458,97249,20032,13101,1464498,17560,306,226,489,1170,1980,2233,3024,9926,6557,13112,16623,26155,29214,21289,265026,55117,84724,222132,109263,323488,176882,47388,30614,933941,459250,33968,88908,120747,215627,474691,33316,92355,124868,224152,387951,174839,28810,56860,57864,31305,213112,33166,57606,77005,45335,4805,2224,328,539,921,436,2581,292,531,988,770,74767,33353,3097,3919,6938,19399,41414,5423,6213,7562,22216,1159,507,8,181,118,200,652,74,123,270,185,28301,14352,4257,3850,3541,2704,13949,4411,2996,3902,2640,33574,15626,1437,3341,4987,5861,17948,1277,2721,6408,7542,863786,422126,23886,79995,112166,206079,441660,25469,85302,117006,213883,108005,56377,15097,14042,13857,13381,51628,12697,11084,13689,14158,578372,275532,112555,55916,4802,21406,2671,27760,119973,55657,6115,24669,5002,28530,43004,20969,1877,7621,3374,9163,302840,133085,52177,11850,20299,9293,39466,130630,40807,13642,22706,17606,35869,39125,9186,4122,2601,11488,11728,632143,31572,35267,19689,35545,83396,44253,7507,46438,103774,52387,41857,42998,27272,25702,34486,578372,234712,42408,99302,49434,152516,439779,179170,29773,70895,36858,123083,76640,25270,6814,17229,9543,17784,1206,423,71,183,111,418,41615,21403,4064,7683,2040,6425,385,152,26,79,7,121,5344,2277,517,981,291,1278,13403,6017,1143,2252,584,3407,419962,169638,28675,67304,35347,118998,27539,12825,1712,5036,1909,6057
40,VA,51,,,,,040C2US51,Virginia -- In metropolitan statistical area -- not in principal city,3832591,1862205,221493,3452,28241,78327,77300,9760,23088,1325,319903,11572,19138,82940,68504,21862,80057,35830,340790,14682,19738,77261,60970,21380,82562,64197,680083,25866,43666,159208,123489,42314,150909,134631,299936,23742,22686,68530,49296,14196,54881,66605,1970386,211170,1782,20409,60548,83561,12473,29022,3375,319338,8322,13500,57347,66327,27933,92933,52976,351363,10891,14494,59615,65711,31008,96869,72775,717025,22407,32555,165675,145702,64384,171334,114968,371490,29672,33556,119777,71839,21744,57446,37456,3399928,1640712,20064,9358,18306,28134,22544,28600,29181,24903,387939,89448,212811,99752,368409,214942,47868,38453,1759216,20981,8074,16781,25456,19820,25587,25723,22975,402414,109275,240304,145069,418582,219561,34939,23675,3399928,41045,472,395,1993,2849,5926,5797,10103,24984,19013,34577,42364,54187,54904,47878,672518,117835,198723,453115,244821,786991,434503,82807,62128,2471507,1201874,116924,282302,294355,508293,1269633,100041,296858,361055,511679,505138,236431,33885,73093,69751,59702,268707,31567,67863,88036,81241,8854,4469,723,1289,1371,1086,4385,612,1044,1476,1253,266740,121932,9353,13856,18508,80215,144808,17946,21152,24872,80838,2181,813,70,139,293,311,1368,145,368,635,220,77703,42275,16312,11729,7762,6472,35428,11373,9352,8099,6604,67805,32918,3823,5531,9971,13593,34887,3713,5777,10475,14922,2285465,1108345,88484,258612,274957,486292,1177120,76143,275459,338450,487068,281479,144188,46929,37016,29757,30486,137291,37048,32610,33635,33998,1366429,669672,184255,94870,7656,37188,5064,39477,363931,185109,15306,81979,14342,67195,121486,60968,4545,25470,8363,22140,696757,229349,86939,22240,42355,19660,58155,372506,112719,41950,75997,53900,87940,94902,20860,10197,8076,30848,24921,1470754,100628,82543,52274,71721,155121,131072,12518,110317,282082,139586,73144,84361,48556,46909,79922,1366429,561465,101894,271065,132177,299828,1019972,404168,74971,192717,109438,238678,140943,48431,11474,38648,13913,28477,2339,737,148,468,302,684,161053,89246,12469,30613,6065,22660,531,248,5,84,49,145,13076,5677,776,3071,629,2923,28515,12958,2051,5464,1781,6261,973360,385100,71630,180695,105848,230087,64484,26505,4452,16477,4689,12361
40,VA,51,,,,,040E0US51,Virginia -- In micropolitan statistical area,217464,104884,11664,196,1593,4738,4112,588,397,40,15668,371,1775,5623,4376,1376,1581,566,16106,501,1751,6275,3890,1514,1415,760,38612,2805,5574,14055,7781,2961,3399,2037,22834,5028,3368,6969,3651,860,1831,1127,112580,10800,140,1060,3809,4478,496,749,68,14845,159,1224,3809,4493,1940,2211,1009,15834,322,1097,3725,4131,2925,2148,1486,41004,1988,4588,13345,9864,5171,3882,2166,30097,5197,5013,10602,5086,1502,1589,1108,195000,93220,1458,717,1498,5032,2890,3615,3878,2085,32922,6700,12998,6711,8226,2639,1131,720,101780,1253,538,1246,4629,2920,3600,3614,1788,31481,8087,15487,11538,9830,4616,626,527,195000,2711,5,21,10,71,485,663,999,1745,4296,5365,5810,7215,7492,3873,50559,13844,14787,28485,18249,18056,7255,1757,1247,152307,72957,15869,25102,20761,11225,79350,14705,24682,27243,12720,37772,17658,4489,7039,5054,1076,20114,4419,6316,7194,2185,230,123,50,21,26,26,107,15,14,37,41,1102,470,66,95,133,176,632,37,103,144,348,48,0,0,0,0,0,48,0,11,20,17,1798,1052,412,375,198,67,746,236,272,149,89,1743,960,287,290,237,146,783,176,83,325,199,150765,72175,15608,24908,20505,11154,78590,14399,24522,27061,12608,3608,2020,715,680,473,152,1588,571,423,378,216,28315,12716,2952,1093,169,556,272,862,6806,2560,292,1794,740,1420,2958,1039,59,678,473,709,15599,5168,1449,749,839,783,1348,7734,1664,1073,1775,2104,1118,2697,396,234,300,1135,632,30742,769,1826,1084,1450,2416,1254,184,2859,6188,5823,1051,2233,848,464,2293,28315,8201,2576,5942,5507,6089,23945,6947,2157,4993,4868,4980,3261,934,240,698,530,859,67,6,0,5,35,21,524,211,107,67,74,65,17,0,0,17,0,0,156,18,28,44,0,66,345,85,44,118,0,98,23762,6911,2135,4981,4854,4881,368,54,72,62,14,166
40,VA,51,,,,,040E1US51,Virginia -- In micropolitan statistical area -- in principal city,48078,21926,2764,41,408,935,1165,120,95,0,3757,145,575,1140,1027,269,438,163,3434,65,330,1311,854,279,305,290,7487,494,1107,2153,1693,605,871,564,4484,672,777,1224,681,221,576,333,26152,2600,26,207,928,1141,104,187,7,3879,43,360,842,1199,409,715,311,3487,63,216,612,991,514,660,431,8847,352,965,2603,2271,1216,910,530,7339,1360,1315,2276,1189,345,497,357,42714,19162,294,94,301,687,540,872,827,550,5828,1441,2814,1374,2190,696,426,228,23552,404,219,295,900,714,678,896,568,6333,1924,3726,2484,2782,1234,250,145,42714,698,0,0,0,5,148,160,172,424,624,963,1254,1550,1723,1118,9476,2685,3365,6540,3858,4972,1930,676,373,23206,10532,1893,2663,3120,2856,12674,2346,3177,4229,2922,18044,7914,2044,2983,2329,558,10130,2202,2977,3680,1271,86,18,0,4,8,6,68,5,8,20,35,377,182,40,43,38,61,195,17,43,34,101,9,0,0,0,0,0,9,0,0,9,0,549,304,112,97,84,11,245,64,113,28,40,443,212,76,38,50,48,231,40,15,134,42,22778,10323,1806,2580,3105,2832,12455,2265,3156,4144,2890,1132,602,212,202,140,48,530,172,144,142,72,7951,3540,823,377,72,128,25,221,1808,732,80,429,114,453,909,323,9,219,124,234,4411,1602,523,247,362,143,327,1955,524,304,342,372,413,854,164,97,107,315,171,8641,145,722,316,448,998,260,26,886,1634,1151,332,526,210,142,845,7951,2643,809,1587,1093,1819,5778,1977,576,1138,828,1259,1829,516,164,416,220,513,41,0,0,0,35,6,162,112,27,10,10,3,0,0,0,0,0,0,51,0,28,12,0,11,90,38,14,11,0,27,5722,1962,561,1138,828,1233,120,15,56,12,0,37
40,VA,51,,,,,040E2US51,Virginia -- In micropolitan statistical area -- not in principal city,169386,82958,8900,155,1185,3803,2947,468,302,40,11911,226,1200,4483,3349,1107,1143,403,12672,436,1421,4964,3036,1235,1110,470,31125,2311,4467,11902,6088,2356,2528,1473,18350,4356,2591,5745,2970,639,1255,794,86428,8200,114,853,2881,3337,392,562,61,10966,116,864,2967,3294,1531,1496,698,12347,259,881,3113,3140,2411,1488,1055,32157,1636,3623,10742,7593,3955,2972,1636,22758,3837,3698,8326,3897,1157,1092,751,152286,74058,1164,623,1197,4345,2350,2743,3051,1535,27094,5259,10184,5337,6036,1943,705,492,78228,849,319,951,3729,2206,2922,2718,1220,25148,6163,11761,9054,7048,3382,376,382,152286,2013,5,21,10,66,337,503,827,1321,3672,4402,4556,5665,5769,2755,41083,11159,11422,21945,14391,13084,5325,1081,874,129101,62425,13976,22439,17641,8369,66676,12359,21505,23014,9798,19728,9744,2445,4056,2725,518,9984,2217,3339,3514,914,144,105,50,17,18,20,39,10,6,17,6,725,288,26,52,95,115,437,20,60,110,247,39,0,0,0,0,0,39,0,11,11,17,1249,748,300,278,114,56,501,172,159,121,49,1300,748,211,252,187,98,552,136,68,191,157,127987,61852,13802,22328,17400,8322,66135,12134,21366,22917,9718,2476,1418,503,478,333,104,1058,399,279,236,144,20364,9176,2129,716,97,428,247,641,4998,1828,212,1365,626,967,2049,716,50,459,349,475,11188,3566,926,502,477,640,1021,5779,1140,769,1433,1732,705,1843,232,137,193,820,461,22101,624,1104,768,1002,1418,994,158,1973,4554,4672,719,1707,638,322,1448,20364,5558,1767,4355,4414,4270,18167,4970,1581,3855,4040,3721,1432,418,76,282,310,346,26,6,0,5,0,15,362,99,80,57,64,62,17,0,0,17,0,0,105,18,0,32,0,55,255,47,30,107,0,71,18040,4949,1574,3843,4026,3648,248,39,16,50,14,129
