SummaryLevel,State,StateFIPS,CountyFIPS,PlaceFIPS,CBSACode,CongressDistrict,GEOID,AreaName,B15001_001,B15001_002,B15001_003,B15001_004,B15001_005,B15001_006,B15001_007,B15001_008,B15001_009,B15001_010,B15001_011,B15001_012,B15001_013,B15001_014,B15001_015,B15001_016,B15001_017,B15001_018,B15001_019,B15001_020,B15001_021,B15001_022,B15001_023,B15001_024,B15001_025,B15001_026,B15001_027,B15001_028,B15001_029,B15001_030,B15001_031,B15001_032,B15001_033,B15001_034,B15001_035,B15001_036,B15001_037,B15001_038,B15001_039,B15001_040,B15001_041,B15001_042,B15001_043,B15001_044,B15001_045,B15001_046,B15001_047,B15001_048,B15001_049,B15001_050,B15001_051,B15001_052,B15001_053,B15001_054,B15001_055,B15001_056,B15001_057,B15001_058,B15001_059,B15001_060,B15001_061,B15001_062,B15001_063,B15001_064,B15001_065,B15001_066,B15001_067,B15001_068,B15001_069,B15001_070,B15001_071,B15001_072,B15001_073,B15001_074,B15001_075,B15001_076,B15001_077,B15001_078,B15001_079,B15001_080,B15001_081,B15001_082,B15001_083,B15002_001,B15002_002,B15002_003,B15002_004,B15002_005,B15002_006,B15002_007,B15002_008,B15002_009,B15002_010,B15002_011,B15002_012,B15002_013,B15002_014,B15002_015,B15002_016,B15002_017,B15002_018,B15002_019,B15002_020,B15002_021,B15002_022,B15002_023,B15002_024,B15002_025,B15002_026,B15002_027,B15002_028,B15002_029,B15002_030,B15002_031,B15002_032,B15002_033,B15002_034,B15002_035,B15003_001,B15003_002,B15003_003,B15003_004,B15003_005,B15003_006,B15003_007,B15003_008,B15003_009,B15003_010,B15003_011,B15003_012,B15003_013,B15003_014,B15003_015,B15003_016,B15003_017,B15003_018,B15003_019,B15003_020,B15003_021,B15003_022,B15003_023,B15003_024,B15003_025,C15002A_001,C15002A_002,C15002A_003,C15002A_004,C15002A_005,C15002A_006,C15002A_007,C15002A_008,C15002A_009,C15002A_010,C15002A_011,C15002B_001,C15002B_002,C15002B_003,C15002B_004,C15002B_005,C15002B_006,C15002B_007,C15002B_008,C15002B_009,C15002B_010,C15002B_011,C15002C_001,C15002C_002,C15002C_003,C15002C_004,C15002C_005,C15002C_006,C15002C_007,C15002C_008,C15002C_009,C15002C_010,C15002C_011,C15002D_001,C15002D_002,C15002D_003,C15002D_004,C15002D_005,C15002D_006,C15002D_007,C15002D_008,C15002D_009,C15002D_010,C15002D_011,C15002E_001,C15002E_002,C15002E_003,C15002E_004,C15002E_005,C15002E_006,C15002E_007,C15002E_008,C15002E_009,C15002E_010,C15002E_011,C15002F_001,C15002F_002,C15002F_003,C15002F_004,C15002F_005,C15002F_006,C15002F_007,C15002F_008,C15002F_009,C15002F_010,C15002F_011,C15002G_001,C15002G_002,C15002G_003,C15002G_004,C15002G_005,C15002G_006,C15002G_007,C15002G_008,C15002G_009,C15002G_010,C15002G_011,C15002H_001,C15002H_002,C15002H_003,C15002H_004,C15002H_005,C15002H_006,C15002H_007,C15002H_008,C15002H_009,C15002H_010,C15002H_011,C15002I_001,C15002I_002,C15002I_003,C15002I_004,C15002I_005,C15002I_006,C15002I_007,C15002I_008,C15002I_009,C15002I_010,C15002I_011,B15011_001,B15011_002,B15011_003,B15011_004,B15011_005,B15011_006,B15011_007,B15011_008,B15011_009,B15011_010,B15011_011,B15011_012,B15011_013,B15011_014,B15011_015,B15011_016,B15011_017,B15011_018,B15011_019,B15011_020,B15011_021,B15011_022,B15011_023,B15011_024,B15011_025,B15011_026,B15011_027,B15011_028,B15011_029,B15011_030,B15011_031,B15011_032,B15011_033,B15011_034,B15011_035,B15011_036,B15011_037,B15011_038,B15011_039,B15012_001,B15012_002,B15012_003,B15012_004,B15012_005,B15012_006,B15012_007,B15012_008,B15012_009,B15012_010,B15012_011,B15012_012,B15012_013,B15012_014,B15012_015,B15012_016,C15010_001,C15010_002,C15010_003,C15010_004,C15010_005,C15010_006,C15010A_001,C15010A_002,C15010A_003,C15010A_004,C15010A_005,C15010A_006,C15010B_001,C15010B_002,C15010B_003,C15010B_004,C15010B_005,C15010B_006,C15010C_001,C15010C_002,C15010C_003,C15010C_004,C15010C_005,C15010C_006,C15010D_001,C15010D_002,C15010D_003,C15010D_004,C15010D_005,C15010D_006,C15010E_001,C15010E_002,C15010E_003,C15010E_004,C15010E_005,C15010E_006,C15010F_001,C15010F_002,C15010F_003,C15010F_004,C15010F_005,C15010F_006,C15010G_001,C15010G_002,C15010G_003,C15010G_004,C15010G_005,C15010G_006,C15010H_001,C15010H_002,C15010H_003,C15010H_004,C15010H_005,C15010H_006,C15010I_001,C15010I_002,C15010I_003,C15010I_004,C15010I_005,C15010I_006
40,WI,55,,,,,04000US55,Wisconsin,4453300,2193714,286748,4639,33219,99148,110637,13954,23685,1466,371566,9016,21636,107321,86186,40450,81272,25685,350005,9455,21247,101896,73772,40253,69767,33615,794218,18408,47215,272792,164475,82028,134761,74539,391177,23139,31224,144598,72028,20633,53838,45717,2259586,275300,3704,23852,75723,124119,13692,32556,1654,357360,6757,14124,68195,85054,45178,101235,36817,342076,8215,13752,70178,73013,47612,83678,45628,800807,15111,33218,247967,177408,100574,147145,79384,484043,25859,37720,220273,84604,24586,57803,33198,3891252,1906966,17155,4826,10445,27592,18530,29434,37749,35609,626607,124985,271476,183364,339638,116181,38290,25085,1984286,15886,4972,8831,26253,15119,24246,33145,26304,606613,138653,281426,217950,389861,153187,24335,17505,3891252,33041,370,545,1060,1474,3335,3014,4368,14908,6133,47712,33649,53680,70894,61913,1093662,139558,263638,552902,401314,729499,269368,62625,42590,3478524,1706925,138852,562984,524923,480166,1771599,113651,550757,569089,538102,201923,95572,19464,34509,30400,11199,106351,18536,30843,40694,16278,31091,15140,2462,5678,5090,1910,15951,1900,5167,6235,2649,82851,39581,5716,7298,7379,19188,43270,8257,7630,8181,19202,872,324,72,135,75,42,548,101,147,161,139,55131,29866,12507,10072,5329,1958,25265,10015,7290,5582,2378,40860,19558,2267,5931,6629,4731,21302,2296,4779,8087,6140,3363184,1647194,118052,543710,512498,472934,1715990,97774,535933,553918,528365,180692,94618,34523,30842,19381,9872,86074,26948,23285,22915,12926,1104082,519194,158025,68621,8476,35571,9442,35915,261614,106904,17463,66375,22344,48528,99555,40243,6251,19563,16596,16902,584888,204436,56545,27918,35407,30349,54217,289451,59997,48259,53839,64952,62404,91001,11605,13896,5094,41009,19397,1208827,44646,89587,35150,52234,85051,72353,6021,131565,225454,193992,50284,50582,45820,53367,72721,1104082,343915,122263,215849,184692,237363,1018268,308528,114312,199517,176576,219335,27477,7174,2499,6633,3852,7319,4559,1427,366,1005,558,1203,38390,21048,3931,5961,2003,5447,181,43,0,29,72,37,4336,1671,392,734,600,939,10871,4024,763,1970,1031,3083,1001299,302978,112821,196253,174530,214717,22798,7641,1952,4352,2667,6186
40,WI,55,,,,,04001US55,Wisconsin -- Urban,3112273,1506219,224007,2554,24172,72996,92855,9514,20544,1372,287561,6289,16838,75407,67090,29268,69680,22989,248553,7107,15907,66570,51693,26334,53526,27416,506403,13955,29877,155136,104173,51551,96087,55624,239695,13798,18246,81129,45075,13170,36302,31975,1606054,220424,1949,17738,57857,104697,9654,27136,1393,280591,4617,11775,51052,66432,32456,82845,31414,247180,6409,11240,49175,51804,31327,61899,35326,529345,12172,23903,151673,116168,63426,103607,58396,328514,18382,25740,144620,57679,16681,41188,24224,2667842,1282212,13145,4080,8474,15450,13241,18470,25687,23470,378242,79796,188235,120323,255595,88883,28973,20148,1385630,12951,4331,7761,16537,11670,17524,24495,18969,396520,93320,198763,143890,289539,115992,19147,14221,2667842,26096,270,458,930,1278,2899,2576,3744,12491,4761,27226,24911,35994,50182,42439,677406,97356,173116,386998,264213,545134,204875,48120,34369,2297970,1104768,83705,322557,340473,358033,1193202,76199,346436,373769,396798,195957,90879,18664,32660,28850,10705,105078,18349,30522,40207,16000,15433,7660,1238,2799,2489,1134,7773,907,2453,2887,1526,76116,36857,5402,6892,6665,17898,39259,7677,6762,7398,17422,602,230,43,116,52,19,372,51,107,109,105,49929,26880,11164,9080,4864,1772,23049,9080,6690,5154,2125,31835,14938,1801,4138,4961,4038,16897,1975,3550,6449,4923,2197289,1053250,65890,305890,329870,351600,1144039,61987,333471,360397,388184,159678,82716,30034,27016,16848,8818,76962,24248,20695,20577,11442,832498,393599,133594,58007,7090,30218,7237,31042,191728,76522,12013,50247,14989,37957,68277,27162,4213,13900,10717,12285,438899,165371,46384,21481,28247,23134,46125,208116,43753,33543,38771,44094,47955,65412,8491,10092,3657,28625,14547,913556,35289,60481,26145,41217,68271,56215,4825,95594,172133,135618,41401,40047,37019,44407,54894,832498,260319,88432,165040,128796,189911,754831,227887,81413,150143,121791,173597,26705,6942,2421,6479,3724,7139,2660,870,217,622,254,697,35320,19771,3530,5364,1692,4963,124,25,0,26,43,30,3897,1466,339,675,533,884,8961,3358,512,1731,759,2601,739784,223030,80089,147219,120079,169367,20260,6753,1734,3913,2213,5647
40,WI,55,,,,,04043US55,Wisconsin -- Rural,1341027,687495,62741,2085,9047,26152,17782,4440,3141,94,84005,2727,4798,31914,19096,11182,11592,2696,101452,2348,5340,35326,22079,13919,16241,6199,287815,4453,17338,117656,60302,30477,38674,18915,151482,9341,12978,63469,26953,7463,17536,13742,653532,54876,1755,6114,17866,19422,4038,5420,261,76769,2140,2349,17143,18622,12722,18390,5403,94896,1806,2512,21003,21209,16285,21779,10302,271462,2939,9315,96294,61240,37148,43538,20988,155529,7477,11980,75653,26925,7905,16615,8974,1223410,624754,4010,746,1971,12142,5289,10964,12062,12139,248365,45189,83241,63041,84043,27298,9317,4937,598656,2935,641,1070,9716,3449,6722,8650,7335,210093,45333,82663,74060,100322,37195,5188,3284,1223410,6945,100,87,130,196,436,438,624,2417,1372,20486,8738,17686,20712,19474,416256,42202,90522,165904,137101,184365,64493,14505,8221,1180554,602157,55147,240427,184450,122133,578397,37452,204321,195320,141304,5966,4693,800,1849,1550,494,1273,187,321,487,278,15658,7480,1224,2879,2601,776,8178,993,2714,3348,1123,6735,2724,314,406,714,1290,4011,580,868,783,1780,270,94,29,19,23,23,176,50,40,52,34,5202,2986,1343,992,465,186,2216,935,600,428,253,9025,4620,466,1793,1668,693,4405,321,1229,1638,1217,1165895,593944,52162,237820,182628,121334,571951,35787,202462,193521,140181,21014,11902,4489,3826,2533,1054,9112,2700,2590,2338,1484,271584,125595,24431,10614,1386,5353,2205,4873,69886,30382,5450,16128,7355,10571,31278,13081,2038,5663,5879,4617,145989,39065,10161,6437,7160,7215,8092,81335,16244,14716,15068,20858,14449,25589,3114,3804,1437,12384,4850,295271,9357,29106,9005,11017,16780,16138,1196,35971,53321,58374,8883,10535,8801,8960,17827,271584,83596,33831,50809,55896,47452,263437,80641,32899,49374,54785,45738,772,232,78,154,128,180,1899,557,149,383,304,506,3070,1277,401,597,311,484,57,18,0,3,29,7,439,205,53,59,67,55,1910,666,251,239,272,482,261515,79948,32732,49034,54451,45350,2538,888,218,439,454,539
40,WI,55,,,,,040A0US55,Wisconsin -- In metropolitan or micropolitan statistical area,3884199,1905186,260096,3207,29332,87237,103948,12304,22656,1412,333634,7300,19191,91693,77924,36154,76599,24773,309701,8147,18255,86524,64576,35079,65219,31901,681651,15926,38820,224712,140484,71096,122222,68391,320104,18477,24612,115364,59407,17408,45667,39169,1979013,252258,2571,21263,67249,116585,12030,30969,1591,322820,5369,12661,59313,76253,39473,94616,35135,305054,7274,12284,60425,63926,41562,77066,42517,693302,13339,28426,207832,152773,86157,132637,72138,405579,21918,31018,182948,70432,20599,49736,28928,3371845,1645090,15181,4431,9446,20792,15414,23767,31503,30194,518293,105653,236738,159737,309707,105954,34822,23458,1726755,14405,4607,8250,20638,13167,20231,28121,22870,510518,118562,244822,187791,354055,139826,22525,16367,3371845,29586,333,486,1005,1392,3034,2788,4134,13562,5405,36025,28581,43998,59624,53064,910670,118141,224215,481560,347528,663762,245780,57347,39825,2982329,1458036,111085,459706,451077,436168,1524293,93019,457511,485855,487908,197819,92231,18676,33041,29488,11026,105588,18367,30547,40501,16173,22032,10587,1625,3956,3538,1468,11445,1240,3762,4339,2104,80558,38848,5593,7129,7212,18914,41710,7941,7266,7864,18639,734,258,47,118,58,35,476,67,129,145,135,51934,28000,11672,9416,5036,1876,23934,9481,6910,5349,2194,36439,17130,2030,4927,5719,4454,19309,2174,4393,7122,5620,2873041,1401626,91438,441663,439336,429189,1471415,77894,443569,471433,478519,170948,89143,32489,28843,18269,9542,81805,25595,21952,21895,12363,1006714,473941,149450,65271,8023,33914,8318,33924,239655,97946,15639,61780,19295,44995,84836,34416,5165,17121,13323,14811,532773,191360,53109,25846,33453,27478,51474,262749,54957,43651,49751,56993,57397,78664,10104,12193,4514,34586,17267,1102786,41991,79003,31989,47974,79003,68135,5545,119021,209370,168200,47030,46185,42485,50744,66111,1006714,315803,110517,200533,159993,219868,924076,281463,102894,184810,152351,202558,27199,7093,2490,6579,3823,7214,3572,1142,308,759,411,952,37553,20742,3832,5732,1892,5355,170,40,0,29,66,35,4070,1577,325,696,564,908,10074,3746,668,1928,886,2846,907708,276133,101449,181643,150380,198103,21905,7344,1837,4204,2544,5976
40,WI,55,,,,,040C0US55,Wisconsin -- In metropolitan statistical area,3270985,1597916,216412,2531,25304,71554,85191,9953,20578,1301,287533,6467,16312,75566,65864,30731,69373,23220,264127,7075,15285,70284,54438,29714,58594,28737,569286,13538,31813,178101,117592,60134,107240,60868,260558,14446,19547,89914,49295,14658,39184,33514,1673069,213058,2081,18249,55810,98351,9459,27693,1415,281730,4717,11155,49509,66108,33056,84918,32267,262158,6228,10865,50457,53631,34783,68145,38049,582964,11656,23988,167811,127296,71859,116767,63587,333159,17760,25319,147301,58237,17135,42540,24867,2841515,1381504,12951,3974,8297,16304,13155,19116,25974,24712,413865,87324,199865,135237,274391,94531,30946,20862,1460011,12471,4098,7212,16580,11207,16830,24174,19116,415078,98001,207271,156833,312370,123580,20397,14793,2841515,25422,283,437,916,1250,2726,2460,3546,11963,4513,28371,24362,35946,50148,43828,731978,96965,185325,407136,292070,586761,218111,51343,35655,2475204,1207036,87746,359565,375043,384682,1268168,74363,365246,400071,428488,193942,89092,17844,32052,28423,10773,104850,18210,30422,40212,16006,16067,7761,1239,2779,2609,1134,8306,919,2689,3098,1600,75405,36446,5177,6521,6646,18102,38959,7315,6522,7306,17816,591,216,43,108,34,31,375,43,93,125,114,48455,26022,10851,8587,4746,1838,22433,8868,6499,4989,2077,31851,14931,1583,4253,4925,4170,16920,1970,3607,6304,5039,2377381,1156865,70495,343589,364390,378391,1220516,61160,352687,387050,419619,154935,80423,29093,25777,16782,8771,74512,22904,20002,19969,11637,891870,420730,136363,59721,7220,31083,7171,31168,211669,86479,13396,55541,15795,40458,72698,29900,4418,14909,10813,12658,471140,172031,48106,22977,30443,23417,47088,231702,48563,38587,44953,48101,51498,67407,9003,10528,4063,28902,14911,977242,37846,67833,28733,42477,71502,62166,5035,104663,188818,140982,42694,41167,38470,46382,58474,891870,281772,97126,180992,134199,197781,813170,248897,89914,165951,127069,181339,26779,6855,2466,6538,3776,7144,2734,825,244,612,293,760,35918,20159,3581,5448,1711,5019,145,40,0,29,45,31,3915,1540,309,693,522,851,9209,3456,612,1721,783,2637,798010,244008,88578,163056,125228,177140,20408,6817,1712,3912,2347,5620
40,WI,55,,,,,040C1US55,Wisconsin -- In metropolitan statistical area -- in principal city,1302065,626369,114470,1518,12473,34374,50093,3665,11513,834,136732,3902,9706,34768,31034,11943,33553,11826,103504,4704,8736,28840,21373,9817,19794,10240,189439,8591,15788,59092,39764,17654,29663,18887,82224,5952,7962,26376,14797,4378,11801,10958,675696,120915,1333,9058,29789,60730,4263,15020,722,137166,3246,7484,26545,33248,13538,37941,15164,101736,4180,6950,22252,21627,11622,21547,13558,199502,7914,13362,56356,44175,21522,34834,21339,116377,7750,10990,47697,20277,5896,14234,9533,1066680,511899,7484,2805,5590,7270,7467,9662,13971,11092,149076,30938,76030,43792,94811,32707,10139,9065,554781,7845,2871,4947,7427,6527,9149,13920,9190,152850,35791,83536,52578,108556,46086,7135,6373,1066680,15329,99,280,706,848,2141,1602,2237,8300,2549,12148,13994,18811,27891,20282,257363,44563,66729,159566,96370,203367,78793,17274,15438,803619,389540,36405,108325,117590,127220,414079,32091,113889,124986,143113,161717,71516,15142,26275,22566,7533,90201,16377,27124,34407,12293,7314,3372,567,1288,1134,383,3942,453,1396,1514,579,41546,20517,3691,4614,3938,8274,21029,4909,3715,4048,8357,226,95,28,41,13,13,131,30,14,59,28,35241,18728,8502,6124,3024,1078,16513,6701,4851,3565,1396,17017,8131,1006,2409,2495,2221,8886,1315,1861,3326,2384,744722,359055,24447,98798,111575,124235,385667,22696,106193,117816,138962,100060,52068,21109,16607,9949,4403,47992,16772,13306,11921,5993,314872,146722,60977,27685,3311,11985,2742,15254,62986,25426,3488,13803,5181,15088,22759,8659,1422,4421,3477,4780,168150,71905,21821,8082,11195,8475,22332,72478,16254,10254,12192,15282,18496,23767,3551,3477,1135,9692,5912,348142,14536,23568,10908,16741,28535,19963,2267,32666,57402,47463,19276,17498,16458,18383,22478,314872,103396,30034,54731,44849,81862,270333,86293,26543,46129,40322,71046,19826,4829,1595,4774,2901,5727,962,313,72,250,109,218,16631,9415,1417,2363,795,2641,41,4,0,1,20,16,2474,937,191,411,352,583,4605,1605,216,803,350,1631,263197,83907,25893,44971,39545,68881,10396,3560,889,1751,1177,3019
40,WI,55,,,,,040C2US55,Wisconsin -- In metropolitan statistical area -- not in principal city,1968920,971547,101942,1013,12831,37180,35098,6288,9065,467,150801,2565,6606,40798,34830,18788,35820,11394,160623,2371,6549,41444,33065,19897,38800,18497,379847,4947,16025,119009,77828,42480,77577,41981,178334,8494,11585,63538,34498,10280,27383,22556,997373,92143,748,9191,26021,37621,5196,12673,693,144564,1471,3671,22964,32860,19518,46977,17103,160422,2048,3915,28205,32004,23161,46598,24491,383462,3742,10626,111455,83121,50337,81933,42248,216782,10010,14329,99604,37960,11239,28306,15334,1774835,869605,5467,1169,2707,9034,5688,9454,12003,13620,264789,56386,123835,91445,179580,61824,20807,11797,905230,4626,1227,2265,9153,4680,7681,10254,9926,262228,62210,123735,104255,203814,77494,13262,8420,1774835,10093,184,157,210,402,585,858,1309,3663,1964,16223,10368,17135,22257,23546,474615,52402,118596,247570,195700,383394,139318,34069,20217,1671585,817496,51341,251240,257453,257462,854089,42272,251357,275085,285375,32225,17576,2702,5777,5857,3240,14649,1833,3298,5805,3713,8753,4389,672,1491,1475,751,4364,466,1293,1584,1021,33859,15929,1486,1907,2708,9828,17930,2406,2807,3258,9459,365,121,15,67,21,18,244,13,79,66,86,13214,7294,2349,2463,1722,760,5920,2167,1648,1424,681,14834,6800,577,1844,2430,1949,8034,655,1746,2978,2655,1632659,797810,46048,244791,252815,254156,834849,38464,246494,269234,280657,54875,28355,7984,9170,6833,4368,26520,6132,6696,8048,5644,576998,274008,75386,32036,3909,19098,4429,15914,148683,61053,9908,41738,10614,25370,49939,21241,2996,10488,7336,7878,302990,100126,26285,14895,19248,14942,24756,159224,32309,28333,32761,32819,33002,43640,5452,7051,2928,19210,8999,629100,23310,44265,17825,25736,42967,42203,2768,71997,131416,93519,23418,23669,22012,27999,35996,576998,178376,67092,126261,89350,115919,542837,162604,63371,119822,86747,110293,6953,2026,871,1764,875,1417,1772,512,172,362,184,542,19287,10744,2164,3085,916,2378,104,36,0,28,25,15,1441,603,118,282,170,268,4604,1851,396,918,433,1006,534813,160101,62685,118085,85683,108259,10012,3257,823,2161,1170,2601
40,WI,55,,,,,040E0US55,Wisconsin -- In micropolitan statistical area,613214,307270,43684,676,4028,15683,18757,2351,2078,111,46101,833,2879,16127,12060,5423,7226,1553,45574,1072,2970,16240,10138,5365,6625,3164,112365,2388,7007,46611,22892,10962,14982,7523,59546,4031,5065,25450,10112,2750,6483,5655,305944,39200,490,3014,11439,18234,2571,3276,176,41090,652,1506,9804,10145,6417,9698,2868,42896,1046,1419,9968,10295,6779,8921,4468,110338,1683,4438,40021,25477,14298,15870,8551,72420,4158,5699,35647,12195,3464,7196,4061,530330,263586,2230,457,1149,4488,2259,4651,5529,5482,104428,18329,36873,24500,35316,11423,3876,2596,266744,1934,509,1038,4058,1960,3401,3947,3754,95440,20561,37551,30958,41685,16246,2128,1574,530330,4164,50,49,89,142,308,328,588,1599,892,7654,4219,8052,9476,9236,178692,21176,38890,74424,55458,77001,27669,6004,4170,507125,251000,23339,100141,76034,51486,256125,18656,92265,85784,59420,3877,3139,832,989,1065,253,738,157,125,289,167,5965,2826,386,1177,929,334,3139,321,1073,1241,504,5153,2402,416,608,566,812,2751,626,744,558,823,143,42,4,10,24,4,101,24,36,20,21,3479,1978,821,829,290,38,1501,613,411,360,117,4588,2199,447,674,794,284,2389,204,786,818,581,495660,244761,20943,98074,74946,50798,250899,16734,90882,84383,58900,16013,8720,3396,3066,1487,771,7293,2691,1950,1926,726,114844,53211,13087,5550,803,2831,1147,2756,27986,11467,2243,6239,3500,4537,12138,4516,747,2212,2510,2153,61633,19329,5003,2869,3010,4061,4386,31047,6394,5064,4798,8892,5899,11257,1101,1665,451,5684,2356,125544,4145,11170,3256,5497,7501,5969,510,14358,20552,27218,4336,5018,4015,4362,7637,114844,34031,13391,19541,25794,22087,110906,32566,12980,18859,25282,21219,420,238,24,41,47,70,838,317,64,147,118,192,1635,583,251,284,181,336,25,0,0,0,21,4,155,37,16,3,42,57,865,290,56,207,103,209,109698,32125,12871,18587,25152,20963,1497,527,125,292,197,356
40,WI,55,,,,,040E1US55,Wisconsin -- In micropolitan statistical area -- in principal city,184486,88947,21285,219,912,6315,11780,1064,912,83,15384,192,794,4992,4249,1863,2650,644,12105,202,704,4412,2667,1136,1822,1162,26001,751,1601,10140,4893,2474,3741,2401,14172,1257,1300,5846,2206,482,1503,1578,95539,19137,69,827,4720,10943,891,1587,100,13858,207,476,3234,3592,1992,3329,1028,12173,288,417,2854,3012,1541,2510,1551,27897,547,1122,9273,6411,3659,4361,2524,22474,1408,1750,11106,3704,1053,2215,1238,144064,67662,670,98,464,1170,626,1021,1522,1230,25390,3956,10059,5955,9716,3257,1399,1129,76402,671,201,315,1263,730,951,1047,1037,26467,5574,11145,8245,12415,4899,800,642,144064,1341,16,27,30,0,115,111,159,620,305,2128,1356,1972,2569,2267,45440,6417,9530,21204,14200,22131,8156,2199,1771,136549,63610,5922,24153,18891,14644,72939,5541,25593,23939,17866,1054,755,94,196,312,153,299,76,29,116,78,1112,499,71,165,168,95,613,42,201,230,140,2860,1490,283,404,319,484,1370,338,346,242,444,30,10,0,10,0,0,20,0,8,12,0,1050,596,266,274,50,6,454,205,90,129,30,1409,702,165,188,230,119,707,13,200,296,198,133118,61811,5308,23574,18594,14335,71307,4996,25173,23456,17682,4658,2505,924,886,351,344,2153,730,537,672,214,34257,15501,4540,1966,291,974,288,1021,7880,3033,705,1527,959,1656,3081,1060,202,483,772,564,18756,6415,1605,939,880,1430,1561,8888,1813,1290,1110,2779,1896,3453,321,473,109,1772,778,37752,1498,2575,1007,1888,2559,1323,195,4207,5440,8395,1634,1591,1518,1420,2502,34257,9798,3900,5083,8000,7476,32510,9111,3744,4848,7736,7071,231,160,12,0,31,28,235,99,0,17,48,71,928,311,130,149,119,219,0,0,0,0,0,0,36,26,0,0,0,10,317,91,14,69,66,77,32017,8900,3696,4815,7675,6931,558,247,48,33,80,150
40,WI,55,,,,,040E2US55,Wisconsin -- In micropolitan statistical area -- not in principal city,428728,218323,22399,457,3116,9368,6977,1287,1166,28,30717,641,2085,11135,7811,3560,4576,909,33469,870,2266,11828,7471,4229,4803,2002,86364,1637,5406,36471,17999,8488,11241,5122,45374,2774,3765,19604,7906,2268,4980,4077,210405,20063,421,2187,6719,7291,1680,1689,76,27232,445,1030,6570,6553,4425,6369,1840,30723,758,1002,7114,7283,5238,6411,2917,82441,1136,3316,30748,19066,10639,11509,6027,49946,2750,3949,24541,8491,2411,4981,2823,386266,195924,1560,359,685,3318,1633,3630,4007,4252,79038,14373,26814,18545,25600,8166,2477,1467,190342,1263,308,723,2795,1230,2450,2900,2717,68973,14987,26406,22713,29270,11347,1328,932,386266,2823,34,22,59,142,193,217,429,979,587,5526,2863,6080,6907,6969,133252,14759,29360,53220,41258,54870,19513,3805,2399,370576,187390,17417,75988,57143,36842,183186,13115,66672,61845,41554,2823,2384,738,793,753,100,439,81,96,173,89,4853,2327,315,1012,761,239,2526,279,872,1011,364,2293,912,133,204,247,328,1381,288,398,316,379,113,32,4,0,24,4,81,24,28,8,21,2429,1382,555,555,240,32,1047,408,321,231,87,3179,1497,282,486,564,165,1682,191,586,522,383,362542,182950,15635,74500,56352,36463,179592,11738,65709,60927,41218,11355,6215,2472,2180,1136,427,5140,1961,1413,1254,512,80587,37710,8547,3584,512,1857,859,1735,20106,8434,1538,4712,2541,2881,9057,3456,545,1729,1738,1589,42877,12914,3398,1930,2130,2631,2825,22159,4581,3774,3688,6113,4003,7804,780,1192,342,3912,1578,87792,2647,8595,2249,3609,4942,4646,315,10151,15112,18823,2702,3427,2497,2942,5135,80587,24233,9491,14458,17794,14611,78396,23455,9236,14011,17546,14148,189,78,12,41,16,42,603,218,64,130,70,121,707,272,121,135,62,117,25,0,0,0,21,4,119,11,16,3,42,47,548,199,42,138,37,132,77681,23225,9175,13772,17477,14032,939,280,77,259,117,206
