SummaryLevel,State,StateFIPS,CountyFIPS,PlaceFIPS,CBSACode,CongressDistrict,GEOID,AreaName,B02001_001,B02001_002,B02001_003,B02001_004,B02001_005,B02001_006,B02001_007,B02001_008,B02001_009,B02001_010,B02008_001,B02009_001,B02010_001,B02011_001,B02012_001,B02013_001,B02014_001,B02014_002,B02014_003,B02014_004,B02014_005,B02014_006,B02014_007,B02014_008,B02014_009,B02014_010,B02014_011,B02014_012,B02014_013,B02014_014,B02014_015,B02014_016,B02014_017,B02014_018,B02014_019,B02014_020,B02014_021,B02014_022,B02014_023,B02014_024,B02014_025,B02014_026,B02014_027,B02014_028,B02014_029,B02014_030,B02014_031,B02014_032,B02014_033,B02014_034,B02014_035,B02014_036,B02014_037,B02014_038,B02014_039,B02014_040,B02014_041,B02014_042,B02014_043,B02014_044,B02014_045,B02014_046,B02014_047,B02014_048,B02014_049,B02014_050,B02014_051,B02014_052,B02014_053,B02014_054,B02014_055,B02015_001,B02015_002,B02015_003,B02015_004,B02015_005,B02015_006,B02015_007,B02015_008,B02015_009,B02015_010,B02015_011,B02015_012,B02015_013,B02015_014,B02015_015,B02015_016,B02015_017,B02015_018,B02015_019,B02015_020,B02015_021,B02015_022,B02015_023,B02015_024,B02015_025,B02016_001,B02016_002,B02016_003,B02016_004,B02016_005,B02016_006,B02016_007,B02016_008,B02016_009,B02016_010,B02016_011,B02016_012,B02017_001,B02017_002,B02017_003,B02017_004,B02017_005,B02017_006,B02017_007,B02017_008,B02017_009,B02017_010,B02017_011,B02017_012,B02017_013,B02017_014,B02017_015,B02017_016,B02017_017,B02017_018,B02017_019,B02017_020,B02017_021,B02017_022,B02017_023,B02017_024,B02017_025,B02017_026,B02017_027,B02017_028,B02017_029,B02017_030,B02017_031,B02017_032,B02017_033,B02017_034,B02017_035,B02017_036,B02017_037,B02017_038,B02017_039,B02017_040,B02017_041,B02017_042,B02017_043,B02017_044,B02017_045,B02017_046,B02017_047,B02017_048,B02017_049,B02017_050,B02017_051,B02017_052,B02017_053,B02017_054,B02018_001,B02018_002,B02018_003,B02018_004,B02018_005,B02018_006,B02018_007,B02018_008,B02018_009,B02018_010,B02018_011,B02018_012,B02018_013,B02018_014,B02018_015,B02018_016,B02018_017,B02018_018,B02018_019,B02018_020,B02018_021,B02018_022,B02018_023,B02018_024,B02019_001,B02019_002,B02019_003,B02019_004,B02019_005,B02019_006,B02019_007,B02019_008,B02019_009,B02019_010,B02019_011,C02003_001,C02003_002,C02003_003,C02003_004,C02003_005,C02003_006,C02003_007,C02003_008,C02003_009,C02003_010,C02003_011,C02003_012,C02003_013,C02003_014,C02003_015,C02003_016,C02003_017,C02003_018,C02003_019
40,CA,06,,,,,04000US06,California,38654206,23680584,2261835,285512,5354608,150908,5133600,1787159,399908,1387251,25159975,2723286,728094,6122435,305202,5575498,285512,190954,9996,163,2061,578,1874,19707,479,1817,2422,6080,162,844,304,1475,123,278,1032,35,1288,250,324,62,42249,8784,694,420,3192,1247,1124,2349,325,545,1201,4389,2166,1382,1124,404,120,4520,2251,61114,14222,2373,296,349,694,814,15,205,286,66383,11294,5354608,666480,10205,406,16407,93001,1370374,1255672,94354,29030,274797,461305,66873,4223,5405,11015,188,54928,11855,67327,52986,632607,1185,23450,150535,150908,22615,39714,20875,1640,24793,1728,2473,27056,62,6505,3447,762617,535788,31245,963,23993,1858,4945,127218,2008,6330,7654,30672,247,3219,1317,6411,876,1491,2940,166,6361,1052,1128,271,70119,18187,2351,750,5452,3120,3709,6028,810,3123,2928,13991,5052,2779,2113,1927,409,13488,3614,113473,30909,6366,977,1411,1476,1770,325,407,915,188639,6334759,721153,11043,427,20358,114221,1602920,1572037,99278,45514,451727,525401,80383,7076,7037,11706,1705,61479,13183,73766,72538,710717,1670,129420,312103,76212,60545,26411,4537,45788,1840,3465,31883,155,61267,38654206,36867047,23680584,2261835,285512,5354608,150908,5133600,1787159,399908,1387251,1629376,245814,285119,505122,39246,554075,143526,14257
40,CA,06,,,,,04001US06,California -- Urban,36758589,22130342,2222672,248757,5288901,147280,5006401,1714236,386460,1327776,23545070,2671932,656010,6037153,296997,5433838,248757,160191,9288,143,1824,462,1847,17045,446,1542,2194,5498,162,831,296,1329,120,215,964,35,1160,229,252,55,41220,8364,618,401,2227,1175,1011,2258,236,507,963,3741,2119,1359,1100,362,118,4264,1321,40890,13378,2144,268,305,576,776,15,204,271,62854,9919,5288901,654192,10165,406,16262,91938,1356089,1240416,91632,28710,269756,456356,65962,4170,5405,10973,164,54144,11695,66514,52159,628589,1180,22912,149112,147280,21747,38646,20590,1530,24203,1644,2441,26583,62,6415,3419,687449,475185,29344,910,21887,1677,4909,114910,1873,5793,7089,27904,237,3080,1239,6000,723,1294,2551,166,5844,976,1053,246,68351,17233,2230,726,4149,2989,3403,5805,710,2958,2551,12556,4854,2750,2035,1844,304,12599,2477,84956,28992,5724,809,1302,1176,1713,325,399,885,176663,6246650,707453,11003,427,20075,112868,1584566,1549057,96489,44740,442375,519149,79209,7019,7037,11664,1640,60491,13016,72896,70910,705604,1658,127304,303831,73491,59044,26081,4138,44952,1735,3425,31361,153,59451,36758589,35044353,22130342,2222672,248757,5288901,147280,5006401,1714236,386460,1327776,1560853,238487,256406,491480,38146,536334,139662,13721
40,CA,06,,,,,04043US06,California -- Rural,1895617,1550242,39163,36755,65707,3628,127199,72923,13448,59475,1614905,51354,72084,85282,8205,141660,36755,30763,708,20,237,116,27,2662,33,275,228,582,0,13,8,146,3,63,68,0,128,21,72,7,1029,420,76,19,965,72,113,91,89,38,238,648,47,23,24,42,2,256,930,20224,844,229,28,44,118,38,0,1,15,3529,1375,65707,12288,40,0,145,1063,14285,15256,2722,320,5041,4949,911,53,0,42,24,784,160,813,827,4018,5,538,1423,3628,868,1068,285,110,590,84,32,473,0,90,28,75168,60603,1901,53,2106,181,36,12308,135,537,565,2768,10,139,78,411,153,197,389,0,517,76,75,25,1768,954,121,24,1303,131,306,223,100,165,377,1435,198,29,78,83,105,889,1137,28517,1917,642,168,109,300,57,0,8,30,11976,88109,13700,40,0,283,1353,18354,22980,2789,774,9352,6252,1174,57,0,42,65,988,167,870,1628,5113,12,2116,8272,2721,1501,330,399,836,105,40,522,2,1816,1895617,1822694,1550242,39163,36755,65707,3628,127199,72923,13448,59475,68523,7327,28713,13642,1100,17741,3864,536
40,CA,06,,,,,040A0US06,California -- In metropolitan or micropolitan statistical area,38384347,23445220,2258793,277726,5350757,149977,5124902,1776972,398937,1378035,24915231,2718566,714040,6116394,303760,5565770,277726,184405,9707,151,2025,578,1874,19194,476,1761,2315,5795,162,844,304,1468,123,259,1013,35,1275,243,322,55,42203,8759,693,420,2307,1235,1084,2336,325,534,1044,4321,2153,1382,1122,404,120,4508,2231,57245,13943,2328,264,339,694,812,15,204,286,65679,11085,5350757,666230,10202,406,16407,92690,1369808,1254600,94089,28869,274535,461057,66576,4223,5405,11015,188,54928,11854,67316,52920,632415,1185,23357,150482,149977,22360,39298,20853,1640,24714,1687,2473,26947,62,6505,3438,748037,523735,30720,951,23817,1843,4945,124863,1971,6153,7507,30011,247,3175,1317,6390,876,1452,2888,166,6188,1045,1126,252,70003,18140,2339,750,4465,3105,3666,6013,810,3103,2743,13806,5006,2779,2074,1927,409,13404,3594,107696,30417,6170,805,1401,1476,1757,325,406,915,186800,6328485,720659,11040,427,20358,113830,1602082,1570283,99013,45271,450896,524964,80069,7076,7037,11706,1705,61472,13182,73755,72236,710517,1670,129237,310652,75799,60033,26380,4537,45692,1799,3465,31774,155,61018,38384347,36607375,23445220,2258793,277726,5350757,149977,5124902,1776972,398937,1378035,1619822,244868,279650,503646,39152,552506,142943,14207
40,CA,06,,,,,040C0US06,California -- In metropolitan statistical area,37822589,22972537,2249832,258661,5340530,148921,5100534,1751574,395456,1356118,24419083,2705634,680591,6100795,301067,5537487,258661,168773,9541,142,1937,532,1849,17904,424,1561,2162,5356,162,822,302,1413,95,254,1002,35,1242,243,322,39,41823,8524,664,420,2036,1219,1021,2210,241,534,978,4212,2065,1374,1069,382,118,4388,2224,45932,13431,2089,264,333,591,682,15,204,251,63770,10347,5340530,665155,10202,406,16407,92316,1367557,1252265,92702,28843,273928,460300,66251,4223,5378,11015,188,54833,11854,67233,52760,632001,1185,23274,150254,148921,22209,39074,20801,1640,24542,1666,2355,26747,62,6406,3419,713085,494562,30313,924,22850,1766,4920,119730,1904,5817,7042,28866,237,3132,1315,6165,826,1423,2757,166,5836,1006,1126,236,69516,17723,2195,719,4114,3070,3530,5806,726,3019,2660,13260,4826,2770,2021,1905,304,13193,3587,91261,29528,5596,805,1345,1294,1572,174,406,880,182519,6312399,719333,11040,427,20358,113287,1598840,1566165,97625,45053,448985,523934,79579,7076,6927,11706,1687,61239,13182,73648,71969,709883,1670,128786,307925,74868,59663,26296,4537,45242,1778,3335,31562,155,60489,37822589,36071015,22972537,2249832,258661,5340530,148921,5100534,1751574,395456,1356118,1596086,242096,267192,500003,38943,547852,141557,13931
40,CA,06,,,,,040C1US06,California -- In metropolitan statistical area -- in principal city,17657516,10020232,1218853,116717,2971388,71612,2440639,818075,174461,643614,10688437,1444314,304959,3343504,140310,2634552,116717,74609,4306,37,730,240,1210,6630,242,461,932,1859,139,429,54,706,10,74,311,19,574,106,143,15,25467,3880,289,299,868,353,268,1123,78,240,528,1532,1179,606,435,166,64,1957,256,15794,5992,976,27,122,388,283,15,141,143,31049,3948,2971388,394651,6397,336,6943,62378,737014,663955,62294,14714,156964,265023,41730,2754,3678,4982,104,30155,6829,33991,30057,353414,501,11718,80806,71612,9817,21106,7403,665,12045,1136,830,14359,54,2997,1200,318875,213676,13322,381,10287,829,2872,48884,828,2631,3088,11016,173,1508,517,2895,322,678,953,89,3084,325,434,142,39365,7585,1124,401,1685,1159,1538,2546,268,1405,983,5153,2656,1255,822,572,177,5661,592,33471,13367,2252,192,385,653,671,120,231,450,89130,3454450,423807,6869,349,8496,75253,853162,810989,65507,22271,244655,297089,50233,4392,4689,5431,891,33145,7420,37830,39550,395115,689,66618,143251,32641,29591,9337,2032,21620,1223,1388,16651,128,28640,17657516,16839441,10020232,1218853,116717,2971388,71612,2440639,818075,174461,643614,744358,118118,112446,245320,20464,248010,67490,6227
40,CA,06,,,,,040C2US06,California -- In metropolitan statistical area -- not in principal city,20165073,12952305,1030979,141944,2369142,77309,2659895,933499,220995,712504,13730646,1261320,375632,2757291,160757,2902935,141944,94164,5235,105,1207,292,639,11274,182,1100,1230,3497,23,393,248,707,85,180,691,16,668,137,179,24,16356,4644,375,121,1168,866,753,1087,163,294,450,2680,886,768,634,216,54,2431,1968,30138,7439,1113,237,211,203,399,0,63,108,32721,6399,2369142,270504,3805,70,9464,29938,630543,588310,30408,14129,116964,195277,24521,1469,1700,6033,84,24678,5025,33242,22703,278587,684,11556,69448,77309,12392,17968,13398,975,12497,530,1525,12388,8,3409,2219,394210,280886,16991,543,12563,937,2048,70846,1076,3186,3954,17850,64,1624,798,3270,504,745,1804,77,2752,681,692,94,30151,10138,1071,318,2429,1911,1992,3260,458,1614,1677,8107,2170,1515,1199,1333,127,7532,2995,57790,16161,3344,613,960,641,901,54,175,430,93389,2857949,295526,4171,78,11862,38034,745678,755176,32118,22782,204330,226845,29346,2684,2238,6275,796,28094,5762,35818,32419,314768,981,62168,164674,42227,30072,16959,2505,23622,555,1947,14911,27,31849,20165073,19231574,12952305,1030979,141944,2369142,77309,2659895,933499,220995,712504,851728,123978,154746,254683,18479,299842,74067,7704
40,CA,06,,,,,040E0US06,California -- In micropolitan statistical area,561758,472683,8961,19065,10227,1056,24368,25398,3481,21917,496148,12932,33449,15599,2693,28283,19065,15632,166,9,88,46,25,1290,52,200,153,439,0,22,2,55,28,5,11,0,33,0,0,16,380,235,29,0,271,16,63,126,84,0,66,109,88,8,53,22,2,120,7,11313,512,239,0,6,103,130,0,0,35,1909,738,10227,1075,0,0,0,374,2251,2335,1387,26,607,757,325,0,27,0,0,95,0,83,160,414,0,83,228,1056,151,224,52,0,172,21,118,200,0,99,19,34952,29173,407,27,967,77,25,5133,67,336,465,1145,10,43,2,225,50,29,131,0,352,39,0,16,487,417,144,31,351,35,136,207,84,84,83,546,180,9,53,22,105,211,7,16435,889,574,0,56,182,185,151,0,35,4281,16086,1326,0,0,0,543,3242,4118,1388,218,1911,1030,490,0,110,0,18,233,0,107,267,634,0,451,2727,931,370,84,0,450,21,130,212,0,529,561758,536360,472683,8961,19065,10227,1056,24368,25398,3481,21917,23736,2772,12458,3643,209,4654,1386,276
40,CA,06,,,,,040E1US06,California -- In micropolitan statistical area -- in principal city,158135,128221,5044,4132,4110,513,8911,7204,823,6381,134950,6769,7874,5483,1060,9845,4132,2602,56,0,40,0,25,319,40,8,44,143,0,0,0,26,0,0,0,0,0,0,0,0,67,102,0,0,115,16,33,0,0,0,4,0,38,4,0,0,0,106,7,1409,204,114,0,0,0,114,0,0,6,1039,167,4110,263,0,0,0,71,884,811,905,0,117,544,70,0,0,0,0,46,0,0,26,241,0,67,65,513,34,129,34,0,63,0,118,28,0,88,19,8319,6354,76,18,476,18,25,1286,40,8,118,394,0,21,0,93,19,0,4,0,251,39,0,0,107,200,70,31,127,24,51,13,0,30,4,62,88,4,0,0,0,131,7,2519,330,131,0,0,0,131,0,0,6,1498,5665,311,0,0,0,116,1183,1258,906,124,440,676,75,0,0,0,0,106,0,0,42,314,0,114,1084,329,234,46,0,109,0,130,28,0,208,158135,150931,128221,5044,4132,4110,513,8911,7204,823,6381,6614,1320,3246,848,105,1095,538,52
40,CA,06,,,,,040E2US06,California -- In micropolitan statistical area -- not in principal city,403623,344462,3917,14933,6117,543,15457,18194,2658,15536,361198,6163,25575,10116,1633,18438,14933,13030,110,9,48,46,0,971,12,192,109,296,0,22,2,29,28,5,11,0,33,0,0,16,313,133,29,0,156,0,30,126,84,0,62,109,50,4,53,22,2,14,0,9904,308,125,0,6,103,16,0,0,29,870,571,6117,812,0,0,0,303,1367,1524,482,26,490,213,255,0,27,0,0,49,0,83,134,173,0,16,163,543,117,95,18,0,109,21,0,172,0,11,0,26633,22819,331,9,491,59,0,3847,27,328,347,751,10,22,2,132,31,29,127,0,101,0,0,16,380,217,74,0,224,11,85,194,84,54,79,484,92,5,53,22,105,80,0,13916,559,443,0,56,182,54,151,0,29,2783,10421,1015,0,0,0,427,2059,2860,482,94,1471,354,415,0,110,0,18,127,0,107,225,320,0,337,1643,602,136,38,0,341,21,0,184,0,321,403623,385429,344462,3917,14933,6117,543,15457,18194,2658,15536,17122,1452,9212,2795,104,3559,848,224
