SummaryLevel,State,StateFIPS,CountyFIPS,PlaceFIPS,CBSACode,CongressDistrict,GEOID,AreaName,B02001_001,B02001_002,B02001_003,B02001_004,B02001_005,B02001_006,B02001_007,B02001_008,B02001_009,B02001_010,B02008_001,B02009_001,B02010_001,B02011_001,B02012_001,B02013_001,B02014_001,B02014_002,B02014_003,B02014_004,B02014_005,B02014_006,B02014_007,B02014_008,B02014_009,B02014_010,B02014_011,B02014_012,B02014_013,B02014_014,B02014_015,B02014_016,B02014_017,B02014_018,B02014_019,B02014_020,B02014_021,B02014_022,B02014_023,B02014_024,B02014_025,B02014_026,B02014_027,B02014_028,B02014_029,B02014_030,B02014_031,B02014_032,B02014_033,B02014_034,B02014_035,B02014_036,B02014_037,B02014_038,B02014_039,B02014_040,B02014_041,B02014_042,B02014_043,B02014_044,B02014_045,B02014_046,B02014_047,B02014_048,B02014_049,B02014_050,B02014_051,B02014_052,B02014_053,B02014_054,B02014_055,B02015_001,B02015_002,B02015_003,B02015_004,B02015_005,B02015_006,B02015_007,B02015_008,B02015_009,B02015_010,B02015_011,B02015_012,B02015_013,B02015_014,B02015_015,B02015_016,B02015_017,B02015_018,B02015_019,B02015_020,B02015_021,B02015_022,B02015_023,B02015_024,B02015_025,B02016_001,B02016_002,B02016_003,B02016_004,B02016_005,B02016_006,B02016_007,B02016_008,B02016_009,B02016_010,B02016_011,B02016_012,B02017_001,B02017_002,B02017_003,B02017_004,B02017_005,B02017_006,B02017_007,B02017_008,B02017_009,B02017_010,B02017_011,B02017_012,B02017_013,B02017_014,B02017_015,B02017_016,B02017_017,B02017_018,B02017_019,B02017_020,B02017_021,B02017_022,B02017_023,B02017_024,B02017_025,B02017_026,B02017_027,B02017_028,B02017_029,B02017_030,B02017_031,B02017_032,B02017_033,B02017_034,B02017_035,B02017_036,B02017_037,B02017_038,B02017_039,B02017_040,B02017_041,B02017_042,B02017_043,B02017_044,B02017_045,B02017_046,B02017_047,B02017_048,B02017_049,B02017_050,B02017_051,B02017_052,B02017_053,B02017_054,B02018_001,B02018_002,B02018_003,B02018_004,B02018_005,B02018_006,B02018_007,B02018_008,B02018_009,B02018_010,B02018_011,B02018_012,B02018_013,B02018_014,B02018_015,B02018_016,B02018_017,B02018_018,B02018_019,B02018_020,B02018_021,B02018_022,B02018_023,B02018_024,B02019_001,B02019_002,B02019_003,B02019_004,B02019_005,B02019_006,B02019_007,B02019_008,B02019_009,B02019_010,B02019_011,C02003_001,C02003_002,C02003_003,C02003_004,C02003_005,C02003_006,C02003_007,C02003_008,C02003_009,C02003_010,C02003_011,C02003_012,C02003_013,C02003_014,C02003_015,C02003_016,C02003_017,C02003_018,C02003_019
40,CO,08,,,,,04000US08,Colorado,5359295,4517058,219349,50160,157523,7441,224029,183735,35080,148655,4680304,275390,109844,213955,17437,262658,50160,33422,2989,327,436,70,144,4714,494,209,1042,1000,11,162,61,430,69,67,183,0,254,63,246,13,2324,7209,55,29,57,92,457,931,15,32,68,3183,178,490,8,2979,45,189,53,2044,2066,872,81,177,328,155,0,131,19,11188,2593,157523,25735,192,343,1935,2226,30973,14538,4144,1480,11766,21340,2590,267,975,4033,0,1521,172,947,3796,22770,60,2619,3101,7441,2437,1496,171,46,1456,216,656,55,182,463,263,116673,84205,7147,521,2735,216,236,20652,974,1149,2617,3421,11,929,272,1329,197,226,522,57,1292,228,299,19,4421,11229,484,107,117,121,1077,2410,76,860,287,6346,574,614,160,4287,45,547,82,5312,5365,1531,163,277,541,249,38,263,41,25531,220469,28932,239,357,2039,2718,40485,28165,4530,2428,25763,31287,3331,341,1205,4326,96,1948,244,1475,5968,26009,91,8492,18019,7128,2492,243,201,2701,271,752,212,220,3799,5359295,5175560,4517058,219349,50160,157523,7441,224029,183735,35080,148655,168238,36356,42153,40748,3990,44991,14513,984
40,CO,08,,,,,04001US08,Colorado -- Urban,4627677,3838650,212605,41544,150572,6683,210216,167407,32991,134416,3986600,264837,94343,202433,15423,246461,41544,26605,2679,198,325,63,137,4076,441,166,867,842,11,99,58,401,60,58,183,0,191,55,128,13,2203,5630,33,29,57,92,209,693,15,25,16,3016,151,469,8,866,41,140,45,1816,1827,663,63,136,244,122,0,98,17,10136,2296,150572,25130,168,343,1900,2097,29301,13565,4029,1452,10584,20391,2474,267,969,4009,0,1461,135,918,3640,22303,60,2475,2901,6683,2054,1439,148,34,1298,216,575,32,181,446,260,100521,71404,6521,384,2333,169,222,18001,880,997,2219,2887,11,796,234,1191,187,189,454,57,1163,212,181,19,4089,9181,415,95,117,121,805,2067,61,716,213,5725,527,563,160,2071,41,491,74,4565,4874,1304,145,236,445,216,38,224,32,22907,208494,27977,215,357,2004,2540,38126,26122,4311,2224,23226,29694,3125,341,1199,4299,37,1824,199,1441,5712,25411,91,8019,16002,6162,2357,165,124,2410,271,635,189,219,3470,4627677,4460270,3838650,212605,41544,150572,6683,210216,167407,32991,134416,153335,33670,36447,37414,3841,41963,13173,899
40,CO,08,,,,,04043US08,Colorado -- Rural,731618,678408,6744,8616,6951,758,13813,16328,2089,14239,693704,10553,15501,11522,2014,16197,8616,6817,310,129,111,7,7,638,53,43,175,158,0,63,3,29,9,9,0,0,63,8,118,0,121,1579,22,0,0,0,248,238,0,7,52,167,27,21,0,2113,4,49,8,228,239,209,18,41,84,33,0,33,2,1052,297,6951,605,24,0,35,129,1672,973,115,28,1182,949,116,0,6,24,0,60,37,29,156,467,0,144,200,758,383,57,23,12,158,0,81,23,1,17,3,16152,12801,626,137,402,47,14,2651,94,152,398,534,0,133,38,138,10,37,68,0,129,16,118,0,332,2048,69,12,0,0,272,343,15,144,74,621,47,51,0,2216,4,56,8,747,491,227,18,41,96,33,0,39,9,2624,11975,955,24,0,35,178,2359,2043,219,204,2537,1593,206,0,6,27,59,124,45,34,256,598,0,473,2017,966,135,78,77,291,0,117,23,1,329,731618,715290,678408,6744,8616,6951,758,13813,16328,2089,14239,14903,2686,5706,3334,149,3028,1340,85
40,CO,08,,,,,040A0US08,Colorado -- In metropolitan or micropolitan statistical area,5054337,4238951,215713,43732,155549,7009,215386,177997,33905,144092,4396896,270760,100498,210753,16730,252724,43732,28333,2760,318,376,63,144,4427,469,183,927,938,11,146,61,256,60,67,183,0,236,63,238,13,2042,5155,42,29,57,87,405,777,15,32,55,3109,178,485,8,1700,45,189,45,1939,1813,848,66,177,319,155,0,131,16,10539,2183,155549,25615,192,343,1905,2199,30445,14241,4144,1463,11393,21095,2590,255,969,4018,0,1486,148,947,3762,22633,60,2599,3047,7009,2177,1496,62,46,1406,216,656,55,182,450,263,106873,76037,6678,504,2620,209,229,19578,912,1047,2455,3161,11,890,219,1098,188,221,498,57,1183,228,291,19,4054,8673,444,100,85,116,1021,2244,76,798,245,6151,563,567,152,2866,45,540,74,4927,5015,1507,148,277,532,249,38,263,38,24276,217057,28752,239,357,2009,2691,39845,27620,4530,2395,25019,30841,3311,324,1199,4311,37,1913,212,1470,5908,25828,80,8166,17312,6704,2476,134,201,2637,271,723,212,220,3734,5054337,4876340,4238951,215713,43732,155549,7009,215386,177997,33905,144092,162985,35758,39858,39889,3933,43547,14074,938
40,CO,08,,,,,040C0US08,Colorado -- In metropolitan statistical area,4668277,3891553,209801,37941,152511,6428,199472,170571,32153,138418,4042714,263267,91396,206264,15833,234899,37941,23807,2597,210,366,63,137,4095,433,172,761,845,0,114,29,245,37,67,183,0,211,63,128,13,1982,3834,35,29,57,52,178,575,15,32,51,2902,166,446,8,764,45,189,45,1633,1706,630,66,177,212,55,0,120,16,9824,1958,152511,25307,192,343,1905,2134,29450,13661,4142,1458,11162,20916,2547,255,964,3926,0,1477,148,947,3622,22364,60,2515,3016,6428,1915,1458,62,46,1232,216,576,32,181,450,260,97375,68744,6305,396,2554,209,222,18465,861,962,2161,2806,0,844,165,1087,165,202,456,57,1140,224,140,19,3800,7097,413,100,85,81,784,1982,53,740,219,5822,551,528,143,1809,45,520,74,4458,4718,1259,140,277,416,149,38,239,38,22616,212468,28403,239,357,2009,2626,38719,26678,4528,2390,24331,30391,3258,324,1194,4219,32,1874,212,1470,5768,25525,80,7841,16408,6289,2372,134,201,2435,271,643,189,219,3655,4668277,4497706,3891553,209801,37941,152511,6428,199472,170571,32153,138418,155978,34779,36964,38852,3889,41494,13699,894
40,CO,08,,,,,040C1US08,Colorado -- In metropolitan statistical area -- in principal city,2206096,1716591,161676,20348,77497,3382,133735,92867,19535,73332,1795570,193936,49233,105755,8127,155351,20348,13360,1686,99,204,59,128,2084,340,62,463,486,0,45,19,30,37,17,123,0,66,37,9,13,1181,2572,10,23,39,18,87,251,9,9,9,1317,113,249,5,454,22,44,34,907,991,275,46,26,86,30,0,87,0,4663,1059,77497,9483,94,295,1683,985,15185,7569,669,917,5226,11489,673,188,508,2763,0,629,60,472,1912,13475,26,1669,1527,3382,924,787,51,34,501,87,477,32,167,309,13,52619,37375,3991,221,1658,149,213,9572,586,481,1106,1451,0,508,55,393,98,122,240,40,554,137,9,13,2310,4099,166,32,67,25,399,989,47,462,48,2610,338,302,110,1113,22,206,34,2399,2734,684,77,123,232,52,0,200,15,11811,108964,11113,106,295,1752,1146,20405,14436,768,1502,11971,16498,848,241,677,2840,19,741,102,819,3094,15156,26,4409,8329,3075,1384,58,95,868,128,521,141,205,1854,2206096,2113229,1716591,161676,20348,77497,3382,133735,92867,19535,73332,84373,19144,17777,19354,3128,24970,7998,496
40,CO,08,,,,,040C2US08,Colorado -- In metropolitan statistical area -- not in principal city,2462181,2174962,48125,17593,75014,3046,65737,77704,12618,65086,2247144,69331,42163,100509,7706,79548,17593,10447,911,111,162,4,9,2011,93,110,298,359,0,69,10,215,0,50,60,0,145,26,119,0,801,1262,25,6,18,34,91,324,6,23,42,1585,53,197,3,310,23,145,11,726,715,355,20,151,126,25,0,33,16,5161,899,75014,15824,98,48,222,1149,14265,6092,3473,541,5936,9427,1874,67,456,1163,0,848,88,475,1710,8889,34,846,1489,3046,991,671,11,12,731,129,99,0,14,141,247,44756,31369,2314,175,896,60,9,8893,275,481,1055,1355,0,336,110,694,67,80,216,17,586,87,131,6,1490,2998,247,68,18,56,385,993,6,278,171,3212,213,226,33,696,23,314,40,2059,1984,575,63,154,184,97,38,39,23,10805,103504,17290,133,62,257,1480,18314,12242,3760,888,12360,13893,2410,83,517,1379,13,1133,110,651,2674,10369,54,3432,8079,3214,988,76,106,1567,143,122,48,14,1801,2462181,2384477,2174962,48125,17593,75014,3046,65737,77704,12618,65086,71605,15635,19187,19498,761,16524,5701,398
40,CO,08,,,,,040E0US08,Colorado -- In micropolitan statistical area,386060,347398,5912,5791,3038,581,15914,7426,1752,5674,354182,7493,9102,4489,897,17825,5791,4526,163,108,10,0,7,332,36,11,166,93,11,32,32,11,23,0,0,0,25,0,110,0,60,1321,7,0,0,35,227,202,0,0,4,207,12,39,0,936,0,0,0,306,107,218,0,0,107,100,0,11,0,715,225,3038,308,0,0,0,65,995,580,2,5,231,179,43,0,5,92,0,9,0,0,140,269,0,84,31,581,262,38,0,0,174,0,80,23,1,0,3,9498,7293,373,108,66,0,7,1113,51,85,294,355,11,46,54,11,23,19,42,0,43,4,151,0,254,1576,31,0,0,35,237,262,23,58,26,329,12,39,9,1057,0,20,0,469,297,248,8,0,116,100,0,24,0,1660,4589,349,0,0,0,65,1126,942,2,5,688,450,53,0,5,92,5,39,0,0,140,303,0,325,904,415,104,0,0,202,0,80,23,1,79,386060,378634,347398,5912,5791,3038,581,15914,7426,1752,5674,7007,979,2894,1037,44,2053,375,44
40,CO,08,,,,,040E1US08,Colorado -- In micropolitan statistical area -- in principal city,123618,112339,2057,1904,1239,196,3812,2071,539,1532,114237,2355,3082,1494,259,4353,1904,1342,71,0,5,0,0,15,5,0,36,67,0,5,29,0,0,0,0,0,24,0,0,0,5,633,0,0,0,0,35,29,0,0,0,94,0,33,0,13,0,0,0,243,39,146,0,0,68,67,0,11,0,241,136,1239,98,0,0,0,41,491,175,2,0,37,104,0,0,0,86,0,0,0,0,139,45,0,20,1,196,15,16,0,0,165,0,0,0,0,0,0,3352,2611,213,0,34,0,0,406,5,31,56,226,0,5,29,0,0,0,23,0,38,0,41,0,13,812,7,0,0,0,35,51,0,0,0,139,0,33,9,81,0,0,0,324,110,167,8,0,68,67,0,24,0,464,1564,119,0,0,0,41,530,214,2,0,65,278,0,0,0,86,0,0,0,0,139,46,0,44,263,41,38,0,0,165,0,0,0,0,19,123618,121547,112339,2057,1904,1239,196,3812,2071,539,1532,1990,211,997,167,8,607,75,6
40,CO,08,,,,,040E2US08,Colorado -- In micropolitan statistical area -- not in principal city,262442,235059,3855,3887,1799,385,12102,5355,1213,4142,239945,5138,6020,2995,638,13472,3887,3184,92,108,5,0,7,317,31,11,130,26,11,27,3,11,23,0,0,0,1,0,110,0,55,688,7,0,0,35,192,173,0,0,4,113,12,6,0,923,0,0,0,63,68,72,0,0,39,33,0,0,0,474,89,1799,210,0,0,0,24,504,405,0,5,194,75,43,0,5,6,0,9,0,0,1,224,0,64,30,385,247,22,0,0,9,0,80,23,1,0,3,6146,4682,160,108,32,0,7,707,46,54,238,129,11,41,25,11,23,19,19,0,5,4,110,0,241,764,24,0,0,35,202,211,23,58,26,190,12,6,0,976,0,20,0,145,187,81,0,0,48,33,0,0,0,1196,3025,230,0,0,0,24,596,728,0,5,623,172,53,0,5,6,5,39,0,0,1,257,0,281,641,374,66,0,0,37,0,80,23,1,60,262442,257087,235059,3855,3887,1799,385,12102,5355,1213,4142,5017,768,1897,870,36,1446,300,38
