SummaryLevel,State,StateFIPS,CountyFIPS,PlaceFIPS,CBSACode,CongressDistrict,GEOID,AreaName,B02001_001,B02001_002,B02001_003,B02001_004,B02001_005,B02001_006,B02001_007,B02001_008,B02001_009,B02001_010,B02008_001,B02009_001,B02010_001,B02011_001,B02012_001,B02013_001,B02014_001,B02014_002,B02014_003,B02014_004,B02014_005,B02014_006,B02014_007,B02014_008,B02014_009,B02014_010,B02014_011,B02014_012,B02014_013,B02014_014,B02014_015,B02014_016,B02014_017,B02014_018,B02014_019,B02014_020,B02014_021,B02014_022,B02014_023,B02014_024,B02014_025,B02014_026,B02014_027,B02014_028,B02014_029,B02014_030,B02014_031,B02014_032,B02014_033,B02014_034,B02014_035,B02014_036,B02014_037,B02014_038,B02014_039,B02014_040,B02014_041,B02014_042,B02014_043,B02014_044,B02014_045,B02014_046,B02014_047,B02014_048,B02014_049,B02014_050,B02014_051,B02014_052,B02014_053,B02014_054,B02014_055,B02015_001,B02015_002,B02015_003,B02015_004,B02015_005,B02015_006,B02015_007,B02015_008,B02015_009,B02015_010,B02015_011,B02015_012,B02015_013,B02015_014,B02015_015,B02015_016,B02015_017,B02015_018,B02015_019,B02015_020,B02015_021,B02015_022,B02015_023,B02015_024,B02015_025,B02016_001,B02016_002,B02016_003,B02016_004,B02016_005,B02016_006,B02016_007,B02016_008,B02016_009,B02016_010,B02016_011,B02016_012,B02017_001,B02017_002,B02017_003,B02017_004,B02017_005,B02017_006,B02017_007,B02017_008,B02017_009,B02017_010,B02017_011,B02017_012,B02017_013,B02017_014,B02017_015,B02017_016,B02017_017,B02017_018,B02017_019,B02017_020,B02017_021,B02017_022,B02017_023,B02017_024,B02017_025,B02017_026,B02017_027,B02017_028,B02017_029,B02017_030,B02017_031,B02017_032,B02017_033,B02017_034,B02017_035,B02017_036,B02017_037,B02017_038,B02017_039,B02017_040,B02017_041,B02017_042,B02017_043,B02017_044,B02017_045,B02017_046,B02017_047,B02017_048,B02017_049,B02017_050,B02017_051,B02017_052,B02017_053,B02017_054,B02018_001,B02018_002,B02018_003,B02018_004,B02018_005,B02018_006,B02018_007,B02018_008,B02018_009,B02018_010,B02018_011,B02018_012,B02018_013,B02018_014,B02018_015,B02018_016,B02018_017,B02018_018,B02018_019,B02018_020,B02018_021,B02018_022,B02018_023,B02018_024,B02019_001,B02019_002,B02019_003,B02019_004,B02019_005,B02019_006,B02019_007,B02019_008,B02019_009,B02019_010,B02019_011,C02003_001,C02003_002,C02003_003,C02003_004,C02003_005,C02003_006,C02003_007,C02003_008,C02003_009,C02003_010,C02003_011,C02003_012,C02003_013,C02003_014,C02003_015,C02003_016,C02003_017,C02003_018,C02003_019
40,CT,09,,,,,04000US09,Connecticut,3588570,2768080,372696,9399,152782,1031,177594,106988,24621,82367,2854220,427743,35617,179291,4222,204447,9399,5307,213,0,182,39,299,532,0,10,119,6,39,7,0,0,0,4,0,0,24,0,79,0,354,41,76,0,0,0,0,4,0,13,0,59,1218,98,0,0,0,0,0,1891,473,78,10,30,22,16,0,0,5,3323,213,152782,56657,2589,23,798,2610,34207,13230,74,295,3986,10110,3449,185,0,1433,0,6792,967,1043,1250,8529,112,1797,2646,1031,200,163,0,0,293,0,54,0,0,304,17,37216,23652,382,0,1969,220,433,5176,55,245,531,320,39,15,85,260,7,135,69,0,989,10,204,154,653,147,99,60,4,0,32,4,0,559,133,686,2878,106,0,0,28,43,6,6916,1953,396,214,93,59,19,11,0,5,11210,183047,60737,2636,23,846,3206,40991,18716,105,485,6693,13391,4110,285,11,1484,0,7202,1121,1260,1983,10383,211,7168,4376,706,297,0,25,572,14,112,47,4,2599,3588570,3481582,2768080,372696,9399,152782,1031,177594,106988,24621,82367,97638,31611,12709,18835,5352,29131,8811,539
40,CT,09,,,,,04001US09,Connecticut -- Urban,3163056,2369153,367151,8421,144659,1014,174962,97696,24085,73611,2446687,418187,31389,168814,3931,201143,8421,4467,213,0,165,34,299,421,0,10,82,0,39,7,0,0,0,4,0,0,24,0,22,0,340,41,76,0,0,0,0,4,0,13,0,59,1167,98,0,0,0,0,0,1349,444,78,10,30,22,16,0,0,5,3214,213,144659,53912,2582,23,798,2393,32138,12346,34,270,3754,9238,3377,153,0,1433,0,6438,967,993,1168,8368,112,1636,2526,1014,195,163,0,0,287,0,54,0,0,298,17,32914,20290,373,0,1861,179,433,4598,5,183,383,275,39,15,72,176,0,135,69,0,776,10,137,154,639,107,81,60,4,0,17,4,0,428,133,658,2794,106,0,0,28,43,6,5309,1641,382,214,93,48,16,11,0,5,10596,172421,57723,2629,23,846,2963,38422,17195,57,457,6095,12249,4029,192,11,1484,0,6827,1121,1200,1872,10025,211,6790,4063,671,286,0,25,538,14,100,21,4,2404,3163056,3065360,2369153,367151,8421,144659,1014,174962,97696,24085,73611,88900,28541,10084,16820,5177,28278,8286,510
40,CT,09,,,,,04043US09,Connecticut -- Rural,425514,398927,5545,978,8123,17,2632,9292,536,8756,407533,9556,4228,10477,291,3304,978,840,0,0,17,5,0,111,0,0,37,6,0,0,0,0,0,0,0,0,0,0,57,0,14,0,0,0,0,0,0,0,0,0,0,0,51,0,0,0,0,0,0,542,29,0,0,0,0,0,0,0,0,109,0,8123,2745,7,0,0,217,2069,884,40,25,232,872,72,32,0,0,0,354,0,50,82,161,0,161,120,17,5,0,0,0,6,0,0,0,0,6,0,4302,3362,9,0,108,41,0,578,50,62,148,45,0,0,13,84,7,0,0,0,213,0,67,0,14,40,18,0,0,0,15,0,0,131,0,28,84,0,0,0,0,0,0,1607,312,14,0,0,11,3,0,0,0,614,10626,3014,7,0,0,243,2569,1521,48,28,598,1142,81,93,0,0,0,375,0,60,111,358,0,378,313,35,11,0,0,34,0,12,26,0,195,425514,416222,398927,5545,978,8123,17,2632,9292,536,8756,8738,3070,2625,2015,175,853,525,29
40,CT,09,,,,,040A0US09,Connecticut -- In metropolitan or micropolitan statistical area,3588570,2768080,372696,9399,152782,1031,177594,106988,24621,82367,2854220,427743,35617,179291,4222,204447,9399,5307,213,0,182,39,299,532,0,10,119,6,39,7,0,0,0,4,0,0,24,0,79,0,354,41,76,0,0,0,0,4,0,13,0,59,1218,98,0,0,0,0,0,1891,473,78,10,30,22,16,0,0,5,3323,213,152782,56657,2589,23,798,2610,34207,13230,74,295,3986,10110,3449,185,0,1433,0,6792,967,1043,1250,8529,112,1797,2646,1031,200,163,0,0,293,0,54,0,0,304,17,37216,23652,382,0,1969,220,433,5176,55,245,531,320,39,15,85,260,7,135,69,0,989,10,204,154,653,147,99,60,4,0,32,4,0,559,133,686,2878,106,0,0,28,43,6,6916,1953,396,214,93,59,19,11,0,5,11210,183047,60737,2636,23,846,3206,40991,18716,105,485,6693,13391,4110,285,11,1484,0,7202,1121,1260,1983,10383,211,7168,4376,706,297,0,25,572,14,112,47,4,2599,3588570,3481582,2768080,372696,9399,152782,1031,177594,106988,24621,82367,97638,31611,12709,18835,5352,29131,8811,539
40,CT,09,,,,,040C0US09,Connecticut -- In metropolitan statistical area,3403429,2595437,369542,9113,149271,1025,174930,104111,24138,79973,2678836,423591,34322,175218,4114,201262,9113,5103,213,0,182,39,299,508,0,10,119,6,39,7,0,0,0,4,0,0,24,0,79,0,333,41,76,0,0,0,0,4,0,13,0,59,1185,98,0,0,0,0,0,1765,473,78,10,30,22,16,0,0,5,3241,213,149271,55910,2477,23,798,2543,33576,12837,74,295,3944,9738,3368,185,0,1433,0,6537,967,1019,1243,8041,112,1582,2569,1025,200,163,0,0,287,0,54,0,0,304,17,35921,23025,382,0,1964,220,433,5107,5,245,527,320,39,15,85,260,7,135,69,0,948,10,204,154,632,147,99,60,4,0,32,4,0,559,133,686,2786,106,0,0,28,43,6,6571,1913,396,214,93,59,19,11,0,5,10582,178893,59909,2506,23,842,3121,40176,18154,105,482,6610,12966,3980,285,11,1484,0,6947,1121,1236,1976,9864,211,6884,4186,614,297,0,25,566,14,112,47,4,2507,3403429,3299318,2595437,369542,9113,149271,1025,174930,104111,24138,79973,94936,30813,11844,18376,5306,28597,8640,535
40,CT,09,,,,,040C1US09,Connecticut -- In metropolitan statistical area -- in principal city,1033511,600052,226253,4283,50340,371,112135,40077,12493,27584,628568,250448,13871,58172,1788,125663,4283,2291,206,0,133,25,205,85,0,10,63,0,8,0,0,0,0,0,0,0,0,0,0,0,201,18,0,0,0,0,0,4,0,13,0,28,737,98,0,0,0,0,0,457,364,38,0,0,22,16,0,0,0,1534,56,50340,19680,615,3,499,1340,10484,3810,11,187,995,2256,1137,106,0,877,0,1943,449,242,350,3806,9,531,1010,371,112,63,0,0,92,0,54,0,0,50,0,14619,8378,275,0,762,100,225,1761,5,10,117,84,8,0,49,0,0,0,0,0,262,0,10,0,301,67,5,0,0,0,0,4,0,388,133,137,1590,98,0,0,28,12,0,1947,911,275,142,63,43,16,11,0,0,5055,59500,21033,629,3,506,1703,12652,5175,11,298,1636,2802,1435,145,11,904,0,2064,499,302,570,4621,49,2452,1821,302,63,0,11,92,0,85,0,4,1264,1033511,993434,600052,226253,4283,50340,371,112135,40077,12493,27584,35577,11335,2416,4529,2801,14496,4162,338
40,CT,09,,,,,040C2US09,Connecticut -- In metropolitan statistical area -- not in principal city,2369918,1995385,143289,4830,98931,654,62795,64034,11645,52389,2050268,173143,20451,117046,2326,75599,4830,2812,7,0,49,14,94,423,0,0,56,6,31,7,0,0,0,4,0,0,24,0,79,0,132,23,76,0,0,0,0,0,0,0,0,31,448,0,0,0,0,0,0,1308,109,40,10,30,0,0,0,0,5,1707,157,98931,36230,1862,20,299,1203,23092,9027,63,108,2949,7482,2231,79,0,556,0,4594,518,777,893,4235,103,1051,1559,654,88,100,0,0,195,0,0,0,0,254,17,21302,14647,107,0,1202,120,208,3346,0,235,410,236,31,15,36,260,7,135,69,0,686,10,194,154,331,80,94,60,4,0,32,0,0,171,0,549,1196,8,0,0,0,31,6,4624,1002,121,72,30,16,3,0,0,5,5527,119393,38876,1877,20,336,1418,27524,12979,94,184,4974,10164,2545,140,0,580,0,4883,622,934,1406,5243,162,4432,2365,312,234,0,14,474,14,27,47,0,1243,2369918,2305884,1995385,143289,4830,98931,654,62795,64034,11645,52389,59359,19478,9428,13847,2505,14101,4478,197
40,CT,09,,,,,040E0US09,Connecticut -- In micropolitan statistical area,185141,172643,3154,286,3511,6,2664,2877,483,2394,175384,4152,1295,4073,108,3185,286,204,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,126,0,0,0,0,0,0,0,0,0,82,0,3511,747,112,0,0,67,631,393,0,0,42,372,81,0,0,0,0,255,0,24,7,488,0,215,77,6,0,0,0,0,6,0,0,0,0,0,0,1295,627,0,0,5,0,0,69,50,0,4,0,0,0,0,0,0,0,0,0,41,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,92,0,0,0,0,0,0,345,40,0,0,0,0,0,0,0,0,628,4154,828,130,0,4,85,815,562,0,3,83,425,130,0,0,0,0,255,0,24,7,519,0,284,190,92,0,0,0,6,0,0,0,0,92,185141,182264,172643,3154,286,3511,6,2664,2877,483,2394,2702,798,865,459,46,534,171,4
40,CT,09,,,,,040E1US09,Connecticut -- In micropolitan statistical area -- in principal city,35227,31113,1096,24,1295,0,746,953,63,890,32005,1505,399,1489,10,809,24,24,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1295,78,56,0,0,35,95,30,0,0,0,122,66,0,0,0,0,77,0,0,7,471,0,209,49,0,0,0,0,0,0,0,0,0,0,0,0,399,129,0,0,4,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,0,0,0,0,0,0,33,25,0,0,0,0,0,0,0,0,245,1538,98,56,0,0,53,170,50,0,0,34,139,115,0,0,0,0,77,0,0,7,471,0,268,10,0,0,0,0,0,0,0,0,0,10,35227,34274,31113,1096,24,1295,0,746,953,63,890,916,311,292,194,46,73,37,0
40,CT,09,,,,,040E2US09,Connecticut -- In micropolitan statistical area -- not in principal city,149914,141530,2058,262,2216,6,1918,1924,420,1504,143379,2647,896,2584,98,2376,262,180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,126,0,0,0,0,0,0,0,0,0,82,0,2216,669,56,0,0,32,536,363,0,0,42,250,15,0,0,0,0,178,0,24,0,17,0,6,28,6,0,0,0,0,6,0,0,0,0,0,0,896,498,0,0,1,0,0,36,50,0,4,0,0,0,0,0,0,0,0,0,41,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,312,15,0,0,0,0,0,0,0,0,383,2616,730,74,0,4,32,645,512,0,3,49,286,15,0,0,0,0,178,0,24,0,48,0,16,180,92,0,0,0,6,0,0,0,0,82,149914,147990,141530,2058,262,2216,6,1918,1924,420,1504,1786,487,573,265,0,461,134,4
