SummaryLevel,State,StateFIPS,CountyFIPS,PlaceFIPS,CBSACode,CongressDistrict,GEOID,AreaName,B02001_001,B02001_002,B02001_003,B02001_004,B02001_005,B02001_006,B02001_007,B02001_008,B02001_009,B02001_010,B02008_001,B02009_001,B02010_001,B02011_001,B02012_001,B02013_001,B02014_001,B02014_002,B02014_003,B02014_004,B02014_005,B02014_006,B02014_007,B02014_008,B02014_009,B02014_010,B02014_011,B02014_012,B02014_013,B02014_014,B02014_015,B02014_016,B02014_017,B02014_018,B02014_019,B02014_020,B02014_021,B02014_022,B02014_023,B02014_024,B02014_025,B02014_026,B02014_027,B02014_028,B02014_029,B02014_030,B02014_031,B02014_032,B02014_033,B02014_034,B02014_035,B02014_036,B02014_037,B02014_038,B02014_039,B02014_040,B02014_041,B02014_042,B02014_043,B02014_044,B02014_045,B02014_046,B02014_047,B02014_048,B02014_049,B02014_050,B02014_051,B02014_052,B02014_053,B02014_054,B02014_055,B02015_001,B02015_002,B02015_003,B02015_004,B02015_005,B02015_006,B02015_007,B02015_008,B02015_009,B02015_010,B02015_011,B02015_012,B02015_013,B02015_014,B02015_015,B02015_016,B02015_017,B02015_018,B02015_019,B02015_020,B02015_021,B02015_022,B02015_023,B02015_024,B02015_025,B02016_001,B02016_002,B02016_003,B02016_004,B02016_005,B02016_006,B02016_007,B02016_008,B02016_009,B02016_010,B02016_011,B02016_012,B02017_001,B02017_002,B02017_003,B02017_004,B02017_005,B02017_006,B02017_007,B02017_008,B02017_009,B02017_010,B02017_011,B02017_012,B02017_013,B02017_014,B02017_015,B02017_016,B02017_017,B02017_018,B02017_019,B02017_020,B02017_021,B02017_022,B02017_023,B02017_024,B02017_025,B02017_026,B02017_027,B02017_028,B02017_029,B02017_030,B02017_031,B02017_032,B02017_033,B02017_034,B02017_035,B02017_036,B02017_037,B02017_038,B02017_039,B02017_040,B02017_041,B02017_042,B02017_043,B02017_044,B02017_045,B02017_046,B02017_047,B02017_048,B02017_049,B02017_050,B02017_051,B02017_052,B02017_053,B02017_054,B02018_001,B02018_002,B02018_003,B02018_004,B02018_005,B02018_006,B02018_007,B02018_008,B02018_009,B02018_010,B02018_011,B02018_012,B02018_013,B02018_014,B02018_015,B02018_016,B02018_017,B02018_018,B02018_019,B02018_020,B02018_021,B02018_022,B02018_023,B02018_024,B02019_001,B02019_002,B02019_003,B02019_004,B02019_005,B02019_006,B02019_007,B02019_008,B02019_009,B02019_010,B02019_011,C02003_001,C02003_002,C02003_003,C02003_004,C02003_005,C02003_006,C02003_007,C02003_008,C02003_009,C02003_010,C02003_011,C02003_012,C02003_013,C02003_014,C02003_015,C02003_016,C02003_017,C02003_018,C02003_019
40,ME,23,,,,,04000US23,Maine,1329923,1260476,16303,8013,14643,211,3151,27126,841,26285,1286400,23322,22284,21262,1202,4150,8013,6584,55,0,68,93,51,116,0,2,127,37,0,2,13,7,2,0,0,0,56,0,32,0,95,37,0,0,0,0,2,0,0,25,0,101,11,0,0,0,0,8,0,5644,170,144,0,0,144,0,0,0,10,986,119,14643,1694,14,0,78,1246,3633,2006,0,160,571,1102,21,0,18,124,6,94,37,168,554,2241,44,410,422,211,49,30,0,0,94,13,0,12,0,11,2,22706,15551,152,0,449,264,51,1738,120,6,218,96,0,38,17,33,169,39,0,0,203,0,41,24,110,76,0,0,0,33,18,2,11,133,0,276,38,0,7,6,0,15,0,11168,456,206,0,0,162,37,0,7,16,6477,22291,1876,45,0,78,1630,5004,4114,12,238,1424,2226,116,9,18,125,6,104,37,178,751,2920,58,1322,1216,318,43,0,165,205,13,5,21,3,443,1329923,1302797,1260476,16303,8013,14643,211,3151,27126,841,26285,25733,5477,12773,5395,317,1771,1215,178
40,ME,23,,,,,04001US23,Maine -- Urban,512604,471970,12406,3012,9802,102,1356,13956,378,13578,485229,16836,9575,13650,557,1818,3012,2310,41,0,5,18,51,4,0,0,0,26,0,0,13,0,0,0,0,0,37,0,32,0,34,13,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,8,0,2017,93,144,0,0,144,0,0,0,10,393,62,9802,1326,14,0,0,837,2521,1054,0,122,356,587,21,0,18,124,0,75,22,57,190,1851,44,370,213,102,19,2,0,0,57,13,0,9,0,0,2,9779,6468,120,0,213,64,51,875,120,0,52,26,0,29,17,6,162,2,0,0,77,0,40,24,42,13,0,0,0,0,0,0,0,79,0,63,11,0,7,0,0,15,0,4360,205,165,0,0,144,21,0,0,16,2925,14285,1388,45,0,0,1137,3360,2177,0,141,871,1003,41,0,18,125,0,85,22,62,259,2266,58,1227,569,65,2,0,158,119,13,2,9,0,201,512604,498648,471970,12406,3012,9802,102,1356,13956,378,13578,13012,3440,5561,3029,204,778,783,161
40,ME,23,,,,,04043US23,Maine -- Rural,817319,788506,3897,5001,4841,109,1795,13170,463,12707,801171,6486,12709,7612,645,2332,5001,4274,14,0,63,75,0,112,0,2,127,11,0,2,0,7,2,0,0,0,19,0,0,0,61,24,0,0,0,0,2,0,0,25,0,101,0,0,0,0,0,0,0,3627,77,0,0,0,0,0,0,0,0,593,57,4841,368,0,0,78,409,1112,952,0,38,215,515,0,0,0,0,6,19,15,111,364,390,0,40,209,109,30,28,0,0,37,0,0,3,0,11,0,12927,9083,32,0,236,200,0,863,0,6,166,70,0,9,0,27,7,37,0,0,126,0,1,0,68,63,0,0,0,33,18,2,11,54,0,213,27,0,0,6,0,0,0,6808,251,41,0,0,18,16,0,7,0,3552,8006,488,0,0,78,493,1644,1937,12,97,553,1223,75,9,0,0,6,19,15,116,492,654,0,95,647,253,41,0,7,86,0,3,12,3,242,817319,804149,788506,3897,5001,4841,109,1795,13170,463,12707,12721,2037,7212,2366,113,993,432,17
40,ME,23,,,,,040A0US23,Maine -- In metropolitan or micropolitan statistical area,905181,852658,14030,4073,11880,109,2383,20048,603,19445,871829,19480,14346,17024,730,3106,4073,3002,41,0,20,43,51,58,0,0,111,37,0,0,13,0,0,0,0,0,48,0,32,0,83,26,0,0,0,0,0,0,0,0,0,50,11,0,0,0,0,8,0,2370,130,144,0,0,144,0,0,0,5,716,76,11880,1528,14,0,78,1103,2879,1546,0,160,431,841,21,0,18,124,0,61,37,157,207,1914,0,375,386,109,6,26,0,0,51,13,0,9,0,4,0,14680,9270,131,0,309,162,51,1335,120,0,171,66,0,33,17,6,162,2,0,0,103,0,40,24,91,38,0,0,0,0,0,0,0,90,0,203,27,0,7,0,0,15,0,6067,290,165,0,0,144,21,0,0,11,4944,18001,1637,45,0,78,1475,4026,3033,0,198,1072,1792,116,0,18,125,0,61,37,162,351,2575,14,1186,742,202,39,0,158,113,13,0,9,0,208,905181,885133,852658,14030,4073,11880,109,2383,20048,603,19445,18923,4175,9089,4207,249,1203,964,161
40,ME,23,,,,,040C0US23,Maine -- In metropolitan statistical area,784228,736720,12891,3388,10874,58,1907,18390,533,17857,754455,18041,12759,15535,480,2536,3388,2516,41,0,20,43,51,58,0,0,85,4,0,0,13,0,0,0,0,0,39,0,0,0,77,26,0,0,0,0,0,0,0,0,0,50,11,0,0,0,0,8,0,1990,67,144,0,0,144,0,0,0,5,582,74,10874,1358,14,0,78,1006,2462,1335,0,160,374,836,21,0,18,124,0,61,37,157,207,1884,0,356,386,58,3,10,0,0,19,13,0,9,0,4,0,13076,8176,131,0,278,127,51,1245,120,0,145,23,0,33,17,0,162,0,0,0,92,0,8,0,85,38,0,0,0,0,0,0,0,90,0,198,27,0,7,0,0,15,0,5284,214,165,0,0,144,21,0,0,11,4510,16503,1450,45,0,78,1378,3534,2735,0,198,910,1762,116,0,18,125,0,61,37,162,351,2534,14,995,492,190,23,0,19,30,13,0,9,0,208,784228,765838,736720,12891,3388,10874,58,1907,18390,533,17857,17323,3993,8256,3927,234,913,946,121
40,ME,23,,,,,040C1US23,Maine -- In metropolitan statistical area -- in principal city,183757,162835,7975,445,4625,2,883,6992,192,6800,169553,10451,4142,6029,135,1075,445,295,10,0,0,0,51,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,219,19,0,0,0,0,0,0,0,5,110,16,4625,533,14,0,0,308,1176,402,0,3,84,248,21,0,0,30,0,42,0,26,55,1397,0,111,175,2,0,2,0,0,0,0,0,0,0,0,0,4308,2449,73,0,130,0,51,536,120,0,45,0,0,0,0,0,156,0,0,0,12,0,0,0,8,3,0,0,0,0,0,0,0,70,0,11,11,0,7,0,0,7,0,1209,36,0,0,0,0,0,0,0,11,1812,6324,553,45,0,0,468,1598,722,0,22,206,388,41,0,0,30,0,42,0,26,73,1750,14,346,143,28,2,0,15,0,0,0,0,0,98,183757,176765,162835,7975,445,4625,2,883,6992,192,6800,6453,1862,3151,1053,129,258,442,97
40,ME,23,,,,,040C2US23,Maine -- In metropolitan statistical area -- not in principal city,600471,573885,4916,2943,6249,56,1024,11398,341,11057,584902,7590,8617,9506,345,1461,2943,2221,31,0,20,43,0,57,0,0,85,4,0,0,13,0,0,0,0,0,39,0,0,0,77,23,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,8,0,1771,48,144,0,0,144,0,0,0,0,472,58,6249,825,0,0,78,698,1286,933,0,157,290,588,0,0,18,94,0,19,37,131,152,487,0,245,211,56,3,8,0,0,19,13,0,9,0,4,0,8768,5727,58,0,148,127,0,709,0,0,100,23,0,33,17,0,6,0,0,0,80,0,8,0,77,35,0,0,0,0,0,0,0,20,0,187,16,0,0,0,0,8,0,4075,178,165,0,0,144,21,0,0,0,2698,10179,897,0,0,78,910,1936,2013,0,176,704,1374,75,0,18,95,0,19,37,136,278,784,0,649,349,162,21,0,4,30,13,0,9,0,110,600471,589073,573885,4916,2943,6249,56,1024,11398,341,11057,10870,2131,5105,2874,105,655,504,24
40,ME,23,,,,,040E0US23,Maine -- In micropolitan statistical area,120953,115938,1139,685,1006,51,476,1658,70,1588,117374,1439,1587,1489,250,570,685,486,0,0,0,0,0,0,0,0,26,33,0,0,0,0,0,0,0,0,9,0,32,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,380,63,0,0,0,0,0,0,0,0,134,2,1006,170,0,0,0,97,417,211,0,0,57,5,0,0,0,0,0,0,0,0,0,30,0,19,0,51,3,16,0,0,32,0,0,0,0,0,0,1604,1094,0,0,31,35,0,90,0,0,26,43,0,0,0,6,0,2,0,0,11,0,32,24,6,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,783,76,0,0,0,0,0,0,0,0,434,1498,187,0,0,0,97,492,298,0,0,162,30,0,0,0,0,0,0,0,0,0,41,0,191,250,12,16,0,139,83,0,0,0,0,0,120953,119295,115938,1139,685,1006,51,476,1658,70,1588,1600,182,833,280,15,290,18,40
40,ME,23,,,,,040E1US23,Maine -- In micropolitan statistical area -- in principal city,34825,32212,716,307,566,18,110,896,20,876,32934,892,704,903,208,130,307,211,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,176,48,0,0,0,0,0,0,0,0,46,2,566,59,0,0,0,0,328,136,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,19,0,18,3,0,0,0,15,0,0,0,0,0,0,716,495,0,0,25,35,0,45,0,0,0,26,0,0,0,6,0,2,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,345,48,0,0,0,0,0,0,0,0,173,903,76,0,0,0,0,381,192,0,0,61,6,0,0,0,0,0,0,0,0,0,0,0,187,208,3,0,0,139,66,0,0,0,0,0,34825,33929,32212,716,307,566,18,110,896,20,876,862,121,367,143,0,231,18,16
40,ME,23,,,,,040E2US23,Maine -- In micropolitan statistical area -- not in principal city,86128,83726,423,378,440,33,366,762,50,712,84440,547,883,586,42,440,378,275,0,0,0,0,0,0,0,0,26,7,0,0,0,0,0,0,0,0,0,0,32,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,204,15,0,0,0,0,0,0,0,0,88,0,440,111,0,0,0,97,89,75,0,0,33,5,0,0,0,0,0,0,0,0,0,30,0,0,0,33,0,16,0,0,17,0,0,0,0,0,0,888,599,0,0,6,0,0,45,0,0,26,17,0,0,0,0,0,0,0,0,0,0,32,24,6,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,438,28,0,0,0,0,0,0,0,0,261,595,111,0,0,0,97,111,106,0,0,101,24,0,0,0,0,0,0,0,0,0,41,0,4,42,9,16,0,0,17,0,0,0,0,0,86128,85366,83726,423,378,440,33,366,762,50,712,738,61,466,137,15,59,0,24
