SummaryLevel,State,StateFIPS,CountyFIPS,PlaceFIPS,CBSACode,CongressDistrict,GEOID,AreaName,B02001_001,B02001_002,B02001_003,B02001_004,B02001_005,B02001_006,B02001_007,B02001_008,B02001_009,B02001_010,B02008_001,B02009_001,B02010_001,B02011_001,B02012_001,B02013_001,B02014_001,B02014_002,B02014_003,B02014_004,B02014_005,B02014_006,B02014_007,B02014_008,B02014_009,B02014_010,B02014_011,B02014_012,B02014_013,B02014_014,B02014_015,B02014_016,B02014_017,B02014_018,B02014_019,B02014_020,B02014_021,B02014_022,B02014_023,B02014_024,B02014_025,B02014_026,B02014_027,B02014_028,B02014_029,B02014_030,B02014_031,B02014_032,B02014_033,B02014_034,B02014_035,B02014_036,B02014_037,B02014_038,B02014_039,B02014_040,B02014_041,B02014_042,B02014_043,B02014_044,B02014_045,B02014_046,B02014_047,B02014_048,B02014_049,B02014_050,B02014_051,B02014_052,B02014_053,B02014_054,B02014_055,B02015_001,B02015_002,B02015_003,B02015_004,B02015_005,B02015_006,B02015_007,B02015_008,B02015_009,B02015_010,B02015_011,B02015_012,B02015_013,B02015_014,B02015_015,B02015_016,B02015_017,B02015_018,B02015_019,B02015_020,B02015_021,B02015_022,B02015_023,B02015_024,B02015_025,B02016_001,B02016_002,B02016_003,B02016_004,B02016_005,B02016_006,B02016_007,B02016_008,B02016_009,B02016_010,B02016_011,B02016_012,B02017_001,B02017_002,B02017_003,B02017_004,B02017_005,B02017_006,B02017_007,B02017_008,B02017_009,B02017_010,B02017_011,B02017_012,B02017_013,B02017_014,B02017_015,B02017_016,B02017_017,B02017_018,B02017_019,B02017_020,B02017_021,B02017_022,B02017_023,B02017_024,B02017_025,B02017_026,B02017_027,B02017_028,B02017_029,B02017_030,B02017_031,B02017_032,B02017_033,B02017_034,B02017_035,B02017_036,B02017_037,B02017_038,B02017_039,B02017_040,B02017_041,B02017_042,B02017_043,B02017_044,B02017_045,B02017_046,B02017_047,B02017_048,B02017_049,B02017_050,B02017_051,B02017_052,B02017_053,B02017_054,B02018_001,B02018_002,B02018_003,B02018_004,B02018_005,B02018_006,B02018_007,B02018_008,B02018_009,B02018_010,B02018_011,B02018_012,B02018_013,B02018_014,B02018_015,B02018_016,B02018_017,B02018_018,B02018_019,B02018_020,B02018_021,B02018_022,B02018_023,B02018_024,B02019_001,B02019_002,B02019_003,B02019_004,B02019_005,B02019_006,B02019_007,B02019_008,B02019_009,B02019_010,B02019_011,C02003_001,C02003_002,C02003_003,C02003_004,C02003_005,C02003_006,C02003_007,C02003_008,C02003_009,C02003_010,C02003_011,C02003_012,C02003_013,C02003_014,C02003_015,C02003_016,C02003_017,C02003_018,C02003_019
40,NC,37,,,,,04000US37,North Carolina,9940828,6882915,2137131,117479,254550,6588,298795,243370,27777,215593,7087472,2273010,194472,307524,15508,329774,117479,96759,778,0,564,213,271,15589,0,86,891,370,21,194,5,155,11,93,57,5,1939,72,61318,0,2082,572,132,52,0,36,130,48,14,194,119,690,376,134,0,0,60,14,51,9423,2953,625,76,188,165,196,0,0,51,16061,1030,254550,76306,784,327,5210,3859,42098,21303,11806,941,6225,19736,6478,641,142,4578,79,6757,836,1942,3229,33214,34,4307,3718,6588,2095,637,103,15,1486,106,1552,33,137,380,44,199213,160524,1922,0,4081,392,365,47337,124,580,1603,1730,129,341,277,647,69,422,102,16,4067,223,70529,80,3230,1092,243,136,68,61,369,194,22,640,298,1340,1152,169,21,170,87,40,102,16054,6465,894,134,218,312,207,0,23,92,31238,313614,82343,846,476,5415,4805,49556,36214,12131,1331,14174,27640,7560,724,217,4661,168,7523,964,2352,5092,38090,79,11253,15694,4722,1398,103,194,2601,106,1882,65,339,4284,9940828,9697458,6882915,2137131,117479,254550,6588,298795,243370,27777,215593,221645,87287,41303,35376,17960,39719,20288,1437
40,NC,37,,,,,04001US37,North Carolina -- Urban,6636934,4290716,1664849,41432,231006,5269,223985,179677,19649,160028,4440535,1767559,92924,275522,11994,246094,41432,31317,479,0,354,125,249,4568,0,76,527,233,5,171,0,118,11,68,57,0,565,59,17577,0,1383,357,81,33,0,30,53,37,0,86,104,330,333,86,0,0,0,14,0,3148,1429,516,74,175,137,130,0,0,48,7524,598,231006,72420,673,327,5073,3788,38562,18427,7268,858,5256,18218,5379,624,139,4476,27,6170,781,1823,2797,30462,34,3963,3461,5269,1594,516,95,15,1181,92,1432,10,137,175,22,95842,72910,1196,0,2770,287,329,24671,84,497,863,1304,5,282,230,547,49,362,102,0,2271,210,23331,0,2189,743,166,33,68,50,268,137,8,361,232,831,1033,121,0,0,0,36,46,7198,4178,729,106,175,284,141,0,23,87,17938,280968,77812,735,476,5273,4693,44813,30395,7567,1171,11917,25055,6362,686,214,4559,80,6813,909,2185,4431,34843,79,9900,12159,3599,943,95,156,2028,92,1623,20,339,3264,6636934,6457257,4290716,1664849,41432,231006,5269,223985,179677,19649,160028,163091,65614,25608,29915,12687,29267,15491,1095
40,NC,37,,,,,04043US37,North Carolina -- Rural,3303894,2592199,472282,76047,23544,1319,74810,63693,8128,55565,2646937,505451,101548,32002,3514,83680,76047,65442,299,0,210,88,22,11021,0,10,364,137,16,23,5,37,0,25,0,5,1374,13,43741,0,699,215,51,19,0,6,77,11,14,108,15,360,43,48,0,0,60,0,51,6275,1524,109,2,13,28,66,0,0,3,8537,432,23544,3886,111,0,137,71,3536,2876,4538,83,969,1518,1099,17,3,102,52,587,55,119,432,2752,0,344,257,1319,501,121,8,0,305,14,120,23,0,205,22,103371,87614,726,0,1311,105,36,22666,40,83,740,426,124,59,47,100,20,60,0,16,1796,13,47198,80,1041,349,77,103,0,11,101,57,14,279,66,509,119,48,21,170,87,4,56,8856,2287,165,28,43,28,66,0,0,5,13300,32646,4531,111,0,142,112,4743,5819,4564,160,2257,2585,1198,38,3,102,88,710,55,167,661,3247,0,1353,3535,1123,455,8,38,573,14,259,45,0,1020,3303894,3240201,2592199,472282,76047,23544,1319,74810,63693,8128,55565,58554,21673,15695,5461,5273,10452,4797,342
40,NC,37,,,,,040A0US37,North Carolina -- In metropolitan or micropolitan statistical area,9304190,6448653,1980048,105484,251714,6311,279305,232675,26343,206332,6644556,2110268,176947,303723,15032,308777,105484,86284,687,0,558,213,269,10302,0,86,747,347,11,194,0,131,11,93,57,5,1879,72,60449,0,1716,555,132,52,0,36,123,39,14,194,119,638,376,134,0,0,0,14,51,5980,2605,596,74,186,140,196,0,0,51,15048,900,251714,76013,784,327,5189,3846,41644,20886,11376,941,6132,19507,6223,641,139,4572,79,6645,836,1942,3160,32947,34,4235,3616,6311,1995,549,103,15,1403,105,1547,33,137,380,44,181321,145327,1757,0,3748,389,360,39651,124,580,1257,1614,119,315,257,602,69,415,102,16,3906,223,69295,80,2846,1066,240,87,68,61,362,137,22,619,296,1243,1152,169,21,170,16,40,102,11731,5945,865,132,216,287,207,0,23,90,29094,309693,81907,846,476,5394,4792,48903,35513,11701,1314,14020,27337,7287,724,214,4655,146,7406,964,2352,4949,37737,79,10977,15212,4545,1301,103,178,2463,105,1872,65,339,4241,9304190,9071515,6448653,1980048,105484,251714,6311,279305,232675,26343,206332,212003,84398,38353,34720,16544,37988,19272,1400
40,NC,37,,,,,040C0US37,North Carolina -- In metropolitan statistical area,7735579,5365453,1653100,36820,238647,5482,238589,197488,22469,175019,5532438,1763523,93603,285986,13085,263612,36820,27122,612,0,402,136,264,5338,0,86,599,230,11,171,0,120,11,88,57,0,452,59,11510,0,1445,470,0,42,0,36,62,39,0,192,92,495,339,91,0,0,0,14,0,3659,1323,529,74,186,112,157,0,0,25,7172,649,238647,73549,775,327,5076,3769,39858,18648,10439,892,5404,18542,5426,641,139,4533,68,6373,836,1799,2752,31338,34,4036,3393,5482,1778,460,15,15,1118,69,1493,26,137,327,44,97311,74254,1391,0,3051,312,355,28655,99,544,1032,1332,119,292,203,574,49,373,102,0,1904,210,17636,80,2531,941,85,77,68,61,258,137,8,555,269,1050,1084,125,21,170,16,40,51,8394,3910,728,105,186,246,168,0,23,64,18355,291447,78908,829,476,5281,4710,46537,31720,10743,1192,12378,25887,6402,676,214,4616,119,7042,959,2182,4429,35962,79,10106,13265,4037,1089,15,178,2041,69,1692,36,339,3769,7735579,7538091,5365453,1653100,36820,238647,5482,238589,197488,22469,175019,179873,72189,30704,31582,12529,32869,16397,1218
40,NC,37,,,,,040C1US37,North Carolina -- In metropolitan statistical area -- in principal city,3154549,1745833,1043990,11492,139863,2861,119711,90799,10375,80424,1820930,1098697,34721,162898,6049,131373,11492,7667,183,0,83,13,140,1708,0,55,82,78,5,70,0,37,11,9,57,0,120,4,2437,0,568,220,0,15,0,0,15,0,0,80,16,157,104,5,0,0,0,0,0,1395,623,181,42,103,36,0,0,0,25,2672,324,139863,39607,471,327,3813,1957,23627,10513,3137,704,2750,10848,3894,311,131,3107,11,3877,318,1124,1625,22798,23,2785,2105,2861,929,271,7,15,553,3,831,2,137,100,13,36349,26336,488,0,1090,109,157,11178,42,323,129,419,5,120,4,216,49,53,102,0,650,59,4872,0,928,538,52,15,51,20,78,0,8,161,16,458,508,22,0,0,0,22,14,3380,2124,268,42,103,112,11,0,0,42,7579,165924,42628,500,476,3954,2448,26990,16329,3224,892,5818,14255,4436,325,171,3190,48,4257,396,1244,2672,25718,48,5905,6147,1997,533,7,109,902,3,840,12,137,1607,3154549,3063750,1745833,1043990,11492,139863,2861,119711,90799,10375,80424,82107,34613,9978,15500,6460,15556,8190,502
40,NC,37,,,,,040C2US37,North Carolina -- In metropolitan statistical area -- not in principal city,4581030,3619620,609110,25328,98784,2621,118878,106689,12094,94595,3711508,664826,58882,123088,7036,132239,25328,19455,429,0,319,123,124,3630,0,31,517,152,6,101,0,83,0,79,0,0,332,55,9073,0,877,250,0,27,0,36,47,39,0,112,76,338,235,86,0,0,0,14,0,2264,700,348,32,83,76,157,0,0,0,4500,325,98784,33942,304,0,1263,1812,16231,8135,7302,188,2654,7694,1532,330,8,1426,57,2496,518,675,1127,8540,11,1251,1288,2621,849,189,8,0,565,66,662,24,0,227,31,60962,47918,903,0,1961,203,198,17477,57,221,903,913,114,172,199,358,0,320,0,0,1254,151,12764,80,1603,403,33,62,17,41,180,137,0,394,253,592,576,103,21,170,16,18,37,5014,1786,460,63,83,134,157,0,23,22,10776,125523,36280,329,0,1327,2262,19547,15391,7519,300,6560,11632,1966,351,43,1426,71,2785,563,938,1757,10244,31,4201,7118,2040,556,8,69,1139,66,852,24,202,2162,4581030,4474341,3619620,609110,25328,98784,2621,118878,106689,12094,94595,97766,37576,20726,16082,6069,17313,8207,716
40,NC,37,,,,,040E0US37,North Carolina -- In micropolitan statistical area,1568611,1083200,326948,68664,13067,829,40716,35187,3874,31313,1112118,346745,83344,17737,1947,45165,68664,59162,75,0,156,77,5,4964,0,0,148,117,0,23,0,11,0,5,0,5,1427,13,48939,0,271,85,132,10,0,0,61,0,14,2,27,143,37,43,0,0,0,0,51,2321,1282,67,0,0,28,39,0,0,26,7876,251,13067,2464,9,0,113,77,1786,2238,937,49,728,965,797,0,0,39,11,272,0,143,408,1609,0,199,223,829,217,89,88,0,285,36,54,7,0,53,0,84010,71073,366,0,697,77,5,10996,25,36,225,282,0,23,54,28,20,42,0,16,2002,13,51659,0,315,125,155,10,0,0,104,0,14,64,27,193,68,44,0,0,0,0,51,3337,2035,137,27,30,41,39,0,0,26,10739,18246,2999,17,0,113,82,2366,3793,958,122,1642,1450,885,48,0,39,27,364,5,170,520,1775,0,871,1947,508,212,88,0,422,36,180,29,0,472,1568611,1533424,1083200,326948,68664,13067,829,40716,35187,3874,31313,32130,12209,7649,3138,4015,5119,2875,182
40,NC,37,,,,,040E1US37,North Carolina -- In micropolitan statistical area -- in principal city,366197,214695,122282,5539,4233,389,11482,7577,844,6733,220530,126890,8521,5421,623,12596,5539,4509,12,0,11,0,5,445,0,0,55,0,0,0,0,0,0,0,0,0,73,0,3690,0,7,0,10,0,0,0,0,0,0,0,0,0,0,43,0,0,0,0,0,158,111,0,0,0,0,0,0,0,23,887,9,4233,717,9,0,0,26,909,596,208,0,47,468,79,0,0,0,0,173,0,95,115,746,0,30,15,389,81,88,88,0,109,23,0,0,0,0,0,8631,6580,17,0,138,0,5,1272,0,0,60,54,0,0,27,0,0,17,0,0,310,0,4041,0,9,33,10,0,0,0,0,0,0,2,0,0,0,43,0,0,0,0,0,542,358,0,0,0,0,0,0,0,23,1670,5484,950,17,0,0,26,1023,832,208,0,181,572,85,48,0,0,0,173,0,95,137,812,0,325,623,114,136,88,0,151,23,0,0,0,111,366197,358620,214695,122282,5539,4233,389,11482,7577,844,6733,6806,2624,1105,767,1160,1150,735,36
40,NC,37,,,,,040E2US37,North Carolina -- In micropolitan statistical area -- not in principal city,1202414,868505,204666,63125,8834,440,29234,27610,3030,24580,891588,219855,74823,12316,1324,32569,63125,54653,63,0,145,77,0,4519,0,0,93,117,0,23,0,11,0,5,0,5,1354,13,45249,0,264,85,122,10,0,0,61,0,14,2,27,143,37,0,0,0,0,0,51,2163,1171,67,0,0,28,39,0,0,3,6989,242,8834,1747,0,0,113,51,877,1642,729,49,681,497,718,0,0,39,11,99,0,48,293,863,0,169,208,440,136,1,0,0,176,13,54,7,0,53,0,75379,64493,349,0,559,77,0,9724,25,36,165,228,0,23,27,28,20,25,0,16,1692,13,47618,0,306,92,145,10,0,0,104,0,14,62,27,193,68,1,0,0,0,0,51,2795,1677,137,27,30,41,39,0,0,3,9069,12762,2049,0,0,113,56,1343,2961,750,122,1461,878,800,0,0,39,27,191,5,75,383,963,0,546,1324,394,76,0,0,271,13,180,29,0,361,1202414,1174804,868505,204666,63125,8834,440,29234,27610,3030,24580,25324,9585,6544,2371,2855,3969,2140,146
