SummaryLevel,State,StateFIPS,CountyFIPS,PlaceFIPS,CBSACode,CongressDistrict,GEOID,AreaName,B02001_001,B02001_002,B02001_003,B02001_004,B02001_005,B02001_006,B02001_007,B02001_008,B02001_009,B02001_010,B02008_001,B02009_001,B02010_001,B02011_001,B02012_001,B02013_001,B02014_001,B02014_002,B02014_003,B02014_004,B02014_005,B02014_006,B02014_007,B02014_008,B02014_009,B02014_010,B02014_011,B02014_012,B02014_013,B02014_014,B02014_015,B02014_016,B02014_017,B02014_018,B02014_019,B02014_020,B02014_021,B02014_022,B02014_023,B02014_024,B02014_025,B02014_026,B02014_027,B02014_028,B02014_029,B02014_030,B02014_031,B02014_032,B02014_033,B02014_034,B02014_035,B02014_036,B02014_037,B02014_038,B02014_039,B02014_040,B02014_041,B02014_042,B02014_043,B02014_044,B02014_045,B02014_046,B02014_047,B02014_048,B02014_049,B02014_050,B02014_051,B02014_052,B02014_053,B02014_054,B02014_055,B02015_001,B02015_002,B02015_003,B02015_004,B02015_005,B02015_006,B02015_007,B02015_008,B02015_009,B02015_010,B02015_011,B02015_012,B02015_013,B02015_014,B02015_015,B02015_016,B02015_017,B02015_018,B02015_019,B02015_020,B02015_021,B02015_022,B02015_023,B02015_024,B02015_025,B02016_001,B02016_002,B02016_003,B02016_004,B02016_005,B02016_006,B02016_007,B02016_008,B02016_009,B02016_010,B02016_011,B02016_012,B02017_001,B02017_002,B02017_003,B02017_004,B02017_005,B02017_006,B02017_007,B02017_008,B02017_009,B02017_010,B02017_011,B02017_012,B02017_013,B02017_014,B02017_015,B02017_016,B02017_017,B02017_018,B02017_019,B02017_020,B02017_021,B02017_022,B02017_023,B02017_024,B02017_025,B02017_026,B02017_027,B02017_028,B02017_029,B02017_030,B02017_031,B02017_032,B02017_033,B02017_034,B02017_035,B02017_036,B02017_037,B02017_038,B02017_039,B02017_040,B02017_041,B02017_042,B02017_043,B02017_044,B02017_045,B02017_046,B02017_047,B02017_048,B02017_049,B02017_050,B02017_051,B02017_052,B02017_053,B02017_054,B02018_001,B02018_002,B02018_003,B02018_004,B02018_005,B02018_006,B02018_007,B02018_008,B02018_009,B02018_010,B02018_011,B02018_012,B02018_013,B02018_014,B02018_015,B02018_016,B02018_017,B02018_018,B02018_019,B02018_020,B02018_021,B02018_022,B02018_023,B02018_024,B02019_001,B02019_002,B02019_003,B02019_004,B02019_005,B02019_006,B02019_007,B02019_008,B02019_009,B02019_010,B02019_011,C02003_001,C02003_002,C02003_003,C02003_004,C02003_005,C02003_006,C02003_007,C02003_008,C02003_009,C02003_010,C02003_011,C02003_012,C02003_013,C02003_014,C02003_015,C02003_016,C02003_017,C02003_018,C02003_019
40,NH,33,,,,,04000US33,New Hampshire,1327503,1243594,17483,2085,32094,229,7112,24906,2375,22531,1266943,25705,10890,39774,1167,9756,2085,1500,31,0,453,24,0,157,0,2,40,11,0,0,7,0,4,0,0,19,97,0,0,0,95,20,0,50,0,0,21,0,1,0,0,46,31,0,0,0,0,0,0,391,111,15,7,0,8,0,0,0,0,451,8,32094,9346,63,439,31,1123,6993,2584,24,1063,877,2389,675,100,30,1691,0,834,42,247,435,2033,0,366,709,229,86,36,0,0,84,1,0,0,0,12,10,11244,8169,99,4,1387,102,15,2133,3,25,164,179,0,11,51,20,9,22,0,25,574,0,24,0,99,51,0,50,0,0,52,0,5,30,21,352,145,3,3,0,35,0,34,2442,334,90,9,0,68,13,0,0,0,2651,40886,10038,67,492,57,1650,8359,4232,31,1286,2111,3539,868,125,51,1944,0,980,61,286,711,2693,0,1305,1186,434,150,0,0,141,16,19,0,17,409,1327503,1302597,1243594,17483,2085,32094,229,7112,24906,2375,22531,23153,6309,7104,6358,304,3078,1680,73
40,NH,33,,,,,04001US33,New Hampshire -- Urban,799698,733460,14444,1377,27307,152,5860,17098,1882,15216,749203,20914,6867,32542,800,7929,1377,1017,28,0,394,7,0,46,0,0,14,11,0,0,0,0,0,0,0,19,23,0,0,0,86,10,0,50,0,0,21,0,0,0,0,18,12,0,0,0,0,0,0,278,64,15,7,0,8,0,0,0,0,281,0,27307,8463,29,432,16,847,5547,1880,9,1053,642,1848,596,87,0,1642,0,737,27,216,311,1955,0,309,661,152,44,36,0,0,50,0,0,0,0,12,10,7117,5314,57,4,1084,67,15,1242,3,12,91,102,0,7,26,0,5,6,0,25,277,0,24,0,90,31,0,50,0,0,52,0,0,13,21,252,99,0,0,0,35,0,34,1590,213,64,9,0,55,0,0,0,0,1526,33556,8778,29,485,36,1283,6541,2907,16,1265,1631,2645,677,112,0,1889,0,797,27,236,512,2564,0,1126,819,272,104,0,0,93,12,19,0,17,302,799698,782600,733460,14444,1377,27307,152,5860,17098,1882,15216,15708,4780,4150,4157,257,2364,1321,69
40,NH,33,,,,,04043US33,New Hampshire -- Rural,527805,510134,3039,708,4787,77,1252,7808,493,7315,517740,4791,4023,7232,367,1827,708,483,3,0,59,17,0,111,0,2,26,0,0,0,7,0,4,0,0,0,74,0,0,0,9,10,0,0,0,0,0,0,1,0,0,28,19,0,0,0,0,0,0,113,47,0,0,0,0,0,0,0,0,170,8,4787,883,34,7,15,276,1446,704,15,10,235,541,79,13,30,49,0,97,15,31,124,78,0,57,48,77,42,0,0,0,34,1,0,0,0,0,0,4127,2855,42,0,303,35,0,891,0,13,73,77,0,4,25,20,4,16,0,0,297,0,0,0,9,20,0,0,0,0,0,0,5,17,0,100,46,3,3,0,0,0,0,852,121,26,0,0,13,13,0,0,0,1125,7330,1260,38,7,21,367,1818,1325,15,21,480,894,191,13,51,55,0,183,34,50,199,129,0,179,367,162,46,0,0,48,4,0,0,0,107,527805,519997,510134,3039,708,4787,77,1252,7808,493,7315,7445,1529,2954,2201,47,714,359,4
40,NH,33,,,,,040A0US33,New Hampshire -- In metropolitan or micropolitan statistical area,1280087,1197460,17313,2024,31775,220,7089,24206,2342,21864,1220142,25368,10343,39361,1117,9696,2024,1473,31,0,453,24,0,156,0,2,40,11,0,0,7,0,4,0,0,19,97,0,0,0,95,18,0,50,0,0,21,0,1,0,0,22,31,0,0,0,0,0,0,391,111,15,7,0,8,0,0,0,0,417,8,31775,9240,63,439,31,1123,6934,2505,24,1063,846,2354,675,100,30,1691,0,834,42,247,429,2033,0,366,706,220,77,36,0,0,84,1,0,0,0,12,10,10659,7722,97,4,1371,102,15,1999,1,25,164,179,0,11,48,0,9,22,0,25,501,0,24,0,99,49,0,50,0,0,52,0,5,30,21,322,145,3,3,0,35,0,34,2277,315,90,9,0,68,13,0,0,0,2532,40470,9922,67,492,57,1650,8300,4115,31,1286,2080,3485,868,125,51,1944,0,980,61,286,705,2693,0,1272,1136,384,150,0,0,141,16,19,0,17,409,1280087,1255881,1197460,17313,2024,31775,220,7089,24206,2342,21864,22541,6210,6706,6317,304,3004,1596,69
40,NH,33,,,,,040C0US33,New Hampshire -- In metropolitan statistical area,831226,770696,12963,849,24430,73,5576,16639,1716,14923,786200,18834,6035,29760,730,7501,849,560,12,0,145,11,0,19,0,2,13,11,0,0,7,0,0,0,0,0,16,0,0,0,15,10,0,50,0,0,5,0,0,0,0,22,14,0,0,0,0,0,0,208,60,15,7,0,8,0,0,0,0,214,0,24430,8052,63,385,4,582,4476,2010,24,1028,647,1339,647,87,30,1196,0,631,42,207,293,1838,0,270,579,73,24,0,0,0,27,0,0,0,0,12,10,6287,4504,66,4,817,76,8,923,1,14,90,153,0,0,13,0,0,22,0,0,296,0,24,0,19,33,0,50,0,0,36,0,0,27,21,320,97,3,3,0,0,0,0,1388,144,33,9,0,24,0,0,0,0,1606,30613,8452,67,400,4,1077,5428,3186,31,1209,1634,2084,769,112,46,1219,0,770,61,233,496,2457,0,878,749,228,68,0,0,70,12,19,0,0,352,831226,814587,770696,12963,849,24430,73,5576,16639,1716,14923,15502,4557,4190,4414,198,2143,1079,58
40,NH,33,,,,,040C1US33,New Hampshire -- In metropolitan statistical area -- in principal city,197510,168950,8132,278,11700,29,2624,5797,781,5016,174408,10723,1780,13038,302,3524,278,182,12,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,5,0,0,0,0,18,0,0,0,0,0,0,0,93,44,0,0,0,0,0,0,0,0,52,0,11700,4976,29,372,4,283,1559,570,0,31,93,548,0,68,0,767,0,585,27,133,40,1303,0,49,263,29,0,0,0,0,7,0,0,0,0,12,10,1874,1323,28,4,194,25,8,313,0,0,23,8,0,0,0,0,0,0,0,0,62,0,0,0,0,0,0,50,0,0,29,0,0,1,0,104,28,0,0,0,0,0,0,446,66,16,0,0,16,0,0,0,0,469,13362,5021,29,372,4,490,1881,731,0,135,264,690,10,93,0,790,0,593,27,140,81,1725,0,286,321,98,68,0,0,31,0,19,0,0,105,197510,191713,168950,8132,278,11700,29,2624,5797,781,5016,5344,2117,1170,1072,42,943,438,15
40,NH,33,,,,,040C2US33,New Hampshire -- In metropolitan statistical area -- not in principal city,633716,601746,4831,571,12730,44,2952,10842,935,9907,611792,8111,4255,16722,428,3977,571,378,0,0,145,11,0,15,0,2,13,11,0,0,7,0,0,0,0,0,16,0,0,0,15,10,0,0,0,0,0,0,0,0,0,4,14,0,0,0,0,0,0,115,16,15,7,0,8,0,0,0,0,162,0,12730,3076,34,13,0,299,2917,1440,24,997,554,791,647,19,30,429,0,46,15,74,253,535,0,221,316,44,24,0,0,0,20,0,0,0,0,0,0,4413,3181,38,0,623,51,0,610,1,14,67,145,0,0,13,0,0,22,0,0,234,0,24,0,19,33,0,0,0,0,7,0,0,26,21,216,69,3,3,0,0,0,0,942,78,17,9,0,8,0,0,0,0,1137,17251,3431,38,28,0,587,3547,2455,31,1074,1370,1394,759,19,46,429,0,177,34,93,415,732,0,592,428,130,0,0,0,39,12,0,0,0,247,633716,622874,601746,4831,571,12730,44,2952,10842,935,9907,10158,2440,3020,3342,156,1200,641,43
40,NH,33,,,,,040E0US33,New Hampshire -- In micropolitan statistical area,448861,426764,4350,1175,7345,147,1513,7567,626,6941,433942,6534,4308,9601,387,2195,1175,913,19,0,308,13,0,137,0,0,27,0,0,0,0,0,4,0,0,19,81,0,0,0,80,8,0,0,0,0,16,0,1,0,0,0,17,0,0,0,0,0,0,183,51,0,0,0,0,0,0,0,0,203,8,7345,1188,0,54,27,541,2458,495,0,35,199,1015,28,13,0,495,0,203,0,40,136,195,0,96,127,147,53,36,0,0,57,1,0,0,0,0,0,4372,3218,31,0,554,26,7,1076,0,11,74,26,0,11,35,0,9,0,0,25,205,0,0,0,80,16,0,0,0,0,16,0,5,3,0,2,48,0,0,0,35,0,34,889,171,57,0,0,44,13,0,0,0,926,9857,1470,0,92,53,573,2872,929,0,77,446,1401,99,13,5,725,0,210,0,53,209,236,0,394,387,156,82,0,0,71,4,0,0,17,57,448861,441294,426764,4350,1175,7345,147,1513,7567,626,6941,7039,1653,2516,1903,106,861,517,11
40,NH,33,,,,,040E1US33,New Hampshire -- In micropolitan statistical area -- in principal city,119046,109952,2099,313,3328,46,603,2705,320,2385,112519,2936,1337,4191,114,929,313,282,16,0,124,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,64,5,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,31,0,3328,674,0,47,12,337,903,187,0,0,93,204,0,0,0,428,0,35,0,33,47,134,0,93,101,46,10,36,0,0,0,0,0,0,0,0,0,1337,1036,25,0,203,0,7,386,0,0,0,0,0,7,20,0,5,0,0,0,67,0,0,0,64,9,0,0,0,0,0,0,0,0,0,0,12,0,0,0,35,0,0,196,36,0,0,0,0,0,0,0,0,265,4318,793,0,85,32,337,1042,333,0,11,159,299,11,0,0,652,0,42,0,33,53,145,0,291,114,47,36,0,0,0,0,0,0,17,14,119046,116341,109952,2099,313,3328,46,603,2705,320,2385,2441,560,726,746,40,369,253,11
40,NH,33,,,,,040E2US33,New Hampshire -- In micropolitan statistical area -- not in principal city,329815,316812,2251,862,4017,101,910,4862,306,4556,321423,3598,2971,5410,273,1266,862,631,3,0,184,13,0,110,0,0,27,0,0,0,0,0,4,0,0,19,75,0,0,0,16,3,0,0,0,0,16,0,1,0,0,0,5,0,0,0,0,0,0,155,51,0,0,0,0,0,0,0,0,172,8,4017,514,0,7,15,204,1555,308,0,35,106,811,28,13,0,67,0,168,0,7,89,61,0,3,26,101,43,0,0,0,57,1,0,0,0,0,0,3035,2182,6,0,351,26,0,690,0,11,74,26,0,4,15,0,4,0,0,25,138,0,0,0,16,7,0,0,0,0,16,0,5,3,0,2,36,0,0,0,0,0,34,693,135,57,0,0,44,13,0,0,0,661,5539,677,0,7,21,236,1830,596,0,66,287,1102,88,13,5,73,0,168,0,20,156,91,0,103,273,109,46,0,0,71,4,0,0,0,43,329815,324953,316812,2251,862,4017,101,910,4862,306,4556,4598,1093,1790,1157,66,492,264,0
