SummaryLevel,State,StateFIPS,CountyFIPS,PlaceFIPS,CBSACode,CongressDistrict,GEOID,AreaName,B02001_001,B02001_002,B02001_003,B02001_004,B02001_005,B02001_006,B02001_007,B02001_008,B02001_009,B02001_010,B02008_001,B02009_001,B02010_001,B02011_001,B02012_001,B02013_001,B02014_001,B02014_002,B02014_003,B02014_004,B02014_005,B02014_006,B02014_007,B02014_008,B02014_009,B02014_010,B02014_011,B02014_012,B02014_013,B02014_014,B02014_015,B02014_016,B02014_017,B02014_018,B02014_019,B02014_020,B02014_021,B02014_022,B02014_023,B02014_024,B02014_025,B02014_026,B02014_027,B02014_028,B02014_029,B02014_030,B02014_031,B02014_032,B02014_033,B02014_034,B02014_035,B02014_036,B02014_037,B02014_038,B02014_039,B02014_040,B02014_041,B02014_042,B02014_043,B02014_044,B02014_045,B02014_046,B02014_047,B02014_048,B02014_049,B02014_050,B02014_051,B02014_052,B02014_053,B02014_054,B02014_055,B02015_001,B02015_002,B02015_003,B02015_004,B02015_005,B02015_006,B02015_007,B02015_008,B02015_009,B02015_010,B02015_011,B02015_012,B02015_013,B02015_014,B02015_015,B02015_016,B02015_017,B02015_018,B02015_019,B02015_020,B02015_021,B02015_022,B02015_023,B02015_024,B02015_025,B02016_001,B02016_002,B02016_003,B02016_004,B02016_005,B02016_006,B02016_007,B02016_008,B02016_009,B02016_010,B02016_011,B02016_012,B02017_001,B02017_002,B02017_003,B02017_004,B02017_005,B02017_006,B02017_007,B02017_008,B02017_009,B02017_010,B02017_011,B02017_012,B02017_013,B02017_014,B02017_015,B02017_016,B02017_017,B02017_018,B02017_019,B02017_020,B02017_021,B02017_022,B02017_023,B02017_024,B02017_025,B02017_026,B02017_027,B02017_028,B02017_029,B02017_030,B02017_031,B02017_032,B02017_033,B02017_034,B02017_035,B02017_036,B02017_037,B02017_038,B02017_039,B02017_040,B02017_041,B02017_042,B02017_043,B02017_044,B02017_045,B02017_046,B02017_047,B02017_048,B02017_049,B02017_050,B02017_051,B02017_052,B02017_053,B02017_054,B02018_001,B02018_002,B02018_003,B02018_004,B02018_005,B02018_006,B02018_007,B02018_008,B02018_009,B02018_010,B02018_011,B02018_012,B02018_013,B02018_014,B02018_015,B02018_016,B02018_017,B02018_018,B02018_019,B02018_020,B02018_021,B02018_022,B02018_023,B02018_024,B02019_001,B02019_002,B02019_003,B02019_004,B02019_005,B02019_006,B02019_007,B02019_008,B02019_009,B02019_010,B02019_011,C02003_001,C02003_002,C02003_003,C02003_004,C02003_005,C02003_006,C02003_007,C02003_008,C02003_009,C02003_010,C02003_011,C02003_012,C02003_013,C02003_014,C02003_015,C02003_016,C02003_017,C02003_018,C02003_019
40,NM,35,,,,,04000US35,New Mexico,2082669,1530636,41957,193295,29168,1340,218476,67797,24343,43454,1585210,56977,217890,46392,3568,244641,193295,180879,9032,8,163,91,37,1292,182,351,551,657,16,315,33,223,96,87,427,9,251,107,17,19,720,115630,128,3,11,137,222,46147,39,46,139,1012,41,295,259,193,37,112,86,1658,2223,154,0,29,46,60,19,0,66,6118,3855,29168,3908,136,0,0,136,5960,6396,64,82,1982,1925,583,17,0,184,0,762,141,289,1005,4628,16,502,452,1340,542,186,56,6,160,26,5,200,0,70,89,222818,209254,11094,55,563,139,37,5038,359,678,986,1880,26,621,92,398,141,150,1145,9,604,256,34,19,1476,124567,210,47,108,422,288,51085,88,243,304,1726,153,392,291,380,49,281,158,2662,3488,461,13,118,91,194,19,26,94,9521,47637,7837,136,0,0,258,8422,10427,72,167,5044,3695,695,35,25,191,16,881,146,420,1362,5284,21,2503,3819,1484,628,155,59,297,26,18,346,0,806,2082669,2014872,1530636,41957,193295,29168,1340,218476,67797,24343,43454,63827,8767,16344,9707,1942,27067,3728,242
40,NM,35,,,,,04001US35,New Mexico -- Urban,1622272,1221400,38177,96455,26476,1202,181702,56860,20786,36074,1267107,51600,115346,41416,3228,204138,96455,88237,2822,2,143,42,27,804,177,264,488,376,16,125,33,157,78,87,340,3,233,70,15,19,589,51507,128,0,11,125,184,26510,39,46,126,737,41,212,199,130,12,93,62,1165,1283,83,0,29,0,54,0,0,62,4467,2323,26476,3787,136,0,0,118,5495,5238,64,71,1707,1755,565,12,0,127,0,604,136,289,978,4461,16,483,434,1202,518,154,56,0,85,25,5,200,0,70,89,118391,108281,4045,46,494,90,27,3618,306,486,862,858,26,324,33,292,93,136,892,3,390,104,32,19,1310,57639,179,44,43,379,208,30281,88,217,221,1244,153,284,223,225,24,252,129,1962,2427,329,0,104,11,188,0,26,86,7268,42534,7488,136,0,0,237,7582,8640,72,156,4268,3125,677,30,0,134,16,723,141,418,1335,5091,16,2249,3470,1341,569,155,53,206,25,18,346,0,757,1622272,1565412,1221400,38177,96455,26476,1202,181702,56860,20786,36074,53367,7996,12485,8373,1540,22973,3283,210
40,NM,35,,,,,04043US35,New Mexico -- Rural,460397,309236,3780,96840,2692,138,36774,10937,3557,7380,318103,5377,102544,4976,340,40503,96840,92642,6210,6,20,49,10,488,5,87,63,281,0,190,0,66,18,0,87,6,18,37,2,0,131,64123,0,3,0,12,38,19637,0,0,13,275,0,83,60,63,25,19,24,493,940,71,0,0,46,6,19,0,4,1651,1532,2692,121,0,0,0,18,465,1158,0,11,275,170,18,5,0,57,0,158,5,0,27,167,0,19,18,138,24,32,0,6,75,1,0,0,0,0,0,104427,100973,7049,9,69,49,10,1420,53,192,124,1022,0,297,59,106,48,14,253,6,214,152,2,0,166,66928,31,3,65,43,80,20804,0,26,83,482,0,108,68,155,25,29,29,700,1061,132,13,14,80,6,19,0,8,2253,5103,349,0,0,0,21,840,1787,0,11,776,570,18,5,25,57,0,158,5,2,27,193,5,254,349,143,59,0,6,91,1,0,0,0,49,460397,449460,309236,3780,96840,2692,138,36774,10937,3557,7380,10460,771,3859,1334,402,4094,445,32
40,NM,35,,,,,040A0US35,New Mexico -- In metropolitan or micropolitan statistical area,2008653,1468903,41432,190514,28796,1324,212120,65564,23471,42093,1521488,56156,214272,45485,3528,237386,190514,179056,8909,8,163,91,37,1256,182,351,551,639,16,315,33,223,96,87,427,9,251,107,17,19,712,114332,128,3,0,137,217,46076,39,46,127,1012,41,240,259,193,37,112,86,1472,1560,154,0,29,46,60,19,0,66,5853,3825,28796,3904,136,0,0,136,5844,6274,64,64,1974,1836,579,17,0,173,0,762,141,289,1005,4628,16,502,452,1324,542,186,56,6,160,26,5,200,0,54,89,219106,206783,10919,55,556,139,37,4715,359,678,982,1797,26,604,92,398,141,150,1145,9,592,256,34,19,1460,123161,210,47,97,422,257,50980,88,243,277,1726,153,331,291,377,49,281,158,2472,2793,461,13,118,91,194,19,26,94,8975,46728,7833,136,0,0,258,8300,10289,72,149,4982,3243,691,35,25,180,16,881,146,420,1356,5252,21,2443,3779,1484,628,155,59,297,26,18,346,0,766,2008653,1943089,1468903,41432,190514,28796,1324,212120,65564,23471,42093,61693,8671,15690,9218,1935,26179,3644,227
40,NM,35,,,,,040C0US35,New Mexico -- In metropolitan statistical area,1388168,1036297,28955,105615,23278,888,144814,48321,17887,30434,1074534,39035,122241,37311,2556,164074,105615,98188,2314,0,125,10,25,540,173,88,478,443,16,243,33,141,80,0,331,0,208,82,5,19,494,64974,128,3,0,112,177,24509,39,46,31,727,28,166,103,136,37,48,64,1012,1238,82,0,29,10,43,0,0,33,4187,1887,23278,3404,136,0,0,36,4660,4697,64,48,1519,1369,519,17,0,173,0,490,141,280,774,4027,16,486,422,888,282,78,56,6,112,25,5,190,0,45,89,124879,115979,3539,0,398,58,25,2651,224,356,790,1247,26,522,92,282,95,63,856,0,352,127,22,19,1092,70418,193,47,30,366,196,27662,88,232,102,1005,94,182,103,294,37,165,136,1793,2166,293,0,43,51,173,0,26,61,6380,38395,7031,136,0,0,155,6851,7713,72,123,3992,2641,618,35,0,180,7,609,146,411,1083,4479,16,2097,2807,1075,394,155,59,202,25,18,336,0,543,1388168,1339847,1036297,28955,105615,23278,888,144814,48321,17887,30434,45206,6007,10482,7360,1295,20062,2968,147
40,NM,35,,,,,040C1US35,New Mexico -- In metropolitan statistical area -- in principal city,785312,588211,21598,39061,17842,686,86362,31552,12326,19226,612006,28657,48699,28150,1841,99454,39061,34904,1330,0,25,8,10,256,173,11,409,285,16,20,33,100,66,0,136,0,199,42,5,0,350,23624,120,0,0,55,103,5999,19,28,19,400,9,47,54,78,12,42,61,760,733,65,0,29,0,36,0,0,18,2205,1136,17842,2722,136,0,0,18,3460,2980,48,38,1110,995,469,0,0,110,0,230,136,280,560,3731,0,425,394,686,201,72,56,0,50,25,1,190,0,15,76,50140,45224,1856,0,279,25,10,1556,224,132,599,887,26,141,33,193,81,30,301,0,285,58,22,0,724,26798,166,0,0,301,122,8038,68,131,19,473,46,63,54,116,12,157,78,1120,1195,229,0,29,11,166,0,23,40,3452,29000,6251,136,0,0,18,4964,5123,48,105,2411,1676,568,18,0,110,7,278,141,409,789,4155,0,1793,1948,795,236,56,46,109,25,1,336,0,344,785312,753760,588211,21598,39061,17842,686,86362,31552,12326,19226,29678,4296,5815,4706,905,13956,1805,69
40,NM,35,,,,,040C2US35,New Mexico -- In metropolitan statistical area -- not in principal city,602856,448086,7357,66554,5436,202,58452,16769,5561,11208,462528,10378,73542,9161,715,64620,66554,63284,984,0,100,2,15,284,0,77,69,158,0,223,0,41,14,0,195,0,9,40,0,19,144,41350,8,3,0,57,74,18510,20,18,12,327,19,119,49,58,25,6,3,252,505,17,0,0,10,7,0,0,15,1982,751,5436,682,0,0,0,18,1200,1717,16,10,409,374,50,17,0,63,0,260,5,0,214,296,16,61,28,202,81,6,0,6,62,0,4,0,0,30,13,74739,70755,1683,0,119,33,15,1095,0,224,191,360,0,381,59,89,14,33,555,0,67,69,0,19,368,43620,27,47,30,65,74,19624,20,101,83,532,48,119,49,178,25,8,58,673,971,64,0,14,40,7,0,3,21,2928,9395,780,0,0,0,137,1887,2590,24,18,1581,965,50,17,0,70,0,331,5,2,294,324,16,304,859,280,158,99,13,93,0,17,0,0,199,602856,586087,448086,7357,66554,5436,202,58452,16769,5561,11208,15528,1711,4667,2654,390,6106,1163,78
40,NM,35,,,,,040E0US35,New Mexico -- In micropolitan statistical area,620485,432606,12477,84899,5518,436,67306,17243,5584,11659,446954,17121,92031,8174,972,73312,84899,80868,6595,8,38,81,12,716,9,263,73,196,0,72,0,82,16,87,96,9,43,25,12,0,218,49358,0,0,0,25,40,21567,0,0,96,285,13,74,156,57,0,64,22,460,322,72,0,0,36,17,19,0,33,1666,1938,5518,500,0,0,0,100,1184,1577,0,16,455,467,60,0,0,0,0,272,0,9,231,601,0,16,30,436,260,108,0,0,48,1,0,10,0,9,0,94227,90804,7380,55,158,81,12,2064,135,322,192,550,0,82,0,116,46,87,289,9,240,129,12,0,368,52743,17,0,67,56,61,23318,0,11,175,721,59,149,188,83,12,116,22,679,627,168,13,75,40,21,19,0,33,2595,8333,802,0,0,0,103,1449,2576,0,26,990,602,73,0,25,0,9,272,0,9,273,773,5,346,972,409,234,0,0,95,1,0,10,0,223,620485,603242,432606,12477,84899,5518,436,67306,17243,5584,11659,16487,2664,5208,1858,640,6117,676,80
40,NM,35,,,,,040E1US35,New Mexico -- In micropolitan statistical area -- in principal city,310327,236707,9832,14571,4003,277,34709,10228,3146,7082,245324,13223,18129,5840,509,38174,14571,13115,565,2,0,16,0,248,4,188,24,90,0,22,0,0,0,87,19,3,5,0,2,0,129,9864,0,0,0,0,7,1171,0,0,96,94,13,21,153,5,0,48,0,239,137,17,0,0,0,17,0,0,33,786,483,4003,408,0,0,0,94,984,1009,0,16,233,425,19,0,0,0,0,185,0,0,227,378,0,0,25,277,169,79,0,0,10,0,0,10,0,9,0,18716,16921,780,46,62,16,0,847,82,234,95,186,0,22,0,0,0,87,49,3,23,0,2,0,224,11302,0,0,6,0,7,1562,0,8,172,385,59,77,177,5,12,90,0,301,350,96,0,75,0,21,0,0,33,1316,5878,623,0,0,0,94,1186,1710,0,26,520,524,32,0,0,0,0,185,0,0,258,541,0,179,509,271,79,0,0,32,0,0,10,0,117,310327,300099,236707,9832,14571,4003,277,34709,10228,3146,7082,9656,2013,2601,1315,347,3380,500,72
40,NM,35,,,,,040E2US35,New Mexico -- In micropolitan statistical area -- not in principal city,310158,195899,2645,70328,1515,159,32597,7015,2438,4577,201630,3898,73902,2334,463,35138,70328,67753,6030,6,38,65,12,468,5,75,49,106,0,50,0,82,16,0,77,6,38,25,10,0,89,39494,0,0,0,25,33,20396,0,0,0,191,0,53,3,52,0,16,22,221,185,55,0,0,36,0,19,0,0,880,1455,1515,92,0,0,0,6,200,568,0,0,222,42,41,0,0,0,0,87,0,9,4,223,0,16,5,159,91,29,0,0,38,1,0,0,0,0,0,75511,73883,6600,9,96,65,12,1217,53,88,97,364,0,60,0,116,46,0,240,6,217,129,10,0,144,41441,17,0,61,56,54,21756,0,3,3,336,0,72,11,78,0,26,22,378,277,72,13,0,40,0,19,0,0,1279,2455,179,0,0,0,9,263,866,0,0,470,78,41,0,25,0,9,87,0,9,15,232,5,167,463,138,155,0,0,63,1,0,0,0,106,310158,303143,195899,2645,70328,1515,159,32597,7015,2438,4577,6831,651,2607,543,293,2737,176,8
40,NM,35,,,,,040G0US35,New Mexico -- Not in metropolitan or micropolitan statistical area,74016,61733,525,2781,372,16,6356,2233,872,1361,63722,821,3618,907,40,7255,2781,1823,123,0,0,0,0,36,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,8,1298,0,0,11,0,5,71,0,0,12,0,0,55,0,0,0,0,0,186,663,0,0,0,0,0,0,0,0,265,30,372,4,0,0,0,0,116,122,0,18,8,89,4,0,0,11,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,16,0,3712,2471,175,0,7,0,0,323,0,0,4,83,0,17,0,0,0,0,0,0,12,0,0,0,16,1406,0,0,11,0,31,105,0,0,27,0,0,61,0,3,0,0,0,190,695,0,0,0,0,0,0,0,0,546,909,4,0,0,0,0,122,138,0,18,62,452,4,0,0,11,0,0,0,0,6,32,0,60,40,0,0,0,0,0,0,0,0,0,40,74016,71783,61733,525,2781,372,16,6356,2233,872,1361,2134,96,654,489,7,888,84,15
40,NM,35,,,,,040H0US35,New Mexico -- Not in metropolitan statistical area,694501,494339,13002,87680,5890,452,73662,19476,6456,13020,510676,17942,95649,9081,1012,80567,87680,82691,6718,8,38,81,12,752,9,263,73,214,0,72,0,82,16,87,96,9,43,25,12,0,226,50656,0,0,11,25,45,21638,0,0,108,285,13,129,156,57,0,64,22,646,985,72,0,0,36,17,19,0,33,1931,1968,5890,504,0,0,0,100,1300,1699,0,34,463,556,64,0,0,11,0,272,0,9,231,601,0,16,30,452,260,108,0,0,48,1,0,10,0,25,0,97939,93275,7555,55,165,81,12,2387,135,322,196,633,0,99,0,116,46,87,289,9,252,129,12,0,384,54149,17,0,78,56,92,23423,0,11,202,721,59,210,188,86,12,116,22,869,1322,168,13,75,40,21,19,0,33,3141,9242,806,0,0,0,103,1571,2714,0,44,1052,1054,77,0,25,11,9,272,0,9,279,805,5,406,1012,409,234,0,0,95,1,0,10,0,263,694501,675025,494339,13002,87680,5890,452,73662,19476,6456,13020,18621,2760,5862,2347,647,7005,760,95
50,NM,35,001,,,,05000US35001,"Bernalillo County, New Mexico",674777,487865,19647,31231,16206,630,91066,28132,11254,16878,508808,26137,39385,25928,1521,103135,31231,27638,1473,0,3,0,10,220,118,25,407,198,16,78,33,66,0,0,115,0,177,45,0,0,279,15131,58,0,0,43,58,7730,0,28,0,427,0,102,56,4,12,10,61,655,650,36,0,0,0,36,0,0,18,2178,711,16206,2028,136,0,0,12,3255,2742,48,20,979,859,492,0,0,80,0,212,136,263,519,3656,0,441,328,630,190,49,56,0,28,25,1,190,0,15,76,40399,36001,1957,0,231,33,10,1438,164,190,585,504,16,237,84,123,15,12,228,0,222,45,17,0,554,17189,82,0,0,43,77,9756,36,120,0,476,37,118,56,30,12,104,78,1122,1118,230,0,0,41,166,0,23,18,3032,26716,5564,136,0,0,12,4739,4390,56,49,2433,1640,560,18,0,80,7,252,141,330,739,4084,0,1486,1636,645,200,56,46,67,25,1,336,0,260,674777,646645,487865,19647,31231,16206,630,91066,28132,11254,16878,26173,3705,4659,4528,964,12317,1913,46
50,NM,35,003,,,,05000US35003,"Catron County, New Mexico",3547,3444,30,10,12,0,1,50,27,23,3494,30,33,12,0,28,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,33,13,0,6,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3547,3497,3444,30,10,12,0,1,50,27,23,50,0,23,0,0,27,0,0
50,NM,35,005,,,,05000US35005,"Chaves County, New Mexico",65610,52656,1152,929,523,40,8600,1710,810,900,54175,1427,1511,745,52,9467,929,630,166,0,0,0,0,28,4,7,0,0,0,0,0,3,0,0,0,0,3,0,0,0,171,153,0,0,0,0,7,53,0,0,0,4,0,19,7,0,0,5,0,0,7,0,0,0,0,0,0,0,0,246,46,523,11,0,0,0,0,55,169,0,0,66,42,0,0,0,0,0,0,0,0,173,7,0,0,0,40,0,40,0,0,0,0,0,0,0,0,0,1642,1162,220,0,6,0,0,168,4,53,0,95,0,0,0,3,0,0,0,0,3,0,0,0,221,221,0,0,6,0,7,69,0,0,0,23,0,19,7,0,0,31,0,6,7,0,0,0,0,0,0,0,0,473,745,105,0,0,0,0,55,240,0,0,95,48,0,0,0,0,0,0,0,0,173,13,0,16,52,0,46,0,0,0,0,0,0,0,6,65610,63900,52656,1152,929,523,40,8600,1710,810,900,1653,182,475,129,9,858,57,0
50,NM,35,006,,,,05000US35006,"Cibola County, New Mexico",27373,12008,263,10987,154,25,3020,916,188,728,12759,480,11583,199,78,3271,10987,10436,58,0,0,0,0,30,5,0,0,8,0,0,0,0,0,0,48,0,5,0,0,0,0,3592,0,0,0,0,0,6515,0,0,24,100,0,0,8,0,0,0,11,32,19,0,0,0,0,0,0,0,10,134,388,154,0,0,0,0,25,5,60,0,0,49,6,0,0,0,0,0,9,0,0,0,0,0,0,0,25,16,0,0,0,0,0,0,0,0,9,0,11983,11792,144,0,0,0,0,52,24,0,6,85,0,0,0,0,0,0,63,0,5,0,0,0,21,4158,0,0,0,7,0,6934,0,0,24,128,0,24,32,16,0,5,11,53,47,0,0,0,0,0,0,0,10,134,199,0,0,0,0,25,5,102,0,0,49,9,0,0,0,0,0,9,0,0,0,0,0,0,78,16,0,0,0,0,0,0,0,0,62,27373,26457,12008,263,10987,154,25,3020,916,188,728,835,75,472,7,58,223,81,0
50,NM,35,007,,,,05000US35007,"Colfax County, New Mexico",12716,10840,60,275,67,0,1048,426,190,236,11255,72,492,100,15,1250,275,196,56,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,74,0,0,11,0,0,9,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,0,67,0,0,0,0,0,0,56,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,516,332,56,0,0,0,0,88,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,16,74,0,0,11,0,26,9,0,0,0,0,0,15,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,161,100,0,0,0,0,0,0,56,0,11,0,18,0,0,0,0,0,0,0,0,0,0,0,15,15,0,0,0,0,0,0,0,0,0,15,12716,12290,10840,60,275,67,0,1048,426,190,236,399,12,179,18,0,190,12,15
50,NM,35,009,,,,05000US35009,"Curry County, New Mexico",50544,35557,3110,573,815,123,8717,1649,799,850,36585,3895,931,1114,157,9541,573,430,57,0,0,0,0,121,0,46,0,10,0,0,0,0,0,0,0,4,0,0,0,0,10,75,0,0,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0,54,11,0,0,0,0,0,0,0,0,98,34,815,7,0,0,0,0,49,493,0,0,0,172,15,0,0,0,0,0,0,0,33,25,0,16,5,123,108,5,0,0,0,0,0,10,0,0,0,985,732,95,0,10,0,0,201,78,46,0,10,0,0,0,0,0,0,0,4,0,0,0,0,27,90,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,16,0,95,139,0,0,0,0,0,0,0,0,114,1119,12,0,0,0,0,53,712,0,0,36,198,15,0,0,0,0,0,0,0,52,25,0,16,157,114,5,0,0,0,0,0,10,0,28,50544,48895,35557,3110,573,815,123,8717,1649,799,850,1619,168,227,177,124,923,30,0
50,NM,35,011,,,,05000US35011,"De Baca County, New Mexico",1977,1415,0,0,4,0,358,200,95,105,1615,6,99,4,0,453,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,99,0,0,0,0,0,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1977,1777,1415,0,0,4,0,358,200,95,105,200,6,99,0,0,95,0,0
