SummaryLevel,State,StateFIPS,CountyFIPS,PlaceFIPS,CBSACode,CongressDistrict,GEOID,AreaName,B02001_001,B02001_002,B02001_003,B02001_004,B02001_005,B02001_006,B02001_007,B02001_008,B02001_009,B02001_010,B02008_001,B02009_001,B02010_001,B02011_001,B02012_001,B02013_001,B02014_001,B02014_002,B02014_003,B02014_004,B02014_005,B02014_006,B02014_007,B02014_008,B02014_009,B02014_010,B02014_011,B02014_012,B02014_013,B02014_014,B02014_015,B02014_016,B02014_017,B02014_018,B02014_019,B02014_020,B02014_021,B02014_022,B02014_023,B02014_024,B02014_025,B02014_026,B02014_027,B02014_028,B02014_029,B02014_030,B02014_031,B02014_032,B02014_033,B02014_034,B02014_035,B02014_036,B02014_037,B02014_038,B02014_039,B02014_040,B02014_041,B02014_042,B02014_043,B02014_044,B02014_045,B02014_046,B02014_047,B02014_048,B02014_049,B02014_050,B02014_051,B02014_052,B02014_053,B02014_054,B02014_055,B02015_001,B02015_002,B02015_003,B02015_004,B02015_005,B02015_006,B02015_007,B02015_008,B02015_009,B02015_010,B02015_011,B02015_012,B02015_013,B02015_014,B02015_015,B02015_016,B02015_017,B02015_018,B02015_019,B02015_020,B02015_021,B02015_022,B02015_023,B02015_024,B02015_025,B02016_001,B02016_002,B02016_003,B02016_004,B02016_005,B02016_006,B02016_007,B02016_008,B02016_009,B02016_010,B02016_011,B02016_012,B02017_001,B02017_002,B02017_003,B02017_004,B02017_005,B02017_006,B02017_007,B02017_008,B02017_009,B02017_010,B02017_011,B02017_012,B02017_013,B02017_014,B02017_015,B02017_016,B02017_017,B02017_018,B02017_019,B02017_020,B02017_021,B02017_022,B02017_023,B02017_024,B02017_025,B02017_026,B02017_027,B02017_028,B02017_029,B02017_030,B02017_031,B02017_032,B02017_033,B02017_034,B02017_035,B02017_036,B02017_037,B02017_038,B02017_039,B02017_040,B02017_041,B02017_042,B02017_043,B02017_044,B02017_045,B02017_046,B02017_047,B02017_048,B02017_049,B02017_050,B02017_051,B02017_052,B02017_053,B02017_054,B02018_001,B02018_002,B02018_003,B02018_004,B02018_005,B02018_006,B02018_007,B02018_008,B02018_009,B02018_010,B02018_011,B02018_012,B02018_013,B02018_014,B02018_015,B02018_016,B02018_017,B02018_018,B02018_019,B02018_020,B02018_021,B02018_022,B02018_023,B02018_024,B02019_001,B02019_002,B02019_003,B02019_004,B02019_005,B02019_006,B02019_007,B02019_008,B02019_009,B02019_010,B02019_011,C02003_001,C02003_002,C02003_003,C02003_004,C02003_005,C02003_006,C02003_007,C02003_008,C02003_009,C02003_010,C02003_011,C02003_012,C02003_013,C02003_014,C02003_015,C02003_016,C02003_017,C02003_018,C02003_019
40,OR,41,,,,,04000US41,Oregon,3982267,3387825,74012,45233,160155,14936,124565,175541,17190,158351,3549514,108436,123385,217489,30528,143936,45233,32960,520,256,646,251,135,3435,101,152,1497,1259,83,32,38,319,0,97,33,0,507,34,6,64,3229,432,72,82,396,29,215,135,553,11,81,1128,80,85,16,63,419,65,66,16338,1434,1207,155,271,88,576,69,48,127,7737,1768,160155,20307,348,474,1660,4822,36514,17466,2411,1082,13386,15582,5102,70,288,1121,88,847,321,1381,2699,27950,28,1156,5052,14936,3887,1948,1014,119,1430,1177,2920,1117,14,796,514,128631,96627,2422,287,4643,976,305,21872,322,893,3949,5032,130,336,480,768,181,267,106,7,1744,231,66,64,9393,1777,456,120,669,29,669,331,844,545,457,4156,375,111,147,152,813,621,106,29775,4050,3299,765,661,308,1157,167,241,224,24431,227882,24232,481,474,1861,5999,50255,33983,2668,2214,29825,22347,6677,254,392,1134,314,978,427,1598,4078,32581,56,5054,31490,11476,3782,1277,604,2671,1286,3552,1546,31,5265,3982267,3806726,3387825,74012,45233,160155,14936,124565,175541,17190,158351,161471,23398,65540,41457,2151,28925,12783,1287
40,OR,41,,,,,04001US41,Oregon -- Urban,3244325,2708903,71017,30030,153514,13970,113487,153404,15305,138099,2849270,103616,93645,206861,28049,130808,30030,21206,397,251,482,190,135,2530,76,125,1106,1039,44,29,34,317,0,51,10,0,353,19,6,61,2934,353,68,37,173,29,110,124,170,7,20,823,55,62,15,6,125,63,33,8744,1100,890,101,209,88,404,55,33,115,5828,891,153514,19743,348,474,1660,4760,34951,16454,2078,1032,12349,14536,4941,70,265,1100,69,827,291,1311,2577,27572,28,1112,4966,13970,3552,1848,1008,59,1325,1161,2766,1069,14,684,484,97419,71890,1945,265,3631,896,277,16293,282,824,3153,3689,64,312,396,699,165,178,78,7,1474,145,63,61,8846,1545,429,73,371,29,465,320,343,485,358,3002,350,88,142,83,397,549,73,19045,3002,2564,640,546,244,866,107,161,212,19751,216996,23404,481,474,1861,5905,48022,31717,2335,2062,27905,20785,6505,254,351,1113,235,952,397,1486,3838,32069,56,4789,28966,10404,3590,1269,530,2402,1243,3386,1473,26,4643,3244325,3090921,2708903,71017,30030,153514,13970,113487,153404,15305,138099,140203,22010,51859,38441,2044,25849,12005,1196
40,OR,41,,,,,04043US41,Oregon -- Rural,737942,678922,2995,15203,6641,966,11078,22137,1885,20252,700244,4820,29740,10628,2479,13128,15203,11754,123,5,164,61,0,905,25,27,391,220,39,3,4,2,0,46,23,0,154,15,0,3,295,79,4,45,223,0,105,11,383,4,61,305,25,23,1,57,294,2,33,7594,334,317,54,62,0,172,14,15,12,1909,877,6641,564,0,0,0,62,1563,1012,333,50,1037,1046,161,0,23,21,19,20,30,70,122,378,0,44,86,966,335,100,6,60,105,16,154,48,0,112,30,31212,24737,477,22,1012,80,28,5579,40,69,796,1343,66,24,84,69,16,89,28,0,270,86,3,3,547,232,27,47,298,0,204,11,501,60,99,1154,25,23,5,69,416,72,33,10730,1048,735,125,115,64,291,60,80,12,4680,10886,828,0,0,0,94,2233,2266,333,152,1920,1562,172,0,41,21,79,26,30,112,240,512,0,265,2524,1072,192,8,74,269,43,166,73,5,622,737942,715805,678922,2995,15203,6641,966,11078,22137,1885,20252,21268,1388,13681,3016,107,3076,778,91
40,OR,41,,,,,040A0US41,Oregon -- In metropolitan or micropolitan statistical area,3884317,3302020,73453,40333,159516,14680,121454,172861,16997,155864,3461148,107666,116798,216291,30055,140631,40333,29205,490,256,592,216,135,3321,101,152,1453,1251,58,29,38,317,0,96,23,0,488,19,6,64,3191,426,72,82,147,29,215,135,545,11,76,1080,72,85,16,40,343,65,65,13405,1333,1174,152,271,88,556,69,38,127,6954,1540,159516,20259,348,474,1660,4822,36393,17286,2400,1048,13300,15506,5102,70,288,1121,88,847,321,1381,2667,27904,28,1156,5047,14680,3805,1905,1014,119,1400,1176,2853,1113,14,796,485,121867,91413,2355,287,4542,934,305,21305,318,891,3849,4947,105,322,467,762,168,266,96,7,1671,216,66,64,9345,1723,441,118,372,29,669,331,829,544,448,4018,367,111,147,117,714,621,105,26421,3910,3238,753,661,308,1118,167,231,224,23082,226673,24155,481,474,1861,5990,50075,33678,2657,2150,29643,22165,6677,254,390,1134,314,978,427,1598,3992,32511,56,5013,30988,11265,3695,1277,604,2619,1285,3485,1542,31,5185,3884317,3711456,3302020,73453,40333,159516,14680,121454,172861,16997,155864,158860,23208,63909,41028,2148,28567,12714,1287
40,OR,41,,,,,040C0US41,Oregon -- In metropolitan statistical area,3327489,2804600,69776,28856,153974,13573,106533,150177,15031,135146,2942422,101252,90858,206219,27364,123397,28856,20100,424,249,475,136,127,2616,91,129,1140,1138,45,22,30,206,0,58,13,0,249,19,6,29,2637,310,58,37,107,29,158,104,483,8,41,784,64,62,15,16,117,63,13,7792,1017,871,110,154,88,436,69,14,127,5601,1140,153974,19992,348,474,1660,4782,35120,16016,2322,1019,12213,14814,5072,70,288,1114,88,802,296,1346,2603,27375,28,1134,4998,13573,3572,1719,996,54,1266,1054,2733,1067,14,735,363,94803,70426,2027,280,3987,598,284,17043,283,680,3166,4232,65,280,366,578,159,174,86,0,1299,154,39,29,8635,1304,370,73,287,29,453,290,687,493,396,3410,238,87,146,93,399,568,53,16606,3312,2371,520,450,260,824,152,165,224,18470,216365,23693,481,474,1861,5868,47952,31062,2579,2058,27148,20934,6529,254,379,1127,314,927,402,1563,3904,31896,56,4904,28098,10286,3117,1241,526,2378,1163,3354,1476,26,4531,3327489,3177312,2804600,69776,28856,153974,13573,106533,150177,15031,135146,137721,21182,51100,38146,1965,25328,11189,1267
40,OR,41,,,,,040C1US41,Oregon -- In metropolitan statistical area -- in principal city,1468237,1190628,46710,11746,89031,8096,47808,74218,7889,66329,1257772,65240,40372,115148,14505,56619,11746,8363,154,22,140,37,49,914,37,63,549,625,44,0,24,121,0,19,0,0,105,19,0,0,1223,142,20,9,52,20,40,86,59,7,19,407,33,38,1,6,19,58,0,3202,255,231,68,48,35,66,0,14,71,2447,379,89031,10803,268,474,1230,2251,21253,7745,543,572,6992,7321,3454,34,45,857,6,236,132,922,1506,18671,14,732,2970,8096,1808,1028,878,31,910,689,1334,732,0,430,256,42133,30996,968,36,2163,295,156,7103,123,210,1400,1955,58,103,186,397,153,70,57,0,604,116,19,0,3438,676,202,45,165,20,168,222,121,315,319,1486,131,63,66,29,154,162,11,7031,1215,908,405,145,162,148,0,48,123,8891,120565,12821,282,474,1431,2893,28328,14374,598,1276,14813,10426,4400,159,120,870,94,314,194,998,2003,21214,31,2452,14989,5194,1810,961,360,1315,699,1771,1003,0,1876,1468237,1394019,1190628,46710,11746,89031,8096,47808,74218,7889,66329,67643,12303,21905,19111,1368,12956,5990,585
40,OR,41,,,,,040C2US41,Oregon -- In metropolitan statistical area -- not in principal city,1859252,1613972,23066,17110,64943,5477,58725,75959,7142,68817,1684650,36012,50486,91071,12859,66778,17110,11737,270,227,335,99,78,1702,54,66,591,513,1,22,6,85,0,39,13,0,144,0,6,29,1414,168,38,28,55,9,118,18,424,1,22,377,31,24,14,10,98,5,13,4590,762,640,42,106,53,370,69,0,56,3154,761,64943,9189,80,0,430,2531,13867,8271,1779,447,5221,7493,1618,36,243,257,82,566,164,424,1097,8704,14,402,2028,5477,1764,691,118,23,356,365,1399,335,14,305,107,52670,39430,1059,244,1824,303,128,9940,160,470,1766,2277,7,177,180,181,6,104,29,0,695,38,20,29,5197,628,168,28,122,9,285,68,566,178,77,1924,107,24,80,64,245,406,42,9575,2097,1463,115,305,98,676,152,117,101,9579,95800,10872,199,0,430,2975,19624,16688,1981,782,12335,10508,2129,95,259,257,220,613,208,565,1901,10682,25,2452,13109,5092,1307,280,166,1063,464,1583,473,26,2655,1859252,1783293,1613972,23066,17110,64943,5477,58725,75959,7142,68817,70078,8879,29195,19035,597,12372,5199,682
40,OR,41,,,,,040E0US41,Oregon -- In micropolitan statistical area,556828,497420,3677,11477,5542,1107,14921,22684,1966,20718,518726,6414,25940,10072,2691,17234,11477,9105,66,7,117,80,8,705,10,23,313,113,13,7,8,111,0,38,10,0,239,0,0,35,554,116,14,45,40,0,57,31,62,3,35,296,8,23,1,24,226,2,52,5613,316,303,42,117,0,120,0,24,0,1353,400,5542,267,0,0,0,40,1273,1270,78,29,1087,692,30,0,0,7,0,45,25,35,64,529,0,22,49,1107,233,186,18,65,134,122,120,46,0,61,122,27064,20987,328,7,555,336,21,4262,35,211,683,715,40,42,101,184,9,92,10,7,372,62,27,35,710,419,71,45,85,0,216,41,142,51,52,608,129,24,1,24,315,53,52,9815,598,867,233,211,48,294,15,66,0,4612,10308,462,0,0,0,122,2123,2616,78,92,2495,1231,148,0,11,7,0,51,25,35,88,615,0,109,2890,979,578,36,78,241,122,131,66,5,654,556828,534144,497420,3677,11477,5542,1107,14921,22684,1966,20718,21139,2026,12809,2882,183,3239,1525,20
40,OR,41,,,,,040E1US41,Oregon -- In micropolitan statistical area -- in principal city,176082,154694,2050,2512,2254,596,5515,8461,906,7555,162451,3355,6840,4692,1346,6664,2512,2046,51,0,53,46,0,236,0,0,70,34,0,0,4,102,0,32,10,0,78,0,0,35,274,33,14,0,5,0,32,19,15,0,0,69,6,0,0,0,12,0,0,816,128,47,0,16,0,21,0,10,0,248,43,2254,50,0,0,0,18,464,738,0,13,380,145,2,0,0,0,0,25,0,35,37,308,0,22,17,596,66,105,18,5,75,69,110,0,0,55,93,7309,5389,133,0,106,290,0,999,0,121,120,131,0,16,49,125,0,70,10,0,146,0,0,35,353,186,26,0,20,0,36,29,53,32,0,222,15,0,0,0,25,16,0,2025,235,223,10,57,0,89,15,52,0,1462,4782,142,0,0,0,67,872,1580,0,42,1016,413,120,0,11,0,0,25,0,35,55,351,0,53,1494,348,414,23,11,111,69,110,0,0,408,176082,167621,154694,2050,2512,2254,596,5515,8461,906,7555,7667,1003,3551,1625,61,1427,783,11
40,OR,41,,,,,040E2US41,Oregon -- In micropolitan statistical area -- not in principal city,380746,342726,1627,8965,3288,511,9406,14223,1060,13163,356275,3059,19100,5380,1345,10570,8965,7059,15,7,64,34,8,469,10,23,243,79,13,7,4,9,0,6,0,0,161,0,0,0,280,83,0,45,35,0,25,12,47,3,35,227,2,23,1,24,214,2,52,4797,188,256,42,101,0,99,0,14,0,1105,357,3288,217,0,0,0,22,809,532,78,16,707,547,28,0,0,7,0,20,25,0,27,221,0,0,32,511,167,81,0,60,59,53,10,46,0,6,29,19755,15598,195,7,449,46,21,3263,35,90,563,584,40,26,52,59,9,22,0,7,226,62,27,0,357,233,45,45,65,0,180,12,89,19,52,386,114,24,1,24,290,37,52,7790,363,644,223,154,48,205,0,14,0,3150,5526,320,0,0,0,55,1251,1036,78,50,1479,818,28,0,0,7,0,26,25,0,33,264,0,56,1396,631,164,13,67,130,53,21,66,5,246,380746,366523,342726,1627,8965,3288,511,9406,14223,1060,13163,13472,1023,9258,1257,122,1812,742,9
