SummaryLevel,State,StateFIPS,CountyFIPS,PlaceFIPS,CBSACode,CongressDistrict,GEOID,AreaName,B02001_001,B02001_002,B02001_003,B02001_004,B02001_005,B02001_006,B02001_007,B02001_008,B02001_009,B02001_010,B02008_001,B02009_001,B02010_001,B02011_001,B02012_001,B02013_001,B02014_001,B02014_002,B02014_003,B02014_004,B02014_005,B02014_006,B02014_007,B02014_008,B02014_009,B02014_010,B02014_011,B02014_012,B02014_013,B02014_014,B02014_015,B02014_016,B02014_017,B02014_018,B02014_019,B02014_020,B02014_021,B02014_022,B02014_023,B02014_024,B02014_025,B02014_026,B02014_027,B02014_028,B02014_029,B02014_030,B02014_031,B02014_032,B02014_033,B02014_034,B02014_035,B02014_036,B02014_037,B02014_038,B02014_039,B02014_040,B02014_041,B02014_042,B02014_043,B02014_044,B02014_045,B02014_046,B02014_047,B02014_048,B02014_049,B02014_050,B02014_051,B02014_052,B02014_053,B02014_054,B02014_055,B02015_001,B02015_002,B02015_003,B02015_004,B02015_005,B02015_006,B02015_007,B02015_008,B02015_009,B02015_010,B02015_011,B02015_012,B02015_013,B02015_014,B02015_015,B02015_016,B02015_017,B02015_018,B02015_019,B02015_020,B02015_021,B02015_022,B02015_023,B02015_024,B02015_025,B02016_001,B02016_002,B02016_003,B02016_004,B02016_005,B02016_006,B02016_007,B02016_008,B02016_009,B02016_010,B02016_011,B02016_012,B02017_001,B02017_002,B02017_003,B02017_004,B02017_005,B02017_006,B02017_007,B02017_008,B02017_009,B02017_010,B02017_011,B02017_012,B02017_013,B02017_014,B02017_015,B02017_016,B02017_017,B02017_018,B02017_019,B02017_020,B02017_021,B02017_022,B02017_023,B02017_024,B02017_025,B02017_026,B02017_027,B02017_028,B02017_029,B02017_030,B02017_031,B02017_032,B02017_033,B02017_034,B02017_035,B02017_036,B02017_037,B02017_038,B02017_039,B02017_040,B02017_041,B02017_042,B02017_043,B02017_044,B02017_045,B02017_046,B02017_047,B02017_048,B02017_049,B02017_050,B02017_051,B02017_052,B02017_053,B02017_054,B02018_001,B02018_002,B02018_003,B02018_004,B02018_005,B02018_006,B02018_007,B02018_008,B02018_009,B02018_010,B02018_011,B02018_012,B02018_013,B02018_014,B02018_015,B02018_016,B02018_017,B02018_018,B02018_019,B02018_020,B02018_021,B02018_022,B02018_023,B02018_024,B02019_001,B02019_002,B02019_003,B02019_004,B02019_005,B02019_006,B02019_007,B02019_008,B02019_009,B02019_010,B02019_011,C02003_001,C02003_002,C02003_003,C02003_004,C02003_005,C02003_006,C02003_007,C02003_008,C02003_009,C02003_010,C02003_011,C02003_012,C02003_013,C02003_014,C02003_015,C02003_016,C02003_017,C02003_018,C02003_019
40,PR,72,,,,,04000US72,Puerto Rico,3529385,2448085,320087,11814,9574,182,474879,264764,18682,246082,2703964,565829,30509,11760,577,495676,11814,5598,0,0,0,0,524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,310,8,0,0,0,0,0,0,18,0,0,0,4520,202,0,0,0,0,0,16,97,0,0,0,0,0,0,0,0,6072,47,9574,6271,0,9,0,0,1732,153,0,527,210,72,0,0,0,24,0,0,0,33,0,367,0,148,28,182,85,52,0,0,24,0,0,0,0,21,0,30608,17751,13,0,0,15,856,44,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,334,18,0,0,0,0,0,35,18,6,0,0,15432,810,0,0,0,0,0,141,260,27,0,0,17,0,0,10,0,12570,11836,7586,0,9,0,17,1880,312,0,527,320,90,0,0,0,24,0,0,0,33,22,404,0,612,618,126,108,0,0,65,0,0,0,0,319,3529385,3264621,2448085,320087,11814,9574,182,474879,264764,18682,246082,250896,225808,3624,619,1456,19389,13570,298
40,PR,72,,,,,04001US72,Puerto Rico -- Urban,3322921,2296379,305616,11713,9097,182,443356,256578,18081,238497,2544378,543890,29955,11204,560,463464,11713,5571,0,0,0,0,524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,310,8,0,0,0,0,0,0,18,0,0,0,4520,191,0,0,0,0,0,0,82,0,0,0,0,0,0,0,0,6013,47,9097,5804,0,9,0,0,1732,153,0,527,200,72,0,0,0,24,0,0,0,33,0,367,0,148,28,182,85,52,0,0,24,0,0,0,0,21,0,30054,17406,13,0,0,15,846,44,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,334,18,0,0,0,0,0,35,18,6,0,0,15172,751,0,0,0,0,0,125,234,18,0,0,8,0,0,10,0,12396,11271,7119,0,9,0,17,1880,287,0,527,301,90,0,0,0,24,0,0,0,33,22,404,0,558,601,126,108,0,0,65,0,0,0,0,302,3322921,3066343,2296379,305616,11713,9097,182,443356,256578,18081,238497,242924,218733,3520,594,1289,18788,13356,298
40,PR,72,,,,,04043US72,Puerto Rico -- Rural,206464,151706,14471,101,477,0,31523,8186,601,7585,159586,21939,554,556,17,32212,101,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,16,15,0,0,0,0,0,0,0,0,59,0,477,467,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,554,345,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,260,59,0,0,0,0,0,16,26,9,0,0,9,0,0,0,0,174,565,467,0,0,0,0,0,25,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,54,17,0,0,0,0,0,0,0,0,0,17,206464,198278,151706,14471,101,477,0,31523,8186,601,7585,7972,7075,104,25,167,601,214,0
40,PR,72,,,,,040A0US72,Puerto Rico -- In metropolitan or micropolitan statistical area,3503464,2432594,318672,11682,9383,182,466587,264364,18595,245769,2688073,564101,30377,11569,577,487297,11682,5568,0,0,0,0,510,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,310,8,0,0,0,0,0,0,18,0,0,0,4520,191,0,0,0,0,0,11,97,0,0,0,0,0,0,0,0,5970,47,9383,6080,0,9,0,0,1732,153,0,527,210,72,0,0,0,24,0,0,0,33,0,367,0,148,28,182,85,52,0,0,24,0,0,0,0,21,0,30476,17721,13,0,0,15,842,44,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,334,18,0,0,0,0,0,35,18,6,0,0,15432,799,0,0,0,0,0,136,260,27,0,0,17,0,0,10,0,12468,11645,7395,0,9,0,17,1880,312,0,527,320,90,0,0,0,24,0,0,0,33,22,404,0,612,618,126,108,0,0,65,0,0,0,0,319,3503464,3239100,2432594,318672,11682,9383,182,466587,264364,18595,245769,250496,225495,3624,619,1456,19302,13570,298
40,PR,72,,,,,040C0US72,Puerto Rico -- In metropolitan statistical area,3376555,2346943,301829,11531,9234,182,444202,262634,18366,244268,2600779,545762,30144,11410,577,464641,11531,5542,0,0,0,0,510,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,310,8,0,0,0,0,0,0,18,0,0,0,4494,191,0,0,0,0,0,11,97,0,0,0,0,0,0,0,0,5845,47,9234,6060,0,9,0,0,1655,153,0,527,193,50,0,0,0,24,0,0,0,33,0,367,0,135,28,182,85,52,0,0,24,0,0,0,0,21,0,30243,17633,13,0,0,15,842,44,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,334,18,0,0,0,0,0,35,18,0,0,0,15361,788,0,0,0,0,0,136,249,18,0,0,8,0,0,10,0,12343,11486,7365,0,9,0,17,1803,312,0,527,303,68,0,0,0,24,0,0,0,33,22,404,0,599,618,126,108,0,0,65,0,0,0,0,319,3376555,3113921,2346943,301829,11531,9234,182,444202,262634,18366,244268,248808,224099,3624,619,1403,19063,13528,298
40,PR,72,,,,,040C1US72,Puerto Rico -- In metropolitan statistical area -- in principal city,936145,649397,106471,6471,3819,51,110585,59351,7349,52002,705275,158777,14361,4687,119,118662,6471,2470,0,0,0,0,132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,195,0,0,0,0,0,0,0,0,0,0,0,2052,91,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,3933,47,3819,2260,0,9,0,0,720,74,0,292,36,30,0,0,0,16,0,0,0,33,0,341,0,8,0,51,18,12,0,0,0,0,0,0,0,21,0,14460,5610,5,0,0,15,286,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,208,0,0,0,0,0,0,35,0,0,0,0,4809,217,0,0,0,0,0,6,119,10,0,0,0,0,0,10,0,8721,4687,2818,0,9,0,0,783,90,0,292,79,43,0,0,0,16,0,0,0,33,0,354,0,170,119,18,21,0,0,0,0,0,0,0,80,936145,876794,649397,106471,6471,3819,51,110585,59351,7349,52002,53118,43779,1176,123,409,7631,6081,152
40,PR,72,,,,,040C2US72,Puerto Rico -- In metropolitan statistical area -- not in principal city,2440410,1697546,195358,5060,5415,131,333617,203283,11017,192266,1895504,386985,15783,6723,458,345979,5060,3072,0,0,0,0,378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115,8,0,0,0,0,0,0,18,0,0,0,2442,100,0,0,0,0,0,11,76,0,0,0,0,0,0,0,0,1912,0,5415,3800,0,0,0,0,935,79,0,235,157,20,0,0,0,8,0,0,0,0,0,26,0,127,28,131,67,40,0,0,24,0,0,0,0,0,0,15783,12023,8,0,0,0,556,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126,18,0,0,0,0,0,0,18,0,0,0,10552,571,0,0,0,0,0,130,130,8,0,0,8,0,0,0,0,3622,6799,4547,0,0,0,17,1020,222,0,235,224,25,0,0,0,8,0,0,0,0,22,50,0,429,499,108,87,0,0,65,0,0,0,0,239,2440410,2237127,1697546,195358,5060,5415,131,333617,203283,11017,192266,195690,180320,2448,496,994,11432,7447,146
40,PR,72,,,,,040E0US72,Puerto Rico -- In micropolitan statistical area,126909,85651,16843,151,149,0,22385,1730,229,1501,87294,18339,233,159,0,22656,151,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125,0,149,20,0,0,0,0,77,0,0,0,17,22,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,233,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,71,11,0,0,0,0,0,0,11,9,0,0,9,0,0,0,0,125,159,30,0,0,0,0,77,0,0,0,17,22,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,126909,125179,85651,16843,151,149,0,22385,1730,229,1501,1688,1396,0,0,53,239,42,0
40,PR,72,,,,,040E1US72,Puerto Rico -- In micropolitan statistical area -- in principal city,30644,20111,4485,5,0,0,5484,559,31,528,20663,5000,25,0,0,5528,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30644,30085,20111,4485,5,0,0,5484,559,31,528,546,515,0,0,0,31,13,0
40,PR,72,,,,,040E2US72,Puerto Rico -- In micropolitan statistical area -- not in principal city,96265,65540,12358,146,149,0,16901,1171,198,973,66631,13339,208,159,0,17128,146,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125,0,149,20,0,0,0,0,77,0,0,0,17,22,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,208,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,46,11,0,0,0,0,0,0,11,9,0,0,9,0,0,0,0,125,159,30,0,0,0,0,77,0,0,0,17,22,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,96265,95094,65540,12358,146,149,0,16901,1171,198,973,1142,881,0,0,53,208,29,0
