SummaryLevel,State,StateFIPS,CountyFIPS,PlaceFIPS,CBSACode,CongressDistrict,GEOID,AreaName,B02001_001,B02001_002,B02001_003,B02001_004,B02001_005,B02001_006,B02001_007,B02001_008,B02001_009,B02001_010,B02008_001,B02009_001,B02010_001,B02011_001,B02012_001,B02013_001,B02014_001,B02014_002,B02014_003,B02014_004,B02014_005,B02014_006,B02014_007,B02014_008,B02014_009,B02014_010,B02014_011,B02014_012,B02014_013,B02014_014,B02014_015,B02014_016,B02014_017,B02014_018,B02014_019,B02014_020,B02014_021,B02014_022,B02014_023,B02014_024,B02014_025,B02014_026,B02014_027,B02014_028,B02014_029,B02014_030,B02014_031,B02014_032,B02014_033,B02014_034,B02014_035,B02014_036,B02014_037,B02014_038,B02014_039,B02014_040,B02014_041,B02014_042,B02014_043,B02014_044,B02014_045,B02014_046,B02014_047,B02014_048,B02014_049,B02014_050,B02014_051,B02014_052,B02014_053,B02014_054,B02014_055,B02015_001,B02015_002,B02015_003,B02015_004,B02015_005,B02015_006,B02015_007,B02015_008,B02015_009,B02015_010,B02015_011,B02015_012,B02015_013,B02015_014,B02015_015,B02015_016,B02015_017,B02015_018,B02015_019,B02015_020,B02015_021,B02015_022,B02015_023,B02015_024,B02015_025,B02016_001,B02016_002,B02016_003,B02016_004,B02016_005,B02016_006,B02016_007,B02016_008,B02016_009,B02016_010,B02016_011,B02016_012,B02017_001,B02017_002,B02017_003,B02017_004,B02017_005,B02017_006,B02017_007,B02017_008,B02017_009,B02017_010,B02017_011,B02017_012,B02017_013,B02017_014,B02017_015,B02017_016,B02017_017,B02017_018,B02017_019,B02017_020,B02017_021,B02017_022,B02017_023,B02017_024,B02017_025,B02017_026,B02017_027,B02017_028,B02017_029,B02017_030,B02017_031,B02017_032,B02017_033,B02017_034,B02017_035,B02017_036,B02017_037,B02017_038,B02017_039,B02017_040,B02017_041,B02017_042,B02017_043,B02017_044,B02017_045,B02017_046,B02017_047,B02017_048,B02017_049,B02017_050,B02017_051,B02017_052,B02017_053,B02017_054,B02018_001,B02018_002,B02018_003,B02018_004,B02018_005,B02018_006,B02018_007,B02018_008,B02018_009,B02018_010,B02018_011,B02018_012,B02018_013,B02018_014,B02018_015,B02018_016,B02018_017,B02018_018,B02018_019,B02018_020,B02018_021,B02018_022,B02018_023,B02018_024,B02019_001,B02019_002,B02019_003,B02019_004,B02019_005,B02019_006,B02019_007,B02019_008,B02019_009,B02019_010,B02019_011,C02003_001,C02003_002,C02003_003,C02003_004,C02003_005,C02003_006,C02003_007,C02003_008,C02003_009,C02003_010,C02003_011,C02003_012,C02003_013,C02003_014,C02003_015,C02003_016,C02003_017,C02003_018,C02003_019
40,RI,44,,,,,04000US44,Rhode Island,1054491,854026,68886,5130,34598,575,61218,30058,6613,23445,876862,84942,13483,41078,2136,68656,5130,3542,0,0,197,0,86,251,0,0,19,0,0,0,0,27,0,5,0,0,0,0,0,0,85,11,0,0,0,0,0,41,0,30,0,11,359,8,0,0,0,0,22,2390,198,12,0,0,0,12,0,0,0,1128,250,34598,5971,268,165,469,5024,8339,2957,518,46,975,1725,2661,49,16,499,0,635,49,355,381,2267,25,463,741,575,111,69,0,0,220,0,0,123,0,48,4,13959,9974,159,136,461,102,151,1557,0,0,54,32,0,5,26,60,0,7,0,0,273,17,14,0,111,11,7,20,0,0,16,41,0,64,0,170,934,8,0,0,0,33,39,5466,834,51,0,0,39,12,0,0,0,3100,42263,6654,377,165,469,5700,9616,4293,578,91,1905,2269,2985,49,40,499,33,730,77,523,657,2722,32,1799,2143,414,121,0,0,321,0,0,131,0,1156,1054491,1024433,854026,68886,5130,34598,575,61218,30058,6613,23445,27631,9071,3843,4573,2306,7838,2274,153
40,RI,44,,,,,04001US44,Rhode Island -- Urban,957334,761263,68074,4706,33397,487,60647,28760,6546,22214,782881,83706,12441,39546,1998,67969,4706,3193,0,0,197,0,86,247,0,0,19,0,0,0,0,14,0,5,0,0,0,0,0,0,85,11,0,0,0,0,0,41,0,30,0,11,349,0,0,0,0,0,22,2076,198,12,0,0,0,12,0,0,0,1060,243,33397,5697,268,165,465,5009,7919,2793,483,46,884,1684,2624,49,16,499,0,616,49,355,341,2233,25,445,732,487,111,69,0,0,220,0,0,35,0,48,4,12917,9266,159,136,455,102,151,1462,0,0,54,32,0,5,26,47,0,7,0,0,272,17,14,0,111,11,7,20,0,0,16,41,0,64,0,170,924,0,0,0,0,33,39,4891,699,51,0,0,39,12,0,0,0,2901,40722,6346,377,165,465,5685,9160,4007,543,91,1743,2228,2939,49,40,499,33,711,77,507,609,2681,32,1735,2005,414,121,0,0,311,0,0,43,0,1116,957334,928574,761263,68074,4706,33397,487,60647,28760,6546,22214,26494,8799,3361,4345,2285,7704,2113,153
40,RI,44,,,,,04043US44,Rhode Island -- Rural,97157,92763,812,424,1201,88,571,1298,67,1231,93981,1236,1042,1532,138,687,424,349,0,0,0,0,0,4,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,8,0,0,0,0,0,314,0,0,0,0,0,0,0,0,0,68,7,1201,274,0,0,4,15,420,164,35,0,91,41,37,0,0,0,0,19,0,0,40,34,0,18,9,88,0,0,0,0,0,0,0,88,0,0,0,1042,708,0,0,6,0,0,95,0,0,0,0,0,0,0,13,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,8,0,0,0,0,0,575,135,0,0,0,0,0,0,0,0,199,1541,308,0,0,4,15,456,286,35,0,162,41,46,0,0,0,0,19,0,16,48,41,0,64,138,0,0,0,0,10,0,0,88,0,40,97157,95859,92763,812,424,1201,88,571,1298,67,1231,1137,272,482,228,21,134,161,0
40,RI,44,,,,,040A0US44,Rhode Island -- In metropolitan or micropolitan statistical area,1054491,854026,68886,5130,34598,575,61218,30058,6613,23445,876862,84942,13483,41078,2136,68656,5130,3542,0,0,197,0,86,251,0,0,19,0,0,0,0,27,0,5,0,0,0,0,0,0,85,11,0,0,0,0,0,41,0,30,0,11,359,8,0,0,0,0,22,2390,198,12,0,0,0,12,0,0,0,1128,250,34598,5971,268,165,469,5024,8339,2957,518,46,975,1725,2661,49,16,499,0,635,49,355,381,2267,25,463,741,575,111,69,0,0,220,0,0,123,0,48,4,13959,9974,159,136,461,102,151,1557,0,0,54,32,0,5,26,60,0,7,0,0,273,17,14,0,111,11,7,20,0,0,16,41,0,64,0,170,934,8,0,0,0,33,39,5466,834,51,0,0,39,12,0,0,0,3100,42263,6654,377,165,469,5700,9616,4293,578,91,1905,2269,2985,49,40,499,33,730,77,523,657,2722,32,1799,2143,414,121,0,0,321,0,0,131,0,1156,1054491,1024433,854026,68886,5130,34598,575,61218,30058,6613,23445,27631,9071,3843,4573,2306,7838,2274,153
40,RI,44,,,,,040C0US44,Rhode Island -- In metropolitan statistical area,1054491,854026,68886,5130,34598,575,61218,30058,6613,23445,876862,84942,13483,41078,2136,68656,5130,3542,0,0,197,0,86,251,0,0,19,0,0,0,0,27,0,5,0,0,0,0,0,0,85,11,0,0,0,0,0,41,0,30,0,11,359,8,0,0,0,0,22,2390,198,12,0,0,0,12,0,0,0,1128,250,34598,5971,268,165,469,5024,8339,2957,518,46,975,1725,2661,49,16,499,0,635,49,355,381,2267,25,463,741,575,111,69,0,0,220,0,0,123,0,48,4,13959,9974,159,136,461,102,151,1557,0,0,54,32,0,5,26,60,0,7,0,0,273,17,14,0,111,11,7,20,0,0,16,41,0,64,0,170,934,8,0,0,0,33,39,5466,834,51,0,0,39,12,0,0,0,3100,42263,6654,377,165,469,5700,9616,4293,578,91,1905,2269,2985,49,40,499,33,730,77,523,657,2722,32,1799,2143,414,121,0,0,321,0,0,131,0,1156,1054491,1024433,854026,68886,5130,34598,575,61218,30058,6613,23445,27631,9071,3843,4573,2306,7838,2274,153
40,RI,44,,,,,040C1US44,Rhode Island -- In metropolitan statistical area -- in principal city,260732,166463,29580,2482,13942,171,38968,9126,2157,6969,172646,34871,5171,15711,913,41304,2482,1498,0,0,197,0,0,134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,30,0,0,194,0,0,0,0,0,0,902,123,0,0,0,0,0,0,0,0,646,215,13942,1797,42,165,375,3245,2826,750,187,0,237,856,1049,9,10,256,0,354,0,133,128,930,25,241,327,171,54,28,0,0,67,0,0,0,0,18,4,5499,3637,118,0,260,13,10,620,0,0,7,0,0,3,0,9,0,0,0,0,46,0,14,0,7,0,3,0,0,0,8,41,0,64,0,98,347,0,0,0,0,33,0,1936,368,0,0,0,0,0,0,0,0,1494,16136,1955,42,165,375,3506,3299,1175,196,6,417,1056,1275,9,10,256,0,402,19,164,214,967,25,603,917,210,65,0,0,84,0,0,0,0,558,260732,251606,166463,29580,2482,13942,171,38968,9126,2157,6969,8434,2743,866,1009,1018,2798,637,55
40,RI,44,,,,,040C2US44,Rhode Island -- In metropolitan statistical area -- not in principal city,793759,687563,39306,2648,20656,404,22250,20932,4456,16476,704216,50071,8312,25367,1223,27352,2648,2044,0,0,0,0,86,117,0,0,19,0,0,0,0,27,0,5,0,0,0,0,0,0,85,11,0,0,0,0,0,0,0,0,0,11,165,8,0,0,0,0,22,1488,75,12,0,0,0,12,0,0,0,482,35,20656,4174,226,0,94,1779,5513,2207,331,46,738,869,1612,40,6,243,0,281,49,222,253,1337,0,222,414,404,57,41,0,0,153,0,0,123,0,30,0,8460,6337,41,136,201,89,141,937,0,0,47,32,0,2,26,51,0,7,0,0,227,17,0,0,104,11,4,20,0,0,8,0,0,0,0,72,587,8,0,0,0,0,39,3530,466,51,0,0,39,12,0,0,0,1606,26127,4699,335,0,94,2194,6317,3118,382,85,1488,1213,1710,40,30,243,33,328,58,359,443,1755,7,1196,1226,204,56,0,0,237,0,0,131,0,598,793759,772827,687563,39306,2648,20656,404,22250,20932,4456,16476,19197,6328,2977,3564,1288,5040,1637,98
50,RI,44,001,,,,05000US44001,"Bristol County, Rhode Island",49228,46778,691,29,915,11,147,657,42,615,47414,829,254,1180,49,214,29,15,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,915,87,0,0,0,25,410,172,0,0,12,25,8,9,6,0,0,36,0,0,85,32,0,0,8,11,11,0,0,0,0,0,0,0,0,0,0,305,201,0,0,37,0,15,63,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,0,0,0,0,0,0,0,0,104,1224,157,0,0,0,38,433,232,0,0,42,90,8,9,20,0,0,46,0,0,85,32,7,25,52,19,9,0,0,0,0,0,0,0,24,49228,48571,46778,691,29,915,11,147,657,42,615,602,103,214,223,0,62,55,0
50,RI,44,003,,,,05000US44003,"Kent County, Rhode Island",164886,152635,2354,217,3952,44,2141,3543,268,3275,155870,3835,1355,4955,164,2537,217,178,0,0,0,0,0,14,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,41,0,0,0,0,19,0,0,0,0,0,0,75,13,0,0,0,0,0,0,0,0,26,0,3952,757,117,0,0,563,894,315,286,0,132,133,108,0,0,0,0,165,0,21,35,57,0,190,179,44,0,0,0,0,44,0,0,0,0,0,0,1514,1151,13,129,68,26,0,112,0,0,19,0,0,0,0,0,0,0,0,0,66,0,14,0,23,0,0,20,0,0,4,41,0,0,0,87,30,0,0,0,0,0,0,499,83,22,0,0,22,0,0,0,0,258,5145,824,117,0,0,740,1024,616,286,0,282,238,254,0,0,0,0,165,19,104,166,66,0,244,164,0,0,0,0,44,0,0,0,0,120,164886,161343,152635,2354,217,3952,44,2141,3543,268,3275,3256,1158,876,686,67,469,287,0
50,RI,44,005,,,,05000US44005,"Newport County, Rhode Island",82714,74140,2726,175,1586,52,1278,2757,190,2567,76427,4472,1134,2080,155,1540,175,163,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,136,4,0,0,0,0,0,0,0,0,0,8,1586,171,109,0,0,19,299,560,0,14,117,168,0,0,0,0,0,0,0,20,22,69,0,18,0,52,0,41,0,0,0,0,0,0,0,11,0,1134,1079,20,0,0,0,0,292,0,0,1,0,0,0,0,0,0,2,0,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,0,0,0,0,0,0,621,19,0,0,0,0,0,0,0,0,36,2083,171,109,0,0,44,312,692,0,14,288,227,0,0,0,0,0,0,0,20,22,122,0,62,155,15,41,0,0,46,0,0,0,0,53,82714,79957,74140,2726,175,1586,52,1278,2757,190,2567,2420,1044,383,410,322,261,337,0
50,RI,44,007,,,,05000US44007,"Providence County, Rhode Island",631344,462744,61173,3653,25796,370,56495,21113,5769,15344,477568,73340,9139,29865,1532,62813,3653,2282,0,0,197,0,71,160,0,0,0,0,0,0,0,14,0,5,0,0,0,0,0,0,75,11,0,0,0,0,0,0,0,30,0,11,330,0,0,0,0,0,0,1378,155,12,0,0,0,12,0,0,0,983,221,25796,4633,42,165,469,4379,5476,1638,232,32,614,1302,2521,40,10,499,0,365,49,301,225,2072,25,255,452,370,100,28,0,0,166,0,0,35,0,37,4,9382,6157,126,7,318,76,136,914,0,0,34,0,0,5,26,23,0,5,0,0,132,17,0,0,88,11,7,0,0,0,12,0,0,64,0,51,813,0,0,0,0,33,0,3259,688,29,0,0,17,12,0,0,0,2508,30663,5125,151,165,469,4814,6409,2329,292,77,1103,1569,2690,40,20,499,0,450,58,370,362,2210,25,1436,1536,318,71,0,0,221,0,0,43,0,883,631344,610231,462744,61173,3653,25796,370,56495,21113,5769,15344,19494,6361,1973,2704,1854,6602,1466,153
