SummaryLevel,State,StateFIPS,CountyFIPS,PlaceFIPS,CBSACode,CongressDistrict,GEOID,AreaName,B02001_001,B02001_002,B02001_003,B02001_004,B02001_005,B02001_006,B02001_007,B02001_008,B02001_009,B02001_010,B02008_001,B02009_001,B02010_001,B02011_001,B02012_001,B02013_001,B02014_001,B02014_002,B02014_003,B02014_004,B02014_005,B02014_006,B02014_007,B02014_008,B02014_009,B02014_010,B02014_011,B02014_012,B02014_013,B02014_014,B02014_015,B02014_016,B02014_017,B02014_018,B02014_019,B02014_020,B02014_021,B02014_022,B02014_023,B02014_024,B02014_025,B02014_026,B02014_027,B02014_028,B02014_029,B02014_030,B02014_031,B02014_032,B02014_033,B02014_034,B02014_035,B02014_036,B02014_037,B02014_038,B02014_039,B02014_040,B02014_041,B02014_042,B02014_043,B02014_044,B02014_045,B02014_046,B02014_047,B02014_048,B02014_049,B02014_050,B02014_051,B02014_052,B02014_053,B02014_054,B02014_055,B02015_001,B02015_002,B02015_003,B02015_004,B02015_005,B02015_006,B02015_007,B02015_008,B02015_009,B02015_010,B02015_011,B02015_012,B02015_013,B02015_014,B02015_015,B02015_016,B02015_017,B02015_018,B02015_019,B02015_020,B02015_021,B02015_022,B02015_023,B02015_024,B02015_025,B02016_001,B02016_002,B02016_003,B02016_004,B02016_005,B02016_006,B02016_007,B02016_008,B02016_009,B02016_010,B02016_011,B02016_012,B02017_001,B02017_002,B02017_003,B02017_004,B02017_005,B02017_006,B02017_007,B02017_008,B02017_009,B02017_010,B02017_011,B02017_012,B02017_013,B02017_014,B02017_015,B02017_016,B02017_017,B02017_018,B02017_019,B02017_020,B02017_021,B02017_022,B02017_023,B02017_024,B02017_025,B02017_026,B02017_027,B02017_028,B02017_029,B02017_030,B02017_031,B02017_032,B02017_033,B02017_034,B02017_035,B02017_036,B02017_037,B02017_038,B02017_039,B02017_040,B02017_041,B02017_042,B02017_043,B02017_044,B02017_045,B02017_046,B02017_047,B02017_048,B02017_049,B02017_050,B02017_051,B02017_052,B02017_053,B02017_054,B02018_001,B02018_002,B02018_003,B02018_004,B02018_005,B02018_006,B02018_007,B02018_008,B02018_009,B02018_010,B02018_011,B02018_012,B02018_013,B02018_014,B02018_015,B02018_016,B02018_017,B02018_018,B02018_019,B02018_020,B02018_021,B02018_022,B02018_023,B02018_024,B02019_001,B02019_002,B02019_003,B02019_004,B02019_005,B02019_006,B02019_007,B02019_008,B02019_009,B02019_010,B02019_011,C02003_001,C02003_002,C02003_003,C02003_004,C02003_005,C02003_006,C02003_007,C02003_008,C02003_009,C02003_010,C02003_011,C02003_012,C02003_013,C02003_014,C02003_015,C02003_016,C02003_017,C02003_018,C02003_019
40,SC,45,,,,,04000US45,South Carolina,4834605,3252252,1322368,15417,68553,2784,73149,100082,10470,89612,3338164,1379227,44677,88898,5717,84843,15417,11415,133,0,214,10,28,3205,56,107,350,109,0,22,21,192,10,39,0,0,259,35,2106,0,227,197,0,175,0,0,68,85,18,55,70,357,56,23,0,4,0,21,0,3163,360,175,120,41,9,5,0,0,18,3131,318,68553,15605,297,182,904,1969,12975,11228,2229,139,2291,6033,1160,36,0,143,10,1073,161,541,1654,7535,36,1361,991,2784,520,311,33,1,865,0,681,14,0,299,60,46219,34836,387,0,1542,153,184,16707,88,280,998,534,0,54,40,593,10,111,43,9,753,49,3495,18,677,287,42,175,34,3,99,139,29,395,101,1095,320,40,0,12,0,60,0,5280,1797,343,167,85,9,64,0,18,33,9210,90881,17304,325,182,979,2244,15595,17713,2317,212,5728,8745,1409,78,55,143,40,1292,161,582,2560,9001,52,4164,5891,1445,576,53,15,1272,0,785,64,0,1681,4834605,4734523,3252252,1322368,15417,68553,2784,73149,100082,10470,89612,93757,40812,18415,13775,5672,15083,5834,491
40,SC,45,,,,,04001US45,South Carolina -- Urban,3247609,2151506,894170,9014,59959,2276,56141,74543,8668,65875,2215031,935974,29219,76892,4531,65873,9014,6651,108,0,98,10,17,1713,56,40,310,98,0,0,0,119,0,28,0,0,182,12,1027,0,146,173,0,75,0,0,28,85,18,40,0,241,56,13,0,4,0,0,0,1954,189,82,29,41,7,5,0,0,18,1859,215,59959,14312,288,182,872,1176,11530,9897,1229,86,1903,5402,981,36,0,143,10,1027,145,524,1449,6884,36,1044,803,2276,404,216,33,1,771,0,665,10,0,116,60,30194,22328,353,0,879,143,168,10880,56,166,660,382,0,14,0,361,0,95,43,0,534,26,1750,18,529,249,10,75,0,3,48,127,29,268,31,702,235,30,0,12,0,39,0,3413,1318,208,76,61,7,64,0,0,27,6313,78391,15718,316,182,947,1373,13621,15051,1229,159,4855,7749,1146,60,55,143,40,1232,145,565,2059,8195,52,3499,4659,1117,400,53,9,1097,0,738,60,0,1185,3247609,3173066,2151506,894170,9014,59959,2276,56141,74543,8668,65875,69625,29389,12253,11747,4016,12220,4481,437
40,SC,45,,,,,04043US45,South Carolina -- Rural,1586996,1100746,428198,6403,8594,508,17008,25539,1802,23737,1123133,443253,15458,12006,1186,18970,6403,4764,25,0,116,0,11,1492,0,67,40,11,0,22,21,73,10,11,0,0,77,23,1079,0,81,24,0,100,0,0,40,0,0,15,70,116,0,10,0,0,0,21,0,1209,171,93,91,0,2,0,0,0,0,1272,103,8594,1293,9,0,32,793,1445,1331,1000,53,388,631,179,0,0,0,0,46,16,17,205,651,0,317,188,508,116,95,0,0,94,0,16,4,0,183,0,16025,12508,34,0,663,10,16,5827,32,114,338,152,0,40,40,232,10,16,0,9,219,23,1745,0,148,38,32,100,34,0,51,12,0,127,70,393,85,10,0,0,0,21,0,1867,479,135,91,24,2,0,0,18,6,2897,12490,1586,9,0,32,871,1974,2662,1088,53,873,996,263,18,0,0,0,60,16,17,501,806,0,665,1232,328,176,0,6,175,0,47,4,0,496,1586996,1561457,1100746,428198,6403,8594,508,17008,25539,1802,23737,24132,11423,6162,2028,1656,2863,1353,54
40,SC,45,,,,,040A0US45,South Carolina -- In metropolitan or micropolitan statistical area,4525664,3108000,1168213,13626,67534,2300,70175,95816,10032,85784,3190241,1222459,41339,87420,5113,81380,13626,10097,131,0,177,10,28,2759,56,107,346,109,0,22,21,192,10,39,0,0,222,35,1755,0,130,197,0,126,0,0,68,85,18,55,70,343,56,23,0,4,0,0,0,2903,338,175,120,41,9,5,0,0,18,2694,304,67534,15522,297,182,904,1936,12805,10797,2229,130,2186,5951,1160,36,0,143,10,1073,161,541,1635,7494,36,1330,976,2300,492,311,33,1,758,0,491,14,0,140,60,42837,32610,385,0,1390,153,179,15854,58,268,994,534,0,54,36,593,10,111,35,9,713,49,3053,18,573,287,42,126,34,3,99,119,29,383,101,997,320,40,0,12,0,39,0,4910,1664,343,167,85,9,64,0,18,33,8187,89377,17170,325,182,979,2200,15368,17097,2317,203,5508,8626,1409,78,55,143,40,1292,161,582,2541,8960,52,4089,5287,1381,551,53,15,1162,0,595,64,0,1466,4525664,4429848,3108000,1168213,13626,67534,2300,70175,95816,10032,85784,89858,39027,17496,13469,5395,14471,5467,491
40,SC,45,,,,,040C0US45,South Carolina -- In metropolitan statistical area,4083196,2832276,1022252,11704,64795,2235,62880,87054,8904,78150,2907503,1071051,36233,83419,4875,72886,11704,8713,108,0,158,10,28,2370,48,107,314,109,0,22,18,169,0,39,0,0,222,35,1438,0,102,182,0,126,0,0,28,85,18,51,0,284,56,23,0,4,0,0,0,2559,279,169,114,41,9,5,0,0,18,2256,269,64795,14675,297,182,872,1914,12232,10513,2127,110,2025,5694,1131,36,0,139,10,987,161,529,1584,7313,36,1252,976,2235,455,296,33,1,758,0,491,14,0,127,60,37415,28803,362,0,1102,146,179,14195,50,268,822,455,0,49,33,469,0,111,35,9,601,49,2547,18,536,272,42,126,34,3,59,119,29,379,31,918,268,40,0,12,0,39,0,4396,1268,337,161,85,9,64,0,18,27,6980,85257,16208,325,182,947,2178,14590,16537,2215,183,5239,8239,1380,78,55,139,40,1180,161,570,2325,8687,52,3747,5044,1263,516,53,7,1157,0,595,64,0,1389,4083196,3996142,2832276,1022252,11704,64795,2235,62880,87054,8904,78150,81783,35527,15642,12979,4667,12968,4848,423
40,SC,45,,,,,040C1US45,South Carolina -- In metropolitan statistical area -- in principal city,824937,501422,274379,1438,15846,868,12851,18133,1680,16453,516776,284226,6892,20258,1395,14689,1438,1132,16,0,0,0,0,308,0,0,69,4,0,0,0,20,0,16,0,0,0,12,216,0,30,30,0,0,0,0,16,0,0,20,0,91,0,13,0,0,0,0,0,271,53,12,0,0,7,5,0,0,0,211,30,15846,3749,63,0,144,69,3184,2165,151,21,596,1443,138,24,0,88,0,357,30,207,389,2415,21,238,354,868,96,20,10,0,438,0,238,6,0,0,60,7060,5243,67,0,254,19,33,2850,0,0,244,42,0,0,0,107,0,30,35,0,71,12,394,18,105,40,0,0,0,0,23,0,0,49,8,203,103,13,0,8,0,0,0,515,142,44,0,32,7,5,0,0,0,1631,20793,4165,63,0,144,160,3765,3549,151,49,1340,2059,188,48,0,88,0,485,30,214,483,2772,21,1019,1463,316,89,10,0,470,0,266,6,0,306,824937,806804,501422,274379,1438,15846,868,12851,18133,1680,16453,17076,6723,3045,3330,1513,2465,953,104
40,SC,45,,,,,040C2US45,South Carolina -- In metropolitan statistical area -- not in principal city,3258259,2330854,747873,10266,48949,1367,50029,68921,7224,61697,2390727,786825,29341,63161,3480,58197,10266,7581,92,0,158,10,28,2062,48,107,245,105,0,22,18,149,0,23,0,0,222,23,1222,0,72,152,0,126,0,0,12,85,18,31,0,193,56,10,0,4,0,0,0,2288,226,157,114,41,2,0,0,0,18,2045,239,48949,10926,234,182,728,1845,9048,8348,1976,89,1429,4251,993,12,0,51,10,630,131,322,1195,4898,15,1014,622,1367,359,276,23,1,320,0,253,8,0,127,0,30355,23560,295,0,848,127,146,11345,50,268,578,413,0,49,33,362,0,81,0,9,530,37,2153,0,431,232,42,126,34,3,36,119,29,330,23,715,165,27,0,4,0,39,0,3881,1126,293,161,53,2,59,0,18,27,5349,64464,12043,262,182,803,2018,10825,12988,2064,134,3899,6180,1192,30,55,51,40,695,131,356,1842,5915,31,2728,3581,947,427,43,7,687,0,329,58,0,1083,3258259,3189338,2330854,747873,10266,48949,1367,50029,68921,7224,61697,64707,28804,12597,9649,3154,10503,3895,319
40,SC,45,,,,,040E0US45,South Carolina -- In micropolitan statistical area,442468,275724,145961,1922,2739,65,7295,8762,1128,7634,282738,151408,5106,4001,238,8494,1922,1384,23,0,19,0,0,389,8,0,32,0,0,0,3,23,10,0,0,0,0,0,317,0,28,15,0,0,0,0,40,0,0,4,70,59,0,0,0,0,0,0,0,344,59,6,6,0,0,0,0,0,0,438,35,2739,847,0,0,32,22,573,284,102,20,161,257,29,0,0,4,0,86,0,12,51,181,0,78,0,65,37,15,0,0,0,0,0,0,0,13,0,5422,3807,23,0,288,7,0,1659,8,0,172,79,0,5,3,124,10,0,0,0,112,0,506,0,37,15,0,0,0,0,40,0,0,4,70,79,52,0,0,0,0,0,0,514,396,6,6,0,0,0,0,0,6,1207,4120,962,0,0,32,22,778,560,102,20,269,387,29,0,0,4,0,112,0,12,216,273,0,342,243,118,35,0,8,5,0,0,0,0,77,442468,433706,275724,145961,1922,2739,65,7295,8762,1128,7634,8075,3500,1854,490,728,1503,619,68
40,SC,45,,,,,040E1US45,South Carolina -- In micropolitan statistical area -- in principal city,85926,35943,44334,163,596,14,2475,2401,490,1911,37840,46020,762,1004,48,3009,163,118,0,0,0,0,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,0,0,0,0,0,0,0,0,0,45,0,596,178,0,0,0,0,62,127,18,0,20,42,2,0,0,4,0,86,0,0,13,0,0,44,0,14,14,0,0,0,0,0,0,0,0,0,0,788,280,0,0,72,0,0,111,0,0,0,12,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,59,239,0,0,0,0,0,0,0,0,269,1030,237,0,0,0,0,99,161,18,0,67,65,2,0,0,4,0,103,0,0,13,65,0,196,48,40,0,0,8,0,0,0,0,0,0,85926,83525,35943,44334,163,596,14,2475,2401,490,1911,2080,1093,241,108,49,589,286,35
40,SC,45,,,,,040E2US45,South Carolina -- In micropolitan statistical area -- not in principal city,356542,239781,101627,1759,2143,51,4820,6361,638,5723,244898,105388,4344,2997,190,5485,1759,1266,23,0,19,0,0,330,8,0,32,0,0,0,3,23,10,0,0,0,0,0,309,0,28,15,0,0,0,0,40,0,0,4,70,59,0,0,0,0,0,0,0,293,59,6,6,0,0,0,0,0,0,393,35,2143,669,0,0,32,22,511,157,84,20,141,215,27,0,0,0,0,0,0,12,38,181,0,34,0,51,23,15,0,0,0,0,0,0,0,13,0,4634,3527,23,0,216,7,0,1548,8,0,172,67,0,5,3,124,10,0,0,0,112,0,489,0,37,15,0,0,0,0,40,0,0,4,70,70,52,0,0,0,0,0,0,455,157,6,6,0,0,0,0,0,6,938,3090,725,0,0,32,22,679,399,84,20,202,322,27,0,0,0,0,9,0,12,203,208,0,146,195,78,35,0,0,5,0,0,0,0,77,356542,350181,239781,101627,1759,2143,51,4820,6361,638,5723,5995,2407,1613,382,679,914,333,33
