SummaryLevel,State,StateFIPS,CountyFIPS,PlaceFIPS,CBSACode,CongressDistrict,GEOID,AreaName,B02001_001,B02001_002,B02001_003,B02001_004,B02001_005,B02001_006,B02001_007,B02001_008,B02001_009,B02001_010,B02008_001,B02009_001,B02010_001,B02011_001,B02012_001,B02013_001,B02014_001,B02014_002,B02014_003,B02014_004,B02014_005,B02014_006,B02014_007,B02014_008,B02014_009,B02014_010,B02014_011,B02014_012,B02014_013,B02014_014,B02014_015,B02014_016,B02014_017,B02014_018,B02014_019,B02014_020,B02014_021,B02014_022,B02014_023,B02014_024,B02014_025,B02014_026,B02014_027,B02014_028,B02014_029,B02014_030,B02014_031,B02014_032,B02014_033,B02014_034,B02014_035,B02014_036,B02014_037,B02014_038,B02014_039,B02014_040,B02014_041,B02014_042,B02014_043,B02014_044,B02014_045,B02014_046,B02014_047,B02014_048,B02014_049,B02014_050,B02014_051,B02014_052,B02014_053,B02014_054,B02014_055,B02015_001,B02015_002,B02015_003,B02015_004,B02015_005,B02015_006,B02015_007,B02015_008,B02015_009,B02015_010,B02015_011,B02015_012,B02015_013,B02015_014,B02015_015,B02015_016,B02015_017,B02015_018,B02015_019,B02015_020,B02015_021,B02015_022,B02015_023,B02015_024,B02015_025,B02016_001,B02016_002,B02016_003,B02016_004,B02016_005,B02016_006,B02016_007,B02016_008,B02016_009,B02016_010,B02016_011,B02016_012,B02017_001,B02017_002,B02017_003,B02017_004,B02017_005,B02017_006,B02017_007,B02017_008,B02017_009,B02017_010,B02017_011,B02017_012,B02017_013,B02017_014,B02017_015,B02017_016,B02017_017,B02017_018,B02017_019,B02017_020,B02017_021,B02017_022,B02017_023,B02017_024,B02017_025,B02017_026,B02017_027,B02017_028,B02017_029,B02017_030,B02017_031,B02017_032,B02017_033,B02017_034,B02017_035,B02017_036,B02017_037,B02017_038,B02017_039,B02017_040,B02017_041,B02017_042,B02017_043,B02017_044,B02017_045,B02017_046,B02017_047,B02017_048,B02017_049,B02017_050,B02017_051,B02017_052,B02017_053,B02017_054,B02018_001,B02018_002,B02018_003,B02018_004,B02018_005,B02018_006,B02018_007,B02018_008,B02018_009,B02018_010,B02018_011,B02018_012,B02018_013,B02018_014,B02018_015,B02018_016,B02018_017,B02018_018,B02018_019,B02018_020,B02018_021,B02018_022,B02018_023,B02018_024,B02019_001,B02019_002,B02019_003,B02019_004,B02019_005,B02019_006,B02019_007,B02019_008,B02019_009,B02019_010,B02019_011,C02003_001,C02003_002,C02003_003,C02003_004,C02003_005,C02003_006,C02003_007,C02003_008,C02003_009,C02003_010,C02003_011,C02003_012,C02003_013,C02003_014,C02003_015,C02003_016,C02003_017,C02003_018,C02003_019
40,TN,47,,,,,04000US47,Tennessee,6548009,5096733,1100577,18757,105368,3299,90065,133210,12118,121092,5218121,1163162,64236,132015,8900,103505,18757,13501,484,0,55,17,44,5859,124,285,324,619,0,83,16,310,0,321,206,0,397,19,239,15,1604,181,86,92,0,18,179,93,14,23,6,514,244,54,5,0,0,0,0,971,822,285,69,18,113,38,0,47,96,3587,466,105368,27289,603,409,1463,1782,16420,10918,539,317,4870,11159,7126,269,10,1765,7,2831,240,801,1616,11719,23,1819,1373,3299,828,816,22,20,725,19,572,0,10,269,18,67290,53050,1194,9,1913,105,150,35038,258,556,738,1743,0,271,53,936,289,375,206,0,923,37,466,15,1842,570,398,112,32,32,277,140,59,316,12,918,524,87,12,10,0,120,0,2314,2449,396,86,29,168,56,0,57,192,11203,134683,29820,618,441,1541,2078,19612,17529,552,586,8865,14969,8443,321,21,1883,66,3058,257,1055,2612,13230,79,7047,9065,2918,1159,35,122,1233,19,719,0,10,2850,6548009,6414799,5096733,1100577,18757,105368,3299,90065,133210,12118,121092,125150,48914,36145,18782,3565,17744,7420,640
40,TN,47,,,,,04001US47,Tennessee -- Urban,4375477,3075847,1011556,13296,95107,2729,79539,97403,9472,87931,3162544,1063100,39736,117295,7678,90077,13296,9556,395,0,37,0,44,3696,118,247,196,469,0,74,8,120,0,246,206,0,286,14,145,15,1485,131,29,72,0,0,71,27,14,13,6,394,139,54,5,0,0,0,0,800,528,185,26,11,105,38,0,5,7,2703,317,95107,25142,563,409,1463,1653,14608,8891,431,254,4264,9948,6562,269,10,1765,7,2648,233,714,1230,11101,23,1588,1331,2729,633,655,22,20,642,7,572,0,0,165,13,41767,32377,921,9,1149,65,132,19771,198,442,494,1280,0,187,38,471,198,252,206,0,546,14,276,15,1704,412,163,77,32,14,149,46,59,164,6,638,394,54,12,10,0,62,0,1717,1774,246,43,11,131,56,0,5,39,7331,119837,27373,578,409,1541,1940,17586,14350,444,465,7647,12907,7794,321,21,1851,66,2850,250,893,1879,12429,48,6195,7823,2444,929,35,118,1057,7,719,0,0,2514,4375477,4278074,3075847,1011556,13296,95107,2729,79539,97403,9472,87931,90463,39368,18428,14946,3227,14494,6350,590
40,TN,47,,,,,04043US47,Tennessee -- Rural,2172532,2020886,89021,5461,10261,570,10526,35807,2646,33161,2055577,100062,24500,14720,1222,13428,5461,3945,89,0,18,17,0,2163,6,38,128,150,0,9,8,190,0,75,0,0,111,5,94,0,119,50,57,20,0,18,108,66,0,10,0,120,105,0,0,0,0,0,0,171,294,100,43,7,8,0,0,42,89,884,149,10261,2147,40,0,0,129,1812,2027,108,63,606,1211,564,0,0,0,0,183,7,87,386,618,0,231,42,570,195,161,0,0,83,12,0,0,10,104,5,25523,20673,273,0,764,40,18,15267,60,114,244,463,0,84,15,465,91,123,0,0,377,23,190,0,138,158,235,35,0,18,128,94,0,152,6,280,130,33,0,0,0,58,0,597,675,150,43,18,37,0,0,52,153,3872,14846,2447,40,32,0,138,2026,3179,108,121,1218,2062,649,0,0,32,0,208,7,162,733,801,31,852,1242,474,230,0,4,176,12,0,0,10,336,2172532,2136725,2020886,89021,5461,10261,570,10526,35807,2646,33161,34687,9546,17717,3836,338,3250,1070,50
40,TN,47,,,,,040A0US47,Tennessee -- In metropolitan or micropolitan statistical area,5917426,4537539,1049760,16631,103160,3067,87399,119870,11044,108826,4646280,1107397,54677,129119,8410,99751,16631,11905,427,0,39,0,44,5005,118,256,249,458,0,83,16,296,0,246,206,0,392,19,223,15,1541,172,86,82,0,18,101,93,14,13,6,488,244,54,5,0,0,0,0,896,653,235,26,11,113,38,0,47,96,3306,436,103160,26580,581,409,1463,1782,16107,10353,539,305,4677,11013,7102,269,10,1765,7,2822,231,801,1590,11618,23,1772,1341,3067,736,741,22,20,710,19,572,0,10,224,13,57209,44602,971,9,1484,80,150,28693,191,527,638,1458,0,262,53,808,280,300,206,0,900,37,388,15,1776,561,276,102,32,32,179,140,59,285,6,886,505,54,12,10,0,120,0,2117,2208,336,43,22,168,56,0,47,128,9935,131538,29024,596,409,1541,2078,19192,16651,552,567,8605,14721,8419,321,21,1851,66,3049,248,1055,2586,13067,79,6840,8556,2764,1041,35,122,1187,19,719,0,10,2659,5917426,5797556,4537539,1049760,16631,103160,3067,87399,119870,11044,108826,112192,44764,29447,18263,3260,16458,7038,640
40,TN,47,,,,,040C0US47,Tennessee -- In metropolitan statistical area,5052946,3748790,1008731,13935,98412,2843,77945,102290,9378,92912,3840996,1060116,43926,121961,7578,88432,13935,9723,405,0,37,0,44,3822,118,237,160,428,0,83,16,244,0,246,206,0,368,14,196,15,1122,151,86,82,0,18,92,67,0,13,6,382,167,54,5,0,0,0,0,839,605,182,26,0,113,38,0,5,96,2925,404,98412,25594,581,409,1463,1762,15110,9659,538,247,4213,10538,6978,269,10,1655,7,2811,208,764,1417,11314,23,1668,1174,2843,673,669,22,15,632,19,572,0,10,218,13,45923,35162,730,9,1216,65,150,21701,178,431,495,1228,0,181,53,700,239,294,206,0,832,32,356,15,1357,409,276,102,32,32,170,114,5,257,6,741,419,54,5,10,0,120,0,1942,1991,272,43,0,168,56,0,5,128,8370,124082,27765,596,409,1541,2058,17909,15217,551,477,7956,13793,8239,321,21,1741,48,3038,225,989,2189,12561,68,6370,7721,2426,922,35,102,1055,19,669,0,10,2483,5052946,4950656,3748790,1008731,13935,98412,2843,77945,102290,9378,92912,95146,39549,22211,16347,2848,14191,6535,609
40,TN,47,,,,,040C1US47,Tennessee -- In metropolitan statistical area -- in principal city,2282602,1315590,792088,6185,55834,1761,55938,55206,6005,49201,1363383,823145,19305,69283,4945,62677,6185,4085,79,0,15,0,44,1844,15,50,84,125,0,66,8,15,0,14,206,0,89,0,46,0,778,54,24,0,0,0,52,8,0,0,6,93,78,42,0,0,0,0,0,250,251,141,26,0,105,10,0,0,7,1392,309,55834,13567,190,409,1147,1168,8759,4494,31,104,2009,5896,4469,244,10,1412,7,1411,176,417,764,7146,17,1271,716,1761,478,308,22,15,309,0,489,0,0,127,13,20428,15134,292,0,565,17,71,9241,50,187,292,496,0,157,38,261,107,20,206,0,230,0,69,0,970,166,99,0,16,0,61,27,5,39,6,251,294,42,0,10,0,96,0,753,959,200,41,0,131,28,0,0,39,4096,70553,14604,205,409,1225,1421,10362,7492,31,288,3648,7801,5143,296,21,1498,37,1570,193,473,1165,7842,62,4767,5026,1569,495,35,47,607,0,563,0,0,1710,2282602,2227396,1315590,792088,6185,55834,1761,55938,55206,6005,49201,50539,22676,7940,8591,2084,9248,4411,256
40,TN,47,,,,,040C2US47,Tennessee -- In metropolitan statistical area -- not in principal city,2770344,2433200,216643,7750,42578,1082,22007,47084,3373,43711,2477613,236971,24621,52678,2633,25755,7750,5638,326,0,22,0,0,1978,103,187,76,303,0,17,8,229,0,232,0,0,279,14,150,15,344,97,62,82,0,18,40,59,0,13,0,289,89,12,5,0,0,0,0,589,354,41,0,0,8,28,0,5,89,1533,95,42578,12027,391,0,316,594,6351,5165,507,143,2204,4642,2509,25,0,243,0,1400,32,347,653,4168,6,397,458,1082,195,361,0,0,323,19,83,0,10,91,0,25495,20028,438,9,651,48,79,12460,128,244,203,732,0,24,15,439,132,274,0,0,602,32,287,15,387,243,177,102,16,32,109,87,0,218,0,490,125,12,5,0,0,24,0,1189,1032,72,2,0,37,28,0,5,89,4274,53529,13161,391,0,316,637,7547,7725,520,189,4308,5992,3096,25,0,243,11,1468,32,516,1024,4719,6,1603,2695,857,427,0,55,448,19,106,0,10,773,2770344,2723260,2433200,216643,7750,42578,1082,22007,47084,3373,43711,44607,16873,14271,7756,764,4943,2124,353
40,TN,47,,,,,040E0US47,Tennessee -- In micropolitan statistical area,864480,788749,41029,2696,4748,224,9454,17580,1666,15914,805284,47281,10751,7158,832,11319,2696,2182,22,0,2,0,0,1183,0,19,89,30,0,0,0,52,0,0,0,0,24,5,27,0,419,21,0,0,0,0,9,26,14,0,0,106,77,0,0,0,0,0,0,57,48,53,0,11,0,0,0,42,0,381,32,4748,986,0,0,0,20,997,694,1,58,464,475,124,0,0,110,0,11,23,37,173,304,0,104,167,224,63,72,0,5,78,0,0,0,0,6,0,11286,9440,241,0,268,15,0,6992,13,96,143,230,0,81,0,108,41,6,0,0,68,5,32,0,419,152,0,0,0,0,9,26,54,28,0,145,86,0,7,0,0,0,0,175,217,64,0,22,0,0,0,42,0,1565,7456,1259,0,0,0,20,1283,1434,1,90,649,928,180,0,0,110,18,11,23,66,397,506,11,470,835,338,119,0,20,132,0,50,0,0,176,864480,846900,788749,41029,2696,4748,224,9454,17580,1666,15914,17046,5215,7236,1916,412,2267,503,31
40,TN,47,,,,,040E1US47,Tennessee -- In micropolitan statistical area -- in principal city,247311,203262,28252,1180,2406,110,5398,6703,624,6079,209187,31402,3842,3232,449,6103,1180,1040,17,0,0,0,0,345,0,18,37,10,0,0,0,0,0,0,0,0,10,0,14,0,415,21,0,0,0,0,0,0,14,0,0,58,53,0,0,0,0,0,0,28,4,53,0,11,0,0,0,42,0,76,7,2406,583,0,0,0,20,609,231,0,7,307,108,0,0,0,110,0,0,16,0,78,148,0,27,162,110,25,39,0,0,46,0,0,0,0,0,0,4012,3491,67,0,75,0,0,2227,0,25,52,128,0,22,0,9,34,0,0,0,10,0,14,0,415,143,0,0,0,0,0,0,54,0,0,79,62,0,0,0,0,0,0,75,33,53,0,11,0,0,0,42,0,435,3435,718,0,0,0,20,846,419,0,7,403,192,15,0,0,110,0,0,16,0,112,282,11,284,449,212,39,0,0,71,0,50,0,0,77,247311,240608,203262,28252,1180,2406,110,5398,6703,624,6079,6507,2406,2231,596,314,960,191,5
40,TN,47,,,,,040E2US47,Tennessee -- In micropolitan statistical area -- not in principal city,617169,585487,12777,1516,2342,114,4056,10877,1042,9835,596097,15879,6909,3926,383,5216,1516,1142,5,0,2,0,0,838,0,1,52,20,0,0,0,52,0,0,0,0,14,5,13,0,4,0,0,0,0,0,9,26,0,0,0,48,24,0,0,0,0,0,0,29,44,0,0,0,0,0,0,0,0,305,25,2342,403,0,0,0,0,388,463,1,51,157,367,124,0,0,0,0,11,7,37,95,156,0,77,5,114,38,33,0,5,32,0,0,0,0,6,0,7274,5949,174,0,193,15,0,4765,13,71,91,102,0,59,0,99,7,6,0,0,58,5,18,0,4,9,0,0,0,0,9,26,0,28,0,66,24,0,7,0,0,0,0,100,184,11,0,11,0,0,0,0,0,1130,4021,541,0,0,0,0,437,1015,1,83,246,736,165,0,0,0,18,11,7,66,285,224,0,186,386,126,80,0,20,61,0,0,0,0,99,617169,606292,585487,12777,1516,2342,114,4056,10877,1042,9835,10539,2809,5005,1320,98,1307,312,26
