SummaryLevel,State,StateFIPS,CountyFIPS,PlaceFIPS,CBSACode,CongressDistrict,GEOID,AreaName,B02001_001,B02001_002,B02001_003,B02001_004,B02001_005,B02001_006,B02001_007,B02001_008,B02001_009,B02001_010,B02008_001,B02009_001,B02010_001,B02011_001,B02012_001,B02013_001,B02014_001,B02014_002,B02014_003,B02014_004,B02014_005,B02014_006,B02014_007,B02014_008,B02014_009,B02014_010,B02014_011,B02014_012,B02014_013,B02014_014,B02014_015,B02014_016,B02014_017,B02014_018,B02014_019,B02014_020,B02014_021,B02014_022,B02014_023,B02014_024,B02014_025,B02014_026,B02014_027,B02014_028,B02014_029,B02014_030,B02014_031,B02014_032,B02014_033,B02014_034,B02014_035,B02014_036,B02014_037,B02014_038,B02014_039,B02014_040,B02014_041,B02014_042,B02014_043,B02014_044,B02014_045,B02014_046,B02014_047,B02014_048,B02014_049,B02014_050,B02014_051,B02014_052,B02014_053,B02014_054,B02014_055,B02015_001,B02015_002,B02015_003,B02015_004,B02015_005,B02015_006,B02015_007,B02015_008,B02015_009,B02015_010,B02015_011,B02015_012,B02015_013,B02015_014,B02015_015,B02015_016,B02015_017,B02015_018,B02015_019,B02015_020,B02015_021,B02015_022,B02015_023,B02015_024,B02015_025,B02016_001,B02016_002,B02016_003,B02016_004,B02016_005,B02016_006,B02016_007,B02016_008,B02016_009,B02016_010,B02016_011,B02016_012,B02017_001,B02017_002,B02017_003,B02017_004,B02017_005,B02017_006,B02017_007,B02017_008,B02017_009,B02017_010,B02017_011,B02017_012,B02017_013,B02017_014,B02017_015,B02017_016,B02017_017,B02017_018,B02017_019,B02017_020,B02017_021,B02017_022,B02017_023,B02017_024,B02017_025,B02017_026,B02017_027,B02017_028,B02017_029,B02017_030,B02017_031,B02017_032,B02017_033,B02017_034,B02017_035,B02017_036,B02017_037,B02017_038,B02017_039,B02017_040,B02017_041,B02017_042,B02017_043,B02017_044,B02017_045,B02017_046,B02017_047,B02017_048,B02017_049,B02017_050,B02017_051,B02017_052,B02017_053,B02017_054,B02018_001,B02018_002,B02018_003,B02018_004,B02018_005,B02018_006,B02018_007,B02018_008,B02018_009,B02018_010,B02018_011,B02018_012,B02018_013,B02018_014,B02018_015,B02018_016,B02018_017,B02018_018,B02018_019,B02018_020,B02018_021,B02018_022,B02018_023,B02018_024,B02019_001,B02019_002,B02019_003,B02019_004,B02019_005,B02019_006,B02019_007,B02019_008,B02019_009,B02019_010,B02019_011,C02003_001,C02003_002,C02003_003,C02003_004,C02003_005,C02003_006,C02003_007,C02003_008,C02003_009,C02003_010,C02003_011,C02003_012,C02003_013,C02003_014,C02003_015,C02003_016,C02003_017,C02003_018,C02003_019
40,TX,48,,,,,04000US48,Texas,26956435,20174403,3221133,128145,1175423,22248,1561683,673400,147528,525872,20750895,3474270,328743,1352928,48675,1721788,128145,77374,5644,60,839,191,536,16147,166,3442,928,9497,112,1733,28,1737,132,274,304,460,604,666,301,48,13953,3908,934,256,59,123,969,2492,62,345,40,2226,701,488,165,112,16,576,25,6075,5691,692,81,91,153,271,0,96,292,41398,2698,1175423,331510,9561,1605,15640,13852,183162,122973,989,5025,21211,70883,14801,1501,38,14899,20,64706,4402,12741,13545,242524,446,10456,18933,22248,6599,3615,1669,229,5673,396,2578,38,0,1038,413,344565,232234,14048,130,7835,783,1501,79468,712,9103,2930,31558,443,6766,626,5297,376,994,551,667,2276,1116,529,288,21017,6608,1992,480,83,218,2342,3441,115,2095,414,5910,2652,920,204,425,56,1206,37,14022,13928,1262,235,194,245,425,11,152,491,96650,1381492,349817,10355,1843,16103,16780,215367,168707,1290,7015,47171,91878,17975,2061,173,15800,126,68545,4764,14500,20836,264369,691,45326,49951,14879,5603,2153,393,9965,473,3217,342,0,12926,26956435,26283035,20174403,3221133,128145,1175423,22248,1561683,673400,147528,525872,630233,166393,142519,118773,22989,179559,39409,3758
40,TX,48,,,,,04001US48,Texas -- Urban,22867852,16591178,2999590,105297,1136485,20807,1421080,593415,132314,461101,17094216,3229270,269633,1302130,44338,1565116,105297,61990,4711,60,552,140,495,12146,166,2570,789,6981,112,1354,28,1252,72,215,295,392,503,550,222,48,12430,3332,666,193,59,123,773,2387,19,248,40,1721,594,460,163,112,10,537,23,4447,4841,584,56,51,130,258,0,89,253,35508,2121,1136485,321320,9313,1605,15295,12560,178117,117595,882,4859,20002,67876,13634,1403,38,14484,18,62396,4383,12201,12829,236706,412,10122,18435,20807,6001,3435,1649,219,5277,367,2539,38,0,908,374,282348,187754,11557,97,6329,700,1429,62831,587,7517,2545,24443,443,5166,622,4123,225,763,535,553,1955,848,365,288,18492,5548,1581,384,79,211,1945,3253,36,1843,389,4533,2463,874,163,290,50,904,35,10760,11765,1125,192,154,214,409,11,145,443,81261,1329670,339132,10102,1843,15722,15208,208558,160654,1149,6577,43514,87334,16787,1938,170,15377,124,65994,4738,13811,19572,257416,657,43293,45354,13381,5172,2104,349,9293,444,3097,136,0,11378,22867852,22274437,16591178,2999590,105297,1136485,20807,1421080,593415,132314,461101,554111,149023,111197,110433,21345,162113,35682,3622
40,TX,48,,,,,04043US48,Texas -- Rural,4088583,3583225,221543,22848,38938,1441,140603,79985,15214,64771,3656679,245000,59110,50798,4337,156672,22848,15384,933,0,287,51,41,4001,0,872,139,2516,0,379,0,485,60,59,9,68,101,116,79,0,1523,576,268,63,0,0,196,105,43,97,0,505,107,28,2,0,6,39,2,1628,850,108,25,40,23,13,0,7,39,5890,577,38938,10190,248,0,345,1292,5045,5378,107,166,1209,3007,1167,98,0,415,2,2310,19,540,716,5818,34,334,498,1441,598,180,20,10,396,29,39,0,0,130,39,62217,44480,2491,33,1506,83,72,16637,125,1586,385,7115,0,1600,4,1174,151,231,16,114,321,268,164,0,2525,1060,411,96,4,7,397,188,79,252,25,1377,189,46,41,135,6,302,2,3262,2163,137,43,40,31,16,0,7,48,15389,51822,10685,253,0,381,1572,6809,8053,141,438,3657,4544,1188,123,3,423,2,2551,26,689,1264,6953,34,2033,4597,1498,431,49,44,672,29,120,206,0,1548,4088583,4008598,3583225,221543,22848,38938,1441,140603,79985,15214,64771,76122,17370,31322,8340,1644,17446,3727,136
40,TX,48,,,,,040A0US48,Texas -- In metropolitan or micropolitan statistical area,25581212,19013222,3119706,120580,1168990,21604,1488014,649096,142304,506792,19567853,3363902,310457,1344610,47334,1642673,120580,72462,5478,60,615,191,536,15122,147,3187,914,8561,112,1639,28,1626,88,273,304,447,574,615,296,48,13567,3511,921,235,59,123,928,2424,62,321,40,2110,689,475,165,112,10,560,25,5264,5552,683,81,82,153,271,0,96,280,39274,2329,1168990,330668,9528,1605,15310,13522,182295,122193,981,5010,21008,70048,14746,1501,38,14788,20,64336,4383,12622,13338,241417,446,10284,18903,21604,6273,3513,1653,229,5605,393,2513,38,0,974,413,324994,218561,13279,106,7215,783,1470,74537,661,8625,2838,29218,443,6306,626,5094,280,967,551,654,2115,1008,488,288,20426,5969,1939,459,66,197,2211,3352,115,2040,414,5690,2640,905,196,425,50,1128,37,12750,13515,1207,219,185,233,425,11,134,479,91232,1373033,348854,10322,1843,15773,16450,214324,167421,1276,6993,46552,90784,17920,2058,173,15689,126,68168,4742,14353,20514,263069,691,44938,48593,14352,5417,2129,384,9828,470,3116,328,0,12569,25581212,24932116,19013222,3119706,120580,1168990,21604,1488014,649096,142304,506792,606859,159569,133669,117479,22241,173901,38492,3745
40,TX,48,,,,,040C0US48,Texas -- In metropolitan statistical area,23921868,17612673,2979917,110443,1154018,20106,1428549,616162,135845,480317,18136831,3212228,285985,1326295,44833,1576334,110443,65578,4848,60,551,176,512,13823,103,2944,861,7366,112,1545,28,1519,88,271,295,447,524,394,296,48,12339,3282,876,234,59,118,888,2362,62,276,40,1807,677,454,165,112,10,553,21,4432,5135,615,81,82,132,234,0,86,253,36680,2182,1154018,328531,9370,1561,13713,13108,180495,120216,981,4992,20539,69056,14315,1472,38,14318,20,64101,4168,12391,12845,238911,446,9993,18438,20106,5953,3208,1619,219,5422,393,1990,38,0,853,411,299483,201362,11764,106,6777,764,1432,69118,518,8125,2727,26244,443,5840,511,4841,238,957,541,654,2032,775,464,288,18447,5508,1830,458,66,192,2097,3240,115,1943,386,5241,2628,861,196,341,50,1121,33,11450,12634,1133,219,185,206,388,11,124,452,83902,1354157,346509,10154,1799,14091,15981,212148,164434,1276,6969,45449,89315,17334,2023,163,15219,126,67902,4527,14093,19914,260038,691,44002,46084,13539,5092,2088,371,9563,470,2576,319,0,12066,23921868,23305706,17612673,2979917,110443,1154018,20106,1428549,616162,135845,480317,575761,150631,122002,115105,21265,166758,36865,3536
40,TX,48,,,,,040C1US48,Texas -- In metropolitan statistical area -- in principal city,12195245,8635831,1730195,54980,600238,11041,853603,309357,71211,238146,8895581,1850814,136798,690412,23017,931771,54980,30640,2554,30,221,37,155,5514,69,1226,597,2962,15,715,28,426,23,140,242,351,215,275,219,35,6263,1970,352,116,59,77,337,1352,8,116,13,614,276,241,136,81,10,365,19,2186,2660,285,33,24,77,82,0,69,137,20080,1178,600238,170497,5992,1319,10364,4245,110481,55364,485,2625,12584,38332,7243,888,32,10144,8,27554,2207,8232,6966,109362,177,5744,9393,11041,3691,1619,425,0,3400,57,1152,21,0,528,148,142875,93081,6118,61,2764,276,436,30148,321,3848,1370,11112,346,2572,193,1907,70,464,423,373,1066,361,313,247,9581,3199,780,265,62,137,891,1743,17,1098,22,2646,1485,403,136,119,31,515,24,5138,6337,553,130,75,77,177,11,83,241,42663,704932,179475,6387,1422,10474,5230,127261,77934,674,3560,25522,48832,9014,1300,116,10713,57,29018,2479,9271,10231,118580,301,27081,23527,7297,2376,575,81,5566,69,1438,86,0,6039,12195245,11885888,8635831,1730195,54980,600238,11041,853603,309357,71211,238146,287575,76567,52111,60203,11823,86871,20066,1716
40,TX,48,,,,,040C2US48,Texas -- In metropolitan statistical area -- not in principal city,11726623,8976842,1249722,55463,553780,9065,574946,306805,64634,242171,9241250,1361414,149187,635883,21816,644563,55463,34938,2294,30,330,139,357,8309,34,1718,264,4404,97,830,0,1093,65,131,53,96,309,119,77,13,6076,1312,524,118,0,41,551,1010,54,160,27,1193,401,213,29,31,0,188,2,2246,2475,330,48,58,55,152,0,17,116,16600,1004,553780,158034,3378,242,3349,8863,70014,64852,496,2367,7955,30724,7072,584,6,4174,12,36547,1961,4159,5879,129549,269,4249,9045,9065,2262,1589,1194,219,2022,336,838,17,0,325,263,156608,108281,5646,45,4013,488,996,38970,197,4277,1357,15132,97,3268,318,2934,168,493,118,281,966,414,151,41,8866,2309,1050,193,4,55,1206,1497,98,845,364,2595,1143,458,60,222,19,606,9,6312,6297,580,89,110,129,211,0,41,211,41239,649225,167034,3767,377,3617,10751,84887,86500,602,3409,19927,40483,8320,723,47,4506,69,38884,2048,4822,9683,141458,390,16921,22557,6242,2716,1513,290,3997,401,1138,233,0,6027,11726623,11419818,8976842,1249722,55463,553780,9065,574946,306805,64634,242171,288186,74064,69891,54902,9442,79887,16799,1820
40,TX,48,,,,,040E0US48,Texas -- In micropolitan statistical area,1659344,1400549,139789,10137,14972,1498,59465,32934,6459,26475,1431022,151674,24472,18315,2501,66339,10137,6884,630,0,64,15,24,1299,44,243,53,1195,0,94,0,107,0,2,9,0,50,221,0,0,1228,229,45,1,0,5,40,62,0,45,0,303,12,21,0,0,0,7,4,832,417,68,0,0,21,37,0,10,27,2594,147,14972,2137,158,44,1597,414,1800,1977,0,18,469,992,431,29,0,470,0,235,215,231,493,2506,0,291,465,1498,320,305,34,10,183,0,523,0,0,121,2,25511,17199,1515,0,438,19,38,5419,143,500,111,2974,0,466,115,253,42,10,10,0,83,233,24,0,1979,461,109,1,0,5,114,112,0,97,28,449,12,44,0,84,0,7,4,1300,881,74,0,0,27,37,0,10,27,7330,18876,2345,168,44,1682,469,2176,2987,0,24,1103,1469,586,35,10,470,0,266,215,260,600,3031,0,936,2509,813,325,41,13,265,0,540,9,0,503,1659344,1626410,1400549,139789,10137,14972,1498,59465,32934,6459,26475,31098,8938,11667,2374,976,7143,1627,209
40,TX,48,,,,,040E1US48,Texas -- In micropolitan statistical area -- in principal city,791438,632705,87885,4795,10647,1086,35663,18657,3884,14773,649634,95361,12315,12555,1772,39862,4795,3416,293,0,55,15,6,399,20,95,0,476,0,9,0,58,0,0,0,0,18,221,0,0,947,185,42,0,0,0,31,48,0,45,0,138,0,0,0,0,0,6,4,305,159,54,0,0,7,37,0,10,0,1127,39,10647,1906,88,44,1105,321,1448,1444,0,10,263,594,336,26,0,188,0,235,215,186,442,1247,0,132,417,1086,147,241,21,0,113,0,511,0,0,53,0,12704,8304,791,0,202,15,20,2343,27,273,43,1259,0,126,111,88,0,0,0,0,36,229,0,0,1351,259,102,0,0,0,89,85,0,68,23,217,0,8,0,0,0,6,4,529,448,60,0,0,13,37,0,10,0,3892,13018,2070,93,44,1190,348,1692,2095,0,10,699,719,478,26,10,188,0,266,215,197,508,1624,0,546,1772,545,241,28,0,185,0,511,0,0,262,791438,772781,632705,87885,4795,10647,1086,35663,18657,3884,14773,17452,5416,5749,1331,679,4277,1006,199
40,TX,48,,,,,040E2US48,Texas -- In micropolitan statistical area -- not in principal city,867906,767844,51904,5342,4325,412,23802,14277,2575,11702,781388,56313,12157,5760,729,26477,5342,3468,337,0,9,0,18,900,24,148,53,719,0,85,0,49,0,2,9,0,32,0,0,0,281,44,3,1,0,5,9,14,0,0,0,165,12,21,0,0,0,1,0,527,258,14,0,0,14,0,0,0,27,1467,108,4325,231,70,0,492,93,352,533,0,8,206,398,95,3,0,282,0,0,0,45,51,1259,0,159,48,412,173,64,13,10,70,0,12,0,0,68,2,12807,8895,724,0,236,4,18,3076,116,227,68,1715,0,340,4,165,42,10,10,0,47,4,24,0,628,202,7,1,0,5,25,27,0,29,5,232,12,36,0,84,0,1,0,771,433,14,0,0,14,0,0,0,27,3438,5858,275,75,0,492,121,484,892,0,14,404,750,108,9,0,282,0,0,0,63,92,1407,0,390,737,268,84,13,13,80,0,29,9,0,241,867906,853629,767844,51904,5342,4325,412,23802,14277,2575,11702,13646,3522,5918,1043,297,2866,621,10
