SummaryLevel,State,StateFIPS,CountyFIPS,PlaceFIPS,CBSACode,CongressDistrict,GEOID,AreaName,B02001_001,B02001_002,B02001_003,B02001_004,B02001_005,B02001_006,B02001_007,B02001_008,B02001_009,B02001_010,B02008_001,B02009_001,B02010_001,B02011_001,B02012_001,B02013_001,B02014_001,B02014_002,B02014_003,B02014_004,B02014_005,B02014_006,B02014_007,B02014_008,B02014_009,B02014_010,B02014_011,B02014_012,B02014_013,B02014_014,B02014_015,B02014_016,B02014_017,B02014_018,B02014_019,B02014_020,B02014_021,B02014_022,B02014_023,B02014_024,B02014_025,B02014_026,B02014_027,B02014_028,B02014_029,B02014_030,B02014_031,B02014_032,B02014_033,B02014_034,B02014_035,B02014_036,B02014_037,B02014_038,B02014_039,B02014_040,B02014_041,B02014_042,B02014_043,B02014_044,B02014_045,B02014_046,B02014_047,B02014_048,B02014_049,B02014_050,B02014_051,B02014_052,B02014_053,B02014_054,B02014_055,B02015_001,B02015_002,B02015_003,B02015_004,B02015_005,B02015_006,B02015_007,B02015_008,B02015_009,B02015_010,B02015_011,B02015_012,B02015_013,B02015_014,B02015_015,B02015_016,B02015_017,B02015_018,B02015_019,B02015_020,B02015_021,B02015_022,B02015_023,B02015_024,B02015_025,B02016_001,B02016_002,B02016_003,B02016_004,B02016_005,B02016_006,B02016_007,B02016_008,B02016_009,B02016_010,B02016_011,B02016_012,B02017_001,B02017_002,B02017_003,B02017_004,B02017_005,B02017_006,B02017_007,B02017_008,B02017_009,B02017_010,B02017_011,B02017_012,B02017_013,B02017_014,B02017_015,B02017_016,B02017_017,B02017_018,B02017_019,B02017_020,B02017_021,B02017_022,B02017_023,B02017_024,B02017_025,B02017_026,B02017_027,B02017_028,B02017_029,B02017_030,B02017_031,B02017_032,B02017_033,B02017_034,B02017_035,B02017_036,B02017_037,B02017_038,B02017_039,B02017_040,B02017_041,B02017_042,B02017_043,B02017_044,B02017_045,B02017_046,B02017_047,B02017_048,B02017_049,B02017_050,B02017_051,B02017_052,B02017_053,B02017_054,B02018_001,B02018_002,B02018_003,B02018_004,B02018_005,B02018_006,B02018_007,B02018_008,B02018_009,B02018_010,B02018_011,B02018_012,B02018_013,B02018_014,B02018_015,B02018_016,B02018_017,B02018_018,B02018_019,B02018_020,B02018_021,B02018_022,B02018_023,B02018_024,B02019_001,B02019_002,B02019_003,B02019_004,B02019_005,B02019_006,B02019_007,B02019_008,B02019_009,B02019_010,B02019_011,C02003_001,C02003_002,C02003_003,C02003_004,C02003_005,C02003_006,C02003_007,C02003_008,C02003_009,C02003_010,C02003_011,C02003_012,C02003_013,C02003_014,C02003_015,C02003_016,C02003_017,C02003_018,C02003_019
40,VA,51,,,,,04000US51,Virginia,8310301,5712958,1596352,21948,502878,5494,190972,279699,30698,249001,5949652,1732611,82256,608265,17364,224988,21948,14726,291,35,322,55,306,3564,18,152,363,437,0,59,9,365,13,50,19,0,432,41,635,33,1182,387,29,82,20,11,191,28,27,53,23,427,803,183,0,0,0,70,0,4011,1366,472,101,99,138,112,14,8,21,4695,668,502878,125396,7794,939,1557,8039,68793,72606,387,1562,11434,69101,3191,815,2419,7611,0,33452,1618,3044,8197,60174,82,5427,9240,5494,1531,924,94,120,1934,60,499,42,0,257,33,85820,61847,1450,106,4082,326,491,25374,283,445,998,1854,7,276,144,1136,364,206,173,24,2172,141,1249,53,1868,1067,239,199,50,59,413,139,27,422,134,2014,2325,503,0,10,0,339,0,10685,4281,760,152,126,244,168,48,22,49,18883,622422,135807,8330,953,1749,9477,85446,103620,523,2339,24550,85289,4422,1169,2669,7882,36,35437,1782,3872,11782,68088,157,27043,17762,4589,1843,128,405,3705,195,614,106,20,6157,8310301,8030602,5712958,1596352,21948,502878,5494,190972,279699,30698,249001,256223,88401,31080,75149,12917,48676,21871,1605
40,VA,51,,,,,04001US51,Virginia -- Urban,6311202,4053266,1334878,16913,483908,4783,175879,241575,27619,213956,4255638,1451056,65590,580890,15533,206358,16913,10935,232,35,305,23,300,2738,15,150,273,312,0,45,9,288,13,0,19,0,306,41,507,8,1137,323,21,71,0,0,87,28,27,3,23,271,729,183,0,0,0,70,0,2343,1080,429,101,99,138,69,14,8,14,3859,596,483908,119043,7715,939,1456,7666,65942,69934,387,1531,10886,66661,2982,762,2341,7386,0,32653,1564,2953,7925,59077,81,5138,8886,4783,1362,666,91,120,1736,51,486,30,0,217,24,68273,48939,1096,106,3571,157,481,19790,266,384,879,1548,7,222,137,960,330,147,173,13,1759,103,990,22,1701,853,204,182,30,18,309,62,27,299,134,1587,2132,497,0,10,0,311,0,7442,3201,673,152,126,244,81,48,22,39,15421,594145,128869,8245,953,1611,8960,81432,99027,523,2183,22300,81277,4068,1115,2580,7637,36,34436,1685,3699,11373,66696,153,25287,15902,4219,1454,125,397,3294,186,601,43,20,5563,6311202,6069627,4053266,1334878,16913,483908,4783,175879,241575,27619,213956,220674,73034,23056,68989,11248,44347,19569,1332
40,VA,51,,,,,04043US51,Virginia -- Rural,1999099,1659692,261474,5035,18970,711,15093,38124,3079,35045,1694014,281555,16666,27375,1831,18630,5035,3791,59,0,17,32,6,826,3,2,90,125,0,14,0,77,0,50,0,0,126,0,128,25,45,64,8,11,20,11,104,0,0,50,0,156,74,0,0,0,0,0,0,1668,286,43,0,0,0,43,0,0,7,836,72,18970,6353,79,0,101,373,2851,2672,0,31,548,2440,209,53,78,225,0,799,54,91,272,1097,1,289,354,711,169,258,3,0,198,9,13,12,0,40,9,17547,12908,354,0,511,169,10,5584,17,61,119,306,0,54,7,176,34,59,0,11,413,38,259,31,167,214,35,17,20,41,104,77,0,123,0,427,193,6,0,0,0,28,0,3243,1080,87,0,0,0,87,0,0,10,3462,28277,6938,85,0,138,517,4014,4593,0,156,2250,4012,354,54,89,245,0,1001,97,173,409,1392,4,1756,1860,370,389,3,8,411,9,13,63,0,594,1999099,1960975,1659692,261474,5035,18970,711,15093,38124,3079,35045,35549,15367,8024,6160,1669,4329,2302,273
40,VA,51,,,,,040A0US51,Virginia -- In metropolitan or micropolitan statistical area,7527485,5100808,1452088,20346,498181,5346,185163,265553,29399,236154,5325127,1579794,76110,601472,16807,217582,20346,13784,284,35,322,55,306,3261,13,152,327,419,0,59,9,365,13,40,19,0,411,41,611,33,1163,375,29,82,20,11,191,28,27,53,23,305,770,183,0,0,0,70,0,3679,1258,472,101,99,138,112,14,8,21,4156,655,498181,124740,7745,939,1449,7757,68149,71805,387,1562,10855,68597,3172,801,2419,7554,0,33368,1609,3019,8151,59555,82,5327,9139,5346,1490,879,94,103,1895,60,499,36,0,257,33,79131,57309,1255,106,3731,316,491,23082,278,443,938,1712,0,261,137,1129,364,191,173,24,2123,141,1180,39,1810,1031,237,199,50,29,413,139,27,381,134,1788,2273,503,0,10,0,339,0,9832,3798,760,152,126,244,168,48,22,49,17215,615427,135005,8281,953,1641,9177,84594,102019,523,2329,23570,84610,4287,1151,2669,7825,36,35331,1773,3847,11716,67359,157,26574,17205,4506,1779,119,388,3645,195,614,71,20,5868,7527485,7261932,5100808,1452088,20346,498181,5346,185163,265553,29399,236154,243210,82198,28266,73758,12103,46885,20887,1456
40,VA,51,,,,,040C0US51,Virginia -- In metropolitan statistical area,7254250,4893543,1396351,20080,496668,5278,181449,260881,28917,231964,5113943,1521055,74584,599169,16631,213329,20080,13619,284,35,322,55,306,3200,13,152,327,419,0,59,9,359,13,40,19,0,411,41,603,33,1158,369,29,82,20,11,191,28,27,53,23,305,749,183,0,0,0,70,0,3621,1258,472,101,99,138,112,14,8,21,4078,632,496668,124306,7745,939,1449,7731,67933,71499,387,1555,10774,68439,3172,801,2419,7534,0,33239,1609,2982,8146,59495,82,5304,9128,5278,1459,879,94,103,1884,60,490,36,0,240,33,77388,55923,1046,106,3604,316,491,22289,278,443,938,1669,0,261,137,1123,364,191,173,24,2091,141,1153,39,1805,1025,221,199,50,29,413,139,27,369,134,1770,2244,503,0,10,0,339,0,9769,3783,722,130,126,228,168,48,22,49,16911,613105,134536,8281,953,1641,9151,84337,101599,523,2194,23288,84303,4287,1151,2669,7805,36,35196,1773,3810,11698,67268,157,26449,17029,4444,1779,119,388,3616,195,605,71,20,5792,7254250,6993369,4893543,1396351,20080,496668,5278,181449,260881,28917,231964,238792,80056,27399,73381,11864,46092,20649,1440
40,VA,51,,,,,040C1US51,Virginia -- In metropolitan statistical area -- in principal city,2213179,1341092,622535,7238,107840,1893,46930,85651,8833,76818,1411102,669496,26379,137655,5783,56843,7238,4620,101,0,184,23,39,1298,13,71,156,137,0,24,9,27,0,0,0,0,85,0,301,32,667,153,0,59,0,0,32,7,0,0,13,107,135,6,0,0,0,16,0,925,466,160,22,4,81,44,9,0,0,1620,372,107840,16637,1925,356,869,1467,17855,31723,130,367,3812,9814,759,259,1124,1847,0,3173,582,871,1574,8934,40,1133,2589,1893,748,201,0,71,651,11,147,6,0,58,0,27640,20303,422,16,1828,120,55,8075,204,199,382,528,0,85,15,401,208,60,54,13,694,27,509,32,904,452,64,170,20,18,89,7,0,142,22,828,510,23,0,0,0,62,0,3065,1373,248,34,18,129,44,9,14,25,5691,141394,19586,2148,370,959,2077,22295,43119,186,510,7929,13804,957,323,1309,1976,15,3447,667,1229,2879,10743,40,4826,5846,1786,379,25,221,1190,47,165,19,20,1994,2213179,2127528,1341092,622535,7238,107840,1893,46930,85651,8833,76818,77753,28783,8259,20083,5760,14868,7395,503
40,VA,51,,,,,040C2US51,Virginia -- In metropolitan statistical area -- not in principal city,5041071,3552451,773816,12842,388828,3385,134519,175230,20084,155146,3702841,851559,48205,461514,10848,156486,12842,8999,183,35,138,32,267,1902,0,81,171,282,0,35,0,332,13,40,19,0,326,41,302,1,491,216,29,23,20,11,159,21,27,53,10,198,614,177,0,0,0,54,0,2696,792,312,79,95,57,68,5,8,21,2458,260,388828,107669,5820,583,580,6264,50078,39776,257,1188,6962,58625,2413,542,1295,5687,0,30066,1027,2111,6572,50561,42,4171,6539,3385,711,678,94,32,1233,49,343,30,0,182,33,49748,35620,624,90,1776,196,436,14214,74,244,556,1141,0,176,122,722,156,131,119,11,1397,114,644,7,901,573,157,29,30,11,324,132,27,227,112,942,1734,480,0,10,0,277,0,6704,2410,474,96,108,99,124,39,8,24,11220,471711,114950,6133,583,682,7074,62042,58480,337,1684,15359,70499,3330,828,1360,5829,21,31749,1106,2581,8819,56525,117,21623,11183,2658,1400,94,167,2426,148,440,52,0,3798,5041071,4865841,3552451,773816,12842,388828,3385,134519,175230,20084,155146,161039,51273,19140,53298,6104,31224,13254,937
40,VA,51,,,,,040E0US51,Virginia -- In micropolitan statistical area,273235,207265,55737,266,1513,68,3714,4672,482,4190,211184,58739,1526,2303,176,4253,266,165,0,0,0,0,0,61,0,0,0,0,0,0,0,6,0,0,0,0,0,0,8,0,5,6,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,58,0,0,0,0,0,0,0,0,0,78,23,1513,434,0,0,0,26,216,306,0,7,81,158,0,0,0,20,0,129,0,37,5,60,0,23,11,68,31,0,0,0,11,0,9,0,0,17,0,1743,1386,209,0,127,0,0,793,0,0,0,43,0,0,0,6,0,0,0,0,32,0,27,0,5,6,16,0,0,0,0,0,0,12,0,18,29,0,0,0,0,0,0,63,15,38,22,0,16,0,0,0,0,304,2322,469,0,0,0,26,257,420,0,135,282,307,0,0,0,20,0,135,0,37,18,91,0,125,176,62,0,0,0,29,0,9,0,0,76,273235,268563,207265,55737,266,1513,68,3714,4672,482,4190,4418,2142,867,377,239,793,238,16
40,VA,51,,,,,040E1US51,Virginia -- In micropolitan statistical area -- in principal city,61373,30230,28177,103,526,9,1008,1320,223,1097,31277,29105,412,665,42,1255,103,72,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,6,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,8,23,526,225,0,0,0,0,113,34,0,0,25,19,0,0,0,17,0,61,0,24,2,6,0,0,0,9,0,0,0,0,0,0,9,0,0,0,0,439,346,17,0,78,0,0,152,0,0,0,28,0,0,0,0,0,0,0,0,5,0,27,0,0,6,0,0,0,0,0,0,0,12,0,0,4,0,0,0,0,0,0,17,9,38,22,0,16,0,0,0,0,46,673,229,0,0,0,0,117,42,0,0,25,59,0,0,0,17,0,67,0,24,2,6,0,85,42,13,0,0,0,0,0,9,0,0,20,61373,60053,30230,28177,103,526,9,1008,1320,223,1097,1265,685,168,24,110,278,51,4
40,VA,51,,,,,040E2US51,Virginia -- In micropolitan statistical area -- not in principal city,211862,177035,27560,163,987,59,2706,3352,259,3093,179907,29634,1114,1638,134,2998,163,93,0,0,0,0,0,19,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,70,0,987,209,0,0,0,26,103,272,0,7,56,139,0,0,0,3,0,68,0,13,3,54,0,23,11,59,31,0,0,0,11,0,0,0,0,17,0,1304,1040,192,0,49,0,0,641,0,0,0,15,0,0,0,6,0,0,0,0,27,0,0,0,5,0,16,0,0,0,0,0,0,0,0,18,25,0,0,0,0,0,0,46,6,0,0,0,0,0,0,0,0,258,1649,240,0,0,0,26,140,378,0,135,257,248,0,0,0,3,0,68,0,13,16,85,0,40,134,49,0,0,0,29,0,0,0,0,56,211862,208510,177035,27560,163,987,59,2706,3352,259,3093,3153,1457,699,353,129,515,187,12
