SummaryLevel,State,StateFIPS,CountyFIPS,PlaceFIPS,CBSACode,CongressDistrict,GEOID,AreaName,B02001_001,B02001_002,B02001_003,B02001_004,B02001_005,B02001_006,B02001_007,B02001_008,B02001_009,B02001_010,B02008_001,B02009_001,B02010_001,B02011_001,B02012_001,B02013_001,B02014_001,B02014_002,B02014_003,B02014_004,B02014_005,B02014_006,B02014_007,B02014_008,B02014_009,B02014_010,B02014_011,B02014_012,B02014_013,B02014_014,B02014_015,B02014_016,B02014_017,B02014_018,B02014_019,B02014_020,B02014_021,B02014_022,B02014_023,B02014_024,B02014_025,B02014_026,B02014_027,B02014_028,B02014_029,B02014_030,B02014_031,B02014_032,B02014_033,B02014_034,B02014_035,B02014_036,B02014_037,B02014_038,B02014_039,B02014_040,B02014_041,B02014_042,B02014_043,B02014_044,B02014_045,B02014_046,B02014_047,B02014_048,B02014_049,B02014_050,B02014_051,B02014_052,B02014_053,B02014_054,B02014_055,B02015_001,B02015_002,B02015_003,B02015_004,B02015_005,B02015_006,B02015_007,B02015_008,B02015_009,B02015_010,B02015_011,B02015_012,B02015_013,B02015_014,B02015_015,B02015_016,B02015_017,B02015_018,B02015_019,B02015_020,B02015_021,B02015_022,B02015_023,B02015_024,B02015_025,B02016_001,B02016_002,B02016_003,B02016_004,B02016_005,B02016_006,B02016_007,B02016_008,B02016_009,B02016_010,B02016_011,B02016_012,B02017_001,B02017_002,B02017_003,B02017_004,B02017_005,B02017_006,B02017_007,B02017_008,B02017_009,B02017_010,B02017_011,B02017_012,B02017_013,B02017_014,B02017_015,B02017_016,B02017_017,B02017_018,B02017_019,B02017_020,B02017_021,B02017_022,B02017_023,B02017_024,B02017_025,B02017_026,B02017_027,B02017_028,B02017_029,B02017_030,B02017_031,B02017_032,B02017_033,B02017_034,B02017_035,B02017_036,B02017_037,B02017_038,B02017_039,B02017_040,B02017_041,B02017_042,B02017_043,B02017_044,B02017_045,B02017_046,B02017_047,B02017_048,B02017_049,B02017_050,B02017_051,B02017_052,B02017_053,B02017_054,B02018_001,B02018_002,B02018_003,B02018_004,B02018_005,B02018_006,B02018_007,B02018_008,B02018_009,B02018_010,B02018_011,B02018_012,B02018_013,B02018_014,B02018_015,B02018_016,B02018_017,B02018_018,B02018_019,B02018_020,B02018_021,B02018_022,B02018_023,B02018_024,B02019_001,B02019_002,B02019_003,B02019_004,B02019_005,B02019_006,B02019_007,B02019_008,B02019_009,B02019_010,B02019_011,C02003_001,C02003_002,C02003_003,C02003_004,C02003_005,C02003_006,C02003_007,C02003_008,C02003_009,C02003_010,C02003_011,C02003_012,C02003_013,C02003_014,C02003_015,C02003_016,C02003_017,C02003_018,C02003_019
40,WA,53,,,,,04000US53,Washington,7073146,5470566,256990,94026,552032,44870,276959,377703,35229,342474,5803653,370996,212011,705221,82547,318482,94026,73719,779,352,2202,969,163,3971,456,272,2325,1261,6965,127,297,392,283,123,137,31,327,73,132,64,2913,1467,221,44,275,120,399,273,12664,77,78,2730,223,136,16,150,7943,188,45,22056,1638,5828,652,1001,1034,2170,320,651,458,10198,2185,552032,88139,677,1358,2581,20730,112040,95420,1992,3647,37643,62911,9508,596,1119,2583,140,4744,673,6155,6033,71547,221,3328,18247,44870,6924,12976,1575,470,10063,2815,3595,3099,13,1390,1950,220427,165315,3179,544,11372,2341,616,28241,848,1428,7026,5276,9621,670,829,1351,769,533,304,101,1531,269,344,133,4883,2746,838,118,457,237,717,628,18780,800,360,7220,693,317,64,357,10069,400,187,38118,5028,14019,1276,2904,1835,5839,957,1208,952,35113,738655,96612,815,1421,2769,26985,143762,150817,2577,5485,77716,86899,13082,1103,1420,2812,400,5457,891,8251,11221,84062,330,13768,86437,23578,19697,2554,1323,16175,3218,5184,3827,76,10805,7073146,6695443,5470566,256990,94026,552032,44870,276959,377703,35229,342474,339392,71097,82841,106595,8619,70240,35062,3249
40,WA,53,,,,,04001US53,Washington -- Urban,5974943,4497562,249326,60843,538492,43001,243803,341916,32056,309860,4797235,356878,160224,681712,77620,281731,60843,44520,595,299,1882,812,20,3220,338,238,1666,973,2395,109,201,282,239,123,135,19,221,62,108,55,2664,1237,196,44,275,120,251,214,7832,56,49,2213,218,111,16,150,3457,122,37,11266,1172,4763,514,828,781,1844,250,546,401,8122,1865,538492,87281,674,1358,2554,20351,109714,92512,1712,3505,35671,60759,9368,596,1119,2574,140,4607,620,6105,5800,70161,221,3190,17900,43001,6294,12740,1557,470,9551,2775,3445,2883,13,1378,1895,167233,121290,2766,452,9809,1911,450,23493,717,1319,5788,4517,3862,640,651,1103,681,471,302,89,1322,255,271,113,4449,2406,711,102,442,237,546,519,12780,621,225,6339,657,221,64,284,5232,282,179,24012,4021,11701,1093,2360,1508,4873,792,1075,810,29411,714372,95403,807,1421,2742,26522,139960,144240,2292,5221,73117,83520,12846,1103,1395,2803,400,5277,828,8054,10800,82171,330,13120,81238,21496,19135,2477,1312,15299,3175,5016,3482,74,9772,5974943,5633027,4497562,249326,60843,538492,43001,243803,341916,32056,309860,306559,66657,67120,99702,8158,64922,32565,2792
40,WA,53,,,,,04043US53,Washington -- Rural,1098203,973004,7664,33183,13540,1869,33156,35787,3173,32614,1006418,14118,51787,23509,4927,36751,33183,29199,184,53,320,157,143,751,118,34,659,288,4570,18,96,110,44,0,2,12,106,11,24,9,249,230,25,0,0,0,148,59,4832,21,29,517,5,25,0,0,4486,66,8,10790,466,1065,138,173,253,326,70,105,57,2076,320,13540,858,3,0,27,379,2326,2908,280,142,1972,2152,140,0,0,9,0,137,53,50,233,1386,0,138,347,1869,630,236,18,0,512,40,150,216,0,12,55,53194,44025,413,92,1563,430,166,4748,131,109,1238,759,5759,30,178,248,88,62,2,12,209,14,73,20,434,340,127,16,15,0,171,109,6000,179,135,881,36,96,0,73,4837,118,8,14106,1007,2318,183,544,327,966,165,133,142,5702,24283,1209,8,0,27,463,3802,6577,285,264,4599,3379,236,0,25,9,0,180,63,197,421,1891,0,648,5199,2082,562,77,11,876,43,168,345,2,1033,1098203,1062416,973004,7664,33183,13540,1869,33156,35787,3173,32614,32833,4440,15721,6893,461,5318,2497,457
40,WA,53,,,,,040A0US53,Washington -- In metropolitan or micropolitan statistical area,6919538,5338156,256094,86861,550233,44539,271542,372113,34887,337226,5666109,369181,201227,702130,81911,312574,86861,67338,764,352,2164,936,163,3774,453,272,2261,1201,2881,122,268,368,281,123,137,31,308,73,132,64,2913,1438,221,44,275,120,399,264,12612,77,78,2657,223,136,16,150,7511,188,45,20843,1586,5660,612,984,1024,2122,298,620,458,9842,1977,550233,88027,674,1358,2581,20620,111805,95097,1992,3612,37367,62717,9407,596,1119,2583,140,4744,673,6128,5976,71334,221,3314,18148,44539,6888,12877,1575,470,9968,2800,3559,3049,13,1390,1950,209337,155745,3142,520,11206,2239,616,27383,837,1420,6819,5124,4790,654,800,1297,715,533,304,101,1474,269,344,133,4839,2700,838,118,457,237,692,619,18578,750,360,7005,684,317,64,357,9520,400,187,36303,4884,13641,1236,2836,1825,5655,925,1164,951,34116,735385,96484,812,1421,2769,26793,143323,150185,2577,5442,77006,86651,12933,1103,1420,2812,400,5457,890,8206,11144,83528,330,13699,85801,23473,19543,2547,1318,16064,3203,5148,3763,74,10668,6919538,6547425,5338156,256094,86861,550233,44539,271542,372113,34887,337226,334318,70581,79831,105743,8472,69691,34610,3185
40,WA,53,,,,,040C0US53,Washington -- In metropolitan statistical area,6356530,4864782,248231,74766,536811,43481,238656,349803,31959,317844,5172307,357121,178870,682765,78819,276342,74766,57663,544,352,2092,890,163,3401,367,269,1938,1057,2454,111,249,364,280,123,137,31,299,73,90,47,2491,1358,221,31,275,110,343,251,11106,77,78,2469,206,131,16,150,7397,188,45,15389,1520,4906,488,911,795,1822,280,610,435,8544,1698,536811,86981,674,1358,2547,20216,108468,91245,1990,3503,35926,61176,9266,553,1119,2473,140,4710,659,6092,5829,70745,189,3219,17733,43481,6569,12576,1546,470,9717,2800,3499,3003,13,1359,1929,186203,138064,2705,520,10486,2017,606,25024,725,1289,6020,4768,4256,626,747,1191,700,517,304,101,1390,266,300,105,4153,2593,813,91,451,227,598,589,16430,684,314,6514,647,312,64,339,9312,353,73,28844,4330,12053,1075,2627,1505,4993,740,1113,900,30856,715404,95299,812,1421,2735,26265,139313,143931,2570,5282,74097,84314,12476,1036,1408,2702,390,5396,876,8088,10914,82478,298,13303,82626,22358,18889,2485,1310,15441,3203,5070,3704,74,10092,6356530,6006727,4864782,248231,74766,536811,43481,238656,349803,31959,317844,313531,67606,71018,101576,8239,65092,33136,3136
40,WA,53,,,,,040C1US53,Washington -- In metropolitan statistical area -- in principal city,2603260,1873778,134133,26569,283278,20010,107409,158083,13636,144447,2012184,188989,70953,348889,34569,123762,26569,18696,263,99,1080,521,3,1465,120,114,675,414,1149,56,155,124,63,75,20,19,73,0,34,38,1191,605,67,0,158,110,76,35,2903,35,27,854,134,43,0,17,923,14,6,4938,648,2026,194,237,455,748,118,274,168,4338,693,283278,48119,500,449,1463,9725,64867,44232,752,1544,19015,24935,5057,374,535,1464,58,2436,245,3810,2826,39526,174,1637,9535,20010,2951,5495,1018,153,2896,2197,1782,1908,0,575,1035,74229,52884,1230,172,5103,1012,354,11479,191,670,2507,2176,2038,295,306,504,392,157,78,47,603,27,95,56,1771,1072,157,12,276,184,219,198,4131,359,65,2563,413,58,0,51,1831,65,6,9961,1704,4963,474,884,829,2020,300,456,357,14321,365040,52389,593,465,1537,12746,80312,66552,926,2331,36402,34551,6965,707,696,1579,113,2839,349,4852,5201,45435,221,7279,36523,9023,8889,1668,661,5094,2316,2545,2181,0,4146,2603260,2445177,1873778,134133,26569,283278,20010,107409,158083,13636,144447,141666,34723,28117,46592,4398,27836,14981,1436
40,WA,53,,,,,040C2US53,Washington -- In metropolitan statistical area -- not in principal city,3753270,2991004,114098,48197,253533,23471,131247,191720,18323,173397,3160123,168132,107917,333876,44250,152580,48197,38967,281,253,1012,369,160,1936,247,155,1263,643,1305,55,94,240,217,48,117,12,226,73,56,9,1300,753,154,31,117,0,267,216,8203,42,51,1615,72,88,16,133,6474,174,39,10451,872,2880,294,674,340,1074,162,336,267,4206,1005,253533,38862,174,909,1084,10491,43601,47013,1238,1959,16911,36241,4209,179,584,1009,82,2274,414,2282,3003,31219,15,1582,8198,23471,3618,7081,528,317,6821,603,1717,1095,13,784,894,111974,85180,1475,348,5383,1005,252,13545,534,619,3513,2592,2218,331,441,687,308,360,226,54,787,239,205,49,2382,1521,656,79,175,43,379,391,12299,325,249,3951,234,254,64,288,7481,288,67,18883,2626,7090,601,1743,676,2973,440,657,543,16535,350364,42910,219,956,1198,13519,59001,77379,1644,2951,37695,49763,5511,329,712,1123,277,2557,527,3236,5713,37043,77,6024,46103,13335,10000,817,649,10347,887,2525,1523,74,5946,3753270,3561550,2991004,114098,48197,253533,23471,131247,191720,18323,173397,171865,32883,42901,54984,3841,37256,18155,1700
40,WA,53,,,,,040E0US53,Washington -- In micropolitan statistical area,563008,473374,7863,12095,13422,1058,32886,22310,2928,19382,493802,12060,22357,19365,3092,36232,12095,9675,220,0,72,46,0,373,86,3,323,144,427,11,19,4,1,0,0,0,9,0,42,17,422,80,0,13,0,10,56,13,1506,0,0,188,17,5,0,0,114,0,0,5454,66,754,124,73,229,300,18,10,23,1298,279,13422,1046,0,0,34,404,3337,3852,2,109,1441,1541,141,43,0,110,0,34,14,36,147,589,32,95,415,1058,319,301,29,0,251,0,60,46,0,31,21,23134,17681,437,0,720,222,10,2359,112,131,799,356,534,28,53,106,15,16,0,0,84,3,44,28,686,107,25,27,6,10,94,30,2148,66,46,491,37,5,0,18,208,47,114,7459,554,1588,161,209,320,662,185,51,51,3260,19981,1185,0,0,34,528,4010,6254,7,160,2909,2337,457,67,12,110,10,61,14,118,230,1050,32,396,3175,1115,654,62,8,623,0,78,59,0,576,563008,540698,473374,7863,12095,13422,1058,32886,22310,2928,19382,20787,2975,8813,4167,233,4599,1474,49
40,WA,53,,,,,040E1US53,Washington -- In micropolitan statistical area -- in principal city,165565,133870,3809,2413,7805,578,8024,9066,1517,7549,141913,5640,5354,11202,1530,9750,2413,1750,47,0,39,0,0,134,10,0,62,0,76,11,0,0,0,0,0,0,0,0,0,17,155,0,0,13,0,10,0,0,191,0,0,68,5,0,0,0,23,0,0,889,10,143,96,22,2,23,0,0,0,460,50,7805,881,0,0,0,165,2130,2217,0,28,804,657,45,43,0,110,0,34,10,28,50,337,32,19,215,578,84,253,29,0,72,0,52,46,0,21,21,5487,3888,220,0,245,6,0,491,35,0,296,14,109,28,28,31,0,0,0,0,27,0,0,17,209,2,0,13,0,10,14,17,300,3,0,233,15,0,0,0,35,0,10,1480,165,306,96,31,53,89,26,11,0,1128,11572,916,0,0,0,191,2607,3538,0,71,1627,988,318,67,12,110,10,34,10,98,60,660,32,223,1585,402,460,62,8,228,0,63,59,0,303,165565,156499,133870,3809,2413,7805,578,8024,9066,1517,7549,8310,1153,2402,2259,123,2373,755,1
40,WA,53,,,,,040E2US53,Washington -- In micropolitan statistical area -- not in principal city,397443,339504,4054,9682,5617,480,24862,13244,1411,11833,351889,6420,17003,8163,1562,26482,9682,7925,173,0,33,46,0,239,76,3,261,144,351,0,19,4,1,0,0,0,9,0,42,0,267,80,0,0,0,0,56,13,1315,0,0,120,12,5,0,0,91,0,0,4565,56,611,28,51,227,277,18,10,23,838,229,5617,165,0,0,34,239,1207,1635,2,81,637,884,96,0,0,0,0,0,4,8,97,252,0,76,200,480,235,48,0,0,179,0,8,0,0,10,0,17647,13793,217,0,475,216,10,1868,77,131,503,342,425,0,25,75,15,16,0,0,57,3,44,11,477,105,25,14,6,0,80,13,1848,63,46,258,22,5,0,18,173,47,104,5979,389,1282,65,178,267,573,159,40,51,2132,8409,269,0,0,34,337,1403,2716,7,89,1282,1349,139,0,0,0,0,27,4,20,170,390,0,173,1590,713,194,0,0,395,0,15,0,0,273,397443,384199,339504,4054,9682,5617,480,24862,13244,1411,11833,12477,1822,6411,1908,110,2226,719,48
