SummaryLevel,State,StateFIPS,CountyFIPS,PlaceFIPS,CBSACode,CongressDistrict,GEOID,AreaName,B01001_001,B01001_002,B01001_003,B01001_004,B01001_005,B01001_006,B01001_007,B01001_008,B01001_009,B01001_010,B01001_011,B01001_012,B01001_013,B01001_014,B01001_015,B01001_016,B01001_017,B01001_018,B01001_019,B01001_020,B01001_021,B01001_022,B01001_023,B01001_024,B01001_025,B01001_026,B01001_027,B01001_028,B01001_029,B01001_030,B01001_031,B01001_032,B01001_033,B01001_034,B01001_035,B01001_036,B01001_037,B01001_038,B01001_039,B01001_040,B01001_041,B01001_042,B01001_043,B01001_044,B01001_045,B01001_046,B01001_047,B01001_048,B01001_049,B01001A_001,B01001A_002,B01001A_003,B01001A_004,B01001A_005,B01001A_006,B01001A_007,B01001A_008,B01001A_009,B01001A_010,B01001A_011,B01001A_012,B01001A_013,B01001A_014,B01001A_015,B01001A_016,B01001A_017,B01001A_018,B01001A_019,B01001A_020,B01001A_021,B01001A_022,B01001A_023,B01001A_024,B01001A_025,B01001A_026,B01001A_027,B01001A_028,B01001A_029,B01001A_030,B01001A_031,B01001B_001,B01001B_002,B01001B_003,B01001B_004,B01001B_005,B01001B_006,B01001B_007,B01001B_008,B01001B_009,B01001B_010,B01001B_011,B01001B_012,B01001B_013,B01001B_014,B01001B_015,B01001B_016,B01001B_017,B01001B_018,B01001B_019,B01001B_020,B01001B_021,B01001B_022,B01001B_023,B01001B_024,B01001B_025,B01001B_026,B01001B_027,B01001B_028,B01001B_029,B01001B_030,B01001B_031,B01001C_001,B01001C_002,B01001C_003,B01001C_004,B01001C_005,B01001C_006,B01001C_007,B01001C_008,B01001C_009,B01001C_010,B01001C_011,B01001C_012,B01001C_013,B01001C_014,B01001C_015,B01001C_016,B01001C_017,B01001C_018,B01001C_019,B01001C_020,B01001C_021,B01001C_022,B01001C_023,B01001C_024,B01001C_025,B01001C_026,B01001C_027,B01001C_028,B01001C_029,B01001C_030,B01001C_031,B01001D_001,B01001D_002,B01001D_003,B01001D_004,B01001D_005,B01001D_006,B01001D_007,B01001D_008,B01001D_009,B01001D_010,B01001D_011,B01001D_012,B01001D_013,B01001D_014,B01001D_015,B01001D_016,B01001D_017,B01001D_018,B01001D_019,B01001D_020,B01001D_021,B01001D_022,B01001D_023,B01001D_024,B01001D_025,B01001D_026,B01001D_027,B01001D_028,B01001D_029,B01001D_030,B01001D_031,B01001E_001,B01001E_002,B01001E_003,B01001E_004,B01001E_005,B01001E_006,B01001E_007,B01001E_008,B01001E_009,B01001E_010,B01001E_011,B01001E_012,B01001E_013,B01001E_014,B01001E_015,B01001E_016,B01001E_017,B01001E_018,B01001E_019,B01001E_020,B01001E_021,B01001E_022,B01001E_023,B01001E_024,B01001E_025,B01001E_026,B01001E_027,B01001E_028,B01001E_029,B01001E_030,B01001E_031,B01001F_001,B01001F_002,B01001F_003,B01001F_004,B01001F_005,B01001F_006,B01001F_007,B01001F_008,B01001F_009,B01001F_010,B01001F_011,B01001F_012,B01001F_013,B01001F_014,B01001F_015,B01001F_016,B01001F_017,B01001F_018,B01001F_019,B01001F_020,B01001F_021,B01001F_022,B01001F_023,B01001F_024,B01001F_025,B01001F_026,B01001F_027,B01001F_028,B01001F_029,B01001F_030,B01001F_031,B01001G_001,B01001G_002,B01001G_003,B01001G_004,B01001G_005,B01001G_006,B01001G_007,B01001G_008,B01001G_009,B01001G_010,B01001G_011,B01001G_012,B01001G_013,B01001G_014,B01001G_015,B01001G_016,B01001G_017,B01001G_018,B01001G_019,B01001G_020,B01001G_021,B01001G_022,B01001G_023,B01001G_024,B01001G_025,B01001G_026,B01001G_027,B01001G_028,B01001G_029,B01001G_030,B01001G_031,B01001H_001,B01001H_002,B01001H_003,B01001H_004,B01001H_005,B01001H_006,B01001H_007,B01001H_008,B01001H_009,B01001H_010,B01001H_011,B01001H_012,B01001H_013,B01001H_014,B01001H_015,B01001H_016,B01001H_017,B01001H_018,B01001H_019,B01001H_020,B01001H_021,B01001H_022,B01001H_023,B01001H_024,B01001H_025,B01001H_026,B01001H_027,B01001H_028,B01001H_029,B01001H_030,B01001H_031,B01001I_001,B01001I_002,B01001I_003,B01001I_004,B01001I_005,B01001I_006,B01001I_007,B01001I_008,B01001I_009,B01001I_010,B01001I_011,B01001I_012,B01001I_013,B01001I_014,B01001I_015,B01001I_016,B01001I_017,B01001I_018,B01001I_019,B01001I_020,B01001I_021,B01001I_022,B01001I_023,B01001I_024,B01001I_025,B01001I_026,B01001I_027,B01001I_028,B01001I_029,B01001I_030,B01001I_031,B01002_001,B01002_002,B01002_003,B01002A_001,B01002A_002,B01002A_003,B01002B_001,B01002B_002,B01002B_003,B01002C_001,B01002C_002,B01002C_003,B01002D_001,B01002D_002,B01002D_003,B01002E_001,B01002E_002,B01002E_003,B01002F_001,B01002F_002,B01002F_003,B01002G_001,B01002G_002,B01002G_003,B01002H_001,B01002H_002,B01002H_003,B01002I_001,B01002I_002,B01002I_003,B01003_001
40,AR,05,,,,,04000US05,Arkansas,2968472,1456694,97806,103608,99276,60841,41841,22574,22531,59657,96753,95829,90575,91825,91401,98508,93411,34931,49676,31719,41506,52879,37145,24064,18338,1511778,93078,97685,96544,58396,40287,21224,20941,58592,97426,95308,91286,93337,93594,102388,100763,37363,54230,35078,45231,62998,44963,34675,36391,2307136,1136835,68538,73813,71866,44430,29569,76968,73220,73068,141350,154263,146690,110923,55661,16476,1170301,65565,69246,69100,42066,27461,74296,72342,71279,140078,155500,156536,124228,70277,32327,460638,219338,17663,18447,18422,11110,8688,19503,15757,15411,26518,25792,24266,11976,4264,1521,241300,16978,18085,17985,10799,8596,18920,17500,16624,30901,30595,28582,14538,7619,3578,18697,9047,526,519,594,396,463,501,608,612,1499,1234,1299,502,158,136,9650,562,580,745,432,381,572,772,701,1234,1481,1189,622,266,113,41539,19891,1356,1533,1443,834,563,2091,1802,1963,3389,2017,1704,805,364,27,21648,1172,1098,1527,840,718,1577,2189,2115,3957,2612,2283,1096,375,89,6738,3462,369,562,477,60,36,203,342,410,640,180,165,18,0,0,3276,388,521,322,187,112,206,344,494,348,139,175,35,5,0,67645,35648,3887,4336,3136,1942,1187,3166,3051,2996,5883,3604,1710,649,96,5,31997,3526,3792,3428,1811,1393,2774,2435,2484,5288,2971,1131,622,296,46,66079,32473,5467,4398,3338,2069,1335,2330,1973,1369,3121,2819,2184,1231,666,173,33606,4887,4363,3437,2261,1626,2412,1844,1611,2817,2684,2460,2166,800,238,2177900,1070357,61313,66286,64781,41013,26836,71420,67398,66996,131692,148177,143456,109386,55236,16367,1107543,58088,62103,61818,38583,25497,69504,67071,66092,131292,149496,153404,122767,69638,32190,207049,107866,11928,12820,10708,5763,4153,9099,9364,9389,16165,10094,5328,2371,570,114,99183,11704,11656,11384,5595,3493,7978,7761,7890,14378,9261,4638,2312,953,180,37.7,36.4,39.2,40.5,39.0,41.8,31.9,30.0,33.6,37.0,37.5,35.9,32.2,30.8,33.7,24.0,26.4,23.2,24.5,25.3,23.6,19.9,19.3,20.6,41.8,40.4,43.1,24.1,24.7,23.5,2968472
40,AR,05,,,,,04001US05,Arkansas -- Urban,1682979,810940,62001,61494,57098,33108,26716,15003,15229,38499,62447,59869,53484,50032,46920,48944,45011,17098,23815,14358,18353,23370,16263,11997,9831,872039,58151,58884,55444,32976,27793,14475,14769,39475,63975,60549,54909,52544,50066,53497,51624,18843,28189,17798,21837,31017,23617,18798,22809,1175256,568691,38206,37753,35647,20784,16960,46341,43420,41770,72760,70417,64740,46457,24831,8605,606565,35956,35822,34370,20455,17052,46625,43064,40711,72404,73262,73226,57549,36269,19800,363647,169978,14895,15140,15107,8803,7376,15718,12592,12313,20367,19036,16861,7932,2774,1064,193669,13941,15589,14798,8747,7422,15718,14656,14188,25281,23719,21194,10511,5238,2667,9817,4753,336,345,193,212,266,340,393,389,692,711,573,246,13,44,5064,327,335,274,147,267,404,407,400,649,840,515,284,138,77,34488,16842,1142,1225,1233,664,455,1811,1697,1760,2973,1604,1354,563,347,14,17646,1113,826,1174,690,681,1473,1998,1752,3088,2032,1687,915,139,78,6396,3243,369,561,406,60,36,203,339,388,622,141,118,0,0,0,3153,387,521,312,187,112,185,323,491,346,116,141,32,0,0,52442,27744,3306,3578,2380,1440,955,2598,2476,2341,4262,2656,1273,419,57,3,24698,2869,2871,2534,1307,1077,2294,2113,1829,3968,2342,802,408,265,19,40933,19689,3747,2892,2132,1145,668,1720,1530,908,1840,1299,1005,464,238,101,21244,3558,2920,1982,1443,1182,2020,1414,1178,1717,1252,1091,953,366,168,1074356,517115,32522,31914,30195,18235,15039,41926,38865,37041,64789,65626,62264,45501,24640,8558,557241,29841,30526,28533,17678,15579,42800,38817,36644,65079,68838,70861,56487,35855,19703,160700,83560,9596,10189,8220,4260,3016,7330,7451,7259,12774,7638,4001,1504,272,50,77140,9595,8680,8722,4264,2617,6495,6393,6075,11467,7026,3388,1624,682,112,34.3,32.8,35.8,37.1,35.4,38.9,30.2,28.0,32.1,33.6,33.2,34.0,31.2,30.5,31.8,23.2,24.6,21.3,24.0,24.3,23.6,18.7,17.8,19.3,38.8,36.8,40.9,23.9,24.3,23.4,1682979
40,AR,05,,,,,04043US05,Arkansas -- Rural,1285493,645754,35805,42114,42178,27733,15125,7571,7302,21158,34306,35960,37091,41793,44481,49564,48400,17833,25861,17361,23153,29509,20882,12067,8507,639739,34927,38801,41100,25420,12494,6749,6172,19117,33451,34759,36377,40793,43528,48891,49139,18520,26041,17280,23394,31981,21346,15877,13582,1131880,568144,30332,36060,36219,23646,12609,30627,29800,31298,68590,83846,81950,64466,30830,7871,563736,29609,33424,34730,21611,10409,27671,29278,30568,67674,82238,83310,66679,34008,12527,96991,49360,2768,3307,3315,2307,1312,3785,3165,3098,6151,6756,7405,4044,1490,457,47631,3037,2496,3187,2052,1174,3202,2844,2436,5620,6876,7388,4027,2381,911,8880,4294,190,174,401,184,197,161,215,223,807,523,726,256,145,92,4586,235,245,471,285,114,168,365,301,585,641,674,338,128,36,7051,3049,214,308,210,170,108,280,105,203,416,413,350,242,17,13,4002,59,272,353,150,37,104,191,363,869,580,596,181,236,11,342,219,0,1,71,0,0,0,3,22,18,39,47,18,0,0,123,1,0,10,0,0,21,21,3,2,23,34,3,5,0,15203,7904,581,758,756,502,232,568,575,655,1621,948,437,230,39,2,7299,657,921,894,504,316,480,322,655,1320,629,329,214,31,27,25146,12784,1720,1506,1206,924,667,610,443,461,1281,1520,1179,767,428,72,12362,1329,1443,1455,818,444,392,430,433,1100,1432,1369,1213,434,70,1103544,553242,28791,34372,34586,22778,11797,29494,28533,29955,66903,82551,81192,63885,30596,7809,550302,28247,31577,33285,20905,9918,26704,28254,29448,66213,80658,82543,66280,33783,12487,46349,24306,2332,2631,2488,1503,1137,1769,1913,2130,3391,2456,1327,867,298,64,22043,2109,2976,2662,1331,876,1483,1368,1815,2911,2235,1250,688,271,68,42.9,42.1,43.8,43.8,43.0,44.6,39.3,37.7,41.1,39.7,41.6,38.1,38.4,32.5,40.1,38.0,37.7,51.2,26.6,29.6,23.5,25.3,22.5,27.9,44.3,43.6,45.1,24.8,25.8,23.7,1285493
40,AR,05,,,,,040A0US05,Arkansas -- In metropolitan or micropolitan statistical area,2425532,1189203,82179,86355,81627,49718,34611,18905,19591,50388,82521,81409,76152,75395,74350,79115,74594,27485,38634,24199,32399,39668,28139,17925,13844,1236329,77691,81192,79385,48023,34315,17990,18220,49644,83113,80936,76500,77001,76382,82759,80440,29858,43093,27092,35107,48562,33968,26692,28366,1855138,913270,56251,60045,57823,35543,24238,64315,61373,61210,115947,123471,114935,84109,41623,12387,941868,53763,56436,55846,33802,23033,62497,60638,59313,114730,124766,123310,95301,53305,25128,396241,188370,15463,16081,16230,9668,7271,17068,14127,13496,22866,21967,20021,9551,3370,1191,207871,14637,15872,15682,9539,7431,16545,15659,15001,26953,25977,23891,11842,5976,2866,15225,7434,482,454,438,306,404,465,518,595,1211,962,976,411,118,94,7791,488,492,435,347,370,487,616,585,1040,1197,1019,451,210,54,38689,18678,1245,1431,1317,749,487,1962,1733,1924,3313,1833,1536,768,353,27,20011,1105,1012,1350,808,689,1451,2027,1982,3557,2481,2082,1056,341,70,6545,3380,361,544,472,60,36,190,339,402,623,173,164,16,0,0,3165,352,503,314,178,112,201,342,487,338,139,169,25,5,0,56794,30137,3447,3792,2487,1595,1050,2740,2574,2556,4929,2965,1396,517,89,0,26657,2815,3093,2909,1463,1151,2371,2121,2113,4387,2421,996,507,264,46,56900,27934,4930,4008,2860,1797,1125,2144,1857,1226,2658,2094,1685,894,511,145,28966,4531,3784,2849,1886,1529,2302,1710,1455,2496,2160,1924,1579,559,202,1742837,855687,49964,53734,51591,32580,22045,59587,56248,55782,107395,118059,112161,82882,41334,12325,887150,47232,50306,49366,30841,21356,58235,56118,54803,107004,119374,120643,94061,52766,25045,177623,92738,10431,11026,9154,4880,3438,7839,8168,8284,14043,8638,4480,1892,403,62,84885,9984,9906,9769,4687,2912,7026,6660,6794,12380,8029,3919,1875,818,126,36.7,35.5,38.0,39.5,38.0,40.8,31.2,29.3,32.9,36.1,36.4,35.8,32.3,31.0,33.6,24.3,26.4,23.4,24.5,24.9,24.0,19.3,18.6,19.9,40.8,39.3,42.3,24.1,24.7,23.5,2425532
40,AR,05,,,,,040C0US05,Arkansas -- In metropolitan statistical area,1822239,893040,62884,65596,62322,37689,25118,14090,14508,38757,63863,63437,58809,57793,55922,58675,55060,19906,28034,17149,22754,28798,19717,12535,9624,929199,59615,62754,59553,36260,24900,12531,13793,38405,65168,63207,59813,58511,57687,61437,59341,21879,31715,20073,24886,34863,23765,18892,20151,1379142,678505,42543,44727,43597,26458,17190,47996,46900,47358,88015,91857,83872,60099,29229,8664,700637,40734,42741,41385,25163,16346,46458,46687,45825,87269,92795,90983,68495,37738,18018,295163,140161,11736,12077,12313,7349,5239,12781,10985,10249,17394,16126,14392,6532,2220,768,155002,11049,12524,11252,7033,5416,12406,12511,11631,20818,19165,17104,8346,3897,1850,12942,6477,464,428,394,222,390,401,488,535,1061,854,781,331,74,54,6465,414,452,410,310,305,445,550,452,838,839,886,397,113,54,35281,17169,1155,1260,1176,732,481,1711,1648,1843,3120,1707,1346,645,318,27,18112,1059,971,1274,700,689,1217,1749,1780,3299,2321,1749,936,301,67,6390,3295,361,544,472,60,36,190,324,402,623,152,118,13,0,0,3095,352,503,314,178,112,199,342,487,308,116,154,25,5,0,47264,25083,2941,3318,2033,1351,855,2377,2083,1925,4161,2423,1181,386,49,0,22181,2324,2551,2503,1275,782,2085,1833,1738,3678,2076,790,376,158,12,46057,22350,3684,3242,2337,1517,927,1899,1435,1125,2228,1478,1310,695,362,111,23707,3683,3012,2415,1601,1250,1919,1496,1294,2114,1812,1269,1247,445,150,1284648,629822,37008,39164,38643,23858,15540,43993,42661,42779,80726,87170,81487,59142,29044,8607,654826,35313,37628,35970,22768,14857,42971,42916,42025,80633,88323,88617,67570,37299,17936,148869,77890,8836,9633,7349,4220,2648,6734,6747,6810,11932,7347,3849,1470,258,57,70979,8249,8120,8244,3952,2432,5918,5670,5667,10446,6757,3385,1429,612,98,36.0,34.9,37.3,38.8,37.4,40.2,30.7,28.8,32.3,32.9,33.1,32.7,32.2,31.1,33.6,23.5,24.5,22.0,24.2,24.3,24.1,19.4,18.8,19.8,40.3,38.8,41.7,24.1,24.6,23.7,1822239
40,AR,05,,,,,040C1US05,Arkansas -- In metropolitan statistical area -- in principal city,831549,405556,31109,30654,27785,16683,13397,8052,8017,21497,34051,31589,27326,26206,22346,23623,22773,8192,11718,6342,8567,9772,6592,4830,4435,425993,29046,29114,26049,15896,14372,7774,7890,21885,33219,31722,27815,26244,23874,25632,25286,9391,13344,7798,9602,12576,9396,7894,10174,542741,266066,16942,16531,15475,9438,8051,24423,22518,20865,35272,32332,30861,19689,9845,3824,276675,16241,16041,15078,8917,8242,24245,20505,19863,33362,33365,34181,23211,14691,8733,194111,90938,8088,8060,8252,5016,3639,8409,7363,6675,11163,9504,9060,4038,1147,524,103173,7600,8286,6913,4503,4034,8899,8784,7921,14035,11969,11321,5370,2267,1271,5139,2705,288,286,111,101,123,186,219,196,426,349,307,92,13,8,2434,220,205,141,43,149,166,242,195,316,348,278,125,0,6,25311,12572,864,914,883,472,390,1162,1234,1520,2303,1236,929,427,224,14,12739,872,684,869,561,577,1048,1185,1431,2295,1453,1082,536,93,53,5472,2726,220,483,400,60,36,190,261,308,578,72,118,0,0,0,2746,279,481,284,173,112,175,259,457,288,96,120,22,0,0,35744,19001,2502,2785,1479,965,692,1973,1647,1453,2646,1809,767,271,12,0,16743,2068,2018,1727,899,495,1756,1343,1289,2735,1428,596,261,116,12,23031,11548,2205,1595,1185,631,466,1223,809,572,1144,667,641,164,181,65,11483,1766,1399,1037,800,763,1260,901,566,1028,847,443,451,123,99,480563,233946,13253,12818,12485,7936,7114,21817,19523,17751,30180,29248,29183,19122,9739,3777,246617,12767,12798,11557,7198,7252,21797,17945,17314,29010,30590,32483,22662,14522,8722,102291,53740,6374,7045,4740,2647,1695,4804,4920,4678,8164,5004,2618,873,131,47,48551,5877,5396,5446,2761,1606,4365,4002,3958,7121,4373,2448,902,285,11,33.0,31.7,34.4,36.0,34.7,37.7,29.7,27.7,31.6,31.0,30.5,31.3,31.2,31.0,31.5,23.0,24.2,21.1,22.9,22.6,23.2,19.5,18.6,20.0,38.1,36.3,40.1,24.0,24.4,23.6,831549
40,AR,05,,,,,040C2US05,Arkansas -- In metropolitan statistical area -- not in principal city,990690,487484,31775,34942,34537,21006,11721,6038,6491,17260,29812,31848,31483,31587,33576,35052,32287,11714,16316,10807,14187,19026,13125,7705,5189,503206,30569,33640,33504,20364,10528,4757,5903,16520,31949,31485,31998,32267,33813,35805,34055,12488,18371,12275,15284,22287,14369,10998,9977,836401,412439,25601,28196,28122,17020,9139,23573,24382,26493,52743,59525,53011,40410,19384,4840,423962,24493,26700,26307,16246,8104,22213,26182,25962,53907,59430,56802,45284,23047,9285,101052,49223,3648,4017,4061,2333,1600,4372,3622,3574,6231,6622,5332,2494,1073,244,51829,3449,4238,4339,2530,1382,3507,3727,3710,6783,7196,5783,2976,1630,579,7803,3772,176,142,283,121,267,215,269,339,635,505,474,239,61,46,4031,194,247,269,267,156,279,308,257,522,491,608,272,113,48,9970,4597,291,346,293,260,91,549,414,323,817,471,417,218,94,13,5373,187,287,405,139,112,169,564,349,1004,868,667,400,208,14,918,569,141,61,72,0,0,0,63,94,45,80,0,13,0,0,349,73,22,30,5,0,24,83,30,20,20,34,3,5,0,11520,6082,439,533,554,386,163,404,436,472,1515,614,414,115,37,0,5438,256,533,776,376,287,329,490,449,943,648,194,115,42,0,23026,10802,1479,1647,1152,886,461,676,626,553,1084,811,669,531,181,46,12224,1917,1613,1378,801,487,659,595,728,1086,965,826,796,322,51,804085,395876,23755,26346,26158,15922,8426,22176,23138,25028,50546,57922,52304,40020,19305,4830,408209,22546,24830,24413,15570,7605,21174,24971,24711,51623,57733,56134,44908,22777,9214,46578,24150,2462,2588,2609,1573,953,1930,1827,2132,3768,2343,1231,597,127,10,22428,2372,2724,2798,1191,826,1553,1668,1709,3325,2384,937,527,327,87,39.0,37.9,40.1,40.7,39.6,41.8,32.7,31.5,33.9,36.4,37.3,35.6,36.4,31.3,39.9,27.4,27.2,28.1,28.4,31.2,25.9,19.2,19.0,19.5,41.5,40.5,42.7,24.5,24.9,24.0,990690
40,AR,05,,,,,040E0US05,Arkansas -- In micropolitan statistical area,603293,296163,19295,20759,19305,12029,9493,4815,5083,11631,18658,17972,17343,17602,18428,20440,19534,7579,10600,7050,9645,10870,8422,5390,4220,307130,18076,18438,19832,11763,9415,5459,4427,11239,17945,17729,16687,18490,18695,21322,21099,7979,11378,7019,10221,13699,10203,7800,8215,475996,234765,13708,15318,14226,9085,7048,16319,14473,13852,27932,31614,31063,24010,12394,3723,241231,13029,13695,14461,8639,6687,16039,13951,13488,27461,31971,32327,26806,15567,7110,101078,48209,3727,4004,3917,2319,2032,4287,3142,3247,5472,5841,5629,3019,1150,423,52869,3588,3348,4430,2506,2015,4139,3148,3370,6135,6812,6787,3496,2079,1016,2283,957,18,26,44,84,14,64,30,60,150,108,195,80,44,40,1326,74,40,25,37,65,42,66,133,202,358,133,54,97,0,3408,1509,90,171,141,17,6,251,85,81,193,126,190,123,35,0,1899,46,41,76,108,0,234,278,202,258,160,333,120,40,3,155,85,0,0,0,0,0,0,15,0,0,21,46,3,0,0,70,0,0,0,0,0,2,0,0,30,23,15,0,0,0,9530,5054,506,474,454,244,195,363,491,631,768,542,215,131,40,0,4476,491,542,406,188,369,286,288,375,709,345,206,131,106,34,10843,5584,1246,766,523,280,198,245,422,101,430,616,375,199,149,34,5259,848,772,434,285,279,383,214,161,382,348,655,332,114,52,458189,225865,12956,14570,12948,8722,6505,15594,13587,13003,26669,30889,30674,23740,12290,3718,232324,11919,12678,13396,8073,6499,15264,13202,12778,26371,31051,32026,26491,15467,7109,28754,14848,1595,1393,1805,660,790,1105,1421,1474,2111,1291,631,422,145,5,13906,1735,1786,1525,735,480,1108,990,1127,1934,1272,534,446,206,28,39.2,37.6,40.7,41.4,39.8,42.8,33.0,30.8,34.8,43.9,42.0,44.0,33.1,29.8,34.2,51.4,55.1,51.1,26.0,27.9,24.0,18.8,17.8,20.1,42.4,40.8,43.7,24.0,25.3,22.5,603293
40,AR,05,,,,,040E1US05,Arkansas -- In micropolitan statistical area -- in principal city,230922,110924,8293,8042,7015,3771,4876,2466,3123,5546,8726,7661,6580,6440,6058,6654,6106,2269,3286,1878,2725,3032,2529,1959,1889,119998,7732,7731,7630,4331,5500,3110,2733,5738,8104,7092,6220,6244,6131,7135,7028,2398,3850,2522,3159,4495,3846,3174,4095,156767,75350,4906,4959,4040,2054,3448,7645,6026,4927,8674,8461,8648,6106,3807,1649,81417,4573,4743,4354,2507,3499,8192,5591,4498,8194,8853,9128,8207,5657,3421,63109,29861,2546,2558,2480,1459,1337,2915,2066,2283,3795,3578,2663,1389,571,221,33248,2509,2363,2983,1636,1577,2838,2021,2206,3801,3912,3794,1809,1160,639,889,359,0,0,12,33,14,37,20,16,33,74,59,33,9,19,530,0,21,0,0,54,9,0,116,41,183,46,0,60,0,1916,911,44,70,76,5,0,240,80,46,112,85,94,27,32,0,1005,45,9,16,54,0,197,247,119,60,70,106,70,12,0,49,29,0,0,0,0,0,0,15,0,0,14,0,0,0,0,20,0,0,0,0,0,0,0,0,20,0,0,0,0,0,3769,2075,188,192,136,139,11,118,282,326,303,209,90,51,30,0,1694,141,192,110,79,204,89,191,75,243,186,37,46,94,7,4423,2339,609,263,271,81,66,180,237,63,103,291,107,29,39,0,2084,464,403,167,55,166,256,54,78,105,62,165,44,37,28,146867,70448,4598,4576,3404,1944,3145,7085,5406,4498,7953,8029,8420,5965,3781,1644,76419,3769,4274,3809,2229,3385,7730,5132,4228,7434,8357,9008,7989,5654,3421,14214,7356,782,615,792,202,320,692,946,739,1080,606,308,213,56,5,6858,1038,783,696,336,231,574,593,381,1072,608,185,264,97,0,33.7,32.2,35.2,36.4,34.6,38.2,30.2,28.9,31.5,47.5,45.5,48.7,28.9,25.7,29.3,36.5,.,.,26.9,28.8,25.4,15.7,17.0,15.3,37.7,35.7,39.9,25.1,26.4,22.4,230922
40,AR,05,,,,,040E2US05,Arkansas -- In micropolitan statistical area -- not in principal city,372371,185239,11002,12717,12290,8258,4617,2349,1960,6085,9932,10311,10763,11162,12370,13786,13428,5310,7314,5172,6920,7838,5893,3431,2331,187132,10344,10707,12202,7432,3915,2349,1694,5501,9841,10637,10467,12246,12564,14187,14071,5581,7528,4497,7062,9204,6357,4626,4120,319229,159415,8802,10359,10186,7031,3600,8674,8447,8925,19258,23153,22415,17904,8587,2074,159814,8456,8952,10107,6132,3188,7847,8360,8990,19267,23118,23199,18599,9910,3689,37969,18348,1181,1446,1437,860,695,1372,1076,964,1677,2263,2966,1630,579,202,19621,1079,985,1447,870,438,1301,1127,1164,2334,2900,2993,1687,919,377,1394,598,18,26,32,51,0,27,10,44,117,34,136,47,35,21,796,74,19,25,37,11,33,66,17,161,175,87,54,37,0,1492,598,46,101,65,12,6,11,5,35,81,41,96,96,3,0,894,1,32,60,54,0,37,31,83,198,90,227,50,28,3,106,56,0,0,0,0,0,0,0,0,0,7,46,3,0,0,50,0,0,0,0,0,2,0,0,10,23,15,0,0,0,5761,2979,318,282,318,105,184,245,209,305,465,333,125,80,10,0,2782,350,350,296,109,165,197,97,300,466,159,169,85,12,27,6420,3245,637,503,252,199,132,65,185,38,327,325,268,170,110,34,3175,384,369,267,230,113,127,160,83,277,286,490,288,77,24,311322,155417,8358,9994,9544,6778,3360,8509,8181,8505,18716,22860,22254,17775,8509,2074,155905,8150,8404,9587,5844,3114,7534,8070,8550,18937,22694,23018,18502,9813,3688,14540,7492,813,778,1013,458,470,413,475,735,1031,685,323,209,89,0,7048,697,1003,829,399,249,534,397,746,862,664,349,182,109,28,42.4,41.2,43.5,43.4,42.3,44.3,39.2,35.5,41.3,43.2,41.6,43.6,41.2,37.1,41.9,55.2,55.5,51.6,23.6,26.2,22.7,23.0,18.3,27.4,43.9,43.0,44.9,21.9,21.6,22.6,372371
