SummaryLevel,State,StateFIPS,CountyFIPS,PlaceFIPS,CBSACode,CongressDistrict,GEOID,AreaName,B01001_001,B01001_002,B01001_003,B01001_004,B01001_005,B01001_006,B01001_007,B01001_008,B01001_009,B01001_010,B01001_011,B01001_012,B01001_013,B01001_014,B01001_015,B01001_016,B01001_017,B01001_018,B01001_019,B01001_020,B01001_021,B01001_022,B01001_023,B01001_024,B01001_025,B01001_026,B01001_027,B01001_028,B01001_029,B01001_030,B01001_031,B01001_032,B01001_033,B01001_034,B01001_035,B01001_036,B01001_037,B01001_038,B01001_039,B01001_040,B01001_041,B01001_042,B01001_043,B01001_044,B01001_045,B01001_046,B01001_047,B01001_048,B01001_049,B01001A_001,B01001A_002,B01001A_003,B01001A_004,B01001A_005,B01001A_006,B01001A_007,B01001A_008,B01001A_009,B01001A_010,B01001A_011,B01001A_012,B01001A_013,B01001A_014,B01001A_015,B01001A_016,B01001A_017,B01001A_018,B01001A_019,B01001A_020,B01001A_021,B01001A_022,B01001A_023,B01001A_024,B01001A_025,B01001A_026,B01001A_027,B01001A_028,B01001A_029,B01001A_030,B01001A_031,B01001B_001,B01001B_002,B01001B_003,B01001B_004,B01001B_005,B01001B_006,B01001B_007,B01001B_008,B01001B_009,B01001B_010,B01001B_011,B01001B_012,B01001B_013,B01001B_014,B01001B_015,B01001B_016,B01001B_017,B01001B_018,B01001B_019,B01001B_020,B01001B_021,B01001B_022,B01001B_023,B01001B_024,B01001B_025,B01001B_026,B01001B_027,B01001B_028,B01001B_029,B01001B_030,B01001B_031,B01001C_001,B01001C_002,B01001C_003,B01001C_004,B01001C_005,B01001C_006,B01001C_007,B01001C_008,B01001C_009,B01001C_010,B01001C_011,B01001C_012,B01001C_013,B01001C_014,B01001C_015,B01001C_016,B01001C_017,B01001C_018,B01001C_019,B01001C_020,B01001C_021,B01001C_022,B01001C_023,B01001C_024,B01001C_025,B01001C_026,B01001C_027,B01001C_028,B01001C_029,B01001C_030,B01001C_031,B01001D_001,B01001D_002,B01001D_003,B01001D_004,B01001D_005,B01001D_006,B01001D_007,B01001D_008,B01001D_009,B01001D_010,B01001D_011,B01001D_012,B01001D_013,B01001D_014,B01001D_015,B01001D_016,B01001D_017,B01001D_018,B01001D_019,B01001D_020,B01001D_021,B01001D_022,B01001D_023,B01001D_024,B01001D_025,B01001D_026,B01001D_027,B01001D_028,B01001D_029,B01001D_030,B01001D_031,B01001E_001,B01001E_002,B01001E_003,B01001E_004,B01001E_005,B01001E_006,B01001E_007,B01001E_008,B01001E_009,B01001E_010,B01001E_011,B01001E_012,B01001E_013,B01001E_014,B01001E_015,B01001E_016,B01001E_017,B01001E_018,B01001E_019,B01001E_020,B01001E_021,B01001E_022,B01001E_023,B01001E_024,B01001E_025,B01001E_026,B01001E_027,B01001E_028,B01001E_029,B01001E_030,B01001E_031,B01001F_001,B01001F_002,B01001F_003,B01001F_004,B01001F_005,B01001F_006,B01001F_007,B01001F_008,B01001F_009,B01001F_010,B01001F_011,B01001F_012,B01001F_013,B01001F_014,B01001F_015,B01001F_016,B01001F_017,B01001F_018,B01001F_019,B01001F_020,B01001F_021,B01001F_022,B01001F_023,B01001F_024,B01001F_025,B01001F_026,B01001F_027,B01001F_028,B01001F_029,B01001F_030,B01001F_031,B01001G_001,B01001G_002,B01001G_003,B01001G_004,B01001G_005,B01001G_006,B01001G_007,B01001G_008,B01001G_009,B01001G_010,B01001G_011,B01001G_012,B01001G_013,B01001G_014,B01001G_015,B01001G_016,B01001G_017,B01001G_018,B01001G_019,B01001G_020,B01001G_021,B01001G_022,B01001G_023,B01001G_024,B01001G_025,B01001G_026,B01001G_027,B01001G_028,B01001G_029,B01001G_030,B01001G_031,B01001H_001,B01001H_002,B01001H_003,B01001H_004,B01001H_005,B01001H_006,B01001H_007,B01001H_008,B01001H_009,B01001H_010,B01001H_011,B01001H_012,B01001H_013,B01001H_014,B01001H_015,B01001H_016,B01001H_017,B01001H_018,B01001H_019,B01001H_020,B01001H_021,B01001H_022,B01001H_023,B01001H_024,B01001H_025,B01001H_026,B01001H_027,B01001H_028,B01001H_029,B01001H_030,B01001H_031,B01001I_001,B01001I_002,B01001I_003,B01001I_004,B01001I_005,B01001I_006,B01001I_007,B01001I_008,B01001I_009,B01001I_010,B01001I_011,B01001I_012,B01001I_013,B01001I_014,B01001I_015,B01001I_016,B01001I_017,B01001I_018,B01001I_019,B01001I_020,B01001I_021,B01001I_022,B01001I_023,B01001I_024,B01001I_025,B01001I_026,B01001I_027,B01001I_028,B01001I_029,B01001I_030,B01001I_031,B01002_001,B01002_002,B01002_003,B01002A_001,B01002A_002,B01002A_003,B01002B_001,B01002B_002,B01002B_003,B01002C_001,B01002C_002,B01002C_003,B01002D_001,B01002D_002,B01002D_003,B01002E_001,B01002E_002,B01002E_003,B01002F_001,B01002F_002,B01002F_003,B01002G_001,B01002G_002,B01002G_003,B01002H_001,B01002H_002,B01002H_003,B01002I_001,B01002I_002,B01002I_003,B01003_001
40,AZ,04,,,,,04000US04,Arizona,6728577,3344106,222187,233694,230981,139485,95817,52489,52008,146215,236810,226955,209457,212254,205609,210863,193980,75009,108268,71116,93278,128136,92182,60110,47203,3384471,212752,223450,223684,133385,89383,49033,48714,134665,219870,216076,204566,209442,205985,217702,212313,83813,121512,80605,104283,143438,102397,71555,75848,5235158,2597166,154952,166133,166139,100681,68365,179007,172762,168246,319763,333038,320901,263383,140033,43763,2637992,147368,159239,160145,95488,63823,166912,161579,161163,312561,336036,353798,291650,157963,70267,287110,150095,10924,12147,10288,6699,5290,14693,12814,12015,21479,19154,14166,7062,2656,708,137015,10580,9843,10646,6684,4634,11534,10816,10732,18235,17356,13510,7859,3300,1286,296732,144817,12641,12879,12599,7900,5107,14356,13009,10166,18249,16482,11647,6063,2970,749,151915,12814,13169,12250,7767,4948,13380,12051,10470,18060,18835,14466,8252,3932,1521,205229,95909,5954,5965,6307,3312,2645,8437,8682,8841,17000,12153,8326,5185,2362,740,109320,5856,5886,6003,3525,2514,7553,8757,9428,19504,15468,12389,7835,3573,1029,12863,6776,516,370,398,211,272,635,661,814,980,909,620,274,86,30,6087,436,564,382,189,245,448,746,585,772,650,625,343,72,30,468906,236986,18917,20543,21590,12831,9398,24372,21380,20005,34140,26925,15824,7411,2806,844,231920,19071,19639,20874,12612,8326,22795,18527,17466,33997,27896,17021,8893,3722,1081,222579,112357,18283,15657,13660,7851,4740,9212,7502,6868,10100,7811,5773,3152,1379,369,110222,16627,15110,13384,7120,4893,9790,7394,6232,10879,7446,5829,3494,1390,634,3777876,1867451,86496,91551,96670,59631,40950,111568,115374,113192,220903,255726,270796,236161,128460,39973,1910425,82544,88274,90827,56318,37662,104982,107862,107924,212229,258041,297900,259968,141879,64015,2054849,1032667,97968,104874,98556,58256,39095,97949,83649,79249,138987,109121,69188,35839,15034,4902,1022182,93667,99227,97560,56161,37442,90225,76424,74507,140202,110848,75708,42183,20498,7530,37.1,35.8,38.4,40.2,38.8,41.5,31.2,30.8,31.6,28.5,27.5,29.8,35.8,33.7,37.9,30.9,31.7,30.2,27.7,27.3,28.2,18.7,18.3,19.0,46.3,44.9,47.8,26.7,26.1,27.3,6728577
40,AZ,04,,,,,04001US04,Arizona -- Urban,6040448,2979479,204237,213854,209830,126412,86681,47752,47400,132906,213704,204829,186838,189410,183328,185315,169586,64010,92619,60346,79046,107422,79660,52068,42226,3060969,194560,203685,202328,120355,82598,44806,45433,125775,205033,200569,188783,192368,186802,194195,186738,72421,105658,69888,89649,124132,90868,64606,69719,4746501,2336581,144628,154379,152709,92368,62955,166003,158846,153912,288854,298606,279085,222841,122080,39315,2409920,137282,147597,147035,87401,59913,158258,153069,151052,290290,305252,311001,253885,142493,65392,273374,140351,10520,11861,10011,6497,4988,13781,11717,10865,19382,17551,13347,6614,2535,682,133023,10268,9501,10384,6470,4494,11275,10539,10583,17785,16783,13074,7364,3227,1276,164084,79464,7318,7184,7342,4468,2771,8335,7853,6137,10296,8195,5598,2599,1026,342,84620,7305,7266,6350,4208,2812,8067,7569,6636,11079,10391,7301,3575,1401,660,197744,92433,5847,5678,6141,3230,2510,8261,8471,8579,16107,11729,8080,4862,2244,694,105311,5701,5803,5745,3370,2436,7401,8388,9004,18854,14922,11840,7403,3454,990,11619,5906,479,363,393,192,265,561,555,709,824,693,539,225,78,30,5713,422,520,356,175,191,422,738,545,729,597,603,331,61,23,441887,221640,18017,19783,20512,12412,9077,22474,19368,18464,31550,24959,14671,6966,2588,799,220247,18001,18689,19944,12124,8053,21643,17705,16829,32179,26389,16016,8239,3516,920,205239,103104,17428,14606,12722,7245,4115,8643,6894,6163,9235,6910,4895,2707,1177,364,102135,15581,14309,12514,6607,4699,8948,7025,5920,10235,6663,4982,2872,1322,458,3386735,1662372,79405,83822,86737,53616,37360,103256,107169,103878,199589,227471,233857,198624,111655,35933,1724363,75819,80678,81722,50521,35094,99394,101682,100599,195265,231884,259732,224702,127685,59586,1919809,956497,93209,99357,93508,55239,36670,90960,75469,72166,126290,100528,62838,32220,13610,4433,963312,88360,93474,91948,53005,35690,85489,72903,70765,132694,104340,69895,38877,18963,6909,36.3,35.1,37.7,39.3,37.8,40.6,30.9,30.3,31.5,27.7,26.3,29.0,35.6,33.4,37.8,30.5,30.9,30.2,27.5,27.0,28.0,18.3,17.8,18.8,45.4,43.9,46.9,26.3,25.6,27.2,6040448
40,AZ,04,,,,,04043US04,Arizona -- Rural,688129,364627,17950,19840,21151,13073,9136,4737,4608,13309,23106,22126,22619,22844,22281,25548,24394,10999,15649,10770,14232,20714,12522,8042,4977,323502,18192,19765,21356,13030,6785,4227,3281,8890,14837,15507,15783,17074,19183,23507,25575,11392,15854,10717,14634,19306,11529,6949,6129,488657,260585,10324,11754,13430,8313,5410,13004,13916,14334,30909,34432,41816,40542,17953,4448,228072,10086,11642,13110,8087,3910,8654,8510,10111,22271,30784,42797,37765,15470,4875,13736,9744,404,286,277,202,302,912,1097,1150,2097,1603,819,448,121,26,3992,312,342,262,214,140,259,277,149,450,573,436,495,73,10,132648,65353,5323,5695,5257,3432,2336,6021,5156,4029,7953,8287,6049,3464,1944,407,67295,5509,5903,5900,3559,2136,5313,4482,3834,6981,8444,7165,4677,2531,861,7485,3476,107,287,166,82,135,176,211,262,893,424,246,323,118,46,4009,155,83,258,155,78,152,369,424,650,546,549,432,119,39,1244,870,37,7,5,19,7,74,106,105,156,216,81,49,8,0,374,14,44,26,14,54,26,8,40,43,53,22,12,11,7,27019,15346,900,760,1078,419,321,1898,2012,1541,2590,1966,1153,445,218,45,11673,1070,950,930,488,273,1152,822,637,1818,1507,1005,654,206,161,17340,9253,855,1051,938,606,625,569,608,705,865,901,878,445,202,5,8087,1046,801,870,513,194,842,369,312,644,783,847,622,68,176,391141,205079,7091,7729,9933,6015,3590,8312,8205,9314,21314,28255,36939,37537,16805,4040,186062,6725,7596,9105,5797,2568,5588,6180,7325,16964,26157,38168,35266,14194,4429,135040,76170,4759,5517,5048,3017,2425,6989,8180,7083,12697,8593,6350,3619,1424,469,58870,5307,5753,5612,3156,1752,4736,3521,3742,7508,6508,5813,3306,1535,621,43.9,42.4,45.8,49.6,47.8,51.3,36.2,36.2,36.1,30.2,29.3,30.9,40.3,39.2,41.2,35.8,41.0,32.0,31.2,31.2,31.7,24.0,24.8,23.0,53.7,52.6,54.7,30.7,31.4,29.4,688129
40,AZ,04,,,,,040A0US04,Arizona -- In metropolitan or micropolitan statistical area,6626703,3293095,218591,229694,227192,136972,94216,51768,51230,144354,233672,224030,206873,209586,202753,207587,190957,73836,106505,70079,91991,125559,90260,58944,46446,3333608,209430,219689,219686,131047,87644,48296,48060,132997,217082,213410,201823,206950,203094,214409,208962,82549,119630,79300,102521,141214,100566,70404,74845,5195244,2576496,153902,164877,165111,99837,67811,178205,171853,167181,317852,330688,317904,260183,137861,43231,2618748,146491,158105,159047,94874,63235,166287,160822,160219,310703,333862,350703,288467,156128,69805,286497,149786,10898,12143,10281,6695,5269,14669,12784,11975,21404,19131,14127,7057,2645,708,136711,10532,9828,10618,6656,4607,11501,10792,10719,18209,17311,13506,7846,3300,1286,240720,117555,10528,10382,10179,6312,4147,11974,11052,8507,15254,13050,9031,4460,2155,524,123165,10692,10770,9613,6171,3986,11170,10268,8987,14916,15143,11266,6264,2861,1058,204771,95717,5934,5944,6307,3312,2645,8411,8661,8826,16989,12122,8301,5163,2362,740,109054,5831,5886,5990,3525,2508,7512,8718,9418,19474,15409,12368,7813,3573,1029,12734,6723,496,370,398,211,272,635,661,808,980,892,610,274,86,30,6011,436,555,382,189,214,448,746,581,765,638,617,343,67,30,466439,235542,18773,20458,21469,12794,9358,24284,21204,19889,33932,26739,15672,7380,2746,844,230897,19012,19602,20782,12577,8276,22753,18387,17401,33874,27734,16898,8866,3662,1073,220298,111276,18060,15520,13447,7811,4714,9174,7457,6844,10048,7718,5653,3112,1349,369,109022,16436,14943,13254,7055,4818,9682,7349,6085,10832,7406,5783,3436,1379,564,3748077,1851991,85788,90873,96068,59138,40606,111109,114822,112521,219631,253950,268261,233175,126548,39501,1896086,82072,87627,90174,55991,37361,104589,107271,107308,211074,256302,295320,257081,140342,63574,2040940,1025340,97366,104137,97932,57834,38820,97446,83067,78671,138125,108306,68526,35572,14696,4842,1015600,93083,98574,96942,55823,37040,89855,76085,74097,139362,110215,75049,41854,20125,7496,37.1,35.8,38.4,40.2,38.8,41.5,31.2,30.8,31.6,28.2,27.2,29.4,35.8,33.7,37.9,30.9,31.7,30.2,27.7,27.3,28.2,18.7,18.3,19.0,46.3,44.8,47.8,26.6,26.1,27.2,6626703
40,AZ,04,,,,,040C0US04,Arizona -- In metropolitan statistical area,6381239,3169960,209683,220320,218109,131250,90643,50233,49440,139553,225896,216755,200109,203113,195728,200043,183147,70468,102423,67174,88283,119663,86572,56483,44872,3211279,201020,210804,210729,125659,84544,46689,46473,128653,210419,207058,195746,200337,196257,206493,200477,79080,114856,76344,98268,135092,96272,67730,72279,5032631,2494546,148816,159192,159563,96347,65784,173380,167413,162898,309402,321019,306333,249860,132687,41852,2538085,141897,153236,153754,91489,61592,161988,157016,156159,302676,324095,338130,277758,150579,67716,284325,148233,10848,12068,10267,6670,5226,14521,12623,11754,21142,18802,13975,7015,2633,689,136092,10518,9783,10613,6583,4607,11449,10754,10685,18115,17298,13350,7794,3264,1279,179754,88104,7641,7513,7593,4675,3144,9436,8686,6691,12049,9611,6353,2903,1450,359,91650,7918,7604,7057,4553,2985,8700,7990,7254,11554,11278,8032,4328,1677,720,203072,94932,5869,5871,6235,3279,2635,8400,8611,8776,16801,12011,8260,5082,2362,740,108140,5748,5861,5898,3494,2474,7505,8694,9400,19244,15290,12245,7776,3524,987,12567,6596,496,348,398,211,272,618,658,773,973,870,610,253,86,30,5971,436,555,382,189,209,448,738,557,765,638,617,340,67,30,455059,229680,18407,20173,21163,12439,9053,23909,20583,19403,33033,25943,15199,6988,2551,836,225379,18643,19140,20173,12451,7932,22313,18030,17105,33246,27010,16415,8376,3538,1007,213831,107869,17606,15155,12890,7629,4529,8962,7322,6460,9822,7515,5308,3019,1286,366,105962,15860,14625,12852,6900,4745,9412,7197,5898,10483,7141,5624,3332,1353,540,3642664,1798778,83126,88259,92930,57269,39586,108702,112319,109984,214507,247386,259474,224557,122264,38415,1843886,79744,85004,87330,54249,36501,102300,105044,105013,206383,249939,286027,248337,136089,61926,1968337,988728,94282,100497,94956,55767,37416,94521,80298,76204,133762,104264,65162,33422,13647,4530,979609,90119,95543,93566,53902,35886,87273,74008,72025,135119,105964,71229,39354,18663,6958,37.0,35.8,38.4,40.1,38.7,41.3,31.1,30.7,31.6,28.1,27.2,29.2,35.7,33.7,37.8,30.8,31.6,30.2,27.6,27.1,28.1,18.7,18.3,19.0,46.1,44.7,47.6,26.5,26.0,27.1,6381239
40,AZ,04,,,,,040C1US04,Arizona -- In metropolitan statistical area -- in principal city,3309422,1650004,112789,114561,108171,66012,54197,30874,31390,88363,136089,124460,105988,105531,102001,102058,90898,35032,47983,28926,39029,47583,34613,23094,20362,1659418,106657,110262,105375,62586,51748,29036,30540,82250,124025,114168,102713,104968,101363,105448,99332,37789,52554,33857,41082,56509,42181,30716,34259,2523016,1255676,76871,79355,75185,46338,39179,107301,98939,90234,158412,163554,146011,102919,52741,18637,1267340,71834,76225,73474,43715,36790,101298,90072,83072,155608,163275,159383,115466,65430,31698,173630,90515,7022,7278,5649,3946,3167,10206,8106,8205,12095,10749,8541,3755,1440,356,83115,6737,5944,5862,3464,3135,8190,7293,6678,10333,10547,7822,4123,2065,922,74134,35550,2823,3080,3127,1856,1219,4290,4152,2824,4854,3437,2497,906,329,156,38584,3307,3028,2515,1764,1312,4490,3672,3519,4994,4772,2967,1490,451,303,110000,52917,3229,2494,3041,1642,1874,6423,5857,5541,8379,6109,4424,2164,1267,473,57083,2814,3060,2750,1620,1584,5362,5263,5203,9388,7407,6352,3721,2004,555,7567,3884,391,173,301,129,237,329,378,373,499,544,312,136,62,20,3683,363,324,249,130,156,275,516,396,432,293,350,163,26,10,306588,154565,12966,14357,14291,8443,6073,16843,13962,13780,21996,16161,9447,4339,1312,595,152023,13051,13686,13974,8614,5803,16396,12641,11672,21658,16880,10023,4952,2084,589,114487,56897,9487,7824,6577,3658,2448,5235,4695,3503,5284,3505,2681,1319,556,125,57590,8551,7995,6551,3279,2968,5815,4568,3628,5268,3637,2778,1533,837,182,1728744,860480,38486,38770,37862,25138,23378,67590,66354,59506,105850,121682,122095,90028,47118,16623,868264,35853,37295,36187,23606,21539,63838,58974,53232,99816,121713,130845,99543,57311,28512,1171208,585905,57249,59998,55374,31834,23037,60394,49510,46911,77758,60684,35397,17762,7306,2691,585303,54098,57085,54706,31079,22930,57296,46235,43510,80522,61269,40167,21887,10634,3885,34.4,33.2,35.6,37.2,35.9,38.7,30.2,29.9,30.5,27.6,26.6,28.8,33.5,31.5,36.0,29.2,30.0,28.5,26.4,26.3,26.6,19.1,18.7,19.6,43.7,42.1,45.3,26.0,25.5,26.5,3309422
40,AZ,04,,,,,040C2US04,Arizona -- In metropolitan statistical area -- not in principal city,3071817,1519956,96894,105759,109938,65238,36446,19359,18050,51190,89807,92295,94121,97582,93727,97985,92249,35436,54440,38248,49254,72080,51959,33389,24510,1551861,94363,100542,105354,63073,32796,17653,15933,46403,86394,92890,93033,95369,94894,101045,101145,41291,62302,42487,57186,78583,54091,37014,38020,2509615,1238870,71945,79837,84378,50009,26605,66079,68474,72664,150990,157465,160322,146941,79946,23215,1270745,70063,77011,80280,47774,24802,60690,66944,73087,147068,160820,178747,162292,85149,36018,110695,57718,3826,4790,4618,2724,2059,4315,4517,3549,9047,8053,5434,3260,1193,333,52977,3781,3839,4751,3119,1472,3259,3461,4007,7782,6751,5528,3671,1199,357,105620,52554,4818,4433,4466,2819,1925,5146,4534,3867,7195,6174,3856,1997,1121,203,53066,4611,4576,4542,2789,1673,4210,4318,3735,6560,6506,5065,2838,1226,417,93072,42015,2640,3377,3194,1637,761,1977,2754,3235,8422,5902,3836,2918,1095,267,51057,2934,2801,3148,1874,890,2143,3431,4197,9856,7883,5893,4055,1520,432,5000,2712,105,175,97,82,35,289,280,400,474,326,298,117,24,10,2288,73,231,133,59,53,173,222,161,333,345,267,177,41,20,148471,75115,5441,5816,6872,3996,2980,7066,6621,5623,11037,9782,5752,2649,1239,241,73356,5592,5454,6199,3837,2129,5917,5389,5433,11588,10130,6392,3424,1454,418,99344,50972,8119,7331,6313,3971,2081,3727,2627,2957,4538,4010,2627,1700,730,241,48372,7309,6630,6301,3621,1777,3597,2629,2270,5215,3504,2846,1799,516,358,1913920,938298,44640,49489,55068,32131,16208,41112,45965,50478,108657,125704,137379,134529,75146,21792,975622,43891,47709,51143,30643,14962,38462,46070,51781,106567,128226,155182,148794,78778,33414,797129,402823,37033,40499,39582,23933,14379,34127,30788,29293,56004,43580,29765,15660,6341,1839,394306,36021,38458,38860,22823,12956,29977,27773,28515,54597,44695,31062,17467,8029,3073,40.2,38.9,41.4,42.9,41.7,44.2,33.4,32.7,33.9,28.7,27.9,29.7,38.3,37.2,39.4,34.2,33.5,35.6,30.4,29.1,32.1,18.0,17.8,18.3,48.4,47.2,49.7,27.4,26.9,28.1,3071817
40,AZ,04,,,,,040E0US04,Arizona -- In micropolitan statistical area,245464,123135,8908,9374,9083,5722,3573,1535,1790,4801,7776,7275,6764,6473,7025,7544,7810,3368,4082,2905,3708,5896,3688,2461,1574,122329,8410,8885,8957,5388,3100,1607,1587,4344,6663,6352,6077,6613,6837,7916,8485,3469,4774,2956,4253,6122,4294,2674,2566,162613,81950,5086,5685,5548,3490,2027,4825,4440,4283,8450,9669,11571,10323,5174,1379,80663,4594,4869,5293,3385,1643,4299,3806,4060,8027,9767,12573,10709,5549,2089,2172,1553,50,75,14,25,43,148,161,221,262,329,152,42,12,19,619,14,45,5,73,0,52,38,34,94,13,156,52,36,7,60966,29451,2887,2869,2586,1637,1003,2538,2366,1816,3205,3439,2678,1557,705,165,31515,2774,3166,2556,1618,1001,2470,2278,1733,3362,3865,3234,1936,1184,338,1699,785,65,73,72,33,10,11,50,50,188,111,41,81,0,0,914,83,25,92,31,34,7,24,18,230,119,123,37,49,42,167,127,0,22,0,0,0,17,3,35,7,22,0,21,0,0,40,0,0,0,0,5,0,8,24,0,0,0,3,0,0,11380,5862,366,285,306,355,305,375,621,486,899,796,473,392,195,8,5518,369,462,609,126,344,440,357,296,628,724,483,490,124,66,6467,3407,454,365,557,182,185,212,135,384,226,203,345,93,63,3,3060,576,318,402,155,73,270,152,187,349,265,159,104,26,24,105413,53213,2662,2614,3138,1869,1020,2407,2503,2537,5124,6564,8787,8618,4284,1086,52200,2328,2623,2844,1742,860,2289,2227,2295,4691,6363,9293,8744,4253,1648,72603,36612,3084,3640,2976,2067,1404,2925,2769,2467,4363,4042,3364,2150,1049,312,35991,2964,3031,3376,1921,1154,2582,2077,2072,4243,4251,3820,2500,1462,538,37.8,36.2,39.8,43.7,41.9,45.4,37.7,37.1,38.6,28.6,27.1,29.8,37.9,37.2,41.5,31.8,33.4,31.3,32.2,33.2,31.0,19.8,19.6,20.2,50.9,49.6,52.2,30.3,29.0,32.1,245464
40,AZ,04,,,,,040E1US04,Arizona -- In micropolitan statistical area -- in principal city,56143,26628,1865,2132,1937,1293,662,473,219,1016,1609,1409,1189,1084,1479,1642,1421,832,953,603,1056,1494,1103,763,394,29515,1800,1565,1905,1113,863,425,402,1086,1572,1302,1259,1499,1299,2182,1872,953,1238,918,1175,1771,1462,898,956,50023,23784,1678,1912,1727,1101,477,1600,1438,1323,1929,2604,2956,2920,1752,367,26239,1567,1461,1552,1042,590,1696,1394,1225,2422,3010,3662,3550,2165,903,305,135,0,9,0,6,17,8,15,2,0,44,23,0,0,11,170,0,0,0,0,0,39,38,0,14,7,35,15,15,7,992,507,51,16,44,2,0,9,101,11,120,78,8,36,16,15,485,38,1,34,16,10,21,8,20,56,52,121,58,45,5,469,146,0,26,5,0,0,0,0,0,28,36,18,33,0,0,323,46,0,26,14,0,0,0,0,40,61,50,31,35,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3642,1667,76,159,80,170,157,41,55,41,196,342,132,156,61,1,1975,79,103,253,31,263,119,110,57,226,264,188,188,83,11,712,389,60,10,81,14,11,50,0,32,0,17,69,8,37,0,323,70,0,40,10,0,38,22,0,0,87,7,22,17,10,27983,13464,789,668,711,538,154,721,764,698,990,1385,2122,2221,1444,259,14519,703,506,580,292,323,728,664,632,1186,1707,2385,2611,1550,652,26155,12223,991,1420,1127,733,499,951,729,706,1164,1576,984,850,384,109,13932,990,1058,1226,789,530,1128,840,650,1487,1633,1472,1129,721,279,42.0,37.4,44.9,42.7,38.0,46.0,45.6,47.5,35.8,40.2,35.9,47.4,48.8,53.2,48.6,.,.,.,35.4,36.3,33.3,23.8,23.2,29.2,52.8,50.7,54.6,30.2,28.4,32.8,56143
40,AZ,04,,,,,040E2US04,Arizona -- In micropolitan statistical area -- not in principal city,189321,96507,7043,7242,7146,4429,2911,1062,1571,3785,6167,5866,5575,5389,5546,5902,6389,2536,3129,2302,2652,4402,2585,1698,1180,92814,6610,7320,7052,4275,2237,1182,1185,3258,5091,5050,4818,5114,5538,5734,6613,2516,3536,2038,3078,4351,2832,1776,1610,112590,58166,3408,3773,3821,2389,1550,3225,3002,2960,6521,7065,8615,7403,3422,1012,54424,3027,3408,3741,2343,1053,2603,2412,2835,5605,6757,8911,7159,3384,1186,1867,1418,50,66,14,19,26,140,146,219,262,285,129,42,12,8,449,14,45,5,73,0,13,0,34,80,6,121,37,21,0,59974,28944,2836,2853,2542,1635,1003,2529,2265,1805,3085,3361,2670,1521,689,150,31030,2736,3165,2522,1602,991,2449,2270,1713,3306,3813,3113,1878,1139,333,1230,639,65,47,67,33,10,11,50,50,160,75,23,48,0,0,591,37,25,66,17,34,7,24,18,190,58,73,6,14,22,167,127,0,22,0,0,0,17,3,35,7,22,0,21,0,0,40,0,0,0,0,5,0,8,24,0,0,0,3,0,0,7738,4195,290,126,226,185,148,334,566,445,703,454,341,236,134,7,3543,290,359,356,95,81,321,247,239,402,460,295,302,41,55,5755,3018,394,355,476,168,174,162,135,352,226,186,276,85,26,3,2737,506,318,362,145,73,232,130,187,349,178,152,82,9,14,77430,39749,1873,1946,2427,1331,866,1686,1739,1839,4134,5179,6665,6397,2840,827,37681,1625,2117,2264,1450,537,1561,1563,1663,3505,4656,6908,6133,2703,996,46448,24389,2093,2220,1849,1334,905,1974,2040,1761,3199,2466,2380,1300,665,203,22059,1974,1973,2150,1132,624,1454,1237,1422,2756,2618,2348,1371,741,259,37.0,35.9,38.3,44.1,42.9,45.3,37.5,36.8,38.7,28.3,26.9,29.6,36.3,34.5,37.5,31.8,33.4,31.3,31.8,32.7,30.5,19.3,19.3,19.4,50.1,49.3,51.0,30.4,29.3,31.9,189321
